Speaker 1:          00:00:02       A,
Speaker 2:          00:38:06       Sorry. I know I got a bunch of tweets. Can't wait to hear your take on the Oscars. I did not see what I did see. Was that the fucking Boston Bruins one again? One again, it all my fucking wine in about wine and about, uh, you know, them getting rid of clothed Julian. Uh, according to Bob Beers, the Bruins are playing much looser and more confident under Bush. Bruce Cassidy, sorry, should I say Bush? Bruce Cassidy. Um, so with the new man on the bench, the Boston Bruins look like a new team. The bees are and one since Bruce Cassidy took over as interim coach averaging four goals per game while scoring the first and six of those contests, they exploded for six goals and Sundays matinee went over the stars. But the stars suck this year and a 98.5, this sports hub, Bruins analyst Bob Beers says he's seen a much looser and more confident team.

Speaker 2:          00:38:56       Uh, take the ice since Cassidy took over for Clo Julian, they have a little more leash and a little more freedom to make some plays down to the point where they're being reckless or carried away, leaving themselves exposed. At the other end, but they're encouraged to play more offensively. Um, I gotta tell you, man, they've been playing great, so I don't know what it is. So, you know, I guess I was wrong. I still think Khloe, Julian's a fucking great coach. What are you gonna do? Maybe. Maybe everybody needed to change, you know, maybe that's what it is. Like you stay with the same person for awhile. He just gets sick of them. You know? And this is like the new girlfriend. You're all excited. You can go all the old places, but it's new for the both of you to go there. I don't know. All I know is it's fucking working. And I absolutely loved, loved the Boston Celtics not making a move before the trade deadline. I think that was fucking genius. It was. It would have been so fucking stupid to give up draft picks and in some players that we had, you know, that they were gonna want like Marcus smart and fucking Jae Crowder and a bunch of draft picks. At the very least we were going to have to fucking give up that to bring in who? Carmelo Anthony.

Speaker 7:          00:40:06       You know

Speaker 2:          00:40:08       who's, who's going to, he's going to tell fucking everybody to clear out and then not get back on d. You don't need that shit. And even if he got us past the Cavaliers when nobody's beaten the fucking warriors this year, or we're certainly not. You give up all of that shit to do what? Come in second place instead of fourth. Who gives a fuck? Who gives a fuck? This is the Boston Celtics. We got to win another championship. The Lakers are lying about the amount of fucking champions championships they have. They padded their resume with one. We need to win another one. Put a little distance between them and I think this fucking move right here. Being patient enough to just say, no, we're staying in the goddamn course. We've got all these draft picks. You know? Who knows? Maybe that kid from Duke comes out a Tatum, maybe he's one and done.

Speaker 2:          00:40:55       Who knows? You know they got that. Who's that other kid that some kid on Kansas, I guess he's like a point guard or something like that. I don't know what the fuck we need. I don't know shit about basketball, but I love not giving into the stupid pressure that you know you're supposed to make a move, you know that'll make you better in the short run, but fuck you. Fuck over all the work you've been doing over the last three, four years. So Danny, age, Danny Age. Love it. Absolutely love it. All right, let's do some reads for this week because I'm actually going to drive down to Tampa tonight and I'm going to go, uh, I'm going to go to the fucking Tampa Bay lightning versus the fucking auto with senators game tonight. Palm never been to a game. Then we'll see how it is. All right, four reads.

Speaker 2:          00:41:39       All right. This is what I got here. Oh, four reads was the advertising. It's not for questions. Let me get rid of that. Okay. Boyfriend birthday gift. Hey there, Billy birthday boy, my boyfriend, my man recently celebrated a birthday and I contemplated for weeks what I would get them after listening to many podcasts episode, I picked up on your advice to freshly single men. Uh, get yourself all the sports packages. I took all Billy boys advice and bought my guy a subscription for NHL TV. All these shit. You're a fucking angel for the remainder of the hockey season. Parenthesis go pens. That's great too. So he and his and his team is a, a contender, so it'll be fun to watch and NFL Sunday ticket for the upcoming football season. He's beyond thrilled. Of course he is. Thanks for the laughs and most importantly, thanks for the birthday suggestion.

Speaker 2:          00:42:35       Alright ladies, did you hear that? You know what's great about all of that shit is it's so fucking easy to do. That's one phone call. You don't have to go out and go shop. You don't have to go get something fucking engraved. It's perfect. And if anybody wants to outdo this woman, you know what you do is you get them the perfect chair to sit there and watch, you know. And then what you do is you get life insurance and as he slowly eats and drinks himself to death watch and all these sports, you know, you're going to win either way. Either he's going to be around and he's going to be this big lovable fucking, you know, grizzly bear over there watching his games or he's going to fucking die and you're going to get paid. You know, there you go. Good for you.

Speaker 2:          00:43:20       That's a, that's a great gift. I would love that. I would that, I would be thrilled with that gift. Alright. Who versus whom? Ah, a little aristocrat fucking compensation here. Uh, the actual rule, I always get these confused and I love that you guys are going to fucking help me out here. Cause I actually used spoon the other day. Somebody told me that when you use who is, is if you could substitute it with he or she. But if you're talking about uh, they are us or a Soliloquy, then you use home. I don't know. Anyways, he said the actual rule to you is who? With the subject in whom? Oh, the actual rule is to use who with the subject. In whom? With the object. So it's the subject like a person. No, I don't. I, I'll never get this done.

Speaker 5:          00:44:09       Okay.

Speaker 2:          00:44:09       It's like live versus lay. The baby on the bed lies down, but when you put the baby on the bed, the baby is laid down.

Speaker 5:          00:44:21       [inaudible]

Speaker 2:          00:44:22       all right. Like how was that supposed to help me? All right, let's try and figure out the subject of the object. Oh my God. I'm going to start fucking hyperventilating. This takes me to high school.

Speaker 5:          00:44:32       Okay.

Speaker 2:          00:44:33       They call on you like, I don't know. I don't know. Just give me a fucking zero.

Speaker 5:          00:44:40       Yeah.

Speaker 2:          00:44:40       Jesus Christ. Are We fucking tied? You got to call on me. I don't know the answer before you figure out you need to call on somebody else. Quarterback keeps throwing to somebody to keep dropping the ball. They they, they go to somebody else. Fucking idiot. Punt. All right. The baby on the bed lies down. All right, so the baby is, the subject is the bed, the object, but when you put the baby on the bed, that's an object. The baby's laid down. All right, well what the fuck? Who laid the baby down versus Billy boo? Blue balls laid home down. All right, I got to slow down. Who laid the baby down?

Speaker 5:          00:45:22       Okay.

Speaker 2:          00:45:22       Who laid the baby down? You did. You did shoot that boys and Arrow through my, huh? Shoot. That boy is narrow. Thank you. Good night. Took me back. I always sing that song to Nia and I always say, whoever sinks that fucking song, you know that they close with it and then that's how they end that song. That's how they ended. They go shoot that poison Arrow to buy. Ah, shoot that poison arrow. Thank you. Good night. Yeah, the surprise ending. Oh, I thought you gotta go through my heart again, but you didn't. All right, so who laid the baby down? All right.

Speaker 5:          00:45:59       Okay.

Speaker 2:          00:46:00       Versus Billy balls laid whom down. Okay.

Speaker 5:          00:46:09       Okay.

Speaker 2:          00:46:09       Who laid the baby? Okay, so if I went like,

Speaker 5:          00:46:12       yeah,

Speaker 2:          00:46:13       who drank all his fucking beer? Billy blue balls.

Speaker 5:          00:46:20       Okay,

Speaker 2:          00:46:20       well it's who drank all the beer. I can't fucking do it.

Speaker 5:          00:46:28       [inaudible]

Speaker 2:          00:46:29       who drank all this beer? How can I keep plug that in. All right, well somebody says something about a baby. I have a baby my life, so I have a chance I can at least get that one right. Oh, Jesus sent right back down to the minors. Yeah. Once again, he grounds into an inning ending. Double play. Fucking kill that goddamn dream. I, well I don't understand. I just don't fucking get, this has been explained to me. 50 million. I never understood how fucking planes flew. And then I got my pilots license and they were able to fucking explain it to me. Who laid the baby down versus Billy blue balls laid whom down.

Speaker 5:          00:47:17       All right,

Speaker 2:          00:47:19       so I'm the subject in the first one and then then what? The baby becomes an object. Like are you talking shit about my kid here? Billy blue bluebells laid home.

Speaker 2:          00:47:32       The actual rule is to use who with the subject and who with the object. So I'm more important than my kids. So I'm the object here is that I'm done. I'm the subject, but then a, that doesn't mean it can he sense because a king has subjects and they have to do whatever the fuck they, he tells them. I'll tell you right now, I don't know. I don't feel any closer to the finish line than I was Jesus. The amount of empathy that I have for all the fucking teachers in my life, that this is the fucking putty. They're trying to mold into something.

Speaker 5:          00:48:08       All right.

Speaker 2:          00:48:11       You know it's great for Great Barrier Reef. For Fuck's sakes. Bill. Stop saying the Great Barrier Reef is dying. Get your pasty white ranger rs down here. Get in the water and have a look for it. It's not dying. Yeah, it is. You can't, what are you assigned to? I'm going by what the fucking scientists are saying. And I wanted to go fucking a snorkeling over there. He said, you better do it now cause they're not gonna let people go there much longer. And if you don't know what a ranger is that we all C's call red headed. Fuck's like you a ranger being short for a rang of tank. Oh, I guess, isn't that cute? Well, you know what? Maybe you can say that to me next time he come down there and do a fucking show. All right. Why don't you do that? I don't give a fuck. You think I give a fuck? But what some con who at the bottom of the fucking world, we're like three quarters of your goddamn country. You can't even go to the entire middle of that fucking content is you continent. You can't even live there.

Speaker 5:          00:49:06       Okay.

Speaker 2:          00:49:06       What else do you do on Australia Day? Do you drive around and your poor excuse for a fucking El Camino? Um, anyways. Oh, that's, yeah, he's one of those fucking guys. Ah, that's fine. It's still fucking there. You know, I'm going to look this shit up right now. All right, great. Barrier Reef. Let me see what I get and let me guess because it doesn't agree with you then it's going to be fake news. Great Barrier Reef dead. Uh, the Great Barrier Reef is not actually dead. CNN dramatic. Oh, go. What about dying? Let me see. Dying. Die Ying. Let me see. Dying. Uh, corals are dying on the great barrier. Reef scientists have discovered an unprecedented die off of the, in the world's largest reef. The Great Barrier Reef. Prom. Yeah, there you go. Right there. Okay, great. Barrier Reef not dying. Australia insists. Oh, I get it. This is your big tourist attraction. This is your Ferris wheel.

Speaker 2:          00:50:01       So you want people to keep flying down there so they can jump on the water with a bunch of great white sharks because there's nothing to see on land down there. Cause three quarters of your fucking country is unlivable and God knows if you go out there, it's so fucking unlived. That's why are snakes and everything down there. It's so fucking poisonous because it's such a lack of food that a snake, if it just grazes somebody, they gotta make it count. Cause God knows they're not gonna see anything edible for fucking weeks. Australia insists that it's not fucking dying. I love it. Okay, well that's fucking credible. That's how you make all your money. All those fucking cons going down there and this scuba gear because they learned how to hold their breath and breathe under water. And a fucking swimming pool and they got themselves a little scuba card and now they're going to go into God's swimming pool. A fucking ocean. All right. That's got all this shit that can kill on that gun. That's what it is. Okay. Again, I'm sorry. I was fucking with the tourist attraction that that'd be like you guys down there saying that he can't go up into the armor, the Statue of Liberty anymore. It's going to snap off.

Speaker 4:          00:51:06       Um,

Speaker 2:          00:51:07       it is dying. You're stupid. Fuck. All right. All right. Anyways, I absolutely believe that it is. Why wouldn't it be all this shit that we're doing? Why would everything else is fucking dying? Everything else is completely fucked, but that isn't a, maybe I'm wrong. Maybe I'm wrong. Let me, you know what? I actually, I looked it up. Let me look up, not dying. Let's see what this said. Great Barrier Reef. But if this is all from fucking Australia, I'm not buying it. Great Barrier Reef not in danger can be a big picture of fucking Trump. Scuba diving. The Great Barrier Reef, not quote, endanger tourism and mining groups have welcomed a whatever recommendation that the great barrier reef be left off the world. Heritage in danger. Yeah. Touring, tourism, mining. These people all make money off it.

Speaker 4:          00:51:57       Um,

Speaker 2:          00:51:58       should the great B barrier reef be listed as in danger. UNESCO. Great Barrier Reef is not endangered but needs care. You and Asperger experts say great barrier reef now. Yeah, this is all because you're not making money off of it. Great Barrier Reef Outlook. Poor but not in danger. This is like what you guys are doing with the Great Barrier Reef now is what we do with our food supply. You know, it's not the best for you, but it doesn't necessarily cause cancer. Um, and you know what buddy? I hope you right. I hope you're right. I hope it isn't, but I know God good and God damn well that you're not a fucking scientist. I know I'm not a scientist and I know that scientists say that is fucking dying, but anybody for what I just did, my research for 30 seconds was anybody that makes money off of it. Say it says that it isn't.

Speaker 2:          00:52:49       So I don't know. Can I, can you, if you can write me back with a fucking scientists or some sort of fucking group of them that don't make money off it or not getting paid to say that it's fucking dying. Uh, it's not dying then, then I'll believe it. Okay. So what a mom. I'm still fucking open-minded. Um, all right. Obama News, censorship. Uh, hey Mr Bill, um, Bill Burr. I have listened to the past couple of podcasts where some of your listeners have messaged in about Obama's. Suppose it's censoring of news media and after a bit of further research, it seems like they're most likely inaccurate or just wrong. Now let me ask you this sir, cause I looked it up. Okay. If what I could tell it was accurate, but what I'm guessing is you're an Obama fan, so now you're going to tell me this is fake news.

Speaker 2:          00:53:39       Now you just saw where I was able to look up shit where it said it was dying and then the isn't dying and it's just all what you choose to believe, right? Uh, while the bill is real, the conclusion that it would cause the shutdown and silencing of dissenting opinions seems an incorrect, it's supposed to find the identity when foreign countries are involved in spreading propaganda to allow us news sites to know where information is coming from. I have a liberal bias and am probably overlooking some things. Oh, there you go. This guy's an adult. Okay. You know what, I take back everything I said, but it seems like that the bill is not nearly as bad as certain sites are making out to be, which I would agree with cause that that's going to be the Fox News people. Thanks for the podcast and the latest special.

Speaker 2:          00:54:24       Um, this is what I would guess which is a obviously a total guest cause I'm a fucking moron. Um, I'm guessing it's not as bad as people on the right are saying it is, but I'm definitely of the belief that there's always that wiggle room in there that, you know, is, is there preventing something, you know, that everybody wants to be prevented, which would be, uh, propaganda from our fucking enemies, which actually don't even think is that bad. I'm not against hearing their take on things. Um, but it would also allow them, it's Kinda like, you know, after nine 11 where it was just like, we need to listen. We need to be able to listen in on people's phone conversations. But if you're not doing anything wrong, you know, a, it's then a fucking love. You know, it's, this is just for terrorist and then it just becomes a way for them to spy on you even more.

Speaker 2:          00:55:09       And then years later you see that whole fucking Snowden thing and he's taken off basically saying, I'm not going to help you guys build this thing. The greatest nerd of all time is that snowed guy. You know, I suppose those other fucking pussies who just keep fucking, you know, I've always said it, you know, total psychos, like a complete psycho has no fucking power. You know, without nerds, nerds give them the ability to be as cycle on a psycho, on a fucking global level. Okay. Is his nuts as Trump is his nuts as fucking Hillary is nuts as fucking Bush. It's not just all these fucking loaded techs are then that shit without nerds creating the technology for them to, uh, you know, go psycho on a global fucking level.

Speaker 2:          00:55:55       You mean if it wasn't for fucking nerds and we'd still be attacking each other with sticks, you know, I, I couldn't figure out how to make a gun. All right, last my 401k. Hey Bill. Uh, well to cut to the chase, I'm 51 years old. Divorced son is in jail for hitting his mother who was a lunatic. Jesus Christ. And I received a $49,000 settlement and blew it all on the California lottery. This can't be real. I really feel like throwing in the towel. Can you tell me what you would do if you were in my awful shoes? All right. If this is even remotely real,

Speaker 4:          00:56:39       um,

Speaker 2:          00:56:39       let's see. This probably fake, but whatever I can, but other people have completely fucked up their lives. So I'll, I'll talk to them. And you, sir, if you're actually telling the truth, um, the biggest thing you got going for yourself is you know that you're a moron in you fucked up your life. So I would sit down and I would look at the decisions that I've made, figured out why I made those fucking decisions. I refuse to believe that you're dumb enough to get $49,000 and spend all of it on the California lottery. I would think that some of it went to bear. Some of them. It went to Wade. Come on, somebody had 49,000 bucks. You can get yourself a new truck. Come on. Come on.

Speaker 4:          00:57:23       I don't know.

Speaker 2:          00:57:24       Can you tell me what you would do if you were in my office shoes? Uh, I would get a fucking job. First of all, I would stay away from, um, that stay away from your ex wife. You son's in jail for hitting your mother. So that would mean he's of age. Um, so you're not paying any child support. So maybe there's some alimony.

Speaker 4:          00:57:49       Um,

Speaker 2:          00:57:49       I dunno, I try to teach my son not to hit my mother. I mean, I'm [inaudible] not to hit his mother. I don't know dude. You, you got you, you got water coming in from all sides here. I don't know what to tell you.

Speaker 4:          00:58:03       Um,

Speaker 2:          00:58:04       if you get money, I would save it rather than gamble it away. And uh, but you're only 51 years old, dude. This is what I would do. I would say I would start P90x get a little bit, it's fucking self esteem and have a little more belief in yourself that you can make it other than trying to do a fucking nine zillion to one shot, which you tried to cut down to a 49,000 to 49,000 shots at a billion to one. Um, yeah, dude, I don't know what to tell you, man. I think you're going to be fine. You 51 years old, you know, you still got, you still got some years ahead of you, but I would just, uh, I wouldn't throw my fucking money away like that. I mean, I don't know how to give you advice if you blew all your money on lottery tickets. Uh, but I don't want you to throw in the towel. You know what I would do? I would write a fucking book, stare into it. You know, like if it's the comic's comic, you might be the losers loser. Write a fucking book about it,

Speaker 4:          00:59:05       you know?

Speaker 2:          00:59:07       Well, make some youtube videos and just tell your fucking story. Get some advertising right? Maybe you can make a little bit of money that way. Shit, it's easy to make 49,000 bucks off the fucking Internet. There's enough people that people love, people failing you, who the fuck's failed more than you turn it around. Turn that failing into a fucking positive. Tell you fucking story. Start going around to schools telling people what not to do. I don't know what you should do, but don't do what I did. Right. That's a country lyrics. They always, they're always doing that shit. Like I was thinking on the drive over here talking about this person in front of me was driving so slow is like Jesus Christ, you've got all the time in the world. I'm like, that's such like a country lyric that they would flip around.

Speaker 5:          00:59:51       You know,

Speaker 2:          00:59:53       I've got all the time in the world than I don't want to go on live in. You know, you see it's a juxtaposition there. You know what I mean? It's like I got all this time my hands, but I don't want any time cause I'm a mom. My woman left me or something like that. Right. It's like, wait up fucking a bull wants to fuck a cow but ain't going on around but a pig. You know what I mean? It's one of those types of things. I would just steer into it sir. I would turn it into entertaining stories that somehow tell them, but I'm also a comedian. That's what the fuck I would do. Other than that I would stay away from your ex wife and um, I dunno, I dunno what to do with you son. Try to set a better example by not blowing all your money on lottery tickets. Maybe that's, that's the thing. I don't know. Sorry. You were in that situation. If you actually are all right. Text sent to the wrong person at work. Oh Jesus. This is never good. Uh, dear Billy Graham cracker tits. Um, I never thought I'd be in a situation where I needed to write into you like this, but here I am in a pinch. For the last couple of years, certain people at my work have been getting very relaxed with their work ethic and punctuality. So much so that another coworker and I have written an album of songs about its absurdity.

Speaker 5:          01:01:13       Okay.

Speaker 2:          01:01:13       Since our office is, well maybe you can write a song about the guy who just wrote in above me,

Speaker 5:          01:01:19       you know,

Speaker 2:          01:01:21       you guys, you know, then you go on American idol. I don't know. Anyways, since ours is an office of about 10 people, everybody's job directly relates to everyone else's and it puts extra strain on the rest of us. Recently, two of the worst defenders, both ladies, not that it matters, I'm have actually, but I mentioned it, uh, have actually gotten promotions for some reason. With that said this morning, I noticed one of the ladies accomplished a quote task in our project manager.

Speaker 5:          01:01:51       Yeah.

Speaker 2:          01:01:52       Uh, to bring food to an office, potluck, lunch being the snarky asshole I am. I took a screenshot to send to my likeminded coworker with the techs, quote, think, and then the person's name is going a little overboard here. Somehow she only creates to do, she can get done, can't get shit done for work, but for food, the bitches all over it. When I didn't hear back from after 10 minutes, I felt this first wave of panic. I knew it immediately. The techs had been sent to the lady. Yeah. Cause what happens is you're thinking about that person and you're thinking about their name and you, Oh my God, we've all done this completely flustered. I sent a flurry of apology texts, but she didn't respond.

Speaker 5:          01:02:38       Okay.

Speaker 2:          01:02:39       All this was happening around eight 30 which is when people are supposed to arrive. This work or usually shows up around nine 45 or 10 but that's beside the point. What can you unsend the text?

Speaker 2:          01:02:53       I Dunno. Just some nerd know how to do that. Anyways, after I didn't hear from her, I checked the calendar and saw that she was on vacation for the next 10 days. Oh No. But I know she got the text and now I'm worried about what she thinks and whether it's going to be weird in the office. What do I do? She's not a bad person. And when you called her a bitch too, and I have to work with her regularly before realizing she was out, I already bought flowers and put them on a desk in order to cover the stench of my own failure. Now Dude, you can't. He goes, cause she knows what you really think.

Speaker 5:          01:03:27       Okay.

Speaker 2:          01:03:27       I'm guessing I shouldn't leave them there. Let her come back to dead flowers either. Congratulations on your baby girl. And of course you laid a special sincerely, I'd done fucked up.

Speaker 5:          01:03:38       Um,

Speaker 2:          01:03:41       where is she on vacation and is there a way to unsend all of those text messages? That's what I would try to do over the next 10 days. I would not apologize anymore. I would not give flowers. And this is what you got to do, Dude. You got a fucking man up and when she calls you out on it, be like, Yep, I was, I'm not going to tell you who I was sending it to. Don't rat out the other person on any fucking level. Do not rat out the other person you piece of shit if you do it. Do not rat them out. Um, I would actually say I was actually sending it to this girl. I know who doesn't work here. Okay. Just say that.

Speaker 5:          01:04:21       Um,

Speaker 2:          01:04:22       and I was pitched to her about people at work and when she calls you out, I would just say, listen, you know what? No. Send sugarcoat in it. You're supposed to be here at eight 30 show up at nine 45, 10 o'clock. Get dog in. It is setting a bad example and I like working hard and that text came from the frustration of watching you working, setting the example of not working up to your potential. It makes it a bad experience out here. So that's why I did it. If you mad at me. I understand, but you know I stand by that text message. I shouldn't have called you a bitch. I was just saying that the way you know Richard Pryor says it. I was just trying to be funny. But you know you showing up an hour and 15 to an hour and a half late everyday is not good for the, the morale around the office. That's what, that's where that came from. So there you go. And I'm sorry I sent it to you, but you know that's it. Fuck it.

Speaker 4:          01:05:18       Fuck it. That's all. That's the only card you got to play. Be like, yeah, I sent it. Although you did fucking put your hat in your hand and apologize. Yeah. Boy, can you please write back and let me know how it pans out. I'd love to know. All right. With that. That is the podcast for this week. Um,

Speaker 2:          01:05:40       I'll check in on your, on Thursday. And uh, this time next week I will be in Phoenix, Arizona doing two shows a night at a commodity club, also known as a comedy club and

Speaker 4:          01:05:51       uh,

Speaker 2:          01:05:52       be fucking polishing up this fucking hour so I can go on the road. Not Embarrass myself like this guy did with his text message. You pour bears too. We've all been there. You know what? Even the lady that you're writing to, I bet she's done it too. Um, but she's letting you squirm or, or she's in Aruba or she someplace where she didn't get the text message and maybe you can undo it. Maybe you can fucking undo what was already done. This is, this is another fucking movie. This is a fucking movie. This is like weekend at Bernie's meets, uh, Steve Jobs. Fucking one of those things when we used to walk out and be like, look, now you can swipe texts. And everyone's like, oh right. That's what you do.

Speaker 2:          01:06:38       If you get fired, sir, you should write a fucking script. Write a fucking script about somebody who sent the wrong text message to their boss, sent a text message to the wrong person. That person's on vacation. Okay? And then eventually you're going to have to fly down there. You know that you can coast. Start with the guy with the eyes. You know, he said the ice thing that he got from fucking out pachino where was, what was the name of that actor he was in about last? Andrew McCarthy, right? You guys, maybe you can fucking executive producer. See that. That's the great thing about entertainment. No matter how bad you fuck up in it, it makes the more you fuck up on your personal life, the more material you get as a comedian, you get a script out of it.

Speaker 4:          01:07:21       I Dunno,

Speaker 2:          01:07:23       you don't sound fulfilled. Maybe. Maybe you could be a script writer. All right, that's it. Go fuck yourselves. Your [inaudible] and I'll, I'll talk to you on Thursday.
