Speaker 1:          00:00:01       Do you need to wipe down what's with the jeans?
Speaker 2:          00:45:41       There you go. I love this. Do you know that I there, the books are everywhere now. Kicked there like at the pharmacy and stuff. Yeah, I love it. Well I think we got the verdict. This is an ad we can play on the show. I think you'll like it. I like it. I mean hopefully the audience likes it. I feel good about it. What a great product. Clever marketing. Yeah. Clever branding. Clever, clever, clever. Pan On and where you're going next. But do you want to play the thing that I brought in? Okay. So do you want to set this up? Cause I don't really know. Like tell them what you did. Well, so on that steep bro, I had a licensed psychotherapist on mark. Uh, mark Barone was on and he's from Seattle and we talked about Carl Young and synchronicity and I thought since I have a therapist on the line, why not have him assess your artwork and given an analysis on what he thinks is going on there.

Speaker 2:          00:46:41       Legitimately. I've never heard you just said play this. And I said, what am I playing? Go. Oh, just just play it. Just play it. So you had him look at it. So this is a Skype session with a psychotherapist and we finished that steep bro and I go, Hey, one more thing. Can you look at my husband's artwork and just tell me what you see in the art if it's normal. And did he pull up my Instagram? I emailed him a screen grab of the painting that you did call her home at last home. At last. I didn't know the name of the painting. So when you say the painting, I have to figure out which one. Okay. So this is what you did in Denver. This is, this is on Instagram. So the listeners can go to your Instagram cigarette Tom, and look at this quote, painting art work. And

Speaker 14:         00:47:30       let's just see what a licensed psychotherapist says about what you through. What does it signify here? So with me is Mark Brown and he is a licensed a psycho therapist, Highmark by Christina. Thank you for joining me. I really appreciate this. Thanks for having me on. Yeah. So, um, I've just emailed you my husband's, um, art work that he did. He stayed in a condo in Denver and the, all the comedians leave behind a piece of art for the home, the house that they stay in. And first of all, what are your credentials, um, in, in psychotherapy? If you could just let us know your background,

Speaker 15:         00:48:10       what's called a and m a, which means I have a masters, master of arts in sciences.

Speaker 14:         00:48:14       So, but basically you are a, you're a professional mental health person. Yeah. Seven years for awhile. Okay. So I've sent you the artwork that we've been discussing. If you could take a look at it and just tell me, uh, what do you see here? What, what would the mental health of a person making this type of art or what, what does it look like? And please be honest.

Speaker 15:         00:48:37       Well, uh, so there's, there's a what, uh, what I've never seen right away is there's a lot of phallic energy here. Interesting. There's a, first of all, there's, this gun is pointed and I don't know if that is, this is a self portrait or not.

Speaker 14:         00:49:01       I think he might be. Yeah.

Speaker 15:         00:49:03       Um, so there's this gun with it with, uh, with, uh, and it's purple, purple gun with a red kind of, some fire are kind of shooting out of the front of it. And then it's got this, it looks like a male figure space. So the gun is pointed towards his face. And the other Phallic element is that he's got a really long tongue that's hanging out of his mouth. So it indicates that there's some, you know, maybe fear of this, of this entered maybe this new students, this, sorry. There's the way that he is looking at it, the eye is, his eyes are really like bulging out. So it's like there's this like fear, like obsession, you know, uh, uh, Dick Obsession. Yeah. This energy sounds about right. And then what's, what's interesting is that above his head and above the gun, there's this, there's this kind of half, half circle above him, which, which uh, which looks a feminine, I would say

Speaker 14:         00:50:17       it's a dark son. I told him, but just listen

Speaker 15:         00:50:22       and it's, and it's black. It's, it's pitch black. Yeah. And so that's kind of like hovering above. And so there's like this, um, this female energy, which is like, uh, you know, dark and mysterious and powerful.

Speaker 2:          00:50:40       Wow.

Speaker 15:         00:50:42       Is it both is above him and then, and then he's, uh,

Speaker 13:         00:50:46       yeah,

Speaker 15:         00:50:47       he's kind of, you know, like,

Speaker 13:         00:50:49       okay,

Speaker 15:         00:50:50       bound by this, you know, this, this, uh, his own energy, you know, and then there are these,

Speaker 13:         00:50:58       okay.

Speaker 15:         00:50:59       His little fingers down at the bottom.

Speaker 13:         00:51:01       Okay.

Speaker 15:         00:51:02       It's, they kind of look like, like claims as well.

Speaker 2:          00:51:05       They're bushes. The bushes, you know, the, the, the birthday, I'm sorry, when did your husband's birthday? April 16th. Four days from the fears seen Aries? Yes. Ah,

Speaker 15:         00:51:19       yeah. So fire, he's a fiery guy.

Speaker 2:          00:51:21       Very, so the, actually that, can I tell you what I actually painted was my second

Speaker 13:         00:51:28       okay.

Speaker 2:          00:51:28       Option. Oh, really? What was the first one? The, first of all, I should tell you this, the way that I drew that painting, it's the way that I draw it. You too, with the bulging eyes and the nose. It's my go to profile, how I know the, um, the first option that I was going to do. And I only had second thoughts. I was like, ah, I don't know if they'll hang it up here. I was just going to draw a big cock with balls and have it just shooting ges out onto the, and isn't that interesting that Mark's assessment is that it's valid because the tongue is kind of a cock kind of sort of how I would've drawn it. Yeah. Yeah. There's a dick shooting his load at your and your mouth. Yeah. Is it a self portrait? No, it's just, that's always how I draw the me part. Is this, um, the ominous? Yeah. I don't, by the way, I don't hear mental illness. Like you like to bring up black, that black thing. He said it's supposed to represent the s it's the sun. Yeah.

Speaker 13:         00:52:27       Yes,

Speaker 15:         00:52:28       we got that to you. But it looks, it's a black side and it's, and it's shaped like a, it's kind of shaped like a breast,

Speaker 2:          00:52:39       right. And oppressive female breasts at energy.

Speaker 15:         00:52:45       So it's like this aggressive energy, kind of like damp and his fire.

Speaker 2:          00:52:50       I wonder who that is.

Speaker 15:         00:52:54       Weird. Huh? So areas is a very vascular and fiery science. So I'm not surprised at all to get a little bit, we were about it.

Speaker 13:         00:53:07       Energy. I feel it. I really feel,

Speaker 15:         00:53:12       I'm really not surprised that, um, that there's this fiery, fiery energy there.

Speaker 2:          00:53:18       Oh Man. Oh, I'm sorry. So that's what you see in those, those bushels, those things with fire.

Speaker 15:         00:53:24       I think there are,

Speaker 14:         00:53:26       there are a little kind of, which is a fire. Yeah. Plain sexual energy. Would you say

Speaker 15:         00:53:32       sexual or creative energy? They can be, they can be kind of one in the same.

Speaker 2:          00:53:37       So you're dampening my creative. Yes. I'm breaking your spirit essentially. Like you have all this phallic energy tonight.

Speaker 15:         00:53:45       I mean, that's what I've been trying to get out with an it. Well, it's actually a little more than that if you want to keep Martin current assessment. Yeah, a little deeper. I would say maybe those are often the I and the energy I would say is usually identified as sexual in our culture. You know, there's this focus on, you know, male energy and you know, we'll just everybody, right. Everything revolves around,

Speaker 2:          00:54:09       you know, the Friday and I think libidinal energy, you're redirecting your creative. And I'm, I'm obviously squashing your, the dark cloud above. Yes. Uh Huh. Okay.

Speaker 15:         00:54:19       How's sex? Right. So that's the narrative. I'm not saying that that's true, but still what he's really looking at is the gun, which really I think over the represents sexuality and then the little bunches of planes underneath it or maybe more just the creative energy is coursing through his veins all the time.

Speaker 14:         00:54:40       Hmm. Interesting. And then the oppressive, sorry, does any of this makes sense? No, I love it. And then the oppressive female figure that's dampening his sexual energy, is that what you're saying?

Speaker 15:         00:54:53       I Dunno. You know, there's some fear. I think there's just maybe a little bit of fear.

Speaker 2:          00:54:59       I love that. I've always been scared of you. I know. That's why I love it that someone else sees it. Yeah. I love it. I love, love having an expert. Isn't it great. You should have mark do more of your artwork. Yeah. And also I'd like to have a gallery person assess it as per value c and I, I wanted to get a real artist to critique it and I actually, I, I tried and I couldn't do it in time by the way that Shauna recognize like real recognize real art talent. Yeah. And then another artist, you used my piece for inspiration. Oh right. That was great. Yeah. Yeah. Wow. Okay. So he did really, did you see what he did? I did. It was really spectacular. I reposted it on my Instagram. It is not so much better. It's like a real artist did it, you know, I love it

Speaker 15:         00:55:42       around the power because hey, come on women or power for it.

Speaker 14:         00:55:47       Uh, uh, difficult because the drawing is fraught with horrible things. Terrifying things.

Speaker 15:         00:55:56       I think it's, I think it's, I think it's great. I think he has a healthy, uh, potentially healthy, a youthful energy

Speaker 14:         00:56:06       about him. That's interesting. Cause he is 57 years old it, yeah. No, well energy about him though. Sometimes the incorrect on the, you know, yeah. You old man. He's very spry. Yeah. He's very, very well.

Speaker 15:         00:56:24       So, yeah. Yeah. You know, the ominous kind of breast of could be, oh, you let him continue to thing. I'm 57. Yeah. You're a horrible person. That's good fun. It also just be, you know, that having to be having to be this, this adult, you know?

Speaker 2:          00:56:44       Interesting. Yeah. That makes the, uh, the, the power that tells him no to his penile desires. No.

Speaker 15:         00:56:53       If having to conform to this, uh, to this, uh, idea, uh, the, you know, what an adult male is supposed to be. It

Speaker 2:          00:57:03       interesting. So yeah, that would make sense. He just, this is my husband's our work and he just had a child with me and yeah, that makes a lot of sense.

Speaker 15:         00:57:12       And you know, he's uh, yeah. You know what's hilarious? The tongue that the tongue was hanging out, you know, it was just so, um, whimsical, you know, it's just kind of whimsical 10 code for, to, so it's like, yeah, there's this ominous like have to be a parent, but also, you know, being a useful kind of plants.

Speaker 2:          00:57:39       This guy reminds me of my cousin Bri. Bri. Yeah. The way he sounds, he's sweet. He's very sensitive. Should I keep going? There's no other, I mean that's the assessment of your art work. I, there's, there's more detailed if you want to listen to it later. I also asked him if you were normal because you watch so much murder. All the murder shows. Yeah. Do you want to know the answer? Sure. He said that actually, yes, because you're in touch with your dark side and that it's a really healthy expression of being in touch with one's dark side. So there you go. You're, I asked him to rate you on a scale of one to 10 your mental health. And he said, I, you know, and in all fairness, he's like, I can't really do that cause I kind of, I'm familiar with both of you from the show, the podcast, and I can't do that, but I'd give him like an eight, eight meaning on a scale of one to 10 your mental health.

Speaker 2:          00:58:26       Oh, he listens to this show? Yes. Oh, and he's familiar, you know, it's kind of biased. Sounds like he's really cool guy. He's sweet. Yeah. You told him I'm 57 I did. Yeah. Well I was, I thought he asked me how old does he look? In all fairness, I forgot. Okay. So just so he knows now since he listens to this show, I am 36 and someone is having a big birthday this year. Let's talk about, let's talk about that birthday that's coming up for you this year. I won't be able to see this birthday for a long.

Speaker 16:         00:59:01       Really interesting.

Speaker 2:          00:59:08       What birthday do you have this year? 30. And then plus, how many are you excited for it? No Big One. Can I tell you it was,

Speaker 16:         00:59:21       what's

Speaker 2:          00:59:21       devastating

Speaker 17:         00:59:22       is that Allie really have 10 decent years left and then it's like the decline towards death, you know, absolute 50 is, and then you're just on a downward. Uh, yeah. Yeah, that's true. But you can have a really good run for 10 years. No, I think for about 20 plus your second if you're in decent health. Right. 50 to 70 is a really good run, I think. Okay. Yeah. But then when are you going to rehab? When are you gonna get your second wife? I don't think that's going to happen until after 50 you think I have 10 years left on this marriage and then, yeah. And you're gonna get your 20 year old? No, I would say 15 years. Oh, you and I have left. I think so. And then you're going to trade me out. Yeah. Okay. That's not bad. That's not bad.

Speaker 17:         01:00:06       Good run. Real good. Run 40 can you believe it? I never thought I'd see 40 I thought I'd be dead by now. You know when you're 15 years old and you're like already man. Wow. What do you think you're going to be with? I'll probably be like, oh my second marriage. Yeah. Well I don't think you'll get married again. I think you're just going to have, yeah, countless lovers. Parallelize the few air lava pool boys and stuff. Yeah, I'll bang like hot young things. I won't, I wouldn't, I can't marry after you. I love you too much. I would really be devastated if we divorced for like a whole day or two and then I'd have to find someone else to grow. How sad would you be if we split? It didn't really think about it. What would you do? Seriously? What'd you even marry again?

Speaker 17:         01:00:54       I don't see myself marrying again. Too much. It's too horrible, right? Yeah. What would I want to marry again? I don't want to marry. No, seriously. No, it's too much. It's like it's your whole life with this person. What I would do is project life. You know, I'd probably go through like my intense, um, you know, intense like slut phase, right? It's normal, right? So you go like, you know, you bag like a hundred slots and then you go, I got to fucking keep it together. And then you find one that you're going to date for a while. Then she's like, oh, I can't wait for my wedding day. And you go, oh, see you later. How'd he goes on to the next one? For sure. Yeah. And then you're like, it wasn't a towel. And this is like, this goes for almost all of the moments in the scene. It wasn't until somebody was actually there telling me you have to in you or you have three in you that like it actually, it kind of clicked. And I'm like, oh my God, this is actually happening and I'm proud of my song.

Speaker 2:          01:01:59       That'll be, that'll be you after the divorce. Yeah, for sure. To Send me three and me. No. You know what? I would jog. Just be alone a lot. Drink a lot and read. Yeah, I do. Just quiet. I don't think I'd want to deal with dude's anymore. You know, you're all, you're all over it and imagine aren't you just fucking over? Probably 55 I get mad. Yeah. Just blow my brains out. No, I moved to Tahiti. That's what I would do. And just live on an island. I wouldn't even fuck with society anymore. If we divorced a 55 I would go to Ellis will be grown. Right. Almost down when he's in college. I'll go live in Tahiti. Yup. And just live on the island fish. Yeah. Dude. Wild out and just get weird. Oh yeah. Homesteading, whatever. A bunch of plastic surgery.

Speaker 2:          01:02:53       Big chompers. Big Old Steve Harvey's in my mouth. Hey, you're 22 I'm 55 Aria. I want your veneers to be extra bag and hang out at clubs in Vegas. You guys want to have some drinks on me and I'd be like that all guys bought and I was all drag Scott. We'll have like a silk shirt with a big like fire pattern on it. That's the sad you just described. The saddest doors. The status guy. It's the guy in the neighborhood that drives the yellow for are you got a houseboat sometime? Houseboat is the saddest divorce guy thing. Aw. That's when you know you blown it. Living on a houseboat. Kids every other weekend. The pretty cool water because I think the fantasy is they're going to live like Miami vice course. Didn't he live on a house but with a crocodile or some bullshit dude. Yeah. I mean I feel like if for some reason talking about it makes me feel like it's real. I feel so sad. Right? Jeans. No, the houseboat. I'm saying fuel is really written like not the divorce part. Yeah. No and that's the divorce part. Well, they'll cause a houseboat feels like a divorce it, eh? Yeah. It's terrible. So I got all this stuff here now. It's so just not, it's amazing how little you need to live. And Wifi is overrated.

Speaker 2:          01:04:30       Oh yeah. Rock sometimes. Cause it was about, no, I don't like a kitchen either. Got this microwave. It works awesome. Everything's microwave and I just need an Arby's. Yeah. And it's so depressing. It's depressing man. Anyway, so did you like your art assessment? That was really great. Thank you. What's his name? Mark. Mark slipped or private to mark. Thank you very much mark. I actually really did enjoy that. And you can hear mark on this week's episode of that steep bro discussing synchronicity. Phenomenal therapy to what's therapy and what's the point? Damn cake. Pineapple upside down.

Speaker 2:          01:05:11       Well you get hair plugs to oh yeah, yeah. But I want it to really thin it. Like really, really go bald first and do like Doo Doo, Doo Doo Doo like stabs in there. It looks like little stocks of salary all over my head. Hey girls, the saddest is when you show old guy. I mean, I haven't been to a club in a long time. I've been in clubs where you see, you know, or at the bar. Yeah. That guy. Of course. What do you ladies drinking? I got it. Let me go around for all of them. Hair dyed, jet black. Nice and easy. Here's a good lesson for people. I'm also single, married, divorced. It's all about sending the quality dick pic.

Speaker 18:         01:05:57       Yeah, my top pick. Okay, well number one irks my nerves. She did my Nigga baby oil was $2. Get yourself together. That's a pretty good list. I didn't know Dex could get ashy. Well, you don't see enough black cocks. Oh, true. If you did, you see something rational? I wish I saw more even brown ones. Yeah, sure. I didn't know. Rule number two, make sure your shit is hard and that was a good point. That's good for every race like this because we're all calm. You say Amy and everybody, grandma, I don't know what he was thinking. Girls are mean and petty and that's the Shit we do now. Anytime we look at your limp dick ass picture, she's going to cry more,

Speaker 2:          01:06:58       right? Yeah, I agree with that. Make sure, you know, I've never been sent a dick pic other than yours because we started dating around the time cell phones started. No, I can sell phones back in 84 people. Four people sending Dick Pics in 2005 yeah, but I probably, it was probably not like today. Today. Yeah. No, it's a thing. It's really much bigger now, but I agree. It's like watch porn. Nothing makes me angry. Or they know a limp. Dick, especially you, you get this hard before the scene. You've expressed this before. So I saw one of those like showtime behind the scenes pornos and that's what the director got basically mad at the guy for. He's like, dude, I want you to pull it out, ready to go. And they gave him time alone. They're like, go get it ready. And the guy couldn't do it, so they killed the scene.

Speaker 2:          01:07:49       Oh Wow. Said no shooting today. It's a lot of pressure though. I think he's a lot of pressure. I'm ready to get in there though. It's again, an important is that you're divorced career. Yeah. That's a good, I think it's a good second career. I think that's just not a good one in the early like in your 20s, but good for your 50s and stuff. Well it's a niche market. They got that old man, young girl. But is it is it's also, um, you know what the hook could be that it's a self funded thing. Other words, not someone's not going to hire me, but maybe I produced them. Myselves get a site, put it out there. Hey, I'm 55. I'm recently divorced. I'm doing these pornos now. What do you think to do that? Great idea. Maybe you could, uh, the good news is your parents will be dead, so no one's, they'll be dead. Our son will be in his sexual prime would be a good example for him. And then, um, it also could also, yeah, what fund? Send more people to my standup shows. It's always about selling more tickets. So you go, hey, you like my porno. Come see me to stand up. That's a really neat angle. Business Savvy.

Speaker 18:         01:08:53       Rule number three, brainiac made sure she wants you a dick pic ain't nothing worse than getting the eye known as dick pig. Like who are you and who sent you with his lip as she did? Save yourself the trouble and get to know it's also how you lying bitch,

Speaker 2:          01:09:08       bitch. Yeah. You should. I think an unsolicited Dick Pics. Not Good. Right? I, like I said, I've never, I'm received and that's not a call. Don't send us your Dick Pics. Yeah, no. Uh, I don't know, I guess. Yeah, right. Do you include the balls in a dick pic to, I don't think it's as important, but they're there. I'd like to know that they're there. You want, well, how would it, how would the person is saying you just like, you mean like from above? Yeah, like I want to see the Dick and the balls because I think balls are neglected and they're often just as important. So send those. Yeah. Let me see if those look high and tight. If they're not, I'm not interested. I don't like droopy goat nuts. I don't like, I'm hanging in sad. I'll ask my dad to send a picture of it. Is His boss really hang? I saw them one time and know is everything all right with what? And I go your ball bag. Yeah. It looks like it's hanging down on your knees. They look like to pig nuts. Seriously looked like cinder blocks that are just in like a skin in a paper bag. That's about to tear open. Yeah. Do they hurt when they get that hanging? I don't think so. They look like they weigh a lot though.

Speaker 18:         01:10:20       A number four, make sure your Dick pic is memorable. Girls Gets Hen Dick pics a day. Make Yours stand out like gift wrapping. Stick it in the ball to her favorite ice cream. Kelly. Oh Shit. Pig. Do something with it. Other than that, hold it like we don't want to see you hope. I'm still

Speaker 2:          01:10:36       surprised that you don't think the unsolicited Dick pic is a great thing to point. Like nobody wants that. Oh, I don't want to see anybody's, which is the point she made and you're like, I don't like unsolicited. It's gotta be the worst. I imagine if you're a guy, don't send a girl, just a dick pic thinking that it's going to be exciting. I think the whole, the whole proposition of sending a dick pic is ludicrous. Most women I do too, but what I'm saying, I want to see a deck. What I'm saying is when you send an unsolicited one's crazy, you're really not just rolling the dice. You're, you know, you're, you're at the risk of truly upsetting someone. Yeah. So legal action, legal, also embarrassment. Why don't you make sure that your dick pic would be one. Okay. Or maybe she sends you a pick first.

Speaker 2:          01:11:21       You know like, oh here's a pair of scissors and my coach, now you send me your Dick pic scissors in my, yeah, the Dick pic is a very male thing I think. Cause they have dicks other guys. No, no, no. I'm saying like you don't, you know, who wants to receive a dick pic? Other dudes like it's not necessary. I don't, at least from the women I know we don't get that aroused by a picture of a cock. Like it's not the same thing. The same as guys also looking at naked women badge is, I assume. Yeah. Like for us it's not, we, I think we like to see a dick attached to a body. At least that's what, as a woman, yeah. Show me the whole thing. Don't just send me your car. Who Cares? Plus the scale. You don't, there's no scale in a, in a picture. So I'll hold something next to your deck would be your, yeah, that's a better poet. Hold a can of soda next to your day. Some reference scale. Yeah. Yeah. Cause I don't know. You can make it look enormous and it's not wire. Yeah. Pick a fucking liar. Make fucking liar. Get a hairspray can, yeah. There you go. Wow. I've sent a few experience. Yeah, I'm on the road a lot. So

Speaker 8:          01:12:22       let's see here. Um, oh, this came in. You know, you know about this guy, right? Martin? Is it strictly shell? Shell clue? What's his name? Martin Shkreli. Uh, this is the guy who, he's the most hated man in America. Um, he became really well known, I don't know, six, nine months ago when he says, uh, when he has the company that he was a CEO of, bought this patent on a pharmaceutical drug that helps like AIDS patients. And it was selling for something like 12, $13 a pill, something like maybe $7 a pill and he raised it to $700 a pill. Oh my God. And then there was just huge backlash. What a pos is kind of a, yeah. Oh, the biggest pos. Then, not too long ago, he was arrested for a company that he used to work for a hedge fund for like a Ponzi scheme there.

Speaker 8:          01:13:32       Oh, wow. So everybody was celebrating. Apparently there's a new thing here where he, um, it looks like he says a friend of Kanye robbed him of $15 million. I don't know how that happened because see, it says I'm keeping his name in the headlines. Oh, there's a new, you know, a cognac out called the life of Pablo. He made a $15 million offer for exclusive ownership of the album. Um, but it'd be put forth 50 million on the album, only to be duped by a bit coin thief by the name of De Quan or, um, and he's writing who the fuck has my $15 million, uh, someone named. So anyways, so he's saying that, you know, all this shit. Now he also, in addition to this, had a beef going with, uh, Ghostface because he's the guy. Do you remember that? A few, like a year or so ago, Wu Tang decided to release an album with, they would only make one copy of and the, and it had like some crazy, you know, uh, cabinet chest made and it was one copy and then the person who bid on it would own that copy and they could do as they please with it.

Speaker 8:          01:14:53       I didn't know that. That's okay. It's kind of a crazy idea. Well he won. He, he owns it. There's Pos. Pos bought it for $2 million. And then the idea, a lot of people thought that whoever would do it would buy it and then share the album, you know, cause that would be the joy in it had thing to do is share the album. Well he said he's never even listened to it and it doesn't plan on sharing it. Wow. Just has to have it basically like, you know, like a villain, like a sociopathic piece of shit that he is. So yeah, he's a, he's a fucking wow. What a cool guy. So this piece of shit, he's also tweeted some bullshit to Ghostface, um, cause go said something about him. So he called him, uh, you know, I dunno, it caused some type of asshole.

Speaker 8:          01:15:43       He said ghost is mad that the Shaolin outsold his last five albums. Do the nonprofit rap rapper basically saying he doesn't sell records anymore talking shit. Well there's somebody you don't want to talk shit to this ghost face killer. Right. I don't know if you remember, not too long. Over the summer actually, um, uh, action Bronson talk made a kind of a slight dig at Ghostface and goes put out a video where he just eviscerated this guy for a full fucking, I don't know, 10 minutes. Um, he just talked mad shit and he's like, you got a big ass bitch one day I might sit that shit on fire. Yeah, it was my favorite line ever. I might sit that shit on fire and then he, he has a his mean face. It was like a fat kid. So Ghostface made a new video. This one is over 11 minutes long where he's talking shit to this super bill and Pos Martins strictly whatever. Um, so here's some stuff, some stuff right?

Speaker 6:          01:16:49       Why is that not as far as mine. Yeah. Hello?

Speaker 8:          01:16:55       Yeah. So I don't know why his bleak, but Martin says, where are your goons? Not as hard as mine. He was lifted up your skirt motherfucker. So already Ghostface winds, the entire thing

Speaker 6:          01:17:10       goes to stop pretending. Stop acting. Stop lying. Yo Man. Yo Man, you hilarious man. You must be on real in a certain man. You know what I mean? It took us out, man. It's like, Yo, you will forget supervillain man, the man with the 12 year old bag, this will he be, his name was Corelli right there when y'all see him. You know what I mean?

Speaker 8:          01:17:35       He does. He is built like a, like a young man. Uh, Martin, the Pos. Oh, it's 12 year old buttons. Yeah. So He's, he's talking shit about his build,

Speaker 6:          01:17:44       which, you know, I don't even know how we change to this. Like this is goals, verse three to pay it like 2016 you know what I mean? All you can do right now, just try to fly away in front of my face with this is, this is, this is error. Check this place out, man called dot knows anything. You know what I'm saying? Walking around with fake goes like, he's tough and he ain't got to a real bone in his body. You know what I mean?

Speaker 8:          01:18:08       I do know what you mean.

Speaker 6:          01:18:09       Yeah. I did all tough today. You won't come at me and you don't go to check out with the 2 million. I was acting like we washed the rappers, like I'm a washed up wrap up, but you don't put a washed up rap album for 2 million.

Speaker 8:          01:18:21       Yeah, that's a great point. Yeah. Probably the best point is if you're talking to shit to the guy, the you bought $2 million. Yeah. You get your life getting your entire, yeah.

Speaker 6:          01:18:31       So tell her wonder about your seriously, because I'm wanting to be like, Yo man, was he jumping rope as a child? Was he planning on how Scotch or eat ice cream with his fellows? You know what I mean? We'll have the sleep overs with the boys.

Speaker 8:          01:18:44       Do you understand that? It's talking about it's ghost, semi coded way of saying are you gay? Oh it was as a jumping rope. As a child you eating, oh all those activities are gay. Yeah. For a little boy.

Speaker 6:          01:19:07       Do sometime I wonder about you seriously cause I'm going to give him like Yo man, was he jumping rope as a child? Was he playing hopscotch or eat ice cream with his fellow isn't you don't mean it will have a sleep overs with the boys. You know what? I'm saying it's like, where did you go wrong?

Speaker 8:          01:19:24       Wow. That is fucking hilarious. Wow.

Speaker 6:          01:19:28       Oh, you don't believe you? The people don't believe you. I won't even believe you. You don't even believe when your own goons of course. You know what I mean?

Speaker 8:          01:19:34       He been a video of him like with his, you know, Aka his goons, like his body guards with him talking about like he has, he has the same kind of street credit that you might have. Or like if you fuck with me, you're going to get from there. Come on. Fox was the, with this face,

Speaker 6:          01:19:52       you know what Martin said to the people out there all over America and all over the world that my rooms in his heart is yours. Yeah. I'm about to show you something. Hold on. Can me go,

Speaker 13:         01:20:08       oh, by the way. Yeah. You know what? These mobile homes, where are you at? Where you at? A party.

Speaker 8:          01:20:15       He brought in like his mother and um, a couple other women masks. Um, oh, ghost face, by the way, has a new product out there that would like to give a, an unsolicited unpaid endorsement is woo. It's for your a vape pen, smoke weed. Um, it is a vape dad would be interested yes. In something like that. Yeah. Yeah. It's uh, I think he, he put out a commercial. Oh, that's cool. Yeah. Well support Ghostface. Absolutely. Yeah. I'm a big, I'm a big fan of his fuck that Martin Guy. And where is it? Is this, it hit a commercial for it that I saw somewhere. Woo. Where? Yeah, yeah. Oh yeah. He said like if you, I'll just play if it plays here, this is, um, his new product.

Speaker 13:         01:21:13       Welcome back to living made easy. I am your host fake and if you're just joining us, we have a very special guest here in the studio today, Mr Tony Starks post brought to share with to studio audience. This is a sweat. He is called the Google. All you got to do with just put this goal inside, just dynamite stick. It's like a pen. You know what I mean? Take that hit and off you go and walk and you've got to start skipping. Done. The

Speaker 8:          01:21:47       best thing I've ever heard in my life. Walking. You're going to start skipping. He's the best. And he's absolutely in the conversation for greatest MCS. Anybody who doesn't know, just doesn't fucking know. Yeah, it's crazy. This kid's going to talk shit to him on his, on his skill level is fucking bananas. Um, okay. Wait, is it liquid swords? No, that's the jets on the resin. Yeah, they're pretty Tony Album. Uh, what does he got? Fish scales? Um, well he's got, uh, the album Hemin and Ray Quan did together. I think they did that together, right? Uh, Cuban linx. Isn't that them together? I mean, it's, it's considered a, uh, uh, Ray Quan. I'm one of them. He did with them. Yeah, that's that one. He did it with him. Um, he, dude, he's unbelievable on, on all of the, uh, Wu albums too. He's got incredible. He's incredible skills. I mean, even Rizza who produced everybody's Shit, he said multiple times, that ghost is, is the best. Best Rapper. He's a, he's, he thinks he's one of the best of all time. Look it. Here's his APP. Oh yeah. Iron Man, supreme clientele. Pretty Tony Fish scale more fish. Um, collaboration that albums. Put It on the line. We massacre and of course all of the uh, oops, hang out ones. Anyways guys. Ridiculously talented.

Speaker 8:          01:23:31       That's crazy man. Yeah. Total asshole. Uh, by the way, we're always looking for champions in the, you know what I'm saying? You feel me? I'm talking about um, oh yeah. And I got to play this real quick before I go to dental update. I was live tweeting

Speaker 16:         01:23:50       [inaudible]

Speaker 14:         01:23:57       so as I said, I went in for a dental cleaning last week. I live, tweeted the event and basically everything, I mean I got to talking to my gums were number three. Like she was rattling off my number three, three, three, four is in the back. And she chastised me, I need to floss every day. She said, and I was like, look, I'm a new mom. I don't have time to fucking do this shit anymore. She said, y'all have to floss every day. And then they took a full set of x rays. How many cavities do you think? I have? Four zero. Zero. So my teeth are in good shape, but I did get reprimanded for not flossing. And truth be told, I haven't been flossing. Is Madge. I had the beginnings of mom now, so I'm not proud of it and it shouldn't be proud of it. But she did get through the cleaning and you know, I just got a little reprimanded. Subsetting we're building up our floss game. I'll admit it. Have you been flossing

Speaker 8:          01:24:59       floss last night? Last night you saw the, you know, I just did, we had meat. Yeah. You should definitely it after like,

Speaker 6:          01:25:06       yeah. Okay.

Speaker 8:          01:25:10       Um, real quick for the, you know what I'm saying? So here's the names are ghosts now means from just from this,

Speaker 6:          01:25:17       you know what I mean? You know what I mean? But you know, you know what I mean? You know what I'm saying? You know what I mean? You know what I mean? You don't mean you don't mean it, you know what I'm saying? You know what I mean? You want me, you know what I mean? You know what I'm saying? You know what I mean? You know what I'm saying? It's like, Yo, man, did you switch it? I mean, you know what I mean? You know what I mean?

Speaker 8:          01:25:43       You know what I mean? It's a lot of them. It's a lot. Yeah. I'm like, I don't have a job that in my life and so I got to get going. Meeting to go to. We've got to roll. Thank you guys for watching the show. Thank you for listening. Please

Speaker 2:          01:26:03       go to your mom's house, podcast.com Tom Seger. I dot coms were to compromise and ranch.com the links to tickets and um, [inaudible] dot com.com www dot. We'll leave you with these jeans, uh, ghost crew. You know what I'm saying? All right. Bye Bye.

Speaker 13:         01:26:23       Mommy.
