Speaker 1:          00:00:13       Joe rogan experience podcast.

Speaker 2:          00:43:00       You have an idea in your car on the way over. You know what? Only one way to try. Fuck it. We'll just throw this out there and you know, you sandwich it in between one good bit and then you slip this new one in there and he'd throw some water on it. You see what you got? What Ms Dot last time if you like. When was the last time you ate? Like ate it mentally in your head. Maybe the audience like the audience sometimes doesn't know. You know what I mean? Right. They think, oh that was a great show in your head. You're like, I have those all the time. If I fuck up one bit, I'm super hard on myself. I had one last month I performed for Dale Earnhardt Jr. Oh right. And his race team. WhOa. And it was his birthday charity event. Right.

Speaker 2:          00:43:40       So 600 people. I get up there, dAle earnhardt sr introduces me get on stage for I know no shit. At least seven minutes, seven minutes of bulletproof stuff, stuff that's never, you know, it's been tried and it's not even like giggle laughs, right. Stared at me. I, I talked for for at least five minutes of zero laughs and sweat bust out on my forehead. And I'm like oh my, this is idle. And for some reason at minute six I did a joke and everybody started applauding and laughing and then for the rest of the show, you know, they were cool. How weird after like some of the people walk by and go, yeah, you were really funny and you started off kind of slow. Like that was the thing that's still in the guy who brought me this heffernan guy and no relation. He said that they had What I thought. Yeah, right. They sAid they had rape. Um, jeff foxworthy billing like other shows, like they just had to listen to you and not maybe understand how you talk for the first six minutes of playing and talking fast. Oh you talk like a foot.

Speaker 2:          00:44:58       But dude, I was sweating and I'm like I have not had this happen. And you know, I remember we went to, I think it was dallas, no, atlanta, it was atlanta, one of the first times I did the punchline down there and we did a radio station and they were asking us all these nascar questions and I was like, what? Like why would you think I would know anything about nascar? And then I realized, oh, everybody knows everything about nascar down there. And it's one of those things like when you find out about country music artists that no, never heard of, but they sold $50, million albums. there's a lot of those. TheRe's a lot that's a whole that south. So a whole different culture, man. Whole thing, whole different culture. It'S a complete different world like our world of, you know, you think like, you know, fill in the blank, you know, whatever band you like, queens of the stone age and you know, I heard the new iphones out there, fucking the new duck call came out.

Speaker 2:          00:45:46       They're all, it's so realistic. They're in their cars driving on the highway. I mean it's just, obviously I'm bullshitting, but there's parts of atlanta that are liked that parts of Georgia that are like that. Georgia is a fucking great country, a great state court, great country. Atlanta, Georgia is a great city, but george's george is an interesting place because I'm like a lot of guys you wouldn't think of or from Georgia like David Cross from Georgia, that greeley smart, sensitive, intelligent guy. He's from Georgia. You know, rem. Rem. Atlanta is a different kind of city man. That's where belieber a taped is a special. His netflix special. That's outright now. I please, please get this. If you're going to get a comedy special, go get this. Get mine too if you want, but get his. It's fucking great. I'm a big bill burger fan. I love that he's out there.

Speaker 2:          00:46:43       I love that. He's always writing new shit and then he's just silly and fun and you know, his act is, it's a silly, fun act. He does his bit. I don't want to give it away. I'm not going to say anything about the bit, but he does it bit about helicopters. Yeah, that's all I'm going to say. It's so great. It's so silly. Fun, man. I really, really enjoyed a set. I just love him. He's just a good dude. He's a licker genuine good dude. That's why I love performing with you guys a couple days ago cause you guys are all who you are. So then lIke seeing you guys perform is different than like when I'm on the road and there's some little feature that the local features, I'm not saying don't suck, but there's different conversations you have in the green room and the, you know,

Speaker 4:          00:47:30       the, the material is all kind of. So it's nice. Yeah, I know exactly what you mean. I went to a headliner camp for like, you know better. Okay. Then that's why I like doing those ice house shows. Man. The other day, the ice house we had ready for this chris delea, brian cowen, bill burr, tony hinchcliffe, ian eDwards in me, it was a motherfucker, a motherfucker lineup, but you guys wEre just murdering after murdering and for a few bucks to 15 bucks, what all of you cost individually on and your theaters are clubs for the most part. Everybody you mentioned iS, you know, a 20 dollaR plus ticket. It's a sampler pack. Yeah. But it's for 15 late shows actually cost me money because I take all the money that I get from those shows. I tip everybody out, all the comics and that he usually, either I make 100 bucks or um, our breakeven.

Speaker 4:          00:48:28       Yeah. I haven't always money every week. Yeah. But they're there. So the place, first of all, the ice house is a slice of heaven. It's just one of the greatest buildings in the free world. It's amazing. Their club is magic. It's like that club and the comedy store that. But the ice house has magic in a whole different way because it's pasadena. It's not hollywood. So it doesn't have. It's like full of itself vibes. So people like a little bit more chIll in pasedena. So oldest comedy club in the country, the owner couldn't be nicer. I mean bob fisher is one of the nicest fucking people that's ever breathed air. He's just so sweet. He's always liked that. He's got a great diy like always to everybody. You can walk up behind him. He doesn't know you're there and he's talking to the manager or the wait staff.

Speaker 4:          00:49:14       He's Always smiling. He's just a sweetie. Just a sweetheart of a guy. So like the staff there is awesome because of that, because of this like good vibe. Like all the waiters are so cool. Like every time I go there I'm like super happy to give everybody hugs. It's just, it's, it's a beautiful environment. And because of that, like doing shows, there is like, it's kind of special. There's something special about it. I'm there wednesday night. I love that fucking place. We do. I do wednesday night at 10:00, like every other week, every two weeks, every three minutes just to set it up, just to, just to fuck around there and have some fun. And also just to get people to keep going in that spot. That spot. It's awesome. It's been some 19, 60 something. What was the brand? It's been 53 years. I think it is something crazy like that. So 61 or something like that when it opened. I can't think of it. There's some really old school. Huge comedy albums recorded there too. Oh, I'm sure. Yeah. I want to do my next special there. I'm committed. I'm committed to doing specials in comedy clubs. I'm committed to that. That's a different thing then. Yeah, that's what I'm trying to do, just because I think I might pay for this special all on my own. Oh yeah, yeah. Film in a comedy club and just, you know, so that's just cheaper and it's just as

Speaker 6:          00:50:28       just as good as walking around a theater. Let me. Theaters are nice too. I think it's better. I think it's better just I'd have a better show because it's, it's what I normally do. Yeah. I performed in theaters all the time. Then I would probably want to shoot. Especially, although I have to say the burst special, he filmed at the tabernacle, which is the same place that I felt my last special, the one before this one and the tabernacle is a great spot for, for doing standup. It's not too big. I think it's only like, I want to say like 1300 or 1500. It's not like a massey hall, which is like 3,400 and you get to that size theater, like joey diaz and I went to see Louis Black once we were, we were playing the next night. We're playing on friday and he was playing at the same theater on thursday and we sat in the crowd and uh, it made me realize like there's certain shit that you can't hear the guy say because everybody's laughing like you gotta be really careful with like subtle shit.

Speaker 6:          00:51:24       You got to make sure, like you don't hear any laughter still when you're doing something subtle. So your timing kind of changes in those really big rooms. But the rush of the big room was like, yeah, I think that most I've ever done was I think 10,000 to some corporate event. It was, it wasn't. People showed up to see me. I was a sammy hagar was on and steve miller, I was on. Wow, you worked a sammy hagar and steve. but what does steve miller looked like? Did you even recognize him? A note because the album was only the white horse like, so by you know, teenage years I've listened to me. I've never saw what he looked like. He looked like a dad with a blazer and jeans and just went out there. That's the thing about steve miller. He is the least recognizable major.

Speaker 6:          00:52:10       He walk around rockstar. He could walk, run anywhere and it seemed like he never tried to become famous. Or you're going to out him on the podcast that steve miller. That's what it looks like now. Dude. He had some fucking jams. Jungle love. that was that whole album. Reminds me of high school. Take the money. And this is still about billy joe. We thought we. We thought we were cool too because we're listening to classic rock that was technically we're into this, not this new edition, you know, it's really fucking weird man. I went to high school in 1981 and in 1981 I started hanging out with these kids. I just moved into town into a newton upper falls and I started hanging out with my friend jimmy and jimmy and all of his friends were all from the other side of town. They, they're all like the north part of newton and they were all like everyone adores tee shirts and they were all smoking weed and it was like they introduced me to all this music that I didn't even know existed.

Speaker 6:          00:53:10       But when I think about it now, the shit was only 10 years old. Yeah. Like the allman brothers, they were, they were playing like some almond brothers are some doors. That shit is from like 1969, 1970. So at the time were talking. I went to high school in [inaudible] one. That was my freshman year. This is, what is it? Twelve, 13 years old. Fuck nothing. That's like some music from 2001 that's contemporary, you know, like a song from 2002 you could still hear like on a regular basis that would be on a radio station that was eighties, nineties and male sex and can day. Yeah. You can hear that. You could eaSily hear that someone can play that non. Ironically on a regular radio station they wouldn't be saying, oh you remember this shit. That would be a song they would play. But that sex and candy song came out In like like 99 or some shit.

Speaker 6:          00:54:00       Yeah. So think about that. Like that. We wouldn't say, yeah man, that was the classIc. Something fucking happened to time. Time is not what it used to be 10 years ago doesn't mean shit anymore. But 10 years ago back then meant a lot when I was in high school. And then in 1981 and 1970 car was a mother fucker. If you had a 1970 chevelle or a 1970 barracuda you what? A fucking sweet car. oh you got a classic muscle car. It's only 10 years old. What the fuck happened? And he does that when it happened. The acceleration, just information. We're pumped. We're going to the library every single second. We look at her phone, you know, that's what's happening, right? That is what's happening. I was talking, I talk about music onstage and I always ask people in there are, you know, people at the shows that are like 21 or all of their music has been digital their entire life.

Speaker 6:          00:54:59       Completely crazy. There's like never physically touched anything. Just that's not even a a process that they have in their head. I asked five people last night if they knew sissy space was and no one knew. That's insane. If you haven't seen the original carrie, you're doing yourself a massive disservice. That original carrie was a masterpiece. Is that brian depalma? Who made that? God damn, that was a good movie. That was like one of the best Stephen King adaptations and sissy spacey knocked it out of the fucking park with a light saber. Just. I mean, she was so crazy in that movie, like her character was. So it was. There was something about the ridiculousness of someone having telekinesis, but somehow or another she sold it like you bought it, you believe when she came out there with that fucking pig blood spoiler, she came out there and she had that pig, but they don't pick blood on her head.

Speaker 6:          00:55:54       They played a trick on her to get her to think that she won the uh, the prom. They all voted for it just so they could dump blood on her head and she just tore the city apart with her brain. And you're like, get out of here with this stupid fucking movie. Like, that premise has been tried before and everybody goes, get the fuck outta here. But in that movie it actually works. It's awesome. That's a great movie. Do you ever watch that show? It's now on netflix. Carrie santa maria is the one that turned me on to, I believe in black mirror. Black mirror.

Speaker 2:          00:56:24       Have you? Yes. Oh my god. Great. Just watch the first episode on netflix and you'll be hooked. It's like twilight zone mixed with technology. It's beautiful. In the first episode is one of my favorites. It's really good. I don't know why that is on in America. Yeah, it's on bbc America, right? Yeah. That's how I think I got it off of. I think I got it off a direct tv, like one of those instant plays. You can do that. It's on netflix. It's on netflix right now. Yeah. That's a good show. So amazing. Like mayor. Yeah, I think it might be right about technology making like years seemed quicker because we were watching an auction, you know, one of those, uh, those car auctions was on the tv show, the green room and uh, it was in 2002 camaro and they rolled out this 2002 camaro and everybody's like, who fucking cares that thing out of here?

Speaker 2:          00:57:14       nobody wanted it. They were looking at is 2002. It only has 17 miles. There's a reason for that. Do you know why would I get a 2002 camaro? What'd you can get? A 2014 and it's fucking dope. Or a 1969 and it's dope. It's weird because I also, I get jealous of new cars, not because their new cars now it's because of the gps is in their territory, their technology that's in it. Like I want that car. Terrific. I, I have a really nice expensive car but it's an old oh six. So the technology, I cAn't even plug my phone into it and well If you like the car, you know, you can always just get aftermarket stereo. Those are so much better anyway. And the nav system now they updated and now embed it so much that I'm looking at it right now to get the apple car play and my old ford edge, but they embed the sink in like sO I, I will lose so much if I get a factory or I'd take out the factory, like I'll get my oil change reports, my emergency gps thing that kicks in if I've been in an accident.

Speaker 2:          00:58:17       Oh all that's gone. Well that's annoying. And then the, the, so the, the, you can't update the navigation system on those cars either? Absolutely. Right. It reAlly pissed me off because with sync at least sync would update it within like the first year, like there'll be updates and there'd be sync is the word, but then they just gave up on it and then I was like, yeah, they just know they stopped giving any updates and so my shit's like doesn't even halfway work with my iphone anymore. Louisiana market. I have an aftermarket stereo in the porsche and I can download new maps and you can download updates. It'll tell me. it'll send me a signal and then I could just download it through the, through the wifi on my phone or the cellular connection on the phone. It's a pretty slick. Let's talk about all fast technology.

Speaker 2:          00:59:06       When you probably moved to los angeles, he had a thomas guide. Yup. Yeah. I'm surprised that they haven't really made a doc type thing where you just put in your like your ipad when you get into your car and it turns into like a car stereo and it hooks up immediate automatically. And bill burr had a fucking thomas guide as recently as 2008. They'll do the hardest. He fucking showed up at my house and I go, what is that? He had a map book on his front seat. He goes, yeah, I'm a fucking technology. I don't want it in my life. I don't need it. I don't. I don't need the gps. I don't need anybody. No one where I'm going. Did you hear him? But they know. They know that watching will. You know they're watching you. They know what your fucking car is.

Speaker 2:          00:59:50       Cool with that. You're cool with them knowing where your car is. That last podcast I asked if he was still using mapquest. He goes, no, I'd do it on the phone now. Finally gave up, but he's got a phone that's like for four years back. Just the character man. Thomas guys were were like, imagine telephone books with maps on each page, but then the find your street. Remember you had to go to the white and then you had to get a protractor and fun, but you would all. You do this all while you were driving by the way, not like members remember going on vacations or parents that they have like aaa triptiks where it's just like, all right, turn next page. Yeah, that's rIght. I remember now I did this college tour when I was 20. We had to go around the country and we had a game show.

Speaker 2:          01:00:33       It was called crack me up and you'd have to pull a student. You'd be a student and I'd have to see you in a chair and then I would have a minute to make you laugh. Oh, I've seen something like that. I can give you. If you didn't laugh, you got 25 bucks. If you laughed you got tee shirt. So I did maybe 200 dates of this tour just in a van with two other comics. I'm driving around the country, but we had a big rand mcnally map and then you'd highlight it and then you would drive and when you got 50 miles outside of the city you would go to a payphone and then called the school. Like it was such a. Like that was not that long ago, you know? I know that sounds archaic there. We got on the horse. Did you have a goto move for, for that show?

Speaker 2:          01:01:18       Oh my god. Dude, it's a. Yeah, I had a couple characters because we have props. How many seconds did you have to make them off? Uh, I don't remember. Thirty seconds or a minute. Seems like a lot. It could have been. I don't remember. Are you comfortable telling us what you did? You're comfortable revealing your secrets. Okay. Here's, here's the one that would get a. I would do this guy called book report guy. Okay. Okay. So I put on like a random funny hat and then I was. And then so we'd have like one of the comics would go now coming out and then you would say the character's name kid given a book report on a book he didn't read and I would just literally make up a book report and just she would just wing it. Yeah. And then they don't owe us. if people laughed, doctor quam here.

Speaker 2:          01:02:04       Here's character. now coming out dr. Karma. We had a japanese completely japanese head thing. You, you went japanese, japanese, just a. And I put on a doctor's thing and then I would move my lips and the comic behind the wall would talk. So it wasn't ever sink top. Wow. Did it work? You know. And, and where it was scary is we would do all these colleges in like if we thought it was a, like a predominantly black school, we knew we were dead in the water. Like a lot of times we go because we're like three white guys. one time, I'll never forget mccook Nebraska, we did a show, the basketball team comes and sits on the front row. Uh, one of the comics we're with, um, was mixed. It was half black, half white. He went out, he went after these guys just kind of, you know, trying to make fun of them.

Speaker 2:          01:02:57       Keep in mind, this was nineties, so like def jam was kind of in people's brain that that's how comedy was, was that type of. So he went after this a basketball team. So we do the show, we leave, we go to a local pool hall, uh, why were in their seven of the basketball team come to the pool hall and surrounded us and then they go to the other comic, jason. THey're like, don't ever say something in front of me again like that, but blah, blah, blah. I'm like, dude, these guys are going to fight. we're dead. we're, we're completely dead. So I remember I was racking, we were playing a nine ball. I was racking and then I grabbed the two. You were ready to go to war. There was, I thought we going to be killed. I thought we were going to. So I'm like, here we go.

Speaker 2:          01:03:44       So then, uh, they said, you better get out of town. You guys better leave or you're in a western, a western. So in, here's how I would handle myself in western. We ran back to the hotel as fast as we could through all of our clothes, just into one bag. Jumped in the car. But we're in mccook, Nebraska. It's all corn. So as we're driving, we returned in, you'd see headlights coming and you're like, okay, they're following us. this is where, this is where we get shot. Well they told you to leave. If they were going to do something new, they wouldn't have told you to leave there would say stay right here. That's true. And then they would have just killed. It was just beat your ass. The only reason why they would say you better get out of town as if they knew that you were driving a long way and they could overtake you along the way, push you into a ditch, and then their cousin who's the cop would stall on the way over there and avoid some of the evidence.

Speaker 2:          01:04:33       Who dodged the bullet? There was some statistics somebody put up about how many people get killed by cops and in what places like albuquerque, apparently albuquerque, New Mexico is just like one of the most violent places for like police and civilians. Like cops in albuquerque. They've killed a gang of people like the number. Like everyone is going crazy and berkeley. Have you guys been paying attention to this? They're stopping the highway like every night, like these kids are just blocking traffic on the highway and they're getting arrested in their live tweeting while they're getting arrested and part of me is like, well, look, at the very least they're making a big fucking deal, right? There's like a lot of eyes on this. They're stopping the highway every night.

Speaker 4:          01:05:18       There's all these kids, they're wandering through the street signs. They're fucking active, they're active, they're making people think, and is it possible now? I'm not in favor of shutting down the highway because if you do shut down the highway, there's some people that might be on the way to the hospital. They might have some heart attack and you lose your grandpa because some kids thought it'd be cute to support that support the ferguson trial in the middle of the berkeley highway, but is it possible that just knowing that there's that much of a reaction, that people freak out that much over some shit that happened in Missouri that it might make them second guess where they pull the trigger? I say it probably does. Yeah, probably does. Right? All the shit that you're seeing on the news on a daily basis, every time something happens, people get in trouble every time.

Speaker 4:          01:06:05       Look at hollywood and highland. No, the other day I can't believe that guy got shot on right in the middle of every. You know, the center of hollywood in front of everybody and the only had a knife. What happened with that? What is the official story? Do you know? It's still being investigated because I've heard all sorts of ridiculous conspiracy theories involved in costumes and that he was one of those players that pretends to be cosplay. Yeah. Well there was a kid who was a cosplay kid who got shot with a samurai sword. Just see that. Yeah. Some kid had a fucking samurai sword and he was walking around pretending to be a samurai and the cops fucking starts shooting at him. Killed him, you know, and I don't think he threatened anybody. Do you think because it's aLl on the news now. Our cops like zero generation of cops that got really shitty training that like shoot people first or do you think it's always gone at the same numbers?

Speaker 4:          01:07:00       We have now, it just, we've reached an age and with news and now I think it's more that they felt was all consistent. Yeah, I think so. I think if anything, it's probably less now than ever because some places are starting to implement body cameras on the cops, which should be mandatory. It's a crazy role to role of having ultimate power over another civilian. You know, another another fellow citizen. That's a crazy role and that kind of power like the state. We've talked about this before, but if you haven't heard this, google the stanford prison experiment and it's all about how they had a these kids and these one, one group of kids would play security guards. The other group of kids would be the prisoners and they fucking went bad. Quick. People are gross like you can't. he can't give that people that kind of power like power, like to shoot and kill other people.

Speaker 4:          01:07:54       It's just people's default setting is, is pretty shitty, but we just have just enough. We changed the stuff a little. You also have to think that if you're dealing with a cop, okay, a cop is experiencing violence and murder and theft and robbery and crime on a rate that the average person will never know. You will never know wHat it's like to be someone who every single night is just going to war every single night. You're dealing with bodies and people that had been shot and people that have you fill, fill in the blank, everything. Rape and murder and child abuse and you're just constantly seeing horrible, horrible things. So when something happens, like a lot of these guys, they're so ptsd out there, they have just fucking trigger finger. They almost can't control their. They're experiencing like lifetimes of trauma in a year. I mean, yeah, if you're a cop and you're in a bad neighborhood, you're experiencing a lot of fucking shit and it affects people in different ways and I think it's just an unbelievably hard job to do. Yeah. Yeah. It's an unbelievably hard job to instill. THey get killed too, man. You know? That's another thing you have to take into consideration. I think 53 people, 50. How many comps a year get killed? I was reading the statistics. I don't want to. I want to botch it.

Speaker 4:          01:09:15       We just found, um, I, my grandpa, I guess I've never met him. He was a cop in detroit and was shot and we somehow came across the tIcket book that was in his pocket and there's a bullet hole going right through the parking ticket. The ticket book. Yeah. Jesus christ tent. Wow. Kind of a weird artifact to like locate though that 150 deaths per year. That's what it is. One hundred 50 cops per year get killed. How many of you know? Um, I don't know. That's a good question. Okay. 900,000 dollars. 900,000 sworn law enforcement operators, officers, whatever you call them. Well that's a lot. You know, 150 of them get killed in here a lot. A loT of fucking people. They kill a lot of fucking people. You're too. Okay. How many people did cops killed? What's guessed that? How many people are cops?

Speaker 4:          01:10:10       A lot of them. Bad guys. Let's just. We're not, this isn't a judgment thing. We're just trying to find the number. How many people do cops kill every year? I do want to get a 150 copies a year. A thoUsand 400. Seems like 400 per year. $400. I was going to say almost triple what? It was a couple of different sites that say it's 400 per year. So it seems like things low does it? Yeah. Well, I mean I guess half of them are still like, oh wait a minute. Hold on a second. It says local police involved in 400 killings per year. What the fuck? She's per city, Washington dc. Oh my god. Okay. Nearly two times a week in the United States. A white police officer killed a black person during a seven year period ending in 2012. Whoa.

Speaker 4:          01:11:04       That's fucking crazy. That's a crazy statistic. Two times a week for seven years, a white officer killed a black person. Like at what point in time do we have to say that there might be a little bit of a problem. What? What? How high do the numbers have to get with crime and police and police shootings and how high the numbers have to get before people go, what the fuck is going on here? Like how, how many black people are getting shot by white cops? How many black people are committing crimes? How many white cops are looking to shoot black people? Like what are the answers? Like if you were the people that were in charge of overseeing the police department, I don't know if they ask these questions but that will be like the first thing that I would want to address publicly if that fucking statistic. You know, people started talking about that more often. Twice a week, twice a week of white guys kill a black guy.

Speaker 4:          01:12:00       That's, that seems like a lot. I mean I don't want to laugh talking about that, but that seems like a ridiculous amount. Like that's a good argument. And anybody that says that like you know, that there's not at least the potential for racism. Like how could you not look at that? That number right there seems slow. I think Just in los angeles. Twice to two cops. Shoot a black guy. I don't know about that. Well, they were talking about killing 18 percent of the blacks killed during those seven years were under the age of 21 compared to 18 or eight point seven of the whites. Man, you know, and it's, it's a, it's a double problem. So this is the thing. Everybody wants to blame one side, but there's, it's a double problem. It's not simply a problem with the police officers killing the black kids.

Speaker 4:          01:12:49       It's definitely that, but it's also crime ridden neighborhoods, how to stop the momentum of crime ridden neighborhoods and kids that are coming out of those crime ridden neighborhoods that commit crimes. Okay. How do you stop that? It's not, I don't believe it's the children's fault. I don't think it's the fault of a 16 year old kid that grows up in an unbelievably harsh environment and it becomes a criminal. I don't think it's his fault. I think he's an unfortunate victim of a terrible situation. I think nationally we have to figure out what the fuck is causing that and if there's anything that they can do to mitigate that in some sort of way. It's just a waste of resources and life. You're, you're, you're asking people to grow up in an environment that's sold, likely going to fuck them up for live or you. Yeah.

Speaker 4:          01:13:34       Or you have to do whatever the environment asks or you're dead. That a survival. You're like, oh shit like that. You really feel like doing this, but you know, no doubt man. No doubt is not. And everybody goes, well, you go to choice. You should fuck off, man. If you live that guy's life, then maybe you could judge, but you really don't know. You don't know unless you live there. And I'm just guessing. I'm just totally guessing. No, you know, I just think the whole thing, ultimately it's a wakeup call for America. I think there's a lot of people that are pretty fucking tired

Speaker 2:          01:14:12       of the way things have been going in this country. You saw that video that, that boy, like the boy with the pellet gun. What did you know? My friend justin told me that that guy was fired from another police force and they picked him up because he had already gone through all this training and they picked him up and this forest, but they had already decided this guy might be like mentally unhung two seconds. So I think you see it. Brian saw it, but I don't pull it up. Jamie. I don't want to watch it, but I didn't want to watch. I didn't watch it. I didn't watch it. I just read it. That two seconds they start shooting them like as the car is moving still don't get it man, I don't get it. And then I read you read the comments and it's always like, well if you don't, if you don't want to be shot by the cops then then don't do stuff.

Speaker 2:          01:14:54       Like somebody was kind of like, like bagging and it'll keep it as a kid. I remember running around with guns cap guns and you know, playing war we go said let's play war. And of course it's 12. Of course, I definitely would have done it the exact same thing and if I was in that situation and I was black and I was doing the exact same thing, I might've got shot, they said he was scaring people and pointing the gun at him and he's probably a disturbed little kid growing up in a fucked up place, you know, it doesn't mean he has to get shot. We were like the last generation to actually have realistic army guns for sale at toys r us at a point like in the eighties we had guns that looked like real uzis rob banks with those. Yeah, yeah, yeah. No orange, orange thing.

Speaker 2:          01:15:39       I think that was like in the nineties or something. You can always cut that out. Yeah. Yeah. I know a dude with a drill for that fucker out. Make it look real. We had a game, uh, I lived in a subdivision, probably had like 40, 50 kids, deep different ages. We, I created this game called tag. It was from a movie town, the assassination game, and we had profiles. We had everyone in high school or whatever grade we were in your school pictures and then I'd write brian's home, here's what bassy road, here's his address, and then you'd pass out those profiles and then you'd have to kill the guy that whoever you got. And I remember the john dory come in my house, knocked on the door and my mind says somebody is there, open it. It's during he pulled out a gun, you know, like one of those ones that shot the suction cups under the plastic with the pulled up black gun pointed right in my head.

Speaker 2:          01:16:38       Shot me right in the face with it. My mom was standing right there. Didn't you know, it's just like a son just got ya. You know. But wall toy. Yeah. We're all walking around with guns, knocking on people's doors, pointing guns instead. You're doing it with all friends though. Like you knew the dude, right? Some of the guys, like if you got the profile, you didn't know him well and you just have to show up to him and shoot him. But they were all playing the game. You all looked at it. Yeah, it was all like mob hits and that sounds fun as long as someone's not genuinely mad, like you know, someone like maybe like to grow up. The other guy wound up where they are. The only rule we had was you couldn't shoot somebody on the way to school. Like that was our big thing just because.

Speaker 2:          01:17:18       And I even bought a, we had the spiderman things you put around your wrist and you could shoot the rubber things through the spiderman. I wore that to school just in case somebody wanted to get shitty with me. After school though. It was actual weapons that you would push, like where the spiderweb would come up and it would shoot the rubber bullets. I'm talking about those rubber suction cup guns. Yeah, yeah, yeah. It would shoot one of those so I could point. So I had one shot. It was like a derringer. Why do you have that up? I was going to show you what he was talking about. They actually have to do a thing called street words where it's a whole city. Thirty days, 24 slash seven water gun. It's destination. Oh, that's hilarious. That's a great idea. That would be a fun thing. As long as you're doing it with cool people that aren't going to actually kill you.

Speaker 2:          01:18:04       I remember making the profile, so I would take your picture and then I would with stencil or whatever, you know, home office stuff we had, I would make a little profile and I remember my dad going at wish you'd spend more time on your homework then. Like I was obsessed with this game. Yeah. But your dad was incorrect because uh, you, you gravitated towards fun and now you're successful. Standup comedian dad was totally incorrect. Yeah. Parents are often incorrect, man. Got to get out of your fucking kids way sometimes. But then the other thing is I bet by like not encouraging you to do stand up comedy. Like you probably like, like by saying like you gotta get your shit together. Why you spent all this time playing the stupid fucking game. You should be doing your homework. But by, by doing that, like they put a little pressure on you and it makes sure that I'll show you.

Speaker 2:          01:18:49       Like some kids don't have that. Yeah, I'll show you because their parents were always super supportive, so if shit goes wrong they don't know what the fuck to do. My parents didn't know my. I did stand up for like five years. Really never even told them and then somebody saw me like at an open mic and asked my dad and then my dad goes and he was you doing standup comedy and it was weird. Like I was probably. My dad was probably whatever the math is my age now. So just like imagine like you then you're like, it's so you think your dad was an hip and cool and wouldn't want to be, but there is a major advantage to raising kids when you get older, you know you have your shit together at least a little bit better. Like when you're 20 or 21, like I couldn't imagine raising a kid at 2116.

Speaker 2:          01:19:39       That was a lot of people to do it. my life wasn't 16, 17. My wife was 19 when she had her. God damn man, that's crazy. It's just what an unbelievable responsibility when you're barely and she's in rome, nervous. She was in the military and having a kid. It's crazy. You're barely an adult. Barely. I mean as an 18 year old or an adult technically. Yeah, but we all know 18 year olds, they're like children. You know the children that know a little bit more than the average child. They're just experiencing life and they're still trying to figure. I mean, when I

Speaker 6:          01:20:08       was 18, I was a fucking moron. I was a moron last week. Yeah, yeah, yeah. I was a moron a couple of hours ago. Know you're 18. god, you're fucking super duper moron, but are 18 was

Speaker 3:          01:20:21       way dumber than today's 18? Oh yeah. No, a million times. No doubt about that. We were dumber, heavier.

Speaker 6:          01:20:29       Fuck. it didn't have access to as much. They're super fucking experienced. The kids of today, they're super experienced in like not just like physical experiences but experiences like understanding like all sorts of different points of view and different information, different sides of things. Like they're mOre informed. They're just more on their brains are working at like a higher level. I really believed that. I've talked to some 20 year olds and I feel like I'm talking to like a young adult, whereas if when I was 20 and I would talk to other 20 year olds, I was talking to mo ron, other fellow morons who we would give each other advice and tell each other more ron facts that weren't real at all. You know, that was back then. I mean it's so nice to live like now if you have a random trivia question, are you like how many cops were shot? SomeBody you have access to that but, but like back in the day guys at bars, it would have to debate it. Like nobody knew that, you know, knew the answer to anythIng. You would just have to.

Speaker 3:          01:21:32       Yeah. It's really interestingly if you play video games nowadays because you're, you're matched up with kids all the time. So you're online talking to other adults and then you have thIs like 22 year old. That's an analytic guys I'm ready in its people are like havIng full on conversations with these kids. It's so weird. They don't seem like kids anymore.

Speaker 6:          01:21:51       Yeah, I gave up playing. Yeah. There's, um, there's just a new reality. Men is a new reality that we're experiencing. I had this guy on last, yes, less yesterday. he's a futurist and he just a, just kind of a guy who's invested in the idea of trans humanism and all this advancement of technology, but he was talking about how in 20 years we may not even talk to each other anymore. Everything might be done through like mind interfaces that work like the internet, like this, this device that they recently tested. They were able to transmit thoughts through the internet over like, you know, 500 miles or something crazy like that, like a very far distance. And you wear this thing and like you think, like, say if you think of hello, you think hello? Like you, you keep saying like hello, hello. And it reads what your brain is doing when it says hello.

Speaker 6:          01:22:44       And so then it recreates that. So the person on the other end on the internet has his helmet on and they hear in their head hello. And you're not saying anything like you're not using your mouth. You're using your fucking brain. Hey, you're sending a word through your brain to someone else's brain through the internet and it's really crude right now. Yeah. I wonder if there's auto correct for that. Like think something switches. Right? If someone's got like a deep like chicago aksana and that's what I meant. Shock each cac. What the fuck did you say? I was thinking that technology to even drive and I had a meeting today that was just like, I thought I wish I could just hollow grandma. Like at this point I'm eating right? Yeah, but that'll probably be in our lifetime. Don't like. I've seen technology biff of like cisco was doing.

