Speaker 1:          00:00:00       Four three, two, one. Boom.
Speaker 2:          00:35:48       Comedians and promoters like the, the architecture of a good comedy room, you know, like judge. Generally speaking, comedy clubs, lower ceiling like the or the or at the comedy store. Yeah. Perfect. Do you ever do comedy works in Denver? Yeah. Loved Chellus flawless flood. They nailed it. Yeah. Boy. Your comedy store? Yes. Flawless. Acme in Minneapolis. He's got a few pillars that are a little annoying. That's true. That's true. It's a huge building, but the ceiling height is just right. Yeah. Wide Ass pillars. You're like, what if I'm sitting right here? I got to do this to watch the show. I got to lean left. You worry about who's behind it. It's like doing comedy in the round. I'm always like, I feel like I have to keep spinning. You know? I've only done that a couple times and it always feels weird. I hate it.

Speaker 2:          00:36:31       I need people in front of me. Yeah, it's awkward. Uh Huh. Yeah. This is a good theater in Phoenix though. The Hollywood theater, they do that in the round. Louie did one of his specials there. One of his hps. Oh right. Yeah, yeah, yeah, I remember that one. Yeah, that was, that's crazy. Cause that's huge theater and around, it's not that big. Really think it's 2,900 okay. I don't even think it's that big. It might not even be 2,900 maybe 2,700 find out young. Jamie, maybe I'm wrong, but I know Sebastian, I think he did theater in the round in Madison Square Garden. God bless that 18 teen thousand Jesus, four shows. Boom. So good. Boom, boom. He's one of those guys that like back when no one knew where he was, who he was, you know, three years ago or so. Like I would make a point to stick around and watch him at the store cause he's so fun.

Speaker 2:          00:37:24       He's a great guy too. He's another guy like no one begrudges. If you've a grudge, Grat, Sebastian has success, you're probably a shithead. Well and you probably don't like fun. Yeah. You know I have such a blast watching him cause it's just, it's like he's like a silly ballet dancer. Yeah. Making up all these, all these stories and his facial expressions and how he, uh, his, his physical comedy. It's just par. Exsalonce I love it. Yeah. And he's always annoyed. Everything is annoying to him. Like that's this whole thing. Yeah. Yeah. It's everything around. It just pisses him off. Yeah. If you ever achieved peace, like peace of mind would be terrible. Awful for is what would you do? Yeah. You know, I used to legit think about that when I was starting out, when I was starting to do comedy, like a, I wanted to meditate and to try to do these different things, but I thought that's gotta be bad for your act.

Speaker 2:          00:38:15       I should probably not. That's crazy. Yeah. I know. I remember guys saying like, Oh, don't, don't be healthy. It's bad for your act. You want to feel like shit. Yeah. The only time you feel good is when you're drunk. Right. That's it. You want it to be depressed or be angry and lonely to smoke cigarettes desperately need their attention on stage. Yep. No worries. The only place you live, we're all fucked. Who Cares? Well, some of my favorite acts were like really depressed, like Richard Jennings, one of my all time favorite acts. It was super depressed when I'm killing himself, you know, and just like, God dammit. It was, it was maddening when I, when I heard the news, because he's one of those cues, one of those go tos that I could just, you know, I get fed up with comedians that aren't fans anymore, or a guy in Chicago who, ah, you ever have those people, you, you start out around and you're like, you just look at them and you never stay up and you're like, I never want to be you man.

Speaker 2:          00:39:03       Never. And he would be the back and just go, we'd go, HAH, funny. Like, is it because you didn't laugh? You made a noise like laughter. But you see everything is a competition. And I love, I love watching good comics, whoever they are. And like Jenny, Jenny was one of those guys were just like, this guy's an ace. You're like Brian Regan. Or it's like, I'm never not going to laugh. He's such a sweetheart too. We've talked about this in the podcast and I think what that came from was there was a famine mentality that existed in like the eighties and the nineties because the only way you can become successful is if you got on the tonight show and there was only one slot at night and there's only five nights a week. And then if they don't know, always have comics on either. And then the only other way you would get successful is if you've got to sit calm.

Speaker 2:          00:39:48       Right? Or you got an HBO special, which only famous people got, right. Yeah. That was the, that was the highest would be Seinfeld or Kennison or someone big to get an hbo special. So for a regular small, like you were I back then it was like, what do you do? How do you make it so everybody was dog eat dog. Yeah. It was all, and I think somewhere along the line, the early to mid two thousands that shifted and it shifted because of the Internet. That's true, isn't it? It is. It is an internet. I kind of thought of it as an organic thing from, you know, because uh, the comedy boom happened because disco died and you could basically fill a, a, a huge room with just a spotlight and a Mike and one dude, you know, uh, and these guys still have that space and they were just raking in hand over fist because people just, they didn't want to disco dance anymore and it did, it just died a horrible death.

Speaker 2:          00:40:37       There was too much a cliche. Everyone, cocaine and everyone did disco. Like Kenny Rogers did a disco song. It was just like everybody kissed a disco song. I know. And so I thought it was because that kind of faded out. We kind of just came to our senses as audience members and Comedians. But you're right, it is the Internet. That's what changed it. Well, the Internet came along and comics started promoting themselves and someone who really deserves a lot of credit is Dane Cook for sure. Dane Cook was the first guy to really become famous through the Internet. And then everyone, including me, started paying attention going, oh, this is another way. Even though there is the regular way of television shows and movies and all that stuff. There's this way to in this way, just made at the time he was the biggest selling comedian of all time. Yeah. He spent like 20 grand on a website, which to me at the time I was like, who has that kind of money that's and why buy a car? But he was the smart

Speaker 3:          00:41:34       one and he also spent all day day

Speaker 5:          00:41:36       responding to people online and then, you know, built up this reputation for doing that and then promoted the shit out of himself through my space and all these different ways that he promoted, you know, the shows instead and then became gigantic. Yeah. And then everyone else around 2003 or four that's when we all started to jump in and comics had my space accounts and comics had facebook pages and, and I, you know, I had a website in the 90s I had a website way back in the night, but I basically just wrote blogs on it and had a message board and fucked around in the message board. But what he did was use it as a business vehicle. Right. Like in a way to actively promote himself. So then somewhere in the mid two thousands comics started doing internet things like little internet shows, like crackle was a thing and they were doing little online things and then people were working with each other more. So instead of comics being like competition, there were, there was camaraderie, we were doing each other's stuff. And then podcasting took it over the top. Yes. Once that happened then everybody realized, Oh, you could really help each other.

Speaker 3:          00:42:38       Yeah. And you don't have to use, I feel like in between there, uh, one thing you, one thing you left out was the amount of the rise of what you call the Internet comedian, which where they just kind of would make blogs and they had people that would edit them so that they would be funny. Yeah. Like you and I have come up over, you know, 20 odd years doing standup where you learn timing, you learn how to read an audience to ebb and the flow, your brain waves and how to pick when to say something. And how, you know, because timing is everything with, with uh, an Internet video, you can have an editor just go, nope, here, here, here, here. He should have said that faster. And it, it's this thing that kind of vaunted these kids into, you know, youtube millionaires if they were lucky, but sometimes they'd go on the road and people were like something that's going on and every single time they'd eat plates of Shit.

Speaker 3:          00:43:27       Like you can't just do, that's like learning karate in your basement. Practicing in the mirror. Yeah. And then going to fight in a tournament. It's like those guys I saw that, that, that, that you put up online of those, those, those tutorials, horrible tutorial, fake martial or come at me, it's like that guy entering the squared circle with someone who knows what he's doing. Are they still doing that style of video where the edit constantly and make those youtube videos where it's constant edit, edit, edit, edit, edit, where they cut out all the pauses. Is that still a thing? I mean it's her, there's all sorts of styles on youtube. Shit. I could find you a hundred videos of that. Yeah, yeah. I remember when that was like the primary way these people were doing these blogs. Everybody had, it was like, then you have blah, blah.

Speaker 3:          00:44:10       Everything was edited and it would cut to, it's almost like watching, watching family guy, uh, you know, Peter would be like, that's my time I was into disco and it cuts to him and he's like, jacking off on a disco for this cuts back. You know, it was like that because you could just do that. We have to say it on stage. We have to have a segway and blah, blah, blah. We can't just hit a click and then you cut to me beating off and then back to me in the audience. I've watched a couple people recently tried to transfer that, doing stuff in front of a microphone in front of a video camera to going on stage for the first time. I've watched the Aha. It's terrifying. It's terrifying. Uh, and, and it, it kind of breaks the covenant of an audience because anytime, like I have a, I have a, an opener who's like, they're like, I'm actually fucking nervous and blah, blah, blah.

Speaker 3:          00:44:55       You know, do you still get nervous? And I'm like, yeah, of course. Of course. I'd be a sociopath if I didn't get nervous almost every time. But you know, you just, you fight through it and it's fine. But I always tell him, look man, the audience is rooting for you. Like they want you to do good. You know, that's the thing that people forget. They think they think every time you're on the road, it's, it's an away game. Unless you're a hot girl. Yeah. That's who you are owed for standing up. There's a hot girl, hot girl with like showing some cleavage with a skirt. Good fucking luck. Yeah, because guys just don't take them seriously. That sucks to be like, what? You're funny too. I'm phony than you and not gonna hold on. Yeah. Fuck it. Fuck you. Maybe would look judge odor. That's it.

Speaker 3:          00:45:35       Yeah. That's a perfect male privilege. Like, that's not what I want from you. I want sex. Well there's, that's a weird look to like a girl with like long legs and a mini skirt and high heels on stage telling jokes. It is strange. That doesn't work well. You're, you're overly attractive comedian. Male or female has always been a little weird to me. Yes, there are people that are undeniable and I'm like, all right, cool. You know, but it's like part of me kind of little too handsome. Their fellow tooth there. There was a guy who, when kyle and I moved to La and we were roommates, there's a guy that had a show and he was a comedian and an a physical trainer and he sent, he emailed both of us, like, we were like, Hey, can we get booked on your show? And he emailed both of us just, she must take an every email, uh, in his, in his, in his book and just sent it out.

Speaker 3:          00:46:21       A blast of he is, if you need, if you need to get fit. And the picture was a picture of him shirtless under a waterfall. Like, hey, someone's coming at him. And I was like, fuck this guy. And as I say, fuck this guy kyle and all caps goes, take me off your list and just sends it. That's all he said. Cause I was like, oh waterfall this, this. Looking at waterfall, I'm so in touch with nature. Sometimes I go backpacking by myself. My, my, my favorite are probably one of my top five onion headlines was a, the trucker guide is like why do those homosexuals keeps sucking my cock? And he read the article, one of them, the second paragraph was, I'm just hanging out with a bro under a waterfall. We're enjoying the day. All of a sudden he's sucking my cock. Hey Bro, under a waterfall that every time, yeah, men under waterfalls with their head back. Like especially if they have long hair flowing through their locks and they tighten up their abs so you can see the abs real. Okay. Yeah. And it's like, did you take it? Did you take it up? I'm still, I'm flexing my core as hard as I can. Let me know when you're done. It's super spiritual.

Speaker 2:          00:47:30       Gut comes out basically plant based, super spiritual out here. There wasn't near. He is. That guy has taken it in the mouth. That's like a kid that's like a kid in Thailand. That's like a, an elephant coming on. What do you like the muscular white dude. See that as more like a handsome man feeling good. I'll get a girl, but it doesn't bother me at all. When a girl is doing it, get that girl back. I'll get her to go grow. So strange. Live your best life under that waterfall. It doesn't bother me at all. I see a girl under a waterfall with her hair back like that. Not even a tinge of disgust. I don't see, I don't even mind the guy under the wall like that guys. Just having fun. Yeah. That guy's not like he's not going. Wait. What are you doing? Look at me. Come back. He's not being honest. Your spiritual man like the one below it with his arms down right below there. Jamie on the bottom. Bottom row. Yeah. That guy looks he's having a good time. That's a fun dude. Fucking party. Super High. Why the world needs happy men. That's the, what kind of fucking article is that? I mean, who wrote that? Some depressed dude, right about to shoot himself. He's got a gun sitting on, on the desk right next to the laptops. Like why the world needs happy man.

Speaker 2:          00:48:42       I'm trying to think of it right. It's like, yeah, we'll come back guy. That dude's a ride. Yeah. Fat. That's, Oh, Bert wishes he was that his kidney dangerous amount of berry. Burt fucking loses all this weight. Every year we do this weight loss thing. Toby follow along. You're crazy. You see with the hot yoga and he fucking gains it all back every year. Yeah. Every year I saw him at soul cycle with this wise fuck. Yeah. And he just, I mean that's unbelievable. He keeps telling me, cause he sent, he sent out a mass text test the other day that we have, there's a group on my phone called the sober October group. It is one of the best text message threads ever. It's ruthless. Yeah. It's Sigora, Ari, me and Bert and uh, and look at, um, some kids burned with Bert Kreischer that burn is not calories. That's what's not burning. No. Um, but he sent out this message of the day, like, I miss the heart rate monitors.

Speaker 2:          00:49:38       It's really old drunk watching, saving private Ryan. So sensitive. Fuck. Am I doing man? You guys, you guys talking without me? What are you doing? Yeah, he's still, he's like this. What's going on over here? Hey guys, I miss you guys. I love Birdman. He goes out, he'll do a comedy club and then go out and tell everyone where he's going to drink and then he meets them at the bar. Takes the shirt off in Ottawa. It's like 150 degrees below zero. He drinks with them all and then leaves. He's like, well, I love you. I love you. I love you. Then he gets in his tour bus. I mean, I don't, I don't go to the second location, you know, I'll, I'll hang out at the club a little bit, take pictures of stuff. The people and they have a beer, but like people like, hey, you should go to our bar.

Speaker 2:          00:50:20       Nope. Yeah, I've done it in the past. I used to in the past. But after a while becomes untenable. Yeah. You can't, is there, you're playing like 5,000, 10,000 seaters now. Yeah. That's a lot of pictures. You can't, your I watch, I watched Jo Koy hanging out with were on like, they're going to kill him. Like they're going to pete, they're going to tear his clothes off. Like Elvis used to almost get shredded by female nails. You know, like there's so many people trying to get a selfie with him and he just played a stadium and he's just outside. Wow. Just like dude, just Joe, just careful security. Yeah. He's got, he's got some people with him for sure. But tasers, Jesus, different, uh, different. He has the, there's like a lady Taser. It's not as strong and there's like dude, Taser for the various kinds of fans.

Speaker 2:          00:51:07       Yeah. You gotta be careful, but God bless him. I mean, that's kind of how he got that big. The thing about burt's fans though is at burt's fans were all drunk too, right? So they're probably not even going to know what to do or you don't remember if they were going to kidnap him. They give it up on the meet him yet the next day they check their phone like no, that's selfies all blurry and shit like, yeah. Well your hand was shaking from the dts while you tried to take it. So coming back to town real quick, give me a self, your mirror selfie. Come on. Tries to dress up my facebook. My wife's not talking to me. Burden a your jokes. The only thing keeping me going and uh, the heart's not too strong these days. The doc doesn't say I have long, so please don't come around right in this article for vox about why the world needs happy man.

Speaker 2:          00:51:53       Three bullets in the train by once every six hours. Russian roulette, one bullet, not mine boats. Nah, not Verne's. Not Verne's roulette mind with three bullets. I was thinking that the other day about marriage. That marriage is essentially Russian roulette with three bullets because one's going to die first. 50% of marriages end in divorce. Oh, and then there's the Chris rock line. That's just, he goes, that's just the people that had the courage to get out. Yeah. He was like, how many cowards is stay and suffer. Yeah. Yeah. So true. True Catholic. So true. Yeah, and this is coming from a guy who's happily married, but that's when I, when I see people who are about to get married, I go, Oh, good Lord. Yeah. Well, you're married. Yeah. As I said, this is coming from a guy was happily married. Yeah. Yeah. It works. It's just that you're talking about Chris Rock and like, oh, he's divorced.

Speaker 2:          00:52:38       He's divorced. No, I mean, but me, I see people get married. I'm like, Oh yeah. I always assume. I was telling people like, yeah, I'm married. I'm happy. I love it. Don't do it. Yeah, don't do is too risky, dude. That's why I got to have you on advice from a dipshit because Amanda will call through and she'll get like marriage advice. We have a lot every single month that people call in and say, hey man, should I, should I, you can't give people advice cause first of all there is no fucking way I know how you actually are together when you're alone. I don't know that, but it's advice from a dipshit. So basically I just go by myself and go, just make sure you're doing this, this, this and this, and then you're on your fucking own. You know, they're not quote me. You should have doctor Laura on your show ever be mean to my God. Be Amazing. I don't care. She's so mean. Yeah, she's just brutal. He the meanest advice.

Speaker 3:          00:53:26       Yeah, that, well, I mean if I need to have more of those tough love people on the show, I always had these comics that, you know who it Santina was the meanest once because a guy fucking big, big Leprechaun. He, I had someone come on called it and was like, you know how he gets, we usually curb these, but like we get a lot of like, how do I make it or when's the right time to move to la or New York? Never or whatever. But like, yeah, but it's the eighties it's like, it's like, I don't know man. It's, it's kind of up to you. And this guy was like, I've been doing it like 12 years or something. And Andrew was just like, the message to be finished. She goes, I would give up, man. I would honestly give up because this business will eat you alive.

Speaker 3:          00:54:05       And I don't, and that is something, I don't have the heart. I'm a sensitive guy. I don't have the heart to say that to anyone to just say back it up and move on. You're, it ain't for you. You know? But Andrea was saying that and it was kind of like, yeah, we're, I appreciated his honesty, you know? Well, like I, I just think that it requires an obsession. Yes. I give, you're not like fully obsessed. You're probably not going to put the thought process and the effort and do, and you're not going to survive. The bombings know the bombings like their test your soul. It's just nothing worse than feeling that amount of hate. Where, where, where I ever been in New York and a dead silence and hearing a guy in the back, it'd be like, Oh, you fucking kidding me. Can we fucking go home now?

Speaker 6:          00:54:50       I mean, Jesus Christ, like audibly, audibly, and the

Speaker 3:          00:54:53       silence. Oh my God. I just, and I hear that guy in my dreams. It is bombing on stage once and this guy goes, you're fucking terrible. And I was like, he's right. It was nothing I could say. I didn't never respond like not, and I can say, dude, I'm with you. I can't even pull myself out of this. Yeah. I got nothing. Yeah, Dave, I remember Patton Oswald being on stage at the, the first festival ever did was a Chicago comedy festival. And I found, I found the booklet from it recently, like cleaning out my house and, uh, 2001 and it was doug, Stan Hope, uh, swarts in, uh, Tosh Kyle. Who else fucking, uh, built wire, a bunch of random like awesome people, but uh, patents on stage and, and Marin back when Marin's still drank. I think that was the last time you drank actually that weekend.

Speaker 3:          00:55:45       Marin wasn't drinking back then, man wasn't drinking way back in the 80s. No d start drinking again. Yes. Oh, that was like during the relapse period. I remember it because he talks about leaving the hotel and a friend who was at the hotel was like, yeah, man, when you left your luggage was sweating. Like said it to me cause he was so hung over. But patent was like, you know, doing him and Marin were just dropping in and places and this chick was so mad, she got bumped. She's like, you fucking suck. And, and in fact it's like, I agree with you. I agree with you. If she was mad at him because she got bumped and, and so she was saying he sucked. Yeah, she's just at him from the audience and like she just said, you get up hunting. Yeah. Well I mean I was kind of like, this is a free form room.

Speaker 3:          00:56:29       I got bumped but I get to watch Patton. So she's a comic heckling. Ooh. Oh, I know she ever made it did show. No Huh? Yeah, I mean and and but it was that thing. They were just like, if you say I could be killing had been one guy would be like, this guy fucking blows. And I'm like, I believe that Guy Dan and I would go one. Oh that's the worst is when you're killing. You see one person in the front row like this. Yeah. Like an old lady was scowling. What? Yeah. I had an old lady like that at the store the other day. Older lady. Like she was like halfway into my act. She still had this look on her face. Like, oh, I don't know. I hit it with this one bit and this one bid, she throws her head back and then she's Howard.

Speaker 3:          00:57:09       I'm like, I got her. Wow. I got nice. She didn't want to give and that's a good, that's a fun soda to cry when she was like all of a sudden white best feeling gave in. Maybe it was the booze, the booze kicked in. How many without booze? Boy, that would be a struggle. That would suck. I mean our whole job is entertaining drinkers. I wonder what it would be like if we had liquor free comedy nights. Have you played? You have to have played like those we'd rooms. Yes. Those are too crazy or insane. We did the Toronto one, the underground room. There was no air for the candles on the table. The candles were running on a promissory note. There was no oxygen in the room. It was all just weed smoke. I was on stage midway through jokes and having second thoughts about it.

Speaker 3:          00:57:52       Like every linear thought was a tree branch that was growing where I'm like, which one would follow? Well, not only that, what did I already talk about? Yes. Yeah. Am I at, what? Am I covered? All right. I have no fucking idea. Do you guys know what I was doing? It was doing it with Tripoli and Tripoli was sober at the time, but we walk in this room and the secondhand smoke is a fucking real thing. That's what I mean. I hadn't hit a joint. You have to wait till after my set. I don't like doing comedy high and I felt I felt high on stage and it's that thing where it's like, well you just got to run with it. You can't, you can't fight the tide. Don't swim upstream. You're not getting any better. You just got to keep going. I did. There's a show that a guy, Andy Haynes had called midnight run where you'd smoke right before he got on stage and you just hit this big joint and I was doing great and then I had this huge setup and then my brain just the bottom fell out, everything fell out, all ideas, all thoughts, my name and I just went, it was like, and then the girl turns to me, I've got to go.

Speaker 3:          00:58:52       And I walked in the middle of a setup and then it was a crushed any cause people were laughing so hard because I just pulled the rip cord. I literally was like, I had a parachute that came out my backpack that pulled me out of the room. Sometimes marijuana is your friend and sometimes it will fuck up your whole set. But sometimes it'll go, why? Why is that? And then people go, yeah, why is that? And then you're off on this tangent, but you probably would have never been on. And that tangent might be the best part of that set. Yeah. I mean I think about people that were like, uh, from very regimented backgrounds and went into the military, you know, in the 60s and then hit their first joint and went, this is dumb. Yeah. I hate this. Are they, cause that's the thing about, I found it about marijuana is it introduced truths about myself that I found hard to face.

Speaker 3:          00:59:38       Uh, and they were maneuver my new truth. They weren't anything big that I, that I was afraid of or something. You know that like, I really want to kill someone or something stupid. But it was just little things that we'd like bubble up. And I think that's, that's the craziest thing about that plant to me. Well, the idea that it makes you paranoid, right? That's it. It's the paranoia, right? Oh, I don't like pot. It makes me paranoid. I really think it makes you hyper aware of all sorts of things you've been suppressing. That's it. Because when I'm feeling good, when I'm happy, like I've been a good person. I've been nice to people, I've done the things I'm supposed to do. I can get high and I enjoy the shit out of it. But when I got loose ends, I'm, I got things that are fucking with me, you know, maybe like something that went wrong in my life or whatever.

Speaker 3:          01:00:21       And then I smoked pot and then it just gets weird. Yeah. And I tend to not, I don't smoke anymore and get and think about myself and get worried about me. I think about the world and I think about way too big of issues. And I work, I think about maybe we're all fucked and you know everything. And do you have children? No. Once you have children, then you start thinking about the future. Yeah. Like what is it going to be like for my children's children or their children? Like you're like, what, what kind of toxic world are we going to be living in? Yeah. Yeah. This progress that we're exhibiting right now, if it keeps going in the same direction, I think we're living at a level in a level of anxiety as a human race that probably four or five years ago I would have been like, we can't handle that, but we're somehow handling it, you know?

Speaker 3:          01:01:04       Well, we were adaptable. Yeah. I, I've definitely learned that, but it's the, the, the amount of times I, I'm so happy for comedy. I'm so thankful that I'm a comedian and I'm around comedians. They can kind of just, she just let the air out of me anytime. What did you do before you did comedy? I was, uh, I, when I was, I was an actor as I was when I was a kid. And then I went to school for acting and then I went to Chicago and I got an Improv and stand up and that was it where I was like, I'll still do acting. But like this is, this is where my heart is with so much more fun. It's so much more you can do it. And it's so honest and it's so in the moment, I, I, I've said this a lot, uh, on here and there, but there is, you know, when you're on stage and you're going through a bit, you've done 50 times and you just drop it and go, you know what, fucking I had the worst diarrhea together today or whatever.

Speaker 3:          01:01:50       You know, like something that you just share it and the crowd goes, oh cause a defense attorney wrote this book and one line, and it was, the truth just sounds different in court. It just sounds different. And it's the same thing for a comedian when a person just goes, I don't think my wife loves me and you'll get a laugh, but it's like fuck, he really believes that. And now the crowds like, Ooh, yeah, good. Now, this is the meat. You know, you, you took the, you took the cheetos off the table, now you've put the roasts down now good. Now we have something to chew on. And that's the immediacy of that can't really be matched Improv, maybe life theater shore. But standup comedy is the, is the moment like Buddhism, like steep sand, the moment and in comedy if you're out, if you stay out of the moment, you're no longer in the pole position. Your car's going to drive off the off the off the road because the ultimate bullshit detector is a crowd. And they know far more than they know. They know.

Speaker 5:          01:02:43       You know, I've been reading these articles written by these angry women about Louis C. Case comeback and some of them have been going to his shows and writing about the show. And one of them that I read today was from this woman in Pittsburgh. What? I thought it was fascinating. She said that he has a, he doesn't allow people to bring cell phones. You know, they have those yonder pouches. We put you and the woman's her, her rationalization of this was, and she included me and Dave Chappelle and this, that we use those because we know that words offend, but we don't want the consequences, which is not what it is at all. No, it's, you don't want people sharing your, if your material online because you're developing it and you're touring with it, just like we and jokes are a surprise musician doesn't want you recording them, just noodling around before they finish this song.

Speaker 5:          01:03:35       Right. But it musician's song, the differences, you can hear it over and over and over again and it doesn't lose any of the thing. You want to deploy it more, more to the point. But if you have a bit about diapers, right. And there's just like a very specific punchline about a diaper and then they already know it. They know that punchline and you're working out how to get to that punchline and how to set up the bit. But someone leaked the audio already like that. Like Louise touring right now with that leaked set. Yeah. Which is weird, right? Like what? All that stuff about the Parkland kids. And I don't know if he's still doing those bits, but he was doing some of those bits. Yeah. He has a bit about losing all the money and about, uh, how he bought a gold watch. Like those bits, like this woman referenced those bits in the article, which means that she went to the show and he's doing the material from the leak, which he kind of has to do because he's only if you wrote an hour over the last 10 months, right. He's been hiatus. What, what does he do? Like what you can't, he's touring shows you're going to tour with a whole new hour. Get the fuck Outta here. Yeah. I mean, yeah,

Speaker 3:          01:04:38       I feel like, I feel like he's, he's quite obviously a special case because of his behavior, but it's, it's almost like, I will say that aside, you know, like, uh, I have my problems with Louie and what he's done and everything. But overall, I'm on the side of free speech. And in terms of being comedians, we can't allow you to come in and film our shit or recorded no matter who it is. Because it's, it's the, the larger thing is like everyone, one thing with comedy is everyone, everyone, everyone thinks they're an expert. There's no other art form or someone's like, I know what the best shit is, or I got a friend funnier than you. Right. But in all fairness, if I go to see a movie, I'm not a movie maker, but if I go to see a movie and I think it sucks, I should be able to say, oh, that movie blue.

Speaker 3:          01:05:23       True. But you're not allowed to go on set and filming yourself while they're filming while you're also not allowed to bootleg it and then put it online. You don't go to jail. Yeah. Yeah. And it really will. Yeah. And people, uh, that, that record our stuff like, uh, Stan hopeless was tweeting about that. Like, how is this legal right after a louis thing. Yeah. And, and uh, you know, Chappelle has that thing that like the comedy works has where you come in with your cell phone, they put it in a locked pouch. Yeah. You get the Combo, you get it when you leave. I was doing that before I did my netflix special bar was only doing it to really, because I was tightening up my set and I didn't want any of it getting leaked right before the Netflix special. But once I filmed it, then I stopped doing it because it was like, it's too hard, too complicated and it's just like the Internet is going to be the internet.

Speaker 3:          01:06:11       It's just, it did make the show better though. You know, where it did make it better. Miami, I'll realize in Miami, people are there such chimps that they just kept getting up and walking out and to check their phone so they'd get up, they'd go out to get their phone, they come back and so they were all just like popping up and down. Everybody's just trying to fuck and do coke in Miami. Miami will always be more insane than any given American city. It's just on another level. It's forever young forever. It's forever 21 yeah. It really is like that. Like the name of that city. It is a cocaine city. I mean it's created by cocaine. There's more banks per capita in Miami who I know in anywhere else because it will cocaine laundering. Yeah. And, and you, you go there and they're like, uh, oh, you're gonna, you're gonna go out tonight and you're like, I'm out.

Speaker 3:          01:06:59       And they're like, no, I mean it's 1:00 AM we're not going out until five. Yeah. What are you five extra years old? And you're like, what the fuck? Fuck, I don't do that. You guys are crazy. I have a wife. They're all high. Yeah, exactly. Fucked up on coke and pills. Yeah. Running around rapid. You mentioned Chappelle and we were talking about bordain before and I will not say what the joke is, but that guy is such an alchemist. Like he can just make gold out of lead in terms of, in terms of material. He had a board, Dane joke that made me double over laughing about the suicide and wasn't talking about bordain per se. But about his own family member. Uh, I like, I don't want to blow the joke, but it was, it was that thing where a apologies to people who are listening to this.

Speaker 3:          01:07:43       I know you want me to say what it is, but I, you know, he's probably gonna do, doing a special show. I didn't do that, but it was, it's testament to how with comedy there's always, there's always a, a mission impossible. There's always a topic, like, you cannot make fun of this. And someone found a way and it wasn't disrespectful and I was just like, God dammit. You know, he'll just say these setups that you're like, Ooh, where are you going with this one? Jesus Christ. The idea that you can't make fun of something is crazy. Like just you just, you might do it wrong, but someone can do it, right? Yeah. Yeah. I mean,

Speaker 2:          01:08:16       it might, might not be your style, but someone can do it. Like, you know, everybody's got, there's so many weird styles. One of the beautiful things about comedy is the fact that styles are so personal. Yes. You know, like David Tail might be able to do a bit that, you know, Sebastian could not do. It's just not in his wheelhouse. David tell is prob probably the funniest man on earth. He's one of them for sure. Dude just, just kills me every time he's another magician. He just pulls shit out of the air and he's so prolific. Yeah. He's just always writing, always, always tone tuning things. He'll call you up and go, hey, you ever heard something like this before? Because it's like, it just, it'll come to oils, wants to make sure. Yeah, yeah, yeah, he did. Comedy is so beautiful in that it's really is an art form that you cannot learn anywhere.

Speaker 2:          01:09:01       Like you have to learn it yourself. Yeah. It's not like you can learn how to play the clarinet. You go and take classes and practice music. I've ever created anything. And you could play beautiful clarinet music. Yeah. I mean you don't have to ever have invented a single song and you could just go out there and make a living playing the clarinet. Well and you don't learn to play a clarinet in front of an audience. You don't bring it to the clarinet open like, Oh fuck you. You have to learn in front of people. [inaudible] yeah, you, you're not going to get up there and play flight of the Bumblebee right away. Is there anything else we have to learn in front of people like that? I mean, even basketball, you practice in the gym. There might be a couple of friends hanging out. Yeah, there's, yeah, it is the only, only our from, I can think of that you get, you can only get better in front of a crowd.

Speaker 2:          01:09:47       It's fucking crazy. It's really crazy. And there's no classes. All classes that you take are useless. Really. They're all taught by fools. Yeah. They're almost sorry folks teaching comedy class. I've had friends who have, who have been, uh, John Roy, right stuff online that I think is really illuminating to teach you what the business is really like and, and, and what the best comedy is from a comedian's perspective. But he's not, he just puts them up there for free. He's not sitting in a room, someone can give you a coat, like a good comic and coach you. Yeah. Can say, hey man, you know, that bit if you just came at it this way, maybe that would be an easier way. Like Neal Brennan is that genius that way. And I did that for, um, for a show where a guy who was, he was more of like, he's entertaining, but he's his, his delivery and stuff was kind of like a Ted talk.

Speaker 2:          01:10:33       And he was doing like, uh, he's going to do a show. You did a pilot where it was just him kind of talking about the news and stuff, and basically I, they brought me in to kind of just loosen them up to make it, you know, like the best comedians. It gets like the funniest person at a party or a, Ha, you're, you're as natural in front of your friends after a couple of beers as you are on stage. Right. You know, so I just had to fuck, and it was just, it was like, like an tightening muscles on this guy where I'm just like, nope, nope. You're, you're, you're leaning into the funding, you're trying to, you're getting loud and you think that's fine. No, no. Just say it was fun. That was fun. Just coaching someone. It's hard for people to see how other people are seeing them. Yeah. Is sometimes, that's one of the reasons why people like to avoid

