Speaker 1:          00:00:06       The yes
Speaker 2:          00:36:30       Okay. So for example, we have somebody who's very, very carbohydrate dependent, right? And I have a hard time using fat as a fuel source. Okay. Well maybe in during that six week camp, before UFC fight, I'm not messing with a tremendous amount. We're not going on a new diet five weeks before a fight. Like that's not gonna happen. But maybe, oh you got hurt, you got, you know, you've got an extended lay off. Now we start to work on another part of your physiology. So that next camp we've got more what's called metabolic flexibility. So we have an ability to switch back and forth before between fuel sources. Right? So when you're preparing someone for a very specific event, exactly. Q, you're ramping up for September twelfth, boom with this is we have a protocol, let's get ready. But then after the fights over then you might be working on very specific balancing exercises or that kind of stuff.

Speaker 2:          00:37:16       Exactly. So I'm of the belief that during those last few weeks, you need to be very specific to what you're going to do. Get on weight, get focused, get all these things. But now if we, because if we overspecification for too long, we have problems. We have this complex, these fighting forces called optimization versus adaptation. So generally when you're optimizing, you're not adapting and vice versa. How's that work? So for example, uh, you brought up earlier, so we do this stuff a lot. We've done a lot of studies and published in this area. So we're, we're just learning some of the physiology behind what's going on with ice. And a lot of people ask me this like, well, you for ice are pro or against it. I don't understand why we have to be in one side of the camp. Well, there's, um, there's one guy who does, who, who doesn't believe in ice.

Speaker 2:          00:38:09       And Misha tate had them on her podcast is like the anti ice guy. He's like saying you shouldn't use ice, but I've looked at some of the pub med studies and some of the various. There's a lot of benefits to ice, like I don't understand why anybody would be anti ice, but it makes sense at all to. No, it totally does and this is exactly where I'm going. Anti ice makes sense to you or no? It can. Ken? Yes. In what way? Because there is. There's good scientific evidence to show that there are consequences of the ice as well, like in post injury or postworkout for. So it depends on the workout context. Okay. So we'll go to easy examples so it's not so vague and theoretical. A post a workout that you try to get bigger and more muscle mass, you don't want to do that right afterwards.

Speaker 2:          00:38:51       Bingo. And why? Well, because your body has time to recover in the actual inflammation is supposed to be good for you. Exactly. Yeah. It's not good for you. It is the signal to grow. Right? So people have this really weird thing where they like to personify your humidify chemicals and physiology. It doesn't know, it's not good or bad, like inflammation isn't great or bad, it just is. It's a chemical like it doesn't give a shit at all. It doesn't know. It's not conscious. Right. So if you were to do and hop in an ice bath post of a lifting session when you're trying to add muscle mass, is gonna fuck up your game? Probably. Yeah. But you're supposed to wait like two hours. Right? It's not the right number though. The more the better. Probably more. Probably four to six. Oh, okay. Why not? Why mess with it?

Speaker 2:          00:39:30       And I interference. I read something about to the two hours is good after a hard lift. Well we don't have any numbers to say optimal yet. Like they would take a lot of studies to figure out, well two's not good but three is better. So everything she knows rough. We would have to titrate it up. We'd have to do a study that says one group gets two hours, one group, it's three hours and then you'd have to like concentrate our effort. Like how much exactly. Effort is just kind of putting it all have to be in the same training program. We have to biopsy them all. Preimposed take blood marks,

Speaker 4:          00:39:57       a lot of jobs to do. There's a lot of work. That's why I'm so busy and there's creativity involved in it too because you have to Kinda like manipulate things and figure stuff out and contemplate.

Speaker 2:          00:40:08       Well that's why I'm the director or the CO director and I am the run my own lab and I've got fantastic postdocs and students that are actually the operators that execute

Speaker 4:          00:40:16       but it seems like everything is constantly evolving and shifting and changing and it's like,

Speaker 2:          00:40:20       well I find myself honestly spending more time being in the middle of saying like let's stop all the fighting between things and let's spend time saying, well, what was good about this and what was bad about this? Now when it comes to ice, what about an entry? Like what are so many twists their ankle or something like that. Do you, do you believe in and icing it right away? I have to defer. Not My area. Okay. But to finish the example, so post lifting session, maybe not great, but maybe if you wait six hours or do it the next day and when we're talking about ice and we're talking about ice baths that we were talking about or you're talking about like a cryo chamber, we don't have a tremendous amount of crowd chamber research, so I'll have to say, well actually I should say this with everything like this is as we know it now. Right? But as I started the show with like if I'm wrong in a year, I'm going to say like actually all that was wrong. This is part of it. So what I've read about that

Speaker 4:          00:41:08       cryo chambers is the big thing is the anti inflammatory markers in the blood or the reduction of inflammatory markers in the blood and improvements inside of cold shock proteins, things along those lines that those would be beneficial. But if, if you're saying that,

Speaker 2:          00:41:25       but you got to be careful and beneficial. Okay. So beneficial for some things, but they're always going to come in a compromise is something else. So maybe beneficial for a power lifter that may be beneficial for an endurance athlete. Does that make sense? But I'm going to make it worse. Oh No. So you have physiology, which is what I do. Right. And this is what science is. We we biopsy, we took blood, we measured one market, but that doesn't take into context anything else in their life. Right? So for example, if you get a lift in and you're like, Oh man, my elbow always things up on me after I lift and I bought. I got a competition in eight weeks or a show in eight weeks and would be like a power lifting competition or body building competition. And if you get in the ice that takes that pain away for whatever reason, physiologically or animalistic or anything and that allows you to train more.

Speaker 2:          00:42:11       Well then we can't see that that was bad for you. Or if you were like some of my fighters who they like, they feel more accomplished when they do it. They feel like they've done some work so they feel less anxiety because they got in work. Well then now we were playing a game here. It's more complex when they got in the exercise or the ice bath in this example, the ice bath. But it would be true of anything. Right. So setting them up for a psychological when. Oh, that's fascinating. So you factor that in, you have to like, we're dealing with human beings. Right? Right. But it might not even be real. Totally, but really, but really perceptive. Right, right, right. Yeah, I guess so for sure. I mean confidence is, is a giant factor. Absolutely. With combat athletes. And there's some preliminary evidence that suggests perhaps an ice bath.

Speaker 2:          00:42:55       I think specifically post exercise in crude model increased mitochondrial biogenesis. Yeah. So now you say like, well it's bad or good post-exercise while I'm like, well, what's the goal of the training session now when you say increased bio mitochondrial biogenesis, um, is that within a certain time period post exercise or is that just period? Well, it'd be a, it'll be when they took the biopsy of the blood marker. Right. What I'm saying, like within an hour after exercise, within the sessions. Yes. Yeah. So this one I believe was immediately post exercise. So like finishing good event. Yeah. Huh. Wow. So now you've got a conundrum, but this is physiology, right? It's crazy. So I get so fucking irritated when people say like, no, this is the thing. And then they pull up plant flags about like this. We do what we don't do it because I sit in the middle going like, you're going to be a terrible coach [inaudible] because you're going to be in a situation where you're going to need to violate those rules.

Speaker 2:          00:43:49       Right. Wow, that's complicated. It is. I mean this is why we're utterly wrong. Do you find that that's the case, his diet as well? Like I am a big proponent of variable diets and I think that there's a lot of biodiversity in. Well obviously there is where people are allergic to certain cup type of foods, you know? Um, but I just think this one size fits all approach to diet seems. The more I studied diet, the more it seems crazy. So I would ask you this, what do you think about if I came to you and said I'm going to do one workout style the rest of my life, everyone would be like, that's stupid. Well, if you want to be a Yogi says where to go? But most of us would say, Oh yeah, no, I

Speaker 4:          00:44:32       will also. I just don't think it's fun, but why do we. So why is that acceptable to do that with nutrition? Then why is that? I have to be ketogenic and this is what I do the rest of my life, or I have to be a paleo or have to be anything else lie. In fact, it's you, you. When you said variability, I assume you mean having a wide variety of foods in your daily? Yeah. I think also a wide variety of foods in your daily life, but also I think what works for you might not work for Jamie or might not work for me. Yeah, I think that's the bio variability, but we're going to go inception on that one because you're ready to go another level. Okay. If that is absolutely true and most people recognize that, but what we don't appreciate is the fact that there's not one diet that works best for you.

Speaker 4:          00:45:15       Right? So there might be one day that works best for me from power lifting, but it might be different if I'm running hills or it might be the exact same. Uh, what's, uh, what the fuck bro it is. I mean, what you're highlighting is a real issue and it's also one of the reasons why there's a lot of what I would call confidence men out there and I don't use that in a good term. Yeah. I mean confidence been like con men because there's, there's a lot of people out there that still tell you like, this is my diet, this is the way to go. You got to follow my way and you know, and they almost always mock other diets, which is. Yeah. How helpful is that? Not Good. No, it doesn't help anything. It's a big issue in the MMA community. I see a lot of these guys popping up where they're trying to make a name for themselves.

Speaker 4:          00:46:03       It seems super common that someone wants to diminish the, the other people out there doing different things and like this is our way and this is the only way is the right way. And, and that's a straight ego shot. Well also I think what they're playing to is that fighters in particular want someone to come along. Go, Andy, I got the fucking solution. Okay. You come to me. This is a fucking house of power. We're going to get this shit right. We know what we're doing. We've got a team of experts to. He's got a team. You've got a team. Yeah. And then you go, I'm, I'm with the team. Yeah, yeah, yeah. I started, I signed up with Joe's team and, and you really start believing like, okay, this is gonna work. But did you think, do you think physiology is that precious? It's pretty precious.

Speaker 4:          00:46:49       Not like that. It doesn't carry mean in terms of like, oh, it has to be lined up perfect. And there's a one magical combination of everything. No, I don't think so. But I think for some people clearly, like some diets sure fit better. Like I had a bunch of friends that went plant based and not maybe not even Vegan, but the majority of their food is plant based and they just feel better. Their body just works better than the vast majority of us would. Yeah. Then I know, but I know a lot of other people that went fat based then they feel better too. I mean like a lot, a lot of coconut oil, a lot of Avocados. That seems to me especially true with people that are in intense exercise and I don't know why that is, but it seems like a lot of dudes that I know that Lyft, a lot of weights or that are involved in Jujitsu or wrestling or anything or this law explosion. It seems to me like a lot of fats and, and fish oils and things along those lines when they add those to their diets officially in particular seems to have a big effect on grapplers. It seems to help them with joint issues and a lot of pain and maybe inflammation.

Speaker 2:          00:47:51       Yeah, I could. Um, I would say that most people are gonna far better on a more traditional carbohydrate diet that are in the more explosive power strength stuff, especially at the volumes that mma fighters are on because of the amount of output they're doing, less amount of glucose requirements of the muscles. Exactly. And you have to be careful because this is the exact same principle. Either you're adapting or you're optimizing. If you're optimizing all the time, then you're not adapting and vice versa. So if you push yourself to one end of the spectrum, you're going to probably compromise the metabolic ability to go back to the other side of the spectrum. So spectrum meaning what, like when you're defining it in any way, but in this particular case, I mean, so say for example, you get very good at metabolizing fat as a fuel that may come with the consequences then of being able to use carbohydrates as a fuel.

Speaker 2:          00:48:41       So if you're in a sport that requires that, that's potentially problematic, what sport would it require you to use? Carbohydrates versus ketones? Anything that's anaerobic. So almost by definition. So anything that's maximal intensity, a difficulty is going to be heavily carbohydrate for them. I wish I had got you in here with Dom D'agostino. Oh, you just had him on, right? He's, he's all fat based. I mean he's a, a hundred percent Keto and he believes that key to genic diets have a host of benefits and that the human body just functions better on them. Well, so here's a good example. Uh, I, I don't know, dom and I wouldn't say anything about him without him being right here. It's not, not fair, but everything I've seen of him has been fantastic. Like I, I, I'm very much supportive. The vast majority of what I've heard him say, but his main lens is being focused on cancer prevention, epilepsy, these things.

Speaker 2:          00:49:31       But if you look at some of the research, and I'm not an oncologist, so I'm going to speak a bit out of turn here, but there are now actually identification of several cancers that thrive on fat rather than carbohydrates. Really? Yeah. I have not seen this because he was talking about a host of different cancers that sugars and you stop them dead in their tracks, but yeah, I'm sure he's fully right. I'm sure he's totally right on that. But I did read something about a type of brain cancer though that is not. Does not feed on sugar, right? Yeah. So again, it would be like, well, good for cancer or what kind of cancer alfre prop. Maybe 80 percent of them. He's right. Maybe, maybe even 90 percent. I don't know what the number is being environmentally caused cancer or who knows. Right. But the vast majority of high intensity exercise is powered by carbohydrate for most of us who know, why would it be carbohydrate versus it's more efficient and it's faster.

Speaker 2:          00:50:24       Man. See, I wish I had you in here with him. I, he would disagree with you. Well, there's not really. I mean I got to be careful to say this faster and it works better. Like, well, you have carbohydrate directly in the muscle cell. That's where it's stored as muscle glycogen. Okay. And so it is an immediate fuel source. So when you're at work, then those, your systemic, those are coming from the entire circulation. So when you use carbohydrate for fuel, you're using the carbohydrate in the muscle that is exercising. So if you're doing bicep curls, you're burning glycogen from the BICEP, fiber, not even the muscle, but the individual fiber that's contracting. And how would that be more beneficial than systemic. So it's faster. I'm right there contracting. I don't have to move it throughout my bloodstream. When I use fat as a fuel source, it has to be, has to be go through life policies, which means it's say it's stored fat in your entire body.

Speaker 2:          00:51:12       So people right now, listen to this podcast, go, I don't know who the fuck to believe. It's not a bug on a dude on Monday. He says, one thing you gotTa do, Dude on Wednesdays is another thing. Yeah. So that's the. I guess that's what I would say my biggest message is. It's not like a right or wrong thing. That's the wrong question entirely is who's right or wrong. Do you have any athletes who are on a fat based? Absolutely. Who. Totally. Uh, probably those ones. I shouldn't say that there's Mrs. Civic Athlete. No, they're just like, hey, don't talk about my diet stuff. Who Really. They say that. Yeah, some do. Okay. The vast majority don't get. But Helen did ironman about appellant. We go through periods of that with her for sure, for a lot of reasons. A, it's very successful with her periods of that, but not when she's competing.

Speaker 2:          00:51:52       Even during training but not when she's competing. Yes. Not like on competition day? No, but sometimes a week of. So on competition day? No. Because you feel like the glucose based diets are more efficient in terms of actual physical performance? Well, most specifically for rehydration purposes too, so because she's dehydrating heavily and if you don't consume carbohydrates and the rehydration process, you're gonna have a real problem. Oh, okay. That makes a lot of sense. So we don't go there but we'll do it even maybe like five days out or the working of or something. But what we have to be careful there, and this is one, again, this is. No, I'm not badmouthing dom at all. No, like nothing, but he's not dealing with somebody who's generally hypo caloric, right? So when we're going through an athlete who is six weeks of coming down in calories and if we start cutting out carbohydrates, we actually did address that.

Speaker 2:          00:52:42       He was saying that when you're talking about kidogenic states in particular, when you're talking about most people during regular life, 50 grams carberry carbohydrates would keep you in a ketogenic state, but when you're talking about like some pro athletes powerless, you're in the hundreds, 100, 250 and you're still cute agentic because your body is much more requirements. So like I told you, he's smart guy like I'm. I'm generally on board with what he's saying is a scientist just like you. But the problem is micronutrient quality. So if an athletes coming down and calories that and especially if those calories are coming from carbohydrates, carbohydrates are their main source of carbohydrates or plants. So if we've compromised that and they're really low in calories, then they go down to nutrients about chemicals and that's a real problem. So we have to be very careful with getting them into Quito.

Speaker 2:          00:53:32       If it comes with a compromising of vegetables, nutrition, right, cold press juices or anything like that. That's exactly what we do. Actually. A lot of the times we did that specifically. In fact, that almost single handedly saved Rio for a. It was a real problem. She had a real physiological crash. Like just just sucks to think that at the highest level of amateur competition they have poor food. Yeah, well we had a. We had to do because especially because she was basically broke. We had to like go up real struggle to find a cold press. Things that we could get to her that because we had. She was on like 40 ounces a day of that for awhile and it's, you know, it's funny we did that and that's, I don't know, you could do the math but 200 grams of carbs or something. And the second we did that her weight just started falling.

Speaker 2:          00:54:17       Really? Oh, interesting. So we added 200 grams of carbs and poem whites just flu. And what would, what do you attribute that to? Combination of, of physiological and psychological factors. Psychological. She felt better. So it caused her weight to drop? Yeah, she was stressed out. She was freaked out the w and that's cortisol level capture with higher. Absolutely. Uh, interesting. So she was panicked and she was freaked out and she was stressed because she didn't feel good and she's like, I'm not losing any weight. And once one, a part of it was we gave her a system that she believed in. Okay. And so she like, oh, okay, we can do this. Oh now I also physiological pumps some nutrients into you. So I don't know, like honestly, I don't know what part of it was. It could have been all psychological, it could have been all physiological, I don't know.

Speaker 2:          00:54:59       But what we know is it worked and we gave her a bunch of nutrients and we're like 40 ounces a day or up to 60 ounces a day of, of, of fresh pressed vegetable juice and just like clockwork every day, you know, this, this, this is such a complicated subject and it's so nuanced and there's so many different variables that I feel like you have to be a scientist to really truly understand this. I mean, yes and no. It's one of the problems with the Bro Science people, the people that do not have the real education and this stuff that are out there to coaching athletes and and teach them what to do and what not to do. It's like, yeah, don't really know what you're talking about and that becomes a real problem. You have to get care. Like it's funny because I don't know, don't dominic said, but he's example.

Speaker 2:          00:55:41       I've never heard him plant the flag and be unmovable. Movable on idea. And it's funny because those of us that do this for a living. Yeah, rarely do we do that. It's the other dicks that do it. I think you're right. It's like everyone else is like, what do you mean? I get this one on fiber type more than anything in the planet fiber type. That's what I do for a living. Like I could tell you more about that than vast almost anyone on the planet and yet I'll still have people who like, I read this guy's instagram posts, bro, you're wrong. Like I've hunted up, biopsied hundreds of people have isolated tens of thousands of fibers and random under the lasers and studied them. And you're gonna tell me because you read one instagram post or one review from two lanes. Look put the. Well, people love doing that though.

Speaker 2:          00:56:18       I mean nuts and they love it because of that reason. I know they love to call bullshit on you. I don't respond, so it doesn't matter what it still gets you. Now they know. Yeah, good luck because I bombed them with youtube videos, showing them walking them through the science and it's like, all right. Yeah, but they don't read or watch that like blah blah blah. Dude, you're wrong on instagram post. I had somebody on something a few weeks ago, some instagram or something and was like going through. She was being super respectful so I didn't mind helping, but I was like, okay, we're done here because I already told you about my three hour video on this and you didn't watch it. Right. Fuck off. Bingo.

Speaker 2:          00:56:57       Three hours. Videos are hard, man. A three hour video is a Goddamn gift from God because if you stop and think about how much schooling you would have to go through to get the information that's in that three hour video, it would take a decade. It took my career and you can boil it down to three hours and people like, man, I'm not interested. Well, I went to an instagram page, this guy or some shit that said, you're an asshole. Well I did a five minute videos. Why? The first one was like a five minute video and I just kept getting so much like blah blah blah. Yeah, but you didn't do this. And I'm like, really? You think I missed that? You think I didn't read that one? And I was like, fuck this. Like here we go, here's the whole Shebang. Bmi. And there you go.

Speaker 2:          00:57:37       There's the link. That's it. I'm done. And throw it all up there and I still get the change. They don't change when you train. I'm like, Oh my God, here we go again. Now. Um, so if someone has like a lot of fast twitch muscle fiber, like let's see, like Mike Tyson in his prime as an example, it's like a ball of fast twitch. Could you turn a guy like Mike Tyson into like an ultra marathon? No, no, I mean he could maybe complete one, right? For sure. Okay. So genetically he's elite at fighting. He's just an explosive individual. But making him like, uh, you know, fill in the blank. David Goggins type character. No, I mean we have. So the easiest way to understand this is plasticity. Your ability to change your adaptability is far higher than what people understand and in fact there's almost a direct link between the increase in technology and the increase in the thoughts of what change and how much they change.

Speaker 2:          00:58:32       Oh. So our ability to measure it. Bingo. Okay. So the reason why we didn't think fiber type change 20 years ago is because we didn't have the technology to actually have the fidelity to measure all the ones that we were missing. And those are also probably a psychological factor in there as well as from the people that are measuring it. It's probably easier to say that it doesn't change then to say that it does. I don't know that it was just more of like that was the evidence. The comp. Yeah. Right. So it's confirmation bias. The first 10 studies had not shown it, so therefore you're not looking for it really hard. Okay, got it. Move on. Yeah. Because otherwise you'd be chasing your own tail forever on that. Well, I can tell you right now like it's hard to, to, to get things into, into publication when they completely challenged and entire the entire thought. An example. So for example, if, uh, if you were the first one to try to publish a study, that fiber types

Speaker 3:          00:59:22       changed as response exercise training and 20 years of research suggested otherwise you'd have a very hard time getting through review. They would hammer you for every little thing that like, wow, do you do this and did you do this? And because we're going to be very skeptical and that's not a good reason, right? Yes. That's how it should be. It should be, right. A extraordinary claims require extraordinary evidence, right? Yeah. So I have no beef with that is what the problem is when the other people who aren't scientists and don't pay attention, like if you don't know what like I do, then you need to like, you can talk about it. That's fine. I talk about stuff I'm not an expert about all the time, but you need to be careful when someone else walks in the room and goes like, well, I do this for a living. Uh, then, uh, you know, just concede the point, but you need to be a little more open with listening and gone. Oh really? Right. Didn't know that.

Speaker 4:          01:00:08       Hm. Yeah. That's, uh, that's interesting. Can you think of anything that has changed other than the fiber types? That's a change the way people look at things recently because of technology.

Speaker 3:          01:00:19       Yeah, I mean, that's a good example. Um, the, the, uh, hyperplasia is probably the biggest one. And what does that. So when your muscle gets bigger, you the diameter of each individual muscle fiber gets larger. So it just thickens right? Well, hyperplasia is a concept that you actually add more muscle fibers total, so you add sells to the entire muscle and for decades basically if you say that doesn't actually exist in humans now as we're improving our fidelity of our measurement techniques, it looks like a. It happens a lot. We know it happens in other mammals. How what happens in humans when it does, it's going to be very difficult and probably impossible to ever show, but we have more and more evidence because we know the mechanisms now behind the cell growth. So once we see the physiology and the mechanics behind it and the molecules and the gene expression and then we say, okay, it lines up with a, b, c, d, and e. We just can't show up with f because of technology. Now we need to really rethink our position here. And that's probably the biggest one.

Speaker 4:          01:01:20       Now when you're dealing with athletes and especially athletes that are trying to make weight like a, like a fighter. And do you ever tell them like say like a Jake ellenberger was a pretty thick guy. It's done 170 pounds and you got, I'm exercising and doing all these things and you do a body composition of them. Do you ever tell them like you got to lose some muscle like theirs? Do you ever say that? Like your 200, five pounds getting down to one seventies really gonna fuck you up.

Speaker 3:          01:01:49       We've done that a little bit in the past. People have come and said, hey, will you test me and tell me if you think I can go down to 55 or 85 or something? Um, my general approach is you're better off staying or going up. It's almost, almost always better if they're going to go stay at a class or go up awake.

Speaker 4:          01:02:05       I could not agree more. And you've seen the performances of fighters when they do go up, they look so much. The Jorge Mazda doll is a perfect example. Yeah. Forty, 55 forever fought at one seven. He's one of the best in the world now. Donald cerrone and another example. There's been a ton of fighters that move up in look so much better because their body, like Calvin Gastrula, he's another great example.

Speaker 3:          01:02:26       Yeah, he's a, he's a diet one though for the most part. Like he's, he gets that dialed. He should be able to make 70 no problem.

Speaker 4:          01:02:33       But. But God damn it looks good at 85, he looks good. You see tank, he's awesome. But when you see a guy like him and you know, you gotta out powered by. Golly, Chris Weidman. What's the line in the sand you draw where you say, okay Calvin, let's put on some muscle and some strength so that you could deal with the oil Ramiro's of the world or let's lean you out and get you off the Tacos so you can, uh, you could fight guys that you're supposed to be fighting.

Speaker 3:          01:02:58       Yeah, that's it man. That's it. Internally questioned that if they, if they really buy in to what I say, it's, it's an easy conversation, but a lot of them won't, which is fine. Like, um, so I, I don't, I don't think you have a good answer there man. Like it's tough. He's a classic example though, like there's this almost, I mean it got to be careful. I don't know his camp, like I've met him a handful of times but we've never been in my lab. I don't know like how bad his stuff his or, or how like if he's got medical problems that no one knows about or if he has any other issues that are going on and make it hard. So that happens from time to time. So they don't want to just like ice cream. Ice Cream is a lot of guys that are super talented.

Speaker 3:          01:03:34       They just love to eat, you know, man, it's crazy. Like a lot of those folks will go to food for comfort for that and for the control control. That makes sense. Especially in such a crazy world of the world of competition in combat sports, especially in this sport where like winning and losing so finite and when you get to the top like nobody. Well rarely people win more than they lose, right? Like it's just so hard, so hard. And there's so many with the, you know, like in Nfl and major league baseball and soccer, there's a clear pecking order. You beat this person, then you'd beat this team, then you'd beat this team, then you get to play for the championship or an mma. It's not like that. Well it's definitely not anymore. You know, in the UFC it's real weird. Like especially the 185 pound division, like good fucking luck.

Speaker 3:          01:04:17       Oh you know, everybody's waiting in line to fight Michael Bisping. He's probably going to fight George St Pierre and everybody be like Luke rockhold. So those other guys, like what the fuck? When he beat rockhold, that's my single favorite mma moment in history. Really. I'm not like a noxious bisbing fan or anything. But that was the culmination of a dude who put in so much time and he did everything to make it a business. He did everything and then he not only steps in and fights, I just killer and rockhold who I thought was been underrated his whole career. Like he's this insanely good, but he'd already, he'd already lost them convincingly, you know, bad subs in the first round. Yeah. And older guys don't come back and beat younger guys in the rematch is ever right. Especially on short notice. Short notice when he had a whole camp and has every reason to not have confidence in like 90 percent or more. Fighters would have just been like, no, I'm out. Like no way. He takes the flight, like no one would take that flight because if you lose twice to the champion, you're done. You're not gonna get third. Just every risk possible.

Speaker 2:          01:05:18       And he just nails like this. Unbelieve clips him and knocks him out. Yeah. Amazing. Like I loved rock whole book. That was just incredible. It really was crazy. And you could really tell that rockhold just thought he was going to win the fight no matter what. It is a done deal. Totally underestimated. Bisping's so scrappy. Like he's one of the most mentally tough guys in the sport because he doesn't have like some freak issue while we're Merrill athleticism or anything. He's just, it's just hard work. He's not particularly fast. No, he's not. He's not super mobile. He's very skilled and he's got a lot of physical issues to see out of one I know. Is that a bunch of issues with joints and disks and he doesn't move willing injuries? No. And he's not baked for the division or anything. Didn't have people at while.

Speaker 2:          01:06:00       He's pretty big for when any five. Well, not like amazing. He's not like towering over white men are rockhold like, no, he's not those guys. Yeah, those guys are giant. He doesn't have some amazing skill set. Either way he can fall back on a world championship in wrestling to get through. Like he just is like pretty good at everything. Yup. Yeah. Still just finds a tough kid. He's a guy I would love to biopsy and figuring out like how much slow twitch and fast twitch does he have? Thirty four beats per minute. Resting heart rate is fit. Yeah. He's a big factor. It's a big factor and that he could push a tremendous pace and then keep it going. Like one of my favorite fights of Michael's was when he beat Conley. Oh yeah. Because he's just overwhelmed them and just starting to get tired and bisping just poured it on.

Speaker 2:          01:06:41       Yeah, just gave him a beating and that was sort of a in a lot of ways, like a, a shift towards. I mean he was always a world class fighter. There was a shift towards the upper end of the, of the division. It was a big moment for his career too, because if he lost that, that's probably about nine tonight for him in terms of. Yeah, you could say that, but he doesn't give a fuck. He got knocked out by Vittorio, comes right back. You know he got knocked out by Henderson. Comes right back. He's one of the guys. I've been around him a bit. He's hilarious. But he's one of the guys were like, he doesn't, he just not going to shake him like that. No, not at all. He's undeniably tough. Yeah. And he's undeniably like, when he says like, all fight, that dude, he legit.

Speaker 2:          01:07:21       Oh yeah. He's there. And you can say like, oh, he's scared of Romero. No, he's not scared of any of these students he's trying to cash in. When he said, well, I think the bisping GSP fight is a fascinating fight. It's fascinating. First of all, GSPS never fought at 85. He comes back, he fights for a world title. It makes it compelling. Yeah. I just wonder if this is unfortunate, but I wonder how many of these young new fans I would like to say like post Ronda Rousey fans, how many of them even know who fucked GSP is? I think there's a lot in my life. Definitely does. Well she's a fan, but I mean I'm wonder if how many of the new ones, you know, the people coming up actually know who he is and it means it's been a long time, you know, a couple of years, right?

Speaker 2:          01:08:04       More than that. Yeah. When did he lose to Johnny Hendricks? I want to say it's three years ago at least. At least. Yeah. Well Pete Johny Hendricks. Yeah, I, I'm not. I'm not a big believer in that decision. I feel like at most that was a draw. I felt like Hendrix got the most of it. My buddy troy, it's brother had 50 k on Hendrix on that fight during and afterwards he's like, here we go. We're done. Done. Hendrix thing was interesting because a Hendrix is one of those guys that you kind of like what happened to that guy? Yeah. You know, like what? A lot of speculation on that where you can all read between the lines there. Well, that's, that's the problem, right? Yeah. There's the Usada speculation. There's the motivation, speculation. There's a lot of speculation. You also have that thing to what guys like that, that put in that many years of wrestling and you start competing that hard, that young like that.

Speaker 2:          01:09:00       That wears on you a timeframe that you run out of. Yeah. There's a like people believe there's a nine year window as a world class fighter. I've heard that before. It depends on the sport, but yeah, that's probably fair as a fighter and that as a fighter, like can you get to mma in particular? Guys have nine years to compete at a world class level and then the wheels just fall off. Yeah. Get in and get your money. Get Out. Yeah, if you can, if you can. Yeah. That's why 38, I think. Bespeaks 38. That GSP fights, right? Move. Oh, for $100 move. Anyway. What does a business typically do? Well with like the fighters? He handles wrestlers decently well. He's a very good defensive wrestler. His styles can be fantastic. It doesn't get tired, which is what GSB relied on a lot is, is his stamina.

Speaker 2:          01:09:45       Conditioning was great, but that stamina is dependent upon activity. Like do even if you're just physically fit, but you haven't fought in a long time. I don't necessarily know if it's applicable. Yeah. Well it's also going to be different too with. We'll see what he does weight wise. Yeah. So what people don't understand about when you watch professional athletes, fighters in particular as a lot of what happens in that fatigue is either psychological or it's bad weight cut stuff. So now he doesn't have that, but if he's lugging around extra weight that he's not used to potentially problematic depending on how he does it. Now he's got some smart people in this camp, so he's probably going to be fine, but that's a real problem that he may or may not be ready for. Yeah, if he's lugging around extra weight, but he was always walking around somewhere around one 85 slash 90.

Speaker 2:          01:10:28       He might just decide to compete at that weight. That's what I mean. Like if he stays there, he's probably fine. But if someone gets in his head and tries to get them up to two, oh, two or something and then come back down, like he's probably not going to feel normal there, which he's not gonna run out of gas because of that. Like having more muscle doesn't make you fatigued more. It's the training that does it now. Do you have fighters use cardio machines? Like do you have, do you have them use versa climbers or treadmills or anything along those lines? I don't feel like those are super important, uh, differences in terms of we're generally trying to get most of their physical activity from training. Like if you have an extra hour with the training, we could get in the week. You mean by martial arts training, right? Really? Yeah. Interesting. So, but having said that, if we want to do a small circuit or something

Speaker 3:          01:11:14       that incorporates one of those things in there, sure, but I'm never going to prescribe. If they're not doing it like, Hey, let's hop on and let's get an hour on the elliptical. Like that's never going to come out of my mouth. That's not to say I would never use it. I'm not throwing anything out. I'm not pro or con, but that's chip judicially not where I'm going to go because it's far easier for us to help them lose weight through food than it is adding on an extra hour and that adding on an extra hour of activity can be real harmful for them. Muscularly, but we're not necessarily just talking about losing weight. We're talking about increasing increasing performance. Do you believe in any of those machines? It's not a believer or unbeliever in. Right. I would go to it if I needed it. I don't feel like in camp it's a huge need with the exception of maybe like a recovery, so you want to do like, hey, let's go and easy 45 or something on the bike.

Speaker 3:          01:11:58       Uh, but as like a 45 hard, um, with the exception of when you start moving to championship fights. I do think there's good cause for doing maybe once a week of saying like, we do this with Dirk and all the time like, Hey, he loves to ride mountain bikes. So go out in the mountain bike and go ride for. When you're saying dirt, I mean pat comments. Yeah, sorry. It's okay for people. Not mostly, I don't know, but that's because of it is because he loves that. That's his real mental release. Mountain budgeting. Yeah. It's a great workout tour. Yeah, it's fantastic. It's, he gets in the sun, he gets away from people, he gets to breathe and we're not counting things which can be a problem. But if I had another athlete, it was like, I absolutely hate jogging. Like it's the worst thing I got knee problems, hurts my back.

