Speaker 1:          00:00:17       Jamie too hot in here. Turn the AC up. That bitch get it down to zero.
Speaker 2:          00:49:11       And if it is not there that you can have the muscles of the world, but very soon you will be exhausted. Now when you work with a guy like alister, with all due respect to him and to you, he's been knocked out four times in the UFC alone and he's been knocked out many times outside of the UFC. Do you have any concern about the amount of damage that he's taking and do you think that in any way, this kind of training and the breathing method could in some way help mitigate some of that damage he's taking? Absolutely, yes. Yes. And um, I will say about him, he will come back. It will get a very good lesson though for my mother nature and me and Darragh is no, you cannot speculate about mother nature. You just got to perform the right way. What do you mean by the 24 hours getting up a kid of Magento, that beans with his weight and getting out there, that means breathing, really breathing, really getting into and using your mind and focus.

Speaker 2:          00:50:20       Totally not thinking that you are able to do it, but doing it. One thing that does happen to fighters and it happens inevitably in a fighter's career, if they've taken a lot of fights where they were real wars, is they lose their ability to take a punch. It's a physiological response. The brain has to. The amount of punishment that you've been taking and it knows the punishments coming and it shuts off prematurely, shuts off much quicker than it did when you were younger and in the fight game, they call it getting Chiney or his chin is gone. You know where you take a shot and you can see that you just can't take it anymore, and doctors take that almost universally as a sign. They should probably start thinking about hanging it up. Yeah, yeah, yeah. I see that at all in him and you. Are you concerned about that at all?

Speaker 2:          00:51:09       I will say that did a January. So you'll see it once you make it a, but that's, it doesn't have anything to do with physical condition. It has more to do with punishment. Has More to do with getting hit. I'm not so much into fighting and oldest toll information. I just know how nature works and I will test them. I will see it. I will observe and get my objective. I will try to help him and I get my objective opinion. Uh, they're in and that's what I'm going to do. I'm going to take a, by the way, Aalto a high performance, uh, extreme athlete as well, up on the mountain, but also people with conditions and that's actually even more interesting. Like what kinds of conditions like Crohn's disease and Roma to weed to thrive. This asthma and they will make it in 24 hours as well, just because of this breathing.

Speaker 2:          00:52:08       People with rheumatoid arthritis, you can take them up. Mount Kilimanjaro already did I already did? Yes. And they do oldest program all the time and they have zero flammatory markers left in the body. So they controlled a or a condition, arthritis, crones disease. I'll take immune diseases complete. And how severe is their arthritis? Because people that are like really crippled and they can't walk very well. You've done that with them and with papers it up to a certain level. I mean if you can't walk anymore, right? How do you of Magento. Right. But if you can barely walk or what? If you can walk, we'll walk slow or what if you walk when you walk in pain? Hey, yes. I'm into scientific research because I want to help humanity direct and I know what we are able to tap into the systems and begin to heal first before we go into say feats like that. So you work with these people that have arthritis or Crohn's disease right now to strengthen their immune system, scientific research or their inflammation first year. And how much time do you spend with them before you take them to something like extreme environment? Like Kilimanjaro I got now my instructors ever. We were. So first I teach them in

Speaker 4:          00:53:26       a session. How many instructors? Yeah. Now what, how many is it? A $200. 200. Wow. All over the world. Uh, uh, mostly in the Netherlands now. But now America is beginning to do the basic course, an advanced module. And then we have the instructors wick and it goes up to a bachelor level, eh? The books are in the university. It's real late at all and scientifically endorsed. And there it is. It works and it works with us for those people. And we still got to find out tomorrow par example, I got a, uh, scientific, uh, sort of lecture together with Professor Huberman from Stanford University in front of Ideo and Ideo. There comes a guy who is the google healthcare, a hat of the doll, and he was the former man in charge of the health care in America. In us. I mean big people and it's not for nothing.

Speaker 4:          00:54:29       They see it works. It doesn't work only for say people with arthritis, but also with depression is how much people feel better. Yes. Yes, yes. Preventative, uh, increasing quality of life. Yes sir. Yes sir, and that is only because of a simple principle out of nature. Go back to mother nature inside, go back into the depth of your own physiology and know that it is dire. You are able to awaken that and get it into your control, preventing you from disease, from depression or becoming happy, healthy, so essentially it's in some ways tapping into the same force that creates the placebo effect because there is an effect when your mind thinks that it has a drug that's going to heal it, even if it's a sugar pill. You see a visible improvement on many people because of that belief, your belief system plus the oxygen plus the deep breathing exercise and the increasing blood flow to the brain.

Speaker 4:          00:55:29       It has all these positive and then at the Colt trains, gradual cold exposure trains their transportation system. Seventy 5,000 miles of capillaries, arteries and veins within us. They transport oxygen. There are in a primitive muscles and reflexes and when they are stimulated by cold showers, just cold showers, then the heart rate is going down and the transportation of oxygen suddenly is a lot better and it gets to the immune cells. Logically. The immune cells, we are more alert, better fat at a date. They recognize intruders who should not be there and they. They killed up there. It's like cell death and they put a specific hormone molecule on the cell membrane and it's gone now. How long has it been since the first podcast? We did. Was it two years? A year and a half or something like that? A year and a half. Jamie will tell us. October 2015.

Speaker 4:          00:56:35       Oh, recently. First. Basically year. One year, yes. Yeah. Oh yeah, yeah. Yeah. So what? What has happened in a year? What new breakthroughs or what new, what new evidence and have in that year. The evidence is that people are beginning to grasp the gravity of what I found because two and a half years ago I, I, we had this publish it in one of the best papers of the world, the past papers to what proceedings of National Academy of scientists, which is highly repetitious, reputed to scientific or a magazine. It's like nature and United States and if you come and get into there then it's really solid, so they took it up into the books, designed at a university books full chapter, and that's not for nothing and that's what the new information, the new physicians and biologists need to digest as being signs. So it is science and it's two and a half years ago that we approved the autonomic nervous system up till death.

Speaker 4:          00:57:46       Never been proven in scientific history to be influenced by humans now, not little bit to be influenced. Being able to be influenced big time people, enabling it within a quarter of our way to tap into the specific immune system, which normally takes five to seven days. So that's a big finding. I thought, wow, now the world is going to turn the other way. Now people are going to see. We are able to do so much more with what we've got already. They are going to receive 10 Nobel prizes, you know, something like that because it is something like that. Right? But Eh, it takes time. It takes time. So since last year I see more and more and more people getting to this and that's nice, but I want scientific validation more because apparently they do not really grasp within the scientific community the gravity of what we found. It's historical. It's not mine itself, Mother Nature for don't you think? It takes time for people and their opinions to shift when it comes to things along these lines. Apparently that's the psychology of people and I'm finding this out. I got, I got in the beginning, very frustrated. Now I begin to understand this is the way it all comes top down and it takes some time. When Galileo found out that we are not the center of

Speaker 2:          00:59:22       the universe, but it is the sun and we are turning around. He was almost banned from the church and almost sentenced to death as a heretic or things like that, you know, and it was just as truthful a new way of thinking. Right. Well apparently not experiencing that kind of resistance. Right. While you were experiencing not really seen universally praised. Yes. Yes. Yeah. It's just a matter of acceptance, meaning people actually practicing it. That's the issue. I think the consequences, the positive consequences of practicing this are enormous for every person into and very accessible, very effective, very fast. I use your method before I go on stage a really? Yes. I started doing it. I started doing it after our podcast together. I take these big giant deep breaths. I let some out, big giant deep breaths and I let them out and I do it for several minutes before my shows and I feel like I'm high, like I'm just filled with everything.

Speaker 2:          01:00:24       Like woo would just feel crazy pumped up. Good, good, good. Does that enabled you to get a direct access, better access to your adrenaline? Uh, the hormonal system and gives me, it mean that breeding in like that it gives me energy, it gives me, it elevates me, it feel, it feel like it elevates my energy levels. Thanks for taking it on. Thanks for having me last year this year. And I'm into ongoing research right now with German, you know, what's happening and how we got to. We found out first time in scientific history now and not me, the university doing this, uh, doing this, uh, say to. I was worried that it got on the machinery. Yeah, yeah, yeah. Thanks. So for the first time in scientific history, they found out that hundred percent saturation or oxygen in the blood is not really 100 percent right. But what I don't understand that there's no nothing more than 100 percent.

Speaker 2:          01:01:34       Right? So did they just not understand shit? So they had, they had a level that they thought was 100 percent and they said, well, nobody has ever reached a higher level and this. So this must be what 100 percent saturation looks like. Exactly. So it's not that you got more than 100 percent saturation as you achieved higher levels of saturation than they thought possible. Is that a better way of describing? Exactly. And they did it with a laser on the on the chest and that you are able to measure the mitochondrial oxygen tension, Mitochondria electrical factor, a little factories in the cell, the engines of the sale of the south, they are able to receive more oxygen and that's

Speaker 4:          01:02:20       very interesting and that's a great finding. I mean more than a hundred percent first time in days three. That's a great finding I think, and it shows that we are able to have more oxygen inside. Suddenly we are able to get into the cell influence energy and energy production, the ATP that those are molecules and if it is an aerobic then it's like two molecules are able to produce. When it becomes Arabic, then it's up to 38 molecules that can produce, that is energy and we are able to produce more oxygen. What happens, what happens with a cell that is deprived for 48 hours of 35 percent less oxygen? It becomes cancerous. Real. Yes sir. And as simple as that, have you ever worked with cancer patients? I want to now with the universities, but it's very, very difficult. Complicated matter and everybody thinks it's not able to, uh, be questioned or a research imperative to these people get medication because their lives on the line.

Speaker 4:          01:03:42       They could die thousand dollar a year. Those are good clients. What's 200,000? Oh, the cancer patients. So they, you think that there's an issue where they don't want to lose that money? Right. What do you think? Well, maybe, but don't you think there's some patients out there are some who have autonomous control of the. I got one. I got one guy who just gave me a book. Big Book. What is his name? I just gave the book to a professor and he cured from terminal cancer. I met him in 2007. He had stage four cancer. What kind of cancer? Skin cancer, which deteriorate all the, all the skin. And then you're gone. You're not able to function and silver and he wasn't stage four, so almost a terminal and I met him in 2007 then and I told them, listen, what the science is telling you that is not really what really is.

Speaker 4:          01:04:47       It is only what has been found up to now. So, or I found that the autonomic nervous system, for example, can be influenced the endocrine system, the immune system. What, what else and what more don't yield, don't yield, get on and positive thinking they're in a positive charges. That's what, but breathing and now it appears to be that 48 hours, 35 percent less of oxygen NSL becomes a, makes a cell cancers. So what I told you just now that the molecules we can influence that, uh, the, the engines of the cell and make much more, uh, much more molecules by implementing but jet by breathing. Good. Do reading unbelieving. Do you think that it would benefit people that are already under cancer treatment? Like if they're already in therapy or radiation, you know, the chemo actually works better if you do the breathing techniques. Why is that? It goes more specifically into that area. Boom. And Chemo is essentially poison, right? Yes, it is. And what I wear if I'm gonna drink here by the way, another little bit or it what would not be bad.

Speaker 4:          01:06:10       Yeah. My son is saying, no, no, don't do it in listening. I got some control. Yeah. I made him tell him to fuck off. Yeah. If it could do that. Chairs sometimes. Yo. The story goes like this with my son. I was in Africa and uh, on the Kilimanjaro. Then after I did a successful attempt in a $28 and the insurance and everything got to tell something about Scott County to an investigative journalist who came to get me a disguised as a guru and a with lies and everything he disguised. I know he wanted to do you say an investigative journalist and anthropologist and he came to Poland to see who I am for real. He, he is into finding out how to uh, the organ trafficking goes and these gurus who will make people do things. He thought you were one of those? Yes. Yes.

Speaker 4:          01:07:11       Why? Because he was paid to do, to, to get to me and investigate him, but his attitude is the guy who was publishing his books and he made a new book her lately, but he came to Poland and uh, two days later he was doing the same shit. I'm doing that so much. I didn't end up on the outside though. We'll do see someone like you that makes all these crazy claims and you know, talks about love and breathing and go, oh, this guy's all about trying to fuck everybody's wives and make a lot of money. No, no, no. Just I'm very, uh, I know. But that's, that's. Yes. I know you were legitimate. I know you are, but there's a lot of people like you can understand why he would touch a lot of people who make these grand claims turn out to be, um, you know, there's a lot of people that can claim miracle claims. They usually crazy, right? Yes, yes, yes. So I went with this investigative journalist and he became a fool adept. And did he give up the ghost? Did he tell you what he's doing? He totally, totally took two days to disappear, his distance and all, and then he was also in his shorts on bare barefoot in the snow.

Speaker 4:          01:08:29       Is that what are you doing there? Just move it. I can teach. You can teach them. Maybe not. Maybe you can teach me to teach me. Sometimes I think you can teach me some techniques, but I can teach you for sure. Altos some techniques like standing for two hours, barefoot in the snow, in your shorts and in the horse stance. Yeah. You're not going to teach me that. No, no. Not doing that. It could be. I believe it can be done. Yeah. Look, if I had to do it, I felt like I feel like I could do it if I had to do it. Yes. Would I do it? I'm busy. Yeah. Yeah. Yeah. Were for two days your underwear wax on, wax off, laughing, stuck. But many people do this and they suddenly see that they are capable of doing so much more because they begin to learn to control the acidity that what becomes acidic in their bodies.

Speaker 4:          01:09:28       So the performance and for that I do that. So he did it and together with me last January it was also on the Kilimanjaro. You stay friends? Yes. Yes. He wrote a book that what doesn't kill you? It says it will come out next month or something. And it is about you. It's mostly about what I do. The method? Yes. Yeah. And that I worked at [inaudible]. He's a, he's a scientist and he is an anthropologist but he is always trying out the stuff he's writing about. So we got into this and there's a very nice book. Maybe you shoot. He, he's got a teaser on is very nice, but I'd love to have them on. Hey, Scott Carney. Okay, well let me know and we'll, we'll talk after the show. Let me know like when the book's going to come out. Yes and no, I'll try it. There is a teaser and you see it all.

Speaker 4:          01:10:24       Awesome. I think it's very, uh, it's beautiful and it's very good for a human for anybody to see. And he lost weight very fast and it could do now are 80 pushups without breathing. [inaudible] 80 pushups without breathing. He was an intellectual list. Yes. He can hold his breath and do 80 pushups. Yeah, so I find that very hard to believe with no air in the lungs, by the way. No. What? No air in the lungs. No, he goes, really? He goes down nowhere in the long blows out of the air and then there's eight zero pushups in a row. Yes sir. I call bullshit. Yeah. And I do it the ultimate it was this guy look like, Eh, I don't know, maybe as wide as the fucking savage, just to be able to do 80 pushups, periods, control of oxygen. You can do one pushup because you are alkaline, but if you are able to maintain the alkalinity in the buddy, hey, there you go.

Speaker 4:          01:11:27       Is there a video? This guy doing 80 push pushups with no oxygen in his lungs. I believe him. I saw him do math at least 50 in my time, but he went off and I see too many people, but I see older people with roof with arthritis who cannot do any push up and I make them do 40 pushups in in one day. Why? Because we controlled the flammatory markers in the blood, suppressing them, and suddenly they are able and with the extra oxygen, making it alkaline. The muscle tissue keeps on throwing these as a teal holiness the neuro transmitter performance and they surprised themselves, astonished themselves, but that just seems like a lot of pushups do with no air in your lungs. What does it say here? I can do 80 pushups on a single breath and I lost seven pounds of belly fat and 70 days, motherfucker there. You know, I'm not an athlete. I'm not exceptional. Listen Bitch, if you could do 80 pushups in a single breath, that's fucking exceptional. I want to know what he's calling a pushup if he's one of these motherfuckers. No, no, no, no doubt. Yeah, let. Let. Let him. I want to see this. I want to see you

Speaker 5:          01:12:47       then

Speaker 4:          01:12:47       I call bullshit. Okay, touch your chin, chin, go back up all the way up, lock it out. Yeah. Then it takes about at least two minutes to do that. Then you asked him to, uh, to uh, while you're exercising at least. Right? I think I couldn't do one. I couldn't do that. You can do that right now. You do 80 pushups on a single breath. You would know. You think so? I don't know. Let's try it. Why don't you try it and you to me too. I know I can't do it. I can't do 80 pushups on a single breath. I'll tell you right now. I can't do it. So wait. Were we don't need to prove this now while this thing is time. Now's a good time. But we will, we will wait. Well, another thing, actually I wanted to come back because we do it. I'm telling a story about my son. Oh, that's the old original step. So the guy was trying to investigate you. He thought you were a fake gurus and we did in 28 hours, they kill him with our lives to January insured. And he did it too, right? So a very nice and all done, but then later when we did it accomplish, I mean the biggest feat was the 76 year old man doing the kingdom on channel 44 hours. That's A. Yeah, it's unheard off. And he did it anyway. And

Speaker 2:          01:14:12       with them we are 26 other people, men, women, old young. We did. It will, how it's taken them 44 hours to do this climb and timing to the top and. Yeah. But I mean like how many miles is it? How many? Seven miles in 40. Four hours. It's a lot of gold. Went up hiking and extreme altitude, right? Yes. Why don't you Google? What's the world record pushups for a single breath? Turns out 60. Hey, if it is exactly that, we got the new world record coming up. So you were saying your son? Yes. Right. So afterwards, when we did it and accomplish it to last January I went to is through to these natural reserves and uh, yeah. You know, you got the Serengeti Russia a no go on. Goto a crater with the lions and everything. I do things with the Messiah. He as well. Can I ask you this?

Speaker 2:          01:15:16       Did you take malaria medication when you went there? No. No. Will you, were you there when the mosquitoes were around show? They always around. He didn't worry about malaria? No. They cause inflammation, so I think I'm able to deal with that, so I take a little deal with malaria. Absolutely. Wow. Yeah, right. Man, I'm. I'm open for any research and investigation. I believe in, in, in Mother Nature and Mother Nature came to me and I got so much field work done. I know all the tricks of Mother Nature and what it does in the body and we forgot about it because we never expose ourselves in mother nature anymore. We always take the choice of comfort, right? But we actually built to be stimulated by wind, cold heat, pressure differences and all kinds of things and that makes us strong. It makes our immune system strong and then bacteria, viruses and back so suddenly have a lot less chance to get in and do their damage.

Speaker 2:          01:16:21       And at this it's a fact. It's not me. It's mother nature within us and that control we lost because we lost the connection and uh, it's very important to bring that. And I think malaria. Yes, we can now, not only, it's also in the books now in hey, possibly a university books. Possibly hope for people with HIV. I have a friend, my friend Justin Wren, he does a lot of work with the pygmies. He works with water four and he builds wells in the Congo and he's had malaria three times and when he gets it, it's pretty bad and not only does he get it, but now because he's had it so many times, he gets it if he gets sick. So when he's in America, if he catches the flu or something like that, he also gets malaria. It's happened. Flammatory markers, deregulation of the immune system that you could help him.

Speaker 2:          01:17:15       Yes sir. I need to. I need to connect you to. Absolutely. Absolutely. Okay. Before you leave, I'm going to get you his information. I'm swap information with you guys. I think that'd be amazing if you could actually help him because he's, he's amazing. He's done amazing, amazing stuff. I mean, that guy spends months at a time. Yeah, I can't imagine he's a pioneer. Oh Man. He's going to feel like we began off. Those are the people dose I man looking for more to, to do a valid per whatever we go for as human mankind, and to finally get into some love, like a sharing and caring tribal. So what happened when your son? Yes. So I went through this reserve, big Serengeti, and then you got these big elephants. Luxor don't or Luxor don't. Africana know big stuff. I know. Elephants, eh? They can go up to seven tons of meat.

Speaker 2:          01:18:17       So they. I went to a lot of these big elephants and I lifted up there till two in the back and to see how big the asshole is. Oh Wow. I saw a lot of big hassles. My son is still the and I made the phone call. It's all about fun because I love to joke about. He is to a very severe with me. He's like, he can be. He said it's sitting there very to inquiry, but he can be like a wolf with her. Her Dad. No, not yet. I said I asked him to not talk during the show and now you're egging them on and you're forcing them to defend themselves. That's totally unfair. An asshole. It makes my business, you know, my mission and it makes it able to happen in this world because I'm not of this world. I'm too much of nature.

Speaker 2:          01:19:17       I'm so naive. But he is outlining everything with websites of activity to people who are not of this world. I mean a lot of the modern world electronics and that shit you just not to. Do you have a cell phone? Yes. Yeah, Duh. Duh. I lose them a lot. And uh, things like that. But you know, what happened with the cell phones a in Finland, lapland or [inaudible], Alaska where they live, uh, in distance with each other. Telepathy is. And where there's no cell phones. Yeah. Where there's no cell phones. But since the telephone came, a introduce itself over there, the people lost this ability. What do you mean? Like, um, what they knew every time one day a neighbor is coming

Speaker 4:          01:20:08       that are already setting things up without seeing it with the eyes and ears and that's common. What is that? D Cell phones game and they take it over and we have to learn that we all have these not only physiological abilities deeper but also in the mind a beautiful things and we are having it taken over by tech technical devices and all that. But whereas the contact with our conscious contact with our depth, what is it? And I'm going for it.

Speaker 3:          01:20:45       But is there any evidence these people were really telepathic? No, it's anecdotal of course, of course. But people full of shit out there living by themselves just doing weird shit to themselves out there screaming. No one answers. Lone wolves howl. There was a too old. Yeah, you gotta take that into account. People are full of Shit. You got. There was an old television show on the road. Do you remember on the road with Charles Kuralt? Is that who it was? There was a guy that used to have this television shows way back in the day before the Internet. I remember he had this episode on whether it was talking to this guy who was a. He was a trapper and he would live in the Bush and Alaska and he would live there and not talk to a single person for months and months at a time, and what he would say is that after a while when he was out there by himself, he would develop this very bizarre feeling of telepathic, of telepathy with animals and that he could read animals minds. You could almost predict their behavior and movements and he was getting signals from them that he couldn't describe and when he would go back to the town, when he would come back after six months, after a couple of hours or a day or so, it would go away. And it was like whatever. That thing was interesting when he had no contact with people and he swore by it. But again, it could be a fucking crazy dude out there. You know, the Muskrat's with a giant trap.

Speaker 4:          01:22:19       It's anecdotal. We are social mammals, mammalian behavior like families and things like that, but I've read that

Speaker 3:          01:22:27       I have found one thing that they're pretty sure that people can tell and that is hard. It's very hard. It was rupert sheldrake's podcast he was talking about. He was saying that one thing that they have studied beyond statistical probability, it shows that when people are stared at, like say if you, if I turned my back and um, you either would look down at your lap or look at the back of my head that I could tell or someone maybe some people can tell whether or not you're looking at them more than half the time. They were more accurate than guessing. And it was consistent. It was pretty consistent. It wasn't 100 percent of the time, but it wasn't 50 slash 50. It was more like 70, 30 rupert cherish held, right? Yes. Interesting things he tells. By the way, that's an interesting guy. You know what, when the birds

Speaker 2:          01:23:23       in in say, the Second World War, uh, uh, getting into these mil bottles with a silver top, they learned to pick through [inaudible]. And the day, the distance between say England and the Netherlands or Germany, etc. Is a divided by a northern city and these words are not able to travel the other side to the other side, but the same birds were able, the same species of birds at the other side were able to, uh, day began to do the same.

Speaker 3:          01:24:02       Yeah, he has a term wIth monkeys and fall age or resonance, morphic resonance. And what he believes is that when one member of the species attempts to learn something or learn something, it becomes far easier for other members of the species even that are separated by vast distances to learn that. And I think he said that occurred with rats in a very particular maze that they would teach rats how to get through a particular maize in one part of the world. And then rats and the other part of the world navigated it much quicker. There's some interesting stuff when it comes to that stuff. I mean, interesting. It is interesting, but it's hard because there's a lot of people call bullshit and I don't know who's right. And you gotta kinda go over it with a fine tooth comb and look at everybody's looking at their motivations and look at whether or not they're biased and it's very difficult to sort out. But rupert seems like a very thoughtful, very interesting guy. He definitely didn't seem dishonest.

Speaker 2:          01:25:00       Mm hmm. So yeah. I'm here to, to say a little bit about what we did. Yeah. Tell me a censure last year so that the goals now are to get it into a national healthcare. Actually any every country but in America is a little bit a leader there in. And I'm beginning to become quite famous. I use it, I use it, abuse it to get my goals done, my mission done, which is bringing a belief, a confidence love, but now scientifically endorsed. showing that we are able to tap into all those systems and we should actually get it in school, in primary school to begin with. And not only learn like history and geography and things like that, but now learn at a young age

Speaker 4:          01:26:04       how to influence into this hormonal system and immune system or say happiness, strength, health shoot be subjects. And I teach kids of four years old with arthritis. They come and they are very able to do breathing exercises going into cold, actually children. We teach him to have coal, john and therefore, uh, taken away the stimulation of the natural element, thus decreasing the activity of their systems inside. We make them sick instead of protecting them, we are comforting them. And we think that paradigm shift needs to happen. And I'm into that and now it's getting together with a existent healthcare. And with universities more and more, I think we got to go back to say nature. And if her mother is able to guarantee by endorsed by scientific evidence that we are able to tap in to all these systems guaranteeing, hey, if you just breathe better and take a cold shower and believe connect with your body that you are able to tap into your health, your happiness and your strength, then that's something that will bring mother nature back in us and awareness there, uh, uh, from will make this world a value.

Speaker 4:          01:27:47       The nature outside as inside. because we lost a connection. And I'm now here to bring that. And since last year I've progressed, you know, things like anxiety and fear, nobody knows about. Now I do know what it is. I know what it is, is biochemical and neurological. I talk with professors, I teach them the, uh, they, uh, teach me their language and I teach them the method and together we get a more out of it. Uh, it's all happening. So, uh, I'm very thankful to be here with you. I still got a joke. A joke. Yes. I wanted to say this big ass too. Yeah, that's, that's another one. A little bit thankful to have you here to really am a very. I'm very appreciative. It's not a whole lot of people that all do a late night podcast with. but you anytime. Thanks. Thanks joe.

Speaker 4:          01:28:51       That's great. And I must say, and me, my podcast with you, so many people, I didn't know who you were. I never give a fuck who I go to, but when I get there and it starts, my mirror is the people who are commanding. I never looked. Yeah, yeah. I'm not looking for a job now or whatever, but I never go with a program. I don't know. They never give me too much information either. My adults taught my children that they work with me. They take god. That did a lot. Let them go. Well, I'm curious to see what the responses this time because the difference in the numbers of staggering. like what was the. What was the monthly downloads last year?

Speaker 4:          01:29:37       Just take a guess. Probably like 15, 18 million now. It's well over 40 plus youtube shit. Yeah, it'll be way more. It's more than double. It's good. That's good because all the world needs to know about this. This is simple. Accessible, effective scientifically and doors. No speculation. It's there, but now I got this job job. I. I bought it to say that. That's. I'm with Joe Adams. I know now a. You said a comedian before, so you can appreciate this. I got to. Joe had. It's a big. He's big. He's big. He's enormous. He is orange. It's so rank attack an orange orangutan? Yes. In the middle of san francisco. Oh, san francisco or los angeles. We are here, launch it in a big city. I mean, in a big city, you don't see orangutans, they to go to the zoo, right. I don't know what maybe you know or whatever.

Speaker 4:          01:30:45       Oh, you traveled incognito and uh, with a hat on. And as soon big suit must be a bit, but he walks over there and the sun is shining and it's shining on his long a orange hair. I thought I was gonna say yeah. But wait a minute. HeY, still has to come. I shush you over there. Yeah, I told you how to give them beer. He's like a gremlin. Oh yeah, yeah, yeah. He doesn't know how to control it. It's just I'm this chemistry, he's not on audio. Okay. So he's dripping and ya know, davis endocrine system and it's dripping a long as the orange has and that it's flickering together with the sun. Looks like will our enormous and the light is upon it. And he walks a among the street and a big lips. Big cheek, big claws. Very peaceful. He has no enemy.

Speaker 4:          01:31:50       He's there just by being himself and he's easily as a bar. And he, in his mind, kept pops up, chest is a golden bear and he sees it within. He's already driven from it or from his lips is coming down and he goes through the door. He's got quite some difficulty to get through the though because he's so big, really squeezes himself through the door and there he sees his stool. He goes through the stool. I mean he's really big and the stool is only so big. So he's got a, he's into a balancing act not to fall through, so, so, so big a year. But finally he gets there and he accomplishes this balancing act and he is there. He's at ease. And of course the bomber. We flat into a corner somewhere and he said, hey, hey, hey. Yeah, he's at ease. He's peaceful.

Speaker 4:          01:33:02       He's at ease. Yeah. These pieces. We'll talk to the bartender zia money stealing this beer. I don't know. He has no pockets, but he has got money. I don't know why he stashed it, but it's there. It's there. All right. And uh, he, he's very peaceful. The orangutan show, his fear is subsiding and he comes and still and that he gives us to to like this and then it gets a bear claw around this little glass or a golden bear lake. We're looking at it like a little baby. He's a dad. He puts it back and he puts a $100 bill on the. On the bar, on the, on the tap as bar. Yeah. $100. Now suddenly the bar man things what? But because he is a very peaceful. Is there. You enjoy this beer? He got a $100. I think I'm going to give him back at my shiny coin because he doesn't know about the significance of, of money and he gives him a shiny coat and he takes the $100 bill and I don't know where he puts it because he's got no pockets, but he puts it somewhere. It looks at it and puts it somewhere and he sits there and finally the obama got his confidence so much. He asks you, hey, what about this? I never ever. so a orangutang in my bar. What is it an orangutan do know what kind of prices you are charting

Speaker 4:          01:35:01       and that's the punchline and the thing is, the thing is this is the way we think we can mess up with a trake, our inner power. WhoA, we are straw man, but we always think bad about who we are in the depth

Speaker 4:          01:35:25       and he is there for you to enjoy life and to be as strong as mother nature in the future. Yes. I would just recommend just tightening that up a little bit. Oh yeah. It's kind of a funny joke. It's kind of funny. I knew what was coming towards the end, but yeah, I'm a professional comedian. Yes. I knew the joke, but joke. Yeah. Well I knew at the end. I don't even think I'd heard it before, but I knew I always extended I that I now use it as a metaphor because that's no joke. That's real wood. What's real? That's the way we trick with our mind. We ca where you think we can trick mother nature inside our deeper power. Eight or power. Okay.

Speaker 3:          01:36:13       I get it. It just, it was a little shorter. Probably better, right jamie? Yeah. I mean it's not a bad joke. That big asshole jokes a little better. I think so too. Washing elephant hit a guy with his trunk. I kinda knew that elephants trunks were powerful. I'm gonna always knew, but I had no idea. I. This guy got too close to an elephant. The elephant was eating and it just swatted him with its trunk and he went flipping like head over heels, head over heels, head over heels and it was hilarious. He. He knocked that thing the way you would flip a beer. Oh yeah. What does with its trunk? amazing. Do you just the, the, the, the epic scale of those animals. It's just unbelievable when you see the, the amount of force that they can generate with their nose. Did you see it? Yeah. It should put it up and he didn't check his eyes went wide. Is his head snapped back? What? He saw this? Watch this. This guy got too close? Yes. Yes. He goes to touch it still. Yeah. He didn't give a fuck. He's like, bitch, get outta here. Like you're bothering me. I think as a female, I didn't even have tusks. It's a female or a juvenile,

Speaker 4:          01:37:33       but why were we are onto right now with this research, these findings out of, uh, out of nature. And next time I will get some new breakthroughs. Yeah. Yeah. And we have to see each other again. Yeah, let's do every october. Yeah. It, we didn't even play. Let's make a deal deal october. Let's do it. great. We bring that guy in and have them do 80 pushups up. Fuck you mean by that? Oh yeah, yeah, yeah. Just a free diving message board. And there's some people that were asking us. The only thing I found on the entire internet, uh, some guy claimed he did 72 after taking that jack three d stuff with one brand after taking a five minute breathing exercise and then no breasts and you did 72 people so they'd like 40 or 50 breathing would've helped like a similar method to this, but they weren't talking about.

Speaker 3:          01:38:22       Yeah, I have a feeling your friend might be a little full of shit. It just doesn't. As an athlete, as someone who understands the potential of the human body, you have to be extraordinary. You have to be pretty extraordinary to do 80 push ups on your own. You have to be conditioned. It's something like just a force, your muscles, depending upon how much you weigh of course, but if you're the average 175 pound or whatever the average man is to just to force yourself to do 80 pushups, you have to be in pretty good condition. To do that, you have to. That's a lot of repetition. You're essentially, I mean it's not like you're bench pressing 175 pounds, but it's probably like a bench precedent. One 40, like how much would you think it would be like a pushup? How much you actually pushing up? So if I weighed 200 pounds, if I'm doing a pushup, how much am I actually pushing because I'm not really pushing 200 pounds because my feet are on the ground and you know, there's, there's some weight down there. How much am I actually pushing? It feels like I'm pushing about 130, 140 pounds when I do a push up

Speaker 4:          01:39:25       60 slash 70 percent of your body weight price. I guess. Why don't you go try to google something like google

Speaker 3:          01:39:32       percentage of your body weight or you actually lifting when you do a pushup. Interesting. Yeah, because I don't. It's definitely not a 100

Speaker 4:          01:39:39       that's analyze it and I really began with these pushups and now everybody is health course copying and I know what a. That's all. Okay. But I like to like research. I like to investigate what we are really doing. Yeah.

