Speaker 1:          00:00:01       Here we go, four, three, two, one.

Speaker 3:          00:42:28       Yeah. So before you do that, why do you think that it would be an issue? What would be the issue with sugar and with pop tarts and junk food? What will be the negative effects? Biologic? I think the accumulation of the Post Prandial spikes in glucose and insulin over time, especially in the context of a calorie surplus, could be a bad thing. If you are doing a calorie surplus to example, for example, to gain weight and mass over time, which bodybuilders do following contest in the off season, uh, I think it's even more important almost to actually stick with foods, carbohydrate sources that are lower glycemic. You know, you can only tolerate so much fiber. But I think if you are running a calories or if you are doing a ketogenic diet and you have a calorie surplus, that could be a bad thing. Your triglycerides, your triglycerides will go up.

Speaker 3:          00:43:21       So you are, you're putting too much fat in the system and that what it would go up on a higher carb diet, higher carb diet too. So, I mean I kind of would stay along the lines of maybe protein, but you just, you titrate it in, in a reasonable amount. But I just think that the negative, you know, that could come out of that is that you're, you know, I'm following a blood glucose curve, right? And insulin curve, and, and I see this very dramatically, for example, my student who is a type one diabetic, Andrew [inaudible], who's in and he wears a Dexcom continuous blood glucose monitoring system and his insulin requirements dramatically dropped with low carb and his glucose fluctuations dramatically improved. And that's going to pay big dividends probably if you have type one diabetes, you ever, you know, the 10 top things, uh, on, on how humans die, you have a greater risk for every one of those, you know, dramatic cuts 10 years off your life if the tighter you can keep your glucose levels, your blood glucose and your insulin levels that in the long run I feel it's going to pay.

Speaker 3:          00:44:29       Big Science still has to show that

Speaker 2:          00:44:32       I think it's not totally clear, uh, but I think we can for type one diabetics, which I think we can apply that data to the, to the population if they control their glucose levels, that pays big dividends in the long run lane. So a couple things. Yes. You touched on a couple of points I was going to bring up, but I want to address one thing first, which is a, the higher post Prandial insulin in those negative effects on health. Um, so if you have, they've done studies on this, on BMI versus insulin. Now Bmi as a, we can debate about how useful a measure it is, but in general it reflects body fat in the average population, not lifters, but in the average BMI, by the way, for people who are listening is a ratio of your height versus your weight that generally reflects obesity and you're obese.

Speaker 2:          00:45:19       I'm so, if you lift weights, I'm morbidly obese. It seems so silly. It is. But if you look at the general population who doesn't exercise, it's actually pretty darn accurate. Um, gets factored into your insurance, which is not as it relates to your can look at you and say some bs. Some insurances will do like a waist to chest measurement, which, which helps, but anyway, so post Prandial Insulin, they've looked at the relationship between people who have their BMS and post prandial insulin. They find that people with higher BMI have higher post Prandial insulin, but the opposite relationship does not hold true for people who have higher insulin, do not necessarily have higher bmi and they've done this in med analysis. So what that says is again, that if you are obese type two diabetic metabolic syndrome profile, that you will have elevated levels of insulin because your body's becoming insensitive to it because of all the dysfunction that we talked about, but just because you secrete higher insulin doesn't mean that you're going to have more body fat.

Speaker 2:          00:46:22       And there was a study done actually by one of the proponents of the carbohydrate insulin hypothesis, um, that looked at what's called Mendelian randomization where basically the idea is you have different gene variants like we were talking about. And if, for example, like they've done this with ldl cholesterol are. Sorry, yes, ldl cholesterol. We believe most people believe the ldl cholesterol has some contribution towards heart disease. It's a pretty, I would say it's a pretty strong now. People can over controversial text dependent and individual. When they look at these, these gene variants, people who have gene variants where they run lower ldl, have lower rates of heart disease, people who are higher heart rates. If you look at that with insulin at best, insulin explains 10 percent of obesity at absolute best and that study actually showed that high level of bias. It was between one to 10 percent. So we're not, I'm not putting out the, the idea that maybe insulin has some effect talking about fasting or post Prandial

Speaker 3:          00:47:30       insulin. Oh, overall, overall, I, I'm guessing probably more so fasting. How did they measure insulin? I mean we, we have hemoglobin h, one c for like uh, you know, so there was another unit that,

Speaker 2:          00:47:42       there was another med analysis where they looked at a higher carb versus lower carb diets, equating calories, looking at Hba one c and saw that. So the, the differences in weight loss, we're no different like we've discussed when calories are acquainted, but also the differences in Hba. One C reduction were different. They were the same. Now you asked about health and you know, consuming some of these quote unquote bad foods. If you do it in the but you said in the context of a caloric surplus, right, which is the important thing because they helped to create a surplus, but in a deficit that what's the downside? Because kind of when you talk to people who were not, not ketogenic necessarily, but proponents of quote unquote clean eating, which again has no real objective definition when you say, okay, well a pop tart, maybe you can lose weight up, it can't be good for you.

Speaker 2:          00:48:34       Okay, well then we have to have some objective measurement to show this by, right? Like because otherwise it's. Do you believe in magic? Okay, so if you look at processed foods, what they have found with processed foods is that you have a lower energy expenditure from them. Okay, so you have a certain amount of what we call t e, f thermic effective food. A higher protein has a higher t f than carbohydrate and fat. Okay? So we know the higher protein diets actually cause more weight loss and better lean body mass protection. Part of that is through the increase thermogenesis of, of the TF thermic effect of food. Well, with processed foods, you have a lower tef okay, but that doesn't mean you can't eat any processed foods and, and lose weight you can eat, just means you might have to eat a little bit lower calories overall. Does that make sense?

Speaker 3:          00:49:18       There was a key to genic pop tart and it was made with, with almond tastes like shit. We know that if we amens were probably, you know, other nuts or things just given an example, you know, we don't fully digest, assimilate and utilize those calories. They pass through us. So with the pop tart, uh, I think it's pretty high with like raw, like, like a salad with nuts and things like that. Like it becomes significant over time with the pop tart, like you can basically 100 percent of that is going into your system and it's causing a hormonal response. So the food that we eat creates is not only calories but creates a hormonal response and also from the brain perspective can change the neuropharmacology of your brain. I mean, that's how I got into the key to genic diet because it fundamentally changes neurotransmitter systems and reward systems. And things like that, right, but hormones,

Speaker 2:          00:50:15       people get so hung up on hormones and and if you look at the research data just doesn't support it. Like with Insula, whatnot. Now in terms of like losing weight and you're, you're what happens with Leptin and Ghrelin and all those kinds of things. That is a huge. One of the. One of the things we talked about before the podcast started, we had about a 30 minute podcast and we did actually, you know, people say things like, one of the reasons people are really mistrustful of kind of the calories in calories out model is because it is viewed as a to isolated variables, calories in, calories out or separate. That's not true. Calories in effects. Calories out. Okay. There are a moving target. So people will say, well I ate in a calorie deficit and I didn't lose weight. No, you ate and what you thought was a calorie deficit and you didn't lose weight, but if you didn't lose weight, it was not a calorie deficit by definition.

Speaker 2:          00:51:08       Okay. So retaining water or something. Yeah. Who's when we look at dieting, like just dieting in general over time lowers your metabolic rate, right? So if you take somebody, they actually did a rat study. Again, rats, but rats tend to respond pretty similar to humans into. Would you agree with that in terms of blood? I mean, you do a lot of rats, rats and mouse studies. Uh, yeah, I, I think there's a lot of overlap there. Yeah, they're good model. So again, when we have to put that out there because we want to, we don't want to oversell it. They did A. depends on the context of what you're studying. Of course, like you don't want it to be like animal studies can be helpful, but you don't want to do like an insulin study in cows because cows are ruminants in there. They don't care about insulin anyway, they took rats, they took them to, to diet cycles.

Speaker 2:          00:51:56       Okay. So this is kind of back to the Yoyo dieting thing. Um, and they looked at okay and they took obese rats of them down to a kind of normal level than they, than they basically gave him as much food as they want to let him eat back to the original obese level dye to them down again to the previous level. And then let him read back up. What they found was absolutely astonishing. There are food efficiency with so far up because their metabolic rate became suppressed every time they died. It down. Your body has this self defense system that you activate every time you dye it. I talk about this in my shameless plug book. Um, so the first time they died, if that's the kind of one times rate that they lost a fat ass, when they let them regain it, they regained it twice as fast as they lost it.

Speaker 2:          00:52:41       Then the second time they tried to lose it, they lost it at half the original rate. Then when they regained it, the second time they gave you gained it three times as fast their food efficiency would weigh up the ability to lose it. Have you noticed? Have you noticed? Well, what's that? Lucid get faster as well. No, no. They took him twice as long to lose the same amount of weight. Sorry, I probably didn't explain it very well. Yeah, I took him twice as long to lose the same amount of weight and they regained it in a third the time of the original. So your body's getting accustomed to famine. Exactly. Because every time you diet it, and we see this with yo Yo dieters who spend. How many people do you know that seemed to be perpetually on a diet, but they just had that short overfeeding period in between diets underneath.

Speaker 2:          00:53:27       It really does because every time you died you're activating your body self defense system. How many fighters do you know that every time they die it gets harder and harder for them to make weight. While they're doing more than that, they're. They're cutting weight. The cutting weight is ruthless. They're essentially almost dying. Right? But part of that is there. They're having to crash diet super low. So what is the signal you're telling your body? Because you have to always think about things. From an evolutionary perspective. My Phd advisor was great about this, he'd always asked his name, was Dr Don Lemon, brilliant guy, and he would say, why do you think the body did this? Well, if you think about what are the regulatory mechanisms of becoming fat versus becoming too thin? Right? So one, one danger is you starve to death. The other danger is you get so fat that a Predator can come get you, which is more dangerous in the last 20,000 years. It's family, it's family. So your body creates much tighter defense system there. So when you diet, your metabolic rate slows way down. I mean if you've, you've ever these guys who cut weight, so by the time they're ready to get a fight, for example, their metabolic rates really slow. Then what happens after they fight, they eat a crap ton of food because they're there, they're Grelin is way up, Leptin is way down, insulin is way down and they regain it really fast. Now, what

Speaker 3:          00:54:50       to assume? Just to interject that if you die it for 16 weeks for a show, for example, or a contest that what you actually educated me in like 10 years ago and I thought there was this like post contest rebound and in two weeks there'd be this anabolic window or whatever for fat. It actually, if you die hard for 16 weeks to make way, it takes an equal amount of time to get your metabolism back actually to that level. Again, maybe d. So lane coined the term, right? Reverse dieting river, I don't know if I call, I pointed it and did this with metabolic chambers and in rats. And then use a variety of different approaches to determine how fast it, it actually takes to, uh, to bring your metabolism backup. And if different strategies can be used to ramp up your metabolism,

Speaker 2:          00:55:35       well, because when you regain it, you regain fat really quickly, but your metabolic rate is more sluggish to return. So they actually did a study with the biggest loser participants. And this is why I'm so big on what is sustainable that it has to be sustainable. They looked at um, so they last on average, like a quite a bit of weight, I can't remember the exact numbers, but they lost a bunch of weight over the 30 weeks because they starve them and they exercised the crap out of them and they saw that their metabolic rate dropped 500 calories more than you would predict just by the amount of body fat and lean body mass they lose. This is what's called metabolic adaptation. When you defined the metabolic rate dropping, what do you mean by that? What's the. So? So you have. So we can calculate all this stuff.

Speaker 2:          00:56:24       So your overall total daily energy expenditure, you're tde is made up of your basal metabolic rate, which is what you burn. Like what we're doing right now just sitting around doing oxygen consumption car to production. I actually actually to be real, it's just laying down doing nothing. So basically the energy you burn keeping the lights on, right? That's one component. It's about 50 to 60 percent in most people. Then you have your neat, which is like this, like I'm moving my hands, I'm ambulatory movement, non voluntary movement. This stuff will actually go down when you diet, like if you've ever been around, people will go down. Yes. You stopped fidget. Spontaneous movement goes down. It's a huge modifier. So like if you look at either the DVD, when I was prepping for a show back in 2010, I blink slower. I'm not kidding. You and I talk slower.

Speaker 2:          00:57:10       Yeah. Mind you were like on volume. It looks like you're. You're right. Now I'm all hyped up on in the life of lane with that says, oh absolutely. Like you're so your body, this is your body genic di would help you. So. So when you think about. So there's neat. That's that. Then your exercise activity, which is intuitive, that's how many calories you burn exercising, and then there's what's called the thermic effect of food, which we already discussed. How much energy required to get energy out of food. Okay. And all those add up to your total daily energy expenditure and we can predict based on equations how, what your metabolic rate should be. So these people, their metabolic rate was 500 calories a day lower than it should have been. Just based off the weight they lost because if you lose muscle and lose fat, you have less weight to carry around, right?

Speaker 2:          00:57:59       So your metabolic rate goes down just from that, but it goes down way more than it should. That is your. The first prong of your body self defense system to stop you from starving yourself is to become more efficient. We hear the word efficiency and we think, wow, that's. That's a good thing. Think about if your body fat levels were a gas tank and you have. You had a car, okay. You would not want to be efficient, right? You to have one of the old suburbans, it was like half a mile per gallon, right? You don't want the Prius because you can go way longer. So going back to that study on rats, they became so much more efficient with their food, and this is the second prong of your body is self defense system is to not only slow down your metabolic rate while you're dieting, but to start activating systems that deal with restoring.

Speaker 2:          00:58:42       Once you actually start overeating again. Have you ever done a long diet or known somebody who did it and then they start eating again? It's like everything sticks to you. It's like you just. It's like you like, how did I gain five pounds from one day and people are like, oh, it's water. Well, water doesn't stay around for six months, so it's not water that is your body preparing all these systems, so even like enzymes that deal with fat storage while you're dieting actually go up because it's preparing your body for restoring and then even probably the most interesting thing is it all falls back on the importance of tracking Macros, which is completely ignored with guys coming off of a fight or fitness competitors. Let yourself blow up really quickly. It's a myth that your body is set up to be anabolic or to gain muscle.

Speaker 2:          00:59:30       That is for your setup for fat. Yeah, but the point I'm trying to make is that the way most people diet, which is this kind of. I mean, you know, you've probably been around people who do this stuff. It's a lot of people, they they pick the next fad diet. Whatever's popular, they do it, they lose some weight and the navy gain it. My Dad lost 30 pounds on a ketogenic diet, regained 50 right now. The real problem is in the macros. Now he does, but the real problem, and he's down 50 pounds again, but the real problem is if we used to think adipose tissue is like a sponge, right? So if you ate too much, you just threw more in there, right? Soaked up extra nutrients, and then if you started, if you're in a caloric deficit, you were losing weight. It just gave up some of its nutrients.

Speaker 2:          01:00:16       You know, like the guy who fasted for 365 days and didn't die because he had so much, so much fat. We now know that body fat fits every definition of a, of an inadequate system. It's a tissue. It is an actual organ because it sends out hormonal signals, it integrates hormonal signals, it talks to the brain, the Hindbrain, the arcuate nucleus is integrated in all of metabolism in a big way, and typically you have. The way we gain fat, lose fat is based on the fat cell size. So you have a set number of fat cells and the other expand, or they shrink pretty intuitive, unless now you can create more fat cells. If you become so obese that you literally can't stuff any more fat in there, right? So obese people have fat cell hyperplasia. A lot of times what's really interesting is people at the end of a diet when your, when your thyroid hormone is lower, your sympathetic nervous system tone is lower.

Speaker 2:          01:01:12       This unique hormonal. May Lou, if you overfeed to rapidly, there's a researcher named Mclean out of Colorado that actually showed that you can actually increase your fat cell number if you overfeed to rapidly right after a diet. Now, this was in rats, full disclosure, but it was fascinating stuff. Now you're increasing your body's, but it makes sense from an evolutionary perspective. Your body's like, shit, we had this famine. We don't want to deal with this shit again. We want to make sure that we can store as much stuff as possible, so we're going to create some new. This dude is rapidly overfeeding. We're going to create some new fat cells to make sure we're not going to miss any of this energy. We're going to capture every single bit of it.

Speaker 5:          01:01:51       I like what you're saying and it makes a lot of sense. You're talking about weight loss and weight gain, but you were specifically discussing hormonal changes in the body due to the ketogenic diet that are beneficial and that these hormonal changes and the changes to the way the brain functions would be a benefit of following that diet versus just working on calories.

Speaker 2:          01:02:13       Yeah, I mean it's at that book I gave you the complete book of Ketones by Dr Marion.

Speaker 3:          01:02:20       So, uh, so that, I don't think it's actually out yet because prep guide going to get jacked. So ketones are hints of Beta. There a, a, there are sort of, by definition have a metabolic superiority as a, as a fuel source, you know, and they readily cross the blood brain barrier. They can largely replace glucose as the primary energy source in your brain under periods of fasting a or ketogenic diet. So that, that offers a lot of advantages to someone dieting because it makes you resilient. Like the guy that fast at 382 days, his glucose was, was like 30 and dipped down the 20. That would be universally fatal for most people. But as ketones were elevated, so he did not feel hunger. So that, that is true. Like the Cahill Studies, George Cahill, a studies at Harvard medical school where they fasted subjects for 40 days, they injected insulin to increase what are, did two that I remember presenting this Atliens camp a while back.

Speaker 3:          01:03:23       Uh, and I, when I, you know, read this study, I had to call him on the phone, he was living, he passed away in 2012, but we had a number of conversations before he passed away and I was amazed that he got ethics approval to do that because it's basically like killing someone injecting 20 I use of insulin. But what was fascinating that they were asymptomatic for hypoglycemia at a level of hypoglycemia that's typically universally fatal. And they were also a very cognitively lucid. And that was a dramatic demonstration at the time it was thought that, you know, the brain could only use glucose. So this is a paradigm shift in the way, uh, we understand sort of fuel utilization and particularly in the brain, so that has major and I can go on and talking about the different applications of the Ketogenic Diet, which I did on the first podcast.

Speaker 3:          01:04:12       But from a perspective of someone dieting to lose weight dieting as a lifestyle, doing intermittent fasting, the key to genic diet makes intermittent fasting much easier because your brains adapted to it. That for me had tremendous, a practical applications that allowed me to excel through academia. I was able to do a lot more work, not get hungry. And uh, and you know, Lena, we haven't trained in a while, but when we train last night we did dead lifts. I mean we were doing both deadlifting six 75 for reps and I was on, actually, I was on the, the, uh, the classical ketogenic diet then that's when I was just doing it and it out to your school versus like an 80 to 90 percent fat. And I was doing that for about a year and um, you know, dead lifting like three times my body weight for, for Reps, you know, and it didn't hurt me. I can't say that would be the case for everyone, but I also titrated the calories in that I wasn't really at a calorie deficit. I lost a little bit of ways. So I guess by definition I was at a calorie deficit now for people that are

Speaker 4:          01:05:17       thinking about gains, trying to gain weight, they would think that the key to genic at that 80, 90 percent fat would not be enough protein. I believe that the ketogenic diet shines when you are in a calorie deficit. I, my mentor for the cancer work, Tom Seyfried had published a study showing an unrestricted ketogenic diet can actually promote cancer growth in a brain tumor model. Unrestricted meaning too much calories. Yeah. They were feeding mice a sugary at key to genic formula that was on the market at the time. Well, it was a sweetened. I'm sorry. It was sweet and cute. Agentic formula with hydrogenated fats and other things. Yeah, it was a, as sweetened with maybe with aspartame or something like that, so they might tend to overeat it and when they overeat it, you know, it creates a plethora of metabolic abnormalities and uh, you also get those same mountain rallies when you over eat carbs.

Speaker 4:          01:06:10       You didn't say, here's me being, just as a side note, how much does it drive you guys crazy when you hear about this fat acceptance thing or fat is healthy when you be fat. So much of this going around to massively obese people, they're trying to say it's okay, it's fine. You're your football players, right? I mean, by definition they're pretty healthy. I mean they, they lift, they train a metabolically, their bloodwork kind of looks okay, so you have guts, but they're not surprise you with my answer. Okay. Uh, so, uh, we talked about this earlier, I'll take the heat. I'm a libertarian, so if somebody says I'm fat and unhappy and I liked my life and I know what the risks are that I say, knock yourself out. I've ended up before the judge will make somebody else happy. But now the problem is if you complained about being fat, that you got to do something about it, otherwise you're not going to have any patients for.

Speaker 4:          01:07:01       That goes back to the discipline there, but you can be fit, but fat that you. Because you have morbidly obese people. Like I said, if you lose 10 percent of your body weight, there's overweight people who run marathons. Texture. Yeah. You can't tell me they're not in shape. Yeah, no, know for sure. It's just you're just carrying extra weight. I mean, look at Daniel Cormier. He's not obese. He's not obese, but he has some fat. Don't come get me down. I thought steep meo chick. He was more than 40 pounds over his fighting weight as a light heavyweight champion and he was actually heavier than steep a bay and serves the practical friend of mine. But yeah, but that is. The performance is not the same thing as aesthetics. Let me tell you what it meant to shape what I looked like. That I looked amazing. You felt like shit. I felt like shit ready to pass out. Literally for me to stand up was a. was I remember being on the couch and there was a stupid, some show on [inaudible] dot com. Uh, there was a stupid show on TV and the remote was, this goes back to neat. There was a remote over there, like five feet away. I sat and watched the whole show because I just didn't feel like getting the fucking remote. So isn't it ironic because you look so good, like when you jacked

Speaker 2:          01:08:15       like that, you look like you just fucking running forever breakthrough walls. Now there is a threshold, like you know, some of the Ray Williams who is the world's best power lifter. I mean he looks obese, dude squats legit 180 pounds. Isn't that an issue there with power lifter? So a good percentage of them carrying around a lot of body fat. It's not as much as you would think anymore like in the super heavyweight ts because like for example, the IPF, which is kind of the IOC recognized Power Lifting Federation that I compete in their cutoff for super heavy weights to 65. So if you're going to be a super heavyweight, might as well just be 3:50, you know, it was that Dude Jamie, that's ray as bets re re look at the bar bending. Dude, that's, he's a beast. He's a beast, right? Gentlemen, Super Nice Guy, a blind sumner, another one.

Speaker 2:          01:09:03       But like when I sit my squat record of six 68 at 200, five pounds, I mean I was in pretty good shape for that, but for me to get to like eight percent body fat, no problem for me to get from eight percent and I'm calibrating. So for me to get to from eight percent to three percent, so fucking nightmare your body again. Really get down to three on. I think that would be if you floated. No, there are no actual, uh, accurate measures of body fat. That's the uh, that's why it's not really like the relatively within themselves. They're activists dependent upon hydration factors. Yes. So people, not to make too much of a side tangent, but people look at Dexa dual x Ray absorption technology and they say, oh, that's the gold standard. Texas actually really finicky. Like I remember Dec, seeing rats in studies that we do it in duplicate, so we do it twice and sometimes you'd have like differences just decorating the same rat twice.

Speaker 2:          01:10:00       It depends on the machine, your hydration status, because water, if you want to gain, you know what the best way to gain eight pounds of lean body mass within five minutes, go do a Dexa, then drink a gallon of water, go back to the next, another Dexa. You'll be eight pounds. Lean body mass heavier. You can impress your friends because it's the two compartment model. More lean body mass. It's a to compartment model. Same thing with calipers. It's only measuring your amount of fat tissue. So anything that's not fat is lean body mass. So if you guys are using that to track progress, if anybody use that to track progress, it's only accurate relative to the measurement. So your calipers me nothing for what your dexa measurements going to be and vice versa. I see it, but the change, like if I'm. If I'm calibrating a consistently at 10 percent and then it drops to eight and then seven and I can be relatively confident that I'm losing body fat, same thing for Dexa, but you have to do it at the same time of day, same hydration status, all of that kind of stuff.

Speaker 2:          01:10:55       And I don't really use dexhub because people, in order to get an accurate, you'd have to use it like every day for it to be actual relative. You use pictures, right? So when he was dying and got to a certain way off tangent here, but I looked at him as, okay, yeah, like stop there. But then he would go for another and get to a level where

Speaker 4:          01:11:14       he looked very gaunt. I mean, you looked what looks good. They're like seeing him in person. Like I need this personality was changing. I mean, it's kind of Freaky, disgusting. Looking towards the end, uh, and many people who maybe follow the sport but don't compete, don't really realize what the difference between five percent or six percent and three percent is. So that separates the competitors from the. That's your Bros online. Really fighting evolution at that point because your body is trying to, your close to starvation, literally your body is trying to keep you from doing that, so like you think about food all the time, you actually become. So a friend of mine, Chris Foster, he's a professor at l a. He was doing his phd at the same time as me and him. My other friend Dr Jeremy Lin and Dr Lindy Russo, Chris's wife Chris was doing a contest prep, but I prepped him for the show and it was a six months study of He's a natural bodybuilder, so drug free and they looked at the hormonal responses, his weight, his body fat and even like measures of mood.

Speaker 4:          01:12:15       Chris is like the most. I was a beast like to 60 or I'm not a natural joy free by 2:20 in the off season, but one day he just looked like he, you know, he's a big guy, but he's like a very mellow dude by the end. His mood measurements. We're measuring like that of a psychopath. Really? Yeah. It just changes your mood around fighters who like they get when they get that lean, it's just like he could barely talk to you and we'll think about. Think about like they're actually trying to peak for a fight at the same time. They feel the most like shit. It's ridiculous. They're so focused on cardio they want to make to send to a. they're. They're focused on just dehydration and making that way. I've seen some of the protocols. I've. There's some good ones out there, but some of the stuff I've seen them like, God, I wish I could talk to somebody in that, in that realm because it's so.

Speaker 4:          01:13:01       It's so much bro. Science, it's so dangerous to. And it's. It's really, you can only do it three or four times and then your body starts to reject it and these guys have to go up and wait. Like you were talking about. Well, you explained to you why. Yeah, it. Guess what? What happens when they go up a weight? Sometimes they start crushing it. Do they do much better? So it's testosterone right? At plummeted, but his, his bazell requirements as calories department was like 1200. The crazy thing is I'm. So, there had been some critics of my, my kind of a view of metabolic adaptation. The body is self defense system, full full disclosure. Some people criticized me about that. They say, well, if you look at metabolic adaptation, it only explains it's only a 15 percent adaptation relative to the whole adaptation. And uh, but if you look at Chris's numbers, I think on average that's probably right on an average diet with an average person you take, somebody's trying to get really lean or somebody who jojo diets or somebody crash diets. And now you know, if again, it's proportionate. If you challenge your body with something extreme, it's going to respond in an extreme fashion. So every case study we have on natural bodybuilders and there's about 10 of them now who look at their contest preparation and coming out of it. And I use them to just because this is the realm I grew

Speaker 2:          01:14:12       up in, shows that they're hypogonadal by the time that they're at stage. So hypogonadal meaning their testosterone, their testosterone is clinically low. Yeah, naturally. And these are guys like me. I actually run. I actually have a pretty naturally high testosterone level. Like when every. Every time ever since I'm 16 years old, when I got tested, I've been like over 800. If I'm eating enough. When I was at contest, I was under 300. This is part of how your body fights you. Your body does not want you to be that lean, but if you're kind of raining this back into the discussion, this is why I talk about why it's so important to pick something that's sustainable for you as an individual. Because if you do this shit where you Yoyo Diet or you don't come out of it appropriately, it will fuck you up. I mean we've.

Speaker 2:          01:14:58       We've all females, especially in a lot of track record, like I, I've worked with a lot of females now because especially in physique sports, there's a lot of really bad coaching starvation diets than for women. It's, it just messes with their reproductive cycle to stop having peer mentors, which I'm going to and of itself doesn't seem to have necessarily what does that no menstrual cycle. So it doesn't necessarily end of itself, seemed to be a, um, have negative health consequences in terms of longevity or disease or anything like that. But yeah, I mean if you can't get pregnant, I mean that's a big deal for some women, but the women don't want to hear is you may have to gain some body fat to get that back. You know, they don't want to hear that. But this is why, like I really start with sustainability and then from there I go to, okay, what?

Speaker 2:          01:15:48       So if we've got what's sustainable for you now, can we get a little bit better? Can we do a little bit more fiber? Like I think in general, you know, I criticize Paleo diets because I think their validation for their model is absolutely fucking stupid. Oh, the kind of evolutionary validation and the fact that we didn't drink milk and we didn't eat beans in this kind of thing, but coffee. But the question shouldn't be what we were doing. The question should be what makes sense and what is healthy now. Like if you look at studies on dairy, almost all studies show people who take in dairy are healthier, better bone density, more lean body mass, lower body fat. But it isn't. Are there a lot of people that think that dairy is bad for you? Yeah. Here it causes inflammation. Megan's but early, uh, some, some, some, some like clean eaters to think that dairy somehow causes the, the research data. Yeah.

Speaker 3:          01:16:40       In dairy, uh, various proteins that a alpha locked albumin or that can basically initiate a, an immune response in the body. So I know when I'm okay with dairy fat, I can get like 100 grams a day of dairy fat. But if I'm, if I drink a whey protein shake, especially at night I wake up all congested and pure whey concentrate a way. Yeah, way concentrated or just like a, you know, a yogurt or, and, and I think it's a spectrum, right? So it's not like you have it or you don't. I think, you know, there's a spectrum and bovine protein is kind of viewed a foreign body. I mean once it enters the bloodstream it can.

Speaker 2:          01:17:25       It's only if it enters the blood stream because if digestion is working properly, you're not going to get any of that in the bloodstream. It's all going to be chewed up into some of the die and try peptides. Some of it makes, I mean like insulins have 15,

Speaker 3:          01:17:36       the amino acid and if you take enough insulin, like you can basically go hypoglycemic if you orally consume it. That's why you, I

Speaker 2:          01:17:44       think it's a, I think it's 81, 81 I thought. Oh well it doesn't matter. Sure. Yeah, yeah. Yeah. So even something that's a 50 amino acids can get through this, this term lactose intolerance. Do you think that's actually resigning? That's actually sugar. Yeah. So this is an issue with people's individual dietary system. Some people have a alpha elect, albumin sensitive sensitivity where they, if they've got some kind of leaky gut. So normally your, your, your injunctions are tight. Okay. So your, your small intestine, your intestines are like kind of fingers and they pick up nutrients. This I'm really generalizing, but theo cells, the tight junction is a little little anchor that holds that gets loose, dysfunctional with that that can allow certain nutrients through the wall and that will initiate a bodies in loon response. Holly is a CELIAC and she. So if she has gluten it you will know it because she will have a huge inflammatory response.

Speaker 2:          01:18:44       But in people who have normal digestion, that just doesn't happen. Going back to the Paleo thing, what I was going to say is even though I. I disagree with their relevance, if you told me, okay, you take their general recommendations, eat limit sugar, eat more whole foods, eat higher protein. I think in general that's pretty good recommendations for most people. I just, as you said, I'm anti bullshit so I'm not going to let you make claims about why something works when that's not why it works. So when we look at like the differences in diets, like I think what I would say generally to pr people is that here's the great news as far as fat loss goes and health markers, if you want to lose weight, if you eat, if you control your calories, so a calorie deficit, you eat enough protein because protein helps spare lean body mass and is thermogenic so it increases your energy output and then you can kind of do whatever you want with carbs and fats and whatever you prefer and you'll still lose the same amount of weight and get about all the health benefits.

Speaker 2:          01:19:48       But it has to be something that you can sustain because if you can't sustain it, you're going to put all that weight back on. That's what the research data shows. So donald loves sustaining it, meaning for life balanced diet that you could stick with versus for life, some sort of a calorie deficit. That's really only a temporary thing to lose weight. Right? So now obviously you. You can't eat a deficit forever, right? Because then you would starve yourself to death. But the body corrects that. Like you, as you drop body weight, your metabolic rate slows down, you're not in a calorie deficit forever when we talk about losing weight and then maintaining it, right? So eating in a maintenance, so eating basically the behaviors you use in the style of dieting you use, you have to continue that if you want to maintain it. So if you like key to Janet, like you like key to genic, you liked you to genic mo and I think you're a big fan of meat.

Speaker 2:          01:20:40       If you can sustain that, you know, like people out there as, oh my God, people will probably tell you you're going to get cancer and you're going to do this and you're gonna do that. Most of those health benefits are just from not having excess body fat, excess body fat, and the metabolic dysregulation of a metabolic type syndrome. That's what cause 90 percent of these problems. Okay? Now, which is why I get crazy when people say that fat is healthy. Well, well here's the problem. It's like we, we have like reactionary culture. So we have been through your set point is to we have reactionary culture, so you see this all the time, so we had, okay, you've got to eliminate saturated fat, you gotta eliminate dietary fat and just eat grains and limit your proteins and we got fatter and so the reaction to that was don't eat any carbs.

Speaker 2:          01:21:29       Saturated fat isn't bad for you. In fact, eat as much saturated fat as you can. It's great. Put butter in your coffee like no, there's good data to show that the research data that I've seen in my opinion shows that saturated fat absolutely was demonized. It's not as bad as we thought, but it's if you eat too much of it, it's not great either, especially with carbohydrates. Oh absolutely. Because now you're increasing your. Now you're increasing your liver production of saturated fats as well, right? When your body gets into a fat burning stage, and then on top of that, you pile on carbohydrates, then your body wants to store those carbohydrates. As with the Calorie surplus, you actually technically you store the fats, you started because you carbohydrate, you burn the carbohydrates stored, right? So carbohydrate. If you say, well, why does, if you don't store Kobo, so I talk about this in my book because people will go too far to each direction to say, well, you said you don't.

