Speaker 1:          00:00:00       Do we have enough left for tomorrow? We don't have tomorrow. I'll bring the sweet

Speaker 4:          00:37:39       Right? And that he wishes he would go away because he recused himself. First of all, trump can fire any of these people at any time. Like this is very passive aggressive for a guy who made his living saying you're fired on TV. It's amazing that all the people that trump has fired. I've been fired actually through surrogates. Yeah. But Mike Flynn resigned. Uh, James Comey was fired basically through Rod Rosenstein and sessions and then Rosenstein had to recuse himself, which is how you get the special counsel and Comi found out on television, TV, right. Emissary to go to La and, and give them a letter. And like everyone, he fires has to be fired in the most. Roundabout. I, I think that trump actually this, I think the dirty little secret is, I'm not sure trump actually looks firing people and the, I think, I think he, I think he kinda like toward, at any handling torturing people, but I'm not sure that he actually likes firing them.

Speaker 3:          00:38:22       Maybe he doesn't like people being mad at him face to face. I think he wants them to love him in front of his face. So like when he's not there, you know, you can make a phone call, firearm jetson and hang up the phone and you don't have to actually see the guy who wants

Speaker 2:          00:38:36       that guy to like him. Yeah, I don't recall me thing was really bizarre because it was like, oh, you can do that. Like there's this guy is looking into improprieties and you can just say, no, you can't do that anymore. You're fired. You can't look into the things I've done wrong. It was eight. Well, the way he did it was the stupid part. So I was calling for me to be fired since last year. I thought the way he handled the whole hillary thing from beginning to end was terrible. I thought that trump should have replaced him before he became basically day one. Here's my new cabinet. Call me. You did a great job. You know, usher him out the door, bringing somebody new. He kept him around and then the first thing he said to Komi you remember was when you met him, he said, you're more famous than I am.

Speaker 2:          00:39:14       Well, when trump says that to you, that's the writing on the wall right there. First of all, it's not true, but second of all, I think maybe there was also a part of the problem was a comb is a giant. Yes. The trump. What is he? Six, eight, six, eight, six, 96. Get giant dude. Towered over. Crossing is such a comedy and call saying he was trying to hide in the curtains to avoid trump saying he just see Herman Munster over there hiding in the we're now. What did you enjoying the show? I mean it's wild. If I didn't think that nuclear war was a possibility, but if I see a fucking Korean missile headed our way, I'm going to be pissed. When colby was handling the email thing, what specifically did you not like about it? What I thought it was was crazy was when he restarted or reopen the case because of Houma, having used her cruiser with Anthony Wiener's, all that stuff was like, that's not enough.

Speaker 2:          00:40:11       Like that seems crazy. The deleting the emails to me seemed like I had Mike Baker on from the CIA and he said essentially anyone else would be in jail for what she did for sure. For sure. Sure. Right. Well, call me if this. So he screwed it up and then he really screwed it up. So when he originally said publicly, we're not going to prosecute Hillary Clinton. He was doing something he didn't have the authority to do. The FBI does not decide whether to prosecute people. They refer the information to the DOJ and then the DOJ decides whether to prosecute people. It was Attorney General, Loretta Lynch's decision whether to prosecute or not. The statute itself. Man, I'm a lawyer. The statute itself did not say, do you have intent to commit espionage? Do you have intent to to make classified secrets public or expose them to the possibility of being made.

Speaker 2:          00:40:55       Public intent is not an element of the crime. Right. If you do it, it's a crime. So my wife as a doctor, and that means that she is under hipaa requirements. There is no element under hippa that says that if she reveals somebody, you know, proprietary medical information by accident, well there's no intent, so she's okay. That's not part of the statute. If she brings some of these medical records out to her car and somebody steals the medical records, you know, if she's working at the va or something, that's a crime. It doesn't matter if she intended to do it and just left it in her purse. So Komi read the element of intense into the crime to get hillary off. And then he said, okay, we're not going to prosecute this. We're going to leave it alone. He shouldn't have intervened in the first place. Remember he made an entire case basically for why she should be prosecuted and then at the end he goes, but we're,

Speaker 4:          00:41:34       you know. But no, we're not gonna do that. He also said we're going to keep Congress updated on any future development. Well you get to October and there's a future development. They found this laptop with all sorts of information on it with new emails from Hillary Clinton that they haven't seen before, and now he has an obligation to inform Congress because he told them that he would and so he screwed the pooch again because he's afraid that if he doesn't reveal that information, Hillary goes on to win and then it comes out. There's something criminal. Then people are going to blame him for Hillary winning and putting a criminal and the White House since they say, oh, well, I'll be fully transparent. I have to honor my institution. I'm going to put this out there. Of course, then hillary loses and now he screwed up twice and then he gets into the White House and now he's supposed to be investigating the trump Russia stuff at the same time, so now he's investigating basically both candidates in the 2016 election.

Speaker 4:          00:42:20       He handled this the wrong way every step of the way because he was so focused on what will uphold the integrity of the FBI and the integrity of the investigation and the integrity of the DOJ. He was less worried about, okay, what do I actually have to do under the law? What's my obligation under the law is obligation under the law is to shut us pie hole and the information over to Lynch. If Lynch wanted to kill the investigation, let her do it. So in a sense trump was right and saying that he's a grandstander yeah, for sure. I mean, I think that part was right, but that the problem remember was not the firing of Comey. It was the two days after he fired comey, he went to Lester Holt on NBC and he said the reason I fired Columbia was not all the excuses I gave about the, the hillary stuff.

Speaker 4:          00:42:58       It's because of the Russia stuff. I was angry about how he was handling Russia. I mean, that's really stupid. That's intensely stupid. It's intensely stupid, but it's also strange that it didn't go anywhere. Right? Like that was it like that? That's against the law. Well, it's. So it's, you know, obstruction. So obstruction. Looking at the statutes obstruction is a little bit more than that. So you have to actually obstruct an ongoing investigation into criminal activity. There's a counter intelligence investigation going on, but not necessarily a criminal one. So not to get too specific about it, but you should get specific about it. I mean the obstruction laws, I mean I've looked into kind of the statutes that they've used to suggest obstruction and it's not clear that there is any statute that specifically governance, something like this. Plus it is true that trump does have the power as the chief executive to fire as the commander in chief to fire the FBI director for any reason he chooses.

Speaker 4:          00:43:47       Now, all that said, he can be impeached for any reason. Criminal or noncriminal, right? Impeachment is not a, you don't actually have to have committed a crime to be impeached. Right? Most people don't even understand what a peach means. They think that somehow or another impeach means that you kicked out of office, right? That's not rent. It is there. There's the house and they have to vote to impeach you. Uh, and then there's the senate and they have to vote by two thirds. Majority or a 68. Yeah, I think it's two thirds majority to actually convict. You have a set of crimes that they come up with, but these are all political definitions, right? When it says high crimes and misdemeanors, it doesn't mean they actually have to prosecute. You likely wouldn't have criminal court and you'd have to go to jail or any of that kind of stuff.

Speaker 4:          00:44:21       Like they could impeach anybody at anytime. Clinton didn't even have to commit perjury. If they didn't want. If they wanted to impeach him, they could. They could have impeached doubly. Every president you can impeach. It's just a vote. It's just about. So all the talk about what's criminal and what's not criminal. The problem for trump, there are two ways of reading trump's behavior in the whole Russia thing right? Way. One is he's got something to hide and that's the most obvious way he's got something to hide. That's why he gets rid of Flynn. We don't know why he got rid of Flynn. He gets rid of Comey. We don't really know why he got rid of Columbia and then brags to the Russians that it's a pressure off him on the Russia stuff. So it's a way one is, he's hiding something and now he's firing everybody who gets in the way and there's, you know, the chain of evidence does not fit that.

Speaker 4:          00:44:57       I mean, you know, he, he's the people he's angry at in order our attorney general sessions, the deputy attorney general Rod Rosenstein, the former head of the FBI, James Comey, the acting head of the FBI, McCabe, uh, and uh, and the special prosecutor Robert Mueller. So those are all people involved with Russia. Those are the only people he's really angry at. So there's something to be said for the idea that maybe trying to hide something. On the other hand, we haven't actually seen any hard evidence of collusion itself. So we saw an attempt to collude by Donald Trump jr, but we haven't actually seen any evidence that the Russians were providing special information to the trump administration, which was then being weaponized for use in the campaign. We haven't seen any of that stuff. So here's the other plausible theory, and this goes to trump's personality. He's so petty and he wants to be loved so much that he is angry that people keep saying he run because he won because of the Russians.

Speaker 4:          00:45:44       And so now every time people say that, he just gets pissed and he fires people. So Comi, I mean this is totally plausible, right? Komi comes to him and he said privately that you are not under investigation. And trump says to him, well, why don't you just say that? And he says, well, I can't say that because if I say that I'm going to have to update congress. If you do fall under investigation and trump doesn't like that, he wants the public to know he's free and clear. So he fires call me and then he goes up public and he says, I didn't like how he was handling the Russia thing. I'm innocent. Why will these people leave me alone? Right? So yeah. So there's two ways to read this. Either he's totally innocent but stupid, or he's trying to hide something. Those are the only two plausible ways of reading the situation.

Speaker 4:          00:46:22       The Donald trump junior thing was really bizarre because he released all the emails, like I just, yeah, it's like, look, I've got nothing to hide. Like you aren't supposed to do any of these things you're saying in these emails. Yes. That was not a good moment for, for trump, jr. Do you think you'd go and then you hear that he was coached by his dad again, you know, this is. None of this is gooD stuff. I think that Donald Trump jr releasing the. First of all, it is imperative to note eight minutes later the New York times released basically the email chain. Right? So he was meeting, he was beating it out of the gate and so he puts that out there, which was a smart move. I mean, it would be smart if it would be smart if he had found a way to spin it, right?

Speaker 4:          00:46:59       Like if you'd done it, if this is the thing in politics, now the way politics works now is your smartest move. If there's dirt about you is to be the first person out the gate with it and you put a spin on it. Right? So like barack obama, imagine if obama hadn't said anything in 2008 and then we found out a week before the election that he did coke in high school. Now a lot of people wouldn't care. A lot of people would write in 2000 George W. Bush was hit with a dui charge from like 1973 and it probably last him a point in the polls. So what obama did is he wrote an entire memoir and he just kind of dismissed it right in the middle of the memoir. He goes, you know, when I was in high school, I did a little bloke, no problem.

Speaker 4:          00:47:32       Did a little blow everybody and everyone. Oh okay. Did low blow, alright, you know, cool. So if you're going to release this kind of stuff, you have to put a spin on it. Trump juNior, didn't he just put out the emails and the emails themselves contain the damning material, right? It says right in there, you know, there's a russian government lawyer, the russian government sees this as part of its effort to aid mr trump's campaign. And donald jr is like thumbs up guys like I love it. sounds awesome. And, and so that does not look good. it's not quite as much as you know. People on the left want to say it as meaning that there's no evidence yet that any information was actually exchanged with the russians or that anything came of the meeting. Most of the people in the meeting who said something and said nothing came of it, but we don't know whether trump knew about the meeting.

Speaker 4:          00:48:12       I find it kind of hard to believe he didn't, you know, considering every major campaign figure was there but, but then then they, then they just keep lying and this, this is the part that's, that's a problem. Are they lyIng because they just think they can get away with it anD they're stupid or they lying because they're actually being meticulous about their allies. And I Tend to think the former, because this isn't a professional administration. I think these, I think trump fibs a lot. He says things that are, I mean like on stupid things. He says things like, the leader of the boy scouts called me and told me that he loved my specialist, whichever, and then leader of the boy scouts, like, uh, what? So, so is that a calculated lie to hide something or is it just the trump lies by nature and so he does it a lot, but I think he's just so used to it

Speaker 3:          00:48:51       putting that spin on things that publicity span. Right. And the thing that he said about this was it, this is what politics is what happens in politics. You get dirt about your enemy and people exchange inFormation. It's just what happens. It's just you're seeing it now. So a lot of people like. Yeah, well that makes sense. Right?

Speaker 4:          00:49:09       And, and this is something that again, I think that were shaped by hollywood a little bit. Politics is dirty, but some of this stuff is not usual, right? It's actually not particularly usual to meet with a government that is really not friendly to the United States to receive information about your political opponents. But if you've watched house of cards, you think, well, I mean it's like two steps down from throwing somebody under the subway. So what's the big deal? Uh, I don't because I work in politics and when I go home at night, the last thing I want to do is watch entertainment about politics. Now watch game of thrones. That's his political. Okay.

Speaker 3:          00:49:37       House of cards is a great show. But if it's half right? Like I always wonder the thiNg, the thing that gets me is when people suicide themselves that are on their waY to try out, I'm like, okay, I don'T want to be that fucking guy. I don't want to be that tin foil hat guy. But how many people are going to suicide themselves? I mean, for sure someone's been murdered somewhere along the line. Someone knew something, some powerful people got to them and they murder him. Oh, it's gonna happen. It has happened. It must've had.

Speaker 4:          00:50:06       I mean, I think it happens a lot in Russia. I don't think that. I don't believe what trump said. And again, I think this is why trump has a skewed vision of what politics is and because he thinks that the outer limit of politics is Russia. He thinks any thing inside that limit is now okay. But do you think it's ever happened in the United States or just in Russia? Like political assassinations? Uh, I can't name a specific example of where it has. I think that. Are you open to the possibility? I'm open to. I mean, if someone shows me man johnson, lyndon johnson. Did you pick somebody? And I don't think lyndon johnson whacked anybody about kennedy. I don't think that kennedy whacked anybody, but hillary, uh, I don't think hillary clinton

Speaker 3:          00:50:40       the fiat up. If I had my last thousand bucks, I'd be supeR tempted to bet on black. I'd be super tempted to go. You know what? I think She went dark. She's whacked a few people. Let's see what we've got here. Like I want to see white water. I'd want to see vince foster. I want to see that enron guy who shot himself in the head twice. If I could, if I could really, I could. You know, man, I think it's happened, I just don't know.

Speaker 4:          00:51:09       I'm sure at some point, but again, if I don't know if one, when I'm hesitant to, I think that we and I think that we tend to think things are regular when they are, they never really irregular, right? So we tend to think that this stuff is happening every day and that's why you see trump on tv saying, well putin, like America hasn't killed people. And it's like, well no, not quite like putin. I mean like putting legitimately murders. His, his journalistic enemies. I haven't seen you trying to double tap jake tapper, so I'm pretty sure I'm pretty sure. no, it's not a regular thing around here. Even obama wasn't trying to like kill chris wallace.

Speaker 3:          00:51:38       Right. But maybe the, you know, maybe I don't know what boot is. Obviously the extreme example, right? Well obviously the extreme example is a North Korea, but putin is in that range of, it's like a totally feared, essentially a dictator who's a,

Speaker 4:          00:51:54       I mean there are a bunch of them, right? I mean airline in Turkey. Uh, sure. The maduro a song, a. Yeah. Assad now in Venezuela who's literally like a complete dictatorship, and this is very recently, but America is a. I mean, would you believe it if I said like leaders in France had people regularly whacked and find it a little bit hard to believe? I don't think we're significantly worse than France and the whacking people in politics business I don't think regularly, but I think every now and then the move is I'm open to the possibility that I'd have to see the evidence. The lawyer in me. Well I don't think we're a house of cards. I don't think it's gets that ridiculous, but the point I'm making is if you think that's a regular thing, if you think that it not like a rare thing and maybe once in a while, you know, once every 20 years somebody gets whacked quietly for political reasons. If you think that's like a regular thing, then fibbing is like way inside the line. Right? Right. Like you hiding documents is really. Or are you like writing your son's stupid statement about a stupid email exchange and then fitting about it publicly. Like that's really inside the line. So again, I don't think that, I think some of this, I have a rule about the trump administration. I never attribute to malevolence what I can attribute to stupidity because I think that that's more likely to be the case. It's like the outcomes razor of the trumpet.

Speaker 3:          00:53:04       I think that is a smart way to think. But I think sometimes malevolence is real. I remember the gary condit chandra levy thing. Yeah, that was weird. that was a weird one for people don't know the story. This guy was having an affair. The girl turned up dead and then nine slash 11 happened right away afterwards, so people kind of forgot about it, but they. They found her body, the park and everybody was like, jesus christ. Like this is a woman that was about to testify that she was having an affair with this guy and that one was a good one in terms of not a. Not a good one. Obviously a terrible

Speaker 4:          00:53:37       in terms of. So let me say this. I think that if there's murder and politics that will probably tend to fall more into the personal and the political. It'll probably fall less in terms of like, I have a political vendetta against this guy and I'm going to kill him. We haven't really done much of that since Alexander Hamilton and burr. Um, but it's. But there are. I mean, listen, teddy kennedy left a woman in the back of his car and a body of water, so.

Speaker 3:          00:53:57       Right. Drunk driving. Right. That was the thing with him. He just didn't want to be responsible for something horrible that he did. Right. Similar to dick cheney not meeting with the police for like something like 18 hours after he shot his friend in the face.

Speaker 4:          00:54:11       Yeah. I mean, I don't think he was trying to assassinate his friend is drunk hunting and that's it. Yeah. Yeah. I would imagine. I can't rule that one out, so. Yeah. But I mean, honestly, I'll fantastic kennedy a little more suspicious. You leave the woman in the back of the car, swim out of the car, go into a house, sleep, come back the next day and oh my god, she's dead. Well, yeah, it turns out when you leave somebody underwater for 12 hours, they tend to do that. It's weird how that works

Speaker 3:          00:54:36       well less. He was so drunk that he didn't know what he was doing, which can happen. You can get black out drunk or you wake up and you go, wait a minute. Did I crash my car

Speaker 4:          00:54:44       so I don't drink that heavily. Is that really a thing? Like he climbed out the window, the card, swim out to the river bank, go to somebodies house, come back like a day later you're like, oh shit. There was a girl in the backseat.

Speaker 3:          00:54:56       I've never had it happen, but I have had. I've had what I would call slide nights, know where I get hammered and then like a wake up in the morning with a pounding headache and is, have these flashes in my head like, who is that person? Like where was I? Where were we? Oh yeah, there was that. And then that you'll eat breakfast with your friends that go. You remember that thing? And you go, oh yeah, jesus, not necessarily blackout like I did something horrible and I completely forgot about it, but I forgot a lot of it. But some people, I have a friend and he goes, job allies, there's a switch that goes off three or four shots in and he, he's gone and he's not there anymore and you almost kinda like nerf the world around him and protect him and get him in his bed and he wakes up in the morning, he doesn't know a thing, doesn't know a thing about what happened.

Speaker 3:          00:55:44       And it's really bizarre. It's illegitimate, terrible things to him. Know I wasn't nice to him. But your instinct is to get the fuck away from him and he just let horrible things happen. But, uh, the stories are legendary, but he does, he gets sharp eyes. He gets these black, like soulless eyes where he's gone and you go, oh no, he's gone. Yeah, it's weird. But I'm wondering what that is. I feel like that's a neurological issue. I feel like if, if alcohol does that to you, there's probably some switches that aren't connected right in the head. I imagined a seven gun on, you know? Yeah. So teddy kennedy, who knows, I mean he was obviously a raging

Speaker 2:          00:56:24       and that could have been a part of the problem. I mean he literally might have gone home, not even knowing that he killed somebody. I mean I'd have to be as, and it's only defense. So you imagine. Well that was one of the things that they said that they would have used as a defense against with oj the oj with the cte, that he might not have even known what he was doing, that he might have flown into some blackout rage. That would be an amazing defense. Like I would like to hear that, like everyone who has cte now gets to like run around chopping up their ex wife and randos who end up at their house like that. That'd be a hell of a defense. Sort of like the twinkie defense, right? yeah. Well the twinkie defense was hilarious, but there are people that think that they're going to see more and more things like that at a former nfl players with massive brain trauma issues.

Speaker 2:          00:57:08       It's actually a serious legal question. You know, like there was a couple of weeks ago this kid doesn't even know he did this. Oh god. Oh wow. Former nfl player. Devonne hall accused of kIlling his mother. He doesn't remember. He's in jail right now. Doesn't recall. Oh yeah. Well that's real. It's mean. Yeah. I don't find that wildly implausible that the fact is that we have an insanity defense and what it means you don't know right from wrong. Well, if you don't know what you're doing, like this is something they teach in law school. If you're sleepwalking, he kill somebody and there's no motive sets. It's difficult to like you need mental treatment but it should. You be in jail for that. Not, not really. I mean they've had cases where people are like sleepwalking and they think that in their dreaming at the same time. So they think that their wife is actually like this defense has been used where they think they're the wife of some sort of monster in the room.

Speaker 2:          00:57:54       So they clobbered to death and then they wake up and like, oh, that was my wife. It's a really creative defense or it's true. I mean, one of the toe so well, if we know that people can go crazy and we know that brain trauma is a real issue, the two of them together, I mean there's something about getting knocked around in the head where it's so completely unpredictable and then you add in this impulsive nature of their behavior that happens. There's something really weird about a brain trauma. It causes a lot of very strange, impulsive behavior in people with. They really can't understand even why they're behaving the way they're behaving. Just not good. Obviously this is way off track, but it's far from politics to brand trauma. You don't want a former nfl player being the fucking president. So that's. They did a cte study.

Speaker 2:          00:58:44       There was a hundred and 11 players and 110 of them had cte. I mean, then you tell me, I mean, you, you have more experience at this. I mean, I didn't find that shocking at all. I mean they've been calling people punch drunk since 1910 and so we'll see. The thing is, when you get to that, when you get to the slurring your words part, you're so gone, you're already gone. There's a lot of people that have cte that speak really well and they're very articulate and they're very reasonable and you wouldn't even understand that they're dealing with all these, this host of neurological issues. The by the time you avoid, obviously I'm not a neuRologist, but by the time this has been explained me, your voice

Speaker 3:          00:59:22       is slurring and you're dealing with like real heavy duty symptoms like you're fucked. Like you're so gone. Like you're, you're, you're, you're way off.

Speaker 4:          00:59:32       Here's a weird question for you. I mean, what, what would you do about like, I think the nfl is gonna start losing viewers because of us. I think they are. I think you're right and you know, I wonder about mma.

Speaker 3:          00:59:41       It's a factor. I think there's a, there's two things going on. There's the bucket factor where people like, I don't care. I want to watch people get their ass kicked. It's fun. It's exciting. People love it. It's consensual. It's primal. Yeah, and people know what they're signing up for when they do it, they know the consequences of it and it's worth the glory to be the guy who delivers it versus the guy who receives it. So I think there's that, but then there's also look the colin kaepernick thing, I think that

Speaker 4:          01:00:07       probably costs a lot of ratings for the nfl. Did that poll that came out that said, I think of the 12 percent of people who said that they were not watching nfl games last year, 28 percent of that, 12 percent said that the cabernet national anthem thing was the reason. Yeah, I mean it. Some small percentage probably emboldened them. They probably liked it and they wanted to watch it more. This is fascinating about the cultural breakdown of the country. Basically white people hated black people loved it. This is it. This is how the polls where it's like 72 percent of black people thought it was great and like an equal percentage of white people thought that it was just terrible, which is, which is a fascinating look at it. Sort of how race relations work in the country at large is it? It'S actually one of the reasons I think that espn has been losing ratings. Like I used to watch espn religiously and now I, I, all I want is to just watch my sports and not Be bothered with the politics because I say I do that during the day. It's a pet peeve of mine and every time I turn on espn I have to lecture about caitlyn jenner or about black lives matter. It's like shut up. Caitlin jenner hasn't even been athletically relevant fOr since before I was born. I was born in 1984.

Speaker 3:          01:01:04       Well the caitlyn jenner piece, when they did it for espn, and I don't know if this is true or not, but the word was that her getting athlete of the year or whatever the award was like the hero of the year award arrow a was directly tied to the exclusive interview with Diane Sawyer. That makes sense. They sold the two of them together as a package deal, which I buy a hundred percent and if you don't, if you don't, come on. Let's think about where he works, if that's the case. She came from. She's a fucking car dash 10. Okay. She's a giant kardashians. Right? That's what she is now known as. I'm saying she saying she, I would say very politically correct and I'm not. Um, but the video where they circled her house and she was like moving and the shadows behind the drapes. Did you ever see that? No, it was wonderful. It was wOnderful. She made, it was like the first time she was revealing herself as this woman. So they're circling her house. She's this gloria's house and looks like it's in malibu or somewhere where they're circling the house and it's in the hills with helicopter, like filming I guess like fucking high production values. Shit. This isn't just like, hey, you know, we've met with caitlin and home. Caitlin, tell us your troubles. You know, like kristen beck, the former navy

Speaker 2:          01:02:20       who just sits down very reasonably and says, this just feels better for me. This is who I am right now. Know that there was like curtains and shadows and it was mysterious. And then she starts talking. I was like, wow, are all. I'm like, oh god. And then there was a weird, the weirdest part where she said she got surgery, but it doesn't make me any. I was. It wasn't like I was any less of a man or less of a woman before the surgery. Well, this is the case is about gender, right? Well, why get the surgery? That was like this as well. There are a lot of questions as to the logic of all of this. I get you call it caitlyn jenner sheet. Caitlyn jenner is a biological man. Sorry. That triggered sat. Sorry to break this to some of the all the people who listened to your show.

Speaker 2:          01:03:03       Caitlyn jenner. Is it like. I had a tweet this week. All the people that listen to probably agree with you at least a good good amount to the number one retweet a tweet I have ever had. Had 100 and I tweeted I think a day ago and it has 120,000 lakes and it's. It was, there was a headline from cnn that said transgender man gives birth to a transient lesbians, transgender man, a signed the female sex at birth gives birth to a healthy baby boy, and so I tweeted, woman gives birth to a boy because it's a woman. I mean like that's not a headline. I'm sorry, like I'm just. Because the woman believes she's a man, doesn't make her a man. Like biology still exists. Sex still exists. If you want to say she's a woman who feels like a man, that's fine. If you want to say that and by that I don't even care if she gets the hormone treatments or if she wants to have surgery, like it's a free country, what the hell you want, but when you start insisting that I use that, I just throw biology out the window.

Speaker 2:          01:03:56       I don't understand why that's any better than it is a religious person saying every time you say something you have to mention god like, well, I don't have the right to do that to you. Like what the fuck? Are you fascinated by it? Are you fascinated by the transgender? The I'm fascinated by this obsession with it. Yes. That's a good way of saying it. There's not just a an obsession. It's, it's compulsory and it's rabid. So I think that there's a couple of things that are going on. One is that it's very dark, but I think that there is an element of like, this is different and we get to. We get to revel in the, in the weirdness of it, but we're going to pretend that it's all about the civil rights of it, right? We're going to feel special because we're, we're, we're.

Speaker 2:          01:04:35       Because we're on their side, right? When we're not watching caitlyn jenner because it's a curiosity and because it's weird and entertaining, we're doing it because we're on caitlyn jenner's side, but they're feeling really good about people forever. Right. I mean, renee richards was a trans person. It's happened throughout history. I mean there's, there's. What was I reading a couple of days ago about a roman, like there was something about reports of some trans soldier in the roman army born a thousand years ago. it's got to be. If it exists now and it's existed before. It was popular. Yeah, I mean there's got to be a lot of people that turn trans now just because it's exciting. Oh, there it is. Right there. A trans soldier in the ancient roman. Of course it wouldn't be. WouldN't be surprised. Not

Speaker 4:          01:05:18       shocked. I mean it's a condition. I mean the been called gender identity disorder and then they called it gender dysphoria. It's a condition. I mean like I'm not saying conditions for and but that in a lot of people's mind is labeling it somehow or a negative. Well, I mean it is highly linked to suicidality. There's a 40 percent lifetime suicide rate for people who have this particular gender disorder. That seems to me not to be like a great positive. Whether or not they transition whether or not the transition. Yeah. I don't care if you transition to what you want to do, but. But the ideA that, that we as an entire society, you have to redefine what sex is and we have to blind ourselves to a biology is this is something I'm not willing to do. I think that it's actually damaging to kids particularly more than willing to call her she and, but you can only change the name once.

Speaker 4:          01:06:02       I'm willing to call caitlyn jenner, caitlyn jenner. I'm not willing to call caitlyn jenner issue because you can't change your sex. Can change your name, you can change it into whatever you want. I don't care, but you can't. She caitlyn jenner is not a chicken. Caitlyn jenner is not a woman. Caitlin jenner is a man, a biological man, and if a man lost his penis and it and it, you know, in a, in a tragic accident, it wouldn't make them a woman. And if he were born with high doses of estrogen in his bloodstream, he would also not be a woman. You are determined by your chromosomes and it's not even talking about intersex people like intersex is natural status. Intersex is a biological status, but this nonsense that if you joe rogan decide tomorrow that you are a woman, no surgeries nor homeowner and the homeowner, nothing.

Speaker 4:          01:06:41       You just, tomorrow you wake up and not, not the side, but you feel like a woman. Then you have always been a woman. We must treat you as a woman. You don't have to change anything about yourself for us to even determine whether you're a woman. We just like, no, I'm sorry. No, I mean like I had mental illness and I had a grandfather I got, I get so much shit for this, but I had. This is not me being unsympathetic to people who suffer from a condition that is really tragic and obviously harms people. You know? In terms of the. Again, the rates of suicide and depression are astoundinG. My, my grandfather was a, was a bipolar schizophrenia and it would have not been good for him or my family if people had said to him, nate, you're right, the radio is talking to you, nate.

Speaker 4:          01:07:20       You're right. The curtains are talking to you. He Went and they put them in a mental hospital. They gave them lithium and then he was Better and he could actually live a normal, relatively happy life. There's no good treatment for gender identity disorder, gender dysphoria, whatever you want to call it, but to suggest that it is a condition that doesn't require treatment there. Really, it's just that you're actually brain female. Again, this is a scientific. There's no scientific evidence to back this whatsoever. Even these studies that have been done talking about, there's a female brain and a male brain. First of all, if you say this to a feminist, you're a sexist, right? Right. If you say to a feminist, there's a female brand in the male brain and male brain works differently than the female brain. The feminists will look like, how dare you?

Speaker 4:          01:07:56       Well, it's also one of the rare times where you're allowed to celebrate classic definitions of female beauty. When a man embraces somebody becomes a woman lipstick, high heels, short skirt. This is like caitlyn jenner was. Caitlyn jenner was only a woman when caitlyn jenner was on the cover of vanity fair to boost da. Right? Right. But if he had just said, listen, I look exactly the same as I did yesterday, but I'm a woman. Yeah. If you've got a short haircut and dress like billie Jean King, right? It's the reason why the why the media loves laverne cox because laverne cox has had surgeries and looks a lot like a woman. So I don't know who the guy from. Uh, well, the transgender woman from orange is the new black. I never watched the show. I've never watched that show either, but she's on the cover of time magazine.

Speaker 4:          01:08:35       Oh. Or he's on the cover of time magazine. Well, there was the woman in that show. Isn't that the one where the girl who ruby rose. Is that the girl that's laverne cox? That's a woman or man, that's man. I used to be a man. It used to be a man and a woman now. Very tricky know still a man. But transgender tipping. So out of the loop. I'm not old man. I'm that old man was one that headline there, right? It says america's next civil rights frontier. And that's the case. Do you have a bunch of people in the United States who are suggesting that they want the next civil rights fight? Always the next civil rights fight, right? The civil rights fight. Does immigration or the civil rights fight is gay marriage or the civil rights fight is transgenders. Okay. How about this? How about there was only one real civil rights fight and it was about black people who had been historically oppressed in the United States for 200 years.

Speaker 4:          01:09:14       There had been slaves who had been slaves and the transgenders. This is correct. Okay. The worst that caitlyn jenner had experienced as being incredibly wealthy in a, in a, in a high net worth suburb. This transgender people don't, you know, aren't discriminated against in some, in some areas of american life. I'm sure that's true, but it's also like behavior is not the same as being born black or being born asian or being born with, you know, a disabled. If, if I'm a business owner and I hire you and you're a man and you come in the next day and you're dressed in a woman's clothing saying you're a woman, but you still have a full beard. Like I don't see why I as a business owner, I'm expected to eat the cost of that like that. It seems. That seems bizarre to me.

Speaker 3:          01:09:58       Eat the costs is a great way to phrase it. I didn't have a dog in this fight. I didn't. I, I was completely open and liberal about it until there was a case where a man who had been a man for 30 years became a woman for a little less than two years and then started mma fighting women. YeS, exactly. Exactly. Getting the fuck out of these women and shy and not prOclaiming that he or she used to be a man because what it in quotes, it was a medical condition that I did not need to disclose. Like that's not, I'm fucking medical conditions. Right. And if you ever watched the fights when Alan Fox, she wasn't winning because she was skillful. She was fucking manhandling handling these women. It was ugly horse. It was horrible.

Speaker 4:          01:10:42       It's like this is. But again, it's so funny how the transgender movement destroys the feminist movement by living off of the, the sort of lies that the feminist movement promulgated to the feminist movement said stupid things like women and men equally athletic, proficient with that

Speaker 3:          01:10:57       repeated very recently that there's no biological difference in the genders and it's all social. That's

Speaker 4:          01:11:02       absolute horseshit. I mean, I'm sorry. There is no scientific evidence to back that. And it's particularly true with regard to actual physical capacity. This is just nonsense that just no scientific evidence but a. Yeah. Yeah. I mean mountain of my favorite study on this, as you know, there was, remember there was that those commercials about like throwing like a girl running like a girl. Remember those feminist commercials saying what is it to be running like a girl named shown an adult woman and she'd be running on early and then they would show little girl and she's running and it's still a little girly, but she's running, you know, like normally it's only, it's only exactly fierce. It's the only society that has forced the little girl to run. Like when we. First of all, I have a three year old girl. She runs like a girl second of all and it's not because I'm teaching her that because her mom runs cause she doesn't write, but she played with dolls because you're a sexist pig.

