Speaker 1:          00:00:00       Nodoz

Speaker 5:          00:43:34       And there was the comments like, but it was a fun show the other day, but I don't want to take the show down at all. I love rich and body. But um, there's comments that are like, you know, the backhanded like, you know, and I, you know, I've, I've, uh, I've fucked a few like, you know, fact guys before, so I could probably, you know, it was like, that doesn't bother me at all. So you're like, right. You know what I mean? Like that feeling, you're like, oh right. And it's like if I said anything remotely like that, yeah. Any of them. Like they'd actually might be a phone call later, you know what I mean? Like, Hey, what would you. It would be an issue for sure.

Speaker 2:          00:44:07       I mean I guess we could take it better. That's why, that's why it's okay. It's sort of like implied that their sensitivity is a bit more delicate.

Speaker 5:          00:44:16       Yeah. Ends. So you could take it looked at. I got four would fuck me. It's. Thank God. Congratulations. Thank you. That's beautiful. But um, but it's weird that pumps me up. But the thing is if it, if it goes bad, like I said, that's why the, the, the lack of control I meant was that like almost I have to keep my own control myself and you're like I don't want this to get where I don't have the crowd that turn because then I'm just going to be mean to these four girl comics, you know? And then it's going to be, it's just going to get ugly and I think are actually fighting. He actually got a weird, was one of the judges, I mean it wasn't like super bad, but like she added the gates was going to say no because like they just had such a weird back and forth.

Speaker 5:          00:44:56       Oh, they knew each other already. Oh yeah. We knew all. I knew all four girls but have been again, even though I know them, it's just a still a thing. Like you can't cross a certain line, you know what I mean? Like there's certain things you can't say. Yeah. Well that's one of the weird things about roast battles in general, but at least with rose petals are doing it back and forth to each other. This seems like you have to do your standup and then they shit on you. Right? You really, you really can't ship back too much. That's the problem. I mean not as bad as you would. I guess what I'm saying. You always have to be like Kinda like keep control over yourself. Made a good point in that it's a controlled environment. Like, so kate, like what you do, they set up these artificial time limits and rules.

Speaker 5:          00:45:34       Right. The artificial thing being not by artificial, but you know, they just decided five minutes stand up and then the girls get to decide and then they talk like this is the rules for the game and they set up but well, what is that then? Because really what you would do is you would just play it out as long as it's entertaining and if you were just going to play it out as long as it's entertaining and give you a microphone and give her a microphone. Well they did. They did. I mean I had a microphone for sure. I had listened to. There's options there to just haul if, if they, if they shit on you, you could definitely haul off on them. I'm just saying it's a position where it's like it's almost asking for you to get made fun of and then you're just kinda like, well alright.

Speaker 5:          00:46:14       But I really can't make fun of them back the way I would make fun of them. Yeah. Well I dunno. I guess I could do it, but I'm just kinda like these four girls who were like, you know, quote unquote friends for the most, some of them closer than others, but you're like, I don't want them to be all upset them. They'll say whatever they want to be and I'll let it roll off and who gives a shit, you know, if it stings for a second, it stings. But like these are phone calls later, you know what I mean? Where it's like, Hey, well why would you bring that up? That the thing you know about me? I'm like, I don't know. I thought we were swinging for the fences.

Speaker 5:          00:46:47       Yeah, man. I don't know. It's just a, it's a game. You know, you're playing a game and it's a fun game, you know, that's what it is. But it's, it is, it is kind of weird that you could never do it with a bunch of men judging women. No, no, no. It will be. I mean, you could, you probably could do it 50 years ago if he, if he could probably do it today. You know, you know that Mike favor man story, right? If you flip that story around just the guy girl roles in that one that goes like it goes nowhere. Nobody gives a fuck. I don't give a shit. No one gives a fuck. Girls could, you know, um, girls can make fun of a lot of things about a guy and it's totally different than the guy doing it about a girl.

Speaker 5:          00:47:24       I've got all my newest. A few jokes since special are rooted in respect. Like women, like I said, I, I, I'm all, I'm so pro women as far as the equal pay. And I said everything that they want to possibly do in the world, achieve all your goals. Just like a dude, I don't care. But like manhood is being stripped down big time. I mean, like I said, the example I use, it all came up from a speaking to my girlfriend and my buddy about UFC. It was a conversation with the three of us. I never knew. My chick thought this way. She goes, I'm doing, but the UFC guys house together. They did that whole documentary about the domestic abuse problems running through now and my girlfriend goes, oh, I would never want to date a guy like that. Like if he could just like, lose control, like he just beat the shit out of you and it's like I could beat the shit out of you.

Speaker 5:          00:48:18       Control. Do you, are you, do you think that I can't do that? Like why would you say that to me in front of the friendly. Of course they can beat the shit out of you. I just don't do this. Like she thinks she's at. She would have a shot. Yeah, I think there really isn't going to affect. Oh, just dumb guys. You know, Reagan used to have that great fucking joke by the commercials, you know? And then the guy's like stuck in the mini blinds. Like how do you work this crazy thing? It's like, my husband's so stupid. That's why I have pop tarts. Joker ethic isn't like you really think that manhood is being torn down though? I think uh, yeah, I think masculinity is like attacked more than anything. Probably.

Speaker 2:          00:48:59       I think it's attack, but I don't think it's effective. I think that I don't think it's having an effect on whether or not things are still masculine. It's real problematic for two reasons. One, because it's okay to be really feminine, so if it's okay to be really feminine, why is it not okay to be masculine? Like there's a big difference between being masculine and being rude, being mean, being homophobic, but they are. They shouldn't be. They shouldn't be. No, they shouldn't, but I'm saying, but they are in that regard, so that's what I'm saying though. It's like being pretty and feminine doesn't mean you're a cunt who stuck up. Sure. Those get lumped together too sometimes too, but that's just dummies and it's the same dummies that are attacking masculinity for just being masculine. Like here's one of the. This is this crazy fucking phrase that these dummies like to throw around lately.

Speaker 2:          00:49:46       Regressive left. People like to throw around this phrase, toxic masculinity and they're blaming toxic masculinity on this guy. Shooting up that gay crowd in Orlando. This was this article and they were using the term toxic masculinity. That's first of all, that's not real. There's no, there's no amount of being masculine makes you toxic. Yeah. Okay. And there's nothing. If you're a shitty, nasty person has nothing to do with masculinity. If you're an evil person, obviously it happens at mass shooters are almost exclusively men. Yeah. But that's not toxic masculinity. That's a fucking psychopath. That's what that is. It has nothing to do with masculine or feminine. It's not gender determined. That guy was already chemically off and then he was like a, you know, a repressed homosexual by all accounts. Yeah. So it's like you can't. Yeah, that's not, that's nothing to do with masculinity.

Speaker 2:          00:50:43       So was the guy, they call it la apparently the guy that they caught in la who had one of his way to the explosives. Yeah, an arsenal in his car. They caught him on his way to the gay pride parade. Apparently he is allegedly bisexual as well. I think there's a pride parade, crazy fucks out there in this world and to start breaking it down by gender or masculinity and femininity, it smacks to me of like some sort of ulterior motive. And I always feel like the ulterior motive when you see these guys were writing these articles, they're weak people, they're not, they're not like powerful forces of genetics. They're weak people and I think a lot of times weak people they want in some way or another to even the playing field in one way to do that is by pulling down examples of masculinity that they can't possibly approach.

Speaker 2:          00:51:32       Well there's, yeah, there's a type of guy. Exactly who stands behind the feminist issues, like really like vehemently like bitching at some guy. Exactly. It's called virtue signaling. Somebody gets that man. If you like it, you know, a joke or something that you say were you included were like, oh these dinky broads over here. And they go broads really brilliant. Like dude, like, come on, fuck off. Yeah, just get Outta here. I know what you're doing there. Just the virtue signaling phrase that Michael Shermer uses is a great one. He's got this interesting point of view on. It is like what they're doing is they're just trying to let everybody know that there are more ethical than you. They're more moral than you. They're a better person than you look at me. Look at me. Yeah, exactly. It turns it on there. They're just looking for.

Speaker 2:          00:52:18       Even if they don't even, they probably don't even know whether or not it makes sense. They just know that it's an effective stance to take to look like a super progressive person. So you just go after it. You go after the hardest levels of it. Yeah. There's a lot of people like that. These days they're doing that. It's because of social media. It's given morons and opportunity to blurt out and to get reactions from their blurt outs, even if they haven't really thought them through and they're almost always exclusively insulting and mean and nasty. So these people that are trying to proclaim their virtue, they can't even like argue a point while being just a decent human being. You can't even like say what you feel about something without being some sort of an insulting, like nasty, condescending, defining that. Define you like big Jay. You're a sexist piece of shit. Like Tj, I said the same thing where it's like, you know, clap for handicapped people. Well, you know what? I mean like it's the same like, uh, you're supposed to feel a certain way about something and it's always attacked like whatever it is. It's what you're saying, right? He's like,

Speaker 5:          00:53:27       am I getting that wrong? No, I think we're both too high for this conversation, but I know what I'm saying. Just it's, there's, there's some sort of like dishonest communication that's happening with some of this. I think a lot of the outreach is not real. I think what a lot of it is they're acting outraged because they know they can. Of course it's not balanced and it's also what I'm saying is it's really shitty and insulting. Like when you get to a point of view on something and there'll be really shitty and insulting about you and your point of view, like an intelligent rational person that's examining the thoughts and words of someone that they're not involved in a conversation where they come to you and say like only a racist would say something like that. They define you and some sort of a weird way. If you have a point of view that they feel like they can attack or you start with that one, I'd say if you say a a bad neighborhood or even black people know you're talking about a black neighborhood, that's a racist to say it's like as black people, if that's a racist thing, it's just kind of a thing, but it's that. It's never. I've never been called racist or or massages.

Speaker 5:          00:54:32       Massages. I've been called by a woman before but never been called racist by any one of color of any sort. Well, congratulations on that as well. So you've got four flux use. You're not a racist. That's beautiful. Oh No, but I'm saying I've been called. I've had people get really upset with like racist jokes or anything. They've deemed racist. Right. It's always like a white paper. It's like the same point, dude. Yeah, yeah. Or, or, or, or a woman with a guy behind them going like, yeah, Kurt Metzger gets into those things all the time. Was a guy behind him, but backing up some stupid point I, I get, I got a bunch of shit for coming against the naked shows. They do comedy shows. What? Naked shows they do these naked comedy shows in New York sometimes. Yeah. The whole audience is naked. No, just the comics.

Speaker 5:          00:55:21       Uh, what the fuck I'm doing this. We're doing this thing, this weekend's Skank fest for two days for Legion of skanks and at the creek and the cave in Long Island city and we're having a, a naked roast battle. I see the novelty in it. I argued with a girl comic who's talking about like, this is about getting over things and you know, there's this artistic back to it. I go, whatever you say, I'm just telling you. Every guy goes there to see pussy. And she's at her argument was just like, no, like people want to see like, you know, the social experiment of it and see what I go. I'm going to look at Pussy and I'm telling you that I am Joe average in my thoughts. Like I am common guy, but she'll run into a guy who argue against that, but I don't go there for personalities.

Speaker 5:          00:56:07       I like to hear these people talk. So she came on our podcast with a dude who would. Yeah, just say the whole thing goes. No Man. It's about like, you know, getting over fears and Cochran like more just so excited to be with a girl like backstage with a girl and everyone's sitting there with your Dick and pussies out. Yup. We used, me and Kurt used to do a Gig in affiliate was where you could do comedy once in a while at a burlesque place called the five spot for less like a leg. They did dancing with their clothes on. They get down to the pastries and everything and the and the goofy outfits. But me and Kurt would do this once a month. We'd be like, do comedy on that show. In between. The first time we did it, we were bags and we were blown away because it's.

Speaker 5:          00:56:52       You never do it. Well, they go, don't be weird. Backstage dogs. He knows the theater technically. So the girls are running around naked know they're changing so they're just naked a lot and sometimes they would just sit around naked smoking cigarettes back there, butt naked, sitting down and chairs. Pussy all mashed up and me and me and I shouldn't even care throw curtains under the bus like this. I'll speak for myself only. I was just staring at tits and pussies nonstop. I just, I'll speak for Kurt when he was doing as well. I was staring at him and then the next week and the next time he came in, the next month it was a. There was like they put partitions up for the girls and I'm like, yeah, but I'm not gonna. Pretend that I wasn't back there to look above what you want me to force myself to look into your eyes if you're that comfortable being naked and be comfortable with me staring at you.

Speaker 5:          00:57:39       Buzzy. That's what I'm saying. Yeah. That's be a t shirt. It should. It should, because it's about to go to a nude beach and look at it as like for me and Jeff Ross were in Australia and we were just staring at the topless girls on the beach and they go, well, they go, that's, it's very common here to do that. So it's not a big deal. I'm like, well, it's not coming from me and we're going to stare at this girl's tits for awhile. Like I think it's fucking great. She has them out. Who gives a shit? But you would you stare at someone if they had clothes on? No, and I don't stare in a sense the same way. Yes. If a girl was wearing jeans that a great ass and I like moments to take, you know, to pick, to look at her ass shit.

Speaker 5:          00:58:19       If she knew that you were staring at, you know, where you avert your gaze. I never thought that. Uh, yeah, I would. I've never thought, uh, I was being like the girls who had their pussies that I think they think like thought that I was staring at them. I was trying to be as tactful as possible. You being slick, but I was constantly looking and enough so that like I couldn't be slick enough, I guess that they figured it out. Well, if you just have like a, a quick scan of the room, that's one thing. But if you keep looking in the general direction of naked people, even if you looking over their shoulder, they're going to know what you're doing. Oh yeah. But I've been that like I was that little fat John Candy Creep from splash. Remember when John Candy was a kid, like dropping the quarters to look up skirts and shit.

Speaker 5:          00:59:01       I don't remember that. That was his big thing to draw who dropped by quarters and then go down and look up scrutinized clash with Tom Hanks and what's her name? Daryl Hannah. Damn. I never, uh, I never did like a obnoxious, like look up a girl's skirt, like getting on the ground or pick something up. But like if I'd go to like a, like a rock concert when I was younger and there's, you know, on the lawn and there's a girl sitting like very purposefully, like, you know, she's naked or body painted. And her pussies out. Same thing, like a posture up at a place where I could check her pussy, eating her pussy out. Like someone opened the door, let a cat out out, close the gate, pushing a out. It sounds like it's a trap. Shit pussies out. It's wandered around the neighborhood. But you have a girl just comes to body painted naked.

Speaker 5:          00:59:48       Like yeah, I'll get in a position now where I can check it out. Of course you should. And so you should. And that's part of the game of being outside naked. They want you to see it just part of the way you are. But someones watching you watch that and go on like a piece of shit up objectifying. That's what I'm saying. I'll come to that and you're like, no man, I'm just being honest. Some girls but some men will do that. But those men are almost entirely week. All of them. Yeah. This wise, mind wise, there's just. Yeah, well they're the ones you find out there's like, you know, pedophile porn on their computers at one point when they die or they're just socially retarded and they just don't know how to communicate with girls and this is the, by being incredibly virtuous, they've picked up this extra personality trait that they think's gonna ask them over the top and whenever you're looking to find, I think the connection to fund with a woman when you do that, you're not going to find, you're not going to find it.

Speaker 5:          01:00:42       She did not gonna you're not gonna find that or you're like, you know, repressing something yourself because there really is like the, at the end of the day, like most women, I've never speak for all of them. Do one a man. Yeah. And most men want a woman. Yeah. But yeah, I mean, you know what I mean? A manly man in whatever way. I'm not like a handy guide necessarily, but like my girlfriend feels like secure with, you know what I mean? Like I'm a guy with a wild run away from her. If we get held up or something, you know, I don't try to fight for myself or like she feels like secure with me in several ways. My manhood is in whatever ways they are. Have there been like, I can't fix cars. I don't know how to do any of that shit. You know what I mean?

Speaker 5:          01:01:24       The problem isn't that there's men and then there's weak people and that there's inbetween. There's women and weak women and strong women. The problem is when people lash out against one group that has nothing to do with something that happened in the news, like if you talk about masculinity, toxic masculinity in this fucking assassination, that guy was mentally unbalanced, crazy, fuck, tormented. Evil, sociopath, psychopath would, whichever you want you want to call it, who did a heinous thing has nothing to do with masculine or feminine. It's just a stupid argument, and just to start that, to start that conversation conversation, you're like, you're separating the teams. You're making the left and the right. You're making the cowboys versus the raiders. You're doing something there. You're doing something there. You're, you're, you're establishing boundaries. It's just people that suck. That's the problem. This world has nothing to do with gender, nothing to do with sexual orientation, and as soon as you make it, those things,

Speaker 2:          01:02:20       you confuse the fuck out of the whole argument because if you can't make fun of any women or you can't talk shit about any women, well then you're admitting that women are weaker. Just like if I can make fun of men, but I can't make fun of women. If I make fun of women, I'm going to massage this. If I make fun of men too, I hate myself. Like how does that work? It doesn't work, but that's, you know, you gotta speak to her old friend Jamie Kilstein about those subjects. That's what he means. Well,

Speaker 5:          01:02:45       I do too, but I'm like, he seems like a different human being than the one that I knew. You know, over a decade ago,

Speaker 2:          01:02:53       people change big j. They sure do. They eat a lot of granola. Alfalfa. So bizarre. Yeah. Listen man, it's exactly what we're talking about. It's, you know, they just see people go too far, sometimes the ideas because there's nothing wrong with being gay. There's nothing wrong with being straight. There's nothing wrong with being a woman. There's nothing wrong with being a man. The problem is when people are shitty to each other, that's all it is. That's the only problem. It has nothing to do with anything else. So the. There is definitely a problem when it comes to mass shooters being all men. Yeah. That's probably looking at what the fuck's going on there, but don't just jump, don't just jump and assume and Delta put it out on the other $150 million men that live in the country. That is the dumbest fucking percentage point ever. Mass shooters and the rest of the men motherfucker come. Yeah, but. But they'll jump on this thing, man. People jump on this gender thing and they jump on you, which you got as a religious idea. Logically poison psychopath. That's what you got. That's interesting. Ted Talk Right now. I did not.

Speaker 5:          01:04:01       His Dad says some things where he was like, you know, was like, I'm, I'm appalled at what my son's done. Like God will work out the gaze himself. You see, he comes from like, you know, it doesn't always start, you know? Yeah. With the fucking story. I wonder when they a autopsy that guy will ever have. I'm still waiting to find that. I always heard Charles Whitman, right? He was the guy who climbed the tower and started shooting people in Austin. Yeah. Um, they said if he was a like all tops, if we have the same like science, like now that we had that back, if we had the same science then we have now they would have found out he had a, a temporal lobe tumor that was pushing on it. So he was, he woke up, he would have been found guilty of something, obviously murdered people.

Speaker 5:          01:04:51       But like I wonder how that would've gone legally because he woke up not his fault. Pure rage. Like he killed his dog. I think he killed his, his own girlfriend or something. He killed, I think, people on the way to the tower, just like everyone. He kind of came across, he just did something to him killed. So it's like, they're like, he might not be found guilty, sentenced to life in jail anymore, or something like that. I would've always wondered for something like that there because man, pulling a trigger on people's. I mean, you're, you're just at a totally different. I couldn't even wrap my brain around what that is that can make you do that, you know, the columbine kids and everything. You're like, it's not, I don't want to get in the same kind of Bill Maher trouble where he said, look, you know, that 9:11 suicide bombers are cowards. You know, you've got a lot of trouble for that. But I, I, I think I got what he was saying where I'm still kinda like, man, that's it. Fuck it. It's really, I think seeing somebody get shot with like affect me for a long, long couch. The wrong wing allowed to fucking coward is the wrong word. Being being, uh, having the ability to go and just like spray down a bunch of people, but it's fucking like, it's an intense thing to dive in.

Speaker 2:          01:05:59       Oh, it's a foolish thing to call them cowards because I think when you, whenever you call a murderer cowards, you, you like set your, your looked challenging. The manhood of other murderers. Yeah. Really. You know what I mean? Like you're calling me coward. Oh No, I take five. You want to the other one up. You after you insult them. Comic Little Dicks after they do something. Yeah. You feel better with your little Dick now tick thing. Oh my God. You know, it's just. This may be the shooter had a little Dick. Like, whoa. Really? I've read that on twitter. Men like a little Dick thing. Yeah. Coward. So psycho. Yeah. Coward is the wrong word. They're evil. That takes a lot of balls to fly a fucking plane right into a building. Like, you know, it's over. Oh my God. But you're definitely, you're going sideways to your banking hard into the building.

Speaker 5:          01:06:54       Oh, let's watch it. Let's watch a real quick video just to freak me out. I'm freaking out right now. I'm thinking it's going in the building. I'd say it's too tough. The beginning of, uh, most of most of that footage. The underneath one. Oh, you just see the building swallow it. Yeah. It's fucking bonkers. I remember watching it on tv that morning

Speaker 2:          01:07:17       just watching the plane hit the building over and over and over again. Just going, wow, how am I even seeing this? Is this even really? Am I seeing this?

Speaker 5:          01:07:24       The second one was one of the most like tense moments I've ever had in my life where I was just like, wait, because that's when you knew right away you're like, oh shit, this isn't an accident. Yeah. Because the first one they were still kinda like, there must be some kind of radar issues. There's still a hell of a radar issue. They flew to fucking planes filled with people in the buildings. That is one of the craziest moments in human history. And it happened during our lives and then after they did it, we imploded the building with our seven. Look at this. Boom.

Speaker 2:          01:07:59       That is so crazy.

Speaker 5:          01:08:03       Oh my goodness. Scale, scale. It's like so far away because it's so high up that you can't like how big that was. The people in that bill. You know what I'm saying? Like the actual, like six. You know what I mean? The situation that seems

Speaker 2:          01:08:16       like it's so, you know, just like finger lengths away from him. He said, but I mean like it how huge a fucking jet play on the floor, on the floor of a building. This. We're looking at the video of the tower. The second plane crashed the World Trade Center from the, uh, from the ground looking up. It's insane. It's still insane. It's still hard to believe, man. Still hard to believe. Yeah. This 15 years. It really, it still is that, that was in our lifetime in New York City. That the thing about those, that, that's, it's so. There's so much scary going on, right? Because there's the scary of someone that has the conviction of fly a plane right into a building that's fucking scary. There's the scary that they will take hundreds of innocent people with them. That's scary. There's a scared they're going to fly into a building they know is going to kill random people with kids, with moms, with Dads, with best friends with, you know.

Speaker 2:          01:09:08       Yeah. They don't give a fuck. They're going to fly right into that and kill all those people. And then the damage to the building of course was killed. Who knows how many people. But the whole thing is just bananas and will never have. I mean, you know, give them a turn to debone it. Well, but I don't know how much that, if it could ever happen at gathering, people will never. If you jumped up on a plane, I think now to say, hey everyone, I like to say I'm going to propose to my wife like, hey everyone out before someone's going to fucking mall like the temple you. I'm taking it out. Somebody told me to look up how many pictures there are people like hog tied on planes, a lot of pictures of that because like they just freaked out on a plate and get tied up because people get so nervous now.

Speaker 2:          01:09:52       Yeah. And rightly so. My I am, I am surprised at the amount of people I will say who got hurt and killed in Orlando because I'm surprised there wasn't like this. A lot of people in tight quarters may think he just got swarmed at some point. Yeah. I don't know what happened. I don't know where he was. He might've had a vantage point where he could shoot. Nobody could get behind them. Might, you know, he might have scattered some people really quick and they might have done a lot of the damage themselves. I've fallen on top of each other. You got to realize that a gun like that you could squeeze off 50 rounds in seconds. So he killed 50 people and wounded 50 more or something along those lines. I mean like that. Just go like that with your finger. Go. Don't, don't, don't, don't, don't, don't, don't.

Speaker 2:          01:10:33       That's what that gun can do. One, two, three, four, five, six, seven, eight, nine, 10, 11, 12. You've already shot 12 people. Thirty, 40, 50, 60. You know, you keep going. Twenty one, 22 through to divert. Some of them are the ones where it's. So it's got, it's got to be a trigger pull for every bullet, most likely, unless he made it a automatic. I think there's some guns you can alter that. You can turn them into a automatics most likely. And Ar is one of those. I don't know, I'm not, I would be speaking out of school, but I know for sure it has a semiautomatic function and when you pull it, it's just every time you pull your finger treats a bullet. Single Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo Doo. I mean you can literally shoot faster than you can say the numbers.

Speaker 2:          01:11:10       One, two, three, four, five, six, seven, eight, nine, 10. You shooting way more than that. You just fire them off man. And you would hear people that cell phone, you could hear it in the background and it's quick. It's terrific. Terrific that someone would have that in them. And so it's like there's no like, uh, like Orlando, Florida. Yeah. Well you hear about the alligator that had a baby yesterday or no in Orlando at Disneyland. No Shit. Yeah, alligator ate a fucking baby. One year old baby snatched them, drug them into the water and they, they, they won't say killed the baby. This is how weird the news is. They want to say it took the baby underwater. Yeah, no immediate ate the baby today. They feel too. That's so rough, dude. You can't go near water and Florida, man. You can't go near water. They are infested.

Speaker 2:          01:12:04       I used to live there when I was a kid and we used to feed them. I used to live in Gainesville, Florida, and we used to go to Lake Alice. There's this little pond and we'd throw marshmallows in the water and the alligators would come up and it was like they were harmless. They were always laying around like you would walk around near alligators. Really fucking so strange. Now that I think about it like I had, I had a crazy dude on many occasions. I was within 20, 30 yards of an alligator. They'd never fucked with people. They never did anything, but it was because they were endangered. They killed a fuck load of them. So when people first got to Florida, I guess they just started slaughter and alligators and they slaughtered them so much that they became protected. So when I lived there, I guess it was the seventies, it was protected.

Speaker 2:          01:12:49       He couldn't kill alligators, but now there's guys who have like tags, like professional alligator hunters. They have 500 tags so they can go out and shoot 500 alligators and really they can't put a dent in the population. They let these mother fuckers take root and they're everywhere. Do you see that 15 foot one that was walking across the golf course the other day because they figured out that was real. Yeah, it's real. There's two different angles. Do you see the new angle into. I go, dude. I mean it's a dinosaur. It's a dinosaur to new angle to really close to it. They're like, you know, like less than 30, 40 yards away from it looks depending on how strong their zoom is on the like crazy tall two huge. It's enormous. It's walking. It's like it's not. I thought that would kind of dragged on the ground, this things walking because you're almost like, what do you do it?

Speaker 2:          01:13:36       You just kill that. So that piece is off the earth. Well, it's going to kill things. Whatever. Whatever it gets a chance to kill. It's going to kill. I mean that. There's not a whole lot that's going to get away from that thing. It's not that fast. They run like about as fast as a person, maybe a little faster than the average person. Have they tracked it or was it bar? It's a good question. I don't know what if they stayed up with it at all? Those things scare the fuck out of me. Those are heartless lizards and they let these goddamn things get to a really high level of population. I'm not saying we should make them extinct, but they definitely need to chop them down. There's way too many of them and there's not a lot of people that are interested in chopping them down like they used to be like you'd have to send a lot of people out into the.

Speaker 2:          01:14:20       In the everglades they found Nile crocodiles. Really? Yeah, they have a kill on site order for Nile crocodiles. They found them all because they're super aggressive and they found a bunch of them so far. They're huge. Those things get to be more than 20 feet long. Just the ones that need water buffaloes and shit. Is there a video, a video of a world obese get me by. Oh Dude. You never seen. No. Huge abandoned initial attempt go to Nile crocodile eats willdabeast. There's like thousands of videos because these things can go under water for hours at a time, so what they do is they slide into a pond and they move closer to where the hubs are. They, they hear the sound of the hoods and they get in the water and then they're underwater lying in the mud for fucking hours, just waiting for something to come up and take a drink and when these things come up and take a drink, they just get snatched. No, five. There's some close ups, man. There's some really good close ups. I don't know if this is a good one. I haven't seen it before. So the crocodiles, we'll wait for these things and just decide all right, time to eat

Speaker 2:          01:15:30       and they're all in the water. They have to make these treks across the rivers. I don't see any crocodiles. Jeremy [inaudible] just mother fuckers. It was just a racist way. Better videos is way better videos where it's like really close up.

Speaker 6:          01:15:49       Left there

Speaker 2:          01:15:53       either watch other side. Jesus.

Speaker 5:          01:15:57       Yeah, just drags it. Sorry. They're sad.

Speaker 6:          01:16:02       Yeah.

Speaker 5:          01:16:03       That's why I go see Jesus. Nature stuff never makes me sad, but I'm always taken back by how

Speaker 5:          01:16:11       even when I watched one the other day, it was just, I don't watch a lot of those shows. The nature shows when you see when it was like a or. No, it was on world star hip hop. Actually. It's why I watched it. It was like a, the Emerald Wasp zone Africa, uh, how it kills cockroaches. It's like hit me like a zombifies them, like grabs him. It does a whole process that rips off the antenna and then sticks it to kind of paralyze it and it doesn't paralyze it. It just makes it woozy. And then, and then genesis, second thing into the brain and just like liquefies the brain than just like, it's much smaller than the cockroach. And then just lowers the cockroach back.

Speaker 2:          01:16:49       Wow. Just take some back. And this thing, it's this big. It just sucks. It's brain out. Yeah. And then it just brings it back and just throws it on the ground for the kids. Holy Fuck.

Speaker 2:          01:17:03       There's so many weird bugs, man. When you really pay attention to all the different kinds of species of bugs, it's very scary because we're just so lucky. They're little. They give bugs. Were like a cow sized. We'd be fucked. We would be fucked. Oh yeah. If we ever fucking VF ESX server, we're lucky. We're so lucky. Their little man, you know we are, but we are no match for so much shit in nature. Like animals and stuff. Like we couldn't. You couldn't fight that and crocodile for sure. No, there's so many weird bugs to where they have like weird things that they somehow or another figure out how to do. I'd say there's some parasite that takes over a grasshopper's body. It burrows into its body, takes over its brain and hijack set and talks this grasshopper into committing suicide by jumping into a lake so that he can spawn out of its body and it bursts out of his body like an alien.

Speaker 2:          01:18:02       What is this one, Jamie? Oh, sorry. It's going to kill itself. Okay. Well these grasshoppers, they killed themselves and then this aquatic worm comes out of their body. There it is. It talks the grasshopper and the killing itself so they can give birth to this warm. I mean, look at this. It grew in this thing's fucking body and it's long, like many, many, many times longer than the than the grasshopper itself. How fucking strangers that just. It's like it is pure evil. So there's so many creatures that are just like, it's. But it works somehow or another. There's probably too many grasshoppers and nature figured out some sort of a way to weed it out, thin out the herd. I mean, think about all those asshole willdabeast crossing that stupid river. Of course we need crocodiles. What do you want? Like an unlimited number of willdabeast.

Speaker 2:          01:18:56       You can't go anywhere. You're trying to get on a highway, there's willdabeast everywhere, but is that interestingly sort of like a parallel between like a bit of a stretch I guess, but like the order of the nightclub shooting thing, it really is an emotional creatures like pack, herd creatures like that. Uh, just like one of them is just getting killed by a stone cold killer like that, that crocodile. You said they're, they're not emotional boy. You couldn't teach a crocodile to love somebody. Yeah, but that's not an aberration. That's like standard crocodile behavior. When a person is doing it, it's like this crazy aberration. Is He, at least today, it's a deviation for sure, but I'm just saying there is. He's coming out of a praying mantis now and going right into the water so this aquatic worm can fuck with everything. Look at this.

Speaker 2:          01:19:41       He killed the praying mantis and he's escaping through its body into water. This is fucking nuts, man. What a strange animal. Look out. Big Pine comes near them and uh, he yells, the mountain lion goes away. And then the mountain lion was like, fuck this bitch. And He makes them mad. Run out of them and the guy sprays it right in the face with bear spray and scares it off, but it's fucking terrifying. It's a terrifying video because you realized that a hundred and 50 monster was trying to eat this dude and if you didn't spray it in his face with some chemicals, he would've been donesville this guy. We watched a murder. We watched like a cat murder a guy. I mean this is, this is what happened. Like Gimme Gimme some volume on this. Jamie.

Speaker 7:          01:20:22       I was expecting quite honestly for them to just stay in the bush and watch me go by.

Speaker 2:          01:20:27       There's a quote here that's okay. We don't have to watch the news version of it, but that capital right out.

Speaker 7:          01:20:38       I like being an ecstatic to seeing them too, being like really scared

Speaker 2:          01:20:43       and those things will fuck you. Fuck you up. No danger of like when they all go out to a bunch of the comments [inaudible] of Joshua tree and shoot a lot of them, a lot of them. They're making a lot of noise. They'll stay away. Yeah, because cat doesn't know if you have guns or something like that and they're naturally wary about people. They know that people occasionally have guns, so they sort of program to be scared of people. Stay away. Yeah, but if you're running that's a problem because running seems like you're trying to get away, so it excites them. Just like rolling a ball of yarn front of a cat and excites them. Like if you were hiking and that same person hiking probably wouldn't have as much of a an attractant to that. Cat Bikes are bad too. They see try and take off on a bike and they realize that's pretty fast. Motherfuckers going to get away if I don't have to just start sprinting towards. You see the video of the guy on the bike, he gets to get kicked by, its gets kicked. What's the animal? He gets knocked off a bikeway gazelle maybe. Oh, I have seen that as jumping on me. It just wasn't. That guy goes flying so far off the bike. The thing just like hit him going 50 miles an hour sideways, right? Yeah. Even the guy, it's like a buck or something. Right? What kind of animal is it, Jimmy?

