Speaker 1:          00:00:00       The Gay folks took over the rainbow for three to, will it work today, Jamie?
Speaker 3:          00:41:34       but yes, that's right. I mean, I'm, I'm always fascinated by people that are unhappy with the current state of affairs. They don't like the way society feels to them. They don't feel like they belong and they want to try somewhere else. I mean, and what was really interesting to me is the last time someone did this as a country, as far as I know, is the United States. There really is. It's about, I mean, it's also very unique that this is one of the weirdest countries in the world in terms of our ability to freely express ourselves and more guns. Well, the thing about America, that's it, it's like the American experiment would have, is about the fact that anyone can be an American. My parents immigrated from Greece. Uh, I was raised in this country, you know, uh, I, to be an American means to buy into a certain set of principles like the bill of rights and many other countries are very xenophobic.

Speaker 3:          00:42:25       You know, you, you can't become a Japanese. It's, you can't be, you can't be nationalized in Japan. I mean you can, but it's extremely difficult and rare. Uh, so it's a very homogeneous country. Switzerland is another country. It's very difficult to become Swiss. You can't be nationalized as a Swiss. I mean, you can, but it's extremely difficult and rare. So, um, but the United States, you know, we, we say you are an American. If you from all of the whole world, you're welcome. Bring us your tired. Your, you know, the famous saying on the foot on the, your, I forgot the saying, it's very poetic on the bottom of the, of the Statue of Liberty. You're wretched. You're, you're for Lauren, whatever it is. Uh, and you can come to this, these shores and make your life a new. And, um, and all you need to do to be an American is to, um, buy into a commitment to constitutional governance, democratic rule, Bill of rights and these principles.

Speaker 3:          00:43:16       Now we should note that there were millions of people that were brought as slaves and voluntarily to these shores. We don't always realize our best virtues. We allow people to come, but like the Irish and treat them as second class citizens or the Italians or the Greeks even. Um, you know, we, we don't always do that, but, but the idea that you're putting on the table, which I think is correct, is that you can be an American. This is a special, unusual experiment. You can't reinvent yourself quite that way. And to my knowledge, in any other, uh, colony or country, that's why it's one of the weirdest things that this is a country where anti-immigrant sentiments are running rampant. Yes. One of the entire foundation, the country is based on immigration. Yes. The only way people got here, if you're not a native American, it was taken from the native Americans. And everyone's since then is an immigrant or a descendant of an immigrant. That's correct. In the native Americans, they came 20,000. Yes. It's crazy. Yes. The whole thing's crazy. Yes. It's, it's just, and it's such a unique environment for expression. I mean, there's really no other country that has as free expression. Even the Brits don't. That's right. And Canada certainly does. Correct. And they're our neighbors. Yes, it's uh, it's just, it's a

Speaker 2:          00:44:32       very unusual thing. And this unusual thing is the most recent incarnation of a country. Yes, yes. I think that's right. And I think there are, you know, then this ties in with a whole set of ideas about American exceptionalism. You know, are we, how different are we, uh, what is the source of our wealth? What is the height of our civilization? You know, I'm, I'm, I am distressed by some of the direction our country is going in at the moment, but I think the, you know, I think in the long arc of history, I think the United States stands for many of the best principals in the world. And I'm prepared to defend those principles. I am too. And I think what you were saying with your libertarian friend and you know, someone who may be an anarchist or whatever, and then there's, there's room for all these weird opinions.

Speaker 2:          00:45:21       They might not be correct and they will all be represented is just gigantic soup of human beings. It's 300 plus million. It's just the idea that America is like a white nationalists in Charlottesville. This is what's wrong with America. No, what's wrong with America is volume. You know, you're, you're going to have certain ridiculous ideas and awful ideas that are amplified in this volume is incredible. Massive humans. Yes. I think a large, I think that's right. I think our size, uh, contributes to, uh, or makes a kind of heterogeneity of ideas more easy. Uh, you know, if we were tiny country, although even in small democracies, you know, like you go to European countries that are tiny, uh, Spain for example. I mean it's not tiny, but it's tiny compared to us. Uh, you know, there's a lot of difference of beliefs from far left to far.

Speaker 2:          00:46:13       Right. But I think, I think the key aspect, which you're talking about earlier, which again, you're highlighting, which I agree with, is that we want an environment in which people can, the ground rules are clear. So, you know, you can't, there's no physical contact allowed. Right. So we do, we draw a bright line distinction between words and deeds. So I completely reject the idea that words are violent. Violent. Yeah, totally. Yeah. I totally reject that. Uh, and, and because we have different words for it, the two different things, totally different. I mean, we, we, so ground was our, you know, I can't touch you, but I can speak, uh, other ground rules are that we are committed to open expression. A good ground rule would be that we grant positive intent. We grant good intent. That is to say, I tried to put what you're saying in the most favorable light.

Speaker 2:          00:46:58       First I think about it. I say, okay, now wait a minute. What is he saying? What does he mean by that? He, Mike's, uh, now you may be an idiot. A person may be an idiot. They may be viral, they may be violent, they may be wrong. You know, all of those things are also possible, but that's not the first Goto. Um, so anyway, if we set those ground rules, I think, I believe strongly that in the marketplace of ideas, the truth will out, um, and, and righteousness will out. That's, that's what I think. Maybe I'm wrong. Maybe in fact, what we need is a benevolent dictator who, you know, comes down and tells us what to think and do, but that's not the world I want to live in. Yeah. The benevolent dictator idea is what does that come from? Like why is it just because it's, that's really been the only way the society is actually functioned for most of the past.

Speaker 2:          00:47:43       Fantasize, right. Every, I mean Plato talks about this, I mean people look around and they think situation is not so great. I really wished it was a strong man that would come down and fix it. Um, this is the inclination towards Trump. I think in some part, yes, Trumpism is a little bit about this fantasy that, that we will, um, you know, that that the way out is to have a kind of imposition from above. And I think that's very dangerous actually. And we were talking about earlier in college campuses, it's the same principle, right? Like the idea that big daddy's going to come down and tell us what to do and fix the situation I think is undemocratic in the end. And painting it has to follow the rules of these children. What I mean, this is part of the issue with the idea of words equal violence.

Speaker 2:          00:48:31       I mean this is not a well thought through idea and this is an idea that is world rewards can lead to violence. Sure. Words can be painful. They can hurt your feelings. Yes, that can be unpleasant. All of that is true, but words are different than violence. They just are. And so I think we need to, you know, and in fact as John Height and uh, and uh, uh, Greg Louisiana argue, we actually might want to create there other reasons to draw the distinction between words and violence and to cultivate an appreciation for that distinction. And that is by allowing people to speak, we may actually reduce violence because we can identify who has these crazy ideas. We know who. So if you're, if, if, if I believe that someone hates people like me and I created an environment in which we allow him to say he hates people like me, I think it's horrible that he hates people like me.

Speaker 2:          00:49:26       I'm not defending that he hates people like me, but we might now know who he is, right as I stay away from him, you know? Uh, so, so that's their argument that look, you in height make that, that actually this is a potentially additional additional benefit of creating a free and open marketplace of ideas is we identify where the crazy is, you know, here are all these people were talking about the anti-vaxxers. I'd like to know who are the people that hold these beliefs because as a public health expert, and I was a hospice doctor for many years, I took care of patients for a long time. Anyway, I was very am still interested in a lot of our projects around the world are public health projects. In order to be able to lead people to wisdom, you have to know where, where's the ignorance? Right? Well, if it's secret, you don't know it. So that's another benefit of fostering this climate of open expression. Yeah. And the, the solution to these bad ideas is for someone to come up and give a better idea. Yes. Someone to debate or to expand what's wrong with it and to do it in a reasonable

Speaker 3:          00:50:28       manner. When people start shouting and screaming and pulling fire alarms, like it's this side, the idea of silencing people from speaking that somehow know that this is going to help. This is a, this is also part of d platforming. Yes. When people call for deep, deep planning, I think that's wrong. Even based on just a reasonable people with differing opinions. It's raw. It's crazy. There's a tach will, Peter Tatchell, there's a, uh, a gay rights activist in, um, in England who went to prison for his rights, was, had been imprisoned in foreign countries for defending a gay rights and he was d platformed in England a couple of years ago. Now here's the problem with d platforming. So first of all, it is totally right and appropriate to protest. So if someone is speaking something you don't want, I will strongly defend, protest, stand outside, yell and scream, hold banners up, whatever.

Speaker 3:          00:51:20       You can't interfere with the right of the speaker to express themselves first point. But even more important. The reason we don't want that is not so much because we're interested in the right of the speaker. It's because we're interested in the rights of the listeners, the people who are want to listen to that person have a right to listen to that person in a free society. So when we prevent them, the harm were causing is not, it's not that I'm silencing you, I'm, I am interfering with the ability of all the people who want to hear you to hear you. It's their rights that matter too. So if we it the D platforming, it's not about, oh, so and so was unable to speak at such and such a place. It's the fact that all the people that want it to hear so and so we're deprived of their opportunity to do so.

Speaker 3:          00:52:06       So I think the answer to words, we do not like the answer to speech. We do not like is more speech. It's not silencing. Yeah. And there's also the, uh, the obvious situation. You put someone in, when you do attempt to silence them, you put them under duress and their message changes you, you make someone more combative. And yes, this has often been the argument for why Trump became president in the first place is that people were tired of the argument on the other side. I mean, I'm not a political scientist and I followed that literature a little bit. Uh, I think there is a strong argument that that is one of the factors that contributed to Trump's a success. Let's keep in mind however, that the majority of Americans voted for Hillary Clinton. Um, and, and, uh, he's a majority of Americans didn't vote correct, but of the people who voted yes, that's right.

Speaker 3:          00:52:56       That's another whole problem. Um, but 63 or so million, uh, I, anyway, about 3 million more people voted for Hillary Clinton than voted for Donald Trump nationally. So, um, so, uh, I forgot how we got onto him. What were you saying? When we're talking about people wanting to silence people? So one of the things, correctness and the rebounding of that is that reinforcing of someone who comes along who's the polar opposite of that? Yes, I would agree with that. And I think that that's another, you know, that sort of is a variant of the argument we were discussing earlier, which is that you, one of the advantages of creating a free and open society is that you allow, you know, live and let live and uh, then you don't, you don't, you, you tend to, um, you avoid creating kind of suppressed animosities or you, you can help to avoid it to open communication is so critical and it's also critical to have reasonable, polite conversation.

Speaker 3:          00:53:51       Like people can oppose each other info in their idea, but you should be able to express how and why you oppose that idea without it being this sort of personal yes. Vendetta. Yes, I agree with that. I mean, you know, I think we have to accept that there will be, people will get angry. I mean that's part of having an open society and I think we need to get a person. Yes. And I think we need to accept that some people, not everyone will, will engage in discourse the way you and I might want to engage in that discourse. Um, but I do agree with you completely that ideally we would have a kind of civilized conversation that allowed us to learn, um, and to grow. And I think ultimately that as we've been saying is, is better for our society as well. Well, I think we should acknowledge that people are going to be upset, but we should also applaud people for not being upset.

Speaker 3:          00:54:43       I think there's a, there's a higher value to people being able to communicate reasonably. Yes, I agree. I don't think that that's reinforced enough and I don't think that's appreciated enough. I can play up high. Don't you want to get any disagreement from me on that? Yes. Yeah. I mean I just, I just think we, this is something that we can do. Yes. And we can get better at it. Well, I think it's like martial arts training, you know, I think that it is self discipline is not an easy thing Joe. And, um, like anything else worth doing in life, like basically anything worth doing takes effort. It's tempting the Goto strategy that many people have. So I think it's important to note that free speech is difficult and is not an easy thing. It's a natural inclination to want to silence your opponents, but it's wrong it and it's harmful and it's actually harmful to you to do that.

Speaker 3:          00:55:33       So, um, so, so I think we need to have an educational system that cultivates, cultivates that, that cultivates the capacity to tolerate an idea that you don't like to think about that idea and then to respond to that idea. Um, so, so, but I, so, so I guess what I'm saying, it's, it's a, it does require some training. It doesn't come naturally, unfortunately, you know, but it should be reinforced. Yes. I think there's a way to do that and there's a way to appreciate that and as a way to call that out when you see it and just, I think the world needs more of it. And if we can figure out a way to do that, we will find that we are differences are not nearly as egregious. They're the not nearly as disgusting as well, like to think that, well, that's exactly what I argue with blueprint, that there's such, you know, like, you know, when you go to a foreign country initially you're overwhelmed by the different food

Speaker 2:          00:56:24       and the different smells and the different architecture and anyone who's traveled even to a different state has had this experience. And yet actually, once you get to know the people, you see that they're very human. They're like us, they love their partners and they hang out with their friends and they work together to build a civilization and a society. And they have schools and they teach and they learn and they do all of these basic things that are a fundamental part of our common humanity. And, and this is what I talk about in blueprint at length. You know, like I, I, uh, you know, I just, I think it's, I think there's a kind of, um, there's a kind of flawed beauty to the world that, ah, captivates me and it's a little bit on the, there's a synthetic tradition in, in, in Japan and a philosophy called Wabi.

Speaker 2:          00:57:09       Sabi. Do you know Wabi Sabi? Sabi is, no, probably know about it, but you may not know the word, so I've heard it, you know, like how, like the western aesthetic for pottery is like these perfectly symmetrical, beautifully glazed, you know, pots. But there's a tradition in Japan of slightly imperfect pots, you know, like a crackpot or a pot that's slightly misshapen. It's very difficult to masters to make these pots. And it's, it's, it's called Wabi Sabi and it's about, it's about how imperfections are kind of beauty of imperfection, a kind of flawed beauty, um, like a hot girl with a gap in her teeth. Yes. I suppose, yes. I suppose that could be an example of that, that, um, or you know, Elle Macpherson, you know, famously had that little, uh, uh, was it her, I forgot, which was the famous model that had Sydney Crawford. Yeah. I had that famous a mole on her face and glassy.

Speaker 2:          00:58:02       So it's a flawed beauty. So, so here's the point. It's not hard to look around the world and see the violence and the murderer in the warfare and the incompetent leadership and all of these awful things about our species, but we're really a fucking unbelievable species actually, who do amazing things when you compare us to other species and there's a kind of flawed beauty to us and I think that it's, it's wrong to be seduced to the dark side. You know, it's wrong to like only focus on those, on the bad stuff. I also think it's a kind of moral and philosophical laziness, right? If we allow ourselves to just think that, oh, you know, people are awful. It kind of relieves us of any duty to be good and to work, to make the world better. It's a kind of, you know, surrender to the dark side.

Speaker 2:          00:58:51       I think that's wrong. And the book shows exactly how and why that's wrong and, and how we, how natural selection has shaped all these wonderful qualities which are shared the world over. So you go to the foreign country, you're initially perplexed by their crazy practices and then slowly but surely you find our common humanity. And I anyway, I find that it's pleasing, at least to me, that perspective, you know, that's one of the cool things about travel, right? You, you broaden your perspective and your understanding of what it means to be a person. Go to these

Speaker 3:          00:59:22       different environments and yourself too. Yeah, yeah. They're different and they're different foods or different art. They're different architecture. And you go, oh, this is also possible to yes, people can live like this. Yes. And do you even begin to see why they live like that? You know, like you initially you go to Greece and you have resin flavored wine, you have it at Siena and you wondering why would these crazy Greeks put pine resin in there ruining perfectly good white wine. And then after awhile you start to say, Hey, actually this is pretty good. Uh, you know, this is not a crazy thing after all. And you acquired case run resident and there were walls. Yes. You know, the first time, the first time I had scotch whiskey, I, I, uh, I didn't know what I thought about it. And now I love whiskey. Right.

Speaker 3:          01:00:03       It's an acquired taste. So the first time you drink something like that, you think, you know, yes. They put resin, they put pine resin in their white wine. They chill it. I should've brought you some, maybe I'll send you on an acquired taste. Ouzo Koolaid. It's delicious from the beginning. Yeah. I just right out of the cold. And this is sweet. Good. Yes, yes, yes. We'll have to convince anybody. Yes, that's right. That's right. Some things that's right. Some things are just good right out of the budget is good. Yes. Kool aid is just good. Yeah. I mean, I don't recommend you drink it all the time. It's full of sugar. It's terrible for you. But damn, that's tough. It's like, it's like a, it's like fried foods, you know? Yeah, sure. Yummy. A lot of them French fries. Yes. I mean, come on man, salt and catch up.

Speaker 3:          01:00:46       You guys know I'm a, I'm not sure about what I should mention, but anyway, I love Popeye's fried chicken. I do as well. I love it so bad. It's awful. And my wife, my wife is unlikely to listen to this full podcast so or I'll, I'll skip over this part so she doesn't hear this part but and my sister will be listening probably and so she will laugh when she gets to this part because whenever I see a Popeye's I just pull over and indulge myself and then I terrible. Terrible. It's Hafez is good. But you know what? If you really want to indulge and you like chicken Roscoe's in La, I have it. No, you don't know. Oh, I don't know. Ascos chicken and waffles. Oh Dude. I tried to go there and get in waffle family. We tried. Don't you make that tried to go there the other day with my family and a half.

Speaker 3:          01:01:34       Wait on the same place on day chicken and waffles course on the same plate. What are you a communist? Yeah, man, it's La Tierra above them too. And butter. Yeah. You mean the chewiness? Yes. It perfectly. It's damn delicious in my mind. Yet from another pant I, I make maple syrup. I live in Vermont and I make Maple Syrup. I tap my own trees and wow. What a freak. I have a, I have a, yeah, exactly. Giving people a hard time for waffles and chicken again. Show me the colonel. The colonel is a liar. He does not have it. Get out of here. It's not even the colonel. The colonel is norm Macdonald.

Speaker 3:          01:02:15       Norman said temporary like promotion or something. This is nonsense. Yeah, but they do, oh my gosh. I got a waffle. The syrup goes on top of the chicken that chicken and waffles and chicken tastes like cat litter compared to Roscoe's. Also sweet chick La. He could try to get this outta here. Uh, so, uh, it's tough. Can go fuck off Roscoe's chicken and waffles. You get the Greens to the Collard Greens. That's fine. Damn good. That's fine. But that's a waste of maple syrup. Take it from the man who makes it to put it on chicken. Chicken is good. I'm sure. Sweet. It's nozzles place. I get it. I love it. I've been there. It's great. Roscoe's okay, I'll have a look. Fuck off. There's a reason why there's an hour and a half wait on a Sunday. Okay. How long you in town for a just a day. Maybe I'll be back though.

Speaker 3:          01:03:00       I'll be back over there right after the show. Maybe I'll go there for a little one on Gower. Okay. Ooh Man. It's good. All right. Maybe I'll try that. It's so good. And it's also one of those places. It's been there forever. We used to get it. I found out about it from 19 1994 when I was doing news radio. 95 ish, I guess. Have you been in La since you left the Massachusetts? No, I went to New York for a couple of years then I moved down here, moved down here in [inaudible] 94 okay, so you've been here a long time. Yeah. And when I was on news radio, they got it for like, you can order lunch and someone ordered Roscoe's chicken and I was like, what is this like waffles? And it was just like you waffles and chicken there. It looks that's, that's, that's doesn't look as good as it looks when you're there. When you're there and you smell it. It's damn good doing a, Roscoe is commercial here but an incredible, I'm a fan. That's an incredible combination of items.

Speaker 3:          01:03:49       It's so good. And afterwards you better have nothing to do man. Food Coma Son. Anyway, how do we get to that? W W I dunno fry, you may lose syrup stories going to different countries, different countries in opening your mind. So you read it. Yeah. So you are counteracting my resin flavored white wine with these maple syrup syrup. Well, I'm a, I'm a giant fan of spicy food. I love spicy foods. I really, really enjoyed Thailand. Uh, I really enjoyed their style of cooking and they're kind of food and it's just one of those people who, who eats those Scofield units on the, uh, on the hot peppers. Like, you know like how hot, you know? No, I just like spicy, not high hot and they're like Habanero. I liked it. I like put, it's pretty spicy compared to the average person, but I have friends that put me to shame.

Speaker 3:          01:04:39       Yeah, like a, I have a buddy of mine from that I used to do for your factor with my friend Tommy Hirsch. Go shout out to Tommy and I used to eat. I ate chili with him and I couldn't feel how hard he can go. I'm like, this is crazy. Yes. I think people just have a different inherent like it's almost like built into their bodies both. I think it's both. Some people are better able, it's like some are faster runners than others, but it's also training so you get to, you eat alone, you slowly work your way up to being able to tolerate. Unlike those really super hot peppers. I, I find it a very unpleasant, I have a friend just like you who really is into it, like really seeks out the hotness. I also think it's a bit like addiction,

Speaker 2:          01:05:18       like you tolerate like, like as you get used to like the less hot stuff, now you need more and more stuff in order to get the same. It's not exactly, some people think it's a high by the way, but there's a little high to it. Some people say that I, I mean, I, again, it's not for me. I cook meat with Jalapenos. I slice it up and I'll have like a piece of the meat with the Jalapenos to get, especially elk with Jalapenos and sensational. So good. Yes. Yeah. But my kids always make fun of me because I'm bald. So my whole head is covered with sweat and they'd come over and wipe my hands like, you're so gross. And then how old are your kids? The youngest ones are eight and 10. And you have, you have, uh, how many? Three. I have three daughters.

Speaker 2:          01:06:00       All daughters, two year old, a 10 year old and an eight. You'll live longer, uh, with daughters. If you, if you, if you plot, uh, Dad's survival on the y axis and fraction of female children on the x axis, a survival is slightly longer for men who have higher fraction of daughters, his children because boys drive you to your fucking grave cause they're so goddamn crazy. There's lots of theories as to why it happens. But I think, and that is in fact one of them, it's framed a bit more scientifically. Well by, it's the basic theory. My 10 year old is a maniac, my 10 year old daughters. And I just imagine if she was a boy, I'd be terrified that she knows just lighting things on fire. Blowing up buildings. Yes. Yeah. Boys are a problem. That can be, I mean, I think, yeah, I mean I think, um, you know, I think it's, um, I think, um, well, I mean we could get onto the whole gender issue.

Speaker 2:          01:06:53       I'm not sure we want to, but I think boys are responsible. It, let's talk about chimpanzees. It's easier. Okay. Mail chimp's a do most of the violence, but 95% of the violence in murders are committed by male chimpanzees. And most of the victims are males. And um, you know, I think it's, there's no doubt that, um, biology plays a very important role in male proclivity to violence, for example. So instead of trouble. Yeah. So the boys can be a problem that way. And Yeah, and I think the many ways in which s a society are of cultural traits that we invent, their purpose is to shape and guide those tendencies to violence to kind of mitigate them. But we don't just need, again, going back to the books or observe, please do. We don't just need, uh, we don't just use culture for that purpose.

Speaker 2:          01:07:41       There are, there's an argument in the book that we humans have, have domesticated ourselves. So if you look at, if you compare a dogs to wolves and domesticated cats to wild cats from which they descended, or a Guinea pigs to the wild Guinea pigs from which they descended or, or horses to, uh, to the wild horses, to which they sent a few again and again, you compare these couplets, these pears, you find that the domesticated version of these animals that are much more placid, much more peaceful, they also tend to have floppy ears. They have for, so Guinea pigs and dogs and cows all have splotchy black, white and Brown for why is that? The animals from which they evolved didn't have those, the kind of splotchiness. So, uh, and they become much more peaceful if you compare a human beings and, but they had a, uh, the, the, those animals were domesticated by humans.

Speaker 2:          01:08:36       Like I deliberately allowed the reproduction of this member of the litter and not that member because this member was, was, was nicer. And so across time we evolve a more a domesticated version of the ancestral species. So we get, we get my miniature Dachsund from a wolf, like the wound, like the kind of things that were photographed out in your studio here. Crazy transition. Uh, now if you look at humans and you compare us to, uh, to the, the non to our ancestors or to other primates for all the world, it looks like we have been domesticated. We are more peaceful and placid. We have sex outside. Non Reproductive sex is another thing. So these domesticated animals we'll have sex, uh, even when it's not time to reproduce. Uh, we, uh, we, um, uh, we, our tails, we don't have tails anymore, but our tails have get shortened.

Speaker 2:          01:09:31       There are all these features that we have, these, these behavioral qualities and these physical properties that we have are, are we get a feminization of our faces. Our jaws become smaller. Like if you look at, you compare these domesticated animals to their non domesticated ancestors, the domestic version are less violence. So we lose a lot of the traits that physical and, and, uh, um, psychological traits associated with violence. But there was no one that domesticated us. So the theory is, the question is how, how did that happen? And one of the theories that's discussed in, in, uh, in blueprint and that's advanced by other scientists, this is not my work, is that we self domesticated. And that what happened over the centuries, over the millennia, over millions of years, is that weaker individuals into our groups. When one individual became too autocratic and too violent and too powerful, they banded together and kill that guy.

Speaker 2:          01:10:29       And so over time we were killing the more violent members of our species, weeding out those people, and therefore the gene pool changed across time. And we self domesticated. We are more peaceful today than we would have been because we domesticated ourselves. And this is one of the arguments that's also made to help explain the origins of goodness actually, and the origins of cooperation because it would take a few good diesel to kill the bad person that's running everything that's evil. Correct. It's exactly right. Recreational sex does occur in Bonobos, which is really weird, isn't it? Because they're so similar to regular chimps. Yes, but they're not the same species. They also have homosexual sex. Uh, they use sex to make, you know,

Speaker 3:          01:11:14       so, uh, it, it's, yeah, they're very licentious a species. That's exactly right. And, and, and, and Bonobos are felt to be a self domesticated chimpanzee. So the similar, so bonobos are to chimps as uh, as let's say dogs are to wolves and, but there was the dogs, we domesticate it. The Banabos self domesticated as the theory. Do they know why or how? Well, the theory is that they did it. Like we were saying by weeding out killing the more of aggressive members it was, what we know must have happened is that the nicer guys must have been able to have more offspring. So the gene pool changed over time because of the differential success of the, of the, of the nicer guys. Now people have looked at this even in human societies, they've looked, for instance, there's a study I talk about in the book of different pathways to reproductive success amongst that Samani which is a group in Amazonia and other societies are similar.

Speaker 3:          01:12:10       So you can either be like big and strong or you can be charismatic and have useful knowledge in both ways. You have more children. Mm. Um, so there are these competing ways, uh, in our species of enhancing your reproductive fitness. Are you aware of [inaudible] work with, um, baboons? That's a fascinating case, right? Because they were studying baboons in Africa. They would eat from human garbage, and a bunch of them got sick and died. And it turns out that the most violent and ruthless of them got sick and died. And it changed the entire culture of the baboons tribe. I don't know that story. That's an interesting one. Little sterling grooming each other and being kind to each other. Oh my God. Yeah. That's a good example. But there was an accidental, it was an accident is an accident. And you had, it lasted for generations.

Speaker 3:          01:13:02       Yes. And when he returned to study them, he found that they were still this different kind of contrite about this a little bit. Yeah. I'm doing a shitty job. I'm sure I'm explaining it, but I'm, I know, I think could have the fascinate. Yeah, yeah, yeah. Yes. He's very impressive. And a, I know the, I, I, I'm, uh, now that you're reminding me, I'm a little familiar with that particular study. I did know that it started with garbage, however, that Janet, it was a coincidental x extermination of the more violent members of the troop. Yes. Yeah. So they were removed from the gene pool and it changed the entire culture to the point where generations later they were still using this more peaceful ways. Full. Yeah, yeah, yeah. More kind. Well, it didn't just change the culture. It may have changed the culture, but it appears we're arguing the two of changing gene pool, second evolutionary pressure that's been applied.

Speaker 3:          01:13:51       So you have, you know, big dogs and small dogs. You don't allow the big ones to reproduce. You just reproduce the small ones. Yeah. You get small dogs in the end. Well, I've had dogs my whole life. And one of the things that you do kind of, I right now have a golden retriever. Uh, we have, uh, we, yeah, we have a white lab. Yeah. A yellow lab. And, uh, I've had a bunch of different dogs. Mastiffs and pit bulls and German shepherds, no small, we have a docksin too. You don't have small dogs. My oldest daughter has a tiny Chihuahua. It's a pays off. Sorry that he's the best. They just bark all the time now. He doesn't bark that much. He barks a little bit, but he's, he's really smart and he's actually a Mutt. He's Chihuahua and Australian shepherd, but he's like that big, it's tiny, tiny little thing and he's the best.

Speaker 3:          01:14:31       But um, um, my point being is that you can see if you get a dog from a breeder, you really can see how they can cultivate certain types of behavior. Like a good example of my mass tiff who passed away this year, he came from this guy who bred dogs for films and for a police training. And uh, he was the most calm, most chilled out dog I've ever had in my life. He was a giant dog. He's 140 pounds, but he, you could have them take him anywhere and trust him with a baby. And he was like, hello. Like everything was like totally he but this guy purposely, anytime a dog showed any aggression towards people or any aggression towards dogs, he wouldn't let them breed. So how can anyone not hear the stories like that or no? Stories like that and not then also think that genes play a role in human behavior.

Speaker 3:          01:15:21       You have children. Yes. You realize when you have children you see it like, okay, this is not, I didn't do this. This is, this comes from me. Yes. There's certain traits that my children have that I watch and I go, okay, this is not, this is teach them. They just started, they were born, this is what got my fucked up brain. You know, there's something in there. They're not seeing that. Like they don't see how crazy I am in terms of like how hard I work, things, how obsessive I get with things they're just doing and it's very weird. It's very weird because you see, oh well, okay, well how much of this shit that's in me is like how much of me is me deciding to be this person and how much of me has no choice? About half and half. I would say. Overall on average across traits, how much do you think gets passed down through genetics in terms of inclinations?

Speaker 3:          01:16:13       Like like the nature of physicians? Yeah, about half on average. So for example, about half the Wii, you know how religious you are or how risk averse you are. Like I can, I can about half the variation in how if you look at a group of people and some are more risk averse than others, about about half of that has to do with their jeans and half has to do with how they were raised or what environments they grew up in. So you know, there's a kind of innateness to many of our qualities and you can shape them. You know, for example, you can't, you couldn't make me a musician. Unfortunately I have almost no musical talent. I can dance I think. I mean, I think others would even say that I can do that. Uh, but um, does not just like, I think I can dance, but I can't. Uh, but I, I have no musical ability whatsoever. I would say I'm tone deaf and, and you know, I can appreciate music I like, but I can't produce it. There's no way you could train me, I don't think to be a musician. Um, but, um, so some of it is inborn and some of it is, is a,

Speaker 2:          01:17:09       is taught for all of these qualities. Yes. It's a fascinating thing to watch it emerge from a child, isn't it? Yes. As a parent you see where it comes from. Although we have adopted, like, I, um, my mother had three biological children and I have two adopted siblings that come from actually a multiracial family. I have a black sister and a Chinese brother. And My mother was an incredible human being. She died when I was a 25. She was 47. Uh, and, uh, we have been foster parents, my wife and I, and, and so, and might, we have lots of adopted kids in the extended family in addition to biological kids. And so you can see, you can see the play of genes. You could see the extent to which the, the, the kind of inherited traits that these people that we all have. And you'll see the shaping by how you're raised and you know, so both are important.

Speaker 2:          01:17:59       And this is incidentally why if you ever have anyone, it's not, it's not nature or nurture. It's both always almost in every single trait actually. Well that's the case of so many things in this life. We want everything to be binaries. Yes. It's, it's nuts. It's a total, we were talking earlier, it's a total loss of nuance and an inability to see any gray and, and, and some people think, and I think that's what you were talking about, some people think that we are hardwired to like dichotomies to see, you know, male and female and an up and down and good and evil and left and right. And to simplify the world by finding it. And that we like it, that it soothing to us to think that the world can be divided into two categories, but in fact, many times not always like up and down is sort of clear, but many times it can't.

Speaker 2:          01:18:51       They're shades of gray and it's harder. That's harder to live in the gray. Yes. I completely agree. And that's why I've always been a po. I mean, I think it's an incredibly foolish to deny that, but people find comfort in denying they find comfort in main tribal. You find confidence in them. Yeah. US versus them. This is the classic. Yes, yes, yes. It's, it's a, it's a simplified view of the world and it's, it's foolish and dangerous actually. Yeah. Um, now sometimes you're at war with an enemy, you know, it's me or him and uh, or us or them, there are circumstances in which it's a different survival. Yes. Or survival in that mode. Yeah. I get it. But, um, but you know, but I think the a kind of worldview which says we are good, they are evil. Um, as we've been saying in different kind of ways in different parts of our conversation is I think foolish and wrong and ultimately self-injurious. Actually. Um, so we used to have a, you know, you've done martial arts, I spent years training and showed ICAN karate. It's very traditional Japanese style, which I loved. I'm sure you've had the same thing. You actually are grateful for your up to your opponent. You Mount your opponent, you say thank you to your opponent, right? Sure. Component is necessary for

Speaker 3:          01:20:08       you to learn. Oh yeah. I mean this is the whole point, not just your opponent training partners. You don't want people to be able to beat you. Yes. You get better. That's exactly right. So, um, so this is, you know, I think that the kind of, that aspect of that kind of training is, um, is a life lesson as well, right? The capacity to see that in the same happens with ideas. How to my ideas get better. How do I discover in my laboratory new knowledge I discovered against opposition, right? Someone says, you're wrong about that. It's not true. And I'm like, Oh yeah, let me prove it to you. Here's what, I'm going to go back and do more experiments and come back to you with more arguments and more data and show you that actually I'm right about this or not. You go back to your lab and you're like, oh shit, they were right.

