Speaker 1:          00:00:19       Oh, strange
Speaker 3:          00:35:38       I know shit that's trying to catch bro. No, the one in here. Oh, and now in the hallway. Although the one where he's a Mugshot, mugshot, just read all this stuff about what an asshole used to be. I was like wow. It's Kinda, I kinda used to think it was kind of cool to like Frank Sinatra because he was like one of those cool old guy things. You know, he was in the rat pack but then you read about like his behavior, like how he used to treat people like this guy seems like a shithead. Right? He was a boy. He was kind of a thug, right? Yeah. I don't know what the mafia to people who were shifted was he mobbed up. I mean I know he was in with the motto. Was He mob this one? No. On and on girl. Talk on and on girl talk. Any man that calls himself. Girl talk likes girls so don't want to talk about girls, but you know this is it. Turn this up.

Speaker 8:          00:36:37       [inaudible] I think you'll like it cause sunshine in my life was in the background. Perfect. Mash up man. [inaudible] you know what it is at sunshine in my life and let be the hidden by Lisa. Lisa. Oh it is the is. Wow. Wow. I'd never picked that up to me is alien. Let's say to us. You figured that out. Wow. That's crazy. Where is that? I can't see it man. Let the beat him by Lisa. Lisa, Lisa, Lisa. That's crazy. That you could see. You can just, you heard that song before or did you just picked it up? I can hear it right away. Wow. She that you're still real DJ nerds do. Wow. That's really impressive. Do to me, this is like a language they don't understand. They watch. Here you go.

Speaker 9:          00:37:45       See now at all

Speaker 3:          00:37:46       like the song, it shifts somewhere in the middle. I don't like it anymore. Now there's the house person. It's the wrong version. Got Towns the House version. Try that one in order to play. There it is. Watch. You must tune to your base to up.

Speaker 9:          00:38:02       I've got no idea what you're talking about. [inaudible] oh shit. I don't even here. There's a break in it coming up. I'll tell you exactly where he took it from right here. This sequence is wow. The government. You should work for the fucking CIA, man. Three please share it is holy shit. Three let's go back to the other side. Go to the other side.

Speaker 10:         00:39:00       [inaudible] I can hear it now. [inaudible] impressed him the fuck out of me, Jean Hours. Ah, it was awesome.

Speaker 3:          00:39:19       That was some amazing shit, dude. How did you do that? Has so cool. I'm a music nerd with this shit too. That was the coolest fucking thing, man. Wow. It's like, dude, you just deciphered some fucking Mayan Hieroglyphs Joe. And that's why I think we even need to both by DJ tables and start practicing going are you used record stores and trying to find cool mascots and kids. I don't have any fucking time. And get them involved. Time you come to La, you come to my house? Yeah, we will throw down. It just looks so fun. I can't get into anything else. There's not enough time in the day for all the shit that I enjoy. Things out that gets you, hurts you and gets you know, diseases all the time. Yeah, I'm sick right now. I got a sick when I was in Montreal. I haven't been able to train all week.

Speaker 3:          00:40:01       Instead of watching eight documentaries a day, you take two out and take those four hours and put it towards you don't understand me. You don't understand me. I'm not a normal person. I'm an obsessive. I have issues. I okay, I'm managing my issues and my issues is I can't get into anything. What's that? Where are you training? Uh, I don't want to tell people this facade castle. I mean curves one of hug because the curve, take those fat bitches don't choke the shit out of him. Um, been sick all week, man. What's that? Oh Shit. I forgot to turn my phone off. Your phone's ringing. And Brian, really? This is like podcast number 750 and look at what kind of gay, I got mastermind hitting me and one of my, one of my good friends who was a phenomenal DJ back in any retired and he had, he hit me with a text saying, you're a traditional Dj.

Speaker 3:          00:40:50       Hard to explain the passion in that nowadays. No, it's not hard. You explained it very well. I don't think it was hard at all. I get, I totally get what you're saying would that guy does is a different thing than when you do, but what I'm saying is that he's providing something that all these people enjoy the fuck up. Yeah. That I'm not mad at. I'm just mad at Paul with Dj. It's not even the people that are like, he's the best Dj. I'm like, it's not a fucking Dj. How dare someone called my mom is calling you now. [inaudible] dare you. Why is my mom calling you? My voicemail is not set up, unfortunately. It's fucking Susman. Chandra, Shandra, unfortunately ladies and gentlemen. So,

Speaker 7:          00:41:34       mmm.

Speaker 2:          00:41:35       Have you ever Dj and underwater? You should do that. It wasn't a time I electrocuted myself. It's funny, my dad just got me one of these things for Christmas. He just sends me a box of miscellaneous things and it's always tools and stuff and it looks like a pin and it's to detect if there's any electricity in something. So like if you want to know, like you're changing an outlet, you want to know if there's a debt or if it's still hot or not. It goes and I'm like thinking, wow, that's kinda cool. But then I'm thinking, wait, I've never ever changed or needed this ever in my life. So now I'm just like Harry Potter walking around the house going, we don't want to look, dude, I've got a stud finder or want to hang things up. Right. And you move it along. And also know I w I did carpentry, I worked as a carpenter's assistant when I was, when I was a kid.

Speaker 2:          00:42:16       There are a lot of construction labor or construction sites, you know, and a lot of it was hammering nails and shit like that. But you used to have to tap on things and listen to the sound of where the studs were. You ready to try to figure it out? Then you would go away using your years. Yeah. And then you're find healing and then you'd find you'd, you'd measure off 16 inches really accurate. By the way, the, was there ever a need to go past just knocking? Yes. Because this thing is dope as fuck the sick as you make more off of the stud. Right. But usually, yeah, you can catch the center of the Stud now you get the center. I mean, look, I, I kind of get the idea that what way we're losing all this, you know, this, these skills that we used to have but kind of fucking skills or those, man, we've got better ways of making the houses now.

Speaker 2:          00:42:55       Crazy breaks. Those skills are now moving on to actual jobs. Like pretty soon, that person that used to check you in at Mcdonald's is going to be gone because it's the newest stuff going to be in your robot is a stud finder now for sure. But I can't reason with a robot though. So you need, you need human reasoning involves, yes, you need human. There's was certainly we're gonna run out of human jobs. It's going to be a weird thing. I mean people worried about jobs going overseas. You've got to worry about jobs going to robots, you know, that's the real fear for a lot of, they get a lot of dumb Jungian robots that's going to be terrible. Indian robots will kick your house. You know, I used to be, I used to work for a company that I was one of the only Americans of uh, 40 employees, all Indian right off the boat or an airplane, sorry.

Speaker 2:          00:43:37       You mean none of them? None of them spoke English. And my job was to teach them to be American. So all they had to do is just be around me. And like I would sometimes tell them to do something here and there, but mostly I felt it was right after nine, 11, two. And I was like, wow, why are all these people here? I, I don't they, I think they're Indian by Indians that didn't speak English. They're generally of highly educated. I, they, I mean they did, but very hard. And with, uh, the biggest problem was, is that a lot of them didn't wear deodorant. And unfortunately, unfortunately this room was like 40 of us in this room. And I was like [inaudible] that you dated a chick, ones that didn't wear deodorant. Oh yeah, yeah, no. Oh my God, I've done that. It's terrible. Awful little.

Speaker 2:          00:44:18       Yeah. Little Esther. But, uh, [inaudible] is too, I don't know if anybody's heard of the way I had to go cause it got so bad because this room was so packed with so many employees and it just smelled so bad. I had to go to like, uh, the, the president of the company. Like, sir, may I please speak to you for a second and be like, Hey, you know this one guy in general just really smells really bad. Like there's a fence. It was really fun. I know it was, but I, but I didn't know what to do. I couldn't work anymore when it was just smelled like a big bio armpit into everyday. It got bad. And so I finally had to break in and tell him and I felt so bad and he was very understanding. And the next day the guy comes in like a full suit and tie.

Speaker 2:          00:44:56       Oh here comes and goes. How do I smell now? And I'm like, Oh, I'm sorry. You know, first of all that God, that guy's an idiot because he went right to him and told him that you said it. That guys sucks. Whether pregnant slide it in is a Wiki. Leaker the weirdest thing, the weirdest thing about this company is I never understood what that we were actually doing though. Cause like they, they didn't any of them, none of them had jobs. But yet it was like, I didn't know if we were like hiding people to like, you know, distribute Indians throughout the United States or something. But I had no idea the name of the company. You will work software, software, friends, uh, and or something like that. And they made weird things like instead of Ebay it was called like he buy, you know, and then, but you go to the website and knock off websites.

Speaker 2:          00:45:38       Yeah, it was just knock off tons of knockoff websites with fucking imported slave labor. There was no like work being made in every, I need information. They'd be like Goggle it and like, I was like, I was no work. There was no Google, there was no real good luck. I just source if there was no company to this thing, it was just like what? Whoa. It was like a fake software company and I was supposed to be like the lead programmer designer and I like made one website, interior mail for them, something software friends or something like that. Again, you wonder how many dudes or Bernie Madoff in it. So I'm like, I know Hoe. Yeah, exactly. Yeah. I wonder how many people who run businesses or like Bernie Madoff in it. I wonder how many people are out there. Just fucking totally scamming people. It had to be a scam of some sort.

Speaker 2:          00:46:21       And it was funny because not too, wasn't saying terrorism. It was two months after nine 11 I got this job or something like that and I, I the whole time I'm thinking something's not right here with this United States, this, this company right here. There's something going on here and some of it's being edited or paranoid, you know, like America Go America, we've got to get these terrorists and stuff and this seemed like, like, like the weirdest thing ever told us to Alex Jones who have some fucking reason behind it. What state was this in? Columbus, Ohio. That'll do it. Henderson road. Wow. It's still there and actually changed the name of Scott software friends, but the home of [inaudible] crazy man. Hey, I'm by the way, since we're on it, right. I think you should punch up a biggie and Sinatra. Yeah, I think Joe would really likes, I think you guys are both like this. What was the name of the mix would you say? It was called. It's like you want to go into the off garden in the ghetto.

Speaker 11:         00:47:16       There you go. Try that one. You might like this.

Speaker 2:          00:47:20       Oh, that's what I wanted to talk about. This guy, we were talking about scams. There was a guy named, uh, you know what Gambola is the, the Porsche modification company. Okay. Have you heard of them before?

Speaker 12:         00:47:30       Yeah, they're like really famous because they take like these crazy cars. A Carrera gt is like a $400,000 car and they take it and they make this extreme moms when they make it like they make the body kit looked different, put like insane amounts of horsepower on it. This guy was crazy and he's like, did the wild shit, the cars, 1000 horsepower, 650 horsepower, twin turbos and shit. And apparently it was like ripping people off left and right. And uh, he went on a trip and someone picked him up. It was like a business trip. Someone picked him up at the airport and just jacked him. They just fucking handcuffed him and shot him in the back of the head. They made him call his wife and, and try to get them to uh, send money, send a million euros and the guy only spoke English so he made his, he called his wife in English and he's talking to his family in English so they knew something was wrong, you know, cause he speaks German so then the guy just disappears.

Speaker 12:         00:48:19       Nobody knows where the fuck you went. Nothing. No one knows what happened and then months later they find his bottle was dangerous to rob rich people cause they're always a little crazier about their money. Yeah. It's a crazy story though, man. This guy was just trying to fuck everybody. Just, you know, just like you had one car and three people that a paid for it, you know, it's sold it to three people who's making it the same card, you know, was just going to fuck them. You know, and I pay, I guess he did it to the wrong dude or something. Probably some Russian dude. Crazy man.

Speaker 5:          00:48:48       People get 90 when it comes to money. Man, I don't have to tell you that. Right? Yeah. I mean, I, I've never been money driven, so I'm kinda happy about that. That's the best way to things I do. The things I love to do. That's why I like, yeah, you're right.

Speaker 12:         00:49:01       Laid back dude man. You know, as for, especially for a guy who's successful as you are, as far as like, you know, you're the same with you. Stand up. Yeah. But there is, it's rare, right? There's not a lot of us.

Speaker 5:          00:49:10       Yeah. A lot of people you would think, oh, that person's going to be a little douchey buddy. Yeah. I mean it's the most disappointing thing when they are right. Yeah. You're always like, ah, but it's one of the coolest things when they aren't, you know, when someone has gone through some, I was situated, Saturday was the first time I met Dana. Oh really? And he was really fucking cool. He's so down to Earth, man. I thought he was going to be [inaudible]. No, not at all, man. I was like, wow. He didn't like, you know, just meet me and walk away was he was engaging. And it was very cool and I was like, fuck that. He's in the moment for real. Yeah. It's a real business, you know? Yeah. So I can't be running the business side. I was very pleasantly surprised by him. My nose is stuffy. I'm going to have to blow it too much through the Eritrea lights already, Joe. I like that

Speaker 10:         00:49:55       slurry buddy. Miles give a warm round of applause for the notorious sorry is God. See that was all a dream. I used to read [inaudible] my ball that we saw Mr Magic Marlin Mall. I'll let [inaudible] had the red and black lumberjack put the hat to match. We'll number freshman the hotdog and number four. The dit would take it this fall, that woman, the lime light because the trade [inaudible] number one, I used to eat sardines for Canada East. The broad Lucy be tick to free mass. The flex love bugs figures can best. I'm blowing homo special number. Same Bush. Not that many dudes that just had everything

Speaker 5:          00:50:55       fucking rhyme. Just had that certain beat that made your head move. Yep. There's a lot of guys and I liked their lyrics. It's good. I see what you're doing. I like it. Yeah, it's good. But see the only guy you can take as acapellas and put it over any beat. And it sounds like he knew that beat was playing. Yeah. Yeah. Amazing. I like that. But I am sick of that song. So do you do shows where you Dj, do you let me now that you're a famous comedian, do you ever do that? Like should know, I have two djs on stage with me when I'm performing. Oh you do? Wow. Really? I have DJ Spinn bed and starting from scratch. That's, that's bad. And then they uh, they play on four turntables tables and one place instrumentals in one place. Acapella isn't there. Fucking incredible.

Speaker 5:          00:51:35       And how do you do that? Do you have them do it before? They do it before the show as the warm up. Right. And then I have a comment come out and then that is bad. And they play and then they played the audience out on the way out. Cause the big venues. Right, right. That's awesome man. What is the comedy Cnm Canada like right now? Is, is there a lot of come from Toronto? I'm from Toronto. I'm excited about April buddy. Yeah. It's going to be Craig common all over the place. What would you started off in Canada? Toronto was 89 was that hard to start off in Canada or in 19 and you don't know what you know, you have nothing to compare it to. Right, right. Or that there's a good scene in Canada. Right. As far as, especially Toronto. Right. Toronto was a real good comedy scene in Vancouver does as well, right?

Speaker 5:          00:52:14       Yeah. I think all of Canada, I mean, they're always a little gems come out of all these little pockets of Canada and we have to work harder because the audiences are a little more stiff out there. Really. They're very loving and they, and they, and they love you to death, but you still got to earn their laughs. Really? I find that in Canada it's almost more of a, look, we've paid money. You better be fucking good. Wow. Maybe charge it to me and they stare at, you know, I'm talking about back in the club days. That's funny. Yeah. When you start now out, man, it's a, when there's a huge difference between people that come out to see you when they know who you are. Yeah. And someone who's just coming to a comedy show, you get a little leeway then you know you can do a little jokes that you would never have done before.

Speaker 5:          00:52:54       Yeah. And you know that they liked your sense of humor too. You know, like when someone doesn't know your sense of humor and does know how you think and then they come to a show and it's like, you know, when you, when you first start out, they're just coming to see, looks like no one ever goes to a club that says live music and you know, your [inaudible] golf, hoping that that's what you get. You know what I mean? But with comedy man, you know, there's a lot of people that come to a comedy show, they don't know what the fuck they're getting. They can get Barry Manilow or guns and roses. They don't know what they're getting. It's true though. It's tricky. It's the surprise bag of comedy. Yeah, totally. That's why

Speaker 12:         00:53:25       when someone, you know, it's like, like this weird music on the Internet, you know, and it's like you got to find what you like and just there's one, I got this one, you know it's true. And then that's, that becomes a problem in some areas when one guy has one successful style of performing and then you see all the people around them sort of like mimic it and morph into it like a Dave Attell type thing like David tell has is so specific way of talking. So catchy. I love Dave fucking awesome. He's a great guy. He made like a billion babies. Billion clones. The Mitch Hedberg did that too, right? Yes. Mitch Hedberg. Mitch Hedberg came out with this fresh style and then you hear a lot of guys sounding like so like it because it was so fun to do. I'm cracking the coconut water. You mother fucker.

Speaker 12:         00:54:11       Oh c two oh coconut water sent me a bunch of this shit. I ain't never heard about us Taco. I gotta get you some Dank, so thank you very much. My friends, she to see two oh coconut waters, the shit. If you've never had it before. I become addicted to this stuff. Um, and people giving me shit about getting sick, like hit. Yo. What about your probiotics? Man, I haven't been sick in three years. The first time I've been sick, but coincidentally his, my fucking conspiracy theory, I slacked off on the acidophilus. That was my fault. But what I didn't slack off on was the Kombucha. I was drinking a lot of Kombucha, but gts, Kombucha, they got kicked off the shelves. They were in the shelves at whole foods. They got kicked off because they had more than one half of 1% alcohol because the mushroom ferments when it's inside those things.

Speaker 12:         00:54:51       And if you, you know, it stays in the crates for too long or if it doesn't get cold enough, they think continues to ferment and it gets stronger and stronger. So it gets over one half of 1% but whatever the fuck they did to keep it from fermenting when it's sitting in the cases, they watered down the flavor. It's like really watery. It's a totally different flavor and it doesn't feel the same. It doesn't feel like it has the same health benefits either. So I think I'm eating dead Kombucha. I'm think I'm drinking some funk Shit, mother fucker. That's why you're sick now after you've been licking toilet. Don't lick them, Bro. I don't like them, but I do sit on them and I really think twice. Figure what the fuck it's going to. You don't even put the paper down. Just wipe them off. Wow. I still have not broken that level of crazy psychological shit. Think he'd get home, he'd take a shower. You're going to be okay? I don't think so.

Speaker 7:          00:55:40       Hmm.

Speaker 12:         00:55:41       I always pee on the seat when I leave. Just piss all over it to leave my mark. Let them know you were there. Don't let him know. No, I don't do that. I always cleaned the seat. If I piss on it, don't you know I try to broaden that for a Fab Multivitamin, Pete, and I'm like, look, there's only so much of this multivitamin, peas, they give you away, man. When people know you're healthy and they see your page, they know it's yours. That fluorescent orange shit splattered all over the seat. Yeah. Like look at you. You healthy lazy. Looks like you're checking and fuck lava lamp when I piss. Yeah. Someone else paying on you is not good. Um, let's just as a general rule,

Speaker 7:          00:56:18       hmm.

Speaker 12:         00:56:18       I'm reading people's tweets while I'm talking to you. That's always a bad move. Is that cause those motherfuckers want attention.

Speaker 3:          00:56:24       That's true. To start going off on you. They're saying props for me for calling out yesto on being a fake ass DJ. Wow. Well, when you start a fight with anybody, I've found in this world, when you start a fight with anybody, there's always going to be a bunch of people that want to join in. It doesn't matter. Even if you're right, it's like there's always a sa you could be totally wrong and there's no, he's going to be like, I got a million fucking people. You know that that were mad at me for the whole Carlsmith see a thing that didn't see it for the way I saw it. And there's always going to be people who are idiots. You know, there's always going to be people who don't agree with you, but there's always also going to be people that just want to fight about shit.

Speaker 3:          00:57:03       So if you know, if you're going after d JTS still, they'll look. You have fuck them. I hope fucking carful of AIDS runs into them like people. People just will start getting angry, man, if you, if you fucking hate somebody to get mad, they're like too, I got duped into liking him. So fuck you. And they're like bond with you, dude. Thank God you fucking said that. That guy could suck a fucking million ranted decks. Whoa, Bro. I don't think it's d. Jts so that's the problem. I think we need to sit down. You need to find out where your anger is coming from. I need to get a group hug.

Speaker 2:          00:57:35       So check this out. You know, you heard about Miley Cyrus doing Salvia and everything like that right? Now, imagine, uh, this something happened to me with you recently. I realized how easy this is. So this is a tip. If you have an iPhone. All right, everyone, tip iPhone. Um, if you have an iPhone and you plug it into somebody's laptop to charge it, and if it's not locked, meaning like if you're using it, checking your text messages while you're charging on somebody's laptop, they open I photo. They can take all your photos, all your videos off your computer. I know off your computer without you even knowing it. And so that is a perfect example. Like Miley Cyrus, oh, my friend took a photo or a video, you know, I'm going to use your laptop to charge Bam. You got all of Miley Cyrus's videos, Salvia. So that's a tip. If you're ever plugging in your iPod or iPhone into a laptop, just make sure you're checking them. They're still plugging in your phone that way to charge it. And you're a fucking retard. You're at somebody's house like, Hey, do you have a charger? Oh, you can plug it into my laptop. You know, I mean, that does charge it up. Right. Does it charge it up as fast though? He's a USB port.

Speaker 2:          00:58:40       Just

Speaker 3:          00:58:40       missed some calls. Right. Wow. In the car that's confident in old school. I don't need this. Yeah, I can put this down. Do you, do you ever get the sense if you leave your phone at home, you ever do that? And I got a little freaked out. Yeah. What's up with that? I have nothing to hide in that phone, but I get freaked out. Yeah. I don't want people answering my God damn calls. Absolutely. I don't want to be disconnected either. That's true. I will turn around and go home. Yeah. Most of the time. Less I, if I'm on my way out the door to a flight and I was halfway to the airport and I knew I would miss the flight. If I turned around, I might have to turn around. Well, if I'm leaving town, fucking I missing, what am I going to do?

Speaker 3:          00:59:18       I'm going to fucking not have my phone. I'm going to be in Cincinnati, no phone, no fuck. And then I go wait for somebody to Fedex it to me or I'm going to go to seven 11 and buy some phone there. You don't know anybody's phone numbers anymore. I don't know anybody's phone numbers. Well you do have, you have a mobile me service then you just go online and any have your contact phone. Yeah. Well that is a lot of one. You probably have an iPhone by now. No, no. What are you on? Well I use a blackberry from a main phone cause I liked the whole software better. I like, it's not as good for sure. It gets stuck sometimes. Sometimes we're, it gets weirded out. Sometimes it rock shows up. Yeah, I have one. Sometimes the reboots out of nowhere. But when you're using it, but when you're using it like, like what to answer emails or to answer phone calls or to forward texts.

Speaker 3:          01:00:03       Sort of doing anything for twittering to, yeah. I don't like it for twittering. I like iPhone is better. I think, what would I like? Iphone four I think it's a great internet device, but the phone is dog shit. The phone, like service in, in, in uh, America with 18 t is so fucking Dante's horrible. There's one can't do it. So I need Verizon and I need a phone that's going to work when I'm on the road and I'm in other countries too. So January I found most likely and then hopefully send them. Yeah. And pretty soon I don't think blackberries going to last much longer. I think they're just going to become an APP on an iPhone saying, yeah, you're going to have your blackberry app so you can get used to the way that blackberry operating system. You don't see your, sorry, lasting long apple friendly.

Speaker 3:          01:00:46       I mean I'm talking about android and fucking iPhones that that shit's destroying all the other guys. Look at pom poms. Thank you Riley. And I think blackberries still is a black percentage of the market. Yeah, blackberry owns the business world. Yeah. Until it's a windows. He would think that it would die off, but it never will. When you see the first, when you first got into Mac and I'm like, my God, this is so much better. Why would anybody have viruses and registry hacks and bullshit and fucking the pop up windows that eat all your computer up, but you know from using the blackberry how fucking annoying. So I no, no, it's a new, first of all, the new operating system. You haven't used it in a long time. I used the new one. What's her face? Is this the torch? The torch? I haven't used the tour.

Speaker 3:          01:01:30       What's that for it, but I have a new curve. The one with the flat track pad there has never a ball has attracted. I like it man. I like torches like an iPhone and a blackberry combined, so it's like the touch. It's all touch screen. Like if I just had it, it's got one device. I might have to order the iPhone if I on one device. Bell Mobility in Canada gave it to me. If I could only have Canadian, that's why I don't know what this, if I had to use that as actually now that you don't know about the torch, that's the new one. No, I don't. Yeah. The last thing I saw that was a touch screen was the storm too, which was a piece of shit. Yeah, that was a piece of shit. If I had to use only one phone, I would pick the iPhone. But to use two is better because this way you don't eat up your battery on your main phone cause I like to fuck around with the eyes. Morphe packs, man. Those are gross. Someone that's carry some extra ass battery. Some girl, I had had it the other day, I saw

Speaker 2:          01:02:20       it and I played with it. It's not bad. You'd get used to it. Sure. It sucks.

Speaker 3:          01:02:23       Giant brick that stuck on the mat as bad as it used to be on the new iPhone. The iPhone four piggyback battery. Yeah. Well it's kind of built into the case so it looks [inaudible]. No, it's this one's more features and going back to the old days when you had a suitcase for a fucking cell phone that's we're going to go back to, we're going to go back to you. You're going to need so much power to do what you need your cell phone to do because of cell phones. Processors are going to so far exceed battery life. You're going to be walking around with like a suitcase nuke, like a fucking a giant ass battery that's like a car battery on a handle. It's going to be attached to your phone and your phone's going to be able to time travel. That's what's going to happen.

Speaker 3:          01:02:59       Russell and my assistant has the evo. Oh yeah. That giant fucking phone. Super battery killer. Oh my God. We've been making fun of him for that one forever. Beard, Huh? Yeah. It looks like you're, uh, you're, you're my Mac Imac, but it's cool if you want to watch a movie on your phone. Yeah. But yeah, as a battery, the battery so horrible that he has this giant fucking battery. It looks like he's walking around with this thing. Yeah, that's what I'm talking about. That's what we're going to go into the retard gallery. That's actually, it's connected to the wall and it sends a wireless signal out to your phone and keeps it charged.

Speaker 2:          01:03:34       I think projectors are going to become a lot bigger in the future where they're going to be so bright and powerful coming from your little phone that you could actually just make your own screen anywhere. So we're going to have like a razor phone with like the Xbox connect style projection, wherever you want to

Speaker 3:          01:03:48       see Olivia, Nikola Tesla. If they had just listened to him and just let him let him work his magic, we would all have wireless electricity now and then we wouldn't have any of these battery issues. There'd be electricity in the air. Oh yeah, I know, but talk nuts.

Speaker 2:          01:04:03       You've seen that new application that was just released called something like, what was it called, Joe? The seaward applications words C or something like that where you just point your word. I'll check it out. You point your phone at any like say like you're overseas and there's like some writing on the wall that you can't understand it in a different language. Just point your phone at it and it looks like a camera, but it translates it and puts it into whatever you're looking at. It's almost like urban spoon. Yeah. What did you just point your phone? Oh yeah. Direction. And it tells you where a restaurant is, right? Right, exactly. Just this instant translates anything. That's pretty cool. Yeah. It detects the translation and change it clear. It is. It's called a word Lens. Word Lens. Really Pretty fucking crazy. It's a, you look at it like through the camera and the camera reads it and translates it on the screen.

Speaker 2:          01:04:46       It's ridiculous. It's a free APP. No, I think it's like, yeah, it's free as a free native language packs that costs like, like if you wanted a different language, it's like five bucks or so. That makes sense. That's smart. By the way, by the way, if you are playing video games on your iPad or iPhone right now, he a has all their games for 99 cents so a lot of these games are like $12 for your iPad or iPhone or 99 cents right now. So really for how long? Till through Christmas. And they have like sin city deluxe in like Madden, which is like $13 usually on the iPad. It's 99 cents. Right. So jump on it.

Speaker 5:          01:05:17       So what, what is this like a promotion? Yeah. Yay. Yay. Christmas sale. So wow. So a lot of these games, if I'm mad download like five games last night and it costs me $5 and they would normally cost me like 50 or something. What does a game cost? Like if you go to bio or call of duty or something like that, what are they called for? Like Xbox and stuff. It's like uh, anywhere from four 59 to 69 new. Are you shitting me? Yeah. God, they used to be what? Like 39. So yeah. But I'm thinking about back in the day when I was a kid and fucking Atari Games, I never was really an Atari kid. I never had it, but I remember them. Yeah. My parents bought me, the bootleg system was called the Cam on one from Sears and fucking Atari game. Yeah, yeah, yeah.

Speaker 5:          01:05:56       Even back then, like what? Like how many people, like you talk about teams that people get on, how many people were like Sony playstation or Xbox three and they'll like argue back and forth and a police station soaks and it's fucking, well, back in the day I was a tare versus colecovision. Yeah. Ended up versus Sega. There has to be a competition or it would suck. It's not just, it has to be competition. It says everyone has to pick a fucking side and stick with it, you know? Yeah. Nobody can go, this is better on yours, but this is better on mine. Yeah. Nobody's like that reasonable. No. Everybody wants to be with the right cell phone carrier to you ever noticed that? You know, if like you have Verizon rights, fucking Verizon's a shit, right? All these idiots out there in 18 to, what the fuck are you doing?

Speaker 5:          01:06:37       Like they're like, want to join you in on some fucking Verizon clan? You like sprint. Are you with sprint? Sprint's good. We're sprint were sprint bros creates cricket. You're going to get cricket. You're going to lie. There was a bunch of those little companies, right. You know what bugs me the most? Those metro pcs bucking commercials. Oh yeah, yeah. The commercial racist commercials in the history of prices. Commercials. You know what the fuck man. Somebody, if I ever meet those Indian boys, I'm slapping them in their face trying to wake him up. Wake him up. What the fuck are you doing to, they sold us a commercial play it or you've never seen the metro pcs? I haven't seen it, but I think people should know metro pieces. There are hard here. They are horrible people in Canada. Don't know them. I don't think mobile ones are brutal to you. Remember the boost mobile ones were dudes would be like, where are you at? Oh yeah, yeah. That was the question.

Speaker 5:          01:07:29       Let me give you the down low on the no, whoa, sweet. Totally money. ECS is offering unlimited talk text in bed. Just trying to be crazy. If this can be through Chad maybe. Okay. But this is obviously on pure common, unlimited nationwide to authors. There's like a couple of them that are okay little. This drives you nuts. Yeah. But, but if you made those characters on stage, it wouldn't drive anybody nuts because they're saying it's a parody. They're not actually used to sell any. This is like one time, it's fine. You know what I mean? Like I understand that they're selling something, but there's selling something with comedy, right. They're trying to be funny there. That's, that's not, it's such a poor, it bothers me. Get that. And the fact that like, these guys don't ever win the, uh, like I'm always about the underdog.

Speaker 5:          01:08:23       This, so those would be the underdogs in the commercial. I think it would be funnier if they won. Like whatever it is, they're, the joke is, you know, okay, I see what you're saying. So they, they end up being the brunt and then they end up being the fucking brunt again. And they keep on being the brand over and over and over. Like when they have like this big fat chicken, one of the other commercials to show 90% coverage. This guy's looking at her like, Ooh. And I'm like, seriously, dude, are you fucking kidding me? I see what you're saying. I see what you're saying, that it's not clever and it's kind of mean spirited. Yeah. It's just like, Huh, look what we've done. Yeah. How obvious. Right? Yeah. Yeah, that's true.

Speaker 9:          01:09:03       My cell phone calls, keep dropping if you had handy is into it and you will find a problem. A sneaked out among all of these glimpses. Snake like an ice lollies. I just laughed. I assume you're on the [inaudible] network. Get Metro pcs and you'll be talking smack on three g but nationwide coverage in over 11,000 cities and towns $40 I'm sorry man. Let Shit's funny. I don't give a fuck what you say, but you know it's not funny. It's the value yet

Speaker 5:          01:09:29       metro pcs is giving us too. We just had that nonsequitor with the fucking snake charmer. That made me laugh, man. Well, there you go. It's fart jokes for Indian people soon. It's not brilliant because they're just trying to sell some bullshit. I think they just made them look so fucking stereotypical. What would you do though differently? How would you make it different if you, if you had that scenario, give them the Mexican accents.

Speaker 9:          01:09:54       Okay.

Speaker 5:          01:09:55       I would've picked really area looking people and then giving them an idea. You can always make it

Speaker 3:          01:09:59       Nazi's. There's no one around to stand up for Nazis. Nazis will be on the shit list for a hundred years until the next group of fucking psychopaths comes along. You know, it's like, I bet for the longest time Nazi jokes were Roman jokes. You know, I'd be shitting on the Romans. Right. But you try a Roman joke today and nobody, you know, what? Are you a fucking Roman? Yeah. No. Like what are you saying? There's nothing, but you hit them with, what are you a fucking Nazi? It's like, oh, that shit's still valid. That's a good one. You zinged me. You know, I mentioned one time they used to say that. What are you a fucking Roman kind of Roman are you? What do you have? That was actually an insult from the movie. The Hustler, the movie, the Hustler Piper. Laurie says to a Bert, fuck, what is his name?

Speaker 3:          01:10:45       The very famous actor that died a long time. The hustler that Paul wasn't Paul Newman, but it was, uh, the guy who played birth, fuck, I can't remember his name. Anyway, she goes, y'all realm, but it's maybe in the 70s, Nazi. He was in the, as it was in the 60s, so it was 1963. I believe that all of that movie, you know, 60 or 63. I don't remember. I should, I should look it up so I don't give anybody any misinformation and I should look it up just cause I should need to know the name of the, uh,

Speaker 12:         01:11:14       the dude was an amazing actor. It was it.

