Speaker 1:          00:00:08       The joe rogan experience. Joe Rogan podcast by night. All Day.
Speaker 2:          00:37:42       Tell him to let her watch him on TV and then she'll probably like him. Compelling. All right, I'm going to have to call Hudson tonight and be like, Yo, remember that technique I told you about kind of brushing or pick a new plan. New Plan. Uncle Joe wants her to watch the show first. Trust uncle Joe, the pussy buses coming. All right. They're loading it up right now. Once you get on TV, they're gonna want to broad brushed her tits up against you. Then it's wait for them to brush up against you. That sexual assault, nobody complains about that. Sexual assault is not a guy. Lives there were complaining about a girl brushing her tits up. I remember the first time I saw up a skirt was incredible. I wasn't earth space science class. I was an earth space science and I would, oh this, there was this one Colombian chick that was so fly, like always came done up, was the first one to be wearing heels in school.

Speaker 2:          00:38:33       How old was she? Well, we were both 14 so we were both 14 she might've went 15 heels. She's wearing heels. And I remember she had this like hounds tooth dress on and I was just like, Yo, her legs look like fucking Hams right now. Oh, they look like Christmas. Honeybaked Hams in there. And I could not stop looking. And I remember she turned to me, smiled and just open her legs and nodded. And I was like looked. And it was just peach fuzz and bear. And I was Oh, oh, lifelong. She had no underwear on, no underwear. Oh my gosh. She's just flashed. I was 14 and I was a site and I was, I was like me. She was like, yeah. Wow. Oh, like this is for you. Yeah. And I was, I was cooked. I couldn't talk to her. Yeah. That was my first time.

Speaker 2:          00:39:19       That was my first time. But yeah, so maybe I should've just told Hudson just keeps staring be at the right place at the right. Yes, Darren, they call that I rape. Oh Yay. You're going to have to issue on it. And you've been reading the New Yorker? No, I just, I like to, I like to read super progressive websites where they're just out of their fucking mind. Yeah. Mostly people that no one wants to fuck and with they're trying to do is establish these parameters for what is appropriate and not appropriate. It's mostly against, that's the thing though. That doesn't work because like I'm all about women's rights and and ideologies and all those things is I just went and did a whole piece in Japan about why the birth rate is declining there and I was like championing the fact that we've asked women to go into the workplace but then not redistribute the duties of home and childbearing and child bearing and it's just like we have to redistribute the duties that are traditionally left for women because they're working now we all got to share but then when you just have rules of like don't do this and don't do that, you're not really understanding the relationship of like men, women in society.

Speaker 2:          00:40:25       You just setting weird ass rules then make everybody upset and uncomfortable. It's also like who's setting those rules like? Like one of them is about drinking. Like they're saying that men and women when they're having sex with this, it's hilarious blog that I like to read occasionally and they were trying to say that if men and women, if they're both, if they're drinking, if you're drinking and you have sex with someone, it's rape. Including if a woman is sober and the man is drunk, if the woman has sex with a drunk man, she's raping him, which is raping her fucking hilarious. It is hilarious. Might be my favorite position. If you're drunk, you ain't me being drunk. Her being sober. That is my favorite position. The language that they use is that they, if you're drunk, they put you in a position where you cannot consent.

Speaker 2:          00:41:07       You're not able to consent because you're drunk. I mean, which is, it's first of all, it's rude towards women because some women have to be drunk. They, they, it's a strategy. They did it on purpose. They want to be drunk so that they could deal with the fact they're gonna let some dude fuck. A lot of dudes are annoying as shit and women get horny and I'm like, God, I want someone to hug me, but I don't want to just idiot wrote a few shots back. Yeah, we all do that. Good. You know, I can understand it if it's like in fraternities and sororities cause the, the rampant rape on college campuses is insane right now because at that age is, nobody knows what the fuck they're doing. But like adults, man, like who's having sex without drinking? Seriously, like without some combination of like wines and extra, we'd like nobody's having sex.

Speaker 2:          00:41:56       Sober people. We would be Japan sober people. You know, people who are like in the program or something. Alcoholics anonymous people. What do they do it half are terrible sex. Go jogging, get a runner's high for us and then hold the breath, go spinning and then smash. Then you've got to shower. I ain't gotta shower twice to fuck us up with that. Yeah, I know the high might wear off it as hard as the last, nearly as long as I get an edible. Nice cold brew coffee. Six. I would get crazy logs. Y'All and dry mouth with coffee. Sex are real for real. If I drank coffee and then she sat on my face, there would be serious problems. If you drink coffee, your com is more likely to get a girl pregnant. Really? You know the sperm is more active drink, green tea, green tea, green tea, even.

Speaker 2:          00:42:49       Same thing. Caffeine. Oh really? Yeah. It's caffeine. Caffeine makes your spur more act. That's for real thing. It's safe these days. Yeah. Nothing's fucking nothing. Say Nothing. There's nothing safe including sex. Yeah. Let's say so point being, don't tell this 12 year old kid the wrong shit because as the climate becomes more and more hostile towards men, it's going to get crazier and just really think we should ask the twitters and just don't be last Twitter ever. I'm just going to correct this and tell him that. Just stare and tell her to watch your show. This stay offline. They'll Google your name. Doesn't exist. Just don't exist. Keep moving. Oh Man. Well the things that usually get away with when you, you know like natural boy, girl type shit. It's like, you know, people take offense to that stuff now. Yeah, like the anti whole thing. When he just, he goes to grab her.

Speaker 2:          00:43:41       I don't remember. Annie Hall. Oh, it was great. He's like, it's like Alvie singer as a kid and he goes to kiss the girl and the girl's like, even throid talks about a latency period. Alvey yeah. I don't remember. It was so long ago. It's a great movie. Woody Allen, who's another one. Yeah, free Bao bad example. I shouldn't put myself down. I'm saying this is just change the subject. Have you ever seen those photos of woody Allen with the girl on his lap when she was a little girl, when he was the dad and then the two of them together. The girl who, the girl, his wife, his wife now while she was sitting on his lap when she was a little girl at a basketball game and then many years later she sitting next to him holding his hand as his wife. It's crazy. That's like, Yo, it's weird. Well that's seeing it laid out like

Speaker 3:          00:44:32       that. It's very dark. Yeah. It's like there's one thing, like if you hear about it like, well maybe he didn't spend a lot of time with her, but then you see the photo with her on his lap at a basketball game and then, yeah, and when you see them now, even in the garden, it's bugged. It's totally bugged out. Yeah. It's amazing that he goes out with her. I mean that's got balls. Yeah. I mean that guy's got crazy, but oh, do you need to be ringside or we're courtside that fucking pad with your daughter or wife. No, stay in the nose. Claim with your daughter. Wife didn't even go watch it. They have it on TV. Yeah. You got Voodoo. Yeah. What the fuck, man? It just seems like it's not a good move, but I don't, I don't think people care. He got no fucks given that dude.

Speaker 3:          00:45:13       Just like, I think because of that, people don't care his, I mean he just got a big deal. I don't know if you read about it like Amazon, Amazon TV deal, like he's doing like shows for Amazon now and even a thing, you know. Well, he's a really good director. He writes and directs a new movie every year. Have you ever seen how he does everything to, he does it all. What a typewriter. No Way. Oh yeah, there's a video. See if you pull it up, Jeremy. There's a, it's a fascinating video. Woody Allen explaining his writing process. He's got a video, he's got a typewriter, and then when he does changes, when he doesn't need sort of a change to one of his scripts, he cuts a piece of paper out and fucking tape sits down over the other. The other place, I mean him and him and Wes Anderson, definitely my favorite director. What do you owe on this typewriter? It's kind of fucking weird, man. I mean, I think this is one of the ways he avoids the Internet. This to stay sane

Speaker 6:          00:46:07       house was always full of clarinet, reeds, ovary. It was 16 still works like a Tang and it's a German typewriter and it's an Olympia part of, Oh, I've had it my whole life. It cost me $40 I think the guy told me it would be around long after my death and I've typed everything, uh, that I've ever written, every script, every New Yorker piece, everything I've ever done on this type of that. You used to have a metal piece on top covering this, which I lost 30 years ago. One advantage obviously to the word processors. You can electronically cut and paste. What do you do when you have to cut and paste? If I'm typing something, I have my scissors here and I have a lot of these things, these little stapling machines. So if I'm typing something, I typed in the box like this and then nobody is really tighten this stuff. It looks terrible on the page, so I have to type it because I have arrows and all kinds of things, but when they come to a nice pile, then I cut that part off and staple it on to something else. With this time it's very,

Speaker 2:          00:47:30       but it works. It works very well. She is due to sewing screenplays, so there's no problem. How bizarre. I fucking love it. I love this dude, like he's just so I, I'd may be people if you can't forgive any of that shit, it's really, really fucked up. I think people just aren't shocked by it because he's such an idiosyncratic, like, yeah, we are dude. It doesn't say nothing with him, surprisingly, but yeah. Well have you ever seen his old stand up? I have a record of his, like an old, old record of his and eh, I mean he, it was pretty good. I mean, it's like weird stories. Well, he's a fucking pervert man. Yeah, he was always a perfect this some stand up, uh, his, you know, that stand up black and white is near a staircase. It's from old, just look like rare woody Allen stand up. All his work is about sex and psychology, all of it. And we'll, with the younger women, like that's like a theme. He's a pervert man. Just like, it's a rare old piece. That's it. That's it. 65 rare. It's, it's hilarious. Listen to him talk.

Speaker 6:          00:48:39       Is he the Bot, which is this fabulous museum? A Bot. And when I was younger, I used to hang out a lot. The museum in search of a meaningful social relationships. He used to look for girl I saw on the rural one, uh, no by Rubens, but a real succulent nude huntress stabbing to death, a war hawk. And I got very emotionally involved with the painting, you know, to God had to restrain me. Alright, the lick, some of the oil off the cap.

Speaker 6:          00:49:23       Hi. Where is it that I could meet the kind of girl that would pose for that type picture I had in my neighborhood, there's an art supply shop that deals and offbeat things that I read it down there and I get the name of the oddest bottle off the wall. I call her up and I came on very strong like an artist was it, you know, I used a lot of 30 autistic terms. Like right though I was just adorable and we agreed on a price, you know, hung up, rest stop and my Ma Baret you know, Harvey's Bristol cream on the hair too much. What I want to be now or later. There's a knock on my door and standing there, just this fabulous woman, really sensational. I let her in quickly, you know, and I locked the door with my police, lock the media and I said take off your clothes right away. Cause I don't know much about art but I know what I like.

Speaker 3:          00:50:28       So he was, he was always a creeper bed glance. Yeah. Graybar. I mean, which is getting bad, you know, she, yeah. Yeah. It's like that cause view that Spanish fly bit. You what I mean like that was toweling Cosby Spanish fly better, right? Or easy. Yeah. Yeah. Especially in that. And he talked about that on more than one occasion to, Oh did he? Yeah. There was another thing he talked about Spanish fly in an interview who's doing an interview with someone and he talked about Spanish fly like yeah, like a casual interview panel, like do with doing panel on a talk show. And he talked about Spanish fly. Oh man, there's like a part of his daily life. I mean I wonder what the fuck that was. You know, he wouldn't it, we're never going to hear it from his mouth, which is too bad because I mean, it's almost like you ever see that documentary iceman portrait of a serial killer.

Speaker 3:          00:51:19       No, no, no. It's on Netflix though. I know what you're talking about. Hbo Documentary where they sat down with this guy who was a notorious Hitman, killed a bunch of people and uh, they sat down with them and talk to them about how it started. Who was the first person he killed, what was his methods the whole day. And you hear the guy talk and you hear his mentality and you understand where he's coming from. And he's like, Whoa, well you can just have a glimpse into the eyes of a monster and you kind of understand like how it went down because we don't often get a chance to hear interviews from serial killers or Hitman or whatever, but to have Cosby sit down if he ever did come clean, like maybe if they ever did arrest him and he came clean and he started talking about what he did or why he did it or you know, he couldn't help himself or what was the impulse?

Speaker 3:          00:52:06       I mean, I can't imagine because I don't think like that, but it's just like maybe, I don't know, maybe some people think they're entitled to Shit. That's where, that's where my bay, right? That's my guess is that either you have an impulse you can't control, but then it's like how can you have so much control in the rest of your life? Then I start to think like you have self control, so it can't be an impulse thing has to be that you feel you've justified this in your mind and you feel entitled to this. Well, he has always been a guy that's been known as being very arrogant and a guy who is my manager met him and he had a very, very poor opinion of him. He said a meeting and be like, treats everybody like, like he's a king and like you're supposed to have like a certain behavior towards him.

Speaker 3:          00:52:47       You ever see the shit on a lot of younger black comics to always give him a heart. All of them. Everyone is dirty. Chris Rock, Eddie Murphy, that famous bit that Eddie Murphy did and uh, Eddie Murphy raw where he talked about he had to call up Richard Pryor cause bill Cosby saw his standup and called them up and chastised them, you know, and he called up Richard prior to ask him for advice and bill Cosby because due to people laugh, did you get paid? Well tell bill to have a coke and a smile and shut the fuck up. It's like, it's a famous famous quote fryer. I'm prior as the greatest, the greatest. I feel like there's two greatest of time is I say,

Speaker 7:          00:53:26       I always say that Sam Kinison was the greatest for one year, for one year. I don't think anybody was ever stronger, like, especially like in that time in 1986 or 1987. But he didn't sustain it. He just kept doing coke and fucking is material went way downhill. But over the long term period of time prior was the greatest and the most influential has everything. Everything that most people would hide. He just, it was onstage and just said it, but he had nothing to hide. Well, he was a unique, unique talent man. Very unique guy. And you know, he also was like unique in that he would be real honest about his drug use and how the drug use thing was very, that was a very big part of, uh, his standup, you know, especially after he tried to kill himself, you know, and you never felt like he was telling jokes.

Speaker 7:          00:54:11       It really just felt like you're just a naturally funny guy talking about tax shit. Yeah. Yeah. It never felt like set up punchline, so, yeah. Yeah, yeah. He was just talking, you know, it's even though you knew he was, it's calculated in his delivery, it was just so comfortable and it's hard to put it in perspective because back then if you listen to like some Cosby or Richard Pryor rather from like 1981 or something like that, it's hard to put your brain back in 1981 because it was just a different time. The world was young. It was, it was, uh, the media had not had the same influence that it has now. Do you think your show, do you ever wonder like, man, like your show going to get fucked with cause it's censored. And do you ever think like maybe it would have been a free or shelf?

Speaker 7:          00:54:57       I did it on showtime or HBO. Did you, did you think about doing it? He got offers from other production companies and um, you know, th the thing for me was I wanted to fight this battle. I wanted to take the story to network television and be like, let's, let's take this to western Michigan. You know, like going to cable, that's preaching to the choir. That's me, you, Randall, my friends, we all watch showtime, Hbo, Netflix, and you know, I have the vice show, but there's a huge difference in the people we're going to reach with this show and my vice show. Is that vice show the same name? Uh, no. They change will. They bought the name from vice, so yeah. Yeah. I had licensed it to vice and then it got, it got sold over, but it's cool. Vice was awesome because ABC needed the name.

Speaker 7:          00:55:44       Who was the name of the book? And for me it was, they were, they were calling it four East Orlando Far East Orlando. If it wasn't such a bad name, I wouldn't have taken the name from the vice show. But you know, Shane and those guys are great man. Like they really did me a favor. They didn't have to do that. And that's why I fuck with them. So heavy chain doesn't give a fuck. He doesn't give a fuck. He does it right. The gentleman he doesn't give a shame, does the right thing all the time. I love that dude. Yeah. And like I'm very critical of, you know, my experience with 20th and ABC and those things. But you know, I would never lie. Like I'm not just here to say nice things about vice. Those dudes always come through. They always do. They do the right thing. And so we put it ABC cause I was like,

Speaker 5:          00:56:24       we can't go out with foist Orlando. Then name was fucked. Sorry. What does that even mean? Yeah. Chinks life dreams. Where dreamworks, the Chinks Life. Did you grow up in Orlando? Is that why they did it? Yeah, I was, yeah, it takes place in Orlando. Yeah. Like in the 90s was a dark place. Dark fucking place of people don't know. No, you got Disneyland and then everything that's outside of Disneyland. Yeah, very strange. I took a lot of ecstasy to stay positive in Orlando. Yeah. But you, you, when did you develop the New York accent? I've always been, I've always talked like this. It's super fucking weird. It's just in the hip hop. I think it's hip hop. It's watching so much basketball and then, um, it's, my parents don't speak English at home, so my English is learned. So in a way I think it's, you choose the way you talk, right?

Speaker 5:          00:57:20       Yeah. So it's, it's just I want all I did, I just watched gangster movies, listen to hip hop, watch basketball, and it's, it is what, it always sounded like this, that's an interesting man. Even when I was in Orlando, I remember there was a few girls, I was like, you from Brooklyn? And I was no, DC, Orlando, Pittsburgh. And then I've been in New York, Brooklyn for like 10 years. So then it just crystallized it for me. How long you allowed to like how long do you have to live in a place before you accept the accent? You know, man, like if you're from Georgia and then you moved to New Jersey and then you start talking like you're from New Jersey and then you go back to Georgia, they're going to go, what the fuck man. But you know, even if you spend a week in Atlanta, because in Atlanta you just tossed it just sizzurp and alcohol all weekend and you get, you get so faded that you, I end up saying things a little weird.

Speaker 5:          00:58:14       Even after a week in Atlanta, you get that fucked up and you go to Atlanta. I get fucked up in Atlanta, shouts to cooker, arrived my man cooker. We went out to follies last time. It was awesome. So sizzurp that's that shit with coding in it. Yeah. Yeah. But you know, asap yams pass like a week ago, nobody knows who was. There is no closet that the guy asap yams who's like the architect and the whole asap mob. This rap group from Harlem and he, he had this crew called the blackout boys and it's like my boy Ron had a tee shirt, did the logo blackout boys and then they had a crew, they got a podcast but he passed like a week ago known scissor, Xanax Dude. And so they haven't, they haven't said why. No, they haven't said why. Yeah, but you know, after it happened, I know a lot of friends of mine were just like, do we, we can't, we got to chill with this. We got to chill. Well that codeine syrup that, I never did it, but I did do some nyquil. I've talked about on the podcast before I took nyquil once I was really sick and I got that old Nyquil does is like in the 1990s and it was wonderful. Nyquil like, like

Speaker 7:          00:59:22       the real Nyquil, like all type of thing. Yeah. There's coding and some others to no, I didn't get, I mean I took what the dose we were supposed to take. You'll jelly leg. Oh good jelly legs. Yeah. I was just lying in bed like the world was giving me a big beautiful hug. All love. It's just like, it just felt so good. I remember, I'll never forget, I remember thinking this stuff is a wonderful, yeah, it's like drinking Robitussin and in middle school or high school like I would just drink Robitussin fun. Really? Yeah. Cause he couldn't get alcohol. Me and my boys is drink Robitussin. So how did it get into the rap community syrup? What happens? Is there a Houston, Houston and Atlanta. It was southern. It was just, you know, pimp c rip like pimps. He died too. But I mean those dudes all the, yeah, the rap a lot.

Speaker 7:          01:00:07       Dude's cause it was, slows your heart rate down. That's how he died too. He died from syrup. He thought yet yams we don't yams, nobody has confirmed so nobody knows how he passed. But like people know how old was he? It's like an epidemic. And was he 26 yeah, it was like 26 I think. I'm not sure. I'm not sure. I'm dad's fucking sad. [inaudible] pass. Yeah. That's why I, I mean I'm to, I'm not joking about it anymore cause it's like, dude, it's, it's pretty dangerous. It'll creep up on you. You think it's just cough syrup, but it'll creep up on you. Wow. Damn, that's a, that's a thing that with the youth today though, I know there's a lot of kids that are drinking concert. Yeah. I mean I did it growing up and like not all the time. Maybe like once or twice a year or something like that.

Speaker 7:          01:00:51       But I never saw it as that serious. But now you start to see people pass. It's serious. You know what? They're doing it probably every day. I'm not sure, man. I'm not sure. It's just not to be fucked with. I don't, I also people, people in Philly like, um, Harlem, you'll do pancakes and syrup, which is you dropped his annex into the coding and then that's just good night. Oh my God, that's good night. Hallmark. God, we were in Boston two weeks ago and there was this dude that was fucked up and he was standing in front of the w hotel and you're standing there, his pants were like half falling down and it just kept leaning forward. Like he was going to face plant. Well, like he's gone down, he's going down and he would catch himself and then he moved forward every time he did it to the point where he was in the middle of the fucking road in the middle of the road, which is fucked up.

Speaker 7:          01:01:41       And then leaning forward. And uh, my friend was like, he's drunk. And I'm like, that guy is not drunk. That is some next level shit that's not drunk. He's on some pills or something. Yeah, but he kept leaning forward and then we're like, he's going, hey face plant catch himself. We've watched him like five minutes. My friend was like, rescue him. Like what you rescue him? Rescue in that guy. You rescue that guy. You got to go back to his childhood figuring out what the fuck made him the way he is. You got to take a time machine, kill his parents. You know there's a lot of shit. You got to do the rescue that guy. Yeah. It'll put the hooks in you man. Like that's why you know kids don't do drugs. Right.

Speaker 3:          01:02:19       It's rough man. It's rough. You not need it. He just smoked some weed kids. Yeah. I don't even really smell weed that, I mean I smoked like three nights ago, but I've stopped having weed in the crib. Like I'll smoke when I'm out. Yeah, because I noticed like I went to some family shit and I noticed I would get really depressed when I smoked. Like it would just make me depressed and I was like, this really is a depressant, so I just switched socially now in one way or the images or like when I'm really sad about like when there's something going on, I feel like I don't have my own self control. If I'm smoking weed, like I can control the emotions and block things out, but once I smoke weed it's just like it'll hit you or makes you hyper aware. Yes. Super aware.

Speaker 3:          01:03:01       Yeah. Wallow in it sometimes does. That's not protecting you, but I always feel like it's the, the plant is trying to let me know all the real shit that I'm dealing with and all the dangers of all the shit that I'm dealing with, so it makes, that's like what we're paranoia comes from when people say weed makes me paranoid, I'm like, we should be fucking paranoid. If you're paying attention to the weed is doing, is letting you aware, be letting you become aware of all the variables that may be pushing aside or putting blinders on. Yeah. I think I just been stressed lately. Lot of shit going on in my life and I was like, Whoa, I can't, I can't look at all of this 24 hours. I have to be able to just get away from this. And when I was smoking weed, it was like, Kaboom, you just unmarinated in it.

Speaker 3:          01:03:47       And I was like, I can't, I can't do this man. So I got it out of the house now just smoking when I'm with friends, you know. There you go. That's a smart, well I think I'll everything you know, you need moderation. You can't just be high all day every day. The [inaudible] breaks before too, right? Oh yeah, I take weeks. Yeah, I'll take weeks off of it. Yeah, go on vacation or whatever. I always take breaks. I've never gotten anything from smoking it, but like I, I've been like eating it on occasion and I know some shit right here and we'll get you something totally different eating. I feel good eating it, but okay. It just doesn't do it. Well, I'll explain it because I've explained it a million times in the podcast. People are tired of hearing that, but when you eat it, it's a totally different drug.

Speaker 3:          01:04:27       When you eat it, it's process by your liver and it becomes something called 11 hydroxy metabolite. It's four to five times more psychoactive than THC, but it's a totally different truck. It's way more powerful. That's why you can have like one of those little 75 milligram THC candies or 15 you can have a 15 milligram THC few Joey Diaz. He go with the 75 those 15 milligram THC candies. It just give you a nice feeling, man. Good. Yeah. Relax there. You ironman with the eating because I, if I eat, I bug a bug out. I can smoke. It's about the volume. It's like, yeah, you just got to get the right guy to sell you the right amount. That's what it is. The right amount is, I feel like 20 milligrams is good and you get crazy and you start getting into 50 and 75 and you know. Yeah, I know dudes who go deep, like my friend Joey,

Speaker 7:          01:05:18       he goes deep. Joey, Joey chomp to one fifty's. Wow. Yeah, yeah, yeah. He'll have panic attacks and she didn't have no planes. I ate, I ate at Endeca beef jerky and I ate the whole jerky myself was supposed to be the host between like a couple people and I thought I died. I woke up my brother, I thought I died and I was like, I'm a ghost, I'm going to take me to the hospital. And he took me to the hospital and I'm doing jumping jacks in the emergency room, straight jumping jacks. And they're like, why are you doing jumping jacks and the er? And I was like, I need to feel alive. I need to fill up my hardest money. I was say if I stop, I'm going to die. And the doctor rolled up on me, he's like sand, there's nothing I can do for you.

Speaker 7:          01:05:59       I could really, really, I'm doing jumping jacks. And he's like, I have one piece of advice and I'll go, what is it? He goes, if you're going to eat, we'd don't be such a pussy about it. Oh but it got me sober because I was like, yeah, the doctor woke me out of it. Cause are all of a sudden I was like, wait, so you say I'm not going to die? He goes, you're not going to die if you stop being a pussy. Just stop it. Wow. This doctor said this. How old was the doctor do? He was like a 40 year old white dude. Really cool in Houston. I did this on the road in Houston. This Hughes. Yeah. I don't need to be in Houston and Atlanta. I just get in trouble. Why Houston? Atlanta. You could, you could just get it. I had like a leader of something.

Speaker 7:          01:06:41       It was some sorta like vodka, some shitty Varga. We rolled up to the smoothie king cause you could get the smoothie king drive through, dump out, have your smoothie, fill the rest with vodka and scissor and then just goodnight. Oh yeah. There's a place in West Palm does the, the uh, Improv in west palm was right. It was connected to this place. I forget the name of it, but they used to have these drinks that were like, ah, it was like, like a, a wake of frosty. Like, what are those things like, you know, you'd get them at the movie theater but you know they're fucking those slushy. Slushy, slushy. Yeah, but there were alcohol and there was one called call a cab because if you drank it you need to call a cab. It was like five drinks in one drank like five drinks worth of alcohol in one of these fucking things and you would drink it and it, you didn't know what you were drinking because it was so sweet, like as you were drinking and it didn't feel like that is a slight alcohol taste to it, but good law you but make some fucking poor decisions after that shit.

Speaker 7:          01:07:40       And when I was younger, you just get up, you'd be in another town, you're like, Yo, we in Atlanta, we yo, let's, let's wild out. Twice a year I would just be like on my lights out, dance shit. Right. It's time to do the lights out. Dance.

Speaker 7:          01:07:56       That's when you call blacking out. Sean Merriman played for the charges. He was doing the crazy like lights out dance and I was like, Yo, I'm about to do the lights out dance. But I had the chill man after that. I was like, I'm too old for this shit. Very, very bad for the liver. Yeah, that's the, you gotta get out of hand. Randall's gotta go. Wouldn't let them out. Okay. Thanks so much. Thanks Randall. Man. Appreciate it man. I gotta pick up my daughter. Keep it where it sir. I'll talk. I'll talk you soon. Thanks so much. That should be on the show of course. And good luck man. Good luck with all that North Korea shit to son now. He's the best dude for real. The fucking hung out with them before the show. He's a good dude. Yeah. That's a crazy position to be in, man.

Speaker 7:          01:08:41       To play a dictator that gets banned that Sony is so scared of it. They pull it out of the movie theater. Yeah. I have so much respect for him because you meet a lot of people who they'll do anything for a role. He's like, he was trying to like give his roll back and be like, I don't think I'm the one for this. That's amazing. I was like, I've never seen honor like this from anybody in this industry. So I mean he's, he's for real. Yeah. That's amazing that he made that decision. Well the, it's amazing that the movie freaked them out less than the show. Yeah. You know, one of them was just social pressure or social responsibility and the other one being like, look, you're a real legitimate threat where Sony's hiring arm guards. Yeah. And it seems like he freaked out about that less.

Speaker 7:          01:09:26       Yeah. It's his, it was, for him it was more morals and values and like representing, he used to be like an Asian studies professor. Really? Yeah. There's kids. Like I'll put up a photo of him on Instagram and they're like, Yo, that's, that's Randall Park. He was my professor or my graduate assistant or whatever. Wow. That's hilarious. Well, he seems like a very educated, measured sort of a dude. Real smart. That's a wild, wild thing, man. To be a part of like one of the most controversial movies and all of history. I mean, if you think about like Hollywood movies, probably the most controversial, it's right up there with passion of the Christ. Do you remember passion of the Christ? That while there was that one and there was the other, the other one, um, before passion of the Christ Willem Defoe played, he played Jesus in a much more controversial film a long fucking time ago.

Speaker 7:          01:10:16       I don't remember that one. Do you know what I'm talking about? Yeah. I don't remember the name of it, but people were mad as fuck because I think he had like a sexual relationship with Mary and the movie or something like that and people last temptation of Christ. Oh yeah, yeah. People thought it was blast from this and the, but it's still, the thing about Christians is, man, you could piss them off and they'll fucking angry and you get a few death threats, but very, you know, it's not like someone drawing Muhammad like this Charlie Hebdo thing. Like that's the most fucked up of all the religions to to pick on pick on the Muslims and they do dark shit. You start to see a pattern though, right? It's like people, whether it's France or America, people in like a position of power feel like they're entitled, right?

Speaker 7:          01:11:02       We talked about entitlement. They feel entitled, like I have to be able to make fun of everybody and it's sometimes it's just is it worth it? Well, they think that you got to change the culture. That what I think a lot of people think that it's almost a responsibility to take those risks because at the end of the day, anybody that is angry to the point where they want to kill someone for satire is in the wrong and you have to protect it is you have to protect free speech. And the only way to protect free speech, like Sam Harris felt that everyone should have like unilaterally across the board, like every magazine, every newspaper should have published all those, those images. That's the only way they could ever protect free speech. How do you feel? Well, I'm not a publisher so I don't, I see Sam's point, but I also see the point of people that don't want to publish it because they don't want to risk their lives for something that they feel like is a story they're reporting on.

Speaker 7:          01:11:55       They don't feel like it's their responsibility because they didn't create those cartoons, but they feel like this is a story they're reporting on. They can report on that story without putting them in danger. This is not like the first time someone's been killed for making a drawing about Muhammad. I mean there's like, there was some credible threats against the south park guys after they did those, uh, episodes of South Park where they had Muhammad in like a guy like was in a teddy bear outfit and then they put them inside a truck. He was talking from inside a truck and they still were getting like credible threats. Like people are saying that we're going to kill him. I absolutely believe in everybody's freedom of speech to say whatever it is you want to say. Like you have to have that right. But you'll also have to know there's going to be repercussions.

Speaker 7:          01:12:42       You can't expect and you have to calculate it. Right? Cause it's also, do you have to like, did we have to make the interview? Did that movie half to get made? I didn't see it. So I can't say if I saw it and it was as funny as like team America, I would say. Yeah, I love team America. You know, I don't even think North Korea's mad about team man. So I fucking love team America. But that's why the South Park dudes, I loved them because they have a purpose and there's something they're really saying and it's like everybody can be in on it. In a way. The interview is not nuance like that. Randall does a really good job for, I'd say two thirds of the movie humanizing Kim Jong On. But then of course like the writing takes a dive and it just is like, okay, here's everything we expected to see in this movie.

Speaker 7:          01:13:28       They had a wrap it up, probably wrapped it up Hollywood proper. And you know, it's for people who are in oppressed countries or an oppressed ideology, it's why continue to poke them. You know, they're gonna respond badly. You kind of have a responsibility to like, people just don't fucking poke that dog. And if you're going to poke that dog, you got to have a real solid, legitimate point to what you're doing. Yeah. There has to be a positive social benefit to like what's going on here. It's not just to like create a stunt to flex the muscle of freedom of speech. Yeah. There's like deep responsibilities that you have when you taco any like Railey super controversial. This is some deep responsibilities. Yeah. And that's one of one of the deepest, right? Yeah. Just even me and you, I probably have the legal right to say whatever the fuck I want to say, but like, why would I say that to you?

Speaker 7:          01:14:22       I respect you. Do you know what I mean? You know, we do it in our daily lives, you know? I mean, I can see if they, I don't know, the Charlie Hebdo thing. It's strange because what, what it was really fascinating to me was not, not necessarily, I mean it was horrible what had happened. It wasn't necessarily surprising, but what was surprising to me was like super progressive people who were criticizing the, the magazine saying that this is in response for racist cartoons and they were almost justifying it in the way they were saying they weren't justifying it, but by focusing on what they felt was racist cartoons instead of like, Hey, well so what, you don't assassins stormed a magazine and shot people and you would get a grocery store. Yeah. You guys are looking for Social Brownie points by trying to be like the most progressive sensitive, non racist people alive.

Speaker 7:          01:15:17       Like it's like it's, it's, there's only one response. The response is you should never kill someone for drawing something. Absolutely. Absolutely. My, you know, I think what the articles is, I fully agree with you. There's, there's no justification for any of this radical fucking stuff. Do you know what I mean? Like, you know, I don't even connect it to Islam. I think it's a cover and it has nothing to do with Islam. It is. These are just people on their own doing wild, crazy, aborad behavior. My thing is, is as the rational people in the situation, as irrational people in a relationship to these radical movements, it's just why inside it, it's not worth it. You know, like we have to be better. Right? But when does it end? I mean, how do you stop that sort of behavior? Do you kill everybody who thinks like that?

