Speaker 1:          00:00:00       And
Speaker 6:          00:36:19       Yep. They can sense that they, that if they have cancer, you know.

Speaker 2:          00:36:23       Right. Well that's. Maybe they can, you know, maybe we don't. They just can't communicate. Yeah. You know, but dumb dogs, you know,

Speaker 6:          00:36:31       it's funny when, when, when the doctor is asking me if it was black and I'm like, I don't know, it's like very dark, dark brown. He goes, well dark brown and black is completely different and I'm like, it's not really different. I'm like, do you want me to take a photo of it? He goes, no, that's not necessary. Like, well are you talking about $10,000 difference? Like if I say no, it's black, or are you gonna like make me go to the hospital and do all this shit. That's why I just don't get doctors, you know, that's like,

Speaker 2:          00:36:54       while he's just probably tired of people, man. Do everyday deals with people that are broken. Could you imagine what that'd be like? That'd be like psychology. I was a psych major for awhile in college and I was thinking like maybe there should be a psychologist. I give people good advice and then I thought about it and I was like, you're going to be dealing with fucked up people every day. Every day you're on fucked up energy and the best you can do with these people is make them not fucked up. You know, that's the best you can do, but you're not getting any fucking happiness and joy and excitement and all powerful feelings all day. Creativity, you know, you're just dealing with fucked up people and some people want to do that. Some people want to help you, good on you, good on you. But man, that would have to be a fuck

Speaker 6:          00:37:34       drag. And also in La, I think it's completely worse, like if

Speaker 2:          00:37:39       so self indulgent out here. Yeah. And plus there's just so many people, so many people and so many people trying to do something completely unrealistic. Right? How many people out here want to be famous, you know, and I live out in the burbs and you run into people and you don't think that they're the type. And then as you get to know them, you find out, oh, I came out here to be an actor. It didn't work out. And then I got into plumbing, you know, hey, you know, I was wanting to be an actor. I always wanted to do this. And how'd you get your spot? What? I always wanted to do that, man, how'd you get? How'd you get on that show? I just wanting to do that. And you find out that like literally like, you know, the percentage of people that move out here for even in the back of their hand, they have some weird show Biz dream.

Speaker 2:          00:38:14       It's like fucking 60 percent, you know, that's a completely unrealistic number. If you think about how many people there are out there that actually become famous from acting, especially acting man, I mean it's fucking who. Who's to say you're a good actor. I had a hell. You get good at pretending to be someone you're not. You know what I mean? I guess there's some methods to it and I guess you know, it all depends on personality, what kind of energy you're packing inside of you, but then somebody has to agree to put you in a movie and somebody has to agree they like you and what are the odds that's going to happen? Fuck man. So those people are. All they have is an unrealized dreams and that fucking chips away at them. And then the reason why they wanted to be actors in the first place, a lot of, almost they're fucked up because they didn't get any attention as a chat.

Speaker 2:          00:38:59       Woo. I coughed up. I was getting broken up with a story. They didn't get any attention as a child, which is the same reason why people become comedians and you know, any kind of extreme attention performer like that, you know. So then you're, you're dealing with like so many people with that. So many people with problems, so many people that need to be fixed. Just give him some pills, just give them a fucking pill and shut them up. You know, after a while I think these doctors could just tired, just tired of dealing with shit. Could you imagine being the guy who has to deal with your problem every day? Every everyday someone comes to them and has got some sort of an ulcer or something. See when it's like a butt doctor. And can you imagine what that is like seeing buttholes all day?

Speaker 2:          00:39:36       You gotta fix him. Nobody's coming in with the perfect butthole and you're like, I have good news for you. Your butthole is perfect. Now if you're going to see the doctor, you got a butthole problem. Yeah. Fuck. You could be dehydrated. It depends what color your shit was. Do you drink a lot of water? Yeah. I had two gatorades already today, so I'm not dehydrated. That's not. When did you know that you could pinch your hand and you can tell if you're dehydrated. If your skin goes back slower, you know, did you know that? That's a good way to tell if you're dehydrated. I've heard about that from dudes to cut weight. Yeah. Yeah. When they know that they're ready to die has been cut so much weight that their, their body's failing on them. Well, a lot of guys who cut weight get really crazy with it. Like um, they'll go down from like, you know, there's dudes that go from well over 200 pounds and they go all the way down to one 70.

Speaker 2:          00:40:25       Tiago Alvarez. You've seen that guy before, right? He's huge. When I stand next to that guy, I can not believe that that guy gets to 170 pounds. He's so much bigger than me. I weigh 185 pounds and that guy is way bigger than me. He is gigantic and somehow know that heat dries himself out totally to one 70, gets on the scale and then rehydrates and gets to like 200 pounds by the time it comes to fight. That's crazy. I don't know how they do it. I don't know how they do it, but it's dangerous and when dudes are like at that last drop, you know what I mean? Tiago has never looked bad, but I've seen some guys look real bad. I was like Travis Luder once didn't make weight for the Anderson Silva fight and he was trying to try and try, but he could not cut the weight for whatever reason and he's walking towards the scale and he was shuffling because he couldn't even pick his feet up and his cheeks were all sunken in.

Speaker 2:          00:41:18       He looked like he was going to die. He's lips were all chapped and broken and I was like, whoa. Like this dude looks like he's in a goddamn concentration camp. This is crazy. All just to be bigger than the other guy. What are you doing, man in the head? You're going to die losing composure, son. Pull it together. Pull it together. Boy. So I'm wanting to talk about that. A, the Miss America, Miss USA. You don't want to confuse them because apparently ones legit. Mrs. Rogan was telling me that one of them is legit. One of them's important and the other one's silly ones like which one? Trombone. Then the fucking same thing to me. I don't see how Miss America or Miss USA, but I guess one of them is like the cooler one and like Ms Dot USA wishes she was Miss America or Miss America wishes. She was at Ms Dot USA and the other one is like cheesy.

Speaker 2:          00:42:07       Yeah. Once I hooter girls I heard one of them I think has. You have to like talk and give like a speech and shit. And the other one you just fucking flirtier baton and miss. What's it called? Flip your. What's the word pure for protons. Flip your lid. They're all they are is who I'd most like to fuck contest. And the fact that we still give a shit. Who Wins? The WHO I'd most like to fuck contest in 2010. That's very strange. You know. And this one is very controversial because the last woman who is in the big controversial was that carry predawn chick who hated gays or didn't want them to get married or whatever. She didn't hate gays. I mean, I'm just putting words in her mouth. She was just upset. She only wants. She only thought regular marriage. She wasn't. She was opposed to opposite marriage or she was opposed to to, to same sex marriage, but she supported opposite sex marriage.

Speaker 2:          00:43:04       That's it. That's how she described it. Like opposite marriage as a train wreck. Well, and she was just a dumb check who's hot. You know, if you're a dumb chicken, you're hot. How hard is it to have your shit together? Virtually impossible. You know, you're around people that tell you you're awesome all day long. Everybody wants to fuck you. You have. You don't even know what color the sky is. What the fuck do you know? You know, could you imagine what it must be like? Like how, how hard is it to be enlightened and to be free and to be like without ego. If you're a hot chick in, let your twenties, dude, everywhere you go, everyone treats you. Like you have the Willy Wonka golden ticket. Everywhere you go, guys are willing to leave their wives. They're tripping over themselves, trying to buy you things or trying to take you out everywhere you go.

Speaker 2:          00:43:55       That's sex dating as girls too. Why is this? Because then they're still used to a certain way that you're. You know what I mean? I can keep the pimp hand strong, son. You got fuck them. Right. And then don't call them to make them. Make them know that the game's different now. Okay? I'm not that 60 year old man that bought you a Ferrari. All right, I'm here to give you some Dick and then we're on equal terms. I'm not. We're not getting crazy. I'll have to buy you things. Settle the fuck down. They'll get mad if you don't buy them things though, right? You don't care. The last boyfriend cared liquid. He bought her. He bought all these diamonds. He her all these things and they get to walk around with them and the walking around with them. It's very important. It's more important than having them to want everybody to see that someone loves them so much.

Speaker 2:          00:44:41       They spent all this fucking money so that miss year, so I check that she was a big problem because she, she didn't like the gate, so the fucking Christian's got all crazy weather and they were like, yes, you're on our side. Then it turned out she did some porn. She made her own home movies with the big Dildo and shit. She was had a Dildo in her ass or something. There's all these different versions of what actually happened, but she went into sue. She was trying to sue Miss USA and she was like talking crazy lawsuit talk and they're like, really want you to sit the fuck down? We're going to show you this video of you with a big black rubber dick in your ass hole or whatever happened is strap on. I don't know. We just should clarify for the broadcast. We don't know what exactly was on that tape, but apparently it was some, some shit that you're not supposed to do if you're Miss USA, which is hilarious.

Speaker 2:          00:45:26       You're in a who I'd most like to fuck contest and it can even be a video of you out there. Fucking we can assume that you fuck, but if you capture on video that's, that's in violation and you're gonna attract undue attention to our cause. Our cause of the miss who I most like to fuck contest. Like what the fuck is wrong with people. When I was in high school, I would go to hooters and just be complete assholes. We would like all right, since it's called hooters, we're allowed to look at their hooters so we're just going to go in there and stare at their hooters and not even look at their face as a joke. Let's do old 15, 16 years old. And so we just go there and take the whole time just staring at their tits. I hope you feel bad about that and I do feel bad about it.

Speaker 2:          00:46:07       When you get really stoned as it haunt you does when you eat like a Brownie chicken wing, you ever eat a Brownie and in your childhood haunt you and you think did some Douchey Shit? When I was in eighth grade, it was like the baby cardinal once where it was like fell out of his tree and I was hurt. I just remember being a kid throwing rocks at it and I'm just like, haunts me like little cardinal. Yeah. Me and my friend Tim, we went hunting for squirrels and uh, no it was my friend David. We went hunting for squirrels with slingshots and we tagged the squirrel and he fell out of the tree and then we killed him and I was like, what the fuck are we doing? Like why are we killing the squirrel? The Squirrel didn't do shit to me, you know, it's just like we wanted to see if we could do it. And we did it, you know, we played baseball, throwing baseballs at squirrels on power lines. Oh Dude.

Speaker 2:          00:46:59       It's so fucked up. The things you do, like, you're so inconsiderate when you're 15, you know? And then I don't think I was 15. I was 14 and I never did it again. I was like, God, I was like one thing about eating that squirrel, but I just killed that squirrel with a marble. I shot him in a marble, like, for what? What the hell? How stupid is that? You know, there'll be, you know, you learn from those experiences and then you know, you learn from that terrible feeling and you never do it again. But God, I wish I didn't have to do it in the first place to learn that. You know, some people are so fucking

Speaker 4:          00:47:29       like some people, like how many people do you see? Just throwing cigarettes out the window. We were talking about that this all the time. All the time. That's so inconsiderate, man. Funny. I used to do it though. That really sucked. When did you stop doing it? When he moved to California. Really? Yeah. It's like a California thing I think. Why did California make you stop doing it? Because in Ohio it was normal. It was normal and in California cops would do it. Oh really? Yeah. Cops that you would be smoking a cigarette while they're writing you a ticket and just flick it on the ground. Do you know who the fuck is? That is? What is it about smokers that makes them think that the world is the garbage? Because up to recently that was normal. You know, but why is that normal? Why is it normal?

Speaker 4:          00:48:09       I had a friend who used to do it. He'll say a fucking taxes. They pay to clean the streets. Like that was his thing. He would smoke. He'd flick it on the ground and I go, why don't you just pick that up? Why do you, why do you have to throw that on the ground? I was like, Hey, fucking taxes. This is a guy whose job is it because it decomposes? Is that what it is? Like compose. Oh man, there's a fucking. There's plastic in that thing. Who knows what the goddamn shelf life is on a cigarette filter because I mean like you know how you can like throw like a banana out the window and that's an organic thing. I never had a cigarette filter is not an organic thing. I mean there may be biodegradable cigarette filters, but when, how long does it take them?

Speaker 4:          00:48:43       How many of them are biodegradable and how long does it take them to dissolve? Flicking her cigarette out. The window creates jobs. Yeah, that's what my friends are good. Was someone saying that on twitter? That's what my friend's argument was. It was a fucking guy justice for a living. What he does, just to clean it up, is his argument was that there's somebody gets paid to do it, so it's like cleaning up at a restaurant, washing you clean up, you know, you don't clean up the waitresses there to clean up. That's her job. His, he thought the city streets where there to be clean, so he would just flick his, his ashes everywhere. Yeah. I guess I never got. I never understood. I just did just did it because everybody else did. When did you start to feel bad about it? You? The one that made me feel bad about. Because when we were at the comedy store, I flipped on the ground and you're just like, pick that up. What the fuck? He took women and I'm like, what? What are you talking about? You just don't throw it on the ground. And it was you who were like, I don't think really.

Speaker 4:          00:49:33       Yeah man, I haven't. You're the first person to say it that way. Like ever. No one ever told you not to litter. That's ever. Not from that cigarettes really ever. You're the first person to ever do that. I'm very, um, I'm very sensitive about like mess, like leaving a mess. Like I don't ever want to inconvenience other people because I'm lazy and then consider it. So it's like I don't ever like throw garbage on the ground. If I dropped something I'll chase after a little receipt because I want to make sure that I picked that up and throw it out. You know, I, I'm very sensitive about that shit. I just think that that's a gross fucking characteristic of human beings. I don't ever want to see that in myself. That inconsiderate like lazy litterer know. It's just a gross characteristic. Like we need to fucking move past that.

Speaker 4:          00:50:21       I see people in fucking hybrid cars all the time. Flicking cigarettes the window. That drives me nuts. I was talking about that. I did a whole thing about it like a year and a half ago in San Francisco. I was screaming at them because I saw like four of them in a day for guys and hybrid cars just throwing cigarettes out the window. It's like, this is, this is ridiculous. Like, what, what the fuck are you doing? What, what makes you think that that's okay. You know, you're, you're, you're fighting the oil companies and you're trying to be conservative and you know, with gasoline and everything like that and make sure that you leave a small footprint and you're throwing cigarettes out the window. It's weird. I'm like that with a lot of things where I'm like, I'm ashamed of myself and how I act like, especially when I'm in a hotel room and I like flipped.

Speaker 4:          00:51:03       Come on the walls and stuff. I'm like, yeah, fuck this. Come on. Do that. Yeah. I don't know why you did that. Still get all the time. Oh, you're gross. That's what the deal is, is a reason why hotel room has so many washcloths. Okay, so you supposed to come in a few of those. You're not supposed to be flicking on walls. I can't do it at home. You know what I mean? I'm like, Yo, I went through my career everywhere. If you've ever seen those, uh, television shows, like inside edition or whatever the fuck they are, you know, with a 20, 20 where they go to hotel rooms, we're going to take you into hotel and find out what's really going on and they use a black light and they find ges everywhere to Tj's. And then on the glasses, I guess those glasses, they don't really clean them.

Speaker 4:          00:51:42       It's just like that. The woman like rinses it out and then puts the thing on it. So I guess they did it. They swapped all these glasses and like 90 percent of the glasses, like had fecal matter on the fucking black light to this one, a comforter and it looks like a Jackson pollock painting. It was just all just, it was just dried judges all over this fucking thing. It was like a God, that constellation. It was disgusting. It was just loads all over it. And they were like talking about what the different things was. This is blood, this is pro, and they were saying that it was one of them was period blood. They were very specific. This is menstrual blood. Most likely this is, this is sperm. Like what the fuck? You know, if you think about it, that's what you're sleeping in.

Speaker 4:          00:52:27       You know what? All the lows that you've blown on, hotel sheets and those sheets just get washed. They probably do a shitty. What's crazy is they don't even wash the comforter once a month or something like that. That's the thing. Yeah. That's where all the loads are. That's what they found the show. It was the comforter and the headboard, you know, especially those, those beds that have lighter cloth headboard fucking home. It's just like, like, like the back windshield and pulp fiction bolted shut. That loads all over that fucking headboard. Oh, is that his named Kenny? I forgot to shut Kenny in the head or something like that was the really uncomfortable seeing where Quintin Tarantino tried to be down and said the word nigger to Samuel Jackson and kept saying it. I got a dead nigger in my house. Like why do I have a dead nigger in my house? And it was like, what? Who the fuck talks like that, you know, who there was not even gangsters. Even there's no white guys that, that

Speaker 2:          00:53:26       talk like that too. Black guys, why do I have a dead nigger in my house? I mean that scene was so fake and it was so like him living out some weird white boy fantasy where he wants to be able to say nigger to a black guy because he wrote a script.

Speaker 6:          00:53:39       Yeah. Yeah. It used to be a big Quintin Tarantino Fan. But you know, when I see, I saw that TMZ video. You ever see that? Where he attacks like the cameraman? No, and he just came off. That's it. Like a dick. And I was.

Speaker 2:          00:53:51       I've seen them come off really cool and interviews. I've seen him come off like a Dick, but I think these are volatile God because he's a creative guy and he's probably super fucking busy all the time and a lot of stress. And if you catch them at the wrong time and you're trying to talk shit to him, be stupid. He's very likely to talk shit back to you and come off all Douchey, but you've got to think what's the situation? It's not him forcing his penis on someone. It's someone wanting to videotape him. When I was wanting to be video, someone coming up to a member, but I think it was just somebody, a hammer. I wish I could find that link right now. I think it was somebody going, hey, I'm a big fan of your movies and stuff. Got. And he was just like, really? Yeah.

Speaker 2:          00:54:26       I think it was something like that. I remember thinking, wow, that maybe just has a huge aversion to all that Tmz Shit, you know? Maybe that just drives them nuts. I don't know. You know, I'm a big fan of pulp fiction. I love that fucking movie. But then I read all that shit that Roger Avery said. You Roger Avery who's in jail. He claims that there was like a movie that, that Quintin Tarantino did when he was a star in the movie where he had this whole scene about top gun. Do you remember the scene? He had a. um, it was a whole scene in this movie about top gun being a gay story and this is why it's gay. And like, you know, like he, he goes into this whole rant. Well apparently that was like Roger Avery's rant. Roger Avery. Yeah. Roger Avery wrote killing Zoe, which is an awesome movie if you've never seen it, really interesting cool crime movie. And he wrote pulp fiction with Quentin Tarantino and you know, they would collaborate on things and then, you know, he would tell. He would say, tell me these stores. I slapped him. Yeah. Well maybe that guy needed to be one of the audio real quick. Okay. Let's play the audio, play the audio and put it up to the microphone. And so Terentino's slaps a camera man. This is what it's called. Let me pause this real quick

Speaker 6:          00:55:37       and okay, let's play it.

Speaker 2:          00:55:43       So he's walking through this parking lot.

Speaker 3:          00:55:47       What's going on here? What's going on here? What are you doing? What are you doing again?

Speaker 2:          00:56:04       Yeah, that's good. Just keep going.

Speaker 3:          00:56:08       Go, go, go, go, go, go, go. Yeah, because you're filming yet. But if that was off, I'd be whooping your ass up and down this tree. Yeah.

Speaker 2:          00:56:43       That's interesting. And if you look at that. All right, so if you haven't seen it, Quintin Tarantino slaps a camera man on youtube and it's some guy who gets douchey with him.

Speaker 6:          00:56:53       I'll put it in your chat on the stream. But if you look at the, the, the, the other videos like the related videos, like Quintin Tarantino spits on some guy, the reporter he fucked with. Maybe that guy just came up to him

Speaker 2:          00:57:08       camera and he wouldn't tell them what it was about and he just sticking a camera in his face and maybe he felt like he was being violated and he felt like that guy was a dickhead. You know? I mean, look, I could see his point, you know, look when, when someone's fucking with you like that, you know, you don't always catch you in the most perfect of moods. You know? I mean, he could easily be involved in some big stressful fucking thing with some movie he's doing and he's in the middle of this shit. And then he steps outside. Some guys got a camera in his face, he's like, what are you doing man? Why? Why are you doing this? And the guy won't say anything to him or the guy. I want to explain it to him and he gets mad. It's possible. Maybe just sends the guy was a Douche bag.

Speaker 2:          00:57:44       We're not seeing the guy with the camera. You know, I just posted on my twitter red band back on or Red Band Red Ban Terentino's a bad motherfucker. Well, pulp fiction was an awesome movie, but I don't know. You know the, the whole Roger Avery thing is, it's an unfortunate. Roger Avery says that that whole top gun rent was like his rant and the Tarantino, he said it in front of Tarantino and Tarantino. Tina went and put it in a movie with Tara Tito. That's what he does with his movies. Like a lot of his movies are like old stories that he kinda like redoes right? Yeah.

Speaker 6:          00:58:15       Well have you been. We were talking about earlier about the hurt locker, how that guy suing the writer of the hurt locker, saying that he took a article that he did for playboy, I guess about his time in the bomb squad and they re wrote it into the movie, the hurt locker

Speaker 2:          00:58:31       and it's really similar, like the guy had like blonde hair blue. I came from a trailer. The whole deal, like his story is exactly that story, but in their defense, like how many guys in the military or blond hair, blue eyes come from trailers. There's probably a lot, you know, totally the fact that he was actually a bomb, you know, specialists and detonation specialists in this guy was as well. Yeah.

Speaker 6:          00:58:54       And, and what's crazy, even as the creator, those movies are supposedly going to sooth thousands of bit torrent users. People that downloaded the movie illegally on the Internet and they're going to go after all of these users, which I thought was very metallic. Metallic. Yeah. Like the old napster earlage. Yeah. Very Douchey, douchey. I think it is douchey. Well, if it's his movie, right? Right. If he's losing money because all these people, he's really losing money from it. I

Speaker 2:          00:59:22       don't know. I mean that's an argument, right? There is an argument, but it's, you know, look, no one has a right to it for free. That's an argument as well, right? You don't have a right to be downloading someone's work. These guys worked. They did all this time, put a pause time, put all this effort, you know, made a script, cast it, got funding the whole deal and all you do is just press a button on bit torrent and white and you got it on your desktop and you watch it for free. There's something fucked up about that. It's not like a band, you know, like if you go see a band, you know, like say if you download a band's mp3s and you got them offline wire assumption and then you go, well I'm going to go support these guys. I'm going to see them in concert. I'm going to buy the CD because I liked it so much. You know that I'm going to become a fan of this band because I downloaded their shit for free. Is that really going to help you with this guy with his movie? I mean, when's his next movie fucking a year from now or something like that. I mean, are you really going to be excited to go see his next work? Is it advertise him? Is it, does he get

Speaker 6:          01:00:21       deal in a shit? Depends if he was how good this movie is and how good of a directory is. If he was Quintin Tarantino doing pulp fiction and I downloaded that, like, Holy Shit, I'm buying that shit on Blu Ray, I'm falling. I'm watching every movie this guy does. Um, you know what I mean? Oh, I see that argument. Or

Speaker 2:          01:00:36       just decide to steal his next shit. Shit's coming out. Like you really do support them. Do you do that? Like if you download something and you like it, do you support the artists? Absolutely. Yeah, I do too. I think that's important, man. It doesn't happen quite as often. That is shit though. I don't think, you know, like you do that with movies. Like if you download a movie and you really like it, do you buy? Oh yeah, yeah, totally, totally. Beowulf was one of them. I download Beowulf and I liked that work. What if you have a legal copy and your house and then you also have an illegal copy on your computer? It should cancel it out, but I don't think that's how it works it. You're totally right. Yeah. You should be able to have a copy as long as you're not putting it up on some sites or something like that. If you have your own copy. What the fuck is wrong with?

Speaker 6:          01:01:15       Yeah, you know, it would be cool. It's like if you got in trouble and I'm like, all right, you're going to go to court for $100,000, but you have 24 hours to buy this movie on DVD.

Speaker 2:          01:01:23       Yeah, that would. That's how it was actually a good move, right? Move. Yeah. Just just sue everybody, but you have to buy it on Blue Ray in 24 hours. It's a tricky argument, man. It's a tricky argument because you know what, what? What's going on in the Internet now is that anything can be broken down to ones and Zeros. I mean, these, these images, these videos, these song files, audio files, it's all just ones and zeros flying through the tubes and you know, anybody can put it up there and anybody can pull it down and when you can convert a movie and you know, you do all the time into, into something digital that's downloadable. It's like, how the fuck do you control that? You know, you have to just hope that you make enough movie, enough money when the movie's out and that enough people get excited about it to buy the DVD for other extra features and all that shit. But then people take the dvds after they're released and they put those up.

Speaker 6:          01:02:14       What I don't get is a friend of ours actually just got a letter from their isp saying, um,

Speaker 4:          01:02:20       ABC has caught them downloading a bunch. The Jew a that ABC has caught them for downloading a bunch of shit. And they're like, this is just a warning. Nothing's happening right now. But we just wanted to let you know that ABC sent us this letter and they know about you downloading. So chill the fuck out. And what was crazy is it wasn't anything, it was TV shows, free tv, it was like lost and stuff like that. It wasn't even a movie. So. But was he downloading illegally? Yeah, he was downloading them illegally. Supposed to do that because they have their own sites and there's pay services. I know, I just thought it was crazy that they got, they it some free instead of him getting caught for like Avatar. And did he do this through? I'm a bit torn on how you did it. Yeah.

Speaker 4:          01:03:06       Wow. They busted them. He's one of those guys. Yeah. But you know, he's one of those guys, I don't know if you do this either, but he's one of those guys that like downloads a movie and then keeps it seeding for like two months. You know what I mean? Because I'm one of those people like, oh, that's probably what they caught them doing it. Seeding the. Yeah. So that's why they call it. Let's see. But uh, I am one of those guys, like once I download the seconds, download, delete, torrent file, you know, and just wonder how many people do that. Like they look at their shit and they go, okay, what, how many, you know, we're, we're all these coming from, they're coming from this one and what is this guy doing? Oh look at this. He's put up all these things that we have and it's coming from this one user it let's find out who this isp belonged.

Speaker 4:          01:03:46       I think a lot of people don't even know how to use the torrent system. So like you get a lot of like young kids or moms that are like downloading sex and the city and they just keep the torrent going for life. You know, what do they do? They, they get your Ip from them or they find out your isp or your Isp, your Internet service provider. The Internet protocol is your specific number that every, everyone that gets online, if you don't know this, you have a very specific number. It could be static or it could fluctuate, it could fluctuate. If you have dialogue, like every time you do it, you get a different Ip, right? Right. So what it is, it's these movie places putting out their own torrents and seeds and collecting Ip addresses from like they'll put their own movies out, you know?

Speaker 4:          01:04:22       Really? Yeah. So they put their movie out on purpose to see if you download it. I think that's how one of their ways they're doing it. That's the dumbest Shit I've ever heard of that's like, that should be, let's see what they're doing is entrapment. I think that's a lot of it though, is a lot of it is a. If you download, like I downloaded an m and m cd once and it was just like all these songs or loops and I think it was, it's like bait. So they put out shitty versions of it. But that's ridiculous. This didn't Madonna put out one. I wish I got ahold of that one. I would love to see that because Madonna put out one where it was like her music or her new CD and she's like, if he fucking download music, I'll kick your ass or something crazy about that.

Speaker 4:          01:05:04       If you download music illegally, I'll kick your ass. I'm speak. That to me sounds like, you know, just the fact that they're doing that, putting out bogus versions of it or versions of their shit where they can track you from, you know, it sounds ridiculous. They're just trying to arrest people and scare people now. I think that's dumb. They putting out versions of it to track people. Like really? You thought it's like that's like you putting out the bait, you're putting it out there. You know, even if people are already downloaded it, you're actually putting it out there hoping people will do things illegally with it, but it, it's out there because of you. That seems to me to be fucked up. There's a funny story man, about these undercover cops that arrested other undercover cops. There was this whole drug deal that was set up between these undercover cops that were posing as drug dealers and these other undercover cops that were posing as buyers to the drugs.

Speaker 4:          01:05:57       Yeah, and these fucking dummies. They, they went to arrest each other. That's so awesome, man. I want to see that there are both undercover. It's A. I don't know what state it's in. I want to download that, the uh, or Dell County, I don't know where that is. Um, I should find out just so everybody knows. But the story is that these guys, they went to their superiors and they said, hey, we're about to make a buck North Carolina there, there were about to make this bust. So they said they wanted to find out if they had anybody else. If somebody had anybody working undercover and they always say no to that shit because they could be dirty cops and the dirty cops could pay off drug dealers. The drug dealers find out that these guys were undercover and they kill them. So they always say no.

Speaker 4:          01:06:43       Right. Do you have anybody undercover? No. So they say, okay, there's an under covers. We, we've, you know, approved it, let's arrest him. So they use all these resources and they had the whole thing is them. They're the drug dealer, the drug buyer, fake fake drug dealers and fake drug buyers arresting itself. We should get that money back. We should find out how much that costs to do all that that you just did. Roscoe Pico, that's a ridiculous clusterfuck. That's one of the dumbest cluster flux of all time. Undercover cops arresting undercover cops. Wow. Yeah, it's hilarious. That's what's hilarious. Is that a volcano? It's like taking all those planes and grounding planes still, right? Yeah. And what's great is Lindsay Lohan was at out of town and she's supposed to like finish all these alcohol classes by like tomorrow and she's just like four more to do and she was going to come back today and I do like four classes and one day she got grounded because of that said Nancy's going to jail. It's really, she's going to go to jail because she, she had to be here for that. She's supposed to be here tomorrow and he's supposed to have had all these classes done and she can't even get home to do it. So they're saying there's that many plans are still being grounded because of that volcano. Yeah. Whoa. Yeah. Fucking. By the way, when I was in Portland, how crazy was it driving down the highway, seeing that Mount Rushmore. Rushmore. What's the one? What's the one that blew up? Fuji.

Speaker 4:          01:08:12       Mount Saint Helens. Mount Sinai crazy, seeing

Speaker 2:          01:08:16       that thing in the middle, just this huge volcanoes. It's fucking crazy. People died from that one, right? I think so. And they had to. Is that in Oregon or is that in Washington? State of Washington state to state, but it. But you can see it. Yeah. Well we were at, we were on the corner of I guess Portland and Washington. It's like right next to each other. So because we're going to Washington over this bridge back and forth all day long. So I was watching the show on tsunamis. We were talking about the Pacific northwest and how many times over the last thousand years it's been jacked, you know, but civilization, they're so recent. We don't even realize it. Civilization on the Pacific northwest of the United States has only been the last 300 years, you know, so unless you know what I mean. Before that there was Indians of course, but I'm talking like big buildings and shit.

Speaker 2:          01:08:54       So like the cycle of them getting hit by giant tsunamis. I mean it happens every thousand years or so. The whole side of the country gets hit with some fucking 1000 foot high wave and everything gets crushed. Wow. I guess it gets what with Tyler durden do.com and looked up flights and there's tons of fights still going on. So she was lying so she's just. She's fucked even more. Oh, that dirty bitch. She's probably don't cook. Didn't want to fly. Get his lying sources. Say she can. She can't get a flight back to the states because of the volcanic ash from Iceland. Airports all over Europe are jam packed and it's impossible to get a seat is what she's saying. But delta has five nonstop flight from Paris to New York City and like I guess they just went through and found all these flights. So flights not only there are flights but they're not booked I guess.

Speaker 2:          01:09:42       So that's what tyler durden do. What would tyler durden do? He says that the whole thing is very funny that people even give a shit fall. This poor young kid. It's all fucked up on drugs and everybody thinks it's a funny deal, you know? Do you know what you would be like if you were hot and you were Lindsay Lohan? You were 23 years old and you're a multi, multi fucking millionaire. Just out there doing drugs, getting stuffed every night. You know, he'd be fucking crazy to who the fuck would not be crazy. I want to know what person could keep it together as Lindsay Lohan, who, who could, who could live that girl's life 23 fucking years old. Looks like she's 40, been doing drugs and she was a little kid. I mean who? The, who could keep it together, you know, became famous as a child.

Speaker 2:          01:10:25       She went from basically from like junior high school to fucking superstardom multimillions of dollars. Totally unrealistic life in the toe the whole time we were supposed to be developing. You're supposed to be growing as a human being and figuring yourself out and being insecure and establishing yourself in the world while the whole time that's all supposed to be happening. She's getting millions and millions of dollars for being famous and for pretending you know who the fuck could do that and do it right? Um, the Jonas brothers, Miley Cyrus and yeah, those are, those are ticking time bombs, my friend. Those are guarantees. Those are social guarantees. No, no doubt. They're going to be fucked up. Corey Haim and Corey Feldman. Neither one of them could stop from being fucked up even together. They weren't strong enough brand together. Do you know? He even lived by me.

Speaker 5:          01:11:14       I didn't know that when he died he. Him. Yeah, he, that when all the people were like mourning him outside of this apartment down the street from me. And I'm like, Oh shit. He lived there the whole time. Yeah. That dude had it. Bad drugs are a motherfucker. People thought I looked like him growing up. Really? I don't see it. No. Nope. Don't say it. Do you see it? I did back in the day. So back to this, this fucking Miss America. Because what I want to talk about is how many people were upset that this Miss America chick is a. she's Armenian. I guess something like that. Lebanese. Sorry. Armenians would be pissed right now. Carl Breezy and was right here, Bro. Bro. You can't fucking say Lebanese Armenian, Bro, Bro, but uh, this, this chick, the most important thing is that she's American and she's hot as fuck.

