Speaker 1:          00:00:05       He,
Speaker 2:          00:38:19       Tobacco has some sort of psychoactive properties to it for sure. And I think that they use it in a lot of IOWASCA rituals with a, they light tobacco smoke and they blow it in your face while you're tripping. And both Aubrey and Amber Lyon when they did it, we're talking about that. It's definitely got some, like I've smoked cigars before and got some really good ideas where I was like, well, my brain is flying. You'd probably really like cigarettes. I just can't wait until, except for the whole being healthy. Yeah, it probably would. Yeah. You know, Eddie Bravo, we'll smoke a cigarette every now and then. I remember that thing.

Speaker 4:          00:38:59       I found that thing a couple of weeks ago that didn't want to bring up because I wasn't sure if it was real, but it said that cigarettes are like proven. There was some study that was proven to give some sort of benefit for creativity. Yeah. There was the negative of the inhaling almost didn't even outweigh the benefit you got from creativity.

Speaker 2:          00:39:16       Well health wise, yeah, the risk. Yeah. They were saying that it's like a nootropic that it actually stimulates brain function. But if that's the case then you just talking about the nicotine. So, um, I've done before shows, I've sucked on those blue cigarettes. But first of all, because I want to be Stephen Dorff secretly and second of all, because they do give you like a little pep, like a cup of coffee type pep, you know? Yeah. Is that is, but that's not as strong as its cigarette

Speaker 5:          00:39:42       right now. That shit's bullshit compared to a cigarette like I've tried. That's why I've tried doing like the vape life and all that bullshit. But it's just a, it's not the same. There's just something to,

Speaker 2:          00:39:51       I should smoke a cigarette before I go onstage. Yeah. Let's see if it was just one time. See what it's like.

Speaker 5:          00:39:57       You should also have it with your morning coffee after you eat after sex. You should have it with a drink while you're driving.

Speaker 2:          00:40:03       The problem is people get addicted, you know, I don't want, I'm not going to do it. Like I'm not going to get addicted to cigarettes. I, I'll never let, yeah, the habit of doing it every time you had a show and yeah, that could be a problem. Even if you only smoked two cigarettes a weekend over the course of your life. That's got, that's a lot of cigarettes. Yeah. But you're old enough to do it now. Well, Eddie does. That's the only reason why I would think there'd be a way to do it is because Eddie, Eddie just, we'll smoke a cigarette every now and again. Like he might smoke once a month or every two months or something like that. And I'm like, wow, and what does [inaudible] look at every now and then? Every now and then we'll have one. Like, that's interesting. Diaz used to do that for a while too, but he doesn't do it anymore. He, I think he still does the blu cigarette though. We're talking about Joey not native to make our nick by the way, but um, dses to even after he quit, he would go outside and take a cigarette from you smoke one like right before a show. There's definitely some benefit in a nicotine. Definitely. I just would, I would wonder, maybe I should just smoke a cigar before I go on stage. Like what gives you more of a rush?

Speaker 5:          00:41:09       I'd say cigarettes probably better because you're inhaling it or you're supposed to inhale it and it's faster. You're not sticking up. The place here that's a problem with is tanking up the place. First of all, how dare I know. I know. I, I'm one of the guys that, that, that when they smell this, they get immediately angry. They're like, okay, who's the guy that's just fucking ruined everybody's Day? This is what we're going to do. We're going to go, well,

Speaker 2:          00:41:29       old timey men, not, not like men. The sixties and seventies were going to go old timey like thirties and twenties we're going to start smoking pipes. Ooh, no man, man. The only reason why I didn't want to watch that show is because I read headed grow, the buzzing me redheaded girl was just so hot. Water wash them. I like a girl's just not afraid to put some pounds on tobacco. You roll cigarettes with does that have a lot of nicotine? And I was just like, oh yeah, a spliff like if you made it half joint, half those, fuck you up, man. I'd never really do spliffs. I'm not a spliff guy, but when I was hanging out with Charlie Murphy, I did so Charlie Murphy would roll all of them. So you'd be taking in the weed with the nicotine together. I got higher than probably any other time before in my life.

Speaker 2:          00:42:13       Doing shows with Charlie. Charlie Murphy is one of the coolest fucking guys in the world. He really is. I love that guy. He's just such a good dude. Such a solid guy and he smokes the shit out of those blunts. I hate what routes do that a lot of is like the, the blunts. Usually it's, I don't know why it's, it's to me it's like a white guy smoking a menthol. Got, Oh, you're one of those blunt girls. Great. Well you dating girls that like the fuck part guys. Yeah, totally normal. Super Common. I that's more of an age. Did they say y'all a lot and get mad and throw their hands around like gang signs.

Speaker 2:          00:42:53       Like I could never be a cigar smoker in my house because then you could tell this with just fucking get on every smells awesome. You like the smell. I love it. Don't know what you're talking about, but I don't love it as much as pipes. And that's what I was thinking of. Was it a Bertrand Russell, I think who was a, a a a famous inveterate pipe smoker. Tobacco addict. Brilliant man. And back in the day, um, he wouldn't fly unless he could smoke on the plane. He wouldn't fly. He said. Yeah, there is. Yeah, that's him. He's got a story about a on tobacco. Once you find, find the youtube clip. Okay. Bertrand Russell on tobacco. Fascinating guy, because that guy lived in the dark ages of information as far as the modern world and the world of photography and the ability to document things. So to get a guy like this on a youtube video shotos I see is like big tobacco. What year was this?

Speaker 7:          00:43:49       You Bet. Go patient by all day long. The shipyard, I need you most gp hasn't that shortens your life? Will they do to see your night fish took to it? I took two jumps 70 years ago. Show that it doesn't seem to hit a vt Greeky fake Shopha pick. Do you know Ryan? What indication? He saved my day an airplane and did it getting [inaudible]. I should get me a sheet and shocking, but should I cannot smoke Geisha Day and sure enough, that was your neck. She didn't do bad accident and all the people in the back pain would drown people in into smoking pot and jumped into the Norwegian showed where we landed. Edward saved to the, I owe my life to smoking.

Speaker 3:          00:44:43       Did you have, did he drown? All the people playing crash, crazy sacrifice that story. He's a plane crash bro. That's crazy. So all the people that you see, there's a real ashtray that somewhere this seems like one of those stories that everyone was like, oh is that true? But there was no internet back then so we all just believed this guy. I think there probably wouldn't have been a plane accident, you know? And he probably made this shit up and just cause he's old, he's got a British accent or whatever,

Speaker 2:          00:45:13       like of liars got together and you know the had like liar conventions. Like the years that the internet came out, they'd be like, boys, we've got some problems. We got some problems on the horizon. We've got to figure out where to live better. This is how you got to cover your tracks. Like liars. They used to be super common to be completely full of Shit, particularly about your martial arts background. There was a lot of really crazy people when I was a kid that will like claim in martial arts master and they would walk around with like Chinese Kung Fu outfits on and shit and slippers. They're walk around with those Ninja shoes where they had the toe that was split. You ever seen those shoes? I've seen dudes walk around with Kung Fu outfits and did represent two completely different countries. The Kung Fu outfit is from Japan. The Ninjas slippers or from Japan? They, the Kung Fu output is from China rather than Ninja outfit is from Japan. These motherfuckers would mix and match the different styles of train killer.

Speaker 3:          00:46:09       That guy isn't a good example though. Like how back then you'd be like, so every single person died in the nonsmoking like every single one, every like there was a line where it said no smoking. All those people died. Well, the front of the plane, we'll all see you

Speaker 2:          00:46:22       think of when you're watching a guy like Bertrand Russell. How what? When did, when was that film did say if he was talking about how it saved his life, that had to be before they made that shitty ass old grainy movie, which was in black and white. So it was probably a long fucking time ago when planes were made out of fucking gum wrappers is when he died. That's when that interview was. Okay, so if it's in 59 then the plane was probably from the forties or fifties I mean, who knows when that happened, but yeah, that ain't

Speaker 3:          00:46:55       good. That's just mad denial and wanting an excuse for smoking. Yeah. Yeah. I say my live, I smokes a pipe. Dope pipe is definitely a different animal. Like my grandfather used to smoke and he used to have those big, back in the day they used to have, there's big lighters that would sit on your desk and it was just like, oh yeah, huge cloth wrap around the bottom of it. Yeah, I remember those.

Speaker 2:          00:47:17       This is the incident he was in. Oh, it was real. In bursts. Disaster it a crash for flying boat of what? A what? A flying boat house. Why didn't you mentioned that Birch flying bus survivors. We're all in the smoking compartment at the back of the cabin. It's true. Damn. Among the survivors. Will the philosopher, Bertrand Russell, wikipedia citation needed look a fee we could puffy da's. Awesome. Although it does say I'm five, nine and brian cows, my brother, I don't know why. Maybe he added that Brian? No, I think as in my, um, one of the things, oh, a shiny yet. Nope, not shiny. Happy Jihad. I'm going to be dead someday. The sketch that Brian Count and I did in my parents' basement where we're banging each other, we're working out, we're getting pumped. I think what, how that whole thing started is because you used to say he's your brother from another mother and some idiot was like, oh, they're brothers.

Speaker 2:          00:48:10       Well maybe it's just for fun. And people did any, looks like my brother, he totally looks like he'd be my brother. Like we just grew in different directions. He went north and south and I went east and West can be stretched his face out and he stretched his shoulders out. It's, it's very similar in a lot of ways, but he's um, might as well be my brother. But uh, yeah, wikipedia is wrong about a lot of shit. It says I have crones disease to at least it used to, which I don't word that even start for him. That's funny. I'm going to be in funny, so I'm being silly. I didn't want to change any of it. I think it's funny. I like what the Internet does for the most part. I think a little bit of disinformation makes a little p. People go, what?

Speaker 2:          00:48:51       Wait, are you serious? I like that. Like even when those stupid stories come out, like I killed them out in line with a belt. My own sister called me up, my own fucking sisters. Like, was that true? I go, what are you talking about? You can't kill a mountain line with a bell like you don't. You don't think I'd call you? If I did, I'd be like, strap yourself in sister. Cause your brother's a fucking killed him. Outline with a pal. Oh my God. What a fucking mount mine with a belt. I'm about to go do a news story. I'll call you back with it. It'd be strutting around in my underwear with scars all over my body. I'd have all the gauze like with the blood oozing through all the stitches, which I would be fucking covered with. Cause even if you survive a mountain lion attack, you need to fire then unscathed.

Speaker 2:          00:49:34       If you go to guy's code on Instagram, guys code on Instagram is an excellent, a little instagram page that has a lot of pictures of girls butts. Oh um, but the great butts, like you look at their assets and go, good Lord, why is it so appealing to look at? You know, even if someone knows he's never going to get near that girl, Ma much less be able to squeeze it from behind. Did you want to? And so it's worth looking at like it gives you that little ooh. So they're providing you with a little pleasure when they show you their acids and those pictures, those, those wonderful gals of the instagram. But I'm guys code had this picture of this guy who was like in the 18 hundreds killed a leopard with his bare hands. He got attacked by a leopard in Africa and it wasn't a giant one, but it was big enough to fuck you up man.

Speaker 2:          00:50:19       And he was all wrapped up and stitches, but the thing was dead next to him and his arms in a slang. I mean, he's fucked up. And when you got fucked up back then you got fucked up for keeps like they didn't fix it. There was no stem cells. They didn't have acl surgery. I mean I would literally be crippled. Both of my knees would be completely shot cause I had, there's the guy, what's his name? Carl Eight Glee, a k e. L. E. Y. And they have them down there as bad ass of the week and it's got a leopard. That shit. How much you think that weighs? I don't know, but it's like 60 pounds. Get enough to seem like it could be a little bit dangerous, but it also, it looks like you could kind of kill that. It just would suck. Like I have to pray to his poor cats snack Mahmood.

Speaker 2:          00:51:00       That thing would kill you. Yeah. Fuck yeah. Are you kidding me? Just think of, I think he'd probably kill me. I mean, I think that guy probably got real lucky. The cat was probably sick, which is why I was trying to attack and kill a person the first place. I mean that that does happen. They get sick, they get old, they, uh, sometimes their teeth get worn out and they can't kill something big anymore. So that's one of the problems with certain animals. When they, their predators, they start picking on people because they can't get animals anymore and people are so goddamn slow. So what'd he say? I felt no pain, but I certainly never thought for a moment that I would come out alive. I was rather calm as a matter of fact, except for a tremendous and wildly pleasant thrill. I felt knowing that I was battling for my life. What a fucking man. What a man. That's why he survived. What year was this?

Speaker 8:          00:51:56       What does it say it say? It doesn't say what a fucking

Speaker 2:          00:52:03       1864 64 and an eight. Oh, he fought an elephant to, he got pinned by an elephant. Okay. It might be a dick. Yeah, it's probably got slammed on the animal side. The fucking crocodile hunter overs day. Just threatening animals. Or you might, you know, if you're in Africa for a long enough time, you probably get jacked. So he was born in 1865. So how old do you think it wasn't? That picture would probably 30 right? Yeah. Scroll up, Jamie. Let me get a look at them

Speaker 8:          00:52:31       all the way up. There you go.

Speaker 2:          00:52:33       They're, it's like Kyle Kinane. Yeah,

Speaker 2:          00:52:38       that's a hard drinking. 35 that's the pens that lap that Lebron would fuck you up with. Fuck me up. If we had it in the studio, you know, terrified. We'd be, oh, it'd be terrified. But then once you grab it, you seem like you could just like fall on its head out of your mind. You're out of your mind. If you ever held on to a cat, the ones that get away, you have, you have cats deck. You ever wash your cat? Yeah. Yeah. I know. They tried to kick and fucking twist and they get mad at you. Pure muscle. You know I have two of the sweetest cats in the world until you try to give them a bath, those little fuckers want to go to war with you. I'm like, settle down. We're just getting wet. Right? Settle down. Wash yourself, bitch. You got a dirty ass. Especially when they're fluffy. Fluffy cats come out of the litter box where the eco hanging off their asshole. This is, they can't clean it. It's not supposed to exist in nature. He never supposed to have an asshole with all these feathers all around it. They can catch shit. What do you got there, Jamie for us?

Speaker 4:          00:53:36       See his, the Ackley or hour, he say his last name, Hall of African Mammals in the American Museum of Natural History in Manhattan is upper west side.

Speaker 2:          00:53:45       So what was he, was he,

Speaker 4:          00:53:46       he was like some sort of conservation as hunter back in the time of like Roosevelt, I'm looking through this article. There's another guy, it seems like he was head to head with sort of like a Tesla Edison thing. There's guy named award. So they were going around searching and hunting for animals and finding new species of things and different in the Congo. Oh

Speaker 2:          00:54:04       Wow. Sorts of different places like that. I was watching this program on Buffalo, um, last night and uh, they were talking about how the buffalo were decimated and how, um, they were shipping these truckloads or a trains train carriage is filled with buffalo meat back to the east coast. Buffalo meat became high in demand and then buffalo hides were high in demand and they were showing in this, this thing that I was watching stacks of skins just stacks of skins and of skulls. And you just look at her like, what the F, how did you do this? How did you guys not think that this was a terrible idea? Look at that. We get those stacks of skulls. This is stacks that go all the way up to the top of that railroad cart. I mean, that's fucking bananas. Stacks of skins. Look at these skins.

Speaker 2:          00:54:57       I mean, they would just wiping out hundreds of thousands of them. Like how many did they wipe out a year? Because you got to assume like that stuff is probably recently come off the animal that says it's 40,000 buffalo hides right there. Oh my God, it's so crazy what they did. They're going to get this guy on the podcast. His name's Dan Flores and I found out about them from Steve Rinella and he has a very interesting hypothesis or, well, he's a scientist so, um, he has an a and a historian I believe as well. So he has maybe not a scientist either way. His take on what happened with the buffalo is essentially my butcher, this, but that when the first Europeans came to North America, they didn't find evidence of Buffalo. They talked about everything else. He talked about bear, they talked about deer, they talked about elk, they talked about all these different animals that we know exist here, but they didn't really talk about buffalo and the, he believes that with the sheer numbers of buffalo that that existed a hundred years later.

Speaker 2:          00:56:01       It seems highly improbable that they wouldn't talk about him. And his take is that what happened was when Europeans started showing up in America, they brought with them a lot of diseases and those diseases that they gave these people these like first of all, like there's a, there's a common myth apparently that they gave them syphilis in the form of scabs in blankets and they put scabs and blankets and game to the native Americans. As far as I know that's not true. Not only that, they didn't know about bacteria then. They didn't know what that you know that you would, that's how it was spread. They didn't know that you would give someone a scab and that the actual tissue from the scab would cause the disease. The knowledge of like how diseases were spread was not that sophisticated back then as far as what I read.

Speaker 2:          00:56:51       But what he's saying is that when the Europeans came here and they introduced these new diseases that they had, that the natives didn't have any immune systems for, it fucking devastated the population and he said that that is responsible for as many deaths as anything else to the native Americans that lived here. They just got fucking completely wiped out by European diseases. When that happened, the native Americans were responsible for keeping the buffalo populations and check and had been doing so pretty efficiently. Ever since that the horse was brought to North America because before the Europeans came here, native Americans didn't have horses. They were on horses. So the horses that, you know, we depict the wild west, that native Americans rider on the horse and how they've always been, no, no. They were always like, you know, like really nomadic people that live in Brazil or something like that in the rain forest or Ecuador or something like that.

Speaker 2:          00:57:46       They weren't on horses. So they got the horses from the North Americans, but they also got the diseases and while they hand the horses, they were on the way to, in his words, extra painting the buffalo from their domain, which means it local extinction. So they were already doing such an efficient job of killing the buffalo from horses because they'd run up on horses and just fucking Arrow the shit out of these buffalo. And they were ruthlessly effective cause they were on a horse. So they could get that horse right up at the buffalo because of Buffalo's full clip is about 40 miles an hour. But a horse can run about 50, 60, you know, and especially like a really strong wars. So these guys would just run up on these fucking herds of buffalo and blast them with arrows and kill them. And then they got guns and once they got guns, good googly Mowgli between horses and rifles.

Speaker 2:          00:58:34       I mean they were fucking these buffalo up. So what happened was they got almost wiped out and the buffalo came back strong. So when they saw these millions of buffalo out on these, these prairies, that was an over abundance, that was a rare cycle in time that corresponded with the death of the native Americans. And this is his, um, his paper that he wrote, Buffalo Ecology, I think something something Buffalo ecologies name is Dan Flores. See if we could find it. I think it's one of those university papers though, that you probably have to have a some sort of a membership and it's like one of those things that that kid got in trouble for releasing for free or that kid that wound up killing himself. Yeah, pdf or you can get others a pdf, what does it say? Bison and bison diplomacy. That's it. The southern plains from 1800 to 1850 really, really interesting stuff because you know, we're finding out more and more about the history of this country obviously because we still have Columbus Day.

Speaker 2:          00:59:36       I mean the fact that we still have a day named after guy who didn't even get here. You know he landed in the West indies, right? Isn't that where he landed in The Bahamas or some shit? Whether things do you think are on the way out and Columbus Day is definitely on the way. It should have been out a long time. He's a murderer. What else? Columbus as a mass murderer. If you go to collage to the, there was a missionary or someone that was there at the time of Columbus that detailed the horrors of what they did to the native American people that they found, which to try to get these people to give them gold. I mean the fucking whores. They would cut off body parts and send these people out. They would cut their arms off if they didn't bring back a certain amount of weight and gold, they would smash babies on the rocks.

Speaker 2:          01:00:17       They would take their children from them and smash them in the rocks. We were talking about boat boats filled with serial killers and we have, we have a holiday or kids get off school for a guy who ran a boat of serial killers that came across the ocean and just laid waste to everybody in front of them. I'm from a city that's named after him, Columbus. We even have his boat, like a recreation of his boat in Columbus, Ohio. Fucking crazy, man. Where's that? A lighter brother. He's got it said, you know, sparked that backups. Yeah, I'm high as fuck office. The wheat, the wheat helps. But um, uh, I dunno how we got on this bisons I was watching the buffalo blah, blah blah. We're talking about Dick's and it just went from Rhinos to oh yeah. That dude, um, that I posted yesterday was at cjw underscore photography.

Speaker 2:          01:01:09       That guy's a instagram page. He got ahold of me and he's making that wolf the wolf with the snow. He's going to put down a steel plate and send it to us. We're going to put it up here. Oh, so most metal prints of bad ass. Yeah. And that was like one of the most dope nature photographs ever. Have you seen it Brian? Pull it up. It's a, on my instagram page is the one that was specific. It's got this wolf and his face is covered in snow and he's looking at you, not the one that we showed John Dudley, my friend John who on here yesterday. Dude. He fought a pack of wolves off. It was trying to take his elk. Whoa. Yeah. Whoa. Barefoot. Like what do you do to two guides to barefoot only as asshole. That's it's how do we find them?

Speaker 2:          01:01:50       How has his feet, he was in Alberta, he shot an elk in these wolves, started circling and they ran in and they were trying to scare him off the elk and he shot one and then the other wolves showed up and he started howling and circling them that fucking picture. It's how dope is that picture. God Damn. I want to, he's going to come to the shows, one of the shows at the fillmore in San Francisco and a, I want to talk to them and find out how he took this and where was he got to be created. It's got to take lots of hours

Speaker 4:          01:02:20       of sitting and waiting and camping and being really cold.

Speaker 2:          01:02:23       Yeah. And to get this perfect shot. God, what a cool animal. Hmm.

Speaker 4:          01:02:28       I bet he's got some crazy stories of getting them, uh, and just being surrounded by wolves and whatnot because he's got a lot of cool pictures. Yeah. You gotta be, you gotta put yourself in a weird spot to be a bold motherfucker to get that photo. I mean, cause you can only be so far away, right? Yeah. Yeah. Your lenses can only take you. So

Speaker 2:          01:02:43       like how, how close would you be able to like that's so

Speaker 4:          01:02:46       it could be cried so it could be a little bit off, but it's such a really close picture. I bet he had a really good like 400 to 600 Lens, so, oh my God. Maybe 50 to 100 yards at the Oregon Zoo. A hundred yards. Yeah, I doubt it. But like 50 yards. Yeah. It's hard. I would imagine he'd be close to the ground. I'm just going to be crazy. It depends what camera you use to.

Speaker 2:          01:03:07       Um, if you go to see it, go to his, um, his instagram, there's a picture of that wolf with another wolf there. That's sweet. Yeah. He's got a pawnshop hopcat. Dope Shit. Yeah, that's a bobcat. I think we're links one of those. Sweet, well those mountain lions, it's got to look at that one. Licking his lips is a gene Simmons mountain mine make it up. What do you think about Gene Simmons and that whole controversy about what controversial am calling out Nwa saying they shouldn't be allowed in the rock and roll hall of fame because he said that rock and roll. Um, well kiss wasn't in the rock and roll hall of fame forever. So if I was him, I'd be like, fuck the rock and roll hall of fame. Fame is more of like a pop pop music, popular Music Hall of fame. There's a goal. That shit down the pharmacy. That wolf. Yeah. Um, the beastie boys are kind of rock though. If you listen to Paul's Boutique, that's the end. That's it. We'll scroll up then. Paul's Boutique Dude is, is a rock and roll album or an, I mean, I don't know what, how is that it? Oh No, maybe he's got another page. No, man. That's it.

Speaker 8:          01:04:09       Okay.

Speaker 2:          01:04:10       Are you sure? Yeah. He's got 353 posts. Yeah. That's not at Jamie refreshing. It doesn't say no. It's just not refreshing. Just refresh it. Oh, there it goes. Oh, looking at raccoon. That's great. Erections are not, yeah, he's got great photos. Oh, amazing. Man. No, that's not at Jamie. There's, there's one scroll down to the exact same pose that wolf, but he's with another wolf. Why? Oh, there it goes. It's weird how it loads. Right.

Speaker 8:          01:04:34       And then it's not loading up though.

Speaker 2:          01:04:37       God Damn instagram. You know what it is? They went up to 62nd videos and their shit's getting hammered. Yeah. Hammer time. Um, there's another thing that I posted. There it is right there. There's another thing that I posted that is the exact same wolf, but with another wolf next to him. That might even be more bad ass. Jesus fucking Christ. Yeah. That's way better. Oh my God. It's like the wolf's telling him like, let's go kill that photography. Hey Dude, if you're, if you're listening, uh, scratch that. Make me one of these, make me the double wolf. Fuck. That's amazing. God. Damn, that's crazy. Holy Shit. What a picture that guy deserves like an award for that picture. Like that might be, I'm going to say it is. That's the coolest wildlife photograph I've ever seen. Wow. That's cool. Because yeah, it was undeniably cool that the photo looks so rare with, I mean, how do you get a wolf with all that snow all over his face like that.

Speaker 2:          01:05:32       What are the odds you're gonna capture that. And then another one, the same size right next to him. Maybe his wife. The wife won't pay the Wolfson. I left as a wife. Who is the wife? The wife's on there. Right? Cause it looks like he's, she's a bitch. She's bitching at him. Yeah. You don't mind the fact that he only killed five elk. You sell fucking lazy when you were younger. When you first met me, you did sound much to impress me because a guy's a, an animal to get out there. Chris, you're a fucking animal. Uh, just uh, I mean that's a Timberwolf. Yeah, man. I think that's a yellowstone. She's this, that those are in yellow. They have a lot of them in yellowstone. It's crazy. There's, um, there's a cool video that I posted or a photo I posted today from a national geographic.

Speaker 2:          01:06:13       The National Geographic instagram page is another one I'm fucking completely addicted to every other day. They have some just whoa photo where you look and you go, fuck God dammit, and today was a, these two bears there were duking it out in yellowstone. Look at the size of these fucking beasts. Look at a clause on him, the closet or on that one's back as their fight is two giant ass fucking grizzlies are going at it and one of them has wolverine style razor blades coming out of his front arm. Fuck man. Another John Dudley story. John who was here yesterday, he saw a bear kill a moose. He was there when a grizzly swatted a moose in the back and broke it's back. Wow. He said the bear was chasing the Mousse. It got the, they got into conflict. The bear got on top of him and swatted is back and broke it.

Speaker 2:          01:07:12       He said he broke his back with one swipe. Wow. He also talked about this cabin that they had in the woods where this bare broken in the cabin, pulled the wall apart, pulled the doorframe and the door off the wall with these nine inch spike nails all around it. Then there was a stove inside that smelled like food. He crushed the stove to the ground like you would stomp on a soda can just to ooze out whatever, like fat and grease was inside the stove. Fuck bears man. Fuck that. So crazy that we want more of those are like, we need to save those when you need them everywhere and the wolves to were like, oh, and they're, they're so awesome. Keeping that things a killing machine looking right through your eyes. It's cool that they exist though, you know? I mean it would be kind of cool of dinosaurs were still rare here too.

Speaker 2:          01:08:01       If there was like a real Jurassic island, you know, suck. Come on man. Long as you didn't have to go there. If it was like an island like New Zealand. Yeah, yeah. The Middle Past Hawaii, Guam. Yeah. Well New Zealand is huge. Probably not New Zealand. We would want to do that to those two. Yeah, they can get too big. Well, they don't have a New Zealand. It was like crazy wildlife situation because New Zealand is a fairly recent continent or island as far as I know, as far as like the volcano volcanic activity of the earth. And it wasn't a lot of land masses connecting it to other places. So they have some indigenous wildlife, like a bunch of weird animals and shit, but they also have a lot of stuff that is non native that was brought in. Like all these a hunting animals. These, these really rich dudes a long time ago, basically turn New Zealand into a hunting preserve and they just let these stags loose. These European dear, um, these red deer and stags tags is like, uh, a European form of elk and a, they let all these things loose all throughout New Zealand, but they don't have any mountain lions. They don't want any bobcat's. They don't have wolves, enough coyotes that, of anything that kills these things. So they have to send people out there to kill him. Like people just killing them constantly. And when some of the populations of some of the animals get too high, they have to fly over him and fucking gun him down from the sky.

Speaker 5:          01:09:22       They're having this problem right now with Cat Island, which is that island of cats, Alpha Japan and there are the, and they're in breeding like crazy. It's scary. All these cats like thousands and thousands of cats just live on this island must smell like shit by the way, I suppose. Smells like ammonia pissed,

Speaker 2:          01:09:37       you know. Did you see what's going on with Fukushima? Fukushima has a problem with radioactive wild boars. Nice. There's like hundreds of radioactive wild boars that have taken over that area because you know, the people aren't really there anymore and they're running rampant and they have a problem with them. They don't know what to do. They have radioactive wild pigs. Look at this fucking thing. Thousands of, oh, I said hundreds. Thousands of radioactive boars are overrunning farmland in Fukushima. But look at the photos of them. They have some photos of these fucking bores. Um, maybe different article. Yeah. Here's a good one. That might be stock footage though. Yeah. Wild boar stock seat on the fucking Internet wizard. Dude. I know it's probably all the photos are probably stock, but there was one video of this guy who had like a radioactive suit on like he was some sort of a scientist and these bores were chasing him.

Speaker 2:          01:10:32       Yeah, they all look stock, but whatever. Neha, who the fuck's going to go there and take those pictures? What is this other radioactive dudes? Those the a, the board themselves, they have a real problem. Those things start turning into like some comic book, Superhero type character powers. I mean they could things of radioactive, like what if they start morphing? What if it becomes super smart because we already know that boards are smart. Like pigs are supposed to be smarter than dogs, right? Oh there they are. This is the real ones. Shit running down the street. Lots of them slamming into the fucking fence trying to get out of this cage and they caught him in. Good luck. Good luck. Japan, they have, by the way, that that thing is still leaking thousands of gallons of radioactive shit into the water every day

Speaker 5:          01:11:25       isn't California. And we still have that gas leak up and send me valley or wherever that is. Did they?

Speaker 2:          01:11:29       Yeah, she'll that a long time ago, but that was bad. They said it was like every car in the United States, the emissions from every car in the United States in one day. Wow. I might have made that number up. FYI. FYI. Powerful desk squad cop. I liked this one man that I'm drinking out of available right now at death squad. Dot TV. Brian Red band creations.

Speaker 5:          01:11:51       Yeah. That's fun stuff. You, uh, you, you remember when we used to talk about that radioactive up there and, and uh, the thing I, it's funny because I know somebody or I met these triplets the other day that, that grew up there. What do you think the odds are that they're triplets because they grew up near that radioactive? What makes triplets? It's a real good question. I think horse the horse,

Speaker 2:          01:12:16       you just have to love Dick so much that you take in so much calm that there's this calm just rushes and no one egg wins. Yeah. Maybe a a dude who's just got a lot of calm. Maybe that's what makes me super aggressive.

Speaker 5:          01:12:30       [inaudible] people that have triplets my age. But I think nowadays it's probably more for like maybe they might be using fertility thing or two, what you take like an accident they had three and the only one is right.

Speaker 2:          01:12:39       That definitely happens. That happens with the older ladies. That's like John and kate plus eight. Remember that chicken like seven fucking babies inside of her and when they know eight inside of her and then two additionally they had to first and decided they wanted more and so they fill themselves up with babies. And uh, I remember that show. Boy that was an interesting show because that was a show that kind of showed how much pressure of the average person gets under when you're under the microscope. Like people that behave like totally normal, they think their behavior is totally normal, but then all of sudden they're under the microscope and the whole world sees that and then they get criticized and freaked on and then next thing you know, they can't handle it anymore and they break up. And then John, you know, was forced to get like regular jobs and catch them dating women and it was, you know, they would let hound the guy. I remember that. Yeah. It was really ugly. As real ugly.

Speaker 6:          01:13:32       Okay.

Speaker 2:          01:13:32       And you know, they're poor fucking kids, man. Yeah. Almost. Yes. Just weird. So I guess they had six.

Speaker 6:          01:13:40       Yeah.

Speaker 2:          01:13:40       And then they, uh, they had two previous than they had six babies inside of her. And that's all those fertility drugs for sure. That's a weird man. It's weird, you know, because it's also weird because I'm pretty sure they were strictly religious, weren't thing. That's why I feel like that's when it happens. Yeah. Well not really because see like God says be fruitful and multiply, but he doesn't say anything about taking fertility drugs in order to make that happen. You know? And if it's God's plan, is it all God's plan when a scientist steps in? Is it God's plan? Because a scientist is here that God make the scientist, you know, where do you draw the line as far as like what God wants because if that's true, um, someone invented abortion. Was it God's plan to make abortion? It was God's plan for everything

Speaker 4:          01:14:23       and a multiple families for I'm from, cause if like Catholic family raised over 10 kids, I know at least three families that have 10 12 kids.

Speaker 2:          01:14:30       Again, horse horse. Was it fertility pills or of no, it's just like they almost had one every year. They just like to fuck constant job this time. Fuck you went to all boys. One's all girls. The kid. 10 of them. Yeah. Like 10 girls yet all blonde girls. Yeah. That's great. Wow. Lot of fucking going on 10 kids. You know when you die, how you like shoot yourself in the all the pis and everything comes out if you have any in you. Right. Well, I mean surely there's something that you have an anal sex with. A girl likes to do meth. Eddie Bravo. He said that's the way to go because they don't eat.

Speaker 4:          01:15:05       Ah,

Speaker 2:          01:15:06       Brian is a light bulb went off about the math. They don't eat and their apartments are squeaky clean. All they do is clean their apartments. I was just thinking of how realistic would it be, you know that Jesus on the cross, if it was realistic, if it was just shit and piss everywhere on the bottom of the cross and it cause even though they probably definitely be some, I would imagine if they fed them before they strung him up there. It's interesting too because they always show the crucifixion marks through the hands, but apparently that's not capable of supporting your body. They go through the wrist. Yeah. Yeah. That makes sense. Cause that's how you hang a deer. You go through the, the ligament behind the knee and you put like a stick through it and you get to hang up.

