Speaker 1:          00:00:02       Yes. Is it good? Yeah, go ahead.

Speaker 6:          00:38:36       all. I feel like a lot of your listeners, you know, I've have broken out of him, you know, but especially I think back about like when I was 16 years old and yeah, I, you know, you're swimming in that shit and you don't know to question it. You had a lot of the time. And that's what our show is about, is getting people to question those assumptions and those things that you're being told without even realizing you're being told them. Well, there is a problem with young men in their identities, like them wanting other people to think them as cool as cool. Think of them as someone who's successful or someone who's doing well. That's a weird thing to say. You know, I'm, I'm really into her but she's not my type. But you know, the problem there seems to, in my mind, in my estimation seems this guy's worry too much about his identity.

Speaker 6:          00:39:20       Yeah. Instead of just being who he is, worried about his identity and, and that's a really tough thing to get over. And that's what we were trying to help people get over in that episode. But you know, when I think about in my, you know, when I was getting started in comedy and my, in my twenties, you know, um, the amount of time I spent worrying before I went onstage about how, what I was going to say I was going to come off. It was if it was going to be cool or if I get made fun of by the other guys in my comedy group or about like the other people at the open mic. You know, like I did, I did she grow for years to come up in alt rooms. Yeah. The meanest mother fucker. He sure. Fucking art. Super nerds. Try it out and be like, oh super progressive fucking mean do so God damn socially vicious, no toe.

Speaker 6:          00:40:03       Especially just at the open mics in New York City. You know, it was a real way to say, yeah, yeah cause they're there. There's no like organization. I didn't, I never set foot in a club because I was like, I don't want to deal with anybody at the club thinking oh I'm trying to get a spot or whatever. I was like, I'm just doing bar shows, open mic, stuff like that. And yeah, there's no rules. So it's just social enforcement and it's just people being like, I'm the big dog. Like, and people would like cross their arms during other people's sets or like say shit and like it really fucking sucked. And the only way I got passed it by saying I don't give a shit about what I think of these motherfuckers think. Yeah. You know, and I know I'm going to identify the people who I think are doing good work and who I think are funny.

Speaker 6:          00:40:41       And then hopefully they laugh at me too. I'm going to focus on that. But you should look at the people that are crossing their arms with amusement because all those fools fools, I know what you're doing. You're just throwing poison at people for no reason. Totally. You know, especially in open mic nights and those kind of shows, those bar shows, people are just developing. You know, you're watching little babies running around in nursery home. I mean, that's really what it is. And what they're trying to do with how many babies those people are trying to do is they're trying to say, well, I know the difference between good and bad, and that's one of the reasons I'm good and so on. You say that you're bad, right? That's bullshit. It's bullshit. And a lot of them aren't funny, and that's a real part of the problem. They're trying to enforce a narrow band of comedy because they think they can operate inside those parameters. But if they wanted to go on stage at the comedy store after Joey Diaz, they'd burst into flames. That's I'm really that good.

Speaker 5:          00:41:34       Yeah. No, what you're doing is not that good. I know you think you have a point, but what you're saying is not your art, is it? Not that I know that you listened to the [inaudible] podcast and you think that makes you go in everybody, but the number of people who'd be like, well it billboard wouldn't do it like that or whatever. Like that kind of thing is like so, so off the off the charts

Speaker 3:          00:41:52       vintagey you know it really is and the best, the best energy in the small groups, the best way to use your energy is to appreciate good work and recognize bad work and recognize maybe you have some of that aspect totally and yourself, some some aspects of bad work and your own act and maybe you should trim it out and look at yourself objectively. The way you're looking at this person, but the whole cross your arms and let someone stealing or doing something racist or, or, or, or, or clearly fucked up socially, you know, like what do you care? You care. They just, they just suck. You suck too bro.

Speaker 5:          00:42:28       Yeah. You're in the open mic at 11:00 PM you both of them went for three hours to do three minutes, you know, so it's like your first couple of years on stage was terrible. I want to go back and hug everyone who's ever in the audience and say, I'm sorry I didn't mean to put you through whatever the fuck I did up there. That 10 minutes of nonsense. I'm sorry. One time when I was doing open Mikes, I was doing, I was doing three up on Mike's at night in New York, you know, and I've kind of missed that. I was like really fun. It was like going to the gym, you know, it's like bouncing around Bob up a pump, but you know, you really get used to it. And there was one night, I can't remember why the hell this happened, but my girlfriend and her friend, um, and they're both cartoonists.

Speaker 5:          00:43:06       My girl, my girlfriend is a incredible, uh, cartoonists, uh, on her name's Lisa Hanawalt. Um, uh, and so she's funny. You know, these are funny people for some reason were like, we want to come to the open mic at the creek and cave in New York. I was like, she do okay, here we go. And they sat there and they were like, we sat in the front row and they were like, their, their hands were like covering their eyes. They were like, oh, like every single person because he, what is he doing? Oh my God, this person. What were they thinking? Like they were, they was just like the worst freak show to them. And I was like, yeah, I do this every single night. Like everything that, every shitty mistake or every weird thing that every person did that I was totally like blank to that I'd seen a million times.

Speaker 5:          00:43:48       They were like shocked by what was going on on that stage. Um, and it made me really enjoy going to those mikes again cause it made me see for the first time, you know, like, uh, made me fresh again to like how fucking weird I miss up a Mike so much because it's such a beautiful disaster, right? Cause you're right, every single person that goes up at an open mic is sweating. W basically they're doing like, they're like endurance training. Like they're doing something that is physically uncomfortable, even socially terrible and they're bad at it and they're just doing it over and over again until they get used to it. Um, so that they can just go up on stage without flop sweating. You know, like everyone just watching, uh, a hundred people in a row have panic attacks basically and people are just being there weird fucking selves and you see a lot of nonsense.

Speaker 5:          00:44:36       And then you see a lot of people where you're like, God damn, that person is, there is a core there and then they're going to be really fucking funny. And I love the fact that I know so many people from those days, we've just all grown up together. And now they're all right in sitcoms or they're doing it. You know, I met Michelle Wolf our first week doing open mikes. Um, it was so cool. We've met like, I was like my second open mic and it was like her third open mic and we saw each other at her and a couple friends. I was like, you guys are funny. You're funny. And she was like, yeah, we're going to sit there. Mike, you want to come? Yup, let's go. And then I've known her ever since and then like to see her do that white horse core White House correspondence dinner was like, I just felt all that history all at once.

Speaker 5:          00:45:15       I was like, this is fucking amazing. You know? I was so what did you think when the president was tweeting at her? I was like, damn, she got him on the hook. I was like, that's what a comic supposed to do. You know, like the way that she pissed people off. That was such a beautiful, that was such a beautiful moment. I loved it. She was so fucking funny and great writing too. It was great, right? Yeah. She wrote it, a bunch of our friends from those days, Anthony to veto Greg stone. Dan Saint Germain I believe, help to write jokes and yeah, they were really funny. And guess what? Like the crowd didn't want comedy apparently, but they got one of the best comics in the country. You know who's like on that? She's in her prime right now and she fucking tore it up. She did her job better than they wanted and they got pissed off about it and it was, it was like a three day news cycle of how much, but everybody hated her were there, didn't get pissed off.

Speaker 5:          00:46:08       Some of them, they were like tweeting like Maggie Haberman for the New York Times was tweeting like, oh I feel bad for, you know Sarah Huckabee like for the, for the, you know, light jab that she got about her high makeup that was smear break thing. It was nothing. And they were talking about what they say shit, appearance, shamed. She appearance sheet. Yeah. Yeah. I forget what it was. She, she got off light. Everybody got off light. Yeah, that's great and fine. But people forget when cold bear did that 10 years earlier and he was a applauded for it. The people in the room hated that too. If you go back and watch that video, he gets no laughs when he's making fun of Bush, one of the most famous like comedy appearances ever, right? Yeah. And he got zero laughs in the room. It's dead quiet. It's bizarre if you watch it.

Speaker 5:          00:46:52       And then a year later it was like [inaudible] he's the master, he did it, Dah, Dah, Dah. That was one of the big moments for comedy, getting serious and like sat targeting that was a breakout for him and like the political hacks in the room can't take it because they don't, I don't know why they book comics because they do not want comedy and that's why they, I guess they're, you know, they're not going to book comedy anymore, but here's an interesting cat man. Yes, yes. A bunch of things rolled up into one because he's a, he's a legitimate Catholic, like, yeah, really Catholic. Yeah. Despite all the scandals and kid fucking and all the craziness. And then on top of that, he's this character, but now he's not the anymore. No. Now he's like a guy who's not totally playing the character, but the character comes in and out like little shadows.

Speaker 5:          00:47:36       Yes, it does. And it's like, what are you, what's your real thoughts on things? Cause I know you as Cole Bear and know you from the Colbert report, this hilarious fake Republican guy and now I'm seeing him. I'm not sure what's going on here, man. Yeah. I mean he's, well, and when you're, when you're in late night, you know, I play a character on my show too. That's like a heightened version of myself that's developed as like a very extra nerdy, it's almost like me as peewee Herman, a little bit like it's, it's a, it towards me is my younger self. It's like very socially awkward. I'm alone. Oh, sorry. Like it's a lot of up there, you know, and it's different than what I do on stage. Uh, and uh, you know, I can only imagine, even though he is still, he's like, his big thing for late night was like, I'm going to be myself.

Speaker 5:          00:48:19       I'm not the character anymore. You still build a little bit of a character for yourself, you know also the him, it's like that's what brought them to the dance. Yeah. The reason why you're there. It's like what, what kind of meetings that they have with him. Like what are we going to do here? I have this trait, I ain't going to be gold bear. I heard him say once, he only said this in one interview, but he was like, we're basically creating a new character for late night. And so he had the same writers from, from the Colbert report. And so, uh, he was like, we're sort of like creating a new character. How does this character work? But I got to say the old show, I mean he's, he's great. The old show was probably the best performance ever made by a single late night comics because the way that he, when I watch it now, if I go back and watch clips, I'm like the way he would do like three or four fast little turns, you know, single line where it would like mean one thing but there'd be some sub tax.

Speaker 5:          00:49:06       Then he would flip around and he would do it like it was like watching like a figure skater do triple axles, you know, like watching him do that. It was, it was really impressive. I liked the guy, don't get me wrong, but I like him more on the Colbert report and I'm like him as a late night talk show host. But I do have to agree. I think that's also my prejudice against that format. I'm like, you guys just saw what Jack Parr did and kept going. Totally. It's the same goddamn thing. But I understand why he couldn't do the cold, but he did that show for like 10 years, you know, like he can't, you can't do, there was a limited thing for him, you know, like he had that character and so he could only do what was in the box, that character. And so he's looking to do more and, and I get it.

Speaker 5:          00:49:43       I also feel like, man, that Colbert report is more interesting than the late night show to me as a comic. And it was a comedy writing fan for sure. Because the late night shows her just promotion shows, that's all they are. All they are is, Hey Adam, here you have a book out. Hey Mike, tell us about your new show. Here's our 10 minutes of comedy before that. And then we do that. Yeah. It's basically like a version of a commercial and the w and the nightly thing is a prison, you know, because you can only talk about what happened that day. So the smartest thing that you know, John Oliver, right? He was up for the daily show. He wanted to do the daily show. He was John Stewart's pick for the daily show. They said this in the, in the oral history book of the daily show.

Speaker 5:          00:50:21       And then comedy central didn't close the deal with Oliver and HBO came and said, do you want to do a show instead? You know, and John Stewart was like, all right, go with God. And that's what John Oliver did instead. So we living in that alternate reality from John Oliver Hosting the daily show. Right? And so the smartest thing I'll ever did was do weekly, not daily because it lets him go wider. Right. If he was doing daily, he would have to just talk about what happened that day. You don't have that much. You don't guess what, you can't have as much of a complete thought in 24 hours or in realistically the six hours you have between when you show up. But when you take the shuttle, right, you can't say as much [inaudible] it's harder. And so being on that, you know, weekly schedule and he's only doing 30 something shows a year, right?

Speaker 5:          00:51:00       Cause they have hiatuses. That's what allows them to have those big, long complete thoughts that everyone likes so much. You know, these ramps, intelligent takes your news issues and pointing out hypocrisy. Our show, it takes us, we, it takes us like three or four months to write an episode. Like we're writing 16 at once, but like, you know, that's how long we have to think about it. And so we're able to take twists and turns, you know, we go into it thinking this is going to be our angle and then we're, we're diving into the research. We have a wonderful research staff and they say, actually this is the more interesting part of the story and then we are, have the time to go chase it that way instead. Right. Whereas if we were on a daily schedule, oh shit. Well we don't have time to pivot because we got a show to make.

Speaker 5:          00:51:40       Right. You ever feel time constraints in terms of like the subject matter, the subject matter, like very, very involved. Yeah, I mean, we try to do the most difficult topics. We can't, you know, we don't hold back from anything. Um, but the only constraint that we have is that the show, we've got 21 minutes and then in, but we got commercials. So we only talk about some for six minutes before we have to move on. Right. And so that's the, that's the only limitation that we have. Like the network will let us do anything. We've been on the show for weed on the network for four years. The only time you've ever killed a show was we want to do something about the Ncaa, about how the NCAA shouldn't kill, I shouldn't kill, sorry. Shows us how it should pay athletes. Right. Well, in the case of football and just going there, but yeah, we'd talk about that all the time.

Speaker 5:          00:52:24       I think it is one of the craziest fucking scams in, in all of money, let it college sports or it's unbelievable. Making so much money off those kids. When you watch those things, every single person's getting paid, you know, everybody's getting paid. The Guy, best players, the guy bringing water to the announcers are getting paid except for the players. Right. So, and the guy who literally, I'm blanking on his name, but the guy who created the system, right, who like formed the NCAA layer. When he left, he compared it to plantation slavery. He was like, this is like slavery. What I invented, you know, there's no justification for it at all. It is a banana's. Uh, we want to do that topic for a college episode. We pitched that to true TV. Uh, you know what errors on true TV every march, March madness, March madness. And they said no. They said, they said, and here's, here's how I live with myself. I say, look, I will never take a no until it's the only absolute answer I can get. So they said, no. I say, I really want to do it. Tell me know again. You know, they told me no again. I was like, if the president of the network tells me no, then I'm not doing it. And the president of network told me no, because that's the guy who I could write it and he could tell the episodes.

Speaker 3:          00:53:32       Well, that's true. I shouldn't have NCAA on. You're worried about. They're worried about pissing off, not just the NCAA. Yeah. Piss off those money grubbing thieves, athletic kids. I'm with you. All these people are paying money to see those fucking kids. That shit drives me crazy exploiting of young athletes in college. His workers. It is one of the ones that drives me because I got into it with Joey Diaz who explained to me, cause Joey used to be a bookie and he really understands gambling. He was explaining to me how much money gets donated to the schools, but people who used to go to them heels. It's insane. Yeah. And he sent, and most of it is based on the performance that the school has in college sports and these people who are, you know, I'm a fucking, you know, Blah Blah Blah. I went to school there and I'm there at all. I die, I fucking go team. These assholes throw shit. Tons of money. And there's thousands of them all throughout history, years and years. Guys have been donating for 25 fucking years. Yup.

Speaker 5:          00:54:35       And when the team wins the championship, they give him a bonus doing even more, right? Yes, but who doesn't get the money as the kid

Speaker 3:          00:54:40       king? People who play the game, all they have to do so well. If you go through here, you're going to do education and then you're good to go to pro sports. How many of them make it, especially in football, almost none. Almost none. But look at what are the numbers? What is it like? I wonder what the numbers are guys who sign up for college football, who make it first of all, with a body that's functional after four years of 600 fucking pound, dude slamming that big giant, giant dude slamming into you. You know fun.

Speaker 5:          00:55:11       We did. We did an episode on football and the concussion to Emma's, not just concussions, right? It's like just the little hits, right? It's just the routine tackles. You know what I mean? What happens every single time you do that, your brain, you got to think of it this way. Your brain is riding your, your skull is the car. Your brain's a passenger. Your brain doesn't have a seat belt, right? Every time you run into somebody, boom, your brain slides forward a little bit cause it's not wearing a seatbelt bumps into the front of your skull and bounces back, right. And even if that doesn't cause a concussion, it causes a little, a little hurt every single time, right? And so you can never get a concussion do that over and over and over again, and you're going to end up with CTA. And so of trauma happens and soccer players, yeah, sandy gets you in soccer and those kids or those kids are hurting themselves, you know, uh, and they're not getting paid for it.

Speaker 3:          00:55:57       Jamie wrote here in football out of 73,557 NCAA presents a fence. Approximate number of who are draft eligible is down to 16,346 and now down to draft picks, it's 256 [inaudible] 56 out of 73,000 make it to draft

Speaker 5:          00:56:18       1.6% make it from the NCAA to the 1.6%

Speaker 6:          00:56:25       ridiculous. Ncaa to major pro 1.6% that is fucking crazy. Let's be honest, these kids are not getting a full education as POWs. Baseball is almost 10% way more teams with like miners and all that kind of crazy though. That's wild. So what 10% that's weird. Well the though, but that's, oh that's 10% of from draft eligible to drafted the major banks, not even the participants because look that's, that's a 35 k seven seven K or draft eligible and then seven joint seven are drafted. Right, but look how low the number is in terms of baseball participants versus football. It's half less than half and yet they have way higher percentage. This is our writing consults. We look at charts also. The thing is like with baseball you don't get hit right unless you get hit by a ball. Most of the time your injuries just from running or sliding and stuff like that.

Speaker 6:          00:57:15       Yeah. You're not going to hit that well. You can get, yeah, you can get hit in the head with a baseball. So much safer. If I had a kid and the kid was thinking like baseball, football, or basketball, I'd be like, we'll take that foot ball out of the fucking equation. You've got two choices. It was don't do it. Just don't do it. You're not going to make it. No. The very few people that make it out of there without like serious injury, it's like, it's not worth it. It's just not. Especially if you look at that 75,000 number, if you look at, uh, for how many kids are playing in the NCAA now think about how many kids were playing high school football. I don't know the number, but it's gotta be 10 times that. Right.

Speaker 8:          00:57:51       This kid is going to be, he's the Heisman trophy winner and he already has been drafted to the major league baseball, but he's also projected to potentially be in a top five NFL picks. Whoa. So there's like a big discussion on what should he do? It's up to him obviously, but players like Deion Sanders, who I've been in both leagues and I've done both at the same time. It's like play baseball.

Speaker 6:          00:58:10       Wow. Oh Man. Well that's better for your life because you're less, you're less likely to, to like, yeah, I have brain damage. Do you ever talk to a fucking baseball player that's retired? It's like talking to a regular person. He still does. He still wants to be the quarterback, not going to be a basketball player. Those guys clearly have the best of it. Like out of all the major sports basketball players because they, I don't know about that because it's a much more grueling schedule. Physically you're running and shooting every night, you're sprinting, you're doing all these different things. Baseball is so much more leisurely, but the celebrity aspect of basketball is so huge and like in baseball, baseball should I can't he rod and it's still theirs.

Speaker 8:          00:58:53       Five, 10 min, Max, 10 guys on the court. And if you do anything cameras right on your face.

Speaker 6:          00:58:58       Yeah. Versus like the head of home ground baseball. This was pointed out to me, the website deadspin did this thing where they were like pointing out the problem with baseball today. They went around, they ask people, hey can you name or what's the most famous baseball player that you could name? And people were like Derek Jeter, a rod, big Papi, Manny, Manny Ramirez, retired guys. And if you ask people, they could, men, if they're a baseball fan, they'd say someone from my team or maybe they'd say Mike Trout or say one of the guys in the Yankees. Right. But there is no a rod Jeter like level celebrity right now. What happened? I don't know exactly. I can't give him back the steroids. No one's getting hurt. What the fuck is the problem? We're not talking about fighting. We're talking about baseball. Give him the steroids.

Speaker 6:          00:59:39       The best part about that stupid games with someone hits the ball. Does the steroids make them hit the ball better? Yes. Okay. Well give it to him. The fuck are you guys doing testing for that? Performance enhancing drugs man are the craziest the debate about that. We've never done this on the show because I so I'm not like um, you shouldn't fully boned up. I would like to, I've thought about it in the past cause cause the, the divisions, it's like the rest of the drug war, right? The divisions we make between the things that are acceptable and not acceptable are so arbitrary. Right? So the example I always use is like, okay, why don't, why don't we like it? Performance enhancing drugs. Not everyone has access to them. So they're unfair, right? There are bad for your health and we think they're unnatural. Right?

Speaker 6:          01:00:18       Okay. So, yeah, there, yeah, there. Yeah. Well that's, those are the reasons why we think they're cheating. Right? Well, it's also, but there are some drugs you can take that aren't cheating, right? Like you could take a, the reason why it's cheating. That's the primary reason. So here's, so let me give you a counter example. Um, uh, for runners, right? Uh, for endurance athletes like me, I like running. I'm a shitty runner, but I like it. I think it's a fun sport. Um, so I follow it a little bit. Uh, so runners, endurance, you know, the big thing is like how much you're, how much oxygen your blood can hold, right? If you train at a high altitude, then you can increase that. Right? So there are these runners, the American runners, right? They live at a high altitude, they live super high up, you know, in Colorado or whatever.

Speaker 6:          01:00:58       Right. And then when they're not there, they train, they're all year round. They buy a place there and then when they're not there, when they're competing somewhere else, they sleep in a chamber that simulates low altitude. Right. How is that not the same thing as taking a performance enhancing drug? Like they, they, you know, it's not a, it's not illegal to do that. Right, right. It's unnatural. Right? It is an unfair advantage because not everybody can afford one of those chambers. And I'm not gonna say it's bad for your health, I don't know. But it's certainly as weird for your body has taken a drug, I would think. Right. So why it's not because it's only like living at altitude. It's really just simulates low altitude. It's not like taking EPO, which would be the drug that would simulate that, which I've got recent, uh, experience with, not personally, but because of the UFC.

Speaker 6:          01:01:43       Just had one of its champions stripped because of testing positive for EPO. And then we're just finding out now they don't test for EPO in everybody that it's very expensive. And so they do it based on the athlete's biological passport and what they think are changing variables that, you know, for whatever reason it triggers their, their interest. Yeah. We start testing additionally, it's a big deal. It's a, it's a, it's a serious drug. I mean it's a serious endurance drug but also has some serious health complications. People have died from taking it. A young guys in their twenties and cycling have gotten strokes and died from EPA,

Speaker 4:          01:02:20       but there's no health negative effects of sleeping at altitude. It's just can you afford to live there? Can you grab route your life? No, if you can't, yeah, it's an advantage for that person over you. So I'm just saying we have a, we have sort of an ar, like it's sort of an arbitrary where we're drawing the lines is not consistent and it's kind of that, that is a big one. The, that in terms of uh, the impact on endurance, it is a big one. They're actually saying now that they think the best um, best course of strategy is to train at low altitude and then sleep at high altitude. They think that when you train at low altitude you have more output so you're putting in more repetitions because you get more oxygen so you have more work and then you get the same effect by living at altitude.

Speaker 4:          01:03:06       So you get, you get up there and sleep and you don't have to train up there and if you train up there, it's actually slightly less valuable than training at low altitude and staying up there damn. Cause whatever I'm whenever, whenever I'm stands and where High Alto, like I just did a weekend in Denver and I was like going on a run up there and it was like obviously torture compared to like being here in la. But I was like, oh I'm getting strong cause I'm running at high altitude. That's not true. That really fucks with me. Well you just really need something from me. Thank you. It's work and it will help you, but it's if you're a nap like athletes or we're literally working for one or 2% of an advantage. Occasionally on many occasions when you are living at high altitude and training at sea level, they think that that gives you a slight advantage because you can put more work in, especially for fighters, they think that skilled work and repetitions and drilling is one of the most important aspects of it.

Speaker 4:          01:04:01       And you can just simply get in more repetitions, you can get in more drills. Hmm. Yeah. But they, you know, again though you're right cause this is sort of a performance enhancing thing. You're not just living and just being yourself and then showing up and competing. Yeah. You are engaging in this activity that re significantly raises your red blood cells significantly raises your oxygen capacity, Changes Your Cardio, your vo two Max changes. Yeah. Here's, here's the word that it's just, just this, there's this weird idea in sports and look, you know, Shit love more about athletics cause then I do, it's not my, it's not my real forte, but I, you know, I do enjoy it. And the thing that's always weird to me is that we have this idea that like there's some kind of level playing field that the, there's this like baseline human that we can just say, well, you've got to be at the baseline, right?

Speaker 4:          01:04:48       Yeah. And humans are so variable. You're always going to find these weird cases. And when you try to adjudicate it gets really weird. Like, do you know about, you know, casters Romania? You know who she is? No. Uh, oh no. I do know this. Do I tell this story? This story pisses me off so much. So she's a mess. She's not a marathon, right? She's a middle distance runner. I believe she's south, South African. Um, she's like the best in the world at the 200 meters. You know, I actually got to see her because, uh, my, uh, uh, uh, I went to the Prefontaine classic in Eugene, Oregon with my

Speaker 5:          01:05:18       dad to like watch the big track meet, you know, best in the world. People, this is like a Olympics, you know, not qualifier, but it's like the Olympic caliber athletes saw her. She's incredible. Just like one of the best in the world. She's got, um, a, uh, uh, she, her whole life has faced accusations that she, uh, that her, that she's a man basically, um, because she has like an elevated level of testosterone or, and this is our natural body, right? And so she's had to deal with people saying, oh, we gotta, we gotta do a sex check on you, which is humiliating and like also completely unscientific, you know, like what, what are they going to do? Um, and uh, one look at her genitals. Well, here's the weird thing man, is that yeah, they want to look at her genitals first of all, which is humiliating to have that happen.

Speaker 5:          01:06:01       If you're an athlete, you're like, the people have to be in the room. This is the problem, right? How do you judicate that? Right, right. And also, there's such a thing, I don't know anything about her personal situation. Right. There's such a thing as Intersex people, right? Where when you look at the generals, you can't tell. It's not like, hey, just look at their junk. And you can tell, right, this is a real phenomenon. Like 1% of people are Intersex, right? Isn't that high? Uh, I was speaking off the top of my head, but it's higher than you think. You know, it's definitely hard. It's a nonzero number of people, right? Intersex people are a real thing. Um, and so, uh, so, but so she got past that, right? They stopped challenging whether she was like a man or a woman. They did it by Amazon Test Center.

Speaker 5:          01:06:39       Uh, I think you might be right. Yeah. Um, but so she's, she's had a deal with that. That's not fair. Right? She's a physical cause, a physical outlier. And now the IAF, which is the organization that runs all, it's like FIFA for track, right? They run all track. They have tried to put forward a rule. I don't know what the status is right now because it's being challenged. But, um, they've tried to put forward a rule that says if you have a testosterone level over a certain amount, you have to take a hormone changing to change your hormones and she's going to fall under that. And so they literally want to change the body that she was born with because they're saying your body is unfair to her. How fucked up is that? Right. That's crazy. It's really, really fucked up. And, and so the thing is when we make those decisions about what's fair and what's not fair, there's no baseline.

Speaker 5:          01:07:26       Human is always a value judgment. And when we're excluding some people, that's almost all, we always need to look at that and say, are we discriminating? They're definitely discriminating against Castro, Romania. And is this the IOC? That's what does doing this? And what does the IAA f which is the IOC, is the Olympics Iaf. The Olympics aren't doing this, so they don't have an issue with her. I don't know what the Olympic policy is. The Olympics is fucked up. We had a whole episode on the Olympics. The Olympics is fucked up in a lot of ways too dirty, dirty, dirty, oh incredibly Darlene's of dollars off those athletes who worked for free. We had this dude on a shot put guy who uh, gold medalist in the shot put. He was like the year I had a gold medal, I was not able to pay my bills, you know. Um, and he is literally trying to like unionize the athletes, which is very hard, right. Cause there's new athletes every four years. But yeah, those athletes are not paid. Plus no one's going to listen to the guy who throws the heavy roles.

Speaker 6:          01:08:16       What do you do? Do you want a hundred meters? Yeah, I got a gold medal for the hockey to hook a cannon ball. I'll use throw a rock. We're that you can't make a living throwing rocks, dude. Sorry. It's fucked up though because people watch those people watch the sports, you know the most fucked up things when they let the NBA play. Yeah. They left the NBA play get something. Yeah. Poor Eastern block nations. Yeah. You've got these fucking, you know, super athletes who are professional American and they literally like all players for the, for the biggest ones, they can, um, uh, you know, get spa. Michael Phelps can just, can you get a sponsorship right? For the biggest one, the biggest ones, but the lower ones can't get sponsorships and like the put people can't get sponsorships and they're also not even allowed to promote themselves using the Olympics.

Speaker 6:          01:08:59       They can't be like, Hey, pizza place. You know, I'll be, I'll be on an Olympic athlete. Me, you know, and the pizza place, because if they use the word Olympics, the IOC will sue them. Geez. So yeah, it's really, really, really not fair. It's so prestigious. If you can win a gold medal in the Olympics, I mean, you basically can, you have a fitness career for life. Yeah. But well, you could figure it out. You're going to be a high school coach for the rest of your life depending on the sport, depending on the sport. Right? Like shot put a shot, but I don't know what your prospects are. Right. Um, fuck bro. You're throwing rocks. Something that people enjoy, like track. I like track and field, which sucks. Has is one of the dirtiest of all the sports but it's my favorite one to watch.

Speaker 6:          01:09:40       Why is that a part of track and field? The rock throwing part. How the fuck he has a track or field. What are you doing? Are you a human catapults? Are you at the top of a need of the dude that they put on the top of the bridge for a rock? I like this where someone has to like ride a horse then shoot a gun, then go for a swim the old time. Shut it. Yeah. There's some stupid fucking sports in the Olympics. Sorry my Canadian friends. But curling, curling is the top of the heap currently is getting bigger and bigger. The postures, they don't have Jujitsu in the Olympics and they don't know. Okay. That's fucked up. Yeah. Retired NFL guys currently trying to make the curling team that just based off of a bet that he'd made with his drunk buddies. Like I bet I could do it.

Speaker 6:          01:10:21       That he could do it for sure. Having a tough time actually. Cause that they are, but like the drunk didn't, not even try trying. It's just the, you know, the systems we use to organize these things are so important. You know, it's like so much more about like, here's a really good example of this. I thought this is fascinating. Like, um, India, right? A country of over a billion people, right? Huge number of people has almost no Olympic athletes. Right. And I'm like the first guy wrestlers don't of wrestlers, I'm not sure, but the, I remember this because a couple Olympics ago, the first individual gold medalist ever from India won a gold medal and he wanted an air pistol, which is like a shooting. That's my shit shooting. Oh yeah. No, I had never heard of it before. Right. He's independently wealthy and had just practiced and practiced and practiced. What they don't have is India is, it's a great country. It's not a very organized country. They have a lot of infrastructure

Speaker 5:          01:11:14       in terms of, you know, we've got teams, right? Whereas in the U s we devote tons of money, government money, private money to like, you know, the swimming us swimming, billions of dollars, people training science, Dah, Dah, Dah. In India they don't have that, right? Right. So despite the fact that they have so many people, they got a billion people, they must have every time. They must have one of the world's strongest people. They must have won the world's fastest people cause they got a billion people. Right. What they don't have is that training infrastructure, right? So if you look at it that way, you're like, okay, hold on a second. We don't like performance enhancing drugs because unearned unfair advantage. Well, what else is training infrastructure than an unfair advantage? If you're born in the u s you have a way better chance of making it to the Olympics and becoming that greatest athlete in the world and someone in the, in India, how is that fair? How is that not an unfair advantage? You know? That's true. But

Speaker 4:          01:11:59       to play devil's advocate, if you were state sponsored athlete from Russia or China, you have a much better than you do. If you're an American and you're some shotput put dude who doesn't have a way to make a living in total you bills while you're working for the Olympics, you totally do. So my point is there's no right

Speaker 5:          01:12:12       baseline human like there's no, there's no way to eliminate all advantages and never, you know, and just say, oh no, it's just what you came is just what you were born with. Right. You know, it doesn't exist. There's no such thing.

Speaker 4:          01:12:24       Men who are running with that w I'm sorry, what's her name again? [inaudible] those women who are running with her, they just shit happens bro. You know, if you're a heavyweight boxer and you grew up in the era of Mike Tyson, yeah, I'm sorry, but this is just what you're stuck with. This is what's going on. And some people are just, they just have advantages. They just have advantages physically, mentally, and there's outliers. You found it. Sorry. You got an outliner. Might want to do something else. Yeah. APPS. I know. What race is that Lee's going to run. I don't run those races. Yeah. Run a different, not a different race. That's always been money you feel about trans athletes, you know? Uh, it's a good, it's a good question. I think it's, we're really going to go through like a cultural

Speaker 5:          01:13:04       change on how we think about that. You know, it's, it's morphing so quickly, you know what I mean? Um, uh, I'm very much because I am of this opinion that there is no such thing as like perfect fairness. And when we make those distinctions, we're always choosing who to allow and because I think we should choose to allow like trans people to participate in society. I'm for an inclusive approach where, you know, we're able to like find a, find like a model that allows those folks to compete fairly in a way that everybody's happy with. I think that's the, I think that's what we should do, you know? Um, and that to me is like, that's what makes me like sports more, you know? Um, is those comparisons like, um, you know, another thing that pissed me off so much was like, uh, oh fuck. What's his name? The um, the disabled runner who then killed his girlfriend.

Speaker 4:          01:13:54       Oh yeah. The, the story, a story, the story is right. And people were saying about this guy that his, that his a prosthetic gave him an advantage. Now first of all, there's no fucking way that's true because he doesn't have muscles, muscles converting food into does give you an advantage. I mean to do things. So I think mechanically does cause their

