Speaker 1:          00:00:02       Me,

Speaker 5:          00:44:00       It's really not that much violence. Well, how, how were you driving on gas? Where's that gas coming from? Dude, the gas is coming from a place that's getting bombed from the sky with missiles and that's where we have apartment buildings or blowing up. I mean, you know. Yeah. People are dying left and right, so it's. So. It's. Is it possible to have all that shit without all the bad shit? Is it even possible to have in this day and age or is this like an over clock society, is the only way to have a society like America possible is they're at

Speaker 4:          00:44:32       the very top of the food chain doing all sorts of fucked up on ethical shit or is it possible to have the control over the resources that we have and still be ethical as it possible to run a society like this and not do anything fucked up? I think even the way that you're asking that question is reinforcing the idea of a country and I am right. Anything that's going to eventually completely go away. Well, no. Yes, but it, it, it represents the framework from which you're coming from. This represents the status paradigm of, uh, you know, how do we have an identity or how do we have a society when you're using government in, in a way that doesn't clearly define it, and when you really break it down, the only clear way to define government is a group of people within arbitrary, geographically based monopoly on the initiation of force.

Speaker 4:          00:45:27       That's, that's what sets them apart. Like if I go in and say, you know, put a gun to your head and say, give me your wallet, I can't, you know, that that's wrong, or you can't be a gang member. But if you're in a war with another gang and say, look, these guys aren't murderers. I, they're, they're in my army. I made them go to war with the bad gang. Exactly what the fuck you talking about? That's it. I mean generally police, you know, and it's, it's what's sick is that we have to extricate, we have to, we have to pull out these legitimate functions of government in order to get rid of it. Like it's really tricky with the police state. It's an issue I'm really passionate about. You know, one of the things that I'm kind of put me on the map was the Jefferson dance party wouldn't when I got picked up and body slammed by a police officer, the Jefferson Memorial for dancing in public.

Speaker 4:          00:46:09       And that was, that was, uh, that's my video. That's got over a million views. Police pull that shit up. Brian. Where's Brian? But he's Outta here. You can't get it from the sound anyways, but vanished. You know, police officers do serve a legitimate function. The problem is that they've got a government monopoly on it, you know, that they provide for the public safety. But private security is obviously much better and when you have this monopoly power, they're not accountable to the people. There's always that detachment and it's, it's the, the idea of government. You say, do we need government for society? It's a government is antithetical to society. If Society is defined as how people come up with an identity and come together peacefully and cooperatively and engage in commerce and do productive things. And it's like, you know how, how do you say, how do you live healthy with a giant Leech on your back?

Speaker 4:          00:46:57       You know, is that essential? And it's like, no, no, no, you're in this government has to be a leach. That's the question. Is government have to be that? Is it possible to have a government where it's just, you know, we have a set of values that we put in place in order to help society run better and that's we all take place in it and we call that government could be not elite, but it can never by definition be moral and will always then give someone an unjust power that is corrupting. I got to see this video, man. Brian, where's Brian? You'll want me to vamp

Speaker 6:          00:47:32       Brian.

Speaker 4:          00:47:37       All right. This is Adam [inaudible] taking over the Joe Rogan experience podcast. Thank you very much.

Speaker 6:          00:47:45       Hm.

Speaker 4:          00:47:47       Dustin, Dustin, Dustin is here. Mild coproducer from the radio show. They want to send them a text message to them to get back in there. So explain to me what happened to you. They picked you up and body slammed you. Well, it's, Oh, did you want to see a video? Man? I don't want to see in it now. So it's a bit of a story as it goes back, like three or four years ago, there was a group of 18 people that were just a bunch of Libertarian activist that like Thomas Jefferson. And so they wanted to go dance because he was the dancing president. I didn't find out about this until after the incident. My facebook wall got just covered with all these Jefferson quotes about how he liked to dance and bust out the fiddle at the White House and stuff like that. But they went and danced at midnight on Thomas Jefferson's birthday just as a little flash mob thing.

Speaker 4:          00:48:35       Right. And the security guards came and start trying try to shoo them out of the memorial. And one of them was dancing out and got arrested. And they were like, what the fuck? And so they tried to to fight it in court. And like three years later the judge said, you know, like as if the, if the judge had said on the grounds of it's improper usage or it's a safety threat or it's like, you know, the, there was a way that they could have legitimately said there's no dancing. But it's kind of a ridiculous thing to say anywhere that you're legally allowed to be. You don't have control over your body. Or if you move in a certain way, like that's going to be illegal, you know, so it's, it's kind of absurd on its premise, like most of the things of, of, of government when you really go down to the actual core premise of what it means to be, what, when, when, when you say there should be a law for this or it should be illegal for that, but we, uh, we decided to go back because the judge said it was not appropriately reverent enough.

Speaker 4:          00:49:33       Reverent, yes. You had to be reverent of Thomas Jefferson. This is a public memorial where you've got kids spilling drinks and playing with toys and cars and shit like all over the place and you can't dance. What's the video? If you go to youtube.com/Adam kochish and then search for most viewed a high vitamin K o k e s h o k what was it? K O k e s h, yes. It's kind of a long video. It's 10 minutes. But so we went back and we know, we decided we're going to start dancing and the cops were waiting for us. So they said who's in charge here? And we all pointed to Thomas Jefferson, you know, the giant 30 foot statue of him and this couple that was there just started dancing and they bumped into one of the cops and the cop was like pointing his goons.

Speaker 4:          00:50:27       You go go, go arrest them. And they're swaying like hugging like Dan the barely dancing. And so the rest of us were like, well fuck that. It's on. And I was listening to what you can do it by ice cube and you could barely call what I was doing dancing. But by the end of this they, they picked me, the cop like picked me up and body slammed me because I was resisting with my hands out like this at my hands out in front of me. Like, you know, I'm not, I'm not violent. And he picked me up and body slammed me and then kneed me in the ribs and choked me on the ground there. And the crazy part is, you know, I was in the marines, I was, I was in the Marine Corps rugby team. We trained for MMA right now. But if I'm, I didn't know how to fall, like I, W I would have fractured my skull, like if I had gone limp and flipped bags on a marble floor and I would have cracked my skull open, but you could have done, um, I, you know, ask around and I was okay. We did. It's the top in the middle there.

Speaker 6:          00:51:30       You can watch the whole thing unfold. Somebody that's leading this guy body slammed you. This is the. Yeah, I mean it's this, it's this little chubby guy with, with probably a really small penis, but that's, that's the people that are authorized to use violence by government. That's got a sweet bike helmet. So he comes up and he's threatening to arrest us without telling us that there's any law that we would be violating the city to allow citation and he just avoids the question. You'll find out what, what am I being arrested for? You'll find out he's incompetent.

Speaker 6:          00:52:28       Then we tried to get a legal definition of dancing. Wow. What if you're at a time when you making movements with your body still dancing? Yeah. So now he calls over his gun and he's look at the little finger poke, come on, stop dancing. Oh my God, this is crazy. This is nothing man. This is, this is just the beginning of this. Give me a warning. And these cops are arresting her for dancing, for standing in slang. You know, it's funny because this happened in New York, so there's me sort of dancing. This is crazy. So this is what we do now. Regular civil disobedience where we just risked, arrest and stand up to the bully that has government. You know, we had the curse in Middleborough Massachusetts last week. Wow. This is crazy. They made it illegal to curse. Did you hear that story? I was in Middleborough, Massachusetts back and had a protest. Instead. We're just free fucking speech demonstration so it wouldn't be complete with little stare down with the cops there. And I really didn't think I was going to go out and get arrested late actually. I thought saying what does this dude saying? You hate America. You hate freedom. We've seen that to the cop. Yup.

Speaker 6:          00:54:00       So this is where it starts to get ugly. So he's like reaching out and punching him in the chest. This is America, the public. So this is the crazy part here. See there, he needs me in the ribs and you see it go in like resisting arrest. Still resisting arrest. I mean even though it is as stupid as it is of what the charge is, and then I mean when a police officers. But that's the point is to show the violence of it. There's no, there's no justification for that. The whole thing is ridiculous. Let's cops. They wanted to maintain this bullshit. Yeah. Bullshit. Sense of control and authority and they didn't recognize something that was absolutely not a threat. Just a bunch of peaceful people. Oh, they're hugging and you got to arrest him for hugging and moving their bodies. That's. There's no, there's no justification for this. This is nonsense. You guys weren't causing problems or hassling people mean. If you look into the context of this video, this is insane. I don't know how these guys cannot.

Speaker 6:          00:55:35       You cannot. You cannot stop them from dancing. You cannot stop them from kissing. You cannot stop doing. Then they kicked the media out, like how perfect is this as as a microcosm of what government. Who's got this camera? Who's filming this? This is actually dustin. Actually the guy in the room right now. This was when I had my tv show in DC. What is he filming this with? Dustin, you want to step in here? What are we filming? I can't hear you. Just a little camera. I think he said it's a small handheld camera. Was a canon from back. Nobody told you to stop filming. It was funny because they kick out the mainstream guy before they see me. I was kind of just dancing along, come and moving the laser,

Speaker 5:          00:56:24       so there's a couple other guys that were filming this as well to get kicked out. What's really ironic is they kicked out. Well it doesn't say they kicked out the guy from Fox. There's a local Fox network, I think that was covering it that day and they kicked him out. They kick out the guy with the big camera and then Dustin, because you know he's. Wow. We were shoestring television. What? That right there was just idiots with power. That's all. That was. Incompetent fools. That's a foolish person. It isn't that a fun way to wake people up to to show people that he's a pussy. This is what I always say about any, any laws, any people getting arrested. I use what I call the clinics would method. Could you imagine clinics would in a movie holding a gun, arresting someone for that? If not, then it's a stupid law because if you're not stealing or hurting someone or robbing someone within.

Speaker 5:          00:57:10       What's the smart law? Joe? A smart law is something that's set in place. People don't fuck five-year-olds. Maybe that should be a law. Maybe the earlier that we should have or are the ones that are based on on respecting each other instead of having a central authority, deciding what what even the standards of society are going to be. Do you think that with the Internet and what's happening now with the integration of society and technology that we're sort of slowly but surely getting closer to each other, even that it's comfortable and it's going to get to a certain point in time where there's not going to be a whole lot of privacy in this world? Yeah. No, but I think maybe that'll be. I mean, it's scary for us because we value privacy, but it might ultimately be for the best. I think it's always for the best.

Speaker 5:          00:57:56       I have faith in technology because it's empowering, but it's kind of scary right now to see that it's empowering to itself. What I'm saying doesn't have a moral idea. We have this idea that it's only for good until ai comes live when when artificial intelligence actually becomes sent. You know, there's a lot of. There's a lot of scientists, very intelligent people that have studied this shit their whole life. That guy in that movie, the singularity movie was Kurzweil's documentary. Was it called transcendent? Transcendent man. There's a guy in England is terrified of what he calls artilects artificial intellects. He's terrified of the possibility of them actually getting to a point technologically where they can think for themselves and shut things off and create new ones and create new artificial intelligence. It's more powerful and with more potential than they have, but this is all real.

Speaker 5:          00:58:44       Very, very possible. You can't say no like this is 100 percent possible. It's scary. No, it's no. It's not. So technology is available. Yeah, but it's not always good for this. I mean, it's good. It is what the universe is, which is ever complex. Just complexification on top of complexification keeps moving in that direction. It doesn't stop, you know, stars explode and they eventually become fucking human beings. I mean, all of this is coming from this idea that things get more and more complex and more and more crazy, but might not necessarily be good for humans. Technology might be terrible for humans. We might just be the rats that build the raft. Well might just be the monkeys that start the computer life form. They start the artificial ones and zero life on and we say it's not real, but it becomes real when you make it real.

Speaker 5:          00:59:33       If artificial intelligence actually becomes sentience than it is real. That's a real life form and we just don't think of it and respect it like, oh, like we would in alien life form because we think of it as something that we have control over because we just shut the power off. We just turn the switches on for now. That's all true at some point that goes away. But yeah, if you give that the computer program that you create the initiative to act on its own and it's much more intelligent than you are that things might get crazy. Oh No, they are going to get crazy, but that's not good. It's not good for us. Well, I don't think that's going to be good for all the dumb fucks that. Yeah, but then you're like the person with the rotary telephone saying, oh, those cell phones, they're crazy.

Speaker 5:          01:00:13       They're bad for you. Well, yes, to a certain extent. You know, if you talk to people that live in the mountains, they still stand by that shit. You're fucking yourself up with all those cell phone signals and you don't need to check your email every five minutes, but you know, this when we might be is just a step along the way. I mean, me surely are right. I mean, we look at evolution. We look at these new fossils they just discovered today where there was a, or it was just a news release today about, uh, some, some hominoid that was a distant relative of ours that was upright and walking 6 million years ago. It was pretty radical discovery. They're figuring this out. Just think of that. Six million years ago there was some fucking monkey thing, and then 6 million years later, boom, unr sitting in front of giant laptops and ones and Zeros are flying around, know, through these pipes and wires and shit under the ocean.

Speaker 5:          01:01:04       And whoa, it's getting fast. Yeah. It's always getting faster and faster and faster. You know what? That's what tempts me to be scared, should be, is that we're going to get to this point. We're going to the technological singularity coming in what 20 years we, and this is the implication of that when we have a computer that's smarter than the human brain and in a sense we've, that's like an arbitrary benchmark, you know, a more significant benchmark. That in a way is not a benchmark because as soon as we have, you know, the wheel, we're able to use that to get rate, get more technology, you know, every innovation builds on the previous innovations. But in a sense we get to the point where we have computers that we tell design the next smarter computer design, the next Margaret computer chip and we're already kind of at that point and then it takes off this exponential curve.

Speaker 5:          01:01:52       Next thing you know, we're, we're telling computers how to solve, instructing these things to solve and they're going to tell us gay shit together, bitch. You know, what I'm scared of is that like right now we see in the news they have this laser that can hit your scan and do a molecular analysis from 100 feet away and the Tsa is going to have this and be able to tell what bowl breakfast that morning. It's crazy, but it scares me to see that that's in the government's hands. But at the same time I'm, I'm so confident, you know, and like I said, is going to get scary and at some point every surface surrounding this is going to be a touchscreen and you virtual reality merges with reality and then who knows, but now we're going to have to jump ahead and started talking about my last dmt experience because it really relates to that.

Speaker 5:          01:02:33       But what we're, what we're coming to is there's going to be a point where basically everybody gets a therapy robot. That's my prediction. And in a way, you know what I thought about this. Every single trend that I look at like way into the future. Uh, I go, wait a second. How is it already happening now? And in a sense, think about how much therapy and psychological benefit people get from the Internet. The fact that they can look shit up and go, oh, I know I have issues because of this. Or they're able to find communities, people that work through their issues in a way it's able to develop issues more likely than a KKK website.

Speaker 5:          01:03:09       I fucking sleep with a laptop in my bed. That's the percentage of what's being done on the Internet is not educational in one way or another. I mean the, the, the potential for education exists. But compare what's happening majority station with the Internet compared to what happened. Everything's accelerating, whether it's entertainment or education. Kids are smarter today. They have more access to information today, less, less viable to be sucked in by propaganda. This, this, uh, it's a different time. We live in a time that's just is unprecedented. This is, we're in the, we're in the wild west. We're in the wild west of technology. Each time we look back in human history, we're going to see this as the, as the point at which we hit the vertical asymptote. That's what the next 20, 30 years it's going to be that curve and the and the exponential growth curve. That is the human experience. I call it the roaring twenties of the technological age. That's what I take where we're at. I think we're in the roaring twenties of the technological age because I think they're right now. We still don't really have a handle on what this fucking thinking that actually do, you know, instilled. There's all clunky things like windows run time errors and you know, hundreds of thousands of computer viruses and. But what's going, what's going on with Brian has to talk to the AC guy leaves.

Speaker 5:          01:04:24       I'm glad I dress for the warm weather. Yeah. We have some funky air conditioning issues here at the ice house, so we're trying to work out. It's funny that you call it the ice house and it's hot as fuck in here. I went through that bad joke routine in my head on the way over here today is much better than yesterday though. Yesterday was pretty brutal. I don't know how people do Vegas, man. I don't think I could do 120 degrees that you step outside. It's like getting hit in the face with a hairdryer solution for seven months. Man. What's that like? You don't notice over 1:15, you just sort of like real and it's the same way for like with me for weed, you know, you get so high and they kind of Plateau. It's like above, above about 115 degrees Fahrenheit. The human body and the desert can't really tell the difference.

Speaker 5:          01:05:03       There are times when you inhale fire, you know, from a hot breeze. But really it's just, you're just hot. Were you over there without Pat Tillman was killed. He was in Afghanistan. He was in Afghanistan. But when I. Did you hear the news when you were over there? Uh, you know what? Because I remember that unfolding. I was there in 2004. You want me to look it up because I wasn't always remember what you felt like when you were heard. Like all the shit that went down when they tried to say it was, he was killed in action and it was really friendly back then. I, you know, I was asleep, you know, I was, I was one of the sheep. Really. I wasn't, uh, I wasn't politically attuned. So when I heard the store and was like, I acknowledged it, but I wasn't really find that hard to believe you're very articulate guy.

Speaker 5:          01:05:46       I mean, he can't, even if you're obsessed with all this information, there's no way that you would be a stupid person when you're young to believe in it. And I, you know, you're susceptible. We should step back and maybe for a minute and talk about this, this, uh, this podcast because there are a lot of people and I want to get a shout out to Michael Salvey for making it possible for me to come out here because there are a lot of people like him in my audience that they really cared about me getting to have a conversation with you. And there are a, you know, in a way I really look up to you and I feel like as much as my audience wants you to benefit from hearing my perspective right now and talk about what I'm, what, what we refer to ourselves as awake to our understanding of government society, you know, I want to, uh, you know, you're, you're 14 years ahead of me, but you're like, you know, I want, I want to, I want to learn something from you almost want to be interviewing you.

Speaker 5:          01:06:45       But I think we all were learning from each other. I mean, you saying that you look up to me is, it's always funny to me when people say things like that because I think the reality of it is we all inspire each other and it's great when we run into someone who we really feel like is on the right path. Like, fuck man, you're out there doing it, you know, and we benefit from each other. All of us. Do, you know, that's just, that's, that's the good thing about the internet. That's a great thing about the end of the Internet connect people like you and I were in past years. It would be so impossible. This is that we exchanged a couple series of tweets. We don't even talk to each other face to face too. We're actually saying no, I mean that's a, that's a crazy, crazy world.

Speaker 5:          01:07:28       So in that sense it does amazing things, but we were all. Everybody has a part in this thing is one of the things I was going to say earlier when you were, um, when, when you were talking about people and the human mind and the power of a computer, the crazy thing about people is not just the power of the human mind is the fact that we can figure out how to work together because the only way a computer gets made is if somebody figures out how to make all the different parts of it and figure out how to integrate them together and make it work together. There's a lot. That's a lot of motherfuckers. That's not one dude figuring out how to Code Algorithms and figuring out how to send packets or the Internet. No, this is like a bunch of people. Everyone has a specific task and guys like you have a task, guys like me have a task. We all have that

Speaker 2:          01:08:16       task is what? What are you drawn towards? And even if it's fucking playing basketball, if that's what you love to do, and if you're fucking thinking about basketball all the time, your, that's your thing, man. That's not a, it's not a bad thing. Standup comedy is a ridiculous pursuit. You just making people laugh. That's not still, it's not a bad thing. You in lane people and your comedy sets you apart. It's not enlightened. It's, I tell them shit that I heard you share a very valuable and empowering perspective. Uh, I'm happy that that's the case for me. It was, you know, that that's true and I appreciate it. I appreciate that. That's the case for your masturbation jokes, you know, in, in, in today's repressed age are empowering the people that are afraid to talk about those things. Well, I think that, you know, the, the lessons and the battles that you go through in your life where you figure out what stupid and what's empowering, what's good and what's bad for you not to have a perspective when you get to be a certain age.

Speaker 2:          01:09:17       We hit 44 years old and not have some shit figured out that you didn't have when you were 25. This is ridiculous. But from, for me, it's like when whenever someone would say they look up to me or you know, hey man, you changed my life. I would say like I'm not going to antenna. Okay. I'm just antenna for all the shit that's out there in, in this crazy fucking weird world. So when I repeat shit back or when I analyze and add a bunch of shit together that I've, that I've read that other people have figured out, someone saying they look up to that. It's a very weird thing to hear because it's just, I'm just just dealing the stuff, you know, just doing comedy or doing podcasts. It's not a, it doesn't ever seem like a anything important, but when you get the overwhelming amount of response that this podcast gets on twitter and you know, and whatever, anything on the Internet, my master port, it can fuck with your head.

Speaker 2:          01:10:09       It gets kinda tricky. You feel like you got this weird obligation, you know enough people come up to you and say, the Ama changed my life. You start going, man, maybe I should start a fucking cult. Big Ass. Maybe that's my move man. Big Ass plot of land in Brazil somewhere. Just tell everybody. Well fuck this country. Let's move man. We could run shit. Nice down there. So the air conditioner, the weather's beautiful. The air conditioner outside is being worked on and should be done in like 30 minutes. So they're going to turn it off for 30 minutes. But when I walked out I was like, so how long is it going to take? And this is what I saw. Look at that. We'll watch this. See right here. He's got. He do. Don't put that on the Internet. That's the guy that's told them. You're going to put that on the Internet please. By the way, we should tell the federal federal rallies. He is a licensed patient here in California. What do you think of that, man? That's a creepy thing. When we had a Tommy Chong on, we've talked about that. We said it was basically a money grab. These dea agents that are rating these California dispensary's even though in the California state law, medical marijuana is legal, there are allowed to sell it. They're allowed to have it.

Speaker 4:          01:11:15       Dude, just for you, just for you today. I went and I got my license from Dr Winkler, md. Shouldn't say the doctor's name. TheSe doctors are all undercover. Oh, he's cool. That's the thing. It's all legit now. Oh really? No, and I was. I was afraid that what we were going to see was this and it is a ridiculous cottage industry of writing medical marijuana prescription and I was thinking, oh, it's a shame that this is a diversion of legitimate medical care resources and to a certain extent it is, but this is. He was the nicest old dude and when he came out of retirement to help patients all day, just chilling, you know, and you know, he does get to help patients occasionally as he says, but you know, because there's a lot of people that just come in for their paperwork, you know, he's just writing scripts all day, but you know, it's karma and that man to be a doctor and do that. There's, yeah, because you're turning the guns, the government away from people you're covering for people. And it's funny in Colorado though, where it's not as well established. So it hasn't been subjected to market forces for as long. The doctor still charged $200, but my doctor charges more than the 35 minutes to write a referral. I don't wanna I don't want to say my doctor's name because I don't want anybody to get mad at them on the outside of the building. He went to jail for it.

Speaker 2:          01:12:28       And um, he uh, he did time and leave you. I don't want, if you went to jail for. I know he's arrested. I know he lost his license and he had given back. It was during the beginning of the medical marijuana.

Speaker 4:          01:12:39       It's funny. Back then you could use lose your license for being involved in this. Now you have to use your license

Speaker 2:          01:12:44       to get people pot. Well, yOu know, I, I was turned onto the whole medical marijuana scene in part by my friend todd mccormick. Do you know todd taught store my friend todd is a really brilliant guy when it comes to any knowledge of cannabis or hamper the history behind it and the suppression of it had cancer himself, you know, he needs marijuana. Like literally, you know, and knowing him, I got to meet all sorts of people like that that are inside the medical community and most of them are doing a great service. You know, most of 'em are getting weed to people and you know, there's nothing wrong with that, but there's a few of them out there that it just like the people in northern California saying we should keep it illegal because they make more money. Oh yeah. That's big, isn't it? That just shows you how twisted government is that somebody's always benefits in, wants to benefit from the violence.

Speaker 2:          01:13:38       It's just sad that anybody would ever want a profit on keeping something from. From everybody when I know it would be good for everybody. You know the fact that you would vote against legalization while you're selling pot. It's like, man, that's not good for you. You're making a real creepy decision, man. Burning you would still be okay. Everybody thinks that like people are going to grow the wheat. I'm not going to grow my weight. What I pay fOr weed right now, it's perfect. I'll keep paying that forever. You don't need it. Nobody has to lose any money. You don't have to be country about this whole thing. It's just completely ridiculous. How many people are going gonna? Start a weed farm. Really

Speaker 4:          01:14:10       kNow pot heads out of that

Speaker 2:          01:14:11       kind of ambition. Well, if they want to, they should be able to. Man, If you want to grow fucking tomatoes, you should be able to grow tomatoes. It should be legal.

Speaker 4:          01:14:18       well, it's going to be like who would grow tobacco? You know? Eventually that's what it's going to be, but I want, I want, I want to tell a little story about my experience this morning because I haven't really had a blast. We went right across the street to la confidential and it's one of the dispensary's in the hollywood area and in place. I want to give them a shout out. This was a real operate confidential. have, you know, I guess not, and I'm going to, I'm going to call out people by name because they were. They were awesome. Okay, cool. And they said, they said that they're not allowed to. You're setting a precedent. You will have to give shout outs all the time from now on. Well, anybody stops. You also have. You'll also see I have an ulterior motive here because the guy at the front, his name was jeff and he looked like the character from south park who's dead.

Speaker 4:          01:15:01       I'll just sad, sad. I'm sorry. I didn't mean to derail my story with that tragedy. No, I did it real. I was just thinking about the cartoon, but anyways, he was, he was, uh, you know, we weren't allowed to film in there and they were very professional about it and who was understandable and they had a no cellphone policy, but they had, they had, they have a separate bar in the back. so at first I went, I talked to this, a lovely young woman, mickey, and this is my ulterior motive. I'm kind of hoping that by giving her a shout out, she will actually call me, oh, you're trying to get laid on this show. That's ridiculous. How dare you. And it's such a mad struggle and don't ever do that. That's a terrible idea. Terrible idea.

Speaker 2:          01:15:42       She'd never do that. If you can't get laid without mentioning a chicken here or even get to her to hang out with you, how much interest could she possibly have? The last thing you want to do is give a shout out on the air because what if this doesn't work out? What if this doesn't work out? And then like a year from now, your new wife who you love more than anything, you're like, you gotta listen to this tape. This is me on the joe rogan podcast. Was like, wow, this is so amazing. Who the fuck is nikki? Who's nicky? Well, nicky. Nicky didn't work out. She didn't. I, yeah, I gave her a shout out, but she didn't. She didn't go out with me like you. You're still lose hope and you.

Speaker 4:          01:16:15       I do want to give a shout out to asa, akira and tara patrick that we'll just call you for no reason. Just for no reason. Just giving shout outs to hot porn stars. Oh there you brian. I went to. She was great and this was great. The customer service is really incredible. It's my first time buying, but I had gone to. They're all high man. They're going to be real friendly. I went to the club and breckenridge in Colorado, the breckenridge cannabis club. And for my youtube channel we did a recording with my friend job weeks there with his new local currency mountain hours. This was really exciting. Yeah. So they explained that they, they have their own talk about monetary policy because this was really awesome, but mickey was, was really helpful. I got as a, as a first time or discount, a free hit of hash and I had never had this before where they, they use the blow torch over the little metal device in, into the front of the bomb and they gave me two half

Speaker 5:          01:17:10       hits that were like for me, a huge, huge rips of hash that knocked me on my ass and they have this beautiful smoker's lounge in the bag. Jake was there, very helpful. It was a, it was a wonderful experIence. And I asked them if there was, if I could plug their business and they said, well we can't tell you what to say but you know, I said, is there, is there any message that you want to get out? And they said get involved, you know. And I think that's really cool to see that most people aren't like those growers in northern California. They want people to get involved in the issue. They want people working in, as he's, as chef specifically said, you know what, this could be if it was fully legal, classify what you're saying. The reason why the people are in northern California or intuit is because they're selling it illegally.

Speaker 5:          01:17:49       They they want it to stay illegal. They will either a lot of them, but the grower, the growers that are selling to dispensary's, they're not the ones who are voting against legality. A lot of it is the guys who've been doing it, old school where it's just completely accepted up there. I mean a big part of humboldt county is comedy is based on marijuana. That has just a fact and it's just been sort of accepted, but now not so much, you know, now it's a. Then they also had the problem with mexican gangs that are running these forest. They set up these things in national forest, but put up these farms. Even the people here in the dispensary's have an interest in the law, not changing. You know what I'm saying? Like they haven't because it know if it's fully legalized they just switch over and start selling it or they have the same.

Speaker 5:          01:18:36       No, they have the same, the same bullshit. Financial interest in the current government restricted system that the people in northern California too and and most people. My point is most people are good people and the people that are like confidential are good people. Somebody I think you're saying that you believe that you know how everyone who runs a dispensary thinks and you know you can't. It's real hard to say that, that they know. I'm just saying my sense no, because I do know other people that are involved in the industry, but that's not necessarily bad for them. If it becomes legal, they just can open up a weed shop. They can switch from a medical dispensary slash no, no, no, because it'll be more commercialized. There'll be selling it at a walmart in the cigarette section. You know what I mean? Like or with liquor stores it'll be, it'll be, it will be specialty shops, but there was more competition you'll have, you'll end up in more legalization will end up with a greater consolidation in the market.

Speaker 5:          01:19:26       I don't necessarily think that's the case. If it's to sell weed, why? I mean why would it have to be so expensive that you'd have to go through walmart with its thousand employees? Why you could sell weed. You could have like little locally, locally. There would be more. There will be more competition. Wonder, I wonder how long it would take before marijuana is legal. As before coca cola gotten business and started saying, listen man, we need to. You know, there's a big business. Let's get a piece. It's really fun to apply the economics of this and then you start to understand why the violence is happening in Mexico because their business is being shredded and they're fighting over a territory that is rapidly shrinking. I would. It is. THat's because marijuana or drugs are illegal

Speaker 4:          01:20:07       in this country. Swag anymore. In America it's hard to find it. Shitty mexican trash compactor. We'd like the shit I used to get in high school for, you know, $80 an ounce or whatever it was. You can't find that anymore. I had this epiphany. I was in Kansas city where it's as illegal as it is anywhere else. I was there for, for a gig a couple of weeks ago trying to buy weed and it was like we were trying to. We were joking about it, but we actually trying to find shitty weed to see if we could do it and we couldn't, you know, I bet east coast you could still find find in Ohio. I got a couple months ago. It's out there, you can get it, but you see how much it's because when it's, when it's illegal in California and it's still gray market for producers, it puts pressure on the market in places where it's harder to grow and so people are able to get better weed from the surplus in California and it's a better deal for them.

Speaker 4:          01:20:57       Then they get the ship that's up from Mexico. I did comedy at that la confidential. they used to do a or like a comedy shows there and I did it with joey dia's, no, la confidential. And they have like a stage in the backyard they used to. They stopped doing it though I heard. Um, but it was crazy because if you were on later in the show, like I was like second to last, I was uh, right after joey diaz or something like that. A beginning of show was awesome. Second part of the show, everyone was so fucked up from doing hash and fucking weed and stuff like that. Sitting at with drool coming out of their mouth. Just looking at the movements you're doing with your hands too.

Speaker 2:          01:21:35       Did a show who the fuck that I do a toronto with? It was either a sam trip. No, it wasn't. It was the ra should fear at thompson. I forget who it was, but we did it in this place in toronto. That's, I don't want to say the name because it's probably illegal what they're doing, but they have a pot shop and the front where they sell bongs and shit in the back. They have a hot box, this is a hot box. Got 100 people boxed in with no fucking ventilation whatsoever, and everybody's hitting bongs and vaporizers and they're passing blunts. The air is so ridiculously unhealthy and healthy. It's all smoke that can't. You got to. It should be a little smoke, a little air, a little smoke of this was just nothing but smoke to the point where the next day my throat was sore.

Speaker 2:          01:22:23       I was like, wow, I might be fucked. I was worried that it was going to mess with my voice because it was nothing but smoke for like an hour. I've never been that high in my life. It was ridiculous. It was so. There was so much thc in the air and no, there was no air was all thc and carbon dioxide has bad breath and people just blitzkrieg I don't even remember what I talked about. I'd bet I did maybe five minutes of material in an hour onstage. It was preposterous, which is going to be tonight. Tonight's preposterous. If you're around. Ladies and gentlemen, tonight we've got a 10:00 PM show at the ice house comedy club right here in lovely downtown pasadena where they've spotted rabid bats. So if you have a turtleneck, put that shit on. You don't want to get jacked by a rabid bat.

Speaker 5:          01:23:06       Yeah, we just released a 20 more tickets. So good. A comedy sitcom. 20 rabid bat bats in here. um, yeah we got tonight. Ten pm show we got joey, joey does. And then there's one already should fear dom I rera greg fitzsimmons. Brian red band, ico tanaka, ryan mervis. And our host is always a tony hinchcliffe who's hilarious and me. You dirty bitches. So that's tonight a 10:00 show. And of course we'll also have the ice house chronicles that go on at the same time. And that is only available on the itunes desk squad label adam coke cash in for an ice house. This is not the coldest place yet. Yeah, we already made those jokes to. You weren't in the room. Yeah, you were dealing with shit. That's what hacky material. Well it's just called parallel thinking. So don't be so hard on yourself. So um, how long have you been down here for me?

Speaker 4:          01:24:00       Just for this. It kind of worked out. I don't really realize that, that it worked out, but I was in Colorado for the mountain hours event and then it was able. I was able to come here. But.

Speaker 5:          01:24:08       Well we got distracted by weed man. We were actually, when you want to tell me about, I want to hear the currency thing that you would tell me before the show about the they have their own currency. See?

