Speaker 1:          00:00:01       Three. Two we need like a digital counter. Three, two,
Speaker 2:          00:40:31       is part of what's going on to just the the human bodies. So insanely complex and there's so much to understand and so much to be you have to kind of be like you are, you have to be obsessed with all this stuff. I didn't think I was obsessed. You're obsessed by pull out my phone up to your face a little bit more, but you're you, what you are doing though is just, it's, it's so important and so it, there's just so little of it out there for people. This is part of the problem. It's like you have to really go looking for these solutions. I mean, you got to go through every door in every channel and try to find out. And so many times they want to offer you some sort of a pill, some sort of a pharmaceutical drug. It's some sort of an antidepressant antianxiety medication. And if that one doesn't take, they give you an antianxiety medication on top of the anti anxiety medication, fuck,

Speaker 4:          00:41:24       uh, lunch or dinner with the admiral in, uh, Virginia Beach, the beginning of this year. And one of the stories that he was sharing was fact that his wife,

Speaker 5:          00:41:34       uh, was diagnosed at a va as having a thyroid related issues. So they started treating it in the course of treating it, she felt worse because they weren't giving her the ample amount of replacement hormones. So the next thing that the doctor offers her as an antidepressant, saying the reason why you still not feeling well, it's because the antidepressant. And when we got to her and checked out or hormone levels, her hormone levels were off. And did they even check her hormone levels? No, of course not. You know, they hand those Goddamn antidepressants out like fucking candy.

Speaker 3:          00:42:03       That's what was crazy with me. So I was like, there's gotta be an underlying condition. Like in summary, tell me what that is. I know we've got, we're managing symptoms, but can we do that and can we do it objectively or scientifically? And that's the beauty of, of of the protocol. Because again, to break it down for everybody out there, Tbi, it's a two phase injury phase one is that a physical trauma or assault? You know, it could be black, uh, uh, explosive blast way, blunt force, trauma acceleration, deacceleration slip, fall rollercoaster. Anything that causes that anti inflammatory cascade to start rollercoaster can cause it. The coordinator Mario Cannon, the literature. Yeah, but just think man, like, so mark calls it the neuro permissive environment. So if you don't have a good internal environment, like you're eating a bunch of processed foods, sugar, you're leaving just a, a low quality of life, making poor lifestyle decisions.

Speaker 3:          00:42:52       Those things, how are like compounding interest over time, uh, are being like low level blast waves. And it could be something as simple as one of those 300 mile per hour moving roller coaster. It's going to rock your head back and forth. That could be enough to be, you know, hey, that's enough. That could cause the inflammation and the inflammatory cascade and then that causes the hormones to become deficient or insufficient. That's what we found through our research, at least our, that's what our research suggests is that's the process. And if you don't get rid of the inflammation or bring the body back into a balance, if you don't replenish or replace those hormones that are lost, you're going to have all the physical and psychological manifestations that we all know about and talked about. And so that's the deal. Can we be objective? Yes, we can. Can we measure it? Yes, we can. Can we predict and replicate? Well, we've done it 1400 times so we can, so now it's like, okay, well how do we continue to take this to the next level to make sure this goes mainstream? It's disseminating information on platforms like this. We're working projects with the government. Like right now. We think we might be able to actually affect change on a real level here the next few years. Yeah, it's, it's so incredible

Speaker 5:          00:44:03       that there is finally some sort of a resource that there's something that people could turn to, but uh, we need to lay it out. Like there's, it's gotta be every point, right? It's gotta be nutrition. It's got to be exercise. It's got to be reducing the inflammation. It's gotta be replacing the hormones, all those things together. When, when, uh, an individual is suffering with symptoms, I call it symptomatic Tbi. I don't really agree with the term pts or ptsd or ptss especially

Speaker 2:          00:44:32       when there's a history of trauma, trauma, trauma to the body or trauma to the brain. Yeah. It's not necessarily, I think people think of it as like stressful situations that guys have been through. And one of the things that I've found in talking to a lot of guys who are operators is they don't have like a high stress level because of what they've seen. Like there, the, there were the actors, they were the ones who are doing the things. There weren't, there's a lot of, the stress level comes from a lot of the guys that we're not being proactive. They're waiting around for something to happen to them. And those are the guys that are the most effected by Stress Disorders. The guys who were wondering when they were going to be attacked. Whereas guys who are operators who are out there aggressive out there being proactive actually correct doing it. They had less of a situation with that. Less stress meditation for them going out and killing people.

Speaker 3:          00:45:21       You're on the offensive, right? Yeah. So I mean I can speak from experience here. You're, you're on the offensive. You're not waiting to get on there. So when you're stuck in this, what it is is a fight or flight mechanism, you know what I mean? You're on security mode, uh, in a non combat environment. And so these guys get stuck in these fight or flight modes and they can't figure out why, why am I in fight or flight like this? This situation does not call for that type of response. And then you look at it like if you're deficient in these things, what's the body going to do if these got these mics, electrical signals or they're sharing of neurons, it's going to come out as a fight or flight mechanism and that's why they're stuck in this and that's, it's called post traumatic stress. But when we've treat these so called psychological issues as a physical injury and replace and replenish, lower the inflammatory cascades, guess what? Those symptoms resolve themselves whether they were, whether they were on the defensive or offensive. You know what I mean?

Speaker 2:          00:46:21       That's fascinating. But there's definitely a psychological difference between someone who becomes a seal or a ranger or a green baret there. There's a documented yes, there's a, there's a difference in the mindset and you know those, those people are some of the most important people we have in the planet. Correct. You have to have them. You want to have a safe world. You have to have the elite of the elite. You have to like and people who don't understand that you need to go to some really terrible places in the world and understand what's out there. You know, looking across the spectrum of special ops and then the regular army. We've talked about this in the past. The pattern that I've been seeing also in in civilian population is those people who are more eight type get better, faster. They want to get better as opposed to the people who really don't want to get,

Speaker 3:          00:47:09       or you've seen it time and time again. It's like if you have a clear vision of the future and it's like, Hey, I'm going to get better. Like I don't care what anybody else says. Like they were like the 10th stop that they've come to their like, we've tried everything, we just found a, you guys were going to do something, let's get this going. But those guys get better. Not, I mean, not to mention, of course, objectively we can, we can

Speaker 5:          00:47:30       push look at it, but people come to us and you're like, ah, I don't know. Life doesn't work out and everything goes my way. You know? I hope this goes, but I'm not getting my hopes up. Anything else? Those people will talk themselves out of getting better and I wouldn't have believed it unless I've seen it time and time and time again, hills people mentally fucked themselves out of life. Every step of the show we've watched him put a gun in their mouth and pull the trigger, you know what I mean? Unfortunately we've lost people to do in that and it wasn't like, hey, we got, we got you the help. And then it was like, well it's such a hassle to take the medication at the prescribed times. And I'm like, what? What? And then I looked into that and like that's a thing called noncompliance.

Speaker 5:          00:48:11       Like, uh, the Glaucoma Research Institute put out a study like 60% of glaucoma patients don't take their medication on time. No one that that will cause them to go blind. Because I had needed to, I needed to justify losing some people that I couldn't, I couldn't wrap my head around and like, why won't they be compliant? They people get in this Rut and they memorize these emotions and they get in this negative fucking place, man. And they, they talk themselves right out of life. And why people become super comfortable with repeating these really negative patterns. They get comfortable because they know those patterns. It's very disturbing when you see someone who's, you know, I grew up with a lot of guys that had drug problems and when you would see they would get hooked on coke or something like that and get off of it and know that they're on a better path, but it's pulling them back in and not even physically like the, the, the process of doing something that's fucked up and ruining your life somehow or another, it becomes more comfortable than the process of the unknown, which is improving your life.

Speaker 5:          00:49:16       It's, it's scary to people, to people they know the of the devil. They don't, you know what I mean? And I think at a neuroscience level, right? They could memorize an emotion cause what I those thoughts and freaky. Yeah, yeah. Whoa re structure of the brain through neuroplasticity. And that can be their new status quo. Right. How do you get people that are in that mindset? How do you get them free of that? I mean, how do you get someone who's this woe is me. It never works out, you know? Is there a way, I mean, is there a tried and true way, man, to direct my health, trying to, I wrecked my health tourism, but we've had a couple of guys who had stopped their protocol because they didn't feel that anything was happening from it and they send me an email after they had been off for maybe a month. I says, Jeez, I don't feel as well, maybe it was working or they say that we're working with the devil and and go all kinds of weird. Yeah. I stopped January accepting a Pi cases, you know, legal cases because what's the impetus for them to get better? Yeah, zero. They get what they want to pitch a personal injury, like the motor vehicle accident there. One disability check. Yeah. Yeah, so I stopped taking Pi cases. That's unfortunate because there's gotta be some

Speaker 3:          00:50:28       people that have real personal injuries that would like to get better. I talked to everybody, I filter them, but generally speaking, I've cut down, I just come to the conclusion, you know, like, Hey, I can't make the decision. I can't make anybody get better. Right. You know what I mean? Like all we can do is give out the information, but I mean shoes on and make them go to like literally made myself sick, like worried about people like, oh my God, you know, we're going to lose something and I can't like, man, I can't do anything. All I can do is I can control my attitude and my effort and I can push out this information to the best of my ability and people got to meet us halfway. You know what I mean? Like there's nothing we can do to make somebody want to get themselves better.

Speaker 3:          00:51:08       Talking with the guy tomorrow is his brother's at wit's end and just wrecking everything that he comes in and out of every rehab program. Uh, just as a, it's a horrible place. It's, it's, I don't see an end in well, and I'm going to talk to him tomorrow because he wants to know how can I make my brother want to get better? And I'm like, brother, I love you man, but we can't do, I can't force somebody to do that and that disaster, I don't know. The tragic part of that I think is, um, you know, the person's not thinking right because they're, their judgments clouded because of a head injury. You know, serving the country. It's, it's, it's, it's a bummer. One of the battles that we have also is that people, relationships, I speak to wipes that are a strange husbands that are strange when we take on a new veteran or patient, uh, to let them know that the person that they've been dealing with post traumatic brain injury is not really the person they want to be.

Speaker 3:          00:52:05       That's an effect of the hormonal dysfunctioning. So they're depressed, they're angry, they're, you know, they're difficult to be around. So I tried to get them to help in the protocol to get them better in what we've seen are couples getting back together. We have a 77 year old, a Vietnam veteran who lost everything. He's back with his kids now he's out and back chopping wood and Boston. You know, just, that's the reward that really is the reward. But people have to understand that if that you've had traumatic brain injury, anticipate within one year's time, total change in the person, total change. They're now no longer the person that you anticipate. How long did it take you for that transition? Well, it was, uh, I started first having symptoms like six months after I got home. You know what I mean? So that's the difficult part.

Speaker 3:          00:52:53       Like you're not missing a limb, so you don't think anything like, we are rocking and rolling, come back, good to go, happy to be alive. Let's get ready for the next one. And then boom, stuff starts happening and it's like, oh my gosh, what's going on? You know? Um, but you can't see anything and you just keep going and you keep seeing this low quality of life and then you want help and you can't get help. Uh, you asked for help, you're getting medication, start drinking, sleep gets messed up, nutrition gets messed up, start wrecking relationships, then start thinking about, I'll never be able to do what I thought I was supposed to do. Nobody understands me. Um, what's the future gonna be like, like this, you know, and it doesn't get neat. And that's how you get trapped into these memorizing these negative states.

Speaker 3:          00:53:43       Cause you get stuck in that for you. You heard mark on the podcast, how long did it take you to act and how long did it take after their tea for you to become who you are now? It's, so I made that decision at my son's bedside and that was, uh, several months before I met mark. Well heres this, how many years ago? This is 2000, uh, 14. January 7th, September of 2014 and I didn't meet him until December, 2014. Right? So, uh, it was all of 2014. It was just a disaster, right. Leading up to the hospital scene. So I made the decision like, Hey, at that point it was like, you know what? I've always been defined by my future, but all of a sudden like, you know, like being a special forces greenbrae was my mask. We all wear our masks and that's how I, uh, that that was my identity, or at least I thought it was.

Speaker 3:          00:54:35       And so when that got taken away from me, it was like, well, what am I going to do now? And now I'm sick and now my children are sick and now they're telling me like I have a brain injury. Like what does that mean? Like that this is like just getting rocked. So like being rocked by circumstances knocked me for a year and a half, just, it knocked me and like I wasn't prepared, I wasn't ready. I didn't know how to deal with it. And it wasn't until I made that decision that I was like, no, I've always been defined by going after the future that I want to create. I'm going back to that. And it was like, so there was like a will, you know, that was to it. Like, I don't know where it came from, but like I could observe my thoughts and I was like, these thoughts that are being produced now or not me, I don't know where they're coming from, but there is a will inside me that says we're gonna fight this and we're going to, we're going to find a way to come out on the other side.

Speaker 3:          00:55:24       So that happened in September, you know, uh, fast forward to finding mark. So it was like quick, like after three months of the protocol, like physiologically I felt like myself again, I was off all medication every three miles. How long did it take you to get off the medication? Did you Turkey, [inaudible] Turkey, they say, you should never do that. Never do that. I would just have that in place in my life. Doctors, no, I, how's that? A place in my life that I was like, Hey, I am, I accept whatever fallout could happen, but whatever I'm going to feel it's not going to be artificial. I'm just going to feel whatever it is and I'm a, and I'm going to deal with it on, on my terms. And I'm not going to be zombied out. It was rough. It was rough. Um, so I, I was off all medication before I got to mark, you know what I mean?

Speaker 3:          00:56:16       And so, uh, I didn't like, I didn't have control of like my mind the way I wanted to like the way I do now. So it was, I had to work very hard and not just to lose it on people. For instance, like we were, um, my was with my wife, we were in a fast food restaurant picking up some food for my youngest daughter. And so I'm going there, grabbing some food. I see this kid, teenager in the parking lot and he, I don't know, this kid throws his cup down, he's cussing, he's causing the scene. I felt like I needed to intervene. I don't know why. So I'm like, Hey man, pick your cup up, throw in the trash, quit yelling customers everywhere families are here. And he tells me to go fuck myself. And I'm like, dude, go pick up your stuff and put in the trash.

Speaker 3:          00:56:56       And he said the same thing. And before I knew it, I just backhanded this kid across the face, dropped them on the ground, and then I picked him up and I threw him into oncoming traffic. Oh Jesus. Yeah. Well the parking lot took offense to that. Right? It's right. Rightly rightly so. You know what I mean? And so I got people swarming me. Next thing I know, like I dropped like three dudes in the parking lot and I look up after dropping the last guy and like my wife's breastfeeding and three of my children are looking at me and like they're in, they're an like horror is on their face. Just horror struck. And I'm like, my God man, if I don't get control of myself, like not only is this going to possibly kill me, I'm going to kill somebody else. You know what I mean? Like I had, I felt like I, I just, I didn't know what happened. Something happened. Boom. I came to and it was like, Dear God, I just dropped a parking lot and I'm doing evasive maneuvers in my fucking minivan trying to get out of it.

Speaker 3:          00:57:53       Oh my God, I'm funny. But not, but not funny. You know what I mean? So, you know, it was, it was this process of, um, so it was rough man. It was rough coming off medication. I don't recommend it from anybody for anybody else, but it was like, hey man, like I want off of that. Cause that just made me a Zombie, just like drooling on myself. Zone B. What steps did you take as far as your diet and exercise and then mark's protocol? I eat, uh, you know, basically try to anti inflammatory diet, you know what I mean? Um, and that's just based off my individual needs at that time. Um, I would just remaining active. So what I mean by anti inflammatory diet, what did you do differently? Uh, well, just learning what causes inflammation, right? So where are we talking about? Like refined sugars, refined carbohydrates, getting away from things that were packaged for me, you know what I mean?

Speaker 3:          00:58:42       Going back to more wholesome, whole foods. And this is before mark's protocol or, no, this is, this is, this is after I'm on it. You know what I mean? So I didn't make any changes until I got up anything until I got into mark's protocol. Started to like return to normalcy. And then when you get to that level, you start feeling really good again. You're like, well, what else can I do? You know what I mean? And that's, that's like been the steps that we've seen in so many people. Like we don't have to make any lifestyle changes initially, like thrill make them on their own. So get them back to a homeostasis or balance and neuro permissive environment and mark as mark calls it. And then you start looking at like, well, what else do I need to do in my life to optimize it?

Speaker 3:          00:59:23       And for me, man, it was like, I'm going to take a look at water, I'm going to be taking a look at, uh, light, sound, emf, like every external, you know, stimulus. I want to optimize and make sure, like it's as optimized as possible. Well, so, um, did you do any changes to the way you exercise? Let me think about that. Not Really, man. Uh, I was kind of into Olympic lifting at the time and stayed with that. Um, uh, physical, physically, always remain physically active through the whole thing. Um, so not a, probably the only thing that probably kept you sane. Yeah, absolutely. And another reason they said that I lived through the, uh, the blood clots was the level of cardiovascular fitness that I was in at the time. You know what I mean? So, uh, yeah. But yeah, that was like, you know, one Goto, like I just always worked out.

Speaker 3:          01:00:11       I've always been, that's always been a part of my life. And so that was always there. So stuck with that. So three months in, how did you feel and what was the difference? I felt night and day different. No more anxiety, no more depression. No more balance issues. No more double vision. No more blurry vision. No more migraine headaches. Uh, no more memory problems. Like back on, like I could go back to operating and you know what I mean? And Oh, hey, 33 disability according to the va hundred percent service-related disabled is what? 33? What were they? Oh Gosh, dude. Like I named them like uh, everything, every kind of psychological disorder that you could think of, like double digit like I was given, you know what I mean? Depressed, anxiety, insomnia, so like psychotic. Yeah, just all, all these different things and then just a whole host of physical injuries as well that they've been documented over time, but they're just like 33 disabilities, 100% disabled.

Speaker 3:          01:01:12       I don't, I'm not missing a beat man. I'm not in any chronic pain. I don't have any symptomology of any of those things and we've that's not specific or special to me. Right. Like mark, how can we've been able to take so many dudes come off of their pain medication without going into withdrawals like we need. You need to talk about that. That's crazy. Matthew was here. Matthew was on 16 medications. One of the medications was oxycontin. He was on 80 milligrams a day. He was a morphine sulfate, 240 milligrams a day. He was on fentanyl patches and in six weeks, no patches. Fentanyl patches on top of it. Every anesthesiologists that I run by with what he was on, said the guy shouldn't be walking. Well, he flew down from, from Washington to come his tolerance, it must've just been off the charts tolerance stuff, tolerance and you know, he had six pins in his draw, shrapnel out of the left side of his head and his right leg was shot. And um, that's the reason why they justify it all his medications six weeks after starting the protocol, unique for him based on the biomarkers. He was on two medications a year later,

Speaker 4:          01:02:20       he's off all his medications and he moves to Hollywood to become an actor and a screenwriter. Totally function, no pain. We're going to fuck him up more than anything else to go back on 17 medications, right? No, but the question was, I started seeing this pattern as andrew brought up, we're guys, we're getting offered their medications and no withdrawal. So I went back to the literature and started seeing the things about Nibin all a and b receptors, the more the opioid receptor alpha and Beta the mu receptors. And it turns out a lot of the things that we do modify it and modulating. And then more recently talking about pregnenolone, which is that mother of all hormones that comes off of cholesterol, where they're using it in people who are addicted to Benzodiazepines, which are, you know, valium and so forth, where they have side effects from being on such a high dose where they're sleeping all the time.

Speaker 4:          01:03:13       They give him pregnenolone and it decreases their fatigued during the day. And it turns out that we're value more benzodiazepines work on this thing called the Gaba a receptor, which is one of those relay stations. Um, pregnenolone is what is what should be given instead of giving someone a benzodiazepine. So that's how we've been able to get all our people off of antianxiety medication has with this pregnenolone because of how it functions and it's all out there. I didn't invent anything. It's just reading the literature. That's incredible. I love Brie. So it fits into the same cell receptors, the same receptor called the benzodiazepine receptor on the Gabba a that's crazy, man. Yeah. You've seen dudes that were, I didn't know what we were going to do. And like they're, I'm pain free, no pain, none. And coming, not coming off the meds with without withdrawals.

Speaker 4:          01:04:03       Critics. Were you, did they put you on tramadol or, yeah, a man, I don't even remember, but it was, it was a long time ago because he had been off of it. What are the things that disturbs me the most about this is what if someone like you wasn't around, like what you're, you're kind of an outlier in the medical community that you've really gravitated towards helping soldiers, helping people with Tbi for athletes, football players, fighters. What if you weren't around? I mean, I, I'm not hearing about this from a lot of guys. Well, Andrew and I, uh, in 2015 when my second third book came out on traumatic brain injury, when we started giving classes, very inexpensive classes for docs to come in and get trained. So to date, we've trained specifically on the technology, about 400 docs and they're going through a process of training and exams and so forth before they become part of our network. It's wire Angel Foundation Network, uh, so that we can disseminate the information and have more people involved. But this is such an important thing and it's such a common factor. There's so many people that are suffering from depression and anxiety and all these different issues that very easily could be attached, traumatic brain injuries

Speaker 2:          01:05:19       and, and people that don't even think they've had traumatic brain juice, sub concussive trauma. There's, there's a lot of people that have just done, they just been had a knock, knock and tumble rough and tumble life and then I'll realize it, but they've caused damage to their brain.

Speaker 4:          01:05:33       We see, we have patients who come in under our wellness program and when they're asked, have you ever had any traumatic brain injury? They say no, but you look at the bio markers and you see the pattern that they've had head trauma and then they say, oh yeah, when I was 18 there, you know, 53 years of age or 47 years of age. Oh yeah. When I was 18, I was in a car accident and I hit my left side of my head against the, uh, driver's side window. I did not, wasn't knocked out, didn't have nausea, didn't have vomiting. And you think because of that, that you're immune. Well, it turns out that 85% of all traumatic brain injuries are called mild for a reason. You don't have any symptoms. Yeah. Some people might have a little bit of a headache, uh, you know, or feeling fatigued.

Speaker 4:          01:06:19       But for the most part they feel nothing. And then there's 15% that make up the moderate to severe where they're in a coma for periods of time. And we've actually had people who were in coma, some of our vets who have been in coma told, uh, connors, who was told that, uh, he'll never walk. He'll never be able to, you know, take care of himself. He'll die young and so forth. The Guy, he's married and he's walking, he's bicycle riding on, on, what is it? Facebook. He shows his pictures and so forth that, listen, this guy couldn't walk. They told him he wouldn't walk again. We've got three guys like that. And what was, what were they saying? They want the, uh, the imaging, right mark and still shows damage in the what? The gray matter. Oh, are the white matter and the white matter.

Speaker 4:          01:06:59       But he's made new connections and so now that's why he's able to do it because of the protocols allowed him to go back into this neuro permissive environment. So what does that mean? That means that he can experience new things. The brain is rewiring itself, even though there's physical damage to certain lobes because he can rewire itself, he can get better and he's walking. We have got three guys like that. It's crazy. All the hormones that we talk about, the testosterone, estrogen, progesterone, we relate to them as gender hormones, male or female. We reproductive hormones, sex hormones. It turns out that each one of them has a secondary function to Stastrom, stimulates the immune system to increase the white blood cells, the CD four and cd eight which are the protective kind of white blood cells. It also decreases the inflammation in our body called the t h one section of the immune system and stimulates the anti-inflammatory, Estradiol, progesterone, pregnenolone, now pregnenolone.

Speaker 4:          01:07:54       They all function to improve Alzheimer's conditions. So if you're an elderly male or female with low levels of hormones and you're starting to develop dementia, you need to have your hormones looked at because they regulate all these things and to document it up the Kazoo or was, what about the interpretation? That's, that's also where your unconventional kariah standard means. We've, I've looked at it from uh, a shift, you know, hormone x, whatever it is, has a range of 10 to 90 so you go to your doctor and you get the blood tests and it's 15 and you've got all the symptoms as though you're at below 10 and the doctor says you shouldn't be having any symptoms because you're within that range that we called the reference range. But it turns out that not all of us are identical genetically and function very well at that specific level of 15.

Speaker 4:          01:08:49       So what we do is we bring people up to what's called the median 10 on the bottom 90 on the top, yet it together you get a hundred you divided by two and that's the statistical median. So we move people from that 15 all the way up towards that 50 and some people hit 20 and say, Geez, I feel better. 25 29. And then there's a population who have had the greatest amount of head trauma, traumatic brain injury where they need to go up between 50 and 75% and we still keep everybody within the normal physiological range as predict them by a traditional medicine, classical medicine. And that's where we get the benefits. And that's the reason why, um, a lot of these guys have had a missed opportunity by their primary care doc to improve them is because they are still functioning under the old paradigm, which in 1975 to major biostatisticians came out with these two books that are like eight pounds each.

Speaker 4:          01:09:45       And all they talked about is how all this science, all this chemistry that we do for people that it doesn't apply to you. And I, it applied to the people that were part of that study to set the standard range or the reference range because I wasn't part of that group. So my, what's normal for me wasn't part of that. So what the guy said was the two guys said was what's best is to develop your own reference range based on your body. And he should do the same as I've been doing over the past 60 years. So a guy comes in and he's an 11 and they tell him what he's normal in this hypothetical situation, he still has, has all these symptoms, right? So what we do in a provocative to stossel testing and the guy and I also do it in females, is we test the theory out, okay, if it is the case, I'm going to give you a shot.

Speaker 4:          01:10:36       What did you say you felt like for 60 hours since Cinderella? Cinderella. I got three daughters, so I know, I know that Disney well, okay, fine. So he received his injection and he drove on the full of five talk to Becky for an hour and she told me the story, like she was in amazement that it goes that guy. Yeah, totally. He didn't think it was me. That was good. So, but anyway, he sends back a, what happens is after they get their injection, they send back five days later, this questionnaire that says how well they did. And in big letters in the area, that's for comments, he says, I felt Cinderella

Speaker 5:          01:11:14       after the ball and for 60 hours he was just cruising. And we're using physiological dosing of testosterone. I don't believe in, you know, everybody who comes to the office is not abiding bodybuilder. So we give physiological dosing because if you give it more consistently, they get a better response. So he was given 60 milligrams of a blended testosterone, had a phenomenal, you had a good response, you could respond. But the crazy thing is we're talking about from 2014 we're in 2017 almost 2018 now, where, I mean we're less than four years and all this change has happened. Correct. That's what's amazing that you've started the warrior Angels Foundation, that you have helped so many soldiers since then that you've gotten the word out through your foundation. We're dealing with a very short amount of time and so many people have been helped to this amazing extent.

Speaker 5:          01:12:05       Correct. And you know we asked people how'd they hear about us and thank God that we started back in two 14 on your show. The first one, so many people have commented to me, look at, if you see Joe would just thank them for us. We have lists and lists of people who would like to thank you for the fact that you believed in what I was doing enough to, to have us on the show the first time back in 2014 separate Korean man and people seek, keep hearing it for the first time like I ceased to. It never ceases to amaze me every week I get just a ton of mail from people who heard it for the first time that like I didn't, I didn't think there was any solution out there, man. Well, I think this is a really good time to do this.

Speaker 5:          01:12:46       Again, this is one of the reasons why I was excited about this because the podcast has grown exponentially since then. It's so, it's much, much, the, the audience is much larger now. So I think we're going to be able to affect and help a lot more people. Um, so for people that are interested, people that want to find out more information and then they want to try to help themselves, what's the best steps? Well, so we set up the organization. We had such a outpouring because of all the media, like it was an overwhelming, uh, almost to get to everybody. So basically what we do now is we grant a millennium health centers so much money and we were helped to subsidize costs like that. So they'll go with our grants to mark's a facility. They'll go there, they'll fill out information, uh, through his website, which is millennium.

Speaker 5:          01:13:33       Let's see, Tbi med, legal.com. That's Tbi Med med, legal.com. They'll fill out a new patient information packet, put in all their information there. Then they can be seen that way. And let me tell you this about mark. Every time I go to visit him for a doctor's visit, he won't let me pay. He may make pay for other soldiers. That's what he does. He picks patients out and he goes, well, let's pick some guys out. You're gonna pay for them. And that's how he does it. And You have, they're appreciative. Absolutely. What you do as beautiful are the corporation, our corporation, Millennium Health Centers, inks, uh, has a fund.

Speaker 3:          01:14:12       And what it does is it underwrites a portion of the veterans. And then warrior Angel Foundation underwrites another portion of it. So, you know, revenue that we get from the, um, some of the products you sell and so forth goes to help, uh, pay for it. People have to pay for it, Joe. But we found that they need to have some skin in the game. Yep. You know what I mean? That that enables us to be met halfway. So again, we've subsidized the rate where we've made it. It's a form, like it's affordable period. But now it's really affordable. Uh, cause the insurance not taken for a whole host of different reasons, but so we've made it that way. And so now like we used to handle every case individually, the warrior Angels Foundation and, and fund them and, and it was just a hipaa mess and, and everything else. So now we fund them directly and I've worked to subsidize these rates and make it affordable so we can help more people get treatment and

Speaker 2:          01:15:05       talk about that, about having skin in the game and how important that is just psychologically for people. It seems like if you give people things for free, they just don't appreciate it as much as you can make them work for it. It's, it's unfortunate because there's a lot of people that really will work hard for something. They just don't have the financial means. But there's so many that that applies to that. If you just give it to them, they don't appreciate it. It's too easy. It comes too easy.

Speaker 3:          01:15:29       Yeah. Well fortunately very few people have responded that way. The vets have been really good. They've heard about us from either your show or from one of the shows or from their colleagues who are in the program and they see how well it is. And they look at the how dismal their life is, right? And they have a choice. Make a choice. You want to live the life that Andrew had in the past or the enjoyment and the love of life that he has now. And how could someone like me donate? Oh, it's on our website. Waf, tbi.org. It's a, we're a five zero one c three, so it's tax deductible and you can go in there on top right is the uh, donate. Um, we have a film coming out called quiet explosions, uh, top. There you go. That uh, that's our trailer right there. Uh, so we've got an emmy award winning director. Here it is. Can you play that Jamie? Go full screen.

Speaker 2:          01:16:27       The average of glass, we have travels at 163 miles per hour. It says that's a great pick. You got to see this video folks and people that are just listening to the podcast. You've got to see the impact of these blasts.

Speaker 6:          01:16:44       Explosive. So any type of injury that we needed to get into a place that was denied for whatever reason, be it a door or whatever, I was the guy who would place those charges to get us in. You're not the person that you used to be. I can't remember things home. I don't

Speaker 3:          01:17:09       know where I'm at. Five years. I've driven that route everyday. All of a sudden look up. You don't know where you're at.

Speaker 6:          01:17:18       I said to myself, you know, this is going to go one of two ways. I continue on this path and it's going to kill me. Or I can make a decision to quit blaming my circumstance and decide to act.

Speaker 3:          01:17:30       And it says in 2014 when you met Mark Gordon, hormone deficiency and suicide are

Speaker 7:          01:17:36       connected

Speaker 8:          01:17:51       for the people listening to something you need to see. It's just a lot of the text on the page talking about the benefits of this and how much it's helped. Andrew and what does the name of this video, Jamie? So people get

Speaker 3:          01:18:04       quiet explosions and we just started production this month, right mark? Yeah, correct. This month. And so, uh, if you want to donate to that, you can donate there. That'll also be a tax deductible in this is a donation three that you guys are doing. And what do you mean? We're going to do three, uh, three different stories. All people through the foundation. So we have two other crew, incredible stories. And then the top minds in a, in science, in neuroendocrinology and neuroscience neuropathology are talking about traumatic brain injury and the protocol. So it's kind of a concussion, you know what I mean? Identified a problem. We're identifying a solution. So not only are we bringing out for the first time ever, you know, what is the real underlying condition behind traumatic brain injury. Here's a solution, here's all the science behind it, here's the specialists in their field confirming, you know, what the literature has been saying. And so we hope to bring that out in 2019. And what are you going to do with it when you bring it out? We're just disseminate the information. Are you going to release it online? You're going to release it in movie theaters? Yes.

Speaker 4:          01:19:10       Yeah. All of that. All of that. As many places you can. Absolutely. Absolutely. I'm not sure how it's gonna all be distributed. The goal right now is to disseminate the information. That's it. As we have more potential individuals who are suffering, listening to this, uh, we've been training doctors, we've been getting through multiple avenues through the military, through the different, uh, divisions. Um, getting them on board, supporting US Navy Seal Foundation has supported us. Um, that's all we're trying to do and we've got enough ground swell in our population to justify it. As Andrew has said, multiple times, it's reproducible, predictable,

Speaker 2:          01:19:51       and there's something that I want to impart here. There's a stigma with men in particular in this country when it comes to hormones and replacing hormones. Um, they're very embarrassed by it. They don't like it. It disturbs them. Um, and they start to think of it as cheating or they start to think of it as steroids. They look at it in an illogical way and that illogical ways connected to, I think in my opinion, the stigmas in our culture that are attached to performance enhancing drugs, like for cheating in sports in the Olympics. And you always hear about them in this sort of negative way. So there's a lot of guys that they shy away. I've talked to many friends who are very smart and they, they talked to me about testosterone. I'm like, dude, I've been on testosterone for 10 years and make it changes your life.

