Speaker 1:          00:00:00       Hmm,

Speaker 2:          00:43:27       We all have individual rights and so men and women have rights because they're individuals. They don't get a separate. Right because they fit into a group. Right? All that is about privilege and you don't have special privileges granted to you by the constitution. We all have rights and when people try to pretend that a privilege or a group privilege and try to give that the status of a right, I know you talked about it on your, on your podcast when we had the supreme court ruling recently regarding the gay couple that wanted a wedding cake and they, you know, they sued because the baker wouldn't make a wedding cake with a couple of guys on the top and decorated in a way that it was obviously for a gay wedding. There's a bottom is understanding about that. And I've read something recently that not only did they not do that, but they weren't making custom cakes so they didn't make custom cakes for weddings.

Speaker 2:          00:44:26       So when these, the, the gay couple came in so they wanted a custom cake. They said, no, we don't make that. Like that was also part of the problem was they don't, that's not something they even did. They could've, would've sold them a cake theory had one or two dudes holding hands. Well, the bigger problem is first of all, they. It's not like you have this gay couple that just went into a bakery and then they were denied the ability to buy a cake. Right. They probably went to 100 bakeries to find the one that wouldn't make the vacation specifically do that. Part of the story was that they wanted someone to deny them. Yes. And had a story. Right. And of course, you know, if you're a baker, right? I, I don't know what the margins are on wedding cakes, but wedding cakes are probably like the holy grail of cakes, right?

Speaker 2:          00:45:09       I mean, you're. If you're sitting there on the small bakery shop, you're waiting for somebody to call for a wedding cake because those are the biggest case. You could make very expensive cake. So everybody wants to do a wedding cake. Nobody cares whether there's two guys or a guy and a girl on the top of it. You just want to make the money that you're going to get from baking wedding cake. Now you come across a guy who just has a strong religious conviction. He just, you know, doesn't want to bake a cake for a gay wedding. Okay. I mean, he's the one that's losing. He's losing out on the, the, the, the commission to bake the cake. I mean, the gay couple isn't hurt by that. There's so many bakeries that would bake them. That cake was this couple. Were they denied because of religious reasons?

Speaker 2:          00:45:53       Is that why the people said they weren't, wouldn't make the case that. Yes, they said it was religious reasons and that's what the supreme court I think went on religious freedom, but as far as I'm concerned, it doesn't matter what their religion is. Nobody is required to perform a service for somebody else if they don't want to. Okay. What if it was a black couple? Yes. And what if these people are racist and what have they said, we don't want to bake a cake for a Black Cup. Well then the black couple can go find a bakery that we'll bake them a cake. I mean, what's the odds of there being a racist Baker out there? But I, you know, I mentioned if I was today's Day and age, it's less than ever before. Right? But let's look. Look, I mean, it's still possible, right? I'm Jewish, right?

Speaker 2:          00:46:34       Let's say there's an anti Semite Baker, right? And if he, if I go in there and the guy says, you know, oh, I don't want to bake cake for Jews, fine, you know, because let's assume that he knows I'm Jewish. He hates Jews and he spits in the cake. I mean, I'd like to know, like right up front that this guy who's about to bake my cake hates Jews. So then I'll go and buy my cake from somebody who doesn't hate Jews because I don't want to worry about what I'm going to be putting them in my mouth. I mean, why would you want to even force somebody to bake a cake for you that you've got to eat if you're forcing it to do it or you know, this is all nonsense. But you know, the, the idea that you can't discriminate, that you can't make choices, right?

Speaker 2:          00:47:15       I, I, I have a right as an individual to um, you know, to do things that I want to do, but I can't force somebody else. Writes are about big government. Could you can't rob from me and you can't steal from me so you can't take away from me something that I have, but I can't force you to give me something I don't have and just because I feel a certain way. Like if you go back to the, the, uh, the gay couple to say, okay, you can't discriminate. How did the Supreme Court ruling that by the. Well, they, they, they uphold, held the right of this individual, but it wasn't like a real individual to, to get. But I think it had to do with some esoteric state law. It wasn't a definitive ruling that says that you have a right to discriminate, which I believe that. I believe you do.

Speaker 2:          00:47:58       I don't think the government should be discriminating but private individuals. But the point I was about to make is, you know, for, for, for gay. So let's say that you, Joe Rogan, we're, I'm working as a Gigolo. That was your job. You just had sex with women and you charge them money nights. Yeah. That's your job. Now, what if a dude comes up to you and wants to partake in your services? Do you have to serve him? That's not the job, sir. The job was women. No, no. You can't discriminate. What's right. That's my point. Discriminate in terms of having sex with men. Well, not if you're doing it for business. If it's your business. Now my job is Gigolo. Gigolo was a guy, has sex with women. I know that's the job. It's like you're asking a firefighter to dig a hole for the Gigolo is a guy that has sex for money.

Speaker 2:          00:48:45       It matter whether it's a guy or a girl. No, that's the point though. Women Bro. Well, but then your business card, but then you're discriminating against men. How could you deny? How could you deny a man the opportunity to have sex with you? Interesting. Sees the same thing. You can't look and you can say, what if? What if it's not sex? Okay, that's mess. What if it's just massages? What if your [inaudible] but for some reason just don't want a massage. Guys, you just only want to massage girls. Shouldn't you be able to do that? Yes. Yeah. I mean, so what? And so it's, it's touching people like you. If you're a business, you want your business to be limited. Oh, do is massage chicks, bro. I don't touch dudes. Yeah, why? But why. But yeah, but you should have a right to do that. But then once you extrapolate it, you just make a decision.

Speaker 2:          00:49:29       Now you could make more money if you massage girls and guys because you have a bigger market. But if you want to limit your business opportunity to just women, well that hurts you. Right? Then it's your right to do that. Yeah. Like a massage therapist that doesn't want a massage guys. You never hear about those and you don't get offended. Men Don't get offended by that. Guys want massage me. Well, but you know, you could do it as a, as a customer. I mean, I, you know, let's just say I'm a, I want a massage and I can say, look, I prefer to get a massage by a woman. Yes. I mean most guys would probably prefer to get a massage by a woman. Yeah. Well, is that that that's totally legal. They always let the customer, the customer can discriminate. The employee can discriminate, right?

Speaker 2:          00:50:12       Nobody would say, you know, hey, if I, let's say I happen to be black and I want to work for a black boss, nobody would say that was wrong. I could go to a white boss and I could say, no, I'm sorry. I don't want to take the job because I want to work for some in black bay. You sue me for not breaking. You're actively seeking out a black boss, which is the difference between that and being approached by a bunch of white people and saying, no, I hate white people. No, no, no, no. The point is, if a, if a white person or even a black person was seeking out a job application of about, they would say that's illegal. You can't discriminate, but the employer can do it. All the employee can do it all. He was right customers, right. If I was, if I was a.

Speaker 2:          00:50:54       If a gay couple wanted to have a cake baked and I went and they went into a bakery and they said yes, we'd like to have a cake bake, are you straight or gay because we want our cake to be baked by a gay baker, and the straight guy said, no, I'm straight. Sorry. They find they can keep searching until they found the gay and no one would say, and I'm not saying that we should make that illegal. I'm just saying the laws should be consistent. That means that is interesting that the employer or rather the customer can basically go wherever they like and no, no one says you didn't go into this restaurant because you don't like gay people because gay people run this restaurant. Nobody ever says that. Right. And they can't force you to eat there if you don't want to go the other way.

Speaker 2:          00:51:35       They can. They can force you to use or to have someone use your services even if you don't believe in what they stand. Yeah. And they. And then the left always tries to make it out. Like if you have this perspective, right? Oh, like, oh, you must be a racist if you believe that people have a right to discriminate. Look, I, I'm, I believe that people have a right to say a lot of things that I disagree with. I'm not going to stop them from saying things. You know, I believe in free speech, even if what you're saying is idiotic or offensive, and I believe people ever right to discriminate against it. The bigger problem is when the government becomes the thought police because the minute you make it illegal to discriminate, now you have to get into people's minds, right? If somebody doesn't promote somebody or fire somebody and they happened to be black or a woman or too old or handicapped, you assume their motive, but no, but now you're going to say, oh, you fired that person a b because he's black, but what if that had nothing to do with it?

Speaker 2:          00:52:30       Right? You're assuming the motive for firing people and now I got to prove that I didn't do something for what I was thinking, what I did. Something. I mean, none of that shit. You know? All of that too, makes it so much harder for employers. I mean, look at what just happened. This isn't race, but it's part of it. Do you see that story? Um, uh, the other day about trump's driver is suing him for overtime. Yes, I did see that. Yeah. So this guy worked for the trump organization for like 25 years, drive into his personal driver for Donald Trump and he's now suing him because he claims that he worked more than 40 hours a week and so he wants more money right now. Of course he worked for 25 years. Why didn't he ask for a raise like during those 25 years? Right. But apparently his job, he had to be on call for maybe, I don't know, 10 hours a day. Right. And an on call doesn't mean he was actually driving. He just had to be available to trump if trump needed them, but

Speaker 3:          00:53:26       that, you know, he could be on the Internet, he could be watching a movie, it could be reading the books and in emails, you know, traded stocks, whatever he wants to do. So it's not like it was that, like he was really working, but he had to be available so he couldn't go out of town. Right. Um, but he's going back and he says that, well, I had to be available for more than 40 hours a week. Well maybe it was 50 hours a week or 55 hours a week and now he wants back pay time and a half. Right. Because overtime laws say you got to get time and a half. But first of all, he wasn't even an hourly worker. The guy collected a salary, something like 65, $70,000 a year was his salary and you know, he knew what the salary was when he took the job.

Speaker 3:          00:54:05       He knew what the hours were. If he didn't like it, he could have said something to trump. He could have demanded higher pay or he could have quit. Right. But instead he works without complaint. And then 25 years later files a big lawsuit now the toys out of work. Now he's working there. He's still working. There he is. Yeah. And he's suing Balis working in which, you know. And then of course, if you fire them when they sue you, it's like, oh, it's retaliation that it makes it worse. But the problem is, you know, trump, he's got a lot of money. I mean, he can deal with this, but your average small businessman, you know, this kind of stuff kills you when people start suing you, it costs a lot of money. And a lot of that happens too with um, you know, the, the, the discrimination laws, I mean because a small business owners are so concerned about getting sued that they try to hire people that they think are less likely to sue them.

Speaker 3:          00:54:57       And then it ends up backfiring because it works against all the people who are protected classes who are now able to sue you. You know. But I also wanted to point out on the overtime laws because so many people think, oh, this is terrible, right? I mean he should pay overtime. Overtime is those laws are probably some of the worst laws out there because they don't protect workers, right? Because what happens is, let's say you got a job and you're working 40 hours a week and you're an hourly worker and you want, you want more hours, you want more money. Maybe you know, maybe you want to, you know, you, you're trying to track the higher caliber of girls who try to get more money. You want to work more hours, so sexist what you just said. So say in a blog so you can tell it.

Speaker 3:          00:55:39       You tell your boss, hey, can I, can I work an extra 10 hours a week? Right? I want to get some. I want to get some. I want to make some more money. Right? Well your boss says, well I'm sorry, I'd like to let you work an extra 10 hours, but I have to pay a time and a half. Right? And the guys look, well I don't need time and a half. I'll just work 10 hours for the same pay. That's illegal. Sorry. I would like to do it, but I can't. And if the, if that boss needs extra workers, he has to go bring on a part time worker. So now let's say if I want to get an extra 10 hours work, I got to find another job someplace else where I can work part time where the, the, the time and a half law doesn't apply. But now I got to get from my full time job to my part time job. How long does that

Speaker 2:          00:56:23       take me? How common is this though? That people are denying people extra world. It's very needed because they don't want to pay the time of the half. Oh, it happens all the time. I mean that's, that's where moonlighting came from. That's the whole. I mean obviously people you're going to have. You can have people that worked for two employers and then other people working in there. They're going back and forth between the same company. So what you're saying is it's weird if someone has to work extra hours, why you paying them double the money or time and a half, five and a half. Why paying the extra money? Because they're doing just just because they're working more than eight hours a day. Well, but the thing is the employer doesn't want to pay the extra and he doesn't have to, if he can hire somebody part time, but the point is that all of these, um, the, the, the details of employment should be negotiated by the employer and the employee that government should stay out of it, you know, and that time and a half is a government law.

Speaker 2:          00:57:17       Yes, it's nationwide yet. Well, different states can have different rules and federally they have different rules over what constitutes a, how much pay do you have to earn before the overtime rules apply. What's also isn't a pretty arbitrary like this decision that's 40 hours a week. Yeah. Well, like, everything the government does is arbitrary. That's what laws are. They have to come up with a number. But all of this should be free for discussion. You know, it's interesting because you have the liberals believe that, hey, you know, two people should be able to, uh, you know, have a relationship without the government interfering, right? You know, they can have a sexual relationship. It's, it's none of the government's business. Uh, you know, who you're, you know, you're sleeping with well, why don't they have the same belief in the same freedom when it comes to economic relationships.

Speaker 2:          00:58:04       If an employee and employer or having a relationship, why doesn't the government just butt out and let the employer and the employee negotiate the relationship and the terms of the relationship that they think is best for them because there are a lot of workers that, oh, I don't need the overtime, but maybe there's another benefit that I would prefer to have a that I could get, but I can't because of government laws are requiring things that I don't want. So you're against minimum wage. You're against essentially all these government regulations in terms of what you paid. The minimum wage is probably the dumbest law that we talked about that on the, on the last podcast. But it's probably the dumbest law, uh, that you can come up with because all it does is hurt the very people that you are intending to help you. You're hurting the least skilled people. A, you're preventing people from getting jobs in the first place and you're, you're creating extra incentives for employers to eliminate jobs, to try to use capital instead of labor to try to outsource. I mean, nobody is going to hire somebody if they're losing money, right? People have a certain amount of productivity that they can bring to the table and when an employer makes a decision on who to hire, they have to hire somebody that brings them at least enough productivity

Speaker 3:          00:59:22       to cover the wages. And, and so what happens is when you haven't been in waves, let's say the minimum wage is $8 an hour and I'm an unskilled worker and I have to convince an employer to pay me $8 an hour. I have to also convince him that I can deliver more than $8 an hour of productivity to his organization. And if I can't do that, I can't get a job. Now, what if I can only bring $5 of productivity? Well, that means you can't get hired. Well, I mean if I could, if I only have $5 an hour worth of skills and I can't get a job to improve my skills, I'm stuck in unemployment forever. I mean the worst thing you can do to a guy with minimal skills is prevent them from getting a job because it's the job that's going to enable them to increase their skills so they can earn more money in the future.

Speaker 4:          01:00:09       I know what you're saying, but the idea is that if you have a minimum amount that you allow people to pay the least. The people that are working for the company will have a real income where they can pay their bills and feed themselves and that this company, because they have all the power, they have all the money and a poor worker who's stepping into the market for the first time or you know, just hasn't been been able to acquire job skills that would allow them to make much more money per hour that they would be taken advantage of by this

Speaker 3:          01:00:38       corporations. The corporations don't have all the power because they're not the only employer. I mean, all employers compete with one another for labor and um, and, and they bid up wages. I mean, you can't pay people less than the market value of their labor because somebody else will hire them, you know, so that you could talk about, oh, wouldn't it be great if everybody can earn more money?

Speaker 4:          01:01:01       Has there ever been a proven example of this where they've had no minimum wage and it's been a financial boom?

Speaker 3:          01:01:08       Oh, absolutely. Well, first of all, we didn't always have a minimum wage in the United States. I mean, it, it, it, it happened really in the 19 thirties. But you can look at situations of countries that have no minimum wage and they have very low levels of unemployment and you can look at areas where the government using this. Well, I mean, you know, they don't have a minimum wage in, in, in Singapore. Um, and you know, and there, there are countries that, since Singapore example though, it's an extremely wealthy country, right? Well, that's one of the reasons they don't, they, it's very easy to do business, but you can look at examples where the United States has imposed a minimum wage on other countries. I mean the minimum wages did a lot of damage in Puerto Rico, but you know, look at another American territory of American Samoa, right? American Samoa. We basically destroyed American Samoa with our minimum wage.

Speaker 3:          01:01:53       I mean, the Samoans are, you know, are furious about it. This happened years ago actually, and I, the reason I even found out about it, I was watching 60 minutes and they were doing a report about I think football players in Samoa. And um, and during their report they mentioned that there was a depression going on in Somalia and it was like there was 30 percent unemployment and really high inflation. And I was like, what the hell is going on in Samoa? So I wanted to research that on my own and I out that we impose the minimum wage on Samoa and we destroyed all their jobs. They're, the two biggest employers were to a chicken of the sea and starkist, they were canning tuna. And then they were shipping the tune of back to the mainland, but the minute they raised the minimum wage, they made the production, uh, uncompetitive because now you had to pay the higher wages, plus the shipping costs to get the tune it back to the mainland.

Speaker 3:          01:02:41       So they all, the canneries shut down and then it created massive unemployment and then prices went way up on the island because they no longer had boats coming back and forth to pick up the tuna. So now all of a sudden the shipping cost of imports went way up. So they had massive inflation, sky high unemployment, all because the minimum wage. So you could look at examples of how minimum wage destroys jobs. Uh, you know, right there. Yet they continued to advocate for these higher wages because it sounds good. Oh, everybody should earn a decent living. Well, you know, not if you don't have any skills, you can't until of course, you know, a lot of kids, you know, they're 16, 17, 18, 19, 20. I mean, people live with their parents. Still, the most important thing is getting a job so you can acquire the skills to get a better job to, you know, to move up the ladder in an organization to enhance your, you know, your value to employers in general.

Speaker 4:          01:03:34       What's the argument against this? Against what you're saying about minimum wage gangsta, all these ideas that you're, you're just proposing. Do you do get a lot of pushback? I mean, I'm sure what you're saying, this free market capitalism approach is, you know, there's a lot of people that oppose it.

Speaker 3:          01:03:51       Of course. I mean there's a lot of people that don't think it out. They think with their mind or are there others and they don't even get the read. The origin of the minimum wage was racism. I mean the first minimum wages here, it was designed to keep employers from hiring the Chinese are from hiring blacks because they know that that's where the minimum wage came from, you know, to try to prevent employers from hiring certain people. So they said, well, let's have a minimum wage and that will reduce our hiring of people who have less skills. And, and, and so, and the labor unions, the biggest supporters of the minimum wage are the labor unions and none of the labor unions workers earn the minimum wage. So you might think, why are they, do they so care about the minimum wage if they don't get paid a lot higher than, than wage?

Speaker 3:          01:04:35       And it's because you always have a competition between skilled labor and unskilled labor, right? So let's say a business, a businessman has the option of hiring a skilled person to do something and let's say the skilled person is going to charge $20 an hour or an unskilled person and let's say I can hire three unskilled people for $5 an hour and that equals 15. Well, Hey, I'd rather hire the unskilled worker. I can pay three, $5 an hour to do the same job of one skilled worker. But now if the skilled worker can, could lobby for $7 minimum wage, now if I have to hire three unskilled people, it costs $21. Aha. Now all of a sudden I hire the guy with skills. So the labor unions benefit by keeping unskilled people unemployed because they have more skills and therefore they can, you know, they can get more work. That sounds like a complicated mess to me. It is a mess for the, for the, for the people that get get priced out of a job. Yeah.

Speaker 4:          01:05:35       Now Democratic Socialism is the thing right now. This is the. You're hearing it all the time. You're hearing it constantly in the news. What do. What do you attribute that? Do you think it's a frustration with this lifelong politicians? Like what do you think it is that's causing this upper eyes and upswing? The woman, what is her name? That one in New York?

Speaker 3:          01:05:53       Yeah. You know, she's actually half Puerto Rican. My mind, my countrymen, but yeah, I forget her name and country. Puerto Rico. United States. No, actually, you know, I, I found this out as I'm traveling now. You know, I still have an American passport, but when I, when I mentioned what country I'm from and where you live, I always have to select Puerto Rico as a country. Even though it's part of America, it's still considered its own country even though you still are American citizens when you live there and you travel on a, on a US passport, it's listed as a separate country from, uh, from the battle to the reader name from a twitter, Alexandria. Yeah. And you know, Cortez, 28 years old. Yeah. Well she beat, she beat a 10 term incumbent comment and of course he was a white guy. That's a, that's a negative for him, which is, but a woman of color.

Speaker 3:          01:06:42       Yeah. You know, Latina woman to actually. Yeah. So, but, but, but, but the thing is people I think in that community are just voting at a frustration. In fact, I looked at her commercial, you know, and it's a very powerful commercial, you know, Kinda like, you know about, you know, women like me are not supposed to run for office. We're not supposed to have court when this whole bunch of nonsense. But it's a story that I think resonated with a lot of people. Like, Hey, let's stick it to the man. Right. You know, and uh, and that's what they did. But I think that this, this wave is going to be bigger than people think. I think people are underestimating. They're like, oh, this is unique because, you know, she, um, she's in a, you know, a heavily minority community. And so that message work better. But look, Bernie Sanders

Speaker 4:          01:07:29       read this here. Jamie just pulled up. She won in a district where she didn't even run.

Speaker 3:          01:07:34       Yeah. Progressive candidate

Speaker 4:          01:07:35       also won a primary and our neighboring district in the bronx

Speaker 3:          01:07:39       as a write in for the reform party. Oh, well that's alright. But she won. She won. Yeah. I, you know, you think you could have two house seats simultaneously, so yeah, crazy. But the eyesight. But if you look at Bernie Sanders appeal, it wasn't just, you know, you know, poor people and minorities that were, that were attracted to the sanders message. And what was that message that was attractive? It was, you know, it was, it was, you know, giving ratios. And we got, we got to tax the rich, we got a tax fusion of wealth and it's all about getting stuff for free, right? It's all about, uh, you know, free healthcare, free education, guaranteed jobs. I mean, they want, they want the government to guarantee everybody at chomp. Well, that was one of the things that Bernie said that he could guarantee people, Joe, you can't hear in the country.

Speaker 3:          01:08:29       How's the governor getting guaranteed you, first of all, where's the government saying, where's the governor going to get the money? They did that in the Soviet Union. Yeah, everybody has a job, but nobody makes anything. And so everybody is poor. I mean, you can't say what they want to guarantee a $15 an hour job plus benefits plus vacation plus health care to do what? And of course, what's the governor? The governor's going to assign jobs to everybody. What are they all going to do? I mean, people forget that we don't want jobs. We want the productivity that result from the job. So it's about productive employment, not make work, right? We don't want it to government digging holes and filling them. We want real jobs. And, and how do, how does the private sector know what jobs are needed? It's demand. It's, it's individuals that want something, they're guided by a profit motive.

Speaker 3:          01:09:15       You know, the government that have governed doesn't make a profit. There's nothing to guide them to efficiently allocate resources and how's the government going to just figure out what people should do and just assign them, okay, this is the job you're going to do. This is, you know, it would destroy employment in this country if, if you did that, which this doesn't even make sense, that you could offer everyone a job, like you don't have those jobs first of all, and the idea that, well, what are we going to do? We're going to create x amount of construction jobs and x amount of dishwashing jobs and x amount of carwash jobs. You're not going to, and where's the money gonna come from to pay for it. They're going to, they're going to have to take the money from the private sector that would have created efficient jobs and they're going to give it to the government to create inefficient jobs.

Speaker 3:          01:09:57       It's a disaster, but the the, the problem that I mentioned earlier is the economy is in bad shape because of all the government. That's what go went back to the occupy Wall Street is that the people are protesting because there are serious problems in the country. They don't realize that it's not capitalism that is creating those problems. Capitalism would solve those problems. It's government interference that is causing the problems that they're protesting and so the same thing with the socialists that they, they, they understand that their standard of living is falling, right? Look at one of the things they want to do is they want to give free education, right? Because the liberals are all complaining about the fact that college is so expensive and that students have so much debt. That's because the government, before the government got involved, college was cheap. I mean government drove up the cost of college by guaranteeing student loans.

Speaker 3:          01:10:50       I mean that's how the government got the votes of students. They promised the students something for nothing. They said, hey, vote for me and I'll guarantee I'll make it easier for you to get a loan to go to college. Right? Well, the minute colleges knew that people could get these loans. They started jacking up the tuition so they could benefit from all this government money, so the college has benefited. The banking system benefited by making riskless loans at the taxpayer was on the hook for, but the byproduct of all this cheap money being funneled that the colleges was that the colleges kept raising the tuition higher and higher and higher, and then the politicians kept increasing the amount of loans they would subsidize, and so all of this is the fault of government. The government created the problem that they're not complaining about, but you, the students don't understand that.

Speaker 3:          01:11:35       That's why college is so expensive. Well, no one sees a clear way out. That's part of the problem and that's one of the reasons why socialism is so compelling. It's like this seems like it's an alternative to what we're currently experiencing. So people look at that and go, maybe that's the solution. I look. People want something different. I said that's why trump was able to claim that he was going to shake things up and make America great again because I'm different because what's working, what we have now is not working. That's why I'm so afraid that when people who voted for trump, you know, end up being disillusioned because nothing changes. Their lives don't get better, and you're completely convinced that this is going to be a crash coming in the next three years. Yeah. I mean, look, there's going to be a big recession, right?

Speaker 3:          01:12:18       I think it's going to be worse than the 2008 financial crisis. I mean that because the government was able to bail everybody out that time, they were able to print a bunch of money and go deeper into debt and the financial crisis. If you didn't have money in the stock market and you didn't lose your job, it wasn't that bad, right? I mean, you know, you know you were fine, but this next crisis, even if you don't lose your job, you're going to be affected by inflation. Prices are gonna go way up because I think this is going to be a dollar crisis. This is going to be a sovereign debt crisis and investors were bailed out. The government was able to bail out investors last time with quantitative easing and all tarp and all that, but the next time investors are not going to get bailed out, right?

Speaker 3:          01:12:59       They're going to go down for the count because if they try and I believe they will try to reflate the bubbles again by printing even more money doing another round of quantitative easing, it's going to destroy the dollar so they're not going to reflate the bubble in stocks. They're going to prick the bubble in the dollar and so when the dollar loses value and prices go up and you have stagflation, you have a combination of a, of a, of a recession and inflation at the same time, and then of course, what is the Fed going to do in that circumstance because they, you know, their playbook is if you have recession, you ease. If you have inflation, you tighten. Well. What if you have them both together? You know, they just did these stress tests, you're here, these bank stress tests and the Federal Reserve came out and they said that all the banks passed.

Speaker 3:          01:13:48       You know what? What a shocker, right? The Fed came up with a test that everybody passed, but if you look at the assumptions that, that they made about the economy under the worst case scenario that they assumed interest rates, tenure rates go no higher than three percent. They don't go. They don't, they don't go down, they just don't go up and they assume that inflation stays below two percent under the case scenario, and they assume that the Fed is able to lower interest rates to one percent to zero. Again, to stimulate the economy. Now, I mean, what happens if inflation doesn't go down? What if it goes up? But if it goes up to five percent, eight percent, you know what? If interest rates go up to five percent or eight percent, 10 percent, what happens then? Right? All the banks collapsed because what happens if we have a recession where the Fed can't stimulate because inflate, they have to fight inflation or what happens if we have a recession and the government has to raise taxes during the recession because the budget deficit is exploding and they don't have the money to pay the interest on the debt.

Speaker 3:          01:14:47       What does happen? Well, well, I, I think that the political politics are going to play come into play and that the Fed is going to air on allowing inflation to run out of control. They're going to do what they can to try to prop up the economy and they're going to sacrifice the dollar. They're going to say, well, inflation is the lesser of the two evils, but it's actually gonna end up being the greater evil and member, you know, when Nixon imposed wage and price controls, which was a very misguided effort. And it's Kinda like, you know, what trump is doing with the, uh, with terrorists trying to cure the trade deficit. Rising prices are the result of inflation. It's not the cause. And so price controls don't work. They simply try to mask the problem while it while it a while it gets worse, but I think they're going to let inflation get a lot worse.

Speaker 3:          01:15:36       And what that's gonna mean is that, you know, people need to prepare for that. I mean, people need to do something. We talked about that when I was on your show before about buying gold, you know, we talked about cryptocurrencies, I talked about, you know, gold money and by the way, this is when we talked about gold money on your show before and so many people, this just shows you how many people listen to this podcast. So many people tried to open up accounts at gold money because of our conversation that the regulators actually shut them down. They actually stopped them from onboarding new customers because there was too many people coming onto the platform and, and, and, and the reason that this is the bay, this is this, this, the system that we're in now. Because when you have a gold money account, right?

Speaker 3:          01:16:19       It's not like just buying gold, you have gold that you can actually transact in. I can take my golden and I can send it to anybody I want anywhere in the world who has an account for free, so it's like a money transfer. So gold has to be actually stored. Some real golden it. Exactly. There's gold stored in a brink's vault and you know, they have vaults all around the world, but I can transfer my ownership of that goal to you or anybody else, but because I can do that now all of a sudden the regulations there because they're worried about terrorists, they're worried about money laundering and so everybody who has an account, there has to be a lot of scrutiny about those, those accounts and those transactions. Just like it was a bank. And so this, this and a lot of people got frustrated. I got a lot of emails from people who were frustrated. They try to open up an account and they didn't realize that it was the regulators, you know, they get mad at gold money because they're

Speaker 2:          01:17:10       not opening up their account or improving their account, but it's the regulations that are the cog in the machine. But the good news is, I think they've, they've made, they've satisfied the regulators recently, they've come up with some new systems, so the process is a lot more efficient now for people to go online and buy gold and you don't get, you can buy know 25, 50 bucks worth 100 bucks worth of gold and you actually have another store of value, another means of transacting with other people where you can have some protection against, uh, against inflation. And you know, I showed you, I have, by the way, they're sending you one of those gold carts. I talked to him. Yeah, you, I showed you this car that I have to do, have to send them some money. So you're going to have to get, I'm not sure if they're going to preload your account, you know, I went through, you know, I brought this card through the, through the security today.

Speaker 2:          01:17:58       And of course every time I go through security with discard it rings. So I always have to take my wallet out and put it in a, uh, in a little the little bin. And it freaked out, you know, they can never figure out what's going on because Satan and they see this thing a metal, they have no idea what it is. So it's always like, uh, it stops me. But it's a conversation piece. But I had about three or four different. A Tsa guys were all like, you know, looking at this card is that gold places we'll go though. This is pure gold. It's actually, this is. Yeah. This is, this is a 24 karat gold. So is gold mixed with metal, right? Mixed with steel. It's not mixed with anything. It's 24 karat gold, like gold. It's also mixed with something else as pure gold.

Speaker 2:          01:18:34       Yeah. No, that's like that. If you go buy gold jewelry, right? You're getting an 18 carat gold or 14 karat gold. So how much does this card worth? It's kind of like 14, 1400 bucks. This would be an issue. Melted down. It's heavy. Yeah. But I mean compared to other cards, but you know, gold money, another way that people can buy gold pimps, labs, they launched a company called Monet, right? The website pulled up. It's a m, e n e Dot Com, and this is a great way for average people to own gold but also killed two birds with one stone because when you go out and buy jewelry, right, and you buy typical jewelry, maybe it's 14 karat gold, 18 carat gold, the men a jewelry is 24 carat gold and they sell it by the weight of gold. So if you, let's say you went and you went into a department store and you spent a thousand dollars on a gold necklace, right?

Speaker 2:          01:19:25       Maybe you'd have $100 worth of gold maybe, right? If you spend a thousand dollars at Manet, you're going to get $800 worth of gold and manet will buy that, that necklace back from you at any point in time in the future, two years from now, five years from now, 10 years from now at whatever the gold value of the necklaces. So let's say gold goes up by 30 percent from the time you buy the necklace, you can actually sell it back to monet for more than you paid for it. Whereas if you know, if you have used jewelry that you buy at a department store, what's it worth on the secondhand market? You know, ten cents on the dollar, right? Twenties maybe. So this allows people to have nice jewelry but also own real goal that the same time. I mean, you're going to pay a higher premium to buy

Speaker 3:          01:20:08       a gold necklace. I have a pair of gold, a gold cufflinks that I wear, my wife, my wife, where's this been a jewelry all the time. She wears it every day. And so it, you know, you can buy it instead of buying other jewelry, but you know, you're not throwing your money away. You're actually, you're actually getting also p. But the point is that people need to protect themselves from the inflation that's coming because that is where we're headed, right? They, the government is going to continue to print money to try to prop everything up there, try to delay the day of reckoning for as long as they can. And you know, we've had a rally in the dollar recently because people think, oh, the trade war is good for the dollar. They're wrong, it's a disaster for the dollar. America can't win the trade war.

Speaker 3:          01:20:50       I mean, we benefit from the trade deficit right now. All we can do is lose in the short run. If we lose access to all those goods that we're not having to pay for with exports, you know, they're actually trying to say that the budget deficit is going up, is good for the, a is good for the is good for the dollar. When it's not, I mean big budget deficits are always bad for the dollar because it means that government is creating more debt, they're selling more bonds around the world. You're, you know, the supply of dollars also includes the surprise of treasuries. And so if you're flooding the world with treasuries, you're, you've got a surplus, a dollar's a dollar is going to lose value. And so people have to find a way to protect themselves and you know, the average guy, I mean, gold is the easiest way to do that.

