Speaker 1:          00:00:00       Young Jamie [inaudible].

Speaker 2:          01:00:11       I don't want to see Jerry Rice catching passes right now. There's fucking bad knees. All dudes fight. Oh Dude, why not let them fire all? We're so worried about their distance. They want to fight. Let them fight. You remember when Ray Mercer fought Larry Holmes? Bitch, your ass boxes face off like God damn lie homes was like 46 or some shit. Then we're not going to let you find out how old Larry Holmes was when he fought ray mercer. And this is after Mike Tyson and marked them. So Mike Tyson burped him and then Mike Tyson went to jail and then he was like, as long as that mother fuckers in jail, I'm boxing.

Speaker 2:          01:00:46       Fuck. What's that? He was honest. He fuck the Kings in jail. They case the line. Yeah, I'm coming out. Well it was all here. Everyone had when they fought Mike Tyson in those early days I would have loved to have seen Larry Holmes in his prime fight. Mike Tyson. Now we've got marlene, Psalm 42 oh that's not that bad. That's it. That's a different 42 though. That's not like a 42 in 2016 that's in 1992 42 zero new Mexican supplements. So totally different. Yeah, that's totally different deal set. A 42 year olds. Heck crazy. We don't even think about, cause I homes gotta be in his late sixties or some shit. Well I think he retired when he was like 51 or something like that. I think he had like a fight like in his fifties but uh, Larry Holmes in his prime, like the Larry Holmes, it fucked up Muhammad Ali. He would give anyone a run for their money here.

Speaker 2:          01:01:43       He helped big day where that was the end of Muhammad Ali. 100%. You're definitely right. I still, when you talk about like a vintage or you talked about fucking George Foreman, those guys are so big man. But you look at like Larry's body here. This is not the same body that he had. Like when he fought Ali, he was doughy or, and he had like a little bit of a, well actually it doesn't look bad right here, man doesn't look bad right here. This looks like the Larry Holmes that fought Mike Tyson, which was like hangs down. Ooh, you look good man. One, two, but little slower than he was when he was young. Ray Mercer was always a fucking murderer though, man. He was scary dude. Ray Mercer

Speaker 6:          01:02:21       started late in his career, wasn't he a military guy? He started in thirties, Olympic gold medalist and boxing and uh, we did it from the army. He's a bad motherfucker dude. And he hit hard. But Larry Holmes, once the Fight War on got that Jab, whenever I think back to these fights, those, I always think those guys hit so much harder than guys now. Well, um, they were knockout artists and, and knock out artist like ray mercer. He could be a knockout RC in any generation, but Larry Holmes, he would give fucking anybody today a run for their money. Anybody? Anthony, Joshua, he would fuck up a lot of these guys. Ben Klitschko, Larry Holmes, like go to Larry Holmes, a beat Muhammad Ali because you're, you're here. You're watching Larry Holmes. It's like 42 years old in 1992, which is like 80 today. 85 no trt and no vitamins. No, didn't know nothing about Kido Watch.

Speaker 6:          01:03:17       Go full screen and then just go to like the middle of the fight, man. Dude, I went with ordinary home for the holidays. So the cow, good. Larry Holmes. Look back here, man. I'll look at his movement. Yeah, way, way leaner, way faster. And look at his head movement. Nasty Fucking Jab. That's a different Muhammad Ali though. Yeah, it is different. Muhammad Ali and it's a different Larry Holmes till this is Larry Holmes who was a punisher like look at he's, he's angry with that chat was like, it makes a mean face when he's popping them with it. Larry Holmes was a bad motherfucker dude. And he fought smart too. I mean he respected Ali and just what systematically beat him down and it was hard to watch because Ali was way past his prime way past his punch. A bummer man. It was a huge bummer to watch because we were absolutely sure that Ali was getting fucked up.

Speaker 6:          01:04:03       There was no going on. Yeah. There was no denying it towards, you know, the remaining rounds of the fight. I forget how long it went, you know, the best body and box and vault time. You ready for this evander holyfield. Oh yeah. It's a good argument. Jacked. Yeah, he's about as Jack did you get tough. Fuck. He was one of the first guys to like legitimately put on muscle and move up to the heavyweight division to remember when he was a cruiserweight champion. Remember when he fought dwight cow? We do commander Holyfield at cruiserweight fought Dwight Mohammed cow who was five seven the Camden buzzsaw off five 795 pounds. It's bus saw. What a great, yeah dude, he did. That dude was an animal. He was built so weird and he went up to heavyweight after that. Any fucked a lot of guys at five seven Dwight Kawi. I'm pretty sure he's five seven. I'm not, I'm, I don't, I don't believe I'm exaggerating that. I think he was literally an inch shorter than me and he was fighting as a light motherfucking heavyweight and a heavyweight and cruise cruiserweight is really where it started. One 95 but he was at tank. He's was like this fucking jacked up looking who some are Paul Harris looking dude look like God job. Yeah, but, but I, I, you know, I don't know if it was supplements back then, I think five, six years,

Speaker 2:          01:05:18       five six that was wrong. That is a short one. 90 but wa watch him fight, man. It was just so weird because he was a dangerous big powerful guy. Look at Vendor Holyfield Ben, that's the lien of Ander. Holyfield coming out of the Olympics. Hunt yelling at him. Yeah, it's a different evander. This was skinny young evander, but look at coffee man. Just just this tank of a dude short and throws these looping over hand shots and you're always punching down on and look at the size difference man and just hard as nails. A hard as nails. Dude, don't ball. Just like fucking give a fuck. He's like, I'm not here to Slang Dick. I'm going to sling some leather. Look at his socks, the lesson, 1990 sweat socks. They were killing it back then. Cow. We had a totally different approach because he was so short for that division.

Speaker 2:          01:06:13       When you watched him fight, it was like confusing. It's like, I ain't never seen this before. Like holy field was be like two feet taller than him at points because cow. We also fought crouched, so he had moved in tight guard crouched Tyson style. No, he had his own thing. Mad. A lot of bobbing and weaving. He didn't have the same sort of combination, ruthless punching style that Tyson did. Tyson could just fuck you up with one shot and he knew it. [inaudible] was like a Mauler. He would maul you like that right there. But he's fighting guys way bigger than him. You know Tyson was probably like five 11 right? Wasn't it? Somewhere on there. I thought. Still Short. Still Short. Still Short, but a different, oh, holyfield connected and drops him. Holyfield I mean, that's what I'm saying. Motherfucker. Motherfucker. Remember his fight with Burke Cooper?

Speaker 2:          01:07:01       Another one? No, I don't. Oh my goodness. I really os burt cooper like on the verge of superstardom and him and Holyfield Godo Wiz are with our son Evander Holyfield. I mean just, he was awesome. Past go to holyfield versus Burt Cooper dropping some boxing knowledge on you motherfuckers done. I should know about mma. Yeah, I was huge. Eddie Bravo and I both, man, we were huge boxing fans. While you're still, he's still, I love it. I can't get [inaudible]. We stopped him, look at that and he stopped him. Been talking about boxing for an hour. Poli field, man in his prime, Dan, I dropped. That was the second time they fought Jamie. That's the second time. That was when Kylie was older. See if you can find the first one. The first one was the revenge fight because in the first fight they went to war and a cow. We and Evander Holyfield went to war, but cow, we wound up losing the decision and it was like a big fight for a vendor.

Speaker 2:          01:08:00       So that was the second one. What is this? I thought I clicked too quick. It's Tim Fighting George Foreman. George Foreman versus cow. We how ridiculous is that? So George Foreman, fod. Kali. Kali was five six. George Foreman's fucking hands were a foot wide. That's ridiculous. No thought he fought at 50 didn't me. Oh yeah, you won the title at 46 you know what to say? Former hardest hitter of all time. I believe it. Remember that Michael's prime, that you're forming fire. Look at it. So this is the first Gulf war with one punch. This was when Kylie was younger and this was a really close fight. This is the different fight. The second fight of was just on a totally different level and [inaudible] was older, but [inaudible] he used to, whereas his waist, his pants rather as his belt, way the fuck up high. The straps of his shorts were like way above his belly button.

Speaker 2:          01:08:51       He looks like the blue guy or the green debt from Monsters Inc. Yeah, this is just the whole body then. There's not a lot to hit now and this little fire hydrant, but this is like holy fields first big test. But see if you can go to, uh, that other fight that we're talking about. Lean holyfield his man there. He's so skinny. What was the other five? Burke Cooper go holyfield burke coover holyfield burke hoover was crazy war and this is like 1991, I think. And Burke Cooper was a bad mother fucker smoking burt that go go deep into the fight here. Young Jamie. What kind of, Oh, okay. Eventually Kill Them. More rocked up here. Son Per Cooper was a savage man. He knocked motherfuckers out too. He's a vicious power puncher and this was like a sort of a make or break fight for him because a lot of people thought that burke crew like Burke Cooper could fuck it crack.

Speaker 2:          01:09:45       And a lot of people thought that Burke Cooper had a shot at being like one of the top guys and this, this was the fight that separated these two guys. Just an awesome fight, man. GRC, some Jessia vantage crib in Atlanta. It's not really a house. It's more like a, I would tell her your campus like a college straight up fucking giant university from the dus suggest like USC or some shit in Atlanta. Yeah, like a hundred room mantra. When are you just doing balls? He went balls out. That's how, um, uh, um, Ron White described Larry the cable guy's place. That's who it was. He said, Larry, the cable guy's house looks like a university. Really? And he's like not Phoenix University.

Speaker 2:          01:10:28       Did I say oh was the case? I'm sure that's where I came from guys too though. Yeah, I'm sure both of those guys live in fucking giant mansions. Larry the cable guy's a funny dude, man, is he? Yeah, he's a nice guy too, man. I used to hang with that guy in the Montreal comedy festival before anybody knew who he was and he was funny back there. He's a good dude, man. He was doing that. Larry the cable guy thing on a radio show in Florida. It was like a character that he did and then cause he'd have his regular stamp and then that was just a bit that you do it late I think. I'm not exactly sure the origins of it, but I think he started out doing radio and then from radio he started taking it to the stage, but his real name, this visit videos of him as Dan Whitney doing standup. Damn. Yeah. I didn't realize how big it was. I think I wasn't making fun of him and I was like, cause that guy is still alive. I think we're on this showing

Speaker 6:          01:11:14       you like what? Boom, Nebraska sold out fucking arenas, arenas and shit. Josh Wolfe took a picture of himself opening up for Larry, the cable guy in a football arena that was sold out. God, God in the south, dude, shut your mouth shut. Shut your mouth. Mouth. You got think man Nascar and fucking redneck joke. This is what you've got to think. There are 300 in who knows how many millions in this country and you go down South Larry, the cable guy can get millions of people to see him. He might be able to do a million person show. How the fuck, not sky's the limit. If you had a million seat arena, he's selling it. And Larry, the cable guy might sell out a fucking million seat arena. And that's not a bullshit. That's not bullshit. What is that about? Can you explain that? It's a funny dude, but he also represents them.

Speaker 6:          01:12:04       He's like a very good joke writer. He's south. Well it's, he also represents them like he's doing like redneck sort of Shayne's third democrats. This is the voice and it's really well written. It's funny shit. You know, he's, and he's a good dude. He's a genuinely good dude. And, and him and Jeff, Jeff Fox, Jeff foxworthy. It was like the captain of that ship. Yeah. And then those other guys and Ron White and he brought ron white in apparently. Um, and Ron White was, you know, doing well. I mean, everybody knew who he was. I knew who he was. Everybody knew like he was a, a well respected headliners clubs, but people didn't really know how fucking funny he was until Jeff Foxworthy put them in front of everybody. He's a great guy to then corrections. They're super dirty. Southern Guy. Ron White's pretty dirty. Ron White has this whole bit about, um, how when he was in the navy stationed in Hawaii, he kept, he was getting his dick sucked by hookers and you'd know they were girls.

Speaker 6:          01:13:00       They were boys. He thought that there were girls the whole time until like years later, he was watching some show about during the 1970s when he was there, all these transvestite hookers that were operating in this one block that he used to go like every day to get my dentist. He's like, I got my dick sucked by about 150. Dude, he's talking about it last week on the podcast. If you haven't heard the Ron White podcasts, listen to that shit. He's a genius. He's a brilliant story teller. He's from stand up, stand up and he's such a good dude. So He's, he's uh, um, the blue country guy. Yeah, he's a dirty country guy for sure, but there's college. Those guys, you know what man, it's just I think um, with when it comes to like what we think of as country, like we think of as the south, you know, I think people who live in cities are very prejudiced of it. I don't think it's the same thing today as it was 20 years ago. Everybody knows things now, man. Everybody understands things way better now than they ever did before. Like if you lived in like a West Virginia in the 1970s, you probably, if you lived in a real rural coal mining community or something like that, like, man, good luck getting any sort of access

Speaker 4:          01:14:12       to any information other than what's right in front of you in your town. But now, now you've got a phone and everybody cell tells you something. You can just check your phone and go, well that's not really true. You know, I just googled it and Stephen Hawkins says that this, Ooh and you will these kids, they can be way more informed today than they were back then. So I think when people think of the rural south as being like that, I think that was a part of a problem with this last election. I think a lot of people thought like that. There's certain people that live in certain places that are just stupid, you know, the, the, the red states and then the, these people are ignorant who'd say, and they proved it with the election. Like the problem with even saying that is people don't like when certain people talk shit about them, they don't like it.

Speaker 4:          01:14:59       Right. It makes them feel bad. If you make fun of people live in West Virginia, like I just did people in West Virginia to get pissed off right there. It's not the state, not the same people anymore. Like our ideas of these like spots of the country where they don't have information. We've got to let go of that idea. Like there's depth there. Definitely like leaning more right in some places than left. And that makes sense. But there's still a ton of fucking people that get it in these places that didn't exist just 20 years ago. Well yeah cause it, especially to your point, because the smartphones, like everyone thinks, I'm like, Oh hey, like what's going on out there? But they're fucking, it's easy. Like you said, don't even bring up Google or whatever, any news. Like my dad and I, my dad's in town, we know argument and he's up against some point and I was like, oh cool. Just went on my phone was like, nope, wrong. And end up discussion. So I don't know what you want to do.

Speaker 4:          01:15:52       Well people just have these ideas in their head and they've had them for a long time. And uh, you know, if you live in a rural community and you don't have the internet, you could just stick with those ideas and those ideas will be transferred onto your kids and transfer it onto their kids. And it's, you're fucked. You're fucked. If you live in a tough spot like that, if you live in a bad place filled with dumb people and there's no new stuff coming in, you got to get the fuck out and you don't even know how you're going to get out. Or if you're, if you just don't have access like North Korea and they just have no fucking clue what's cause. See what they were making them do for North Korea with Kim Jong rooms making them do on Christmas. No, he makes people worship the mother of the revolution.

Speaker 4:          01:16:31       The his grandmother who was the wife of the first dictator of North Korea who she died of mysterious causes and like 1949 and so like he is so anti Christmas. This guy, he literally is like, he's like a character and a Dr Seuss wavy ticky so anti Christmas, she's like the grinch. So they have to celebrate his dead. They have to celebrate his grandmother, the mother of the revolution, the fullest. Crazy. You estimate 18 Korean cities disappear during that war. Look at that and that's why he, I mean 18 cities disappeared. What do you mean the war

Speaker 3:          01:17:10       on the Korean war between bombed 18 cities in the North Korea? Yes. And then the hole, that's when the regime started. Well, the Korean War, um, when did that end? Uh, fifties in the 50s. Some June does a weird war, right? Like people don't really talk about that one too. We're talking about the, but they did, it was, I was watching a documentary about, uh, how doctors, uh, they're allowed to go into, um, everyone's Korean and fix people's eyes. They give them like a month and these doctors from China, they come in and they do the cataract surgery and his assistant snuck in. She was a journalist. She posed as an assistant just to get in, just to get some footage of on the inside. So it was about, you know, it is fucking weird. And North Korea, it's weird as fuck. And that guy is crazy as fuck. But at the top of that documentary, that was not pro North Korea, it was, it was anti North Korea.

Speaker 3:          01:18:06       But at the very top of it, when she's breaking down with the documentaries about it, she, she, she mentioned how 18 cities evaporated in the war. It's war son. Exactly. No wonder there's so much hate for the fucking dus. What their issue is, their issue was their dictator is ruthless and is dominating them with fear. He bases it on that, but that doesn't make any sense. He's doing it against his own people. What he's doing is imprisoning his entire country. I agree with that bombing 18 cities. It's fucking disgusting. But think about that. So just as bad, like it's almost like you could understand it was an abused child. You know what I mean? 18 sit q man's, but he's fucking country out there. If there was a country out there that firebombed 18 of our major cities, why would we feel about that country?

Speaker 3:          01:18:57       You would be, you'd be fucking lynched if you said anything pro that country. It would be that kind of church. I go to bed. You Bet. That's like Holocaust type shit. You bring up that shit. You'd be fucking bed. You'd just keep that shit to yourself. Well, that's what you ever talked to someone who has, who's Armenian, who's spoken to an Armenian genocide denier. There's a lot of like that Armenian genocide is a very rarely discussed holocaust. I mean not, not the Holocaust, but you know, in terms of the use the word to describe an atrocity, it was a terrible thing. And there's deniers of that. And when you find an Armenian and you talked to him about people that deny the Armenian genocide, I remember manny, I'm gim Berean. He won a fight and I was interviewing them after the fight and he was dedicating to fight the fight to the Armenian genocide to the victim. So the Armenian genocide. Okay. And I remember thinking, wow, like when was the last time you even heard about that? Nobody ever talks about that. Never, never. It never gets discussed. I think Shirley and people died and I'm pretty sure it, La has the biggest, um, Armenian population population that it, right? Pretty sure. Hell yeah. You go to Glendale. Wow.

Speaker 6:          01:20:09       Okay. The United States drop 635 tons of bombs in Korea, not counting 32,557 tons of napalm compared to 503 tons in the entire Pacific theater in World War II. At least 50% of 18 out of the north, 22 major cities were obliterated. Holy Shit. Holy Shit. Right? Was that right? Yeah, you're 100% right. I mean this is the Internet. Are we in the library? Did you get that from library.com? Um, that is terrifying. Look at the images up there. Napalm bomb that you kind of look at that in Joan will or whenever the book, his name is as crazy as fuck for sure. But he caught you kind of understand when someone's really crazy and they've been abused and tortured as a child. You, you kind of like, I understand what you're saying, but um, I can't, I guess the argument would be that if they didn't do it, what was the war over? The war was over communism. Right? So the what happened at the end of the war, was it the two different countries? They became North End, South Korea. How's that? I don't know the details of when was, I know it's probably fucked up the out when will North Korea was a founded because this was, this is like the takeover.

Speaker 6:          01:21:29       18 different cities destroyed out of him. I knew he does. They say 20 to 22. When was uh, uh, South Korea and one was North Korea formed. And when, when did it become like north and South Korea? Do you know? In the 50 sometimes. So before that it was just all Korea. I'm not sure. I don't know that much about why do I not know this? All I know is we fire bombed 18 other cities. Man. That's devastating shit. Yeah. We talk about all these different, uh, well I think again, back then, man,

Speaker 6:          01:22:03       you, you never look in North Korea has a history. 1945. Oh, the partition of Korea at the end of World War II. Interesting. The creation of the communist aligned Democratic People's Republic of Korea. Okay. Kim Il Song in 1950 the Korean War broke out so they broke off in 1945 and water to be Communist. Five years later we were going to war with them. Man. I don't know the history of it. I'd be talking shit if I said I, I had an opinion on it, but it sounds pretty sure I'm pretty, I'm guessing that we, we shouldn't have been up in there fucking mass. That's less. We were worried that he was going to become another Hitler and that it was going to become a just a further extension of World War II. It was going to move on Maria, history of world war two that is like we don't really know the history of World War Two.

Speaker 6:          01:22:56       There's that mainstream history and then there's the real shit. Well, you know, world war one to both of them are just like world war one is very bizarre man. When you go back and listen to Dan Carlin talk about World War One and you realize how recent that was, where most of these guys were walking everywhere, walking everywhere with guns, you're like, what? Like, yeah, that's what they did. They walked, they walked with guns there, walked across countries, braveheart with guns. It is ridiculous when you realize like that was a hundred years ago. You go holy Shit. Like what has happened and now instead of just, you know, 50 years after that, less less than 50 years after that there napalming entire cities wiping out whole cities like the, the ability that where it used to be at like cannons and shit, the Ed to move and push him closer and closer to people.

Speaker 6:          01:23:45       The difference between that and being able to drop shit out planes on people's heads, drones now, not even crazy guys. They got a con just she took continental ballistic missiles, missiles that are pointed at Russia and Russia's got him pointed at us and we just go, yeah, yeah. That's where like the fucking Hatfield's and the Mccoy's just stand at the barrel of Martin, Sam Moore and Ralph Lauren. Ralph sheep dog and the Coyote. Yeah, old school reference morning Ralph Lauren, Ralph, they would punch in and they beat the fuck the sheepdog. Beat the fuck out of the coyote all day long. At the end they would punch out and leave through that reus around there. What was the, a rooster is racist as fuck if you're not bro, come here, boy. Fuck corn. Corn was racist. What's your racist? Yeah, if you listen to how I say it, I said come here boy.

Speaker 6:          01:24:33       And he kept doing that, but he was talking to chickens. Now he would say some racist shit. He was talking to chickens though, Bro. That, but the way he wasn't even talking to people. Racist. Racist doesn't count with animals. It doesn't. We're all racist. We prefer squirrels over rats. You see a rather nice rat. You see a squirrel. You don't mind your kid playing on the grass was grown on a tree near it. I see. I like her at, yeah, but if you saw a squirrel, all right. If your kid was in the, in the grass, having a good time playing around with a ball and then like a hundred yards away, there was a tree with a squirrel kind of school. Fuck. Any kind of squirrel. The big bushy tail. Cute little fellow. Got a nut. Yeah, there's no problems. There's no problems. Right? If he was like 50 feet from Uk, would you freak out?

Speaker 6:          01:25:16       And I wouldn't be comfortable it and went to anything. He wouldn't care nothing to babies. But that was a rat. 50 feet from your kid, you'd freak the fuck out, right? Yeah. Well cause rats are sisters because you're raised with that rat was clean. What if that route was trying to better the rack community? Would that, what does that rat was a leader with their rat was the one rat trying to elevate the other rats. They need to be eating garbage and cannibalize each other to be better. We need to build homes. We need to establish communities. We need to teach people about rat traps. I like, I like rats. What am I supposed to survive on? On rats and roaches. But if we did that would fuck the, the economy up when you all these assholes that want to kill coyotes. Man, if there wasn't for coyotes, we'd have roaches or rats. Least everywhere.

Speaker 4:          01:26:04       Rats. Rats. Fuck. Yeah, they do. That's like the main diet. Their main dies like rats and rabbits. Chili's, a bunch of coyotes to New York. Man, they're already there. Coyotes. Coyotes aren't like the city though. The cities are in the city. Dude, coyotes are in every city in the country. I just got done reading this book on him. Coyote America. Jamie wrote a whole book on Cody's crazy book, man by a guest that's coming on soon. Coyote turned up in middle village, Queens and April 27 there's generally seen as a freak. It's inch in it, but it wasn't even the first sighting of 2015 there's many coyotes that live in mass in um, uh, central park. There's Kylie's it live in Queens. Yeah. They live all over Manhattan. Well, they're going where the food's at, right? They go everywhere. They're all over the country. There are small wolf that lives in every single city, every single state, all over the country and do we kit, we really don't kill him.

Speaker 4:          01:26:58       We can't have tried to kill him. They did. The biggest mass effort to eradicate a species ever was on coyotes and wolves. First Forrest Wolves, which was successful. And then coyotes. Not only does it not work, it has the opposite effect. When you hear coyote screaming, they're, they're doing, we'll call. They're just like, who's here? Who's here? Oh No. Yeah, they're trying to find out who's in attendance right after the attendance calls over if ones missing or two's missing up. So they think someone's dead or gone. The female has more babies. So the female will go from having four puppies to having 10 or 15 and then they also stretched the range out there. Different than wolves in that wolves have to operate in packs. Coyotes can operate as a singular or impacts. Now, what was a, okay roll call and then, oh, someone was really attendance.

Speaker 4:          01:27:45       And then what happens? The Mama starts making more babies. They're missing. So if someone's missing, say if they have a pack, the pack is like eight coyotes, but one coyote gets jacked by a mountain lion. They yell out. And when they find out that that kid is missing, the females say we need to make more babies and it's like to keep their species alive, they produce more offspring. So they'll go from having, so they have sex ups? No, no, no. Their pups or larger groups. So from four pups to having like 10 to 13 it's like the body produces more babies. Yeah. So the smarter than the wolves. Oh yeah dude, they're just smaller. Did there, they're fucking ridiculously smart. They're, they're sneaky and they're smart enough to know to not attack humans. Yeah. We'd leave them alone if we don't attack them. You don't, you don't hear a lot of coyote attacks on dogs and shit around.

Speaker 4:          01:28:34       It's cause they don't attack. They just happen. Not Be, be scared if they weren't as good as humans at attack, that'd be gone. This professor that, uh, I've got coming on the floor, the podcast, Dan Flores, who wrote that book, Coyote America, what he said is that coyotes when like the, the like a couple of hundred years ago, like they were only in the west coast and as people push them away, they started establishing new territories like us making cities and going after them, made them spread out across the whole country. She's us like an, it's, there's people that don't understand this. Like he got approached by this one because people know he's a coyote expert. You got approached by these people that were doing this coyote a rescue mission. Like we're here to save the coyotes, the coyotes doing great. Like you're here to save it, save it from what they're everywhere.

Speaker 4:          01:29:24       Like they literally have populated quietly and sneakily the entire country and the efforts, all efforts to eradicate them failed when they let me have it. See when they have male wolves, they can cyanide like a horse. They take a horse and they'll shoot a male wolf and then they take his balls and his dick and they rub is sent in his glands all over this, this animal so that the other wolves recognize that he's been there. So they think it's safe to eat. So they start eating this horse that's been cyanide and then they would all die and so they would pop. They would, they would attack these packs of wolves that way they would shoot the mail, they would take his sand, put on this meat, take a horse, shoot the horse, injecting with cyanide immediately. So it went through his entire nervous system where it's not just our circulation system. And so all the meat would be poisoned. And they did that. And they eradicated walls throughout the entire west coast until they brought him back into yellowstone in the 1990s there were like virtually

Speaker 2:          01:30:19       actually gone. But yes. Animal too. I was reading the article that they're, they're thinking about building a bridge over the four oh five and I didn't know this. There's fucking mountain lines. Oh, you can't depend, you can't it. But someone hit one in a car because they're trying to crossover, trying to cross the four oh five well that problem. And they want to build a little ramp during almost a land. Um, they're in like a land island, like around the Malibu area. Yeah. That's what they're trying to do. Just to keep the big monsters live. Yeah. One of them killed 11 alpacas in a goat in Malibu. Just a couple of weeks ago, they put a depredation order on it. They were going to kill it, but this lady who owned the farm got so much hate mail after they said they were going to kill the mountain line, that she changed her mind.

Speaker 2:          01:31:04       She didn't want to kill it because mental mind doing mountain land shit cause she has a farm up there. That's her living. It's making these Alpacas and this thing jacked 11 which you sign up for a lady in a way. Right. But if it's killing your food and killing your, your you're living. That's why you make a living is by selling. Alpacas are doing, I don't know what the fuck is an Alpaca. It's like what the fuck's hustle hustling llamas when Alan can do with them, rent them to rich kids' birthday parties. The fuck do you do with a Lama in Malibu Llamas just sweating their asses off. There was a dude who own the common connection that had llamas, had llamas living in his yard. Alpaca is a speech they spit to. They split like a motherfucker. Yeah, it's a species of South American Kamlish. It's a camel. It resembles a small Lama in appearance. There are two breeds of Alpaca. Wow. So anyway, this lion in one day, Jack, Jack 11 of these things and just left him there and

Speaker 6:          01:32:00       they're big. Oh, didn't eat it. Just kill. He just had a good old time killing them.

Speaker 3:          01:32:04       Yeah. You got to get rid of that one. Yeah. Is there a problem with wolves and hunters hunters or did they,

Speaker 6:          01:32:10       they certainly would. I had a friend who was cornered by wolves. They tried to take his elk and he wound up, they went up killing I think two or three wolves. I think they killed three, three wolves. I would have told us the story again. He had one friend with a rifle and him with a bow. He killed two of them with a bow and the guy with them killed one of them with a rifle and they were surrounding them and they were trying to get the elk away from him. They had shot him. They fucked up. They didn't know that. They were like in the wolves' Den. It was like that fucking the gray movie. Like they shot this elk like right near the wolves' den and the wolves like, yeah, we'll take that dude. Natural Shit. Yeah. And they surrounded these dudes and uh, started rushing them.

Speaker 6:          01:32:47       Like really? It's a crazy car. Three storing. And then the other ones took off. They were like, fuck this. The gun I think probably scare them. They're like, oh this, these mother fuckers have guns. And they did their call. They did their attendance called, and they were surrounding them, but they were, the wolves must've realized, Oh shit, they killed two of us. I think there's two that are gone. And then the killed a third and then like that's it now. He said he was, he had the Alpha male in his sight and he had his bow drawn back and the wolf took off running. And when the wolf took off running, the rest of the pack went to, they were like, fuck this. They're lucky they had a gun and not just those bones. So the patch. So lucky. Not only that lucky, it's not just one dude with a bow and arrow. Like if you didn't have that guy with a fun with them

Speaker 3:          01:33:27       would have been fucked. You know what's strange is killer whales have no problem killing other dolphins and other whales. They go after and hunt them. How come they don't go after humans like that? Oh, they have have they only videos but only in seaworld? Forget about seaworld. No, he had on my regular one ocean when the wild, I've never heard of that. I grabbed a lady and she said, see Ya Zinc. No, no, no, no shaming it have a story that happened in seaworld. No, no. I'm positive. This is in the ocean. He grabbed the lady or the guy by the leg and just fucking kills off. Kills Him. Takes off. But one of the, how often know how many reports are there of killer whales attacking humans? I mean is there do this almost none. They go after dolphins and other way it was like getting shit. They have fun. Great whites too. Yeah, they have no fun. They have fun with it. They go after they're mammals. So why wouldn't the, oh no, humans are they that smart to know offense to man, they like coyotes. Are they like how it is like, you know what? If we fuck with humans, they're going to come after us do. Are they smart enough to know not to fuck with us or are they being, is it like a spiritual thing? What is it? There's a bogus story

Speaker 6:          01:34:32       that I read online that I repeated on the podcast for. I looked it up, but the book, the book is that I'm pretty sure Adam Carolla told me or some of them I don't, I don't remember where I got it from, but the bogus story was that before, I don't think Adam Kroll believes this, by the way, before World War Two they used to attack us, but then once a, they used to do target practice with them from planes. Killer whale stopped us. Turned out

Speaker 2:          01:34:58       to not be a true story at all. But that's what a killer story. What a great story it'd be if it was true. It sounds like some place you used to fuck with us and they're like, oh, check this out. And they're like, yeah, we'll help you guys fall in the water. Pull you out. Just please stop. Stop that. Yeah, we could work together. Yeah. Killer whales are gnarly, man. What's up with that? The gnarliest or maybe if you found out you see that there's a big cover. I've seen it kill humans all the time. I think it's a guy in a, in a, in a pond. In the tank. The exception, like obviously seal hunt people, but grab this fucking lady by the ankle was like, ew, I don't know about that man. I never heard that. I'd like to see. Just see that at the library.

Speaker 2:          01:35:41       What do you get your news? Where do you get your hands, Bro? Hey Bro. Kellen sent me that. Is there a youtube video about it? Yes or no? Yeah. Killer. I found one fake one. I see one from seaworld. There's one where uh, a Japanese whaling crew was eaten alive by killer whales. Thanks. Cake. That's not a video. It just says like a story. What was the story? Japanese crew was eaten alive by killer whales. That's one of those fucking fake news stories. You hear that fake news thing about up Pakistan was like there literally were like ready to go to war with, uh, what was the, I tweeted earlier today, someone believes some fake news story. I'm not believing this store. There's other news things on there like, so it's a fake news story about fake news jacking off for it. But no, no, no. That was nail from the same site.

Speaker 2:          01:36:31       Now this is not from Sam, but the one that I tweeted earlier today, I saw that that was a fake news story. I'll pull that up. Right, right. That was about, but it was on cnn about a fake news story. Right. And then they bought into it or about, someone bought into it with this story about the war of the potential for war wasn't fake, wasn't gonna stay administer issues just popped up. I put it up there warning. It's real after being tricked by fake news. Right. But that's what I was talking about. Yeah. So that's real, right? That's not fake news. The ultimate trolling. That's that dude. When they're talking about fake news site, that's the fake shit. This shit. Okay, well either way. Either way. Whoever, whoever wrote fake news that they put what? First of all, shitty being tricked by fake news site.

Speaker 2:          01:37:14       They keep putting that out there cause they're gonna censor real shit and it's going to be government state run. They're going China style did they already doing? I'm trying to scroll up for a second. You anything you want in China? No doubt. And I'm sorry down. You got to train. Anybody go to China. But guess what? You can't watch regular youtube. Why don't they have a space between Pakistans and defense minister? This is fucking CNN. How about you put a goddamn space in between your words is the Shitty Lazy Editors, early men. What does it Jamie? This is the telegraph.co. Dot. UK. Oh, okay. This one is, so what's the CNN one? There was a cnn one that I tweeted. This was not exactly what a tween, but either way it's the whole thing is very bizarre. Homeboy got

