Speaker 1:          00:00:01       Want me to introduce you, ladies and gentlemen, the great Everlast. Hmm.

Speaker 5:          00:43:16       We went to two shows when they came back to La with a full kiss with Peter Criss and ace freely in makeup and we were like, you just complete unapologetic dorks. We were reliving our childhood together, unapologetically rocking out to a kiss concert and it to Chris. I mean he was air guitar and Kevin James is fun to go to a fucking kiss concert with cause he fucking sings the songs. He like gets into it and this is back before people knew who he was, he wouldn't be able to do that. Now you have like a scene in one of his movies where that's what he's doing. He's like, oh sure. Playing guitar hero or something. I wished if somebody filled great rock city or something like that. If somebody had filmed Kevin and I are going to seek kiss back in the day, that would have been a fucking hilarious video because nobody knew who he was back then. This was before his TV show. It was like he had was like a semi known comedian. If you watch star search or something like that so he could be like free and public and not worry about anybody. Weird, not him. So he just completely rocked out Detroit.

Speaker 5:          00:44:21       Get down. It was just like a free show. No, like especially like being a feller kiss fan. It was awesome. Kevin is fucking hilarious. That guy's one of the funniest guys that doesn't get credit for it. Like he's like real clean in his movies. He's like squeaky clean and let you know his stand up is like, he doesn't really talk about anything controversial, but if you can hang out with that cash, you hang out with that cat and get them to go full shimmy. That's who we used to call him. His nickname is shimmy. We'd call it going full shammy where it gets fucking mad at things fro shit gets red in the face and he's putting on a show for you. You know, he's, he's doing a bit, some of the funniest, the hardest I've ever laughed. It's just hanging out with him. Like, like having him recreating an argument that he had with his girlfriend, you know, like, and him going crazy and red in the face.

Speaker 5:          00:45:09       He was a, he's a fucking hilarious dude, but he does movies that are like more like for families and kids. Some people don't get to see that aspect of him too bad, you know, we don't want to balance to world. We don't want to do to do kids' movies and still, you know, that's why we should have him on the podcast for sure. He wouldn't do it. Saget was one of the dirtiest comics ever used to be. Yeah. And I guess he was full House for, he was like the full House Guy. I think he stopped doing standard during that time. Yeah. Now he's super dirty and playing off the full house. That's back to the dirty thing. Yeah. I think they probably told them, hey dude, this is like a hundred million dollar business we're running here. Do you understand that? And you could fuck that up by telling a Dick joke at the laugh factory.

Speaker 5:          00:45:49       So why don't you just lay off that you're getting, you know, x amount of millions a week. And I always a, and they did that with Tim Allen as well. They told Tim Allen and stopped doing a stand up because it was a little controversial. I Dunno. It's crazy. And that's TV though. All I know is I never got successful enough for anybody bother telling me to stop doing that. Eddie, they go write me a check. I have to do things when they start writing you checks not to do things. You're doing something right, man. Well, I never got, I was never important enough in the equation where they asked me to not do something like it was going to fuck things up. You know, like I guess like when fear factor came along, people will already sort of opening up to the idea that the world isn't exactly as we've been told and that there's a lot more variation in people then you would like to imagine.

Speaker 5:          00:46:34       And you know the world's a big fucking place. And of course, how could a dick joke fuck up a show where somebody who's going to eat like goat, Dick. You know what I mean? It's also you can express yourself now before where if you said something fucked up a long time ago, you had to get booked on the tonight show to explain yourself. You know, I remember like when Hugh Grant got caught with the hooker and it was like the big thing and he went and Jay Leno, well what the hell were you thinking? He gets it. He could just do a video blog now. You know what I'm saying? Like instantly have something where expresses himself. Now there's like, there's so much range for expression now. There's so much room, it's just a completely different world. You still have to apologize if you're Hugh grant though. Like you certain comedians like wouldn't have to apologize, right? Yeah. Well the guy like Hugh grant is selling that thing. He's selling that. This one style is just as Kevin is selling, you know the squeaky clean family comedy. You know Hugh grant was telling the really sweet boyfriend guy who was from England and we'd like to help you move. Can I caviol

Speaker 6:          00:47:29       couch and who's not some crazy dude looking to get his dick sucked on the sneak tip already. Street hooker. There's that too, but okay. You just reminded me of something. There's that English dude on CNN with the glasses who still on, but like three years ago the dude got caught like in central park, like with meth in his pocket and I'm like a noose around his cock and like all kinds of crazy shit. It's Richard something. Richard the British dude. You would all know him when you see him. God's, yeah. What's his name again? Richard something. CNN. Richard. Okay, so I'm going to Google CNN. Richard, never last. Drop in facts again. What was the, my brain works in crazy ways. How about news? A reporter reporter. Noose around Cox. See what comes up. I'm going to have to say penis. Look, here's Hugh grant's differ now because it's Google. That's right now. Yeah, she's sweet. She's got a family family. Sure. She parlayed that into a life. Okay. I'm the streets. I don't see it here under that. So the story really is Hugh grant got someone off the streets. So reporter arrested math. Did you say math? Yeah. Math central park. Here's, here's a America. Richard. Fuck. What the fuck is his name? Richard something. It does American Eagle. That is dangerous.

Speaker 6:          00:48:49       What is this? What do you watching his Mexicans USA and it killed. That was an American Eagle. Check this out that it ran into the window. Yeah. No, the died. I think it was supposed, you know it's a show. It was like, oh, it's a show. I think so.

Speaker 6:          00:49:11       Oh, you nailed the window at full clip. Yeah, they die all the time like that. In my house. Birds. Birds are flying in my window. They just fly any window. Sometimes they miss. They don't realize what it is. Yes. It's always sparrows. Cute little things too. It sucks. I know there's, does that mean you could do to get rid of it? Like a grilling? Yeah. Dunkin did it throw them in the trash? No, I forget. What did he say? Hmm. Yeah. I don't know what, what you can do, but I remember he said he had a bird feeder and he had all these birds hitting his window. I found a story, a CNN reporter arrested in central park. What was named Richard, what do you do to Richard Quest? Richard quest was officially arrested for loitering and drug possession in the, in the, in Europe, especially CNN like over there, he's like on all the time this guy got arrested like with uh, like something tied around his junk with math, like on like some rampage. Well it says the New York Post included this Kinky, the kinky elements and an article on Saturday. So there was some kinky elements to it is around his cock. I like man. Okay. Yeah. It says, another website will tell the full story. Why do they withhold information and say the guy got a noose around his dick in the Ed math.

Speaker 5:          00:50:28       Don't say there's like, but it's like student students didn't, he didn't skip a step. CNN didn't fire him. They were just like, all right, Yo, uh, good for him. It's just crazy talented. This is strike one. He's a good looking guy. Okay. So Richard Quest was arrested early Friday morning for drug possession when people found in central park while after the parks 1:00 AM curfew. Wow. You know what? Well, so what cal was out getting his freak on. I'm just saying he's a media guy. I mean, you'd think normally, yeah. It wouldn't normally get them fired, but maybe he's really good at what he does. And so they're like, what happened? Does like really corny kind of stories, man. He just like, I'm under a lot of pressure.

Speaker 9:          00:51:08       I have a feeling,

Speaker 5:          00:51:10       you know, maybe whoever he was going to meet with the math and the, and the noose around his cock might be a superior at that. His job or something that's so funny. Can't lose it. It wasn't immediately clear what the rope was for.

Speaker 9:          00:51:26       The officer on the scene was

Speaker 5:          00:51:29       see the drug because of his prior experience as a police officer in drug arrests. Okay, so the guy had a package of math and he was headed home to his friend's house. It says his lawyer claims that Qwest was returning to his hotel with friends and had no idea there was a curfew for the park. I didn't know it was a curfew for the parking, did I? That's kind of weird. Isn't that like the whole thing about New York City so you could do whatever the fuck you want? No, it's everything's open. I think that stopped when people started winding up dead in the barn. No weird. You can't have woods. Even woods in the city. People start killing people and dragging them into bushes and chest were so creepy. When it comes to woods, what is that about? You know, like women don't that women worry much more about getting like raped or attacked in the woods.

Speaker 9:          00:52:14       Like if you find men in the woods like it's way more dangerous than the man in the city, any rape with probably all the same. What about worrying about it? Like if you ran into a man,

Speaker 5:          00:52:25       it's just you and the man in the woods. It's way more of a rapey situation. Then you run into a man in a city where there's all sorts of other people and all sorts of buildings, and when you're out there in the woods, it's a totally different environment. For a woman, it must be, you must feel like ultra violent, like, like ultra violent dudes that you could just stumble upon are super fucking dangerous if you're a woman. Whereas if you're a guy, they're not going to fuck you. They're going to look at you and go, Hey, here's another guy camping. You know, if you're a woman and you're out there in the woods by yourself, unless you seen deliverance, I think that that movie is accurate. There are people that are out there.

Speaker 9:          00:52:59       May I see other guys even when I'm camping, if they're not familiar, I I start thinking rapey thoughts like, hey man, I'm trying to get raped out here. We did bring a pistol, right?

Speaker 5:          00:53:13       Yeah, I would. I really believe people get ready when it does. Just out in nature. Something prime who takes over man, they get more in touch with their animal natures. Yeah. It's almost like with creating cities and spacing things and putting doors in front of this and you can lock that and you're secure in this room instead of like being all out in the open, like we've like slowly moved away from the, the, the primal instincts that have driven us to this point. But all you need is this room moved those buildings. Yep. Stuff. Everybody back in the trees again and the same shit. We'll start from scratch like really quick. The moment your kids start getting hungry, shit gets really fucking primal real quick. That's what I keep telling people. Yeah. Well nobody wants to believe that, that our civilization is just a thin veneer covering ancient barbaric genetics.

Speaker 5:          00:53:59       Our civilization in the last couple hundred years to really, but if you go back to the fucking race riots in the, in the 60s and the fifties like, isn't that like what, what kind of civilization is at what kind of civilization where they were just like completely discriminated against someone for the color of their skin. With all the books that were available. They had decided these people who are less than they were going to keep them at a certain bathrooms. It tells us to fucking 1950s my grandma had, you know, like separate schools. My grandma and she's Mexican. Jesus. So how, how much civilization have, we're really had, how long has it really been around? No, it's fucking barely here. It's barely here hanging on with vaccines and cell phones. Barely here. But if the fucking power goes off or a big rock hits the ocean or one of those fucking volcanoes blows all or flare right back to 1,010 thousand years ago.

Speaker 5:          00:54:47       Right back real quick. Soon as we run out of lighters, soon as you run out of bullets, right back to Craig. Take me a while to run out of bullets, just so everybody know you hunt or do you just shoot targets? And Brian and I are actually very curious lately. We're trying to find one. Probably take a class on how to like, you know, go hunt and like actually killing and prepare an animal properly. You should go on Steve Rinella show. You should go on that meat eaters show. Oh yeah. Yeah. I'm not familiar, but I want to, you know, I, plus I always feel, I feel like this as a meat eater, I feel like I have the responsibility to actually have to go through and do butcher an animal once and I've never had to do it in my life. I understand it. I've seen it on film, but it's like I still feel like if I can't do it, if I can't stomach doing it, I have no business eating meat.

Speaker 5:          00:55:39       I feel the same way. That was my motivation to go a hunt with him. Yeah. I want it to a experience it and I wanted to experience it with a completely wild, we took a canoe, we went down to Missouri breaks, we went on the Missouri River. It was amazing. Cause then I'm game was, it was beautiful. It's hard work though, man. You're, you're, you're huffing it over these hills. Like if you're out of shape, it's really hard because you're doing a lot of high elevation hiking and it doesn't seem like notch because you're walking kind of slow, but you don't fucking stop and dude's in serious shape cause he doesn't shut all the time. He hunts every day. Like he's, his show is a hunting show. So he's always in fucking New Zealand climbing mountains. He's like, he's constantly doing this. So it's like he's got this kind of hiking and Darren's, it's a lot of work. But the, the experience of doing it was

Speaker 4:          00:56:24       life changing. You know? That's where I got that thing from. That's deer head right there. How much did that doorway? Hundred 80 pounds. Wow. About approximately how long did the big um, I ate it pretty quick. Um, quite the carnivore eating like meat. I just look, I mean, and I'm not a cruel person and I love animals and that seems like a contradiction. No it doesn't. It's not, people got to realize it. You have to manage certain amount of wildlife. You have to for their health, for the health of the species, like the idea of deer entitled like in total, like the idea of large populations of deer and healthy animals breeding and surviving in the wild around us is a beautiful idea. But if you don't manage their numbers, they just start breeding like crazy. And then you slam into him with cars and then they run out of food.

Speaker 4:          00:57:14       They starved to death, they started getting diseases, those diseases transferred to people like it's, uh, it, it really is as stewards of the land, which is what humans claim to be, you know, if we start putting fences up around things and putting roads, we're essentially saying, we got this, this is our spot. Well, you need to manage that wildlife. You have to, you have to kill them. You, your options are either kill them or reintroduced predators. And they've tried both. They reintroduced predators to Yellowstone and now they have real issues because of the decimation of the elk population and the deer population. There's like a fraction of the elk and deer that used to exist because they have these big packs of wolves now and they're fucking successful because they don't have much competition. The grizzly bears don't know what the fuck's common, you know, and the grizzlies are not trying to eat the wolves and the wolves aren't trying to eat the grizzlies and occasionally have to fight over a carcass or something like that.

Speaker 4:          00:57:57       But for the most part there's a lot of shit that they're killing out there. So that's, that was one solution. But now a guy in Minnesota got fucking beat in the head by a wolf. His kid was camping the other day and this will fucking clamp to hold of his head and just trying to drag him away and he's screaming and you know, eventually prize himself free and they find the wolf and trap it and shoot it. But like that's what happens when you don't hunt deer. When you don't hunt deer, you have to have wolves. Okay. And if you have wolves, like they're gonna kill a few people every now and again.

Speaker 4:          00:58:28       I like, well I like wells but I wouldn't want him in my backyard. I believe in calling of herds. Yeah. Yeah. You got call. Who's going to tell? So the readout of delicious Lyme disease going to call ours? That's a good question. You know what I mean? That is the question, right? Who's going to call ours? That's the real question. There really is the question. Because if you, you know, like I've said to to certain people, like you know, if everybody just had less children in the world would be a beautiful place. Like is that really true? Okay. Because you got to look at it a few ways. One, you got to look at it and aren't people, they started out as children. Okay. We need people like wait, what we without a doubt need to manage like the amount of us we have. But don't you like people like I think people are awesome. Like it's operation are the ones, I'm not a lot of good ones man. I've let a lot of good ones. Like I'm a big fan of people. So when someone says that we go to overpopulation problem, I go right, how do we right now, like it seems now if everything stays

Speaker 6:          00:59:22       like this, we got it. I saw something online that was like this little graphic thing. Like when they were taking senses about like every person on the planet supposedly could fit in the state of Texas and with with elbow. Yeah, I've heard that too. So it smells like shit. It would be a real problem. There's enough room for everybody. Resources. That's the, that's the question. Is there enough resell location of resource and that is the question. Scarcity, the issue of scarcity. I was watching something today just before I came here that, you know this show modern marvel, Marvel's it's always an one and they were like doing this thing about, you know, city sewers and, and bridges and all the stuff that's falling apart. And it scared the life out of me because I spend my life traveling. We've guys in cars and buses and on bridges and shit like that.

Speaker 6:          01:00:05       So, but they were showing how this in St Louis, they're doing this thing with this, they're putting these tubes down into the sewers and they're blowing them up and they go all the way down the sewer and then they heat them up and there's an epoxy on the outside of them and they make plastic pipes inside the old decrepit and it's, and it's like, I see it and it's so simple and so genius and it's like, man, what, who didn't think of why it took them till 2013 to figure out how to figure out how to do that. You know what I mean? It's just weird to me. Like I think that about stupid shit too. Like I saw a thing on the commercial where the, there's a plug now that we're, the thing actually goes to the sides so you could put shit flat out.

Speaker 6:          01:00:41       I was like, it took until 2013 to come up with that. Yeah. Well if it was up to me, we would never invented scissors. I wouldn't have it figured out. Scissors. I'd be like, she's fucking could it. That's the problem. I'm so stupid. I can't imagine a laptop like I know I have one. I know how to press buttons on it. Imagine what the fuck is going on behind the scenes, but that is the wizard of Oz right there. You laptop was the wizard of Oz. Who knows what the fuck is happening behind that curtain? You're just on Facebook. Oh mg lol.

Speaker 6:          01:01:14       Oh, you can use the camera, Huh? No, I don't care who y'all shut it off. I want to take, show me beating off you. Go ahead and get it. You fucks. No, no. My body image isn't that great right now, so I keep it. Well, nobody looks good when they're coming on themselves. That's just a fact. He just don't have it looks like that's what you should've done. It always looks like you could have done some other shit. You put up with shit to do that. It's like if you're a grown man and you have a family and you have a life to live, you have businesses to run and shit. Like how much time do you have for beaten off? So every time you do it, you feel like, what the fuck the shame was, the fuck is wrong with me. And then there's the like the, the knowledge that you're going to do it again. You know, you know you're going to do it again. Like an alcoholic who can't put that drink down. If you're gonna do it again, you'd get to do it again. I have no shame. I want it to last longer. I just, I love it. Yeah. Everybody wants to hear that right now. People are throwing up in their car thinking about you beating off all of your pasty, hairy stomach.

Speaker 5:          01:02:20       How dare you? How dare you like Dandruff? Well, it's good that they didn't fire this dude for beating off in the forest or whatever the fuck happened. It doesn't seem like a bad guy. Just see, it's called CNN gentlemen. We don't have to shame. I'm just shot Maddie. I'm just shocked. Like you get caught with a rope around your Dick and math and you have a TV job. Well he could have been, he might be gay and if he's gay they might be less likely to fight a big hard. He played the car, he played the game. I'm good for him. He got, he did, you know, well he's like, this is the gay community. We don't have children and walk out and watch out for us. So we like to do math and stick stuff up our ass. I paid taxes. Chose the problem.

Speaker 5:          01:03:04       Yeah. Yeah. There was a curfew. That was my only my only, well I think that there are different rules. There's different rules for gay dudes because they're, they're all, they're only, they only have to deal with dudes. You know, men like clearly understand the intentions of other men. Whereas men like barely understand how a woman works. We understand how they work through experience, but like as far as the actual mechanism of thinking, the way they think, if you are thinking your in your life and living your life and you're a man, it's probably virtually impossible to really understand what it's like to be a woman. So both of us are just like trying to coexist and figure out what's okay and not okay. What gets you smacked? What you know, like that's what we're doing as men, but gay, gay guys don't have to do that.

Speaker 5:          01:03:46       Gay guys just final hold and shove it in. Just get together to do some math together and just go fucking crazy. There's no, I mean they're, the cat has food, you know, they haven't had the food and a little ball of water. The cat's going to be fine. You don't have to feed that fucking thing. And they just bought fucked for days until they run out of carbs. Then they have to leave the house to go get groceries. But that's, that's all right for them. You know, math, I don't think you need the groceries, you know? Well, this guy apparently didn't have groceries with them. He did have meth. So you've got to play.

Speaker 5:          01:04:19       He's just a gay dude. Look in the party and that's how they party. They party different. They don't make people. It's a different experience. You don't have as much responsibility when you get home and you know he's not at work. Let them do a little math. It's like an adrenaline rush. A man wants his deck, Salk. What's the problem if someone wants to do it and he wants them to do it? What is the real issue? Are we crazy? Are We puritans here? We're going back to the old days. What's the guy do at work? When does it work? Does it keep it together? Oh fucking whatever. Then he's a pro. Let the guy keep it together or it gets even more impressive that way. Now say he's your nanny. Well that would be an issue, but he's gay though. Guys Party and he's bought it to Joe.

Speaker 5:          01:05:02       The problem is it's a baby's involved, so it's another human being. It's a completely different than if he was an accountant. I'm just totally playing devil's advocate. You are good to good devil's advocate, but there's a responsibility of a parent to take care of a child, so it's irresponsible. My answer is easy, like get the fuck out of my house man. Don't ever fucking come back. Don't ever come back. Sorry. I have a friend who was a gay nanny. He calls him a Manny and the guy's like flamboyant, like nipple rings and he's a black guy and he's really flamboyant but he doesn't care. I mean my friends very open minded and the guy's not creeping anyway. He's just a gay guy and he's really good at working with kids. Like he's very responsible with children. He sees educationally does art projects with them and they're like, he does shit with his kid.

Speaker 5:          01:05:40       Like if, if he's got to watch this kid for a day, like for five or six hours, there's a lot of things will happen. Like he's like, he treats it as a professional educator almost. So it's a very unique situation. So I've seen guys Flamboyan as fuck. He doesn't talk about it like they don't have conversations about it. He goes, he's like, I don't want to know. I don't want to know. But the guys out fucking all the time out there, just slinging dicks in the club and then taking care of little kids all day for him. It seems to work. I mean, I haven't experienced this gentleman in person. I don't know what his personality is like whether or not I would trust him with my kids. God bless them, but my friend has no problem with it. He, he enjoys the, the exchange, but he lives in San Francisco.

Speaker 5:          01:06:20       This kid's going to be open minded. Yeah. My, my buddy, my buddy lives in San Francisco, which is a completely different environment, period. You know, so many gay people are up there. They're undeniable. You can't be a hater of gays. Have to fucking people are going to run into her gay shit. Hollywood though. We're in the entertainment business, man. It's pretty good. It's pretty good. It's pretty good. If you got a hatred for games, you're not going to get far. Yeah. It's not a good spot. But you know what? I've been accused of having a hatred for gangs because I make fun of them, but everybody gets it. You're all gonna get it. Anybody who is funny, you do something funny, you get it. One, two, you're going to get it. It's just a joke. I'm going to get it for myself too. I'll get it all over me.

Speaker 5:          01:06:57       You know it's fucking humor. Like make fun of yourself. You got to, you know that's silly. You did get, can't be homophobic because you have a gay joke or a joke about how you reacted to watching Brokeback mountain. You know that's, I react. That's how I reacted. Like I was cringing. I was tightened up, like I barely could stay at my seat when those guys were fucking in that tent. I bear. I was, as I was thinking, oh Jesus, like bite on his hand. Oh my God. Janked his pants down. Spit on his hand. It was that real. See, I never seen it. It was intense. But I have a similar experience because Sean Penn's a pretty good buddy of mine and I've seen milk, so that was tough. I didn't see milk. I heard it was great, but it's one of those movies it's slipped me by and I just a great film. But it was like tough to watch him like make out with me. I was like, oh, I get it. I get it. I get it. Can you guys just fade to black, look into each other's eyes, hear birds chirping. Masi yeah, your alarm clock goes off and oh wow. Look at the time. Crazy. Hey, it's always used to trip me out cause like I used to like that show it was six feet under, right? Yeah. Yeah. And it was incredibly lot of gay characters in there. A lot of good action.

Speaker 6:          01:08:16       But it would always bother me because I could, it felt like a hot chicken and dude on the show we're going to go at it. It'd be just a little thing, but if the two dudes went at it, it would be a much more long

Speaker 9:          01:08:25       like hang around on it of, and you know, that's all

Speaker 6:          01:08:29       part. But it's so true. So true. That's so true. It would be what the check they little making out a little bit. Hair pulling any like, then it would pan away to the window in it. With the gay guys, it's like you got like two and a half minutes and like that grunting making out and then you know, fade too. Like,

Speaker 9:          01:08:47       and the last thing in the studio has to show that they're progressive buy by showing you a lot of, like [inaudible] was trying to show they're progressive,

Speaker 6:          01:08:57       we're progressive, we're going to show you some gay sacks, hey, whatever. And whoever was in charge of that show was more than likely there's a couple of them that are gay and they'd be like, we're fucking with everybody. Right?

Speaker 9:          01:09:07       Well they're making the movement that they want to see and making the movie that they want to see and the, and that's their expression. That's what art is all about. Right. You know? But it's just saying, let's do that, let's treat it like we treat politics equal time, you know what I mean? Equal time. That's all I'm saying. But then try to balance it out like, like affirmative action, you know? It's like they feel like gates have been held down from me all in one show. You can't do it. You can't affirmative back over. Actually all I want to try to balance it back out again. Let things get a little gay for awhile, for a minute. Maybe that's what's going on with overpopulation, which didn't meet in it more

Speaker 6:          01:09:43       gay people. Just let them slam each other. Let's get a cat man. You don't need a kid. Jesus. Nice. How many people are on the four oh five so love each other. That's respect to people that are here to the four oh five is moving well no more. No more babies. Did you come to a, to Los Angeles? Um, originally I was, I was too young to even remember. My father was a construction worker. Came from the east coast during the whole like Palm Dale or Simi Valley first and then Palm Dale like explosion. Oh Wow. So I came and then when I went back because things kind of went poorly for him a little while and then a year or so later we came back cause he, he stayed and like he was building, like I said, Simi Valley. And so I've been here since, you know, seventies seventies wow. So did, do you remember driving on the roads back then at all?

Speaker 6:          01:10:33       Is it hard to remember? No, not really. Not really hard to remember. What was the traffic like? Not Nothing compared to what it changed in, in like late eighties you have go to Jerry's Deli and see those old pictures that they have on the wall of like what it was like here in the 1920s and shit. And you're like, whoa. That's why I love movies like Chinatown. Like when you get to see like, you know, they're like houses in Chinatown in the valley was just orange groves and fucking weird man. It was crazy. It shouldn't Italian Italy first, but it's, it's, that's not that long ago on there. Like what the fuck is happening? And it's expandable. You know why they took away all the orange groves, right? Cause they just stopped growing. Well, why? Because know fucking

Speaker 4:          01:11:14       no rain, no water. Oh No, we're not gonna talk about that because it will be a whole new did open up a whole can of worms. I forgot. I forgot. I forgot. But what do you owe me? And you will argue about it. Engineering has to do with radiation. Oh No, no, no, no. It's don't worry. You're talking about like we've had that argument already there. We've had that argument. It's not an argument man. Look, I'm no scientist and neither of you, it's just what I've read from scientists date. It's a, it's a discussion about some shit that neither one of us are attached to. No.

Speaker 4:          01:11:46       But the, the um, the area like, like Calabasas area and shit was like ranches. Yeah. It's like a horse ranch isn't shit. It's weird because when you go there now, like the four or five all the way up to the one on one and the one on one all the way through and see no and shit that thick. It's thick with people fic with people every day at the amount of people that live in the valley now. It's just like slowly expressing itself until what does it stop? I mean, if it moves this foreign 50 fucking years, what does it do in 500 years? I mean, is there any land left in 500 years? Does anybody measured like how far like cities are spreading and what the fuck happens? And then it would just be like one of those, what they call them, mega cities like San Francisco to San Diego will just basically be, that's going to suck.

Speaker 4:          01:12:31       It's gone. There's no way to grow tomatoes when there's just nothing but people going to call our herd. That's how unfortunate way of looking at reality. But it's true. It's like if it, if, I mean, I don't know what the, there's, there's studies that say that the more time passes, the more education people receive, the more the economy balances out, the less people, uh, people, less children. People will have an Ashley, they run into a problem of the population slipping. Like, I have heard that as well from people way fucking smarter than me on the subject. I loved that I couldn't be a movie that Mike Judge movie idiocracy cause it's like the smart people are deciding to have less babies and have them at the right time and it's like stupid people. They just haven't fucking baby after baby after baby actually saying that.

Speaker 4:          01:13:20       That's like a trend in society. Like that's what happens when cities start developing and people start getting educated and they start getting careers. They have started having kids later and later and then know literally you're running into a situation where you could have like two few people like that could happen in industrialized nations. But then you've got places like China, which is crazy fucked up because you have like 70% boys something not, he liked that because everybody can only have one kid. So everybody wants to have a boy. So like under their boarding females, I've heard all kinds of crazy shit they're doing if you have females. But the fact that these poor boys are growing up in this, no chicks like nobody thought that through. But you're going to have more than one kid, but it's like extreme luxury taxes on it. And what was that what it is?

Speaker 4:          01:14:03       Yeah, I'm pretty sure like you have to pay you, you pay enough money. You could have more than one kid, but people don't have that kind of bread. So they wound up only having one kid, but that's even creepier like you have to pay to have another child and what happens if you don't, do you owe them? Like what if you just have the kid? Oh yeah, no, I saw a whole thing kind of on this. I don't know if it was vice or one of those kind of like documentary ish type things and it was like, no, there's a whole black market for babies and stuff in China. It's like crazy.

Speaker 4:          01:14:30       Did you hear about that lady that had a baby inside of her body for like 20 years and she didn't know it and it was calcified apparently. Yeah, yeah, yeah. I just pulled it up. Brian, go to my Twitter. It's on my Twitter. I just a, I just tweeted this, this is the crazy. Have you treated that? Cause I think I would've paid attention. There's some you do. I'm like, I don't care about that. And then there's ones that I'm like, Ooh, that's very intriguing. They read that. If you go to the second one down on my Twitter woman pregnant for 46 years gives birth to a mummy. She gave birth to a calcified David, one of the signs of the apocalypse or something. Right. It's pretty crazy, dude. That's that. That's a baby that turned into like our calcium rock.

Speaker 4:          01:15:08       She, uh, was 26 years old and she's taken to the hospital and she was supposed to get us this area in section 80. There's 26 no, no, she for 46 years. It was in her body. So she was like 60. No, I was trying to do all that man. Like you said, 46 years, which she's 26 years old. She looks 90. He is a 72 at the age of 26 prior to the hospital. She's the one on the right. By the way, she was pregnant for 20, at 26. So that was a, that was, that's ridiculous. 46 years ago. So she's 72. Oh Dude. And she went into Labor for 48 hours with no sign of the baby. So she needed to have a c section, but she wouldn't do it. So she left the hospital. She wouldn't, they wanted to keep the baby alive.

Speaker 4:          01:15:56       The only way to do it was a c section. She said No. So the baby died inside of her and she stayed alive and the baby never came out of her box. So it stayed inside of her body and calcified. And then she's in like serious fucking pain and she, uh, goes to the hospital and they found out that she had been living with this calcified baby inside of her body for 46 years. Can you imagine going down on that? The smell must be like a tombstone covered dead babies and fit. How do you not know that's in your fucking guts? Yeah, that's, I mean, it's a fetus. So she was supposed to be, have a baby and to think about how big a baby is born in the picture thing is huge. It's huge. Yeah, it's huge. It's a band. Well it's, it's really sad. It's really sad because the thing tried to live outside of her body. They tried to, it was passing through. It couldn't get all the way through so it tried it, tried to stay alive inside of her body and then her body just shut it down and then just start digesting it or changing it into a calcifying yet I guess when your body, uh, finds something foreign inside of it, sometimes it'll put like little like

Speaker 6:          01:17:10       coded in materials that it creates I guess like naturally the naturally occurring thing. So it's think turned into somehow or another we can in a cocoon and it's like this, the antichrist out of it and on scientists listening to me describe that probably fucking cringing right now. And I apologize for being retarded. Like snake poop. It looks gross. Red Becomes from Brian, shut the phone. You just ruined the big rib for me. Do you need to make ribs?

Speaker 9:          01:17:38       Do you know why? They were only limited edition? Because once in a while they actual costs of rib goes down and up like the stock market and so they just buy a shitload at that time. What does that even rib that wouldn't, that is, it doesn't look like it has any bones or anything.

Speaker 6:          01:17:53       Meat. Yeah, it's part of that. It's not good for you. It's just, you know, you can't have this many people and have like real old time barbecue places would be the only place where can get some food. It's just too many people, you know? If you want it, you got to have some, the way we have it set up, you're going to have to have some quick food and I'm going to be able to pull in, get a stupid cheeseburger and drive off because I'm busy. Or maybe that's just how they're calling the herd lot by Mcdonald's. Big scandal when tinfoil hat that camouflage genics today

Speaker 9:          01:18:27       and went there the other day and they only have two now they got rid of small. I'm like, can I get small? You know, small meal and then they're like, we only have medium and large. Did Not small prejudice. You all sizes out and it's just like, well, we only have like the big stupid extra large one now cause it's a dollar. They're all dollar anyway, so here.

Speaker 6:          01:18:46       Yeah, Ben men won't like small. They don't want to buy a small boy fucking small. I'll buy a small, a small, I want a small one. I mean it. Whoa. Geez. By happy man, the smarter one's buying decks. How dairy, cheeseburgers Dax in Seattle. No one wants to buy a small cheeseburger. Hendricks in Seattle. No. What is it? You Ain't had to take some Seattle ever had, don't need to eat a bag of dicks from Seattle. A good place where there's always a line in front of it. It's some sort of [inaudible] six I went there twice pass by. I never went there. I think it passed by big line both times. It's good. You know Dick, it's Dick's. No Dick for Joe. I would do it. I'm not scared. I'm not scared of head. You got to do it just so you can say you ate Dixon Seattle, dude.

Speaker 6:          01:19:29       I would say I ate at Dick so I wouldn't confuse the fuck out of people taking it to Thursday. Nothing wrong with being gay, but you don't have to be gay when there's no gayness. I mean it's called [inaudible]. It's there. Okay. That's what you don't want to push the gay. It doesn't bother me dude. Or you do. I'm like eight in my mind. I made up my mind to, I'm barely ate. I'm seven. I'm flying. I mate, I've got a month from like, that's why you got that little homophobia about me saying you ate Dixon Seattle, if you know what I mean. If you had the dish, don't want to confuse people. It's all a domino rare. It's got my favorite line. You think people would really get confused? Joe got Joe kits for eating. Dom Irrera has the best line about that. He goes, I wish I was gay just so I could come out of closet.

