Speaker 1:          00:00:01       That's very cool.
Speaker 2:          00:42:31       I think it's, I, I always liked science fiction. I like Arthur c Clarke a lot, you know, because I think it is. You're right. It's a form that you can let your imagination wander and address things. That restriction I think. Did you like the alien series? I loved it. Yeah. So I leave when I was, uh, when I was at school, he's 19, 79 and we had a school film club and in the seventies they weren't like they are now, you know, and so the first films they put on the three films, I was 11 and it was alien, apocalypse now in life of Brian. Wow. Which I. So that was my introduction to allow. Well those are three great choices, but I feel like really Scott's original alien is probably one of the greatest horror science fiction movies of all time. One of my all time favorite movies.

Speaker 2:          00:43:18       But I really liked the newer ones as well. Like I like promethium and I really liked covenant. The last one. Yeah, for ets. I don't know, I guess it's not the best one, what they're trying to do with it. The, the whole idea of what the engineers coming back in time and that's it. That's why I was disappointed with it because I thought the, the opening is brilliant and I thought this is just going to be brilliant. I thought it just lost its way and it was a disappointment because it could have been so brilliant. Yes, I agree with you. Yeah. The beginning was fantastic, but I think covenant was more more exciting and. Well, it's also preposterous. Like if you went to another planet, I. The last thing you'd be doing is just breathing in the air. Right? I mean we'd have to be really cool if there was a life on the planet, we'd have to be really careful than a. not to contaminate but be not to be contaminated. Right? Yeah. Yeah. I mean, yeah. There's also. I mean, you know, the other thing is science fiction films is gravity because you always give me an alien. You always just say the spaceships got gravity again is only 2001. Right where everybody floats around. Yeah. Because all has a spinning thing. The spaceship has gravity and then when you land the gravity's exactly like earth. Yeah. Perfect. But it's ridiculous.

Speaker 3:          00:44:32       Yeah. I've been with what are the odds that you would find a planet that is exempt? Like even if a planet was one and a half times the size of earth, it would have far more gravity. Right. And that's, that's really common for a planet to be like just a little bit bigger. And then we will be like, fuck everywhere it'd be walking. We'd be, we'd be getting crushed. Right. I agree with you. Yeah. Well I suppose that's not the point. It's about ideas, isn't it? Science class and you know, this whole idea where you just supposed to let it, let the, you know, let the story play out and. Well, I mean sunshine was um, you know, the, the premise is, is silly. I mean it's, the premise is the son is dying and we're going to go and fix it. Yeah. Both of those things.

Speaker 3:          00:45:16       It fails on its first line in incentive reasons, but the idea is that it's not about that. It's about, it's about the, it's about the sun as a god in some ways. So it's about our response to the power of nature and it's about day fighting this thing and worshiping it and how ultimately you go mad if you remember the film, the pin backer, who's the first captain that went to the captain, the first mission to go and restart the sun, which is the mad bit, but then became a religious fundamentalist essentially, and then decided it's a fascinating idea that he decides to to bring meaning to his life. He will become the last, last man, the last human, and so he wants to be the lest he wants the son to die and he wants to take humanity with it and he decided to make that happen.

Speaker 3:          00:46:08       So he stays there waiting for the second ship. And I like those ideas that, you know, what, what's your reaction to the power of nature this afternoon? One of the thing to do my shows, I'm not being a commercial person, I've just thought of it. One of the great things about cosmologies that it is terrifying in the, in the truest sense of the word mean. We talked a bit about the size and scale of the universe and black holes colliding and those things, you know, it is very frightening, but also the I think the act of trying to understand our place in nature and the size and scale of the universe and now our tiny presence within it is valuable. It's a, it's a so that you can be terrified but also inspired and interested and it's part of if you want to find, if you want to ask questions about what it means to be human and means to be alive, then I think you find the answers in confronting that reality, which is that we live in a terrifyingly vast universe.

Speaker 3:          00:47:11       Pat, the powers in the universe that we cannot comprehend as you said, but that, that that's what you've got to face because that's reality, so you can't hide your head in the sand and just duck it and it sends them. It can send some people crazy. I'm sure it is really interesting that we need that suspension of disbelief in order to sort of make a film on space. You almost have to like go, well this isn't really how it would be, but this is how you have to make it in order to fit it into a two hour movie. Yeah. And then the film as we sunshine becomes about your. Then you can have the film about something else. Yes. [inaudible]. It's not really that well. Did you like a event horizon? Yeah, I did actually. I thought that's ridiculous. I'm saying I always wanted to ask about their, their concept of propulsion that you almost like space would be flat, you would fold space over and you would intersect those two points and you'd be able to travel vast distances instantaneously.

Speaker 3:          00:48:12       Right. And I'm doing a terrible job of explaining it, I'm sure. But is that a concept that people have actually considered? Yeah, you can in general relativity. So. So Einstein, I should say. Well it is Einstein's theory of general relativity is our best theory of space and time and so it really is, as we've talked about before, it's you imagine space and time as a sheet. Just imagine it as a thing, literally a sheet surface and all the theory says is that if you put matter and or energy into that, then it curves it and distort it and it can stretch it and make it shrink. And so it's the response of space and time to matter and energy. So if you, if you, the simplest version will be the sun. So you put the big spherical ball of stuff in there and it warp space and time searched at the nice straight lines, something just traveling minute.

Speaker 3:          00:49:05       So in business through that warp space turns into an orbit and that's why you can actually kind of see things that are behind the sun. Yeah, so light bends around the sun because it's just traveling through the curved space. The earth goes around the sun because it's just rolling, minding its own business through the curve space. So an example would be, you might say, well how does curb space, how can connect, give rise to something? It looks like a force, which is gravity. So the best analogy I know of is to think of walking around on the surface of the earth to be stand on the equator of the earth and you with your friend and you say, we're going to do north. So we're going to set off, let's say we're a thousand miles apart on the equator and we're gonna walk due north and what's going to happen?

Speaker 3:          00:49:49       So you walk in straight lines, you don't change direction, you don't do any accelerating, but the straight lines and lines of longitude on the surface of the earth. So as you go further and further north, you get closer and closer together and he carried onto the pole. You bump into each other, but nothing's happened and no one's no one. There's no forces acting. It's just that you're moving on a curved surface and so you get closer. And that's basically Einstein's theory of general relativity. Now, why did I start talking about event horizon? The idea of a full. Oh yeah. So, so you can. So all you have to do, so those folded kinds of geometries is you have to try and specify hat where you would put the matter and what kind of stuff you'd put there to make the geometry fold in that way.

Speaker 3:          00:50:35       And you can do, you can do it so you can. You can write down that geometry is called a warp drive. Geometry I think is called that is in textbooks. So you can do that too. To have a warp drive. The question becomes what sorts of stuff would you have to actually put into the real universe to make it warp in that way. And it always usually turns out that it's the kind of stuff that doesn't exist, but it has properties. Is Matt sort of matter or sort of energy that has properties that do not exist in nature as far as we can tell, but you can still write the geometry down in Einstein's theory. So if you had the sadness, guilt force or mass or whatever it is, if you had that stuff that doesn't exist, it is a concept that. Yeah. So the geometry exists is so you can.

Speaker 3:          00:51:22       You can, you can do it and you can do the calculations and you can see the walk drive, you can construct wormholes that connect distant regions of the universe, which you could use as time machines and you can do all that in the theory, but in nature you'd have to have the right stuff to do it, but that stuff is not real. That seems to be as far as we know now what would have to happen, like you would have to have enough power or mass to be able to fold those two things together. It tends to be weird stuff like, um, stuff that has a negative pressure or something like that. So stuff that has physical properties that are just bizarre and that no matter or energy that we know of in the universe has so that to make, to make the geometry happen.

Speaker 3:          00:52:09       But it's conceivable in theory that this could exist even though it doesn't. It's a, it's a, it's a dba ultimately. Um, so wormholes that a good example. So that would be quite literally it. We talked about the surface of the earth. So you fly to Australia from La and you have to go quite a long way around the edge of the earth or you could turn or straight through and get there quicker. So you get that. That's a word. Jamie's got a little graphic up there and there it is. So you could go all the way around the edge or you could take the shortcut. So the question is, so you can do that in theory, you can write down that geometry and there it is. So the first question is can you make it? And as we've said, we don't think that stuff exists. There's a second set of theoretical bits of theoretical work, which if you had a worm hole then what would happen if you tried to travel through it and what seems to happen is that is that they become unstable the moment anything tries to go through.

Speaker 3:          00:53:10       So you get kind of a feedback of stuff going through and through and through and through and so it collapses and that there's a great. There's a great book by Kip Thorne actually we just mentioned him. He got the Nobel Prize last year for the gravitational waves and he wrote a brilliant book, things in the eighties called black holes and time warps way talks about the. The answer is we don't fully know, but most physicists thing that even if they existed, they will be unstable and as soon as you even tried to transmit information through them, send a bit of light through, then there will be sought feedback and they'd collapse. And ultimately the reason we don't really know absolutely is because you need what's called a quantum theory of gravity and we don't have one, so we don't have the theoretical tools to be absolutely sure that these things would be unstable or don't exist in nature, but we strongly suspect that they don't.

Speaker 3:          00:54:02       If they did, you could build a time machine. So there Stephen Hawking wrote a paper called the chronology protection conjecture, um, and conjectures the important word. So he, at the conjecture basically was that the laws of nature will be such that you can't have stable wormholes and you can't build time machines. And if you send something through it, it would destabilize it. And if it didn't destabilize it, how would your physical body deal with the stress of that? Well, it doesn't have to be that you can. You can build them. That's called the tidal gravitational force. So it's the difference in gravitational pull across your body because you. One of the things that gets you to fall into a black hole, so before you actually get to the singularity you can get is called Spaghetti fight. So you get there and it's just like the moon's, you know the tidal effects on the earth, which is quite small, but they still raised hides on the oceans.

Speaker 3:          00:54:57       So that can be. If you think about something like a black hole, that can be any massive difference in gravitational pull from your head to your feet. And so it can stretch you out. And so what you can with wormholes you, you can, you can write the geometry down the United States theory such that you could go through so you don't have to be destroyed or anything weird happened to you. Would you have to have some something protecting you? Some force, some, some sort of a. You just literally eat, fall through. I mean it's so, so you know, if they were, they were, they exist. You just, you just go through, you sit in a little spaceship but you, you, you wouldn't. There's nothing inherently in them that says that you will be ripped apart or anything like that. But what are your thoughts on, on alien life, on life outside of this planet as something you think about?

Speaker 3:          00:55:52       Yeah, I think there must be. I'm even in the solar system, I would not be surprised if we find microbes on Mars are sort of the moons of Jupiter or Saturn where there's liquid water like Europa. Yeah, and the reason is that if you think about. The reason I think that guests is because if you look at the history of life on earth, then so earth formed and it was just a. There was no life. It was a ball of rock an almost. As soon as it cooled down, we see evidence of life. So certainly three point 8 billion years ago, possibly even further back than that. We see evidence of life on earth. So somewhere along the line, geochemistry, active geochemistry became biochemistry on earth and we have some idea, you know, that the, if you get a gradient of temperature and acid and alkaline and the conditions that are naturally present on the surface of oceans, then complex carbon chemistry spontaneously happens.

Speaker 3:          00:56:56       So we have a. We know that life almost certainly we know that life began on earth. I mean the other opportunity came from space or something like that, but probably didn't really properly began on earth. And so that means that at least here that happened and we know that the conditions that lead to the origin of life on earth were present a miles three point eight, 4 billion years ago. And we know that they're present on Europa today. So I don't see that there's anything special. Life is just chemistry and it and the, the idea that geochemistry becomes biochemistry's not fanciful because it happened here. So I think that given the same conditions, it will be surprising to me at the same thing didn't happen in that life begins. So I, I, that's one of the two tests. That is one of the great frontiers of science now, which one of the great challenges, which is why another reason we're interested in Mars, because we know those conditions where there, we know there were what's called hydrothermal vent systems on the floors, have oceans on Mars, three point eight or 4 billion years ago. So it will be good to know what I've said is right and the way we find out is to find life or evidence of past life.

Speaker 4:          00:58:12       Are you aware of, uh, the speculation that was going around with how recent was it that occupy thing, the, uh, uh, the octopus eggs, they, there was a group of scientists that were speculating that it's Panspermia the idea of Panspermia, that it's possible that Octopi had come from somewhere else and frozen eggs had actually come from somewhere else and landed on earth. And these are like legitimate scientists are contemplating not morons. I don't think I've seen this, the, no, I didn't, but I mean it. So panspermia doesn't have to be unlikely. I mean, for example, you might have seen the other day we found an earth rock on the mood. Yes, right. Well they'll back on this now because he apollo astronauts brought it back in the 4 billion years old or something. One of the oldest rocks ever found. Yeah. So. So we know that material

Speaker 3:          00:59:00       transfer between planets and so it's not inconceivable that microbes could survive that journey. Right. We know that microbes can survive in space, for example, so that isn't mad. It's probably unlikely, but he's not mad. But with the octopus I hadn't heard that, but the thing is that the octopus is still extremely biologically

Speaker 2:          00:59:22       to us. I mean the difference is negligible, so it's still got the same energy system with a single ATP and DNA and all that stuff. It's all very, very similar. It was something about rna and DNA. Did you find that out?

Speaker 5:          00:59:34       I'm enough. I'm looking at a different one from a different website. It's about the same thing. It has to do with the Cambrian explosion and there were 33 authors on a paper that got published and the progress and in biophysics and molecular biology that talked about this possibility. There are other people that disagree with it though.

Speaker 2:          00:59:50       Right. I suppose the, I haven't seen it, so I think it's unlikely because the octopus is extremely similar to us, so that suggests a common origin. To me that's a pose. The cancer argument you could, you could advance would be there's only one way to do life, so you could say the actually given because the laws of physics and chemistry the same everywhere, so maybe it's maybe DNA, which is the only way to do it. So that's the way it gets done. Which is why they're so similar to us is so alien as well. Yeah, they're not though, you know, that's the thing. If not. So that's why I'm surprised about because they're not that alien. They're very similar. While they're in their abilities, their ability to transform their texture and their color instant almost instantaneously. They have incredible camouflage abilities that really don't exist in the mammalian world.

Speaker 2:          01:00:44       Yeah. But on a cellular level, you look at Knox for sell in among under a microscope and you wouldn't be able to sell the treating not for selling humans. So the only way that that would make sense as if all life comes from basically the same kind of building blocks and just varies depending upon the conditions and where it takes place. I'm, I'm guessing, but yes, that, that that must be the. The only way you could sustain that, given that they're so similar to us because they really are biochemically, is that that's the only way it can be done given the given the building block, the toolkit, the laws of nature and the elements and so on that we have in our universe, we have so many different life forms on our planet, but if we found anything that's remotely similar to what we have here on earth, on another planet, it would be such an incredible discovery.

Speaker 2:          01:01:29       Like we sat, we found a frog on the moon. I mean the world would stop. Right. I'd be very surprised if we found anything anywhere that is any, in any way similar. An insect on Mars. Well, this is. I mean, as I said, it'd be micro. I think every single celled things remember. I mean you mentioned the Cambrian explosion, so that is that. What we do know that earth is that although life began, let's say three point 8 billion years ago, it wasn't until around 600 million years ago or so, that maybe most 700 that you see any complex multicellular organisms at all. So if there's something like 3 billion years, it was single celled alone and that's one of the reasons why I would guess if I had to guess, I would say that microbes would be common because life began very quickly on earth and I wouldn't be surprised to find

Speaker 3:          01:02:20       finding on Mars, but complex life, multicellular life, insects, plants, intelligence, I would guess will be very rare because it took so long on earth to get there and you just slime bag. Three billion years of slime. That was it. On what happened? How did it go from slime? Two giraffes. It's very quickly once he wanted to go in and it's one of the great unsolved mysteries in biology that one thing that is true is that we seem to be all complex creatures seemed to be and we were called. You carry it, writers yourselves with the cell nucleus and all that kind of stuff and they look like they're the merger between two simpler life forms of bacteria and a thing called an archaic and okay, and so it looks like somewhere in 2 billion years ago, whatever it was, in some ocean, the bacteria cell got inside the arcane and survived as, as a symbiotic organism essentially, and then somehow unbelievably managed to reproduce and replicate in that configuration and that does seem to be the origin of all complex, multicellular life on earth.

Speaker 3:          01:03:39       So it's called a fateful encounter hypothesis. And if that's true then it's just a bit of luck and it happened once. Right? And that's why we're here now when blind look considerably like how many billion earth like planets did you say exists just in our sources to the alone in the galaxy? 20 billion, something like that. So one in 10 styles. So the odds of complex life out of our incredibly fortunate situation, but the odds of that occurring on any of these billions of other planets that exist, we don't know, but let's say the earth is. Let's say it was under the fortunate side, so, so we're, we're, we're talking about give or take 4 billion years, right? And the origin of life to now, and we have a civilization now and we've had it. Our species has been around what, a quarter of a million years or something.

Speaker 3:          01:04:28       So it's just now basically. So let's say 4 billion is on the fortunate side, let's say that it was double that or triple that on the average. Suddenly that's the age of the universe, right? That's a third of the age of the universe. So how many of those worlds had been stable for three or 4 billion years? That's quite a tall order actually. It looks like our solar system might be quite unusual in that respect that because they had the planet, it's got to remain stable in a stable orbit. The stars got to remain stable. System stabilizes at Jupiter. Plays a big role. Takes of treatments. Yeah, socks and soap and that you know that there's a thing. There's a theory called the grand tack theory, which is very hard to explain the evolution of our solar system so that when you do compete a models of solar systems, you don't tend to get for rocky planets too close to the sun and for big gas giants.

Speaker 3:          01:05:27       Further out, and one of the current best theories, and this I say this because it shows you how lucky we might be, is that Jeff said that they tend to form these big gas Jane's and migrate inwards towards the Star. So in almost all the computer simulations, just because you got this big gas giant obits and all the dust around this star. They tend to drop in woods and it looks like Jupiter did that. So it looks like it formed and came in and came in almost to where Mars orbitz today and cleared out the region around Mars actually. Which is maybe the reason Mars is so small compared to the other to Venus and earth. But then Saturn was coming in as well. And in the computer models. The interaction between Jupiter and Saturn Stop Jupiter coming in before it gets to the earth.

Speaker 3:          01:06:14       And they both get dragged out again and so to where they are today and so, and that, that seems to be, it's one of the best theories for the evolution of our solar system. So what are the chances that the chances of that are so many skill? My tiny. So that's the thing I think about these rocky planets in order to get a civilization on them. I think you need, I guess you need quite unusual solar systems that will be a guest and you need quite unusual stability on the planet for, for billions of years. And that's why I think we might be quite lucky. Hmm. And how does bodes law work? Bodes laws, a method of detecting if you look at the mass of a planet, you can accurately detect how much mass and the size of a neighboring planet. I think it wasn't just the, um, the physicians of the obits I think we're in.

Speaker 3:          01:07:11       Yeah. And uh, it's one thing that is true, but our solar system is that you, if you get the computer simulations, you can't put more planets in to try and fill, put more planets. And they become, it becomes unstable very quickly. So the, the mass of like, if you measure Mars, you can accurately depict where the next planet close to it would be. It, it was, I mean it was, that's what was done was at 17th century or something. I can't remember his along yet. It was just one of those things where, you know, it's a pattern and they were just trying to figure out what the answer is. Just a pattern which is, um, you know, not, there's nothing to that really other than to say that most simulations of the solar system, if there are, if you put other planet saying they tend to get thrown out by gravitational interactions.

Speaker 3:          01:08:00       So there is a sense in which our solar system has got as much stuff in it as it could have. So the planets and nicely spaced and you're right, given the massive them, that depends on how close to the planet can be before the interaction goes wrong. And it gets thrown out into the intergalactic space. Something. Because planets do that, you know, we, we know that planets get thrown out of solar systems by gravitational interactions. So it, yeah. So again, it points to the fact that solar systems are not a not stable over long periods of time. They're not like clockwork. Things not like Newtonian clockwork and it just goes on forever. They're not like that, that they evolve and planets can shift orbitz and change and what we know, maybe look at the surface of the moon, for example, it covered in craters and that was, cause they all seem to hit about the same time and it's about three point 8 billion years ago or so.

Speaker 3:          01:08:55       Uh, and that's called the late heavy bombardment. So we know that if you look at cratering and rates on Mars or the moon, it all seemed to happen in this, not all, but a big peak around that time. And that seems to be correlated with Neptune moving outwards in the solar system and into Kuyper belt, basically our towards the Kuyper belt and causing all sorts of havoc and everything comes into the inner solar system. So those things happen and it didn't happen when life was established on the earth, so it's all extremely old stuff that shifting to explore. But how long, how long is the source system, but in this particular stable situation that's in it since about three point 8 billion years ago. So if it'd been unstable at any point since then, then we likely wouldn't be here. Right. Do you think that it's possible?

Speaker 3:          01:09:47       Do you ever entertain the idea that it's possible that we are the only intelligent life in the known universe? I, I, I tend to restrict myself to the galaxy. So I do think it's possible that at the moment there's one civilization in the Milky Way and that says, and I think that's important actually. It goes back to I was saying at the start about the astronomy and cosmology being part of the framework within which you have to think if you're looking for meaning or you're looking for how we should behave even politically. You know, the that has a bearing to me. I mean, imagine that we're the only place where there is intelligence in this galaxy and how should we behave, right? Should we actually not withstanding the fact that we're tiny and fragile things an insignificant physically should we consider ourselves extremely valuable in that respect because there's nowhere else where you know that I would go as far as to say there will be nowhere else where meaning exists in the Milky Way in because meeting.

Speaker 3:          01:10:54       It's one of those things that scientists don't talk about very much. Although Richard Fineman, one of my great heroes did talk about it. There's a quote where he says, well, is the meaning of it all? It's a great essay called the value of science, and so what is self evidently true is that meaning exists here because it means something to us. So that's kind of an obvious statement. Your life means something to you in May and so meaning exists, but I think it is a local and temporary phenomenon. I think it's. It emerges, meaning emerges from configurations of atoms, which is what we are. We are simply that. We're nothing more than that. We're very, very rare configuration of atoms I think, and so that means that we are, if you go all the way down that line of logic, we are the only island meaning in the galaxy.

Speaker 3:          01:11:47       I will meaning only to ourselves. Yeah. It means something to us because we're the only ones who can grasp the concept and we are finite. We are finite organism, we have this temporary existence while we're here and to us there is meaning. Yeah. And that's, I don't know any other way to define it. So I'll define it like that. Yes. I don't think there's a globe. Yeah. Otherwise you have to believe there's some kind of global meaning God type finger. Uh, I don't think that's. I think it's more wonderful and more challenging to us because we have to take responsibility for it to say we should operate such that we are it in this galaxy. There's nothing else. I'm sure. I'm just, I'm sure there are other civilizations out there in the universe because there are 2 trillion galaxies. I, I just can't believe this hasn't happened in other places.

Speaker 3:          01:12:41       The question is how often does it happen? And how widely spaced are the civilizations and I think they're very widely spaced and I think there may be one or two per galaxy on the average. I could put that as you said, that what you said it beautifully, that. What else can we think? Well, what else do you want? I mean, I think what it says is you have to take responsibility for all of those things or spiritual things that you think about and the emotional things you think about it, you, you, you are, you are responsible for that. You are that, that whatever that is, it exists in you and it will only exist for a short amount of time. And so what you know make the best of it will be my view. It's so unbelievably compelling though to consider the idea that somewhere out there there's another civilization that maybe even more advanced than us and this, this thought of it is just so attractive.

Speaker 3:          01:13:39       It's, it's incredible. That shit should be. If, if civilizations are common or even slightly common, then there should be civilizations ahead of us. Yes, because there's been so much time, but when you want to see what that's like, I mean, we've been so compelling. You imagined the timescales. We've been around a civilization, let's say 40,000 years. I don't know how long I civilization's been around. Let's say that the, the, the galaxy is pretty much as old as the universe. Thirteen billion years worth of time. So the idea that there are no, no civilization zeroes, you know, 100 million years ago, 200 million years ago, 1 billion years ago. And imagine what they'd be like if they'd survived. I mean, we've been, we've been around, we've had science for let's say since Newton or copernicus, 500 years at most we've had. And look what we've done. We've gone beyond the solar system with voyager.

Speaker 3:          01:14:37       We've walked on the moon and we were about to go to Mars, I would think. So we're about to begin colonizing our own solar system. And so we've done that in 500 years. So imagine a million years in the future. So I would. It's one of the arguments often used to say, there aren't any civilizations out there in the galaxy. It's called the Fermi paradox because if you imagine a civilization that's a million years ahead of us, they should have written their presence across the sky by now. They should use to see him. I mean, you'll see us if we survive in million years into the future. Actually even a few thousand years into the future, we will be exploring the galaxy. We will have spacecraft that are going to wear the stars. We will be doing it, so our signature will become visible. I'm sure if we last into the medium term,

Speaker 4:          01:15:28       we choose to not do that. Here's my thought on that is uncontacted tribes like do you know about the. The gentleman who was the missionary who visited North Sentinel Island and was killed by the natives, north central island, which is a really unusual place because they branched off from Africa 60,000 years ago and they've been living on this one small island the size of Manhattan and as well as we know there's only about 39 of them left somewhere around there and um, we can't, we're not supposed to contact them like people are not supposed we're supposed to like leave them alone and there are rare tribe when they find them in the Amazon, the uncontacted tribes, our initial instincts back off and leave them alone, leave them alone. Do you think that perhaps the universe, like if there is a civilization that's a million times more advanced than us have been around here for, you know, that millions of years of life as opposed to quarter million, why would they, why would they let us know? They look at us dropping bombs on each other and polluting the ocean, sucking all the fish out and putting clouds into the skies of dirt and particles. And why would they literally look at these crude monkey? So are there data there is so far beyond where they need to be before they could join the galactic civilization or whatever it is. True. It's an argument that the reason. Okay. No argument

Speaker 3:          01:16:49       as well. The IT technology so advanced would be difficult for us to detect. I mean we tend to think of know when you say written across the sky, I suppose it's trigger. I'm thinking of star ships and things like star wars, right? Big Energy. Things that you can see the signature of, but actually maybe the. The civilization just becomes a nano civilization. Tiny

Speaker 2:          01:17:10       little. None of us because that's more efficient. It's a better way to do things. So it's possible. I suppose that there are space probes all over the place. They're so small and it's so efficient and you sell it low energy that we just don't see them as far as that is possible. My other thought is that where we are headed, it seems to me that there's some sort of a strange symbiosis that's taking place. There's a, there's a strange connection that we have to electronics and ultimately to an artificial creation, artificial intelligence, whatever you want to call it, artificial light life, something that's created by carbon based beings. Stem cell, you are beings that isn't cellular, but also acts like life, that this may be the future of life, that we are so connected to the idea of flesh and blood and bone, but maybe this is just a temporary situation until we transition or not transition to, it surpasses us and this is the next stage of life, but this stage has no need for all the human and biological reward systems that are in place that made sure that we survive.

Speaker 2:          01:18:19       Whether it's ego or fear or emotions, no need for that, that it will just exist and maintain its equilibrium as this new form of life and that this is the future of life in the universe and that will get there. Maybe it'll only be 100, 200 years from now, but that, that that's what exists all throughout the cosmos. So there's no need to peacock. There's no need to show our sand on the sky and that it just exists in this form. Yeah, I, I agree. I wouldn't be surprised. Yeah. So that's the, that's the counter argument to the Fermi paradox argument that I talked about what a, exactly as you've just said, that basically you evolved to a point very rapidly where you just don't create a signature and you don't really get involved as you said. Maybe it just maintains, but it has no.

Speaker 2:          01:19:13       Well, there's no motivation, right? Like, it doesn't. Our motivations are so weird, right? We have these biological motivations to survive and uh, you know, there's motivation is to conquer and to innovate and to spread our genes and to move into new territories. But if you didn't have biology, if you were, you existed completely from manmade materials or from materials found on earth and that this new form of life is created out of that. I wouldn't have those unless you program them. And why would you do that? It is interesting, isn't it, to two because we don't know what consciousness is. It's often called the hard problem in science. We don't know. So it's a good question whether you can build, let's say you want to build a self replicating machine, which is what you're talking about, something that can go and maybe go to the moon or Mars and replicates itself and then carry on, which is a living thing.

Speaker 2:          01:20:06       I, yes, does he have to have a sufficient level of intelligence that he actually is conscious and all these things that we talked about, this, this word meaning that we used earlier that we all understand that you can't define, is that a emergent property that, that has to emerge if you've got something that's intelligent enough to replicate itself and live and said to be the, I don't know the answer, but it is worth considering that this thing, this what we emotion meaning love and fear and all those things are just the things that happen when you are intelligent. I don't know the answer to that, but it could possibly be. And does consciousness have to have our, uh, local origin? Like it doesn't have to come from a thing. Like if you think about cellular communication, the, if you send me, if you're in England and you send me a video from your phone and it reaches my phone, it's getting to meet through space.

Speaker 2:          01:21:10       It's going through the sky. It's like literally from a device not connected by any wires or anything. It's coming to me if, if there's a possibility to create some sort of global intelligence through electronics that's nonlocal. If one piece of it falls off this same is it just repairs itself or figures itself out, but it's the same consciousness existing on a global scale through some sort of an electronic network that instead of the. The idea that you and I have that Brian and Joe are, you have your mind. I have my mind and we, we exist as intelligent being separate from each other, but instead of that, that all of it is connected and that all of it is something that we can't even conceive of because our brains are too crude. Like trying to explain to, you know, Australia Pithy, kiss what a satellite is.

Speaker 2:          01:22:06       Yeah, I mean I, yeah. So many of you think about our brains, they are ultimately, what are they? They're just a distributed network of cells connected by neurons and they're very complicated, but they are a colony of things that are autonomous in a sense and the communicating with each other. So yeah, I don't, I don't see why you can't scale that up in principle. I mean, I should just add the caveat is always that we don't know this. It's just not understood. Well, I think there's something weird physical, but I'm damn sure it's physical. I'm damn sure that there's nothing going on in my head other than what is allowed by the laws of nature as we understand them. So eliminating show, you mean the idea of a soul being some sort of a divine thing that's inside the housing of the body? Yeah, I mean, I, I, I would say we can rule that out actually. I've argued in the past. How do you rule it out? I valued, we can rule that out in the following manner. So, so here's my arm, right? So

Speaker 3:          01:23:05       it's made of electrons and protons and neutrons. And, uh, if uh, if I have a soul in the, something that we don't understand, but it's a different kind of energy or whatever it is we don't have in physics at the moment, it interacts with matter because I'm moving my hand around. So whatever it is, it something that interact very strongly with matter. But if you look at the history of particle physics in particular, which is the study of matter, we spend, we spent decades making high precision measurements of how massive behaves and interacts and we look for, for example, for a fifth force of nature. So we know for forces the gravity, the two nuclear forces called the weak and strong nuclear forces and electromagnetism. And that's what we know exist. And we look for another one with ultra high precision and we don't see any evidence of it.

Speaker 3:          01:23:56       So I would claim that we know how matter interacts at these energies. So room temperature. Now these, Angie, we know how matter interacts very precisely and so if you want to suggest the something else that interacts with matter strongly, then I would say that it's ruled out. I would go as far to say it's ruled out by experiment or at least he sees extremely subtle and you would have to jump through a lot of hoops to come up with a theory of some stuff that we wouldn't have seen when we've observed how matter interacts that is present in our bodies and presumably be believing the soul. You want it to exist outside. When you die, you still want the thing to be there and you might believe in ghosts and things like that. We like a ghost. I mean it's a. It is something that carries the imprint of you.

Speaker 3:          01:24:44       Presumably it looks like you. So that means that interact strongly with the matter. That is you because it carries a pattern. It carries a pattern and it carries information. It carries information. There has to be an energy source that allows the information to assist in the pattern to persistence, so on. So again, you end up with a theory that is postulating. Something interacts with light because if you think a ghost is the soul, then it's something that people see sometimes. So that means it interacts with light. But we know how light interacts and we ruled out anything but the most subtle, uh, further interaction that we haven't seen. So I would, I claim that I started off as a joke, but it's actually, I wrote it in an infinite monkey cage book, this radio show that I do, but he ended up, when I'd written it down, I thought actually that it makes sense. And I read some news similar. Actually, I think I'm Sean Carroll. Lee, I don't know if you've had shown up a couple times. He's said something the same. I think in the book that he wrote the big picture. I think he has a similar argument actually, so it's occurred to him as well, is roughly the same argument. So if you. So this energy that's interacting with matter, even if you're not moving at all, if you're just thinking it's interacting with the matter encompasses your

Speaker 4:          01:26:03       mind or your brain or your nerves and your neurons. It's something in there that's interacting with matter whether you like it or not. So even just a simple thought process or a dream is still something it's interacting with Matt. Yeah. Well obviously because you know you, it's your will, isn't it? When you move it's presumably, but even if you're not moving the idea, like the year you're saying you're like your body's interacting with batteries, you're moving your arm, but even if you're not moving, if you're just thinking and you're completely still, which is not totally possible because your heart's beating and your breathing and all that stuff, but if somehow or another you were able to isolate just the thought, the thoughts themselves are still interacting with matter because they're interacting with the brain itself. Yeah.

Speaker 3:          01:26:48       So there's something in there that's something to interact with the physical structure of your body. And and now I would say there isn't. So that's

Speaker 4:          01:26:59       the woo woo version is that the brain itself and the body of the physical, the spiritual self, you are merely an antenna that's tuning in to the great consciousness of the universe.

