Speaker 1:          00:00:00       Yeah.
Speaker 2:          00:39:23       The nuts and stuff. I've had friends that are stockbrokers try to explain to me derivatives and I'm like, I wasn't that legal. How is any of this legal, how was shorting legal? How is how our lobbyists legal? It's like, it's a fucking cookie system. And you're like, well someone should really come in and overhaul it, but they'll, in order to do that, he's homeless. Like they, they must know but it can't keep going on. Seems like he's that on purpose. Like it's an old car that they keep trying to patch up. That's what I think. You know, if you had like a 1950 fucking Chevrolet, those are boring to drive. They sucked those old fucking cars, man. If you got to get on the highway every day and trends go from uh, you know, like a w say Sherman oaks to downtown La. You had to make that drive every day and the heat in a model t you would fucking hate it.

Speaker 2:          00:40:18       You'd go crazy because it's an old piece of shit. No matter what you do, whether you add a new stereo to it, are you fucking put shiny rims on it. It's designed like shit. It's an old piece of shit. You don't want to have to drive an old piece of shit. If I give you a, a Nice Honda accord, you'd be like, ah, look at this. It's quiet and conditions doesn't fall when I turned the wheel doesn't fall on its side. Those old cars, we're pieces of shit and that's our system. Our system is old piece of shit and we haven't thrown it out yet. We haven't just like fucking grabbed it and yanked the gears out and melted it all down and made a new system. If someone comes up with something, which I'll never let them. Yeah, yeah. Well that's it. Well, it's, it's a, it's a thinly disguised king and, and, and disciple situation. It's a thinly disguised the, the, the people that are in the position of power. It's not just one, but it's a group that are unquestionably the kings of this country. But Pete, but he's changing isn't it? I think with the Internet where people get more knowledge, you know, it's fellow food a lot more well off, you know, on, oh what are

Speaker 6:          00:41:34       you doing dude? I think with the people that are in charge of it, it's, it's the only thing that's changing is if it's out in the open and then people are just accepting it now with full knowledge. Like when you see that people can have like, do you know anything about this? I'm fast and furious. Do you know what happened? You hear about the gums in Mexico? Yeah, well there's a thing called the executive privilege. You know, like this is the president could say he doesn't want to talk about it. So they can just say, second, it looks like I'm not testifying. Why? Why not? That's crazy. Why not testify together? What's the big deal? And then wine look, soul fucking shifty about it. Did you see that? Yeah. I mean looked. I mean, you can't say, yeah, I'm fucking, he fly in. They, if they didn't know that something was gonna happen, they absolutely did profit on the fact that it did happen.

Speaker 6:          00:42:35       Yeah. You know, oh, well you can't, you can't die. You can't do it. It's the most obvious connected John's paper trail ever. If you look at like Dick Cheney was the head of Halliburton. Halliburton is accompany that rebuilds countries, Africa and that company, the CEO is the vice president and all of a sudden that companies making billions of dollars, like, what are you talking about? That's, I wonder if maybe they knew about it and maybe even how. Tell me a little bit, I don't know. Then that way I'll maybe have a team what do this and they don't really tell them what they're doing in and what it's for and you'd get the decide, reflect without everyone knowing what the fuck's going on. I would like to tell you that that's not possible. That there's no one who'd be willing to do that. But the problem with saying that is that the only, the only real issue, only real issue with someone would have about our government doing that would be that it's sacrificing American lives and that they would kill American lives and let American people die.

Speaker 6:          00:43:33       No, they're here to protect us. So that's the one thing that some people would hold back. But what they will undeniably would all agree to is that we don't really have a problem with killing people and other countries. We don't really have a problem if we decide that they're, the enemy will kill you with robots that fly from the sky and shoot rockets indiscriminately into villages. Okay. That's how it will kill you. So the, a company that's willing to do that would just say a company, let's call it a company instead of a country. Cause it's not really the whole con, it's not us. It's, it's whoever the fuck is the one who gets to pull the buttons and pull the switches. But that's why I think they're willing to do that. I don't forget, can I, that's why I don't think he can continue. Like you said that he wove know people are just known about it. I'm doing nothing. I think eventually the, that just knowing about it, I think the next stage is, then we'll know that's why the almond milk it can to keep going. I think the problem is that it's very hard to stop and the, in fairness to the people that are in military, there's a lot

Speaker 2:          00:44:32       of them that joined the military with very good intentions and they get into that position and they're stuck in a battle and it's not them. That's the problem. It's the, the, the problem is why would they sent there in the first place? Go once you're in, once you're in for everyone who's a soldier, you know what it becomes, man. It becomes taking care of your friends. That's what it comes. It becomes taking care of your boys, taking care of, of your girls, taking care of the people you love. Those are the people you're with every day in a war zone. So it doesn't become about the, your ideology, whether or not you believe in this war, it becomes not just a battle. I mean, and there's no way around that.

Speaker 5:          00:45:13       I was talking to my, um, my friend who's in the army, um, I, you know, we were, we would talk, he's in the marines and I was saying to him, you know, we just having a general discussion about a fuck to is about this and that, um, you know, basically doing the government's work. Yeah. I mean, and he said to me, um, you know, each all basically I off, I always think I've got got back cause I make, so I make sure they're okay. I love on, I never fall of it like that.

Speaker 2:          00:45:45       He always has to go back and think about his friend says to always, yeah, because they've been told that bomb gear, you're fucking, bullets are whizzing by you. You're, you're carrying each other. Sometimes you know, you're, you're looking out for each other. You're in a war zone. That's what it becomes. And so the, the real issue is, well, how do you stop the whole thing? How do you stop the whole thing? Cause I don't know if you do because you do a lot of God damn damage. And then people that you did that damage to are always going to want to come back at you. Yeah, there's no doubt about it and there's no doubt that this damage has been done. So it's not an easy thing to step in and sort of settle the world down. But I do agree with you that the Internet is changing it to the point where that is the inevitable future.

Speaker 2:          00:46:26       I think the realization of what everyone's actions are actually accomplishing it and actually doing and what to what detriment. You know, our actions or two, it's going to get to a point where things level out much more so than they ever have in the past because governments could do anything behind your back. They could do, do all kinds of sneaky shit and you can never know about it ever until 50 60 years ago, you know? And then it's then people started leaking information. It's like the Kennedy Times. That's when people say, I mean before that. I mean God damn. How's the average person get information that there's corruption going on in society? How does the average person get that? You're not getting a lot of it, but you're getting so much of it now. It's like every day on Twitter and every damn Facebook and everyday people are emailing people links Twitter and shit to their friends and it just gets to a mad frenzy of ideas now too. I don't even think we're aware of how strange it is. I think we're just used to it because we're in it and this is our life now, but I think if we looked at life today, a few decades ago,

Speaker 8:          00:47:30       we would go, this is crazy. This is a fucking science fiction movie with you. Freaks came in, came in early on a, I was talking to Brian, I'm, and he showed me some little fucking video, like it's seven second line. He was like the finger finger. Look Dude, I'm an shows. Shows a little film. I'm upside the next thing of than Twitter or like a video message. What? Lost seven seconds. So it's a video message for the last seven times it was called vine and Brian's got into it and the apparently a lot of people like this silly shit. Now look it up. That's what I'm talking about. And did you,

Speaker 3:          00:48:10       did you splice all this together yourself? Does it automatically like it's literally like you just push a button every time you went to record and we don't push it. It's just pauses the recording and it just, it makes the animated Gif on plot. You just smash them all together yourself. Yeah, just does it automatically. Oh that's cool. And you're like, oh I'm going to start using that shit. It's fun man. It's really addicting. Everybody lasts but the cause crazy. Everywhere you look people are vining and so it just, a bunch of people like walking around like this in the air. It's cause it vine.com no, it's an APP on your iPhone. Oh it's an athlete. Yeah. And it should be coming out on [inaudible] soon. Twitter just bought it cause it link up with Twitter. Yeah. Oh power. And you can also also send it to Facebook and everything, but it's really fun. What can I keep my Twitter name? Do I have to register a new name? I think it's a, yeah, you can keep your Twitter name, but it's also really weird because I think you can just have a million names. Oh, that's great. Yeah,

Speaker 8:          00:49:04       a lot of assholes. It's really hard to find people as soon as you allow people to be anonymous. In the latter. We have a bunch of different names. I'm going to have conversations with themselves. We had a guy on our message board wants that. They busted doing that. He had more than one account and he was like talking to the cool, like on message boards it would go and like make some a post about his, his music and then come back and say, hey, thanks man. I really appreciate that. Uh, so about the art came aim.

Speaker 8:          00:49:33       It's classic. It's hilarious. What did you do today? Oh, you know, talk to myself. But it's kind of funny because it's, is that any different than some bullshit commercial their company puts out? You know where you, you know, you drive down the street and like, I'm so glad that we're here driving on these Goodyear tires because they make me feel secure, tore shit to projected out you, you're not going out and doing it. I guess it's like, it's more deceitful. It's more boards will cringe fucking word. Oh fuck. Oh fuck you. I have this whole, don't y'all get the fuck am I doing? If you're just pissed off that one time could you just, and when I'm stupid moods and that came out, it done. You can't do

Speaker 4:          00:50:27       that in a away. Yeah. You get to take your lumps. That's a tough one because people are just not going to trust you again. You know they were talking, we were talking yesterday with my friend Sam Sherida about this author, I forget the guy's name, but he, he made up a bunch of Bob Dylan quotes and apparently it was like a great author, but he made up these quotes and then when they like tried to check him on it and tried to like find the source of these quotes, he like got arrogant about it. And then they started researching it and they wouldn't let it go. And they apparently they found that he just made them up to point and he's bald. He could, he could, right? Yeah. Whatever you want it. Yeah, sure. Yeah. You could put a Bob Dylan quote and say some of the most poignant things at Bob Evans was thinking this at the time when Bob said this, it spoke to my soul because I a child who's been in the 60s I was on Haight Ashbury.

Speaker 4:          00:51:21       I was, I was wearing a Bandana with live flowers in it. The fucking freaks. Yeah. So this guy just ruined them, ruined them. So I think like this other guy, it's kind of similar. It's like no one's gonna really take you seriously know he felt it lets you go do io Oscar or something. You're going to go to Peru. You gotta prove yourself Fitch man does coat two minute. I've seen Mendez character, the follow stele jokes. Dealer character. Farlow the drug dealer character diva fucking jokes. Taylor. Oh, Joe Sia. Carla. I don't know. I don't know. It's hard to understand. You don't quite know what the fuck you been saying.

Speaker 4:          00:52:14       We do have a bit of an accent, my friend. Oh, fucking hell. Very. It's funny, like I remember a certain guys like Terry, Adam, Terry Adams got a very, very strong accent. Like he talks to you like, Woo, I don't want to put that together. I don't know why Hitler England, um, Michael Bisping. Yeah. There's so many. I don't know why England. It's a small place, right on the, so many different accents, line of access, but a lot of it's a very strong accent. You know, it's interesting. And uh, it's the, the accent, it's, it's very fitting for the people that live in England. Walk. Do you mean because they have to be tough because, oh shit, I've got a bit, this is a different place, you know, and the, the fact that guys, it's fucking different, man. It human beings. We look at the whole world and we, we like to think that it's just like, it is here, but it's over there. We think like, you know, live in Africa, live in Saudi Arabia, whatever, man. As long as we're there together, it'll be like, you know, it'd be like us. He, no, that's, that's not the case. You go to England, you know, well this is a different world. These guys have completely different expectations. They drive it on the lefthand

Speaker 6:          00:53:26       side. They don't give a fuck about you more. You're crazy. Laws are, your quarters don't mean shit there. They're not real. You know, it's like, wow, this is a totally different place with their own money. And like, you know, you'll see people on TV that are important and you're like, who the fuck is that guy? You have no idea who their prime minister is. I have no idea who any of these people are. You know, you hear like Margaret Margaret Thatcher every now and then we know her, we know the prints. We know that like, well, we'll follow your royal family, but I don't know what the fuck is going on. You know? So it's, it's fascinating to be over. It's a totally different world. You know, England is, it's first of all, it's kind of a massive amount of history. There's so much history in England.

Speaker 6:          00:54:08       There's so many years. Many, many. Like if you look at the history of the United States, you're only dealing with like 200 plus years, but England, you're like, Jesus Christ, you guys go back over a thousand so it's like you have some really old pubs that have been open since like the 14 hundreds right? Aren't there some real real fucking oh shit. And England we called Shit. Oh Shit. Oh Shit. Go to a pub. Stop and think about that. That's been open since the 14 hundreds I'm spelled the same. Fuck man, ain't biomed. How did you guys deal with, you know, you have kings and Queens still while you lease, you have acquainted but you don't really, they don't really get to tell you what to do. Well, it's a different situation. It's like, it's almost like they're like actors playing the queen. Yeah, slightly. The other deal, I'm the captain a lot, you know, you just, they'd give him money and they make them look bad ass and they wave.

Speaker 6:          00:55:06       They do like that and they just show the most proper behavior. And then if they don't, you know what I mean? That's why the public, the queen gets all pissed off because we could lose half fucking money. Yeah, you can lose that Gig context. Fucking fight. You got to act royal portion popper posh and proper and calm. Yeah, and creep on. If you see that, like that whole set up with the castle and all that jazz, it's really fascinating because they don't really run the country, right? No. Do No home. You guys have like a democracy, right? Yeah, 100% yeah. Yeah. Do, do, do, do kings can go. Pop was not pry them. Can you try them for crimes and shit like that? No. I think that I, this is what you calm but I can, I can, if it was something, if the king got kink it the queen got call during something like Lesbos Shit. Oh, you can't even say that. Hey can I just did American bitch land of the free home of the brave and I'm going to fuck. Oh, I can't tell you. I can't tell you that. I won't tell you that for my queen.

Speaker 4:          00:56:24       No. Cross the line. Not True. I never sent jokingly as a gentleman's is all jokes, no disrespect man to Her Majesty the Queen as a joke. But if she did, what have we got? A bad ass bitch. What'd she had like some hot 20 year old like Puerto Rican chick with like red lipstick and big areolas and shit. Her and the queen just got caught making out. Could you talk about why? What's wrong with that man? Wouldn't it be great? Great if it was a guy, right? Wouldn't it be great if it was a guy who was a guy who was an old guy? The queen single. Okay. If the old guy by himself all of a sudden boom, he's got this hot 20 year old, just unbelievably ridiculously sexually attractive woman on his lap making out with them. Wouldn't that be awesome? It would, right? Well, is there anything wrong? Bls, vion. I say there's not. I see there's nothing wrong with being a lesbian. So I say if the queen was a lesbian and she was getting some hot posts, good for her. I don't want to see it. I don't want to see it happen. But off to say you don't want to see, you don't want to send you a link. You're going to college. You're going to click that link. I'm going to send you a link to Colossae.

Speaker 4:          00:57:40       Motherfucker too. Man picks thing. I know I'm going to about 500 times in a row while gambling. Oh yeah, that's, yeah, but you wouldn't want to watch. You would still want to watch you to queen. Have a good time. There's nothing wrong with, I wouldn't, I wouldn't know. You wouldn't. Just out of out of fair. What is that? It's the Prince Harry or whatever it. They got a picture of him naked and the chick in Vegas who did that? Who took that picture? I think the folks had a circus circus. The circus art cause they went, they went hunting rest house and style in Vegas, acid it up and circus circus. That real picture. Was that a hidden camera or something? I think they probably tell your people that. It's not a real picture, but I bet you know what I bet it is, man.

Speaker 4:          00:58:32       I bet a lot of people that are inside the organization, they do that shit on purpose. They leaked that stuff for publicity. They build a business. You don't think that's a rough patch. I know I fucked a kid. You guys holding his Dick? I don't hold my Dick when I'm by myself. Okay. If I'm walking around the Vegas, I'm slinging a dick. Like when did that start? When did that come on? It's slapping my left side's slap on my right side. I'm not holding it like that. That guy's holding it because he knows they're taking a picture. That's what I say. Okay. That was some Colombo type shit, son. I want some credit for that. It was leaked to Geiber and Tom Selleck combined. If it's a picture of you name Vegas Holding your deck. Oh, look at it. Oh, come on man. These are, these guys know these pictures are being taken.

Speaker 4:          00:59:16       Nope. No, that Israel. I think someone busted out a cell phone. That's what I think you're saying. No real because you believe that it's impossible for royals to do anything wrong. How many people are still brainwashed by the royals? In in England. Is it like still an important thing left field if you will like fuck the queen when people are like, oh it depends on your circle of friends. Well as my friends, your friends wouldn't know. They'd be like, yeah for the Queen. But because if you, if you said you're allowed to say like fuck the president, you could say that in this country and people will go, hey, easy. But they won't like attack you and beat you up. But I would imagine by the way, all that stuff that I said about the queen, these are just choke. So He's a gentleman. I just, no disrespect meant we're talking about the queen.

Speaker 4:          00:59:59       I would go with it about my own mother. Okay. I would say that joke about my own mother because it's not like, again, nothing wrong with being a lesbian. And if my mom was lesbian I wanted to hook up with a hottie. So it's my own mom who I love more than anybody on the planet cause my mom. So no worries about it. Ladies and gentlemen, these are just jokes. Um, how many people were like, cause like I know that it's, it's, it's, it's got a lot more reverence to it then the president does, right? Yeah. Well like, like I said earlier, it's so old, so old it even go back. Like I don't even know cause I think how the fuck did that come to pass? Jemaine like that. Basically. So hardest. He's got the fucking hobbyist gang. Yeah, exactly. That's what it was.

Speaker 4:          01:00:47       Yeah. At one point in time and the good good kings are the ones who didn't abuse you too much. Oh, he's a good kid. Yeah. He sent me mileage. It's this living way better than you and for no reason [inaudible] behind him. People. Oh you be heading a wives. Like what was that one guy, Henry, the Henry the eighth. That's when the kid get chopped. A bunch of his wives heads off. They got a little mouthy. He's was like, bitch, I'm done. I'm done with this. Yeah, he got, he would get sick of them and assassinate him. I wonder what he would charge them with. Like, I don't need much of an excuse, but I bet he had a thing. Some probably a ledger people's heads he chopped off probably. Yeah, you will. You watch like shows like game of Thrones and I know it's bullshit where ladies and gentlemen before I'll talk about game of Thrones and people were like, you know, so real right.

Speaker 4:          01:01:36       I'm like, please give me more credit than this. I saw the dragons are southern, which is, I'm sure it's not real, but it's supposed to represent at least the idea, the idea of a time, you know, it's supposed to represent without all the fantasy stuff attached to it as well. But it's also supposed to represent an idea of a time when there was blacksmiths and swords and horses, but that was the technology. It sort of ended there. There wasn't really any medicine. There wasn't really any refrigerators. He just had fucking plates of fruit. If you were the king, like drumsticks, massive ones, Turkey legs and shit. What with the big fucking baby mutton in a beer Stein Stein, right? Like ever see. Yeah, I love that. That's your people. It's a good movie. That's a fun movie. Which was that a cartoon? Yeah. Yeah. Yeah. Amazing.

Speaker 4:          01:02:28       Cgi. That was a great fun movie. Selena jellies. Boobies. Cartoon. Angelina Jolie. You remember when that goes? Some bid as Shitty as Lindsay Lohan got some big ass. That's a good song. Great Song. Halle Berry got some big ass titties. She just, if you could find that, but it'll get us kicked off youtube. Well, I don't think it was like a real song. There's not registered. Give it a chance because there's no way they fucking car. I'm helping them. Jesus Christ. Ladies and gentlemen, we have to worry about getting our shit booted off youtube. If we have copyrighted material sometimes got some big ass titties. Halle Berry got some big ass titties. Yeah. That could have been a fun way. Even if you were the king. I would rather be a dude who has like a decent job today than a king in 2000 years ago. Wouldn't you know Kakadu good. You could do good if you were the king. Oh, is that how you would rock it? They'll kill you. They'll go right after you fucking kill you.

Speaker 9:          01:03:30       Usually is this big ass titties time, Lindsay loans. If he see cups of tea cups, sweater, I'm trying to,

Speaker 4:          01:04:25       it's, I'm so happy that black people exist because white people will never figured out what app they would have never figured out how you could brag like endlessly and it actually can be an art form and for fun to listen to. It's fun to listen to. White people lack the flavor to have come up with rap on their own. Like we needed black people around to like spice it up, which very important. There's, it would never come out with that.

Speaker 3:          01:04:49       There's a song out right now, Joe, it's from bear.

Speaker 4:          01:04:53       I got some big ass today.

Speaker 3:          01:04:55       The guy's named like asap rocky I think as this name. And it's caught fucking problems and there so many, so many cuss words in the song that that when they played on the radio, it's seriously, they drink it. Like you're sitting there like, wait a sec, I, you can't understand a word they're saying but has this catchy like, like Ryan that's underneath it that you get into and now it's like a number three song. And you can't understand a word

Speaker 4:          01:05:18       that's the name of it. It's called fucking problems by asap. Rocky. Actually [inaudible] version, but I don't want to play, I don't even play it. I think that the universe is letting us know in no uncertain terms that it's over the fucking shows over. It's getting completely wacky. I think that's what reality TV is. I think that's what this song will be. The number three songs in the world go back to like the year, whatever it was, when midnight rider came out from the Allman brothers. And to compare that song to this fucking ridiculous song that has a million customers that you can't even play. It's just a core. It's free. It's so ridiculous. Want to hear it? It's, it's the aliens are sending us a signal to saying, build your ship. Okay, and get off this rock. They're going to start eating each other. It's fucking honey booboo. It's going to become an adult and she's going to run the planet. That's what's going to happen, dude.

Speaker 5:          01:06:11       What is the next, yeah, what is accident? What was the wall? Um, what's next for you, man? Do you just fought right. Where'd you fight? Not, not for while I let, my last flight was Bobby Lashley and I got my cheat bump, Balkan. Um, my Alberto bone got fuck shoots up. Popped me out for a while. That was a big victory for you. Yeah, it was a legit victory. Like a good big name. Yeah,

Speaker 4:          01:06:36       it was a good fight. You know, you, you pulled it off for three rounds. Yeah,

Speaker 5:          01:06:39       I watched it not long ago on a fault. Just edged it, Josh. Sacha. It was close. Um, those are satisfying, aren't they? Well, I mean, I went to plan, I stopped his take downs. My cardio was a much better if you did take me and I got right back up. I felt good. But why let me down with standup? My standard was too slow. It was like he was beating me to it. I was main event, finish him off with his standup, but he was too quick. Um, it was beating me to the punch and I thought, right, fuck it. I'm going to have to get them to the cage and make it just massive. Just keep him in because he was tired. He want to move to keep him. Fuck him. Well, it was good where I managed to do what I want to do, but I didn't capitalize.

Speaker 4:          01:07:26       That guy is a weird example of like a physical specimen. He's so muscular. You're looking at me go, how could that guy, he did more cardio. He seems like a guy who probably should be like a two or five or right. Yeah. It's too big for his family. He's got so much meat on him, but he's so impressive looking. Yeah. Because of that, it used to be at a time, you know, you look at a guy who's built like that and go, well that guy, I'd probably kick a lot of apps, but now you know, like that guy is handicapped almost like when you to bag. It's like when I fought [inaudible] and so many gaps. Yeah. You

Speaker 5:          01:07:59       know what? I remember he was statistically based strong, so he got me in a belly to belly suplex me over, um, you know, uh, landed on it. He was on top of me and I felt like under hook and eye he was just a big gap. Closes. I am too. So also is

Speaker 2:          01:08:16       not aware. I mean he's, he's mixed martial arts training. It's very limited. I watched him hit the pads and everything. It's like it was comical. So like well this guy never punched in his life and they teach them how to punch now that soaks these mindset. Yes. And animal. Well a fucking animal.

Speaker 5:          01:08:31       The fuck t fault. Do you know what I was talking earlier about, you know, six weeks and I ain't got big ego book. I've got Marvin, he got that obviously. How he visualized due to John, I mean right because put your Nice Keith, thanks for you know he jumps in the Tim Silvia. Yeah. Tell me fucking it's a worst fight

Speaker 2:          01:08:49       ever. Ever. He's so tall. So vain G, very dangerous guy. And if I ever motivated, cause he just lost to Ray Mercer said wanted it, you know, he, that was an embarrassing, lost it. Yeah. So he wanted to, to, to, to put a good mark on his ledger and put, you announced it was a perfect one, eight pudgy now scalable high, like you fucking know. It was like the body beautiful versus a guy with not the greatest shit. Yeah, no, not the greatest. Genetics kicked the fucking shit out of that body. Beautiful. Easy. It wasn't no problem. It was a, it fascinating to see how willing that guy is like right away to fight high level guys. It's going back. It's going pop quiz. He started off

Speaker 5:          01:09:28       like that and then after the second loss to me, which is bullet, it wasn't lost to me. He was, he claimed to have won the fight and then they've invested decision. Well that, that's some fuckery right there. Is that in Poland and how do you know what it is it, do you know why I was up? He to me always fucking up his to me because I'm the guy who's mad, he'd been knocked Tate. I'm like, the goats had a few. I'm semi legitimate. So I'm like, but people like, oh, you know, he's got, um, you know, he's had a few wins. He's, he's not a complete bomb. So they put me up there, I look the part, I'll come to fight but unbeatable. So then you know that guy who's ready to take the next level, he's thinking he's beating Tim Silvia, don't forget [inaudible] I think the fucking Fuck Thompson up. But it didn't quite go, go, go like that.

Speaker 2:          01:10:18       Yeah. I think also that's the thing, the guy became this amazing power lifting champion, this strong man champion because he has just an undeniable belief in himself. So he probably just thinks he doesn't give a fuck. He keeps running into reality. Yes, yes. Yeah. That kind of needs like a it guy like that needs like a real legit coach. Like a Greg Jackson or a Matt Hume. Like someone's going to sit them down and go, listen, there's only one way we're going to do this and do it right. You going to keep your brain okay and that she actually learned how to fight and then you fight. I think he is. Yeah, Tom. And be getting smaller. It's getting smaller as well. Right. He's getting back what Catholic and you know, took me the fuck it's mine. You know what I mean? So I forget

Speaker 5:          01:11:01       that part I give him credit for, but he's a fucking prick. He's a pro Israel. It's eyes. He's not a nice guy. He's not a nice guy. Do you know when I was at KSW? Um, of the staff or the no, I had to, I talked to when he was really nice on uh, on the, on the doing song grabs you hand when someone grabs your hand to shake it and then they do that finger thing. No, no, no. I'm the golf.

Speaker 4:          01:11:26       Oh yeah, with the second arm. Why did they do that? You like get your base, you lower your base. This mother is good at judo. Me fucking out. Joe Bitch. Yeah. Why? Why did they do, but I think it says an emphasis to really have to really have a home. It's a hand hug. I don't mind it as long as it's a touch to touch with the other arm when you grabbed my wrist. Especially if you go with one of the gene, the bell finger lock type of situation. I don't think that thinking of it like three fingers and you really got to fucking read the gene about fucking handbook and he shoots this great time. Great Handbook. If you want to fucking kill somewhere walking, weird dudes will do. Well they'll hold onto your knee whether telling you something. What the fuck is that when you're sitting down, are you sitting down like in some easy chairs next to each other?

Speaker 4:          01:12:17       Older dudes would do it. When they have a, they got some important to tell. You know, Bobby, I need to suck your Dick Right now. I'm thinking, boy, the Dahlia I like and they want you to really listen. They will like hold your, they were like even put a hand like not even like a full claw, but to let you know that if he wanted to they could make the shit uncomfortable. I tell you some shit about the government. They don't have this happen to me. You don't talk to old dudes. Yeah. I talked to the old dudes that want us to show me that they know shit.

Speaker 5:          01:12:49       The worst one for me to, I've got this black eye. Um, the, the worst one for me is people grabbing, you had to, you know, when the past and they come up on the crop that Bucky, I'd like and then start pulling you in. Yeah. They want to talk to you almost. Yeah. I'm like, well, they're just fucking pulling you, you know, not letting you get a fucking way taking the choice away. I mean, yeah, yeah, yeah. Why do people do that when they want to talk to you? Hold on to you. So we pause because it's so important what they're going to say. Dan Henderson the back of your head and shit. No Man. When, when tone does that to me, you know, we'd be training as well. What's going to start to me it's like fuck. So that's how he got that black eye.

Speaker 5:          01:13:29       Yeah. What happened while I was, um, I work, um, well he's my main, but I go to his club and I do security for just normal clothes off a drink with him. I got, I don't, I do whatever. I fucking want a drink. Um, so I was going on with security, but you're also like a patriot. Okay. So you just do it to hang out with them? Yeah, I told you we don't even have to pay me. Oh, okay. I told her you know about, but he does anyone who's your voice. So you go there and you hang out with, so your security just by existing. There you go. So, uh, so, so, so, so then what, like what am I saying? I don't know. I don't go to it. Yeah, that's why I hope it's gonna be good though. So, so if I can remember that.

Speaker 5:          01:14:15       So W W we, we there and um, so if someone punches the binary black, oh yeah, yes. So on punches the bathroom and floods, it punched the bathroom. He pumps the fucking container with the Walkman or something. And, and, and, and how you guys have like one of them old school above the toilet? Yeah, yeah, yeah, yeah, yeah. Wow. That's hilarious. So I, so I went to look for the guy who did it, so I said, oh, I'll have a look. And he said, white tee shirt. So I'm on the way down the dance floor. And um, this girl steps from a toll, she steps on your toe and she wobbles a bit. So I capture under the arm securely safe. And I got and she goes, oh yeah. She said something to me. And then this bloke came out of nowhere fucking peacock in it.

Speaker 5:          01:15:08       I get invited my face, peacock minute means spreading as feathers. Yeah. He's letting me talking shit. I was like talking to his message. He just happened to like this skinny fucking much look to light from the back foot turned her face was hollow. She had fucking Lord to make the story better. Is that math out couple? She, yeah. Yeah. Okay. Yeah. Needle needles and then fucking needles fall out of refineries. Oh, stop it. Um, and the guy dropped it. He started saying, I said something to him and he was taking my kind of kindness, uh, me being okay. I don't want to find no reason to, so might be an ally and he's taking that as a weakness. I can see it happening and I, it's almost like a know what's going to happen if I can't do it. I could just say fuck off quick and just kill it dead, but I don't, and it anywhere law. And uh, then he did that and I pushed his hand off and he fucking hit me fucking that left hook, man. You hit him back. Did you bring his arm? You cannot fucking colossus leak. Yeah. That's a big mistake when you punch it, dude like you, and then he's still there and now you're mad like, dammit. Are you ticklish? No,

Speaker 4:          01:16:22       you are [inaudible] his head. Move on. Do it Brian. He'll, he'll break this whole fucking table. Brian. Sit the fuck down. You better not take on any motherfucker my deck. I will kill him to see that he's Riley and he getting confident and again, comfortable with gay. He's trying to lure you into his fucking spider web spider web of issues. Yeah. Give me one of them two below. That stuff's great. Um, thanks to a CTO, coconut water for sending us all this delicious. If you ever, uh, have a chance, like if you're looking for like coconut water to buy it, they are not created equal. You want to make sure you get coconut water that's from these Thai coconuts. That's [inaudible]. That's uh, Brian and fucking Amy, Amy and Brian's. Is that what it is? Yeah. Amy and Brian's is, uh, the same, same time. Hey, he's the tickling each other. This is dangerous. He wouldn't even mean to kill you by would just be an accident. I love him on the hook. You know, gone. Always killed a number one bus. Oh, poor Brian. I would never kill you opponent. He would hug you and everything would just leak out of your asshole. I would a water bag, watch love and affection. His ass would just open up this rep, the whole inner, it's just plot everything. Rib Cage, everything for, no one's even going to figure out how rib cage got through his ass go right through intact toying. It's going to come out and roll across the floor where he realized he wasn't really,

Speaker 3:          01:18:09       what can you Brian, it's something that I've already started because I'm extremely ticketless and, and if I was a fighter, I think if I was like in some crazy Jiu Jitsu thing, if the guy just started tickling me, freak the fuck out.

Speaker 4:          01:18:22       No, no, not when you're in the moment. I'm thinking of because why your chicken on the guy, the guys on top are you punching you in the face and you're going to stop tickling part of Ticklin like the whole thing is like someone's like got power over you and you're like stop it. You're making me feel things I don't want to feel, you know, but it doesn't hurt but it just feels weird. Not at all. Cause you know what, you're, you make the connection between the impact of the fingers, but when someone else is controlling that you don't know what kind of ride you're going on and all that shit is actually probably evolutionary, um, to uh, um, beneficial to keep spiders off of us. Like things that like little things are moving. Like what am I going back? That's what that is. It's like extra sensory for when spiders and shit would crawl into your fucking sleeping bag, you know? I mean that's probably what ti being ticklish is all about. You, you have a sleeping back fucking fucking the day. Yeah. Yeah, of course. I know Bryan always has a, a rescue pack in his car. Well, he's ready for this new Jack strangles me to sleep or worried about the earthquake. And so he a a full emergency set up in the back of his car, including ecstasy.

Speaker 4:          01:19:37       Plenty of Molly fucking palm star. No, there's none in the trunk or I cleaned it out last night. That's why those ones, you say it and you're like, damn, it was, it seemed like it was there. I took a chance, I threw it out there. We bonk. So, um, you got, um, two big wins in a row, right? With Bob South and with no, it was Bob's happened in the same cell phone. Oh, that's right. The same I've Bobby Lashley

