Speaker 1:          00:00:03       And doing it again, I can.

Speaker 3:          00:44:19       It, it will. I definitely don't think we're designed to, to live the way we live. You know, we're trying to adapt and I think future generations will probably have some physical capabilities that we don't have.

Speaker 2:          00:44:32       You know, because one thing about autism is that fact that we are now you had these hyper hyper like autistic people who are high functioning that can take in a tremendous amount of stimulus, see a room and count like you know, everything in it that fast on one of this, this guy won and requests was saying on Ted Dot Com. He's a venture capitalist scientist and he said, you know, it may be that our brains, because we're exposed in such a short period of time to 500 times a stimulus that are we see more in one day than our ancestors saw on a you in a lifetime as far as just the amount of stimulus, the amount of sounds, the thoughts that are crammed into our brains just through visual stimuli and auditory stimuli said our brand is very well, may already be evolving to match and coordinate with this ever changing exponentially growing environment. Well, that's what I'm wondering about. Like with Wifi Signal,

Speaker 3:          00:45:27       cellular signals and all the different. There's like I don't understand signals, you know, I kind of know that they're there. I know that there's radio. I know that just television. I know that there's stuff that's being sent out in somewhere. Someone's receiving it, but I don't understand it. And so I don't understand like what is it doing to biology. They know that it's having an effect on bees, especially cell phone signals. They think that it might be like a steady, like jackhammer sort of thing that's affecting bees, like just an interference,

Speaker 2:          00:45:57       like all member aliens is air, so it's, it's, that's what the Wifi signal. We talked about it yesterday. I honestly think all this stuff is edging toward becoming one with the machines for real and then ultimately to that effect, creating this sort of universal connectedness. I wonder if it's biological for very long. I wonder if we're ever going to evolve.

Speaker 3:          00:46:18       Wait, some ability to tune into these, these signals without adding something to the body Audi

Speaker 2:          00:46:24       without adding like a chip. Like how fucked would it be if the healing. We are going to have chips way before that question arises. I think things are moving so quickly. We have synthetic, uh, we're working on synthetic, biological, synthetically biological computer chips, faces. We're going to have like a google face. You're going to get a new face. I bet. I bet you could probably do that some day. Well, that's what Ray Kurzweil says. Yeah. I mean we're, we're going to be, we're going to mesh with machines. Why in the world if you had an eye that could see a mile away and in the dark, why wouldn't you get an an artificial lie? Why wouldn't you? That's exactly what I'm old school. I don't need my leg. I'm going to sit here on my porch until everything stops. Yeah. Why would you? But maybe you know, maybe the next life is better.

Speaker 2:          00:47:18       Maybe the better. I don't even know if there is. Maybe the afterlife is the notion that you live on is a computer as a computer program. I mean, right. That's. Look, it's not opposite. Look, if I can download, I can download your brain. Everything that goes onto your brain. I can download all the content. Right? Which, which computer science you're talking about a matter of when? Not if like numb my brain. Like maybe you're not here, you're a brand new car. He's a huge mainframe. Too much going, but then I take that brand and I put everything, all your memories and everything to think about into a computer. I can put it into a robot maybe. Well, what does that say about your mortality? Well, no, I don't know the answer. It's we only accepted if it's, if it's legit, if it's natural, that's when we accept things when they're natural, you know, if you hate it.

Speaker 2:          00:48:09       We, we've been, for example, genetically modifying crops like corn and things that you would never recognize what corn was 200, 300 years ago. It's a different, you know, it's, it's, it's everything you eat, everything including the animals you eat has been genetically fucked with to become more productive in their output and isn't ultimately. I mean we're calling it natural. What's natural and not natural but isn't everything that human beings do natural because we're part of nature. Absolutely. Just as natural as the process of making honey. But the other question, the other issue is that yes, the idea of the very idea of natural and biology is going to change when we realize that this, this human being that I'm looking at is a machine like anything else. In fact, a rather rudimentary machine maybe 300 years from now or 200 years from now or 50 years from now.

Speaker 2:          00:48:59       It may very well be that we, once we figured out exactly how the machine works with the genome and all these other ideas, well I guess I could make now even a more complex machine, so in the end of the day, if that machine is just as biological but more complex than this rusty old machine that breaks down after 90 years or whatever. Well, I don't know. I don't know what biology means anymore. What happens to the bacteria that exists in the biological organism because that's like our, our tenants. Well, first of all, we're already well, but already what we're doing, what science is doing is trying to learn how to harvest and, and, uh, the good bacteria versus the bad bacteria and manage the body like an ecosystem, a mini ecosystem and science. More and more scientists are, are talking that the microbes that make up our body are, are, are exactly why we are the way we are. They control everything from the, the natural moisture in our skin to the way we smell to personality. Let's say the, yeah, it might have an effect on intelligence. Autism may be connected, certain types of autism spectrum disorders might be connected to having an imbalanced flora. It's. It's fascinating, man. It's the human body's a host for life. There's billions and billions of organisms living inside your body. That's right. Yeah. It's, it's, it's hard for us to really imagine that we're not an individual.

Speaker 3:          00:50:28       You know? It's hard for us to imagine that we're a walking ecosystem. Yeah. That's also the idea that, you know, it's maybe hard to imagine that we are, we are being nudged in a certain direction. It's not this not chaos. There's, there's a direction we're being moved in and its complexity always from, from the beginning of humans. True to the moment they figured out how to roll things on logs. They have made it more and more and more and more complex. Yeah. That's just what the only thing that's not as complex as our stone work know, like ancient Egyptian stonework. We had a guy in yesterday, Philip Copans, who's this, wrote this great book on lost civilization, enigma. It's all on, you know, like the ancient constructions of the past and that's the only thing like today that we still go, God damn, these motherfuckers had some crazy technology and some crazy insight that the Egyptians, the Egyptians, I mean even the, the Romans and a lot of other people who have made some incredible pieces of architecture. It doesn't mean we couldn't do it today. Well, we are doing it today, but I think on a, on a subatomic level or a national level, right? Oh, sure, sure. Now, now most of the innovation is going toward creating robotics and tissue regeneration. Growing new limbs, we were talking about it that we think that change that light. Hold on the idea. Change a light. What's in your eyes? This thing back here. Are Your eyes sensitive? My friend that they did call you. I,

Speaker 3:          00:51:54       you know what a game I, his folks. So it's when you're in the canoe and you're rowing, you look up in the hills and if you see the aim, you're, you got the game. I, we saw a lot of, they called him. He came by the cashmere killer because I was wearing three layers of cashmere hunting deer and freezing my fucking tail off. Still Fun. It was really fun. I'm so glad you went with me, man. It would have made it. It made it a hundred times better. We did. Was laugh the whole time. It was just great time. There was a time, I mean it's such a disrespectful moment because we're actually butchering the deer, but as we were butchering this deer, we're cutting into sections and I don't know what possessed him, but he got it to this thing of jerking off into the ravine.

Speaker 3:          00:52:36       My character was the ravine cut, so he starts doing this character where he's angry about stuff with its tongue sticking out side of his mouth that he's just jerked off into the ravine and it was so preposterous for what was happening mean. Here we are like skinning this animal and hocking chopping it couldn't take the sections off of him. It was really weird skinning an animal and gutting it and skinning it, and so I know the problem is if you put me in a sacred place, I start to freak out and do something, but you should've seen me at church. I went to church like four times in my life. I couldn't do it. Dude, I'd start doing crazy shit. Well, that's what I told him. I was like listening to having this guy with this. It's gonna make the whole thing 100 times funnier. Trust me. We're going to have a great time. Especially you and I together. You and I had together have a. We have, uh, you're one of my longest running friends in La and we have a. yeah, we know each other so well. We've been through so much shit. Brian, I, I sent my,

Speaker 6:          00:53:26       uh, I've sent Brian to fuck my ex girlfriend was because I had a girlfriend at the time and I didn't want to cheat. She's like, God, I'm so horny. And like, like I'll hook you up. I'll go, hey, go even looks like me. Played my brother on news radio. Remember that? That was great. She was fantastic when I was at fucking dirty, dirty girls dated this girl for a while. I think like, Hey, I want my friend to fuck my head. Shit. Let's. First of all I knew me and that girl will never get them back together again. No disrespect to her nice personnel. That kid, but I knew it was never happened again and he's my boy. He doesn't care. Give a fuck. She needed some Dick to Brian, give you a hunting trip. She's my friend. She needed some Dick. You know, what am I supposed to do?

Speaker 6:          00:54:12       Say you know, you're, you know I can't help you. I can help her. I had the fucking solution called me up. I'm setting. Yeah. What are you doing tomorrow? I don't know that I said you're going to go fuck my ex. I think he fucked her behind a car and shot a load into her and she calls me the next day. Your fucking friend came inside me. I was, what am I supposed to do? Laughing so hard. I was crying. I was holding back because I know you so well. You're so fucking crazy and that could believe that we did it in the first place. I said, you have to go. Fuck her. I'm not even just laughing while you. She's telling me fucking friend Kate with. I get very few ex-girlfriends, whoever called me up complaining

Speaker 7:          00:55:01       not to. I was younger having sex. Aren't I supposed to do that? I don't know. That's funny thing. I. Yeah. You think about how fucking what a numbskull I was when I was younger, just I didn't understand girls were different. I didn't really understand why they were just like me and then I dated a girl who'd be like looking back on it. They were all great and I'd be like, why am I. Why? Why? Why is she not behaving like my friends? She's a fucking girl. You idiot. It takes a while to understand that I was just a fucking idiot. Were those poor girls were like, what is with this, this, this caveman? You know, I'm not gonna fuck you in the elevator. This is whenever it was. I bought. Well you should be more into. I broke up with a girl because she fell asleep during raging bull. That's not fair to a girl. It's a great movie, but it's a fucking movie about a boxer. The guys like girls aren't supposed to. You know. It's not fair for me to be mad. I was like, this is one of the great. This is my favorite movie of all time and you fell asleep in it. I'm afraid I have nothing in common with you. I didn't say that, but I made that choice in my head. I was like, well, she hot. Yes, but I was like, I don't know

Speaker 6:          00:56:02       what is. One of the things that I pride myself in is I've never tried to make someone that I've dated any different than who they are. You are always good to learn. I was a fucking idiot. Well, I just know. Is it more for me, it was just like, how can we bring someone, tell them they have

Speaker 3:          00:56:24       to read it. I was like, how can you not be interested in this? This is amazing. Well, they were fucking thing. They got their own thing. They were smarter than I was. I looked back on it, they knew if I had listened to them I would have, I would've been better off. There's a lot of things that people I like really love and I could not care less if it existed, whether it's sports or certain types of music and I could love these person, these people to death and whatever their opinion is. I just like Eddie Bravo was always trying to turn me onto some new electronic band and like four out of five of them are pretty decent, but every now and then there's, you know, he's, he's into some shit that I'm not into a fiery series. Those are pretty high odds. I bet it's less than that.

Speaker 3:          00:57:04       Yeah, you're probably right. It's about three, three out of five. So nice being nice because I love Eddie. Three of it, but it's not luck. It's just taste in music. Like he really loves smashing pumpkins. He really loves Leonard Skinner Guy. I'm a led Zeppelin guy. I love like hearing the fucking guitar scratching on the pit. You know what I mean? I want, I want to hear like the black keys, like that's my cousin. Also musicians, a lot of times we're listening to something different than we are here more than we do or they're just more in tune with something innovative or Eddie has a very specific style that he fucking loves and you know, and he's very creative man. I mean his own music. He's like, if you're, if you're into that style of music, like Eddie does some really topnotch shit and now he does it with this dude compel a.

Speaker 3:          00:57:46       They have this band called smoke serpent and like compel who's a really good rapper like wraps over it and it plays like, you know, Eddie puts his music on the background and his thing has always been that like he always loved hip hop but he didn't like the kind of music that was in the background of hip hop. He didn't like that whole sampling fan and thought it would be, you know, he liked, he's got like that sort of electronic, a smashing Pumpkin, sort of a vibe of music. He's really into that. Everybody's different. Why that is everybody's fucking different. Wiring right, yeah, for sure. I mean, look, there's some people who hate violence and hate violence sports. They don't. I mean they just don't like it, but I can have great conversations with them about other stuff. You know, there's. Listen man, I just thought it was so funny the minute I saw that dear and I had one shot to get this to you because you, you go all day looking for deer and you don't see what it was so cold.

Speaker 3:          00:58:33       I, the minute I saw that book, My hat came off everything. I didn't feel anything. I was just literally like, I'm going to kill that fucking book. I, I'm not a hunter and I don't really necessarily want to kill. So we were on a mission. You know what? We were doing something that was very unusual for two guys that are in their forties with kids living in La, in the entertainment business, sort of sort of still in entertainment business. I do comedy shows, I guess the there on my own, but I mean, I guess, but you know, those guys were a great audience, weren't they? Are Guides. Stanford, Ella and Ryan, what's his last name? Ryan. Ryan Callahan, who's a great guy. Was My, uh, my, my guide ride, mow the director. God I can't wait to do. They were all great guys and these guys are solid as fuck man. They were a great audience. Loved that. He just laughed at us fucking around all the time. Well,

Speaker 2:          00:59:22       I don't think they'd probably ever done a show like that. You know, Brian went like, from the moment we got there where I was full tilt from the moment we got there, he was, this is all mining. See this, this is a longterm strip mining. And I go, no, I go, this is the Missouri River. You fucked this cut through this. It used to be the great western indigency no, no, no. This is mine. I was talking to Steve Right now. It's been there and I grew up there like, yeah, this is my, this is not. This is all natural. I go, you're wrong about that. But anyway, right away he gets into his ridiculous character and then it gets gay or queer cracking. I'm cracking jokes. So as long as cracking job, that's all I'm living for at that point. So I'm like, if I got an audience I can just see Joe's eyes. They're slits and he's like, oh my God, that's fucking it. It was like, it was seriously no bullshit. Like going on a five day comedy show where inbetween you took breaks to go. We have a lot on camera. We got it. We got to steal it and put it on the fucking. Well there's certain things like they said that they were going to give it to us because they could never put it on their show, but he a

Speaker 3:          01:00:25       lot of control on this show. I think it's on the sportsmans channel, one of those channels towards hunting shows, which by the way, I watch now and watch all these hunting shows. Now I'm fucking recording them and watching hunting channels that you do it. It's so fast and you know what it's like, I didn't get it. You're in the middle of nowhere. You never going to see this topography and then you see a deer, you see like something that you could actually get. And I, I love deer meat by the way, but, but you know, you see it and you're like everything. It's like winning the lottery. It's like almost sudden you're like, Whoa, this whole rush, you know, of discovering something new. Well, you're in their world. That's the weirdest thing about what it is, is when you do this sort of what they call immersion hunting.

Speaker 3:          01:01:04       We, we basically went into the wild, like the real legitimate wild. It's not a road that's untraveled. People travel it every year, but it's not that many. And the people that are traveling are all doing what you're doing. They're all sneaking up on deers and shooting them. And while we were there, we were there for five days. We saw three other canoes. So that was it to two other campsites. So what it is, is this really inhospitable terrain that occasionally, you know, every couple of days or so a new person will venture into. And it's that crazy. It's another world. This world doesn't have any cell phone signal. You don't see a building anywhere. You get on top of the mountain and you climb up for hours, you get to the top and you look out and it's Kinda scary because you don't see shit for anywhere to the left or to the right. It's more of these hills and valleys, hills and valleys and no help. No stores, no nothing. So you got what you brought with you and what you can kill here and cook. That's right. That's exactly right. And so when you creep up on a deer and wind up shooting that deer and killing it, like you like entered into a, like a different reality, you like plugged into this different reality of hunting also.

Speaker 7:          01:02:20       Like I thought the most profound part of it was butchering my own deer. Yeah. And I'll tell you why it was we, we have a real disconnect to the food we'd right. So you go to Mcdonald's and you're eating a steer that was maybe killed, I don't know how many months ago, you know, and, and, and then the skin by some stranger and then quartered and put together and grind in process with other beef cows. And it's a mixture of shit, maybe some of the cows came from China, so I'm guessing it's the same thing with chicken and stuff and you see there's a real disconnect with the kind of the animal protein that we don't know how it's lived. We don't know how it's suffered. We don't know anything about it. And that's always bothered me. And one of the things I thought was there were two things I found profound about, about not only killing a deer with that rifle, the, the force and the feeling of it, you know, but also, um, then butchering the meat, the, the, the intimate process of, of gutting a deer and harvesting the liver and the heart.

Speaker 7:          01:03:13       And then, and then cutting a skinning it and cutting into that, that meat that you're going to eat, the heat, the heat from the inside of its body because you got to get in there, you know. Um, I had blood, we both had blood. I had passed my wrists. And the intimate process of doing that, the smell and the feel and the temperature, you really get a sense of the, the vast discrepancy between life and death and our own biology and how fragile, you know, we are like, you see what a scalpel, what a small knife can do to muscle and skin and sinew. It's frightening. It's frightening how easy it is to gut a deer, which is much stronger animal than I am. You know, it's, it's just frightening to think about. So it creates in your, in your own sort of visceral sense of true vulnerability and more importantly, our own biology and I, I then had a very strong understanding that idea of how easy it was for hunter gatherer or even our very recent ancestors to kill another human being.

Speaker 7:          01:04:14       Because when you kill an animal and you butcher it and you get that close to its body and its heart and its life force and then you see it go away. Killing a human being would be exactly the same thing and a lot of ways because it's just another animal. Now obviously we have different motifs on what a human being is. They have a conscience and all that and blah, blah, blah, but I'm just saying that I can understand how a hunter would make a very good and ready warrior. There's A. There's a very, very thin divide and most of us as men in today's world don't ever experience either one. We don't have experienced death that that intimately. We don't experience even fighting that intimately. Everything has to be simulation. It has to be either a fucking video game or a legitimate. Yeah, but not even that. You're saying a Jujitsu match. That's the rarest of the rare. Usually it's an argument in traffic. Oh, I'm. That's virtually no testing yourself. Like right. No connection to life and death like that. Yeah, I mean that's one of the grateful. It made me warm, respectful of deer of the being

Speaker 2:          01:05:18       up being with a hunter like Ryan or Steve. What you realize actually is at hunters to be an effective hunter, the irony is you have to have a deep, deep respect, love and understanding of the animal. It's behavior and of the environment in which you are now a guest in. No, listen, it's not easy. It's not easy. I mean, people think you're just going out there and shooting defenseless animals. No, you're. What you're doing is you're going out and getting your own meat and it's a difficult fucking process. It's very difficult and you guys were really good at it. Those guys love every aspect of it. The ryans and the Steve, Steve Rainelle and Ryan Callahan. Those guys that took us out there. They love every aspect of their conservationists. Yeah, true conservationist. They follow the rules to a t. They know every rule for every area of their hunting.

Speaker 2:          01:06:06       The pay attention to all of it. Like where we were at, we couldn't use two way communication so no one could say like, hey, we saw some deer, this one, and you can't say that over the radio. It's illegal. Do you know what happened to me when I was hunting? It changed my political point of view a little bit. Really? Yeah. You know why? Why? Well, this is weird because I was talking about being a libertarian and everything else, but then I realized the value and the importance of having strong regulation and rules for because if you talk to hunters and people are really know without really strong anti poaching laws, for example, are really strong regulation by the fish and game service, you would have everybody that I've talked to a grace, you'd have major abuses by assholes, just machine gunning the whole fucking side of that Ridge when they saw rams and you'd have no game left and in fact American history and history in the Middle East certainly that I know of, but bears that out, that that, that people always over hunted, they always overfished and they continued to do that.

Speaker 2:          01:07:03       People are concerned that they wouldn't. When, when our ancestors figured out that you could run woolly mammoths off a cliff, guess what? William man has disappeared. You know, and they start. I mean that. That's the, this is what happens. So human beings actually can be very short sighted and can like kind of not do what's in their best interest. Sometimes you need, you need, you need, you need some regulation. Well, you didn't. You didn't think that the fishing game, that was a good idea, but I didn't know. I didn't know about it. I just always have a visceral reaction to any government organization and I go, well, are they making it worse or better? No, there are some very good and important. They're the probably government regulation. It's all done by hunters. It's all done by people who will hopefully. I think there was some dispute about who was going to be in charge of it. Now it's like people who are more animal rights oriented. No, I don't trust her neighbor and Ela and guys like Ryan have are huge believers in the. A huge lovers of animals. Yeah, and the other thing is, man, the people can't deny that it needs to be done because there's only two options. Either you hunt the animals or you reintroduce predators, and when you reintroduce predators, you've got a whole new set of problems. First of all, you've cut down on some eat free meat. So unless you're saying that people should stop eating meat. Totally.

Speaker 3:          01:08:16       You've cut down on the amount of meat you've, you've, you've cut down on the most humane way of ever harvesting an animal, letting the animal live his entire life wild and normal and undisturbed until you take it, so literally as a free animal and you go and earn it and get that animal. It's an animal trapped in a pen that you forced into a corralled area. Then it gets a piston through the brain. It's like it's the main plot, so I don't understand why you would want people to stop doing it. Is it the idea that people are upset at the idea of someone actually taking the life themselves? I mean, that must be. That's the only argument I can see. You know, maybe it's stayed. They recognize that that connection between taking that animal and you, that animals is very close to the connection of taking a human life.

Speaker 3:          01:09:01       My issue with hunting is like I would. I would not hunt a bear or a lion or something that I'm not going to eat. I don't believe in that. I don't like hunting. Mountain lions stays good. Steven Ellis said that mountain lion steak is delicious. Yeah, I read it. He talks about it in the book. He's got tasting notes on mountain lions. Pretty funny on the media, but I, I, um, it's actually, it's, it's hit or miss with mountain lions sometimes it's so string you can't even literally can't even chew into it. Then other times you gotta if you roast it for a long time in a stew, like a slow cooker, it's kind of a pale meat in it. It's got, it's got an okay taste. But in fact, in fact, eating predators that eat that live on animal protein is, is not such a good idea except fish except for fish.

Speaker 3:          01:09:40       Fish are all delicious. Lead fish. Yeah, that's a good point. That's why you catch them with lures. But um, but fucks with a, it's like throwing a robot in front of you that you think you could fuck it. Dive on an Prong, sticking your ass hole and you get dragged into another dimension. It's like so rude about what you say. It's like rude things to eat. Things with their face. Yeah. You catch them by the face? Yeah. Well, the dive sites, so afraid of the ocean. It's. It's shouldn't be. Have you seen the ocean at night? Dark when it's dark. Pitch Five. I've been on it in a boat before. It was terrifying. Me Too. My parents lived on a sailboat for a couple of years. Oh my God. Yeah. My parents got a wild hair across the ass and they decided to retire and kicked back for Awhile and my dad just stopped working for a few years.

Speaker 3:          01:10:22       He went back to work afterwards, but he stopped working for a few years and just sailed around the world. They lived in the Bahamas for awhile. They looking for and they get stuck in a hurricane. Once you have it, then I always worry about pirates and things. Yes, I need. I mean if I can have a turret gun and if I can, 50 caliber sniper rifle and a seal team following me until we address the imbalance of the world. Brian calendar is always going to be pirates. It's, you know, we always, you know, we're always concerned with fattening up our own pockets, but unless we feed those poor people of Somalia, they're going to keep doing what they want to do. I agree. How do you fix that? Like the Somalia thing, so it's literally an area the size of Texas are known. The Western Europe. I mean that, that area that they talk about is so vast and yes, you're going to have very poor people who come in and go, let's, let's hijack that very big boat and take whatever.

Speaker 3:          01:11:14       You don't even, you know, how it started. Do you know the Somalian thing started, they call themselves the volunteer coastguard of Somalia because what happened was the Somalian people were essentially fishermen and European started dumping toxic waste off their and fishing. They're shorts, overfishing, their shores with nets and shit and using, uh, did you hear that? Or was it just made you hear that pop? I didn't hear you and polluting it with all sorts of toxic waste and just fucked up their whole ecosystem. So all of a sudden these people can't fish anymore. So they started holding these people captive, they would catch one of these fishing boat or when these boats dumping shit off their coast, they would kidnap them and they would demand a ransom because you guys are fucked up our fishing, we want some money, and then they realize, you know what, fuck fishing, let's just start jacking.

Speaker 3:          01:12:00       Do It's all these people are in boats. They all want. Everybody's going to want them back. And so they just started taking over boats. So it was total chaos. Yeah. I always think about that navy seal guy that actually on a boat as it was bobbing up and down shot that dude with a headshot. It's incredible. It's his boat was bobbing up and down. What you call good marksmanship. If I used a mag 300, apparently the guy dropped that deer with it was what? The seal team. Some of the seal teams and I produce. That was a sick gun. The gun was pretty awesome. It was really accurate. You, you shot really well till you dropped your deer at what? Two hundred yards and then they said it was a great shot. It was a, it's hard to stay calm, but like I said, I'm so used to doing things when I'm nervous.

Speaker 3:          01:12:39       I think it helped me to like knowing how to stay calm once I went, once I remembered to just control my breathing and just focus on my trigger finger. It was everything stopped. It's so easy to say, but it's so hard to get a calm, relaxing because you're, you're also trying to calm yourself down with a breath to begin with usually in seconds because it's fucking thing is not going to stay still. It's not because things moving so as it's trying to be on your belly and you know he had quills in your fucking leg. Steven Nyla blue, a little horn that like, it sounds like a fun, like, like a little thing and the deer won't like this and then boom, he just shot him. Yeah, it's fucked up man. The whole process of it was fascinating. Then eating it that night. Well, you had gotten a deer and I was so worried I wasn't going to get a deer and then I was like, we're going for a buck, and then I found out we could actually shoot bucks her dose and and he turns out and he goes, do you want to shoot a doe?

Speaker 3:          01:13:30       I go, fuck, yeah, I want to shoot. I'll shoot out a. that's a big issue for a lot of people are gonna shoot a girl. Well, you know what else is interesting about where we were hunting as they were talking about the huge winter kills. Most of those mule dealer don't make it through the winter cold more than predators. Although we did find some mountain line shits. We found some big fat, thick shit feeling filled with hair. Really? Yeah. Yeah. He was like, man, he goes out to either one hell of a coyote or a mountain lion. It goes most likely amount line. It's pretty big piece of shit. Wow. Big Fat Mountain Lion Asshole was as big as the shift that you took of me. Uh, no. Was different than your shit. It was more like Midi. Yeah, they don't have any fucking vegetables or oatmeal in there.

Speaker 3:          01:14:16       Yeah, that's true. I took a photo of Brian Shit and we played a flag. He made a tin foil flag, posted planet it next to my shit, but I did this. I did a launch and presented it to him and he took a picture. Hey Buddy. Well I was gonna say on twitter that Brian took the shit off the Missouri River and we put a flag next to it. If you can go find it, I'll give you a thousand dollars. And I was going to have a twitter contest to find brands shit. But you have to use these, these waste bags. You can't just leave your shit laying around on the Missouri River. It's foul. You have to dig it up and put it in these waste bags or shit in the bag itself. And the bag has like some powdered chemical in it that kills the smell and use zip it up and seal it.

Speaker 3:          01:14:59       So we had to essentially carry five days worth of shits with us. The whole thing was, is living like that was really fascinating. And Man, when we got back to that hotel room on the fifth day, we, we, we, uh, we, we landed our boats. We traveled like 40 something miles by canoe and you know, everyday it was like six miles hiking. And when we got back stunk, stunk, terrible. But when I got in that shower, oh my God, I was so appreciative. We had a great meal with the wine. It was great. What was the name of that place we went to? I think, what was it called? It's really good. It was Walter. Walter's. No walkers, walkers. Really Nice people too. Great play built, built like billings. Montana is like, surprisingly like diverse. We saw a black guy there, a couple of black guys saw several gay general, a lot of gay jumping at the, uh, who are sitting at our table in fact at one point and sound more working at a as waiters.

Speaker 3:          01:15:54       And I felt at home I was like this, it looks like la or New York. It was a gay guy. Was swabbing gossip with me. It was awesome. It was telling him, Oh yes, he was telling me about this one and that one, and then there was the guy that we met that had a stroke because he did too much math. I remember him, handsome guy, but he just had a stroke. Fucking meth is bad. Folks never did math and went, you know, when everything worked out, I feel that this dude got a stroke from Matthew was 23 years old. He had a fucking meth stroke. Like whoa. So he's a, he's a recovering from that. But, but like the kitchen is like, you know, they were all like hipsters working there. The chef at this big knife tattoo on his forearm, you know, it's like, it's really interesting.

Speaker 3:          01:16:32       Like you're here, you are in this what used to be thought of as a cow town, like a classic cowtown in billings, Montana. But in fact it's like really kind of a cool town. A lot of cool and interesting Peter, a lot of gems, hidden gems like that in this country. A Columbia, Missouri is just an unbelievable little town. Ann Arbor, Michigan, Ann Arbor in our base thing, it's called a comedy showcase. I am doing helium this weekend, Friday, Saturday, helium, and is one of the all time great clubs really is. Com. Get your tickets. Helium, comedy.com. Just go to Brian's twitter. You got plenty of twitter. I'm putting it up, but you don't have it up yet and you're there this weekend. Should have you son of a bitch tweeting right now. I'll put it out. We'll put it up after the show. I'll do it for you. Have you done Gotham in New York?

Speaker 3:          01:17:20       I'll be out on Gotham weekend. Yeah, I used to do that. All the is my boy. I mean Chris, uh, Chris, uh, Ms Dot Lee. Who owns it? Yeah. Gotham is a great club. It's another one of the best clubs. Took one of the best clubs. I think my favorite place to play in New York. I used to do caroline's when I came into town, but caroline's has that stage. It's so small. I'm actually hosting on Thursday the 15th I'm hosting got live at Gotham, which they're shooting again. Oh yeah, that'll be fine. Then I then I have my own. I did that once and doing two shows Friday on the 16th of shows, Saturday on the 17th of November. So come by Gotham comedy club. Definitely. It was fun. I did. Yeah, you did it. In fact, I was with you when you. I wasn't even doing standup and you got up and did a sat there a long time ago.

Speaker 3:          01:18:03       Yeah, he killed it. It was me and patty. We watched you and a profit patty, powerful batteries and you should get her on that podcast. She's fucking. Would love to talk about the afterlife on my podcast. She was so fucking good. Patty's Patty's Brian's a ex girlfriend who's also a brilliant director. Just a fascinating trip. She is so rare because she's very. She's so very dude. Like, like when you're having conversations with her, like yeah, she's very dude. Like, like what she was describing to me like, like situations, like actress breakdowns and craziness and you know, her, the kind of stuff that she has to manage being a director. Like sometimes it's like babysitting, you know, like we always hear like Kevin pollock was on Opie and Anthony yesterday and was talking about some instances he had on a set with Michael Clarke Duncan being a diva and he told the whole story about it and even after the guy was dead, you know, but it's like they all have these fucking stories.

Speaker 3:          01:18:58       Like every director, every person who works a set, they all have these nutty stories of some. David just told me that he interviewed me on his podcast. Lorenzo Lamas, by the way, I just did dove on my podcast, a unmanned thoughts, which I'm posting today. You guys might of like how he talks. He went to a psychiatrist of and you know what the psychiatrist said after 20 minutes. He goes, ah, I see what's going on here. He goes, what? He goes, you actually don't think you have a right to be born. I mean, you don't, you don't think you have a right to exist. Is that how you feel? That was like, yeah, that's exactly how I feel. Yeah. Yeah. Really? Yeah. We talked about it in a fucking podcast. Davidoff doesn't feel like he should have the right to, you know, how he grew up at the very.

Speaker 3:          01:19:38       It's, it's his fucking life. I mean, Renee Zellweger starring and directing the movie of his life. She's playing, just playing the girl that likes him. Love Him. She's playing dumb. Imagine if johnny, Johnny, Knoxville is playing Doug Davidoff wow. And a story about his life. That's a fascinating. Yeah. I'm, I'm posting the fucking, uh, the podcast today. Dove a dove, right? Like all the dialogue and everything. So it's all. Or as he, he, he, it was initially his thing and he can't. And I put them together with Anthony Tan back is my buddy wrote warrior and then he was saying, hey, anthony is such a bad ass writer mean he fucking every drafted come up with. You'd be like, how the fuck do you write? This warrior was a strange movie because it didn't get the attention that I thought it deserved. I saw them moving. I was like, wow, that's going to be a, that's going to be a big hit movie.

Speaker 3:          01:20:25       The only problem with that movie was the two day fighting thing. They, they fought two days in a row. I was like, man, I felt like he could have got around that, you know, like had everything up to that. I mean it was really, there was some cliched topics and cliched angles, but it was done so fucking. Well. Everybody from Nick naulty down to the two brothers. I mean, it was really done well. It was a great fucking movie. I enjoyed the shit out of it, man. And my wife enjoyed it. She doesn't really like even like tested higher with women than it did with men. It's good. Fucking movie was good fucking movie, but for whatever reason it just disappeared. Like I didn't get it. I was, I was confused. There's a lot of times that happens man, where a movie like this will just slip through. And a movie like that too. It was so epic and so much was put into it and I made $6,000,000 or something until the weekend. It's just such a heartbreak, you know? It's too bad I don't get it. I would have, I would've thought that movie would have taken off. Maybe it's just people were just like, Whoa, we got a problem. Brian. The thing just popped. Really launched as the headphone Jack. I think it is actually. That's what it really. Brian, how do you know?

