Speaker 1:          00:00:00       Mm,
Speaker 2:          00:45:12       Not only that, it stops me from running for president. Don't. And if they can discredit me, do you want to run for president? I thought about it. Even living in Mexico from Mexico would have had to forsaken that. That's why I didn't do it. They know the, uh, the reason why you didn't run for president because you had to have forsaken live in New Mexico. Now I might fucking when I know I, I think I could have one. No. The Libertarians contacted me twice to come to their convention. They wanted to nominate tessie, come back to America. Com. Ken and I chose not to do it because I was up for the campaigning. I was up to taking on, taking on the damage and repubs, but at this point, at age 65, I wasn't up to do the job for four years where I'd have to it and my lifestyle and Mexico because people don't realize when you take, when you get one of them jobs like president or governor, your freedom leaves that day.

Speaker 2:          00:46:06       You don't have freedom. You're 24 slash seven, your body at 24 slash seven every day. You have no freedom whatsoever. I couldn't go in 100 percent on that and I felt that if I, if I to go for president, you have to be 100 percent committed to do the job. If you're not, you're cheating yourself and you're cheating all the people that voted for you. If you're not 100 percent committed, I could not reach 100 percent. So I chose not to. So is this because of your own personal feelings about living in Mexico and having freedom and relaxation and enjoying the quality of life and also I knew what would happen to me if I looked like I was going to win, I would be politically assassinated. They would pull up everything they could on me. You know, one of the things they missed, which I laugh about today when I ran for governor, they never found it out and I've admitted it so it'll show up now, but they never found out because I'm sure they would have tried to use it even though it's irrelevant. If I'd had gone for president, they would have, you know what that is, but I used to be sergeant at arms of the Mongols Motorcycle Club. Really? What does that mean? Let's sergeant at arms. He just the guy third in command, the Mongols or I've watched some fucking, one of those really terrible news shows where they do

Speaker 3:          00:47:30       reenactments of. Well, the Mongols are strong here in southern California where the black and white. We're the ones that fought war with the hell. What's the black and white? That's our colors. Oh, okay. The angels are red and white. The Mongols are black and white guys have shootouts with the angels occasionally. Do you have one of those jackets worthy? Worthy? Yeah. I have that at home. No. I was an officer so I was allowed to keep mine. So what does that mean? Like what did you guys do at that time? It was 1973. I rode harleys and I was still in the navy. I used to leave the base and put my colors on the went like sergeant at arms. What does that mean? You had to carry guns? No. Sergeant. And you got the president of the chapter. You got the vice president. Third is the sergeant at arms, fourth is the secretary is very militaristic.

Speaker 3:          00:48:20       Nobody wants to be the secretary. Yeah, you do. That mentioned officer job, you know, but you keep track of all the money and stuff. Well, what the fuck the do like do you just drive around bikes and party? But why do you need all that, uh, those rankings and file and because there, because it's a club, it's. No, it's, it's like, uh, the, the elks, they have presidents of the elks club, they have presidents of whatever other stuff there is at the elks club. Doesn't get any gang wars with the Moose Club. Well, you never know. You never know. They might have or know a turf war could happen in the navy and the army, like the elks and the Moose Club. And in my day a lot of the outlaw bikers were former military. Yes. And that was a big thing with the hell's angels because you can haul coming back, you had your camaraderie, Brotherhood if you wanted.

Speaker 3:          00:49:10       I did. Felt disenfranchised. Right? I did it more for the adventure I was getting out of the seals. I'd done two tours, a 17 months in southeast Asia. I was going to transition into private life. I was riding a Harley, my two buddies that I'd written with a year earlier. We're now full patch Mongols when I came back from my second deployment. Let me, let me pretend to be a douchebag politician running against you here. Yeah. I would say are you really prepared to have a former sergeant of arms from the Mongols Motorcycle club running the United States of America? I don't think so. Ladies and gentlemen. And I would counter that and say nobody messes with the Mongols. Nobody will mess with the US. Wow. That's, um, that's. People didn't mess with the Mongols though. And you don't really know that I would have to help you. Let's not do that. No, they don't.

Speaker 3:          00:50:05       They do mess with the Mongols, right? Don't they have warrants something if those guys have, don't they shoot it out and like Texas steak houses and Shit, didn't they have flexible hours? Which ours was Harrah's nightclub and uh, in, uh, Nevada law. That was. Yeah. When was that? That was back in. Oh yeah. But there was a big one a couple of years ago. Right? Not with, not with, with the Mongols. With us, you're saying, oh, so you're still with them? Huh? They're like a marine. You're a marine for life, that kind of thing. You got a card on you. What are you just going to pull out his God damn on gold card. I don't believe this. When he got in there, it's got a wallet. He's going to pull out a Mongo card. Let's see. Right. Next is Disneyland Year Pass. Oh, let me see here. I've got to. Got to Disneyland. I got to find it. No, cause I tuck it away. No, I actually. You have a Mongo card? I would think that you would need a tattoo. I would say. Listen Bitch, if you really want to be down for life, we're going to get. Get a tattoo. I already have a tattoo of the Mongols. No, what is it like a UDP tattoos? I have to try. The Budweiser Tried Trident and uh,

Speaker 3:          00:51:13       you try and find your Mongo card. How many of those cards you actually heard mine look at that. And there's the card from Geo. The Hollywood press gave me his last time I saw on Bam. Motherfuckers legit, too legit to quit. That's hilarious. That is hilarious. And My name was, I dunno. What was your name? Find it on there. You never go by your real name? Superman. Superman. Super. Why did they call you superman?

Speaker 2:          00:51:42       Because I was in such a physical specimen that when I was prospecting, they make you do pushups and stuff and I liked it. Oh, so this is back in the Jesse before the Jesse. The body Ventura, yeah. This was back when I was transitioning out of the shields into civilian life and in fact if there's a good transition I can tell you about that shows how a book should do due diligence before they write something. There was a book written by William Queen and atf agent who infiltrated the Mongols. It's called under in the loan and he infiltrated them and put like 25 of them in prison. Well, in the book they wrote that I was a former Mongol governor, Jesse Ventura, Blahblahblahblahblah Blah. Right, right. You know what they did before the book was published, a sent me an entire copy of the book. They should. Governor, please read this and if you have any problems, call us.

Speaker 2:          00:52:38       Show. I read the book. I didn't hide from the fact that I was in the Mongols. I never do a. But I did want them to change something and they did. When I called them, I said, you stated the history of the Mongols that we started off like all white supremist outlaw motorcycle clubs. I said, I would never join anything that was white supremist. I said to me, a biker is a lifestyle and the color of your skin has nothing to do with it. And I said, and the Mongols were not white supremacy. And she said to me, well, governor, how can you prove that? I started laughing. I said, I think I can prove it easily. She goes, tell me their stay editor at random house. I said, at what time did Mexicans become white supremacy? Because I said the Mongols are 75 percent Latino, Mexican.

Speaker 2:          00:53:30       I was one of the few white guys who could ride into east la and never be bothered because of my patch. Uh, so how can you call us what the Mongols started? Because they weren't, Mexicans weren't allowed in the hell's angels. See, I sold like this. So the Mongols were the Mexican bikers started their own bike club because they weren't allowed to be angels. Will they allow white guys? But how did they miss that in writing the book? That seems stupid that it's any better, but that seems like a giant error. It was. That's why I had them pull out white supremacy. I said, and she started laughing when I said, well, I've never met a Mexican white supremacy, have you? She said, no, I haven't either. I said, well, we're 75 percent Latino Mexican. She goes, really? I said yes. And I gave her the history.

Speaker 2:          00:54:25       The Mongols started because the hell's angels wouldn't allow Mexicans. That's hilarious. And that's how the Mongols got started in 1970 because they're 75 percent Latino Mexican, but they didn't have the same. You could be white, you know, I was a minority in the Mongols to know. Was there crime involved in the Mongols? I don't know, doing it, like I told them I was still in the navy and they used to protect me whenever we'd have church, trash churches meeting, they call it church and whenever we'd have church, uh, if it got to anything that was at all illegal, my pres would send me out to watch the bikes. That's fucking weird. Well, they knew. No, they knew I was in the military. Yeah, I finished. Doubles are too, you know, because I'd faced double. I'd face military justice as well as civilian. A lot of these guys are old military. They did it to protect me. I appreciate that. But didn't feel bizarre to you to be a part of a group that was probably doing some illegal shit. No, because I thought at least I won't go to jail.

Speaker 2:          00:55:32       Not Me, because I don't know nothing about it and he didn't care. You love them no matter what I loved riding are. You should see what I'd get pulled over. We get pulled over by the CHP, California highway patrol back then and I'd pull out my active duty military id and they'd look at me. And what are you doing with these guys? I said they liked to ride bikes. So do I can't just ride a bike by herself? No. No, because cars have no respect for you. So you're right by your writing. If you're riding and looking like you showed what they're up on the screen a little while ago, you think the cars are going to bother you? They're going to get the fuck out of your way. It's right. Oh, that's interesting. Well wow. And d still put on jackets and still get on the Harley.

Speaker 2:          00:56:16       Yeah, except the Aina. Harley. What do you ride now? I ride a custom chopper that I had built and it turned out there's not one harley thing on it. I have an ss one slash 24 engine, which is bigger than anything. Harley's got v twin by ss out and Viola Wisconsin. Uh, I, I have an ss 1:24 cubic inches. The biggest Harley I think is 102 CD drive. This around Mexico? No, I drive it in Minnesota and uh, and I have a, it's a rolling thunder frame. Arlen ness, front end and primary cover, a ref tech, a six speed transmission, curiosity and gears. It turned out when I built the whole chopper in the end, there wasn't one thing Harley on it. Is that good? I don't know. It's all custom made notes. I put the old sissy bar that goes way up. I made a. I made a custom bike to these things.

Speaker 2:          00:57:10       The APE hangers. You do that? Yeah. I got the. A pen or some others? No, mine aren't that high miner about right here. Right here. Seems logical. Yeah. That seems logical. These guys know I don't go that high, but I haven't extended front end. Why did they do that though? With the up up high handlebars be cool, but you can't steer. It doesn't matter. It does. It does. If you have to get that thing to an outline, not to us. And through us, it's all about man, Mr. No, it's all about being cool. I get it. But you're a bunch of things like sissy bars, you don't have them today. The guys who built the bike didn't even know what they were. What's the sissy bar? That's the bar that sticks up high in the back. Oh, okay. Well yeah, that's. They call it. So you don't slide off the seats.

Speaker 2:          00:57:56       But she to me, I don't like saddlebags shore Sushi bars. The replacement. I'm going to bungee anything I need to take with me on the Sissy Bar, like the sleeping bag and anything else. You're taking a bungee it to the sissy bar for when you drive down the road because I don't dig saddlebags. So you'll drive down the road to go camping somewhere? No, I wrote, actually I rode when I got out of office. I wrote all over Minnesota fly in my colors and no one even recognize me. You know why? Why I went to a place I had a full beard after I taught at Harvard and so Johnny Depp had come out and in Captain Jack Sparrow. So I went to a place with a pitcher and I says, can you make my beard look like that? And they go, sure. So they braided my preamble when you were doing that.

Speaker 2:          00:58:39       All the braids, right. But then they talked me into letting me put dreadlocks. They sold them into my hair and they dyed my hair jet black. I had dreadlocks to hear the thing like that. I rode one year after I was out of office, I drove all over Minnesota with dreadlocks to my shoulders. The beard, no helmet because we don't have a helmet. Law and people were locking their doors. I had my Mongo colors on and here I'm the governor. It was great. Never recognized as so never recovered because I had dreadlocks. They gave me all the way to the shoulders. Now why are you riding around with no helmet on? Why? Because you don't have to in Minnesota. Yeah, but why wouldn't you want to protect your head? Ah, I don't like helmets. I don't think they should be mandatory. I think something far more.

Speaker 2:          00:59:27       You know what? I laugh at what? When you see someone wearing a helmet and riding a bike with tennis shoes, it's far more important to have over the ankle boots as a biker than a helmet wise that you feet touched the ground. What's the. What's going to stable you? If you start sliding out your foot, right? You don't want tennis shoes. You want an over the ankle laced up boots, so your boot or something dump. You'll be able to protect your head. I don't know, but I. it's a choice of freedom, but what about when a little skullcap jammies that go like a hat? What if? What if my head starts itching? Tasers. Christ. Scratch it. No, you got to rub the helmet. That's why when you see a biker rubbing his helmet, it's because his head's itch and what? We'll just look at me, put it to worry about an itch.

Speaker 2:          01:00:15       Wait, I'll accept helmets on motorcycles when they make people in convertibles that don't have roll bars. Have to wear them. I have a convertible. It doesn't have a robot. Then you should have to wear a helmet. It's good point. What if you roll that car and you don't have a helmet on? It's a very good point. There you go. I think about skills. So the day that you got to have a roll bar is the day I'll put the helmet. All right buddy. Relax. And I can't wait to see these women in Beverly Hills with their convertible Mercedes having to put helmets on. Well those actually have roll bars built in. They pop up on one wheel, goes off the ground. And if you know about that. German engineering. Yeah, they're very. They're on the ball. Well I owned Porsche portion on Abbott. What do you mean portia doesn't have it?

Speaker 2:          01:00:58       What year? I got a 2000 and a 2003. You. So you have a nine, nine, six? No, I. well I have a, I have a boxster s and I have the twin turbo. Okay. Well that should have that built in. It should have it. So when I'm a hard worker, I'm a hard top though. I'm a boxster. Know the twin turbos a hard top. Yeah. Right. Okay. That doesn't have a roll bar. Yeah. But you, you have a voxster Yep. The boxer, she'd have something. It has something. Yeah. Because anything. I think anything past the nineties that's a convertible has some sort of a built in Rollbar or some sort of report or seen it? Yeah. Well you haven't flipped it, but the new ones that I'm getting rid of, both of them. I'm buying a tesla. Oh, you're getting crazy. Go into Tesla. Test drove a tesla.

Speaker 2:          01:01:43       It's unbelievable. Oh, they're amazing. Oh yeah. I and I want to feel young. It's a computer driven car. No gas. That makes you feel young. Yeah, because I grew up in the sixties with all the muscle cars and I never dreamed there'd be electric cars that can beat any combustible engine out there off the line because the Tesla can beat anything. Pretty much. Yeah. My, my twin turbo professionally driven will do zero to 60 in two nine. The Tesla does it into six unprofessionally driven. Yeah. No, they're ridiculous. Ridiculously fast. Yeah. It's called, you know what they call? It's called the ludicrous option. Took it right out of spaceballs. Yeah. Ludicrous. The guy's got a sense of humor. He definitely does the ludicrous option, but no, I and see I'm going to do my house in Minnesota, totally solar and I'm going to do it to where it's 105 percent so that way I can also feel my car's up off the sun so I will be completely off any type in my home or my cars will all be powered in Mexico and Minnesota by the sun.

Speaker 2:          01:02:48       That's excluding my cars. That's awesome. As long as you don't have to go on a big road trip, they now have it. It's all computerized to where you can show where you can charge up again and they're getting 300 miles now to recharge and you know, what else is great about the Tesla? Well, it depends how you drive. You know, what else is great. Is there a warranty? Eight years, unlimited mileage, and in that eight year period, any improvements made to the car. You get free upgrades like digital upgrades, anything that's amazing for eight years, so eight. You could own the Tesla for eight years and some doing an ad for them. You could own a Tesla for eight years and the car you own eight years from now will be identical to whatever they're selling new. Yeah. I drove one for a day. There's a a. What does that fucking company called?

Speaker 2:          01:03:33       Skirt? Yeah. There's a company called skirt and they. It's like a uber for rentals. They deliver a rental. You drive for a day or what? As long as you need it, and my issue was at the battery. Just ran out way too quick for me for what I do. I just do too many. For me. It ain't because I live in Minnesota and I never drive over 100 miles in a day. Right. Golf course and that far right. I get it. I know for me in my lab, 65 now, I don't need to be trapped. I've never. Do you know something that'll shock you? I've never owned a cell phone and I never will. I was going to text you. I, you can't. I don't have a cell phone. I've never given. You don't have a cell phone for what? I like talking to people. Are you kidding?

Speaker 2:          01:04:14       I was out in New York, I was out in New York doing this book tour and I forget I was at serious and we were in the green room and there were 10 people in that green room. Nine of the 10 sat there the whole time doing things with a phone. Right. I was the only one who sat and looked around the room and watched nine other people zeroed in on a screen, which if you count TV and that what we spending 16 hours a day now looking at screens, I believe in evolution. What's that going to lead to? It's going to lead to some strange times for sure. But a strange people to. But wouldn't you rather just have it and have the discipline and not use it? No. No, just fiber one. I never took typing. So if I'm going to send anything it'll take me too long.

Speaker 2:          01:05:03       The thumbs when I taught, when I taught at Harvard, uh, I actually sent my only email there to a student because on email he will always lie. Ended up, I send a couple, but they actually taught me how to use computer while I was teaching at Harvard in my office and I actually students would want to talk to me so I'd have to line up a schedule and I actually, I sent an email to a student or I told them, this is the first email Jesse Ventura's ever sent in his life. Do with it as you see fit? I'll Betcha the students still got it. Knowing that I have the first email. Jesse Ventura ever sand. That's when I left Harvard. There went the computer. I haven't done it since. I don't have a computer. My wife does. Wow. She does all that. I don't. So that's probably one of the main reasons why this whole Chris Kyle thing blew up.

Speaker 2:          01:05:57       And you had no idea about it. I was in Mexico. In Mexico. You don't have any internet? No. I have Internet there. Yeah, that's how I learned. My son sent me an email telling me about what happened. So you had an email? Yeah, and I have skype so I had to end up getting through that satellite. I had to get my attorney to file the lawsuit immediately to stop him from from this story, but he. They continued promoting it for another six months. In fact, you know how bad the book company did. Harper Collins, who's the same company that owns Fox News, they're all under the same umbrella. Harper Collins, if you would have typed my name and on the Internet, would have immediately sent you to the Chris Kyle Story. They did that to sell more books. Wow. See the conspiracy that I went against in this deal. Now I got to go through it again.

Speaker 2:          01:06:47       Well, it's so long ago. It's so crazy that it's still going on. I mean, this is 2012, right? Yeah. It happened in 2012 and it's now 2016. It's over four years. It'll be. It'll be five years in January. How do you stay calm and all this does. Is it this stress lessened at all or no? What are the consequences for you? If you lose a financially it's cost me over a million dollars. Jesus. No one's while I'm the plaintiff. No one pays for me. It's cost me over a million dollars for years of attorney fees and the courts and everything that's gone with it. It's cost me a million dollars to clear my name. Now. If I had done this, why would I do that? Never happened. Why would I spend a million dollars in court clearing my name has over time when more information has come out about the other things that he said that turned out to not be true.

Speaker 2:          01:07:45       Has Public opinion started to shift towards your way? It has now. Someone has to somewhat, but you still have these people who will accost me in hotels had happened in Mexico to what happened when a person came up to me in a hotel lobby and read me off and what do you say? I say, but I didn't do it and all I'm doing is seeking the truth. You don't want to leave. They don't keep it going after the family says that, yeah, they think I'm going after the family, which the family isn't going to lose a nickel. It's a big insurance that I'm fighting hired. Anybody knows this, this read a Britain a book, because in your contract it states if any lawsuits come of this nature, the publisher will handle it. Right? The publisher handles it, but there is there any consequences to the family where they don't profit as much because of the fact there's a lawsuit.

Speaker 2:          01:08:34       The lawsuit cuts back in the profits for the book and the movie? No, because the insurance company will pay the whole lawsuit. It seems to me where they hire and they hire them before the books ever even written errors and omissions, right? Yeah. What? Yeah, and show no, it won't affect an anything in the lawsuit itself won't effect the popularity of the book unless unless they find out he was a liar and don't choose to read his book because I've never read his book. Why would I? He wrote a lie about me. How could I believe anything else in it?

Speaker 2:          01:09:09       What a terrible position to be in. Oh yeah. Especially when you're innocent, not just innocent, but you are either respected celebrity in his sixties in this happens. This is. It's kind of a crazy feeling. Yeah. Especially when you didn't do nothing. What else could you have done? I mean, it's almost like you have to go to court over this. I had to. It was such an iconic movie and such an iconic thing. Have you ever talked to Bradley Cooper? No, I don't hold nothing against him. Of course he shouldn't have hector doing a job. Now you know my friend directed at Clint Eastwood. He's a friend of mine in Christ. And what did you talk to clint? No, Jesus. No. The whole thing is so fucked up. It's just so crazy that you sat across the table from this guy and he tells you he did it.

Speaker 2:          01:09:58       He tells you I did punch you. Yeah. And I know he didn't and I know he didn't have the courage to face up to the truth or, or mental capability of him. Wouldn't let him. I don't know what it was. Something wrong. Something wrong. Some fuse blown. So I don't know. I don't know. But why would you take one of your own and throw them under the bus? Would be like me doing it to a World War II guy. Just fucking crazy, you know, and especially I like to tell people, you know, remember us Vietnam veterans, we weren't cheered. We got blamed for the war in which is a big part of what the hell's angels was all about. Trying to find comradery in another group, but we got blamed. The politicians blamed us for the war and the public sentiment here in that country. At that time we were baby killers. We were all these horrible vial you guys got spit on when they came home and it was the first time in history in the United States history that veterans came back and were treated that way. Whereas every guy will tell you this for 10 years I didn't even acknowledge I was a Vietnam vet.

Speaker 5:          01:11:02       Wow.

Speaker 2:          01:11:05       Because you didn't even acknowledge it. No one wanted to know you were. Nobody said, welcome home to you. Nobody. Thank you. These IRAC guys, they get parades for them.

Speaker 4:          01:11:17       So interesting because it seems like in that sense they got that right. At least at least. It's not like the way the Vietnam veterans were treated, but this, this fucking story just doesn't sit right with me. It's just horrible. It's so uncomfortable. It's so uncomfortable because how would you like to have lived it for five years like I have, I couldn't imagine, but what's so uncomfortable about it is that I feel like the sentiment behind the movie and the public's perception of the movie and the public's, the public's love and gratitude towards him and the rest of the military was to me like a a, an amazing moment in a lot of ways. It's like people. People wanted to let me get.

Speaker 2:          01:12:02       Let me, let me give you a different perspective for a moment. [inaudible]. I talked about this on my internet show. Who's more powerful? God or government? A government. You want to know why? Yeah, well, God says something very simple. Thous shalt not kill. There's no asterisks by it. There's no except for this reason or that reason. It's simple. Thou shalt not kill, but yet you can kill at the behest of government and it's okay. Yeah, it's super complicated. Okay, wait, and if and if you kill a bunch of people at the behest of government, they make you a hero. Yet God says, thou shalt not kill you. Had a fight, kill a lot of people for the government. I'm a hero. How can that be? How could there be a double standard like that that swallowed shows completely that governments more powerful than God because government allows you to kill when God says you can't and government rewards you for it and make gives you hero status for it and God doesn't do anything about it.

Speaker 4:          01:13:14       It is pretty complicated thinking when God is a big part of the military. I mean when the nine slash 11 happened, when the nine slash 11 attacks happened and George Bush on television said that God is with the troops.

Speaker 2:          01:13:29       I mean the worst thing I ever heard him say when he was trumping up the Iraq war, I'll never forget it because I opposed the Iraq war before it even app. I said, this is ridiculous. Iraq and have nothing to do with nine slash 11. Why are we invading Iraq? Well, I'll never forget bushes. Press conference where he walked out and announced that he was sending in our military. We're going to attack Iraq and he was getting ready to leave the stage and a final reporter asked him, Mr President, did you consult your father? Meaning Bush senior because you know Bush Sr had that Kuwait Iraq thing happened during his watch and I'll never. George Bush turning around to the press and the American people smiling and going, no, I consulted a higher father. I was sitting in my chair at home and almost fell out of it. I said, this guy wants me to believe that he talked to God and God told him to invade Iraq.

Speaker 2:          01:14:34       You're saying you consulted a higher higher father. It's like going up to a rock and in Iraq what you should do with your life, like you're not getting any answers, but excuse me, and then I said, I've been on the earth as long as this guy. I'm twice the man George Bushes and God ain't never said a word to me in my entire existence. Yet this guy wants me to believe God talks to him. Yeah. They just let that go and just say, just talk to me. Just let that slide. He consulted God. He consulted a higher father there, be right back, so in other words, she, he wants us to believe that his invasion of Iraq had God's blessing and all the people of this country, except that it's one of those convenient acknowledgements and Jesse Ventura can say it because I've come out of the closet.

Speaker 2:          01:15:23       You've come out of the closet for what? I'm an atheist. You're an atheist in that you don't believe I don't believe in higher. No, ain't selling me on that. Do you tell the possibility of something happening when you die? No. You don't know if he die. You just go dark. I don't know if that's a wrap. That's a wrap. Hmm. There's no proof. Right. Then anything else happens. It's just definitely need proof just to belief to me, I don't believe it because like I said, I've been on the planet 65 years now in God's never spoke to me. Now if I'm wrong, people said, well, what if you're wrong? I'll say, well, God made me with a brain to think did me. He's going to condemn me because I used it.

Speaker 2:          01:16:15       Well, religion in a sense, it's pretty ridiculous. The idea that God came to people a long fucking time ago when the books and you told everybody about the world. Have you heard about water? Everybody just pass it down. You know about horror? Sure. Well, horace was an Egyptian God who has the identical same bio is Jesus only predates and buy a couple hundred years. So who's the real one? They did this. They were both born of a virgin. They both walked on water. Allegedly, they both healed the sick. They both were crucified and buried. Rose again from the dead. Jesus did it. And so did horace. What is a ton of parallels throughout history and that's my point. That's why I'm not a believer. Well, I'm not opposed either. Interesting that ancient people said about be communicating with higher powers and passing down laws that must be without a doubt followed and some of them are ridiculous. You can't wear the same tie back.

Speaker 3:          01:17:10       Two different types of cloth. I mean, you can be put to death for wearing two different types of cloth. Mean, I don't know if people know that. There's a lot of really fucking goofy ones. What about the story of who is the gentleman in the Bible where he was bald and two children mocked him for his baldness, so a God sent to bears to attack the kids and more of them and killed them. That's in the Bible. Old Testament stuff. Yeah. Make Fun of a bald guy like you and me and a fucking bear comes and kills kids. What are your rights? What do you find these barriers? I'd like to recommend is that I've been made fun of enough. Could I have a couple of attack bears? Then the next day, the biggest fund, the most ridiculous thing to say and to put that in the Bible, like the fact that two kids can make fun of you being bald and so God punishes those kids by having a fucking bear attack them. How about it doesn't bother you if you bald like, well, a lot of a pussy. Are you taunting you? How about the fact that they tell you that the world's only 5,000 years old? I think it's 10 or 10, whatever, five, 10, whatever the hell it is. I don't keep track of it, but I mean how ridiculous is that? Well, they've done it very scientifically than counted up all the ages of all the people in the Bible. So I don't know how you are arguing with this.

Speaker 3:          01:18:26       They're very accurate book. It's hilarious to that. They'll say, well, that's old testament. You don't follow the Old Testament. Oh, so you want to follow the book that was written by Constantine and a bunch of fucking bishops. Not only that constant team wasn't even a Christian until he was on his deathbed. Constantine converted when he was at dying old man. He wasn't a Christian through his entire shoulders. Hope for Jesse. Hope for. I'll just follow Constantine when I get to the dying bad. If I find out there's God, I'll just see the light is hedge your bets. Look, if there's no, it's like a liquid Danville's. Arian would say you can't lose in this bet because if you're wrong and there is no god, like if you. If you get to the deathbed and you convert to Christianity and you're wrong, and there is no god, it doesn't matter anyway.

Speaker 3:          01:19:15       It's all just darkness, right? You just go blank. But it kind of. Right. You know, it's kind of like the Republicans and the Democrats. It's Kinda like you filing your taxes January 28th. No, his slip in a couple of days. It's like the Republicans and the Democrats was that. Well, they vape. When you go to their conventions, the lobbyists 10 both and they pay off both sides show it doesn't matter who wins the presidency. They've already. It'd be the equivalent of betting on the superbowl. If you bet on both teams, you don't lose, do you? Well, that's, that's what the lobbyists do. They bet on both teams. So whether Hillary or trump wins, they got their base covered. It don't matter to them. They've already paid them off. The only thing that really changes whether it's right to left, is the the aspects

Speaker 2:          01:20:08       of society that are affected by the social changes. Like Obama was much more lenient towards gay marriage, towards a lot of social issues, but he was much more strict on putting us under more surveillance, which is a social issue. Yes. Uh, so it, it plays out the same way. He may have been lenient on certain social things and then more people are now in jail and look what he does to whistle blow as far as. Yeah, I was going to bring destroys them and show everybody that syncs. Obama is kinder to the people on social. Not really. It seems like it on, on the surface when you look at his demeanor and the way he carries himself, but then when you look at the actual actions ventral. Yes. Well he's the most presidential president we've had, and I'll say this, he's the most dynamic speaker since Jack Kennedy.

Speaker 2:          01:21:00       See, I don't think he's that dynamic more. I think Obama, I think he's kind of beaten down by time. Nobody's eight years in now and you've heard of long enough. But he is the most dynamic speaker since guy, but he's not. The actions don't back the words the words before he ran, when he was running for office, I was like, Holy Shit, this is the guy. This is the guy, and the same thing's gonna happen with Hillary. All the women out there that think, oh, we're going to get our first female president. Yes, you're going to get them, but it ain't gonna be nothing different and you're going to get the same government completely because Hillary's a globalist. She supports all the global initiatives. She's also for war. The finger troubles me when they attack trump, and I'm not a trump supporter, but hillary, they claim Hillary as the experience.

Speaker 2:          01:21:51       Well, let's look at it. When she was a senator, the most important vote she took was to vote in the affirmative to invade Iraq. She now admits that was her biggest mistake. Excuse me, Madam Clinton. That was the most important vote and you blew it. Now you're going to have your finger on the button. What happens if you make the same mistake that you made with the war on Iraq, which you now admit was the worst vote you took as a senator? Approving the Iraq war and yet she took it, didn't she? She voted to the affirmative. Let's go to war with Iraq. Yeah. It's very troubling. The momentum of influence of all these lobbyists and special interest groups and all the money that's behind her. All the bankers, all the different people that are paying her for these $250,000 an hour speeches. At what point in time do you gather up enough money where this doesn't make sense anymore when we start thinking about your children and your children's children in the future of the world, or do you think that she thinks she's doing the right thing?

Speaker 2:          01:22:55       She thinks she's doing the right thing. That's the system that that's the system you have to play within the system. The system they've created, the Democrats and Republicans is a system based upon the concept of bribery. Now, if you do bribery in the private sector, you go to prison, but in the public sector, it's completely alive and well. That's why I don't trust any career politician because that means they are comfortable in a system of bribery, a corrupt system, and if they're comfortable to work in that corrupt system for all those years, that means they're corrupt too. You could when you know you could be the president. I know you were one of the few independents that I know they really could win. I know. Especially now. You see what's going on now with trump and the what I call grab the pussy gate. If grab the pussy date gate doesn't. He's fucking moved up in the polls. He's moved up since the first debate. What? This is madness. I mean we're. We're dealing with a mad, mad world right now. Well, we're dealing with what I see in the United States today. At least a faction of it. We are going down the identical road of 19 thirties, Germany.

Speaker 2:          01:24:07       Look at what we're doing. We're marginalizing one group of people, the Mexicans. They're responsible for everything bad in the country. Right? What did the Germans do? They did that with the Jews. They got all the other people angry at the Jews, all the Germans so that they could ride everything we're doing right now. Parallels 19 thirties, Germany to a t.

Speaker 2:          01:24:32       You know what's really crazy waging wars throughout the world were invading countries. Uh, I don't know if you know this, but there was a poll taken three years ago by Gallup and it never got any publicity here. International poll, 3000 people I think. And they pose no Americans, nobody from the US. And they posed the question, if your country where to go to war today, who do you think it would likely be against? Twenty three percent answered the United States. Eight percent answered China. Six percent said Pakistan. So one out of four international people believe that if they go to war, the United States will be the adversary eyes. A veteran. I hang my head in. Shame over that.

Speaker 2:          01:25:25       Brian Jessee run too late. Come on man. Too late. Why is it too late? You'll have to wait until 20, 20. Now it's too late to get this one. I'd have to go to the libertarian thing. You've got to a ballot access. Yeah, but 20, 20 is a good time. Well it will be 70. We'll get you on the general. I'll be almost, I'll give you some, my healthy diet. I'm almost 70 and I never say never. You know, maybe when if Hillary wins and the women see there's no difference having a woman as we learned, there's no difference having a black man in there. It's still business as usual. Uh, maybe when they learn all that, if the revolution continues to happen because you know, here's something interesting. The Bernie people and the original trump people wanted the same thing. Yeah, they wanted but they couldn't come together because one's left ultra left the others ultra, right.

Speaker 2:          01:26:18       The, the status quo is now using that to survive. They're keeping the revolutionary separated so that they can survive with business as usual. Well, there's two completely different factions. One that wants to dissolve the system because he thinks it's corrupt, but he uses certain aspects of the system to make vast amounts of money. The other one doesn't really care about money and really thinks that people should make more money for them. I mean, there's a lot of things that I agree with both agree to clean house. What we got now is a mess. Exactly. And clear the house out and start over. Yeah. Both agreed to that. Yeah. Well that's one of the things that people support and trump and they wish that he wasn't the guy he is and so they try to pretend that he's someone other than who he is. I, I really believe, and I believe this, if I would've gotten in the race and, and gotten into the debates, I could've won. Oh, you definitely could won. You're a way better speaker than either one of them.

