Speaker 1:          00:00:08       Experience,
Speaker 4:          00:41:34       even than the oil and gas wells. They leak it to surface that they break down 10,000 feet and they get to the surface. Yeah, that's what they're sharing. That's what they're saying. That this one EPA scientist was bonkers. He, in this article, he said, you know, look, this has been, this is a terrible policy. We're going to discover that all of our groundwater's polluted between now and a hundred years from now. So it's sort of the environmental equivalent to picking up the carpet and sweeping shit under the rug. Kind of, except that comes right through the carpet and starts kind of carpet after awhile. It's like in poltergeist when they may be old, the whole subdivision onto the and the Indian burial ground in the grave start coming up through the suburban basement. That's, that's the, that's the, that's like the metaphorical equivalent. Um, but you know, look, it doesn't even take hiding this stuff underground.

Speaker 4:          00:42:23       We are distanced from natural environments to a great degree and that we miss a lot of this. You know, there is no agency for reporting spills, onshore oil and gas bills in America, but energy wire, a good, another amazing reporter named Mike Sora. Han Did ran all these records for one year, 2012. What did he found by plumbing? The depths of state agencies, records and all this kind of stuff was that there were 6,000 oil and gas bills onshore in the United States in 2012 alone spilling more oil, gas of wastewater and uh, other fracking fluids and stuff. Um, they spilled 16 million gallons, which was five, four more gallons, 4 million more gallons than the entire Exxon Valdez spill. And when you're unsure now as people are people noticing this? I mean, they probably are where they are at. Is it being reported in the media? Not a lot.

Speaker 4:          00:43:22       It wasn't a groundbreaking story from me. It's astonishing to know that we had 6,000 oil and gas bills in 2012 spilling more oil, gas and waste water by a third. Then the Exxon Valdez spill. It's mind boggling. So we're, we're in a state where we're kind of distanced from how this actually all affects the, the natural systems that keep us alive. Um, and you know, what's, what's, uh, always amazing, wonderful to me about going home after being on tour or being on a shoot or something, is that I go home and have confidence in the water. Like I know, I know what it kind of tastes like. I know that it's in good shape. I know that by and large it's not going to be contaminated. And that is something that in the northeast of the United States is extraordinarily precious resource and has a price tag on it for New York City. Um, it's, you know, worth billions and billions and billions of dollars per year to have that pristine watershed in New York City tries to protect it. And that is to a large degree why this fracking fight has gone all over and has become such a huge thing in the media. So, correct me if I'm wrong, but I think your idea is by, by

Speaker 5:          00:44:32       doing this and what you've sort of gained from exploring this and, and creating these documentaries is, is this argument that we can't keep going the way we're going. There is no way there's no, we eventually will pollute everything and that there has to be some sort of acknowledgement and recognition to this. And some steps have to be taken and there's a huge blow back or push back from that, from the people that are extracting money by doing things the way they are. And I think that's one of the things that people are arguing that our pro fracking, even people that aren't even in the industry, there are those folks that tend to leave to lean towards conservative ideas cause they go, hey, we need jobs. Hey, we need, you know, industry. It's good for business and what you're saying I think, and I think it's pretty hard to argue that ultimately if we keep doing what we're doing, pumping shit into the ground and fracking and you know, all the waste it's getting into the oceans.

Speaker 5:          00:45:27       Like ultimately we've only been doing this for a couple of hundred years. If you go back less, yeah, less. But let's be really conservative. Let's say 200 years, 200 years ago there was so much less pollution, so much less waste. There was no nuclear waste. There was, you know, no fracking, there was the oil wells that existed where you, it was a totally different sort of a setup than we have today. The things that they're doing now with these offshore oil rigs like Jesus fucking Christ, like the amount of waste, the amount of actual pollutants that get into environments, the, the things that we're doing in these third world countries where they just go in and, and all that economic hitman shit where they take over these environments and you know, and give these people loans that they can't possibly pay back and then, well we will just extract your resources then won't they set up this credit system that is impossible to sustain and then they use it as just sort of a method to get in and start extracting at a certain point in time that it's got fuck up everything. Like if it goes on another 200 years or another 500 years, how much longer can it be done to deny that there is some sort of a process in, in, in place that has to be mitigated, that has to be slowed down seems kind of crazy.

Speaker 4:          00:46:40       Yeah. I have to realize that. I mean, we don't, uh, yeah. You're, you're going to have a epidemic of health problems. Isn't it crazy that a guy like you, you just a regular dude makes a, a documentary and it's one of the leading voices. I think it's surprising. It's very sad. But I feel like I had no choice. You know, it felt like it was a life and death issue to me. And I think that's why we're seeing so many victories. I mean this is astonishing what's happened. A grassroots movement kept the oil, the most powerful corporations in the history of money out of an entire state of New York, out of France, out of the Netherlands. Oh, out of huge sections of Australia. I would have a lot of South Africa. I mean we're racking up win after win after win. The reason is because people are trying, I mean we're also losing a lot of places, no question like say, I mean that we're winning anywhere is kind of incredible.

Speaker 4:          00:47:35       But it's because I think people understand this as a life or death issue and, and it's not that big of a leap. And this is the point of all this new thoughts. Like I'm working on this new film, which is not fracking. It's about climate change. It's about how people fight in general and, and it's about values, but it's not that big of a leap to go, oh, you know what? I don't want a fracking. Well my backyard. But even if I win and I don't have the fracking wells in my backyard in 20 years from climate change, I could lose everything I love about my backyard. So this can't just be about my own place. There's got to be all about all over the place. And it all of a sudden everyone's on the front line because when you, when you take into account that you have fracking in 34 states, right?

Speaker 4:          00:48:21       Proposed for huge amounts of area, and then you take into account, well, if you look at some of the maps on sea level rise, you lose like all of Florida. You lose most of our coastal cities on the east coast, right? Those people are on the front line. If you look at the keystone XL pipeline running through the middle of the country, those people are on the front line. If you look at the people who are fighting Tar Sands Development in Utah or mountain top removal and long one wall mining in Appalachia or fracking in California for that matter. Um, you know, all of these things do start to add up and become one fight. And we have, um, an amazing, a convergence of purpose. I think, you know, when you look at people who are in the fracking movement, look at people who are in the climate change movement, looking at people who are fighting Cole, um, or people who are basically trying to deal with health like public health, like what you're talking about in terms of pollution standards in cities.

Speaker 4:          00:49:14       Um, these things are adding up. Uh, and the, the fight for, I think social and economic and equality are bound together. Um, you know, there was an a brilliant, a piece that I just read about, um, Eric Gardner and I think it was in Salon and why environmentalist should be interested in the fact that Eric Gardner was killed by a police in New York City. Well, he had asthma. Asthma is a consequence of inner city black people living in impoverished, bad environmental conditions. When you look at the black neighborhoods that are near coal fire power plants or in bad you have do you have asthma rates that are much higher than in white neighborhoods, which are more affluent. These things are tied together. So what we're seeing when I'm, when I look out and go, okay, yeah you're right, we have a crisis. The fracking might be, my might've been my way into understanding this crisis or someone else's might've been climate.

Speaker 4:          00:50:13       Someone else's might've been how the Rockaways were submerged under Hurricane Sandy. Someone else's might've been Eric Garner's death and going, Oh wow, this man might have survived had he not had asthma, had that not been an environmental indicator for people in rural communities of color. I mean urban communities of color. So yeah, there's a thing that's, that's starting to wake up here and I'm, it's very exciting to watch. So cause once you're inside of it, it's like a different system. You know, you're, you're, you have a lot of mutual support, like people who were in the Anti fracking movement. If the do you know, you meet somebody who's from Wyoming or from South America or from California or New York, you're immediately in a sort of kinship situation where now your brothers, your family, your, your friends were working on this. We're working on trying to fix this problem and you see a different system of values start to get engaged.

Speaker 4:          00:51:08       Um, and recently just down in the Amazon with these incredible Quichua of people and in places we're part of the Amazon. While I was in two places, I was in the Peruvian Amazon, um, along the [inaudible] river where you, we saw devastating oil spills in the middle of the jungle just from pipeline ruptures. And then another place called, sorry, Yakut in Ecuador, which had actually successfully fought off the oil and gas industry and one reparations from them, uh, and got rid of them. So we kind of like went to the Pennsylvania of the Amazon, which, and to the New York. Um, and, uh, I read a paper, it interestingly, uh, by a guy in, I'm in Massachusetts, peer reviewed scientific paper, which showed that indigenous values protecting the forest protecting deforestation are actually something that should be rewarded financially because they're the ones who are protecting the earth from climate change.

Speaker 4:          00:52:01       So their values of respecting the forest, not cutting it down, all of these kinds of things actually has a current price tag on it that says, you know, these people are keeping carbon dioxide out of the atmosphere. These people are, um, cause the Amazon without the Amazon we'd be screwed. You know, like we, we, the Amazon breathes in so much of the carbon dioxide that we export and breathes it back out into the world as oxygen. If you've seen an inconvenient truth, you see Al Gore's line that staggers up and down. That's because summertime in the Amazon breeds in all of our, uh, CO2, um, and brings it back out as oxygen. So these people are actually protecting when simply because of the value system are protecting us in the way that we're doing things. So there is something to be gained from looking at, um, now I'm not saying you got to live in the middle of the jungle and he barks bugs, lizards and leaves.

Speaker 4:          00:52:54       And not saying that, but that there is something of a conversation that has to happen and it's happening right now between, you know, what do we really, what really makes you feel, you know, what is really the point, right? Is it just to consume as much as we possibly can and burn up all these resources and live in this incredibly wasteful way? Or is or, or do we have to start to have a conversation about what does all this mean? What are we doing as life on the planet and can we move towards more sustainable ways of being? And the science and the economics from every standpoint says, absolutely, we have to phase out oil and gas. And by the way, the great thing about this is we can, and if we actually want to continue to live in a democracy, which is our values, right?

Speaker 4:          00:53:39       We have to, we have no choice because oil and gas is currently destroying our ability to have demo democracy in America. And so by the way, is the banking industry, um, you know, there was this study that too much influence, too much power. Well, I mean, Princeton University, Princeton University did a peer reviewed study that asked this kind of naive question, hmm, what form of government does America actually have? And they did all this research and looked at all these public policy questions and they came back with a result. Lo and behold, America is not a democracy. America isn't oligarchy currently, which is why you can have 90% of people want, you know, background checks for people buying AK 47 [inaudible] and we don't get it. And 80% of people can, um, you know, want, uh, uh, you know, a minimum wage hike and we don't get it.

Speaker 4:          00:54:25       Or 75% of people want Kurt curtailing of global greenhouse gas emissions and we don't get it. It's because we're not in a democracy that actually are voting. And our opinions don't have an influence on the things that mattered the most to us right now. Unless you're an oligarch, unless you have $1 billion and you can play that game. So the answer to what form of government America has right now is not a democracy, which means our democracy has been destroyed by those people who are currently taking it away from us. And if we want to have those democratic values, we have to start to take back the power, which means you have to start to organize and you have to do all the things that happens when you know we don't have democracy anymore. And if you look back in history, well, could you really say that America was a democracy when black people couldn't vote, when women couldn't vote, you know?

Speaker 4:          00:55:14       Um, no. In fact, looking back at American history, American wasn't a democracy most of the time it was a democracy of some. But Ma, Ma most and right now that some is getting smaller and smaller and smaller to the 1% who have control of the reins of power. And if we want to take that stuff back, then you have to start to realize that you have to do every single thing that all of those very potent social movements have done throughout history. What did black people do to, to, to fight everything? We made movies. He made protests, we did lobbying, we created organizations. Um, we fought, uh, uh, in, in all the creative ways made films, made a cold culture of resistance. Um, if you're talking about the women's movement, if you're talking about the movement of black people and the same thing is happening.

Speaker 4:          00:56:00       I, I say I see this in the current crisis, whether your insurance point is occupied, Wall Street is looking at banking and your entrance point is environmentalism. Um, your entrance point could be public health, your entrance point, um, could be gun control. You know, you're starting to see people really do that organizing in democratic work. And what's amazing to me is that that means democracy is alive and well in America. It's working too to some degree and we're seeing that this is our tools, our culture, our tools or information or tools are radio shows like this, you know, to, to talk about where we need to go as a society because currently it's not just the environment that is being destroyed, contaminated and havoc as being wrought upon it is our system of government.

Speaker 5:          00:56:50       Yeah. I think that what we're dealing with now, what we're dealing with now is the amount of information that we can get on a regular basis is so far above and beyond anything that's ever existed in human history that these old systems that were in place where they kind of deny facts or distort truths or keep extracting money and keep certain certain structures, influential structures in place there, they're slowly but surely being exposed. And ultimately I, I mean I really, I'm a huge fan of technology and when I follow technological trends and you pay attention to these transhumanists and futurists and you look at what they're projecting as far as like the next few decades, there's gonna come a point in time where we were literally going to be able to read each other's minds and you're, you're going to have full disclosure of virtually everything that everyone does.

Speaker 5:          00:57:38       That's kind of scary. It's terrifying. But in a, in a, in a sense it's not because I mean it's terrifying because we value privacy. We valued the idea that we can, but privacy also equals secrecy when it comes to corporations and that's one of the things that they're doing. And the, the, even, even though we know how much influence oil and gas companies have banking industry has on politics and lobbyists, we know all that. We only know it in this sort of kind of peripheral sense. You've got to kind of really dig deep to find out the actual facts and what the fuck has the time to do the research. Like we were talking about the seven year study that New York state, it's exhaustive study that they had to do. I mean that's a little Dodick God damn work. And these people had to be hired to do that. It had to be their job. That's what they did. Yeah, they were. It was a functioning democracy, a lot of digging, a lot of fucking digging.

Speaker 4:          00:58:28       Part of that, part of that though was entered, was tapping into collective willpower and collective research because part of the study in New York was public comments, public hearings. Right. So the people, I, I w you had two minutes, you get went and got up in front of the department, environmental conservation and you said your two minutes, you know, and EPA did the same thing when they did their scoping process on fracking. So it wasn't just, um, government people getting paid. It was also public participation, which meant that it was a democratic process that was at work there. We are collectively so much smarter than any one of us and so much more motivated than any one of us. So when you're doing, I'm going early on and I'm very naive days of, of taping stuff for uh, for whatever I was making or doesn't even know if it was a whole film at that point. Six hours of public testimony do two minutes

Speaker 3:          00:59:22       per person, you know, and just going on and on and on. But this is what ended up actually creating the fracking ban because in each one of these environmental review periods, there were a chance for the public to comment the most, um, uh, public comments that had ever been recorded. Pre fracking on one of these environmental impact studies was a thousand. And in the first fracking review, I think it was 2009, they submitted 13,000 public comments. In his second review, they submitted 74,000 public comments. And in the final review they submitted, or I've saved they, but I mean, the movement in New York submitted 204,000 public comments on an environmental impact study. Now for the Dec to do its job, it's required by law to respond to every one of those 200,000 to 4,000. Yeah. Which means that that democratic process, yeah, it delayed the review by years and years, which is part of the point, but it also meant that this issue was so important to people that they actually did public comments on a environmental impact study and went out.

Speaker 3:          01:00:33       This is like way more than like when move on sends you a petition petitioner, you just click yes, this is like doing your homework and getting out and doing all those kinds of things. Um, you know, so, so that was really significant. But that was a democratic process. That was New York sang to its citizens. We don't really know what this process is. What are your concerns and how do we address them? It's the opposite of what Pennsylvania did. It's the opposite of what a lot of Ohio did. Um, oh, they just opened the door. I said, all right, come on in. You want to frack. Go. What's the worst offenders when it comes to the allowing of fracking, the allowing of environmentally damaging extraction methods? Well, I mean you just, South Dakota's off the charts, right? Dakota, North Dakota, North Dakota. Bakken shale is a disaster area. They're going crazy.

Speaker 3:          01:01:19       I was just up there and over the summer it is one of the worst. I mean, you've got flaring, frack pits, emissions, um, criminals, the Wazoo from all over the country on a criminal background. Checks get a job, make a hundred grand in a year, dig holes, light him on fire. A lot of 'em mad max. No, but actually there are reports aren't food and Water Watch did a report on social costs and found that all of these indicators, social costs, indicators go up in fracking areas, truck traffic, socially transmitted diseases, domestic violence, arrests, you know, everything that where you're going to have a dislocated young male population living in camps in these places. Those kinds of things go up and you're right, there weren't any background checks and you had sex offenders and had all this kinds of stuff. It sounds like a party they did bringing in people from all over the country, aren't they? The, when you go to the boxes, you can see the Bakken shale from space. NASA was like, wait a minute. Did we built? It's brighter than Chicago. It was brighter than Chicago. Brighter than Minneapolis from space because they're flaring off. Guess what?

Speaker 4:          01:02:20       The place that the product that tyrannized my area of Pennsylvania natural gas is being wasted and flared off and burned off on all these oil wells in the Bakken shale because they have no method for transporting natural gas. Why is that? Well, when you're doing this drilling, you're getting both oil and gas. Right now. Oil is worth something. The gas isn't worth as much. Dry Gas right now on the market is very low, so they're not capturing the gas at all. So when you drill an oil well, you're going to get some part of it, which is oil. And another huge part of it, which is the gas, the gas on the site will be burned off first of all, because it's exploding at the photos. So you have like, oh, it's behind. Yeah, there you go. Take a buck and family formation. So that's all that means that every like 500 feet, there's a huge natural gas fire in the middle of a field that's enormous.

Speaker 4:          01:03:10       And that is fucking crazy. It is bigger, bigger than Minneapolis. Yeah. That's bigger than Chicago. But NASA was like, wait a minute, what is that? And I just went up there, this is going to be in the new film. Um, and, and we saw not only these huge flare stacks, but we saw, um, uh, through a flir camera, which is this camera that captures gas, that raw methane, even though they're burning it all off, it's escaping from a lot of the infrastructure up there. So there's always people breeding that shit in. So the massive fucking oh, breathing that shit. I've seen pictures of workers, there's FRAC sand, right? So they, they, when they inject the water and the chemicals into the gas wells to, they need fresh sand to, to keep the, it's a proppant. It keeps opening the cracks. Frac sand is actually made of Silica Silica.

Speaker 4:          01:04:00       It gives you silicosis. It's really deadly lung disease. Um, I've, I've seen these dudes, so it's call this like frac sand spill or a spill off sand like um, the [inaudible] beach and like hanging out on the frac sand, like swimming in it, making jokes and stuff like this. What these workers have no idea. I'm just, well there's a new piece that we just, um, I just did on workers in the oil and gas industry and we don't know where it's going to land yet and we've seen a face bureau wants it and maybe there are other channels that want it, but a lot of these workers are not told what their further handling and there's an epidemic of really serious illnesses among the fracking workers, whether they're in Pennsylvania or in the Bakken shale or in New Orleans or wherever. And I mean Louisiana ones, the BP oil spill cleanup people they brought in prisoners, right?

Speaker 4:          01:04:46       They were also told that they weren't allowed to wear a respirator. Masks and all sorts of stuff. That is it. I mean like inhaling, volatile organic compounds is bad for you. It gives you headaches, it can give you a peripheral neuropathy. It can also give you longterm effects. Um, the great, uh, Theo Colborn, who just passed away a couple of weeks ago, who was one of my teachers, um, she was in her late eighties. She discovered all the fracking chemicals. Um, she started off talking to workers and the workers would come to her and say, do you know anything about these chemicals? These, she's, Oh, yes, I do. And she at her website, Tedx, the endocrine disruption exchange, t e d [inaudible] dot org. You can see, um, uh, all of the fracking chemicals and their corresponding health effects. Okay. So you've got damage to every system in the, in the body. Um, uh, from, you know, uh, you know, respiratory to, um, uh, reproductive too, you know, cancer to, um, all sorts of things.

Speaker 4:          01:05:48       And you can look at the list there, but onsite, these workers are not told that they're handling toxic chemicals. These workers are not told that they're drilling into formations that are radioactive. These workers are not told, don't get that stuff on your clothes. Um, don't expose your hands to it. Don't, you know, breathe it in. They're not given these kinds of protections on. Um, currently if you're working in the oil and gas industry, the fatality rate is seven times the national average for other industries. So you, some times you have a lot of guys too. Well disease or no, most of that stuff is all longterm. This is immediate and fatalities or are a lot of accidents. Um, gas and oil wells explode. Uh, but the majority is, um, truck accidents and heavy equipment accidents because truck drivers in the oil and gas fields are not subject to the same truck driving laws.

Speaker 4:          01:06:42       I mean, I know I keep going on and on about how awful is it, but it's all true. Truck driving laws in the United States say you can't drive, I think it's more than 12 hours. Um, but if you're an oil field truck driver, there's something called oil field exempt, you're oilfield exempt, which means you can travel six hours to get to your oil. Well, but let's say the load isn't ready there yet. So you can sit on location for six hours and then still have to drive another six hours. And now or, and so you can sit on different locations and not, that doesn't count. So it was one worker put it to me. You're 25 hours into a 24 hour day. And guess what? You're driving a big rig around in western Pa perhaps or North Dakota. It's full of toxic fluid in the back of your thing.

Speaker 4:          01:07:29       And then you're so tired that you drive off the road and into a creek and that's how you have a big spill or you're so tired that you flip your truck onto somebody's vehicle. As was when it happened to a, uh, a good friend of mines, close friend, uh, um, the truck flipped over, uh, killed the person in the driver's seat and the person in the passenger seat was not killed. I mean, you've seen traffic accidents on the rise. Um, and so there's a great article and interveners, uh, um, drilling down series in the New York Times about truck truck accidents and the piece that we're doing, um, uh, talks about the chemicals and the workers that are exposed to chemicals with several workers who were made very ill on the, on the job site by being exposed to, they're, they're told to squeegee off the top of the chemical that's on the top of the well pad site and then put it into their trucks and they get it all over themselves. And then other, um, workers are killed because the sites are not safe. So this is a new piece that we, I hope will be coming out in the next month or two, um, about the work in the gas fields. Okay.

Speaker 5:          01:08:38       That the, the driving thing is terrifying to me because you're on the road right next to him. You see those guys driving trucks and everybody's heard the stories about guys, I'm truck driver math. And they mean they make more money if they can get there quicker. So they've put regulations in to make sure that drivers are not allowed to drive certain hours. But you always hear about people violating those. Like the guy that uh, gotten that car accident that killed Tracy Morgan's friend and hurt him. The Guy who was driving that truck for a Walmart, is that what it was? Yeah. Was it Walmart? Yeah. I mean that guy was driving more than the limit when more than one it was supposed to do and he fell asleep, fell asleep and crashed into their limo, um,

Speaker 4:          01:09:13       asleep behind the wheel. When you're driving a huge oil and gas truck truck, common and perilous situation in these fracking areas. And it's one of the things exemption, I think it happened in the 60s where they, where they argued that they needed more flexibility. I mean, look, you look into every single environmental law that's on the books right now I'm in America, there are attempts or full out exemptions. The oil and gas in the fracking industry is exempt from the safe drinking water act. The safe drinking water act is a primary public health protection law for our groundwater. Right. It says, if you're going to inject toxic material under the ground, you need a permit from EPA or you need to ask if you need a permit. Fracking in 2005 was made explicitly exempt from the safe drinking water act in the 2005 energy bill, which was Dick Cheney's a project.

Speaker 4:          01:10:03       Um, it was their number one thing that they were after says to, to this huge fracking explosion. Um, and uh, they're currently still exempt from the safe drinking water act. In fact, there are exemptions for the oil and gas industry from most of our major environmental laws. The clean water act, which is about surface water, the safe, uh, the clean air act, which is, uh, what, what, uh, Obama Administration is choosing to enforce new rules. Um, the Super Fund Act, the superfund act is the like, uh, a fund that oil and gas was supposed to pay into, to do environmental cleanup, right? So that was a signed in I think 1980 by Jimmy Carter in 1979. And the only reason we have a superfund act is because there was a little horse trading. And Congress that to get the superfund to act passed, guess what they did? They suspended environmental impact studies in the Gulf of Mexico for offshore drilling.

Speaker 4:          01:11:00       So that's why you have this huge amount of offshore drilling on the Gulf of Mexico and not for example in the Atlantic coast, cause they don't have to do an environmental impact study down there. Why? Because they want it to pass the Super Fun to do toxic cleanup onshore in America. Now 30 years for 35 years later, they oil and gas industry has completely weaseled out of their obligations to pay into the Super Fund to act. So they're exempt from the super fund regulations. Um, for fracking and every single fracking well pad site would be considered a super fund site because there's not much, how does it work? Does that continuing go as Princeton? And they still get subsidized as well, which is even crazier. Oh well this is what I'm trying to explain here. I'm not talking about abstract concepts are abstract influence. You can trace these things really clearly.

Speaker 4:          01:11:50       You can see the, you know, if you, if you read your history, in fact, a lot of this stuff is in the presidential report on the deep water horizon spill. It's a fascinating document. It reads kind of like a spy novel. You can, you know, like the, the, the, the rig explodes. People jump off into the world, but you're also get the history right there of how all this stuff happened. And one of the conclusions in that presidential report was that the oil and gas industry was in fact two big, more powerful than any branch of government that ever tried to regulate it. So what you're seeing right now is that they're not more powerful, however, then citizens working together. And this is what keep campaigning, keeps saying that the answer here is the grassroots. The answer here is us working together, um, as a grassroots movement.

Speaker 4:          01:12:36       And you've seen this in California. Californians against fracking was started I think when we, we, we, we did the press conference kickoff here in, um, in La and a 2013. Um, and we've started a new thing called solutions grassroots, which is, you know, the solutions project did the science on how to do, uh, renewable energy solutions. Grassroots is actually putting the tools to develop renewable energy at a grassroots level in the people's hands. So at our website, which is solutions grassroots.com, and we're doing a solutions grassroots tour, we're going town to town to build renewable energy resources at a democratic level. So when you go into a town, well, we do like a presentation, whether it's, we actually had a play going for a, we sometimes do concerts, we do talks. Um, and then we go into the citizenship and say, look, do you want solar on your roof?

Speaker 4:          01:13:28       Here are these companies that will do it. Do you want to buy locally sourced wind power? Well, here's how you can do it in certain states, right? Do you want to create, uh, an energy collective in your town? Here's the resources for it. So it's a lot of times it's just giving people information right then and there and saying, you know, getting people riled up and excited and giving them the support to do it. So, um, we're going to do about a 40 city tour of solutions grassroots in New York state in February and March. So we'll do like three or four towns a day. Um, and I'll, I'll be doing that with Zephyr Teachout who was incredibly popular, um, candidate for governor who won 35% of the vote against Andrew Cuomo and his last election. Um, and a number of

Speaker 3:          01:14:12       musical guests. I think we're going to be doing that in February and March. We'd love to do the solutions grassroots tour in California, um, love to do it in other states. So you can go to solutions, grassroots.com. You can sign up there, you can, there, there are links that directly you can buy solar. Uh, you can buy wind power, you can do all that at a consumer level. But more importantly, what we're trying to do with solutions grassroots is getting grassroots, um, energy movement towards, um, getting ourselves off fossil fuels. Because you know this, even though like you can map this out at Stanford and you have these great, amazing celebrities all talking about renewable energy, the people have to get it done. We have to get it done. We have to say, you know what? I don't want to buy oil and gas and coal to heat my home to power my home anymore.

Speaker 3:          01:15:00       I didn't want to do that anymore. I want to get off of it. You know. Um, some of the resources are very expensive, like buying an electric car that's out of the range for a lot of people. But getting solar on your roof actually is economic. Um, it makes sense. Getting a buying locally sourced wind power is possible in a lot of states. It's not in California, I don't think, but it is in New York state it, there's a company called ethical electric that we have a link to@ourwebsitesolutionsgrassroots.com. Or you can just basically say, you know what? I'm going to buy wind power instead of buying electricity from coal or oil or gas. And um, you know, you've done a huge amount right there. But the biggest thing that we've done in terms of all this stuff, New York, by stopping fracking kept the equivalent of 57 million cars off the road just by keeping that stuff in the ground there.

Speaker 3:          01:15:51       And I think the equivalent of taking 72 coal fire power plants offline for a year, the movement is actually going to help solve these things. Um, so it's, it's like how do you get people together? Well, we just get together. We have a film screening. There are a lot of great films on this stuff. We have a tour, we have a talk and you start organizing locally. And while this is going on, you still got North Dakota, but it's just going off the rails. You do. But I have how much light environment, mental impact is the burning of that you were getting into that, but the burning of that natural gas. Well, I mean I don't, I don't know. I don't have direct figures for that. But what, what I do know is that's a lot of these new unconventional resources have to be stopped. So Bakken shale is actually unconventional oil.

Speaker 3:          01:16:37       It's shale gas, it's fracked oil, the tar sands for example, in our, in Canada, which you mentioned the keystone XL pipeline. This is another unconventional source. So without a doubt we have to rule out unconventional new sources of these fossil fuels. Um, and then we have to start to phase out the other ones. But you know, um, do I have a direct figure for how much damage I don't on, I don't have it in my head. I just know that someone just did the math on the New York band and that you can research. I think it's an oil change international cause it website change international, um, or dirty energy. money.com I think links to a dirty energy. money.com is an amazing website where you can actually plug punch in your senator or congressman or congresswoman and find out how much money they took from the oil and gas lobby.

Speaker 3:          01:17:22       Um, and where it came from. Um, but I think oil change or are, I mean, I might have it on my phone, but there was an article I read recently about the Duke University pro fracking, uh, study that they put out and the influence that the oil industry had on that and they traced it back to the money that was involved in oil industry that had something to do with Duke University and then had an influence on the flat fracking study. Again, the template, again, the template is the tobacco industry. When you have these places like North Dakota where you know, you don't, you have so much momentum, there's so much money, so many people who have a vested financial interest in keeping it going and so many people are benefiting from it. Like, how the fuck do you stop something like that. Like how is it even possible to slow that monster down?

Speaker 3:          01:18:09       Um, you know, I have to believe in the same things that have worked over the last eight years with the fracking movement. And I have to believe in the things that have created social and economic change in the past. You know, um, I don't think there is any other answer then organizing, mobilizing, and that is, you know, um, we can point to New York as this great example. We can also point to the Obama campaign in 2008. It's this incredible grassroots mobilization. It's about neighbor talking to neighbor. It's about canvassing. It's about being involved at a local level. I really think that that's the case. Um, I think you have to make more responsible energy decisions personally, obviously. Um, and there are ways to do that and like gave the website out. But I think the most important thing to do, I mean, you're going to have states which are very challenging.

Speaker 3:          01:19:01       I mean, in Florida right now, the sunshine state, it is illegal to have a home off the grid. Yeah. Isn't that hilarious? It's like, how'd that happen? All the conservative people or government there decided that they wanted to keep everyone totally addicted to oil and gas. What the fuck? I mean, but the hilarious taken do that though. Yeah. I mean it's, it's um, you, you, you, uh, I think the, the, the good news is that you're seeing fracking really be a game changer. Not In the way that the oil and gas industry thought it was. They thought this was a game changer for their continued world domination. I think it's a game changer for how we're going to start to change all of this because there's so many people involved. Well, because it's so, it's also the impact is so fucking devastating. So it's so obvious.

Speaker 3:          01:19:56       You can see it and you can, and you look at it, you could look at it. You do not want to live in one of these areas and that's about in line. And you have enough people who are saying, not in my backyard, across the, you have a movement, but you have enough also know people like that are going to North Dakota because of the money. I mean, they, they're like, fuck this. You know, I can make some money. I can retire, I can do this. I could do that. I can have a life for myself. Give me that opportunity. That oil is going to be more expensive than solar and wind at a certain point. So it means that you get solar and wind ramped up. Um, you're going to be able to undercut them in the marketplace. But what, what one thing I have to tell you is these are creating conditions that are created by the government.

Speaker 3:          01:20:41       If you invest $1 million in oil or coal or gas, you get about three jobs, 3.8 jobs. If you invest $1 million in wind and solar, you get 9.5 and 9.8 jobs respectively. So you get much more jobs out of doing renewable energy. It's just the math. I'm like, that's not, and by the way, you would not do that job in the Bakken shale. You are bathing in oil and fracking chemicals. You are your job. There is extraordinarily short lived, not just in the Bakken shale. We should particularly harsh conditions, right? Because you might be living in a trailer that's costing you a huge amount of money per month with no you no running water and you know it's freezing there and people die. Just trying to go there and live there. Um, or you might be living in like a man camp, you know, like, like Whoa, really bad working conditions.

Speaker 3:          01:21:39       They're called man can camp. You don't want to live in a man. Good. You don't want to live in Vancouver. But what I'm saying is these jobs are not good for workers. They're not good for the environment and at a certain point, and Van Jones, he says this in our worker piece, I'm Van Jones as we, you know, like you could create jobs by chopping the heads off of small kittens if you, when you could call it a judge, they don't stop doing that. It's a job. But at a certain point you have to have a moral standard. That is true. Right. That is an interesting thing like the creating of jobs, but at what cost? Like what? When can you stop saying it's creating jobs and start saying that you're profiting off of fucking up a spot forever like that where they're at right now in North Dakota.

Speaker 3:          01:22:19       How long would it take to clean that up? You can't just, you can't just pass everything just because, oh, it's a job, therefore we don't have to look at what the job is. Can you put like a big Britta filter along the whole state? And, and the truth is that a lot of that land is, um, first nation's land. Um, you know, and uh, we met an amazing, a kid who was, I think it was 19 or 20, his name was lance. He was running for tribal council in the Bakken Shale. And his whole plan was to implement wind. Do you know that North Dakota is the windiest place on earth like UN in the United States? Not on earth like there, it's been said 20 years ago or more, that just three states, North Dakota, Kansas, and Texas can provide all of America's energy needs with their wind resource for all of them, including the fleet of 300 million just from wind in three states, North Dakota, Kansas, and Texas.

