Speaker 1:          00:00:05       I'm tweeting and
Speaker 8:          00:36:49       Oh, I fucked her. She got her, she got good and fucked. Sorry. Sorry. This is not just lesbian sex is assessed a lot of game of Thrones. I'm anything goes. It's just started watching it. How far are you two episodes? Oh, I'm jealous. I was at the even seen it. Did you like the wire here? It's what Conan the barbarian should have been. Show's so good. So jealousy. You have so much time to work. See, when you go to that Conan movie, they had good intentions, but you can't tell Conan story in, in in an hour and a half. The Real Robert he Howard books with these long Sagas of adventure and betrayal and sorcery and and fucking demons and sword fights and shit in like two hours. You can't do that in a movie, man. You, the only way you're going to rock that is if you have a series like this. Game of Thrones is the best fucking good dude. Good show. At least the first two episodes gets better and better.

Speaker 8:          00:37:55       I want more fucking supernatural. You fucks the supernatural. You start off the whole show, get me all roped up and you supernatural. I want to see a little bit more of this supernatural. There's one I'm looking for a little less incest. One more where we disagree. I want more incest. Also, it's like the wild brother and sister fucking being surprised the way probably is how they used to do it gets even crazier. I don't even want to know. And that's actually reality by the way. That's what people were doing. They were fucking their sisters until like a week ago.

Speaker 6:          00:38:36       I was in Birmingham. That shit is still going on. I saw some eyes, place to God knows where

Speaker 8:          00:38:41       people are fucking whatever they can, you know. And if you can fuck your sister and no one's gonna know, hey, save gas, fuck your sister. Where's that bumper sticker? Let's make a deal. You want from Dick? I want to pussy. I got a dick.

Speaker 6:          00:38:57       God Damn. Why are we got to outsource? I really wonder how many relationships are are like boy, like brothers, sister relationships. I bet it's a lot everywhere. Like if you take in the whole United States, I bet there are a lot of brothers.

Speaker 8:          00:39:11       The ultimate form of keeping it local, keep it real, keep it local by local. Made local products. They're really, it's a, it's a sick feeling, right? Incest is a sick feeling. Like the idea that people would do that. Maybe that's why the idea of nationalism is such a bizarre fucking feeling. Nationalism. Someone really being into being from one country. Keep it local. American rod here. I'll play it a little more. Cause there's a Toby Keith song there's made in America and it's all about he pay a little more, but it's made in America. Relax Toby. I would like it if it was amazing there. Oh there's another guy who is Keith urban on the country. I wouldn't mind if things are made in other countries if I thought that people were getting paid. The only thing about America is like if you buy a corvette, you know that someone's got a pension.

Speaker 8:          00:40:05       You know that. You know that the people that are making her in the auto union, you know, you really do know how much they get paid. You can find out and you buy Nike's. You know, it's like some child, they bound their hands, their fingers, so they wouldn't grow. If you buy like Foxconn products, if you buy I iPhones are a lot of other cell phones. You know there, there's a huge debate right now they're trying to figure out how, how to straighten this out in the eyes of the people because they've in a ton of suicides and you know, their thoughts are on, yeah, they've got a lot of suicides, so much so that install suicide nets, what staff suicide nets at the Fox on building and people would try to talk you through this. So hilarious. Like, well statistically that's actually less than the number of suicides in the population in that area.

Speaker 8:          00:40:50       And you're like, first of all, that's, that's, that's a ridiculous thing because what you're saying is that the whole time they're alive when they would commit suicide. No. How many people kill themselves at work, at work, at work in the place that they hate the most? Yeah. That's your, you're talking about a completely different experience talking about people that are living on campus and our proxy throwing themselves off the fucking roof and smashing their brains onto the concrete and the pain. We don't, we can't find the combat is statistically less than would be had they been slaves. Yeah, it's, it's weird. But that's the only way you're going to get a cell phone. They don't know if there's no other way. I mean, they've tried to figure

Speaker 2:          00:41:34       out how to, you know, make them in other countries. And I know they started making iPhones in Brazil. They make some stuff in Korea, South Korea where they, you know, they don't, they don't have anything remotely like a, what they got going on in China.

Speaker 8:          00:41:46       Would you ever hire Foxcom for like a small job, like stuffing envelopes or something like that? Because lately I was wondering really how cheap it would be if I just had them do like small things. I A lot, there's a lot of that started factories in China.

Speaker 2:          00:41:59       Um, and they started factories in China. Like I know a dude who makes pool cue cases out there and he lives in China. Yeah, I guess, I don't know why you decided, but he's an American guy and they, you know, they'll, their manufacturing is like good out there and get good skilled craftsmen and you know, it's a way cheaper for them and they, they can make a ton of profit, you know? And I think a lot of them get over there and they actually like it too, so I don't know. But it's, I don't, I just don't,

Speaker 8:          00:42:27       yeah, we like living in China. I think a lot of white guys do. If I've talked to a bunch of white

Speaker 2:          00:42:31       guys that have been to China and they say that Chinese girls like, Whoa, this is weird. Look at this white guy. I like him.

Speaker 5:          00:42:37       I think it makes sense. I think like all dudes are going to wind up with Asian chicks. Really? Yeah. Like how many dudes have you lost the Asian chicks? Um, well I haven't lost anybody but no, no one, no. But one guy that I dated for like years is engaged to, well she's, she's Indian, but that's Asia. Yeah. But um, it makes sense. Like there was like a whole wave of like black chicks being like white women are taking, are men and they like have asses or something. Uh, but now it's like, I don't think we're a real threat, I think is Asian chick is where,

Speaker 8:          00:43:12       but he's going to wind down, it's like going back to an iPhone three do an iPhone five

Speaker 5:          00:43:15       yeah, it's a, I have nothing. I can't compete with an Asian chick.

Speaker 2:          00:43:18       There is nothing grosser than that white woman, white women are taken are men

Speaker 8:          00:43:22       attitude. You can't like who the fuck you like in the black eyes are supposed to like you supposed to like you more. That attitude is the very reason why white girls are preferred by those black guys because white girls aren't going to be as crazy angry and you know, why does mother fucking time to go out with my time

Speaker 5:          00:43:45       flag being mad like, oh if the card pulled up more, I could've parked like somebody else would have still gotten that space. Like that black guy does not want you

Speaker 8:          00:43:53       regardless of what race is happening opened that racism is in the in comparison to the other way around. Don't they know we've done that with so much. If it was the other way around and people, you know, if it was a bunch of, uh, uh, white girls that were complaining that some girls getting fucked by a black guy, yeah. You know, that would be, you know, there'll be a completely different things and that would be like KKK and this is like, you know, hey Chris, it's interesting that it's, you can say like, why are these white women got up? Fuck on man. You can say that you were a black charger.

Speaker 5:          00:44:25       I do think with, um, I have no anger about the Asian chick thing, but I do think, um, like I'm, I'm half, but it makes sense like the guy's gravitating toward them because just the way it used to be, like you used to be with a man because like, he made a living and you, you kind of needed him and you looked at him like, I need you, uh, and easy lowered your voice. I feel like that's how like women talk. They're just like, I love you. Do you want dinner? Um, you know, I'm like, well, what about me? Uh, but it checks, you know, like there's, they're from Asia, this isn't there, this isn't their first language. And they come here and they kind of need you and they're like quiet and they like have smaller pussies.

Speaker 8:          00:45:06       Oh, so what is really small? What am I, what am I going to do?

Speaker 6:          00:45:09       Bring to the table. I've gotten zero like I've gotten here, like getting happy. You're like, I need an Asian chick. This Asian girl in high school, her name was, I don't know if I should say there's now, her name was [inaudible], which was also a video game company in the 90s which so she's awesome. Her name, uh, because he's what he was trying to find her. You want her back in his life because I've, maybe I've changed it to a different video. Came back, it was a pocket, it was a, it was a video game company that was popular in the nineties so name was donkey Kong notice. But all the boys are boys. The guys liked her because of video games were really popular in the 90s so she had did like this extra kind of glow to her. And people because of her name. Yeah. She told me, she told me once, I grew up in a test city. Yeah. The government has literally,

Speaker 8:          00:46:01       he literally would test this year. It's true. Test Him and I'm pretty sure a parts of his life were um, actually artificially created by the government. Yeah. Angel. A lot about you. Yeah. He's like a test subject. He got cereal that no one else got failing the test right now. There's no failing. He is what he is. You can't have fell out all. Look how sweet you are with them. That's true. You can't fail that test. They cheat. The government just wants to know what's going on in there.

Speaker 6:          00:46:28       [inaudible] told me that, that they're pussies are tighter because we, they kneel all day cause the kneel tightens up the pussy. Did you guys, do you mind if I do the wo wrestle this show from a dope we calling under our desk trying to tie number two. You might just take a quick, can we just move this mic down? Nope.

Speaker 8:          00:46:48       Uh, yeah. I don't think you imagine if that's all you had to do. And women just found that out so they started kneeling for the banks. Every bit I'm on the subway like, oh no, I don't need to seat, just try to keep Bob happy. It'd be like a big joke. Yeah. You wouldn't be able to hide it. You know if feel like when you get fake clear, you can't pretend you didn't get fake tits. So one day your flat and the next day the huge, hey, I'm just trying to keep my husband happy. Yeah. It's the same thing Neil everywhere. I don't know. Is that what it is? I don't know. I don't, there's a lot of different reasons. I'm sure I'm forgetting implants. Yeah. Oh God. I'm not doing it. I think I'm never going to get any work done. We're going to get any work done. No. Um, you don't need to,

Speaker 5:          00:47:23       I mean like I, I drank, so I'm probably gonna age like dog shit, but I'm just going to let you and hit the, yeah, you got

Speaker 3:          00:47:30       to just let it ride. Tara Reid style. Maybe shave off a little off your shoulders. You like, it looks like you got those things in like a suit jacket. The cushions, but in your shoulder. Yeah. It looks like what? Yeah. What are they called? The shoulder pads. It looks like you have shoulder pads on your shoulders, so maybe just get a little bit of shaved off for it there. Oh, I play volleyball. Oh, that told her to get her shoulder shaved off. Can you manage it? If it was that easy? It's like you've got too much muscle here. It was just that carved this away. Ooh. Can you imagine like to your body. I know I played volleyball and I think that it, I like how I look. Eat a dick. I was just kidding. All right. Brian doesn't, he doesn't like to be around women that he's pretty sure could kick his ass. That's really what fucks him up. We had Ronda Rousey in here. She know who she is. Strikeforce women's MMA champion. Oh Shit. She's a beast and Brian scared to give her a hug and she's like, get over yard. I won't buy it.

Speaker 3:          00:48:31       I used to do it at the end, like a proper gentleman at the beginning. I don't do hug her. He was so cute. It was adorable. He was so terrified of her. It was like he was in the room with a tiger that he wanted a pet, but he was too scared to Rhonda, by the way, one of the coolest fucking people. She's strikingly beautiful. She's gorgeous. She's not even a debate. She's a 10 yeah, and she's a killer. She was a a a women's Olympic judo medalist. She meddled in the Olympics. I think she was the first woman to ever win a medal in the Olympics. In judo. No.

Speaker 3:          00:49:17       Nobody busted a move. Well, I'm married and Brian is terrified of her naked or not. Eddie Bravo's getting her in her underwear so we can see what's she's hot as fuck. That's a killer. Do what's that press conference she broke? The girls are, and when their last fight the girl didn't tap and so she snapped her arm. She's young. She's only 25 that's not her either. That's a killer. Grow. Go down to that picture, dude. Are you going to do a video? I don't think you've got to find the video highlight reel. I love her. What a nightmare. A hot chick that could beat the fuck out of. When is she coming back on Joe? We'll work on something. She just won the title. I'd like to do this stuff.

Speaker 9:          00:50:39       We'll do this

Speaker 3:          00:50:40       snap. I don't watch this. She brought, she's broken a couple of girls arms. I'm just going to look at you Amy and started. We're lucky, right? It's why you are fries when a Shitty, she's a beast. She is. I love her.

Speaker 2:          00:51:02       She's a bad ass it fucking jail.

Speaker 3:          00:51:03       Whoa. Look at that and this is in the Song Song Austin, isn't it? No, it's not you asshole. She actually filmed and edited this, these arm bars.

Speaker 2:          00:51:13       This is nasty shit. See in in judo they stand you up way quicker than they do in MMA or even in Jujitsu though they don't really stand you up usually Jujitsu, but in, in judo they have to go for their submissions really quickly because once they get to the ground they got to get, they've got to get a submission on before the referee gets to them and she developed the ability to snap armbars bars on people with lightening speed and I don't think any of these girls are ready for that shit. They just, she's so good at it. Everybody else takes way more time to go for shit. She's just got a few techniques like especially armbars just completely locked down and when you roll with her, it's almost just a matter of time before she gets one of those on you because you're probably not used to anybody having the kind of submissions that she has where they just, she explodes on you. She's strong as fuck and she's super tactical. Look at that arm bar you see, how do you see how, watch that, but just back that up a second. This is like no space in between her body and that girls face as she moves around. When she locks this chick down, she starts beating on her and as soon as she has this song, what's that? See how fast that goes.

Speaker 3:          00:52:16       Yeah. She swung that leg over fish. She knew exactly where her face was, clamped that shit down. There was no air in there. That was death. There was no getting out. I just think she's really pouty lips. Yeah. She wanted to make out with you, which you go last boat for a little bit. Yes. Yeah. You would? Yeah.

Speaker 2:          00:52:32       Wow. I think you'd have to.

Speaker 3:          00:52:35       Yeah. I, I've never worked with a girl, but I get like major girl crushes. I. I've never hooked up with a girl. But you're opening up your idea. Do you want to, I hope I'm like at least hook up with a girl, but at least once I can arrange that. Like the hottest girl ever. I can let you choose from a book. No, I like girls. I'm going to get crabs. Oh yeah. Whatever he's going, Mr Lobster. Brian, I'm not going to use that money. All you can eat me. You're not setting me up with anybody. Yeah, I would say no. Don't want to do that. No, that's not happening to me. I'm your filter. I'm going to just be real with you. I'm going to be real with you. Either of you at all. Do you want to go camping this weekend? A little bit. The ones who got you? Hi. How can I remember? I remember being like, I just had it. I saw the bruise from the IB in my arm and you guys were like, you need this? And I was like, no, and I, and then I said yes right before you blew all the in my face.

Speaker 6:          00:53:26       I could tell you were getting into that. I was like, just give it to me and don't blow this smiley face. You guys are the worst, right? Aren't you glad you did? It felt good, right? You don't feel sick or anything? No. I feel fine.

Speaker 8:          00:53:37       This weed is so strong that we hotbox Fitzsimmons back here and he went on stage high and he couldn't remember his act. Oh, I would love to see him. Hi. Was He, did you see it? Huh? Yeah, I've been how it Greg before? Let me see. He's essentially, I don't know if he talks about, I know he was smoking pot for a little while, but then he stopped doing that too. But he, he went for, when I met him, he was an alcoholic when we were like 21 together and then he, um, he quit it like instantly just cold Turkey. Wow. Yeah. No Aa. Did he have something happen? No, I just decided to, this is fucking up his life. Yeah. It was pretty smart about it. But then later he realized that he could smoke pot wherein, you know, because if you talk to like a doctor drew type character, they'll tell you, you can't do that.

Speaker 8:          00:54:16       They'll tell you that you can't. What? Dalton. Dalton, any substances. Yeah. But some people even have, uh, you know, look, I don't want to ever encourage anybody to even try this, but I know that some people used to be alcoholics, took a long time off drinking and then began drinking casually. Really? Yes. Nobody have done it well, yeah. Well I think so. I think there's different levels of alcoholism. That's what we have to realize. There's some physiological connections. Like there's some people, they just have that gene, whatever that wacky gene is and they can't drink at all. Or they will go off, they'll go off the rails. And then there's other folks that, it was a compulsion and it could have been beating off, it could have been gambling, it could have been a million different things, but it happened to be drinking. And then they realize that this is a, an issue that they have with their own psychology.

Speaker 8:          00:55:08       And then slowly over time they evolve it. And then one day they were at a party and have a glass of wine and they're fine and they don't want to go out and get cocaine and beat people up. And you know, why not? The Germans don't drink. So like because they are, you know, because they were too hard. And alcoholics. Yeah, yeah, yeah. I feel like most of the time I'm like the only comic drinking. Well, I'm happy when I see a guy like that's how, that's how it seems like it's so focused now. Clean is, Norton has been cleaned though since he was right. But I, I like very much likes with sermons. Really. Yeah. I worked with him a bunch of shit. I had never knew. I never knew any of those guys when they hurt were boozing. I wonder what, even if I knew a tell a little bit, but I never like saw him like wasted or anything like that.

Speaker 8:          00:55:53       Yeah. I've seen him wasted. I've seen him wasted at the Improv. Yeah, it was, it's nice to see a guy figure out, well this is not good for me. Yeah. That's probably better to not take this back on that up in an alley. Yeah. I've always been, even when I was a drinker, you know, like when I, when I didn't smoke pot and I only would, you know, drink on weekends or whatever I would do, it was never something that I had to do and just, yeah. Could do it or not do it. Yeah. But we all know somebody that's not like that. We all know that one dude that's just itching for that drink all, it's fun to be around them.

Speaker 2:          00:56:24       Worse when they get off and then they, they, they start drinking like right away

Speaker 5:          00:56:28       and they don't realize that it's not like that for you. All right. You know, like I, my friend who who is now sober, like we would go out and you'd be like, let's get a shot and a beer. And I'd be like, okay. And then right away he's like, all right, no shot. And you're like, oh, drinking is different for us.

Speaker 6:          00:56:43       I'm not going to shock people. I didn't want to do a shot. Especially on Tuesdays. Yeah. Tuesday, drunks. That's, that's uh, you know, I'm more of a light beer Miller lite drinker, you know, like I'll just drink like, it's almost like water, you know, to me. Yeah. It's just like, I'm like a beer at west. I like

Speaker 2:          00:57:02       doing shots too and we'd have shows and stuff and we're just all being, you know, hanging out around the other one out. But just drinking for the sake of drinking. I kind of got tired of that a long time ago. You know drinking does facilitate great conversation though. You have some fucking fun loose conversations when you're around a bunch of people that can handle the handle their liquor. You know you have three or four beers and everybody starts laughing and it'd be unfriendly as long as you're only around that right

Speaker 5:          00:57:29       person in the mix. That's just like, just has that kind of Zombie just difference. It's, it ruins it like I am, we're so sensitive to other people's energy. Yeah. That if there's that one person and it's also the same kind of pre people where it's just like never enough for them. You'll be out till four in the morning and you're like all right and they're like you're leaving now. You're like, yeah cause I'm like an adult. I'm trying to live my life.

Speaker 2:          00:57:55       Yeah. I really don't like the really pushy five o'clock in the morning party people

Speaker 6:          00:58:00       does an after hours. I've been doing that lately though like last week or so. But it's just comedy store shit cause comedy store, they go rock and all night long. Don Buress is on stage just doing crazy shit once in a while. I think that's fun. Yeah. Yeah. But, but I don't know

Speaker 2:          00:58:17       best part about the comedy store. Yeah. Late night. Hang in that back parking lot. Yeah. And they said that back parking lot should be a goddamn satcom. It should. Yeah.

Speaker 5:          00:58:23       Yeah. Is it the comedy store, like the seller, like it's a work comics or not really is

Speaker 2:          00:58:27       the ownership is a mass people running in our mass, but the, the what, what the place is though, what it represents is like, you know what I mean? One of the oldest clubs in the country, one of the oldest in Hollywood and with great history of like so many comedians, so many of comedians started out there. And I, I started out there really, I mean, I didn't start out there, but I got good there. That's where I became a real comedian, the comedy store for sure. I had done it before that, but, uh, I think it was my time at the comedy store when I was just on TV when I, when I really started dedicated myself to stand up, that that was the, that's the place that helped me develop cause it's so fucked up there. Ari and I were just talking about this last night that, um, you know, he was talking about how he just started a, Ari's got like a Arash fears all these headline and gigs. Now he's fucking selling places out and he's really good. This podcast. Yeah. Yeah. It's because of this podcast and his podcast. It's just really what it was,

Speaker 7:          00:59:22       is just people weren't aware of them. Right. You know, and now they're aware of them now. And uh, I talked about him with, I'm like, it's so good that it's happening to you now because you've been doing standup for 10 years. Yeah. He's ready. And he's being in front of the craziest crowds ever. He's been in front of my crowds, which are like UFC fans. It was, first it was UFC fans then became podcast fans were just fucking savages, you know. And, and then it's the store. He's at the store in front of maniacs. I mean it's the, that is like the, the vortex on sunset. We're all the nutty fucking people come. I mean Brian, Brian used to film people backstage and that we, we filmed like a hooker, came back and told her exactly, told us exactly how she ran her business and like explain some stuff that we had a guy come back that told us he was the Holy Spirit. I mean like every week we'd meet some new fucking crazy person in that. They're really crazy. That sunset strip is the epicenter of crazy in this country. That's sunset strip. There was a deer. Scary difference to the dude. It's at the store that comes by with the cross. He puts himself

Speaker 8:          01:00:29       cross. He's not, he doesn't come around anymore. Now we actually have a way better Jesus. Oh, he's a nice guy. I Hollywood, Jesus. He did a Hollywood Jesus. He would, they would, they would have these kids and they would all be like yelling out different

Speaker 7:          01:00:44       passages in the Bible while one guy was strapped to a cross of wooden cross. And they were walking down the street with him saying, he died for your sins. He died for, it was fucking crazy. And they would always stop right in front of the store and proselytize. They would stop right there. It would

Speaker 8:          01:01:01       figure, well, this is the place that we're going to fix the world right here. We're going to find these fucking dirty comedians. Pot the worst. Yeah, the worst entertainers, the most depraved entertainers in la for sure. Standup comedians at the store and they would stop by and yeah, it was, it was a really, really bizarre place. It would have made for an amazing, uh, they tried to do a reality show on it, but it was mostly just following Pauline around. It was harsh realities. Pauly shore. Remember him? I saw some last night. Did you see nice to you? Yeah. Did you guys hug or did you just shake hands? Kiss on the lips. What'd you do? How'd you deal with it? Shake hands. Hug or shake hands. Shake. Hands to hug. No, I think I just said Hi. I don't even think, no touching. Ooh, maybe I don't remember though.

Speaker 8:          01:01:48       I could be telling her you don't remember, you might've been raped again, I'm not thinking of it. You take a Dick, sometimes you have folks pick them up in the middle of the night because he's part of the, the Columbus thing. You, you leave Columbus but you never really leave Columbus cause the aliens will come and do additional research on you. So that's Brian's. Yeah, exactly. Which I'll be there May 17th yeah. You gotta be there with Joey Diaz? Yeah. It's a Joey Diaz and Brian Red band world tour. And when he gets out of the second show, because the first show sold out, so go to desktop. Can I smell a man selling

Speaker 3:          01:02:20       out? Can I say, yeah, go ahead and say your thing. Well, I, I'm looking at my phone calendar. Your phone getting high and your website. Yeah, I've got it. Okay. It's hit Tampa next weekend and in Denver, comedy works the weekend of the 27th oh dude, you have a cool site. It's, you look at a black art and once a month, this is my favorite thing I've got going on. I'm at the Riviera at the starlight room. Uh, yeah. I've got once a month. I'm there Friday, Saturday, Sunday. That's fun. I love, I'm like loving Vegas. Wow. That's crazy. Do you think you could be like one of those like, whoa. You know, I'm telling you what was a woman who, um, it was the, uh, Rita Rudner. Does she still have a thing there? I know she was always like, kind of like, you know, she was a headliner and national headlines, but when she settled down in Vegas and like, like only did a show at this one place, that's when I think she started making crazy man.

Speaker 3:          01:03:16       I'm loving the crowds, the riff so that we could do it. I've done two weekends already and it's been great to do one weekend out of the month. I do one weekend a month. It's me headlining. It's, they're starting their marketing as Amy Schumer slaughterhouse and it's me, Jackie Monaghan and then one other female comic like Nikki Glaser, Rachel Feinstein or, that's fucking awesome. Yeah, it's a fun show. It's like the, it's like this old timey theater. Um, the starlight in the of every single weekend marked off like what if something comes up? But what if they've been cool about I'm filming a special, they were like, no problem. Just change it. Yeah. That's great. I love it. I'm loving it. So it's once a month. Is it like the last weekend of every month or something? Like it's kind of all over the map so people can follow us on Twitter. [inaudible] on Twitter or it'll be on my site.

Speaker 3:          01:04:11       On your Twitter page. Twitter page. Just for that show. Not yet, but there will be. She'll be right. It's like a new, like it went really well the first two weekends cause right now I'm splitting it with dice. Oh, he's there to do the podcast. I've got to get, get a hold of him. He's there when I'm not there and maybe like I think and Gilbert Godfried yet. But it's, it's been cool. I'm digging the shit out of Vegas. Wow. That's crazy. You're going to be a Vegas girl. What do you dig about Vegas? The hookers. The math. I don't like big crowds are like people drinking for the first time. Um, but uh, like I really like the Sunday show. I've, I've been there a couple of days during the week now in Vegas is very cool. Not on the weekends. Yeah. Everyone is like very chill and they're like, okay, now we have our world back. Ah, yeah. It's a totally different vibe. It's really, it's like nice to crazy God damn city, crazy goddamn city to have a city where everything stays open 24 hours a day. Strip clubs, food, booze, cabs. Keep moving, stay up.

Speaker 8:          01:05:18       You need coke. I got called everything. Boom, boom. And then even know I needed that. Yeah. You didn't even know you need until you got it right.

Speaker 5:          01:05:25       We're a tranny. Norton can move there. No, I uh, but it's like every night, all the girls, like, they're all like, these young girls squeezed into these tube dresses and the Kiehl's are so crazy. They're just walking like, ah, they look so comfortable. Yeah. They don't even know what they want. They don't know yet.

Speaker 8:          01:05:42       Putting their ass in a catapult right in their legs. And just launching the crowd but launching it at the end.

Speaker 5:          01:05:50       But there no way to do it. It's like everybody's splitting. Like there's 10 girls in a hotel room. Yeah, there's always that. The dudes are all just like so psyched wearing. They're just, they're just like, fuck yeah.

Speaker 8:          01:06:00       Men with perfume on and shit. What are you thinking about Cologne? What do you think about when you're about to make out with a guy and you smell some artificial smell on him?

Speaker 5:          01:06:08       I like a guys smell normal smell, but I don't mind some old spice old spice. Yeah, but I don't know. I don't know.

Speaker 6:          01:06:16       Daddy, how many dudes do you think bought 50 cents? Cologne? I still wear Cologne. Joe. I know you're against Jeb. I wear Cologne was spoil. If I was you, I'd probably be into it. What does that mean? These whatever help he gets? No, no, no. I mean, I spray axe on my balls at the spray. Little low on the board, on my, uh, Bonnie. Zach's when you spray on the balls, does it sting? No, I have no open sores. Like you safe. I did not shave my body,

Speaker 8:          01:06:47       my balls, and then put aftershave on my balls just to see what it would feel like. Kind of go, whoa. Um, it was not, I'll tell you it didn't really, it hurt, but it was more like, I would say more like a really alert sensation that a pain reminded you. Follicle. It was like there was no cuts. Luckily I didn't, uh, I didn't injure my balls during the shaving. No, there was no nicking. I fortunately had a really good razor. Yeah. The event is, I like to see my balls to be covered and now my, my balls are so salt and pepper. It's so sad. It's literally maybe 20%. No, not 20, but 10. I'd say $110 chocolate munchkins. So one and a 10 is gray. Mike. They're going, oh no. And so I don't like looking at him. So I shaved the board. There's no one's in the, no one's in the gray. Pubes not girls drive

Speaker 5:          01:07:41       English. I saw a dude at Runyon yesterday and he had facial hair from here down thick. Like, he looked like a wolf and he was walking with all these like overweight Hispanic checks, uh, and like yelling at them. So I caught up to one of them in the front and I was like, is that your teacher? And she's like, yeah. And I was like, what's this? What's it? His hair? And she's like, his wife likes it like that. And I was like, oh my God. Wow.

Speaker 8:          01:08:05       Paul's got a really hairy pussy. And they lock up like velcro.

Speaker 6:          01:08:09       God, I could. That's how she makes sure she keeps eating. Eat that Boosie I want to let your mom go out of my, my mouth. You

Speaker 8:          01:08:16       stop. You'll go. Well, I'm thinking here we box. You've got to go with you to that are Lebanese. I don't know how to do a Lebanese accent will give it a shot. I don't think I'd be careful making me sad. You're a racist. We're trying to like promote like unity and here, you know how we were talking

Speaker 7:          01:08:47       podcasts the other day about these giant packs of wolves and the Soviet Union. Somebody sent me a tweet right afterwards about a story where these 400 wolves had killed 30 horses.

Speaker 7:          01:09:01       They're a pack of 400 wolves apparently is like from over a year ago, but he just tweeted me to show me how bad it actually got. There were pictures, oh, I don't know. They didn't have pictures. They had just had the article about how they're hiring teams of hunters to go after these walls. This is an unprecedented size pack. They usually, they go and pack of packs of like less than a dozen, much smaller packs. Really taking over taking the Thrones in the Soviet Union. There's some spots were former Soviet Union, what do you call it now? Russia. What do you call that? Big, what do you call it? That because Russia is only part of it, right? Whatever it is. It's like, I think this is happening like up north and it's, you know, these poor people live in this fucking sucks. It sucks to live up there and apparently the wolves are starving so they just, they just got together and I said, listen, the all of us together there, I guess they figured it out. It's overpopulated. Six people, six walls can't really go in and kill horses. They'll shoot Ya. But if there's 400 of us, we're going to get some horses and they're not even going to shoot at you because you're going to be terrified. She imagined I just rush in and in, in the Russian Tundra, wherever the fuck it would be like frozen outside and you look out and see 400 wolves

Speaker 8:          01:10:13       horses. Oh my God. Well that was the thing about that game of Thrones movies. Like it really connected you with how these people had to live back then. It was a real like chicken, it's my white walkers. I was like, I was watching it with Mrs Rogan and I was like, what happens if one of those stupid wooden wheels brakes, they have an extra wouldn't wheel. We're going to camp here. I was looking at how slow it was moving to and then like that's real shit. It moves like the way you jog. That's how people got across the country.

Speaker 8:          01:10:57       We're talking about, we've been traveling for over a month. Look what you have to bring enough food and water for a month and this stupid big box that they're pulling on dumb wooden wheels and they're just hoping there's going to be a road there when they get there. I was mad that the valet valet like wasn't ready with my car. Yup. Back then. What did you have? You had like a kingdom and then you had some roads that would go off until like villages and shit and everything would just be the same ground that was stepped on over and over again until it flattened out. You know? It's like from people walking. That's how roads are creating, right? There weren't, we're doing community service.

Speaker 6:          01:11:34       Keep the trail. Chris Brown wasn't out there picking up passing cops. Oh yeah.

Speaker 5:          01:11:41       Just in case you guys like ever have to do some hoeing wireless. Yeah, just like this. That's not how I do it.

Speaker 8:          01:11:46       What's the difference? What's really fucked up about that is that that's not that long ago. I know. Not that long ago. That's how people live. They just walked around and got on horses and couldn't go very far and people are still doing it and then you'd have to worry about the people from, you know over there getting all their shit together and coming over here and fucking everybody up. You always had to worry about that. People are always looking to take everybody's shit. Yeah. It was like, can you please just promise not to take our shit? Like we promise we will not fuck with you. Yeah. When people, the king would get there and they'd all get off their horses. You just said, I had to hope that the king wasn't a fucking total psychopath. Like, oh this new king, he eats babies. She's going to be a tough hundred year rob. That was it. James can do whatever the fuck they want. That's what was really crazy. Oh God. Back in the day. That's, that's how people, that's how people live

Speaker 5:          01:12:36       and like groups of people are supposed to die out like, like species. Like, there's all, you know, the crazy like deep into Africa who still, they're just like, do not give a fuck what we're doing. And they make like clay bowls and no one buys them anymore. But like we like outsourced to help them and uh, but now we've gotten so smart with medicine and the Internet that we're just staying alive forever and we're like, Fuck God,

Speaker 8:          01:12:59       whoa. That was deep yo dude, who has a BA in theater

Speaker 6:          01:13:05       down to the universe. That should have been the opening to the new soul train. That's it. Do you think if you were king you would just go around the village and like pick a different girl at like almost every day and let them do it more? Would you like to find one girl that you really liked

Speaker 8:          01:13:19       martial artists and to have discipline and I would know that if I did that I would go mad.

Speaker 6:          01:13:24       Yeah. Yeah. Brian

Speaker 8:          01:13:26       go barbarian style. I don't like my, that part of my brain. I like to keep that part of my brain under route.

Speaker 6:          01:13:32       Just no, just to experience different flavors. Like a total neanderthal lurking that I got a wild, yeah.

Speaker 8:          01:13:37       Pansy deep in the back of my brain. And if I'm in a hotel and it's on fire, that's when it comes out. Yeah. Oh Shit. No, I'm saying if there's a bunch of people in front of a door, we were at, we were at a hotel fire in San Francisco. It's four 30 in the morning and all these people were moving slow down this flight of stairs. And uh, I was seriously contemplating running over some fucking pages, started stabbings. Cause I was like, you guys are not the first of a lot of people were on Ambien. Actually talk about this in my act. Cause it's true where people want people, a woman was having to explain to her husband as he was walking down the stairs. Yeah. What the fuck was going? It was, it

