Speaker 1:          00:00:00       Oh No, no, here we go. Good. Here we go. Three
Speaker 5:          00:39:22       It's not the quality of the picture but the food is a little bit. Yeah. Some hunters don't know how to cook. We have a lot of hunters in Quebec and sometimes you know the hunter will bring by the. Because I shot this beautiful Mousse David at wayside 2000 pounds or 1500 pounds and he shows me a picture on his phone and then he brings me a jar of the spaghetti sauce he made out of the Moose after like really like you. You shot them majestic Moose and the forest and you made spaghetti sauce with it. Like put Kiwi and then because it tenderizes the meat.

Speaker 5:          00:39:58       Well listen, spaghetti sauce with ground moves is delicious. I'll give you a tip. You gotta have you gotta have a high eat everything. I eat the whole thing, right? I mean I, I've, I know how to make the roasts and I use the ground for a bunch of different things and I just think that if you, if you do it properly or if you, if you want to handle it properly, you've really got to read up on how to cook wild game as opposed to how to cook anything else. There's a very little fat content. It's a tricky kind of meat to cook. There's a tool, it's called a lapdog in French. It's like a big needle with a swivel tip and what you do is you cut long strips of fat and you poke him through the meat, abject it. Yet you don't inject, you put like, like writing it, threading your piece of meat, like the loins are the fat, the back straps, it's, it tends to be leaner.

Speaker 5:          00:40:53       So you put long strips of pork fat inside and you cook it slowly enough that the pork fat will melt inside. So in every bite you'll have a little bit of fat to neat saying it's an old French cooking treg yeah, that sounds sensational. Or what we do actually for the wild rabbit, which is extremely dry, we'll put a veal foot with the skin, so that'll give up the Collagen and we'll put the slice of pork belly with it. They'll give up the fat. When are you guys going back to Montreal? Tomorrow. Tomorrow? Yeah. I can't give you meat, right? It wouldn't. No, it couldn't get through. The border. Wouldn't work this way. The other way works. Yes, it works if you

Speaker 4:          00:41:34       hunted and bringing it through. I brought. I brought me back, but a damn. I'd like to give you guys something. See what you do with it. It's a lot of things. It's our favorite meat, but you know, it would be sooner. Be caught with bricks of hashish then. Then Venison as restaurant owners, you know, like, like you, we'd been. You cannot have any wild game in your restaurant. Even if it's just for your own personal consumption, not really started yet into two is a problem and never in Quebec if caviar, you know, we have a lot of sturgeon in the Gulf of St Lawrence that laws are written like lights out, ridiculous. If you get caught with like a gram of caviar and your boat, you don't have a license, so freeze your bank accounts and sees your house kind of thing and we'd go and we'd go south quick.

Speaker 4:          00:42:22       What is the concern? Is it such a commercial market for sturgeon caviar? Is that what it is? Yeah, exactly. Yeah. Wow. So people will just go that far out of their way to get caviar that they had to just make these. It's like a fish right now is worthless if you can't use the caviar. Right. We're allowed that. There's a fishery for them. They fished sturgeon in the Gulf of St Lawrence. When they catch them, they have to gut them. They have to remove every egg and dump the eggs into the water that they're allowed to bring the meat back, to smoke it and salt it and to sell it. There is a commercial commercial wild fishery for a sturgeon meat, but the. So ultimately you just put a price tag on the fish. Let's say it's worth 200 bucks, but all of a sudden if you're allowed to harvest the eggs and the fish, 15 grand.

Speaker 4:          00:43:07       Yeah, it would just be, yeah, because they produce a more monolithic amount of eggs. What's crazy is now you're making it useless because you're throwing it away. Something that's incredibly valuable and delicious. The quotas are very small though. Let's say if you had a sturgeon license, I imagine you're allowed five or six or something like that. And uh, the first nations like Mohawks, the heroes have the right to fish. You know, we've been on boats where a guy was fishing, you know, he showed us the traditional technique and it's not the sports fishing like the soup, they, this, they like, they love it. It's great fish in themselves. They the eggs and make soup. They put the eggs in it they like or they catch sergeant 20 minutes from Joe Beef right there downtown. It's a dinosaur. It would up with a spear. Wow. It's a crazy animal.

Speaker 4:          00:43:55       And when you see them in the water, yeah. Do you see the scales on them? So bizarre that I mean, how they're from what 100 million years ago to start. Once they look like dinosaurs, they really do. And the guys that we know that the system is quite the character is an interesting guy. He's a, he's a Mohawk and he told us that the biologist but underwater cameras there to look, keep track of the fish and they said they see like 16 layers of sturgeon swimming, one at the top of the other. He said I could walk on the fish. You know, there's that many. Yeah, there's a ton. Wow. That's. But again, you know, the people don't really. We even struggled with it at the restaurant. For me to sell a plate of smoked sturgeon, tough sell, you know, sooner sell other things than that. Uh, people aren't interested.

Speaker 4:          00:44:42       I think it's a tough sell as a fish. Let's say as a, as a 200 gram or four ounce piece of fish thing. That is so crazy. Is that the same river? That's probably Columbia river sturgeon. That looks like frasier. Yeah. Fraser, NBC. Look at the size of that thing. That is so ancient looking. It looks like it shouldn't be here. Yeah, it's a fish that's a bit muddy. Do sometimes depending on where it's caught and everything. So how do you, uh, how do you handle it? Like if you were going to cook one of those, we make Jamaican patties. Fuck, we did an old French cookery. Uh, one of the ways to cook sturgeon is, you know, ultimately you apply cooking a piece of sturgeon loin as you would a piece of veal loin of pork loin. A meat juice even is acceptable, you know, roasted carrots, roasted onions, roasted to salary, roast the storage in and bake bacon, mushroom red wine, like Fred said.

Speaker 4:          00:45:39       So you treat the sturgeon as you would meet is possibly the best way to treat it as you would. Fish is not the best. You know, people got to expect we were overly fortunate to have, you know, 300 gram, you know, like a pound of fish, seared in a pan and served with a little sauce was common thing. Right. But it's not the right thing to do if we want to keep things in the water, you know, for kids or whatever. So people got used to this like a piece of fish that they like, nothing that you can eat for like an hour and a half because you have so much of it then that's the standard. But at fish lake sturgeon is great. If you have a little bit then the sauce, like David Mate says, talks about over like a buttery mashed potatoes or like with like an egg noodles or something like that.

Speaker 4:          00:46:29       It's a great way to do it. Then it's a great way to look at fish were like, you need actually 75 grams of protein, not like 500. What is the, is there a comparison that you can make in terms of what it tastes like? Yeah, I'm [inaudible] a little bit, I guess somewhat braised a braised veal color. Uh, what'd you say? Blanquette? I'd do a larger piece of stew, like not a small two inch block of Stew, but let's say a bigger piece of stew with a chunk of seaweed in it, you know? Yeah, it's neat. It's neat. It sounds now I'm hungry for it. We do like a fred. Fred got the, made the God, the big nuggets. Molds, you know, because you know, the mcnuggets have this like not there was like four or five different sizes. Fred made the mold and the first book I, they precisely exactly like the Mcdonald's mcnuggets and we used to do sturgeon mcnuggets or eel eel mcnuggets. Same fishery, right? We have deals where we get sturgeon. Uh,

Speaker 3:          00:47:30       it was kind of a ton of them at the restaurant. It would literally, you'd be a job for and you'd get on your plate what looked to be like six mcnuggets with the sauce and the Little Paper Cup on the side. People like, what the hell is this? I says, Sergeant Nuggets. People is a weird one. When I used to go fishing, a lot of people would catch eels, they'd be upset, like, and then I would go to buy Sushi later on in life and uh, there'd be eel Sushi and I'd be like, what the fuck is going on different? A Wolf Wolf Eel. It's a different fence. It's not, it's not a true isla in Sushi. Yeah, correct. Yeah. Even like the real deal, I'm, I can eat bits of it, but if we were to take a kneel eel and dislike first you have to put a nail in his head and the nail and it's Dale and like skin it and cut its head off and peel it and put it in a cast iron pan with butter.

Speaker 3:          00:48:21       And it's still moving like a snake and the smell of it, it makes you choke, you know, we had like four. We had a little truck pond at Joe beef that I built, you know, really that and it, it was a bad experience because we had a refrigerator thing that makes the water cold, you know, a cooler. And we had a pump. Every time it rained, it would turn the breaker off and now the fish like drowned, drowned, no oxygen. Martin Picard gave us some meals and we found him the next day in the parking lot, like all the way on the other side of the parking lot and the baseball field or the bleachers when shit, they're cooking it and it's swimming at a head and no skin at this point. This is a grill. What does it say? It say shocking clip of cooking and eel alive in Seoul.

Speaker 3:          00:49:09       Nobody's got that. That els beheaded and skinned beheaded. Still nervous system is still very intact. What is, what are those things? In the bottom there was this legs. What is. That's probably its guts. Oh God. Look at that thing bucket, man. That's like, that's real. Stir frying. I caught one whites in Nova Scotia and a hook and line and when I caught it, the fisherman next to me, he said, oh, don't reel it in. So I just held my fishing rod. I wasn't reading in and the eel real. That itself up my line to the tip of my fishing rod and started reading down my fishing rod towards me. I was a kid. I was horrified. Ever since then I've had an issue with like I worked in a restaurant in France and diesel and in the fridge right near the cook of the hotline, the cooking line. There was a wooden box with a cinderblock on it. It's the first day at work there. I was helping out on the fish station and I hear in French [inaudible] on come on the Webinar, what do you all ordered up? And then the, the, the, the fish chef says go in the fridge, there's a wooden box. You take the cinder block off it, you just lift the lid a little bit. Plunger hand in there, grabbing eel and bring it back to me. I was like, kidding, right.

Speaker 4:          00:50:29       So I literally do that. Go into the walk in fridge. I pulled a wooden box out, I take the cinder block off the top, I lift the hit. It was just literally, you know, 50 eels rising together and it's like Indiana Jones, you know, they live with an out of water. No problem. Martin Picard at Peter Shaw in his restaurant right now. What was there last week? He has a lobster tank right in the doorway. I think they hang your coats right above it and in it there's like eight massive eels. Then chase them when they come at work in the morning they reopened the restaurant. They'll find them like in the cash, register it in the coat check. They have like cinderblocks down now on the top they got a plexi glass top with holes in it, so it oxygenates and they're like literally pinned down in that tank. But even as you're eating and you just see those giant eels in the tank or size of your flag here, it's just horrific. You know, it's the best thing about eels talking about it.

Speaker 4:          00:51:31       Now. What about the flavor? I like it. Super smoked, super salted down with a good sugary, salty brine. You have to cover it like in nuggets like we did, but like even like laying dead restaurant David was talking about if you take a fresh piece of veal and put it in a cast iron pan to smoke, it does. It's like mustard gas. Oh yeah, yeah, yeah, yeah. It's good. Like it's super. I'm a little bit allergic to it. I guess not all fish but some fish and I, when I used to work at that restaurant, we would literally like put a knife through his head and into the cutting board and then another knife through its tail so it would be straight on the, on the cutting boards. We pinned down the left side on the right side of the hill. Then we'd lift the filets skin them, score them, and then Pan sear them with artichoke and country ham.

Speaker 4:          00:52:23       And as I was pants hearing them, I was breathing in the vapors of searing the eel and my, my lungs would seize, you know, I'd have like kind of like, it would give me an asthma attack somewhat. It was wild. Now it's just a popular dish in France because of necessity, because of a lack of, a lot of, a lot of old French cooking would be based on what you had in your neighborhood. Uh, you know, French cooking was very different pre federal express, pre roads, you know, so eels in French cooking would come from the Bordeaux region ultimately, and you know, it would be like a donkey, so it would be an eel stu in red wine of course, carrot, onion, celery. Exactly like a beef stew. And I think also the thing about it is that it's a dish that you wouldn't make at home, you know, so people would go, lay on d, Let's go need to heal because that's what there was.

Speaker 4:          00:53:20       You don't want to have the cinderblock plexiglass case in your house. And then the imagine your house with your, your kids are my kids land praise, there's Bordeaux, there's some, you know, some of the famous iconic dishes of Bordeaux is lamb praise. This is like an animal from Dune, you know, it's like a big hole with teeth. They're the ones that cling to the bottom of sharks. Correct, no, that's a remora. Oh, okay. The land prey is a problem actually. Now, even in America, they're coming up in some rivers and they attached themselves to fish with their suction cup head. They're just horrific animal suction cup head too. If it's like, dude, it's like that alimony dude look like that. Yeah. What do they taste like? Probably the crappy like eel. We did a dinner Shittier Isla. We did a dinner for Tony when he did his second book I think at Liverpool House and I was, we were much younger and I was like, oh, let's buy some like daring food, you know, Tony Board endless by something like fucked up.

Speaker 4:          00:54:19       So I ordered like two of those eel and I try to make soup. Widowhood had tried to make everything and again, you know, the classic Joe, the best thing to do it is to put it in the garbage. You are, you make stock, you reduce it. The nutro it away. I'm sure there's a recipe that's good and I'm sure in, in case of apocalypse after the winter succeeds will fish for that and we'll eat it. But until then, I'm, I'm, I'm okay with like cutting my big MACs in half, so they last for two days. He was a cool company that I've been following a company online I think on twitter, instagram. It's called American who Nagi. They're up in the Atlantic, northeast area I think in Maine or Massachusetts somewhere or they have some really. They're raising eels, I think releasing them into the nature and they're selling eels commercially. They looks again like horrific work raising them and releasing them in the field. Who is there like some sort of a environmental benefit of having the eels? Is it staying about the lobster and put it away in a freshwater river? There are weird animal. Right? Again, loosely based. My facts are old reading, but from what I recall, eels are cool because they all the eels

Speaker 4:          00:55:35       every year. Go back to the Sargasso Sea.

Speaker 4:          00:55:42       Is it true that that's what I remember. Was that folklore, you think? Filtration, volume? Yeah. Yeah, yeah. Oysters, filter emails. So they all go back to this one area though. Supposedly there's a breeding area for them called the Sargasso Sea. Great place for swimming. And where's the Sargasso sea is kind of a southern Middle Atlantic from what I recall. So that's pretty. That's pretty safe, right? Where the where the where. The mythical plastic patches. Oh, the plastic. That's a pacific. You think that's mythical? I Dunno. I've never seen really a giant, a real true picture of the Sargasso Sea. The eels in our last date in their way. Wow. That's so creepy. Look at that fucker making his way. Beautiful. Video two. And what is pretty cool?

Speaker 2:          00:56:35       Wow. This is a guy named boy slot. This is name, who is a young fellow that figured out a way to filter out the garbage patch and he has been. He developed this device and they recently started implementing it, but he's been uh, he's been on the podcast before and when a great detail about it, the garbage patch is real. The American Pie. Whoa. Look at those fuckers just flopping around. Yeah. So they're an American new Nike's a instagram page we're on right now. They're in Maine. Yeah.

Speaker 4:          00:57:08       Our aquaculture. That's cool. Demaris Kata is great. Oysters there too.

Speaker 2:          00:57:12       What about, have you guys ever cooked or eaten? Blueberry bear.

Speaker 4:          00:57:18       No, we don't Mark Marta in Montreal. Martinez even embarrassed. He's hunting berry goes and baits every weekend and then he goes in shacks. And what's a blueberry bear though? My friend Steve Rinella. It's described this to

Speaker 2:          00:57:33       apparently when bears eat blueberries, when they find like it's towards the fall in particular when the trend of fatten up before they go into the den, they'll find these massive fields of blueberries. He, he shot one in Alaska and this bear had eaten so many blueberries and when they opened it up it smelled like blueberries. The, the actual fat had a purple hue to it and it's supposed to be as spectacularly delicious meat. Totally makes sense.

Speaker 6:          00:57:58       But you know that. It's funny you say that because I was thinking about that with Venice and before we have some friends who had a venison from and what would they visit? Right?

Speaker 2:          00:58:07       This is steve cooking it on the show shows called mediator will actually a guest on the show here Friday. Um, but see how the fat tissue to it. But he said it's, it all smells like blueberry. So he rendered down the bear fat and then because this was all in the field and then cook the bear meat is blueberry bear meat chunks of it in the fat.

Speaker 6:          00:58:29       Well, if the pigment is a lipid soluble, then it would make sense that you find it in the fat. But they made a, they made experiments, are friends with the deer farm and what they did, they wanted to know if the, the taste of venison was owed to the fact that the diet of the animal or the way that hunters traditionally break down the meat in the field, the field dressing of the meat, you know. So what they did is they put up a beef, like a steer and they shot him and they, they prepared them, they dressed him the way you would a deer or a moose and then they at the same time did the same thing with the deer. And then they did the slaughterhouse treatment like a commercial treatment for both animal. And they realize that once you, um, your weight a little bit, even on the beef before you got it, before you skin it and everything that funky or that Gamey taste will come even to beef no fracture.

Speaker 6:          00:59:29       That's why yeast in nature, it's probably also they think that you might like the skills to properly extract the guts. You might perforate the guts sometime. You might perforate the, the bile a pouch there. Parts of the innards might come in contact with the skin will be onto long, not bled properly as well. Yeah. It's not blend properly. And then, you know, it's not chilled super rapidly. Make you kill in the morning. The whole sun is out, you know, you don't have a fridge with you. We have no water. And. But on the other hand, when we have the wild rabbits, they taste like juniper, like very, very, very strongly like juniper. And that's, that's in fact the challenge is to get rid of some of that juniper taste. It's like the partridge that we shoot at the lake and in fact it's spruce spruce tips and instead of when we cook, sometimes we'll cook meat and then we'll, we'll even add a partridge or at home I'll have the partridge or a wild rabbit just as seasoning to the rest of the pot.

Speaker 6:          01:00:36       You know, if you look at all the traditional French Canadian dishes of hunters, they're all like all the games that are mixed up, you know, so you never have. This is a modern queasy ne like culinary fancy thing to have a breast of partridge seared on a bed of cabbage. You know, those things are always treated with, like I said earlier, with fat, with like all the spices, with wine, with Cognac, with layers of like, you know, even like organ meats in there and you put a crust over eighth and cabbage, you know, it's like, that's like we said, it needs a lot of skills to eat. Like good game.

Speaker 2:          01:01:13       Yeah. I've never had gamey venison. I've been very, very fortunate that I've. First of all, I've learned to hunt from people that really know what they're doing. So we didn't let anything sit out in the heat and made sure we opened it up and cooled it out quickly, but one of the things that they do do when guys are deep into the back country and they have an animal and they kill it and it's even in the summer when it's warm out, what they do is they hang it and give it a lot of air circulation. It develops a crust on the outside and then they cut that cross back. Um, and then the meat underneath it is sort of tenderized and a lot of ways in a lot of hunters say that it's even more delicious that way. It's protected by the, by the, by the crusty created. Of course it probably starts. The bacteriological work starts to work inside of that crust. There's age

Speaker 6:          01:02:01       to process by which the meat gets standard. The first one is the rigor Mortis, right? Like the meat rests and the rigor mortis. I guess all the cortisol and everything that like stiffens the meat at death. Well, the meat will rest and then it's an enzymatic reaction where the enzymes, where it can break some of the meat fibers and the tougher muscles and stuff in French. The word for arresting meet this called [inaudible] on d and fasten is a pheasant, you know, because they used to hang the pheasants by the neck until they fell.

Speaker 3:          01:02:33       Falls off the skull. Then they're ready to eat. Yeah, I've seen that before. That is so strange. It's hard to eat. I've had it a couple of times when people like this, it tastes like death warmed over. What the fuck is wrong with these people? Why are they eating it? Like guys, it's a, you know, a lot people love a strong flavors like blue cheese, like munster cheese in Germany. Uh, you know, so this is all because ultimately if you just eat it fresh, it's chicken of the woods really. Right. So it's good. Yeah. By letting it go a little bit, letting it ride a little bit. They get these like secondary, tertiary, intense flavors though

Speaker 6:          01:03:11       maybe two or talking about probiotics. You don't those traditional ways. You don't always know what you, why you do them, but maybe initially they're like you incubate the know, you immunize yourself a little bit, you know, like the taste is, you got to love it after you're used to it, but initially it might be a way to have some of the bacteria is. I think you talked about soil based probiotics before I read about that, like we're realizing that like okay, yogurt, probiotics are not the whole thing, you know, so maybe there's soil based probiotic, animal based probiotic maybe were completely wrong about what flora we're ingesting and maybe there was like a way to get your flora. Yeah, makes sense. I guess there would be some strategies for taking that stuff in, but I would think flavor wise it would mean cause pheasant if you just eat it fresh. It's delicious. It's light. It's very nice. Like I would think that

Speaker 3:          01:04:11       unless there was no other way to store it and they didn't have refrigeration, which of course they didn't when they first start. Refrigeration is a super modern invention. If you look back, like I worked for chefs in my apprenticeship that told me stories about their apprenticeship and it's like night and day, they said when we woke up in the morning, we used to have to fill the ovens with coal, you know, and go down to the Ice Locker and dragon ice block into through the, what's that stuff called? The Wood Sawdust, this sawdust shed. And I was like, what? Wow, you know, is that a lot of these old French restaurants that are famous had coal fired ovens and ice block fridges

Speaker 6:          01:04:55       and the apprentices would live above and they take shifts. You know, one night they'd be you that would make sure it doesn't die because otherwise it'd be hard to start again, you know,

Speaker 3:          01:05:05       like burn every day. All of it, all the time. The restaurant stove was ultimately, it was also heating the whole building as well. The hotel was heated by the wow, but makes sense. I mean, it really does, but there's not a lot of animals that they would let it get that funky other than shark. The shark. Oh, they're doing the Iceland or a shark. There's a Korean dish that I'm actually curious to try, it's Cape Wing that is fermented, but until it gets that ammonia flavor, you know, like you smell a camel bear and they pause and you smell it, smells good, funky cheese. Then you go a bit deeper, you know, bigger width. And then we were like windex, you know, you got the ammonia. Some people look for that different cultures or into different flavors is a friend of my nandy went to Calcutta three weeks ago and came back with the number one candy in Calcutta or in India.

Speaker 3:          01:06:05       It's just weird candy called pulse. If we had one right now, all three of us. It's a repulsive candy that tastes incredibly of sulfur and fecal rot. But in, in India, that's the candy. Like people love it. You know, in American winemaking and French winemaking, there's things in winemaking called flaws, the flaws of wine in France and in natural winemaking, organic winemaking will always be volatile. Acidity and Bertino miceys, um, volatile acidity smells in the wine vastly of vinegar. And Bertetto miceys smells vastly of fecal matter. Barnyard fecal matter, you know, uh, these in, in, in North American wine and even in French wine are considered as flaws. You know, in Japan, they love natural wines from France that have high volatile acidity and brettanomyces smells what would be ultimately considered a flawed wine. And France and natural wine world is considered a delicacy in Japan and the natural wine world.

Speaker 3:          01:07:17       Wow. So do they purposely take ones that have that funky smell and ship them off to Japan? Some winemakers, the line agent will come and visit the seller and usually the winemaker will point him in the direction and say, maybe this might be for you guys. Yes, yes. This is what we like. We'll take cultivated on purpose and that I figure like a, nobody right now will come up and say it outright. Uh, but I believe so as Japanese there are Japanese winemakers now all through France that work in a very funky way and are more or less, you know, pushing those wines into the Japanese market. Okay. I have to try this just because it's disgusting. So tell me what the name of the candy is again. Pulse misspelled that put you lsc. It's a green mango candy. Yeah, it's originally, it's a classic snuck right where they use the sulfur salt. It's called black salt and they'd put a bit of Chili and sulfur salt on mango and I have to admit that when I had

Speaker 6:          01:08:16       the real green mango with the sulfur salt is not that bad. That candy was like pushed. It's like the mega warheads, you know, that we had as kids. I wonder too sometimes the Gamey flavor of the cheese. That is the yield of that is I see it sometimes as a bit of a like, you know, the ghost peppers, a bit of a pissing contest between, you know, like it's like no one could possibly enjoy the taste of gross prep. No, no. I mean, does it even have a taste? I mean, you even responding to that taste. I won't even try it. Who, you know, who loves that, you know, alleviate those guys. They have like, they watch like game of thrones, they get together and they, those peppers. Oh yeah. They have like Olivier all Boman mercier who's a fighter in the UFC and they'll, they'll have like ghost pepper parties, you know, and then the next day they'll go to comicon and dress up as superheroes and then place them online poker and then eat more ghost peppers.

Speaker 6:          01:09:12       He's also a UFC fighter. You got to think he's a very extreme human being. He's a funny kid, but he's very, very, very nice guy. Yeah. Brilliant. No, that, he was a trained killer. You would have no idea if you talked to them. It just seems like a gentleman. He's a sweetie. He's a good kid and it's a good fit for us. It's interesting. You know, we, we actually have a bit of a chapter in the book where we talk loosely about those guys in that relationship where you guys sponsored him or something before the reebok thing. Yeah. Because I remember one of the fights that we did in Montreal, we went to your restaurant afterwards and Olivier showed up after his fight and you guys were congratulating him and his, uh, his fiance's, his wife works, his girlfriend works with us at the restaurant for a long time now.

Speaker 6:          01:10:00       And uh, you know, we met because these guys, it's interesting, they're super into food and they're open to a lot of things and they're curious and a lot of them get aimed in the wrong direction, you know, like the brown rice and chicken direction and, and you're responsible for in big part for the awakening, the nutritional awakening of these guys, you know, a lot of them go for their gun license now just to be able to hunt. They go fishing on the weekend, they go for like two hours hike in the woods and like little fishing rod. They come back with droughts and we get a phone call. He's like, Hey Fred, I go fish for trout. You know, what do I do with that? You know, it's, it's a great thing. And Yeah, we did, we did sponsor them after. But then what we do now is we, um, we cook for them post way in A. Marco did GSP the last fight at Madison Square Gardens. They were, the boys were there for a week. We've done Tim Kennedy after for a week and just hung out and cooked meals. We sat in the kids a Marco and Fred goes and Gab goes, Gabrielle drop pro. They go, they rent a suite and they prepare all of the

Speaker 4:          01:11:14       up to weight cut and afterwards and do they have nutritional requirements for the weight cut and like the week they do, they have a nutritionist there with them, but then they had lines. But my, I have a take on that is if the nutritionist writes a plan and the food's not good and you don't eat it, then it doesn't. Doesn't work, right? Like Amoeba, right on paper. But if you don't take the pill then you, you don't just say chicken and Kale, this much grams this. But we can. Professional Cook will make the Kale delicious or Brussels Brian's chicken properly because the Kale could be bad and the chicken and be dry thing too. That works, that are already suffering. The thing that works the best in that case is that all of a sudden you have in the room, we set up a little table which is so.

Speaker 4:          01:12:06       It's not like playstation dirty, underwears, pre-fight vibe. It's dining with friends, it's dining with friends and whether it's Marco Gab me, we know we don't talk. If you don't want to talk, you want to talk. We're here, you know, and we'll, we'll, we'll hang out. But then you feel like your eggs in that Tortilla, you feel like your eggs with potatoes or like it's mellow and it helps a lot with the, just the context of not being like ordering pizza from room service. You know, Jordan used to tell us all horror stories. We know before some of his biggest wins years ago with George say eating like room service Rigatoni and pizza before like a major fight. You know. So now it's different and it's fun because like David said earlier, we have many interests and it's great to be able to explore them like that. You know, because we couldn't, we couldn't do this job if it was for like 12 stoves in the kitchen, a bunch of pans, cooking pieces of meat, writing books about the seasons and tomatoes and starting again.

Speaker 4:          01:13:12       Like I, I couldn't do it. Like we love that being a chef. It's like one dimensional really, you know? And that whether it's like Olivia with it, it's like going to visit and Neil farm and you know, like it's, it's, it's makes it worthwhile up to this point. Well you guys have a great philosophy about that and that's one of the things that really came through with the board danger when you guys were in the ice shack, is that you, you enjoy living well. Yeah. Everybody has to live better. Take care of yourself matter. Get Out, turn your phone off, sit with your kids, listen to brilliant things, man. Mind your phone off and come with stories. I had friends, one of my. I have all my children now. I'd, I'd love to sit at the table and I'm quiet. I just let them talk and asked me questions and watch them and it's just the best. It's better than my relationship. My kids is better than any relationship I have with any of my best friends. My kids are more interesting, my family's more interesting and it's work to stay in

Speaker 3:          01:14:12       contact with your family and even the staff, you know? Uh, I enjoy very much working in the restaurants that we've built. Um, some I work five days a week with people that I've been working with for 15 years. These are important relationships. It's not employee employer. It's if you quit and you to tell me you're leaving. I want to be. I'm going to go my car and cry. I've been working with you for 15 years. My relationship that I have with many people that I work with is intimate. I've seen their children born. I've seen them go through breakups. I've seen them. Their parents die. I've seen, you know, like we go to war every night at 6:00, 150 people are coming to eat in the next three hours in for restaurants. We, you know, it's a job that's so different than high stress environment for five minutes, for two hours.

Speaker 3:          01:15:12       It's, we've got to walk properly. We got to where we were knowledgeable of each other's space. So there's a ballet, you know, when you're washing the glasses and the food's coming up behind you, you know, you have this sixth sense to know, to move, not to get the plate, to burn your elbow and you know, this ballet, we dance every night with these people and for us to think that like in most people's, to still think that we're behind the stove cooking. I've got more phone calls to get help finding a doctor, therapist, whatever, you know, nutrition is for the staff. Then I got calls about recipes or food or you know, our job is, I'm an expert in drainpipes, artisinal plumbing, artisinal, electricity, artisinal, refrigeration. I know about boring now because you've done it yourself like Sarah very decrepit old buildings and you can't, you know, we're running a restaurants with employees and a constant burden of payroll and we can't just call everybody all the time to just so you know, by default any good cooking school today, but what Fred is saying, and Fred is the example of what a great chef should be, be a very good cook, a very good person with people's skills, but should also have a minor and electricity, plumbing and refrigeration technologies stayed.

Speaker 3:          01:16:38       You know, even even now, like we both, we both don't drink both. I wouldn't say a health kick butt, just like wouldn't be there. You know, my mind and body, we want to be like president and that's, that's we build something cool. I want to appreciate it. Not Be clouded. Overlook that. That's that. Like people don't think about that when they get into this job, you know, they, they think it's this warrior thing, this were savage. We're going to drink, we're going to party, we're going to do this. If you want to do that till you're 60 and then get a little cottage and right paint, water color, buy but buy a sailboat. You have to think about it. You know, it's like you can't live that life of drinking. And why do you think that life is synonymous with chefs? We've been promoted and taught ultimately that you will get paid.

Speaker 3:          01:17:27       You will make money, you will persevere. If you understand how to promote excessive eating and excessive drinking, you will be recompensed. If you build a place where people come and eat too much and drink too much and that spend too much, then you will be able to have a life, a car, a house, and raise children. Okay, so it's all good. First you have to learn how to cook. Then you have to learn how to run a restaurant. Then you have to learn how to, what a restaurant looks like and how to run and you know how to host, how to host, what the playlist should be like, a how to fix a plumbing disaster, how to fix the electricity, the disaster, how to fix a staff situation. Disaster. How to run a clean house or people are working together with all their different idiosyncrasies.

Speaker 3:          01:18:12       But for my whole apprenticeship, alcohol was a reward. You know, uh, you did a good job tonight. Drink, you know. Then it went from reward. Do. Oh Shit. That was like a blood bath in the restaurant. You know, we had to pick up this guy at the hospital. Okay, it's not every word. Let's forget about it. Let's drink, you know. And it was, it was always there. You know, it's great service. Let's have a drink. Shitty food industry. But we're also in the wine industry because 50 percent of what you're doing is selling food to people and the other 50 percent of what you're doing is selling alcohol to people. So by default you're part of the people that sell a liquid drug dealer in that you're in that world every day and you go to wine tastings, you talk with people that sell Silva, alcoholic bartenders.

Speaker 3:          01:19:01       You talked to people that sell wine. You're partake in eating and other your colleagues, restaurants and drinking wine. Next thing you know, you have a little bit of celebrity. Had been open for 15 years and you look back and he'd go to the seven days in a week or seven days in a week and I drank six of them. I don't feel good on Sunday. I'm just kind of recovering and then what? What happens is one week turns into two to four and then you kind of look back and you realize in 2017 that you may have drank 48 weeks out of 52, you know, and then it goes quick. Then it's 10 years and you're a 10 year restaurant and you've been drinking five days out of the week for 10 years and then all of a sudden you kind of have a problem. You realize that like my day to day is based on food and wine.

Speaker 3:          01:20:00       Right now I don't want my. It's not making me happy. I've had all the wines have had. All the foods are better for it. Not really. What am I better for? Restriction eating less eating, clean drinking only on very special occasions. Do you still drink on special? I'm completely sober. No. Did you make that decision based on the idea that you weren't able to control it or just that you. I'm one of this decision would be to just completely eliminated textbook case of a person who couldn't. Yeah, I tried several times to stop. I googled it. I read about it. It didn't work. I was intervention by Fred and my managers of the restaurants in January twelfth around their 16th. I think we figured

