Speaker 1:          00:00:00       The joe rogan experience showing by day Joe Rogan podcast by nine.
Speaker 2:          00:42:56       That's a very good point. That's very quick point. Lead by example. You know, that was uh, when I used to teach taekwondo, one of the, um, the things that they would call you, the term that the Koreans uses sub ohm Nim and there was one who leads by example. That was the, the idea behind it behind being an instructor and to be a parent that leads by example. I mean, how, or sometimes some people learn a lot from parents being a fuck up. Totally. I know a lot of people's parents were fucking losers and they're just go get them totally. They just get shit done. And they, their hustle because their parents were drug addicts or alcoholics or jailbirds or whatever the fuck it was. And they just felt the pain of their family being awful. Totally. But that's not a good bet. Well,

Speaker 3:          00:43:50       I mean that's third from experience or learning by example too. You know, he can either accept in love with you what's your parents do or rejected or you know, something in the middle. I don't know. But so the eye, that's what I learned. So I worked with, with young guys between the ages of 14 and that toward the end of when I did that work, I would do more specialty work. So I do like one on ones to one time I did a 55 day wilderness trip with one kid, just him and I, that was tire thing. But what I low was that like 55 days was one kid. So he was amazing. So it was fucking fantastic. It was amazing. He loved to work out. So, um, he was, he was a good kid, man. He was like 19 or 20 and just not sure about college, not sure what to do.

Speaker 3:          00:44:38       Uh, did they kidnap him? He knew he was coming because he was an adult. He's legally an adult. Right. Um, and the first day he showed up and I remember he said, you know what, I'm going to pretend like I'm going to be here until I die. He had this really interesting perspective. He's like, I, he's like, I know this is going to be long. It's going to suck. So I'm just going to sort of, you know, just not count days. I'm not going to like count my time or whatever. But he was awesome. So he was really into lifting weights and stuff. And I was at the time and uh, so we would do pushups one day we did, I think we height like 14 miles in 1400 pushups or something like that. Like try to blow shoulders up. It was so fun. But when I was going to say is that what I learned from working with kids so much is that example thing is there's, there's nothing to compare to that as far as what people are, kids are good guys especially will respond to, is that example like you can, you can tell them, I mean, kids, they catch bullshit the fucking second it comes out of your mouth.

Speaker 3:          00:45:43       You know, if you're saying one thing, but you're not living in being honest. If you're not being real about yourself, it doesn't, it doesn't work. So, I mean, I think that that was a real, you know, and I did this for five or six years and I've spent probably six, 700 days out doing this. And I came back from the experience just seeing this, this huge gap in our culture about role models and mentors and just, just regular relationships that seem pretty natural and pretty normal. Um, that just like I would get into a group of these kids and you would just, um, there'd be something there. They would recognize something in me and I'd recognize something in them and it just a really cool thing to be a part of, you know. Um, what did you guys do for 55 days in the woods?

Speaker 3:          00:46:34       I leave that, so we would hike a lot most of the day, right? We would hike probably eight to 15 week camping, backpacking, backpack up on the shores of Lake Superior. So there's a, it's called the superior hiking trail. It's a 200 plus mile footpath that goes into the hills and mountains, like over lake superior. So yeah, man, we would hike. We'd swim in the lake. Um, at that point in time I had this idea that I was going to ask my girlfriend to marry her. So I was looking for, there's a, gets these little jewels, stones and all the rivers. So we'd spend a lot of time looking for stones and I don't know man, just hey, you know, you know, really and push ups and push ups, push ups. Wow. And so a lot of conversations about the future, about life, about yeah. How to change your path. Yeah. Yeah. Some of that. Um, and then a lot of times have a lot of silence, man. You know, we weren't going to talk what, 16 hours a day, it just be too much. But yeah, he ended up doing great man. I think, I think he's off kind of killing it in life right now.

Speaker 3:          00:47:43       But that's an extreme, you know, that's an extreme example. So now how is this organized? So it was, his parents were like, hey, fuck up time to put you in the woods. Yeah. Yeah. Wow. So they had heard about it and they, they just felt like that would be a chance for him to break his pattern. Sure, exactly. It's interesting, like there's, there was a generally, uh, like different categories of, of kids who would come to these places. So there you'd have your, um, drug abuser sorta out of control kid. You'd have your internet addicted, um, slightly softer guy, you know, that socially awkward. Sometimes we hit an emotional health outbreaks. Um, they kind of broke, you know, into categories tends, but, but honestly, but the thing is, is the cool thing about spending that much time with people is that, you know, like he doesn't take long to see through those behaviors to really seem like a good kid.

Speaker 3:          00:48:45       And Pretty, I've worked with hundreds if not thousands of kids and maybe one, one, I can only think of one that I don't think was like somebody that went and we'd go have a beer with or hang out with today. You know, like the good kids, they're really good. They're great human beings. I just, um, either shitty circumstances are made a lot of bad decisions or just were confused or, I mean whatever, you know, I think I could have ended up there easy if I would've gotten busted in high school for budgets, you know, drinking and partying I, well, especially if you were born into the household that they were born into. And that's one of the big things obviously about life is that you can't pick your parents, you know, and you can't pick your neighborhood that you grew up in. You can't, you know, you don't have a say until you were an adult.

Speaker 3:          00:49:31       Yeah. That's, we were talking about yesterday, the, so after I did the wilderness stuff, I went and, um, I became a high school teacher in the Bronx. I was part of the New York City teaching fellowship programs. So basically we give you a free master's if you teach for a couple of years in high need areas. So it was an English teacher and it's really cool to school in the southeast Bronx for a couple of years. And, um, you know, just that was the most challenging and probably rewarding thing that I've ever done and really, so a lot of the positions, so first I worked with mostly wealthy kids at some of these private pay wilderness programs event. I did a lot of stuff for correctional stuff. So that was rural poor, you know, that was a lot of um, you know, kids from reservations and just sort of, no offense but white trash type kids.

Speaker 3:          00:50:26       And then I moved to the inner city and worked there. And so I got a, I got a good spectrum on, on working with different kids. Really just ended up that I kind of liked them all. You know, there's fucking people, human beings while you were saying, yeah, you can't pick where your, where your front man and you can argue how big of a difference that makes giant. It's almost everything in terms of your future, you know, and so many people don't realize that as well. It's a lot of times the really fortunate ones don't realize it because they just think that everybody's got it like this or they just take that, well, my life's hard to, you know, my life was, uh, only challenging. And then we moved around a lot. Like my mom, my Stepdad were really nice. People got lucky, you know, they weren't fuck ups, they weren't assholes.

Speaker 3:          00:51:18       They didn't know. They didn't beat me and torture me is here. Such a horrible, horrible stories of what parents do to their children. And you know, you got to wonder what their parents did to them that started this whole path. It's almost like unstopped before some momentum, but some of the things you were telling me about the, the, the poor kids that you worked with, like yeah. And so one of the kids that just this amazing light field kid, um, you know, co comes, how did, I don't remember how it happened. I think, I think he came into school one morning and uh, you know, his dad had, had bashed his skull in with a, with a baseball bat. Just just, I think he got drunk and got angry. He just beat the fuck on, you know, I remember that morning feeling just so hopeless and just like, you know, nothing I could do to protect this kid.

Speaker 3:          00:52:17       Like I could be the best teacher, I can be the best role model and friend of this guy then than I ever could be. But every night he has to go back into this unimaginable, horrible place, you know? And it's insidious. There's a lot of weird ways it comes out to it and it's another student of mine of mine, a hug a girl. Her mom would basically tell her that she was always sick and there's a name for this. There's like a condition. I remember where a parent needs their kids to be around so much for their own wellbeing. Somehow they turned them into a hypochondriac. Yeah, it'd be heard of this. No. Yeah, there's a name for it.

Speaker 3:          00:52:58       I can't remember it right now, but weird shit man. Just, just weird stuff. And, you know, I think there's so many people that are working so hard to do good things for people in, in the harder circumstances. And, uh, it's, it's like an overwhelming force. It's so hard. And I, but here's the thing I've seen in like, uh, I seen a bunch of those kids that I taught and so I taught in a school, I was their only teachers. It's of like a kindergarten model for high school. Right. And all the learning was based on projects they did and they had internships. So they didn't go from math to English to science and all that. We just worked one on one and they tried, you know, kind of worked out everything at all times. And uh, so, you know, they were my students for two entire years. And, um, the amount of time we spent together was just really intense. And Man, we got very close. Um, I'm losing my train of thought. But yeah, so there's a lot of people trying to do good things, but it is that home life or that cultural pole trajectory. Um, I dunno. I Dunno what the, I don't know how to combat it.

Speaker 4:          00:54:11       Well, one of those, Pat, I'm one of those, um, programs like the one that you were involved in. It might be one of the only ways to do it. Yeah. Or a program like that. Something that's going to give them individualized attention and let them know, hey, there might be a light at the end of this tunnel and it might be a way out of this. There's nice people out there like Dan Dodi that are going to help you out. And he recognizes that there's people out there that need help,

Speaker 3:          00:54:37       but they're filled with that shoe. And everyday too, man, you know, they're told that by, by tea. And you know, it's, it is interesting because I'm this, I was born in North Dakota. I'm about as white as you could ever be. And My, my students who act, so I mean, just for facts. So like the school, um, I work at the bronx completely segregated and it was completely black and Latino, uh, with Mexican and Dominican and Puerto Rican and black and not a single white kid in the entire school. Like it's just not that way. And so there's immediately this odd dynamic for me to go and teach in a, in a location like that, that there is a racial dynamic present no matter, no matter what. Like my kids would tease me about how when I was on a time, you know, it was great. I mean we, we got past any racial barriers or at least most racial barriers, you know, we were able just to see each other as human beings and him worked together that way. But so there is a lot of, they get what you just said. They get a lot of people tell him that all the time, but there's a light at the end of the tunnel. There's, there's options, you know, you can, you can take ahold of his life, but just his words.

Speaker 4:          00:55:45       Two kids. Yeah, just lip service, you know, and they hear that before. Like you gotta get good grades or You got to go to college and get a good job to hear all these things,

Speaker 3:          00:55:53       things that don't seem to resonate. No, because it's disconnected from the experience of life. Right. So I can go in there and say that, and I went to college and I had a good safe childhood and then in a safe place and I can see that it doesn't fucking mean anything because they go home and it's not safe. It's just not. And I think that's what it comes down to more than anything. It's people are in a state of fight or flight constantly because it's, it's really, it's a safety thing. It's, yeah. Yeah. I mean it's like

Speaker 4:          00:56:21       everyone rinella was talking a those deer

Speaker 2:          00:56:24       today. He was like a, the deer, a Jack Rabbit runs in front of the deer and the deer leaps up. Like someone hit it with an electric shock. Yeah. Like they're constantly on there, constantly on guard. They, and that happens also with children and yeah. You know, I have talked to him this before. I had a feral cat and that fucking cat was wild to the day he died. I had him when he was a baby. I got the money. He's a kid and he was only a couple months old, but he was already, it was already too late. He was fucking wild. He was just in his mind, everything was out to get them. Yeah. I mean, I can't officially say this cause I haven't studied it officially, but I think that there are no versions, if you call it ps Pete, I'm sorry, ptsd or just stuck in the state of hypervigilance, whatever news.

Speaker 2:          00:57:15       It's just coming from a place that's not safe. A place that's fucked up and to be expected to, to be able to overcome that without any real time assistance and work. He's really unreasonable. I think it's just, it's, it's really not like, you can't just decide right to quick cause it's your body. It's semantic. You know? It's like, it's either you get to pay to you. I mean, maybe it's your mind. Maybe it's your mind. Maybe it's both, but it's, it's not like you can just say, okay, I'm gonna, I don't want to do this anymore. It's far more, it's far more complicated. Yeah. It's a, it's a battleship that's moving a hundred miles an hour and you're expected to turn on a dime. It's not going to, it's just a lot of weight momentum behind that passed. I was talking to Michael Irvin once, I was on a flight with them, just random and uh, it was all the way to Australia, so it's a long ass time.

Speaker 2:          00:58:10       And he and I were talking about a work that he's been doing with, uh, some young kids come from troubled houses and troubled backgrounds as well. And he was telling me that when a child is in the womb and the mother is experiencing intense stress from violence, from crime, bad neighborhoods that kind of shed a domestic abuse, that kind of thing, that the child grows up with more of a propensity for violence like that, that violence becomes like almost in their DNA as a response to any perceived threat, whether it's real or not. And that the, we have to understand that these children, like they're being wired for violence, they're wired to deal with bad neighborhoods, bad situations, crime, and it's, it's literally a part of their genetics. It's in them, it's their DNA almost. Or it is so this the republican white conservative idea that people need to pull themselves up by their bootstraps, which is like, you know the Cliche, right? They to get their shit together like God. Is it more complicated than that?

Speaker 3:          00:59:25       It is man. But so here's the, here's the interesting thing is I applied, do think that I actually agree with that in a different way. I think that you can never expect anybody else to do any of that. Like the way it is. You're born and raised in the way you are and then at some point you fully have to take responsibility for that. You know, no matter how shitty or great in your childhood was, no matter what you're dealing with, I think that that there is no one else that's going to do it for you. So you, I really do think that there's a, there is a piece of truth in what they're saying. I just don't think that um, that general mindset is nuanced or understanding enough of what people are working with that they're unrealistic about. Yeah. I, yeah, they might just be like, well,

Speaker 2:          01:00:12       what's conveniently aloof? You know, they're conveniently ignorant about the circumstances that are involved in creating a child that grows up and has been in juvenile detention since they were a little kid and has been in and out of all sorts of police custody and been in crime situations from the time they were young to say that you need to just straighten your act up. Like they don't have any examples and the examples that they see on tv might as well be them watching iron man. It's, you know, it just doesn't seem real. It's not real.

Speaker 3:          01:00:49       No. And that's, that's an issue I have with that whole debate or political discussion or however you want to put it. Is that it to be, it's only up there talking about a situation and never as the actual conversation being had a conversation between people who had actually affects is rarely brought out and it's just a bunch of people looking at things from the outside and commenting and talking about it and not actually digging into it. And it's just doesn't really, it doesn't serve anybody. I don't feel like it serves anyone.

Speaker 2:          01:01:21       Yeah. And it's also like very dismissive. He was very dismissive of other people's misfortune and not really appreciating or understanding your fortune, you know, we're all born to come totally different circumstances for the most part. And most of us here in America, we were talking about this yesterday, that people that are in this country are so much more fortunate than someone who's born in some, you know, terrible third world situation. Like we were talking about Liberia. Yeah. The reality of Liberia, which is former, uh, prison or not prison, college slave colony with what they did was they took American slaves that were released and they shipped them back to Africa literally and created this horrible, horrible environment through, you know, a bunch of different factors, but several war being a big one of them. And vice has a really insightful and amazing piece on, uh, Liberia.

Speaker 2:          01:02:24       I think it's vice guide to travel. All my God, it's an awful, but you know, you can't say that, you know, being born to a blue collar, white family in Cleveland is anything remotely as bad as being a child born in Liberia or he can. So, and then looking at that person though, the, the child who's born in Cleveland, you know, there's, I'm sure there's a lot of kids that are born there that wish, fuck, you know, why couldn't I have been born in New York City? Or Fuck, why couldn't I have been, you know, it's, it's just, again, it comes back to what you were saying about being a dad and the responsibility of being a good person and being a better person is that making and developing human beings and creating a community together with each human beings is so incredibly difficult and were handed this responsibility with no instruction manual.

Speaker 3:          01:03:25       No, that's the thing. No good leadership. No instructions. No, you're right man. Well

Speaker 2:          01:03:31       leadership guys like you or some other folks out there that are doing similar things that you can find, you know, but man, if you don't find them, fuck

Speaker 3:          01:03:40       yeah. One, one thing I think it's really important that you're kind of hitting not there or we're saying is there's like a big leap to go from the place of, of blaming others and just feeling like all my shitty, like look at my book, what I was eating and it was really shitty. It's a big leap to go beyond that and accept it. First of all, no matter what it is, what you got going on in your life and then even a bigger leap. I think to start taking responsibility for both yourself and other people. You know, I think, yeah, I think that's what is, not that it's missing because it's out there, but I just think it could be like we got time in our lives, you know, like we're doing okay in general in this country. I think we could take more time for each other in that way. Just across the board today, whether that's in our schools or whatever it is. I don't know. I don't have any answers.

Speaker 2:          01:04:37       You have some answers. I think you've got some great ideas, but I think one of the things that we talked about yesterday was the amount of children that you had communicated with you had taught that found themselves in some horrific situations that you had to kind of experience with them. And I think that human beings today, at some point in time, we have to realize that we are some sort of a super organism. We are all connected. And if this kid who grows up in this horrible environment and is just a abused

Speaker 4:          01:05:18       and subject to all sorts of violence and that kids can go perpetuate more of the same, if no one steps in, if no one offers some solid example that you can do better, like some, some sort of just some pathway through the bullshit and bullshit is not strong enough worth.

Speaker 3:          01:05:39       Yeah, and for me like so I've spent a lot of time thinking about and reading about studying sort of both, both rites of passage at different parts of the world, but then also just this really simple concept of mentoring or mentorship or role models. And I think I got real lucky like I had an eye. Not only did I have a good family and good parents, like amazing parents. I had, I have this like string of role models that I had from little kids. So we've talked about this briefly before, but my first one was my taekwondo instructor at Russ kid best or Mike, you know, like he was just, I was super shy, super like very soft as a kid. And then this dude in a sports car drove into Drayton, North Dakota. And I started taking taekwondo with him and, and he was just this, you know, bad ass, brash, strong, confident guy.

Speaker 3:          01:06:28       And then I looked up to him like I, I attribute a lot of my, um, the quality of the good qualities I value about myself, both to him and to taekwondo itself. Cause it, it teaches them how to get teachers great things to kids. And so he was a mentor. And then in high school I had this, this farmer and worked on a pig farms and he was John Weirs and we didn't talk about shit, we didn't lie, he didn't like fill me full of wisdom. What we did was just worked again the work side by side and we shoveled pink shit and dumped it on the field over and over and over. And I went to college, I had this great mentor who sort of, you know, nonchalantly took me under his wing and kind of on and on throw my life, man. And I, I dunno, I've, I've spent a lot of time thinking about it and I really, I just really wish that for, for people or want that for people, you know, cause cause you can't rely on your parents. You have everything you need in this life. It's just, it's too much pressure for,

Speaker 4:          01:07:25       well also I think, well as we were talking about earlier, their parents didn't know what the fuck they were doing and their parents pass didn't know what the fuck they're doing. And for a lot of us that's, you know, that's the reality that we find ourselves being born into. But I think with doing with some of the things that you've done and now also with the amount of data and information that's available today, I think we have a chance of affecting our society and our culture and the way we communicate with each other and just, just who we are as a, as a species. This, this crazy, weird super organism of human beings. We are, we're in a better position to change that. And then then ever before, like my grandparents came over from Italy and Ireland on a fucking boat. Nobody knew what the hell was going on.

Speaker 4:          01:08:17       Their parents didn't know shit and they brought him over here. They just heard there was a better chance. There's a, there was an opportunity, I mean they might've saw a photo of what New York looked like, you know, they might have and they took a chance and they came over here. That the difference between them and what the kind of experience and the kind of access to information that your children are going to have, where my children are going to have. It's fucking profound. You know? And I think we're at, we're a part of something that's really interesting right now and that the human race is becoming hyper aware of all the variables that are fucking it up. And one of the big ones of course, is the abuse and mishandling and miss raising of children.

Speaker 3:          01:09:02       Yeah, man. So yeah, to that point, there's this been, this thing that I've been paying attention to that I think is happening. So as we have more information and it, as things happen faster, it has all of this compounds and things go faster, faster, faster. I think that the impact of slowing down becomes very, very valuable very, very quickly. So, you know, we're talking about all these wilderness experiences. I also bring up like meditation or any of these things. I think that as other things speed up, I think that those are these things like have the power to just smack you across your face and like change six fast. You know, I, and I don't know if this has just been our observation for 10 years or so, but I think that, uh, you know, 150 years ago or whatever in the western United States, if we had slow lives, I don't think we would've had a huge impact by going and camping for a week.

Speaker 3:          01:09:57       But today when you're pulled out of your crazy digital electronic life and you go back and we feel that human simplicity for a little bit of time, I think the combination of the two offers a really powerful place. Really crazy. Because if you can get that awareness and sort of that the impact of slowing down. Yeah. Compounded with all of the information and the power and everything that we have. I think it's, I think so. I think we're on the verge or a very ripe place. I think it's a, it's a time where, um, you know, people can, can really change themselves all a lot quicker or maybe even a lot more than they think is. That's another thing I would love for people just to think or believe that things could be different, that they could change. You know, because I, I mean, that's what I've been involved in for so long and it's just, it is possible.

Speaker 4:          01:10:48       Well, I think also any kind of a trip, whether it's a meditative trip or even just a camping trip or something where you have that opportunity to sort of reset and reassess, it gives you sovereignty, gives you personal sovereignty instead of just being just caught up in the momentum. A buddy of mine, my friend, Ari, should fear again, bringing them up again. It was with another buddy of mine, big Jay Oakerson and they were, uh, they were watching this couple make out through a window. They were doing the podcast and uh, they were on the roof and they were watching this couple through the window. It's a couple making out. And then in the middle of making out, they started checking their phones. This is, this is what's going on today. I was kind of sad. It's kind of sad, but maybe they'd go suck in bed for the better. But if, you know, it's, you got to not just have all this access to data but also have the ability to decide what you take in and what you don't take care. And I think that's, that's the, we're passing the wildlife viewing area cause I went to, well they think they're talking about the humans that live here

Speaker 3:          01:12:01       near in the middle of nowhere. Yeah. I think it's kind of super a super charged time for that man. And it's cool to see people like literally change your life. I, one other thing, I'm involved in his, I, I started a men's group in Bozeman where I live in Montana and I've been a part of men's groups for a while, a while, probably six or seven years. I think it's something that's really not understood or really not even knowing about, but really odd is it's a group of guys that get together to really practice being completely real and I'm really clear all the bullshit out of the way and it's been incredibly helpful for me, for me. Um, where was I going with that? Oh yeah. But just that I've been party are privy to so many people just sort of like just changing like, you know, being a lot more fucking happy and a lot more productive and I think it's easy to get stuck in thinking that things just are how they are and what sovereignty is huge. That's the biggest thing. Like owning what you feel, honoring what you want, owning who you are, all of that.

Speaker 4:          01:13:03       Well, it's also a lot of times people that get out of high school to going to college and get out of college and get a job and get a job and start the career they push forth and their career and before they know what they're fucking 40 years old and they can't stop the momentum of the life and then not enjoying it.

Speaker 3:          01:13:21       No, they're desperate, dude. They're quiet. They're quietly desperate.

Speaker 4:          01:13:24       Yeah. It wasn't that Toro. Most men lead lives of quiet desperation. It's such a great fucking quote.

Speaker 3:          01:13:30       So why aren't we teaching every 17 year old kid who's coming out of high school like, Hey, that's, that's probably your future. You know, once you get on top of this.

Speaker 4:          01:13:40       No. How you teach people like this. Yeah. They listen to podcasts to hear people talk. They realize that their parents didn't have a fucking awesome information, you know, and look a lot of pants, they mean the right thing when they tell them get a good job. Don't take any chances. You know, y'all, you got a dream, Huh? Yeah, I will. Uh, dreams don't pay the bills. They don't, they're not doing that because they're assholes for the most part. They're doing that because that's been their experience, their life. And they don't want their kid to be a fucking idiot. And they don't, they don't understand. They don't. They don't know. But, so listen up fuckers, like, look around, look around, look around and notice how many adults either have shitty lives they don't like or are like going through massive amounts of self help or therapy or all these things at all ages.

Speaker 4:          01:14:34       And not, you know, too. What are you thinking antidepressants come from? Did that many people have broken brains or is there, I'm, I'm not denying that there's most certainly quite a few people that have natural chemical imbalances and pharmaceutical drugs can benefit them. That's, that's true. Absolutely. No doubt about it. But I know for a fact there's a lot of people who get medicated because they fucking hate their lives. Instead of picking a life that you enjoy or working towards developing your life. And it's something that you would enjoy, you know? And one of the, some of the most satisfying, uh, email and twitter, tweets, twitters, tweet messages, and facebook things that I've ever gotten is people that have listened to this podcast and said, you know what? I realized I am 36 and I, I've always wanted to do this and I'm going to quit my fucking job, but I'm gonna figure out how to do that.

Speaker 4:          01:15:25       I'm going to work towards that. I'm going to save up some money and I'm gonna fucking whatever it is I'm going to make pottery. I'm going to start fucking selling my paintings. So whatever the fuck it is, everybody's got a thing. And if you don't have a thing, find the fucking thing. But you can't think that that whole like work, get a good job, get your benefits and, and don't, don't do anything stupid because you don't want to get fired. That life is bullshit. That is bullshit life. Totally. If you got a good job that you enjoy, that's a great life and then your job doesn't feel like a job. I mean, even though it's, it can be challenging and difficult. If you could find something you actually enjoy doing, your life will be immeasurably better than if you're just grinding it out waiting for that five o'clock fucking Buzzer to come right away.

Speaker 4:          01:16:17       I like to talk about it though. I think he's a really important difference is to be descriptive rather than prescriptive. Because if you try to force yourself into, if you're trying to be Joe Rogan or if you're trying to be anybody else out there, you want that life like, like good luck with that in the long run. Like I feel like you have to sink into yourself and just actually fucking be who you are like that. It's hard to find though, right? It is hard to find who you are. It totally is. But that's the, I think that's your job until you're, until you are who you are and that's wrong the way, don't be embarrassed if you're pretending to be somebody else. Cause I think we all get that when you're trying to find yourself telling. Me and I most certainly have been massively influenced by a lot of people that I respected and, and, and listen to them or watch them or saw their work or whatever it is.

Speaker 4:          01:17:06       That's okay as long as you eventually figure out who you are and then it kind of happened to you before you even know it. Like when I was young man, I always, I never felt very secure and I always was like, God, I wish I could fucking be someone. Like all these people that I admire. Like I wish I could figure out how to be me instead of wishing I was all these other people. And somewhere along the line, it's just Kinda, if you pursue what you actually enjoy, it kind of happens totally. But it's not, it's not an easy process and it's a process of self reflection and you gotta be honest. And that's where these moments that you're talking about, like meditative moments or moments where you can go to the mountains and be by yourself. Those moments are huge because they give you this opportunity to maybe examine your ideas a little more closely instead of just constantly being, Eh, just inundated with other people's opinions about what you,

Speaker 2:          01:18:04       you should have your own experiences, man. You gotta just, you just got to live and you got to experiences. That's what I think you've got to experience as much as you can. Whether that's a trip around the world are traveling or to a different place or a hallucinogenic experience it done in a safe way or whatever it is. I just feel like you got to, yeah, to find yourself. You'd be, you gotta. You gotta test the waters. He got wires all over them. And if you're born in this fucking town that we're driving through, good luck handing out cash pay day loans. Man, I grew up in a place way smaller and tidier than this real review. Dan Dodi is, he made it through 600 people. 600 how many of them you fuck? We left. We left when I was in sixth grade. So unfortunately these are probably better off that way.

Speaker 2:          01:18:51       What's your fuck people they think getting the, Oh, I'm sorry. Jesus. Kate. Just leave me alone. Oh Shit. Out of here. I got super lucky man. So yeah, I grew up in a tiny little place. 10 miles from the Canadian border of North Dakota. Just like nothing going on. You know, maybe this place. Gasoline Alley. Speedway casino. There's a casino in there that's a casino and a 24 hour gas station. Fuck, you can hit it big. They're, yeah. Cash loans on car titles. That's the fucking title of the goddamned store. Cash loans on car titles. How many people give up their cars here for alone? Wow. Is this fallon? Um, it's not, it's not even say what it is. Okay. For bastards, wherever this is. Yeah. This was

Speaker 4:          01:19:43       Stockman's casino spin. And when Saturdays come play,

Speaker 2:          01:19:49       yeah. A lot of people you read smoking going on there. I bought a cigarette smoking. A lot of people here can describe with a gun tastes like in your mouth. It doesn't taste good, it doesn't taste good, but it seems like if you know that, that that's a possibility.

Speaker 4:          01:20:09       What a strange places. There's a lot of these places that we drove through. Like how about that one? Wild West town there was established in 1865, I don't remember the name of it, but they had the old buildings there that were there from 1865 that were in ruins and various state of disarray and decay surrounded by these, uh, more new modern ruins that people were living in. Well, yeah, the old ones. Yeah. Yeah, they did cause they, they got something. There's some class or some weird about like mobile homes and like really shitty aluminum siding and stuff. You know? No one's ever going to be pumped to find that someday. No. You mean like a hundred years from now or 3000 years from now if you find an old bar, like that old barn that we were passing and that little shack or whatever fucking was it cooled cabin of distressed wood.

Speaker 4:          01:21:07       You look at that and you go, wow, that's kind of bad ass. No one's going to like look at some shitty old aluminum sided fucked up house. What you're saying is quality spans time. That American flags a little too big for my liking. It's at half mast. Did somebody die while we were in the woods? Some shit. But when a flags at half mast, that's what it means. Right? We missed something. We probably don't know a lot of fucking things that went down for seven days. That's gotta be a good thing. We know that two Olympic swimmers got robbed at gunpoint in Brazil. Way to go. Do you feel better knowing that?

Speaker 2:          01:21:44       No, no, no, no. I feel like, ah, I feel better that I was in the woods and I wasn't in cabin Brazil with a gun pointed at my head. Poor bastards. But no,

Speaker 4:          01:21:58       there's a lot of, uh, we have to look, we should know that that's possible. That people can get robbed like a, when you hear about terrible things in the world, the good news or the good fact about that is now you know those things without having, it's not like you live your life in some sort of a Mormon missionary factory and then they send you out there to the awful parts of the world and all of a sudden, you know, you're in some third world country and you don't realize it's being run by a brutal dictator. And what's a dictator like, you know, North Korea. What is it like? It's good to know that North Korea is out there and there's some Kim Jong Un type dudes in the world.

Speaker 2:          01:22:40       Yes. When I was little when I was a kid, but not all the time and definitely not a gun point. I got in the wrong cap once and the border of Ecuador and Peru and got stuck up, they call it soft kidnapped, where uh, this other dude got the back of the text and they started driving out in the jungle.

Speaker 4:          01:22:59       Oh Shit. Asking me questions about politics and my family and all this stuff. Oh my God, I didn't really know. I was just, I was down there learning Spanish. I didn't know a global yet. And um, I basically said, listen guys a fucking got nothing. I have like 40 bucks. Right. So they drove me to an ATM and I'm like, I got, I got, I got like 80 bucks more out of them are out and they gave it to him and then ran like fucking just took off. Wow. That was pretty sketchy. That's the other thing that happened in Brazil recently presented Jujitsu student from Australia, I believe was out there. He got kidnapped by these cops. Cops took him to two ATM machines and made them withdraw money. Yeah. Yeah. Cops, cops. Fuck you want to trust them. But you know what man? It's like again, what the fuck happened to them and what happened?

Speaker 4:          01:23:51       What happened to these people that are robbing these people? Something bad. They, it's not necessarily 100% their fault that that's who they've become. I'm not taking away ownership of their own actions, but you got to think about the development of their ideas, how it happened. I had this friend of mine on the podcast recently and he was talking about, he grew up in a standards Byron bowers and he grew up in a really poor area of Georgia and a lot of crime where he was just a lot of like really fucked up family environments and he was saying that when we thought about like robin something like go into a store and stealing something, we didn't think it was a bad thing because that's how you get it. That's how you get things. You've got to go get it, you got to go steal and that it was just, that's what you grew up.

Speaker 4:          01:24:45       Now he's a successful comedian and he's doing well and it's like he can step back and have the hindsight vision of his current state and like realize like, oh, that was why I thought that way. Yeah. Yeah. And I'm sure these guys that robbed you, I mean they didn't have a fucking pretty upbringing. There was nothing, it's not like they went from a gated community to robin people in Peru. No, it's not like they are doing it because they were just morally poor people, you know? I mean I don't think so. They were. Maybe they were, but what made them that way? Think about your own little boy. He's two months old. I mean you get to shape what that boy becomes as he becomes a man and someone did that to the Guy who robbed you in Peru, you know? I mean that is, that's how it goes. I mean it really sort of highlights the bizarre nature of humans raising humans. We should really be raised by robots. We should, yeah, someone should come along and just make the perfect human razor. Now obviously not, you know, you're, I'm sure you're going to do a great job, but for people who, whose parents are going to do a shitty job, I wonder if they're going to come up with technology one day and I think they will, that will be able to install better memories and a better pattern of

Speaker 2:          01:26:04       behavior in a person's brain. Like almost like they're going to be able to defrag your hard drive. Sure. You mean just like with a click of a switch, but he's a little hook you up to him. Like say if somebody gave you a computer, right? But it has a virus on it. It's all fucked up. Every time you check your email and sends you dick pictures and it takes you to rush an escort sites like you mother fuckers, which you did in my phone. If the your your computer, your computer is fucked, right, dude. But if you bring it down to the computer store, the guy can go, oh, you got a virus. Here's what we're gonna do. We're gonna, we're gonna wipe your hard drive clean, reinstall your operating system, and then I'll back up your crucial files and add them later. Sure. That's, that's got to be the future of human beings.

