Speaker 1:          00:00:00       Huh
Speaker 3:          00:42:32       for someone like me who's been a psychedelic advocate for a long time, it was extremely exciting news that a guy like you were stepping into the fray because you're, you're so well established and well respected already that I knew your approach on it was going to be very clean and that I knew that people were going to have to start looking at this like, wait, it's Michael Pollan's looking at this like this, this might not be completely crazy, but the cultural attitudes about psychedelic drugs or drugs in general were so childlike and our, our view on drugs, I mean, I have a friend, wonderful person, talks all kinds of crazy shit about people smoking pot and take xanax every day. It's like, do people, don't all, I just need a glass of wine and Xanax and I'm good. I don't know why you people need drugs. Like, wow. Like you're fucking crazy. But our cultural attitudes on the substances that are prohibited and that are, that are accepted, there's so strange and they, they, because of our social standing, because we don't want to be perceived as foolish or reckless or in some sort of a mid life crisis or what have you. We were like these journalists that are shutting the microphones off and wanted to talk to you about these profound experiences that they had that they should be shouting about from the roof rooftops.

Speaker 2:          00:43:47       I agree. Look, it's really to normalize this, people have to come out of the closet. Yeah. And some do. I, I was talking to a journalist in Boston who was the local NPR host and he, he on the air live talked about his experiences and how important they were in shaping his identity and the experiences he had in college. So I think we're going to see more people come out of the closet and uh, and have this kind of conversation will, and we can actually look at this experience in the same way now. Yes, it's still illegal. But the fact that there is all this legal research going on, it has created a space where you can talk about it. And I, I'm interviewing all these people and they're describing their trips and they're, you know, they're very straight people and um, and they've had profound experiences.

Speaker 2:          00:44:28       So I think the culture is changing. I really do. I definitely think it is with which, well, I hope so. I didn't write it with that idea that I had this authority that I earned and talking about food and nutrition and then I'm going to apply it now to drugs. I don't think that way. I was just like, I'm starting from scratch. But I do realize that, and people scare me a little when they say, you know, peep psychedelic. People say, you know, you're going to do for, for silicide been what you did for food. So that's really different. Um, you know, I mean, or this woman, I was speaking at Google in Seattle and this, this woman stands up and she says, well, after I read your book, I had a, I had a slaughter, a pig. I had to learn how to slaughter a pig.

Speaker 2:          00:45:10       You made me want to do that. And when I was driving to work today, I didn't think I'd, I'd ever take Lsd, but now or silicide but, but now I feel like I need to, I don't want to do that to people. I don't want them to feel they have to have this experience. You can learn a lot about the mind. This book is as much about the mind as it is about psychedelics. Right. This is a book that uses psychedelics to explore this really interesting mystery call consciousness. Um, and it's also exploring the nature of addiction, the nature of depression, all the, all the illnesses that psychedelics turns out to be very helpful in. Um, you know, but I, I'm not holding a brief that people should do this. Um, I'm not an addict. I'm not an advocate for psychedelics. I'm an advocate for the research at this point.

Speaker 2:          00:45:56       I don't know enough to say, yeah, everybody should do this. This is what our culture needs. You know, I don't, I'm not in that Timothy leary had, you know, I think, I think we have a powerful agent that, that there is good data now that this can help heal people who are really suffering. And the other reason for the openness that's going on right now, that surprised me because I expected to get a lot of pushback from the psychiatric establishment. Uh, and I, and I looked for it. I called around, you know, I want to hear the critical voice on the hopkins work and the Nyu work. And when I kept hearing, blew my mind, it was like, I remember calling the head of the National Institute of Mental Health to get what I thought would be a really negative quote about silicide been research and he was like, no.

Speaker 2:          00:46:38       Then we have to look at this. This is really interesting research, former heads of the American psychiatric association and the reason they're so open to it is that mental health treatment in this country is just a mess. I mean we only reach half of the people who are struggling with mental illness at all, have any exposure to the system. If you compare mental health treatment to any other branch of medicine, oncology, cardiology, infectious disease is accomplished very little. It hasn't prolonged lifespan, it's not saving lives. Um, and yet we have, uh, you know, soaring rates of depression. Depression is now the leading cause of disability worldwide. There 300 million people with major depression or treatment resistant depression in the world right now. Um, and suicide rates are way up. Um, partly it's the vets, but, uh, in general, uh, the taboo is coming off is come off suicide and suicide is climbing rapidly and addiction is, we know, is rampant, so they need some new tools.

Speaker 2:          00:47:38       There hasn't really been innovation in mental health treatment since the early nineties, late eighties, with the introduction of the SSRI antidepressants, drugs like, you know, uh, paxil and PROZAC. Um, they need some new tools and that's why they're open to this. And that's why I think it will be embraced eventually by, um, by the medical world. Well, isn't it on the ballot in 2018 in California? They haven't quite gotten, and they're doing their petition drive right now and an Oregon too. And um, so I don't know that it'll get through this time. It's a weird item to put on the ballot because actually a small minority people know what silicide is. When I on this show, you're the first person who said the ingredient in Ma didn't say the ingredient in magic mushrooms. You have some confidence that your audience knows what suicide in his butt, but it's an unfamiliar world to most people. So I don't know how people vote on that. Right? Yeah. It may be premature is what I'm suggesting.

Speaker 3:          00:48:35       Well, it's all dependent upon getting the word out. I think if people understand what, like the John Hopkins research or just the anecdotal research that some of these people have, uh, had these incredibly life changing experiences. But I think one of the things that you're saying is I think very important is that this isn't for everybody. And that if you have problems with normal consciousness, this is likely not for you. If you're one of those people that has schizophrenia and your family perhaps.

Speaker 2:          00:49:03       Got It. Yeah. And in fact those people are screened out of this research very carefully. Yeah.

Speaker 3:          00:49:09       Because the Fredonia, it's, it's a real issue with people with a psilocybin and Ma many psychedelics, right? Yeah.

Speaker 2:          00:49:14       Yeah. What happens with schizophrenia is if you are at risk for it, um, either for a, because of inheritance, um, a psychedelic trip can set you off, can be the trigger for a life of it and other things can to a divorce your parents getting divorced sets people off, go to graduate school sets people. If you're someone who's probably going to get schizophrenia, any kind of mental trauma, if it happens at that window, which is in your early twenties, in your late twenties, I think. Um, and that's, that's why we did see some cases because that's the age people were using psychedelics in the 60s of having their first psychotic break. So yeah. So if you're at risk for that or, or bipolar as well, by the way. That's right. Oh yeah. Marijuana can do it. Also,

Speaker 3:          00:50:01       I think the, the, the numbers though mirror the numbers, uh, in standard populations when it terms of like, I think it's one out of 10, like one out of 10 people have some form of schizophrenia and that's mirrored in marijuana use. I didn't know that. That's right. I think it's the same. I think the problem is, you know, it can exacerbate it or it can trigger it or you know, depending upon, I mean, everyone's biology's different

Speaker 4:          00:50:28       and everyone's, uh, the, the way they absorb these, these chemicals is different. Yeah. And you know, if you are at risk, something's going to do it eventually. Um, so, you know, we, we don't have any evidence of someone thrown into a situation of schizophrenia or other serious mental illness as a result of a, strictly because of the psychedelic experience. It may have been the trigger, but there might have been, it was going to happen anyway. Right. We just don't know. But in general, if you've got serious, if you have personality disorder, if you have bipolar, if you are at risk for schizophrenia, they will not accept you into these trials and you should stay away from these drugs. Yeah. Um, that, that, that is a real problem with it being prohibited. The prohibition has really set back research and understanding decades. I mean, we should have been studying this stuff since the sixth.

Speaker 4:          00:51:19       We had 30 years of hiatus in the research. I don't know if another time where you had a promising line of scientific inquiry all through the 50s and early sixties, that's just choked off. And for 30 years nothing happened. I mean, think of what we would know if we had 30 more years of research with these drugs. It's crazy. So now we're picking up the thread and all that research is being resumed. But your, but your point about prohibition is really important. When you have prohibition, you can't regulate something. It's a free for all. Um, whereas if you did legalize silicide and let's take as an example, you could set rules. You could say that it can only be administered by licensed guides or in a medical context or that no one under a certain age can have it. I mean it gives you a chance to regulate and that's why it's Saner to, to legalize, not in a free for all kinds of way, but in a, in a very considered way then to have the system we have now where people are going to take the drug, whether they should or not without any kind of clearance.

Speaker 4:          00:52:22       Uh, and by the way, who knows what you're getting. You, you know, you can also regulate the, the strength and the, um, and in the case of Lsd, you know, in the 60s there was this period where there was a lot of pure lsd around and then the mob got an interest in it and they started cutting it with speed and all sorts of things and people got into it a lot of trouble. It's also the issue with scheduling, like scheduled ones for things that have zero medical value and that's where a lot of these drugs find themselves. Academics are all schedule, which is just bananas, especially Dmt w the old Terence Mckenna line. Uh, everyone's holding. Yes. We all, we all have dmt in our bodies. We all have a schedule one substance flowing through our veins, which is the most asinine thing in the world to make your body a schedule one substance. Yeah, it is. And the fact is that schedule one means that these drugs have a high potential for abuse, which isn't really true with psychedelics cause they're not addictive and that they have no accepted medical use, which is now no longer true either. Because these studies have shown that they do have a medical

Speaker 2:          00:53:26       use. Yeah. So you know, what I hope happens and what, and what we're on track to see happen is that these, these trials, these drug trials we'll expand. There will be now phase three drug trials, which is the last step before FDA approval. If the results of those trials are anywhere near as good as the phase two trials, the FDA will then approve psilocybin as a medicine and MTMA which there, which probably happened first. They're looking at that too, uh, for use in treating people with trauma. Uh, and then we will be in a world where they'll have to reschedule it a to two or three. Um, you know, the opiates are too, I mean, actually the drug causing most suffering in our country right now in death is not a schedule one. It's a schedule too. I think it's too, it might be three. Um, and so that we may see this in the next five years or so, which is kind of amazing.

Speaker 3:          00:54:22       Well, we've got to get someone like jeff sessions out of there that requires some fairly archaic ideas. Yeah,

Speaker 2:          00:54:27       I agree about marijuana. You know, I thought that, okay, in this administration we're going to have another backlash. But one of the things that surprise me is that their voices on the right, uh, supporting this research. I'm seeing more of it. Rebecca Mercer has given money to maps the Multidisciplinary Association of Psychedelic studies for their work on, uh, Mtma. Um, and Steve Bannon has spoken out in approval of this research. So, and Peter Teal is, um, you know, is investing in a psychedelic pharmaceutical company that's getting started in England. So I don't think it, it may not break down in the usual right left way that we're so accustomed to, um, and that may give it some protection.

Speaker 3:          00:55:10       Well, I think one of the things that'll help is anyone who has a loved one that's going through a terminal illness and experiences these things and sees the profound alleviation of anxiety and this just lessening of the worry of passing on. And Larry Hagman was once on a, like a real straight television show, like CBS or Fox News or something like that. And they asked him about his life and like what, what makes him so happy? And he said he had a profound acid trip and you see the host going, what? He goes, yeah, well I took a, a really powerful dose of Lsd and a, it completely alleviated my worries about dying. And you know, I remember seeing him on television going, wow, they didn't know this was coming and seeing this straight interview or just trying to uncomfortably move past the subject. Okay, well the guy from Dallas is a fucking drug addict. I didn't know what to do with it, but he was so warm and smiling and I believe it was a piece on his house because he had some crazy off the grid sort of life and some ecofriendly house and all solar powered and used a well and all this different things. And uh, you know, they were asking him what made him so happy and I'll never forget that he was saying

Speaker 4:          00:56:24       when he did acid wants a really powerful experience. Cary grant also, uh, had 60, um, guided LSD trips in the late fifties, and he gave an interview in 1959 to a, uh, a Gospel, very famous Joseph hyams who was the gossip columns. So that time saying this had changed his life. He was using a low dose. They were, there were a lot of psychiatrists in la who were giving a low dose Lsd to people in their normal talk therapy sessions to essentially it was called psycholytic therapy cause it was mind loosening therapy and it would give you more access to your unconscious and make you be able to talk about things that you might otherwise feel very defensive about. And he had 60 of these sessions and he said he was born again and he said that it had made him a much better actor because he no longer had an ego. Uh, he wasn't crippled by his ego, but then he also said, and it made me irresistible to women. Sounds a little egotistical, have no ego with chicks love. Yeah.

Speaker 4:          00:57:25       That's hilarious. Are you aware of any of the research are doing now with ketamine and depression and they're there? There's a lot of people that are getting administered pretty high doses of intravenous and intramuscular ketamine for depression, including one of my good friends, a Neil Brennan. He's gone through it several times and talked about it on the podcast and said it was a real game changer. There's a lot of excitement in psychiatry about ketamine, ketamine as an anesthetic. Uh, it's, it dissociative, uh, it, it makes you feel separated from your body and that helps with pain. Um, so it's, I don't know if it's strictly speaking the Psychedelic, it's certainly not a classic psychedelic. It doesn't work on those brain networks. Um, but, uh, it is legal because it's been used as an anesthetic for years and it's relatively safe as an anesthetic compared to some of the others that are used.

Speaker 4:          00:58:15       It's the one they use. If, if, um, you know, you come into the trauma center and you'd been shot or something, you need surgery and they don't have time to check whether you're allergic to any other drugs. That's the safe one to give you in a crisis would carry it around during times of war. And then that's turned to people on the field. Yeah, they all, yeah. Um, and uh, this, they don't really understand how it works, but they give people what is kind of a psychedelic dose. They go way out there. It's fairly brief, I believe, and many people with depression have found relief. It, it's not permanent. Um, they need to, it looks like they need to do it again every six months or something like that. Uh, but it seems to kind of reset the brain in a way that, um, many people are finding helpful.

Speaker 4:          00:58:59       And this is all legal. I mean, you can, there are ketamine clinics, uh, where you can go, uh, and psychiatrists who are, who are administering it to people. Um, so for people who are struggling with depression and can't wait for psilocybin therapy to be approved for depression, which is still several years away, ketamine is, is worth exploring. What about, did you look into that at all? A little bit. Um, I begin is a psychedelic from a root of a tree that grows in Africa and it has been used specifically to treat opiate addiction. Um, and that's God, if we need something now a tool to deal with opiate addiction are clinics in Mexico where they one down there. Yeah. You opened it after he had his own personal problems with pills. He had a back injury, got hooked on pills, was really struggling to get off of them.

Speaker 4:          00:59:47       Went to Mexico to do Ibogaine caught completely off of it felt amazing. Realize like, oh my God, I have to help people. And then opened up his own clinic. It's amazing. I mean there's a bunch in Guadalajara, I don't know where he is, but there is, um, there is uh, you know, people doing it. I don't know exactly what the legal status is in Mexico, whether it's legal or just tolerated. Most drugs have been decriminalized in Mexico, including LSD and mushrooms and a lot of other things to try to do something to curb the violence from the drug cartels at least keep it nonlocal right. You know, a lot of the violence is coming from the drug cartels, getting money to ship everything to the United States with our use. It is very strange that our insistence on prohibition is actually funding one of the largest drug and violence epidemics we've ever seen in terms of like what's happening south of the border.

Speaker 4:          01:00:38       Well, yeah, and think about Columbia to the civil war in Colombia. It was funded by our card or cocaine interest. Um, so I began as a very intense drug. It is, uh, did you do it for though? I didn't, I didn't. Uh, and I wouldn't do it, I don't think because it has big implications for your heart and yeah, and in fact when you, so it is more toxic to the body than the so called classic psychedelics and it can last like 36 hours. It's a very long trip. It's really intense in these clinics. They s you have to be on a heart monitor while they're, while you're doing it. Um, and that was like, I had a, I had a, I have a minor heart issue that, that made me stay away from Mtma, which is an amphetamine. Um, and uh, you know, I mean I'm the kind of guy who goes to his cardiologist before he has six psychedelic trips to check it all out and make sure it's okay.

Speaker 4:          01:01:30       I have something called Afib, a atrial fibrillation, which, um, you know, his Ma you can manage with, uh, with medicine, uh, or there's a procedure you can get it just to kind of occasional irregular. Yeah, it just happens sometimes. Um, but my cardiologist warned me off of MDM may because it can raise your heart rate. Although I've subsequently learned, if you take a Beta blocker, uh, it's okay. Um, so anyway, I have, I've never experimented with that. But anyway, in light of that, uh, I, uh, I would stay away from, I began, but I'm really curious about it just because we have such a crisis with addiction. Uh, but silicide been is, is being used successfully for addiction. I talked to, uh, smoking people, lifelong smokers who broke their addiction with a single or two silicide and journeys. And they had extraordinary

Speaker 2:          01:02:20       stories to tell. Um, I didn't understand how you could have one trip and then give up a lifelong habit. And I asked people about this and, uh, I talked to this one woman, she was about 60, and she was an Irish book editor, and she, uh, she said on her, I said, so what happened? How'd you, how'd you stop? She said, I, uh, well, I first I grew wings and I flew through European history and I visited, you know, the site of Shakespeare's globe theater. And I saw the Salem witch trials and I died three times and I saw my body a rising from a funeral pyre on the Ganges. And I realize the universe was so amazing and there were so many incredible things to do that killing yourself with cigarettes seem kind of stupid. I was like, I could've told you that. Wow.

Speaker 2:          01:03:05       But see, it goes back to that, that noetic quality that the, she had a perspective on her life she'd never had or on the universe and that she believed that smoking was stupid in a way she knew before, but it didn't have that conviction. That rock hard review revealed truth, conviction. And I heard that for many people and I asked the doctor about it or the psychologist who was running the study says, yeah, everybody has these Duh moments and they're on their psychedelic trips. Then ended up being transformative. Did you have a dumb moment? I had a lot of insights. Um, I don't know if I, yeah, I did actually. I have different trips. Did you have while you're doing, I had a six or seven. I, I, so I just a couple to silicide trips. One guy did one, not an LSD trip, guided a couple IOWASCA circles.

Speaker 2:          01:03:57       And then, um, I had a really weird psychedelic call, five Meo DMT, which is the smoked venom of the Sonoran desert toad who figured that out, you know, she gets some kind of prize. Um, but um, that's a pretty, pretty potent, very potent and thank God short acting. I'm short lived. Um, it was, it was actually a horrible experience that really, that was my worst. Yeah. I had a great experience. Yeah. Yeah. So what was wrong with it? So I, you know, you take like one puff and before you exhale, um, I was, I mean this is a synthetic version two, right? I was taking the venom. Um, you're shut out of a cannon and there's no lead up, no warm up. It's like fun. And I felt like I was actually like strapped to the outside of a rocket, you know, going through space and through clouds and like the g forces pulling down my cheeks.

Speaker 2:          01:04:48       And it was just this mental storm without any nothing to Orient Myself. There was no space, there was no time, there was no self. And um, it was just unendurable this punishing roar and my years and someone who had done it said, eventually it's like a takeoff and you get into orbit and it, and it's, it's very nice at that point. But what happened with me is I had the, I had the, I mean I felt like it was like, the metaphor I use in the book is like I said, I can't explain this. You can't tell a story without place, time and character. Right. I had none of those. Right. Um, it was just this in Kuwait energy and I said it was, it was like the before the big bang. You remember that? Well, obviously nobody does. Yeah. But there was pure energy and no matter yet, and no time yet.

Speaker 2:          01:05:40       I mean, that's where I was. And um, it was horrible. It was terrifying. And I thought I was dying, but then you, you come down, it was kind of a suborbital flight. And then I started coming down and suddenly I could feel, oh, I've got a body, you know, it was touching my legs. I have a body and like, oh there's a, there's a floor, there's their space. And then there's time and the, and the universe kind of reconsolidated. And I had this feeling of incredible gratitude, not just for being alive, which all of us have had at one point or another, but that anything existed I was, I was grateful for the fact that there is something and not nothing, because I'd seen what nothing was lying. And so in that sense it ended up kind of positive, but you wouldn't want to go there to have that experience. So subsequently somebody said to me a very experienced psychonaut who I was telling the story too. He said you didn't have enough.

Speaker 3:          01:06:34       I was just going to tell you. Really? Yeah, cause you only took one hit. Usually take three, you take three and the rocket lied. The rocket ride leads you somewhere. It takes you too. You take three, three, three, three, three in a row. Take a same time, blow it out. Take a big one below it out. Take a big one, and as you're taking the third one, you're already seeing the world crystallize in front of you had already starts turning into geometric patterns. He put the pipe down, lay back in the chair and just shoot off to the center of the universe. The terrifying thing is you cease to exist like, yeah, it's the one drug that I've ever taken where you don't, you're not there anymore. Yeah. Uh, even an end dimethyl trip to Maine, which is the difference between five methoxy diamond field trip to me is just an oxygen oxygen molecule attached to it, but [inaudible] and dimethyltryptamine is incredibly visually stimulating. Five methoxy is not, it's just white.

Speaker 2:          01:07:26       It was white. It was definitely, I don't know how I could have taken three hits because I hadn't excelled. The first one when I was gone,

Speaker 3:          01:07:32       you said, well, I don't know what you're, I was, I only did the synthetic version of it and you're doing this. And the person I know who

Speaker 2:          01:07:38       did the synthetic version had a very different experience and they felt like they were installed in the firmament as this happy star, but I didn't get there. So it, who knows I did something wrong. Okay.

Speaker 3:          01:07:48       I don't think you did. I just think you had a different experience. And I mean I've obviously, there's gotta be some sort of chemical different, you know, you're probably getting other things in that frog venom as well as pure dmt. That may be it. Yeah. I mean there's all, I don't know the answer to the fucking frog spit do you, by the way, no carbs. No frogs were harmed in the making of this drug. It's excreted on the outside of their body and what most people can milk them. Yeah. You, you rub them on a glass and then let it dry off and then you scrape it off the glass and crystal get, yeah. You just kind of squeeze them. And then it sprays the glass and overnight it turns into it looks like brown sugar. Yeah. It's an amazing thing. You're the first person who knows anything about it that I've had that who is going to be able to buy it used to be able to buy legal time recently 2011 jug of this shit.

Speaker 3:          01:08:36       Oh my God. Offline. Uh, I bought it from some company, American chemical company or something and they send it to you. And I had enough to get the entire state of California high for several days because it doesn't take much, but it's not something you want to do very often. I don't think it has the same kind of healing properties because you're not bringing back information that's usable bag a lot. Yeah. I brought back a lot about myself and one of the things that I realized as I was, I recorded what I would do is post trip, I'd hit a tape recorder right when I became conscious again and start talking about the experience and what I remember saying about the five methoxy dmt experiences. Like, as I'm trying to recount what happened, I feel my ego trying to retake, hold the situation and even use words in a way that might impress you with my ability to describe things or as you know, as a professional comedian too, I was aware that like a lot of what you're doing, you're saying things in a way that's pleasing to people so that they get excited about hearing you talk.

Speaker 3:          01:09:39       And I was very aware of that while I was doing that. I'm saying, I'm saying I'm trying to explain things that are not possible to explain because the words that we're using were all invented for a world that doesn't exist in the DMT dimension. And it's once, once you break through, it is so profoundly alien that any words liberating. Yes. Yeah. Well in a way, I mean it may, it may be really truly realize that we are in a soup of, of Adams and that it's not, yeah. There's not like Michael Pollan, Joe Rogan and Jamie Vernon in a room. Here's a wood table. There's oxygen in between. No, this, we're in a, an universal stew of particles. Yeah. And it breaks those particles down, or at least it gives you a view into that and you cease to exist, which is the most bizarre thing because it's so similar to end and dimethyltryptamine chemically, but so different in the fact that you're not there while you're doing regular d n and dimethyl trip to me, which is the active ingredient Iowasca if you'd done that, the pure version of it.

Speaker 3:          01:10:43       No, not the pure version. The pure version is like a very short, much more intense Iowasca experience. I've never done Iowasca. I've only done the dmt version, but the injection or no smoking it, but when you, what you get out of it is you're there while this is happening and you're just blown away and you're like, I can ask drew and I don't see, but there's all these entities are trying to calm you down, relax, relax, take it in, settle down, settle down. They're all trying to calm you down and, and, and, and alleviate. Yeah. It's, it's, it's weird, you know, and they're also fucking with you. Like they give you the finger. Like I had a bunch of jokers that were like dancing around me, giving me the finger machine elves to, I don't believe in that thing. I don't know what that is.

Speaker 3:          01:11:29       Like Mckenna had those experiences of machine elves. I never saw, I saw it. What I described is complex geometric patterns that are made out of love and understanding. They, they seem to me to be like the building blocks of the soul all around you all the time. Like some just gigantic, impossibly large, infinite well of souls. Just these things dancing around you and they were, they were never one thing. They would be one thing for a second and they change into something else and they change it to something different and the more profound the experiences God, the more profound the next one would be. And they kept saying like, look at this, look at this. Like the, but the words weren't real words. That's the other thing. It's like I'm saying the words, look at this and I would have that in my head, but I never heard anybody say it. It was almost like it was triggering those, the, the concept of those words in my mind,

Speaker 2:          01:12:23       right, right. It's, it's pre or post linguistics, some of these experiences. So when you, you, you asked about dumb moments though, but um, you know, I had one where I had this like cascading since flood of love tour. I was thinking about my family, I was thinking about my son and my wife and my parents and, and you know, it sounds like so banal and one of the things that happens is that these platitudes that love is the most important thing there is. Okay. Take that for, except that could be on a hallmark card, but suddenly it's infused with like, yes, that is so profound. And you know what? It is profound. But we have these defenses against seeing it that way because we've heard it so many times, you know, a sense of banality is just from repetition, but you're put back in touch with, you know, a platitude is a truth that's been drained of all emotion and the emotion comes back and it becomes really powerful.

Speaker 2:          01:13:22       So I, there's a whole riff in the book about platitudes and like, oh, we have to rethink these platitudes so it can make you sound like an idiot. Um, but is that right or is that right? You know, and I, and I actually think the experience is more truthful than the ironic cynical perspective that we bring to it in our everyday lives, which is a defense against powerful emotion and being overwhelmed every day by wow, love, you know, whatever it is. So you, you, you end up revaluing those kinds of things. And that the, so that was a really important takeaway from me. The other was having an experience of ego dissolution that which can be scary, can also be very blissful if it's then followed by emerging with nature or other people. And I do think that is the therapeutic agent in these, in the people who are

Speaker 4:          01:14:12       healed, that our ego does keep us from perceiving certain things and it enforces really destructive stories. We tell ourselves like, I can't get through this day without a drink. I'm unworthy of love. Uh, you know, the voice of self criticism all. And we get trapped in these loops. And especially as we get older. And that's one of the reasons I think psychedelics are actually more valuable the older you get because we are creatures of habit. And by now we have these mental algorithms that organize our, our, our response to everything. And sure, that's very efficient. Um, but it blinds you to experience it, blinds you to the everyday wonders and Psychedelics, you know, softens those habits and, and, and helps you get out of those grooves. And for me that was really useful. And uh, it's only, I think it's the experience of ego to solution that allows you to, cause your ego enforces those habits and you get a little break.

Speaker 4:          01:15:10       There's a beautiful metaphor. One of the scientists I interviewed in the book, a Dutchman working in, uh, in imperial college in London. He said, think of your mind is a hill covered in snow? And your thoughts are sleds going down that hill. And after a while, after a lot of thoughts have gone that hill, there'll be these grooves. And then getting to get deeper and deeper. And to a certain point, you can't go down the hill without slipping into those grooves. That's who we are is where like, you know, at this age and, um, what psychedelics do, he said his is flattened the snow, lots of fresh powder and you can then take the slit anyway you want to go. That's a great way of describing it. I've always talked about predetermined patterns and grooves that people fall into. So it's amazing hearing him say it that way, but that's a much better way of describing it.

Speaker 4:          01:15:55       Like snow, the sliding these thoughts down, these already existing patterns. That's amazing. That's, you know what you said about love and, and, and being cynical. That's so important too, because there's something that's something that people are, they avoid sincerity. Like there's something about it that it makes you too vulnerable or too open to criticism or to open to ridicule. And we're worried about being sincere. And I do think that that's one of the primary benefits of psychedelics. Yeah. Well, we live in an ironic culture and we defend ourselves against strong experience or self exposure by adopting this stance. That's ironic. And, uh, cool. And, um, psychedelics is not a cool experience. It's the opposite. Well, it's cool when it's over. Yeah. But yeah, it's, it's serious stuff. And, um, how much did you pay attention to Mckenna's theory? Uh, about, uh, the evolution of the human brain of the stoned ape theory that yeah, I looked at it, um, but I found I didn't find it persuasive. And in fact, if you press Terence Mckenna, he didn't find an entirely persuasive, it's a very, it's an interesting speculation. It's kind of a mind game. I don't

Speaker 2:          01:17:10       see how I can see how uh, psychedelics would influence the mind and, and, and, and create new ideas, new memes, um, and Mike contribute to language. Um, but how does it get into the genes? That's what I had to change the genes cause he said it changed us at the genetic level. I see. Psychedelics is having had a profound effect at the level of cultural evolution that there are lots of interesting innovations that people who had psychedelic experience introduced to our culture. We talked about religion earlier. That could be one. A, I had a wonderful interview with Stewart brand, the founder of the whole earth catalog and his insight. He had this profound insight, um, during a psychedelic trip on the roof of his house in North Beach. And he saw the curvature of the earth in a way he hadn't before. And he said, God, if we could have a phone, this is 1966, we had never seen a picture of the earth from space yet.

Speaker 2:          01:18:05       And he said, if we had a picture of the earth from space, and we could see it as this round space ship, that would change everything. Because if you think of the earth is flat, as most of us instinctively do, it's endless. There's endless resources. Uh, you don't have to worry about limits in any way. But if we had that image and he realized, we, I have to start a campaign to get NASA to turn the cameras around. They're on their way to the moon, show us the earth from space. And he said, I'm going to make a campaign. I know, and he's, you know, this is not an LSD. I'll make a button, very important medium in 1966, I'll make a button. And what should the button say? It should be a little paranoid to get people's attention. Why haven't they shown us an image of the earth from space?

Speaker 2:          01:18:45       Yeah. That's what he would do. And he started a campaign. He started selling these buttons and the campaign got in the newspapers and it goes viral as you know, as viral as you could get in 1966 and two years later and NASA produced that image and he put it on the whole earth catalog and that image galvanize the environmental movement. So it's those kinds of memes that psychedelics introduces into culture and that changes culture, that image changed culture. Um, and I think there are hundreds of them. I mean, Steve Jobs talked about his use of LSD is very important to his, uh, formative experience. And in fact, there's a whole tradition of computer engineers going back to the 50s using lsd that I wrote about in the book. So, but I don't see how we were selected genetically because of the, there was an advantage to the people who were taking a lot of psychedelics. Um, that's where he was at me. Maybe I'm misrepresenting it.

Speaker 3:          01:19:37       His theory is that it coincides with climate change and these lower hominids experiencing experimenting with different food sources. So as the rain forest receded into grasslands, they started experimenting by flipping over cow patties and finding grubs and, and perhaps even mushrooms that were growing on these cow patties. And his theory was that there's a bunch of different benefits. One low doses of silicide but have been shown to increased visual acuity.

Speaker 2:          01:20:06       The hunting dogs in certain cultures.

Speaker 3:          01:20:08       Yes. Yeah. Make you a better hunter, make you more in tune with what you're doing, um, that it would make you more, it would a central nervous system arousal including sexual arousal. It make you more horny, which would make you productive, appropriate more often. And that the, the very unusual effect that psilocybin has on the mind could have led to language and could have also led to the expansion of neurons. That language to me, brain out of cultural evolution. Sure. Yeah. The doubling of the human brain size though, was it? The particular thing is that it coincided, according to the Mckenna, it's been there. There's a lot of people that disagree with him, but his brother makes a very compelling case for him and his brother Dennis, who's still alive and was a brilliant, brilliant guy. He talked about it on this podcast. He talked about his take on the stone Arab or a stoned ape theory scientifically, why he believes it's really what happened, but that it does coincide with the change in climate of these, these, you know, eight black people trying out different things and that the doubling of the human brain size over a period of 2 million years, it was like one of the greatest mysteries in the entire fossil record.

Speaker 3:          01:21:13       Their alternative theories. I mean, I wrote it up. One of my last big all coincided maybe cooking with fire. Yes. You can explain the increase in the brain size because you get more nutritional value from cooked food, the throwing arm, uh, the, the, uh, the desire to hunt all these different animals and the calculating all these different ways to do that. And communication. I think there's cooperation. A bunch of coinciding fat and it may well be that, that, uh, people were eating everything right? Our ancestors, it's amazing what they ate. And uh, and no doubt they ate psychedelic mushrooms and no doubt. I mean, he also believed that language was a form of synesthesia in the way that synesthesia you can smell a musical note or something like that, that you're taking a sound, a meaningless sound, uh, you know, um, and, and you're attaching it to a concept that maybe that happened on Psilocybin, but a bunch of ideas that never panned out.

Speaker 3:          01:22:05       He was, he was, he was in high or audibly creative person and yeah. And, uh, and, and they're all, you know, really interesting to think about some of them. I think you could probably discredit based on what we understand about genes and evolution, but others are just really provocative. That's where his brother comes in. Yes. His brothers, his brother's a scientist, strict scientists. It doesn't, he doesn't tolerate any of the woo woo and straight and he's skeptical of his brother's idea is to open. Yeah. I mean loved his brother, but he was like, oh, there's a lot of things that weren't really accurate, but also terence Mckenna to, we'd say, well, you know, just putting these ideas out there. The guy was a constant pot user. He was constantly doing psychedelics and really good talker. I mean, he would have a podcast now, right? Oh, it would be amazing.

