Speaker 1:          00:00:01       Joe rogan podcast all day, the Joe Rogan experience podcast all day.
Speaker 3:          00:41:17       And not until that was 99, not until 2004 when I read an article out of Turkey, Turkey, they have a lot of pugilist. I like boxing. And there was this one article that said that boxers in Turkey were found to have unusually high amounts of growth hormone deficiency. And the following year, muay thai in Thailand came out. And then that was my epiphany. I went back to the literature and started finding one, two, five, 10 articles talking about head trauma associated with hormone deficiency and from 2014 to present, that's all I read is these relationships and we know in gerontology and geriatric medicine, internal medicine that as mail gets to be in sixties and seventies that you see them go through a process that they called dysthymia, which is a mild kind of a blue, you know, feeling blue depression and they have significant testosterone deficiency. When you replaced it, they get better.

Speaker 3:          00:42:10       so why can't we see that things that accelerate your last head trauma leading to testosterone deficiency causing depression, that looking at the older generation who have, or the older age individuals who have hormone deficiency, both males and females that they developed depression. Why can't you link the two? And that's where the problem's been in linking the two issues. Hormone deficiency for whatever cause can predispose you to, uh, issues of, uh, you know, uh, psychological problems and psychological problems like depression is the number one is fatigued. Did you have fatigue, fatigue, fatigue with out being able to sleep, correct. Fatigue, insomnia, depression, rage, just for no reason. You just start being angry and rage, screaming at people. Patients has gone, a libido, sexual drive is gone. You start doubting yourself. A sense of wellbeing is gone. A plum has gone confidence and assertiveness has gone and that's this issue of what they call co-morbidity.

Speaker 3:          00:43:12       When you're arguing the fact of it being ptsd, psychological versus a physiological cause for that psychological, I think the head trauma creates the scenario biochemically to allow you to have sensitivity to these things that are called cycle effect of disease or cycle neurotic diseases or whatever they're using today. So it predisposes it so it mAkes you susceptible to the correct or the bad thoughts. Correct. What's the difference between, you know, you were talking when you were talking to jason, that when you saw, when chris saw his kids, his personality changed. That was the stimulus that was something that, you know, put them on a peak. Same thing with hormone correction. It can correct those thoughts and we're finding something called neuro steroids, which are the minor hormones that run through our body that are lost during inflammatory processes throughout the body can affect the brain that stabilize our ability to not be schizophrenia.

Speaker 3:          00:44:04       Our ability not to be depressed, our cognitive ability so that the long neurons that conduct information over long period of time to ingrain our raw memories and so forth are stabilized. And if you lose that stabilization, it's like pulling the plug. You lose that ability to control it or you know, turning the sound all the way down. So by correcting the hormones, that allows for the sound to come back up to where it should be so that you can function at the level that I'm matthew is. We have a lot of people that have had a multitude of injuries. Um, what happened was because of a laboratory access medical lab in Florida, they gave me a grant. And what happens that they gave me a chunk of money and I matched it out of my pocket of my practice to provide the type of services that matthew in a large group of other vets from the green berets from the navy.

Speaker 3:          00:44:59       Unshipped navy. It's same navy, right? Yeah. The st louis side, the blue side. Right. And, um, in fact, matthew matthew was the last one to get in on this program and because we ran out of funds and, uh, we did a radio show a couple of weeks ago and one of my patients calls and offers US the money to get the system back up and running. And last week when I was lecturing in vegas, I'm approached by someone who had put in a grant with deal with the dod, uh, doctors and get a patty and dr dash at a university test of Texas who are now helping me to apply for a dod grant so that I can continue doing the work that we've been doing. I'm still taking money out of my pocket. And uh, the lab is still providing us With the funds so that we can have a trickle of people, but before we get 10 people at a time and they've all gotten better, just not a lot of people that are talking about this though in the sense that the way you're talking about it, like did you see the hbo real sports piece on traumatic brain injury in football players?

Speaker 3:          00:46:02       No. Well you're, you're seizing all these pieces on these guys that have all these issues, but what you eat, well they know what they're saying essentially is we have to be careful with the amount of damage these guys take and football and there's gotta be some sort of methods in place to mitigate this or at least to monitor, like put sensors on the helmets, but they're not talking about hormones. They're not talking about an another avenue of treatment that is based upon doing the right testing to see what the problem is. They're not doing the testing to find the hormone deficiency. Defining, finding brain damage. They're finding you're going to find dte, the encephalopathy from trauma. You're going to find that. And what the literature is I referred to earlier is showing us that we can regenerate neurons. It's been done, we can heal the brain.

Speaker 3:          00:46:51       And the piece that came out in life extension magazine a couple years ago, you know, they interviewed me for this thing about healing the brain with hormones is happening and healing the brain, regenerate neurons. Like how has that done and what's the process involved? Well, it was my three hour lecture, so I'll make it as short as I can, having head trauma. It initiates a group of inflammation, inflammatory cascades in the brain that have, that changed the chemistry of the brain so that the natural ability of the brain to regenerate nerves is lost. we're finding that thyroid hormone, specifically thyroid three trial to directing, is extremely important to help stem cells in the brain, which they just found, you know, recently in the past 10 years that we have stem cells left in the brain that could regenerate the brain. so when you're thyroid deficient, what happens is the cells lose their ability to stimulate growth factors for nerve regeneration.

Speaker 3:          00:47:48       And so having all the hormones back, removing the trump, the inflammatory processes in the brain can foster a neuro permissive environment with the nerves will grow and the sciences there, they showing the things that stop the things that stimulated and in head trauma, the not have been testing it because the difficulty is in order to know what's going on in the brain, you have to take a brain biopsy. They'd been trying to get a markers. s 100 is one of the markets they're working with right now. That just tells you that it's happened. You know, we're doing so phenomenal at diagnosing that you have traumatic brain injury and seeing it on one of the neuro radiological techniques, but they're failing in treatment. What about the connective tissue between the brain and the skull itself? I mean, isn't that an issue with boxers and fighters that have had repeated trauma to see the connective tissue gets damaged?

Speaker 3:          00:48:41       What happens is subdural hematoma, which is a bleed between the pia mater in the brain. And then there's intra, um, cerebral bleeding that occurs. And what happens, the cause for loss of consciousness is because you've torn, you've shared is what they call an shearing or too few secs o'neil trauma. You've broken the long nerves that connect everything to keep you stimulated to be awake and through this process called an mri or a dtm mri, you can actually see a where nerves have broken and when you break them, that's when you lose consciousness. And so we can detect it. We can not regenerate those directly, but we can build secondary pathways and that's what they're finding. There's a chemical called nogo a and o, g o a, which actually inhibits the ability of nerves to regenerate. And it's by controlling the environment, you know, using ivy gludethyon, using some of the products that we have that can allow the brain to have an a environment and environment where it can regenerate.

Speaker 3:          00:49:50       So the, the, the trauma to the brain itself, the nerves that get damaged will never be replaced. But the secondary pathways that are created to in response to that damage, can they put someone back to the same state that they were at? Will they always be diminished? Like say you're talking about a guy like you know, an unnamed mma champion who at the end of his career starts getting knocked out a bunch of times and we see that with guys who used to be able to take tremendous punches and now all of a sudden they get hit and they just go. Is that because of all those nerve breaks that have happened over the course of their career and the secondary

Speaker 2:          00:50:28       pathways just simply inadequate or is there another response going on where the mind is protecting itself? This is what I've heard described to me. They're shutting off quicker because the mind has recognized this pattern, oh, we're receiving trauma. The best way to do to mitigate this is just shut off.

Speaker 3:          00:50:46       Well, that's a simplified version of it. I'm not to make it too deep, but their tolerance has changed. We're in the past, they have a regenerative capacity or they have endogenous system inside that can help to keep things in balance. When you've lost the ability of this automated system to control things, you pass out whether or not it's the vascular. You're more sensitive. Vascular, so on the head trauma, the blood shunts from one area to another, so you lose the blood that keeps you awake and you pass out. Um, neurologicAlly, yes, they could be breaking more nerves and therefore I'm losing it more readily. It's about resilience tolerance and how much of that you've lost. So you no longer have $100,000 in your bank account. You got a penny. So when you buy that piece of gum that you can't buy you your empty.

Speaker 2:          00:51:41       So any shot, I mean that's what we just shot a shot to the head. They just start going and that doesn't get fixed.

Speaker 3:          00:51:48       correct. Can't answer whether it gets fixed or not because it depends on the individual individual looking at their hormonal. May lou looking at anything else that's a cold morbidity, things that are predisposing them to have a more sensitive response to it. Uh, you know, certain drugs, alcohol, I mean a lot of the drugs that we use, there is one drug that's used a lot, I won't say the name, but deals with cholesterol that doesn't allow cells to regenerate. Also wax your vitamin d and your co q 10

Speaker 2:          00:52:17       when something like that. I can't say the name because I want to get sued. Doesn't want the fucking evil army comIng after them. Well, there are articles showing that to know that the cells

Speaker 3:          00:52:27       breakdown more readily and there's a process for processes in the brain which regulate a nerves staying strong and then being destroyed by.

Speaker 2:          00:52:37       So anyone who's on those kinds of drugs, like anti cholesterol drugs, they're risking a lot of damage to their body. There are multitude of levels you shut off because I have a friend who's on it. Well, anthony bourdain's on it. Uh, you know, and he's, he's on it because he won't stop eating pork. Is it kosher? No, I don't believe he's jewish. He may be the port kosher. Obviously he isn't, it doesn't. Dad's french, right? It could be jewish. I don't, I don't think he was a. Well he's not religious, but he, the Libya. So it doesn't matter. Yeah. But my point is he's, he's taking this just because he doesn't want to do anything to reduce his cholesterol because he, because he enjoys fatty. Awesome food and enjoy it, but that shit is not good. Right? Well,

Speaker 3:          00:53:22       so if cocuten vitamin d in one of the chapters of the new book where I talk about, um, treatment for hormonal, the first case that I presented as a guy who came in to me who was on one of those cholesterol lowering drugs and his, all his hormones were down because cholesterol is the precursor to all our hormones are androgens and estrogens. So cortisol, cortisol, pregnenolone, testosterone, estrone, island, dht and dah da. And they were all reduced. all we did is stopped. Is staten drug and it all came up. I didn't have to do anything. And what do you do to reduce cholesterol other than diet? Like for a guy like that? well, opens up nice, warm the box of worms. The question is, is cholesterol really the issue? When you look at the statistics, 50 percent of all heart attacks happen in people with low or normal levels of cholesterol.

Speaker 3:          00:54:17       So the question that any intelligent person has to ask, excluding myself, is that I'm than what's causing it? How did these people get heart attacks? if the cholesterol is normal or low, why don't die of a heart attack with my cholesterol between 75 and 3:49, and my ultrafast ct scan that looked at my coronary arteries were perfectly clear. how is it that when my best buddies, who's a fighter pilot, uh, has a cholesterol 1:40 to 1:50 and he ended up having open heart surgery because his cholesterol is calcium count was greater than 2000. Mine was zero. His was greater than 2000, less than 100. Great. Greater than 400 dangerous. He was greater than 2000. He had 95 percent occlusion of the main artery. The left anterior descending ends up having open heart surgery and you know, hard to re replaced from his leg. How do you account for it?

Speaker 3:          00:55:05       Well, we went back and we did a series of tests which were gifted by this laboratory. I work within Florida, which called the [inaudible] that looks at the inflammatory markers, inflammation markers that lead to heart disease. So something called pla. See small density, ldl, homocysteine, c reactive protein. There's a whole group of chemistry that causes inflammation to lead to the hardening of the arteries in the body, responds by putting calcium down. That's the atherosclerotic lesions to try and work like a bandaid. And, um, what spinoff that you've heard of culation therapy? Well, culation therapy for many years has been pooh poohed by medical community. In three years ago, the federal government did a study and what did they say? Culation therapy works. What is culation therapy relationship is a two levels of it. One is to remove all the toxins from the body. Our focus was to try and remove the castle calcium deposition of in the arteries and use calcium edta, sodium edta, festival title coleen chemicals that remove it.

Speaker 3:          00:56:04       There's a, a, another product which is called k one, two, three, and seven, which helped to remove calcium deposition from the lining of the arteries. So if you can remove the calcification, you improve the atherosclerotic lesions that narrowed the blood vessels and lead spasming and inflammation that calls and cholesterol. Cholesterol is has two major functions. One is to supply the cells with the precursor to all our hormones except growth hormone and so forth and thyroid and all the sex hormones, and also to repair the wall of the arteries and studies that were done where they took a whole bunch of stuff like trans fatty acids, nicotine, sugar, uric acid, cholesterol, c, reactive protein, testosterone, estrogen. They put it in cultures of the lining of the arteries called endothelia. The only one that didn't cause inflammation was cholesterol. Wow. Wow. And then a lot of articles you know that talk about this, the myth of a cholesterol myth, and that's what I see. Otherwise I have hardening of the arteries, but my genetics on this panel that we do an lp six, all my inflammatory markers are low. My cholesterol is high in keith. His inflammatory markers are high, but with low cholesterol.

Speaker 6:          00:57:20       And so is this just a legacy? Diagnosis is just something that we've said for so many years. The cholesterol causes heart attacks and it just imprinted in our brains. I do remember when people say sodium causes high blood pressure, but if you have no fucking salts, a mineral, goddammit, it's an important part of your body like you. You need salt, you need certain amount of it.

Speaker 3:          00:57:42       Correct, and I think they're making generic statements where they're selective. It should be selective in certain people. Sodium might be bad in certain people. Cholesterol might might be bad. I don't see it

Speaker 6:          00:57:53       wasn't that sodium. The whole diagnosis of sodium causing all these health problems. Wasn't that like inherently flawed in the first place?

Speaker 3:          00:58:01       Yes. What was that? Did you remember what it was specifically, but they were saying that overload of salt in certain racial groups. Can I say that? Yes. You don't say the blacks. Okay, fine. Then I won't say that. I'll say in certain racial groups they've always been known to be more susceptible to a kidney related issues and fluid retention on sodium, so it predisposes them to enlargement of the heart, congestive heart failure, fluid retention in high blood pressure. So in treating certain racial groups, use diuretics that make you go pee to lose the fluid and the blood and other groups use beta blockers to relax the contraction of the heart, other ones to stretched the blood vessels and so forth. So every, um, genetic predisposition has a specific kind of medication that works best. So you can't ubiquitously say, okay, everybody needs a stat and drug. Everybody needs water pill, everybody needs a beta blocker. You have to be very selective and this is what's being lost as matthew experience in his experience. You walk in wiTh any of his symptoms and everybody gets on a prepaid prepaid package of medication instead of individualizing what he needs. He just needed a blood test, a $179 blood test to look at just his testosterone related issues and find out he was deficient and replace

Speaker 4:          00:59:22       it. Any. Are you still on your medication? Any medication? Nope. You're on off everything you go through withdrawal will that morphine and uh, I'm sure it's been awhile, but I know I still take oxycodone and they come down to um, between two and three pills a day. So it's five, three, 25. How many were you on at the peak? Eight a day. A day to day. And that's with morphie? Um, I was on four day. And then you're still taking oxycodone for pain? I do, yeah. And what is the, what, what is causing your pain? Um, well, my gunshot wound in my leg, uh, developed compartment syndrome in there. So essentially I guess the easiest way to describe that as the blood goes into the tissue, it doesn't have anywhere to go. So the pressure builds up and it starts breaking down muscle, a muscle tissue and it's painful.

Speaker 4:          01:00:12       Um, I have six titanium bolts in my jaw from one of the explosion, so I have a lot of joint issues and I took shrapnel in the side by my ear canal. So I just have joint pain from all the movement. Um, yeah, just stuff like, I mean it's not, I'm not near where I was. I mean I have arthritis, things like that. Um, But yeah, I mean I think I was on fentanyl 25. Was it micrograms I think is what it was. Twenty five milligrams every three days. So it was a patch of morphine and was I'm 40 milligrams a day I believe because I think they're 20 milligram pills. I'd have to remember that. And then oxycodone was a five, 3:25 and I was on eight of those and then. So now I'm down to no fentanyl, no morphine and uh, just three. Oxy was a day and it seems to me, I mean I'm ignorant to this, but that still seems like a lot of pain medication for your body to absorb and process is that. It is a lot, but you know, he's got a detox and then you can go through cold Turkey.

Speaker 4:          01:01:15       So I've been on um, the testosterone replacement a little over three months and from there I went from um, I got off the fentanyl a little bit before I started that because I just, I couldn't function with that and there's too, too high. Not high, but I didn't feel high because I was in pain, but I felt down like a suppressed immunosuppressed I guess, something like that. So I went off the morphine and then within three months I went from eight oxies down to three and so, I mean it could be two or three, just kind of depends how I am during the day. So I might take one in the morning when I wake up and then maybe one at night. And is the goal to eVentually eliminate that completely? Yes. Yeah. Hopefully three months Is a pretty significant improvement. I mean, that's amazing. It's such a short period of time. That's the pain meds. That's even the antidepressants, anti anxiety. I mean it's all this stuff. I mean, the only thing that's left out of like a 12 medication panel is literally just the three pain meds. How, how did it, your relationship at home and you have kids almost impersonal. I mean this is what we got divorced. So that. Yeah, that end you have, you have a couple kids, right? Yeah. Um, yeah. I mean I'm,

Speaker 4:          01:02:35       yeah, I mean we're divorced. I mean I interact with, uh, with my ex every day, but

Speaker 8:          01:02:41       um,

Speaker 4:          01:02:43       I'm pretty sure she's got a bitter taste left in her mouth. But does it, um, maybe that was the wrong way to phrase the question, how has it affected your ability to like deal with day life stuff? Yeah, it's much better. I mean, it's hard to even describe it because it's so normal. I mean, I feel so normal now to where it's not an issue.

Speaker 8:          01:03:04       Um,

Speaker 4:          01:03:05       I mean I'm not having that issue of just the biggest thing for me I think was um, the ability to let go when things are upsetting, you know, little things that people everyday just tap in this part of life. Whereas for me, it was end of the world and you know, I want to tear things down. We're now at, just kind of goes off. Um, my interactions with the ex have been better. There's a lot of hurt there. So that comes out sometimes and on both sides because a lot of mistakes were made in anger or in pain. And, you know, that's for me right now, the big thing is physically I'm getting to where I want to be and I'm getting, you know, I'm not, I'm not 100 percent there, but I'm 80 percent physically where, where I want to be and you know, I still got a little ways to go. Now the second half of that will be working mentally tr, trying to figure out what it is I need to do to mentally get 100 percent clarity of where,

Speaker 8:          01:04:04       um,

Speaker 4:          01:04:06       I can think is clearly as possible and deal with any of the things that have happened, whether a pre military military and after. And it is going to be a challenge because, you know, I'm trying to heal broken relationships, you know, my wife, my ex and I, um, she's with someone and very happy. So does nothIng there.

Speaker 8:          01:04:24       Um,

Speaker 4:          01:04:25       I'll always love her. You know, she was the only woman I've ever loved. And so that's there. But I want the best for her and it wasn't with me at that time and she's moved on and that's okay. It wasn't okay for me beforehand because I mentally couldn't brought us it, whereas now I can look at it objectively and say, I get it. I just want you to be happy and that's awesome, man. Good for you. But it's an attitude that, man, I wish more people would take, but it's not. It's not easy. Yeah. That's incredible. That's not easy. Now, how many other people have you turned onto this? I mean, you, you must know other guys that are suffering from similar conditions or at least you suspect they might be. Sure. Um, that's this process right now. It's part of coming on the show is we're creating a dialogue as we would like to say Because no one knows us.

Speaker 4:          01:05:13       We want to empower veterans to be able to say, hey, go into their doctor and with something just to say, hey, can you do this? Because now they don't know. And if they know they can at least start something or contact me or maybe jason now or Dr. Gordon and just get some kind of info and get it going. Um, and that's the thing, you know, we're kind of limited because it's almost like there's just a handful of people that are doing this Dr. Gordon and then a few doctors that he's trained and gone over and, you know, they're not, they're not in every state and every city and every va in every practice.

Speaker 7:          01:05:50       It seems like they're getting an attack to me. I mean, I, I got introduced at a naval special warfare event to a guy who's doing some of this work down in Texas that kerrick and, you know, you, you look him up and people are attacking him and no, this and that. And it was getting attacked by a doctor. Other doctors, people saying they were licensed to do this or, or it's experimental medicine or you know, these kinds of.

Speaker 3:          01:06:17       yeah, nothing that we're doing is experimental. It's all written about doctors are treating it whether they know it or not, you know, they're, they're treating patients who are testosterone deficient. They never go into great depth. Ask them their history because I know I get a lot of patients coming from other men's clinics type of organizations and there was a guy recently who wanted to transfer from his organization whereas from his clinic to us and I asked them to send a copy of his original labs and to make sure it wasn't about using steroids for bodybuilding or something of that nature. And he sent to the lab silver and screaming on the lab results. Very limited but significant enough you can see that he had traumatic brain injury in the past. So I called them up, use 41 years of age, called him up and introduced myself.

Speaker 3:          01:07:02       And I said, um, uh, were you ever in an accident? He said, yeah. At 18 years of age he was broadsided on the car and his head whip lash and hit the glass and broke the glass window. So we need to go and do a better job at history relative to traumatic brain injury. We're finding people who have hormonal deficiency and never ask about their history or someone comes into their doc because they're depressed and the first thing they do is they put them on drugs instead of asking them, have you had any head traumas or any slip and falls or anything? well, there's that delay effect too.

Speaker 4:          01:07:37       It doesn't have to be wrecked car onset, so when you go in there with this problem, no one's thinking to go, hey, did you have this? Because it might have happened 10 years ago, and so that's an issue with fighters. It's a big issue with fighters where I see guys who have retired and then even though they've retired, like say if they're retiring like 2010, you will see them three, four years later with no fights at all. They have deteriorated significantly over that period of time, like what it is. How long does it take? I've heard 10 years.

Speaker 3:          01:08:07       It can be up to 17 is an article that came out just recently that said that it can take 17 years and it might be that all their fights brought them up to the edge and then something silly like getting into a automobile accident, five to seven miles an hour, push them over the edge. We had someone in san diego, they had traumatic brain injury from a five to seven mile an hour rear end, but they've had history of trauma in the past. It's just how much of the hormone may lou do you have to lose before you flip into symptoms? You know, we have a lot of reserves, systems In our body, a growth hormone reserve, and when you lose that reserve, you start deteriorating from growth hormone deficiency with same thing with testosterone, estrogen, all the hormones. We have a reserved mechanism where there's a little bit hanging around and when you lose that reserve, um, you lose the battle. You then become a susceptible to all the situation, you know, the depression, the fatigue and so forth that occur. And how'd you get. How'd you guys all get involved together? How did jason get into this?

Speaker 7:          01:09:08       I looked him up.

Speaker 3:          01:09:10       You didn't look me up, looked you up on the internet. Did you really? Yeah. What would, what did you put in Mark Gordon or what?

Speaker 7:          01:09:16       No, I just, you know, I've been, I've been hanging out with these guys. I looked up ptsd, hormone therapy and your name came up, you know, a tbi, ptsd hormone therapy. Okay. And how did you hear about the hormone therapy? I've heard of some, some pretty well known a navy seal's going out and getting this therapy that clearly wasn't available to the army guys I was talking to who have never heard of this at all in any way, shape or form. And uh, you know, because this guy had some ways and means and, and was, was known. he was able to go get this therapy and is able to go get it and you know, it significantly helped his, his quality of life. And so to me, you know, this, this movie that we made is about a guy who's, who makes this huge sacrifice, you know, when he sacrifices spiritually, mentally, hIs family, everything for his beliefs.

Speaker 7:          01:10:14       And he comes home and he's, he's got to fight another war, you know, this guy fought as hard to get home as he fought over there and uh, and I just feel like we're looking at this thing and it's kinda like the public is just standing outside of glass and banging their head on it. everyone's like, well, why are these guys shootIng themselves? They hear the statistic that are like, why are these guys putting guns in their mouth? So I don't get it. They're not even asking that question. Just the general public is completely ignorant to it. I mean, the average person you walked down the street and say how many soldiers killed themselves? They would have no idea that it would be as many, if not more than that stigma I was telling you about. You say you have ptsd or something and they meet, whoa, we need to lock you up. You know, there's that mentality that now you're dangerous. And it's so. I think they, it's, you know, ignorance is bliss. Let's just snow. It's hard to talk about. It's hard to like, it's hard to dig in, you know? And it's hard to, we have this thing where we're like, thank you for your service and it's the polite thing say, and it kind of

Speaker 6:          01:11:13       also puts a hand up at the same time. You're like, thanks for your service. I don't really want to know what you saw or what you did, you know. And a lot of the guys correct me if I'm wrong, who served or like, hey, you wouldn't thank me if you knew what I had to do here. You know? And, and it's uh, it, it kind of prevents conversation in a way. Well, there's also that movement out there and it's not support the troops, you know, and it kind of, I mean, I remember coming back a few times and seeing protests and it's, it doesn't anger me, but it was a, a situation of it's like you, if you just knew this wouldn't be what you're doIng right now. So convenient to protest it mean just saying that you support the troops and just saying that you, you know, you want them to come back home is really support the troops come back home.

Speaker 6:          01:12:00       But that's all. That's very convenient. It's very correct. You know, we all would like less war in this world, but the reality of supporting the troops and the reality of the protesting as you're dealing with these people that have gone through something that you're never going to be able to comprehend, it is absolutely impossible for you to be able to comprehend just psychologically what they're dealing with and to add in this physical aspect of it. The traumatic brain injury, the loss of hormones, the the loss of the ability to cope because of this hormonal deficiencies. There's so much going on. there's so much going on and when you see people protesting, getting upset at troops, you're talking about kids. You're talking about 18 year old kids that are in unbelievably easily influenced that are sent over there and essentially brainwashed. You're immediately thrown into your.

Speaker 6:          01:12:46       You're thrown into these training courses that treat you how to block things out, how to become a trained killer, and then they come back and people want to protest against them. Like what do you expect them to be unbelievably unique and be able to deal with this and process it in some sort of a strange and very unusual way where they don't they, they become a conscientious objector. They step outside of it. I mean, when I see people protesting the actual soldiers themselves, it's very maddening because that could have been me. It could've been a lot of us. It was you and it could have been anybody who joins the military and that that shit drives me fucking crazy that you're blaming the soldiers for what happens. It's one of the, one of the most infuriating things and I've seen it time and time again.

Speaker 6:          01:13:33       It's so easy to do and it's so short sighted when there's also no course when you get, when you're getting. I mean really, there's no. I mean they do all these training things to help you deal with getting out, but there's no like magic course that you take and all of a sudden you can fucking deal with life again. I mean, you're used to a structured life almost every day. Have you do this at 6:00 in the morning? You do this at 10:00 in the morning, you do, you do this, you eat here, you eat when they tell you this much, you do this, and then you go over there and you're doIng the same kind of. You do these routines, you do these routines and then you get out and you're literally left to just fucking figure it out. Guys say that about prison as well. Yeah. Well why? A lot of guys want to go back

Speaker 4:          01:14:12       to prison. I mean I've known people who have gotten out, couldn't handle it and went back in because they were so used to that structure life. It almost is that kind of indoctrination of when you're 18 in a way because that's all they've known and they're still babies at 18. They don't, you know, maybe that's just how life was. That's just what they know and they go back and it's comfortable. It's comfortable. Yeah. Three or four years ago they had a strategy. Anyone coming into the military had to go through assessment and then when they exit they're supposed to go through some kind of exit assessment. Is thAt being done? Don't know. You don't know collIns, I think doing it, yeah, you always go in with some kind of a, a basic assessment physically just to see if you meet certain criteria. Um, but when you get out, I mean, so as like a person who is in charge of most of the team's health type of thing.

Speaker 4:          01:15:07       You do like physicals, you do their lab work, you do all this stuff for them. But um, yeah, I mean if it checks out, you just go, okay, you're good to go. I mean, you're not, I'm not doing anything extensive that needs to be done. Do they give you any psychological counseling about like how to reintegrate to society, how to deal with protests, how to deal with people calling you a baby killer or whatever the fuck Vietnam? Uh, I, no, not you go through like things where you have classes, like when you're a pqs and out or however you want to call it. Um, that just, you know, that teach you basic skills to how to get out of reintegrate into the world, but I mean it's very basic on like you can learn like job skills. I mean, I didn't personally do any of those courses.

Speaker 4:          01:15:57       I did different things, but they have these things for them and you go through these things but nothing like. And can you train anyone really to how to deal with being called a baby killer? I mean, you can't, I guess. I mean you just, I don't know. Well yeah, we put all this money into training them to fight it and then no money into training them to find peace. It's a very good way of putting it. Yeah. The internal piece that they need, that we need. And there's this uh, I don't know, you know, I look at the met, I've been doing a lot of thinking of the medication lately and stuff like that, just because I can't believe everything that I've been given and you know, it is, it's like there's a market in this ptsd thing right now and it's just like everyone's coming back.

Speaker 4:          01:16:37       If you have this symptom or that symptom, you go in there and you fall under this blanket of that and they're, they're gonna put you in there and you're not getting out of it because no one's going to look any farther than that and that past to change. They, they're treating everything backwards and so who knows, man, that's the info. Just needs to get out there. Well, I think this is going to help, but obviously it helped you the first time. I'm Dr. Gordon talked about it in the podcast that you heard. For sure. Yeah, I mean I deeply indebted that you have people on here that are coming in and sharing new ideas or just things that people need to hear. Um, yeah. I mean this. Yeah. I have no idea. I mean I could be dead right now if that hadn't happened because I mean let's be frank are probably would be dead and that in a way probably needed to happen for me to get enough courage to say this is something I need to try.

Speaker 4:          01:17:33       I mean, I had nothing, nothing to lose by applying or nothing to lose about coming down here and just seeing what was going on and trying nothing to lose. And the problem right now is we need to get money so that we can help people. We need funding, we need to get the word out there. Um, we're trying to get a non charitable going so that we can get donations, things like that. Um, you've been a nonprofit five, zero, one c, three non charitable or thinking of charity in my head and I'm just so people can get money because how many people are on a waiting list

Speaker 3:          01:18:12       right now? We have about 28 and we just got another to sober up to 30. ThAt's just your practice and how many people like you are doing this all over the country. We not just know fornia, no one. Jesus jason looked. I've got a couple of people who have looked. There's no one else doing it and now they're doing some very basic hormone because since 2004, I've been going around the world lecturing on traumatic brain injury and hormone deficiency syndrome, but it doesn't have the nuances that are in there, so they start off by giving. Just to start from. One of the issues with just giving testosterone is we have a mechanism in our body. If you give a hormone or a chemical into the body that's normally there, it shuts off the origin of that chemical. So upstream precursors are shut off. So in testosterone, the two very important upstream precursors or pregnenolone and dah da. So it takes about four to six Months before you shut off those two and they affect the brain. So what you'll see in patients who are just put on testosterone is that they'll start complaining that they're not experiencing the same effect. They're losing the benefit and the commonest thing that's done is they increase the amount of testosterone, increased the amount of estrogen. They get bitch tits, and they get, you know, feminine kind of attitudes and so forth.

Speaker 2:          01:19:26       What are you trying to say by feminine? Well, how dare you. I've got three daughters, you know, what are you trying to say? You're going to get the feminist as well. As long as they're pretty. That's pretty feminists. You just said jumbo tron, military intelligence. So I think it took huge balls for you to come down here and do this too. I had no idea. Was was

Speaker 4:          01:19:51       three months. Like. Honestly, that's fucking awesome. It think that's a success story, but you know, it's just how many other people do we need to have the same thing so they can wake up and there's guys, there's guys out there suffering, man, you know, we have a captain families, you know captain

Speaker 3:          01:20:08       who is. I'm 21 years after his initial, a traumatic brain injury and five weeks he was 70 percent better. He gets better. He gets redeployed to Afghanistan because he's better at for a year. He comes back and he's up in the eightY percent improvement. Ninety percent now he's been a have five shaped building in Washington over wherever he is and he's trying to help to find the avenue for us. Because you know, he's living, breathing proof that what we do is it works and it is very simple basics, back to the basics, replace the hormones that are deficient and protect the brain and it works. And the other thing is that we're missing or things like alzheimer's disease, we talked about traumatic brain injury. We think it's just blunt injury to the head while ionizing radiation from excessive x-rays, ct scans, regular dental x rays, skull x rays can cause damage to the control mechanism in the brain called the hypothalamus.

Speaker 3:          01:21:04       I'm also subdural hematomas, which is bleeding in the brain from like, boxing has now been associated with all the same symptoms and hormonal deficiencies akin to traumatic brain injury. So strokes or it's another one, um, surgery. Uh, I have, uh, one of the robin williams issue that this is that now there was one article that came out that started looking at this, uh, where there are some 20,700 articles that had been written on. I knoW that because I use something called google scholar and it tells you in zero point zero, one seconds, it pulled up, you know, 20,700 articles and you put in, um, cabbage, which is coronary artery bypass graph and depression, and you see 20,700 articles come up talking about postsurgical post heart surgery, um, depression and robin williams in 2009 had a major heart surgery on an air valve replacement. And now what we're also finding is that thyroid changes the thyroid production in the body changes after prolonged surgery and it generates a form of thyroid hormone that's inactive and associated with low thyroid is depression associated with damage to the pituitary from prolonged surgery is hormonal shutdown.

