Speaker 1:          00:00:25       Bob auditing, leaning. Dong, Dong Ding Dong. Ding, Ding Dong. Ding Dong. Ding Dong Ding Ding Dong

Speaker 2:          00:38:36       on to them. Wow. How about that? Yeah, my mom's still sorta got it. She's like 46 and kind of clinging on there and I knew that this girl from Texas who uh, her mom in her is like, like she's a slant to grind in from Texas. You actually know her too. I and the mom is a slut, like an older version of her and like they'll come over and have parties like in high school and college and like her mom would come out in like short tits and fucking like, it was just like, like hanging out. Like she acted like she was one of the kids. Whoa. And she still does it today though with with her, her Margaret. It doesn't, but doesn't she get like super rational and irrational fights too? No, she's actually, I mean she works for an airline and stuff like that, so she works, I'm thinking of a different girl.

Speaker 2:          00:39:17       Yeah. Oh yeah. We still have to talk about this so I'll know exactly what the file often do you guys bring up stories and you're like, and this said, said person went, we always try to edit around them as much as they're particularly embarrassing about a close friend. Very difficult. Yeah. You don't want to throw people under the bus. That bugs the shit out of me, man. When I watch TV shows or listen to a radio shows and people throw their friends under the bus too, probably she was doing heroin with, uh, some dudes. You could just talk about anything like Joey Diaz, like you, you don't have, you don't even have restrictions. He doesn't give a fuck. Yeah, I can tell that story. It doesn't care. I mean, he'll tell you stories about me. I was fucking Facebook east. He wrote that he invited the, uh, the guy he kidnapped 23 years ago to be friends with them on Facebook. And then we got accepted his request. Diddy, diddy. I Dunno. I Dunno. We need to find out. He's probably getting it. Getting harassment charges filed against Joey does, right. It's been 30 years.

Speaker 2:          00:40:14       I was kidnapped. She wasn't kidnapped. He was held at gunpoint to a new house to be like, where's your, where's your, as the drugs? Yeah. Yeah. We took it from one house to another. And you've got to think that. No, he tied that guy up, bro. Oh really? Yeah. He tied that guy up and he had a machine gun. It wasn't like a light crime. Wasn't like he was jaywalking and they got out of control. It's pretty intense. It was already doing some shit. Yeah. And on top of that, the, uh, well, the guy was selling drugs and you've got to think, anybody who's selling drugs, who's selling drugs back then was in the 80s. It was like the 80s. This is how drugs are real. Yeah. He can't that can't assume that guy's still alive. I'll be that guy. Be a lot. That's someone else at the same name.

Speaker 2:          00:40:51       I live, I grew up totally different than mountain lions and muggings from Columbus, Ohio. I was upper middle class. You never ran out of milk and Columbus. It's everywhere. People make their own milk. Holy Cow. Tipping. But was it like growing up in Columbus and then you know, eventually realizing that the rest of the world wasn't like that? You know, I was thinking about this last night, how weird it is that like my high school in my school growing up, there was only like two Asians. All right. There was one girl, one guy, the girl was named [inaudible], which was a video game that was popular or a company at that time. So she was like, who is this Asian girl? And she has the coolest name ever. Kidnap me. Wow. And the guy, I was his friend and we grew up together and my only

Speaker 3:          00:41:34       Asian thing was like, I was like in love with this Asian girl. Like she was like the only person like her of the kind. And that's where I think I got like Asian fetishes from one girl. That one girl. So did someone else date this one girl? Uh, no. She wished very shy. You know, I would buy her and those pencils that used to take out the end and and put it in the back by bottom. They have like little cartridges now. Oh yeah, I know. Yeah. Yeah. It was a big Japanese girl thing anyways, like she would give me like a pencil and then I'd go, oh, this is nice. And you know, no, no. And then I had, I had Asian several years later and it was like, you know, it was just regular sex and totally broke down those walls. And now my, the Asian fetish was gone.

Speaker 3:          00:42:18       But it doesn't, Nick Adams stories talks about having sex with an Indian for the first time and then no girl would ever compete without brown skin. Like plump woman from India or from America, American native American. Those bitches are probably wild. Those are crazy jungle bitches. It was weird about Mexicans. It's like out here, you're pretty much 50% 50 and Mexican and white almost, you know, short most everyone in Columbus, Ohio, there was like, I don't even remember any Mexicans. Like I remember there was like when the Mexican race started coming to Columbus and everyone's like, oh my God, sell your house, sell your house, you know, type thing. Yeah, yeah. I pretty much lived, had a house, a three bedroom house that my mom gave me. Yeah, I grew up, she got remarried and she was like going to sell and she's like, Yup, you want, you just have it, you know, you know, I do not have it but you, I mean he, she owned it so just live there.

Speaker 3:          00:43:07       And uh, I was living there for like three or four years and I just remembered the neighborhood slowly starting to see more Mexicans and to us they were like, so what was the problem? People would freak out. No, it was just that you can tell the neighborhood crime. Like my car started getting broken into, it's during the Mexicans from, no, no, no, no. I'm just saying at this time period, this is the facts that happened. And then, uh, my told my mom, I'm like, mom, I love this house but I think you should sell the house pretty quick. And so she's like, all right. So she sold it and then like two years later, that neighborhood is fucking destroyed. It looks like straight out of Mad Max. Like the apartment sign is like, she crumbled down and do your mic is like really hot? Is it, is it harder than everybody else's? Are you doing on top of it? You know, I'm just probably just on top of it. Um, did, um, so did this, was this engineer, cause they do that, you know, they, they do what's called blockbusting but right. Real estate agents will go door to door and they say, hey Mike guns are moving in. Yeah. You saw your shit now. Well I think they actually did move in now. That's the difference.

Speaker 3:          00:44:10       It would actually be like the British are coming the legs of Paul Revere Shit. But it's weird how like in Columbus, like you said, like we only had like the mix mud, the puppy, you know, like the mud. I didn't grow up with different races and the only racist we knew like Italians were all Italian. You know, they're were just like, that's weed through it. And three Italians, they all exactly the same. That's how that race acts. But

Speaker 4:          00:44:32       Armenian, see, they still wear gold chains. Gold chains

Speaker 3:          00:44:35       eat a lot. They're very friendly. You know, they're when Lasagna away from having sex with each other, you know, it was just

Speaker 4:          00:44:41       crime went up when the Mexicans moved in. It was clearly the Mexicans were causing the crime. Right. Well it seems like, but it seemed like the poverty caused it. But if, if, if the Mexicans moved in, you got to think that you're talking about lower echelon or class four ports were different team, different Mexicans and the ones out here, something happened to a new job, open up a new factory or some shit

Speaker 3:          00:45:01       started migrating. I think you know, lately, I mean I noticed from zero Mexican too, like a lot of Mexicans in Columbus, Ohio within five years.

Speaker 4:          00:45:09       Yeah. But isn't there something that draws them? They're like, don't they must have jobs. There must be something. I think there's been a migration, Marilyn. There weren't very many when I was growing up, but now there are more

Speaker 3:          00:45:19       pull man. It's just diluting out everywhere, you know? And I think they're just slowly, it's starting like, seems like it's, they told her

Speaker 4:          00:45:25       want to move into a platelet. I know there's a lot in Colorado, man. A lot of Mexican Martinez was there. Fantastic Mexican food. There's a place called pop who says in Boulder, Holy Shit, you got to get the maneuver noodle. It's the real deal man. Oregon's in there and bones and shit. Menudo and there's fucking spectacular. That's what minuto is. Oh really? Udo is, it's not a bank. I was a gay man and he was a band, but it's, it's also a soup. It's this crazy like beef and pork soup. Um, and I don't even know what the fuck the ingredients are cause they're different. Everywhere you go, everybody's got their own different way and make them a noodle. But what it is is some disgusting, fantastic, beautiful creation of where someone's not even worried about what something looks like. There's bones in there and literally stomach tripe and there's pieces of Oregon's like pieces of liver. It's delicious. It's fucking fantastic. And it just looks like how it looks like, how it's so good. It's supposed to be really good after hangovers too. And if anybody knows anything about hangovers, it's Mexicans. They know what the fuck to do. They've got it down to a science, throw a bunch of organs and bones into a bowl and fucking keep that shit up.

Speaker 3:          00:46:31       Mexican women are so horny. Are they? Yeah, no, no. My friend has this Mexican girl. Every time I see him together with her, it's just nonstop. She's on a grinding, she's moaning. She's like kissing his neck. She has three kids. Two, three separate. Yeah.

Speaker 4:          00:46:47       No, just 20 line. But she is fucking so high and that's all she does. She has one drink. She has just, Whoa, what a good kid. Yeah. Well, there's a reason why there's a lot of Mexicans. Okay. It's just a fact. They're debriefing. Yeah. So the Mexican girl and you know, it's fine. The Mexican guys are awesome. Rapist. Yeah. The Mexican girls must be horny. There's just no other way around it. Even though a lot of Holocaust, why would they love babies? You know the problem, I know if I hung out with a girl, I got Super Hot Latino's 21 and she had three babies and there was no condom around, I'd still be like, ah, fuck. Okay. Right. Let's just chance it. Yeah, you would probably fucker. And then later I'd be like, what was I do? Well, in the poorer communities, man, it's a problem having kids, you know?

Speaker 4:          00:47:30       It's like in, in, when you get older, the real issue is the reason why people want abortions because they don't want a kid ruining their life, quote unquote, you know? But in poor communities, like, oh my gosh, she's got to have a baby. She's only 16 months of crazy know, like they don't, they, you know. Oh yeah, your Mama. She was only 16 too. It's crazy. The both got the same shit, you know, and like it's okay and everyone's living together so it's all right. And they all help take care of the baby and it's all family. You know, poorer communities. What they do is there's more of them in smaller places and they have like a tighter knit sense of family. You get a big ass place with a, a family that's like spread out where you either, mom's never over the house and grandma's never over.

Speaker 4:          00:48:11       It's like you see them on rare occasions and holidays and shit. That's not all Mexicans rocket. They stack everybody together. Let's all get in a house together. That's really a better way to [inaudible] family's cool. My friend's fiance, she is big into like rescuing dogs and stuff. She hates Mexicans because of the way they just like, they take puppies and then they're just, yeah, they're adults now. Let them go and they just wander around aimlessly in those neighborhoods. The Mexican sign them when you're really poor, you don't fucking give a shit about dog. You're on team people and you know, that's just how it goes. Yeah, I could see that too. If I was Mexican or if I was poor and I was living in some communities, probably loved dogs and everything, but there's only so many things you can think of. No thing number one is you gotta get the fuck out of this crazy neighborhood then worry about dogs.

Speaker 4:          00:48:59       So did you see the vice guide to North Korea? Yes. That one is crazy. How they like the food they don't have, they have really shitty, crappy food and they have this whole display that tricks you into thinking that they have a budget. Well, we're not doing a good description description. First of all gets vbs.tv and there's a show called the vice guide to travel and they go all over the place. The scariest one, my favorite ones, Liberia. But the North Korea one was interesting too. And what Brian is trying to say is that what they did is they set up the whole situation because they knew that these guys were journalists to try to trick people into thinking that they have this luxurious way of living. Then it's just like the Western world and even though they are a communist society and they're run by a dictator that you know how we can go get something to eat, but all these things they realize we're just set up for them.

Speaker 4:          00:49:44       Right. When they went to [inaudible], there was no other patrons. Tables were set up. There was waiters and waitresses, but there was no one else. There were just some things like house or so it wasn't, yeah, they weren't real restaurants. They literally set up food for these people and set up like a servers so that they would have good propaganda. So they would, and they would bring out really good looking food and put it on all the other tables. Almost like if it was like a lax Turkey, you know, so like it looked like, wow, look at all that really good food and then he would get served. What he said was like, you know, over fried crap. You know, like it was horrible food. They weren't really a restaurant. I'd love to. So it was like a trick. The whole thing was like a tree. And what's crazy is that, that's almost like the whole country Oman is, are they just as huge chick? Yeah. They have nuclear weapons, you know, they do. Yeah. They do have nuclear weapons on. It's too late. I mean, the, the real issue is stuck now. It did. So that's an old school dictatorship. There's one guy who's running shit and he's got nuclear weapons. I mean, that is a, that's a rare situation where you have one guy who's, you know, essentially running a whole country and the military is gigantic. They have like a million people in their military military shoot.

Speaker 3:          00:50:50       You would suck those that, that, that host guy, I don't know if you remember this part at all, where he got drunk and he was hanging out with like a soldier doing karaoke singing and he had assaulted them somehow. It was that drunk. He was just being a drunk dude. Like he was just a Bajic. The host is when I'm saying, oh the fat guy. Yeah. He, that guy annoys the fuck out of me. Not host. I'm sorry if he listens or anything. But that guy was kind of annoying and kind of Douchey had assholey. Yeah, I dunno.

Speaker 4:          00:51:14       Well you know, I mean I think he felt like that guy was playing them to them and that guy was his like, you know, the guy was like a, a personal propaganda agent. He's probably trying to fuck with the guy just even for the film to make the film more interesting. You know, try to get it. But he said something if it was really mild, so whatever he said and insulted the sky, what does that got really crazy? Where he wanted to kill him now was for vice guide. Yeah. It's, well it's a, it's a web show. You could watch it on the web. vbs.tv. It's fucking fantastic, man. There's so much shit there. I have problems with meet with, like for me it's like one o'clock in the morning. I have to decide, okay, I'm, I can't watch documentary now because if I do, I'm not going to sleep for like five hours, so I'm just going to stay up and I'm just a good cause I'll go one to the other to the other. Then I start writing and start writing things down about these different documentaries and the VBS places, the worst website to go to at one o'clock in the morning for me. Cause that's just doom. I just go right off the deep end and then you go and start looking at the Internet and I start, yeah, read the research and other sources and writing things down and make sure we're talking about this on the podcast and you know, write a bit about that and how the fuck is this still going on in 2011 blah, blah blah.

Speaker 3:          00:52:21       Did you hear what Trent Reznor did the other day? I mean, this is what's so fucking cool about Trent Reznor. He, he just released a website that has every single tour date that he's ever done, you know, and like the last back past 20 years or whatever. And you know, they have all the tours aren't, you know, and then they're adding soundboard audio from each tour and you could download it for free. So I um, I went back and found like the dates that uh, I went to see him and I'm going to like as much the ones I wanted, I went only a couple of a half the whole concert. Yeah. And you can have a whole concept of free, the one that you went to like fucking 15 years ago. This is going to be a trip for me. Hoarded every concert he ever, I guess so like only, I mean there's a lot of them that are up yet, you know, but there's a lot of them that are, you know, that's going to crush it.

Speaker 3:          00:53:06       So, oh, it was so crushed when I got it yesterday. Right when he announced it and it was like five minutes. I was, you couldn't even get on it. Yeah. I was downloading one and it said, you're like a estimated down like three days. I would like to find my guys is bandwidth fees are going to be for this. How does he pay for the longest? He's got money, he's balling. He's all like yolked out now. Trent Reznor is like a kid and it's a big meathead. He's got like a big thick neck and shit. She would come on the podcast, he would be the most interesting podcast. You make. Nice. Nice with him. A long time ago you met him backstage and you know, you proposed us ever talking about this quarter? No. Great Story. Cool story. You know, so like before the Internet was like big at all.

Speaker 3:          00:53:47       I don't even think it existed or just, you know, me like schools had it or whatever. Um, what you were talking about. Oh, this is like 93 maybe. I don't know. Internet wasn't much. It wasn't much. Um, I was a manager of a record store and, uh, I used to always have free cds and stuff like that and I'm just sitting at my home. What's going, man, I wish I could meet Trent Reznor and he was like my hero, you know? And, um, so I looked at the back of the CD and there was an address I said like a whatever, nothing records Cleveland, Ohio and had like a zip code or you know, and had the whole address. So I wrote this thing saying, Hey, I'm a manager of a record store. I have like a nine inch nail fan club that it's about 100 people read this newsletter I do and stuff.

Speaker 3:          00:54:26       And I was wondering if there's any way I can interview them or take photos, you know, and stuff. And they're like, of course, as soon as a copy of it. So I was like, Oh fuck, now I have to make a copy. So I did like issue seven and it had like letters to the editor or where it was like sound, what's Trent, you know, favorite food. And I would like make shit up. He built a fake news letter with the fake news letter. I have it somewhere in my house and then, and then, uh, had like fake articles, take that thing and scan it. I know it's somewhere a great story. You should tell him to tell that story and put the scan that, that newsletter and put it online. Right. I should cancel it. And so then you know, a couple of, was it eight by ten eight by 10 it was about five pages long.

Speaker 3:          00:55:05       And so then this person called me actually back and goes, dude, we love this newsletter. You can have any concert on track record label, any Marilyn Manson concert. It's any, you know, anything on his regular, you get full access backstage, you get full photo passes to anything you want to. And so welcome aboard, Brian. This is awesome. Whoa. And so then I just started going to every single concert possible. I got to hang backstage. I mean, I was talking to Trent and taking photos. I was the thing that made me the worst people are back there. I don't know. Not many. I mean 2030 at a time. At one of 20 and 30 how many other ones were quote unquote journalists? I think I was the only one. I mean, yeah. What was kind of crazy? It's being imagined. This if you, if you grew up loving nine inch nails, um, maybe 18, 19, something like that.

Speaker 3:          00:55:58       And actually I was younger than that. It's like 17. Yeah. And so imagine going from your, like your idol. I mean, Trent was my idol. He was the only musician I like. Then going to hear like here's the stage Trent's right here. I'm taking photos. He sees me and starts singing right into the, into the camera. So I have all these photos where he's just screaming right into my camera and I'm going to have a real camera. I used my dad's old camera. I was trying to learn how to use in a manual film camera. And so half the photos are blurry, but it's probably cool that they're blurred. Some of them are crazy, like really cool thing that makes me mad that they are aligned. They've been online, a nine inch nail, red ban on Google. Uh, I'll find it. But, and then, um, so then I used to, you know, go to Marilyn Manson's.

Speaker 3:          00:56:42       I did it with Marilyn Manson. And one time I was hanging out backstage with Marilyn Manson, this is when Marilyn Manson first came out and he was like, you know, people, you know and stuff like that. And he goes, Brian, go, Ugh, do you live around here? Around here? Right? And I'm like, yeah, I live across the street. And he goes, go get me a razor. And I'm like, really? Okay. Marilyn Manson, Marilyn Manson, Marilyn Manson told you, go get a razor. Yeah, yeah. Well, and there was all these fans around him, like what chicks and shit like that. There was women, uh, block, like the tour bus, they were laying on the street in front of the wheels so they couldn't drive away what blog that's on Flickr. But if you just Google red band nine inch nail photos or something like that. Or in I n photos, um, so, so, so, so, so Merrill man, so he taught, tells me to get a rage.

Speaker 3:          00:57:26       So I go inside running crappy razors, run back and he's like, thanks, watch this Bryan, this is fucked up. Hey, who wants me to shave a circle on the top of their head? And then these girls like, so just this beautiful woman comes up and she's like, I want you to do it. And he goes, he starts to shaving it. A little bald spot on the top or here like a month. Wow. Whoa. Like a ballpark. Yeah. Wow. And they were into it. They were like, those photos are, you look at that. And you know what's also crazy is a hanging out with Jim rose circus, uh, member, those guys. Jim Rose Circus. Yeah. Behind them. That's all. Back in the day I used to, you know, hang out with them too because they used to open up for nine inch nails and you just being backstage with like the puzzles, peep guy

Speaker 2:          00:58:08       guys. Great photos. Yeah. That was like, I mean, I didn't know. I have no idea what I was doing. Folks, if you just Google, go to flicker, F L I C K r.com. And uh, you just Google red band n I n photos and I'll take you to the website. Yeah, they're fucking great photos and I wish, I wish Trent Reznor would come on this podcast. You know him? No, no. I mean, I'm back in the day, it was like he was just blowing. That was during the, you know, when he was just becoming big, you know, like fuck me, like an animal and all that crap. That was a huge song and people, and so I also did, I also did a remake of that. Did he really did know? He did hurt. Oh, that's the, yeah. Yeah. Imagine if you did fuck you like an animal. That gravelly old man voice.

Speaker 3:          00:59:00       I was talking to this girl the other day about that and they were like, she goes, I love this song. It was hurt. And then I was like, yeah, I like the original better though. Accident. She goes, she goes, oh, what are you talking about? This is the original. I'm like, no, nine inch nails. And she had no idea. He wouldn't really use those words,

Speaker 2:          00:59:16       hey songs to really be up on all of them. There's no way.

Speaker 3:          00:59:19       What's it? It's, it's weird because I've done that a times where I'm like, this is an awesome song. Not Realizing I wasn't even the original song. I heard buffalo soldiers.

Speaker 4:          00:59:25       I mean it was a buffalo who did, um, what's the name? It was Neil Young. Right. And Bob Marley. Bob Marley. Somebody. You know who's the guy who we did one of his songs. Oh, I shot the sheriff. Who did, who did we did that. Eric Clapton. Yeah. I'd only heard that. And I heard Bob Marley's version and I was like, what is this? Who is that girl sweet seam in the middle of sucks. Yeah. It's Kinda weird that people can do that. Just kind of like Redo your shit. Yeah. That most people don't know. It's weird. And you don't have to try to get our mission right. I don't know. If you get permission, you have to pay them by the moral duty. Yeah. But it's weird. You know, like sometimes I think it should be better if it was like this, I don't think it would be better if it was like that. Like, man, go write your own fucking song every now and then. Then it comes out bad ass though.

Speaker 3:          01:00:06       There's a few ones. There is a kid cutty song that I forget the name of the female that re did it. Uh, one of his songs hundred times better at sort of girls singing it. Then came up with the version of smells like teen spirit. It's pretty great.

Speaker 4:          01:00:18       Yeah. Tori Amos, that bitch you stole wail on that fucking piano. She's one of the weirdest singers ever, man. It was something like super hyper sexual, fucking creepy Weirdo about Ryanair. Everything singing, screaming into the piano when she's fucking slamming. Now you can barely understand the words, but brilliant piano playing an incredible voice. I was a preacher. Wasn't that one of molestation son. Oh Wow. Girls. Some girls saying grammy winning artists. Yeah. Boy, you best pray that I bleed real real soon. How's that thought for you? That was one of her lines. Remember that boy, you best pray that I bleed real soon. I'm like fucked up. That's fucked up and shot a load in me sparky. And that's already should have come. But I hope the next couple of days where I didn't make people, oh that's curious. How's that for what? How the line is boy, you best pray that I bleed real soon.

Speaker 4:          01:01:16       How's that thought for you? Wow. Cause you know I still found a girl thinks really deep thoughts. That's the words. What's so amazing about really deep thoughts. Boy, you best pray that I bleed real soon. How's that thought for you? Like fuck real thoughts. Fucking these amazing deep here's reality deep girls. I just want to, you know, wonder. It's amazing. Come back to reality. And I sewed on thoughts from, from girls. You know, George Harrison said this once and it's brilliant quote and I use it all the time. All I need from a girl is to be attracted to her. Everything else I get from a man. And it's really true. I mean, you know, you should have women in your life that you have good conversations with and that you enjoy their company and you know, you know, share a lot of interest. So that's all good.

Speaker 4:          01:02:05       There's nothing wrong with that, but if you don't, you're going to be okay. You know, as long as you have friends and you have chicks or you're attracted to, you know there's guys who live happy lives contrary to popular belief where they just have girls that they have sex with and they're attracted to them and they have all their interesting time and fun with their friends. The bachelor culture for a lot of guys, man, that bachelor culture is so fucking like the idea of being like a bachelor forever and it's so tempting dudes that are roped down and terrible marriages and their wives scream at him and telecom. Think of her now. I was like, I'm just enjoying single. I don't want to deal with any sort of responsibility. It's anything that comes attached to that. Very tricky. It's very tricky. I am happy, but I realized that I don't have to be, I could very well be with some crazy bet.

Speaker 4:          01:02:51       She doesn't like kids, you know, or she know. She has some unfulfilled dreams that she feels like these children are holding her back from. That's, that's a, that's an issue with a lot of girls, you know. And then all of a sudden there's some weird resentment because they, you know, they have to take care of the children more than the father does cause of dentist at work. I have a few friends that had kids that they did have that issue with. The wife would be mad at them that they didn't have to deal with the kids all day and she would like immediately give them the kids as soon as they get home and the wife were just lock herself in the bathroom and you know, fill the tub up and wouldn't answer questions and leave me alone. Like he'll just as a weird chaos inside your, your house and your family.

Speaker 4:          01:03:27       So for guys like that man, and they have a friend who's like just guessing. I grew up around a lot of pool players and a lot of pool players, our whole lifelong bachelors. Some of them wind up having kids here and there. Some of them even get married for a little bit. [inaudible] are playing pool till five o'clock in the morning every fucking day. And they're gambling, they're going on the road and they're going a tournament's that traveling all over the country and it's just a wild life. And in like the 1940s and the fifties in America, there was this big bachelor culture of pool halls. That's why pool halls were always associated with like deadbeats and well, people doing the wrong thing and you know, bad, bad people hanging out in places. It's because those are the guys that didn't get wives and kids and didn't get regular jobs and just said, I don't want to be a fucking slave.

Speaker 4:          01:04:11       I don't want to live a shit life. I want to have fun. I want to, I want to pay $10,000 sets at three o'clock in the morning. You know, they, it's, it's just a, they just decided that it would be more fun that way. I think a lot of it has to do with divorces. Yeah. Fucking divorce is terrible. Man. Crushes people as what it is. He goes through one divorce, man. It ain't like a breakup man. I have friends. I have, I have one friend that's been divorced twice this fucking dumb. He is in his third marriage now. He's been divorced twice a week. Most of those batches are saying we're had been divorced. No, I mean I made a divorced family like mom and dad was divorced. I don't want any, that's why he was going to be a bachelor because I know.

Speaker 4:          01:04:45       I don't know. I got that. A lot of it is bad relationships, man. It's hard. It's hard to be happy. I know a few people like that. That's their version of relationship was bad. The mom download spot and they're like, I just don't want to do that. Right. There's that. Yeah, there's, they don't wanna get married, but they don't mind staying with a buddy. There's that, but there's also, it's fucking very difficult. Especially I feel like on the east coast and the east coast, I found it much harder because a lot of the women were harder. They did have this like a lot of like, like hard edge sort of, you know, brassy, tough girl kind of shit, which I don't find attractive at all. I find repulsive. Yeah. Like girls, like their hands on their hips and they want to talk shit and getting like insult battles with you, you know, good luck hooker, you know, take care of him.

Speaker 4:          01:05:25       And I'm so not into that like getting in arguments and chicks. I mean, how many times have you dated girls like that? Yeah, most of the time I'm not into that man. You can't talk shit to me. You can't talk shit to me. If you're my friend and you can't talk to shit. To me, if you're dating, if you wanna start insulting me and getting stupid reasons because they want to because they're frustrated or they want to pick on something about you. And you know, God forbid if you're not the most successful guy, you know, God forbid if you know you're, you're in the middle of trying to put something together and then they start criticizing you. And I've had, I've had relationships with girls where they are like, you know, would critique what I'm doing and you know what, what, what's going to happen if that doesn't pan out for you and talk all kinds of crazy shit and you're like, I don't know what's going on but if you don't pan out for you, what?

Speaker 4:          01:06:09       I'm like, Bitch, I'm 21 or why? Why are you getting so crazy? Like what am I doing? We can settle down. I was trying to blow loads. Okay. And that's the only reason why we're hanging around your my pussy dealer. You know, you're my God damn vagina deal and you're insulting me while I tried to get my fix. I'm going to have to get it somewhere else. Black chick, it's cheaper. That's what it is. Bad. It's like, it becomes like some sort of a fucking sex barter system. You're willing to tolerate nonsense until you get older. And then when you get older you kind of understand who you are and you attract people that are a little smarter, a little more experienced in life, and then you can have real relationships with people that you actually find interesting. When I started going on dates, I was just trying to make the girl feel happy, you know what I mean? Like I was just like, just have her keep talking Fart crotch shot, which is have her keep talking, I'll be fine. Just make sure she's having a good time. And then later it's like, oh, I want to have a good time to just talk about stuff. For both of them too.

Speaker 3:          01:07:04       You do an I like, I like finding a girl that's like really young, like 22 and then have them having complete like, all right, I trust you. You know, like in here, let me teach you about this. Let me teach you about this. And they listen, you know? So if somebody came to me when I was 22 years old and gave me guidance, creep gave me guidance, that would be nice. From who though? Man. Maybe you shouldn't be giving guidance. They're looking for a father like little things like just go rejoin. Yeah, I guess so. How not to get too high. Got It. Know when to back off exactly what your father pay. You know you don't know when to stop. You think you're getting drunk as great. Just take you know, three drinks and then take a water. I said, oh, that makes sense. I can do that. It's like little things like that. Management,

Speaker 4:          01:07:51       art. That is very important because I've been out so many times with people and they just want to keep going. Come on. We know the drug Nugent. It's like, I don't need another drink. Why do you need me to have another drink? I'm happy right now. We don't all need to go to a Bolivian together. If you want to go to oblivion, I'll be right here and I'll tell you what really for, and I'll show you where your room is. I don't have to go to oblivion to stupid enablers. They're looking for someone to make them feel better about it. They're looking for someone to dive with them. Let's go into this crazy pool. Come on man. I'm going to the crazy Paul. Don't you want to go on a crazy book? You're like, I'll be right here. Sunbathing right next to the crazy. Cool.

Speaker 4:          01:08:23       So Brian, even having a lot of issues with girls, man in your life, I think, I think we need to write a book. Just changed the names to protect the NSA because this shit is just too good to waste too much good stuff going on. A soap opera, Twix, he vixen. He's, Look Brian, I think it cannot be disputed that you are in fact a pimp now. You've got bitches. If I, if I were all at camp, I didn't, we wouldn't want to murder so many bitches. Well, no pimps loved her murder bitches. No, I'm not going to murdering lynch. Are you concerned to think that I would exiting ready? Oh, you mean like if somebody else murders her, that could be happening. The podcast. Oh see we don't do this like a lot of those other guys, Bro. This is live. Okay. This shit is going to get out on the Internet no matter what.

Speaker 4:          01:09:02       It's on the Internet right now already. They're probably chopping this thing up and making, making a video of that as we speak. So you should be careful. You should be very careful what you say. You're paranoid. No, not you. I'm shit. Seriously. We shouldn't, we should change the names to protect the innocent and you write a book days of your lives too. Cause it's fabulous. The story is fabulous. You what you should do, you really should do what you really should do is start experiments. What do you mean like with them? Yeah, it start life as an experiment show just like yours. Yeah, I know. I'm sorry. We're in the labs. We are in the labs. What are you going to talk about you? We're talking about gardening. Um, there was a few people when I used to, when I first moved to California. One of the weird things is when you meet people that are like, I'm sure you've met a ton of these people that are in a open Mike nights that have no chance.

Speaker 4:          01:09:52       There's zero chance. Yeah. Yeah. What does that, how weird is that feeling? That's why you staying with this. You've been in this more than like three times. Like why? Yeah, there's something absolutely wrong with them there for a couple of years and you're like, you're not getting any response. So they would become my science projects and I would, uh, I would literally like make notes. I'll be like, okay, now I see some, some resentment starting to show up. We didn't have resentment before, but now there's some resentment. We're about five years into this thing and now they see that other people are actually making a living and going out and getting gigs. And I would like be in the back of the comedy store and people would be pissed that no one would take them on the road with them. And I'm like, whoa. Like you don't even see your own sense of why do you think you should, like you're not good, you don't do well.

Speaker 4:          01:10:35       Those are the weirdest nights. When someone would go up, like Damon Wayans would show up and uh, you know, out of the, in the middle of like Sunday night, you know, they'd be a lineup and you know, a bunch of comics like maybe get on, maybe you don't. And then Damon Wayans would show up and some guys put fucking Bull Shit, man. What the fuck man, he's taking my fucking stage time. And you're like, Whoa, whoa, Whoa, Whoa, dude, you really shouldn't be on stage at all on Sunday and it's probably going to get up there. Let's be honest. You were only going to get up there and show off. Yeah, exactly. That's the other problem. They would do the same stuff. It's all or the commerce store. I hate it when people come in, like on Sundays, on Monday nights, the pop pop a night and they go on like during the employee section.

Speaker 4:          01:11:10       Uh, but they hate it more if it just doing the material. They've all a thousand times. Like, why did you come here during our sets to come to the same crap you've been doing? The only reason why I could see anyone wanting to do that as if you're just looking for a tuneup set, you know, it's like you, yeah, that'd be fine in a while. And you want to just kind of align some, showcase something loosen up. You don't wanna do that on Friday night at the comedy store was the most the at, I've never been to a place where people like felt like you're taking away from their time. It's cause you're all junkies and you're taking away their fucking juice. Yeah. That's all it is. Stephanie. Ask her, Hey, don't want David tell came in. It was like his first time coming in for like years that I'd seen.

