Speaker 1:          00:00:00       I got to high four, three, two, one.
Speaker 2:          00:41:34       if there's like a chart where you could see where you could go back to nine slash 11 and post nine slash 11. How many women got impregnated by firefighters? Like how many? Remember when firefighters, like after nine slash 11, remember they were real heroes. People have kind of like taking them for granted until they do something to actually save your house.

Speaker 4:          00:41:51       I used to do that bit about after nine slash 11 firefighters and cops are getting so much hero pussy. They were launching it like a rotted doctopus out of, out of, what do you call those? Slingshots slingshots. They'd have to swat him down with tennis rackets. I had this whole bit about Europe was so true, right? Yeah. No, not. Well then the war came and then all the, I think the bit was all the troops are getting the hero pussy that nine slash 11 first responders used to get and now they're just hanging around bars. Go remember me?

Speaker 2:          00:42:26       Yeah man. Do you know Google has this crazy thing on his phone when I was paying attention to recently where you, um, you say something like, hello, my name is Doug Stanhope. And then it translates it out loud to someone else. Like through your phone, they talk to your phone and they'll say, you know, may Abolo Pedro. I am, I, they go through the thing. It translates it and then it changes it in your ear to what English is the English version of that apple fish. What's it called? Babel fish was on the hitchhiker's guide to the galaxy. Oh, okay. So apple fish as a fish. I saw this. It's a new feature on this phone call, the Google Pixel, and I said, I don't think people. And you have to have these Pixel earbuds that do it, or you can actually do it through the phone, I think without the ear buds, but I don't think people understand how crazy this is.

Speaker 2:          00:43:16       Like if they're just starting this thing out, like it used to be. You couldn't really talk to your phone. Now you could. You could do a google search by just pressing that speaker button and say who is Brian Hennigan? And then a boot put in like seconds. It'll pull up your wikipedia who doug stanhope in seconds, like what is going to. If they can do this thing right, we're going to have a thing in our ear like little earbud and you're gonna be able to talk to people all over the fucking planet. It's going to get super strange. People that speak Arabic languages, so people that in South America you're going to get.

Speaker 4:          00:43:49       I still every so many of these technological advances, I think about you and your bits back in the day. Why do they have all these things on the cell phone that replaced what a cell phone is? Yeah. Well, why you making me read texts me, it takes me four buttons to make an act and ask. Call me. Just call me.

Speaker 2:          00:44:13       Back then. I would've never thought that text messaging would become popular. That there's a bit that you could never do today. I could only do that bit in 2005. When it was like people were starting to send you text messages like without fuck is this. You would get on your phone. You'd go, why don't you just call me stupid? Why are you making me reply with my thumb? Well, that's

Speaker 3:          00:44:32       awkward. Shows how much you don't really want to talk to your friends. I don't want to have to say, hey, how you been? What's going on? How's the kids? How's your sister? Yeah. I just need one simple response. I respect Joey Diaz for that. Joey Diaz will not do that with you and I think he's right. I'm thinking about it more and more lately. Have these weird text message conversations with the people. I'm like, why am I doing this? I need to look at you. You need to know. I like you like the friends. If we're going to socialize, don't text me. Hey, how's it going? That's a bar conversation. You can see me in a bar. I don't want to sit and catch up via text. Hey, how about that one in a long time? Hey, have I just. Hey. Yeah. Hey, fuck. Is this? What? Are you 12?

Speaker 3:          00:45:18       You can't get my phone. Kids got my phone number. Motherfucker. What's going on? Hey, see me in a bar and then sit down and say, Hey, 12 what? Hey. Hi. You can say that to your friend. Like, Hey, hey. Yeah. Yeah, but usually that's the extent of what I have to say. Anyway. Got It. All right. High Five, high five on text, but you'd probably have a, an Emoji. Can't hey on text and you definitely can't do. You can't yo you lazy. Fuck you want to talk? You ain't got shit to say. Yo. I need affirmation that we're still friends, just, you know, it's kind of part of the business. We're not going to be close friends over a quarter of a century just because of text messaging. I don't live in your town. You're going to lose Brownie points if you just type Yo. You're going to have to have like, Yo, are we still having lunch?

Speaker 3:          00:46:12       Yo, are we going to the game? Like I texted you a week ago. Hey, what time are we doing that podcast? Because he's supposed to set up other shit around it, but then I said in parentheses that I don't want to do, so I'm glad you didn't get back to me. I'm so glad I helped you. Yes you did. We going to procrastinate broken. I go Rogan's podcast or like nine hours and we're not going to be able to fit other ones in. It's unfortunate, but what is fortunate it is. This is not famous available right now. Ladies and gentlemen, Joe Rogan stories are in there. Oh beautiful. It has an index. I do have. I have a lot of fucking name drops in there. We had some good times, you know that the story that we were talking about in question you have to read about in the book, but it involves Doug, Stan hope and I in the desert that Dale. I'm sure we've talked about it. I know we have too many times. Then afterwards go into that Lakers game few days later. Yeah. That was a weird one, right? Yeah. In the height of nine slash 11 patriotic fever and was like, this is nuts. You guys are going crazy. Like you're standing up for a basketball game. This is. I remember when you picked me up at curse on for that game. You add a, I don't know, an suv of some kind of. It's probably a suburban. Was pissing off in Denali.

Speaker 2:          00:47:30       You've got a white Yukon Denali and you were pissing out the door while we were high on mushrooms going 65 miles an hour down the highway deaths door open and he's like pissing out the door. Probably Piss all over my truck, but this is as the wars kicking off. Two thousand three, I believe. We saw the war. We saw the war kickoff. I'm like, it was the superbowl like it was planned. I spell all this out and you will. You said it. I remember you said it. You said, oh my God, there's a kickoff. We were ahead of the curve. Joe Rogan was with technology because when you pick me up in that, that's the first time I heard gps say in 400 feet. Take a right onto the one. Oh one. And also you had cell phone video because you videotaped me pissing out your door.

Speaker 2:          00:48:18       Just 2003. It was 2003. You know the best picture I ever took on my cell phone. This is like affirmed the need to have a camera on you at all times. I was in downtown La and there was this overweight black hooker with a crazy wig on and sunglasses and she was eating a meatball sub and I looked over and she goes, hey baby. And she pulls her tit out and she's got her tit and one hand and I took a picture of this. See if you can find that. It's. I know it's out there. I know it's out there. I couldn't. It's, it looks so amazing. I couldn't, I couldn't believe it, and I took it with one of those Motorola flip phones back in 2000 because we were filming fear factor downtown La and this lady was walking around with their tear out.

Speaker 2:          00:48:59       I was like, this is a lawyer. She was smiling and laughing and I took a picture of her with her tit out and uh, to me to this day is like, now I know. Why wouldn't want to know that you're taking a picture. Nobody knew anything. Nobody knew anything. It was like to, to think that just a few years later the iphone will come out, you know, 2007. The iphone comes out and now you can't imagine anybody not have one of everything. If you, if you, if you're around someone and they don't have a smartphone, you look at it like there's some kind of freak. Becker is the only one that becker my oldest best friend from forever still doesn't have a cell phone. Yeah. My friend Steve doesn't have a phone. His wife fucking hates state. It is. That's the picture. That's a real picture. Please take a screenshot of that and save it for me because I keep losing it.

Speaker 2:          00:49:46       Why do you say that? So happy, but come on son. Look at that picture. She's enormous. She's got a meatball sub in her hand. It's the perfect picture. Jamie, I want you to order up a large hd version of this. Have some scientists convert that we're gonna. Make a poster out of that. That needs to be on the wall. One hundred percent. Put it on. You know, don't put it on Youtube, but that's got to remind me of this. Get the crew on it. We need to have that photo on our wall. That's my one of my happiest moments. I swear to God. I went back to work. I was fucking howled and laughing because I had a lady was funny. She looked at me, Oh, you want some of this?

Speaker 3:          00:50:28       And she pulled the content out and then she smiles and starts laughing at me. All the while she's eating a meatball sub. That's a great picture. Palming that sub like it's a a 45 and a old west shootout and God helped her tit the way she's got a death grip on that ticket. I was like, she gets some sort of a cobra choke. That's. Yeah, that's, that's how I have to choke my dick to keep it up when I'm drunk. You get almost like your whole cock ring queue. Like you get it, like you're making a bridge pinching down on your dick a hard fight. The boobs fight. The Bose Mr. Penis. Yeah. That's a great picture though. That's an important moment for me because I'm like, okay, now I know I'm into this stuff. It was so I could capture that picture. I was happy for days because I remember looking at it go and that's real. Like I always see those. You see those crazy pictures online, you know who took that, what happened? But I took that. I was there. I like that was real, like it was really. I didn't pay that lady. It was just happened to be. I said hi to her. I had my phone out and she looked at me and pulled her tit out and I hit the camera button. Then it got it. So it wasn't supposed to happen.

Speaker 3:          00:51:43       That is your sailor kissing the girl in Times Square. Thank you. Thank you, Mr Hannigan. You're right. Planting the flag at all. Accept that. I feel like it's my magnum opus Codec. Choke it. It might've been the best thing I've ever done. Needs a cocktail. I get ice right here. I don't like that. That lady is doing that for a living. I was not doing a wish her living anymore. Probably dead, but I wish our prosperity and happiness and I hope she found Jesus the next moment after I took that picture. And then. But you can't fix everybody, but sometimes you just got to let people be crazy. I remember, uh, well several people that have women of a certain age or a look or they go, yeah, but what else? What else am I going to do? I'm going to suck Dick for a living. I'm going to go out on the street and you go, you couldn't like, you know ones, but then you watch like cops or something.

Speaker 3:          00:52:41       When you see a lady like that, it's getting caught in a pickup truck. Stuck in some old dudes, Dick and you go. I guess you could. You could. She could. You could. So you could. She's empowering to women is what I'm saying. It entirely depends with the Mail on how horny you are because if your crazy horny, I've done some bad things. We'll do some terrible things. Were monsters, bad bad animals. It's a bad design. The design where you have to get rid of them all the time is terrible. Design. It would be way better. I do a lot. It's an old bit of yours that I quote a lot is you're a post come depression. Is that how it goes? A postnet depression. Yeah. That feeling that which is so like I, I really believed I liked her. Yes. Wasn't until. Oh, and as the semen as rifling out of you, you go, oh, I misled her.

Speaker 3:          00:53:40       Oh my God. I misled myself. Which that's where you get scared with the me too thing. I know I didn't rape anyone, but how many times might I have led a woman astray with promises of everlasting love and harmony just because I was drunk and wanted to fuck her and then didn't call. I was inappropriate afterwards. I didn't do the, hey, um, I don't think we're right for each other and she's stewing about it somewhere and wants are you can't meet to me. It definitely can happen like that. Right? It's like you got to leave room for all possibilities because I think that to trust everyone that comes forward with a story like you shouldn't. What? You should be open minded about all the points of view. Like I would, I'd hate to see someone get in trouble for something they didn't do because they dated a gal and she hated them and so she made up some stuff and this has happened before.

Speaker 3:          00:54:44       Oh, absolutely. People, you've got to be. Let me give you an example. Please do. How many. Maybe we should clarify because this is a touchy subject. No, I know you're not a sexist by any imagination in support of the alleged witch hunt because it is making people who are serious abusers and there's one I fucking want to out but I don't have to, but it's not going to be, you know, that it's real and then you know that people in positions of power like that to have people working under them are dependent upon them in that way. They will prey on them and do weird shit to them and they've been doing it forever because they can get away with it and that seems to be like, that seems to be how this town in a lot of ways was designed how the whole porn industry was set up.

Speaker 3:          00:55:29       But you have to. There's a willingness on both sides. Hopefully. Well, I think that there's a lot of girls that will fuck you for a part. I don't think it's that. See, that's not the thing. It's not like, um, again, there's a million. The me to encapture encapsulates a lot of different stages of sexual abuse variances from. I always like to think of it. I have a sister mother rule, especially as I've gotten older, like a thought about this for so long and I feel like you have to treat every, like if you're in any, you have to look at every situation. Like what would that be like? If I found out that happened to my mother, what would that be like if I found out that happened to my sister. I mean if you go to children then it gets really crazy and you get super psychotic and because your protective as well. Although I'm

Speaker 2:          00:56:24       very protective of my sister, you get that. You got to almost look at it like that and I don't think we get taught that enough. You know? I think it takes us a long time of living as an adult to sort of figure out like who's the Dick here? Is it me or is it them? Or is it my making bad choices? Am I arguing with people and getting these weird relationships with people that I really don't belong with in the first place. Maybe I need to figure out who the fuck I am before I do this. Like there's all these different things that happen in a relationship and a lot of times along the way people get into some know, some weird spaces in their life, you know,

Speaker 4:          00:56:58       man show the secretary that we had, you weren't around for a lot of it because you were doing. Unfortunately I work 14 hours a day. Then man, shelf for four hours. They need to do an hour at the comedy store for 30 minutes about her. But no, we didn't know what you gonna sell it. I'm just like the amount that we abused or on what we would think is a comedy level. Me and Andy, not you, you weren't there, but do it back to you guys too. But if it was on paper, but if she had a change of heart right now and said, oh, I want to be part of the me too thing and here's my story because I want to be noticed. You can't do it to me because I'm not famous fortunately.

Speaker 2:          00:57:42       Do you think this is one of those like swing one way and then swing back and normalize things or do you think that this. But I think it might be, but as time goes on, I wonder if I just, this is, and this is not, is not saying anything like in, in any way, uh, I don't want to be judgmental, but I have a weird idea that men, women, when they're working together in small boxes for long periods of time, year on year, that becomes their environment. And that becomes the way they think about the outside world.

Speaker 4:          00:58:15       This is us. This is really important because in comedy, the man shall remember we had to do sexual harassment training. Yeah. For a show that's basically about sexual harassment. And it was. But in comedy, yeah, we think that we can get away with all this shit. So I find myself extrapolating that on a people that are in a workplace, I don't know what it's like to work in an office where the boss says, Hey, you can move up to assistant regional director if you watch me jerk off. And that's a different thing. And it's, that's a real problem. And the man is the only time I've kind of hit like the corporate world, cross corners of comedy meets corporate where he is. Someone might be in the story I have in here that I couldn't have known when we turn this book in final draft that this current climate would exist.

Speaker 4:          00:59:10       So. So there's a bunch of stories. Where do you remember mandic? What was the mandate waves? I get a assistant producer, director guy. He was one that we all fucking hated. He was just a ruthless Douche. And then when we went up to. This is the story that's in the book at the Bunny Ranch and Dennis Hoff tells us both, hey, you can have one of my girls on the house. Carrot top is fucked my girls so and so is fucked my girls. And rogue is like A. First of all, not only am I married, but I wouldn't want to be in that litany of names that you dropped that of other celebrities that have fucked your hookers. He's like, no, no, I wouldn't drop your name. We played

Speaker 2:          00:59:52       pretty women. Remember that? Pretty woman for those ladies that worked there.

Speaker 4:          00:59:58       Oh, well that was the gag we did. No, I don't remember anything. We did the match.

Speaker 2:          01:00:03       It was weird. It bummed me out because like they were crying and some of them wouldn't montage that they wished that that had been the case and that someone would come and rescue them. I was like, God damn it. Like this isn't funny.

Speaker 4:          01:00:17       Yeah, turn now. I remember it. Now that you say it,

Speaker 2:          01:00:21       dude, for me man. I was like, Oh God. You almost like, I, uh, I've adopted a lot of dogs in my life, you know, and I've taken on a lot of friend projects, especially when I was young that enough things have happened that lead me to believe that I have a lot of like a rescue in parenting type feelings about nurturing people that feel like they're in danger by themselves now. Very vulnerable. So when I see something like that and I'm like, Oh, Christ, you know, I just, you realize you don't, you don't really realize because you know, you don't see their lives on a daily basis, but you realize in that moment you're like, oh, this isn't funny at all. And you know, there's no way to like you think things are funny on paper, like you think, ah, this is going to be funny. We'll show a bunch of prostitutes a video about a lady who was prostitution going, white guy, the perfect guy. And then they fell in love and it worked out. He rescued her man Dick. I don't remember that.

Speaker 4:          01:01:24       He's, he was an assistant. He was in charge enough that he absolute power corrupts absolutely. While he was an absolutely powerful, but he was absolutely fucking annoying and we didn't like him, but I still have this offer on the table. They're wrapping up the shoot the last night. They're picking up all the equipment. I'm talking to air force amy, who's this veteran. Hilarious hookers who's been there. Yeah, she fucking carried me through that whole thing. We just sit and drink at the bar and laugh at everything. Inappropriate and talk shit. And I go, hey, we get this freebie from Dennis Hoff. I know he's going to have to pay you. So, uh, how about I just a jerk off in front of you while you deldot yourself. You get paid. We come back to the bar. Yeah. Great. She's Deldot at herself. I dark gfe come back to.

Speaker 4:          01:02:16       I come out of the room, which is right around the corner from the. I'm covered in a t shirt with my own ges. All I need to do is wait to find wardrobe. I get a new t shirt. I walk out. This guy that we hate is wrapping up. He's walking up the stairs as I'm walking down the stairs to the bar and I go mandate. Great. Shoot. Good hair. Fucking hug it in and I hug him in front of all these people at the bar. Who knows? I just jerked and I'm smearing it into an illegal. Yeah, I've done it. That's a me too. That guys from the corporate world. I smeared them with just to humiliate him. Oh my God. How fucking wrong could I like, it's terrible. I shouldn't be completely outed for made this up. I'd send the book, but I hope I'm selling the whole book of Hashtag [inaudible] first.

Speaker 4:          01:03:06       Not me too. Interesting. I, uh, I want to say that this last piece by Mr Doug Stanhope was fiction and A. Well, I had to change his name. So it was a nickname man who was telling me that, uh, trump's lawyer said that he tweeted for trump. Trump said something that was fucked up. Trump's lawyer was like, no, no, no. I tweeted that one for him. Oh, alright. I've been getting a lot of tweets that say, Hey, my lawyer wrote that, and I'm like, I don't know. I didn't know what it meant is. Come on. How fucking funny is that? I have, I have a whole chapter about pulling my dick out. I used to do that all the time. I'd go on stage naked or pull my dick. I remember those days. Yeah, the dark days I was, I was thinner than. So I just have a different meaning.

Speaker 4:          01:03:50       I gave him a bunch of pictures, Hennigan here, the, the Scotsman I pulled out. I pulled my dick out in front of Bert Kreischer on a podcast two nights ago. I can't remember. I can't remember why we were so fucked. I've been begging him not to air it because I don't know what I said, but I've seen Ari's Dick About 100 times what? So for the book I sent a bunch of pictures with Hennigan to pick and choose and then they took all these dick pics of me in public and I'm like, you can't have all the picture section, just my Dick. So I had to decide. So this one I decided on this not having any idea it could be so perfectly timed. The top one is me with my dick out in a kilt in front of a blind guy at Karaoke while he's singing, having no idea, but the one below it is me starting to pull my dick out in front of Louis.

Speaker 4:          01:04:37       Oh my jerk off in front of the abusers. Wow. Did you find crime? I didn't have to block the door. He didn't block the door folks, by the way, that's not. That's not real. Apparently. That's like something that like gets passed on. Like an urban myth that juices up the story. I'm saving this for tomorrow. I'm doing a dork forest with Jackie cation and Lori Kilmartin, so I'm saving the bulk of my Lori, my Louis C K for that, just because they are ladies I want. There are going solid opinion, but I, I'm, I have to make this so spacious timewise because I don't want to out the person, but

Speaker 3:          01:05:18       I was doing comedy and I was a comedian. I knew back in the day when we were young in another millennium, just blame it on Brown. She said, you're never going to guess what I just did. I just watched Louis C K jerk off in the ladies room and I went, why don't she goes, yeah. He said, Hey, would you? She's like, I don't care. And as we've caught up many, many years later, she goes, yeah, I just did it because it was funny. I really, I did it because it was a story to tell and I said, you coming forward. Because afterwards when she said what she told me that I go, you never watched me jerk off. Got To watch the beach or I pull my dick out and put on for this. You Watch, you watch. No, she just said, yeah, I don't care. Whatever. She like.

Speaker 3:          01:06:04       It's no fun if you don't watch. The way I remember it is that she remembers me saying, if you don't like it, don't look either way. It was just a goof. She were. I think you have to stand up to. I think what we should do to normalize this whole. Luis, hang on. This is the important part of this is when I said, are you going to come out? She can't because she just did it because it was funny of course, and she would almost be putting a place where she would be as it's people like you that made him into a monster. We're just kind of a goof back that no one cared. It's only weird and it was very polite. So when I heard the Louis ck stories later on, I just assumed it was like that. He was very polite. Hey, would you watch me jerk off?

Speaker 3:          01:06:50       Well, I had heard from someone else that I had talked to someone who had gotten the story from Louis and the version of it through the grape vine. So don't take this as like verbatim was something along the lines of. No, it was just, he thought it was silly to like pull his dick out and take pictures with them and that I had heard that he was saying that it wasn't, he didn't actually masturbate in front of them. That was like one version of it. So I was like, okay, well maybe that what? And then the full story came out and I went, oh okay. And then someone had said, yeah, but he asked them first. I was like, Oh boy, what are we doing with this? This is another important beat is my story happened before he was in any position of power other than comics looked up to him.

Speaker 3:          01:07:37       He was still writing for comics that might've had some power at at best. I think it was a power thing. If you're a man and you have your alone in a room with a woman, and this is my perception of it. It's always a power thing because it's fucking weird because you can kill them. It's different. Like have you ever been around like a UFC athletes on big giant? This was a place where you go, if you, if this was a tinder date, this happened in a place where you'd go, I want to meet you in public, so don't want to be. So yeah, it was completely safe. Yeah, but if. But if you're alone in a room with a man, it's like being an, you know that a

Speaker 2:          01:08:15       man has some sexual urges directed towards you and you're a woman. It becomes a vulnerable situation and if there's some weird shit where someone. If let's say someone was blocking the door because I had heard that Louis didn't block any doors, then it becomes really crazy. Like what do you do? Well, first of all, you're hearing. Yes. Yeah. Well it's also like I think the thing that people have the hardest time with all of this is you never want to think that it's possible that someone would do something horrible to somebody if you like them. Right? Like with all of this, with any of the, whether it's Kevin Spacey or any of these people, like maybe you liked him as an actor. I like that guy. He's great on house of cards. Wait a minute, is you really just terrorizing people and grabbing dicks everywhere? Shit.

Speaker 2:          01:09:06       Yeah. I keep people around time. I do too. I do too. I still grab ass and Dick's. Oh, that's not what I do, but no, I think about it that way at my house when. Oh, when you guys. We had a party the other night. I go, who have I not got groped in appropriately. Okay. Wait, Gill, I haven't done it to you and I grabbed his dick just to make sure that we're all fucking good. Never groped me. I'm starting to feel a little left out. I don't think nothing. I don't even think you've ever gotten from my, but I might've googled it from afar. I think you might have spanked me once, but the point being it's like, come on, we gotta just people have to figure out some way to interface with each other 100 percent of the time as equal and just work on your own bullshit, but when the way you talk to people, like somebody brought this up once that they initially with a lot of this stuff is that it's someone in the same business that's in this position of being a great artist like Kevin Spacey type character or whatever, and then the other person is like a pa or something like that and he prays on them and it's his show and they can't get away and he's like attacking them.

Speaker 2:          01:10:11       They're straight and these gay. Absolutely. I know that 100 percent. I think that's some weird, almost like reptilian instinct that humans can't tell you how many times we've had to because you know my audience overserved quite a bit of the time and when it's a girl that's alone and you can see the packs of guys. Oh good. Do. I'll give you a ride. Where do you live? Exactly. All right. Let's get her an uber because I know that's going to go poorly and you know it's fucked up about that. Here's what's really fucked up. Not only was the woman the like the vulnerable one when it comes to like the possibility of violence, right? She's also the vulnerable one when it comes to her reputation because like if you and like chat. Yeah, right. If you and Bert Kreischer and five dudes and a girl hops in the car with you and she decides to suck everybody off and then you tell the world and someone leaks her name and they're like, it hurts her, but if you get up, if you're hitchhiking

Speaker 3:          01:11:14       and you get picked up by six chicks who decided to below you and film it and put it on the Internet and you're cracking jokes and pitching your book, your book was chicken sucking your Dick. You're a king. You're a Goddamn king that's worship you because they'll throw up a red carpet down in front of your van. As you get out and bowed to you as you climb out, send. Another huge issue is how we treat women. Being able to guide their own sexuality, a 100, that's a big part of what's going on in raise your daughters in a different way than you raise your sons and that's why it's okay for a teacher to fuck a boy kid. Right? Exactly. And it is. By the way, we're won't even say a word. It should be treated the same. You should raise your kids to know about sex.

Speaker 3:          01:11:59       You know what? If you raised your daughters, it's a woman. I should say this as long as it's a woman. If you raised your daughter with the same openness that you raise your son, she'd know not to fuck a 35 year old soccer coach when she's 15 because you were open. You told her, here's the pitfalls of life. This is what it's about. Guys are going to try to buck you. You don't. You caught all women and I believe it's as much a parenting problem as anything else. It really is fucking fascinating that you would have no problem if a really hot teacher fucked your 16 year old son for really hot woman teacher like built like Pamela Anderson back in the Baywatch days if somehow they teach it. No, no, no. Yeah, you should be a little more discriminating. But if it was a hot one, you have no problem with it.

Speaker 3:          01:12:49       Some Pamela Anderson, like Gao is having sex with your 17 year old boy and he's got a six pack. Yeah, fuck. You have Tommy who were a winner. But if you reverse the genders, it's a horrific offense. Like some handsome man has reduced your beautiful little daughter who's only 17. Fuck. That guy needs to be in a cage. Appeared that, that alone is like, this is where I can't extend the argument because I've never been a woman. That's true. Uh, and that's why I've been meaning to talk to you about saving a lot of this for a while. I have hosts can a comeback. Do you remember when we were going to get married? Yeah. That was the last call I'm going to get married. I don't know if that's in the book or not. The last call I made when we knew the man show is going to get canceled.

Speaker 3:          01:13:39       They wouldn't. That might be in the book. I think it is. They, uh, the last call I made, they wouldn't tell us it's canceled. They leave you hanging on the vine. But, uh, I was at the Atlanta punchline and I remember being in the parking lot and Massachusetts had just passed gay marriage or civil unions, or maybe you called me up. I called Zoe Friedman first. Zoe Friedman was called Zoiah before he checked on me. Maybe I called you first, but she's the one that counted because she was our goto person at comedy central. And I said, listen, before you us,

Speaker 4:          01:14:12       give us one last episode where Jo and I get gay married and it just goes into this montage, but it's the opposite of every marriage cliche where we're fishing together and no one's arguing, no one's fighting over the remote. We're all happy. We're both happy to be watching the same thing and it's just a perfect life together

Speaker 2:          01:14:34       to imagine that people decided to do that. Imagine if they had best friends, get married as best friends, like it's nothing sexual in the contract. Zero sexual obligation. It's not sex. It's like you are getting married as best friends like for real than Bros before hoes. Just stop and think about how many, not obviously not the current relationships we're involved in. We would never go so far, but if you go back to like your twenties, just imagine being stuck with some gap when you're both God damn wreck, right? You're both crazy. You're both 21 or whatever the fuck you. Are. You both completely out of your mind. You're basically babies alone in the world. You don't know what the fuck you're doing. Imagine living with that Gal for the rest of your life versus your friend from back then. I'm still friends with my buddies from when I was 21, Jimmy lawless. I talked to that dude all the time. We text each other back and forth all the time. I've been friends with him since I was 15 or 14. I might've been 14 when I met him.

Speaker 4:          01:15:28       I don't know. Doug. I hate your cigarette smoke during the podcast. A. Okay. I'll put in a a air purifier

Speaker 2:          01:15:35       and that's the beef. That's our marriage beef. This is our meat. This is something I really did. I call it the dice clay option because die every time diocese here, he chain smokes more than you and dice just hammers. We got an air cleaner that we would sit right behind him and turn that thing on just to suck out the cigarette smoke because it's either that the air purifiers belching sewage by the second hour is just brown tar. Well, he's the guy that to this day I still fan boy in front of. I can't believe I'm friends with dice clay like a really can't. Every time I see him I'm like, he's up to feel like you're friends with them. Like I've. I've only met him a few times, but I never saw like a human side to him. He's always been anthony. He's in character.

Speaker 2:          01:16:19       You can get there with them. I don't want to, I don't want to see him like that. He's a good guy, man. I don't want to see the emperor with no clothes. His clothes are still on. I'm telling you. It's all right. He's just a guy that's like, you know, dice clay was gigantic and he got hit with the first wave of comedy haters. Like people don't remember what I was 19. It was me and my girlfriend Marta, and we were parked out in front of my house and we were listening to a dice clay cassette in my car and we were fucking crying. I mean, tears are coming down my face. I was 19, I think she was 19 too. We were both like, yeah.

Speaker 4:          01:17:01       Ah, ah, ah. Never

Speaker 2:          01:17:04       even considered doing standup at this point just so I was dying laughing. He's the reason I got into Stanford. He was a monster.

Speaker 3:          01:17:11       He was a monster. And he was telling Rena he was coming off the whole wave of Paul Riser. Yes. Yes. There was no backlash. Yes. We already noticed. Thanks Jennifer. Notice rather, fuck you. Paul Riser is amazing on stranger things. Uh, he's amazing. You should fucking kids. Demagogue. Oregon's what? Exactly. Don't know. You have no demagogue and knowledge on the fucker talking out your ass. I tried, I want to say about stranger things. I watched five minutes of the first one and I'm like, I can't watch kids and fuck it. It looked like that. It gets better. It gets so good. It's such a good show. How dare you try to fail. I'm gonna. I'm gonna. I'm gonna. Hey, can you see, I hate to use my, a scotsman as a, a errand boy. Is there a coke in there? Tried to find them. I'm not. I don't think so.

Speaker 3:          01:18:07       There's some, there might be a. nevermind Kansas Divia go in there, motherfucker. Come on. It sounds like it's gone. Fucking something in it. No, it's okay. Brian, he left. Sorry. I think there's like one can as eva. He [inaudible] it sounds like it has stevia. Yay. Fuck that. No Way. Can we, um, the first cans of coke? I just assumed. No, I brought whiskey because I assumed he wouldn't have club soda. So, uh, I thought if I'm going to have a vodka drink, I'll just drink mimosas. I'm fine. That's a good move. We can have some God for me. Oh No, I don't need. I know. I just assumed everyone has tried to work our way through this whole experience here at this new spot. We're not totally locked into place. If you want some unhealthy options, I'll have some gluten heavy pasta. I have plenty of.

Speaker 3:          01:18:59       I was going to change up. I'm not going to you. Here's what we'll do next time you come here. I will have my nonexistent assistant send you an email with like a, a ride. You don't want to run like a writer, like white m's. No, no, no. It's good. Stevia. Stevia is a good dude. They're good and Italian. You just give it a chance. So it's awful. No, no. Sugar is fake. Show that it's not. It's a plan already. Son of a coach. Bingo takes the Stevia all the fucking time. But these sodas are good, man. I'm telling you, they're really good and they're not going to kill your sugar. Leaves such a bad taste in your mouth and I can't taste anything after 35 years of smoking plant extracts. It's a sweet thing that doesn't Jack up your glycemic index. It's good for you, Bro.

Speaker 3:          01:19:45       Send me to stay alive. Hannegan that you sent me. Just so you can talk about me. Not One handling has been dealing with subterfuge. It's no fun talking behind your back when we can do it to your face. Hennigan, enjoy. He's one of the things I enjoy about you is you are very self deprecating fellow who is. You are. You could take a good jab. Yeah. And you give one back. Yes. Cheers to that. Thank you. Is that a Scottish thing? Seemed it seemed a little bit more fun over there. I would say the sculpt so good at being self deprecating and calling. I couldn't come. Yeah. And your billy connolly. Yeah. He was like the main guy over there as far as standup and he. That was his whole thing. He embodied that. Yeah, just happy dude. Thing is a big thing in Scottish society, which means one of the few good things I'll save her scholarship society is it's kind of egalitarian and we enjoy knocking.

Speaker 3:          01:20:38       People don't who think they're better than other people, including yourself. Australians do that shit too. They call it the tall poppy syndrome and Japan. Yeah, I think it's good, man. Good. You know what I mean? I think that's one of the things. We're also going to always be 100 percent and it goes back to your thing about punching up. Not yet occasionally, because here's the thing about this whole punching up, punching down thing. I always bring up Sam Kennison bit about the Ethiopian kids that were starving to death. It's one of the fucking greatest all time bits and it's all hundred percent punching down. He's got to, in my opinion, I mean if you have a list of the greatest of all time bits to have them in my mind or Sam Kennison and one of them was the Ethiopian kids was like, you know, you're sitting at home, you got a dinner, you made it out yourself.

Speaker 3:          01:21:22       You know, you're sitting in front of the TV, feel good about life and all of a sudden this fucking kid is starving kid and there's a guy right next to them like, could you please just give a couple dollars a month? So this guy goes, hey, and you're like, hey, why don't. Why don't you feed them? You're right next to them. I think it was. I all I remember from that bit is send a moving trucks. You. The way the food is. Yeah. Yeah. He goes deserts in America to which it was chaos because it was the most punching down bit of all time. Starving children in Ethiopia. I don't think that's punching. Punching at the people that are selling you this as you're grabbing the little Ethiopian by, Hey, come here, come here motherfucker. Collateral damage. Going to 100 years now. Fucking punching down. I was talking about specifically twitter fights were like Christine Levine, who's at a Mammo, she's a friend of mine.

