Speaker 1:          00:00:01       Five, four, three, two.
Speaker 2:          00:38:36       in Ghana or something like that. It's just a giant 265 pound dude. If you're 150 pound guy, you're fucked. You're just fucked. That guy. He's what? Eight something or he's 10 and 1:10 and one. Yeah, I think he lost one of his early fights. The commission. Okay. Look that they have a 10 point plan to curb the weight. Cutting a while. Protecting fighters now normalized in the commission's rules are steeper, fine for missing. Wait a 10 percent cap on the way to fighter is allowed to gain between the time the weigh ins. Oh, that's interesting. And an event, uh, and the weight class restrictions for those who miss weight more than once, they also recognized for new weight classes. I think that's huge. Have a bunch of weight class. They should have weight classes every 10 pounds. That Guy Andy Foster, he's the California State Athletic Commission Executive Director. He's the shit.

Speaker 2:          00:39:24       That guy's awesome. He really is the most proactive at of all of the athletic commission guys. So that's it. They'll figure it out. They banned the use of [inaudible], which is interesting too because ivs help you considerably to rehydrate. Sure. Yeah. They banned him. Yeah, they banned them. They don't want people relying on that because thirsty punched fight. Just all these articles about a Kevin Doran about talking shit about under armour. Dude, that crushed their stock yesterday. It's easy. It's the trump of basketball shoe stocks. No. You know what he did? He's just like casually commenting about like how kids will pick schools based on what, what, um, what, what, uh, sneakers. They're going to have to wear it. True. Yeah. Oh, started to rent. Takes a shot at under armor. But he just said it and like in a matter of fact, sort of a way, it's like kids don't want to play an under underarmour.

Speaker 2:          00:40:21       So you look at this. Nobody wants to play in under armour. I'm sorry. The top kids don't because they all play Nike on a podcast. Podcast interview dropped the stock. Is that what it was? A podcast, a ringer podcast. It dropped the stock three percent. Much money. That must be for a giant company like under armour. Three percent. That's a billion dollar plus company. Three percent is probably tens of millions of dollars. Right? Get a bounce back though. How much is the, the actual difference? Uh Oh, it's slow. It's down 44 percent assessed to start a year. Oh, that's not good if it's already been slight. Yeah. There's a lot of issues with under armour and hunting too. A lot of people think that under armour is a, they're, they're worried about their hunting division because like anti hunters, they, they're like the only gigantic company that has the stones to support something that's controversial as hunting. I haven't been around very long though either. Right? Under armour 15 years. Maybe. That's a good question. Like I read that then I think they're from the nineties. I read some. Adidas started back long, long

Speaker 3:          00:41:34       time ago and then two brothers and that's where Puma started as the two brothers started due to some boom or something like that. Or

Speaker 4:          00:41:39       didas is from run DMC. My Adidas, that's like 1980 something. They're just now rebounding from the problems. That nice juicy that quick. You're a wizard. You listen, man, she's got a hatch up. Pour it out. I be professional. That's The craziest, fastest pee of you've down three waters since you've been here, man. You lift all this. Talk about these fighters, dehydrating yourself. You know,

Speaker 3:          00:42:03       fuck that. I don't have to live by those rules. Nope, not in. Not In this game

Speaker 4:          00:42:08       we were talking about under armour. They, they, uh, have a hunting division. And they take a ton of shit because I know there's a, there's a bunch of like crowdfunding thing, not crowd funds. What are those things? So it wasn't a fun thing. It was a crowd something or another that we're going after. Cameron Hanes, because they were calling him a trophy hunter and they were trying to get under armour to drop him. But then you look at like how many people like their, their hunting divisions is tiny division and then under armour itself, the company is just gigantic. It's very interesting. There's not a lot of companies that would be that big that would support hunting. Takes a lot of balls.

Speaker 3:          00:42:48       Yeah. That means the CEO is definitely into hunting and he's like, this is my buddies. Yeah, well yeah, the owners. And it's like you imagine Nike got into hunting. No Way. He was in golf with Tiger Woods and obviously he was a gigantic athlete for them, but now that he's not out there even playing golf, the golf division, I think they just closed it this year. Like they don't even make anything anymore. They'll make some clothes for and some shoes, like they're putting golf spikes on the bottom of Jordan's, but like they don't make clubs or anything anymore I think because what the Huh. They just put in golf spikes on the bottom of just get some of those extra charges out there from the recalls section and just talk some spikes on there and just get them out to the US Open.

Speaker 4:          00:43:33       Well we were talking last night about rappers that get sponsored by shoe companies at the store. Like I didn't know that rappers had contracts with shoe companies. Nike announces it will no longer make golf clubs balls and bags.

Speaker 3:          00:43:45       You said this and I run DMC. They probably for sure how to contrast. Yeah. 50 slash fifty cent and Jay Z had a commercial wrapping back and forth at each other. Who else? Kanye has his own shoe. He has his own. He. Yeah, but he had it with Nike originally and then went to adidas. Uh, that's the only rappers or could you imagine if a comic. Kevin Hart, Kevin Hart, Kevin will. You have to go to the next absolute level. Stratosphere as a comic or I mean, unless you really want to do it and do it on a, on a small artisanal level, then you could. You could do whatever you want to do. Yeah. I guess that's a. it's a weird thing though, that rappers get sponsored by companies

Speaker 5:          00:44:32       like. Well, like Kendrick Lamar, he's got a. Some sort of a shoe company thing. Popular Person. Huge. Yeah, right, but does that guy work out? I think Ken's would probably works out probably because you know what? It's certain rappers I could tell that they work out based on this show. Really? Oh, because they have energy. Well not even just energy, but if you look, especially if your songs and your lyrics are very dense, where your betterment and you wrap it up, that takes a lot of breath control and cardio. Especially if you're not doing it. If you don't have a hype man on stage. If you a hype man, the hype man is someone just isn't it? Just the energy is so you can catch a breath and so he'll take those last couple of words on a line and then you catch your breath and then you come back because a lot of people don't have the breath control.

Speaker 5:          00:45:23       So a lot of times even if somebody is not ripped, they're in shape, they're lungs are in shape. If they can do a whole a whole show of just, you know, kind of rapid fire songs and shit. I never thought about that. A hype man, Huh? Yeah. That's what the hype man. I mean as far as it's definitely they bring the energy up, but a lot of times if you see a rapper and at their show and they don't have a hype man, they're like, you know, I could spit my own shit all the way. I don't need a hype man. Yeah, yeah. Especially if they're fast with their lyrics. Right? Yeah. And Kendrick does it, you know, he doesn't wrap over his own beats. That's a pet peeve of mine, a lot of big rappers and they will just wrap over the song, the actual song.

Speaker 5:          00:46:07       Oh, own lip sync. And almost pretty much just wrap it over the shit at their own concert. Now get sometimes if a, say you pop up as somebody show to do a guest spot as a rapper and you do your biggest song. This person's Dj doesn't have your instrumental. He only has the regular track, the rap over that. But it's just show. I don't want to hear you rap over that because he was just rapping over as well produced song. I'd rather just hear this shit. Chris being a club, right? Yeah. Yeah. Just otherwise you're just seeing their presence. That's just it. I mean it's still, you know, it's still fun, but it's just not when you, when you know what the alternative is, which is you being a good polished performance, then you're like, come on man. Just don't wrap up your shit. Yeah.

Speaker 5:          00:46:54       That's a weird pop thing. Right? Pop singers are kind of allowed to do that. We know they do it, but when they get busted, it's a huge deal. Like what was the girl Ashley? What the fuck? Nationally, Samsung. That was a big disaster, right? She kind of vanished after that for that too bad timing. Yeah. She had a show. They're trying to ramp her up on on TV. Like the diary of it. Oh yeah. They pulled up. Pulled the plug on that fucker. That's it for her. Yeah. I ever heard about her again. Not really. Not really round. Sorry. The party. That was like 15 years ago, right? At least

Speaker 2:          00:47:30       15. I think it might've been like easy to easy to where I worked in 2009, so the couple years before the Atacama guest. Oh six for my mom looking at what is it? Oh Wow. Yeah. Damn. Thirteen fucking years time and we'll fly. He does not wait for you. You got to be. Yeah. If you're going to be a person who sings on stage and moves around on stage and you're not going to be going over your track, you have to be in some serious shape yet. It's a to put on a solid show. Thomas is no music and you just fucking rebroke breaking our music now, but nobody know where to find out. Yeah, but this is December 14th. Two thousand 16 this shit out yet. She said 45. Now look at her. She's got kids and had a whole yoga. She found she found value in other things besides show business. He got to go for probably a good move for some people, you know, just get out now. We were looking at um, what the fuck's his name? Mick Jagger's routine. Like Mick Jagger's, 185 years old. And that dude works out twice a day. Yeah. Like he does yoga, he lifts weights. He has trainers. I kid, he's just doing everything to try to keep his body together. Like Bang. And then might want to keep fucking supermodels.

Speaker 2:          00:48:59       Is this girl like 27? Yeah, he's got like a 18 year old girl. I trained five, six days a week, but I don't go crazy. I alternate between gym work and dancing. Then I do sprints, things like that. I'm training for stamina. He shredded though. They had a picture of like Mick Jagger, like his body eight miles a day. Damn. He runs eight miles a day. Swimming, kickboxing and cycling. How old is he? He's got to be like 72. Right. Let's. Let's take a guess. How old do you think Mick Jagger is? He's. Yeah, he's 77 I think. Seventy two. Good. Yeah. Seventy two. Seventy three. I remember seeing something when we were kids. Seventy two year olds were dead. Absolutely. There was nothing left and like you, you had, you were on empty. Your body was 74. He's almost 80. Was almost 100. Then how long is he gonna live a hambrick. How does melon otherwise girlfriend look at her hot as fuck.

Speaker 2:          00:50:02       She's Mickey Dirty Dick. She's just turned 30 and he knocked her up, right? Didn't he shoot a live one in there? Yeah. What are the odds that kid's going to come out and not have super powers? All this stuff that he's taken this to stay young. Wow, that's crazy. Thirty years old. Here's what I want. Mick Jagger, because of the baby. Giant head look. The kid can read minds. The kids heads filled with vitamins and anti aging serum. Look at her. She's like, Yo, Daddy's 70 foot. Yeah, Daddy's older. Didn't the president. We have to find you a positive role model because your daddy probably won't be around very much longer. Have you heard of Maroon five at all when you're 74 and you're having a kid that is super ambitious, like you're optimistic as fuck to be 74 and have a kid? Yeah. I'm, I'm 34 and I'm like, oh, I need to get.

Speaker 2:          00:51:03       If I'm going to have kids I need to get it in next. Something happened in the next couple of years. Yeah, that's a good move. But I would never. Seventy four of brand new one. Yeah. That's super bold. I guess it's just, you know, you know, he's got a great story by that. You know Theo Vaughn, do you know thea? Hilarious dude. He's fucking hilarious. Uh, his dad was like in his seventies when he had him and he's got hilarious stories about going to school and like telling people that's his grandpa and being embarrassed. It's his dad. His Dad was fair falling asleep everywhere. It sounds like fair behavior for a kid who's j dot jaggers. This girl is first kids 45. Jesus Christ. Man. This first kid could be, his girlfriend's mom might have an older one too. Oh Man. Is He married to the girl? The new girl?

Speaker 2:          00:51:52       It says spouse. So he's probably like, why not? I'll get married. We don't give a fuck. Take my partner partner even better. That's how it needs to give him my money to my kids. Partner means fool me twice. Shame on me three times. I'm senile. Oh, move in and collect on my estate. His lover. Lover. Isn't that funny that we have like distinctions like did you or did you not scribble on the paper? It's just did you or did you not agree to some stupid shit that doesn't make any sense financially. Juha digital. Is your estate at stake with this relationship or not? Can you just shoot it

Speaker 4:          00:52:34       loads in her random or willy nilly or does she have access to half of your money? Let me know what. Nope, she doesn't let me know what's going on. What's the deal? What kind of deal would you guys make that's, uh, that, that deal? It's just so weird. I have a friend that is a super rich dude and he was getting married, his wife did not want a prenuptial and he was like, well this is crazy. Like why wouldn't I get a prenuptial? Like if we stay together, like we don't have to worry about anything because you know, you'll, you'll be fine, you'll have plenty of money. But if we break up, why would I be in a situation where you could get half my money? She goes, you don't think this relationship is going to last. That's why it was. No, I think it's going to last. That's why I want a prenuptial [inaudible] it's not going matter. Right.

Speaker 2:          00:53:14       And if, if, if it doesn't last, let's work out a side deal that isn't, that have. Yeah. You can't just hold that over me. Like, well his ex wife held it over like

Speaker 4:          00:53:26       they, he didn't have a prenup and when they got divorced it was a disaster. And so then he was going into a second marriage and this lady was like, I don't want a prenup. And he was like, what? I've already done this like the fuck out of here. So tough Combo works out. It works out.

Speaker 3:          00:53:44       Yeah, that's a heavy. I've had some heavy combos in my life, but that's one of the ones where were kicking it for a couple years. But uh, yeah, I don't want you to just in case this goes poorly, let's just get this out of the way real quick. Careful. Like what stage of the relationship

Speaker 4:          00:54:00       chip you do this too because in the beginning, like if you decide to get married after like six months, you're like, you're on drugs, right? You're blessed, you're blessed out. He can't believe the relationships working so well. It's amazing. She's incredible. She's my life. She's my partner, she's my soul. She's my partner. She's everything to me. Then you just get sick of each other. About two, three years in and then with the seven year itch, you know, that seven year itch starts talking to a lawyer and she goes, okay, listen, let's just. If we, if I get divorced now and then the lawyer goes, well, how much money is he making now? Does he have any other financial opportunities that are on the table that could perhaps increases walt over the next few years because you might want to hang in there for a few start thinking about it. Mercenary, like, like if I just get to 11 years, if I get to 11 years, then he gets the CEO position and starts making x amount of money. Terrible.

Speaker 3:          00:54:55       I did have living in a house with a woman and then she starts hating you or resenting you at some point and then starts plotting, leaving. We're all just still says living in the house, hey honey, blah blah blah, and then just just going through the motions of what a marriage is supposed to be. Secretly gonna end it and she kinda knows exactly what she's going to end it. That sounds terrifying. It's terrifying, but it's also adorable. It makes me laugh. Makes me laugh because it's so silly

Speaker 4:          00:55:29       because it's such a human thing like it's not. It's. It's such a cultural and a human thing and it's this weird lottery like this. The reason why men are attractive to women at all, when they're really wealthy, if they're gross, gross dude, like, who's that guy? Rupert Murdoch, the guy who owns Fox. Yeah. He's like, he's old as fuck. He doesn't take care of his body's kind of like. But he's got this hot wife, right? There's something. There's something adorable about that because this, this is this weird human folly

Speaker 3:          00:56:01       thing we got going on. Security and all that shit. It's a little bit of that lower empower, blah blah blah. But it's also us scam.

Speaker 4:          00:56:10       And what's interesting is a guy like that becomes attractive because he's wealthy and the woman's not wealthy, right? You got assume if she's worth a billion dollars, he wouldn't be attracted. She just start fucking her personal trainer and I'm buying a Ferrari, honey, eat mommy's Pissy, you know, like that kind of shit. But if you get to a situation where you find this old dude and you know, well, he's just really kind to me and other young guys, they just wanted to have sex and leave me and he just takes care of me. And then what does that does that Rupert Murdoch, secretary of the Treasury, Munch and. Oh yeah, he's got a banging hot wife. Yeah, that's the lady that got in trouble because she was tweeting about all the different clothes and things she had on a, on a government trip. She's on a government jet and she's like tagging all the bag. She wears the shoes. She wears it and she's smoking and he

Speaker 5:          00:57:00       like. He looks like her dad easily. Right. Doesn't mean for sure he's gross switch. When you think about how many people have lost every jobs and money because of twitter is really fascinating. I've had a situation happened because of it, but nothing. I haven't done any. I haven't had a stupid as social media blow up when you're thinking about how insane it is with that, with this is a media where you can literally control every single word you say and you still say some wild shit that costs you millions of dollars, will cost you relationships

Speaker 4:          00:57:44       around your friends you don't think twice about. And he said it online. What I was going to say about these rich women though, is that like when you're a wealthy man and the woman's not wealthy, the fact that you're wealthy is attractive, but then if she marries you, oh,

Speaker 5:          00:57:59       she's rich to now, now you're just a dude and now you're gross, and now she wants to stay rich. So she has just kind of hang in there and are you talking to me out of getting married, trying to. I always tell people it's one day won't be around one day. Marriage won't be a thing. It's going to take time. You know, I spend my money on, I do random, which I was, uh, I was caught in a weird Internet wormhole last week. I was a little high and on some adderall and I clicked on it. And on adderall or high on adderall, high on weed and all that. Jesus, what's that like? It's great because it's a, you have to focus that energy of adderall, but the creativity of week, Ooh, that's a good Combo, right? Like that. Is that how you write? I was planning to write, but I just took some different times on the internet than I would normally take. I should have written, but it's just when you, when you take adderall, which is supposed to do is when you take it, you're supposed to get settled with what you want to work on right away and then when it kicks in, you focus in on it versus you know, I think when my shit kicked in, I was just on the Internet so I just really dug deep into the Internet. And so, uh, there was this article, this guy

Speaker 3:          00:59:22       on this, this comedian that has all these funny tweets. And so I started looking at his tweets. Yeah. Good tweets. And then when his tweet said, uh, I'm a, uh, helped my friend go to wrestling school and it was just this young woman that wants to go to restless. She wants to go to pro wrestling the scope. And I went to wwe smackdown a couple of days prior. So wrestling was Kinda on my brain. So she got a go fund me and I just paid for her wrestling school.

Speaker 5:          00:59:50       Never met him. I ain't got no cars, Joe Hall and we'd just adderall weed and income and just pay for some random restless school though. You just uber everywhere?

Speaker 3:          01:00:05       Uh, yeah. Well I rent cars some places, but yeah, when I'm in La, a uber or lyft around where you live in Chicago, I'll get a, I'll get a rental, but I'm not there that much. Even though I, my residence in Chicago now, I'm still not going to read a lot. And so for my own frugality I can't justify having a car yet. I am wondering that's an interest in going to get one. So I'm a breakout of it. My Dad is super cheap and so that's just kinda his brother still. I'm lightly extravagant and cheap and practical at the same second extravagant watch. What is that? This is a, I don't know the name for Berrera. It's beautiful. I bought it because I was hyped before I was a shopping before I did some shows at radio city with Chappelle and so I was right before sound check. I was, I need to buy a shirt. I bought a nice shirt and then I'm like, fuck it. I'm gonna. Get a nice watch. And it wasn't. It's that, that crazy. It was like 700 bucks or some shit. Yes. Mr. Bull. Yeah, it's a reasonable. It's too much for a watch, but not yet

Speaker 5:          01:01:10       stupid without. See. That's the one thing that fucks me up about watches. Like if you told me that watch was 10 grand, I'd be like, okay. Like it's the same thing. Yeah, it looks like it could be a 10 grand watch. Right. Watches are weird. Like that was a weird, but it just kinda pop on stage a little bit and it's, you know, it's a bracelet with the time. Yeah. Did you see that floyd mayweather watched? We were talking about the La Ferrari. That's all crystal. 600. Looks like some futuristic shit. It looks 600 grand on a lot. 600. See I could never, never. Yeah. Still even still now when I have this, I'd be like 700 bucks on this. Jesus Christ. Guess what? You had a book that Gig and Boise to cover this shit can be doing this gun ended up on 30 for 30. Broke that what? What kind of car are you going to get? I think I like the Tesla. Oh, okay. Yeah. To go electric. Yeah. Like just if you have to get out of town quick and there's, you have to hope that there's electricity out of town quick. Yeah. Like what if some shit goes down like within some sort of an earthquake or something? Uh, I'll guess I'll just get somebody else's car. I mean I've got friends and shit and I'm sure that'd be leaving. So

Speaker 4:          01:02:20       hop a ride. Yeah. The thing about Tesla's, it gets me, I love them. I think they're great, but you really can only drive them 250 miles. Yeah. I don't give a fuck what they say. And even that, you better be driving slow because if you're driving fast or if you drive it in traffic. Like my business manager came out to Anaheim for the UFC and he drove from a Hollywood to Anaheim and his shit was dead by the time we got to Anaheim. Oh, because there's traffic. Yeah. So he, uh, he was stuck in traffic and it was no like shit on the, off the road he had to find a super station. So you got to go sit there for a half an hour at the super station and when you do that it's fills up to like 75 percent or something like that. Oh yeah. That part's a little bit while

Speaker 3:          01:03:03       drive it. No, maybe I'll get a used car that's practical for the apocalypse.

Speaker 4:          01:03:10       Why don't you get like a hybrid, a lexus hybrid. Hybrid. Yeah. Those are the shit. And then you can operate. I think they have a switch where you could operate. I know they have that for the Acura Nsx, that new NSX. They have an all electric mode where you could drive a totally electric call. You hit all the switches and it's warmer. Yeah. Then it's super fast. Looks fresh. You know what A. Yeah. There you go. Lexus, Lexus. Hybrid, that's a bad ass car to that coop because it's um, it's sporty, but it's just understated enough where you're not driving a Ferrari or a porsche or something like that. But it's bad ass car. That one right there. That. What does that, the ls. Lch. Yeah. It's a bad ass car. Yeah, baby. That's what you need to get yourself one of those. Look at that thing.

Speaker 4:          01:04:02       That's slick. That's pretty slick. Good looking car. And you know what I like about lexuses, man, they just never break. I'm, this is my second lexis that I have right now and I've never had a single fucking problem with them. Those things just never break. You just drive them. They never go wrong. Customer service is fantastic. They have the best customer service in any car I've ever had and they're like deer flashy, but they're not impressing a rapper, you know what I mean? You don't know what type of rapper though. Yeah, that's true, right? It was like A. Yeah, like de la soul. They'd probably be impressed young jeezy by looking at the books.

Speaker 3:          01:04:43       You know, I did this week, I, uh, I donated some money to Red Cross for the Houston thing. People get mad at you for that and then I remembered right away about the Red Cross shit. It was like a knee jerk donation and donate to the Houston food bank also. But then I remembered about the shit with how they handled the Haiti funds and Katrina and then I emailed because it was through Amazon payments. I was like, Hey, uh, can I get that money back please? I want to just give it to some other source. Oh, did you really asked? I haven't got a response, but it was just a, it was one of the weirdest. Now a top 10 weird emails I've sent. Well, I asked for a donation back. Yeah, that's slippery. Right. I wanted back though, because I don't because they, uh, I think it'd be better for some, uh, some, uh, organizations on the ground is one Texas the Texas diaper because everybody need diapers and they're based in San Antonio.

Speaker 3:          01:05:49       So you can just sit and I just went on Amazon and just sent a grand worth of diapers just because that made me feel good because it's super specific and you can't really get to fraudulent with diapers. That's what I mean. That's a good way of looking at it. Like with product you just send the product. I mean maybe somebody worst case scenario somebody steals it, but for the most part if you send in a healthful product, that money, that shit is getting broken up. Some of that should go on to the morgue and some of that shit go to like ink.

Speaker 4:          01:06:19       Yeah. It's weird because I guess affective charities have operating costs. There's no way to. People got to get back to. People have to get paid, you have to pay for logistics and planning and and the Red Cross obviously does a lot of good. There's no, no doubt. They do a lot of good and people just get mad at the accounting thing. Like how much of the money goes, like know on it. We donated money to the Red Cross for Harvey, for Hurricane Harvey and people were like, Yo, the fucking Red Cross a terrible place to donate money and you want to say that, right? People want to say that? Yeah. What is the best thing to donate my. I'd like to know what the best thing to donate for. Like Harvey,

Speaker 3:          01:06:59       I guess. Um, I didn't. Houston food bank at Texas diaper thing. Houston food bank sounds like a good a j. j. j watt has one. The guy he plays for the Houston, Texas is a few other ones that are on the ground and in Houston or in the area where red crosses, you know, I mean there obviously I know they have people on the ground, but it's pretty general.

Speaker 4:          01:07:29       So yeah, they, they handle a lot of different things, but they do a lot of good to like, there's no denying that the Red Cross does a lot of good, but it's, it's that whole accounting thing when people get mad. It's funny man, because there's a lot of people just waiting to get mad at something. Even get mad at where you're donating your money.

Speaker 3:          01:07:46       Well I think it's just. I think the issue is that from the little research I did on it, that Red Cross hasn't had full transparency with how I think people want to know if you give a dollar to Red Cross, what percentage goes to this weapon centers goes to this episode, this goes to this and I don't think they offer that and that makes people feel like they're getting shysters.

Speaker 4:          01:08:14       Do you think that's because they've been around so long to like Red Cross has been around for like how many years ago? One hundred years. Probably something. Right. And it wasn't until the Internet came along that these questions even came up, but that people demanded transparency probably want to.

Speaker 3:          01:08:27       I think it's just because they haven't been that many results from the Haiti earthquake where people don't see tangible results. And I know I donated a bunch on the phone texting to, to uh, you know, I don't know why clef was doing Red Cross thing if he was doing something separate, but I texted a lot just donate when that happened. And so I think it's just when people don't see results for the money, it's just like, you know, they want to, especially if you just try to help something in that, I think that's what makes it worse for people where if you try to help and you donated money to help and you don't really see the results of it, then you're like, what the fuck?

Speaker 4:          01:09:09       Yeah, the Haiti things, it's almost like the infrastructure was so fucked up and there was so much damage done down there that you would need untold billions of dollars to fix everything. It's like when you donate millions, it's like barely even going to see any results. Like I wonder how much, how much damage was actually done to hate. You've got to wonder about Houston. I mean you're talking about Houston being just catastrophic to the point where some places are never going to recover

Speaker 3:          01:09:36       is uh, is pretty messed up. Man. It's raining right now. Still raining. And they were saying how about how the constant development that they've been doing there was part of the reason why the flood, it hit harder because they developed on prairie grass, so certain land where this land might have soaked up some of that. I mean we probably would have still flooded but it might have been less severe if there wasn't needs because the next is a new development.

Speaker 4:          01:10:13       Yeah, I saw that where they're saying that by paving over these areas, those, those areas can no longer absorb the water. But it seems like you're talking about the. Did you ever see the graphic that shows the difference between the amount of water that rained down on Hurricane Katrina versus the amount of water that rained down so far on harvey? Not even including today. And it's going to rain apparently tomorrow too. I think shit, it's, it's so much more water than. Could you look at the difference for 10 to 15 trillion gallons as of August 28th. And what is today? The 29th, the 30th. Today's the 30th. So that's two days ago of rain. And then Katrina is only six point 5 trillion gallons. I mean, that's amazing.

Speaker 3:          01:10:54       I mean that's A. I mean I'm sure there's people that dedicate their lives to this, but how do you count that they're out there with scoops? Measuring is in cubic. Come on man. Come on man. Beyond, beyond like oil drums. You really? Yeah. Come on. How many really know? It definitely looks like a lot and I hope it seems like a of water is all right.

Speaker 4:          01:11:20       Yeah. Well you know, one of the things that I love about tragedies is when people come together and help each other out and one of the things is liver is a line of fishing boats of dudes pulling fishing boats to go and rescue people. It was like a whole line on the highway of dudes with trucks pulling fishing boats and they were dropping them off and they were driving their boat rather ride in their boat down these flooded roads and rescuing people and bringing them to safety. That kind of shit makes me so happy. That's one of the fucked up things about people's. Like sometimes a bad thing makes people see the good in people. It makes people do good things,

Speaker 3:          01:11:57       definitely. But how, how insane. Just the juxtaposition. Does that have to be to like you and your crib as watching a show on Sunday, relaxing, you know, frat and then a few days later you have to be saved by boat from this, from this, from this place where you usually just walk out and get the mail. You have to. Somebody has to pull up with a boat. That's insane. They said it's okay

Speaker 4:          01:12:30       once every 500 year storm too. But how the fuck do they known that 500 years ago people wrote shit down. Park, you know, they, they, they showed like raindrops and skulls.

Speaker 3:          01:12:43       What is that? People House saved her with a jet ski. Wow. Um, that's is

Speaker 4:          01:12:50       my friend's grandmother being jet skied out of her living room in Houston. What about y'all though? What A. Wow. That house is fucked. There's a lot of fucked houses. You other thing about Houston too, is Houston so damp like Houston in the summertime, it's so moist. That means they're going to have crazy mold growth there. Mold is going to be off the charts and that shit makes people sick as fuck. Like A. I've had a friend in Austin, his whole, his house had to be gutted because he was getting sick and they couldn't figure out what was wrong and they came in and did some sort of a test of the air and they're like, dude, you're house is infested. And so they broke down his walls and apparently there was some pipe leakage or something inside the wall and then just the general moisture of the air. The entire walls were filled with this black mold and it was getting everybody sick.

Speaker 3:          01:13:38       Shit, that shit is girls.

Speaker 4:          01:13:40       Yeah, mold is no, no joke, man. That black mold stuff can really fuck you up if you're feeling shitty and your house has mold in it. You got to do something about that because there's something going on there that's a, you're. You're literally being poisoned by house. Damn. But Tom Lucas, dude had that going on too in La. He had to get his house gutted. He, uh, he was feeling sick for like a year and then finally did something about it, found out his house is filled with mold. They tear it down to the, to the raw frame of the house and have to spray everything with this antifungal

Speaker 5:          01:14:12       shit and Redo the whole house again. Shit. How long was he out of the house? Like over a year. I want to just says I'm reading a little article on it says it's a black mold. Yeah. Yeah. It just said it really had his voice hard, fucked up his health. It's no joke, man. I mean, you're, you're breathing in these little organisms mean spores are these little. When you're thinking about mold, that's a, like a fungus, right? Those wouldn't you consider mold fungus? Is that what it is? Yeah, that shit is in the air and it's poisoned. So you're, you're basically breathing in toxic poisoned all the time. Yeah. That shit is just. I couldn't imagine this shit man too. You live in Chicago, you don't, you don't care about winners. It doesn't bother you. I, uh, anywhere I work around it, work around it. So a time you like, yeah, animals not in town. Where the. Well doing gigs in Florida. So about. Yeah, I do, I book, I book myself like that during the winter and in Cali and Arizona, Texas, Florida, etc. And then if I do a run and I'm scheduled to come back, but I don't have any actual thing to do in chicago that I need to be that foot. I check the weAther at that shit's like under 25. Didn't I just chill where I'm at?

Speaker 5:          01:15:38       I just that look like that's crazy that I call down to the front desk and say extended for two days please. Oh that's a good. Just hang out wherever you're at. Just hang out wherever my oh, go to uh, some other warm place for a couple of. That's how, I mean this is my fIrst time being back for full winter. So that was, that's how I handled it this time where I would just stay up in the life. It's nice man. He lived in a nice loud clap. I rent my place out. It's an apartment buildIng. I read it out when I'm not there. Oh, you do? You're really. Oh, you are frugal. And if people live in your house, do you know these people know? Wow. Airbnb stuff. Stuff there. I'm pretty bare bones when I travel and shit. Just few t shirts. Jeans a couple of days.

Speaker 5:          01:16:21       So your, your apartment in chicago, you don't keep a lot of shit there. I keep just the basic stuff. Tv and the whatever you need. If you're a traveling person, if you be there and then I stayed. When I get back, it's three of them I stayed with in whichever one is open. I block out a couple of days. Oh, you rent, you have three apartments? Yeah. Isn't one building? Yeah, that's weird. Three apartments in one building. Why did you decide to do that? Because it was a. It was. I mean I got it as an investment property. I plan on getting a separate place to stay yet, but that's where I stay now is when I'm there because I'm not that much. That's just like move. Do I sound like a weird, crazy cheap person right now? You sound. I wouldn't say cheap because you do have a $700 watch. I would say frugal. Frugal is the

Speaker 3:          01:17:10       right way to approach this. Yeah. Why not? Why not? Why not?

Speaker 5:          01:17:15       I mean, having them sitting around not generating any income doesn't do anybody any good.

Speaker 3:          01:17:21       Absolutely not. I think it was driving me crazy. Yeah. So you're doing the right thing is a man. I was at a festival called afro punk, a music festival, uh, and it's, uh, it's just a beautiful vessel. Was a all black artists and it's great and people dress up in the wildest outfit. It was a fun time and met the people that put it on. I met them a few years back. they used to come to my show at knitting factory in brooklyn. Jaseline in matthew dope people is so backstage a cello. And I was there with a friend. Somebody introduced me to this lady. She says, oh, I uh, she asked a industry job, oh, I work here and blah blah blah. We love to have you in. And I say, sure, you know, that sounds, that sounds good. I'd like to do. it sounded like an interesting thing to do and so she hands me her phone and I put in my email and my assistant's email and then give her the phone baCk and she was like, you gotta go give your number though. I'll take that as a sign of disrespect. I'm an oji in this game. And I was, I was super high at this point and I was like, what Is happening right now?

Speaker 5:          01:18:44       She took it as a sign of disrespect that you didn't give her your number because I guess he deals with lots of famous people or some shit. So the fact that I just gave her emails, she just,

Speaker 3:          01:18:53       I'd never met them. I met this woman a 90 seconds prior to this part of the inner. It was so

Speaker 5:          01:19:01       yeah, I was so high to where is this really happening right now? I really wanted to work with you and I just gave you

Speaker 3:          01:19:09       the info to get in touch with me. Yeah. Why do we have to talk on the phone? That's less effect. It was suit. And so I'm like, what is that? And then, so, uh, and it's so

