Speaker 1:          00:00:00       Struggle,

Speaker 2:          00:42:32       So they said, well, all right, so now we have less bullets that could have hit Kennedy. We have all these wounds and we have to attribute a series of wounds to one bullet. Right? Right. So that was the thought process behind it. But this is approved. Or film was the one that got people weirded out by it. But I'll tell you about men. I've watched that film a bunch of times and one of the things that don't jive is if he did get hit from the front, you know, head goes back to the left. Why is the blood spray out forward? See, it's, it's, it's weird the way the impact of the blood is, the blood sprays forward and then his head goes back into the left. It could have possibly been that he was hit from the front end, the back at the same time.

Speaker 2:          00:43:11       That's entirely possible. I mean, that is a tactic you would do, right? You would roll someone into an area where they would be in a crossfire and they'd get shot if they came in. If there was, if the grass, you know, it was in fact a second site for a shooter. Then by the time it hits that corner and starts its path just before the shots were fired from the book depository and Oswald, if you, if you're going with that, if you had an another shooter up on the grass, you know, you're, you are basically looking right at the, the, uh, the, the, the front of the vehicle. And because of the way that it's positioned in the nols kind of turned and then it's just that, it's just that there's not a lot of concealment up there. And they had that. They had the fence, picket fence.

Speaker 2:          00:44:01       It's not the original one that Sarah anymore, but it's basically in line with it. And you can see there's plenty of pictures of the. Oh, the previous fence, it was up there at the time. Um, and you had that, you did have the train yard engineer report sometime after the fact that he saw a puff of smoke and he wasn't quite sure what that was all about and he'd seen a couple of people back there so that, you know, that was, that's an interesting thread to pull on. Right. And, and I think that, that it's been, it's been ad nauseum doesn't mean that you couldn't still find something. It also doesn't mean anybody's going to really find a conclusion after the fact. Right. Firstly, today. Yeah. No. And that's right. And you know, maybe it's like everything else, as time marches on, you lose, you lose witnesses, you lose, you know, people that were there on site and even witnesses when someone gets shot.

Speaker 2:          00:44:50       No, especially with the precedent is not credible. Five different stories from five different people and gunshots heard from the moon. Nobody will get that just from a robbery, just straight driving in a car accident you'd say you'd say, what did you see? If you have separate people out, you're right, you'll get five different versions from five different people and you know, so yeah, I wasn't a witness accounts. I tend not to be a particularly a credible and you've got to, you know, you, you, you got to take them and then you gotta match it up with other information that you can, you can pull together forensically. But it's a, it is fascinating. I know who knows where it's going to DB Cooper's back in the news a little bit because it really. Yeah. Yeah. They've uh, initially it was because the bureau was saying, okay, we're, we're closing this case.

Speaker 2:          00:45:31       And then there's some talk now over the past day and a half, two days that they might've found something up in the wilderness that might be a piece of the shoot that he had. And I know they haven't, they haven't bought them that one out yet. But Cooper, more new evidence of parachute believed, found. But how they know that's his parachute. Yeah. The thing about, I mean, it could be, but the thing about something that's that long ago, we have to realize how many people die in the woods every year. Yeah. Yeah. And when you go, when you come out the back of that plane, I'm good luck. Yeah. And, and also he was in a suit. He was wearing loafers. He lost his shoes. So he hits those, that wilderness. He hits those trees and uh, it was cold that night and it was wet. And there's going to be a man hunt on, in the morning.

Speaker 2:          00:46:18       No, he had his, he had his, he had his, um, a parachute and he had the bag with the money. They'd given him money. So. And that, that was it. And so I'm no wilderness gear at all. No. Well not that they know of. I mean, who knows, maybe underneath his business suit he was wearing something, but I'm just going to be wearing. So what was the time of the year? Uh, it was late in the year I think. I think I have to go back and check again, but I think it was November, I want to say part of the country up in the, uh, the wilderness up in Washington state. Oh, he's dead before thanksgiving. Before thanksgiving. Yeah. That guy's dead. Yeah. I mean it's just not going to make you make your way out of there. And it's nighttime and you know that. And, and you know, they again, there's going to be a manhunt starting.

Speaker 2:          00:47:01       No, let's. Trout wouldn't survive up there, but there's been all sorts of theories. Oh, he jumped out and then some people met them. Well, maybe good luck finding them. Right. How are you going to be able to be so silly? People jumping out of an airplane with no gps. Do the odds of finding that guy and he's not, he doesn't have a flare. Like what does, what does he have? How are you going to look at? I'm going to just find him in the woods. That's why I think there's, you know, there was some talk, well, you know, because some of his money was found, um, you know, after the fact stacked in a, in a little, uh, a part of the river that seemed unusual, right? It seemed like it would have had to make a pretty amazing journey from the wilderness down through the stream system out to the river and then be found on this sandbar and it was all stacked one on top of the other, but it had the light, it had the serial numbers.

Speaker 2:          00:47:51       And so there was some thought that, you know, how did that get there? Did it naturally just float down there and ended up on the sandbar and covered in Santa. Eventually was found by some kid that was on a picnic. Whoa. You know, I'm wondering if that's slowly, how long would it take for you get busted. And that was $200,000 back in the day, a little bit here and there. Now buy a bicycle. Seems good by TV. No one saying nothing but bicycle. These little kid, you know my way to California where the weather's coming, room's got a 50 inch tv with the fuck's going on. You don't even have a job be what the hell are you doing? Where did you get that transistor radio? Well, if it's a kid who found it, I'm sure I see what you're saying. Yeah, yeah, no, he reported the kid was with his family and he reported finding Amelie.

Speaker 2:          00:48:39       That bureau went out there and dug up the entire area and in a fairly large effort trying to figure out what is there more money there? How did it get there? Run tests. I think if they found his money, he's dead. It's not going to jump out of a parachute and then leave the money. There was some thought that maybe he was doing it as a ploy, right? To, to kind of distract and think, okay, he's dead because the money's there. Uh, but again, it falls into the category of, you know, it's never going to be resolved, I don't think. And it's a fascinating story. It's Americans only on solved hijacking. Am I right about that? I think Americans only unsolved does it all the money. Did they find all of it or what? It was just a small amount. It was not, it was not a large amount.

Speaker 2:          00:49:17       So he did not. If he, if he planted the theory was smart enough not to put it all their weird story. That db cooper one's a weird one because a lot of people, they tend to look at him like some sort of a folk hero. There was a connection with him that they were, they were thinking he was this guy who up, I want to say shot family members and murdered family members and then went out and did that crime. There was some suspect that was on the loose from some sort of a homicide that they connected to the DB cooper case and they thought that somehow there was a potential that they were related, that it was the same guy. Yeah, he loses some of his charm. If that's the case. Yeah, it'd be just a guy that's, you know, thinking I'm going to hijack a plan for some cash.

Speaker 2:          00:50:00       And where'd he get the money? Where did the cash come from? They brought it on the plane and they landed and then they gave him the money that they got the passengers and the most of the crew off of there. And then everybody was in the cockpit with the door closed when the, in the old days in the back door would open up the steps and he went out the back door. They had a backdoor indicator, which is how they kind of sensed about where he would have gone out. And uh, anyway, I sound like a db cooper. So how high was he up there when he jumped again? I have to go through my notes, but I think commercial flight. No. Oh No, no, no, no, no, they, they dropped down to, I want to say about 10,000 feet. I can't remember, but they're not really sure because the door came down.

Speaker 2:          00:50:44       He could've been there for any period of time and he had instructed them to drop down. I forget again what altitude he was head, but you know, it's just, it's amazing that these things continue to go on and we love mysteries. I love mysteries and conspiracies and uh, which is why the new trump administration is so interesting. Well, he loves conspiracies, doesn't he? He believes a bunch of crazy ones. Like he was just a retweet that one about, um, what was the general that uh, they, they attraction to pershing dip in the pigs. Uh, the bullets in pig's blood. Yeah. And there was never an attack, uh, Islamic attack at 35 years. That's not even a true story. Know who? But again, who, why? Why aren't you doing this? Why it just stop? Yeah, it does. There's no, there's no like, I didn't vote for him.

Speaker 2:          00:51:29       I didn't vote for her. I, I just thought we could have done better in a country this size. Right. Tell you one thing he's doing. He's fucking it up for future idiots. Idiots. Oh No, no. I would not underestimate our ability to hire somebody worse. I'm never going to be as someone like maybe there'll be like a new version of him, like someone like him, but they dial it back a little bit. Yeah, yeah. Maybe so. I just think people always say, well, this will be a course correction and we're going to go back to having really respond and I'm thinking, wow, this is America. Don't, don't, don't, don't imagine that it could actually get better in that regard. We could be even more dysfunctional from a political point of view, but what's weird is I was watching this interview today where this guy is fucking pencil neck dork was supporting and Tif of violence and saying that the only way to fight against fascism is violence.

Speaker 2:          00:52:20       And I was like, oh Jesus. And then there was this other guy next to him who was saying, no, that's not true. The way you fight it is with a peaceful protest like just happened in Boston. Like that's the best way to handle it. Where there was, I want to say there was more than 100,000 people in Boston wasn't there was how many people in Boston came out. Let's see if we could find that out, and it was completely peaceful in the the. I think there was like 400 retards with KKK banners. It's a small, small group of assholes and you're like, okay, but here's the thing. This is where, this is where the, you know, president trump has just such a. he's a great case study at some point, I'm sure. Well, I'm sure people are already, you know, writing up their grant proposals to do a study on, on his psychology. But you know, you look at, you look at at the first amendment and you think if you like the first amendment, then you got to be all in, right? It's not like you can say, and that's the kind of the beauty of this country. You got to let that a douchebag speak. Right? And that's what it is. It's speech. But we've gotten to the point now

Speaker 3:          00:53:26       words some by some folks are viewed as violence. Words aren't violence. I don't think. This is just my own personal opinion. Boards on violence, you gotta let everybody speak because that's the first amendment. You, you'd go down and they don't want to pick and choose in slope, slippery slope. Right? And so, you know, we, we can all agree that there is no space for them. They're assholes, but there's also no space for violent counter demonstration. There is space for protesting it because it's, they're absolutely wrong. Right? I mean, that's, that's again, this idea that you, how you should be able to argue both, right? No, you can't respond with violence and yes, you guys, you shouldn't, you shouldn't be here. If you're going to hold those views, that's, it's important. You are protected by the first amendment and so that's fine. Doesn't mean we have to like it or in any way condone it, but, but you get an okay that those sort of fringe ideas are going to exist. And I agree the best way to resolve it is peaceful demonstrations, massive pieces does demonstrations to show, you know, sort of the weight of where the good thoughts are and then a political process, right. And sure that, you know, work through the political system as dysfunctional as it may be. But anyway, uh,

Speaker 4:          00:54:49       just encouraging people to violently attack people that have differing ideas in them that aren't being violent is never the answer. No, it's just not the way to do it. And that's just the approach to. Yes, you're right, it takes a fascist approach. Yeah. I mean literally you're enforcing your ideas to the point where you're silencing others with actual violence.

Speaker 3:          00:55:10       The mark of a totalitarian state also is if you say you can't have these views, will get that to hate those views. But again, it's the idea that what you say is violent to me. No, it's not. It's fucking speech. The other thing that trump fucked up, he called those protesters. Anti violent protesters. Like anti-police protesters. Yeah. Like, come on

Speaker 4:          00:55:31       man. That is not what they're protesting against police. There might be a few amongst them that say stupid shit.

Speaker 3:          00:55:39       But, but again, just like with the other side where you've got what do you, what do you got? A $100, $200. Who would imagine $15,000? What the fuck are these Nazis hiding? Anyway, that's it. That's the thing. You know, my dad didn't, didn't fly in World War Two, you know, so that somehow you could have a resurgent, not that there is, I think it's a small group just like it's a small group on the left that wants a violence solution to this or you know, honestly believes that violence against police is somehow the answer, which is insane. But, um, again, there you go. Truth is somewhere in the middle, right? I mean, they've got to get rid of the fringe and you know, we got to figure out a way for the folks that are in Canada. Summoned space. Yeah. I have to work together. Otherwise, I mean a, I don't think the Democrats care whether Republicans gave.

Speaker 3:          00:56:31       In fact they are, they're happy. That shit's not getting done. But as an American, again, I didn't vote for him. I didn't vote for her, but I would like to see the government work now. Who did you vote for? A. You know what? I just said, fuck it. I can't. I couldn't youtube. I know I couldn't bring myself to do it. I couldn't bring us and I hated doing that. Right. Because I voted top down right now, what they call it. Yeah, yeah, yeah. I mean, I, what I did was I, you know, state elections important, you know, those sort of. And that's fine, but it, it, uh, it's very painful to say I can't, you know, can't justify doing that and uh, and I know people and then people lose their minds and they go, well, that means you have voted for him or that means.

Speaker 3:          00:57:10       And I know it just means we should have been able to do better in a country this size, you know, and um, you know, maybe maybe you hold your nose and vote for the other side. I don't know. Um, but at least she represented a conventional approach to politics. That's true. There's no doubt about that. That's super conventional. I don't enjoy a lot of aspects of her personality and what she's done with her career and the obvious deception. The Clinton Foundation, which is just riddled with problems and now doesn't even exist anymore. Apparently they shut it down to wonder what they did with the remaining balance as a horror is flying in from Russia. What are we going to deal with this? We got all this money. We're got to transfer it somewhere. There's got to be a place to store it in my pants, wad up hundreds stuff and I'm in his past.

Speaker 3:          00:58:07       He was, he was in a marriage or is. I guess he's not dead yet, so I don't want to kill them off, but he's, he's, he's an amazing political individual. That guy could make you think that, you know, I met him once overseas is sounds dodgy, but in the Saudi at a, a party that does sound really sketching and so. But he had that ability right now again, I wasn't a fan. That's, but I, you know, again, you just want whichever administration is in charge. You want it to work you from country to move forward. But yeah. But so you met him in it and it's true what people used to say about them, which is that he made you feel like he was talking right to you and nothing else was important. Right. He wasn't one of those guys that looks over their shoulder thinking, ms dot somebody else. I should be talking to over there and he was a charmer friend of mine told me he was talking to him and a woman though and Clinton like essentially almost turned his back to him and like all the horse out of the picture. Then he just pressed gun. I'm just gonna Block you right here. So these honors, I got a stack name a pockets man in a party. A party in Saudi. Get drunk

Speaker 2:          00:59:22       with that dude. Yeah, I'll tell you what's. I mean George Bush. That'd be a guy like to sit down and have a beer with the Bush family. Good bunch. But I know people that go, oh my God, I couldn't stand with policies. But you know, sometimes you just, it comes down to a personal thing and you think, yeah, you know, maybe the guy's got some, you know you made. I like his principles. You may have, but he sticks with them. Right? He looks extremely reasonable now. Yeah, exactly right. One time where the supreme court had a ruling that he didn't like and there was a speech where he gave in the. I've seen it quoted in print and then someone showed a video of it, but he was essentially saying, well, you know, we have to uphold the decision of the court, you know, I'm not happy with it, but you know, this is uh, the way our system works.

Speaker 2:          01:00:03       And then it went to trump talking about the supreme court, you know, not backing his travel ban and all the different various things that he's lost in court and he just goes out and he just said, and I just like the personal attacks and there's no product, there's no discipline in the White House. And, and I know that everybody thought, well, let's get something different in there. Let's get a businessman. Let's, we don't want the politics as usual. And well you got that, but there is a requirement. There is a need for the machine to work in a certain fashion and in a sense. And yet, you know, yes, there's lots of things you can change and that that's a good thing. There should be some change in the government, but the way the place works in Washington, but the communications there that the lack of discipline, I mean for crying out loud, they just, they just put in place the new communications director at the White House, 28 years old.

Speaker 2:          01:00:51       She's 28 years old, never done this sort of thing before. And she's the new communications director. She replaced Scaramucci for his 10 days of rain. And why did she, um, wanted to replace him? Because she listens. She's just willing to do what trump says. He just said, yeah, I'm here for the job. I mean, she says you're the girl for, you know, for this. And she's, she's worked within the trump organization and I guess just viewed as loyal. Loyal. Yeah. That's what he needs. Yeah. He needs loyalty above all else. Yeah. And so, so that's it, but I mean, there's no consistency and you see these things happen. You'll see, you know, these, the messaging get out and he gets ahead of the message or they need to play catch up then. And people like Madison, John Kelly now and Pompeo and others are trying to race to make sense of some of these things and they just self inflicted wound after, after wound for this, this administration, it seems like one of those homemade derby carts that they rolled down the hill where you know, the wheels aren't going to stay on and you kinda can't look away.

Speaker 2:          01:01:52       Like, wow, how long is it going to take for this thing completely falls apart, start doing tumbles down the hill. You got a name, they get it. You got to come up with a name for that cart is have the name, your soapbox derby cars. But um, yeah, I, I don't, I don't know where it's going to go. I just think I'm the guy who has been in the intelligence community for so many years and you're stepping back and there was also a real issue with him being at odds with the intelligence community and diminishing the intelligence community. Yeah. That was a strange error. Sort of an interesting narrative. It didn't really. It got overblown to some degree. I mean the people in the sense that the people at the agency, you know, at the end of the day, they just take whoever's in charge. They take their marching orders from, right.

Speaker 2:          01:02:34       It's not, and I know people don't believe it because you know, everybody likes to feature films and everything, but it's, it's a pretty apolitical organization. Whoever's in the administration, they're going to prioritize their national security concerns. You're tasking comes out of that and then you just march on and do your job. And yes, the is an appointed position and you know, John Brennan was certainly much more political in the previous administration than, than a previous directors have been. But, and the operational level, the street level people just get on with it, you know, they're human. So of course, you know, they may have their own personal preference, but I spent a long time. They're in behind the curtain and, and you know, they just tick on and do whatever. You know. There were people that weren't happy with Obama. There are people that weren't happy with Bush to people not happy with trump.

Speaker 2:          01:03:18       That doesn't just tell us what the priorities are, tell us what the task is and we'll get on with it, you know, go out there and do the collection operations we're supposed to do. It just seems like there's no one person that's ever going to be able to fill that position. It seems like that position also gets bigger and bigger, like the responsibilities get bigger and bigger and the president's. Yeah, yeah, yeah. I just, it seems to me that at this point in our, our, our history, the history of our society, we kind of have to look at that position and wonder whether or not it's even logical to give so much power to one person. It was like, what would you do? I mean, how do you have a good question? Yeah. How do you create a Council of Elders Council?

Speaker 2:          01:04:02       Everybody sits around like a hand carved desk in a underground layer and makes decisions. That's a good. Yeah, I like it. Yeah. It could be like the knights of the round table, but I think it's. Yeah. You know, I don't know. I think virtuous people by committee. I wonder if the founding fathers, you know, I'm sure there's been all, you know, reporting on that, I just never read it, but the founding fathers, have they considered that as an option, as an option? Probably not, but a wonderful committee. The kind of population growth that we've experienced here, the real problem with the founding fathers is as brilliant as they were. There's no way that could have ever seen the internet coming now, and this is what could they have seen the people wanting to stay in Washington for 36 years, 42 years. I've become career politicians.

Speaker 2:          01:04:42       They were all just interested in, in, you know, doing their duty and serving the way they were supposed to or they felt obligated to and then getting the hell out. Right. Getting back to the farm or whatever that job was because nobody wanted to stay in Washington for any longer than they needed to. So yeah, you're right. They could, they have foreseen all. No, definitely not. And so does that mean, what does that mean though? It means amendments to the Constitution and as we've done in the past and think about how crazy it is that someone forms a new country and then 400 plus years later, it is the preeminent superpower in the world by far. Yeah,

Speaker 4:          01:05:18       that's pretty crazy. You got these countries that have been around for thousands and thousands of years, like imagine a group of freaks and misfits that branch off from America, getting a boat and float over to Costa Rica or wherever and take it over. Yeah. And then, uh, and then it becomes the superpower.

Speaker 3:          01:05:35       It is astounding. And then again, going back to what we talked about towards the beginning was cobbling it together and understanding that we needed to get our hands on everything west of the Mississippi. Now, clearly there were some issues there, but you know, it's sort of that vision that says we're going all the way to the causeway. The water we have to. It was, we can control it. Right. And that's, I mean, it's, it's, it's an astounding history. You're absolutely right. Um, but, you know, it'll be interesting to see. Obviously this is the probably the stupidest statement people will hear it all day is, is you know where we're going to be in say another 200 years because I've got a theory that says we're. Every generation is making it easier for their kids and eventually you hit a point of diminishing returns and everybody's just a big pussy and so that's my theory. I haven't come up with a name for it. You're not alone. Yeah, a big pussy pussy. That's. That could cover different things. So yeah. Plus that was great. That was a great show.

Speaker 4:          01:06:30       Wonder. Yeah. I wonder how much there's going to be. There are parts of the world where obviously things are way more difficult than are here and maybe we're losing some sort of a competitive edge because we've made our lives so easy and haven't replaced the convenience of civilization with something that tempers are human instincts, like some difficult tasks, right? Of passage for young men, you know, something that develops character. Instead we're making safe spaces and making words, violence and you know, making it so we have trigger warnings and

Speaker 3:          01:07:05       no winters. Winter when we don't have to, when, thank God my kids are getting old enough now where their sports leagues no longer, you know, for awhile there I was just driving me crazy. So it was parent go into a game and realizing that they weren't keeping score because they didn't want to hurt anybody's feelings. That's the whole reason why people get better. You fucked me. And while the kids are keeping score, the kids know for sure and kids don't want you to blow smoke up their ass, right? You don't want to. They'd come off the court and if you know the, the oldest boy a scooter, he 10 years old and he's, he plays a lot of Lacrosse. He's been playing for five years and so he's, he really likes it. And he does. He does well. But you know, I'm not raising the Division One champion there, right?

Speaker 3:          01:07:45       But he plays other sports too. So there's sort of a well roundedness day. But we came off the field one day and we were walking along and, and uh, they, all, the parents were kind of marching off and the game was over and he says, he says, how'd I do? And I said, well, you know, you could've done better. Um, I said, I just get the impression you didn't try as hard as you could, what do you think? And he looked at me, irritated. He looked at me like, I can't believe you didn't just say I did great. And so he said what? And I looked at him, I'm walking and I didn't realize the parents were within earshot. And I said, well look, you know, school, do you want me to blow smoke up your ass? Do you want me to be honest with you? And to his credit, he said, be honest with me even though it wasn't happy about it, the honesty. So you just be honest with me. And so we, we tell kids that they know better. You know, if you tell a kid that they're great and they're doing wonderful and they didn't, what do they take away from that? They take away from it that you're kind of bullshitting them unless they're just super, super young. They're pretty. They get it at a pretty early age.

Speaker 4:          01:08:45       Well, here's, here's something that's important to relate to children that you are not your accomplishments. You are you, and the only way you're going to get better at accomplishing things is to be 100 percent honest about the amount of effort you put in and what the actual result of that effort is. Whether it's a failure or a success that does not define you, that defines your participation in this particular activity. It is not you. You are an individual that will hopefully learn from all of your endeavors, but you're never going to learn shit if you lie to yourself. He never going to learn shit. If somebody makes this nobody's scores employment and there are no winners and there are no losers and everybody's amazing that that's not good because it gives voice. By the way, it's not good because there's going to be people out there that are fucking driven and psychotic and they're going to get ahead.

Speaker 4:          01:09:38       There's people that are task oriented and goal oriented it and they they have an idea ahead of them are going to try to figure out how to make this happen. They have a goal, they want to reach it, and if you're competing with that person in any form of life and they're not burdened down by the bullshit that we give so many kids today, they're going to have a massive advantage and this idea that this kid who's been coddled and treated like he's always going to be a winner, that somehow or another they're going to be happier is fucking crazy. Kid can't process what's true and what's not and the kid can't process criticism, constructive criticism, right? You don't just stand there and berate you're kid. Of course. That's just as bad as the other. Yeah. No, absolutely. The guys that stand on it and everybody's seen them. Right. That the Dads, sometimes moms that stayed on the sideline and berate their kid because kids jeopardizing his scholarship to some more on school. Yeah, morons, but no, I think

Speaker 3:          01:10:31       you're absolutely right. They've got. The sooner they're able to assess that, that equation effort, a end result and compare it to what's going on around them and then understand it. I'm gonna say what am I? And then one of my boys, you know, they play basketball and they enjoy it, but it's not their primary activity right now. So they tried out for a year and they got and um, but not at the top team and they were upset about not being placed on this top team. And I said, you don't, I did. And I didn't say it quite this way, but my, my, my point was, you don't deserve

Speaker 2:          01:11:14       to be on the top 10 because you're not working as hard as those kids that are working hard. And that's their thing. They wanted to be there. And so they put in the effort, you are happy playing and you could, you could be there, but you're not doing it yet. And so therefore, you know, hey, don't get down on yourself, but b, don't certainly don't get down on anybody else because they put out the effort and they accomplished something that you didn't. So you know, you always trying to find that balance. It's just I don't, we're not doing our kids any favors right now. I just think we're, we're not, not obviously as a broad brush statement, but in general terms, I think society is not doing us any favors. We're in and you see that I've got a daughter that's in college and she talks about her, you know, her classmates and others and you know, sort of the conversations they have in class and the discussions and what passes as debate nowadays, which is not much right.

Speaker 2:          01:12:09       The idea of the old debate where you can, you can voice your opinions and they can be different than somebody else's and you can hash it out and you can have a winner and a loser, but that's fine. You Go away and you come back the next day and you have another rousing debate in that class doesn't really exist. You know, it seems like anyway, because everybody's so afraid of saying something that might be offensive or not offensive, but just might be upsetting. And there's a difference between being upsetting and being offensive. We're trying to serve the world. I mean that really was what we're trying to. All the hard edges that you might bruise yourself on. We're trying to push a, put a cushion, but you need to understand that when you fall down, it's going to hurt so that way next time you're thinking you might fall down, you'll correct your path because the whole reason why people do difficult things, you do difficult things to understand your boundaries, to understand your limitations, and then to try to improve those, try to raise the roof on your expectations, raised the roof on your, your, your, whatever.

Speaker 2:          01:13:03       Limitations of your abilities, learn from whatever those are and improve. It's like interrogation training. You would an interrogation training when you're working with people. Um, the goal is to show them that it's okay. At some point they're going to have to talk, right? And so when you're going through the training, the point of it is to get them to that point. They realized that, okay, you know, it's not the end of the world. I know that at some point I'm going to end up talking, right? I'm going to say something, I'm going to have to do that because I can't, otherwise I'm either dead or I'm completely broken. And the idea is if you do that and then the rest of the training and, and beyond that, you're building them back up because they understand that now if, God forbid something should happen, they get picked up and there's actually an interrogation going on in the back of their mind.

Speaker 2:          01:13:46       They understand that and they're able to process it so that if they do get to that point where now, okay, I'm going to have to talk. I'm gonna have to come up with something it's going to add. And then it's not completely devastating. It doesn't, you know, leave them completely broken and they can walk back because they understand. I got to that point. I understand what my boundaries are. Uh, but I can work within that. I, I don't know where I'm going with this. So that we're seeing, are you seeing turkeys and trading like a, an agent gets interrogated, interrogation training in general for, for, for our outfit, for the military. Basically the same. We do a lot of cross training. This is not interrogating an enemy combatant, you being going through interrogation training, so what do you tell them to do? Like in that, like say if someone gets captured in Afghanistan or whatever happened, whatever bottom line is, you know, you, you, you try to avoid talking, but it depends.

Speaker 2:          01:14:36       Part of it is you've got to assess who you're dealing with, right? You've got to assess what you think their parameters are. What could be coming down the pike in other words. So how is this and that. That's part of the training too, is understanding what different groups with different places could, could mean. What would that would, that interrogation could look like, how bad it could get? So you're processing that. Part of it is understanding what it is. It's okay to give up. What are you, what are you going to say that's not going to put anything in jeopardy anybody's lives or any operation or anything in jeopardy. Part of it is, you know, you've then you've got to understand that you got to stay close to the truth. Right? The problem with it, if you know where you start getting people out on interrogations is where they can't remember what they've said and the closer you are to the truth, the easier it is to remember what you've said.

Speaker 2:          01:15:21       Right? So in these things, I mean, if it's a bad situation and you're in there day in and day out, you know, and your sleep deprivation and they're knocking around and there's no food and it's, you're gonna have, you're gonna have a hard time keeping track of even the basic things. So you know, you're trying to keep it as close to the truth as possible and as minimal as possible. You know, in terms of, of damage, you go in, you know, typically you, you've thought through all of this, it's like everything else, you do your homework ahead of time and God forbid something should happen and you know, usually it won't. But Anyway, point being is that, uh, you know, the ideas in the training portion of it, you want people to understand that, you know, everybody's got a breaking point, right? And that's just, that's the way it works.

Speaker 2:          01:16:03       And someone's summits, you know, it's here, so I'm, it's further down the road, but everybody's going to break and you don't want that to devastate the person if it should happen, you know, knock on wood. But anyway, that was apropos of nothing. Uh, no, it's important. I mean, it's an interesting topic because a mean understanding that there's going to be severe penalties and that there's going to be repercussions there. You know, this is a, this is a bad situation you're in and understanding that going in is going to help you a lot more than if you go in there from, you know, a soft. But how did world where you don't think there's going to be any adversity whatsoever. No, that's right. And that's all we're, you know. Um, just to finish that, a thought is that the interesting thing about people talked about the interrogation program that we had obviously, right? And I don't want to revisit that. And you know, the left at a very fine job of grabbing the moral high ground and saying, either you're talking to people or it's all torture, right? Um, but the point being is that even if you don't ever intend to use any enhanced interrogation

Speaker 3:          01:17:10       techniques, you don't want to tell the enemy that because once you tell them that you're constrained by the army field manual as an example, that's all you can do. Guess what? Every milk out there fighting us and wanting to harm us is carrying a copy of the army field manual in their back pocket. They don't, you know, despite despite the fact that they did for a while, they don't live in a cave. And so once they know what's coming down the pike that's gone, their incentive is gone right to talk to you. Because once you know, once you don't have that unknown, if you're not sitting in some, you know, a squat box and the temperature's up and you haven't eaten and you're thinking, what the hell they got to do to me next? You have no idea. If that's gone and you don't have that anxiety, that intense anxiety, then you're okay with it. Mentally, you get yourself to a nice happy.

Speaker 4:          01:18:04       You're comfortable. They're feeding, you know, they're just asking you questions.

Speaker 3:          01:18:07       They're just asking questions and you're, you know, you can, you can hold out for a much longer period of time and yeah, maybe there'll be some clever person working in the interrogation facility and they'll develop a personal relationship over a period of time, you know, but you know what, by then your operational information is lost. It's interest, right. And the shelf life on that stuff is, is not particularly long typically. So he had a way that says, yeah,

Speaker 4:          01:18:31       when you, when you're in a situation where you have to extract information in a very short period of time because it's critical because lives are at stake, like in taking time off and if you're stuck in some situation where someone's got a dirty bomb or what have you, there's a terrorist attack is being planned, you know, this guy has some information. What is the best way to get it out of them? Is there a best way?

Speaker 3:          01:18:53       Yes. You know what does not really, because it's all dependent on the individual and that's where it's so much of this and it just again, the, the, the argument got sort of corrupted, hijacked, whatever. Because of waterboarding, because it just became such an emotive issue, uh, but it's an enormously labor intensive process. Even in those cases where you think, okay, we've just picked up a high value target and we feel that they've got operational information that we really need to know, uh, related to whatever. Um, it's, it's, it's not as if you don't go in there and start beating them over the head with a two by four and nobody, nobody does that, you know, maybe some, maybe some liaison partners, you know, in, in, in, you know, fourth world countries, you know, would world fifth world. What's the fifth world country? I'd never even heard of that.

Speaker 3:          01:19:43       New Jersey, Connecticut, Connecticut outside of Dan Malloy is the president of the fifth World Nation of Connecticut. Um, so, you know, it's, it's down to the individual is knowing your homework. It's, it's having all the information that you can at your fingertips about, okay, well who is this person where the associates, who else have we picked up and what have they said up to this point? Do you have anything like that that you can walk into there? If you walk into an interrogation and you haven't done your homework, you're screwed, right? It's going to show out really quickly and they're going to figure it out for the most part. You know, not to say that there every detainee would be a lex Luthor, but you know, they get a sense pretty quickly so you really got to have it buttoned up, have as much information as possible so that you know how to direct the conversation. If anything is said at all, volunteered at all, is there any credibility to it? What can you do with that information? You can take it back and get it corroborated by another series

Speaker 4:          01:20:38       is a. it's going to shut that off man series. I'm transcribing everything you said. No, I ain't mad at doing that. Well now what about, what about using like chemicals? Like what about like Mtma have they ever tried given detainees ecstasy? I'm no, I mean I dunno. Sixties, you know, maybe the 19 sixties. I'm sure I would say. And you'd be. You'd be surprised. It's taking a series still listening to me that, that big brother she knew. Well, I don't know what to do this to the government. It's, it's google. I hate to break it to Google, but you can listen right now on youtube to fucking covertly attack people's phones doing that asshole stuff. No, it's. You know what? There's. There are, and again, they might not know enough about ecstasy. I need to get on the team if I just talked to them.

