Speaker 1:          00:00:03       Three. Two one. Yeah.

Speaker 2:          00:43:29       55 there's some flight for them. I think. And this is great for fighters, man. Like with, with Aldo, he was never that big until Connor came. Right? And there's this rivalry DC, John Jones, Nate Diaz con like there's these Raleigh Frazier, me shook Rhonda, there's all, you know Holly run, there's all this stuff starting to happen and then people fucking tune in. So I think for Brian and Max, they don't need to talk any shit. They just keep being humble. Their skills speak for themselves, but the people want to tune in for that. And you're going to get a bunch of flights out of these guys, man. And I think you're probably right on my Dick's hard about it. I know. I love it, man. I get goosebumps talking about those fucking too. Yeah, they're pretty bad ass. It's nice to see, uh, just anytime you have a guy who's defending his title and you have a guy who you legitimately think could be a champion and you see, look, you look at the two of them.

Speaker 2:          00:44:16       Like I look at that fight and I go, I don't know. I don't know what's going on. Yeah, I don't either. I just don't know if Max makes one mistake by capitalize on it buying so dangerous, so dangerous. What's interesting to me is when I first met Brian Gears going, he's in the gym, remember he was mopping mats, just doing his thing and Henry would bring them on the road. He even goes on the road now with Hennen. They teach cops there, their tactical stuff and why they do these seminars. And he was like Ken or little guy and I was, took him serious cause Jitsu was ridiculous and he would train with me and all this stuff. But I never thought best in the world, you know, I've never eaten. Now I know I'm new. I'm like, what's up man? And I seen it when, when they told me, cause I caught him for a fight and then, um, they go, dude, you fcs come in Colorado.

Speaker 2:          00:44:59       Not yet. Uh, you know, I'm cautious, Larry. I'm like, no, no, no, no, no, no, please. He has to work on a stamp. Don't fucking let them do it, man. And then Henry was like, dude, he wants to do it. And then fucking, I was way off that motherfucker. He got good with his hands with fast. He steps up to the level of competition, man. Well, he definitely does, but it's also, he's so good at Hugh Jitsu that he just took whatever that focuses that got him so good at Jujitsu and applied it to striking. And now he's, he's just a winner. He knows how to win. You know what I mean? He knows how to put shit together when he landed that upper con Frankie and I was like, Jesus vicious frank. He's a hard guy to fucking hit clean in Paul's. Yeah, gray Maynard.

Speaker 2:          00:45:36       Yeah, it's a fucking nightmare. Well, even gray Maynard, he came back and won that fight. Which was insane. This is insane. Draw on the first fight. Chaos. I'm in the second fight. Those fights were fucking chaos, man. Some of the best, but the fact that Ortega took him out and meet some people say, well maybe Frankie's at the end of his rope he's in, you know he's in as deep into his thirties now. What is he? 36 something like that, right? 36 34 either way though. It's Frankie Edgar. Either way. It's Frankie Edgar. Yeah, and then he went on to beat Cub Swanson one four weeks later or some shit. I was like, no, I'll do that. New Jersey. Yeah, 36 yeah, just phenomenal conditioning dude. And then also on this card he got DC fucking steepy too. To me it's like the first real, like when the super fight here, to me this is like the first real, real super fight like GSP Bisping.

Speaker 2:          00:46:20       I was like, that's cool. That's a thick ass GSP. I guess that's Super Fun. But DC, Steve Bay's a fucking real super fight. That's a real super fight. I love it, man. You know what? I'm looking to almost lose four to almost as much of Francis black beast. That's right son Derek Lewis, Frances and Ghana. Woo. I know everyone thinks of me a first round knockout in there. Just going to throw caution to the wind. I think Derrick Lewis double legs him either in the first round or second round and beats them, uh, via Tko. Really? Yeah. Damn. How good is d Derek's wrestling? I mean, he's the explosive dude and you play football. You know, I, I, I, I think people are making mistake going. Oh Derek, just going to go on there. Francisco, go in the fucking plant. Their feet and just fucking chuck the bombs. I think you're wrong, man.

Speaker 2:          00:47:06       I think you're, I think people think that are wrong. I think Derek's going to mix it up if he's smart. I just, I think what I would do if I was them in what Derek in his background and Francis working on stuff, I think Derek's going to shoot the crowd. The crowd's going to bu, but Derek's going to shoot and then his grandma house little boot. It's a good crowd crowd that understands the danger of Francis on his back. Derek on top. Derek with big Kao Power Stop. Travis Browne. I bet they might be thinking, oh shit, this is going to get crazy hopefully cause it's not like if Derek takes you down, he's just going to hold on to you. There's going to try to get, you know you can punch you. It's going to try to kill. You can face that Travis Browne key Tko or a [inaudible].

Speaker 2:          00:47:46       It's one of the worst ones. Bisbing route Dan Hendo and then that one for me it's like you don't want to see that replay and that was a rough one. That was a tough one. And gather new man. You got to get to him first. The thing about getting to him was you're running into hammers. You've got to get to him, got to get to your rotors. Just got to kind of stay back and then the cardio gets still. We only saw him tired once, but it was a big one. You don't see them out of the first round ones, right? Yeah. Steve Bay figured it out. He just, he does also steep bay. Like we're good. I get friends, a lot of shit. But that fucking CPA, he's the most calm, you know, accomplish heavyweight of all time. Yeah. I mean you have to look at him, his accomplishments.

Speaker 2:          00:48:24       You look at the guys that he stopped and the guys, he defended his title like Great Stop Fabricio wins the title stops. Ouster stops junior dos Santos. I mean the only reason why Steven doesn't get enough credit as he should is because all these guys are a step past their prime. Right? Like to me, yeah. And I love Stevie. To me, what's more impressive when Cain beat Jds, that was prime jds. Who was the motherfucker? Motherfucking Cain put his fucking head right in the middle of his chest and did work after getting knocked out in the first round. [inaudible] fight in MMA history was insane. Insane, insane. Like that. That to me, that's a little more impressive than what, when, what? When Steve Bay beach jds cause the jets JBS after an ass whooping by Kane rounds. It is impressive. 10 of an ass whooping, but it's almost as impressive as surviving that first round against Francis.

Speaker 2:          00:49:19       I don't know who would have agreed. There's not a lot of guys that would've survived that round the waist. Deep Bay did DC, DC, man, I wonder. He ate that fucking pumped from Anthony Romero. John, talk about that kid. Pop the fuck back up. Yeah. Oh God. Yeah. Jesus Christ. But John Kay Odom. Yeah, it's Jon Jones. Jon Jones beat everyone we're talking about, but maybe she, the thing about Francis, I'm very curious to see what it looks like you no, no, not on what I'm saying. I'm very curious to see what he looks like in this next fight, but we're going to find a lot about whether or not he's able to correct mistakes, whether his conditioning is just one of those things with all that fast twitch muscle fiber, whether he's not going to be able to go five rounds hard, I don't think he's going to turn into fucking Nate Diaz or something like that.

Speaker 2:          00:50:00       I, I think it might be a tad better. The way you get better is not using all his energy on power punches like so maybe it's more of a experience thing. But with Derek Lewis, he also pedal to the metal and hits hard as fuck too. He does and he's been, you know, he's been in some serious trouble that Travis Brown fight. Like he was in serious fucking trouble, man. Yeah, he's a, he's a warrior for sure. I mean that guy has been in some crazy ass fucking fights. Crazy fights. He's dangerous. Both are super dangerous and he wants that fight to Derrick Lewis has asked him for that advice. They both won that fight. This is going to be crazy. Super Crazy. I think the craziest thing on the card to me is how many people are riding off DC? He's the underdog against Ebay. Yeah, I have DCB Noman to you.

Speaker 2:          00:50:48       Yeah. I know you hate pigs, but when I, when I break down the fight I look at what that's terrible picture makes the bail like super small fucking DCL giant small STP looks DC looks like he's like a fucking gigantic. It looks like Brock Lesnar's do you? It looks like. And what are they doing? It looks like a Bantam weight. It's all there. Yeah. One. So 76 inches. I want to 71 inches. None of that bothers me man. Like the reach the height because DC's dealt with as entire career Gustafson. Jon Jones looked, guys had even bigger reaches. I think also one thing to take into consideration, Steve Bay doesn't throw a lot of kicks. He's not a big kicker being goes, yeah, he's more of a boxer and um, you know, he's DC's also going to be able to get under him easier than any guys ever fought before.

Speaker 2:          00:51:32       I mean, dcs flit five 11 to about five alone if that. Yeah. You know, he's getting, and he fucking, he has top of the food chain wrestling man. Remember when he did the Henderson to Barnard that launched in the air, launched them in the air. Fucking slammed them to Barnett. Big Fella. Yeah. And Kim grapple is fucking and grapples fucking ass off in DC. Took him for a ride sign. But the Henderson fight was the most impressive to me because Henderson, even though he's smaller than DC, he's a fucking stud and he was an Olympic silver medalist himself and DC, just rag doll dim. See? And people go, I see some people discredit DC a little bit when they go, when he won the Grand Prix in strike force, that was a different time. Those heavyweights are older and you know the, the games evolve while it gets deep AI.

Speaker 2:          00:52:17       I'm like, heavyweights haven't really evolved that much, man. You don't see a guy throwing a lot of kicks and mixing up wrestling and Jujitsu. Like you look at Steve Bay's game, it's boxing or wrestling, you know, that's very similar to what dcs used to beating. So the times when he's in trouble, this guy like Jon Jones who fucking mix up and he's a fucking nightmare. But when you're just, when you're John bought all, that's what I'm saying. When DC goes in a fight and you're just boxing or wrestling, dcs is the reason why DC is going to go down as one of the grapes all the time is his mental game. Bro. You. So fuck is he's fucking fight Iq is crazy. Yeah. He's tough as shit. And you know the, like if you look who else does it the way John does, where they're, they're really good at everything.

Speaker 2:          00:53:01       They win by submission. They win by knockout, they win by, you know, my emails, you'd have to go, you have to go to a lighter weight. Those are the two, right? Because even Cain, Cain with do moy Tai and came would for sure wrestle and ground and pound. But he never really submitted anybody. No. Kingston was wrestling and smashing out windows. Yeah. Outwork you, get you to get you exhausted to the point you didn't, you never even believed you could be there. Embrace the grind. Which DC has been trained with Cain for out of this fight. Yeah. And who is came back now. Is he a hundred percent training? Yeah, he's helping him. Wow. So, so when I look at that, I go up a cane styles, almost identical to fucking Steve Bay's, but Steve has a little more power as far as cardio, wrestling kings better at those things, man.

Speaker 2:          00:53:47       Well, Cain was better than anybody that ever lived for like two years. There was there. Yeah, there was a moment. I mean, and he just got injured so many times. There was so many injuries with him, but like when you look at what he was able to do with real fucking tough guys, just break them down. Deal tough guys. But you know, he's had shoulder surgery, back surgery, knee surgery. I mean after a while everything was just given out because of the force of his will and his workouts are so fucking tough. Those guys at Aka, you know like Dana was giving them a hard time at one point in time saying something about, you know that they, they're always getting hurt but they win. That's how you get killers. Like cane to get a guy that's got that kind of mind. He's used to being in that horrible misery of trying to break someone.

Speaker 2:          00:54:36       He's used to. It does it all the time. They all do it all the time. And then DC went all go there and train and remarried DC before he went there. He trained with us in Denver. He didn't, he wasn't that good, you know, loves his wrestling was ridiculous. But he moved there and then he just followed suit. They got John Fitch, he unconscious checked yet fucking can be got beep hold. Yeah man. When Rockwell gets people on the ground, smashes him. When he got Weidman on the ground, widen was stuck under a building. Two, same thing with Leo Machida. You look at him and he'd go, Oh, branch branch, same belt gets you down. And His fucking top game is just murderous. He's because of who he's training with. He's training with those guys. I have friends who were watching them train down in Florida and they were just saying, is his Jujitsu heal?

Speaker 2:          00:55:21       They wouldn't give me names. They said worldclass shoes guys. He's fucking up rolling. Like just destroying. No, he's a nightmare. As a freak athlete. He's strong and he's long. He's got like long leverage. But he's also got physical strength. He was supposed to by Dustin until he hurt his leg. We'll have those official, uh, he got a huge gash in it. He had staples. I think he posted it looks fucking terrible. That would be an interesting Justin Kahn. Close to mirror. No time. No time son. So you think Steve Pay and DC goes to DC by decision? Yep. Thank you out wrestles him. I just think he out works them I think yet [inaudible] I don't think it's a classic fight. I just think hopefully more people appreciate DC after this. I looked at both of them. They both have to embrace the grind thing as as and as long as DC can avoid that big power punch early on he's going to be fine.

Speaker 2:          00:56:08       And he's so smart man. Well I definitely think he's really smart but I also think that steep a is a really good striker and he's a bigger guy and he's got a long reach and he's probably one of the best heavyweight strikers that dcs ever fought. He's got real one punch knockout power at heavyweight. He throws clean shots. He doesn't have any fat and its punches. He'll stand here like this and drop one in onto he credits his best shot. He's got a chin. He's tough as fuck. He loves being champion. You know, he might, he might have a lot to prove here. And you know, he doesn't throw a lot of kicks, but it doesn't mean he can't, he can throw him if he wants to, if he thinks that's part of the strategy and he wants to throw head kicks. I mean he would be cool to see.

Speaker 2:          00:56:48       I don't see him kick. I have, he can kick. You can kick. It does. It's the difference between kicking in practice. I'm pulling off against a worldclass. That's true. I like DC. Big Guy too. Man Sees Man. And that's where John, that's why John Jones goes, I'm gonna knock them out by head kick. Cause if you look at the video DC's here, he's, if he's down there, man, he's susceptible to it. So that's what it sees it. But did John fake a right hand and then throw that left high kick? He was setting up, he was thrown to the body. Thrown the Mati yeah. And then threw it out. And then you see d say go over and then there's whack. Yeah. I want to see if you could find that clip of John Jones. Kaylene DC hurt is powerful. Jamie. Oh Man. Just landed it. Perfect. Let me say that one more time. Yeah. You know what to about the, let's go back. Go back. Sorry. Go back to the beginning. Watch this. Fuck this. Only have to do that. That was beautiful. The way he did that. That was, I hope John comes back. It was beautiful. There was like no fat in that at all, man. It was beautiful. So amazing. Boom. Thank you. All good. DC is, and for him to do that, amazing, ridiculous smashed him. Dude, look at this.

Speaker 2:          00:57:57       So ridiculous. Damn. It took a couple extra shots there that he didn't need to take. Well, there's a lot of down there and now they're even going back at it on Twitter. But John Jones here, here, here's the perfect case scenario. If you're, you know, if you're scrooge McDuck and you're sitting down and you're looking at the UFC roadmap roadmap, you're like, we love Steve Bay. He's been a great champion. But if he could plan it like you're fucking Vince Mcmahon and WWE, you want DC to win. And then John to come back and at heavyweight you have DC John Jones fight for a world title heavyweight and they have Brock gone. I got next wait in the back on I got next kick, kick kick you off. Ratings, ratings, ratings, ratings, ratings, ratings, golden snitch. Take a hike. I like it. Let's let that sink in. Another one is would have John suspension lasts longer than we think.

Speaker 2:          00:58:47       We don't even, we're assuming that John's going to get a suspension then he's going to be able to come back fairly soon. Don't be the no fun police. Well what if Brock comes in and Brock fights the winner of DC and Steve Bay? Let's just say DC wins. I'll take it. Okay. And DC. DC could beat Brock. That's an instinct. Fight. DC versus Broxton. Interesting fight. Great fight. Bronx got hands as big as this table. He's fucking any Ken Russell's ass his ass off. The question is, cause he can he do it clean at his age because he took like 12 different tests. Clean talk, role clean. We'll figure it out.

Speaker 3:          00:59:22       Just like the last one. I think the UFC wants to make that paper. You got to tell you Cyrus scram for like dinner. One, five k to go grab a cup of coffee. It's broken. John, go grab a fucking cup of coffee. No one's going to ever let that happen. This is what we're talking trash. This is nonsense talk. You're crazy. If you think you signed as all clean, like the US government, what are you saying? First of all, you think the US government is clean. I'll call Eddie Bravo. Right? That's what I'm saying. On his way. That's what I'm saying. You saw it as like the government son. Everything ain't fucking done by the books. If I'm Dana, I'm like, you open up your glove compartment bucks. Yeah, man. Keep that came greasy mouth shut. Keep agrees with these boys. Come over and punch each other in the face. Go fuck up our ESPN deal. Wow. And who wouldn't want to see that? Yeah, maybe. Yes. Pam pulls him aside. Take them into some smokey room. Sit down there with some Cuban cigars. It's like, what am I doing here? Fine whiskey. How long is their deal with Usada? Do we know? Do we have any idea? I don't know there cause he had signed a contract. I don't know. I bet there's a count down at Dana's office just every day. 365 days. 64 days.

Speaker 3:          01:00:38       The whole thing is kind of crazy that it's self imposed, right Cody doing man. Well it was a great, it was a, it's a great move to cell to cell. Yeah. There's the move for tea is so genius monster. Lorenzo's a god damn genius. He figured it out and you know, now he gets to just be a fan with 4 billion in the bank. You what? What he's like, yeah, I know you have to smash a few eggs to make an Omelette man. But he, it's a great success story because those guys were down 40 plus million dollars in the hole when I yeah, when the ultimate fighter took off, they had spent, they'd lost 40 million. What does that to them though? It's enough. Forties 40 but still when you're not, when you're, if you lost, you lost a couple hundred grand, you would survive. But you'd be like, Shit, pissed for sure.

Speaker 3:          01:01:26       He'd be like, fuck, this is not good. It takes a long time to make that much. Especially when I get to my boy to run and it was fucking up. You know what I'm saying? Exactly. Two $40 million is $40 million. I'll give a five. I agree. You all I'm appealing and I'll be like, I don't want that money going away. Going home. Get my dick sucked. You know what I'm saying? Like I'm like, God, that sucks. Anyway, let me walk in my giant mansion. You got to think of how many different businesses that are run at the same time though. They had like 20 casinos, 20 plus casinos. The stations. They had a green valley ranch. Yep. They still red rocks. Rocks is dope. Dope. Dope. They just bought out palms too. Oh Yeah, a little rundown, but whatever. The nine though, that steakhouse there. Oh, that's one of the best steakhouses in Vegas and they goes by nominal goes probably should be dope.

Speaker 3:          01:02:13       That's old school. I used to stand up there. We've done stands up, goes parts. This is like one of the bars there. One of the bars downstairs. There's, there's a laugh factory in Vegas right there is now. Yeah. I'm trying to bring it back dices there all the time. I think it's in the Tropicana. Does that make sense? The laugh factor in the Trump camp and that uh, the comedy cellar? Yeah, that's in the Rio. The comedy cellar is supposed to be really good. Who, who, who's running that though? Sown sown. We know is running that. I thought the comedy cellar, I don't know. Um, Ian's there a lot though. Ian Edwards. Do what? He says it's great. Pages to me is always a weird vibe. Obviously you're there during UFC fight. We can do your huge fucking stadiums. But I'm saying as far as the crowds, usually if it's not a UFC crowd, yeah, it's a different thing.

Speaker 3:          01:02:57       Well, there's so many things to do. First of all, right? Or you can be a Celine Dion. I could be on ecstasy right now. Why am I here? Listen to you talk. I do want the blue man fucking roll in my ass off. Why am I here? There's so many things to do, like, uh, have you, have you ever been to one of those sorts of soul lies? Sure. Have you been to love the one at the MGM? No, but I've been Zumanity with a friend and some drugs and it's one of the best times ever. Uh, how about when Disney uses those robot flipper things to do with Cirque du Soleil? How crazy was that? I posted this online. I saw this, uh, this, this article about Disney's making acrobatic robots do these robots flip through the air and land and jump into holes and shit in the middle of the Goddamn Park.

Speaker 3:          01:03:45       These robots that Disney's making their animatronic robots. But here's what's fucked up about it. What's to stop someone from using these and making like a super warrior with the same technology. This is all under the guise that Disney, these motherfuckers, I know what they're doing. So look at these things, dude, that's a robot. That's a robot. So look at this. Look at it. Swing and look at it. Let go and Tuck. Hurfeish jumped into a whole. Yeah, dude, that's going to be a killer robot that we send overseas to fight battles. So look, get that thing fly through the air and boom. This is nuts, man. I mean, this is really insane stuff. What the fuck they doing with this? They're going to have this. I like the Pixar parade or some shift for all the kids. I think they're going to do this for movies, for Shit like that so that you don't have to risk up, man.

Speaker 3:          01:04:29       See Ya, dude. That is so stoked, man. Oh my God. That's Tait Fletcher. Tate's acting. He'll slide in. He'll be able to make it. He's still going to be a character, actually. True. Yeah. He doesn't talk to too, but CGI a face on that ces, right? Paint that Disney Pixar is painting faces on there tonight. If you gonna need people for Voices, half of that movie, Logan, the Wolverine movie that he wasn't there. There's a video you can see where they show you how they CGI to everything. He wasn't really there for half of it or they act. They did it. Very strange. That movie's depressing anyway. If you're a Wolverine Fan. I was like, God Damn Bro. It's driving home limo and shit. Oh, is that what he's doing after it's over? He's like a limo and fucking Xavier. Professor x is like in some weird fucking hut dying.

Speaker 3:          01:05:14       It's hot out. It'll bump me out, bro. Don't watch it. I'm not saying that movie the wrestler. That's terrible. Yeah, it's a bumps you out. Depressing. Excellent. First class all the way anyways. Yeah. Vegas is weird as what we're getting at in Disney's trying to take over the world. The Disney is about to work with Darpa. That's what's going on. Sign. That's Boston dynamics or whatever it is. What's the company? Yeah, Boston Dynamics. Disney does everything better than everyone. He's not doing that. This show that all breaks down. This is all a robot. It wasn't even, it was just a stunt double guy. What fucking haters. Double Guy does this and then they put him on top of that. What? So him being a, Oh, look at that. They just have this space. See if you can make a robot do all that stuff, then you could easily just put his face on there and Whoa, Hugh Jackman got Super Jack Bro.

Speaker 3:          01:06:05       He's on that beat tour diet. He got so swollen but he doesn't look like that anymore. Like in this one. No, it wasn't the tool. America's greatest showman. You can't be all jacked seeing niche. Right. So they just mapped out his face. But the thing is like if you see him in this one, he doesn't look as jacked as he did. And like the earlier ones, he's older, he's old marine, which is sort of supposed to be right. If his body can recuperate from anything when the flux, the aging. Exactly. Come on. Why is he aging like that? Come on where he's losing some of his muscle, but he's still throwing people through the air like they're attack. He gets shot, recovers right away. But his fucking joints hurt his arthritis. What's happening to the arthritis? No, no. You really moved like it these days.

Speaker 3:          01:06:48       I don't know if he officially does. I'm just saying it doesn't make sense. How about to come out with another fucking Spiderman. Oh, thank God they need a new spider man. They never want to pay Peter Parker. When Peter Parker's starts getting big, they'd go, yeah, well guess what? We're going to reboot it. I just keep playing coating it. They keep telling the same story over and over again with subtle differences. My Spiderman Tobey Maguire. You fuck you. Fuck [inaudible] Scott Chick rocks. I'll tell you what though. The only time that that's worked though the hulk. Yeah, they've done that. They started off with that Australian dude from chopper. What's his name? Uh, Eric Bana. Eric Bana. He was number one, wasn't thrilled about him as the hall, not his fault. It wasn't his fault. It wasn't the best match script. And then Ed Norton pretty good as a hulk fan of ed noise. I was like, okay, I could buy this.

Speaker 3:          01:07:32       But then Mark Ruffalo Best Hawk best talk, I believe in me too, I believe he's really assigned to, is to really believe he really understands genetics. You know like Christian Bale's the best Batman you're talking about. Relax. I agree. Sorry, Ben Affleck. I agree. How about Michael Keaton was Batman. Who the fuck a good God. Damn. Batman hygienic cast. Michael come up this George Clooney's Batman too. He's a fucking Mr. Steal your girl. I bought George Clooney. I brought did you? I didn't buy it for the second call when Jim Carrey was the Riddler and then Tommy Lee Joint Jones was to phase. Those are the best Batman's when they were like, oh, we need to make this more real. I'm like, fuck you. I liked Arnold Schwarzenegger's Mr. Freeze. Wait a minute. Who was the Riddler? Jim Carrey was a Riddler when? Who Was Batman? Uh, George cloney. No Batman returns. Broan wow. But Christian Bale's Batman forever. Sorry. Christian Bale is a better bet.

Speaker 3:          01:08:24       It's too real. Do you know Christian Bale was Batman only like six months after he was the machinist. That's insane. Really insane. Down to like almost nothing. He was dying. He was eating like a can of tuna and an apple a day. That's insane. Willpower. You have to have to let your body literally rot away to this skinny thing for a movie. Just for a movie. You don't have anorexia. You don't have a disease. How much you love the craft of act and to do that. Yeah, man. Everybody trying to be the joke or these days though. That's like the big one. Tony Hinchcliffe. He's trying to be wet. Excuse me. Tony. Tony wants to be the joker. Yeah, look. So look, he went from that to that one 21 to one 95. That's all natural. Insane. There was another movie in between, I think otherwise. Yeah. Equilibrium. It said there's no picture here.

Speaker 3:          01:09:12       You're telling me that's not photo shopped at all on the left. No, no, no. That's what it really looked like. That is so unhealthy. Oh Dude. It takes years off your life. I mean, you're putting unbelievable stress. He's under Oregon's, he's a beast. He's English. You know that. I thought he was Australian, Izzy. He thinks so. I thought there was an Australian English bro. A lot of them are Australian. They'll, they'll, they'll, they'll throw you for a loop. Jack. Chris Hemsworth, but Jackman like as an actor, like Christian Bale. He does some stuff. Wolverine. Now look, I'm a fan. Don't get me wrong. Um, but Christian bale does some stuff like in American psycho. Okay. That's another one. When he was in the fighter, when he, when he played a Micky ward's brother. Oh my God. Dude. Up and down the whole time when 85, one 21, one 91 35, one 91 45 him and reign of fire, he is bodied the fuck up.

Speaker 3:          01:10:07       So he got down skinny again to play a Micky ward's brother. Meth addict. Yeah. Yeah. I forgot making boards, brother. But his brother fought sugar ray Leonard. Yeah. In between two rescue don. I don't know. I never saw that one fucking and bs. That dragon movies. Dope for one of them silly dumb movies. Which Dragon Movies in a dragon movie was the dragon movie he was in, wasn't the, in a dragon movie with Matthew mcconaughey. If it was uh, it was in the future. Yeah. That everybody has to do underground drugs. I did them all. They had to live a fire. Oh, reign of fire. Yeah. Yeah. That's the drag. That's a reign of fire. There's a dragon movie. Yeah. Matchup of Khan Hayes jacked in that movie. Oh, super jacked to see. He got Super Skinny for Dallas buyers club when he had aids. Yeah, he did it too. He's another one. Yes. See if you get a picture of Matthew mcconaughey jacked dude. I heard rumors about Tom Hardy shirtless, but Matthew mcconaughey, shirtless ring of fire. See it right there. That picture. We've got a vest on lookout. Jackie. Looks Damn. Yeah, he was Jack's for this movie. Ever heard of that movie? [inaudible] it's a

Speaker 2:          01:11:14       dumb movie. Is it bad? It's just dumb. It's entertaining. It's silly. You know that these dragons, fuck everybody up. And you know, dude, remember how bad he used to hate on dragons. Do I watch game of Thrones town on all you guys for watching? I watch game of Thrones, Dragon Burns. Spoiler you fuck's been out for nine years. He Burns that fucking frozen wall. I'm talking about standing ovation. I was in the middle of my living room. Slow clap. And those dragons are fun and scary that when they, the one turns into a fucking Whitewater. Yeah, yeah. Woo. Card into is. I just feel, and it's a white walker. I, everybody who works on that show, listen to me, don't ever cancel it. Just keep going. It's just, you never going to do anything better than that. Oh, that's the greatest show of all time. I know.

Speaker 2:          01:11:59       I don't know what you're thinking. Just write some new episodes. Figure out some new shit. It's the greatest show of all. They just rap. No, they rep. No, there'll be back. God Damn. Look at that. Miss Jam. I'm mechanic jacked Jack Cheese. I feel like for me to get that skinny and thin, I would have to go on some, I'd have to get some roll like Dallas buyers club and blew it up. One right above that. Right above that, right above your cursor. Right there. Right there on different, Oh, who's that? That's Bradley Cooper. Cooper body dumped to him son. Look at him, but wouldn't you get do all of the steroids to play these roles? I think they call me to be Batman. I'd like, yeah. Yeah. All right. Let me go down at Gold's gym. See what I can do. Yeah. You would have to.

Speaker 2:          01:12:37       You'd have to, you'd have to go on the carnivore diet. Drop your body fat down. I wouldn't you though. Intermittent fasting. Just the whole cryo every day. Yeah. You'd be training camp. Get shredded training camp. You would want to have that scene where you're putting on your fucking outfit and you're just talking like we need more scenes. Where at mom's short list. Just town downtown bullshit. Oh, Ryan Reynolds. Ryan ramp. Is that Ryan running blade blade blade three. That's Ryan Reynolds and Blake three blue. Who is that guy sees another guy that's, oh no, that's next level. See if that's what you gotta try for. That's what you gotta try it for. No one ever tries to that. Do chicks don't take that though. Other dude's Dick fucking mouth. We take that shy girls are like, no, I don't like they say that because they're trying to make you feel better.

Speaker 2:          01:13:22       Oh my God. I think it's so gross. I like geysers soft like you. I like to grab your back and fill out fat. Okay. Brian federals with this fuck no bro. Pack. Oh my God. No Way. I mean, I definitely don't bond his dick in my mouth. A little belly fat on my nose. Full rack of ribs. No fuck in the shake once you're done with this shit like a man. He was just a real lax like me and doesn't want to deal much. That's what I like. Please do. They're trying to make you feel good. We'll try to make you feel good. I'm pretty good saying, I'm not saying you are fat. Were both fat compared to that guy, dude. Both of us are fucking Adele compared to that guy. I'm saying that's unrealistic. Like dope. Like that's too much. Someone has body image issues, girls to get planes about chicks with little waist and big tits.

Speaker 2:          01:14:11       Oh my God. I have body and it shows. I appreciate it man. More than people think I'm gay. I appreciate you have any body image issues because of these women that are unattainable. They have these unobtainable bodies and it's filled up. You're putting a standard on women that's not real. Yeah. Yeah. I have that framed. One sweat. I had a friend once who said this, she was, she was uh, talking about someone's girlfriend. She's like, Oh, I just wish he had a real girlfriend or like a real, a real woman. I go, what are you talking about? And she's like, oh look, look who he's dating is typical pretty girl with blonde hair and a nice body. Like what? You know, why doesn't he have a real girlfriend? I go put heats up the fuck I'm, and it's so crazy. People are real people. Like everyone's really, you're, you're hating on someone because they're a trust not you.

Speaker 2:          01:14:51       Yeah. Yeah. I come. Why would you assume that she's not super nice and really friendly and really smart? Cause you're prejudice because you just looking at her and deciding that you're hating it. She had dumb ass probably. But does that matter? You know what I'm saying? It does not matter. It's all right. You might not be as smart as you. How much is that? How much of that is her fault? I've, this is as I've gotten older and wiser when even when I meet dumb people, I'm like, how much of it is really their fault? Maybe they're just not into that stuff. Maybe they just got a bad roll of the dice with life and with genetics and the whole ball on top. Sometimes a bad roll the dice is you're genetically gifted. If you're a girl or a guy and you look super pretty and things come easy to you.

Speaker 2:          01:15:29       You never had to read a book or get balls deep into a sport or something like that. And that's, to me, that can be a curse. Yeah, dude, there's a curse to that because then things get easy like you want, you want your daughters, you don't want to be tense. You want, I'm like sevens strong, seven strong seven where like guys like didn't like, there's certain guys types, they still got to educate themselves. You know, like you don't want to blot asses and big titties. You want him to just like, you know, you know what I'm saying? Oh yeah, for sure. You don't want Nikki Minaj is your daughter in that 10 to tens of sprint seven is a ultra marathon. Yeah. To me, seven to have a long day. A seven for many, many, many years. Especially like h and r block go to the gym. They can hang in there, but they gotta work for it.

Speaker 2:          01:16:13       Like you don't want to just give it to them. You know what I'm saying? The problem with some tens that go to eights can't handle it. Even when they're eight they're still hot, but in their mind, but in their mind they're not anymore and they get real freaked. Rosa, no test to Testarossa. It was hot in the eighties so long this, that's when they had the gated shifter. Yes. You drive one down. You're like, what the fuck is going on? Oh, stupid Fred Flintstone could get on until I have to get out and do this now let me one of the worth like $1 million or something just to try and bind one. Yeah. Did you? I wanted one. I'd go on these weird fucking, I almost bought a Delorean the other day. I knew a lady who had an old Ferrari. She bought an old Ferrari in like 2015 she bought like one that was the one from Magnum Pi.

Speaker 2:          01:16:58       Oh, the three 64 is that what it is? I think so. Is this cool little car, but it was always breaking those things. They're just not gonna. It's not, you can't drive across country in that car. No. You don't have somebody who's in driver every year. Yeah, that'd be fun though. I'd like to have a bunch of cars. I would like to have a bunch of cars to half a bunch of Co. Yeah. Don't jump into this company. I'm still hustling. Don't try like, Hey, don't try to the dude. You're fucking Hudson your ass. I'll put you out of all the clothes. I don't have all the cars. You know what I've been getting into man, old plain looking BMW m threes like an e 46 Mre. Wow. All right. I'm down for that. You'd get an eight series. Would that be 12 maybe, but I'm talking about what holds cars.

