Speaker 1:          00:00:03       We're good.

Speaker 3:          00:42:14       That's why I don't like when a lot of the vets attack the, as they call them Instagram comedians or the vine or not vine anymore, but [inaudible] what the fuck? Yeah, they get mad at them because the club will book them and they'll go, well the live shit was trash and it's terrible. And it's true for most of them it's not the greatest performance cause they haven't had the chop shit, but they sold 300 paid tickets and everybody ate and drank. What do you think is keeping the lights on for your 30% selling capacity as

Speaker 2:          00:42:54       to come

Speaker 3:          00:42:54       back in next year and then next year to go from 30% sold to 40% sold. They're not making no money off of you, but if these IgE comedians can come in and at least help keep the lights on, I think in the greater integrator scheme of comedy, there's more good than bad that comes from that. And I also feel like there's, there's a, there's a level of ignoring the tools that they've been able to use to get an audience in lieu of the fact that they don't put new standup on TV anymore and lets it's contest shit. Comedy central just started with the, the lab at the cellar shit. But other than that, I mean it hasn't been a lot.

Speaker 2:          00:43:29       Well no one's even watching TV anymore. I mean, the numbers on regular TV programs are so low now. Like if you're doing a set on Conan, like what is, what did we win over this? Right. Like the numbers are like less than 400,000 people watch it a night.

Speaker 3:          00:43:44       Yeah. That's a lot. That might be live plus three yeah. On top of that, I might not even be just live. They might be live plus DVR over the [inaudible].

Speaker 2:          00:43:50       Yeah. It's crazy. So no one's watching anything anymore. If you can get onto a stage, the way I feel about Instagram comedians or YouTube comedians is if you're doing standup, you're a comic. You might be a shitty comic and you might've be a famous shitty comic because you're famous from vine or whatever the fuck it is, but who's your comic like it's whether or not you decide to become a real comic and actually do the work and put in the time and then one day be, look, I hope that we see these YouTube comics and they're fucking terrible and then you go to see them seven, eight years later and they're murdering their crushing. Great timing, great premises. I'm like, we got one, we got one. We need more. This is a hard gig. Think about what you had to do when you were starting. Think about you traveling around, all those fucking things. Getting on a bus to do open mics. They had an open Mike once a month. That takes a kind of grit and resolve that. Most people don't.

Speaker 3:          00:44:43       This shit is like hazing where the O heads feel like, well they didn't suffer the way I suffer. Therefore your success is invalid. I don't take that cause you didn't do it the way I did it. This is the only way to do it. The game evolves that the points of access, it's like, it's like comedy is like, to me it's like a fucking grocery store and you've been in line, you've been in this checkout line and then a new checkout line opens and then all these fuckers just cruise through that checkout and you're still stuck in the same waiting to get a tonight show set line and the Instagram line opens and people just start whisking through to success and you don't know whether or not to change lines or stay in this one.

Speaker 2:          00:45:23       You build. The beautiful thing about comedy is you don't have to get out of the line. He just opened up a new line, open up an Instagram line, open up a YouTube line. You can do all those,

Speaker 3:          00:45:31       but they ain't been waiting in line as long as me. So why did they get to leave the store? You know you have that jealousy, that little piece of jealousy when someone has not been in line. As long as you leave the grocery store before you, that's comedy now.

Speaker 2:          00:45:42       It is, but it's wasted energy. You can't think about that. You can't, like, you should think about that the same way you think about someone having success in some field that has nothing to do with yours. Like if someone who is a Nobel prize winning scientists like fuck, I could have done that, but you didn't. It's really the same thing. It's just, yeah, it has nothing to do. But some people are like that. Some people see someone with like a startup, some internet startup and it makes $1 billion and they get angry. They get angry because no, go, go fucking do something. Don't worry about what other people are doing. It's a giant waste of your energy.

Speaker 3:          00:46:15       Yo, I read a book, um, rebel without a crew. Think it's um, I think rich Rodriguez, I think his thing is his name. And he was a film maker and he made the, I can't remember the name of the movie, but it was the prequel to what became Desperado. Oh, rather target Rodriguez. Yes. Yeah. And you talked about just shooting that shit gorilla and for essentially pennies less than $10,000 shot a whole last film and walks through how we cut the corners and you think of how to shot paranormal activity for like $55,000 50 or $60,000. The first paranormal activity was dirt cheap. They shot the first saw $4 million in 30 days in one building. Whoa. Every and every scene in the car did just shaken the fucking camera and jump cutting billion dollar franchise getting rebooted now like that. Like when I see shit like that, I don't get jealous. I go, well fuck. I need to go and fucking gorilla some shit together and learn. So that's why I started trying to learn like in video editing, audio editing and all that shit, man.

Speaker 2:          00:47:21       Yeah, no, it was inspiring. I love one, when I walked in the green when I saw you fucking with that software. I love when people are hustling when they're doing things like that. New things. And you're like, you know what? Fuck this final cut pro shit. I'm going to learn Adobe premier. They keep fucking with me. Make me buy a new version every year. [inaudible]

Speaker 3:          00:47:38       yup. Now to be fair, Adobe makes you rent the shit, but I think there's a way to, yeah, does that too now with like Whoa, office whole office suite $80 a year. There's so many credit access to it. Just crux, crux. And then you can't use the old version of office with the new, and if I send you a file that's like office Oh three, you can't open it with the new off like opens as a text file with no form. Like they do it to fuck you

Speaker 2:          00:48:05       barely use office. I use it, I have it, but I write with right room for the most part. Do you know what that is? Is that script software? It's no, it's um, it's a software that turns your whole screen black and then turns the text green and you can't access your browser. You can't do nothing. You just have green software. Have you ever seen it? No. You write down, Oh, ms dos coding type action. Yeah. On, uh, on my windows computer, I use a [inaudible]. I use a program called Scrivener. I do most of my writing on that and there is a distraction free option there. That's what it looks like. That's what it looks like. Matrix. Yes. I write like I'm in the matrix. That's how I write when I'm on my, my Mac because I think they have a version of that that they don't.

Speaker 2:          00:48:47       They have a version of that for windows. I think they do, but I've never really installed it. I just use a, yeah, I need to, yeah. It just says Macco S it doesn't say anything about windows. I heard a story that they wrote the first independence day movie in three days in a hotel room. Make sense? So let's do it. Just focusing in like that type of shit, which has helped me focus. You got a lot of coffee or some Adderall or something like that. You dumb action movie. Three days easy. You can go crazy now. This is a gorilla style shit man is. That's how this podcast gets started. This park, this podcast reaches some stupendous number of people every month and it started out with a laptop in my living room cause I was bored. Me and my friend Brian because uh, I had just gotten back from Colorado and I'm, I was like, yeah, I can't believe I'm back in LA. This is fucking terrible. I'm like, wow, let me do something. And so I just started doing like Q and A's on the like a like a laptop talking to people on Ustream. Yeah.

Speaker 3:          00:49:49       That's the one thing I wish I could have back. I wish I had taken YouTube more seriously. You take it right now though? I do now, but not in 2005 when it first came out to content. Just start rolling out the same thing you were complaining about before. No, I'm just, it's the wish that I had done something. That's what your career is, is that man, if I hadn't done this sooner and done two things, I would've done sooner. I'd taken the internet more seriously and I would have taken some more as advice and not gotten on TV for 10 years. I don't think any, I don't think any comic can do it though. I think it is impossible to be a working comic and stay off of if you stayed off of television for 10, if you started your career and just never did shit, no festivals, just crush, crush, crush, crush. You become fucking legend that by the time you finally decide, you look at college quarterback that just stays in college for years and years and years and never interested the draft. And by the time you do, then everything is stratosphere. But there's too much money is too many offers.

Speaker 4:          00:50:51       Well, you know who did that? Joey D is, Joey Diaz didn't do any standup comedy on TV until like 1520 years in [inaudible]. He was crushing. But Joey also I think is from a different cloth. We are, he wasn't seeking that out either. He was, well, he was seeking it out. They were scared of him. You know, he was talking about eating ass and taking in the muffler and all this chaos and going to the Buffalo tick. Yeah. He talks crazy. But I think I have a different perspective. I think, um, there's a, I have a bunch of old sets for me. When I was living, uh, I was on TV, I was doing comedy like five years, four years. They're terrible. Yeah. But the good thing about it is they exist and it's lets you see like, look, this was in the beginning I was talking terrible. But just keep going. You just keep working at it, keep working on it. You get better. You know, like I'm not under any illusion that I didn't use to suck. I tried to talk about it as much as possible. I was terrible when I first started it. You're okay with that being out there. Don't give a fuck

Speaker 3:          00:51:49       dude. I've been digging in the crates. I've been digitizing a lot of my old VHS shit trying to, you know, just for posterity and going through some of my old fucking TVs. They're all terrible. Like the Letterman set is probably the only thing. The Letterman and Def jam said and Oh six those are the only two that I'd still to this day, I still stamp the sat, those jobs, everything before that premium blend star search. Last comic standing Apollo comic view, all of it. I'm like, Barry, that shit. My biggest fear is becoming famous. Whatever the fuck that is. And then B T just rolling out some sort of, remember when fucking thread. Oh, just you load of black comics. They used to suck 20 years ago and just going, no,

Speaker 4:          00:52:37       but that's who you were. That's, that's part of the process. Yeah. I liked, I liked the process. I don't care. I'm fine with it. The problem is that the gatekeepers that decide stuff, they only want the newest shiny thing. So if they see you too soon, you're new to rescue problem Roy. That's the only problem. You don't need those fucks. You don't need gatekeepers. Internet. The internet has no gatekeepers. You have people that have podcasts that get you on their podcasts. You do your own podcast, you would put out a lot of content. No gatekeepers.

Speaker 3:          00:53:05       I'm with is that, it takes comics discovering it because the problem is a young comic is that you inherit the goals of your predecessors. So as a young comic, especially as a road comment, every road comic is trying to get on TV. So they make you believe TV is where you need to be going. Don't fuck up the YouTube shit. Little n***a tell you right now, you got to get on, goddamn, let them, and you get on Letterman and then you get to show I got on Letterman and is not a knock on Letterman and it's worth as it credit, but the worth of the late night credit in 2006 versus 1996 it's not the same currency. No, there was a deflation in the currency, so it got me more rooms. It got me more money, but there was no Ray Romano fucking here's your career, choose your career, here's your Kevin J like, yeah, it doesn't work like that, but the only, but you're chasing what somebody else wanted and the game is always moving.

Speaker 3:          00:54:00       The school of fish are always, so you have to be ahead of that curve and it's just didn't listen to the instincts. Yeah. It's hard to see where it's going though. If the people from your PR, your predecessors, the the guys who were successful and you were coming up where they were headlining and you were middling for them, that that was the goal. The goal was the tonight show. The goal was yet, but I don't think is that hard to see the future. Not necessarily see the future, but see the trends of where people, what people are paying attention to. I'm quicker to read fast company than I am a variety or Hollywood reporter because we're tech goes, that's where people going. But people go, they want to laugh. So you figure out a way with that to integrate laughter into whatever the new tech or the new hat, like this tick-tock, shit, whatever this, this, that that is, I've seen it but I don't know what it is.

Speaker 3:          00:54:45       A better fucking figure it out. Cause that's the next one. Is it then? That's the one you brought up to you. We should, maybe we should do a ticktock account. I don't know that you'll like it. It's music. It's musical vine in a way. Like it's, it's music sketches, but it's still funny. It's entertaining. So Thompson girl does it like all the time he's into it. That's okay. He's like ironically doing it. But yeah, but he does some fun shit. He does some funny shit. It's self aware that he's a guy that shouldn't be on tick-tock. So his existence on tick tock is what makes it funny and makes it, he knows how to do that shit, but he's ahead of me. He's a hit. He's ahead of that curve. So the other thing that then compounded gas like me from my generation is that Dane cook was one of the first that was like, all right, fuck TV, what's over here? And so many people shitted on Dane. Out of jealousy that you ignored the fact that his mass space move was some fucking Bosch shit. It was. It was huge. It was huge for everybody. I remember I read people magazine, there was an article about how he had like 200,000 or 300,000 MySpace friends.

Speaker 3:          00:55:51       That's crazy. I remember thinking that is crazy. How does he have so many friends? Yeah. But he was using that and talking to people online constantly and rather look at him and see how he did it. You stand in your checkout lane and go fuck him. He got out of the store before me. Um, well I, I shifted and I started promoting on it. I didn't, I'm just saying a lot of comics like me just didn't you lean on what you're told because you look at older comics as mentors instead of realizing that maybe they don't have this shit figured out either and you should be trusting your instincts. He was the first guy, right? He was the first to really make it through the internet on the digital side. Yeah, 100% yeah, I'd say that. I can't think of anybody performed cause I can't think of anything before that other than Yahoo chat rooms. No, he was the first guy. He was the first guy on the first guy for sure. That became famous from my space. My space was like the first platform of that social network and shit. His album sold like 2 million copies or something crazy like retaliation. Oh my God.

Speaker 2:          00:56:48       That's why if you stop and think about how nuts that is today, like today, a big artists like if M and M puts out an album, how many does he sell?

Speaker 3:          00:56:57       I'd say 401st week. Maybe three to 401st. Well, let's give it a year. Depending on what week you release right now, you could be number one with like 30 [inaudible]

Speaker 2:          00:57:08       thousand sales. Whoa. Yeah. 40 50,000 sales boy. They just gutted that record business, didn't they? That is crazy. What happened with the internet? The internet took out porn and took out music by the knees. I used to have a fucking neighbor. He lived right down the street like two houses down from me. This crazy porn dude. I used to do jujitsu with them too. It's all steroid up and maniac wild eyes too. It was just crazy. Just Coke. Yes, Coke and steroids and he was just fucking up a storm. Constantly pulling. It was like past his house and he's always had these fat Mercedes parked in his driveway and [inaudible] hot girls in their underwear walking around was hilarious. Let's do as a maniac. But then they, the internet came around the internet just gutted his business, just gut it and they repossessed his house. I'll never forget man, his fucking house got repossessed and I remember seeing it in the, like the real estate section. I was like, fuck man, dude lost his house. He was, he had a fat fucking Rolex with diamonds all over it.

Speaker 3:          00:58:09       Pouring got really fucked over. But you and you want to talk about the people selecting what they want to see. That's what's, what's a bigger focus group than people who want to fucking Jack off and they've decided I would rather see somebody in the hood in their house with no lighting and just terrible fucking camera work. And that's as interesting what it was. It is that porn became free and they just used ad clicks and they would just pirate everyone's porn. Say if you were a porn producer and you were making a bunch of porn, they would just take your point and put it on like whatever website and then you would have to get a lawyer to try to take it down. Yeah, it was like some lime wire to the 80th pallor. It was like way worse than the entire business. But you don't think the free side or like the amateur porn? Oh yes. Part of it too. I mean that's a bigger now, but in the beginning, yes, it was just pouring clips, getting shopped up and nobody paying a $40 for a five hour DVD. You know what I notice? Not that know. I was doing research recently. You know what I noticed? There's a lot of like stepmother porn. It's a lot of like a step mom, horny step-mom porn or step-sister [inaudible]. It's all like taboo stuff. It's all was also a lot of getting caught porn. Yes, yes, yes, yes. Yeah. Like the, the wife walks

Speaker 2:          00:59:22       in, you're in the middle of get your Dick.

Speaker 3:          00:59:23       Yeah. And it cuts right there when she walks in. Yeah. Yeah. There's a lot of that. I did a, we did a story on racism in porn for daily show. And so we were shooting up in Chatsworth for whatever. And what I did, and I learned so much about the porn industry in that I didn't know that, like they would just have a fuck house where it's like an eight bedroom house and every bedroom is, it's individual studio set up for whatever genre of porn. It was like at least five different genres of porn being shot in that house. And we're out in the, and, and I, and mind you, I still have this image that if you're a porn star and you're working with a porn studio, there's some Brit, there's got to be little bit of money. And one of the, um, porn stars was, is it actress?

Speaker 3:          01:00:09       What's the fucking word now? Porn actress. Yeah. So one of the actresses, her car is blocking someone. So I'd go out, just give me a keys, I'll move your car in this car. I had to be the most at the sad is fucking like to the point where I'm like, if this is what fucking on camera gets you, there's gotta be something else out there and you want to talk about people that need to see where the curve is. I think if you're a woman and you're cool but doing porn, you're probably better off just doing it on some self-starting shit than even dealing with any of these LA crooks in the first place.

Speaker 2:          01:00:41       Yeah. If you could figure out a way to get an audience, I know there's a lot of dudes who, uh, they, they run these companies that girls use where they just, uh, people pay to see their videos. Like, like someone will ask you like, uh, like if you're a, a porn actress, they'll say, Hey, I want you to use this dildo and cover your tits whip cream and I'll give you 150 bucks. And then,

Speaker 3:          01:01:04       Oh, some live stream private Skype protection.

Speaker 2:          01:01:07       Yeah. They make their money doing that and they'll do that like all day long and rake in thousands of dollars.

Speaker 3:          01:01:12       Yeah. Just like the food videos where you sit but neck and eat some food and you go on like a virtual date with the person. Yeah, I think its butt naked foodie sometimes naked. Sometimes not. And like you haven't seen a lot of that in Asia. Yeah. A woman's just looking straight at the camera. So anyway, today I remember I'm young, I'm talked to her. That's up to you. Back to her. It's sometimes it's just a straight video and you don't get to interact with it because there's multiple people watching the feet concurrently or if you want to pay a little extra. Yeah. One-on-one. I will sit here and pretend to be on a date with you and we can just, and it's just, that's more feeding loneliness and some sort of erotic desire, but there's not a lot of money in it. No Khalifa was talking about this shit a couple of weeks ago.

Speaker 3:          01:01:55       What was she doing? She says she only got like 12 K for the year. She only did porn for like a week, right? Didn't, she deals like a year or something like that, but whatever it was, it should've been more than 12 K so let's all she deserves. What I'm saying is I didn't see the points. I don't know whether or not it should have been 12 ketchup. She put in a solid effort. Less kidding. If you're someone that wants to do porn, you are coming off better just setting up your webcam. Like Joe Rogan day one podcast, you and Brian would have a laptop and a microphone and just turn into a web cam on and just doing whatever the fuck you want to do with yourself. Then dealing with the industry and the record industry is becoming similar to that too.

Speaker 4:          01:02:37       I think so too. But I think that it's hard for them to find an audience that way. There's so much porn. Like I got a joke I was doing for awhile about why are they making new porn? Like who is jerked off to all of it. Yeah. There's no way anyone has seen it all, but yet they keep making new porn. It's like, it's crazy. Like there no demand. Like there's, there's no demand for new stuff. There's plenty. Like you would have to be some kind of crazy creep to the scene. Every porn that I've ever is ever existed, but it's no different than MMA. This people innovate, people innovate and in porn back flipping and POV in the same areas, breaking their necks. Yeah. It's the, I think the, the cam thing is the big thing. Girls fuck on camera. You know, they'll, they'll have the boyfriend come over and they'll fuck them and suck his Dick on camera and you pay to watch. And I think that's, that's the big thing. And they do private shows and like the guy could tell, you know, you could tell the girl, Hey, I want you to do this to him. And they'll do it on camera. You notice training.

Speaker 3:          01:03:37       You know the funniest shit though. So Steve burn and I, um, we were in Pittsburgh and three things lead to another and we ended up at a strip club and it's a weekend. And so apparently I didn't know this, but porn stars tour strip clubs and they'll go to a strip club on the weekend and dance and sale, whatever pocket pussy or whatever vagina mole they have and all of the strippers fucking, you know like some of the shippers a cool cause. Oh they bring more people into the club. But for the most part the man are saving that tip money to tip the porn star that they came to see. So it's like being a seasoned comic and then the Instagram comment comes in who's never stripped before. Like yeah you fuck on camera but it's not stripping what I do as an art. What you do is slightly behaved cause you not like there's like a beef between like strippers and prostitutes.

Speaker 3:          01:04:36       Cause like some strip is a second fucking in the back of the club and it fucks up money for the rest of the strippers that are, that are playing the game straight up. Right. So it was this weird tension in the strip club bow. The porn star was on stage and I could not stop laughing because it was comedy. And that's part of why like stripping to me is performative. It's in a weird way, it's comedy and strip and it's damaged people, entertaining strangers. So there's more of a synergy. So I don't really get anything out of watching the stripper cause in the back of my head, I know you're thinking about groceries and some other shit, but it was hilarious as a comic to watch two different, same different types of before. It's like the magician versus the standup versus the juggler and how they all kind of don't really like one another for one reason or another because they all think what they do is superlative to the other gas craft. And it was, it was God damn it was fucking hell there.

Speaker 2:          01:05:34       That is an inside scene that only strippers can really appreciate what you're talking about. You know what I mean? Yeah. Like for them, they're like, yes, those bitches real than it coming over here. Bunch of fucking whores.

Speaker 3:          01:05:47       There's, um, there's a couple of strip clubs that I used to go to and Birmingham where like, you know, the club would close it too and the police would leave. And then at three the club, it reopened and then it was open season and is whatever you want to do. And then you would see strippers in the parking lot yelling at the other strippers who were choosing to stay for the 3:00 AM session saying that y'all are messing it up. And that's why nobody comes before two is because of what you're doing. And so it's just a,

Speaker 2:          01:06:16       so at three it became like a brothel. Yeah. Wow. Yeah. That's insane. Isn't it hilarious that you could fuck anybody you want for free and there's not a law about it. But as soon as money gets exchanged, you're a criminal and everybody's mad at you. If you're just a slut, no one. But if you want to fuck people from money, that becomes a real problem for people because people desire sex so much and there's so many guys that can not get laid, but they've got some money and if they find out they can pay for it, like people are like, no, you can't. You can't pay for it. You could pay for everything. Everything that's legal. Everything else that's legal you could pay for except sex. You could pay to have someone cook for you. You could pay to have someone rub your back. You could pay to have someone cut your hair.

Speaker 2:          01:07:01       You could pay to have someone mow your lawn. You could pay to have someone take out your trash. You could pay to have someone clean your house. All things you don't want to do. You can't pay for someone to suck your Dick. You can't that someone could do it for free. If they like you, there's no problems. It's very strange or an exchange for college tuition. You can't even do that if you made like a deal, like you suck my Dick and I'll give you a house. People go, Hey, you can't do that. That's prostitution. Very strange, right? I mean, think about all the things we do that we don't want to do, but we do it for money. Everything's fine. There's no issue. Even think like, you know, I grew up doing terrible construction jobs. I'd never wanna do you know, it might be better suck dudes did for 1000 bucks then don't look Lee drywall fucking carry cement bags all day for $400 for a whole week.

Speaker 3:          01:07:51       At least she got that. I used to work day jobs. I used to work day labor when I was on the road as an MC so I can make more money like in the one advantage to South hat was that the comedy clubs back then were like five, six day runs. So during the day Columbia runs, um, comedy house theater in Columbia. South Carolina used to be a six night room and it was Tuesday through Sunday. So I would get to town Monday and Tuesday morning I would go to a day labor spot, get a job assignment and work the whole week, nine to five and then at night go do my little MC bullshit. Kids need to hear this kid's coming out. They need to hear this. That's important. You got it. That's real hustling, dude, why am I going to sit here in a hotel all day and do nothing when I could go make a quick like in minimum wage was like five and a quarter.

Speaker 3:          01:08:40       It's like you, you're only making 40 bucks. But that was extra money. Like I counted on that little extra money and we used to work summit fucking, Oh my God. There's a quick Creek factory in Columbia, South Carolina, and I've worked there. I worked there two weeks at a time. Anytime I played the comedy club, I worked at the quick Creek factory. Wow. So did you have to call them up or did you, how do you show up? You show up at six in the morning with your, with your drivers license and you sign up and then you sit in a lobby and you watch the morning news until your name is called and then they give you your job assignment. Wow. And so you bring boots, you bring a hard hat cause you don't know what you're going to get. You might get something with a keyboard, you might just be outside holding the stop slow fucking stop stick while they pave a road.

Speaker 3:          01:09:23       And that's your gig for eight hours. Wow. You just stand in the fucking Carolina heat and just fucking five 25 an hour. I love stories like this dude, that was my first 10 years was just working day labor weird jobs to make extra money. Um, and if it, if the gig was under five hours, I would drive back home. Like I wouldn't even stay so that I could go, at the time I was still working morning radio. So if it was within five hours, I would do morning radio, get off the air at 10, be on the road by 11 five hours nap. Do the show, get back in my car at 10:00 PM five hours back to Birmingham, sleep at the station, wake up at six wash, rinse, repeat. Or I can't lose the radio gig because that's too, that was too much of a good get right.

Speaker 3:          01:10:11       And I was doing prank calls and I was using the prank calls. I was taking my prank calls at the time and sending them to other morning shows. This is website radio online, which kind of breaks down. It's almost like billboard, it's all, it's almost like Nielsen or some shit, but for radio. And so I would go there and I would look for other local morning shows that weren't syndicated in cities where I wasn't performing. And so I would send my print calls for free to these morning shows and go, look, I'm a comic. Here's some free print calls we do in Birmingham. They're not going anywhere else. You want to M an Omaha? The guy says, yes, he's not. He doesn't have shit else to play on the air. So I was in the prank calls, the guy that played a prank calls for a couple of weeks, a couple months, and then I would call the local comedy club and go, Hey, I want to feature in your room. I'm on the radio and I know I can get on there and had, and this is when the belief that that radio still could bring people to the show. So I would call local comedy clubs in cities where my print calls with Aaron and use that as leverage to get booked as a feature instead of a MC. And so that's how I was able to kind of jump a level because I was a feature that was coming in town with the pre plugged in media access and all of that shit.

Speaker 4:          01:11:28       Dude, you're a hustler, you're a real hustler. I love hearing shit like that. I really do. I love hearing the driving part. I love hearing that getting the day job part. Kids need to hear this. All you fucking kids listening to this right now to think if you wanted a job in show business, this is what comes with it. And that's why you're so good, man. That that hustler mentality, that's so important. That's so important.

Speaker 3:          01:11:53       You just network, you find people that you can that are as driven as you and then you just figured out ways to work together and do shit. But comedy is so, so many motherfuckers are lying bro. They're lying. How so? And you lie, you get the leverage and like it's like, so the way I got hired on radio, so at the time the thought was that this is 2001 I'm out of college and if I can get on the radio then that'll give me more access in the city and I can host my own comedy night by hosting my own comedy night. I can offer money to out of towners who also have comedy nights and do swap out. So I needed to get the, the radio gig. So at the time they were doing some sort of contest or some shit and who's the funniest in Birmingham or some shit. And I missed the window for the contest. And so I knew the long story. Long story short is that I go to the radio station. I asked the guy at the time, buck, while whose house a 95, seven not the same storm. Lot of different Buffalo,

Speaker 4:          01:13:00       any buck Wild's okay, perfect. Say Oh different Buckwild. Okay.

Speaker 3:          01:13:06       So I said, Hey man, I'm a comic. I have a degree in journalism. It's a perfect fit. Fuck with me. And he goes, nah, we're done with that. We're not going to have a comic. I go, okay, cool. Now I've done enough of the comedy club and Birmingham to know that on black weekends, the black radio station hosts the black comedy night on Fridays and they throw out tee shirts and all that shit. So I'd go to the comedy club and I told Bruce air, as I said, Hey, I just got hired at 95, seven. Um, and they want me to open for doc ugly this weekend. And he goes, okay, that's fine. I'll go back to 95, seven. I go, yo, I know you don't want to fuck with me, but I'm opening for Dio this weekend. Do me a favor, watch my set if I'm funny. Put me on Monday morning. He goes, you gotta deal. So I get to the comedy club that Friday and all I have to do is keep buck wound Bruce heirs apart.

Speaker 4:          01:13:59       Okay,

Speaker 3:          01:13:59       so that neither one knows what the fucking lie was and Bruce came backstage and you just, if as long as you act like you belong and you act like the truth is the truth, people will kind of merge in with that shit and Bruce gamer and goes okay buck while you go out and throw the tee shirts and then you bring up Roy and I went out and it was seven minutes but I fucking crushed like just when you need that one set to go right. And every syllable, every fucking karma is perfect and I demolished in front of DL ugly and I walk off stage and book wows is see you Monday morning and that's how I got radio. It's just what were you going to do? Not fucking book me. I'm already not really working the comedy club. I'm already not hired by you. What is the penalty for this lie? Is this lie? Will this lie send me to jail? No, can lie. It's a hustle lie. Yeah. I'm not saying load your resume with 50 different credits that you don't have, but if you've performed somewhere else outside of where you're from, you have performed across the country. Yeah.

Speaker 2:          01:15:07       What you basically did is like the comedy version of a subprime mortgage loan. You're like he sold the house to someone who really shouldn't be buying that house, but it worked out and he kept the house. Yeah. That's amazing

Speaker 3:          01:15:19       man. I just, I came up man, cause you know I got arrested when I was, when I was 19 so for the credit card fraud we were still in credit cards and college and like buying jeans and all of that shit. So my first two years of standup I was on probation. So when you have that, I could have gone to jail or this shit could be a lot worse. Living in the back of your mind forever hustling like, I don't know, people got the hustle. I'm just like, no, this is, I have no choice. I have to fucking do.

Speaker 2:          01:15:49       I knew a dude who was one of the original credit card fraudsters. His name was international Sal international style. Yeah, yeah, yeah man. He was a dude who used to come to this pool hall I was at and international Sal was like, uh, he was a real nice guy, but he was a famous loser at gambling and that would, he would make millions of dollars on credit card fraud. He had, they had an organized crime empire and this what they would do back in the day, you remember they had this transparency like they would run your card, they'll put it on a machine and go, chill, shoot, shoot. Yeah. Carbon, carbon Heartland. They would take those carbons, people who worked in these department stores would take the carbons and sell them to him. He would take those carbons, make a totally new credit card out of that car with some sort of machine, and then they would distribute them to these guys.

Speaker 2:          01:16:38       They would buy goods with this stuff and then they would sell the goods and then guys would come to him in the pool hall with paper bags filled with cash. And all he wanted to do was gamble on pool and he could never win. And when I'm telling you never, when that guy was playing with dirty money and he knew it, his head was fucked up. He would be staring that nine ball would be in the hole and he would be like a foot away from it and you see his hand shaking and you're just changes. Just fuck it up and hit the rail. It bounce it off. And people would go, no, he his tick,

Speaker 4:          01:17:09       I can't fucking believe he missed an international Sao. Could never win. He could never win. But he was one of the original dudes. Did you find something from him? Something very weird just happened. What happened? So I'm typing, I'm typing international Sao, right. And I hit space bar and two things come up. Credit card thief and pool player. But when I click the search for that, nothing shows up. Huh? Like for instance, credit card thief and it just brings up a bunch of other stuff about credit card thieves and other people. Honestly, it might be because us, I've not, I'd never looked her up before, but the search might exist because of us because I know other international Sal before and him being a credit card, these people fled. My friends. Mom was actually taking care of him when he was in hospice. He was, he had cancer. He died of rectal cancer.

Speaker 3:          01:18:02       God damn Sal. Yeah, it was bad. It was bad. Tara. No, no, no. Salbi terrorists. A famous pool player. This international style was not a famous Salbi terrible international South couldn't win, but he was one of the original credit card fraudsters. He went to jail for quite a long time with and then got out and was doing the same goddamn thing again. What's crazy though is that when you get arrested, especially for like some white collar shit like that, like what they don't tell you about getting arrested is that the first thing they do is try to pin other unsolved shit on you. So before you even like get a mugshot or anything, you just go sit in a room and they go, here are all the mugshots of other people. We are looking at for similar crimes. Do you know any of these motherfuckers?

Speaker 3:          01:18:44       Then you get a handwriting sample and then a as in like there's, and that's when you find out like, Oh I was just a petty fucking teenager that just took her credit card to get some jeans and then you start realizing like, Oh there's an entire fucking syndicate of shit happening in this city that I didn't know anything about. They're trying to fucking pin on me. And that's when the fear set in. Cause like in your hair you're like all right, well I know I probably won't go to jail. I hope I don't go to jail. Oh shit. I might go to fucking jail for some shit he didn't do. Oh they don't care. They do not go. And that's when sided, you're already a criminal. And that's when I got into comedy. Ooh. That was the fucking depression. Like that was the fucking moment like Oh shit.

Speaker 3:          01:19:24       Well Joey Diaz went to jail for armed kidnapping. That's how he got into comedy. He robbed the dude over some Coke with a machine gun, taped him to a chair and shit. And then when he was in jail, he learned how to do stand up. That is the best cold open to a biopic. When Joey Diaz gets this biopic, it has to start with duct tape on somebody. The duty kid now he took pictures together, didn't he put it up on his Instagram? He took pictures with the guy who kidnapped. He's like 31 years ago. I kid, not this cocksucker our friends. That's the beautiful thing. No man is the redemption and being able to make a mistake and get back in the mix. Well, some of the greatest discipline people good went to jail because they were like Bernard Hopkins, one of my all time favorite.

Speaker 2:          01:20:08       He's one of the greatest middleweight champions of all time. And Bernard Hopkins spent like six years in jail for armed robbery and he learned how to be disciplined when he was in jail and when he got out of jail, he not, not only did he have like a drive that other people probably couldn't comprehend, but he knew what would happen if it went bad again. He knew what would happen if he slid back down that road again and apparently like legs, a corrections officer to said when he was getting out, you'll be right back in here. And he was like, fuck, I will be the fuck I will be. And turned out to be one of the greatest boxers of all time. There he is. Joey's with the guy. 32 years ago I made a mistake. So what? It's not where you start. [inaudible] showed up to my show 32 years ago. I made a mistake so wide. His dad's way of finish. That is crazy.

