Speaker 1:          00:00:03       Three,

Speaker 2:          00:38:58       Really? Yeah. Okay. Um, there was a real thing. It was in the news about this many, many years ago. Anyway, the idea was they were going to take dna from the shroud of Turin and they were going to recreate Jesus. They were going to clone Jesus. But I, one of my job was like, and this is a real thing, like they really think, I'm not sure it might've been a parody, you know, there's a lot of those. The sneak through. By the way, Rachel maddow got busted on a parody the other day. She was a reading a parody. This Christian, it's a fake website. And she was reading it as if it was news that Palin's supporters really believe that, you know, we have to inject Christianity into North Africa. And it's really funny. And some of my bid was, you know, like Dolly the sheep, you know, when they cloned Dolly the sheep, that Shit didn't come out perfect.

Speaker 2:          00:39:41       Like cloning is not an exact science. Like what if they, what do they do with the first Jesus if the clone, when it comes out retarded, do you kill them and start from scratch or do you just, you know. And so this whole bit about it. And when I did it at the comedy store, someone was yelling out fat white woman with blonde hair and fat blond fingers, just that, you know, I'm a Christian next subject. Like she was so firm and her wonky beliefs that she wanted a styling. Just theoretical idea. I mean it's not a real Jesus we're talking about this is a. and it's a real legit question. If they really do clone Jesus, that's a God legit question. Like what if they found Jesus's bones and there was some DNA inside of it and they could extract it. They knew for sure it was de Jesus.

Speaker 2:          00:40:27       They knew it was his DNA. Well, that's a real legit question. What if he does come back retarded because he could come back all fucked up. There could be all sorts of. He could be autistic and psychopath could be black as fuck with you. What if he was my, I think it was black. Yeah. Because you can't start off white and then go put there. Well, there's a lot of evidence that Jesus wasn't even real. It was a lot of evidence that there was no Jesus started mythologized and that this same mythology repeats itself over and over and over again. So Jesus, even as a historical figures in question, you know, there's like, there's like, you know, volumes of, of pages written about certain Caesar's and certain, you know, rulers of, uh, of, of Greece and Rome. And so the, the stuff that's on Jesus's, so it's really hard to tell whether it's real well and also all those biblical fucking, you know, like everything from all the matthew, mark, Luke and John. There was like, there was the bulk of q two, you know, but that there's a, there was a fifth book of the Gospels. Apparently that was luke based. His book on, I'm not completely accurate and all this stuff, but if you start reading about it, you'll find out that like all four of them didn't live at the same time, so some of them base their account

Speaker 5:          00:41:34       on the other ones because they'll say it's like identical of the other one. So it's like they just heard a story. Yeah, and just rewrote it, which could have happened from the beginning and then there was also like the council of nicea where these guys went in and decided the bishops all went, okay, well we've got all these books. We're going to throw out these ones. We don't like these. We're going to keep the. They just rewrote history the way they wanted it. So I mean it's like shit like that on there for you. If you find out about the New Testament, that's where things get really weird because constantine and a bunch of bishops create that New Testament. That's the know what you're talking about. Something that was way after Jesus's death. You know, if Jesus was a real figure, the whole thing is fucking squirrely.

Speaker 5:          00:42:11       You know, the historical account just mean not even saying the religious accompany historical accounts various quarterly. I don't know about it. Like Dolly being retarded. I've often wondered like, you know, when like a dog bite someone, everybody's like, oh, he's a bad dog or whatever. I'm like, you see people all the time, like people with down syndrome. Are there like down syndrome dogs? Yes. I'm going through minds where your fucking dogs retire. Yeah. It's totally retarded dogs. Just really, really overbred you know, you have uh, uh, one of those little dogs. What's it called again? A Pekinese. Yeah, those dogs, man. Guess what? That came from a wolf. Yeah. There's no way you get a good example if that is what you get from a wolf. I think my dog might be part wolf. Really? Yeah. It's, she's, she's a, she's an ozzy cattle dog and cheese.

Speaker 5:          00:43:02       I grew up with Jack Russell terriers. You ever see those little short locking the assholes? And they, uh, the really aggressive because they used to kill rats. Fucking solo aggressed send them after we lived out in the woods and these things would do one of them. One of them went down a A. I couldn't find him. One night I find them down a sewer under the road and there's A. I'm looking down the sewer grate. I see them and there's a pipe way down underneath it runs out to a creek and I'm like, fuck. He ran up the pipe and he's under the sewer. There's no way for me to get him. I looked down, he's got a raccoon cornered. Oh my God. And I'm like, fuck, he's dead. He's dead, this raccoon and she's going to an all and I'm just going, come on, like try to coach them out the.

Speaker 5:          00:43:37       And I'm screaming, screaming, and all of a sudden I hear and it goes and I'm like, fuck, my dog's dead. My Dog's dead. And I'm shining a flashlight and I don't see anything. Next thing I know my Jack Russell drags the raccoon out of the pipe on Jack Russell killed a raccoon cut to about a year ago. I, my dog's leash lists all the time. People you can call me an asshole, but I don't believe in putting a dog on a leash. And my dogs well behaved and she's amazing. I saw the dogs won't be hey, as long as you really know the dog as well behaved. Just when people walk around with like pitbulls without just. Yeah, my dogs. Amazing. And so the way I used to do that, like a retard when I, when I, when I get close to home, I'll go, go, go home and she'll run like 200 meters up the road. So I one I'd see this cat and she chased, she never would hurt a cat but you'll play with them. So I go, go, go. There's a cat. You told him to chase the kid and she just plays with the cat. And uh, so she goes running up the road

Speaker 4:          00:44:32       and all of a sudden I hear her go ma and I'm like, oh fuck, she's, you know, she's now fighting with a cat and she's never fought before. And I come around the corner. It's not a cat, it's a fucking raccoon. And I'm like, fuck. And the cat takes or the raccoon takes off. So you totally chase after a raccoon thinking it was a cat. And how did you mistake the, it was so far away. It was like 200 yards away. So I wake up the next day and they see my dog sitting there and the eyes are crusted shut. And I'm like, what the fuck? So I take her to the vets and uh, the record scratch both their corneas. Yeah. Oh God. And he said, the vet said these things will rip your dog apart. They, they will fucking junkie texting and tweeting while he's trying to have some convoluted conversation.

Speaker 4:          00:45:24       They said they'll rip your dog apart. And I said, well, what about the rabies? And he said that rabies aren't bad in California, but uh, it's not bad. But the rackets fucking fucking scary man recommended. There was when I lived in new Rochelle, New York, I had a big one in my neighborhood. He used to fuck up trash cans. He was gigantic. I mean, it was like a dog. I couldn't believe how big he was. And I, I got a blow gun just so I can try to kill him. And I was terrified. I opened the door, it was a small, I had a small little yard and I would open the door and he would literally be fucking 10 feet from me. I panic and slam the door. I'm like, get out of here, bitch.

Speaker 9:          00:45:55       My, my old dog Cabo at one site level, Islam out the backyard and just to go to the bathroom and I'd let them out and instead of going around like, oh, what's going on? So I go outside and it's two skunks, like corner did my little backyard and the dogs about to attack them. And I'm just thinking I don't want to get sprayed and want the dog to get sprayed. Takes forever to clean. My dog got sprayed when I was a little kid. It's the worst. It takes forever.

Speaker 4:          00:46:21       You use tomato juice. Apparently there's an enzyme and tomatoes that helps break it down, but not much tomato and it doesn't work. You got to keep doing it over and over and over again. The stuck for weeks. Have you ever heard the Billy Burger bit about raccoons? Was the raccoon and the little hand stealing the cat. The youtube video. It's the hardest I've ever laughed at a joke in my life. I don't think I met a Mustang. I saw him at the Improv one night. It was recently, so it's probably like in his new set, but it's billy shelly, you know, angry billy gets. He's still angry watching this youtube video where a raccoon keeps stealing like cat food, like it comes over and keep stealing the food from the cat or from the dog or something and he keeps going. This little fucking raccoon hands and tears were coming out of my eyes.

Speaker 4:          00:47:03       I was laughing. I've never laughed that hard at a comic store. Check it out because he's so angry about the little hands and he's like, I'm the fucking little mask on this room. It's pretty crazy that all. And all dogs came from wolves. Yeah. You know when they figured out that genetic lineage of dogs, they expected to be a bunch of wild candidates in there. A bunch of different kinds of canines. Nope. Wolves. All. Originally it was a wolf or what about a Dingo? It's a different kind of dog and welcoming. It's a candidate. A wild. Okay. I know if there's specific ones, that Dingo doesn't come from a wolf, does it? I don't know. That's a good question. It's an Australian thing. Yeah. The dingoes eat babies Australia. My dog looks like a Dingo. Do Kangaroos kill people? There was a recycling of discussion one time I got out of a car and uh, I thought it was a fucking, like, we're driving through this neighborhood.

Speaker 4:          00:47:48       I don't know why we're in this neighborhood. Simple yes or no hair. I don't know, but I've heard stories that yes, because when we went to the zoo in Australia, they told us the big ones, the big. There's big Kangaroos. I forget which kinds of the big ones. What are the red ones? The gray ones. The big ones. Kill people. And they have a bunch of times. They said you have to be very careful if you approach them in the wild. This thing I read the other day, it said like a hundred people die a year from it. And then this other website, it's like a, there's been a few known attacks in the history of, you know, yeah. There was one woman recently, her dogs were killed. The most recent attack that I could find online. And this kangaroo drowned her dogs. That's pretty high.

Speaker 4:          00:48:26       Fuck gangster IRA's grout. Drown your dog. I saw the biggest fucking kangaroo and I thought it was a statue in these people's yard. And I was like, fuck, who has this giant kangaroo statue? I mean like 10 foot tall white. Looked like it was. No, once they get to be like seven feet tall, as tall as your ceiling and come off, I swear to God. And I got out of the car. So this is like a 10 foot ceiling. How many feet? Ten feet. I was, uh, two other comics and I see this thing over by these garbage cans. I'm like, Holy Shit. Look at this fucking thing. And I start walking towards it and this comic named Tommy Johnson goes, get out, fuck back in the car, make fucking get in the fucking car. And I'm like, what? And I'm walking towards it. And all of a sudden I see it move and now he's like, Hey, don't fucking dishes made it.

Speaker 4:          00:49:10       I'll fucking gun. Wow. That's what they claim. I think it's like an urban myth that they just fucking rip your stomach. Oh No, no. It's not an urban myth. People definitely have been attacked in that manner. They just got punched in the red. The red kangaroo is the big one. I'm just trying to find out how that would fucking freak me out if I saw a kangaroo that big. Yeah, no shit. I don't think they're that big though. I think you were afraid they were that big. I love to try to like ride around in your ceiling. I didn't think it was 10. I thought it was about seven. I'd say seven, seven feet tall. This fucking thing. Yeah, that's what they told us when we went to the zoo and in Australia it was fucking. Oh, okay. Here we go. They can go to eight feet tall and weighed 200 pounds.

Speaker 4:          00:49:51       Wow. Holy Shit. Why ever seen those videos? Week leaking feet. Fucking tall. Terrified. That's insane. I've seen herds of them down and Donna's is amazing. You ever seen those videos of the kangaroos fighting on like the golf courses in Australia? Yeah. That's where you see them on the golf course. It's not the red kangaroo with a gray kangaroos. A big one, right? Isn't that the Big One? I don't know if you ever see guys fight them. The eastern gray, the boxing love Jesus Christ did know the red kangaroo does grow to nine feet. Fucking tall. Holy Shit, dude. It doesn't weigh as much as the gray, but the red grows to nine fucking food. It the scariest thing because I got. I got, I got from here to the curtain. I was 10 feet away from it. Fuck that. And I was walking to it because I swear to God it looked like a statue and all of a sudden moved to town and I went, oh my God, that's fucking alive and Holy Shit.

Speaker 4:          00:50:42       That is so big yet. And this comic was just start yelling out the gas fuck in the car. Whoa man. Wow. Yeah. That's scary thing. And they apparently, while people are content to them, I'm sure that's probably why people hate them. They think they're rodents. Will they kind of are? Yeah. I mean they, they're kind of girls. I think they're kind of cooldowns girls must feel so fortunate that are not rats. All they needed was just a fluffy tail and groovy and no plague will just eat nuts. You don't have to eat garbage. Okay, cool. Cool. Have you seen the viral video yet? Or the rat that goes up the guy's face? What? Oh yes. On the subway. You get everybody to tell me about New York City. Rents are fucking terrifying. I remember when I lived in New York, I think I've told this story, but I'll tell it again for this.

Speaker 4:          00:51:24       I was at a gas station once and I went to use up sofa a payphone. This is how old this story is. You know, there was no, I didn't have a cell phone, so I stepped away from my car. Well, my car is pumping gas and I go to the payphone and I'm on the payphone and while I'm on the payphone I'm watching rats, big ones like cats jumped in the wheel housing of my car, climb on the tires, climbed down, and I am your car. Yes, I'm fucking 15 feet away. I stepped over to use the payphone and as I'm standing there on the phone, I've watched these rats and they keep going down this opening in the manhole. There must have been thousands of them down there the way they were coming up so quickly and in, in, in, in such rapid succession.

Speaker 4:          00:52:02       One after the other, one after the other, and then down one after the other one. I'm like, there's just a train of them down there. And I went and reported my car stolen. So scary dude. More rats than people in the air. Like for. I think it's for rats for every person. Oh my God. I was walking down macdougal street one time hump from the seller one night and I'm just walking through it and then you know, people with their garbage out in the street for the garbage men to pick them up. I'm going between garbage and a building and all of a sudden a rat just will runs out from the garbage and uses. My foot is like a hurdle. Little feet touched my foot and it was the most I've ever been like a woman in my life. I started like jumping up and down like screaming because it's like, it's like that fucking like adrenaline rush goes and you can't fight.

Speaker 4:          00:52:46       You're just like, ah, what the fuck. It was as big as you were. Such pussies were such pussies compared to animals were so soft and mushy and fleshy. I think it's the the filth though of the rats. That's just the film. They're furious. They're fucking army as much as the filth of those. They you feel like they carry hepatitis and aids and the black plague isn't that connected to rants is not all my rent's not a bunch of plagues had been about ransom. They're horrible carriers of diseases. Who is it? Jim Norton and uh, I think as Jim Norton and rich Vos used to go to this one park in New York and sit there and watch

Speaker 2:          00:53:25       the rats and they said you'd see like thousands of these racks. There's so many of them. Manhattan, Manhattan is so crazy with rats. I was at a pool hall, wants a New Jersey and this is the scariest read I ever saw was with my friend John. We went, we were doing a Gig and we stopped home from the Gig to play some pool. We stopped this pool, get out of the car and as I'm walking towards the door, there's a dumpster like outside. And as I passed by the dumpster, there's the biggest rat I've ever seen in my life. I mean it is like a raccoon. It was gigantic. No bullshit. I'm not bullshitting. It was two and a half, maybe three feet long in the body. It was enormous and it had these shoes, huge fucking nasty yellow teeth. And I don't know if it was sick or dying.

Speaker 2:          00:54:07       I mean, it might have been old age because it was so big, it might've been the end of the line for this fucking thing, but it was up on its back legs and was going like this to me and I was thinking, do I kick this thing? Do I get a rock? What the fuck? I was just such a little girly man. I'll never forget that noise. When you got to think with all the poison. They lay down, like you'll see the signs of the subway saying, you know, careful, there's like poison everywhere. Ran with. They've got to be adapting and mutating and we're making some fucking scary rat just chorus, right? Yeah. I mean that's what happens with bacteria, right? That's where we're at. Murcia know that staph infection that people get this antibiotic resistant. That's what it is from fucking. Is that like the superbug?

Speaker 2:          00:54:53       Yeah. Well the mercer has the super staff. It said Mike, I don't know what it actually stands for, but it's something resistant staff. So it's a antibiotic resistance. So when people get it, it's like really, really dangerous and it's really just created by human beings, by, you know, I was fighting off different versions until the only ones who survive are super fucking strong. It's why it just read the other day that 80 percent of all the antibiotics in America are given to animals like they pump them full of antibiotics and the same bacteria that we've used antibiotics to fight off. So do animals. So all the antibiotics they're taking is causing the bacteria to butyrate, which is making us immune to these antibiotics to live. Is that true? Because, um, I was on a, on a, I did a thing about, um, uh, talked about food inc and I got contacted and this is one of the coolest fucking things about this podcast.

Speaker 2:          00:55:46       I got contacted by a bunch of scientists fuck food scientists, you know, people who are, um, you know, involved in the farms and one guy who worked for a poultry company. And uh, he was, uh, talking to me about it. Let me find it here. That shows the difference between your listeners in ours. You have all these intelligent people that are really interested. We get guys who were like, you guys are fucked guns. Well I get those to watch corn too. By the way. Have you ever get the chance to watch the documentary that that's where they even go into more detail about having like having holes on the side of the cows. So creepy and Food Inc. There's a whole. Well, well iT's according to this guy. First of all when he wanted it and his name is Jacob Kim. So thank you jacob. At one of the things that he explained to me is that chickens are not on steroids and then what it is is just genetic selection and they've naturally selected birds with bigger and bigger breasts to the point where they're freaks.

Speaker 2:          00:56:39       So they wouldn't have survive if they were a real animal, but you know, because we grow them just for their tits. So. And he also said that What they're supposed to do is they're supposed to cycle the antibiotics. So when a bird is sick, so like they have a cycle, like there's 49 days, he says to grow a bird. So in business terms, the pharmacy's profits go down as the flock stays longer than that. So in the instance that a 30 day old flock get sick while they're supposed to wait 21 days before they killed them. So when they, when they get sick, they're going to lose like 10 or 11 days of profit. So if they do something like that and lose these days a prophet, you know, it's like a problem with them. So some unscrupulous companies don't follow that. And then they send out the bird, you know, like 15 days later in the birds still pumped up with antibiotics and has a process to your system. You're saying, I can't believe you know, I fucking data one thing that I didn't do right code for. shut it off your fucking cops. My new phone number. you fuckheads for giving out at all to one 800 faggots. Oops. I said that shit.

Speaker 8:          00:57:44       A retiree. Stay away From that word. Yeah, he retired it. It's been a, it's been feeding. It's been growing in him lately. I find it a funny word. Yeah, I, I don't. I mean, I'm never going to retire a word, kind of like. Yeah, I always said like when they tried to retire the n word, I go, what are they going to do? Put it on a banner and raise it into the rafters at like the apollo theater, right number that's retired United States, something that were, some gay guy gets mad at me and I'll just flirt with them alone. So he goes to site, don't be mad. I don't get right now where I say it, I go, uh, you know, like the, the reason that like gay men are more sexually promiscuous than men and women is the [inaudible] because they've got time and energy from not fighting all the time because a gay fight, you know, it's Just like, hey, those shoes don't match your belt. And he's liKe, really? Let's fuck, you know, like that's gay guys beat the shit out. And that's the other thing. Gay guys can beat the shit out of each other and the cops show up. Like what happened? He punched me, will hit them back. Faggot. That'S funny.

Speaker 2:          00:58:43       Um, so anyway, back to this guy. So the guy was explaining to me, so no steroids for chickens, that's not true. But there it is true for cows. So cows are jacked, cows are totally jacked up on hormones, no hormones at all or no hormones, no steroids on chickens because I, I eat, I eat all grass fed stuff. Yeah. I order all my meat from us. Wellness meats. Yeah. Uh, no, no. It's good. Grass fed beef tastes really good. Fucking had a strip last night. And pork chops, grass fed pork chops, you know, I agree. We need pop shields by the way because pork chops makes a big terrible noise in people's ears. I ordered those. I'm soon. But I uh, yeah. I eat

Speaker 8:          00:59:22       a paleo diet. Do you know that? Yeah. So I eat that diet and, and um, in all the grass fed shit and my chicken breasts that I get are grass fed and they're fucking massive. And I'm like, this is weird. I heard the whole thing was when you buy organic and grass, that you're Just not getting the fuck they're bigger chemicals on the grass. How is that possible? I don't know what's going on in that grass. Oh, hey. So what did you think about that movie

Speaker 2:          00:59:51       to avoid? I saw it last night. I shut it off after the car accident when the fucking the parents were killed in a car accident. I'm like, first of all, you've just, you showed me a girl who's a prostitute and a stripper. Okay. And then you showed her happy family. Fuck you. That's more science fiction in the dmt shit because that's just shitty writing to me. You're showing me this. This girl loves her brother. And how much do you love me? I love you so much. You're just jerking with my emotions, man. This isn't good story writing. This is nonsense. What I liked about the movie was the first person perspective. It was like I was in a video game that was cool.

Speaker 8:          01:00:21       King of the. I even remember like you could actually see it where the character blinks. They would have it like every, like randomly every five, 10 seconds. And then when he goes into the dmt trip, did you think that was a pretty realistic?

Speaker 2:          01:00:32       No, I thought it was interesting. Yeah. But it wasn't realistic. First of all, you couldn't explain what the dmt trip looks to a person. You couldn't recreate it with like cgi. Right. Because what it is isn't possible. What your will. You'll see. It doesn't make any sense what I'm saying. But when you have a dmt trip, you're not seeing anything that can be recreated. It's impossible to recreate. It's like when I'm watching there was just some swirly cool shit and like really interesting. But when you see it, when you see a dmt trip, it's just, first of all, it's a million things at the same time it's a bunch of different things. It's no matter how you, depending how you look at it, it's a different

Speaker 8:          01:01:14       thing. I really liked how there was so much detail too because I've noticed this on past hallucinate trips before, like, like little things like after he was tripping, like he shut this door and the door kind of have like a red pulse when he showed it and stuff like that. Now, what did you think about the big, even at the very beginning where you were hypnotized in a seizure where it's just flashing all those logos crazy like that happens throughout the movie and some points you're just like, all right, they're brainwashing me right now. This is, this is from the government or google. Hey dom, that kind of shit though. I'm starting to wonder about that with every. I'm such a, I'm not a conspiracy theorist, but I am paranoid. So really I'm completely paranoid and a or I can get there and I've got to like a close the neuropathways, you know, and just fucking try to bring myself back from it because I can go totally into that where I'll start thinking like anything like a fucking sitcom, you know, like,

Speaker 2:          01:02:06       well, you had a real freakout recently. We talked about this on the green room, uh, where you, you, uh, you got super paranoid from weed.

Speaker 8:          01:02:14       Yeah. And I've had, it happened. It was the second time it happened. The first time I had a pot cookie in Australia. The second time I just smoked.

Speaker 5:          01:02:20       But you said something really interesting to me and he said, I can't smoke pot. I said, yes you can. He said, I have to go to therapy first. Yeah, like what do you have to go therapy about breathing exercises? I don't fucking know, but it just put me into panic attacks and. Well, I thought, I thought it was just the wheat. The first time it happened. It didn't happen. We smoked weed before. Didn't we smoke weed in Florida? You know, it's another funny story. Know what's a funny story. One time I was at a medicinal marijuana benefit that you were like playing. You were like doing a show at the comedy store for him. Calico, brian kaylin and I came over and uh, some girl was with you like, like that was in charge of it or something. and she goes, she had these muffins and I had no idea that I didn't know that you were a big pothead.

Speaker 5:          01:03:00       I didn't know that. What it was. And I was starving and she goes, do you want a muffin? And unlike, yeah, have a muffin. So I ate the muffin and I'm like, these are really good, and she's like, yes. And then I count goes, what's a show? And you go, oh, it's a benefit for medicinal marijuana. And I go, it clicked. I went, did I just fucking eat a pot muffin? And she says, yeah. And I went like this, I can't go. I gotta go, I gotta go, I gotta get home right now. And I drove home as fast as I could because I knew it would take 20 minutes for it to kick in and I just didn't want to be out with it going on and just be. And I was like, fuck, I got it. Because I had done. I'd eaten pot cookies before and I was like, I gotta get the fuck what happened?

Speaker 5:          01:03:40       So I drove home as fast as I could. I get home and it kicks in and I just didn't have the fucking greatest experience all alone. And I'm having like a wonderful night and I called a girl. I know, can you go to 7:11 for me? I need this, this, this, this, and I just was laughing and she's like, you use your high and like, yeah, yeah. But the first time I did it was in Australia and I had such a great time. I had to do a show three nights in a row by the third night. The same exact audience. Oh my god. Every night. That's ridiculous. So by the third show I'm out of shit, you know, I've, I'm down to my worst stuff and I'm like. So right before I went onstage, I hit a pot cooking thinking be, and I did like an hour and 45 minutes and they're like, it was fucking brilliant. And unlike, what did I talk about? They're like, you've talked about the mach three razor for an hour. And I'm like, really? And they're like, we don't even have it here. That's ready to record yourself. I would have been

Speaker 9:          01:04:34       great. I've had a two freakouts were one went to the hospital and it wasn't related top related. Uh, and once we're in the ambulance came to my house and I, I, but now I don't get that anymore. I don't get that anxiety or anything like that unless I eat it and then when I eat it, it's not good. Well, also, I mean it depends on what's going on in your life at the time. you think I should be getting paranoid. I should be dead right now because I smoke pot every day. My life's crazy. You know? Life's crazy. Yeah. Well, you know, just all the shit lately, if that's what you're saying. No, I don't think you're crazy, man. I think your life is saying her now than it was just a couple of years ago. Do you remember you. Well, you know, I don't wanna get into personal details, but you know what I'm talking about. Um, the, the, the problem is all right and here's the number

Speaker 5:          01:05:18       one problem with eating it is it nobody knows what the fuck it does to you. You know, nobody tells you they just sell these things at the pot stores. What was that? A pot brownie. Oh, I'll try eating it. Not knowing that it's way more powerful. Way more powerful and it lasts forever. I hate a pot brownie wants and I swear to god it lasted 12 hours, so this first one lasted about 12 fucking and they told me it was funny. I was having a great time. I was in adelaide, Australia. I'd been drinking all day and then I ate half a cookie and they said just eat half. Nothing happened. I go, I'm going to have the other half. And they were like, all right. I did the other half having a great time and all of a sudden I turned around. I got up to go to the kitchen. I turned around and looked at theSe girls and I go make it stop. WhAtever we have to do to stop this. Let's stop your trip. Yeah. I was like, can we, is there any way to like abort right now? And they're like, all right, calm down. And I'm like, no, no, no. We need to fucking stop this. and they're like, why are you being such a bitch? I don't know. But. But what started happening, it was around a bunch of girls, man, let's pull it together.

Speaker 9:          01:06:21       Hey, remember when excerpt out of fear factor, I had to sit with all those girl interns in their car and put it together though he didn't yell at anybody to make it stop. I thought my eyeballs were trapped and when he first came here from Ohio, he had nothing. He had no resistance. He was used to this Ohio. We'd, which you might as well been mixed mexican brick weed, might've well been smoking talcum powder. It's nonsense. That's a terrible example. Gold bond and I gave him a lollipop. These, these fucking beyond bomb. Before beyond bomb went to jail. They were operating a multimillion dollar operation at oakland and the dea rated them during the bush administration and we had to. We had one on the way there and then half hour later you're like, you feel anything? I'm like, no, not relating. And so we took another one because we.

Speaker 9:          01:07:01       I think you were new to the lollipops to at the time we didn't really know the length of how long the wait may panic attack right now. sitting in where he drops me and goes, oh, hang out here in this trailer. It was like the trailer with all the managers and directors and producers and stuff like that and I'm just thinking about not knowing anybody and it hits me were all super friendly but they're totally cool, but I mean my heart started pounding. I started freaking out. I go and sit on the curb and then in between breaks you come on and like, how are you doing? I'm like, dude, I'm so fucking stone and having a panic attack, and you're like, dude, I still have a mic on her when it's a now everything. Everybody in the trailer now hearS me and he like dropped me off in these interns car and just sat there and talked about fucking sex and the city or something. I think

Speaker 5:          01:07:44       I told you this. I know this, these, these little dudes that I used to kind of. It was a girl that was friends with her little brothers and they were big potheads in high school and we used to hang around. We're in college at their house and they always. They were up to no, like they grow it in their backyard. They tried everything so they were. They were making pot cookies one night and they make them, they leave them out, that kind of a wealthy family. They have like a maid and everything. They leave the pot cookies out because parents are always out of town. The maid puts them in baggies and puts them in the. In the cookie canister. Dad comes, grabs

Speaker 4:          01:08:16       two cookies, cookies and eat some rushed to the hospital thinking he's having a heart attack. So I say to the kid like, they're telling me the story. I'm like, so did you tell them? They're like, fuck, no, that's hilarious. So did he ever figure out that he was a. I don't medicate it. Like the whole family had a panic attack. Hey, yeah, you know, I'm one kid went to jail because a, they dose their teacher up in school. They gave the teacher pot cookies. I remember in high school used to always try to sneak in a laxatives and our teachers coffees and stuff and I look back and I'm like, that's fucking rude because I mean, I remember getting dangerous too. It's an evil I heard of. I heard about a fraternity wanting all these dumb fraternity price. I forget where it was his college at, like George Mason when I was doing a show there.

Speaker 4:          01:08:59       They go, oh yeah, we got this fraternity that at the end of hell week they, uh, they feed them spaghetti. They give them this big spaghetti dinner that the lake little sisters make for them and then they feed them like chocolate pudding, but it's full of x slacks and then they make them climb a tree and they've got to spend the night in a tree. Like the top guy gets to go to the top of the tree and all the way down. So like if you're an asshole, you're down at the bottom shitty. Just all shitty things are so disgusting. They're juSt preparing you for just to be fucked with and to be in some country group where you get to fuck with new people. Just taking advantage of the people that have the least amount of power and the people that want the most from you. The other good thing about fraternities was going to their parties and like fucking those sorority girls stand up at a fraternity wants.

Speaker 4:          01:09:46       I'm pretty sure I know as opposed to a. I did a lot of college, a lot of college gigs and like weird spots like cafeterias and shit rec rooms and did one in the cafeteria where I had to stand on actual cafeteria tables. It was like, that was the stage. It was a table and still on a cafeteria table. But um, one, one fraternity stunt that I heard that was the craziest was they made this guy drink water and he died from water. Oh, water. What's that called? Hitting a tree. Mia. Yeah. pretty much are drowning yourself. Yeah. It's not nuts style, but just turns out all your salt and then you know, this happens with this new starbucks size. Jesus christ. I've been drinking this ice tea forever and I'm still only like bulletins. Hold it up to the camera. It's for folks that don't see it at home. This is the new starbucks. Thirty two ounce and this is a, this is just an ice coffee or an iced tea rather.

Speaker 10:         01:10:38       Yeah. Here's the, here's the old size, here's the other side. And it's thicker too or bigger.

Speaker 4:          01:10:45       It's not only tolerant, but it's wider, wider. I got that hit in a marathon. I ran a marathon. You drank too much water. I panicked like, you just shouldn't change your fucking habits, but everybody goes, oh, you know, make sure you hydrate, make sure you're hydrated, make sure you hydrate. So I drank like, fucking like 10 bottles of water before the race. Like, oh wow. And uh, I knew I started pissing like so much that I went, fuck, I'm going to piss all my salt out. So I went up to. I never thought about that. Every day in my life I went up to the coffee table and a coffee and I go, I go to this woman. I go, do you have salt packets? I need fucking salt. I just wanted to down some salt, just big fat black woman goes, who puts salt in their coffee?

Speaker 4:          01:11:28       And I'm like, just get me fucking salt. And I knew it was going to fucking happen and sure enough I hit like the 16 mile mark and I hit a wall. I'd never hit my life because I was just nothing left in. Never heard of anybody doing it. I never even thought about. I know a woman, um, died in, I think it was sacramento. I want to Say there was a radio stuff they did was, she had a drink, a lot of water. That was like a year and a half ago, two years. And it was like we were on the cross town radio station, you know, we were on like one of their competitors stations and they were telling us a story. Like, how fucked up it was, you know, that's, that's. I remember that shit man. Death, some water woman who is trying to win like on xbox for kids.

Speaker 4:          01:12:09       I think some northern California sacramento, I thought it was, but yeah, it might be san jose, but in northern California, whatever it is, but it's just like, fuck man, drinking water, drinking water were so bitchy. Were so fragile. This is there a dog out there that could die. Because he drinks too much water. No, we suck. We're such pussies. You have it. It's, that's an anomaly. That's like a. Then you see guys that I know, dude, who this fucking crazy dude that I know from New Jersey who drank bleach and he's a lot. He's the dumb is this guy went to penn state and my friends all know him and they all talked about him. I finally got to meet him and he's just a fucking maniac. He sells mack trucks now. I think that's what he does for a living. And uh, they, they knew him from this fraternity.

Speaker 4:          01:12:50       They're like, this dude fell off the roof for time. Everybody knows a guy like that. And I'm like, why would you keep climbing up there? And they're like, they put, they would like put like signs don't let them on the roof to still go up there and fall off. So they tell me he chugged bleach and I'm like, I get a shot of it or something. And I go, I don't believe it. I don't believe until I need them one night or I see him and I go, hey dude, uh, I go, hey dude, I think his name is reagan or something like that. Is it true you, you drank bleach? And he's like, yeah. And I go, well, why? and he goes, because it said on the bottle if you drink this you will die. Am I dead? no. And that was like his whole point, like a philosopher.

Speaker 4:          01:13:30       I know homeless people used to drink rubbing alcohol when they couldn't get real alcohol or something like that. You remember michael dukakis? yeah. Michael dukakis. When he ran for president who's running for president and his wife, kitty dukakis was such an alcoholic that she'd be began drinking shaving cream and shit like that. Yeah, she, she was drinking like nutty shit and she got rushed to the hospital. I believe he was shaving cream or something, you know, shave something nutty. Do you work the stress factory in New Jersey? I have vinnie brand told me a story. I forget the comic. I think he was one of those like famous prop comics, but in his day was like a really bad alcoholic and I'm like, I could be wrong with who the comic is, but a lenny shoultz lenny,

