Speaker 1:          00:00:02       Four, three, two, one. Boom.
Speaker 4:          00:39:55       yeah. Especially for you. We're working with synthetic. I mean, any, any material that you're grinding, you're making it, it's airborne. Like any of it can go onto your loans. I'm almost always wearing a respirator. Oh Wow. Especially when I'm grinding. Um, and it's like double can always like covering up. Does it work? Does a respray are filled out. All of it. It makes a huge difference. In fact, excuse me, where have my facial hair right now? Even this little bit, what you got, even that little bit is enough to create a little gap and it can get through that. So you have to shave your face smooth. Yeah, usually I keep it pretty well now I'm now, how the fuck do you create those patterns? Like Damascus steel. What is that? Oh, this doesn't have too much of, that was not in the Damascus steel unfortunately.

Speaker 4:          00:40:40       It's beautiful. Yeah. What, what does create those black that, there you go. How do you do that? We're looking at a crazy image that looks like it almost looks like someone drew on it. This is a, this is a pattern that just came up with recently. It's called, I call it the brain mosaic for lack of better term. Um, but it just looks like a braid and it's something I've been wanting to create and really figure it out. So essentially to create pattern welded Damascus, uh, first off, Damascus is kind of a blanket has become a blanket term traditionally. And originally it actually referred to the steel that like the type of steel that your knife, this knife, the media and knife is made from. And it eventually became a blanket term for all kinds of kind of pattern steel in general. Whether it's it, it curdles naturally or if it's kind of forced and created the way that pattern was made.

Speaker 3:          00:41:34       Um, so that's pattern welded steel. And so you have to start with at least two different types of high carbon steel. Ideally s steels that heat treat in a similar range. When you heat them up and squish on them, they they move at a similar rate. And so, uh, most commonly people are working with 10 80 and 15 and 20. Those are just codes for two different types of high carbon steel. But essentially you're bringing them up to a high temperature. You, uh, you squish them either under a big hammer or under a press. You can even actually do it by hand, but you have to do kind of a smaller bill it to create the patterns and get it to stick because the trick is really getting, um, getting them clothes evenly squishing it out. And it's like, um, if you've ever like rolled out dough or anybody who's ever made like pastry dough, like you would use in a croissant, you tear open a croissant, you see all those layers in there.

Speaker 3:          00:42:29       And that's from a piece of dough being rolled out, fully rolled out. And so it's Kinda the same fucking thing but with metal. But you have to have the kind of, uh, the right kind of temperature environment, kind of, uh, you, you want as little oxygen in there as possible because of the oxygen creates carbon or no carbon. But iron oxide that helps, uh, kind of is detrimental to creating solid weld bonds. And there are different ways to achieve that. But um, once the 10 80 is the black steel, the black color and the 15 and 20 is the, is the silver color, and that's a difference in the way those steels performance harder or more doable. So they pretty much on edge more, they pretty much form almost or perform almost exactly the same. They're there. In fact, chemically speaking, they're almost exactly the same except for the 15 and 20, uh, has a high level of nickel and end 0.2% by volume or by weight.

Speaker 3:          00:43:27       And so that steel is traditionally used in saw blades, especially large big mill band saws. Um, you know, like in Oregon there's like one of the oldest continuously running, uh, wood saw mill. It's still there and doing its thing with these giant bandsaw blades that are like 30 feet and that are uh, in circumference and they're like foot wide and there's monsters and foot wide. You mean like thick? No, no, no. Like they're only in like maybe a 16th of an inch thick because you want to narrow soccer so you're not wasting material. But their why to help prevent deflection to keep it from kind of Swiss band saw. I'm thinking of a circular saw for some reason. Sorry. Yeah, band saws. So circular saw those. Soccer's are usually probably around a eighth of an inch to a quarter of an inch thick. But it's the same kind of idea is that they're trimming down these giant logs so they need a big fucking saw. Whether it's circular break, man, I must be a fucking nightmare. That's gotta be

Speaker 4:          00:44:32       such, you don't want to be standing right there when that you've seen an original Samurai sword. I've seen a few, actually this one's from the 15 hundreds. Check this shit out of us. It. Oh Shit. This is the one that, uh, Mr Neil degrasse tyson was posing with the other day. Yeah, that's a real one. That's an actual Real Samurai sword, right? Right. From the 15 hundreds. See the race skin is nice. Do you know when it was made exactly? I don't think they know.

Speaker 2:          00:45:02       They just know it's from some time period in the 15 hundreds for sure. Sit Certificate of authentication that came with it. That explains,

Speaker 4:          00:45:13       I'm just looking to see what the hormone activity looks like. So the hormone is, uh, you can kind of see this line that runs parallel to the cutting edge and that usually indicates where the soft materials stops and the hard materials starts. Um, and so the idea with these kinds of, uh, the challenge with any knife is making a knife that takes and holds a sharp edge, right? For a good period of time. What's the key to that? But it's also tough, which means like you can drop it and it's not going to break. So like if you wanted a hunting knife or something like that. So, uh, a hunting knife, throwing knives, those are harder working knives. So you want to actually bring that hardness down. You don't have to bring it down a ton, but just a few points will make a huge fucking difference in housing forms. Yeah, exactly. What's the difference in the way that knife is made? And this knife, so they were temporary. They were heat treated the same. So they were brought up to like 1500 degrees

Speaker 2:          00:46:17       from people don't, not lists are listening. Not watching this. One of these knives is a hunting knife that uh, how's that feel bad by? It's great man. I'll have to love it. Yeah. Nice. Um, but it's uh, it's made very similarly. If you look into the, um, the video of it, the handle's the same and it looks, it looks very similar. It has a different knife guard though. It's pretty cool.

Speaker 4:          00:46:41       Hold on. What's that? Yeah. Yeah. The garden keeps you, it keeps your hand from sliding up. Yeah.

Speaker 2:          00:46:48       I liked the way he made the handle too. It's an interesting handles,

Speaker 4:          00:46:50       curved and everything. Where, where'd you get that pattern for? Like some dough? Yeah. So the first question, I'm sorry. I remember at first like what is the difference in the way they're treated? Okay, yeah. Yeah. So they were hardened. So he treating the whole process is essentially heating up the steel, make it hard, and then you put it back into heat, but a low, much lower temperature to kind of toughen it up. Um, and so you're pulling some of that hardness back. So they were hardened the same way, but they were tempered at different temperatures because one is a hard use knife while the chef's knife is not a heartbeat. What is the difference between a temper and what,

Speaker 3:          00:47:30       like what does that mean? So the tempering, uh, so essentially, so I harden it, so I bring it up to 1500 degrees, uh, which is like a adult glowing orange color. And then I dip it in a special oil that I have that's designed for quenching materials, not just in knifemaking, but all kinds of different industrial applications. Clenching materials or oil, sorry, quenching oil. What does that mean? So that's cooling the, this hot steel down in a very short period of time and punching it. Oil, coal, oil, not so actually the, depending on how the steel needs to be heat treated, uh, you actually want to heat up the oil so that it's, uh, it's thinner. And it also, there's this thing that's called a vapor jacket. So if you've ever like been next to a wood burning stove and you drop a little water on it and you see that bead water dance around on there, the same thing happens on the surface of the blade except for the blade is a source of the heat, right?

Speaker 3:          00:48:30       He put it in that oil. All that oil is dancing around on it. So when the oil's thinner, uh, it, it's not as large of a jacket because when that jacket is large, so jack encasing that steel, while it's trying to cool down, um, it actually kind of acts as an insulator and ruin or could potentially ruin. So not only do you put it in the oil, but you want to agitate it to kind of break up that jacket. Um, so it doesn't get a chance to just sit there and all the way around the blade. And if it was cold it would, it would be thicker. And so, um, it would make a larger jacket actually. And also the, it probably wouldn't be as, uh, efficient I guess in cooling the steel down. Cause ideally like for most seals, you want to cool them down pretty much as quickly as you possibly can.

Speaker 3:          00:49:22       So you have, sorry, go ahead. Sorry. So we could keep going. I was just going to say you, you essentially have a, depending on what kind of steel you're working with, you have anywhere from half a second to, uh, like five seconds to get it from 1500 degrees or sometimes higher to below 800 degrees and the, so this knife would be more durable. Is that what it is then? This knife durable? Yeah. Tougher. So in, in knifemaking commonly refer to it as being tougher so it can withstand coming into impact with bone. You could chop with that thing a lot more efficiently with a tougher knife because this hasn't been tempered at it as uh, as high of a temperature. Um, it's, it's much harder than this one, even though it's a few points, those few points make a big difference. And so if you were to take this out into the woods, tried to do the same job as this one's just the cutting it, it wouldn't necessarily snap.

Speaker 3:          00:50:18       Um, but parts of the cutting edge wood up blow out, probably blow it and chips. Um, I actually recently just from time to time is good as a knife maker to make sure that you're still doing your thing, your heat treating stuff. All right. I take a knife and I just beat the shit out of it for such hop through some wood and then I actually took it to an antler and beat the shit out of it too. And, um, it's, it is amazing that if you're doing things right, you know, 10 thousandths of an inch is enough to really, to withstand impact of chopping through would pretty well of course, unless you're coming into contact with like super, yeah. Nail or super dense knots, that's crazy because it's so thin, right? That's actually on the thicker side. This is on the thicker side at least, especially in longer cutting edge.

Speaker 3:          00:51:06       That's probably twice as thick as it actually needs to be. Wow. Which is crazy, but it just, it comes down to the material. Not everybody or a lot of people mistakenly think, you know, steel is steel, is steel, is steel and whatever, but they're not, steel is made for many different applications and they're actually very specifically designed for those applications. So, uh, like a structural steel, this kind of stuff that, you know, buildings are built out of very different from this. It doesn't have very much carbon in it at all that way. So, uh, the carbon is what helps make these really hard. So lacking that carbon is, allows it to be way tougher. So you can bend it all fucking day long. No, exactly. So that's why you want it for buildings in la where the earthquakes hit and they wiggle a little bit.

Speaker 3:          00:51:55       Yeah. Yeah. Um, this is much thinner than a lot of other, uh, hunting knives would be, which is interesting, you know, w with your use of this exotic metal and you know, your, your methods, you were able to do that. Well and also part of the reason that you're able to do that is because it's high carbon steel. It has a, which means it has a high volume of carbon comparatively a then other kinds of kinds of tool or cutlery, steel. It was a benefit of high carbon versus last carbon. Uh, so high carbon allows you to, to, um, especially for the, the media rights deal, it's a, it's a kind of crucible steel called woots. And so the patterning you've seen there is actually strands of carbon are carbide material. So all the extra carbon floating around in the matrix. The Iron Matrix of this steel jumps on to these bands called carbides and there are different elements in vanadium is one of the elements in this steel that draws those carbon, that carbon in. So what you're seeing are thousands and thousands of all these ultra hard carbon bands floating around through the Iron Matrix. Do you watch game of thrones? I do. When they have like swords that are made out of Valyrian steel. Sure. Pissed off. Get the fuck out of here with your fake magic style. Well, and what's interesting back in the day, shit was fucking magical, right? Like they didn't understand what was going on. Now how did they

Speaker 2:          00:53:29       learn? I mean, what is the history? I mean obviously that sword, there's from the 15 hundreds but you know from back in the Roman gladiator days and I mean, how did they understand how to do this?

Speaker 3:          00:53:41       So the steel that they were using in Europe was not really that great. It was at the best shit. Japanese, Japanese, we just were pretty fucking good. Yeah. As well as the park, the Persians and the Indonesians Vikings material wasn't the greatest. Wasn't too barbaric, no time. It's just, it comes down to a what they had available to them. Right? Yeah. So who was the pioneer of like really durable Badass sword material? Was it Japanese? So probably so the Japanese and the Persian slash Indonesian Persians, uh, swords are probably the most legendary, you know, they're the ones where like it could cut through silk floating in the air and shit like that. Why is that? What did they do different? So it's, so the Persian steel is steel very, very, very similar to these meetings. Right? So it's a crucible. It starts, it's called a crucible steel.

Speaker 3:          00:54:40       And so essentially there's this clay jar essentially called a crucible. People melt all kinds of stuff in it, but you can mail melt steel in it as well. And so they were making these ingots of crucible steel and then forging them out. And they really, really very heavily relied on these carbide bans floating through the material because unfortunately they didn't really have a very, uh, advanced way of quenching that steel so that not only do they have the bands, but they also had hard iron matrix as well, that those bands were floating in. So they really relied on those, that banding. So the, they

Speaker 2:          00:55:17       just learned from trial and error of thousands of years of experimenting with different materials and different locations that they got the iron from and different things that they added to it to make steel. Yup.

Speaker 3:          00:55:29       Absolutely. And that's why like, you know, you even watching game of thrones or other kind of medieval or movies set in medieval times, you know, there were very specific makers who were the best who could really make the shit happen. And it's because they had a tradition passed down to them. And you know, all that's a lot of that stuff was very fictional. But in the real world, that was the same thing. You know, you had very specific lineages of people who had the, you know, essentially the most advanced technology and skills and techniques for creating the most highest performing weaponry essentially of the time, which was like the currency of the fucking time.

Speaker 2:          00:56:11       Went to Japan fairly recently in and filmed them working with a high level sword maker for a television show. Trying to remember who it was. It was someone famous but it was really bad ass. They went to this sword maker shop and you know, I mean he's doing the whole thing like hammering it all out and building a Samurai sword from scratch the way it's always been.

Speaker 3:          00:56:39       Yeah. There are a few of those documentaries. Um, so it is trending on youtube there you got to do, usually you got to do a little bit of digging to find them. Um, I, I actually just watched a few of them like in the last five years, I do not recall what they're going to make a Samurai sword. One of these days. I might do it eventually. Just, I mean I'm always going to do chef science because that's what I know. Like, that's the tool I know the most. That's the biggest market right there. There's a giant, I mean for a super foodies and I'll let you know. Well it's not only that, but if you think about it like there's a lot, there's a lot of mystique around Japanese sores or even the American, but we knife as well as you know, Viking swords.

Speaker 3:          00:57:26       But nowadays, you know, people have that shit made but you know it goes on a wall. The things that are really getting used or like a hunting knife and a chef's knife and you know, cooking knives are, are used like almost literally in every single household around the world every day, year round. And it's, what's interesting is because of its ubiquity to our everyday life, it lacks that mistake because we see the shit every day. You don't think much of it versus a Japanese sword. People walk in here and they're like, fuck. Well I tell you what

Speaker 2:          00:57:59       thing man, when people come over to my house and I'm cooking and they go, where the fuck did you get that night? That happens all the time. And when it's either this one or the other one. When I show them the bog oak one, same thing. They like two. I'm like, yeah man, check it out. Now in terms of like this one or the other one that you made me, the other hunting knife that you made me out of Damascus, which one is like tougher or more durable?

Speaker 3:          00:58:24       So they've been heat treated to perform very, very, very similarly. So the base, you'd essentially have to destroy them to really determine which one outperform the other. You have to stick it in a bowl and try to break it. Yeah. Essentially use it. How it's not supposed to be frying, but it,

Speaker 2:          00:58:41       they cut it keeps an edge. So, well man, it's crazy. Yeah. I mean I, I get nervous every time I touch the blade. I mean this thing slices through things. Yeah. Now, um, there's gotta be an art to, uh, actually sharpening things too, right? Oh, for sure. And how do you know like the right angle to a approach? Sharpening?

Speaker 3:          00:59:02       It's, I mean there are a lot, they're actually a lot of great information online there, especially in big cities like Seattle, La, New York, uh, Austin, there a Portland as well. There is super reputable people. Not only who will offer service, but I usually offer lessons as I suggest. Like if you can't afford it, you know, you can dig around, you can find the stuff online. But it's not the same as having essentially having a coach next to you saying uh, or yeah. That's great. That's perfect. That's where you want to be doing that shit. Do you sharpen both sides? I do. So you sharpen the top and the bottom. I'm sorry, you mean the sides of the steel? Would you sharpen it like this and then flip it over? Yeah. Now what are those things? And they have those metal things where people go xing, Xing, shooshing.

Speaker 3:          00:59:55       Yeah. So those, those ones seem like, I'm like, that looks brutal. I wouldn't do that to a good knife. It so am I right thinking that way? Well, it depends on the type of steel that your knives made from and then what the material is that those rods are made from. So those are commonly referred to a sharpening ron's or sharpening sticks. But the reality is they're not actually sharpening. What are they doing? So they're, uh, more accurately referred to as honing rods. So what's happening at your, sorry, at the cutting edge of your knife is you have all these micro seriations essentially if you go, uh, take, take it under a microscope and look at the cutting edge. It looks like a saw blade, but they're like, they're fucking microns. Micron is a millionth of a meter. Like they're teeny tiny. So, but what happens over normal use? Uh, those teeth, they bend over, they flex over or sometimes they eventually wear out and fall off. And so what the honing rod does, especially if they've bent over showing it right there. Woo. Yes, yes.

Speaker 3:          01:01:02       You want to ignore like those long streaks and you're just like the tiny little thin black. Yeah, that's the shit right there in black line observation. Are you looking at you? It's like someone's doing it tiered instruction. But yes, a youtube video. Crazy. That is crazy. I was like, are you doing that shit? [inaudible] hundred x magnification view from the top. Yeah. So that's what's happening along your cutting edge. And what happens to those tiny serrations where it bend over like I was saying or break off. And so, but as they bend over and it's just normal shit that honing ron by swiping across at Honing Ron. And you don't just do it willy nilly, like you got to do it at the right angle and all this stuff. But what it does is it realigns and hones those teeth back into alignment. So people mistakenly call them sharpening sticks because all of a sudden their knife is sharp as fuck afterwards.

Speaker 3:          01:01:56       But the reality is that it's honed those teeth back into alignment so it can do its job again. No, what's the purpose of the leather strop so that's just a gentler way, especially for things that are super, super, a razor sharp, which essentially have been sharpened to really high finish, uh, like 10,000 grit or higher. So those micro serrations are even smaller, which means there are even more delicate, which means they don't need as much force to realign them. So honing rod or Ho or, sorry, a strop is, that's a human hair. Yeah. Jesus Christ. That looks disgusting. I just choking on that hair. So just to give you some reference, a typical and average human hair is about three thousandths of an inch. Well, uh, yeah. And to help put that a little bit more better perspective, a 16th of an inch, like a normal measurement, one 16th of an inch is 62.5 thousands of an inch. So that's like one, I can't even do the math, right. One 20th of a 16th of an inch, which is fucking teeny tiny. It's crazy. It's like split the hair.

Speaker 2:          01:03:10       Yeah. Literally. Yeah. Um, there's a big debate and uh, the world of bow hunting with broadheads with a what kind of steel to use. And, uh, there's, there's harder steel that, uh, some people use, but it breaks. And just saying there's an issue with that. And there's, there's like this big debate, harder versus steel that has less hard, but we'll bend more and give slightly more, you know? And then there's, um, there's a, the broadhead that I use, which is a carbon steel broadhead from a company called [inaudible]. They make this a broadhead called a [inaudible] tech. It's pull up, um, g five carbon steel monotech. So your top tech cs, they call them. So you're talking to, it's just the head like term, just what a triangular or is it even a triangle hunting? The one that I use. Yeah, it is. It's, uh, it, it has a, it was a three points or four points here.

Speaker 2:          01:04:10       He'll pull it up. You see? That's it. Oh yeah, sure. So there's three points, but that's, that's a carbon steel broadhead. That's what I shot my elk with last year with and that things virtually indestructable. Yeah, there's a, I have a crazy photograph. I'll show you this crazy video. Oh, I put it up on my instagram. Find that on my instagram where I'm uh, I was fucking around with something on my bow at, at full draw. I was trying to set something and the, the Bo went off and it hit a cement wall and it's stuck into the wall like a cinder block or solid, some solid cement wall and didn't kill the broadhead. I still have the broadhead back there. It's stuck into the broad head. Look at it. Did it stuck into the broadhead, the shaft and look what it did to the, to the Arrow that we'll look at that, that brought ed that fucking things got my bet for life. That things got my confidence forever. Cause if that does that to concrete, what will that do to bone? Right. You know that we'll go through anything

Speaker 3:          01:05:11       that's going to kick some ass. Silver. One of the things I would say after seeing that, especially that first image is the geometry of

Speaker 4:          01:05:18       the blades that the actual points, um, they lend themselves similarly to how your hunting knife to sharpen differently from your chef's knife. Like the chef's knife material's thinner, but they're also sharpened at different angles because they have different jobs they're supposed to do. And so the broader essentially, or sorry, the more acute that is, the more easily that will break as well as the thinner, the thinner the material that, that, that geometry is living on is more, uh, susceptible to breaking that first image that Jamie pulled up the geometry. It looked like it was pretty robust. Hold that up again. Yeah. And as well as like, it looks like it's probably at least 30 thousands of an inch thick, which is, you know, that's about if not more actually the original image, Jamie, we see the actual broadhead in the um, without the, um, yeah, my friend Brian Stevens turned me onto these.

Speaker 4:          01:06:11       He, he shot a bear through the head with one of those genes from 10 feet away. It was coming at him and he's got an image of the skull. Then he sent me where you could see the outline of that broad had through the bear skull as crazy. Yeah. And it and it killed the bear and didn't even fuck up the air. I'm like, I believe it's crazy. Yeah. And so a lot of like you see people doing these incredible feats like hammering through nails and shit like that with their knives and like what the fuck? The thing that most people are used to our chef's knife and they think that they did that with their [inaudible] it up and 100% pretty much wood, but with the right thickness coming up to the cutting edge as well as the actual lead cutting edge geometry, like the actual angle that it sharpened that you could do that shit all day long.

Speaker 4:          01:07:03       Now when you sharpen a blade, do you use something to hold it next to the stone so that it reaches the perfect angle or do you do it by, I do buy, I, I actually, I feel handed it over to me. One of the things, especially when I first started learning, I would use my finger as a guide, so that would inform me as to the angle. So when the edge of my finger would touch the top of the stone that told me that was about the right angle and then when I flipped it over to do the other side, I do the same thing with my thumb and essentially experience. I just know it from experience. They do make a sharpening guides that you can clip on to the back of the knives as well as little ramps. Those are all great, especially if you're starting.

Speaker 4:          01:07:45       The hardest part about all of this is the muscle memory portion. It's figuring out how to lock in and maintain that angle without wavering and placing your risks and all that kind of shit and that just, it's, it's like riding a bike or any other, anything you've ever had to learn in your life with practice and repetition, you'll get better. What do you think about that? Those machines, so it's like little, they're like little linked through the worst fucking thing ever. Really. I have like almost kind of a conspiracy theory that like the reality is they're designed to destroy your knife so you have to turn around and reinvest again because most people, but one because of the knives aren't usually sold for very much money that are being used with those things. And when you're not selling them for my very much, you're relying on volume and what better way than to create a thing that does the job for a little bit, but ultimately destroys it and you have to reinvest.

Speaker 4:          01:08:42       What about those ones where you stick it in the slot? It's the same kind of thing. It's a little slower process, but you, you'll notice the problem with those, the real problem with those is that you can't sharpen the whole edge. You usually start at the heel or just a little bit in front of the heel and then you do the major work. I tripped myself out. I was like, fuck, I'm going to cut myself. This is actually, it's still pretty sure. Oh, it's sharp as far. Um, and so the problem is because you're not getting the full length, you'll continue to dish this material out just in front of the heel and then when you go to cut, there's this little bit of shit there that's not doing any work. It's not doing anything. Especially when you're relying on that cutting board. When the knife comes down to the cutting board to do some work, it's not happening.

Speaker 4:          01:09:28       If I cut my lunch with that today, nice. Oh fuck that. Access that access have access deer and elk. Oh my God, that was killing me. That comment. I probably didn't say it, but I was just like, Holy Shit. That looks so fun. Yeah, man. You know. Well I learned how to cook. I mean I, I feel like there's some real art to that as well from my friend Chad Ward, whiskey ban, barbecue on instagram. He's a lack a, a pitmaster like legit world champion barbecue master. And he's the one that taught me how to cook slowly at low temperatures and then sear it after you're done. I always thought you supposed to just put it on high. He cooked shit out of it and then eat it, you know. Yeah. I mean it tastes fine that way too, but you know, when you're dealing with what I really had to learn, especially in particular cooking with wild game is very unforgiving because it's low in fat. Yeah. It's got none. Yeah. You're basically eating a sprinter. Here it is right there. So that's the end. I have reverse sear it in a pan with grass fed. But here that pain. Beautiful. Listen to that sound.

Speaker 6:          01:10:41       Oh, oh,

Speaker 4:          01:10:45       that's the last of my backdrop. I gotta I gotta get some more meat. I eat. I eat so much meat. It's crazy. Yeah. Sue, it was super healthy though, bitch. You fuck what you heard? Um, it looks like it works. No, well, you know what too? There's, there's something really magical about wild game and um, I don't know what the fuck it is. I really don't and I don't think anybody does because I don't think there's enough people out there that are eating it, but it has, it has a different effect

Speaker 2:          01:11:14       on your body. It feels different when I eat beef. Like if you have grass fed beef, fuck, like total, like pasture raised, like, oh my God, the difference. Do you know about butcher box? I am aware of it. Yeah. Dude. That companies the shit, they'll, they'll send it to your house. Frozen grass fed, pasture raised, like in the pasture finished. And uh, it's pretty cheap too. It's a good deal. The few top sponsors of this podcast, and I use them all the time. I think it's amazing. It's brilliant. You know, and the few times that I, and it's actually, I feel embarrassed saying that I've only eaten really good beef, happy beef, essentially. Only a few times. Yeah. It's hard to, yeah. Well, especially in some place. Oh my God. When you take a bite like that, even just that first buy, it's just like, it's a whole different world.

Speaker 2:          01:12:04       And it's like, what the fuck? Just the flavors. Everything. I have my friend Mike Hawk Ridge, uh, he lives up in British Columbia, like the real, but British Columbia look way the fuck up there. And, uh, you know, he's a hunting guide and, um, uh, uh, got him some tickets for the fights in Vegas and he and his wife came down and then afterwards we went out to eat and, uh, they were eaten steak. We ate at a restaurant and they were laughing like they're used to eating moose, you know, like this beat is like, it's like this poor little sick animal. It's all mushy. You know, it's like if you eat a piece of wild moose meat, it's like, whoa, you eat it. You're like, Holy Shit. It's like filled with flavor and it's just, it feels like it gives you energy. It's crazy. I would totally buy that.

Speaker 2:          01:12:54       Yeah. You'll, what does that people are trying to like inject young people's blood into the body is trying to make themselves feel younger, like eating it, putting good, well sourced. Like those two things are now. Right. I don't know if it's the same, find out the same, but I do think that there's, I mean there's gotta be something to consuming and incredibly healthy, vibrant animal versus something that's like raised in a cage. Right? I mean, this just does just make sense, but I don't think this is something that you can, I mean, they have absolutely measured protein content and the protein contents off the charts. If you look at the difference in the protein content of chicken or regular beef versus Moose or elk, it's much higher, much denser and protein like, like I think something like six ounces of acts as is 48 grams of protein.

Speaker 2:          01:13:54       Right. Which is incredible, you know. Well, it's interesting to think about that to get to get that same amount of protein. Like you don't have to gorge giant, you just, yeah. He's just eat that little bit. Yeah. You're good little six ounce piece and you're good. Even less if you want to stay in Ketosis. If you're like in a kito diet, you really need less than six ounces and you know, like three ounces. Right. You know, um, food is does to me as, especially as I've gotten older, I've started doing a lot more cooking and it becomes a different thing. I'm, I'm, it's not just, I'm hungry and he stuffed my face. Right. Like the, the preparing of food, much like we were talking about with craftsmanship, like there's an art to making food and I mean I'm by no means a chef, but I can cook a few things really good, you know, and I take great satisfaction that I fucking love it. You know,

Speaker 3:          01:14:46       I'll take, my wife used to hate this, but we would get home and we're like more hungry. You gonna make some food. Two hours later she's like, she's like, yeah, a lot of people are that. My brother's the same way. Like I'm fucking hungry now. I need to eat now. Rip Your fucking head off. What would you need to set up some cheese and some like Salami or, so that's what I started doing, putting out some snack items while I'm working. It's just relax. Where, where like I could be starving. I get done with a long ass day grind and I'll go home and I want to, I like, I have this thing locked in my mind that I want to eat. I'll take two hours to make the fucking thing, even though I'm starving, I haven't eaten since like one o'clock in the afternoon. It's nine o'clock at night.

Speaker 2:          01:15:29       Do you find that as a person who is a craftsman, an artisan, that you try to have that approach with like other things in your life too? Like what you're talking just talking about with like making food and,

Speaker 3:          01:15:40       yeah, sure. I mean, I feel like I don't really think too much about the fact that I'm doing it this way. It's just kind of the way I do things and I'm a little bit more methodical and um, I guess not necessarily more thoughtful than anybody else. Just like when I'm go to, when I approached these challenges or these things they got to do, I take my time to do them right and try to do them right the first time I used to, uh, actually when I was working for Bob, uh, we would have to mock up stuff or build machines or six years or some shit like that. And um, you know, he was a very, his mindset was quick and dirty. We got to do this, get this done as quick as possible. And if it doesn't work the first time, we'll make some modifications and we'll try it a second time.

Speaker 3:          01:16:27       Still doesn't work, sec time, so and so forth. So on and so forth until we got it right. Where I would just think it through a little bit more. First Time it was all I need it. But I, there was a long time, I used to do a lot of woodworking before we got in the metal working and I was uh, I always had to measure five times and cut twice. Right? Yeah. And so I started getting to this point where like, I really had to think shit through because it's just, to me it felt like a huge waste of time and energy and materials really to go through all that process. And then, so they had to be a long time long

Speaker 2:          01:17:04       learning curve though, right. Until like really learn how to, especially I would imagine the aspect of

Speaker 3:          01:17:09       it, it's probably incredibly difficult. Well, and when I was working for bomb, uh, the only forging we did was a forging the Damascus to make the patterns. Um, and then we would like cut pleads out and go from there. Uh, I learned forging about five years ago. Essentially. I'm working with a gentleman named David [inaudible] who's also, he's a master bladesmith. Uh, he used to work in Seattle. He's down in Olympia area now, but he, uh, you know, he did, he's a blacksmith by trade that got into knifemaking and he's fucking skill. He's super talented, especially when it comes to the bowie knives and hunters. Like he doesn't really great work and especially his Damascus patterns are really great. But to watch somebody move and manipulate material and really, like I said before, like stock removal is a very valid way of doing it because the cost of the actual materials, um, is very small compared to the removal stock removal.

Speaker 3:          01:18:07       So earlier I was talking about taking a bar and then cutting out the blade shape and then grind. Yeah. Cause you're literally removing stock from, from the, from the starting the parent material. Would you take what's left and melt it down? You could melt it down, you could turn it and forge it into other stuff. Um, it's, it's a really interesting practice. It's actually, it's kind of like, you know, people refer to yoga as a practice and you know, we're going to be perfect and like there's never going to be perfection blade forging, but there's always an opportunity to learn something and the practice it. And so when you see like you have a decent little chunk, you know, you start smashing on that thing and see what you can get out of it to economize that material. And again, like I said, you don't really need to do that because of how inexpensive material is.

Speaker 3:          01:18:52       But if you think back like even a hundred years, like this high quality material, it's fucking expensive. You had to get the most out of it as you possibly could. And so that's why forging with such a big deal. And then as that price went down, people change the way they manufactured just because then the time was the thing that costs the most, not the materials. And so they turned around and made it easier to manufacturer. They didn't give a shit about the waste. Now how did you learn handled geometry? Like the handle on this hunting knife. So yeah. Yeah. So you're asking him is very unique. It is unique and actually, uh, my hand perfectly fits in your hand know and that's, that's the goal. A friend, a friend refers to it as a, the knife shaking your hand back. Like it fits so well. It feels like you're holding like shake it for people that are just listening. Then there's an initial smoothness in the front and then there's like this little bump and then like a little step the bottom and it just locks in your hand and just feels perfect. So I was inspired to do that by a maker named Claude beauchamp. He's a Belgian maker. Uh, I first met him, odd Claude Bosch,

Speaker 4:          01:20:08       Bosch Chevy. He is, uh, he's a Belgium maker. He at the first time I met him was at blade show, which is a huge knife exposition. It's the biggest one in the world that happens down in Atlanta every year. The first weekend of June, he was my table neighbor and I had never told him the story, but the first time I saw his knives I was like the blades and everything looked great but that the handle looks fucking weird as shit. This handle. Yeah, very similar to that handle cause his has more of like a nice gentle curve around to the end instead of kind of how that one's kind of at a clip or an angle. Um, and so finally, like on the third day of the show, this really great maker that I look up to, uh, came over and he was just like doting over clods work.

Speaker 4:          01:20:53       And I was like, all right, there must be something that, and I have any, I feel like such an asshole. Like I didn't even touch the stuff. I was just looking at it and judging and I picked it up and I was like, what? It was, it was a totally like, what the fuck? Because that same feeling that you have when you're holding that, it feels perfect. I was like it, it totally shifted my entire mindset and paradigm around what I thought handle shapes should look and feel like. And that has definitely inspired continued especially for like hard use knives like especially like for a bigger blade, like a Bush knife that you're trying to chop through stuff with a handle like that is going to benefit you immensely because it just, it feels like a natural extension of your hand. And is this your your logo into the bottles?

