Speaker 1:          00:00:48       Right now, here we go.
Speaker 2:          00:38:32       I mean we don't do it in such large numbers as dolphins though I dolphins do it, like kind of like as a matter of, you know, they're more board they're need in the water on. They're like, but we don't have. I think it's that the board. I think it's that they can affect their environment. We see evolution in dolphins and it's in a very strange scale. It's very much different than ours. It's like they're, they're super intelligent and cognitive, you know, they, they have these amazing abilities to communicate, but yet they can't move anything with their hands. They don't create anything. So they're out in the wild. So their, their world is just way harsher. They're basically, dolphins are like the fucking blue people in Avatar, you know, the blue people and advertiser like super intelligent, but they're, these motherfuckers live in the jungle. You got to be hard, you know, like some soft dude behind a computer keyboard, you know, you've got to be like that crazy.

Speaker 2:          00:39:16       But shooting arrows at those crazy black dog things, you know. And that's. The dolphins are like, man, they're in the fucking woods there in the ocean. But that's, there's sharks out there. And men show killer whales eat dolphins all the time. They're cousins. Madison's your cousin eight. You killer whales will fuck up some dolphins. They fuck up sharks to kill the whales of the pimps have the ocean. They're just running shit. You know, they don't take shit from nobody. You know, the only people they do is people. That's the only thing that they take shit from because people, this is a, a store that I read on the Internet and this I would like to add, ask you twitter people and people are watching on ustream. I wonder if um, if it's, if it's possible that this is a true story. What I heard was that the orcas or killer whales used to attack people and been attacking people for a long time.

Speaker 2:          00:40:04       But then after World War Two they stopped. And one of the reasons why it's this American soldiers were apparently I'm targeting killer whales in the ocean for practice. You know, that's how they would work on their. They're shooting out of the planes and they would drop bombs on them and shit. The whales just completely stopped eating people. I mean, that doesn't, that seems like something somebody made up, right? Doesn't it? But what if it wasn't. That would be pretty fucking crazy, you know, because I know culture is, do have like images, like old eskimo images, just like a killer whale attacking people. Like really ancient stuff. I wonder. A hippie. Interesting. And they knew what was up. You know, if like other goal of these motherfuckers can fly now and trap shifts when was okay, we're good. We're done. Just we tap. Imagine if they eat everything else, why would they eat?

Speaker 2:          00:40:54       People? They save people all the time. Like that's really nutty when you're talking about an animal that's that intelligent, like murders, Dolphin. When people fall in the ocean, killer whales have been known and many times to nudge people towards boats and help them. Yeah. Crazy. Yeah. Same as dolphins. Then none of them fuck with people because we have the ability to change our environment. They're just as ruthless just as smart, but they're fucked with their bodies. A little fucking flippers and shit the fuck you up if you're in their world, but that's what you need to get by in their world. Our world requires much more finer moves, you know, and our ability to manipulate shit. Like had things gone just a little bit different in evolution. If you believe in evolution, you know the dolphins and easily they can easily be and shit the killer whales and dolphins.

Speaker 2:          00:41:38       Imagine if there was something like that with us, if those were all the same intelligence, imagine there's something like that with us, like some giant trolls that were just as smart as us and would come in and kill people. Show up at your village and start eating us. Jack in us. Well, there is happening. That's us and monkeys. Beowulf. Well, that's us in monkeys. If you look at like African countries Bushmeat, you see the cell chimpanzee hands his ass trays and shit. They just go into the forest and fuck those things up and eat them. You know? That's pretty crazy when you think, God, what other? Something like that with us. That could happen, man. Nothing can happen. Well, we didn't like. Can you fucking imagine? I mean there is. There are predators, humans if you're around them, but you know, for the most part they're not intelligent.

Speaker 2:          00:42:25       These fucking things are intelligent killer whales or just the smartest. Often their genius. They're like the smartest human supposedly. Well, if that's the case, man, you imagine subject as smart as people, but giant and likes to eat us. Robots. No, it's going to be. We're going to go, we're going to build our enemy, our Predator, we're going to build our predator. Some some new months are going to come from the sky. We would never be able to get to this point. The reason why we've got to this point culture or with technology and with our inventions and all the shit, the reason why it's because no one's been eating us. We've had all this downtime with all this downtime to come up with things because otherwise we would've never gotten to this point. He never be comfortable enough to sit around, crunching algorithms, trying to figure out how to make a pentium processor.

Speaker 2:          00:43:08       You would never get to that point. You'd be constantly running from the giant troll people that want to eat your asshole. You know, they were just kill people and the way chimps eat monkeys. You ever watched the which Mc? Hammer parties and while they're alive they don't tell them. That's a weird thing about predators seem to kill people and then eat them like big cats. You know, like, you know, animals that like kill things for a living. You know, like big cats, big cats, they only eat grass so they can throw up. That's all they do. And these, uh, these animals, when they, when they catch something, it's very important that they kill it. So they just grabbed him by the neck. And Jack, I'm immediately. But like, chimps don't do that. Chimps eat berries, they eat all kinds of shit. They're omnivores. They can eat meat or vegetables and fruits.

Speaker 2:          00:43:53       So when they kill monkeys, which is like their favorite shit to do, they love monkeys, they love to eat them. And they have all these elaborate traps where they, uh, there's, you can see them online, will, will find you the youtube clip. I'll find it right now because it's pretty fucking trippy. It's a youtube. I'm just going to youtube chimps, eat monkeys and a, my point is they, they eat them alive, man. They eat them alive, they rip them apart, they don't kill him. First it, same thing with bears. Bears ever see like a bear when it, uh, like that's the thing about that Timothy Treadwell. Dude, that dude from grizzly man, the fucking video or the is there's a cap on the video when the bear ate them, but the audio is there in the audience. Seven minutes long, seven minutes long. Is that not leaked yet?

Speaker 2:          00:44:39       Seven minute. Because the the woman who was his girlfriend didn't want it to leak. If you don't, if you haven't seen grizzly man, you must. You must. Secrets who? Matt is one of the most genius fucking movies ever and it's like a subtle comedy. It's, I mean it's so hard to describe. This guy was so insane and he was living with bears and the way it's edited together and Werner Herzog is typically not known for making funny movies. Right? He's like a serious director. I don't think he meant to make this fun, but this guy is so ridiculous. He's have like a bear. Come here, come here. He's gay. Or then Ricky Martin in a room full of dicks. He's, he's says this guy is so gay and he's out there in the woods with a camera going, if I was gay I could just meet a girl and we could just. Or can you meet a guy and a restroom? We can just hook up that I'm not gay. So what do I do? Want to bring it up. It wouldn't do it in specific. I just go to a restaurant, right? Like, why is a great movie? I need to refinance tastic movie grizzly man, you have to see it.

Speaker 2:          00:45:40       But this guy was like really into saving the grizzly bears. So he's up there in Alaska and he's like, you know, the fucking park rangers now he's motherfuckers out here saving him everyday and the bears are looking like, who is this crazy bitch? Like they weren't anything. It was letting people know the bears were there, but they knew bears were there. Like he wasn't saving them. They're at a national park, you know, occasionally there's a poaching, but that's going to happen everywhere. They're not going to not poach because you're there. Stupid, you know. Okay. Here, chimps killing and eating a monkey. I'm going to take this. Yeah, this is the one. It's ruthless. Ooh. I'll take this link and I'll throw it up on twitter right now from a peoples when I'm really high. I can't type that good if I think about it.

Speaker 4:          00:46:27       Uh, let me

Speaker 2:          00:46:30       into the zoo. The Los Angeles Zoo. Yeah. I don't like to go to the zoo after the last time I went, I wrote that piece about the zoo animal prison on, in the blog. But I realized because I was super baked and when, uh, you know, like when I, like we were talking about earlier when you super bait dealing much more sensitive than I was watching these animals. I'm like, this is a horrendous life. Just because they can move doesn't mean they're alive. They don't allow the predators to kill and eat. That's like the, the, they take you away and eat, you know, you can't talk to people ever again. You know, you just, you get locked up in a room by yourself and, and something else other than you has to stare at you. Right. And you don't even get a, you don't get to, you know, the one pleasure that animals that are predators get.

Speaker 2:          00:47:11       I mean the reason why they go after the, the kill, it must be orgasmic. I mean it's what they need to stay alive and they're doing it with their mouth and they're feeling the life leave the animal. And I mean it's, it's imperative for them to be really awesome at killing things in, for them to survive. So what must that feel like to them? It must be incredible when it feels good for us to fuck. And there's so many of us. It's like, it's not even important that we fuck, you know what I'm saying? But it's your body is so programmed by all the years of evolution to think that it's very, very important to make new human being. So you get this fantastic reward when you fuck. It just feels so good. And what it really is, it's just nature trying to trick you nature, making sure that you're rewarded for doing what you have to do to stay alive and to continue to race well with a Jaguar every day.

Speaker 2:          00:48:00       You have to kill some shit. The fucking, the physical rush, the sensation of chasing something down as it's running through the forest. Not sure if you're going to get it and sometimes they get away and Bam, you got that motherfucker right by the neck. He feel a heartbeat and it's legs are kicking and just put that little antelope down. That must be fantastic. It must be fantastic and you don't even give him that. You just put them in this cage and you slide cold meat in a tray and he eats it and she was like, what the fuck? What the fuck did I do to deserve this mean? If you've got to keep them around, I could see the argument much more to kill all the predators than I could to keep any of them around in cages, you know, because I could see what you're saying. Listen, we're going to get some video of all these animals that can eat us. We'll get some nice video, documented a bunch of different formats and peg mov put an iphone and then we're going to kill them. We're going to kill all of them. Anything that kills us,

Speaker 3:          00:48:57       but why not? What if they were to do it? Like they had a huge open crazy space and they made it kind of like fun and everything that they would want, but then they would like throw on like, all right, here's a cow onto the situation.

Speaker 2:          00:49:09       Yeah. No, I don't know. I don't think you want them. The problem is people don't want to see that shit. How about in the day? I mean, if you're going to do instead, if you really want to teach children, why is it okay? It's kind of funny because why is it okay to watch something like that on the National Geographic show on discovery channel? They show you all the time. Have you ever seen relentless enemies? Uh, maybe. I'm pretty sure it's called relentless enemies. It's a fucking amazing documentary about these lions in Africa that are. They look like cartoon lines. There are a lot like, like, like giant Mike Tyson lines that it's so ridiculous and the females are bigger than normal African male lions or as big, if not bigger than normal African male lines, which is an unprecedented mean. It never exists. These fucking lions are gigantic and the reason why they're gigantic is because they the river where they live changed course about a hundred years ago and all.

Speaker 2:          00:50:08       I may not even be 100, it might have been more recent than now. I have to look it up, but they got stuck on this one island with water buffalo only water buffalo. So in order to survive, they had an only killed the toughest thing to kill. So these giant fucking water buffaloes are dangerous as fuck. They're super powerful. They've got these giant horns and they'll come at you and stomp your ass and they get broken legs and they can't hunt again and then the fucking they starve to death. So it's a fucking dangerous proposition. Will these ants, these, these tigers got gigantic because of it. They got fucking huge and it's really fascinating, man. Really fascinating to watch them try to figure out how they're going to take out these water buffalo and they're just so much bigger than regular lions. It's like, it's crazy to watch man. Really, really intense documentary.

Speaker 3:          00:50:59       You're a huge documentary. You'd like how many documentaries a talk to you? A lot of them. Yeah. Is it because you're just like science? Have you always liked science?

Speaker 2:          00:51:11       I, I do. I just get fascinated by shit man. You know what I mean? Just the fact that that exists. I mean if you, how many people have their new approach, but a lot of you guys knew about those lines in Africa, but you know, he talked to her because you're on the Internet and Shit and you're savvy enough to be on the youth stream. But like how many fucking people really you know, know, know anything about the animal world or space or you know, mean you start seeing things about like hyper Novas they blow up like everything, like within, you know, 100 million fucking light years and everything gets cooked and they happen all the time throughout the galaxy. And you're like, what? Like what is this? They talk about how they can. If one happened like anywhere near us, we'd be cooked instantly. Like it just blows everything apart all around it. Like this insane event where these spirals of energy blast out from the sides and it's been, it's fucking nuts and it happens like hundreds a day all over the universe. Tuesday it's like, to not be into documentaries to me seems way crazier than to be into them. There's so much nerdy shit going on out there and no one cares. You know the new season of losses, right? About the stock. Oh yeah.

Speaker 3:          00:52:25       I read. I can't wait for that though. Every time I see that commercial, I'm just like, Oh God. There was one second avenue.

Speaker 2:          00:52:33       The documentary on the Lions folks. I think it's called relentless enemies. Let me, let me check right now. What is that thing you? You're saying you have to smoke cigarettes.

Speaker 3:          00:52:42       Oh No, no. I'm Jonesing for last. Oh, but did you know, did you hear somebody hit by a. They want. This is how dumb somebody whites went to go get the nicotine patches and they wanted to quit smoking faster. So they put every single one of the nicotine patches on their body that you know, you get a box of them and they thought that if they put more patches on their body,

Speaker 2:          00:53:01       so suck. And here's, here's, I can show you this right here. It's called relentless enemies is the the documentary on the and now here, this is how bad people suck. This fucking guy, Dr Levin Cac more film Guy, Amazon Dot Com. Amazon.com. He says, how can someone mess up such a great documentary film in such a way? I hope National Geographic does something about it and we can buy it again. I tried a of different age. DVD.

Speaker 3:          00:53:26       Oh, okay. He's saying, okay, this guy is saying to exit the. No, he's saying that the DVD he got it was any of the other ones over there, but yeah, it's fucking nuts. Fucking amazing. It's amazing. Oh, it's saying we will not play on the video. The problem with digital media is pretty huge right now. Somebody bashing itunes the other day

Speaker 2:          00:53:47       saying that it doesn't play. Wow. For two or three are saying these three reviews that are on the front page anyway, the documentary itself, if these poor guys could get the DVD to work, it's fucking incredible. I mean, it just shows you how quickly life can adapt. You know, there's these, uh, you know, the Amazon rain forest has only existed. None of the Amazon. It rather. The Congo has only existed in that form for like a few thousand years and thousands of years before that it was like grasslands. So there's animals that are trapped inside the Congo that are animals that live on the grass plains, like rhinos are trapped in there and deer and antelope. And there's one little antelope that has developed the ability to swim underwater because the Congo was filled with water, develop the ability to swim underwater up to a hundred yards and it eats fish and it's a fucking antelope.

Speaker 2:          00:54:43       And it's, yeah, there's a little short ass legs because evolution dictated that this animal change. I mean, and that happened over 2000 years. There's a fish in the Amazon that comes out of the fucking water and walks. It's awesome. It's crazy. And finds another waterhole and then there's this fucking bird that eats it, that looks like a goddamn dinosaur. It's a six foot tall evil giant bird with this crazy big ass fucking beak, like this big killing machine attached to its face and it's got these dead eyes like these dead crazy dinosaur eagle eyes and it jacks this fucking old dinosaur walking fish. And you're like, Whoa, that's a nutty goddamn place. That's the same planet we live on. That's the same planet we live on.

Speaker 3:          00:55:27       You're saying that old video of like the Eagle, like killing all those goats, like throwing them off the cliffs. It's awesome. It's ego just it's like on top of a cliff and there's all these goats and it's just like grabbing him and throwing him off the cliff and eat them.

Speaker 2:          00:55:40       It could barely carry them, but it's dragging them like. It's like you're doing it on purpose. It couldn't kill them if it was just on flat land. It knows it's going to kill them by dragging them off the rock. I mean, that's incredible.

Speaker 3:          00:55:51       Yeah, it's smart to man, like whatever this blackbirds are where they have. They use tools. You've seen that? Yeah.

Speaker 2:          00:56:00       Yeah. I've, I've, I've seen them do all kinds of creepy shit. I had a stake in A. I was trying to, um, um, a thought out and I put it on. It was in the rap, you know, from the supermarket and I put it on a stone outside my house for a minute, maybe a minute. I came out and these crows worth fucking it up. They've me.

Speaker 3:          00:56:24       They watched me put that out and then they swooped in and look at it and I think that is meet this dumb motherfucker, left some meat out. Like there's no way he's that stupid. He left some meat out. I'm telling you it's me. Let's eat it. And they landed on and just her fuck it up. And I came out, there was two of them just fucking up the state. Wow. They're so clever. It's crazy. And a rat witnessing it now of flying rat. Even flying like a pigeon. Pigeon magic. We're flying rats around here. How horrible that would be. There were pigeons, pigeons flying rats. Unless you raise them yourself in the cute. I'd been putting bird feed out lately at my backyard in the bird feed. I put out a attracts these little canaries now. Have just little canaries everywhere. I've never in Ohio, they don't have canaries or

Speaker 2:          00:57:06       fellows. Very specific. Have either of you guys tried j dot w, h o

Speaker 3:          00:57:11       when I heard about this the other day is that there's a, there's a topic on your form about it. Um,

Speaker 2:          00:57:18       I can't remember. What is this? Oh my God. Oh, here. Here's how crazy you internet kids. Are you coming up with new ways to get high? It's an analgesic chemical from the Amino alkalol, alcohol and node. How do you say that? And I don't know. Yeah, no, I'll key lineal family at which acts as a cannabinoid, blah, blah, blah, blah, blah. Well, it must be something that gets you fucked up. I'm sure there's a lot of those things to a different new things. You know, this sounds crazy coming from someone who's done as many soccer dogs as I have, but I think the shit that you should do is the shift that people have been doing for thousands of years. You know, you can't go wrong with San Pedro. Cactus, you can't go wrong with cannabis. Mushrooms. You can't go wrong with those things. IOWASCA. You can't go wrong. I mean, you can't go wrong. You lose your fucking marbles. Don't listen to me. What I'm saying is you knew stuff like, you know, hey man, try this new shit. Scientists fucking in NASA labs, man. It just came up with it. Um, no, don't, don't do anything that people haven't been doing a long time. Don't fuck with some new shit. They just invented tests and you smoke it and it makes you want to fuck animals. You know, who the hell knows? All the old Indians. They were, have their Beta testers.

Speaker 2:          00:58:40       That was their shit. The San Pedro cactus masculine. I've never done that. If you ever done it was just crazy that these things are illegal. I mean, Bill Hicks had a great line about that. Like isn't there something fucked up about making nature against the law? You know, it was just totally, totally true. I mean, how could you tell someone that they can't have a life form that exists naturally on this planet, whether it's cannabis or mushrooms or you know, anything, anything that grows naturally, you can buy this and Sonya, anything that's affects your consciousness. You can buy stuff that's poisonous, like you can legally have a bunch of different plants that can kill you, a bunch of different plants. You know, it's like you just having marijuana in your backyard is not proof that you're eating marijuana or using it and if you have all these poisonous plants in your backyard, nobody would even bat an eye.

Speaker 2:          00:59:33       And that's the same thing. It's not. I mean it's a personal use issue. You know, it's, it's really so weird that people allow in this day and age with all the information that we have, allow plants to be illegal. Man, it's fucking pretty incredible ants. It's pretty incredible. It's fucking really bizarre that we have. We enforce it so strictly. It's such a strong ethic in our culture that if we catch you using certain plants that have nothing to do with me, they're not effective. Not at all. But if I catch you with these plants, I'm allowed by our laws to q and a cage. How crazy is that? If you haven't yet giant ass bag of mushrooms and you are driving on your way to the woods and a cop pulls you over and says, what are you doing? He's like, well, I'm about to have a spiritual experience with the Lord.

Speaker 2:          01:00:21       The Capa go, what the fuck you're talking about? Well, I have these mushrooms that I'm going to go out to get the fuck out of the car. Get out of the car, he'll handcuff you. Fucking idiot. You're telling me about this. I'm just letting you know, man. I'm just a nature is natural. It grows on the earth and it's shut the fuck up. Shut up. I don't want to hear I wanna hear your hippie bullshit. Get in the fucking car. I just hit the mother with this stupid fuck. This guy told me he had mushrooms on him. How high is he? No wonder you. Let's go to salaries and then they meet up and they feel good for locking this guy in a cage for having plants on them. Yeah, that's bizarre. Two thousand 10. That's strange. I mean it's. It's very hard to believe if that's the case.

Speaker 2:          01:01:01       What's. It's really strange. That 2010 is that we're going towards 2020. That's just craziness. It was crazy. Just the sound of it. This guy says it's because of money though. Yeah. It's definitely because of money, but it's just, it's amazing. You know. Here's the best example of how it's for sure. Politicians are whores. Best example, nobody talks about cigarettes. If cigarettes was, if al Qaeda was killing 400,000 people in America every year, Holy Shit. With the war against al Qaeda heat up, it will be gigantic as it is there. They're killing people. Most of them that they've killed, you know, unless she lifts the Alex Jones government. But most of them are in other countries. I mean, in this country alone, I'll Kinda is not aware of Jack and people, but cigarettes are cigarettes. She'll 400 fucking thousand people a year. I mean, compare something you use for personal use to al Qaeda is ridiculous.

Speaker 2:          01:01:53       Absolutely, but my point is like it's very dangerous. Marijuana doesn't do that. Even alcoholism killed that. Many people think about how fucked up alcohol gets you and alcohol poisoning or alcohol deaths. It's not nearly as high as cigarettes. Cigarettes is a motherfucker and it's so hard to kick. Right? You went back on him, right? Yeah. Brian terms. That was a year. He's done it a couple times in. One little thing will set that trigger off in the back of head. It's mostly stress stuff. It's horrible, but meanwhile it's totally legal. And did we talk about the oxycontin express last week? We did, right? God, we talked about cigarettes too. We talked to. These are important issues. If you haven't seen the oxygen come express, get on that shit. Find it on, on online. I think it's on youtube. The whole thing is, and it's one of those directors version, so that whole things on youtube. So this week. And you're at the Ice House? Yeah. Oh yeah. Yeah. We're doing comedy this weekend. Bitches making it happen. He's going to be a job at the Ice House in Pasadena. Uh, this Friday we're doing two shows there and Saturday we're doing two shows. This guy says dmt is not easy to extract. Well, you ain't no super secret scientist. Are you?

Speaker 2:          01:03:05       Do you ever smoke banana plc? These motherfuckers? Yeah. I smoked a lot of shit when I was young. Stupid. I was trying to get high. I smoked like bamboo leaves. It was horrible. Very harsh on the lungs too.

Speaker 2:          01:03:24       Birds can be scary. They are on acid. Oh yeah. Good point. Amazing Kush. The bird can be super scary. Period, man. You were looking at Eagle's eye like you ever seen a dude that has like a pet eagle. We've those talk shows and they get close up on an eagles. Hi, this girl, I just got an owl as a pen and have you seen him as a murderer? Murderer. And it just sits in their back room on that. The shower thing y'all. That ain't cool. That's a predator. It's crazy. That's a real like animals look all fluffy and cool and everything because everybody thinks about them from those Goddamn tootsie roll commercials, tootsie pops. That's not. No, that's a fucking Predator thing about people where we take these evil predators and we change what they are. Like polar bears. We got them selling ice cream.

Speaker 2:          01:04:11       Nicola polar bears are fucking monsters. Polar bears cover their nose when they're sneaking up on Eskimo villages so that they can't see the black. That's awesome. Do they? They. They learned how to do that. Hunting seals. They take their nose and they. They hang over the edge of a glacier, a floating ice raft, and they hang over the edge so that these seals don't see them. They see white. Everything is white. If they see that black nose, they figured out that seals can see the black nose. That's how fucking evil they are, and we got them selling ice cream and coca cola, tony the tiger. That's about chimps, man. Bj and the bear. This tooling around with a little pet monkey. How can Bj and the bear? How come behr number eight, anybody's face off. How come Behr? Never tried to bite some dude's asshole out by thinking.

Speaker 2:          01:04:59       I think that that monkey ended up doing that with net. The monkey that was retired here in Los Angeles. They, they always retirement, they get older because you can't control the old males. You can't control them, aren't mirrors to ancestors are. It doesn't matter if you raise them. They're completely wild. You cannot stop that. That lady just thought just because she was putting a diaper on this champ, you know, and given Xanax and she would give it wine and shit. It was like a fake boyfriend. She had like this fake monkey boyfriend and she thought she had the thing under control. Then they just decided eat either friend's face. It's like, I don't fucking like you. I don't like you. He didn't. I mean there was no fight. There weren't brawling. She didn't hit him with a rock. He shouldn't. Shit is attacked her an eight or face. Whoa. Even dogs don't usually do that. You know, you got a guy who's got a crazy dog. They don't attack your friends. How often does that happen? I say kids. Yeah, because they think kids are animals. They don't respect them.

Speaker 2:          01:05:59       That all that shit about my cat really freaks me out. Talking Shit about him. I can't kill anything. You know, if you have a pet monkey, a little monkey like that big, would you be safe leaving room? This fluffy cat shouldn't murder that thing. I come home, it's got to be all hanging out and she'd be looking at me like she's my friend. Hi. They will not even like, she's evil. Poor little monkey was little monkey family. She'd kill them to the little monkey. Babies are merciless. It should be rolling around the dead bodies. Especially with her, cause she's got real close. She's not declawed. He's declawed.

Speaker 3:          01:06:37       They all have these things I just found. I don't know if I told you this or not, where they go over the claw used glue, any put glue in these little claws and it goes over the claw. So they think they have closed still, but it's weird rabbit with him, but after awhile they pop off, they pop off and pop off. Quick Park, keep choosing off to late Jack and everything sucks. Yeah, I wouldn't let him keep his claws. I don't care. I think it's. I think it's fucked up to take the youtube video. They actually cut off a knuckle. It cut off this part. That's craziness. My cat killed a rabbit when it was a kitten. Damn,

Speaker 5:          01:07:13       that's a.

Speaker 2:          01:07:14       that's a rough story. Asian alien. I believe it though. Cats are ruthless. I grew up in a knot who'd wear a cro, could talk. His name was car and he would come when called. Wow.

Speaker 3:          01:07:32       You know what if I had never read anything about crows or watched a video and I'd be like, that guy's crazy. Crows coming to pet crow. Totally the same. It's not like they're all black. Right. You know when they figured out you have food, you know. I find it weird when people have no worlds as pets or raccoons. Raccoons are crazy to see that one video where a raccoon or a dog or wrestling, they usually fighting to the death and now you know raccoons. Fuck dogs up, man. They've ripped them apart. Yeah, they're scary animals. I mean, I see him all the time or in my neighborhood.

Speaker 2:          01:08:03       Raccoons and skunks and rats books. We lost to history that I would have changed the world. That's long articles that good.

Speaker 5:          01:08:16       I'll check it out.

Speaker 2:          01:08:18       All right. We're going to read some questions here. One year. No cigarettes. This guy says all it cost me was a girlfriend. The dog. She took my, my waistline and my sanity. Wow.

Speaker 3:          01:08:29       And you get hit by a bus tomorrow.

Speaker 2:          01:08:32       Deserved the cigarettes after she left you or you couldn't afford them after she left you or you quit the cigarettes and because you couldn't cigarettes. You went crazy and you were like aggro. And then she left you. Is that what you're saying? That she took the dog. It's took your waistline, but the wasteland. That's good. Right? You want to lose, lose some weight? Probably. Unless you like one of those dudes in the guts. Apparently there's a lot of gay dudes to them. Electronic guts like that. They'd like to have a clicker. They gotten cock.

Speaker 3:          01:09:01       I think like those ladies, Zack. Zack got some,

Speaker 2:          01:09:04       you know, I mean there's fetishes just like some dudes are like really in a feet. Some dudes are really into like girls and spiff specific type of toenails and like come on girls toes, you know, I think with gay dudes and just get into a certain thing like they see some crazy homophobic trucker is all mapped out at the truck stop and they just wish they could just suck his cock because he hates them. He hates them. There's something about them. It just turns the gay guy on. That's my theory. That's fine. That guy with this big fat gut and suck that Dick. What?

Speaker 3:          01:09:34       I love people like this. Somebody just asked, you know what? They've been trying to see your tattoo for three weeks. They've been asking now, wouldn't you think you can see that when this person does google, if he really cared that much. Joe Rogan Tattoo at the. That's the kind of people I hate. You know? It's like, well, I don't hate, but I hate people. When they asked me all these questions, I'm like, man, if you're fucking google broken. That shit happens to me all the time. Yeah.

Speaker 2:          01:09:58       People, there's some people that just don't have good friends. Good. Talked to lazy fingers.

Speaker 5:          01:10:05       No.

Speaker 2:          01:10:09       Yeah. The only problem with marijuana, there is one problem with marijuana and it's some of the marijuana community. A lot of churches, you know, a lot of mooches and dirty hippies. Brian left this insist, you and me now. Do you think I should get rid of him? So I kick him out of the room and just have it all about us. Say, listen man, you did your part today. That's been my people.

Speaker 2:          01:10:54       Yeah. This dude is saying, um, I did a job. Ct Dirt says I did a job and these people fed wild raccoons and they scratch at the door like a cat. Wow. That's crazy. That's nuts, man. Makes Sense. I've seen squirrels that you could feed. There's a park in north Hollywood and if you break peanuts of you, especially, you lie down. So the squirrel doesn't feel like you know, you're in a threatening position to chase after him. You know, you lie down on your stomach and you hold up in the fucking scroll. Come up to you real gingerly, making sure you're not crazy and he'll take that peanut and some dudes that the squirrels. No really well though to sit right in front of the dude and eat his peanuts like right there. Like this one, there was this one old Chinese guy that apparently goes to the park everyday and he brings penis and so he's sitting there with these peanuts. These girls are coming right up to him. They're just holding his hand while they're taking the peanut. Like he's their friend. Like they're not worried about him at all. It's kind of crazy, crazy saying.

Speaker 3:          01:11:46       By the way, the Jedis is that new digital camera I reviewed. If you guys are

Speaker 2:          01:11:51       helium to say this before, if you ever want to like buy something like in in he know that he's reviewed it. You got to watch his reviews. He's crazy. There's something wrong with him and he gets like super into the technical aspects of anything. Technology like phones and like his reviews of phones. He kills those guys at engadget. Those bitches. You can't hang with Brian.

Speaker 3:          01:12:11       The problem is a lot of these websites are getting money, you know, they're getting like they're going to get. Well, not saying that engadget does. No, no, no, but like if they've reviewed favorably, say like an apple product, then the next time apple has a product out, they'll give them like an exclusive. Because you know, a lot of these websites don't want to bash her, tell the truth because they don't want to ruin future products and stuff like that. So anyways, this is a new camera in world works is a new camera. Films Hd. It's high quality hd, 60 frames per second. I have the whole review at red band Dotcom Stereo microphones. If you're looking for a small digital video camera, this shit. What's the model name? Brian? It's Sony DSC t x seven and red band. Red Bin Dot com. I have the whole review there.

Speaker 6:          01:12:55       This dude says, podcast or a girl says podcasts from the sensory deprivation tank. Maybe that would be a fucking cool thing to do. You know what? Actually it sounds like that. Would it be? Would it sound like that? It was. Is there a way that I could have somebody recording sound in there?

Speaker 3:          01:13:14       Well, you know, he can't get away and then we can hook them. Might put a microphone right at two next to it. But I mean there was some more both, you know and all that stuff because it's echoing in there. Yeah. But who wants to do. Why? Why? Oh, you mean just lay there and talk? Yeah. Well we could just turn off the lights here and you can talk and. No, no. I'm going to totally do that. Winning, that defeat the purpose of being in isolation tank. No. Okay. You will be too focused on talking to people.

Speaker 6:          01:13:44       No, no, because it would be talking to people. Your mind would work so much better than it works with sitting in a normal environment like here talking to you and sitting on a couch and lights and the laptop and all this input coming in. You don't realize how much this has an effect on your ability to see things clearly and you see things very, very clear in that tank and I think if you're in that tank and you just start talking, it's going to fuck up a little bit of the experience because you're going to hear things. You hear yourself in both in your ears, so hear to your ears. Can you hear it? Okay?

Speaker 3:          01:14:14       Had you've lost your mind, but I think it'd be kind of cool. I will do that. We're going to figure out a way where I can do a podcast

Speaker 6:          01:14:22       someday from the sensory deprivation tank and by Sunday I mean like within a month. I don't mean like when I'm old and ready to die.

Speaker 3:          01:14:30       Hey, gay ban the original question three weeks, two weeks ago was why does joe always wear long sleeve will hae a retard go google that because I bet you joe's answer that

Speaker 6:          01:14:42       wow.

Speaker 3:          01:14:44       Totally out.

Speaker 6:          01:14:45       That was really. It was unnecessary.

Speaker 3:          01:14:47       He called me gay man. I'm allowed to say something.

Speaker 6:          01:14:50       Wow, you're an asshole. But he's looking. I can't take them seriously because he says Brian is a f, k, k, a whole. If you asked me,

Speaker 3:          01:15:00       well, I'll never going to ask you anything if that's what you write and fkk. That's really you. I can't talk to you dude.

Speaker 6:          01:15:10       Brian's the third wheel. How? How dare you? Ryan's very talented

Speaker 3:          01:15:14       ipns. Too much negative energy. I think it doesn't have a negative negative energies.

Speaker 6:          01:15:19       The safest, most non-dangerous negative energy ever. He's a nice guy. Leave him alone. You fucking creeps. Why won't Dana let you show your town, the UFC? No, it's not that. It's just, it's a distraction. It's not necessary. You know, it's not about me when I'm on the UFC, it's 100 percent about those dudes that are fighting. I just try to do my part, my commentary and explain and be enthusiastic and be appreciative, but it's not about me, you know? That's why I dress like such a retard. I'm not trying to shy away

Speaker 3:          01:15:51       looking at my cuff links, looking at diamonds,

