Speaker 1:          00:00:00       And three, two, one. No.
Speaker 3:          00:37:27       And those people are, you know, they're careerists are very good at office politics. They're very good at having the right friends, but their contributions are never really important, are long lasting because they never get great because they don't take any risk. Because I think greatness is something you have to risk constantly to get to that level. So a lot of these people do very well. They make money, they're, they're successful, but they are careerist and they're looking for comfort. And so when it was comfortable and safe to attack Louie and to bring Louie down and to elevate themselves, they did it. But they didn't do it when it could have hurt their career a week earlier, you know? So to me it was very disingenuous and the fact that more people weren't calling it out. And, and I, and I made that point where I said the same thing on the other side of people who styled themselves. Like I'm a free speech warrior. I'm this anti PC in their whole entire persona is, is that the need to say the n word? They're like, I can't do a joke if the punchline isn't fact. Like they're like, we have to. So those to me are kind of the same

Speaker 2:          00:38:36       people and they're the people that are just trying to arrange the world in a way that allows them to succeed. Those are the types of people. Also like you were talking about the actor in the retail, you mean they're, they're putting on a facade, not who they've adopted a predetermined pattern or behavior. 100% that predetermined pattern of behavior might be, I'm a guy I drink every night. We go hard, right? I'm an artist, I smoked cigarettes, I don't give a fuck. No, I'm not trying to get on TV. Yeah. So to me it was like incredibly disingenuous. He had all these people and a lot of them are angry and they're doing fine. Like some of them were talent. Like some of these people have their own shows and they're getting angry at Louie and angry and I'm like there's, there's a real, because here's the thing, Ari Shaffir told me something that made a lot of sense once he goes, it's, it can really be a waste to get into this type of business and end up in an office writing for a show you don't care about in a job you hate punching a clock.

Speaker 2:          00:39:31       And that stuck with me and always take, it might be harder to go the other way and to build a fan base and to do what you want, but it's going to be, it's going to be better in the end and you're not going to be angry. You're not going to be resentful. And I think a lot of the people that were were again shitting on his comedy, not so much his behavior, but it's comedy are people that are, would want more in this than they have. And they're resentful at guys like Louie because it, it's not fair how talented he is. Well, it's not just how talented he is, his work ethic, there's a lot of the factors, the risks that he does take. I mean, he, he says controversial things. He always has. Whether you agree or not. Like one of the things about the Parkland thing, you know, and when he got in trouble about, uh, you know, saying that all you did was put some fat kid out of the way.

Speaker 2:          00:40:17       Yeah. That is so consistent with his material. Yeah. The idea that anybody's saying like, oh my God, he's punching down. Like you need to go review his material again because he said a lot of risky shit because it was funny and he had really good points about it. Yeah. Is that something that I would joke about? Probably not. Right, but he did. He wouldn't joke about fat people. Uh, yes I would, but I don't think I would joke about kids getting shot. It's a tough take. Yeah. To make funny, but that's right. Yeah. But I think he could. I think honestly we were, you're dealing with, first of all, the embryo of a bit. I mean he's really only been doing standup again for a couple of months in Pakistan. It was even less. And I think ultimately his idea that bed is that bit rather is that kids today, like they want to be a VA and have them when they have a 78 different genders.

Speaker 2:          00:41:11       And why am I, why are you interesting? You're interesting because you didn't get shot. That is his take on it. And he probably with overall reaction and anticipation of reaction probably would have eliminated that part of the bit. Sure. And you know what I'm saying? Like you know how it works. I'm still shocked. I think part of it is too, I was attracted to comedy because of guys like Bill Hicks or Patricia people that can pick the things that those guys said. You could only say on a stage if you were really funny. Right. That's what I love about common. Me Too. That doesn't mean that everyone has to love that. There is people that love it for a million different reasons. Sure. But I love when Bill Hicks got up and he said I was for the war, but against the troops. That's still, to me, one of the most amazing jokes I've ever heard when he goes, we had a war in the states.

Speaker 2:          00:41:52       I was in the unenviable position of being for the war, but against the trip, it's like all those men living together. Yeah. I just don't like young people or whatever. He fight. It's just great. I'm like, Oh, you couldn't say that in a human resources May. You couldn't say that in an office. Right. He couldn't say that. If you were out to lunch with a bunch of people, probably couldn't get away with that unless you were really funny. But these guys have gotten so funny and they've, you know, perfected their craft to the point where they can get away with these things that the goal is to elicit laughter. It's not really, you're not going to change your mind, but the goal is to make you laugh about something that's dark and horrible. That's what I love about calm. Yeah. It's some of my favorite material.

Speaker 2:          00:42:31       Some of my favorite material is fucked up. It's wrong. You probably shouldn't have said it would make me Howell out. Have you seen Holtzman? No. You never seen Brian Holtzman? No. Oh my God. Like store. Yeah. You should check them out. How long are you in town for? I'm a temporal of widely early March for wedding. Oh, I'll call him back like a week. A month now. Well, he'll be here. I'm sure he's here either Friday or Saturday cause he doesn't really do the road. He mostly just does the store. Yeah, I don't even think he does other clubs. I think I lost as a story when I started in 94. He was coming up. He was there at the store in [inaudible] 94. Wow. And uh, he was already there when I got there and I was like, Whoa, this guy is going to be huge. And for whatever reason, he never left.

Speaker 2:          00:43:12       He just does the store. But he's a legend, but it's the best room. I mean, I just did a few guest spots here and I'm like, oh, this is the best room in the cut. Like I wouldn't leave. I'm like, this is amazing. Yeah, but you gotta leave. Like I'm doing the Improv tonight or what? I did the Improv the other night. I'm doing the Improv tomorrow and I mix it up and I did the ice house last night. Right. I mix it up. You got, I think you have to, but it's the best room in the world. Is he one of those guys who does this stuff where you're like, I can't believe I'm laughing. When Susan Smith drown her kids. Remember that he got gauge that night. He's like laser gentlemen heard. Those were bad kids. I heard they sat that closer to TV. They never put away their blocks.

Speaker 2:          00:43:49       They're constantly spelt the fucking milk. Those kids would not be missed. It's all A's. I was like, Jesus Christ. Wow. Mitzi shore would not let him go onstage after nine 11 she would not let him go and she told me because she was like, you were on the bench and how long? Like weeks. Oh my God. He got, she's like, don't let him on. He got benched after nine 11 by Mitzi shore. That's great. Sure. Let you get away with fucking anything. That's a while now. And this is pre social media too. She wasn't worried about a tweet storm. No. No, you can't. It can't let him up. I love pre-twitter to not let someone up. It has to be so gracious. He's a fucking animal man. It's, he's so funny. He's so far the things you laughed the heart, you know when you're, I was looking at it as like when I was going through a Taco bell drive through in 11th grade and we were all stoned.

Speaker 2:          00:44:40       The things you would make jokes, nobody in the car would ever go. That's too much. If they did get rid of them, they're done. They, you know, no one means that. No, we would let each other's families. You, my mother's just gets a phrenic. We would make fun of my mother, you know, and it, it was great. Yeah, I still do. Yeah. If you're someone in your family's mental wheel, you're not making fun of them. Your, it's your problem because difference is between east coast and west coast comedy. Is it west coast comedy? They hold that carrot of a Sitcom or uh, you know, hosting the tonight show or something like that above your head. We had health insurance always there. East Coast comedy is just be funny, be funny till you die and be funny and mean. There's a lot of meanness and there's a lot of holes in the winter.

Speaker 2:          00:45:24       It's cold and mean. And that's really, you know, it's real. But you know what I like about west coast coming to choose, it's a lot of performing cause he's, the rooms are big. Yeah. And use your big east coast rooms are a little smaller. She have a lot of like writers. I love the performing style so I kind of like seeing people in the store with big acts. Yeah. There's not a lot of room to move. Like if you're at the stand or the seller, something you are a little small. Yeah, they're tight little rooms. You can't use [inaudible] on stage performers in those rooms that rock out in the stroller. But like when I was in the store I was like oh there's huge rooms. Big performers and that's awesome. Especially like the main room, the main room is amazing. Giant stage. Yeah, it is interesting.

Speaker 2:          00:46:04       I like those really small intimate rooms in New York. They lend themselves a lot to talking to the crowd and being sharp and having really sharp bits that hit. And then I think, and that's why you get to go everywhere because you need the, when you go on the road, you want to, you want a little bit of everything, you want to be able to perform and you want to have sharp jokes, but you gotta be able to do crowd work. You've got to, you know, yeah. I started on Boston and Boston was always, no one has a long attention span. Everybody wants to do the jokes quick and if you start bombing, you're not going to recover. Really. Nobody recovers in Boston. It's tough out there. And once you start eating shit they've done with Bobby, Kelly would tell me stories about like the rooms he came up to him.

Speaker 2:          00:46:41       They are rough rooms. Yeah. We came up together. I mean I did a lot of road gigs go. Yeah, yeah, yeah. We actually lose that. Like what area of boss is that? Like outside of Boston? Yeah, we did a lot of the Dick Dardy comedy huts. Okay. Out in the middle of fucking nowhere. Sounds great to Worcester. Other were great. There were [inaudible] which is like a Polynesian restaurant. Yeah. And they would have comedy hut. I went, I did it. I did one the 50 minutes Netflix specials. I went the next day to two days later I went to a room in Massachusetts outside of Boston and I bombed so bad. It was amazing. I was like, well this is why the funniest people in the world come from this state. Where was it? Where was I? I forget it was a, um, I don't want to say the actual show who did bucket.

Speaker 2:          00:47:26       This guy booked and he knows exactly. He would probably tweet me or something. But it was in God, it was outside. It was like 20 minutes outside. It was in, it was in, I'm not Hingham, but it was, it was somewhere and it was not good. It was just a bar. It was a circular bar and I got up and then nobody was like w in the middle of my set of woman to Trump, woman started yelling me and then I yell back at her and then it was okay cause we yelled at each other for 20 minutes. That was just show. What did she yell? I think it was something you have that funny. If fat fucks up something that was justified at that moment in the set. I went back at her, I was like, listen to me, you fucking animal. And then it was great.

Speaker 2:          00:48:08       And then they, they perked right up and then the material worked after that. It's always exciting when something like that happens. It's like finally that was, it was the Trump moment, this moment where people are like sat up in their chair and they're like, okay, we can, you know, um, when I was living in Boston, you could make a living and not leave. Oh Wow. You could stay in Boston and you could go 20 minutes here, 30 minutes there. You go to Andover, you go to hang them, you go to Framingham who go to all these different places and you got two gigs and I mean you wouldn't get rich, but you could pay your bills and never leave town. And so there was so much comedy. There was so many rooms. Like Barry Katz had a bunch of rooms and the common connection had a bunch of rooms and Mike Clarke had a bunch of rooms and there were slower.

Speaker 2:          00:48:53       That's what really got you really strong. Yeah. Because you're mostly doing these hell gigs during these hell gigs everywhere. And so when I came to New York, what got me was that everything was like small. There were small crowds, small stages, and you would do a short amount of time. Yeah. And I was like, Ooh, I don't like this that much. I could showcase set like 1510 15 minutes. Yeah. Because I was doing like middle sets. I do a half hour and then I, I was headline and I do 45 minutes. Well, so come out to long island. We have kind of, it's an approximation, you know, of a Boston, they're wild folks. Oh, I did a lot of gigs in row on long island. A lot of gigs along. They'll tell you the benefit of the doubt is nonexistent. Yeah. When I got out there, east side comedy club was there.

Speaker 2:          00:49:36       Oh Wow. That was back in the day when Jenny was still around. I remember, I tell this story all the time, but it's so crazy. Like people forgot how God damn good. Richard Jenny was, he was there one night. He did four different hours on Friday and Saturday. So he did two shows Friday, two show, Saturday four completely different hours. And the, the, the opening act and the this, uh, what the fuck was it? How the fuck was the, uh, the MC was a friend of mine, Peter. God, it, Peter Boyle. Peep your pill. I forget his last name. Peter Bales. Yeah. Yeah, I know acid is a good dude. Yeah, older guy. Younger. Back then this was back in the Disney, but he was just like shaking his head like, what the fuck man? The guy did for different hours. Yeah. And I remember, you know, I was just barely starting out and I was sitting back on what the fuck, how does a man do for different hours?

Speaker 3:          00:50:28       He goes, he didn't repeat a premise. He did repeat a punchline. He did. And he crushed. And this is one weekend, one weekend, two shows, Friday two shows. Saturday. He was a genius man. He was responsible for so many people's acts two he would tighten up people. He worked a lot with rock. Yeah. Work with a lot with Chris on the road and, and worked on. Helped them with a specials. Was He from Boston, Jenny or was he was in New York guy. Okay. Yeah. I think he was from Brooklyn. He was fucking amazing man. But that was the east side comedy club back in the day. Yeah. Yeah. No, it's good. Those rooms, like governors of brokerage. I liked those rooms because you, you go out there and if you're funny, you're funny, you'll kill. And if you're, if you're like lacking or I feel like a bit half done to let you know, they'll let you know.

Speaker 3:          00:51:10       Yeah. They paid the money to let you know. Ah, you'll hear it audibly, but that's good. You need that. Like Holly Quinn builds, he shows there and it, they're amazing because, and there, you know, his new shows, great red state, blue state. But like did he filled it out there? I don't know if he did this one be built a lot of his shows out there because like he goes out there and he says if it's good, they're really going to let you know. So it's where a lot of comics will go and test. Similar to the reloads rooms in Boston, you really test, you get coddled a little bit. In New York City. In La you get cuddles. Who'd got to go out there to somebody who doesn't give a shit? That's, you know, the people who were like, listen, I'm either those people out there don't choose to laugh.

Speaker 3:          00:51:48       They laugh or they don't. Right. You got to echo park. They choose. Yeah. They sit there and they go, ah. Or they'll go like this and go, no, look in their face you'll see it. They'll be like, no. Out in those areas like [inaudible]. It's an instinctual, guttural laugh. Yeah, it's not, it's, it's, it's not the, yeah. The thing about like laughter when you're choosing to laugh, he in here and there, it's so pretentious. It's not fun. Yeah. It goes back to that example of like growing up you, you're making people laugh. Who the hell's choosing to laugh? What psychopath is sitting there going? Ah. Also they're mostly in the business. Like a lot of the audiences in the business, the whole thing is to this weird entire thing is agents who are like 22 years old. Yep. They're like embryos to so young. The agents and agents and managers for the most part, excluding mine who I love by agents and managers, they're rich kids who can't do tech or finance.

Speaker 3:          00:52:50       Let's be a lot of them. There's quite a few, let's be honest, he's a rich kid whose parents go, hey, can you do something because I don't want to look at you anymore and they're not going to get a job at jolly bee. Right? So they're going to go get a desk at UTA or CAA or WME and most, I mean, everyone needs one too. That's the other big thing. Like you're not going to negotiate on your own. You're going to do a terrible job. If you negotiate your own gigs. I will take any amount of money to do anything. I mean, I mean, I'm horrible at negotiating. I was bad in sales, sales didn't work. And now I'm here. You know, apparently

Speaker 2:          00:53:25       Bill Murray doesn't have an agent or a manager. He has an answering machine and people call them up and they make them offers to do things and he'll like listen to those messages and go, hmm, I'll do that one. And he just goes and does it. Well, if you're like a legend like that, yeah, I guess you can do that and you can do whatever he wants. What an interesting says. No, I need an agent like blackmail, paypal, CIA level, blackmail to get me into rooms. Well the thing is, it's not just that, like you need someone to actually do the talking for you to like get gigs. Oh yeah. Or you know, to negotiate your money or to do your air travel. It's not call me and she'll be like, they wanted 85 shows over the weekend. I got a dentist, you know, cause I'm looking at newer comics so if they want nine, seven shows, I do it.

Speaker 2:          00:54:10       Y'All do it. Do you get when you five shows on Saturday, I'll do it two or three shows on Saturday night. Yeah. Three at the same clubs sometimes. Yeah. Those are weird. That third show, you don't know what the fuck you already shows. Not even comedy anymore. I don't know what is happening. I don't know what's happening at that point. But um, it can be really foot. The third show a lot of times is people, the audience is people who have been asked to leave other venues, so their trunk and walking by the club Nigga and that you're just, their friend brings him in. This is literally, I've heard, I've literally spoke to somebody, I'm like, why are they here? And they were gone. Well we were asked to leave and they saw it and they just saw the lights and they like lights. So we brought them in and now you're talking about, you know, frozen yogurt or whatever and they're, you know, if it's nuts, what's the show's crazy.

Speaker 2:          00:54:55       What's the latest set you can get in New York City these days? Oh, you can get like, I think it's like a two 45 or something. You can get something crazy. 45 maybe it's two 30 maybe it's till you can get something really late. Wow. People are up. Who the fuck is there to 45 there's people. Really? Yeah. What's it like? It ain't, I mean I think it, I think it's pretty good depending on the night, like a Saturday night to 45 probably. Great. Why don't you listen or it gets, yeah, I think the seller is the latest. I think you can get, but as it gets louder, I mean as it gets later, people get drunker. I used to do danger fields that's in there. Yeah. And we do prom shows. Yeah. Do you ever do the prom show thing? I'm not a prompt show act. This is what they do with a bunch of kids are sitting there and I walk out on stage.

Speaker 2:          00:55:37       It's a bad prom. Well, it's always a bad prom. Prom shows a terrible, but what they do is they, they don't, and back in the day at least, they didn't change the crowd. So you would, you would go out, like say if there's like four comics on the light up, there's an MC and three other comics and then there's the next show, it starts all over again. We see the same three comics, the audiences there. So they want you to do the exact same acts so that the kids will leave because they have no account of the kids. So that buses pulled up and they're just stuffing these kids in there and they're hoping that if you do the same bits, the kids will get bored. And they got mad at me cause I'm like, look, I'm not doing the same material. I see the same faces. It's boring. Yeah. I'm only doing a 15 minutes set. I go, I have more material, I'm going to do other, other bits. And they're like, you got to do the same jokes. We're trying to get these people out of here. I'm like, how about just the cast? Just grab him. Just get him Outta here. Yeah, just light a fire.

Speaker 2:          00:56:32       But we would do them til five o'clock in the morning. Dangerfield, the last time was in danger fields. It was four people in a room, two couples, waiters about in his mid eighties. I, it's dark and I'm performing in front of a piano. It's one of those nights where you go, you know, this was a choice I made to get into this business. Um, but there's something haunting about that room and it was actually fun. I'm just entertaining to couples. Yeah, it's crazy. I did one cup of once at the end. Your fields, there was no one, there was no show. I had a nine o'clock spot, isn't it? There's never a show. I had a nine o'clock spot. Yeah, I got there at eight 45. The comics are sitting around the bar. I go, what's going on? They're like, there's no one here. I go, there's no one here.

Speaker 2:          00:57:11       And then right when I said that, this couple walked up and Bobby, who was the, uh, the doorman, there's this fucking Scottish power lifter guy. He was like five foot 10 and five foot 10 wide. Oh, interesting. I saw him grab a kid by his neck at one of these prompts shows and pick him up by his neck and carry them out of their cheese. Anyway, he was this tank of a man. He was always fucking hilarious and ruthless on the comedians. Yeah, yeah. You got to try that bag of Shite. You call it a fucking act. And, and anyway, these people walk in and he's like, ladies, gentlemen, welcome to danger fields. Come on right in. And he brings him in and these people walked into his empty room and sit down and they're like, what the fuck is going on? Like it crazy.

Speaker 2:          00:57:50       And then all of a sudden the lights come on and then the MC comes out and they sat through all of us. Wow. Sat through. I was like, you know, fourth on the lineup or something like that. I did my fucking 15 minutes in front of these two people and they were into it. They were great. Yeah, they were great, but it was weird. You know, it's the, those shows what's good about those shows build you? Well, they may, they let you know what's bullshit and your act because you feel embarrassed saying it. That's a great point. Yeah. You feel it feels clunky coming out of your mouth, right. Especially to three people. Well, there's always, things are always clunky, right? Like, and when it's a small crowd, they're really clunky. Like when you're working on material, every time I have a premise, or even if I'm fucking telling a story, a lot of times, like as I'm starting to tell the story, like the beginning part is a little fucking clunky and maybe I'm saying something the wrong way and it doesn't make total sense.

Speaker 2:          00:58:40       And then eventually it catches on. If you do that in front of two people, they're like, what are you doing? Yeah. The best story about the age of fields was there was a guy who walked in once I was hitting in the bar area, he had a Rodney Dangerfield, a doll, and he walked in. He goes, listen, I've had a business for t, you know, for 10 years up the block I, we found the stall. I'm moving to, you know, wherever he was going. He's like, we're closing up shop. Here you go. I thought you might like it. And then the guy took it, he said to the owner, he said he just, there was no speaking right. He just showed him this doll and then the owner just pointed and then the guy carried this Rodney Dangerfield doll down the stairs and just put it in like storage. And it was the darkest moment, which is such a dark moment to sit there silent. Just the owner went and pointed in. The guy just took this Dangerfield doll and he walked it down into caught, only know the phantom of the opera, whatever the hell goes down under that club. But yeah, that's a real, that's like the oldest club in the country. How's it still open? I, that is a great question that the FBI would probably want to look into. I don't know

Speaker 4:          00:59:44       cause everybody's getting the same story. People who was there, people go 25 years ago, 25 years ago. There was no one there. I mean the fucking show that I'm telling you about, that was 25 years ago. There's never been anyone there. I don't know.

Speaker 2:          00:59:59       Money off those prompts shows though. They were packed. It's like a great joke about like Nanette that my buddy nick Mullane is an amazingly funny comedian, said he's like in the net. No one's seen, it's just a trailer like no one seemed to net. It's just a trailer and everyone's like, it's brave. It's really amazing. It's my number one. It's just a trailer. It literally doesn't exist, so maybe, I don't know, but it is. It's one of those rooms in New York that's kind of haunting. Yeah, it's a strange place. It did. You ever listen to the day the laughter died? No. Dice Clay's a double album that he filmed there with no audience. No one knew he was coming. He had no material. Zero. That's amazing. He just started talking about shit and ad libbing things and he was as big as a fucking comedian could be at the time and he called it the day the laughter died.

Speaker 2:          01:00:43       Right. Ruben produced it. That's no, I've heard of it, but I didn't know it was fucking brilliant and horrible at the same time. Really. Some guy gets up in the middle of his set, he goes, you're about as funny as our gloss or milk. Oh my God. What a polite apple. What an old fashioned heckle. I've never heard that. Usually people are like, shut up faggot. You're a baptist. Funny as a glass of milk. It's lovely. Yeah. Some guy from Connecticut or something like that, you know? Then he got mad. He got mad at dice and you know, it's just shitting on him and shit on everything. That's probably just destroyed it. Well was it was destroying them, but I'm telling you, he wasn't even trying. It was, it was like he was at some crazy place in his career where he just decided to do a set or he's bombing.

Speaker 2:          01:01:29       Do you ever think of doing something like that? Crazy. Never think it just called crazy into it. Something completely. I'm just trying to do, first of all, I would feel bad. I can't do something bad on purpose because then people, if I do something bad, like if you, ladies and gentlemen, if you hear it and it sucks, I fucked up. That's it. I've made it. I made a mistake. I didn't do it good. Right. I didn't, uh, didn't put it together. Right. A, it's trial and error. Sometimes it's an error. I'm not going to do anything bad on purpose, but he was so big and no one had been that big before. Right. Have to realize no one had done arenas before him. Right. He was the first arena caught first. Yeah, the first. Yeah. And a fucking hundred of them. He would do them all over the country and he just had had enough for whatever reason of fucking everybody loving him.

Speaker 2:          01:02:17       Yeah. And he's like, fuck you just went out and just said fucking double CD. It's grey wt Broadway show, like a live album recording of a Broadway show. Hours of no material. Just rambling, talking about stuff, punch lines that don't make sense. He's just out there, do whatever you want can great. To this day, it's one of my favorite comedy albums of all time. I'll listen to it every now and then for like 15 minutes in my car, I just go, what the fat to me. Is it all at Dangerfield? Yes. All of that. All that danger fields. No one knew he was coming. Yeah. And when they saw him, they're like, holy shit, it's dice clay. It was probably 20 people in the crowd who were so excited. They probably did it on a Tuesday or some shit. He's an animal. That's amazing though. Yeah, that's amazing.

Speaker 2:          01:02:58       That to me, that type of stuff. I like, I liked that to have to stop because to me it's like, it's the raw essence of what this is. I found out about it from another comedian, they, Mike Donovan, a hilarious guy from Boston, and he was crying, laughing, describing it and describing this bit the dice was doing about Nixon eating ass fucking, and he was doing, this is crazy, whatever. It was so ridiculous. But for whatever reason, Mike Donovan was, tears were coming out of it so he couldn't breathe. He was describing it. I was like, God, I gotta listen to this. Fucking nice is one of those guys, when you watch them, you're like, this guy can just talk. Yeah. And it's funny. Well, he's going to interesting. He's been around for so long and you know, to me he's always represented to me, my childhood because when I was like 19 was the first time I listened to his cassette in my car with my girlfriend and I could, we were just crying, laughing.

Speaker 2:          01:03:53       I couldn't believe how funny was. Is that what made you with these? He one of the guys what you will like? I want to start doing stand up. Yeah, for sure. He was definitely one of them. Him and Kinison him and kittens and prior, but prior was see like I remember watching those guys and then watching prior and we're like, God prior was so smooth. He was so the way he was so personable and vulnerable. He was something different because he was vulnerable. He would talk about like his life and his problems and all these different things about being addicted to drugs and all these different Indian, it was so intelligent, but vulnerable and honest and, and the timing was so good. He was such a master. I remember we were watching was me and my roommates at the time. We watched the Kinison special and then we watched Richard Pryor and my friend who was never a comedian and everyone thought he goes dot fucking guys the best cause he's just the best.

Speaker 2:          01:04:45       And it was just, we were both in agreement like, yeah, he's just better. It's just the way he did it, you know. And this is, you know, we're talking like 1988 sure. So it was still fairly fresh and prior was still alive and it was just different, you know, he was, uh, he was like the first, I mean obviously Lenny Bruce was the first really honest comedian like, or one of the first honest social commentators and then Carlin, but prior took it to a weird personal place where you like, we're rooting for him. It was the most personal of all of those guys because the Hex and Collin were famously like not personal. Yes. And prior was personal. Yes. Yes. Personal and, and you know, he, he would like emphasize humanity. Yeah. Like you would emphasize like loving each other and being kind to each other.

Speaker 2:          01:05:38       Like that was a thing. Yeah, absolutely. Yeah, absolutely. But, uh, you know, I tell my parents took me to see live at the sunset strip and I was a little kid. Oh, you saw it, the actual none. And all of a sudden in the movie theater when a movie theater and that, that was probably the big seed. That was the impact. Yeah. Yeah. Because I couldn't believe how funny this guy was just talking. I remember looking around the theater and these people were like falling out of their chairs laughing and I'm like, I can't believe this guy is just talking. And it's amazing. Yeah. Because all these movies that I'd seen that were really funny. Yeah. He was a bunch of things happen and explosions and fucking stripes. Yeah. But this was not that. Yeah. I saw, I sat Eddie Pepitone tape his special a few days ago at a dynasty, a typewriter and he's one of those guys who still funny and so electric that you have a room full of, you know, the type of people were kind of talking about your more buttoned up, you know, the more of that kind of alternative crowd. They were barking and howling. And how funny he was and some of the things he said. The first thing he does, he grabbed the microphone and he's like, I'm on Molly.

Speaker 2:          01:06:41       The hall just exploded and he's one of those dudes I watch and I'm like, man, intensity. Just raw power. He's announced such a nice guy too. He's a great too, if you know him. Yeah. Route Forum. A sweetheart of a car and an odd guy like, I don't know any other Eddie Pepitone. No. That's what makes him so great. Yeah. He's, he's like, this is an experience and the beat, to me, the best comedy, I think is a comedy where you go, Oh, I'm having an experience now I can't have again. Right, right, right. I can't have this again or especially a live show. Yeah. I can't go down the block and see this. It's not as a steak house. It's the same in every city. This is a fucking unique human individual that's having this experience at this moment, and I'm lucky to be here with, yeah.

Speaker 2:          01:07:28       Yeah. Live shows, man. There's something about it that it's so hard to translate when you, when you did your Netflix, but if you did one of the 15 minute ones, how many they're doing a lot of those, which I think is a good move. Four to 5,000 jobs. It's a great movie. It's a great move to have everyone have a special, I think my mother's doing one. It's very exciting. Uh, you don't even have to do comedy and have a special anymore. You can just sit in a car and talk. That's my next admission tape will be me speaking in a, in a car going through an in and out, um, bill burrs videos of him driving around his fucking 40 funnier than just talking about, this is the funniest thing. Most specials. Um, the Netflix, he was a lot of fun, but here's the reality. I watch it back and I'm like, it was fun. Or in the room, you know, it's just one of those things, I bet. Bring the pain was better in the room even though it's amazing. Right, right. You watch that and you're

Speaker 3:          01:08:15       like, this is the highest heights of anything. Yeah. That's why when someone makes you laugh really hard on a special God, imagine what it'd been like being there. Oh yeah. I mean the, the comedy is an act I have one of my friends always says comedy should be seen live in, and listen, there's something different about a smaller venue, like when people go see what the store, there's something different than seeing you in a theater. The level of intimacy, you know, seen you work stuff out, seeing you in, you know, in the moment. There's something different about that 100%. Yeah. Yeah. I like 150 to 300 seat room. That's what I like. But I also, I like 11,000 seats too. It's kind of crazy. It's fun in a weird way. That's amazing. And if you could make those people like feel like it's intimate, it's uh, it's like, uh, you can, you can treat 11,000 people the same way you treat the main room.

Speaker 3:          01:09:05       A hundred seat room that's filled with about 80 people. That's good too. This is low expectations. What I like. I like a big room full of the very small amount of people and they could sit back and get really drunk and that were lax. All the wait staff home shut off most of the lights. Yeah. There's something, there's something going on when you're doing a live performance that no one's ever really quantified. It's some kind of a mass hypnosis or some energy transfer because I was an actor for when I was a kid. I was six years old to 12. I was an actor. You know your parents' idea. Oh it was my idea, Joe and uh, like most six year olds or six. Yeah, it was great. I was, I knew what your cabaret license, it was on sesame street twice. We really, for it to all legit.

Speaker 3:          01:09:47       Was It really your idea? Yeah. I pointed at the TV and said, well, unless my parents are lying cause I don't remember and they are liars. So they needed muddy all south. They said, I pointed to the TV and said I want to be on that. And I just, and I, and I made them take me on auditions that maybe they were looking over their bills and I was a good looking little kid and they said he needs to start pulling his weight and you know, we've got to start taking him up. Yeah, it was on sesame street. I was in a bunch of plays and stuff. That live performance is different. It's still energy, but there's nothing quite like being alone on a stage doing comedy. Well there's all doodle much later. It's all your shit. You're writing it, you're figuring out your per se it, yeah, you're crafting it, putting it together.

Speaker 3:          01:10:34       And that's why the rejection is the deepest. How do you write? I go on stage with an idea and I've started doing these little videos on Instagram where I actually kind of rant about an issue and if people kind of respond positively to them, sometimes I'll take that to the stage and I'll just try to rant about an issue and like find a few lines that are keepers that are funny and that's, and then I'll sit down and rewrite it and we look at the bit and re, but a lot of what I do has to be like, how does it sound? What's, what's the inflection was to pay. Saying so like being onstage helps a lot. But there are things that I, and what's hard for me and what I have to get better about is writing about things I don't care about somehow. So like if

Speaker 2:          01:11:13       like if you said, give me 50 jokes about the Kardashians, I, I would not want to do that. But why would you need to? Well, I'm not saying I do, but I mean that's a skill some people have. There's great monologue joke writers and stuff, but if I see something that's ridiculous that I'm like perplex by or I think is funny, I can devote attention and energy into making that funny. Yeah. I say just concentrate on that. Fuck all that other stuff. I mean that's, that's what I do. I am in awe of certain people where you could go, oh, here's a topic. Give me 50 jokes. And they'll have them and they're good. But you notice that those guys usually wind up working as writers and they always, yeah, I feel kind of shitty. That's a lot of them do. That's not a good guy.

Speaker 2:          01:11:53       When you're a great comic and you're working as a writer on a Sitcom, that's a, that's a bad, and you were talking about it earlier. I know a few guys like Owen Smith, you know, and I don't know him. No, but I've heard the name one of the best fucking standups in the country. He's so good. He has his bit. I don't want to tell you much about it because it's about adopting a white son. It is one of the funniest bits I've ever seen in my fucking life. It's so good that you're like, holy shit, it's so, it's so fucking twisted. And so, uh, it's so like you can't believe what he's saying while he's saying, but this is a guy that is, I mean skill wise, one of the best standup comics in the country. Yeah. But he's not known for it as much as he's got a real career as a writer, you know, and he's trying to branch out and move away from that.

Speaker 2:          01:12:40       But God damn that guy murders when he's in the comedy store, I always sit in the back of the room and watch. Yeah. When a lot of people, I guess with families and kids get to make decisions that already think stuck with me when it's like you want to be doing something you don't care about. So to me, I have to write about things that I'm interested in. Like, I think people, the people's careers that I wanted, the people that I envy, their careers seem to be led by their interests. Yeah. Things that interest them. Yeah. Well that's a better life. Yeah. You know, I, uh, I've done both. I've done, like when I was doing fear factor, I wasn't remotely interested in it other than the paycheck and it was a good gig. I'm not like, I'm not shitting on, it was a great gig.

