Speaker 1:          00:00:00       To to, to, to do.
Speaker 2:          00:36:20       It's half of the weird competition that's going on and you better hope we do it. And in a sense, I always say the, when people say, when I talk about, you know, a cyber hacking or whatever. Yeah. People always go, yeah, well you don't have any right to talk to the US does it as well. I think. Well yeah, that's actually a good thing given how aggressive and how nasty the world is out there and how we're constantly being hit and attacked out in cyberspace. I mean, yeah, we better hope we're good at it. And you know, if people knew how often, how consistently and constantly our commercial and a public sector infrastructure is probed and tested and attacked on a daily basis. People wouldn't sleep at night. All the have is watch a showtime series homeland. It's super accurate. That's it. How you ever watch that show.

Speaker 2:          00:37:08       I don't watch a lot of those shows. I'm not a good person to watch shows like that with my wife. That's my wife tells me that all the time. Yeah. It's got to be like be watching those. A karate movies. Yeah, exactly. Exactly. Chronic yet of course. So yeah, that was legit as fuck. But like there's some, like the movie warrior. I got mad at that movie and I'm like, you can't fight two days in a row like that. They don't. Although they did do that in Japan recently. Crazy assholes. Japan at a tournament, I think they fought three days in a row. Jesus, it's appendix to the next level. They don't give a fuck in Japan. They just go crazy. They put together this woman, Gabby Garcia, she's six foot three, maybe more. She might be. She's at least six to Jesus solid to 40 and they put her in the ring with a 50 year old woman who had bad knees and she beat the shit out of.

Speaker 2:          00:37:54       Is that you dinging? Sorry about that man. Look at that. Okay. Put that thing, but they put her in with this, uh, this woman who is literally 50 years old, she's about five feet tall and Gary Garcia ran over her like a train. It was, it was horrible to watch. They don't care. Japan will have crazy fights. They have freak show fights. Yeah. Yeah. Well, I mean, look at all the shows that have come out of there to be there. All the, all the weird shit that ends up on our tvs usually comes from Japan. So one of the big arguments was that the Russians definitely wanted trump to win because if they didn't then they would have hacked the RNC and they would have released their emails too. But that's a hard argument to make because you don't know that they said anything inappropriate. You don't know

Speaker 4:          00:38:36       that there was any collusion. Well, and there was also a attempts to hack the RNC and the RNC as would one company to the next. Not every company is running the same security protocols on the infrastructure. So the RNC had different security protocols on their infrastructure and, you know, but they were, they were, are they not hacked, but they were tested and the tech, um, and you know, that idea that they wanted, they wanted trump to win. Frankly, if, if Putin sat there and thought to himself, well, what I want is what's in my, in Russia's best interest, well then I'm going to go with a known quantity. I'm going to go with Hillary Clinton because I know what I got there. And it's not tough. But trump was like pro Putin and he's basically saying, Putin's a smart guy. Putin's a great guy. We can do deals together.

Speaker 4:          00:39:22       We can have. But he's too smart. He does. He's not going to take that on face value. I mean he's, he knows he's reading all the same shit and watching all the same shit that everybody else's, which is that trump is in the past. It's kind of been all president. Trump has been all over the place and talked in different directions. And so it's not as if potent would here. They say, oh, he likes me. And he said, no, he's not like that. He's like, I bet wicker be fresh. And so it just, it just a what's best for my best interests. It's, you know, I'm going to go that route business as usual, business as usual, and I know I'm not going to get any pushback for the shit that I do because she is just going to continue the same things that have been happening.

Speaker 4:          00:39:57       They're going to continue to withdraw off the world stage. And this idea that Somehow Hillary Clinton was a warmonger, what the hell that, where did that come from? You know, so I, I don't, I'm not necessarily buying the idea that trump or that a Putin one president trump to win. That's an interesting perspective. I would've thought that he wanted them to win, just to throw democracy into the shitter. Just to fucking throw a big monkey wrench into the gears. He probably felt that a trump victory would do that. Yeah. Yeah. Right. And you're right, there's a possibility there. But, you know, Putin is a, he's an interesting cat and I just, I just have a feeling though that, you know, again, they make these, these, uh, these decisions based on what's in their own best interests and I think they would look at the track record of Obama.

Speaker 4:          00:40:40       They would look at her track record, they would look at an unknown quantity, you know, and again, they're not going to buy what he just says on the surface. It's just not gonna, you know, it's not that there wouldn't be as simple as that and they would look and think, yeah, let's go with what we know, you know, because we know we can steamroll that, you know, and this over here, we don't know now what was. So what was the point of them meddling and doing what they did. Well, again, it goes back to the same thing. They're just trying to create instability chaos in a, in a, uh, some sort of sense of mistrust of a democratic institution. Now, how much of a factor do you think it is that Hillary was not ever prosecuted for deleting all those emails after subpoena? Because it seems like that in any other case, if you do something like that top secret clearance, you're found to have violated it. He deleted those emails and people are tired

Speaker 2:          00:41:34       of hearing about this from the left though can still bringing that up again, but I got to think that in light of what you said about them trying to hack into the RNC, but no evidence of they actually gotten in, but they did get into the DNC and you think about all the different security errors that they've made. Especially with her having that private email server and all that shit with homo was using the same goddamn computer and printer that Anthony we're sending as Dick pics out on. I mean, Holy Shit, it's chaos. Couldn't have written that as a, as a Sitcom on house of cards, you would have gone love. They're going over the top. That's not believable. They're jumping the shark. Yeah. Yeah. As opposed to when the secret service agents slept with the president and his wife, you know, there was that. What was that?

Speaker 2:          00:42:13       That was. I gave it. That's when I gave up on the series. Does Not that far yet. Oh, son of a bitch. Dammit. He was son of a bitch and already won that. Can we rewind that goddamn spoilers, blah, blah, blah. Now I'm going to go home and get myself in the head. Yeah. I try to forget that I, you know what, I just made that shit up. It didn't actually appreciate it. Seasoned. Who's got it now? Who's Kinda. I'm just waiting. It would have just sitting there waiting for fucking three service. Sleeping with a resident wouldn't happen. That'd be crazy. Wow. Yeah. That's what he's already done. Some gay shit. Yeah. It's a weird. It's a weird show. But that was the point where I said, okay, I gotta find myself another program to watch. Um, so. But yeah, it's, it's, um, that's what, that's what you were like, this is unrealistic now.

Speaker 2:          00:43:02       Yeah. That's nice that, that's that bullshit. That's where I draw the line. I'm sorry about that. Somewhere at all, the presidents that we've had somewhere, a secret service agent has slipped it into the missus. I guarantee you, I guarantee you somewhere along the line somebody fucked the president's wife. I think it was taft. I think it was the tafts. Administratively. They would have done it. Look, those are savages. Back then people were barely human. Those were cave men with clothes on. Yeah. So back shit. Did you see that one? A female secret service agent who said she was a. She wouldn't take a bullet for the president. Whoa. Yeah. Well that's your job. Hooker. Well, that's exactly right. And a fire yet. Not yet, but I, you know, they, they, uh, I suspect that she will be disciplined because if you're saying she went on facebook, she put it on our facebook profile and was a good move.

Speaker 2:          00:43:51       Yeah. And she supported, openly supported Hillary Clinton. Put that on facebook and said that she, she would not take a bullet for, for president trump. And you think, well, you know, you are in the secret service. That's your job. Okay, here it goes. Outrage at women, secret service agent and Clinton supporter, who said she would not, capital letters risk her life to protect president trump. Secret Service Agent Carrie O'grady wrote last October that she would rather go to jail. Then take a bullet for Donald Trump. Well, she definitely get a better job. Okay. She. Oh, great. He removed the post days later. Said she wrote it after being overcome with emotion following trump's grabbed them by the pussy video. Sounds like a music video. It's like a two live crew music video. She insists that she would be willing to do anything to protect the president, but o'grady has also made numerous other post criticizing Donald Trump.

Speaker 2:          00:44:43       Well, okay. What's the. I'm not quite sure I understand the. The, the, the conflict there. She said she would rather go to jail to take a bullet for the Donald Trump president trump, and then she insisted she would be willing to do anything to protect the president. Well, now she does. She removed it and wants to keep her job. Secret services that are looking into the post after a complaint. That is a dangerous position to take. If you are a secret service agent. We're not talking about someone who's a WHO's a just regular civilian. You're talking about someone who's Dad your whole job and you have. You got to be mean or she's in Denver. She's, Geez, I didn't realize that she's been with them for quite a while. Like she knows better. It's time for. I would say, you know what, that's dishonoring the service, the secret service and you know what?

Speaker 2:          00:45:28       Maybe A. I'm sure they'll, they'll icer put her in some admin position, but you have to in that position, right? If you're a secret service agent, you, you can't say anything critical like that publicly about the president. Absolutely not. Diminishes the entire position that you can. Once you retire, you could say whatever the fuck you want without violating any sort of laws that you've, you know, any sort of agreement that you've signed. But once you're in there, that is the job. Yeah. It's like, it's like if you were in the agency and you're overseas and you were campaigning on behalf of one of the candidates, it doesn't make any sense. So I, I'm, I'm impressed with her understanding of social media by posting something like that on facebook that she was overcome with emotion though coming to motions for the outer period will get crazy. Maybe she had a xanax and a glass of wine.

Speaker 2:          00:46:12       She was like, fuck that orange asshole and just grab them by the pushy. How dare you. Yeah. What a weird time though that, that guy actually said that and still got to let they. I mean, that's how much people didn't want Hillary Clinton to be an office. I know. And that's the thing. And Oh, by the way, did you see that, uh, that little clip that was making its way around at the inauguration, on the inauguration stand of Bill Clinton checking you out and Allodynia it, getting caught. That was Ivanka. Ivanka, his daughter. So hard. Oh my God. Yeah. God, Jesus Christ. Those jeans look was fantastic. The look was pure Bill Clinton. He. Well, he was like, fuck it. It's over. I don't have to hold it back anymore. Look at it. Oh, good Lord. Yeah, he's shaking. His liquid is a lot. She turns around and looks at them.

Speaker 2:          00:47:05       Look at that. Oh my goodness. And then it looks, it gives her a quick look. Yeah. Well, it turned. Once he looks at her, he's like, listen bitch, you know who I am. You know, you live with a wolf that you know you live with a big old gray wolf. She's. Hi everyone. I'm Ivanka trump. I wanted to. I wish you had a fucking accent. What's going on there? Oh, it's her giving them massage. Oh, this is like a porn film that they did a fake porn about Ivanka trump. They that. That quiz is beautiful. The best part of the inauguration day. It's over. It's over. I can beat me again. I'm tired of it all. That would be the only reason I wanted or I would have wanted a Hillary Clinton when the only bright spot I guess I should say instead of the only bright spot to her wedding would have been that he would have been back in the house.

Speaker 2:          00:47:55       Yeah. Fascinating. As a first man on a rampage, he'd probably be on a rampage. Watches. Watches mouth. Yeah. Love his mouth. A little bites. His lower lip. He said Ivanka? No, he doesn't. Does he know Ivanka? Oh yeah. Look at her. Look at it. This is amazing. Look at her. Looking at him is fucking amazing. This. Look what he looks like. Adult care. He shut her down. One more time. One more time with the look. Let me say this again. Watch this for residential job. Here we go. Here we go. Oh yeah. It's a mean. Look. I bet he gets angry when he was scary. Yeah. That was at a highlight. A highlight of the day. Whether or not you believe he's killed people. He's definitely been responsible for people dying as president. That's 100 percent. I mean, he's made those decisions. People have died. That's in that fucking bed brain of his and when he looks over at her, he's looking at her with those that don't make me kill you with the wolf.

Speaker 2:          00:49:02       The old grey wolf man. He would have been awesome and office again. Oh, just roaming the hallways. You know, you need his girls and keep your fucking mouth shut. Do we have those? Those uh, I'm going to need a car. I got to go into town. Animal animal. That guy must've been. Wow. What's crazy about him as the stories of him just pulling his dick out. Like that's something that people do like in college when they're drunk. Yeah. You know, you don't do it when you're the president or former presidents. Usually you don't. I mean, again, who knows what Andrew Jackson got up to, but I think, I think bill took it to a new level. Yeah. I would imagine. I would imagine there was no think about Jay. Jay was, was jfk may have been because who knows, because he had the benefit of the press hiding his, his activity.

Speaker 2:          00:49:51       They all knew about it and that was a different time and he was only in office for how many years? Three, three years. I guess her 63 got killed, right? Yeah, yeah, yeah. Two and a half years. Yeah. Oh, he would have had us, what he could have done. We didn't have back pain. He was all fucked up and all sorts of different. He had some significant health issues, right? Yeah. He was on all sorts of meds and and, but you know, he's still managed to find himself around now and back then they would heal you with like which doctors, what kind of fucking medicine do they have in 1963, they met us sales. You should take some of these pills, Mr. President, well, they would put them on speed to then they have in mind [inaudible] try to jazz them up, but back then I was, you know, it's normally get your doctor, write you a prescription to hear you.

Speaker 2:          00:50:32       This will, this will make you feel better. This throwing Mama's little helper. Her mother's little helper momma went up from the south. Yeah, it's the position is such a crazy position. I mean it's really, there's no one that's really qualified to do it and every time someone gets in it's like, okay, let's see what kind of flaws and your character going to be revealed by this. And in that case, when you look at it that way, at least from the point of view of representing a stately sort of like, you know, like an intelligent, articulate leader. Obama did a great job in that regard. No measured. That's why the people on the left lobe and because he, he, he was the, you know, the projection of the intellect. He was uh, you know, and fine, and he was, he was at, he was in a sort of one of those folks you look at and go, that's our president, you know, put again, you could say he did certain things.

Speaker 2:          00:51:23       Well, and I would say from a foreign policy perspective it was not good, but I, you know, you got to be able to say that was good and there's bad, you know. And, and that's what I'm worried about with the new president is that I'd like to think that all those borders aren't just going to say yeah, everything he does, it's good that you still got it, but they always do that. Everybody starts on the left. What am I talking? I mean here, what's going on right now with the Dakota access pipeline where everyone's blaming trump for this. They forget this all started while Obama was in office all over this where they were putting easements on people's private land. When they were arresting these ranchers for protesting against it, trying to keep these guys from drilling into their fucking private land. That was all during the Obama administration.

Speaker 2:          00:52:04       All of it. I know, but he gets walking out the door. I am going to cancel that. He stopped it and knowing that trump was going to kickstarter right back up and he would take the blame. It's all crazy with the Chelsea manning commutation and all. How about Chelsea manning right after he says that he's a. A weak leader says Obama's weekly to pitch. I just let you out of jail. Be in jail forever. You can be in jail for ever. You could die in jail or in May. You get to go to a ballgame. Look at that. Look at that. I mean, I don't think he's gonna want to go, so she right the Bradley. It's Chelsea. She who was formerly known as Brad. Yeah. Brad. Well, they're not gonna pay for her medication anymore. Now that she's really not. That's a drawback. I guess she will figure it out.

Speaker 2:          00:52:51       I think just do a podcast. The Chelsea Manning, our Chelsea manning experience. That's it. Good? Yeah. The death squad network. Why not? Why not make some money? He or she has got to figure out a way to exactly earn a living. So she'll be on Fox News on the view box. Foxtail is going to bring her in as a contributor. I can run on red. I said, what the hell? Come on on side kick show. Some kind of psychological damage is being in solitary confinement naked for like three years. How, how bad is that? Fuck you up? Because she was in solitary confinement for a long time and they wouldn't even give her any clothes. Well, I mean I am her, her, him and her. I think originally formerly known as Brad, I think probably had some clothes, probably had some, you know, so non suicide watch close.

Speaker 2:          00:53:45       I think that was the whole deal is that they kept her naked ladies are saying it was tantamount to torture. I'm not buying. It sounds good though, right mate? Yeah. It sounds good. But I, I, yeah, it's good. Episode of homeland. I'm thinking. Yeah, I'm thinking it may not quite that way. Kept her naked just for a goof. Mind a picture if you can find a picture. It not yet. Let's wait until we're done with all the nips and Tucks, but you're right. I mean. Okay. You know what? You just got your sentence commuted. Yeah. Shut your fucking mouth. Say thank you. Yeah, exactly. Thank you. Thank you. So saying that he's a weak leader, although there may be some mental issues here. I'm just saying maybe that he or she was not up to snuff or feeling a leveled out. Who knows? It's one of those things and that parent coast, most graphic passage of the letter manage description of how he was placed on suicide watch for three days from the 18th of January.

Speaker 2:          00:54:38       I was stripped of all clothing with the exception of my underwear. My prescription eyeglasses were taken away from me and I was forced to sit in a central blindness. Oh, I love your prescription. I. It's like if someone took my contacts away from me, you know what? I'd be happy when you're in darkness. You don't need your glasses, dude. Yeah. He's not in darkness either. He said it was in total blindness. Well, essentially blind from not having a prescription glasses. Blind. Yes, underwear. It was three days, but you see how this happens. Now suddenly he spends three years naked and in the dark. You know the truth is, again, I'm not saying this from a right wing, from the left, we, I don't give a fuck, but the truth tends to always be somewhere in some defined middle, the parameter of shift on the middle, but it also describes the experience of being stripped naked at night and made to stand for parade in the nude parade.

Speaker 2:          00:55:27       Is there a parade for race horses? A condition that continues to this day in quotes, the guard told me to stand at parade rest. I don't know what that means. Parade rest for about three minutes with my hands behind my back and my leg. Space, shoulder width apart. I stood at parade rest for about three minutes. The brig supervisor and the other guards walk past my cell, looked at me, paused for a moment, and then continue to the next cell. I was incredibly embarrassed at having all these people stare at me naked. I'm embarrassed. Oh my God. Embarrassed is torture. I shouldn't be. You don't understand that because you can look at me naked. I'll just tell you right now. You want to stare at me and they could meet without any clothes on if you don't beat me up. Okay. If you're not getting me or torturing me and you're staring at me naked.

Speaker 2:          00:56:11       Yeah, that's my Dick. What do you want? Sorry. There's my butthole. You want to look? What the fuck? Kind of Weirdo or you don't. You have one too, don't you? You want me to look at yours? I don't want to look at yours. How about that? I'm less weird than you. You know all that talk and would go very well in the military brigade. I think you'd probably beat me to death. Yeah. But um, but yeah, again, you know, it's okay. So you know her, her sentences commuted and we can, we can now move on. She starts her podcasts and then the question is yeah, there was a lot of people that thought he was going to. Pardon? Beau Bergdahl, Sergeant Bergdahl, fellow who walked into the Taliban camp, turned himself in, walked off his post. Do you remember this guy? Oh yeah, yeah, yeah. Why? Why did they think they're going to wear?

Speaker 2:          00:56:55       A lot of people thought that Obama was going to do that as well. President Obama was going to do that as well. Really? And I thought maybe snowden. I thought snowden would have been a very interesting one, but apparently what he said to meet a lot of sense was the difference between when Chelsea Manning did was Chelsea manning was arrested, went through trial, was convicted, and then he pardoned her. Commuted her sentence that, that snowden never face trial and so because he fled and because he went to the, you know, essentially our enemy to Russia to live there. Yeah. I can't do that. No, no, no. It doesn't leave when you, again, this idea that somehow he kept all the materials safe from the Russians. Just it just cracks the Chinese. He spent time in Hong Kong and I carry you step foot in, in Hong Kong or it certainly, you know, your cell phone with a one.

Speaker 2:          00:57:42       You've gotten this idea that somehow, you know, Glenn Greenwald, who is an interesting cat. I, I'm not saying he's not, but Glenn Greenwald and somehow snowed and we're going to beat the Chinese intelligence service and the, and the FSB is a, might be a bridge too far, but um, so you'd have to have some pretty deep technological innovation to be able to do that. I mean, you'd have to really understand how those networks work and maybe snowden be able to protect certain aspects of what he was talking about. But I think we have to remember the also, he was not lex luther. I mean it's sort of the narrative got built up that he was a mastermind at NSA and high school dropout. He was an Admin guy and it was an it admin guy who identified a weakness. Hey, fair, go to him. He figured out a weakness in the systems and you know how to manipulate that.

Speaker 2:          00:58:24       Not that someone can't be a high school dropout and be bright. Exactly. But he was a high school dropout, I believe that's correct. I think he got his ged. He's a. He was obviously a fucking genius. He's a super smart kid, but you know the whole thing. Yeah, I think it's very strange. It's very strange because, uh, on one hand, look, nobody wants their God damn. Emails peered into constantly when they haven't done a damn thing wrong. Think of a free country. You think, well, Hey, I'm a freak. I'm a free man. Uh, I have a good job. I don't, I pay my taxes. I don't start any trouble why they looked at in my email. So in that sense, a lot of people felt like they were vindicated in their fears by this guy coming out and what snowden. I get that. Yeah. But how did you see it? Well, I saw this. I saw it in more of a simplistic operational perspective because again, what we talked about before, everybody looks at these things from their own life experiences. My life experiences are different than somebody who hasn't done it,

Speaker 4:          00:59:21       but you know, you sign up, you're fucking agreements, you sign, you commit yourself to protect national security. You commit yourself to treat a classified material honorably. So just like the secret service agent, you know, when you start making posts on your facebook, this is against the whole gig. You're breaching your agreements and again, and, but people will hear that and they go, well, but he was doing a service or, and then they have the, they do have this, this bullshit out there about how he, he tried, he tried several times to go and, and, and talk about this now. They never brought it to the New York Times or Washington Post or any of those places. I mean, internally it was like he's got the narrative that says, well, I talked to my soup, I tried to get this out there and everything. And once again, the truth is not exactly in either sides.

Speaker 4:          01:00:05       Narrative. Okay, I'll be, you know, so you know, the, the, the far right that goes after him. It says he should be hanged for treason. That's bullshit. No, he shouldn't, but you know what I do believe he should face, um, uh, the court system, you know, and I, and I don't, you know, people are gonna disagree with that. Fine, fuck it. But, you know, that's what I think, but the idea of, you know, some of the people went histrionics and said, you know, you should be hung. That's ridiculous. That's not how we operate. I also get the idea that people felt like that was good, you know, ultimately that we had that conversation and I agree with that point because we should always have those conversations, but there's a way to do it as a place to do that as a manner of doing that.

Speaker 4:          01:00:43       But would we have had that conversation without him because I don't think we would. Well, I don't disagree necessarily disagree with that, but I think that the point, is it a. yeah, you're right. Where we got what failed us was up on Capitol Hill where they fail to do what they're supposed to do. If they're, as politicians that we've got there. There are protocols in place and a curious public or a curious, uh, people's representatives are always supposed to be having these discussions about where on the spectrum between security and civil liberties and freedom, you know, where does that pendulum rest at any given time? Um, these people up on the hill in the Intel committees, there's a, this is a well worn path from NSA, from the CIA, from others up to that hill to brief those people on every fucking thing that goes on.

Speaker 4:          01:01:33       I mean, it just, this just then people are going to roll her eyes, but that's the way it fucking works. And so then this is also this game it gets played in Washington where they pretend like they don't know, and then they get outraged and they stand up and say, well, I just, there's almost an angst ridden a horse shit. Those people didn't ask, they didn't pursue, they didn't ask the questions. They didn't demand that we have these discussions internally to. And so I think, you know, politicians in part dropped the ball. They don't do what they're doing. The healthiest thing. We could have a course or people up on the hill who are constantly questioning the system, constantly talking about it because you're right and it's. It's very important. You have to figure out where that goes. Now another bomb goes off somewhere and that pendulum's going to swing back to security. People go say, fuck it, I don't care. Right? Check, check my shoes, do whatever the hell you want to. But you know, read my emails. Just keep us safe. And in particular it's a big incident and God forbid, but that's where I guess my point being is that pendulum is constantly moving.

Speaker 3:          01:02:30       Well, does that frustrated to frustrate you? Because that's where the conspiracy theorists come in. Whenever something goes on and there's any sort of a terrorist attack, conspiracy theorist jump in and say this is a false flag because they'd been trying to erode our privacy and erode our civil liberties and this is the way they do it. So instead of looking at it in a broad perspective, like looking at it saying, well, okay, is it possible that a terrorist act, a terrorist act took place, and now they have to tighten up security because of that? No, no, no, no. People are Matt automatically go to. No. They orchestrated the terrorist attack so that they could tighten up security because it's this overall global plan to turn this off.

Speaker 4:          01:03:12       One world government government. Yeah. Yeah. Well, I hope I get to be in charge of that one world government. That's all I could say. I would make a hell of a one world government leader. So how would you, how would you do things differently? No, I would. I'm just kidding. I would hate to be in charge of one world. Could you imagine what a goat rope that would be. I wouldn't even want to be a mayor. Yeah.

Speaker 3:          01:03:34       Being a mayor of the town, a town of 10,000 people. You're gonna have 4,000 to fucking hate you.

Speaker 4:          01:03:39       Yeah. Retail politics. I think of the worst, you know, local politics and you see, hey look, we're talking about Idaho again. And was like, oh, for fuck's sake. But in Idaho as an example, I can walk down a street in Boise and bumped into the governor, Lieutenant Governor, we have a nice chat. They're great guys, great people, ranchers, and you know, they do this. And in Idaho they do a, there was a point to that story. I'll get it to a second. But they have the legislature, just an office for three months. They, they do all the work they need to do with. They get back to that damn jobs, right? Insurance broker, car guy, a guy, a rancher, whatever it is. So it's Kinda the way it should be, right? You don't need people governing you 12 months of the fucking year doesn't. It's not necessary.

Speaker 4:          01:04:21       Um, but, uh, the piracy, I forgot the point of the story, but anyway, you've got this environment where you can watch the local politics. That's the point of the story. And you can see the congress because I'm on the flights with them all the time. And the senator, Senator Rich, great guy, he's on the Intel Committee. Brilliant guy. But you, you, you see what they have to do to stay in, in office, you know, that it, particularly the congressmen, they're always campaigning there always raising funds. They're always politicking it just. And you think that it's pretty fucked up, you know, and so that's why I'm, I'm a big fan of term limits and a big fan of saying, you know what, this does nothing set in stone that says our congressman congresswoman have to be just two year terms. Right? We did that in the old days because nobody wanted to be in dc because it was a swamp and they had to get back to their farms and actually earn a living.

Speaker 4:          01:05:11       So stretch that out to four years. So you can be a congressman for a total of eight years. You get two terms. You could be a senator for terms six years each and then get the hell out. Go back to your jobs, do something else. And I think we would do, we would deepen the pool of potential candidates. We would see other people come up, rise up. It would take some of the money out of it. Maybe take a little bit of the influence on some of the influence out of it yet if I know somebody going to be in office and you know, on the ways and means committee for 36 years, I'm going to invest a lot of effort and time and that individual if I'm a lobbying firm and on k street in DC, um, but if I don't, if that person's not going to be there, I'm going to share.

Speaker 4:          01:05:49       I'll figure out how to work the system, I'm sure. But I'm gonna it's gonna. It's Kinda at least shake it up a little bit and I think it would take some of that money and influence out. But, uh, I don't know where I was going with that story. That was pretty boring. No, no. You were just comparing another million. The difference between local politics where people have an actual job on top of being a local politician. Yeah. I mean, look, it's, it's a dirty business. As soon as you're in the business of governing people, you're in the business of controlling people here in the business of trying to pass laws that help the people that put you in power in the first place and it just gets you real squirrely. It's a little dodgy. How about that dose ea on, on President trump, but what I would say that came out that was supposedly, you know who did it that buzzfeed, that the Buzzfeed, I think they were the ones who printed it.

Speaker 4:          01:06:35       Just recent. It's a recent one that, you know, the Russian was supposedly that he was gauged and shenanigans with that stuff. The pen on the bed stuff that's, you know, it was ridiculous about that. Was that major news sources reporting that as an unsubstantiated rumor. Yeah. Like you can't do that. Yeah, you can't do that. That, that, that had been out and circulating and then how could they possibly entertain that when they know when the times and you can pick up the New York Times on any given day and they've got a front page above the fold story that's relying almost exclusively on anonymous sources. Just insane. So I, you know, I don't think, but it was, it was amazing that they would run with that and it was a complete bullshit report. It's such a hatchet job hatch. I mean, it's like, it's like a hack wrote it.

Speaker 4:          01:07:18       I mean, Lose Good and Hookers to pee on him. Yeah. Well come on. It's supposedly the narrative became then for those that would like to have believed that it became, well the person that wrote it as a very distinguished former mys six officer from a British secret service and they had no, not currently. Um, it was just. No, no. The world of the world of political opposition research, this shouldn't surprise anybody is, it's populated by a lot of sketchy dudes. Um, and no way. Yeah, I know. I know somebody should do a series about it, but, but real, real, uh, but anyway, so yeah, that was a, that was a fascinating little glitch in the old, uh, on the radar. But I don't know, it just seemed so strange and, excuse me, one of the strangest parts was his response to it. Everybody knows I'm a Germaphobe.

Speaker 4:          01:08:06       It's like what's like, and it's like I tell all my people, when you go to Russia, they're filming anything, don't do anything stupid, don't screw around, don't get paid on. Do you really think I would just have people peeing on me? Yeah, I mean he's got a point there. I mean, it is ridiculous. I agree with it from as a tidy person. I'm a beating on. My wife would say I'm a very tidy person. I, you know, my first thought would be, oh, who the fuck is going to change these sheets and all this. Now we've got a carpet and what the hell? Yeah. It depends on how much they've had to drink obviously. Oh, you know what if they've eaten asparagus, who's into the WHO's into that? That's what I really want to know. Yeah. And what happened? What it's usually I've talked to girls who are dominatrixes and uh, one of the things they tell you, it's always these guys that are like big time ceos.

Speaker 4:          01:08:52       They run corporations with power type A's. You know, that they want to take them up and shit on their head. That's what it is. Well, when you describe it that way I can see what the attraction is. You know, I get it. Yeah, I, it's, it was, but it was again, because that got out there completely unsubstantiated. But it became that narrative. Right? And people would start talking about him. I said, let me tell you about it. I overheard a conversation today. Hopefully these people that I overheard or you know, I hope they are listening. I was at the hotel I'm staying at while I'm in town and I was staying at the bar and a cup of coffee to go this early this morning. And there were two fellows sitting at a couple of chairs and they were talking about the new administration and you could tell they were seriously angst written about the whole thing.

Speaker 4:          01:09:39       They were hyperventilate, very upset about it. And uh, one of them said, well, I tell you what I'm worried about. I'm worried about this whole Muslim ban thing. And, and, uh, you know, returning to the days of being a white supremacist nation, my budget, both these guys were white and the other guy goes, doesn't even blink at night, doesn't even question what this guy has just said. I think it goes, I'll tell you what I'm worried about. I'm worried about him signing an agreement with Russia and in next thing you know, they go to war together and in the Middle East, not just one country, the Middle East to get their hands on all that oil. And the other guy says in response to that says that's already happening. And they were serious and this is what happens. Right? And I'm of these guys. Well, you don't have to tell them they were in a hotel lobby.

Speaker 4:          01:10:20       They were, well they weren't, they look, so you don't know who these guys were. I don't know who they were, but they were dressed what? Distinguished, distinguished yell mid thirties probably. Uh, and they really believed what they were saying. Oh my. Well, they were reinforcing each other. And I'm not saying it doesn't happen on the other side. Of course it happens. On the other side too, you know, but that's the point is it's we've been people fucking going crazy. They're losing their minds and it's not just now with, with president trump, obviously the people on the right that we're doing the same thing with the previous, a previous president, but I didn't know I wanted to turn around and say something to them and at least just say, excuse me, like do you think you've maybe over there I was having dinner. Not that I.

Speaker 4:          01:10:52       not that I sit in and eavesdrop on people. This is your move this, this is my thing. Intelligence Agency collects data. Just go, you know, it tends to be, I'm at dinner in New York last week and there was a table next to me and I would just sit in there. I was waiting for my colleagues to show up, so I was, I'm going to drink. And I was listening to the conversation and they were again sort of feeding each other about, you know, apocalyptic results from the election. And one of them said this is the worst thing. And he was absolutely serious and these guys were probably in their early sixties and dress very well. You could tell they were, you know, and their wives are with them and then socializing one percent group and one of them says this is the worst thing that's ever happened to this country.

Speaker 4:          01:11:33       And that actually did make me then interrupt, which is ruined admittedly. But I said, look, I hope you don't mind me. You know, I overheard what you said. Does that include nine slash 11? Does it include Pearl Harbor doesn't include the assassination of Lincoln. It's an include the great depression, you know, how, how do you define worst thing to ever happen to our country? And I know the guy looked at me like, you know, I was a Douche bag and I was, you know, at least it's all, at least you recognized what he was dealing with. What I said I, you know, again, I'll go back to my drink and I, you know, but I just, I would just curious. And you know, there was no give and take. There was no, you know, I didn't get some magical responsibility. I guess I was big over the top a little bit, you know, but no, that didn't happen.

Speaker 4:          01:12:15       No, they just went back to them so I don't know. Yeah, we should all just chill the fuck out a little bit. Well, people get on their team and they stick with it. Whether it's team left or team right in, which is why all those people that are anti war refused to go crazy about Obama and the drones. Yes. You look at all the drone deaths that happened during the Obama administration and what percentage of them were innocent civilians. It's pretty staggering, but you don't hear about that from the left. All you hear about it from the left is that the right is a bunch of warmongers. They're doing terrible things and they look terrible. Things are done right there. Just that's how. That's how the world operates. It would be nice if we didn't do terrible things. Yes, it would be. It would be nice if there weren't places in the world that were horrific right now.

