Speaker 1:          00:00:00       Doom, doom, dum, dum, dum, three, two, one.
Speaker 4:          00:38:36       understand. If you're on a film set, like what's an average day for you? It could be a short days of 12 hour day. So it's 12 to 16. And how many days a week you work in? Five. Six. I mean, when you're on location, you're usually, you can be in a movie that's doing a six day work week or you could be doing a five day, but by the end everyone's doing a six sometimes even, you know, you're just putting in full. You're full throttle to get the movie done. Now when you're on location, do you have to squeeze a workout in to keep your brain? Oh yeah, yeah, yeah, yeah. How do you do that in a 16 hour day? I try to do it during lunch because I find that if you go to lunch, you, you get sluggish after lunch and then you're going, oh shit, I got to get back in there and do this. I gotta now. I gotta hit the coffee. I get hit the whatever to get stimulated. That's what you're saying.

Speaker 4:          00:39:27       Are you a math guy? Or mostly just a bumpy get the history. Um, but yeah, so I think working out during lunch it seems to be the best thing for me because I don't do well in the mornings for workout because I feel stiff. So I like to get the blood going first. If I could hit it during lunch, uh, even if I'm on set I'll do whatever, dumbbells, this, that, and the other and then I'll have, I'll get some endorphins kicking. Yeah. I used to, I used to do that too. But now lately over the last, like not even lately, but over the last like five or six years I'd like to get up. And the first thing I do work out, especially like if I was doing Jujitsu in the afternoon and I needed to do a lifting session, I want as much space between the lifting and the Jujitsu is possible so I can recover.

Speaker 4:          00:40:16       So for me it's like just get up and even though I don't feel good in the morning, once the blood starts pumping and the sweat, you got to just remind yourself like does A. Yeah, I know you feel like shit. Just do the few reps get that blood going and then once, once you're sweating you're sweating. It's all the same, you know? Seems to be. I do not do in the morning too. And I worked out this morning and plus math, but I just that that helps me feel the same. So in the movie, fast eight made a lot of sleeveless shirts, which I. that's awesome. You're a big fan of the other big fan. That's why I slipped me a DM.

Speaker 4:          00:40:50       Stuff going on. I'm sure about the connection. He's confused right now. I just know what we're talking about it. But he'll press on. So do those guys. So rock, state them, mother to do we have to do pushups in there to keep that pump for the, for the scenes to. Very good question. Look everybody's. I mean, I think everybody wants to be on the, on the, you know, at the tip of the spear. Right? And then you got shirt off, tank off stuff. So let's, you know, let's get the pump on. That's where a guy like me, I'm very, very modest. So if I was there, I would be the opposite with your skin. Tight muscle barriers. I would try to slump maybe perhaps, or hide my definition.

Speaker 4:          00:41:31       One of the first thing I noticed when I walked out, I said, oh, he's. He really works on his posture. I do do a lot of yoga. I do a lot of yoga. Very good posture. You notice this cam, you don't even notice, Bro. That wasn't even my friend. Never commented on my posture. That was. That was one of one of the first things when I. I guess I got to yoga about 10 years ago and it's changed my life. It's amazing, right? It changed my life. No pumping yoga. There's no pump at yoga. We've just got to Kim, like sleeveless shirts and getting this pump on. It doesn't like touching his toes and so that's a struggle I can do. I can do this. So knees bent. Yeah, but I think that's. That was the one of the first thing a guy told me when I was getting into it, he said, you really got to work on your posture.

Speaker 4:          00:42:13       He goes, you're gonna. You know, look at, look at guys who were, you know, 90 walking around on the street who are slumped over. He goes, do you want to be like that? I mean it, it Kinda got me quick. I was like, settle the fuck down. I'm 31 years old. How about you relaxed, pow. He's got such a better attitude because I would've said worry about yourself, but I'm used to getting critiqued on line and so maybe I'm just a little defensive. Well these, these seats that we're sitting in or that he's, these are these called Ergo depot, uh, is the name of the company and their, it's called a cup pisco. And what it is, is they're comfortable but they make you sort of sit and support yourself with your spine. Whereas a lot of times people just kind of slump and chairs.

Speaker 4:          00:42:54       Sure. It's just terrible for your spine. Terrible. Swamping is terrible. All that stuff's terrible. And when you order, put in Rogan has order and save $10, not a company sponsor. Jose, are you plugging every companies? Coca Cola, Pepsi, if you, if you do do yoga though, like you will notice a difference in your posture and the like, the lack of like back aches and pains and stuff like that. Everything, but it's just, it's hard for people because it's not necessarily fun, like the results are excellent, but why you're there and you're sweating your dick off and you're stretching and you got to quiet your mind. That's. I think that's the hardest thing for people, right? Is, is, is that the meditation aspect of it is so it's so hard for people to go to get out of their own way, but once you do it for awhile, you realize you're like, now I crave it.

Speaker 4:          00:43:45       I can't go. I can't go a few days without. I go, I start getting antsy and I go, I gotTa Kinda Yoga, you know? Yeah. It's also a very pretentious thing. Not really, but it sounds like it is like, I'm going to do yoga. I'm better than you do yoga. Then I'm going to have hummus, you know, like, Oh, I hate this guy. Well, you know what the thing was when I started 10 years ago, a buddy brought me in. It was 98 percent female. Now I've noticed it's a 50 slash 50. You got to go to a different class. Reason not to go. What if there's a guy in front of you and as you've both been Dover's of guy sack, like that's not what I'm trying to say is I think that it was for, for a long time it was state. Yeah, frowned upon, right? For men to go to yoga and I know I even had those thoughts. I was saying, well, you know, Yoga, I

Speaker 5:          00:44:31       want to go hit the gym and get, you know, get a pump on Jack, get checked. But now I'm going, well, you know, you see all the benefits and everything to incorporate that with, uh, with the pump. For Jujitsu, it's huge because range of motion is one of the most important things that you Jitsu and flexibility, especially when you have a good guard. And I got into yoga for the most part because of Hickson, Hickson, gracie. And I remember in 1994 I saw a video of Hixon gracie doing yoga. And I was like, oh, because I was like, everybody would always say that Hickson was like, there was all these great gracie family members. Hands was great, high end was great. All these guys were great health, but Hickson was always thought to be number one and I was like, well why? Why is he so much better than everybody else?

Speaker 5:          00:45:17       And then I realized, oh, he's got like the full package like he has. His Dad is Helio Gracie, so his dad was like one of the originators of Brazilian Jujitsu. So he grew up with it. It's in his DNA. He trained his whole life under the best teachers in the world. And then yoga in training and exercise like Hixon does balance beams, which stands on a balance beam and does a full split. Standing up holds his foot over his head. I mean it's fucking freaky to watch. He's just got incredible control of his body. So the dexterity and the control of the body along with the strength and Jujitsu. Like that's what made Hickson who is, you know, I'm sure it's just, it's again, it's one of those things, it's not as cool as telling someone you dead lift 600 pounds, you know, either what are you doing to deadlift and 600, five, six, zero, five three.

Speaker 5:          00:46:08       Yeah, put chains on it. Cause it's not hard enough, that kind of stuff is going to, that's going to catch up at the end, at the end of your life, you know, that's, that's tough. You know, it's, if you're not careful, you too much of that. I feel like it's really going to cause a lot of pain in your later life. It can, but man, if you just do yoga, you look like a, like a month course. No, you've got to get jacked as well. That's a little bit. I don't know. I mean depends on what you're trying to do. But I agree with you that it does give you a calming thing. Charms you down or away. Yeah. And I think there's Hixon look at that picture of him on the beach, you know, I can't do that. Oh, he's unbelievably flexible. You've got to get into it.

Speaker 5:          00:46:50       You got to do it. Yeah. I mean Hixon mean there's just not a whole lot of human beings that I can do that. But forget about like world class black belt. Yeah. Yeah. He's a frequent combination. Okay. Wait, so I got to go back to the fanboy stuff, so I just want to ask. So. So you started off acting with like smaller movies, right? Sure. Then now you've been. And tell me if I'm, I know you were in fury. Yeah, I didn't remember until that's started to know who you were. This fury fury was with Brad Pitt. Right? Which one was a world war? David Air. Oh, that's right. Yeah. And then now feels like you've, now

Speaker 4:          00:47:30       you're in the, the big movies. Well look, I started 14, 15, almost 15 years ago now doing it. It's hysterical. And people first SORTA got a couple of movies happening overnight. Success. I know. It's not always. What the fuck you talking about? I've been at it for 10 years, you know, at that point. Um, but yeah, I started. Yeah, doing a tiny one liners, you know, any chance I got just to, just to get onset a play. Any, any, any role, do any lines, whatever. Just learned, soak it up. And um, yeah, I was doing that for years. I mean, I was doing that for seven, eight years, you know, Allah was bartending a while. I was, you know, valet parking cars, anything to, you know, pay the bills. Right. How important is that that you actually worked your way through it even though your Clint Eastwood son?

Speaker 4:          00:48:18       Right. That's what I was interested in is that it didn't feel like he helped use and I don't know, maybe he did, but. No, no, have you? Anyone who knows, my dad would just laugh at it. They, you know, they're, they would say, oh yeah, I mean my dad is very old school and he's, he's very, very tough on his sons. He has an older brother, um, and it's, it just doesn't happen like that in our family. Uh, there's no handouts and you want something, you got to go get it. And I can't thank him enough for that because it never gave me any, a backup, a, it, it, it didn't, it didn't make me go well and I can just sort of sit around or you know, it created drive, created, you know, hard work and driving. Those are all the things that take to make somebody successful yet like if you were 22 and he made you a star of his big movie, that would been something that would've looked.

Speaker 4:          00:49:08       It would've looked. It looked really bad on him. Yeah. It was so and yeah. I mean he could do that I guess when in his movie, but I think the common thing is, well you had, you know, had it easy because you know, somebody, he can't just pick up a phone and call some big director and tell him who he should cast. And if he did it would be a mess. Yeah. I mean for the director probably tell him, you know, thank you clint. But uh, I keep not, not doing that, you know, it was my movie and I don't even know who your son is when he went, when he went on TV and did that like thing where he had a, a s like a seat next to him and talked. You talked to the empty chair. We did. You call them up and dad go, what the fuck, Dad, what are you doing? No, I stay out of politics. I don't even, I don't, I don't give two shits about politics. I, that wasn't even politics. I was just like a play and he was like a, like a puppet show with no puppet. Yeah, I did like the intent though because I hate, well, whatever. Yeah, it was good with it. I get it.

Speaker 4:          00:50:09       But a straight Ho tongue and pen. Hey, didn't you try out or I'll let her know how to but didn't audition this my wheel wheelhouse. But for American sniper I did. And that was his, that was his movie, right? That was. So how'd go, what happened? Uh, yeah, I, you know, I auditioned and I remember actually talking to I new Bradley Cooper and I said, hey, you know what, I love to play your Bra. I'd read the script, I read the script and you know, I was already doing my own thing at this point. I was working for a long time, but I go in periodically and audition for his films. Uh, because there clint eastwood films get an opportunity to audition. Great. And, and you know, when I said that I loved to play your brother and interesting, you know, one of those roles and he proudly kind of looked at me like, eh, I don't know, maybe.

Speaker 4:          00:50:56       Okay, cool. Kind of brush it out with her. I was friends with them. And then, so, you know, I sort of said, hey, can I get an audition to go edition for this, uh, through my dad's company. And so I went and put myself on tape. Uh, it's pretty simple when you go audition for him. He's not, he's not there, no one's there anything. You just go put yourself on tape with a casting director. Okay. And then, uh, you know, either either hear something back or you don't. Yeah. And that's sort of the, that's the end of it. And a lot of times you'll never do. I mean, that's, that's how it goes for actors. Yeah. So that's what happened with that. You, you put it on tape and then didn't hear back, you know? No. You didn't say what dad would say. Oh, it didn't work like that in my family. Really Nice. He's too old school. I would never even dare to bring up something like that back to. Yeah, that's. I mean,

Speaker 5:          00:51:39       that's probably why you're so normal. Me. Yeah. Because those people that are in those sheltered families where he's not good, it's not good. It's not good for you.

Speaker 4:          00:51:48       No it, you know, you don't have the value for a dollar. The value for hard work, you don't have. Everything becomes

Speaker 5:          00:51:55       blurred. Yeah. I think that's the same way with inheritance. I mean it's very rare that someone inherits a shitload of money early on in life and then winds up having character and being. They say that Donald trump is like that, that he's a cool guy. Like everybody I know that's met him. I know he gets a lot of weird press, but the guys that I know that know him say he's a really nice guy really down to earth, really normal, really healthy and I've heard that. I bought a lot of trump's kids, which is really strange because he like, he's this crazy, you know, I'm the best. I do the best things, my ratings of the best. But you would think that he would be like this Dickie Dad, but apparently he's done a great job as a dad, which is very strange. But that's what I hear about Donald Trump Jr. Yeah, that's, I've heard that too.

Speaker 5:          00:52:39       And he so he does got to be cool. She's got that goal. MaYbe that's why he's cool. I mean maybe that's probably it. I mean it might have something to do with it for real. It just, all those experiences in the wild. Well, no, and we just today, so we've shot a lot of. I mean I've been doing this for 30 years. You've been doing this for years now and still it's so humbling. Yeah, there's, you know, It's not easy making a good shot. Yeah. Every now and then one goes right into the neck of the target and you're like, what the fuck? I've been doing this all day one just goes wrong. You talk about ego checks. I meAn anytime you think you're good at archery for sure. There's a, there's a wake up call. Yeah. I mean it is not easy. It's not an easy thing to do.

Speaker 5:          00:53:21       And then also it's like waiting, waiting, waiting, waiting, waiting, stocking, stocking, stocking. And then all of a sudden here comes a time. Ready, get ready, pull shot. Now is it really happening? Is it really? And then you have to execute a great shot under this insane. The adrenaline is pumping and you have you done bowhunting yet yet? What have you bow hunted deer. Have you been successful? Have, that's a nice thing, huh? Yeah. Well what kind of blacktail? What'd you went to? California. Oh, okay. Um, and it'S, it is like very. It's very, uh, like you said, it's totally in the pocket. All of a sudden it's now an adrenaline adrenaline and then you're, you know, it's over because either missed the shot are you, you know, you, you didn't take it. And you're like, you know what they say cam, that there's a direct corelation between lower heart rate and good archery that there's actually been studies done, you know, like in, in these european circles where their target archers.

Speaker 5:          00:54:18       And one of the things that they've found to improve. Dudley was talking about this on his podcast, knock on, on his podcast. He was talking about that running in particular is really good at lowering your heart rate obviously, but then also the side effect of that is it iMproves archery and improves your ability under pressure to keep your heart rate down because your heart ways naturally lower. Right. You know, like your, your resting heart rate's got to be stupid law. Like what is it? I don't know. Forties, forties. Wow. yeah. So I thought mine was good in the 55 or something. That's crazy. Yeah. You know what michael bisping's is 34. Yeah, she Is. Yeah. Nor most good marathon runners or low forties, you know, upper thirties. Yeah. So when you have that going for you, like say if your heart rate gets jacked up and you calm it down, you're probably still going to be like within the sixties or seventies.

Speaker 5:          00:55:12       Whereas a guy who's like some fucking baba with some big sloppy gut and you know, and he's taken rip fuel just so he can get up to the top of the mountain when he gets up there and see some of these book, he's tired, he's winded. His heart rates already jacked and it's harder to execute a good shot and under those conditions. Yeah, and I mean just like with running and exercising, you recover faster the better shape you're in. So yeah, that's kind of why, I mean it can go, it can peak, but then it's back low, normal and then you're more composed. So I mean it takes a while for those guys to recover if they're not in shape. After all my years of exercIsing have just started running, running. We're running today. We're running the trails today. After this I'm going to keep. I'm trying to keep up with him. Ridiculous. It's crazy for me buddy. Doing jujitsu with hixon. You know you're going to get killed. Just go out there and do it. Don't be a pussy. How many miles are you going to do today? I'll probably 20 or 30 if he can make that. Just kidding. You're kidding. Scott. Weird. Choose honestly. Sears. Addy, if you're training for the 230, how many do you do a day? Well, you can do a marathon everyday, right? You'd kill yourself. He was doing a half marathon every day. At least

Speaker 2:          00:56:24       you know there's, there's days or. I mean there's weeks getting ready for the big foot that I had ran 130 140 miles, so that's almost 20 miles a day in the big foot is 200. five miles over. Said. What'd you do? Seventy eight hours. Seventy eight. Fifty six. Did you see that? A ultra marathon guy who finished six seconds passed the deadline. Oh, barcelona at the barkley marathon. Yeah, he fucked up. I took a detour. Now I know that that race, they've been sending me messages and they tagged. I don't know if it was both of us, but the other day on or did a tweet. Somebody mentioned my name for it and so the race actually tweeted and said that I wouldn't be able to finish because I'd be. I'd want to get up in a tree stand and kill some of the wild pigs running around, so it'd be.

Speaker 2:          00:57:12       Yeah, I apparently I didn't know this, but. So that barkley marathon itself tweeted that. Is it Tennessee? Oh yeah. That's the place is infested apparently. Yeah, Tennessee. So it's a. And I got. There's a whole story behind it. I wish I knew it because I'm going to sound stupid, but there's a prison there and I can't remember who was in the prison. Some famous criminal killed somebody or tried to kill somebody. Anyway, escaped and he made it a was out for 55 hours, something like that. Made it just eight miles in and they got them. So that's kind of how the race originated. There's a story behind it. So the race is there around that prison in that, in that same country. And so the goal of the time limit is something around that 55 hours and you have five loops. You go one one way, a first loop, opposite, opposite, opposite, and you have.

Speaker 2:          00:58:06       And the course isn't marked. So you're navigating with a map that you have to create yourself and to get the checkpoints. There's books there at every checkpoint and you have a certain number of the page and they say you go and pull out page 12 of every book, this is how it works. And then you bring it back to make sure they check you when you get the lap completed inside. Okay. You, he hit every checkpoint. Here's all the pages of those books and then you do another lap. And what if you run with some douche bag who's like, fuck, page three, I'm pulling his page to page seven. Could suck my ass. Yeah. Started pulling people's pages out. I don't, I, you know, there's, there's honor in if somebody's working that hard, usually don't have to worry. They respect other people working at heart, you know what I mean?

Speaker 2:          00:58:52       It's just kind of the thing. Yeah, the honor system, they had the culture of it. Yeah. So I mean I wouldn't worry about something like that, but it sounds like a brutal race. I think only me, it might be up to 15 people now have completed it in 25 years. Whoa. It's tough. And this guy missed it by six seconds. Yeah. Jesus christ because he fucked up and made a, an error in his past. Something happened and I can't, I don't, I didn't read the whole story. But. So you have to do it inside a 60 hours. Is that what he doesn't like that? Yeah. And she was like 60 hours in six seconds or something like that. It says he, uh, when he was going around the race, you've found that you came to a staircase and there's no staircases in the marathon. So kneW doing fucked up then.

Speaker 2:          00:59:36       Oh boy. He was a super sleep deprived. You know, he made a wrong turn. You're two miles from the end of the race. Yeah. Wow. And there's no. There's no course. So you just run into the woods. Yeah. Jesus christ, they have the map up there, the topo map up there. And you create your own map off of that map and you can't use a map. You can't use a phone, you can't use a gps. So there's navigating is part of the same when you're doing it. I want to do it. I know you do. You had to get entered is that, that's a whole process in itself. You have to sit and like a letter and a dollar 47, something like that into the race director and they, they select who they want in there and then you have to bring a license plate from your house, from your home state and like a shirt to the guy and then you're in.

Speaker 2:          01:00:28       Wow. So it's, there's, I mean, a lot of crazy. I dunno, it's kinda, it's just bringing a mature. Can you give them a keep hammering shirt? I don't have to be a specific training. I think he chooses. I dunno, I, I need to. I watched a documentary but I don't remember every detail. Are you doing some really nutty one soon? Uh, well I need to talk to, to a candice about it, the race director of the bigfoot she's putting on, um, the moab a, it's a to 234 mile race. This will be the first one. It's a low longest one. There is. So you're going to do what you did the big foot 200, which is 205 miles and then. And then do another 29 miles. Yeah, that's ridiculous. that's what I need to run a buyer. I mean we, it was successful last time.

Speaker 2:          01:01:14       We got a lot of people followed along, whIch is what, what we wanted, you know, because you were running. Yeah. Yeah. I'm with the live tracking and It was cool because that race is so special. She's so special as far as her passion for this and, and I'm creating these opportunities for people to really test themselves. And she was on your podcast? Yeah. Yeah. I'm a big fan of hers. What's her last name? Candice. Burt. And the key premarin number. What would, do you remember which number was a no or five? Was it? I'm not sure people will find it. Yeah. No, it was good though because she's super, super cool. And so she's putting on this new one in moab and it's, you know, further than any other race. And so I want to do it, but there it is. race number three. Moab 200.

Speaker 2:          01:01:59       yep. Why do they call them 222 to 34? I don't know. That's what I like. The big foot thing called big foot two. Oh five. Goddammit. Two hundred. Five pounds. Like I'd feel like thirtY four miles is a little too far just to round down. That's a weird number. I mean, I mean let's do the. How about the moab 50? That's closer. If you're going to run on that. I like that better. Sounds better. Just the 234 point three and p if you run 234 miles an extra 16 probably just like, who cares? I'm already dead. It's a long way. It was looking at that country. Doesn't that look beautiful? Does. But it's going to be in july, isn't it now? Now october. Oh okay. So that's not bad. You'll be fairly cool. Now you were saying that when you do one of these things, you don't sleep like you slept maybe an hour a couple of times. Yeah. And that's how, you know if you want to win. I'm the guy who won richard total beast. I'm always asking how long because my goal was to win, you know, I, I didn't achieve my goal. My goal was to. I wanted to get the fastest ever. So I came up short on that. but what place did you place? I finished eighth. Yeah. So I was winning through 62 miles I think. And richard passed me. fuck richard.

Speaker 2:          01:03:20       He's a star. But uh, I was asking, I'm like, how long had he been sleeping, you know, at these checkpoints. And they said 15 minutes. I'm like, what? So I have like, so I decided I wasn't going to sleep until I got 100 miles down. I wanted to get at least halfway done. So it got to 100, slept for about an hour and got up. And then I ended up sleeping for three hours total over the 78 hours. So you sleep about an hour a day if you want to. If your hope is to compete, to win or to a place highlight like I wanted to. You can't sleep. You don't have any interest in doing that? No, no, no. Yesterday I said absolutely no fucking way. Yeah, we're kind of. Yeah, it's just, you know, it's just like, it's a different type of test just to see what you're capable of.

Speaker 2:          01:04:11       Yeah, I get it. I get it. I guess I'm just not that into running. Do you run it all? Uh, like this morning I ran the treadmill before I hit the weights, but just a warm up because there was nothing in the gym I was at, but not really. He can go with us later. Yeah, I'll come with you guys run. It was run to conan. Can we run to um, a breathing break? Dust or terrible shit. All that crap. I saY we run there and then shoot bows there. But this is what we really concentrating on. Isn't he like 10 foot tall? He's a big tall guy. Six seven are super nice guy. Is he? Yeah. Yeah. Very nice guy. Yeah. You went when somebody was on his show, you went with them, right? Sturgill simpson. Yeah, yeah, yeah, yeah. I went and hang out with them down there, didn't he? He won a grammy this year. You won a grammy? Yeah. That's awesome. He's a. He's another guy that's like a super famous super successful guy that you would never know if you met him just as normal as they get. Yeah. He fucking working on a railroad car. Like he was working for a train company just like a

Speaker 4:          01:05:18       couple of years before he made it. His wife talked him into doing music. She was like, you know, you don't suck at this. Well, that's what shocked me about when I met cameron. We were, it came out in the conversation. He's still working for a utility utility companies that you're trying to get them to quit for a year, a professional hunter and, and I was like, you do all this great stuff. I follow you. What do you mean? And he's like, yeah, I still have this other job. And I'm like, wow. I was like super. A lot of respectful. I've been trying to get them to quit forever. We have more time. I'm trying to get you to quit today, that 10 today. He's like, let's go to Hawaii. We can cut there. They've got all sorts of access, direct access. It's going to be awesome.

Speaker 4:          01:06:01       So that's in june, going in the. I'm trYing to drag them along because I to quit my job. I'm like, could we killed two birds with one stone? I know. So it's likE, yeah, you're going to go with like shane dorian or something? Yeah, shane's going to be down there. My friend remy warren's going to be down there. John dudley is going to be down there. She'd be a gale time spot. I want to go for real too. I'll see if we can make something happen. I'll see if we can make something happen. I'll find out what's going on. But apparently a lanai in particular. Well they say maui remy warren just got back from maui. So now we're on the south side. Yeah, they've got a lot down there. So have you hunted there too? No, we never get a chance. Have you hunted in south here?

Speaker 4:          01:06:41       Mostly in the southern California area. But uh, when you were hunting we still hunting spot and stalk like, whoa, what are you doing? No, just stand and just knowing the areas with, with a, you know, a friend who knew the areas and walking and you know, a flushing them out and you were doing it with that rostow by laughing. It's not that he's just a little bit self conscious about the roth man. That thing. That thing was a good. Hey it killed a deer apparently. Yeah. So well now that you have a hoyt though. Yeah, that things like the most balance. I mean you feel immediately there. So there's new ones are so good. It's so crazy because the first one cam ever got me was only four years ago and you think like wow, that's, you know, that's pretty recent but it was awesome at the time.

Speaker 4:          01:07:31       But if you had to go back to it today and be like oh this piece of shit like this, but not really. But both technology just keeps increasing every year they get a little better, a little bit better. Little bit better. Yeah, sure. And you might not know. I mean, cause I always say it's like, oh, I don't, I try not to be the guy who's like, oh, this is the best thing I've ever shot, but it's slightly better and as we know and hunting that, that there's a fine line between success and failure. So that's slightly better. Might be the difference, you know, a lot more an amateur and comparison and I don't want to beat him. I did it out, shoot him. He did yesterday. He made a couple of times. It's like you're taking the liberty to remember. Remember a.

Speaker 2:          01:08:18       That is the beautiful thing about archery is that there really is no perfection in archery. I mean, you can get a perfect shot, but to be perfect every time you shoot is never been done really well. I will say by the end of the day we were out there in the parking lot of a riverside archery. We had 46 yard shot and scott was laying them in their nice tight group. We were shooting three arrows at a time. I mean so and that's just in a day with that new blow that yet did.

Speaker 5:          01:08:47       Kim and I were talking about this today, if people knew how good it feels to like steady yourself, anchor, like look to that peep site, breathe, release that arrow and watch it or something.

Speaker 2:          01:09:00       Yeah, it's the best feeling. It is. So good. Well we, we filmed today and so I took a shot is 61 yards at that with my big old heavy arrow and I shot and I was like run up to the, to the binoculars and I look and it was a perfect shot and I was like so excited. He's like, the first time I ever shot a bow and that was not, that's just how fun it is. This is how excited I still get and we're just in people. I told joe, I said, if people knew this or I mean they're going to watch this and go, I want to do that. That looks awesome. If you're after 30 years, you're getting this excited. It's just up. We were talking about this today and I want to bring this up and I think

Speaker 5:          01:09:38       hoyt should do this. The big entry barrier in in learning archery is having someone teach you and like going somewhere and not knowing how to get started. Like once you get started and you say, oh, I'm a 28 inch straw. Oh I like a 450 green arrow and you know all the stuff that you need. Then it's, it becomes easier to sort of do, but the beginning, it's so daunting and confusing. The learning curve so long they should have, like hoyt should have a white academy or a place you can go where you could buy a bow. They size you, they fill you up to the correct draw length and then you sign up for a class and there's a teacher and they show you how to do it. If there was something like that. Whereas like you know, you can go take karate somewhere. You could take jujitsu somewhere, go try to take archery somewhere. There's not a lot of places. And if they are, you know, like the first place that I went to his. Oh fucking sketchy. No they weren't. They didn't really know my draw length is too long.

Speaker 2:          01:10:35       It's a good pro. Shops are hard to find. I, I'm lucky with the bell rock back home. Um, and wayne does that. Wayne takes, takes the, teaches them right. He coaches them and it seemed like riverside archery was that chris? There Is a nice guy. Oh totally. And totally knows archery to so. But those might be a unique examples because there's a lot of pro shops. I mean, this guy who works with under armour is telling me about his pro shot back home. Um, they like, we're almost making fun of him. His, his actually not him, but his cousin was in there trying to get set up with a bow and it's just like we made fun of him because, you know, oh, he didn't know. It was just like, so you never know what you're going to get. You know, there's all sorts of different types of people out there.

Speaker 2:          01:11:22       I pulled up to the hotel to come up to la to do some press and I open up the tell of the hotel beller and I opened up the door of my truck. it had all the field trip come out like the bellman is looking at me going, what the fuck are you doing with compound bows in the car? In la? Yeah. Yeah. They don't know how to handle that. If you were in cams neighborhood, they'd be like, oh, you bowhunting out here though. I know chris. Is this guy doing? Yeah. yeah. It's going to kill somebody probably. Right. Or you're a big walking dead fan show drives me crazy when those arrows just sticking the zombie heads. I'm like, why do they just stick? Carpooling is no pass throughs, you know, and that's a fighter. And the kid Yesterday were, they're asking about that.

Speaker 2:          01:12:09       They're like, what would an air date? Will you go halfway in like in the movies? And I'm like, it wouldn't even. You wouldn't even feel it slow down. Yeah. It would be like. And I told them about the. We put up this bear quip. Joe, before we, I think before we realized the victim that will come out of of bear hunting, but joe retweeted the video of this bear stood up and it was grabbing this beaver up there and I shot it and we had a gopro on the backside of it and the arrow went through the bear, came out the back side and it was just like didn't even slow down now and just kind of all this stuff kind of came out with the arrow just like, what was the sound?

Speaker 2:          01:12:48       That's the sound that arrow made through the glass through the bear's body. And then the bear went on a full sprInt. Yeah. Know, like almost right where you guys work slightly off to your right. and when, if you've never seen a bear sprint before, like when you see them lumber around you go, oh well I kind of get an idea without thinking, do bull shit. You know, that thing is like usain bolt when you threw an arrow through it. Right? And that. So that was a 400 pound bear. So you could imagine what brian was asking about. What is he, 160 pounds? that's about 110. Maybe one. Oh, six. Somewhere around there. But anyway, I told her, I said, yeah, these bows wouldn't even slow down. You wouldn't even know what I mean. you would be too late. It would go through you and then you'd go, what?

Speaker 2:          01:13:33       Just say, oh, why am I? Yeah. Yeah, I see grandpa. Yeah. So walking dead, grandpa grandpa's reaching out. Man, I missed that. I missed that skateboard through the clouds. But yeah. So with the, with the walking dead. Yeah. There you got some rotten zombie head and the arrows are just sticking in it. Say, hey, speaking of near death experience, I wanted to ask you this because I listen to podcasts a lot and I talk about dmt and you know, some of the stuff you see when you know, like it produces in your mind. Are you producing in your body, right? Is that the chemical that you released? Like when you die or when you have like near death experience?

Speaker 5:          01:14:12       They believe so here's the, here's the, here's the deal. They didn't know for sure until really recently. That was easy. It was even produced by the pineal gland. Now that they know there's a guy named is produced by a guy named rick strassman, dr rick strassman out of the university of New Mexico and he put a put together these clinical trials that were the first ever fda approved clinical trials on a psychedelic drug first ever on dmt and they were done in New Mexico and he did them and he wrote a book about it called dmt, the spirit molecule and one of the things that he found. It's a great book and one of the things you found really fascinating, and I read the book before I ever did dmt. The thing that he found really fascinating was that these people had used uniform experiences. It wasn't like one person saw this thing and then another person had a totally different trip.

Speaker 5:          01:14:59       Now they all had like fairly uniform experiences and here's the other thing that's really fascinating. Their experiences in manY ways mirror the experiences of people that have been abducted by aliens and people that have near death experiences and the connection they think is that the brain produces this chemical called dimethyltryptamine and we know that it's produced by the liver and we know that it's produced by the lungs and then in eastern mysticism it was always thought that the pineal gland was the seed of the soul. That It was the. The, the third eye. Then in literally in reptiles as it as a retina and cornea. It actually, it's like literally an eyeball in the center of your head and in the vatican there's a gigantic sculpture of a pine cone in the vatican and that pine cone is supposed to represent the pineal gland so you can get a photo of that gigantic pine cone.

Speaker 5:          01:15:53       And I was actually in the vatican last summer and I had a conversation with a guide. We have this really cool guy who was a professor who was explaining to us all the different stuff that you know, it's all the different symbolisms and what they mean and they've eastern mysticism and a lot of ancient religions have always been focused, heavily focused on the pine cone and pineal gland and that is what that's supposed to represent that, that gigantic pine cone in the middle of like people smoke pine cone or there's some people. Yeah, there's some people smoke socks If you give them to them, but what I heard, I heard that, I mean over that now that there's some sort of dmt is like plant. It's plant based. That is the thing is that the dmt doesn't just exist in one plant exists in thousands of different plants. That's why they have iowasca when iowasca is, is an orally active dmt.

