Speaker 1:          00:00:00       Yoga

Speaker 3:          00:55:14       I wake up, do my morning to go to the gym, come home, do what I do, eat lunch, play for, and I go to the gym, come home. And that's when I'm like, okay, I earned because marijuana is so easy. And I go there. I know there's like, you have a huge following of, of, um, the people who smoke weed and it's so easy to, for marijuana to take over your life and, and be in charge of you. Um, and I felt that when I was gaming and smoking, I just want, I like want to do, I'm like, ah, I don't know, whatever. Take a rip, take her up, take her up. Um, and it takes over your life. And I feel like it's, it, it's such a powerful drug. Um, and I don't like the word drug. It's such a powerful, it is a drug though. Um, mass, a lot of people probably masks a lot of people's feelings. How they truly feel. It's so easy to get high all day instead of deal with them. Certain emotion. Yeah.

Speaker 2:          00:56:01       Um, so I just feel like, I feel like people are abusing it way too much now. Some people certainly are. Some people are, and I think that's the case with everything though, right? Is it is. Um, so this foot thing, what did, how did they fix it? What did it, what does the surgery,

Speaker 3:          00:56:15       uh, some pins in to hold the ligaments together or there was two options that I was going to get a plate in my foot and then six later they were gonna I

Speaker 2:          00:56:24       was gonna get surgery again to take it out, lay it out. And I was like, that does not sound, keep that played in new shit. Well, I land a lot of my, a lot of my kicks, you know, you land with your Special Ed with your Shin, by land. A lot of, with my foot. It's like a slap. She'll look at Thompson. Yeah, he throws a lot of instep kicks. I mean, that was the karate way for the longest time. I literally remember I knock someone out in Seattle with my foot and the dude was out for like 10 minutes. It was, I remember that. Yeah, that was gnarly. It was literally my foot slapping his jaw and I was like, Holy Shit. That's most certainly can knock people out with your foot. I mean, that's Phil Davis and Belterra just knock that guy out. That was his foot, wasn't it?

Speaker 2:          00:57:02       Didn't this wetland cats weird. You don't see it coming. Yeah. So the shots you don't see coming. Yeah, you're right. Especially when they come over the shoulder, you know those, those round kicks or come over the shoulder from the outside. Even Thomson [inaudible] through that. That was the last prayer, one of my favorite knockouts and he came over like I literally looked at, came over question why I was so sweet. It's almost a question mark. Yeah. Almost like that one. But you know the question mark one comes straight up the middle ground. I threw the question mark kick landed and then that's when I did it. That's what I remember. Oh yeah. I wanted to bring this up too. I remember, um, you had, you were, I don't remember what podcasts with, but you're talking about, you were looking at my Instagram and you saw the, I did a kick to a guard pass.

Speaker 2:          00:57:40       I was in front of him, did a three 60 yard pass and I remember you saying he could do that in a fight if he practiced it a lot. And I've been practicing that, so I've been doing that for a couple of years now and I did it in that Andre fight I was, he was up against the cage and I three 60 past into side control and I wanted to bring that up and tell you that. But it was, it works spinning. The people don't know what to do when you spin. I spun it, he covered, you'd cover it up. I'm past, I'm already inside control now. This is a moment they have to think and when I'm a striking as well, usually when I spend a backup and cover up like I'm going to go to your body when your body and I'm gonna go to your head, you can get away with a lot of stuff.

Speaker 2:          00:58:18       Other people can't you so fucking athletic. I feel like you could be a pro and a bunch of different sports, like his timing and his eyes. Like what did the doctor say? You have some of the best eyes. Yeah, I remember going to the eye doctor a few different ones and they're like, oh my God, your eyes are, there are some of the best I've ever seen in my life. Like they were taken back. I Dunno. I Dunno if that transfers over to fighting and my distance, you know how I see things coming or you found your range such at a young age to not like a wrestler likes concept penetration. Penetration penetrates to start as a striker. So he's got his range down so good in his eyes and his timing and his reaction time is so fucking fast. So like everyone sees him and they're like, oh, that's, that's beatable. But when with him in front of you, it's way fucking picture length, man for your weight class, for band and what you're so fucking long. And I told you when I saw you, I thought for a second that you might've been the son of Michael O'malley. There's a guy named Michael O'malley who was my original taekwondo instructor, was a four time national champion. Like literally one of the best taekwondo fighters in the world in his play is tall.

Speaker 4:          00:59:22       Yeah, he's very tall and he fought one 47 little skinny man. It's like six three they cut weight and taekwondo. Yes. Yeah, but terribly nobody, nobody knows what they're doing. They cut weight and fight the same day. But he was a, he was a beast. He was my original taekwondo instructor. He was Jay Hahn, Kim's prize student. He was his number one student town. And when I started, Michael had stopped fighting. He was just teaching and now he runs a school in a Peabody. But he basically taught me almost everything that I know. And Mr. Kim, Mr. Kim took over as well when he came back. But when I first started training there for the first year or so, Mr. Kim was in Korea and I learned everything from Mr O'malley. Fucking long limbs. Just that he was younger too, so fast, so fast. He was so fast. He would do demonstrations on people, you know, like demonstrations of the house, set things up and you would see him do things and it was just, it was confusing.

Speaker 4:          01:00:20       You'd be like fuck. Imagine if that guy was trying to kick me like yeah cause you'd be fucked because he was so good at setting things up and footwork and movement. And so when I saw you I was like, Holy Shit, this kid looks like Michael O'malley. He's like, I thought you were his son. That's funny. Like I really did. I was like Holy Shit, his son is fine cause I haven't talked to Michael in a long time. I really did think that you were a son. That would have been nuts. That would have been, yeah. I was like wow, when I see this kid I've got to ask him. Nope, nope, nope. Maybe my dad, who knows. Maybe someone was on trial on journey. You know what I'm saying? I never know. This one's crazy. Massachusetts, Massachusetts. Yeah. Hmm. Um, so when you first got together, when you for when you two first got together, you were 18?

Speaker 3:          01:01:09       Yeah. When he first, when he was commentating the fight. Yeah, I was 18. I'm going it down. How old are you now? 23,

Speaker 4:          01:01:13       23 and so you guys have been hanging out together and train together the entire time?

Speaker 3:          01:01:19       Yeah, we've been best friends the entire time. So it's like in sugar really like looks up to me and trust is my opinion and the listens to me and that makes me have to up my game. You know, I have constantly have to research cause I know he trusts me and I know he looks up to me so I have to make sure everything's really top notch. It's, it's, it's nice now that I'm in a position to where I can pee. He's, he's my coach. Like he's my main coach. I can, I'm paying him to be my coach. He's focusing on me, my diet, um, watching videos he sent like on Instagram you'll send me videos of like we're, I'm digital is my favorite sport in the Geek. That's probably what I've trained the most in like since since my surgery just pretty much what I've been doing is just drilling in the G. Um, he teaches at a Jen soul fighters and I go there and drill Monday, Wednesday, Friday.

Speaker 3:          01:02:03       Um, but he's constantly sending me videos of nutrition, Jujitsu, sleeping, just any, anything, any knowledge he's sending me. So it's, he's such a huge benefit, like a huge benefit to me to becoming what I want to be in. It's so awesome. Like we're doing this together so it's cool. I remember being 19 and their apartment, like this is what I wanted. Everything like training and to have to have him here with me. Even just being here, it's just so awesome to travel everywhere. Everywhere I go he's, we're going places, we're traveling and we're training everywhere we go or train. It's awesome.

Speaker 4:          01:02:36       So how satisfying is it for you to see him in a position like the Andre fight where like I thought you made a big leap in between that fight and who is your around around. That's right. Which was a very good fight too, but I was like, damn, this kid's getting better. I'll be like, you made a leap. You are doing a lot of like weird, unpredictable shit in the [inaudible] fight. You were moving around a lot and I was like, you will have real confident and like you were just constantly moving forward. How, how, how much is it? Like how good does it feel to watch someone improve? Like that

Speaker 3:          01:03:11       dude, it feels just as good as as if it was me doing it sometimes more, right? Like sometimes like sometimes more. That's how I'm like, man, yeah, it feels fucking good. But every after every fight I'm like, dude, let's treat it like we lost. Lost that fight. Always said that. He said, I go out cause I keep, I'm tenant and all right now and every, every fight I've won, he said, let's pretend you lost. And I've improved so much in between fights because I live this lifestyle that I, and I don't, I don't really party too much when I do. I like the party though, but I don't really party too much. Um, my life, my life is MMA. It's like my morning is training my afternoons training and he's constantly saying, after a fight, let's pretend we lost. Let's, let's improve. And I've been prn from that.

Speaker 3:          01:03:52       Alfred fight to that Andre fight. That was less than a year. I feel like I improved the most. I was just constantly learning. It's the sports fucking awesome man. It was fucking awesome sport. It's so awesome. It's fucking crazy sport too though, right? It's so nice too. Cause like, ah fuck, we're getting bored of Jujitsu a little bit. Let's go wrestle for a while or let's go box for awhile and we can always bounce back and forth. It's pretty cool. Riff fuck around with any weird stuff like wing Chung or you know, no. Or anything. Mushrooms the weirdest. Yeah. Mushrooms, mushrooms are gonna change the world. Yeah, I think so too. I met, yeah. That's where we're kind of like dealing with like with sugar. Like cause we're really starting to figure out like what ego is and like, oh so really, really shit, you know? Accurate. Totally.

Speaker 3:          01:04:39       Sure. I've been learning, I've been listening to a lot of podcasts about ego and Aubrey Marcus and with Aubrey Marcus and just a bunch of different people and it's scary learning about your ego and like who you really are and who you ego is. And we're understanding the two different people like fighting in this whole life, this whole like any like Instagram's basically your ego. That's who your ego is. I feel like for me, um, Instagram. Yeah. I feel like social media for your character, like you push out what you want people to think of you like that kind of thing. Everyone does. Like you post what you want people like that's what people are gonna think of you as whatever you post. Right? It's like, and then like realizing because like I was broke last year, this time I was probably broke and now I have a good amount of money and it's, I'm realizing money doesn't make you happy.

Speaker 3:          01:05:27       Materialistic things don't make you happy. And I know everyone says that. Um, who was it? What's Jim Carey's quote like, I wish everyone could be rich, wants to realize that they don't want to rich and famous and famous to realize it doesn't make you happy because I have that a lot of people, like my little brother, I was telling him trying to like get him, I want to pay him to help run my youtube panel. I'm like, you can make $60,000 a year, blah, blah, blah. He's like, oh, that's not a lot and that's not enough. I'm like, dude, you could literally not have to work and be like, help me with my youtube do, but I'm trying to get millionaires and it's just like, that's not what makes you happy. And I'm really, I'm finding that out. Like at a young Adam's like I understand like my ego is motivated by money.

Speaker 3:          01:06:04       I love money and I love just this whole fight game is just all about just, I feel like I'm learning so much. It's hard to, hard to explain my brain and I'm still trying to figure out all of this. Everything I'm learning, I'm listening to so many podcasts everyday, reading so many books every day and I, I can't really explain what my brain try try to explain what you were, your original thoughts. So like you feel like what you're putting out on social media is the ego and what you really are like who you really are, is something different. Well, yeah, I think just humans in general, we're all at the core. We're all just want love and compassion. Um, and so you want that from fighting fight. Like what makes me truly happy is training digit to you're training in general, eating healthy and being around people.

Speaker 3:          01:06:51       I love being around my dogs. I'm watering my flowers. Like that's what makes me happy. That's what makes, um, what kind of satisfaction do you get from fighting to show? I love work. I love performing. Ever since I was a little kid, I've always tried to perform in front of whoever was around my, if we had to get together a fan, I get it. I would always be in a loud, obnoxious trying to perform and do something. I love performing like that. Performing in front of huge crowds. Like he was saying, the bigger the crowd, the more people watching them, the better. I feel like I perform. Um, yeah. When you start learning about that stuff and take mushrooms, it really opens your brain. Other different pathways and changes. How you looking at this? I think mushrooms are one of my favorite things I've ever done.

Speaker 3:          01:07:38       I've done mushrooms pray five times and it's, it's, we're right, right after that, right after a mushroom trip, you feel you're so much more, you realize everyone's going through shit. Like everyone is going through some and make you want to be nicer to people and they just want to be kinder. And then I get four or five months later you start getting a deer and wild ways and you're like, oh I need to do mushrooms again. Need a reset. Have you done DMT? I have not. I'm actually kind of scared to do DMT cause I know like that, that's what I talk about my ego. Like, like even mushrooms, they attack your ego almost Kinda, you know what I mean? And we need that. And I need that ego to keep, I dunno. It's, it's, you need your ego right now. So what

Speaker 4:          01:08:16       you're saying, yeah,

Speaker 3:          01:08:16       we got a new Connor's ego is huge. Con, you need to have a big ego. You need to have an ego just to do anything. We are. Um,

Speaker 4:          01:08:26       but is it the ego or do you need to have the desire to achieve excellence? It. Is that always the ego? Can you do that without the self? Can you do that just as a task, as a goal and be completely committed and single minded in your approach to try to achieve excellence? Can you do that without the ego? Can you do it as a project? Can you do it as a task? I think so. I think you can too.

Speaker 3:          01:08:50       I don't care if you build this character that I want to build this person, this persona, but why do you want to build a persona? Cause you see Conor do it. No, it's, it's, it's fun, right? This, it's the whole fight game is like that. It's just fun, right? Like I don't, plus, you know, if we build a persona, the bigger checks are going to cough, right? Yeah. Like I'm not trying to not be me. Like everything I do is me. Like I just, I don't know. I enjoy trying to find a happy medium, like a happy medium. I'm going to come on this podcast later in life and I'll explain why. I'm just learning so much right now. None of us feel like it's overwhelming

Speaker 4:          01:09:26       or Smith, dude, when I was your age, I was a fucking idiot. You know, you're way ahead of the game. It's just a part of life. It's he is, you know, five years from now you've been in like God back then I didn't know shit and then five years later you'd be like, ah, back then I didn't know shit.

Speaker 3:          01:09:41       The more you learn, the more you realize you don't know. And then we get mad at her

Speaker 4:          01:09:45       parents and stuff like, come on, please listen to me. Eat healthy. Like read books. I'm like, her parents didn't grow up with the Internet. Like we're so lucky to be learned from you guys. It's just impossible to change people's ways. They have to want to change. They have to be motivated. They have to. It's, it's so hard to change people. It's like if you've ever had a friend that's been into drugs and it's been all fucked up and you can't get them to quit or an alcoholic, it is almost impossible to talk someone into changing. They have to have some motivation that's internal. Yeah. And that's the same thing with eating good. The best example you could set is by living your life in a healthy way. Yeah. Fuck yeah. Yeah. That's one of the best things about the internet. You get to see all these people that are doing things in a healthy way and doing things that are exciting and inspirational and then it makes you want to do stuff. Yeah, that's good. And wakes, makes you want to take care of your body and makes you really want to concentrate on your mind and meditating and just really get everything in order.

Speaker 3:          01:10:40       Yeah, meditation. So awesome. It's really helping me every morning I meditate for 10 minutes and I feel like it's helping me throughout the day understand why certain thoughts are coming up, whether it's from my childhood traumas or just anything, just certain patterns, my arm, cultural conditions, thought patterns, cultural conditioning. Just meditating is helped me almost kind of slow my brain down and redirect my thoughts if I get angry or something or if something covens understanding of why I'm getting angry and I think I, and I'm so, cause I've been meditating. I did it for the Terry on verified did for the honoree fight and I would do it randomly or in camp. I wouldn't do it all. And then now I'm doing it. I want it to be a part of my life every morning. I've been doing it for the last month alone. Do you do for 10 minutes?

Speaker 3:          01:11:22       10 minutes every morning. And now how do you do it? Oh, I, I've been listening to Sam Harris, um, guided meditation on, there's an app called headspace that has a bunch of packages that whether it's stress, anxiety, sleep, um, positive thinking. Ah, I just, I just do the guided meditations. I have all this little meditation room. I go down there, I first thing in the morning, I get up, I put the lemon in the sea salt, I hydrate, I go into my meditation room, push play, sit there 10 minutes, meditate. Then I go outside water, my flowers in the morning routines. My favorite thing I need to, I wish everyone would have a morning routine cause it's really like it, I don't know, set you up for a good day. It does. And just don't have, I don't remember the last time I had a bad day and just morning routine sets me up for a good day. I love it.

Speaker 4:          01:12:09       Yeah, I agree. I agree. And routine John Danaher want wrote some really fascinating piece on his Instagram about routine, about how important it is if you're a great athlete. He said, you find me a great athlete, I'll find you someone who's life is governed by routine and that this is the way to check progress and this is the way to constantly be moving towards your goal. And a, I remember reading that and I said to myself, this is something that I've always known but never vote. Verbalize. I've never said it. Yeah. But it's something that I've always known like yeah, like everybody who's really good. I remember I were at a sports illustrated article a long time ago about who's that fucking track and field guy who won the Olympics a bunch of times. His name was something Moses, I forget his name, see you so you could find this guy's name.

Speaker 4:          01:13:03       It was something, but he was like an elite track and field guy. And uh, what's that? Edwin Moses. Edwin Moses. He was a beast and just super, super disciplined and I remember he had like this routine, we had his notebook and he would lay his notebook out and write down all of his different routes and he had this like Matt that he would lay down and he would do his stretching routines and all this stuff. And I remember thinking like, Oh this guy, this is his thing. He does this all the time. He just gets there. He locks in and he does this. And this was many, many years ago. I might have even still been fighting when this was going on. So I remember thinking about it going, okay, like this kind of, this is like what elite performers do when they, when they, when they're right at the Olympics track and field, it's so fucking boring.

Speaker 4:          01:13:50       You're doing the same shit you just running. Like you have to have a mind that to me, that steel to be able to do that same stupid shit every day to try to get an extra 10th of a second here. All right, an eighth of a second there. Fuck all that. Right. But I remember thinking like it was too, it was at the same time horrifying to me that someone would ever want to do the same stupid shit and over again until they won a gold medal. But at the same time, massively impressive that this guy had this kind of iron will. There it is every time Edwin Moses places feed on the blocks from 1977 and 1987 he wants Moses, arguably the best hurdler ever won 122 races, including a 107 consecutive finals and set world records in the 400 meter hurdles four times within that 10 year span.

Speaker 4:          01:14:36       His journey to the untouchable, to this untouchable level was marked by personal innovation and determination, proving that elite coaching and state of the art facilities are not required for supreme athletic success. And there was um, uh, believe it was sports illustrated that had an article about this guy. And I remember just seeing him how motivated I was seeing him stretching and working out and going over his routine. And I was thinking to myself like, oh think about it. Every time I worked out that like what would Moses to how it, yeah, how would Moses I got, I got, I got to start writing shit down. I've got to start really thinking about everything I do and I got to start putting it together on a daily basis like he does. That's what Robert Falls, his favorite formula you'd always say is consistency over time equals results favorite.

Speaker 4:          01:15:24       And I got it tattooed on there. And it's funny cause like once you get good at one thing you realize like fuck, I could get good at anything. And I know what it takes is fucking consistency to Miyamoto Musashi. He wrote that in the book of five rings. Once you understand the way broadly, you will see it in all things. Sweet. Sweet. Yeah. And that's a dude who fought people without fucking sword. Oh God. That's this guy at dance. That's him. That's Musashi. Yeah. I read that book when I was like 15 or 16 or something like that and he wrote it in the 16 hundreds met Hailey. Yeah. Maybe it was the 14 hundreds I think it was the 14 hundreds now that I think about it. Ah, yeah. Yeah. He killed six. That's what the six number six was. He killed 60 people in one on one sword fights, killed, killed.

Speaker 4:          01:16:12       Who that in your mind set going into one of them? Yeah. Well he was a master at that. Well, his thing was so fascinating and I always recommend the book of five rings for fighters because one of the things that it's, it's so crazy about it is his thing was balanced is that you should be an artist, you should be a poet. You should be like, you should understand how to write calligraphy like that. All these things are connected. You have to be in complete control of your mind. You have to be in complete control of your emotions. You have to have complete control of artistic expression and that this was like the way to be a balance sword fighter. Like his whole thing was that you can't have any bullshit in your game like as a human being. You can't have any bullshit because when you're dealing with one on one steel, fucking swords whizzing through the air by trained murderers. I mean, he was the best at it and one of the reasons why he was the best at it was this strict adherence to this Samurai

Speaker 6:          01:17:10       way that he was not just a warrior, that to be a great warrior, you also had to be great and all of these other things you had to have, you had to have a balanced perspective. You couldn't be a meathead, right? You couldn't bite down your mouthpiece and let the chips fall where they may. That shit doesn't work with sword fighting son. That's bullshit. Like it just like you said about GSP, like he's almost too smart. You're like, fuck, he sows. He's too smart. And sometimes in fighting, just like the dumb meatheads go to a certain level, but just like he said, when you're real smart, you can go to a whole new level. Yeah. There's, there's a benefit to being a meathead up to a certain point. Yeah. Especially if you can take a punch because leaving the was a savage. There's a perfect example when he met Anderson Silva, Anderson was like not today son, not today.

Speaker 6:          01:17:58       Welcome to the next level. Give me several levels. You know that was brilliant. Matchmaking by the way, by Joel silver when they introduced Anderson and I was a giant Anderson fan before he fuck cause I was watching him in pride where he was fighting well but then I knew he, I knew he was better than that. He was going through a lot of bullshit and that's when he was with Moyie Thai Dream Team and I think he had already left shoot to box at one point in time. But then he went over and fought in cage rage. He fought in England and when he fought in England I was like Holy Shit. When you got to see when he fought George Rivera, when he fought Lee Marie, you got to see how God damn good Anderson really was when he was in his prime. So when he came into the UFC, he was already in his thirties you know, and his first fight with leap, and I want to say it was like 32 33 something like that.

Speaker 6:          01:18:47       Yeah. And it's oily and he let Chris Liebing on fire and I remember watching it and then I was saying this, I'm like, this is the perfect opponent for Anderson Cause Lehman's an animal. He's a fucking warrior, is going to bite down as mouthpiece and come swinging and Anderson is going to be 15 steps ahead of him dissecting him and different angles and degrees. And as he comes forward he's just catching them bank bank stepping over here, pop. Wow. And then it was over. It was like real quick. And that was the world's introduction to Anderson Silva. Fucking crazy. Crazy mind. If I take a whiz boys, yeah, please go ahead. Yeah, Dude Anderson in his prime memes, Som thin special, he was, he had achieved that state. You know, there's this elusive state of total flow and he had achieved that against some of the best fighters in the world.

Speaker 6:          01:19:35       You know when you see him when he was at his very best and I just feel very fortunate to have been there to watch some of those fights. I think fader in pride was probably, it's like him and Anderson. Those are the two all time greats of that era. Right. And then mighty mouse who's the all time great of this era. But what, what was so phenomenal about Anderson was that you would just watch him hit that flow state. You know, he would, he would size guys up to, you would see him move around. He would start moving around who test you a little bit move.

Speaker 4:          01:20:08       Yeah, we give you a minute or two and you'd be like, man, I feel pretty good. I'm doing pretty good in this fight. And then all of a sudden he started opening it up on your like, Oh shit, here comes here. Comes to so in the now and just react. I mean like he was, he's going to tell you is react thing. Yup. Wasn't thinking too much. Well when he sent, he tore up with that front kick. Fucking God damn nasty, nasty, nasty. But he just caught, he caught something to Vito was doing, if he toiled fight squared up, you know, he's always squared. We were talking about earlier, he always fought sorta squared up because he would blitz guys and he always wanted to be able to sprawl and shoot and take you down. So he had a very squared up style, which made him open here and open here.

Speaker 4:          01:20:46       You know, keep kicks. Yeah. Favorite. Yeah. Well remember when he fought John Jones, John dropped him with the front leg side kick to the body, if you remember that. I don't. Yeah, John John Recognize that Vito was standing square as well. And John hit him with a front leg side kick right to the solar plexus and dropped him. Fuck. And then Vituro caught John with an arm bar. Uber. That fucking nasty, super hyper extended his arm. That's where I knew John was something special. Well, I knew before, but that's when, uh, in that fight I was like, Jesus, this guy has not given up. His arm is fucked up. How was it? Are Gnarly, dude, I was squealing and v toward, didn't let it go. Man. I mean, he let it go. Rather he didn't hold on to it. John got out of it. It's Craig in a fight again.

Speaker 4:          01:21:30       You think John, I hope soon. Who is kicking? Alistair Overeem straight down the middle. They were talking about his square stance and they knew that would be open, knocked out Alastair with those front kicks in the UFC. That's all. Yeah. Yeah. I remember Greg Jackson talking about that. Travis got back from being fucking badly hurt in that fight. You remember that? I mean, Travis was battered in that fight. His body was getting fucked up. Allister was blasted him in the body with knees. Travis was almost out of it and just gutted it out. I still to this day feel like he somehow or another missed his, his path. You know, I feel like Travis, when he was on, when he knocked out Stephan Struve, when you see, when he was, he used to fight different man. He was switching around. Yeah, switched gyms. When he's with Jackson's, he was moving around a lot.

Speaker 4:          01:22:21       He was light on his feet for whatever reason, man. Can you decided to switch gyms and became more boxers style, flat footed. But I also think sometimes guys get to the point where they just don't want to do it anymore. Or if they do want to do it, they don't want to do it. Like they used to want to do it. They kind of want to do it. Maybe they kind of want to pay day or maybe they just want to win so they feel better again. And then they'll pump themselves up again. And maybe I just get this one wind, I'll get back on track. But that, that weird space of not knowing my, uh, my, uh, warrior am I looking to get out and my look into that weird space is the worst place it is. It's the worst place. Fight. Fighting is just so fucking tough too. You don't know what's going on. You, they could eat something.

Speaker 5:          01:23:06       They could have thought about puke in the whole night, could, uh, there's so much. Yeah, I can see that. Girlfriend problems could have family problems, you know, I mean, but I feel like Travis at his best, there was moments in his career where I was like, this guy, I used to call them the dark horse. I was like, that guy's the dark horse of the heavyweight division. He might be the champ one day. People are sleeping on him, but the movement, that guy had four fucking heavyweight. He was, he would see him switch and stances and almost like TJ style movement flowing again. Giant dude, man, man. Those deer legs when they got going though, Huh? Yeah, yeah. That was a problem too. Well, that fight with our Lawsky. That was probably when I was convinced that, you know, like maybe like the best times of past him because just, I could, first of all, I guess him in our last few, sparred a lot at Jackson's and our Lawsky, although he's had a lot of wars and had a lot of losses and been stopped a lot of times.

Speaker 5:          01:24:02       You've got to remember at one point in time, our [inaudible] was a real world class fighter, a heavyweight champion who everybody was terrified of when he knocked out Paulb when Tello back in those days, man, he had a piston of a right hand just boom, just throw it straight down the middle. And he was still skillful guy. So apparently in sparring he would get the best of Travis. So like when they got together, like he had like serious confidence in that fight. That was a slobber knocker do you remember that fire? One round of full chaos. Both guys got dropped. It was one of the craziest one round heavyweight fights of all time and our Laskey wind up stopping them. It's so, it's so hard to pick those heavyweight fights like any fight, whoever lands first, you never know. Yeah. Hey can I guess, who do you think's gonna win?

Speaker 5:          01:24:47       It's like fuck. Who the fuck knows? What do you guys think of this? Colby Covington. A RDA fight this week for that Jack. I hope RDA bust him up. Well, Colby is doing what you said. You want to talk in a lot of Shit and getting a lot of people paying attention. I feel like he's, he's doing, I dunno. I Dunno. He's doing what he's doing. It's paying people paying attention for sure. Beat Maya, which is a huge accomplishment. Right? My is still an APP. Absolutely. World class fighter, but other than that really hasn't beaten big name guys and he's fighting for the interim title. You've got to think that a lot of that is because he's been very smart with promotion. Telia had to hook. Oh yeah man. That's good. Fuck. That's going to be New Jersey for that. I don't have anybody, man. I'm in that same what we just said.

Speaker 5:          01:25:29       Who the fuck knows? Yeah. I liked, I liked the matchup though because Colby, first of all, Colby is not making one 55 unless he cuts a fucking leg off. He's a bigger guy. Rda was the 155 pound champion, so you have to think. Colby is going to have a size advantage. Colby is a very good wrestler. He's relentless and he managed to do something that very few people been able to do with Maya where he'd just overwhelmed him, beat him up, beat him up, standing controlled where the fight took place when a clear cut decision did it in Brazil and did it after Woodley did it and did it arguably better than Woodley did it, you know, was on top of Maya.

Speaker 6:          01:26:04       It wasn't avoiding him in the in a way that Woodley did, but Whitley was injured in that fight. He hurt his shoulder like in the first round. But it was an impressive performance. I mean if you go back and watch what my was able to do with like Rick story with my has been able to do with Matt Brown, Maya's a fucking monster when he gets a hold of you, it's such next level Jujitsu and Colby was really never in trouble in that fight. So you have to look at that and you go, okay, well obviously he has fantastic defense, solid wrestling base can strike on the fee and knows how to like knows how to fight a grimy, nasty fight. And he's the bigger guy. But then you look at Rda and Rda at lightweight was a fucking mauler was just Merkin people. Right? But then you look at him at at welterweight and you're like, Jesus, he might be better at welterweight.

Speaker 6:          01:26:53       Look how good he looked against Neil Magni. Everybody struggles with Neil Magni. He smashed Neil Magni, took them down, leg kicked him, dropped him, get on top of them, strangle him. I mean, he beat the shit out of Robbie Lawler. The Robbie Lawler fight was crazy. Like he just overwhelmed one of the best strikers in the welterweight division. Overwhelmed in from the outside with angles and technique. So it's interesting men. It's very, very interesting. It's very interesting. Some that aren't in Conor never fought. I know. I was so jack for the most exciting. I was so excited for that fight. Broke his fucking phone. You know he's going to be a problem for a lot of people. Is that Gregor Gillespie? Oh yeah. Fucking do. Oh yeah, the gift foxing four time. All American wa one time. National Champ. Sugar tougher and shit. No holes this past weekend. Yeah, I was there. Motherfuckers getting better and better.

Speaker 6:          01:27:44       55 yeah, he's getting better. He's a beast. Yeah, Dude. He's relentless. He's a beast. Yeah, he's, he's fucking real solid, real solid. And, and Scott that look, you know, just super, super focused and tense. You know, there's just so much talent right now in MMA. It's just such a great time. It's growing fast too. Like watching the little kid that the lab train. I'm like, Holy Yeah. You'll see a little kids hitting a flying armbars and shit and Benson Henderson Sun. It's going to be an animal. Told Z he was he two to three. He's throwing hooks, smiling, showed up, legs doing. I don't know. He's developing that way as a little kid. Just from the time you're little, your body's developing, throwing punches and kicks and then haven't bent. And as your dad teaching your mentality your whole life. Fuck man. Crazy. Going to be so many. Daisy put Benson to sleep and shave his head. A hub. It's fucking hair's always getting in the way. He shaved his head, just shave his head. Just put, put them under. Just just put them on a day. Wake up with a shaved head. Come on man. I know it's kind of your luck, but the fuck outta here with that. I was always doing this and curled my hair last fight. I know. Look good. God, it's him. Shit gets in the way. It does. And the constantly doing that. I yeah,

Speaker 3:          01:29:02       liquid rose did. She's like fuck. He said fuck it. Fuck I'm man, she's a beast. She's gorgeous too. Yes, she really, and she doesn't play it up at all, which is yeah. Yeah, she's cool. Super honest. It's going to be interesting for who we get for sugar next. Cause it's probably gonna be a five rounder. Well not what I was thinking. Cause I'm originally after that last fight, after that last fight when we went to the hospital, the Ama, the post fight conference, Dana White took, uh, they said John's fight foot's fine because at the hospital they said there was nothing wrong with my foot and the Dana Psych said that. So I was thinking like, oh, okay. I guess nothing drawn my foot. I guess I'm going to fight because they x rayed it with my foot up. Not, I get not flat on the surface. Um, so I suppose we're going to fight July six.

Speaker 3:          01:29:43       I was going a headline that card at us at a Sonia, Sonia, he's headlining that card. I was supposed to I suppose to a headline that car and I was so excited for that. Um, so that because they wanted me to headline, but I think next fight is going to be October 6th in Vegas, the paper view. Um, hopefully you get to get on that card. But then after that I would like to headline my own. Oh sweet. So I would like to fight two more times by the end of the year Hulings everything's going good. So I think October six and then maybe November, December. So you sweet. How do you decide when you're ready to go? Full blast again with your foot. Just bow. Do you go to a doctor and get it looked at again? Get an MRI, make sure everything's back in place. Got A, I got an x ray last time and they said everything looks good.

Speaker 3:          01:30:27       Come back and four weeks and we'll clear you. But I'm really just, I'm not going to listen to, like, I know how my foot feels like there's days where it's really sore and there's days I'm like, dude, it's good. But I know it's just, I feel like, like I said, about 80, 85%, um, and be like, okay, today, today it's a little, it was, so we hit mits yesterday, um, and I lifted yesterday, so it's a little bit sore, but it's like a, it's like a sore from not using it, not like a sore from Osha injury. Right. So I think it's, it's, it's been Heelan. Awesome. I think everything, I've been doing everything right. So, um, I would say at three, four more weeks, I'll be ready to go 100%. Did you see the Marlin Mariah's fight? I, I did. I seen the highlight of it.

