Speaker 1:          00:00:00       Mm, mm.
Speaker 2:          00:52:35       We got one point. We got one strike. Not The word lifeline. Well he's got three tries to get two more. Okay. He doesn't have a lifeline, but chances are he's going to win this phone. You know what I mean? We'd like to do favors, but if you, if you miss all of them, there's not much I can do it for you. I mean, I assume that you want this brand new galaxy s nine plus is a thousand dollar phone topical line. You want this? It is the best phone on the market and a Samsung. Wow. What a great company. Loved them a lot. Jason looks like he wants one. Do you want this?

Speaker 7:          00:53:14       I get him. If he gets it, that's the deal. That's the real deal. Statements. You not rising. Question number three, what race is donkey? A Puerto Rican. Be Black or to see what it all comes down to this. That's not true. You have 10 seconds to go beyond the meeting. Right? And second, the meme is black.

Speaker 2:          00:53:51       I'll let you know what. Take your time. You're. I see her in it. I want to hear your thought process. Puerto Rican, black or white.

Speaker 11:         00:54:00       Well, my thought processes is a meme is black. So, so, so the Nemea answered to answer black, right? Um, and to be honest, if it could just be honest, I kind of, I did think that you were black, white, whatever.

Speaker 7:          00:54:13       I totally was disappointed. A little disappointed if I'm being honest. When I found out who was a white guy.

Speaker 2:          00:54:17       Yeah.

Speaker 11:         00:54:19       So I don't know if I should answer white or black.

Speaker 2:          00:54:20       Well, no, I'm not looking for a real answer. Yeah, it's not a I, I would have to go quite wrong.

Speaker 7:          00:54:37       Gimme a boom.

Speaker 2:          00:54:41       The real answer. A black obviously do not have eyes. He's a black man. No, actually the real answer is Puerto Rican. No.

Speaker 7:          00:54:53       Oh boy. No. It's white. You are right. You are correct.

Speaker 2:          00:55:05       You have two points that you were on the board. You are looking really good. That was a tough one. Yeah. That had me stressing. I wasn't sure what the answer was and I've answered in front of me like shit. A lot of soul music. Alright. These last two are honestly so easy. If you get the. If you get no, here we go. Let me, let me, let me play the music now.

Speaker 7:          00:55:35       Here we go. What game did donkey get? Famous playing that later band him and has since rapidly declined in popularity to almost complete obscurity a game no one cares about or plays today. What is the name of that awful forgotten gay and that is fallen off the face of the planet and has basically zero players. What is the name of that game?

Speaker 11:         00:56:06       Is there an ABC choice?

Speaker 7:          00:56:07       There is. There is a CS. Go a B League of legends. It's almost as if I forgot the name of it or see Dota two. We've got to get to the bed though. I'm ready for it.

Speaker 2:          00:56:33       What'd you say? League of legends. Yes.

Speaker 7:          00:56:40       I feel like I'm trying to League of legends. It's almost as if I barely,

Speaker 2:          00:56:47       you know, in a way it's like who like. Do people still play that game though? I mean seriously. Yeah. Yeah. Only in like China, right? Well they didn't even have like Dj Khaled come in anymore. Right. Overwatch got DJ count money now. But like you used to be known for playing league, but now I feel like that's ancient history. Like isn't that feel good that you got away from that kind of videos? It was a big change. Was that, I mean, were you thinking about getting away from making those kinds of videos for a long time or was it just like they were dicks and you fucked off kind of like a rash decision, but it was first basket area. He was just like, I was really scared that he was going to like, regret drastic change right away, but he is just like, well, I was scared.

Speaker 2:          00:57:43       Is like, well there was a bunch of people who were making league videos, but that's kind of like a dead thing now, isn't it? It wasn't really like it's on the downhill, but it's still stolen. Rises, continues to rise. By the way, Stephen, congratulations to you. We don't even need to read the fifth question, which frankly isn't really a good question. Anyone three? Yeah. You're a winner one. This brand new Samsung Galaxy s nine plus. What phone are you currently? Uh, I'm using an iphone and it doesn't work very well up. Oh yeah. Mash. That thing was to send us back the cement you sent back to match, but I've heard. No, I'm kidding. Thank you for calling in. Stephen. Thank you for playing. Thank you for being a great contestant, a sewer of donkey mythology. Thank you so much. Make sure you stay on the line.

Speaker 7:          00:58:49       Right. Love it.

Speaker 2:          00:58:53       I was talking with you guys before. Know your man, which by the way, so much fun. That was scary for a minute. You know you're still on the line. Jesus. God, You keep messing with this guy for Steven. We had liked that. Fun here. Like that. Okay. Guys at the ice cream, you know, they keep giving you an ice cube. And then the flip side, at what point

Speaker 3:          00:59:22       do you just walk away from that situation? Because it is pretty familiar. I would have probably left daily. Well, not from this. No, but I'm talking about, you know, let me a street vendor like trick I guess, but I think you know what you're getting into. What would you call that? Ice Cream prankster scream like street, like trash thing. It's always like talking about really got to fight,

Speaker 2:          00:59:52       scream trick. Like an ice cream truck guy. His truck people. Dude, this shit's crazy. Oh yeah. Oh yeah. Lots of ideas, by the way, I don't want that cone for my pants. You know what I'm saying? Like Shit, you know, I don't know.

Speaker 3:          01:00:19       Oh Nice.

Speaker 2:          01:00:28       He's going to get it for real. You're loading it up. Loaded up. Idiot.

Speaker 3:          01:00:40       The best act ever pulled it away that this poor guy, by the way, by the time he gets to eat it, it's been in his pocket. It's been on stage. It's like I don't want that ice cream. First one I've seen where they smeared it on it.

Speaker 2:          01:01:11       So in short, that's what. That's how what we did initially. Yeah, that is. I'm trying to be annoying but funny. Got To love those ice cream gentlemen in a parallel universe. But do you think you could pull that off? I feel like you're a gentleman and I carola universe that we're talking about dinner. I didn't know. You're so passionate about Mexican food. I'm very passionate about Mexican food. Yeah, your Taco, Taco master. He knows how to make really good salsa. Yeah, Dude. Nobody. Nobody knows that that's like a. that's like a desired skill among shit. Well, I. So I have one specific salsa. I'm very good at the red and all this mystery stuff. I'm not very good at, but I make a great avocado green salsa. That is excellent. But I'm. I'm thinking we should just hoarder.

Speaker 2:          01:02:13       Yeah, I'm saying get some Nachos. You can't order Nachos? No, don't order not just to get them to the chip. Separate Nachos with chips separate. That'd be kind of making order, but I was just talking about how this morning I'm so tired. I woke up because I've been preparing for you guys just visit last time we were here, we had we cooked dinner. It was so much fun. Amazing chef cooked us up to the current. You guys were loving it. It sounds like that's less. I made it so fun. Cooking for people who are appreciative. I was like, damn, I'm going to pull all the stops for these guys. So I was thinking, well, I woke up at 5:00 AM this morning. I bake chocolate chip cookies, only smoke up your ass. These aren't saying he's so good and I was going to bring some for the guy, the guys, Dan, but I was like not enough cookies for honestly, and I bring that up just to make them feel that I bring that up because I want you to know that you guys are so cookie.

Speaker 2:          01:03:30       Sorry. I'm sorry, but the new thing I'm working on is baking. I'm working on learning how to make sourdough bread. Tell me about that and it's like it's so intense and it's so time consuming, but it's a good starter. I made my own starter from scratch. I think it's in a good shape, really good bread and last Friday it was like professional. While I had made two breads. One was great, one was like perfect. The first one, the second one was a literal brick, but still it was like you could break. The flavor was good. As far as breaks go, pretty important. Structure was off, so I can't wait. I started getting that starter. She's my favorite food. I did. Anyway. I rolled the dough. I proved it, proved it some more. It's in the proven basket now. It's in the fridge.

Speaker 2:          01:04:38       I've got it. Actually this one I'm super proud of because the um, the starter was bubbly and ice crash. It was like really good smell and texture and this morning I was kneading the dough and it was just looking really good. And so I did a little twist because I didn't want to over prove it by the way. Proving people don't know is when you leave the dough out for several hours and the yeast eats the flower so it starts to rise and make it fluffy and turn. It's our team does all the magic. So you prove it, but I didn't want to over prove it. So I popped it in the fridge. That's the twist. I don't know if it's going to work, but it should.

Speaker 3:          01:05:22       I'm not going to work if I buy into that and it's terrible. I'm to, I'm going to feel horrible knowing the slider.

Speaker 2:          01:05:37       I really liked those. So wholesome because Isla is the pickiest eater ever. She loves bread and the bread here in America is so bad. I have no problem with them. Bread here? Yeah. Noticed

Speaker 3:          01:05:48       and define Brenda. She'll just eat a role, but. So yeah, I will just eat plain know the baker I worked out was also a sourdough bakery. Specifically salary. No. Nice. Yeah, so I got a lot of free bread there.

Speaker 2:          01:06:03       Thing that, that we particularly hate. Isla is that there's so much sugar. Like if you go to the store, bakeries have got it going on generally like in a good way, but at the store it's like I've noticed you'll get a hot dog bun and it's got six grams of sugar in it. Yeah, that's true. I don't know. We try to buy like local bakeries. That's. Yeah. We don't really have a baker in Paris. So you guys are on the. You guys are killing it on breads. We try to go to the grocery store. They don't even have like local bake, like bakery stuff at your grocery store. So they always. They're always dry. Yeah. Browse like Ralph's make their own bread and it's like, you know, the rouse lady, she doesn't really care what's going on at that level. You know what I mean? Yeah. Like the bakery fresh, not like artisan. They're fucking around back there. They don't take. They don't take it on the ceiling. Don't take it. You know what I'm doing? I've got oil on my hands so it doesn't stick. I'm neat. I've needed this dough. I don't think they're doing that.

Speaker 3:          01:07:13       Definitely not doing that. So it's so much. Sun is coming up. I'm in the kitchen on wedding oil, on my hands. I need sleeping. I'll wake up upstairs. I'm downstairs sweating. Needed oil on my hands. You know what I'm saying? How come this is a very unusual. It unusual because I knew you guys were coming and I want it to. I'm wanting to do the right thing, but the question is now

Speaker 2:          01:07:45       and I've learned that you were such a Mexican food fanatic, which I appreciate so much is because I was originally planning to cook some filet minions and all my. I'm going to give you the option. I think

Speaker 3:          01:07:57       probably just follow up with my follow up. You got a couple of Chubby. This is good edge.

Speaker 2:          01:08:13       Uh, you guys can have a side conversation. Me and Jason could talk all day about this kind of Hokey. Like my bread, because you see, it seems like you're in deep in the bread world, so this is going to be a real test for me. I'm going to eat it plain. I'm going to eat it with butter. Wow. Nutella we're prepared. You're not. We bought, we bought, we bought butter. Salted, of course. French. Very nice. And Jelly cream cheese obviously. Yeah. I don't usually have cream cheese on it. What's a killer one? Cream cheese and jelly sandwich. That's right. It's really good. So back to the meats because the bread was Scott sorta started dinner and no, we're one course down. Don't jump the gun.

Speaker 2:          01:09:18       So I think that my specialty is definitely cooking steaks so I can do that. But also, I mean Mexican food teco wrongs steak Tacos. You can vary. Yeah, you can vary. Go wrong. There's a lot of bad places. So if we order there's a chance it's going to be bad. It's probably going to be good to ask because I'm Mexican food in Wisconsin. I can't be that. Is there a good Mexican food and there's some good people out there. Are they Mexican cooking? Okay. They produce is not as good. That said, no, Dan, are you speaking from Mexican food and Wisconsin and I might be speaking out of turn because I've never been to Wisconsin, but probably not. By the way, I like the urgency of you to send me a DM. No private life about Mexican food. So why don't we do both? Sometime we should do both.

Speaker 2:          01:10:35       That'd be a fun, interesting video almost. You know what I mean? Yeah. If people are listening to this, if anybody's left lists, they're going to love that one on the best videos was made a really great video about like Burrito density. Did you see? That was so good. He made a video analyzing the content of Burritos in San Diego and it was so fucking great. Opens up the brooders and analyzes. So good. Yeah. The dedication, the conclusion. Well he was analyzing like three different major chains and like if they're making them right because sometimes, believe it or not, they put French fries, embryos, and just kind of a weird twist. Oh No. You know, you know, you get your burger reader in Korea. We Got Burger Rico. What it sounds like, some sounds like some Wisconsin and that's so tough. So do they put ketchup in it? Like my nightmare details. If it's really dedicated to being a hamburger. I have a problem in a Burrito with some French fries in there. Probably that's not okay. There's a lot of them know it's a wrap. It's a wrap. Yeah, it's just her wrap. If you call it a wrap, it's much easier for me to handle. I don't know if I liked it that much.

Speaker 2:          01:12:16       I was like, I will not eat that. You can do it to the mistake and I hated it. I hated it, but I don't think I'm the same way. I hate it and I'll eat it either. On the other hand, I don't like it. I don't even touch it. I'll start. I'm like, yeah, that's why we look like I'm actually, I'm not kidding. I eat two portions of every meal or like one and a half. It's pretty bad. I ended up starving. If I. If it doesn't look perfect to me. Not that it's not that I want to do it, I just can't. Like I can't eat it. I hear you. It's just, you know, you're built from a different cloth. I have a problem. I've my food falling apart and then it's too messy for me to eat on time. We're at the restaurant and the waiter is going by and I'm like, here give me that. Like she was all done with their burger and it was like the whole burger was still there with all this stuff and I've had my whole plate is clear. I'm like, give me that. And right when the waiters going, I'm just taking her whole plate and start eating it. And I was just sitting there like I'm done at. There's no shame in it could look funny. You just walked by and was like, what's going? Oh my God.

Speaker 2:          01:13:52       Oh mcn abuse abusive food. Quarter your time is up. Giving me a burger. I'm sure I'd do that for you. But like I, I'll, I, I can hate an eat so easily. Like I'll not even like it and it's bad for me and it's super high calorie. All fucking eat that shit before you look blinks. That's the worst on like this bed with it tastes bad and it's also bad for you. That is the worst. You're just, you still eat it, but that's what Disney is all about. It's like the corn dog, you know the strange. Like I think I kicked on a corn dog. I felt pretty bad about that, but it's like 2000 cows.

Speaker 2:          01:14:47       Oh, let me look up. How many calories in that weird was the leg? No, I got. I did get the leg by the way. Oh, you got one? Okay. This says 400 calories. I'm here to say that's a fucking outright. A lot bullshit. That is an outright monstrous live. This corn dog is this size is threader serving size. Oh, that's vendors like five servings. Okay. Yeah, I gotta find out. I gotta get to the bottom of this. Can you guys find out what the calories are important? That's a monstrous fucking filthy. Like this big. Like for anyone who has not had it and it's deep fried corn. So awesome. I feel like that's 1200 calories. Lee, do you guys hear about.

Speaker 6:          01:15:46       There was this megabucks jackpot was $543, million bucks. No Damn. So this was like a huge Jackpot in California and I'm 11 employees at one store all went in together on tickets and they won. So basically all of the employees at this one place are now overnight worth like 60 million apiece.

Speaker 2:          01:16:15       That's when I was just thinking like that place is going out of business, like everybody's fucking gone. It's such a funny situation. It's like this is what it's going to be like. That's what it's going to be like this. But it's funny to think like that. They're all playing the lottery so they can never see it

Speaker 6:          01:16:40       each other ever again. You know, these fucking guys, 11 of them

Speaker 2:          01:16:48       got that article said, every single one of them said they have no intention on quitting. Get Real. What do they come on? Like a financial services. I really love my job as a receptionist. I'm worth it

Speaker 6:          01:17:04       a million dollars now and I have no intention of leaving job as a

Speaker 2:          01:17:09       receptionist.

Speaker 9:          01:17:11       People really like going out to work and it's like, I know my mom is like that. Like on Saturday she can't in Israel, you go back to work on Sunday, so on Sunday that she can't wait for Sunday. Like I've never heard anyone. Okay.

Speaker 2:          01:17:24       Say That your family have one day off. She says, well,

Speaker 9:          01:17:30       she always says I can't wait for Sunday. I want to go

Speaker 2:          01:17:32       serious. Yeah. Different, different alien race. What the hell sent you an alien right there. You think if your mom wants 29 million US dollars? She would work at Delta still. I feel like she would say that, but I wouldn't believe it. No effing way. These guys, I think they need to follow up with them in like two weeks off there be will be gone after the interview. Are you kidding me? What's that? Check hits the bank. Twenty $9 billion. Not what? Just really financially conservative. Take it easy. You got to conserve. Well, they have a option. All 11 of them have this option between they can receive 18 is this right? Then $18 million per year. Oh, one point. 6 million per year forever or a measly $29 million pop.

Speaker 2:          01:18:36       That's crazy. The one point six, take the lump. Take alumni lump all day long. Because I don't trust. Take the money and run inflation. Take the money and run. I don't want anyone owing me money. I take the loan every time I win the lotto. You know it's funny. By the way, I bought a ticket. I'm not ashamed to admit it. I bought four tickets. I dropped $10 on that. Why did they tons of tickets probably. They probably pulled in and bought a bunch, but think just like for they bought, they only like a handful of doesn't achieve bucks. Spent $10, bucks a piece. So 11 people, so 22 bucks. They probably had 11. That's a decent amount. Oh God, that's crazy. Have you guys ever played the lottery? You ever buy ticket and just fantasize? What if you were like a billionaire? Overnight? I never ever bought him. Really? My mom used to always do the same where she buy, when the lottery get big, she'd buy ticket and then for like the whole week she would just talk about fantasizing about the ball for the whole

Speaker 7:          01:20:08       week. Like I would move to Florida and I would do with the kitchen this way and like really extended fantasy,

Speaker 2:          01:20:21       started getting you excited and file maybe we are going to win.

Speaker 9:          01:20:24       My Dad used to own and kiosk and really I didn't know your dad was a key ops man and I don't know if you know and that is here, like if I got a gun. So they, they did a lottery there and I just remember all the old people going in there and like placing their bats and they're so serious about it. There's like combos and like I'll do the acs and the ACS Combo and I dunno, I ain't gonna even know what it means even though it's completely random. I know the people that when like they're doing their exam, you know, like they're all,

Speaker 2:          01:21:05       it's been three days since the seven weeks. First number on that. Can you imagine though that amount of money to win? It's so obscene. Half a billion dollars for literally doing nothing. It's hard to say no to that. That's where the Jackpot is so high because so many people in bond overnight, one of the richest people in the world. How does that differ from what are weird? That's how it works. They're just. They make money by people buying tickets makes the jackpot larger. It's actually the lawyer always one. Obviously the lottery, a lottery every night. Actually the lotteries, the interesting thing it was, I don't remember where I learned about this, but it was made to be a public service, so like it's like a voluntary tax. Literally that's how they thought about it and it originated in like Japan and so you will be like, give us a book, have a chance to win a prize, but the money goes to civic services, so like they use the lottery money to fund schools and local shit and that's still what they do today if you'd like. The California lottery is a. is a public fund used for the benefit? The welfare of the gut?

Speaker 7:          01:22:17       I don't know why I always thought it interesting. It's interesting. It's so like it's a California state lottery, so it's run by the APP.

Speaker 9:          01:22:32       It. I think it's the same. Well because I've seen like you'll see like an auditorium and it says the.

Speaker 2:          01:22:39       It's a voluntary tax is literally a voluntary tax. Pretty cool. Growing up, my dad always would tell me it's the idiot tax. That was another word, but then whenever the Jackpot was huge, like it was on this one, he would still go buy a ticket like that. Well, my brother explained it to me, Mr. Science. He goes, at a certain point when it gets so big, you're actually statistically

Speaker 6:          01:23:06       a favorable bet. You know what I mean? Let's say you have like a one in 10 million chance of winning and so usually let's say the price is 5 million bucks and you buy ticket, so that's not a statistically good. Say if you put a dollar and you stand the win half a billion, then all the sudden, yeah, yeah, maybe there's logic there. You can't win if you don't play Nice. Yeah. She didn't want one. Not No one wins. Nobody went, oh, I have a great video about the lottery. I want to watch with you guys. Well, there's another story I want to talk about. Just cracked me up.

Speaker 2:          01:23:49       Nela, almond breeze, almond breeze. You guys drink almond milk? Yeah. Well you'll be. You'll be horrified to know that it's being recalled because there's actually a trace amount of real book in it.

Speaker 7:          01:24:07       Even like some other day I was. I had a big old bowl of honey smacks, like the cereal that I never eat. I just picked it for some reason. I'm like, oh, I'll have honey smacks. And then like we're driving home from Milwaukee. I'm like this fucking crazy radio stations. Like on this goofy hip hop station, Dj fresh, fresh, just recalled honey smacks it. Has Salmonella and it like what the fuck? Like a sub plot from Salmonella funds to throw and be like, Oh, you thought I was going to Salmonella. No, but isn't that fucking hilarious? They're making all men milk a milk alternative and somehow real milk is slipping into how the hell does that happen? One mission to not have milk,

Speaker 2:          01:25:14       they're recalling 145,000 half gallons of almond milk because they could contain actual milk. Whoops. Why? There's no information about why actual milk got into the almond milk. I tried to dig into it and just nobody. Nobody has any excuse. It's like a great mystery. I just loved the idea of somebody going to buy almond milk because they're like a Vegan or something and there's just a trace amount of real milk. It just like a little prankster, like disgruntled worker. Just a little milk. It's like, that's not like a little mistake. That's like a fucking like a month of shit. How long does that go on? I Dunno know the recalling a lot of milk. And why does the almonds have to pay for the, you know, how many, how many defenses almonds are going down.

Speaker 3:          01:26:10       Jason was freaking out about the cereal. He thought they were like rubbing raw chicken on the serialized

Speaker 2:          01:26:18       cereal. Cereal wasn't a cook, but what touch like every piece of the cereal or like what? How dirty ass guy at the factory who probably takes a shit cooks chicken without washing his hands and he's handling the smacks just scooping him up like raw chicken goop in your smacks. Oh Man. I have a ton of videos to watch. Jesus. We're all over the place. We talked about our dinner plans.

Speaker 3:          01:26:48       Oh, by the way, thank you for reminding me. We're killing it.

Speaker 2:          01:26:53       I think I'll get steaks and we'll order fucking Mexican food. Going to be so good. We've got cookies. I've got to make cocktails. So you guys like Moscow Mules? Yes.

Speaker 3:          01:27:06       We just got the 10 guts. It's got breakfast, breeze

Speaker 2:          01:27:13       kind. They're all of a sudden. Oh, I'm sorry that I like to put artists in bread and wake up at five. Am You Isla? Sorry that I sound like a hipster while I'm literally sweating as the sun rises. Thank Leslie. As sleep peacefully. That is really hipster thing. Speaking of the light was really nice to wake up and have a fresh cookie. Have a smell of chocolate chip cookies, a wharf there up in the bar is going to expect that. It's a one day thing. You guys are the sweetest couple ever. Do you guys fight about anything ever?

Speaker 3:          01:28:01       They don't last. Like what? Do you guys fight about? Disagreements? Like stupid, stupid stuff. Yeah, but then we just like laugh. Like if we look at it, if we like make eye contact,

Speaker 2:          01:28:13       get like woke up like really serious. I go try to like look at each other, make

Speaker 3:          01:28:18       that's really doesn't just let it go and then it's over. Excuse me. That shit. Yeah. Maybe if we like separated and like went in separate rooms or something. We could have a bigger fight but we never want to fight more. We're working on. We went in. I like the idea of you guys had a fight. Like maybe if we. Jason, maybe if you went in that room and I go into. We could get angry at each other for a little longer. Yeah. Probably not even send each other texts like I'm hungry.

Speaker 7:          01:29:02       That's usually when they like, okay, I'm hungry. All right, let's, let's, let's squash this.

Speaker 2:          01:29:09       Beef menial. Always fight about food. Pretty much. Not Anymore. It used to be all we fought about like what you're telling her to eat or like where do you eat? Because Ila,

Speaker 9:          01:29:19       I don't know why we argue so much about it

Speaker 2:          01:29:22       because like it's hard. It's hard to tell.

Speaker 9:          01:29:25       I come from like, my mom usually cooks all the time, so growing up I only ate at home so I ate. I hate eating outside and

Speaker 7:          01:29:36       I up the opposite.

Speaker 2:          01:29:38       Okay. That's all right.

Speaker 9:          01:29:42       Ethan ate out like every time all day. Right. That's as I understand it the same. So that is why we would have a lot of

Speaker 2:          01:29:53       like I wanted to eat out. Yeah. You don't like eating out, you don't have anything else,

Speaker 9:          01:29:59       but we don't really argue about it and as much anymore

Speaker 2:          01:30:04       I've, I've learned to do at home. We did our. No, I'm kidding there. Check this out. Speaking to the lottery story is about a moment.

Speaker 7:          01:30:15       It was after barb reddick and her nephew, tyrone mcguinness, picked up their big win. One point $2,000,000 chase the age Jack Pot, but it didn't take long for things to turn sour when both were handed separate checks for $600,000.

Speaker 12:         01:30:30       JCA sweeteners is going to court. I've taken the car. That was my take was that I bought. I bought it and now he's trying to say we split. I said split with the 50 slash 50 now. But no chase ca's I've taken them to court and I'm getting my lawyer tomorrow.

Speaker 7:          01:30:49       Both names are on the winning tickets than a critic says. We agreed to split the consolation prize and not the Jackpot. If the ace was drawn,

Speaker 12:         01:30:58       I put his name on the thing. I told them for a good lock. They always lie, but I'm taking them to court. I'm serious. I'm getting a lawyer tomorrow. Who's name was tyrone you by the time I love it.

Speaker 2:          01:31:13       What is name for good luck and I won.

Speaker 7:          01:31:17       He works his name work. Do you got the good life? Like damn.

Speaker 2:          01:31:24       Get a little fucking money

Speaker 7:          01:31:26       instantly to. You always hear these stories of families falling apart over this, but like over the course of neither. There's not like 30 seconds later something else is going on with,

Speaker 9:          01:31:37       but if any, if it gives them money, how is he going to enjoy it? No,

Speaker 2:          01:31:41       he's out. He's fucking piece now. That's 600,000. What is she, by the way? This whole. I don't know where they live. Like I assume not anymore expensive. Like what is this lady going to do with 600,000 bucks and he's gone. She's gone on to make a plan. Take your. Yeah. For the last 20 years. Plans to. I guess you're right. Redo the kitchen. Could cost you anywhere. I thought this was interesting. Just like a couple bucks. That's a quick turnaround here. Why did you do that? Because he's like a son to me. He was like, Shit, you know, it's almost like she wishes she didn't win because then she'd almost rather that they didn't win and then that they were still like friends. Crazy. Like it's ruined her life. What are they going to do? It's like you just won $600,000, wouldn't you? Going in and out spend half of it on attorneys.

Speaker 2:          01:32:46       God, he'll get over it on the winning ticket. They felt the phone number was mckinnis. Britney's curly says when she called to notify the winters, no one answered, so she called the shape or good. It doesn't get better. You got all the good stuff. I mean, I've got some other stuff here, but we really blessed. We really spent a lot of time on the food. I don't have regrets. Tell me if you want to watch any of this stuff. We can wrap it up. Squash some stuff. But I've got Christian mom upset by north north. Have you seen that by one, by one with 10. That's an investment. Yeah. Yeah. It's an audit because I. It was kind of related to you writing your own hip hop song. It shouldn't do it. I kind of want to say. Okay, good. Alright, so I'm going to put on the person. Yeah. Oh the.

Speaker 13:         01:33:48       It's a little long. So bear with me.

Speaker 2:          01:33:50       The song by Vince staples called North North on the radio. By the way, that's a great song, but as far as hip hop songs go, it's really not the worst one. Not even close, man. He's got a message, right? So anyway, she's having like a mental breakdown that it was playing on the radio and the best she reads the whole lyrics to the song with the best part is that because she literally reads every single lyric, they were able to mix it up. So she's singing the song like he sat there for like 12 minutes reading and crying and having, yeah, it's great

Speaker 13:         01:34:29       bitch. You don't die. I just want to dance with you baby. Just don't move too fast, man. Down shaded. Take a Nigga mind on that and we function on my Yankee hat. Gangster gangster rap shit is everywhere. I didn't know the difference. And Deanna Brown, like the dope daddy shooting in the kitchen, never went to Mali. Hilson or Cabrillo of Trello. I don't even know if I pronounced that right below email. Then. That was the first verse. This is the. The main chorus says, I ain't never ran from nothing but the police. By the way, I ain't never ran from nothing but the bullies. Staples had the best response. I thought he was like, he's like, he's like your reactions, right? That's the point of the song. It's a good day. You feel that way because it's so fucked up. Like that's right. You're getting the right reaction. That's okay. Right? We wonder why this society is so messed up. Well, listen to the music. Hit the corner. I

Speaker 2:          01:35:48       don't need to watch all of this. It's great. So no, I can't believe I missed it. It's got a lot of Scada. Love Lore surrounding it. Oh. So her kids were in the background. Daughter was like put it on and it was like on the radio or something back. Actually the fact that the little babies behind her, she's saying it word for word. It's the same thing. It's actually a worse on the radio. You don't really catch all the lyrics. She's like, I can't believe my kids are hearing this on the radio and she's there dropping n bombs and all this bullshit. She's invasion new video. Like people don't really get how it works. You know? All white people. No don't really good like that. It's like from a character still trying to figure out like everything is like literal, like it says in the song I shot this guy, they think he literally shot the dude, right?

Speaker 2:          01:36:44       Yeah. Like, oh my God, the police looking into this. Totally. Um, so we've got to prank invasion, new video, moaning addition. Let's check it out. Pretty bad stuff. There was a seizure edition as well. She's pretty solid as you can imagine. Theaters crazy. Yeah. He's, he's video since ours are his, his invasion. Yeah, he, he's off the map pretty much. I mean he's got kissing my fans, nurse addition couples edition, whipped cream addition. I think moaning addition. You're gonna you're gonna. Really enjoy this morning. And how does it think about it by the way? He's, he's, he's kissing prank. He's been working out. He's like, yeah, a lot more veins. Yeah, way more. Raphael. He's lived up. Huh? But like he's more imposing now. Like if you wanted to rape me or dominate me. You know what I'm saying? Like if he like you're giving him that fucking kiss but the music never changes somethings. But you know what, when I see these biceps kissing friends gave me a really weird and creepy way and see what happens. As always, let's do it as always like a really quick game of rock, paper, scissors. If I win, I get to give you a really quick hands. Okay. Alright, here we go.

Speaker 5:          01:38:18       Here you go guys.

Speaker 7:          01:38:25       No, at this point it's not just comedy. Why? Just to see what happens then it just stopped. I don't think he's having like an epileptic seizure. Is that what it sounds? Alright Chris, don't get my visit to monetize it. Fucking. Is it the same noise each time or does he do differently?

Speaker 2:          01:38:59       Quick Kiss. Okay. Okay. Here we go. Rock, paper, scissors. One more time. Here we go. Rock, paper, scissors. I went, come here. As always,

Speaker 7:          01:39:29       I think he's. He's really just trawling. Yeah, he knows I'm not going to laugh. This is the part that we're me. Is parodying himself. Exactly. We made that one

Speaker 2:          01:39:41       video, you know, a, a closer look at the line was getting so blurred that I was actually starting to enjoy watching his videos because they're so like the morning one, like it's your watch it and it's so stupid, you know, like there's a weird transformation going. I feel like if he keeps following the thread of so obscene, so stupid that he could really be on to a new wave of entertainment

Speaker 7:          01:40:09       that's always the hardest. And somehow he went against all odds to look back and make the girl in the same one probably that it's set up that you know, just studied. It's just so repetitive. Oh, there's

Speaker 2:          01:40:36       one here. Let's watch this last one. It was fun. I saw, I loved it. Um, how to stop cyber bullying. It's a big issue facing all of us today on the Internet. As you guys know, you work on their night live on the Internet. Have you guys ever had promised cyberbullying all the time? Yeah. Yeah, me too. They're bullying us all day. Everyday. Tough. It was on overwatch and some guy was yelling at me about something, right? Oh, scared. What do you do at that point? You've literally helpless. I leave. I leave the house. I have a hole in my backyard laying when it gets so well. Anyway, we have a helpful tip for you on cyber bullying.

Speaker 5:          01:41:22       I think the best advice I would keep through cyber bullying,

Speaker 2:          01:41:29       but the way she phrases it almost sounds like she's going to get tips to the cyber bullying.

Speaker 5:          01:41:49       Close your eyes. I'm sorry. I would get to sign her bullying. Nailed it. That

