Speaker 1:          00:00:00       No, but you need more orange.
Speaker 9:          00:44:22       Florence is a large and extremely destructive hurricane. Storm surge is going to be potentially life threatening for some areas along the u s coastline and this morning we've seen the water picking up over some of the roadways. Let's go ahead and take a look at what could be a reasonable worst case scenario for areas along North Carolina all the way here from surf city to North Topsail beach, we could be talking about up to six feet of storm surge and again impacts have already begun today with the storm approaching even inland. It's not just going to be a coastal event here, areas along the river and that we can show you what this could look like if you were to find yourself in this scenario. Once that water comes in three feet, you can see it on my shins, my waist. This could be enough to knock you off your feet. You can eat another guy at the far side of the roadway. This is extremely dangerous to that six foot range. How high this water goes. Ooh. Wins pick everything.

Speaker 2:          00:45:17       Yeah, they did. They got a little choreography with it yet no powers

Speaker 9:          00:45:21       stand here. Even withstand the force of the water coming in. No Shit. But anyway,

Speaker 2:          00:45:29       I thought that was great. I love that. Love it very much. And then of course there was, of all things, like you said, they probably blew up all their budget. They have a production budget that they blow one week, the next toy there point is going to be on like the cell phone camera. Yeah, exactly. They don't, they can't afford cameraman anymore. Then of course there was, um, ludy interestingly, of all places, a dollar store was alluded. If you're gonna I mean a dollar store looters [inaudible] dollar store looters, that's gotta be, I mean, that's rock bottom money shit. Dot loot somewhere else. At least if you're going to break the law, could something more valuable than a neiman marcus or something? Come on. Yeah, no. Anyway, let's watch a video. This reporter is 13th and very brave. What are you getting there? Entering the cup, right? Kitchen towels. A couple of kitchen towels, some juice, some, some cheap oil.

Speaker 2:          00:46:39       That's useful. Uh, you know, you could get there. You could steal a 10 pack of sporks. What does park? It's a, it's a fork spoon combination into one utensil. Oh, there's some fancy sporks actually have a knife on the side that's outside of, that's the two. That's, you can't find that kind of quality at the dollar store though. Um, is anyone else that sat at the dollar store and not everything costs a dollar? Shouldn't even be, I think because you know it doesn't upset me because I know that you, I would go shopping in those stores and then it's what I want is like 15 $15 that no, that's too far. Yeah. If you have a $15 item in the dollar store close up. I'm alluding is what I'm at. I'm alluding your dollar store. I understand in this day and age is 2018 we've had a flesh and if you, you can kick it up to two or three bucks for a really premium, I'm talking about a spork with a knife up the side.

Speaker 2:          00:47:41       You can charge a premium for that. No, I remember even in Israel we have both stores and it's like a shotgun store that's 25 cents by the way. But then what I want would be 20 shaking. Oh give me a fucking break. Yeah you make a scene. Do, do row stuff. Do you yell and you know I just only by the the shaking and stuff. Okay. What do you buy for a shekel? That's the only 25 cents. I used to love buying stickers there cause they would have like really weird Chinese knockoff stickers when like how much money we're looking. Well that's what these people are stealing cars. This is a dollar store. So it's fun and interesting. I catch hell if I feel bad because it's like pure desperation. They might need food. I mean how desperate are you if you're stealing shit from a dollar store, I don't know.

Speaker 2:          00:48:34       Go for it. I say really? You say loot the dollar store. That's still illegal activity. I feel bad. I feel bad for emergency. Someone owns that store out. It's kind of drizzling. Dan. I'm not going to say that this is a life or death situation, particularly quip. It's a little bit, but you never know. But I'm saying like if you're, if you're, if you're alluding a dollar store, you're not like, you know, set for life. I mean you might be able to enjoy those stickers. If you own a dollar store, you're not set for life. Depends is it a chain is a mom and pop's dollar stores have dollar tree. Dollar tree can get looted the fuck out of it. Yeah, that's fine. Yeah. Damn. And when did, when did you become such a vigilante Jesus Christ? Amen. When it's an emergency.

Speaker 2:          00:49:23       I know I did not. I just remember we never did a background check on dance dance like a police murder. Anyway, wash the bravery of this lady and she confronts these awful dollar store criminals in the wake of this awful tragedy. It's a national emergency. I want to identify what they're stealing. So this guy's got a 12 pack of coke, zero by the way. Excellent taste young man. That's actually, those are mini cans. It looks like maybe a six pack of mini in the dollar store. Ralph's. Those run about three bucks. So $3 but if it's a six pack of mini cans, you might be able to get those for a buck. They're probably expired, obviously. Excuse me. Do you know that you're stealing a six packs of coke? Zero. Excuse me. What does she think? You're caught committing an act of crime. You're supposed to stop and do a little interview. You know what I mean? Can we see your face please, sir? And uh, your name and phone number and address.

Speaker 4:          00:50:36       I'm really curious about both feeling or you know, your lips.

Speaker 2:          00:50:39       Wait, the kid playing. I went, oh, I'm just try. I really want to identify what they've gotten. The car correct. He's got what looks like a tub with like maybe some detergent. Well, tupperware. I mean, look, if you're willing to steal detergent.

Speaker 5:          00:50:54       Yeah.

Speaker 2:          00:50:54       Well anyway, Chris Stealing is stealing folks on that, right? Just say it.

Speaker 4:          00:51:01       You know that you're alluding and

Speaker 2:          00:51:03       the law in and compromise everything I stand for as a human being to get a free six pack of coke. Zero expired. Yes.

Speaker 4:          00:51:10       You can see people coming out apple juice with items left and right from the store. It's like when you're in class and new

Speaker 2:          00:51:17       kids are cheating on the exam. She's like the kid that's like, I see you guys. She's a nurse. She's a fucking snitch is what you mean? Yeah. I see. Nobody wanted, they like candles. There's a full shelf of like candles or like something on the,

Speaker 10:         00:51:36       we'll get this star. Yeah, that's like trash. He's so concerned.

Speaker 4:          00:51:44       I can go back around front guys. Right? I mean, there are no books. She's truly brave law enforcement onsite. Oh Shit. No law enforcement. Excuse me sir. Um, what are you going to be doing with that? A small can of tomato paste talking to me. All right, look across the street here. People are filling up what looks like laundry bags full of items. Wow. Running. It's a mass mixer here. And let's go back to the front crystal. Excuse me sir. What are you trash bags.

Speaker 2:          00:52:17       You are stealing a, what are those toy guns with like little car. Anyway,

Speaker 4:          00:52:22       this is a, this is what's the worst of the worst than these hurricanes folks. People

Speaker 2:          00:52:30       expensive. This is the worst of the worst at this is as bad as it gets. Huh? Thanks. Think I, they ain't losing your house. There's people that some for kids taking like a six pack of paper. They just on the ground. This is as bad as it gets walks. Meanwhile, people are fucking dead. Their houses floating down anyway, it's all funny. It's all funny. I'm not saying Ludy not defending allude in, uh, at the situations. Hilarious. They're alluding a dollar store. You got this reporter that thinks she's like on the ground in Vietnam or something. You know what I mean?

Speaker 4:          00:53:06       Did the worst and these hurricanes folks, uh, people getting desperate looking for items looks like they've just busted completely through the door here.

Speaker 2:          00:53:16       I would watch, I could watch, I swear to God can wash worship, I don't know, 30 minutes. I love that clip. Cool. Wonderful stuff. Really great stuff. Um, what else we got? Uh, manner of time. Oh yeah. So here's another bozo out and the storm from the hurricane. Now this guy,

Speaker 7:          00:53:39       yeah,

Speaker 2:          00:53:40       on the opposite end you've got do it pretending to be in danger and then you've got dude, cause you send these reporters out when sometimes it is actually dangerous and this is one of those times

Speaker 4:          00:53:50       what is like fill it back to you. 10 before we let you go. Some of these

Speaker 2:          00:53:55       tad, before we let you go, we want to make sure that you die

Speaker 4:          00:54:00       some of these different live shots. Okay. We've seen, we've seen people wandering around a little bit. Are those reporters outcome rate or or are you seeing residents in the area just kind of coming out and taking a look at things? This morning I, I've seen a couple reporters out driving around, but as we, as we turn around now, there aren't many that we can see. They're starting to be a couple of the people who have stuck around that gentlemen down there. And a yellow raincoat is a local land by huge, uh, sheet metal is a little shock. We're okay. That was just not cut a little spoon. You're going to be surprised and I think he's ready to get out of there. Yeah. Oh, it's good to go. I don't know about this. Go and I'm gonna let you guys go,

Speaker 2:          00:54:52       ted, before you go, uh, can you tell us how did that feel getting hit by a sheet metal? Do you see any other debris flying around? He pulled that on him a tad before you'd go. You're not getting paid extra hour regular. Right. I'm going to head out of here. I'm going to let you guys go a Ted before you go. Can you tell me? Do you see corpses around? Do you see any other flying debris? By the way? The one thing that's always common in these reporters out on the field, they're getting blown away and acting like the world's in chaos. The camera man is standing there holding the super heavy thing. He never fucking budges, you know that's true.

Speaker 7:          00:55:37       Okay.

Speaker 2:          00:55:38       Or you go, not all heroes wear report her outfits. Right. Well Sadiola I give that as a word at us were before you'd go ted, can you uh, go near any glass windows that are left it up? Bust out. All right, ted. Oh, looks like Ted got hit by a sheet metal before you go ted.

Speaker 7:          00:56:13       Anyway, good stuff. Huh?

Speaker 2:          00:56:16       Do we have quality content here or what? Um, and then of course you've got some classic ones that I wanted to share with you guys. You may have seen it, but these are my favorite ones as well. I mean, this guy got in trouble, but I feel like these guys kind of goofed up even worse because, well, I'll, I'll this, he's in a canoe. Okay. For Christ's sake. I love him. The guy next door just like, what the hell are we doing? Every time it rains hard and there's someone walking by ankle, ankle high, I really cut out quick, but the next one's as good as against here and let's pull this one out. Ready? They get a kind of new,

Speaker 4:          00:57:01       they brought it in. The northeast is more rain, continues to fall today and be c's, Michelle Kosinski and a coo. She's in a new way. New Jersey this morning. Michelle, good morning to you. She's got a paddle, she's paddling in her canoe is there, we're getting a nice break from the rain but not the flooding.

Speaker 2:          00:57:17       And somebody would literally walk two guys who are like fuck this lady walk right in front of her. And it's just at ankle depth. And what I love about the reporters is they call her out so great over in this neighborhood. Don't try to say, well she was standing on a shoe stands, grassy water. Would they uh, there was a deep point, deep point,

Speaker 4:          00:57:42       well canoe or boat when you're out in it as much deeper back here because this actually Michelle, I'll take it. Is there some kind of severe drop off there between the floor? Go back. This guy's a second shall walk in. Are these holy men walking on top of you guys when you have a ride like this, why would you want to walk? You run a short, you know, it's funny. All

Speaker 2:          00:58:06       the producers are probably in on it and they just tossed her ass bus hard. By the way, shout out to Matt Lauer who actually had a button and is this is Matt Lauer? Yeah, the button guy. He hit a button in his office. He got me to his stories. One of my favorites. He gave him, he me to it. He didn't get me to it. Right. That's the term he got me to code. He toured. He too. Yeah, he too. So He's, he's is one of my favorite c and this is crazy. He had a button installed under his dad. So when people are female interns or whatever came into his office, he had a button, he would push that lock the fucking door behind them. Oh, how do you even think about that? That's like Dr Evil Shit. A button that locks the door from the outside.

Speaker 2:          00:59:05       Anyway, good shout out to Matt Lauer. How did they even explain that when he was like ordering it? You know like what do you put on the work order? Just put it on that. What other men budget? They got all that. They'll get out of their special effects budget. Yeah, deep water because they weren't. All right, I'm going to need a button. Okay. Now what this button does is it locks the door from the outside so I can really focus and get some work done. Right now. Well now it's for me to be able to focus, but just hypothetically, if somebody wanted to get out, they have to push this button under my desk to get out. Now that's just to make sure that I can focus all the way that I need to. Five years dreams, piece of video there, Michelle, or hitting ground Michelle, of course. I wonder if he ever pushed the button on her. You know what I mean? Michelle? We stepped into my office.

Speaker 7:          01:00:10       Huh?

Speaker 2:          01:00:12       I'm writing about in there the button. What do you read your motto?

Speaker 7:          01:00:17       Yeah,

Speaker 2:          01:00:17       talk to me and it turns out he did not install it. It was a mechanism that was a standard feature in many of the older offices. That was like the whole story. You're debunking that. Yeah. Well what was the story? What did he get in trouble for them?

Speaker 7:          01:00:34       Okay,

Speaker 2:          01:00:34       well it's more about the, I think the actual personally yeah, he raped somebody. No, I don't know what he did, but sexual misconduct whenever there's allegations, but people were wondering about that if he installed it personally. Okay. So he did it. That's just standard issue for sit back in the fifties yeah, that was just standard. It make it better. Um, okay. Now moving on. Hmm. Shout out to Matt Lauer. Hope he's doing good. Wherever he is. Be Company at Ya BGP mean inception 90 day fiance. We all know and love this show very much. I'm a huge fan of this show, so it's on the sub reddit. There was a trailer for season six. I have to tell you, 90 day fiance is one of the most entertaining shows on television. It is so insane. It is. So I don't even know how it's illegal.

Speaker 7:          01:01:29       Yeah.

Speaker 2:          01:01:29       To openly say to the United States government, I am coming with the intention of emigrating. That is like exactly what they say do not do because it's illegal, but it somehow tlc has figured it out anyway. And the trailer, look what the fuck we found. I've lost all respect for myself. There's a flute Ba trooper here and season six trailer wearing fucking hd marriage. I can't wait to see this the season. Well, I've got the trailer and I watched it at all. Yeah. Here let's watch the trailer. And I kept reading. Do you want more information about them? Tell me about Matt Lauer. So the feature was a perk for top executives who wanted privacy. Oh, personal calls or security. But it's not clear how many people had it. And he was one

Speaker 4:          01:02:20       of very few, if not the only one that had worn whether weird story. It did use it according to the allegation that his, so he used it. It did use it. You had it and he used it.

Speaker 2:          01:02:38       Allie allegedly. That's crazy, man. Okay, let's watch. I loved that. I mean a fucking button that locks the door. Christ sweet. Uh, what do we got here? The trailer Tlc, lovedale everything tells, he makes this great. The learning channel guys. Cool.

Speaker 4:          01:03:06       In 90 days we're going to be husband and wife. You Rico, people say girl, maybe she couldn't be.

Speaker 2:          01:03:14       Maybe. Maybe. Have you watched to see maybe the previous season? I'm just a dysfunctional broke white guy with no prospects in life, but some beautiful girl from Brazil is in love with me. Maybe she's using me those five items. Seasons of, yeah, maybe she's using me. Maybe she just likes my personality. Yeah, right. The, the American guys are always like the most like weird socially awkward broke. No professional prospects. Basically the most and data like very undateable in my opinion, if I was gay versus what, Eh, well, you know, an eligible bachelor. No, but what is it? Is it was really American and then, yeah, it's always an American. I think it's always an American guy. Or is it? Oh No. Oh, there was one really big girl. Not, I mean, I'm not going to say that. Oh yeah, yeah, yeah. That's not, you know, some people aren't did that. Not me. No. It was a part of the story, but she's a huge girl and there was like a super fit guy from Columbia. Yeah. And he kept trying to get her to go to the gym so he was not into that. So she didn't want, yeah. Well yeah, it's great man. It's fucking amazing. This show is like trauma city, usaid. So good.

Speaker 4:          01:04:43       Hello on vacation. Lost my virginity. And how has baby wow, that's a lot. She's beautiful. She's sexy. But his 90 days to get to know my mother.

Speaker 2:          01:04:57       I live in the basement with my eight year old mom. She's beautiful. She's sex, she's a supermodel. Maybe she's using me. Maybe she just wants to come live with me and my mom in the basement I were. And also I work at a, I deliver pizzas. Not that they're, I'm not degrading pizza drivers. I'm just saying these guys have no prospects.

Speaker 4:          01:05:23       We get it. She's so eager to me in lab. She's let's red flags. If Jesus came down from heaven right now and said he cheated on me, I wouldn't do anything about it. Finally, there's also hope and romance as well. The music takes age and I'm going to be guiding in your bed day

Speaker 2:          01:05:48       romantic. He every day and oh my God,

Speaker 4:          01:05:53       but so excited to finally see osweiler. Oh whoa. This shit is so good. We're not going to tell me not to touch my side. I feel like a crazy. What are you talking about? What is this baby? I'm a cat.

Speaker 2:          01:06:18       She walks into this guys house which is full of garbage and flies and shit. Welcome to heaven baby. She might be using me ground,

Speaker 4:          01:06:28       so how concerned the life I have here isn't enough for her to clean up before it. We're not getting a man. He hasn't

Speaker 2:          01:06:36       and lady moved cross country internationally. Yup. You can't even clean up all the Coffee Cup. Nope. That's molding fee does not need as you have. Boy, I've lost. All right.

Speaker 4:          01:06:53       I love this. We've got a sleeper, so we've got asleep.

Speaker 2:          01:06:58       Oh yeah, we've got a double agent. The perpetrator. Ah, he's watching reach out. Yeah. Give us the email and dude,

Speaker 5:          01:07:06       God, I love it so much.

Speaker 4:          01:07:08       What's it's been hard and it was struggling. Are you doing this because you have this baby? He's why I love these words.

Speaker 2:          01:07:14       Sure. Like everyday apparently. What is he one of the subjects or does he like a brother? Sister? Yeah. That's daddy's getting. Got It. Got It. Got It. Yeah. That bitch is for his money period. Anyway. Oh my Jesus Christ. Look at this Guy Craig. I'm not saying that. I mean that guy is not a catch. I'm sorry. All right. Enough about this guy. He might be, he might be. He's going to give her the d all night long. The point is that

Speaker 2:          01:07:50       it's generally one person is way out of the other person's league. Yeah. And one person who is wade delusional and one person has the opportunity to give the other person where the League of Isa. Okay. You guys get the fucking idea. Um, oh yeah. Guys, if you have any questions or you want our opinion on something, you want to show us something. You want me to talk something, email us. I want to start answering emails every episode. So email us@podcastaththreehthreeproductions.com. What else we got? Um, yes, some thing I've got the fat shaming fashion revolve the drop. Yeah. There's a company called revolve, which is a fashion company that teamed up with Lena Dunham. Actually, I don't know what Lena Dunham and thought. So she comedian, I just hear a name all the time. Oh, she's a writer. Um, at any rate, she worked on a collaboration with this company and it's a female empowerment colab. So the idea behind it was that they wanted to make clothes that, you know, promoted body positivity. So with that in mind, let me show you what the final product was. Um,

Speaker 2:          01:09:21       so here you go. Oh, I can't, I can't expand it. That fun. Sometimes it does what? It does, it definitely his fault. Why is that? So just zooming on the page. Usually when you click it, it just pops out. That's, sorry, let me try refresh it. Well, any, oh man, that's kind of annoying. Dad Page can write. Try right clicking it and view image. I'm not doing that. So, um, here's a beautiful skinny model that says two bony to be bombed. So the idea was that they took quotes, hurtful quotes, and they used it as armor to be like, Hey, your words don't hurt me. So horrible result of modern feminism.

Speaker 5:          01:10:14       Okay.

Speaker 2:          01:10:14       Slut feminist nightmare to bind to be bond. If you translated a bomb onto her face, she'd have a better faith. And of course here again, being fat is not beautiful. It's an excuse. Imagine that one is the worst [inaudible] girl that imagine wearing that. So people look at this $170 being fat is not bad if fall, it's an excuse. Like Oh, fit. Yeah. Oh, so they missed the mark so much what happened here? Clearly I guess they meant the heavy, heavier size. Yeah. You know, it's still a weird shirt if I'm being honest. It is. But this combination or are small, right? You cannot tell that it's a quote. Yeah. But either way, the beautiful fit model was just a, so people got so upset and everyone wants the Xing, apologies and whatever, whatever. To me, this image really just is what I love so much. Being fat is not beautiful. It's an excuse I earned 70 bucks. So thank you to Lena Dunham and um, we've all revolve for this collaboration. How we manage. This is a really crazy on how we mendo

Speaker 2:          01:11:53       tell us Tyra Bank live on America's got talent that she has fake hair. Now I guess this is a somewhat common thing of, of females, I guess black females have a lot of them have fake hair weave. We watch a whole documentary the Chris rock made called like good hair or something. It was really interesting because I don't think he made it. Yeah, I think it was Chris Rock. Hmm. And I didn't actually know this was a thing, but a lot of black women have fake hair like from India. So their hair, they have like tiny little corn, corn rows and then they weave real hair of like straight or wavy hair and they have like really elaborate weaves. Apparently you're not supposed to touch a black woman's hair. Actually, even a lot of white women have extensions now. So extensions. Yeah. No, it's crazy. Like extensions, like I've seen it where you take the extensions out and it's just like three times as much volume. It's like, what the hell? I don't really personally care that much about the whole hair thing, but the hey, women want to feel beautiful. They want to do their thing and got in Boston anyway, how we apparently knows because they spend a lot of time backstage together. The tyra has fake hair and so that probably is what makes us even more embarrassing. So let us enjoy

Speaker 4:          01:13:23       the facial hair. How does it feel with all that fake hair on yourself? I don't have no idea what that feels like. I don't care. That wasn't a fake. That was his real hair. Oh, I see what you did. You see what she did? No, she has fake hair. It's a Joe Walsh.

Speaker 2:          01:13:42       It's so bad. Huh? He genuinely thinks that she's setting them up for like a, a gag. I don't know. It was he thinking and is just really trying to make a joke, but it was so bad. Well, she said, I have no idea what it feels like. That fake hair. Yeah. And so he was like making a joke, I think. No, but then I think he really was like, oh my God, what did I say here? I'm in here watching.

Speaker 4:          01:14:08       She thinks it's a joke. It's okay. Okay. I wasn't talking about her head. You were like, yeah, I do. I guess it's going. This is live TV. Okay, we're moving on. I know we have to move on. Isn't this discussing? Okay.

Speaker 2:          01:14:27       Ooh. Tyra is not happy. Yeah, I mean it's, I mean, Shit.

Speaker 4:          01:14:37       I gotta watch that again. Talking about her head. That was an awful site, by the way, has fake hair. It's a joke

Speaker 2:          01:14:46       that, that this was real when he's like, Whoa, Shit. Right. In real. What do you mean? Well, cause he was like, oh, I shouldn't have said that. Yeah. Of them.

Speaker 4:          01:14:56       No, it's okay.

Speaker 2:          01:14:58       I think he was trying to make a joke, but it was really the one wrong. So tyra has fake hair, to be honest. I wouldn't have guessed it because usually you can see it in the forehead. I don't know. That's a really good weaver. She's rich. She got that crazy fucking weeps. Yeah. You don't want it to be noticeable. Sure. But it's pretty, I mean, well, so what the hell does it look like when she takes her hair off? Oh, no, you don't know about it. I don't think you'd take it off. I don't warn you when you go through there Barbara, you keep it on all the time. Yeah. And they fix it up. You guys should watch this documentary. Good hair by Chris rock is really interesting. Um, Tara, how are we fascinating stuff guys. We've got great content here on the h street podcast and you don't ever want to miss a single episode because, uh, you just don't know what's coming next and that radio. Yup. We don't even know what's coming next. Nobody knows. Guys, have you seen this? Um, Joey Salads? This is kind of a, I don't know this, I don't know when it's from, but I love this. I am. I don't think I've watched it with you guys before, but vitaly sod, Joey Salads at a gym and like, uh, confronted him because Joe said that he wanted to fuck his mom or something and it's just, it's so priceless. I got to tell you it's not racing because vitale this days look like Dragon Ball Z. Does Eric there? Oh Man. Vitaly looks crazy. No, he says show afterwards. It looks like Bruno from Ali G. Well, anyway, here he is.

Speaker 11:         01:16:39       What up guys? So I just walked in the gym and it gives, what a fucking seat. I see Joey fucking the salads, the big

Speaker 2:          01:16:45       Gino. What the tally. Don't fucking, don't, don't put disrespect on Joey. Sal's name. All right, Joey Salads. He's a guy. You know what? And that's fine. You're fine. It's the front of the show. But uh, he's got a lot of dressing on that salad.

Speaker 11:         01:17:05       Me Disrespecting me, my mother saying he wants, my mother says he wants to fuck my mother talking all this smack, making videos online. I'll walk into the gym at me. You threw that up on the treadmill and now he's gone. I think he's in the locker room. Why are you sending me Google Vitaly? 2018 that's the first result. Well, I got to talk all this shit. What do you mean all the videos he made sure. Talking Shit about my mom. The one video I made a year ago. It's not a catchy boy band. Walcott. I'm in front of you right now. What you're going to do about it? You got to talk shit about me. That old. If he's got dongles. When I was waiting for this moment to happen, I'm not to lie now. I met you in person. You're going to talk shit about my mom.

Speaker 11:         01:17:56       Have ever spoken anything about about your mom? No, exactly. So why would you fuck you? Fuck you. You should be. No, it's not jokes. I'm here in front of you. What you're going to say about it? I got to say it's just stupid. Youtube stupid. Yeah, exactly. Because everybody who has something bad to say about you on the call. If I see him in person, of course I will. Of course I will because yeah, and your boys not going to help you. I'm serious, I'll beat your fucking ass with my right hand while I'm talking with my left. And it's not petty. You fucking disrespected my mother and you don't disrespect it. Well maybe in this country you can. Not In fucking Russia. Did I disrespect your mother? I didn't need it to heat disrespectful. You said you weren't.

Speaker 2:          01:18:34       And Joey does tend to think that whatever he does on youtube doesn't mean anything. Like a fake black lives matter. Trump car experiment. He's missing. I Dunno. Oh my God. Look at this picture of a tally. Let me pull this up. Villain Rocky or Dragon Ball Z. Seriously look like man. He looks like a suit. Like,

Speaker 5:          01:19:06       yeah,

Speaker 2:          01:19:07       Ivan Drago and that's the, that's the guy from rocky. I mean he looks like he's on his way to shoot a gay porn. And I mean, I don't mean to say like this is like,

Speaker 5:          01:19:15       yeah,

Speaker 2:          01:19:16       I mean he's got the bleached tips. It's got the pink top

Speaker 2:          01:19:22       there. You went to the muscles Ila. I actually am not at all. Thank God not to this level. I don't. What is the, what's the good amount of muscle for you? Well there's some in his new vlog where you were pointing out to me are today were his big driving his car and his dear friend is recording from the side and his arm. He's like taking up the whole screen. What is that? I just, I get the feeling like when dudes get this jacked, they do it for each other. I don't think that many women like that's why I like trying to say bar women with all the surgeries. I felt like it becomes like a competition between themselves and I don't even think of the guys even care. No, I think so. Like of course like a jack do with like a six pack is attractive and looks good and you like that. But like at what point like here at Dan just sent me this photo. Like when you get like Mister Universe jacked, I feel like that's just the dude. There's nothing wrong with him in the before picture.

Speaker 2:          01:20:29       Okay, that's great. You're not, you're an everyday man girl. Um, but at any rate, I just, I saw him, he's like working out with all of his dudes and they're all getting like jacked as fuck and they're all like checking each other out and they're all like, almost naked. I was like, this is gay. There's nothing wrong with that. But like this looks like, you know, God bless some, maybe you'll find out something new that is into something funny about that. Just a bunch of naked dudes lifting boy boyfriend joke had joe. You're right. He was like, you and your boyfriend here, Joey. Is that what he said? I think, hey joey, they might make a good couple. I think they can make some really good prank together. And you know, Joe, he's no stranger to two gay porn. He had a whole tumblr page for gay men.

Speaker 2:          01:21:21       I don't know if you guys know that. He had this whole thing where he's putting his dick in a hot dog bun and putting like mustard on it. And his roommate was recording it and they started putting it on tumbler and they had a whole huge following. Oh my God. It's news to me. Beautiful following of a gay men following him. Yeah. And I think at one point he just got, he was like, what am I doing? Any ratio is a real variety man. Yeah. And I'll tell you, and let me say something about Joey, when he was any here, I shook his hand. He has the softest fucking hand lotion. Like Bro, I touched his hand and I was like, what is your hands? So Sasha and himself before he can't go, I don't know. You know, you know, do your thing and nothing wrong with that.

Speaker 2:          01:22:16       I was gay. I would suck so much dick like you. Would you choose vitale or joey to would I fuck. Wow. That's a fun, that's a tough one. Well I know vitaly can't even get it up from the big bucks. That is Joe. He seems like he has a sweet thought. If I'm being honest, the tally seems totally unhinged and insane. Joey, he seems to have a sweet soul and you know those soft hands would, would be, would have me here in a split second. So you're more of a personality I think. Joey, I think I'll go with jelly all day. Joe, if you're listening, Jerry's going to cut part and upload it to his channel. H three wants to date. Joey. Stop. Yeah. I want to fuck Joe. I put your Dick in a hot dog bun and a damn split. The damn second guys, we have the best content here.

Speaker 2:          01:23:15       Do we not? What else? Goop. You guys heard about, oh, you know goop. We always make fun of goop when we do like quick reads cause they say it's an oprah is leads in goop and I was like, what the fuck is goop? Goop? Gwyneth Paltrow, the actress owns this magazine called Coop and actually we've spoke about in a magazine style. It's a multimillion company lost. First of all it's like what kind of name is goop? Apparently she has her initials, Gwyneth Paltrow, GP, and she's like, I wanted a name that meant everything and anything and nothing. I was like, goop is a pretty literal, that's just like a sound of like, yeah, it's like it's gross. It's like when you take a shit when shit comes out of your ass, goop like that. Sound effect. You keep playing. It's kind of pretty goopy type of a good.

Speaker 2:          01:24:09       So anyway, we spoke briefly about goop before because they got in trouble for selling stickers that were apparently and fused with NASA technology to increase your energy level. And that's the total scheme. What the fuck? But now they're back. They're being sued again because they have vaginal eggs. Uh, jade eggs that you insert in your vagina. Fantastic stuff. Let me pull up some pictures that are appropriate for everyone. You know, I was more fascinated by this, this egg. Um, I don't want you to see this photo because it's really graphic. Well, here, let me show you this. So it's like an egg that you shove up your badge and you keep it there like all day. It's crazy. What do you think about that? I mean, I don't have you here. I'll read it, I'll read it. I'll tell you all about it. That was very uncomfortable. Um, here I've got the whole, I got the low down here. So here there's a picture of, basically it's a drawing, but I don't want to show it. But you, you, you, you know what to do. You know what? You put it up there. I'm like a Tampon I guess, but except the giant stone.

Speaker 2:          01:25:28       Um, from Kegels to vaginal steaming. We're not shy here at goop. Apparently not. Apparently don't think much either. We don't think much here at goop. Why not? I love this. They call it a strictly guarded secret of Chinese royalty, queens and concubines. Use them to stay in shape for emperors. Jade eggs were said to harness the power of energy work and crystal healing. Shivah rose has been working with them for about seven years and raves about the results. Jade Aix power to cleanse and clear make them ideal for spiritual detox. Hmm. You still have any questions that does that explain everything I'm jade eggs can help cultivate sexual energy. Clear Ci, uh, yeah, cultivating, intensify it and femininity and invigorate our life force just to name a few. It's a holistic combination of things where one benefits builds to another. Jade also takes away negative energy. It's a very heavy material and incidentally it just shoves really easily run up to your fucking badge hole.

Speaker 2:          01:26:47       That's folder for them to write. Um, they did not. Anyway, this shit's hilarious. I'm bummed it was just, that all sounds great. You can try it, bro. I got anal egg still works and stomping is right. Um, how do we start and when you first get your egg, boil it right. It's a sacred space. They'll make sure plane for me it's about physical cleaner. You could put it under the light of a full moon, the clench or recharge it. Oh my God. What the fuck? Or You could burn sage. The egg does absorb energy. So I like how they go from NASA energy to Chinese, I dunno, uh, Chinese secrets. You know what goop is? It's the sound that at jade egg makes when a plops out of your vege. Uh, before I insert an egg, I'll do our ritual. I'll place it on a beautiful piece of fabric, light a candle, and then shove it up my fucking nasty snatch for my ritual.

Speaker 2:          01:27:49       I'll imagine pure light flowing from my nasty snatch and shove an egg in there who really expensive that's supposedly likes, I don't know anything it's due. There's somewhere in there. No, no, it's some, it's some lady, one of their editors I would assume always rapped the egg and sell, keep it clean and start on an altar on the why. It should take a sacred place in your life and alter does that, it's like a sacred podium and an egg gets stuck or lost? Good question. I don't a good question. This is the most common question we get and no, it cannot get lost. Depending on the size of your cabin or as cavernous giant vege it could get lost for a couple of weeks depending on, on uh, how fast your vagina is. No, they say no it cannot get lost. What about stock? But there are ones that have a toll drilled in them so that you can bungy in and splunk into her vagina and follow the lifeline to the egg.

