Speaker 1:          00:00:00       Five four, three, two.
Speaker 5:          00:43:47       My glasses have a tendency to fog up. I'm a hot and steamy guy by nature and sometimes it bothers me and I'll just go up here for a little while and let them cool off and then I'll bring them back. You did it kind of without your hands, which I thought was pretty cool. Yeah. Well I can bring him down without my hands. I can't get them back. Get them up there. That would be something that we then had really business, well, the reason we've been thinking about it is because I'm pregnant. Oh really? Yes. They got a little thing happening. Yeah, it's exciting. So we know. Do we have any idea what's, uh, what's coming up? We think we haven't said that yet, but I don't mind saying we will that the person who did the ultrasound, they go, if I had to guess do, they said, do you want my guests?

Speaker 5:          00:44:33       I was like, Oh yeah, it says I love that move and you do it so casually. There wasn't also, there is a button on it. Did you see that? So it was like boom, look at that. It's like I'm ready for business. Wow. I felt like they were default enough but I was wrong. I actually need like some sauce and a cloth because they're, they're being on. You need to defrost or like a little fan inside or something. I'm going to use the phone crazy. Someone rescue our little, our little troublemaker. Um, the ultrasound guys? Yes. The ultrasound take a guess. I'm not sure. But uh, it looks like a, it looks like a girl really. Well that is not what they said. Oh, they said they saw little tiny little baby penis and they thought it was a guy that's a tip off. But I don't know.

Speaker 5:          00:45:22       I, cause she's like, well technically the next ultrasound is when you find out, but if you want my opinion at one angle I saw a little penis, which was kind of at another angle. You saw your angle. I couldn't tell what I was looking now. I mean the ultra stays early. Ultrasounds are so crazy because there's like so much space and the babies just like floating around and she's doing this thing where she's putting on pushing on the stomach and the baby's like, like uh, an eight ball and an eight ball and has shaken the eight ball and it's like constant around. It's crazy. Yeah. So it's a little boy. We think Theodore Theodore already know you already met him. How do you know? I feel it. Yeah, I feel that I'm would call him theo. We were okay with it. Yeah. I like, yeah, I'm fine. I'm great with that. I like Sierra. There it is. So we've been wondering what we would do as far as Jewish, the whole Jewish thing, because we're not like religious, right? But it is a way of growing up during the holidays and also a barn. They speak Hebrew cause your family, but the extra, the extra schools is just so brutal. I didn't know it's extra because they don't teach, they don't teach Hebrew with public school. I tell you that.

Speaker 5:          00:46:50       No Sir. I felt like there was something to be gained also from the, the, the moral fabric that you get with, uh, with, uh, with Judaism. And just in general when you have that, uh, that cradle of, uh, it's a culture that's, that's an identity. And I very much identify, I think I come from the same. Yeah. I'm very much a cultural Jew, you know, it is. What, what, what is your, what's going on with you? What are you, are you well, I think my mom tried to cover all the bases. I think I was a, what do you call it when you're a Christian, you get baptized and she just sorta go Kevin to do that. He's been case fine circumcision in there. That's good. So she mutilated my genitals. Thanks mom. No. Um, yeah. And then at quickly, uh, and then nobody was interested in, in church or anything and it was just evolved into an atheist household evolved until eight.

Speaker 5:          00:47:52       Yeah. I love that. It's just, yeah, I gave up. Do you regret being circumcised? Because that is a debate that goes on today is that people are angry at their parents for circumstance. Yeah. Here's one right here. You, you wish that were made were made fine. All the parts are working fine. You don't do that whole like cleaning business. It's just such a pilot who it is it, but you don't know. You don't have 40 miss it. Yes. You don't remember having, I'm going to just take a chance on mutilate it sexually mutilating babies is not a good idea. It's going to call it a leap of faith there. I mean, let's, let's not do that at that one. How can do that anytime on my own when I make teen, oh, I don't want that for skin anymore. Let me remove that. I think it looks a little nicer.

Speaker 5:          00:48:36       Oh, merry go. Aesthetically I can, I think my opinion, I haven't noticed a drop off. I don't have anything to compare it to, but the quality of orgasms has been all good. All light baby. So wait a second, maybe there's something maybe there. Well, do you know what a lot of people get? So for scan is complicated business. I've heard a lot of people who end up having to get there for skin removed and their adult life. And that can be one of the most painful, awful like a circumcision apologists, frankly. Because yeah, the debate rages on because now we have to decide if we're gonna do it right. You really decisions.

Speaker 5:          00:49:18       Have you asked your parents what, what they think about it? Oh, I'm sure. That fucking thing. I know Jack do well. I don't know, but I just, I liked the exuberance. Yeah, you're a wild man. Um, I say cut it off, right? I say cut it off. But uh, I want to ask you guys about, first of all that hbo show, you guys did his beloved to me. Still one of my favorite shows ever. Thanks man. How do you, I mean you guys, I mean, it stands the test of time. It's hilarious. It was at the time. How do you, tell me about your guys' experience making that show. Think that we were ranked like 36 best hbo show by I think Hbo. Well it has 100% on rotten tomatoes to this day. Wow. That's crazy. Well, how could you not like, so it was like the Sopranos.

Speaker 5:          00:50:15       Yeah. Game of thrones checkout. You're, you're the only real question is where were we ranked in relation to flight of the conchords cause our whole blank gun is great. Somehow compete with the new generation of tenacious d, right. Ceiling Heights. Are you friends with those guys? You know those guys? Yeah. We are friends with them. Even though we do, I think there was a pretend rivalry. Yeah, that's what I try. I think I was trying to stoke those flames be the greatest thing. It's good for business. If you can get a rivalry garden, the more popular Burchard to fight off and then I think they took it, I think they might've taken it the wrong way. Yeah. So, well friendly beef turned to real beef. Well in their, uh, in their first show, they had a thing, a little sort of inside joke. We don't know that this was flight of the conchords that put this joke in to their episode. It could have been an art director. It's such a small thing. But Kyle, with his powerful lasers, scope eyes noticed that they had like a newspaper, right? Is there an advertisement in a newspaper that someone's reading in an episode? What does it say? It says tenacious done. D Oh, walkodile dial done before except tenacious d. And if you read into that, it's like tenacious is done.

Speaker 5:          00:51:45       And we've took that very personally and ever since then. And then we spent the next 10 years, I'm trying to get to do our festival, but we do, we do. We do love the conchords. Like they're uh, uh, a subtler cuter younger. He killed like, you guys are horrible by, can I say thank you? Sort of give a vibe like a, we're wizards. You've arrived. I'd love to see the earth searching. We're very furry. I love many furries. Furries. It seems to be sweeping the nation. Can you tell me army and here, let me, well this, this first is best presented with photos, but a furry think it's either go to flaming lips, concerts. Nope. Anybody. So this might weird you out because again, people are sensitive. So these are people that dress up as critters. It's a sexual thing though, isn't it? Isn't it part of it?

Speaker 5:          00:52:48       As far as I know, it is a sexual thing. So the aiding other furries, they dress up as critters and they just have orgies. Really. As far as I'm aware, that seems very, very me. Correct me if I'm wrong, I may be representing them. So Dan and Ian, please fact check me. But it does seem to have a sexual component. I don't know what's the origin, but the faces and I and I got a cute group there. You got to say that's, and I think that they creep me out. There is a sexual component from what I understand. I don't know about orgies happening, although, I mean we'll explain this Dan. Yeah, I need to know what you don't know. What is know why their, the bases have to be like Toronto. It doesn't seem like their faces are a little creepy. Yes, thank you.

Speaker 5:          00:53:31       You will. But if it's sexual, it's just a dry humping, right? No, they cut a hole. There's a hole like the Mormons, like it's more like, it's gotta be like a Velcro flap now that sex, but I guess, you know, I guess it's kind of Nice if you're attractive as a whole bunch of them there thing and you don't know who's black open and who's fights flaps closed and there's a photo you don't know. I guess if you're real ugly, like uh, you know myself and you've gone a Fox outfit and you showed deck and maybe you've got a good one and your face isn't that good, then all of sudden you're like king of the furries. It works to your advantage. Right? You think that's like 50% of the reason why people go for maybe what you're kind of hiding your identity. You can't really see everyone's kind of equal.

Speaker 5:          00:54:22       And just in Nicaragua it's kind of like eyes wide shut but ridiculous if you have to adopt a furry voice, you know like her pet boy. Oh good. They do that then do you guys know if they talk [inaudible] I mean I know that there is a role playing aspect so I imagine that that Dan is saying, yes, you're going to this length zoom. You would assume the voice as well. Right? Well I think we should go under cover. Well you paint your Dick reade like the red rocket. Not Often Jesus, you know, awesome. But they might just looked it up. I mean on their wikipedia about for these the sexual aspect, it's fairly far down in the article there. There's quite a bit to the sub culture other than the sexual aspect. Although I will note that the sexual aspect, that is the biggest part of the article.

Speaker 5:          00:55:18       So there you go. These guys fuck like crazy. I think it's more about the cuddling really. I mean I think that's what that's about. You want to get snugly? Yeah, I got to get hot. And I think all the first watching her and being like, thank you jack. Understand man. So ignorant. Don't understand. Yeah. Have to get their message out. So you guys created that show with, um, I didn't know this until recently. David Cross and Bob owed and Kurt, I mean, what an incredible lineup. How'd you guys get a, they should have, well, they took us under their wing. Wow. Our first ever show was a at a little club that no longer exists in downtown La in [inaudible] 94, somewhere around there we played a place called Al's bar and there was like 12 drunk hipsters in the audience and one of them was David Cross and he was like, you guys are Rad.

Speaker 5:          00:56:19       Com, uh, open for our thing. We do a thing called Mr Show live at clubs in, in, in La comedy clubs and stuff. And we're like, you know, Oh yeah, let's do it. That sounds good. We had never heard of them, but they, they had come out, they had just finished working with Ben Stiller on the Ben Stiller show and they were starting this new thing called Mr Show. And, uh, and then they had already made a deal with hbo to have their show, Mr Show on the air. And, and they finagled a way for us to be on Hbo too with short films that they helped us. Well, Curtis, we were going to be part of their show. Right. I remember. And it's like, wait a minute, these guys don't really fit into our show. They should do their own little after our show. Little specialty. But first they, I remember they took us to Aspen for the Hbo Comedy Festival and that was very exciting.

Speaker 5:          00:57:12       Yeah. Amazing. Owed. And Kirk is like, has a rep. I mean he also kind of gave Tim and Eric, they're big. Yeah. Well, which is just incredible. Yeah. That's a great, uh, mentor. Both of those guys are huge forces in comedy, but they're kind of like under the radar. Yeah. But a great like, well, that was great. Great advocates for people. I find that so awesome. Totally. It's great to see Bob just bust out in the, in the sole role. I now take over the famous for being on better call Saul, but he was before that, it was like, oh, bob. I mean, he's always doing so many great things, but yeah. How was that watching him have a breakout and like the breaking bad world? I mean, he's, and he's so good. Yeah. I think he's just a dramatic actor now really. I mean that he's just taken in onto that so amazingly and he's, he's getting other parts to left and right.

Speaker 5:          00:58:05       Well each rose, but for me it's, I always think if that is like a little side thing that he's done, I don't think of that as the main part of him. The main part of Bob Odenkirk is genius comedic. Mine came out of SNL. He was one of the riders staff on, on snl just as a rider. And uh, and uh, uh, yeah, everything that he touched seemed to turn to gold. He and, and uh, we were really lucky to cross paths with, with him and David Cross. They we in a way they, we owe them everything. They gave us our big break. They gave us the big break. So I recommend if you are trying to break into the industry or in the 90s and you're trying to break into, I'll just try to help me. How impressed Bob and David Jack as I understand it from a mutual friend of ours, you are also an advocate.

Speaker 5:          00:58:58       I have. So I have a surprise, somewhat of a surprise. I'm like, God is, am I going to be surprised by someone from a blast, from my past going to enter the room? I think so. No, I'm really excited. A friend of mine reached out because he heard you were going to be on the show and I don't know that you've seen this, he said, but I think that you will be, you'll be joined by it. Wow. You will be joined by, you will be joined by. It's like, it's never been like this is an issue. So hang on. Here we go. Tell me if you've ever met. Recognize this. Oh my God, it's Justin reuland. Yeah. Oh my God. So speaking of genius, so Justin Reuland, Jack Black helped Justin reuland pitch and sell his first show as eap. Wow. Jack helped Justin get his foot in the door. No. Well, and by the way, well Justin reached out and he's like, Jack is amazing. He helped me and he believed in me and I just want to say hi and thank you. Ah, and that he loves it. What a mench. Well, let me see because you did a little cameo in this. His, this is the first show he ever sold. Here's your little cameo, but she says the funniest part of the show.

Speaker 4:          01:00:09       It comes up after this.

Speaker 7:          01:00:12       This is unfair. This is juicy threat drag. Hey Mitchell has a zone and coming along over here. What the Hell's going on? I ride, I ride. Mitchell. This isn't the jingle. He winks time. It's a job. Now get back to weight plates that accent. God, I love eating maggots out of dead animals. I love it. I do it all the time. I'm proud of it too. I show it off. It makes me unique comp. Nobody seems to care that I do it at work. Either. You'd think they would consider when I work in a grocery store, but they don't let me do as I please listen to me. Go on. Tara and I are character. I should get my own spinoff show. I'd be huge. Everybody had loved me. Pull, pull, pull, pull, pull, pull, pull.

Speaker 5:          01:01:17       I forgot all about that.

Speaker 7:          01:01:20       Got, I think was from, I think

Speaker 5:          01:01:23       it was from the early two thousands am I right, but really he had shows coming out his ears. He was creating amazing content all over the place. I, I don't really think that was a stepping stone. It was the first show he ever sold thanks to you. You went around with him. He, he peed it. Oh we did. We did a little tenacious d thing with Justin when Ireland time fixers, but justin had tons of people that believed in him and we're looking for opportunities to work with him. By the way, another photo I want to show you, you're being modest, but he's, this is what he told me. Okay, look, I couldn't you leave. He sent me this photo last night, blow doors down while he's a saver saved stuff like that horse. But I can't believe how young this is, like history. I mean this was a beautiful, brought us together.

Speaker 5:          01:02:21       It was all about Dan Harmon and rob shrub. They do that. They did that thing. A Channel One o one which was a competitive short film, uh, Charlotte thing that they did once a month on the youtubes and a yeah, all kinds of creative types. Like Justin all came out of that. Yeah. But he told me this was at a, um, Mr show. He was just there in the audience at Mr Shell. Yeah. And this, he just got to meet you randomly as a fan. Yeah, no, those were the places to be. Back in 90 11, you wanted to be at the tapings of Mr Show. It felt like, uh, you know, they were the nirvana of the alts comedy scene thing. They, they, and at least to see it'd be seen. That's right. Well here you have it. I love this photo. This, I mean, this is amazing. Amazing. I got to frame this and put it on the wall. So, um, that was hard. I wanted to ask. We have questions from fans. Oh, nice. Yes. We have some questions from our fans. Noise, take them live. We do not take them live. You vet them. They were posted on our, on our subreddit, on a fan forum. So let me allow me to read some to you. This one comes from pj four, two, four, two. Uh, this one's for you, Jack. What was the Eric Andre interview like? Did, did you know what you're getting yourself into and were there any surprises?

Speaker 3:          01:03:48       Well, yeah, I knew what I was getting into in that I'm a huge fan of Eric Andre and I knew it was going to be some sick shit. And I was a little nervous about it because I was like, is he going to treat me bad? But he, he, uh, it was what you'd expect. It was about 112 degrees on the set by design to make me uncomfortable. I was sweating profusely. Uh, it smelled horrible. And then I found out why later they were boiling hot. Rodding a squid carcasses underneath the floor boards. Uh, and there was also some, uh, some surprises. Uh, here's a little bit of a electroshock therapy. Every time we did a lie detector tests, in a way it was torture, but it was also like a rite of passage. I felt like it was a late Bar Mitzvah for me if I could survive the Eric Andre experience.

Speaker 5:          01:04:45       And, uh, uh, uh, I loved it. It was so funny. It was really weird. Like the soda come in or the coffee coming out. That was pure surprise.

Speaker 3:          01:04:55       My plan was to try to just approach it like any other talk show. Like I'm going on Conan O'brien now and do like a funny little entrance like I, I usually do.

Speaker 5:          01:05:07       And then just descend into hell. Yeah. Oh Man. Yeah. It's great. I highly recommend it if you get a chance to, to embrace

Speaker 3:          01:05:18       the madness.

Speaker 5:          01:05:19       Yeah. That is eric on. I love it. And I was so happy to see you there. Uh, this one comes from incendiary war pig. Oh, uh, which tenacious d song do you guys most enjoy performing and how many cockup Cock pushups can you do today? Often asked. Oh, off to ask questions in there. The cockroach up. And the answer, the real answer is you only need to do one. That's right. Yeah. Can you still do one though? I'm afraid I, uh, I can't have, you cannot have more out there.

Speaker 3:          01:05:57       Uh, I can, I can do a partial, but it's like a granny pushup there has to be there. It has to be from the knees and I do all that little hub, but I can still get there. What song do you like to play the most? You know, it's always fun to, uh, to, uh, to play the crowd pleasers, but it's one of the deep cuts that I enjoy the most. I think it is a throw down. I know that in the funnel and it's got a, it's got some biblical references in there. We kind of go deep and it's about the, the dangers of, of blindly following a organized religions and about how it could, it could end up being the, the end of the world for all of us. The Battle of the three major, uh, you start with the Judaism. Moses came down from the hill and then you go to Jesus and then you go to the one that you can't say, did he say his name, his date in the song?

Speaker 3:          01:07:01       The three of them end up battling in the rain. The world is completely insane sounding. Alarm bombs. Crazy. Wait, fuck. I said what I wrote down was what was that song about originally? Remember we kind of tweaked a little bit. I remember, Oh yeah, no, we had the jam for, for, for months and we didn't know what the lyrics would be. And then we finally realized this. Champions. So have, it's important. It's an important jam is his needs toss to hit that we leave with the big guns we're going after. What was it about before that? One line is we're clowns, but we do like to get serious sometimes. And maybe that's that those are the most fun ones when we tackle real issues, you know?

Speaker 5:          01:07:47       Yeah. Well I that makes me think, cause I was watching post apocalypto sorry. Yeah, fair for me to ask any question was spreading that swollen too and yeah, I want that dog part of the flavor, but I don't think he's hypoallergenic. One of my book that's not first, that's like, Hey, fair. He gets hair. Oh my God. What a come home he has. He doesn't shed. He's a Yorkshire terrier. Hypo allergenic. Should we, should we get a Yorkshire Shampoo? Sammy, if you, if you trust my word at all. Are you allergic to the Dander? I'm not, but, but the non shedding is like beautiful because they're so clean. He literally shares a pillow with us at night and I have a good place I can recommend to, if you want to get a similar breed, I'll tell you off there. That'd be great. They're close by.

Speaker 5:          01:08:41       Yeah. Let's not say that on the air because then there'll be all save the puppies. Yeah. You don't pick up the litter. I'm swear. I need to get a rescue. Do you know how many dogs need homes? Oh, this guy needs a home. Well, I'm just saying, I'm just preparing you. Kyle's right, there will be some hate mail back. I talk about like, you know, not getting it because I've talked about it a lot in this because I listen, we're listening. I thank you now I'm now I feel stressed that everybody's listening. This dog needs a home. Yeah. What about the dogs that need homes? Need homes? All right. You can keep a thank you. Well, you know I love him. He's like my son and when people, you know, they're, they're all are people that are get a, I crawl into your heart. They didn't strange about but, and I do think adopting is wonderful, beautiful thing.

Speaker 5:          01:09:34       But I've got an ultimate hookup of pure bred, beautiful paper, paper papers. They got papers, real allergies. You, you gotta you gotta be careful. So, but uh, you were about to ask us. Yes, my dog, uh, interrupted. I was asking cause you were saying you like to get real about certain things and I was wondering, well while I was watching post apocalypto, do you guys think that we are on the verge of a apocalypse here? Is that some kind of reaction to something you're seeing in the world? One hopes not sure. Of course. We're one hopes. Yeah. Oops. Oh

Speaker 3:          01:10:11       yeah. I mean that, that was, uh, that was the impetus to do post apocalyptic. We felt like, Hey, this is, this is going south real fast. This, this guy who's our, uh, the leader of our country is, is the spew and a lot of hate. Weird. It's scary. And it feels like this is what happens right before some kind of a worldwide catastrophe. This is the kind of talk that you hear right before World War. And, uh, so we were like, we need to do post apocalypse

Speaker 5:          01:10:42       to, to save the world. That's what we were thinking as we see. We're still here. So you're welcome. You're welcome. Well, there was a scene where you guys cut off Donald Trump junior's penis. No, not true or no, you're right. It was a, you're right, you guys were very delicate about that actually got a tremendous Bj, he got it to reach a so good that it was removed from him or we're, no, no, the Bj, Bj is just like the best Bj of all time and we use that as a distraction so that we can

Speaker 3:          01:11:13       get the source of all of his power. The crystal of Gilgamesh, right. Uh, and then we are discovered and then he sends his attack dogs. He sends a Nazis KKK and a demon from hell, of course, known as the Gorgonzola. What's his name?

Speaker 5:          01:11:33       The goal God. And then a spoiler alert. I'm not going to tell you anymore, but what happens then? But there is no penis removal, but there is. Oh, right. His penis is intact. Yes. His penis and his penis is, is well featured in the episode. It does turn into a mushroom cloud. Spoiled. Oh, I do. I pause it as like Isla, we have to wash this again. There's one dissolve in this feature film that you guys need to watch. Is that when a tip of a penis dissolves into a mushroom cloud? Yes. Wow. You know, the Academy Awards and there are going to use that as part of the montage. Well, and of course just a reminder what, let me just borrow your magazine. Oh No. That tenacious D and post apocalypto is in consideration for best picture. It's just an honor to be nominated. It's an honor to be considered considered. Well, I mean that's all. I don't know who took that out of, but thank you. Whoever that was, uh, yeah. Honor to pay for your own, for your consideration. Yes. Well, I'm considering you guys you're considering, um,

Speaker 3:          01:12:46       but you know, we, we, uh, we drew that, uh, that sequence before we even knew that donald trump's penis was shaped like a mushroom. And that was in a way, it was like a no, sir. Domus moment.

Speaker 5:          01:13:00       Art Imitating life because it's not on senior. Oh, it's life and it's hitting all right. We didn't know he was imitating, I don't know. Oh yeah, yeah, yeah. But all the penises were very lovingly crafted in this series. Elon musk was Ilan glass. Danielle is

Speaker 3:          01:13:19       it? Yeah. Is featured in there. I don't know why we talk so much about Ilan Musk and that third episode, it's just a, well, of course he got highs. If you're talking about who's going to survive the lock lips, of course, the super wealthy and the super to Branson Genius engineers, we'll find a way to end up on the hill who would end up there. But, um, you know, a big part of it also when we're making it was that, uh, uh, we felt like we understood the psychosis that is donald trump's the, the, the, the phenomenon that is his astronomic rise to power because we have a little seed of his disease too. It's called, what is it called, Kyle. Oh, a grandiosity. Narcissism, narcissism, narcissistic, egotistical, uh, disorder.

Speaker 3:          01:14:14       Uh, because we, we, uh, have made our whole careers on this thing about saying we're the greatest band in the world. Uh, everything flows through us. We are the best band ever. And our, our biggest hit song was the first song we ever wrote, uh, the greatest song in the world tribute. And so when we see this guy coming out and he'll go, oh, good winning, I'm in the best of movement of we know that scam, that he's planned, that Shell, but he's not joking. That's the only difference. And, and then I, and then I started to think about other people in the industry who have made a huge career out of this. And you think of like Howard Stern, the king of all media and he's the best and he's kind of joking, but he's also kind of Nice, kind of got the narcissistic looking in the mirror all the time, talking about how great he is. And then you look around at other people. You need to see like Kanye West, he's the greatest and he's, you know, creating and you see different people in pop culture that I have this disease and are succeeding because the world that we live in now embraces it. And they love it. They love a narcissist. Hmm. Uh, and, uh, it seems like particular to these times right now we are vulnerable to Psychos who think they are the greatest thing.

Speaker 5:          01:15:28       People are so accepting of this grandiose that people are like love that larger than life figure. Is it all? Maybe it's always been like that. But you had said like today people are more accepting of it. I wonder why that is. What do you think kyle? Kyle knows all the answers to everything. It's true. I do. I just doing a nicorette piece of gum with this down over here. Don't pay on the camera.

Speaker 3:          01:15:54       He stole. I'm just trying to think of an answer we talks about as nicotine gum. I think that a celebrity is a,

Speaker 5:          01:16:01       I'm kind of the uh, the uh, the cachet of, of modern society. It seems like it's overly valued and I think, uh, I think Donald was spent 14 years being branded over and over again. Is this kind of a super smart business guy self made. And I think unfortunately that can really work. And just repetition. I mean there's certain just kind of dynamics at work that, that we know that if you just keep repeating something over and over again, the pinnacle can marketing. It is, I like the best marketing campaign ever.

Speaker 3:          01:16:41       So anyway, we thought it would be good to go. Flash forward to the whole world has been destroyed by this mega maniacal demon beast. And uh, we have to pick up the pieces because all of the great movies in, in our opinion are the post apocalyptic science fiction masterpieces, road warrior, uh, uh, terminator, [inaudible]

Speaker 5:          01:17:11       wizard of Oz. These are the movies I think we can all agree objective are the best movies ever made and they are warnings. They are like look out for the future. And we wanted it, we wanted to jump into that sphere because not, not only because we love those movies but also because it seemed like what the world needs now and only a narcissist could think that they could save the world. And that's where [inaudible] comes in. We are the antidote to the demon because we are the demon. Well I don't know where I'm talking about but it is court jesters. Sort of pointing up. Rice was very much like a road warrior, rock opera and it's on youtube. It's at tenacious d. Dot com. You should definitely go watch it because you do bait happen. So make sure to go link in the description by the way.

Speaker 5:          01:18:06       Oh, watch it. You can watch it in episodes. You could watch and movies and of course make sure to go, why don't everyone just go to tenacious d cause you can get tickets there. You can watch the shows. They're tenacious. d.com that I should throw in a caveat. Apparently it's NC 17, so, uh, well there's a couple of animated penis as a company. Come on. There was a lot of love bacon and I loved it. It was hilarious. Um, so guy, I think you got, I mean it was such a pleasure to be here with you guys. The pleasure was mine. I mean really, we're all such big fan. I just want to get it. Oh, he's doing something very sweet. C'Mon you guys. You're not in. We got it. Um, yeah, we're all, and I know you have a lot of lot because to grind.

Speaker 5:          01:18:55       Oh, I hear you. Thank you for having us come down to our pleasure when we play your town, please. All right, good. Yeah, I'd love to meet your son or if he wants any like merger. Okay. Is it okay for me to say lifetime backstage pass for the, oh my gosh, whoa. Lifetime. Oh my God. Are you kidding? And I just want to say if, if any fans out there want to see the greatest tenacious d show ever. Yeah. December 30th in Vegas. It was the one to see that's the one before admiration society. It's not just my son who loves your show. I have since become a huge fan. I appreciate the bravery of your honesty. I think you guys really go deep and I and I picked it. You keep up the good work as well. Thank you God. Thank you guys. God bless you.

Speaker 5:          01:19:49       God bless God bless them. Or as they say, the rot. I Sham Wally, go back where you go. Thank you so much for watching. Have a blessed weekend Friday. Hey, have an awesome time guys. We'll see you next. [inaudible] shout out to your parents also Shabbat you mom, I love you and thanks for the Bar Mitzvah. You guys are the best. We got a lot to talk about though. So he was on the next week. Who Do we have on next week? Uh, is it, uh, [inaudible] Jack and Eric. All Boys, the Jack and Eric next week. That's awesome. Can't wait. So we got it. We're all hooked up. We'll see you next week guys. Have a great weekend. That tough, Huh? Sorry.
