Speaker 1:          00:00:01       When it's like upside down.

Speaker 3:          01:14:53       Driving off. Can I not hear Ian? I want to hear him. Who Do you think is going to win this one? I think they gotta be, it's gotta be you. I feel like someone's in a drop 500 on you real quick at the last second while I'm already winning. I mean, Ian, come on. Did you drop money watching? She's going to drop 500 on me. Oh, that would be fucking amazing. And she would wait until the last second to that. She's kind of a dark horse that way. That would be something special. Dude, Justin's lucking out right now, man. Yeah, somebody I, you know. Well, we're going to keep on it. We're going to keep, donate some money for Justin. Well, let's see. I wonder, is that cheating? No, no. I mean we just invented the rules the second ago, so I'm going to say it's not cheating then here.

Speaker 3:          01:15:36       I'll put it thousand on. Just uh, well I don't want him to know though. Yeah. Yeah. Also we've got to do it quick while he's out of the room. I think I hear you just ran out to the bathroom. Can you put it Dan, can you put a thousand on Justin for us from you? Yeah, that's a great idea. We gave Dan our card, so I have, I have Thomas a on standby. Are you ready to do to for me to pipe them in? Um, yeah. Hold on one sec. Let's wait for Justin something back or maybe we'll do it real fast. I was saying we gave Dan our card so that he could bid for us. Donate for us while we're in here. So Dan is going to throw down on our behalf a thousand. Justin's gonna come back and be like 2000. Good luck.

Speaker 3:          01:16:16       Outbidding us. Um, so on hold, we're waiting for, Justin is the CEO of direct relief. Who's the beneficiary of our charity stream? Thomas Tighe. If I'm saying your last name wrong, that's because Mitchell betrayed me. You betrayed my trust. Um, so joey, tell me what's the weirdest thing you've jerked off to you? I don't even know. I don't jerk off to weird things. What's your category? What do you like? Just like, I like skinny bitches. Why do you say bitches? Well, when I'm watching porn, it's like you, you like the demeaning factor. Do like you say skinny bitches. So that implies somehow that you like the demeaning and I just, I mean, any grill does porn. It was like, I feel like he couldn't call them bitches, you know, like, hmm. I might say women, they're doing porn. Did Skinny, skinny chicks.

Speaker 3:          01:17:16       Do you not like sick leave Guinea? Just like Ben bitches. Petite. Petite, petite. That's the word. Yeah. That's interesting. You like the t? Where did you watch? I'm asking the questions here. What do you watch? You know, I don't, I don't watch weird stuff. I like, I like it. I like, you know, I like pretty girls. That sounds so good. It's so perverse. That sounds so scary. Monster. That sounded so weird. I said I just, you know, I like pretty girls. God. Your tone embarrassing. No, but seriously, let's not talk about what I like. I like Fart porn. Bart. Yeah, me too. Do you have a favorite a star? He's the CEO of direct relief and listening are probably, luckily he is. Is he like reevaluating his choice to be associate with like, you knew what he's getting himself to. Justin rolland pepper sprayed joey cells in the face last year. I can't say. You don't know what you're getting yourself into, Joe. Uh, Justin is pooping. You know, you know what I'd like to do? Do you want to talk more about your porn preferences, Joey? No, let's not do that.

Speaker 3:          01:18:26       Justin's walking back in right now and I have Thomas on Stan. We're up to $29,000 guys, keep it going for this. This, you're eating that mall. No, this is small but deadly. And Joey here is looking a little too frank. He's looking a little too jolly. He's look a little too happy. We got to get the milk flowing. But in the meantime I do is we have the CEO of direct relief on the line with us. Thomas Tighe go ahead and uh, please welcome to the show of Thomas Standby. I'm going to pipe them in in just a moment. Here we go. All right. Taking them live right now. Here we go. Hey Thomas. Hello. Welcome. Thanks for calling in.

Speaker 12:         01:19:13       Thank you so much. Pleasure to be here. Thanks for what you're doing.

Speaker 3:          01:19:16       Oh well let me ask you, how do you, how do we say your last name? Is it tighe. Okay, thank God. Because I was going to fire an intern if they, if I had a mispronounced, so, so thank you so much. Um, now since we got you here, maybe you can tell us a little bit about, you know, how the money we raise affects you guys and specifically how it goes to help the people who lost their homes and everything and the wildfires.

Speaker 12:         01:19:47       Well, first of all, I really can't thank you enough for what you're doing. It's um, you know, these things. He had a lot of attention at the time and then there's so much news coming at people, it's easy to forget. So I think what direct relief does every day is try to work to make sure that their health services available for people who need them and can afford them. And on an everyday basis we work with the local nonprofit community health centers, um, free and charitable clinics all around the United States. And you know, we're based in California. So that's where we started. So that's typically where we plug in and in Butte county. And um, just like last year in Sonoma, Napa when the fires hit, these places that serve people who are vulnerable, even on a good day is where we plug in. Cause there's such, so deeply rooted in the communities.

Speaker 12:         01:20:33       And unfortunately I think, um, what happened in paradise was just kind of unprecedented. I think it, again, it caught us by surprise here in this kind of new abnormal mistake and kind of the devastation that just, you know, cause a lot of deaths caused a lot of people to flee. So what we did is kind of what we do and checked in from a health perspective, what can we do immediately? And ended up just rushing on daily deliveries, things from kind of the masks for the smoke and the inhalers for people who were, you know, had breathing problems, the oxygen concentrators, um, that, that seniors often need, but particularly if they're evacuated and putting a shelter, um, and just basic drugs and things like that up up. All the evacuees ended up in these temporary shelters and they all got hit with the norovirus, which is kind of this horrible disease of like vomiting and diarrhea.

Speaker 12:         01:21:27       So it was just about as bad as you can imagine. But you know, the people who we were working with who were kind of staff from the hospital that was burnt out, they set up a clinic in the East Avenue Church up in Chico and were just so on it, you know, just really, you know, just working 24 hours a day with nothing. So that was kind of where we started. And since then we've been continuing to work with the kind of the local public health officials who were kind of overwhelmed and even the firefighters and um, kind of the first response teams that, you know, they, so many people got deployed from around the state and we've worked with them a lot and saw last year, even here in Santa Barbara where we were burned out and then had a debris flow, you know, after five minutes of rain the hill came down.

Speaker 12:         01:22:11       Um, sometimes they need help for specialized gear or just terrain vehicles. They can go out and do the, unfortunately in paradise, it's the remain recovery and kind of identifying that. So we're working with all of them. And um, you know, we get money like what you're raising for a particular place. It's for that place. It's not for director leaf. It's, you know, we look at ourselves as trustees and make sure that the people know that it's there. The money's going. If they want us to buy something for him, if money is needed, we'll transfer the funds and we've already started committing funds to some of the local groups that are just doing such good work, nothing. And um, and we're in a position where we can cover all the expenses related to that out of, you know, our normal organizational expenses. So anyway, really appreciate it. Particularly now after it's kind of out of the headlines what you and your team are doing, um, for a whole different audience and the type who probably think about direct relief, her stuff like this all the time. It really means a lot, you know, can't thank you enough.

Speaker 6:          01:23:14       Thank you. I mean, it sounds like you guys are doing amazing. Yeah. And port and work so grateful that this exists. That we could set this up. Can I ask a question? I just wanted to, I just wanted to know, um, you know, there's been a, we were talking about how you guys have this like amazing rating, like you're number one in terms of its transparency and I just was curious like what goes into that kind of, what, what's, what's the reason for rating like that? Cause you guys are so trusted.

Speaker 12:         01:23:46       Yeah. It, a lot of it's just, you know, what you'd expect. I mean, how much money did you spend on fundraising to get the money that you received? And that's a big point of contention. People don't, generous, big surprise. They don't like sending a dollar in and having half of it's sent back on the mail that they're going to throw away. So we've never done that. I mean I think our model has been, you know, we work out of a warehouse and um, kind of functionally what we do is, you know, it's a distribution center so we can, uh, we have to have specialized licensing for the medications that we hold, but it's all provided free of charge. We encourage companies to, you know, make their products available at no charge, we will handle them as well. And with all the same accreditation that any pharmacy or chain drugstore would use.

Speaker 12:         01:24:29       We're, we have the same accreditation that, to handle these things. But that's kind of the dilemma we're in as a society, right? Cause if you have money, you're very well served and people target you, they know a lot about you, they know your preferences. And if you're not a consumer, you're kind of off the grid. So I think what we're trying to do in general, it's just bring that level of kind of efficiency in delivery of services to people. Not because there's any, we do it for free. So there's no profit incentive. But we know that it can be done well with these tools that exist technologically and that, so they can, that's everyday trying to bring, um, kind of the resources that exist and efficient way to the people who need them and can't afford them for health services. You know? And, um, it's pretty basic and, but we have big gaps.

Speaker 12:         01:25:15       Even like California, the richest state in the richest country in the history of the world. And yet, you know, we have kind of a big problems that are chronic, um, up and down the state. And so I think what we can do as a private group is we're not political, we're not religious, but just deal with the people that we know are deeply committed in their own communities and try to say, look, how can we help? Let's see if we can put together a structure that's going to serve you well and get your patients stuff that we know they can't afford. Cause it's expensive, whether it's insulin or an inhaler, things that if you don't have, you will get sick, stay sicker, skits, stay sicker longer and often die sooner then just because of your financial status. And I don't think anyone wants that, but, um, you know, I think we just are so committed to really help these, you see these people up in beauty.

Speaker 12:         01:26:07       Like they were reluctant and we said, look, we've received money. This is for you. We want to spend to give you $50,000. Cause I personally was up there, I delivered the insulin when they needed it. I drove up there and um, and I wanted to see them and let them know. It's like, look, there's a lot of people pulling for you and this is what we can do. But you know, we said, look, how are you paying for this? You guys are working for free. And they said, oh, but you know, we're okay. That seems like too much money, you know, $50,000 to, you know, take care of a, basically a standup hospital and clinic for hundreds of people who had no other options. So, I mean, they were really reluctant to take it. And we said, look, it's for you. We have to give it to you were a trustee. But that reluctance of, um, kind of acceptance because you know, the concern that there may be someone else who needs it more was, you know, quite touching and inspiring and sad and a lot of ways too. So anyway, it's, it's a privilege for us to do it and to have people like you and your audiences and I'll, you know, amazingly talented people on the creative side. Um, it means a lot to pull together and help folks like that. And so anyway, sorry, that was a long answer.

Speaker 12:         01:27:23       I appreciate it though

Speaker 2:          01:27:26       here that the idea that the money is going to is actually going to be legitimately on the front lines and helping a bunch of people. Like, I dunno when I'm donating to something like this, I'm like, ah, what's going on? We're all very cynical and skeptical in this world that actually get you on the phone and hear it. They can hear your music is very powerful and we thank you for what you do and we thank you so much for calling in and uh, we wish you guys all the best and I'm just thanks for being the best, the best of us.

Speaker 12:         01:27:58       Well, thank you. I really, I got to tell you, and I'm talking to you, right? Tony, Tony or communication guy. He kept running in here first is laughing and then increasingly nervous giving me little notes about like I wrote down, I have the following written down, which is weird for me. Fart bombs, question, market commission, raking over the coals and then some other things. I can't, can't recall the nature of my job but I thought I'm freaking out. I just thought these guys, I mean we know you guys, you've done some stuff for us in the past and uh, so I'm so thankful and whatever it is you're talking about, he also said there were, we were looking hot pepper, so please health related organization please don't get hurt.

Speaker 2:          01:28:40       Well one of us gets hurt for the safety of thousands. It's a, it's the least we could do as you're out there doing the actual hard work and I don't know if you have the stream open right now, but this, uh, this young man in the Santa suit here is about too, is very close to our next goal of eating this raw habanero pepper. So we're to need his, your blessings

Speaker 3:          01:29:02       and your, your best wishes for him. Is that Joey, because I was watching earlier yesterday getting nervous, but you always, sally, please be careful. Don't take a triple dare you know, but thank you for all you've got to stop out there, Joey. Yes. Well you, you've got to hedge your bets there, Thomas, because if you will, if you wish him to much care you've got, we're going to raise less money for you guys. Okay, joey, go for it. Within the bounds of sanity. Tone it down, Thomas. Right. Thank you so much for calling in. We appreciate so much what you do and happy, happy holidays. Happy holidays and way to go. I can't, can't thank you enough. Thank congratulations on all your individual successes. It's really cool. Thank you caroline. Thank you. God bless. All right, thanks guys. Take care. Bye Bye. I didn't have, I didn't have the heart to ask him the stupid questions. He's waiting to see that guy. He's like so sincere about what you mean. You had silly question. Ah, I was going to, what are we doing? A baby wipes. Oh Jeez. [inaudible]

Speaker 3:          01:30:15       is way too, I don't know your rights be the right call every day. Trying to like, I wasn't people like save people's lives and we're just like, you made the right call. I didn't know that was the question. Nothing. Yeah, exactly. So tell me, Thomas and I drove up there myself and was passing out insulin. So do you use baby weight? Yeah, I saved myself there. I was watching Justin draw this thing, trying to try and have a conversation and just drawing the most obscene thing. Help me. What is this three loving? It's false. Three characters that are, that are like, you know, they're just having a moment together. Yes, I want that. How much is I want that. I don't know what we're going to put it up like I my mom, cause I donated it though. Okay, well if your mom, I don't know how many of these are going to get shaped. No, no, no. That's mine. I want that. Okay, I'm going to donate for it. You want it. You want to do that now? You want to, you want to wait till they're all just buy raffle. Oh yeah. Well let's, I'm going to, I'm going to bid on that. I am and fuck you guys. I don't think we've been on what, okay guys, we have wait, hold on. There's only hold on. Oh my God. Ian Still almost won. So Justin, you're at 1059.

Speaker 13:         01:31:27       Ooh,

Speaker 3:          01:31:31       wait, hold on. Hold on. Hold on. There's only 1000 here. Dan. Not adding up. I see you at 1059. Yeah. Uh, Alex, did you uh, wait, are you guys, are you guys going in there and playing games here? Cause that's not, I wouldn't, I wouldn't do that. You donated a Dan on our behalf. How do you, I want to be able to say I haven't, I done

Speaker 8:          01:32:00       well, it's done. It's done. Okay. We have until five o'clock. 10 we have 10 minutes for somebody to pass Justin to get someone else to look. That guy's number. Okay, that closes in 10 minutes. Somehow we're going to be the only ones that fucking actually looks these because, and Mike, dumb ass. 1000 donations. Still the top one. Come on you guys. And then by the way, excuse me, it said definitely not Ethan Klein was the top. Oh wait for real. Oh, not you can client. Is that us? Because the last one was a thousand. That was us. Maybe. Okay, so there you have it. Nice job then. Now guys, listen, it's going to be us that are going to end up looking this pepper because we are only $33,000 guys. Now that journal alone is worth a hundred thousand. Do I need to go over the side? These rick and morty?

Speaker 8:          01:33:06       Issue Number One. Okay. Um, sign by the creators. Did you guys talk about the, the um, primitive, a skateboard decks, the rick and morty perimeter ripped, so I don't know where they were. I don't know where they are, but they're basically, it's, no, not that. Not that, that's, that's a, that's a crew gift. Hang on, I have wrap gift to have the list. Let me pull it up and it should be, it should be up there. But yeah, like over more prizes cause y'all need to open up your wallet. What's the, um, also I just dropped in to more a group of messages for uh, for you ethan. Okay, great. I've got another subscribed to Pewdie Pie and read and read colorless comic.com. And these guys, these cutie pie guys are opening their wallets. God bless them. Got Big hearts a grudge for whatever to beef is happening right now.

Speaker 8:          01:33:56       I can't keep track judged. And you want me to show the skateboard decks? How do you tweet? Like I, it's been sideways even know how to, I'm not even fucking kidding. Where's the fucking button? Bottom. Oh, I see. Okay. Pickle Rick, the most famous episode, one of the most famous episodes. Here's the red it didn't that win the Emmy pickled. Yeah. Yeah, that's, that's an actual record draft. So there could be like should auction off your emmy man. It could be writing in there, there might be notes in there. I just grabbed it. I was like, I was like, cause we keep everything. So like that's a drafted, someone had it at the record. There were multiple records. So I don't know. What do you think there's any differences in this draft between the this, and that's the other thing is these scripts are going to be different than the episodes that air, cause they're in production.

Speaker 8:          01:34:43       So there's going to be dialogue in here that no one's ever seen before. Different jokes that you tried it. I've never been out there. It probably the biggest, like there's another one, uh, the, the um, uh, wasteland episode. What, what's it called? I Dunno. But like there's another script that's like going to be significantly different than what era then one went through a lot of changes in production. Pretty sure. Yeah. So these are original scripts did a bit on some of these. I'm curious about what's in there. That alone is like kind of amazing. I never get to see that. Go over to the prizes. Don't do it for the chair. He'd do it to win this incredible shit. Where's that skateboard deck? So I want to show that because you're very passionate about those. On these, on here, Dan, the skateboard decks, I don't see them on this list. The uh, the crew gift, skateboard decks are on there. That's not what you're talking about. Sure. Justin. Oh, the new ones that he brought. Just a primitive. So there's a, there's a set of four. Are they on the new, the new rick and morty? It's like the second. Yes, yes. Oh, that is it. Yeah, that is it. So anyway,

Speaker 4:          01:35:42       the second, it's the second, um, in, in, in the primitive a skateboard company decks the, so it's like that's the full set of the second series. The first series are all sold out there. Awesome decks. They're like really, really just beautiful looking in person. And then this also comes with four tee shirts. They're all rick and Morty, primitive collaborations and then three pairs of socks. But really the decks or what? That's like the prime, that's like the full set and that's like the prime, uh, that's, that's the real, a real dude by the way thing. Get these, these can all be signed that like, like for like we can definitely like I'm happy to sign them all. Um, they're not currently signed. They're stolen their original shrink wrap but whatever, whatever, you know the winter wants.

Speaker 8:          01:36:30       I'm sure they'd want it so we should, I think I have a feeling we should sell these instead of raffle. I know we have the way to go, I promise. Yeah, absolutely. I think someone's more likely to just buy it for a thousand outright. No, no, no. Let let Robbie been donating for it. No, I mean the one that is, okay, let's, let's, let's, let's entertain the people right I to draw and draw one. Here we go. We got one. I know Paul's fans out there and work. You can use it to motivate your employees. You can scare your friends and family. When this putting this up somewhere somehow. Oh we got it. We got new one from all we gotta do is just is just take, take these out and it throw them in a frame teddy fresh and then give you a hug by Isla client.

Speaker 8:          01:37:12       It puck as charity stream fire relief campaign 2018 yo, there's art up right effing original shit right now. The current poll score is 1000 Justin, you are bricked, buddy weight and Ian to enter and coming in a cool second at 500 come on, let's, let's get in the intern boost. Boost it up. Come on guys, let me do this and you can donate to Ian, the intern if you don't want to look that pepper. How do I donate to the actual tilt by the tilt tilt tilt. If I were to buy.com/at a street, actually productive. Wait, I'm doing it right now. Let's see. Let's click on the green donate button and we're going to raffle for these two. Go

Speaker 7:          01:37:56       to Poland, Holland on and off with it. Well, you guys think raffles better, so let's Raffia. Yeah. Raffles. The way to go. Let me show him off raffle is the way to, cause you know Alex Hirsch raffle or Uncle Stan. Oh, I keep forgetting. I've got a thing there. Also, we're framing it right. These will be framed. Oh, and just done by Joey Salads. Right. Are you donating your ges? I will. I will choose. Well, okay, hold on. Let me see. I think shreddies from ready for another walk for a little guy. Original Isla Klein, Teddy fresh, sending a hug. This is cute, adorable and credible. Original art. Incredible up for donations. How many people are watching by the way? That's good. We should have lit myself on fire for this one.

Speaker 7:          01:38:49       Oh we have more. We have more writing. You guys. Dan, why don't, why don't, why don't you guys just come in because it's too complicated since someone into right and we don't have to think about it cause we will, I want to entertain, I've got a lot of shit. Haven't gotten to go to the bathroom. We'll wait here. I got a question for Justin because I was thinking about this the other day cause I went into one of those like, stores that like sell like a bunch of like random shit from TV. Like when you guys make rick and Morty, do you think about merchandise when you're making it or is it just something that happens? Um, I think, I mean I have a very sort of toyetic approach. I hate to use that word because it's so lame. You are toys and you love your love toys.

Speaker 7:          01:39:33       I have a very full of toys. Your offices full of toys. I over did that. But whatever. Um, yeah I have like a, I have a, I have a toyetic approach to design. So like I, I grew up loving toys. Yeah, I'm obsessed. I've been obsessed with toys. He has a lot of like merchant, it's what it was like for, for example, like season one, we didn't know that that was going to be the case. You know, like no idea but still hoped best. Like best case dream is to have is to have a single Rick Dahl is, yeah, but, but, but, but I guess it's sort of like by default my design sense is like designing things to feel like they, like they would make cool toy, you know, like every character has that feeling, you know, like that's, that's the holy grail is if you can design characters that would make cool action, figure it out.

Speaker 7:          01:40:17       Then now I'm on the same principles that make a good cartoon design. Make a good toy. Like something that's simple, that's bold there reads from a mile away that clear in silhouette entertaining, interesting contrasting shape demand. If you're making a fucking cartoon, it's probably also going to be something that's like really catchy as a toy. Yeah, yeah, absolutely. Yeah. For character design for sure. Um, yeah. All those rules apply for good toy design. So yeah, it's interesting. It's, but I don't think it's been outright, I mean they're there, believe me, there's times where I'm thinking about like, Oh man, like, like, you know, certain things like rick's gone or like, I like the portal gun was definitely not a thing. We were thinking about a toy for when we made that. You probably, that made it a little bit like fancier. It's, yeah, totally aliens of them. You'd like make it a little bit. That was definitely one that was not even considered. But um, but yeah, but, but a lot, but there's, there's been certain characters, I'm trying to think of like a specific thing I think that I think is gone maybe or just a choice to like use a certain gun a bunch of times or like go back. Like we have so many guns design and it's like, Oh lets some of the cock sucker put $1,000 on me.

Speaker 7:          01:41:30       It wasn't me, wasn't me saying I'm just trying to make this a little interesting man. Spiring to uh, two out to vote you off the island double agent man. My God, Alex is sitting pretty at 30 hour. Alex Alex is good. I'm happy with this guy. Joe. You can put down a thousand on Alex. I'm kidding you two D monetize it. So when, when do we get to the next uh, Joey pepper? Like that's what I want to know are we are getting a what do I got to click here? What do I got to click here? If you got a bunch of lame I was watching, they ain't donating. Thank you. Flash, your lemos prove him wrong. Red Pepper, 35,000 over a dollar a viewer. And that's incredible. I really think that, uh, we got, uh, um, so go ahead and get, we got to shout out to find people who have, there's other, there's other prize things that we haven't really talked about. Yes, but we have Zach sees Zach subtype Cutie Pie. Ashley Marie, Google. Oh God. So Ashley Marie wants a ghoul vibrations. Did nine 11 written on Joey. Okay. We'd eat the whole pepper. What does that, uh, so yeah, I wasn't sure. D dbss or dbs student, uh, donated $500, uh, for, or I'm sorry, $100 to joey saying eat the whole pepper. I don't know if he wants that written or if he was just trying to get you to eat the whole prepper.

Speaker 7:          01:43:02       We're at 37,000 guys, keep it coming. And then a ricotta, this comic that was anonymous, but thank you to whoever you are. Someone's he on me. Joey, you just go ahead and we'll continue with the show as you. Um, right on me. No, I've got some great things for us to watch. If you guys would like, I'd like to get your takes on some things we real quick. Can we, there's a couple of other really, I mean, I don't know how easy is it for the people that are going to the site to peruse and just find this out for themselves. But like there's hell let's talk to up there. But like anyone here hasn't checked out. Surprises should know that you need to check that out. There's two massive Cryptozoic game prize packs. All that stuff will be signed or all the rick and morty stuff will be signed by me here. Let me show it. Which one? Um, it's the CRYPTOZOIC Games prize packs, like these big ass. Um, there's also, there's also, uh,

Speaker 8:          01:43:52       uh, rick and morty trading cards. Two of them. One of them's a sketch card by me, which is, those are going to be really, I don't think there's, I think there's, I don't know how many there are, but there's not a lot I like, literally there's not a lot of them. And then there's also an autograph card, which also not a lot, um, mixed into the decks or into the packs. You know the, the blind, it's like trading cards, you know what I mean? Oh Hey little guy. Um, so uh, that's, that's also up there. What else? What other cool shit is up there? I guess that's probably about it. There's so many rewards including for all the guys who just want to get something bad ass. This Christmas ps four pro and xbox x switch bundles all up there. Yes. Justin did you brick cause you had pet?

Speaker 8:          01:44:38       Oh is that what that should be? Part of the thing that's by itself that is going to, that's not rare. It's not, well I mean maybe justin either. Justin is trying to play it up now, but I was like why? Why are we putting a rick she pet bites. Well that's why I know, I was like can we bundle this stuff too? Like no, no. Cause you could take all the, all the donations for the ric Chia pet and pull it in to what the bundle that then the one guy's like, I just want the ric cheap. They still limited. How long would the other, I have a Rick Chia pet. I don't know. By Justin reuland. Oh, I don't know. Zero I guess. Yeah, let's hope there's also uh, uh, the squanch games or trover saves the universe pack. Is that up there? Oh, it's five.

Speaker 8:          01:45:23       The, the bidding is over. Yes. Did you want to continue? So let's going up there. No, we'll wait until it gets goes up. So the pole that our first poll has completed and then Ethan somehow thanks to Alex, I'm sure a double agent anonymous donation a moment ago. Can you put it up? Yeah, let's see. The final tally. That wasn't me. I, you say a moment ago, you're talking about when Alex was on his phone, right? Weird coincidence was on my phone, but I was not doing that. I promise I was too. Right. Alex, you wise guy. So, but there you go. We just raised three. Like what? I mean that's like 2000 right there.

Speaker 8:          01:46:07       Almost three almost. Great. Well, it looks like you got to look that pepper. So we are at, okay, well let's, let's create the next bowl. You crying over licking it? Giovan munched a tasty little Jalapeno. All right. Yeah, I got ready to eat anything reading this. I'm going to end up with more spice in my mouth. Then you are, oh, James Wean Hoff gave us 1,100 wait, we're not missing any big donations. Are We? You guys able to, okay, thank you. Oh, this is like real time donations coming in. Yeah. Oh that's, that's really cool. Again, you guys don't have to donate separate raffles. If you

Speaker 7:          01:46:49       donate $1 separately, it doesn't increase your chance of winning anything. Oh yeah. You could donate, like you're saying, like if you did, if you did a dollar 20 different times on one thing, same as 20 pinging around like do a dollar and this one I'm going to, that's why I was saying bundle some of the ship. There was a lot of confusion about the, yeah, I don't know how. I don't know. Really. I wonder if you're still trying to change the rule. What if we could raise the mammo because all these $1 guys are killing it. Okay, that's fine. No, no, no. That's their, their odds are less, but like they're still able to participate. All right. Thank you for all your work the h three team has done in this livestream and podcast. Happy. See Isla Ethan putting out great content on the h three sheet page. That's the luck with your baby, Papa. Bless. Thank you Wayne. Why in, Huh?

Speaker 5:          01:47:35       Well that ain't, did he, um, was that a poll donation or was that just a random thing then I'll go check. I'm not sure what that was. All right. Well regardless, I have to, it's the liquor pepper now. So we've got the Carolina reaper. No, I'm going to choose one. Oh my God. It says Carolina reaper. What are you doing? Okay, so all right. Yeah, it does. You're right. Oh my God. Do you want it right now? Threader yeah. Do we have gloves? Yeah, let's turn up that pepper music. Yeah. Turn the pepper music. Jumanji Hanson that have shredder. Like Lick my hand. Oh yeah. Be Real good. It's a good point. You're going to want it. You're gonna want to wear gloves while you, uh, guys, let's think of a new poll before I do this so we can get things moving so we can raise some cheddar cheese. Is there anything I can donate? Let's see. Let's see. Let's see guys, we're at 37,000. Wait to the next goal.

Speaker 7:          01:48:30       Oh, come on. Come on for crazy. Why don't we do a thing where, well nevermind, actually, were you about to suggest something that would require you to look something? No, no, no. I was, I was going to say what would it be possible to rather than a pole. I was thinking like maybe the next person who donates x amount, like decides what you draw or something like that. You know what I mean? Like sure, sure. Yeah. You're way better at like, like Improv draw. Like, I just do. I like drag weird stuff that I, if we were trying to think of something that was valuable that people would want to donate for it probably be probably be a message from our old buddy Rick Sanchez. Right. Seems like that seems that seems like that around and give it a smell. You're touching it. Oh Dude, I already touched with my finger. It's super

Speaker 5:          01:49:12       dry. So Sma, everyone's pass that around and give it to pass it around.

Speaker 7:          01:49:16       Mallet

Speaker 14:         01:49:21       smell.

Speaker 7:          01:49:24       Okay, well I did this art. It's either, is this skin spicy though? This is either going up for auction or, or Ethan's swiping it. All right, well I'll tell you what do you call those Bros? Cause let me tell you what I'm gonna do with this because I don't know, like I don't know how many more I'll, I'll do more, but like,

Speaker 5:          01:49:41       let me tell you what's going on with this either. I'm getting this for $1,000. If somebody, doesn't this be a straight purchase?

Speaker 7:          01:49:48       No, no, no. Everything should be, it's mine. Like me money or less money. Everybody still be raffled is all the original art up right now on the donation. Thousand Bucks, man, right now when you're holding isn't up yet. But look at this. This is freaking incredible, dude. And I will eat it. Let's not go overboard. All right. Do you want, do you want it though? I do want because your mom already donated. He's not going to appreciate this. Well I'll drop whatever she wants. Whatever you want. Okay. Yeah, I'll draw something cool. I don't, I think she just wants like a little, well let's show rick and morty. Let's put that up. You know what? We have that chat, that chat stream. Wait, listen, if you donate a dollar, can you put a comment next to it? Yeah. That's how we can get a chat stream going.

Speaker 7:          01:50:37       So why don't we put that up. Okay, good. Okay. And then why don't we ask the people who are donating a dollar, do you, should we add this on the thing to be like a raffle? Like, should we add this stupid thing as around, I'll do as many $1 donation as I like to show how people can donate. W What are people choosing? That word is asking. We're just asking like do they want, do they want, Oh, next year there should be a way to pick many raffles and have one transaction. Oh we need a new, we need a new port. We need a new poll. How about the next bull? Someone has to take a nip, like actually eat a little piece of it. Did you hear that though? He said he's somebody posted a comment saying next year there should be no way. Oh yeah, you're going to probably need some milk.

Speaker 7:          01:51:23       They saying that next year there should probably be a way to donate to multiple with one transaction. So you like add to cart, add to cart, add on our head. That functionality exists on, on the site. Well we'll have to get on it until the whatever the next poll. A little nibble. A little nibble. Come on. No, maybe you should know before I go. Here I go. I'm looking at this. Okay guys, we watch. I'm nervous for you because I know we're about to see. I've just going to touch it on my tongue is that is definitely, I think you're looking at when you have this up in the background, people are, it's going crazy. Damn. What? Stick that all the way, right click and give it a good good lift. Oh my God. Yeah. That's a good lik, oh my God. Oh, what's up? What you want to show some stuff?

Speaker 7:          01:52:06       I rubbed it on my tongue and it was like immediately like a lot of pain. He's still tasting it like, like where are you at? Just hit me. Oh my God. Okay. Yeah. I'm curious. The Carolina ghost pepper in your mouth. The doctor's office. Smiley faces. Like, like chart what number? No, it's not, it's not very, well I can't say because it's actually getting worse. It's still, it's still working its way into your already going for the milk though. You're like not even letting it get to it's, I mean I was, all I did was kind of rub it on my tongue and I was shocked by it. Like immediately blasted.

Speaker 8:          01:52:46       Show your, we're not even going to get there. We'll be lucky if we even, it gets you to eat a fucking, let's do another poll for that. Joey's solids flew here and you guys can't even get him to eat a hobby narrow. I want to, I want to get to the Habanero Habanero quicker. People are saying add the drawing as a raffle. See, look, people want the drunk. Let Ethan keep the drawing. It's all over the place. Someone's gave $5 just to let me keep it. Everybody's saying raffle it and one said I'm missing from the rewards. Whoa. What does that mean? What does that mean? Oh No, she'd be at the bottom. I just looked this up there. Yo, what the fuck? What the fuck? We're not getting donations. Oh yeah. Why? Hey Joey's not on the thing anymore. Huh? What's going on here? I took it down for a second cause uh, cause we're backed up on his Oh okay. We got, we got to go send someone in here with a sharpie. All right. Give me a second. Full time. Right all day. And don't take it down either. Brought some, yeah. Don't take it down. Either. Brought these decks.

Speaker 15:         01:53:49       I Dunno. I thought we should show some of the stuff cause I'm the pictures maybe don't show how cool it is. Definitely don't. So this is, this is two of them. Yup. Of the, of the new, um, primitive decks. Oops. And then the back is like different or like different color. It's cool. There's also, I think, see, I don't think there is any grip tape and on this is the other two. Whoa, Whoa, whoa. There we go. And uh, again, like interesting. Yeah. These are, these are, these are really cool looking in person. I mean it's like the, it's like foil. It's like a foil back. But yeah. So the whole set and then I'm gonna look through

