Speaker 1:          00:05          Please join me in what calling Victoria Tucker.
Speaker 8:          46:17          Do you acknowledge that most of us don't use email for personal stuff anymore? Do you think that it's entirely a good thing? Or there's cases for example, like planning a holiday or something. Would a whatsapp group or an email thread to be better for that?

Speaker 2:          46:32          That's an interesting question cause I just tried to hop to plan a holiday with my family over whatsapp and like we all fell out. Um, it was a disaster. Would email have been better, you know, for something like that where it involves lots of discussion. I think the best thing is an actual conversation. Obviously that isn't always possible. I suppose the advantage of emails, you can include more information, you can put links to stuff and things like that. Um, yeah, I mean I just think, I don't even know most of my friends email addresses. Um, so I just think it's not the kind of go to communication for those more sort of friendly situations these days. Maybe it should be. Maybe we should just try to revive it. I think maybe everyone's so put off email just from work email and it just being so terrible. Um, that I'm, I'm kind of loath to try to that into my private life. Thanks.

Speaker 7:          47:34          Well transfer questions. Um, thanks. Good Talk. Um, having sent email for decades, I'm from a very nerdy, um, sort of area. The majority of males I dealt with were reply in line with the Chevron invitation. Moving the thread was he as a follow up,

Speaker 2:          47:57          oh my God,

Speaker 7:          47:59          look came up, came along and the curse of flushed at the top and sort of new generation of non tech started just replying top posting and a, it's a different style of email arrived and then you can't mix the two at all. Google, I thought I'd given up and the second sale. But at Google it's surprising there's a good 40%. Males are replying lines. Lists like this is still survived as a, as a thing. And I, I just wanted to know what your, your take on that was. You know, should I just give up and I'm just an old timer and I should just, or is this really, it can lead to quite a nice thread, a very good easy way to follow what's going on. You're applying to specific bits or discuss.

Speaker 2:          48:37          Yeah, that's a really good point actually, because that I think is when things can go really wrong is when, is when you mix the two. Right? And so the thread goes completely out of control and it's kind of part chronological and then it skipped something and you're like, whoa. Um, I'd say, I think most people don't even think about this and they rely on the technology to do it for them. Um, I don't, I'm not sure if I have a particular preference for one or the other. I think the problem is if you're mixing, so as soon as the threat is established in a certain way, you should just follow suit. That's probably the best answer I have on that one. Which do you prefer and line? Yeah.

Speaker 7:          49:17          All right. Oh, we are at the end. Oh. So once again, thank you very much, Victoria.

Speaker 4:          49:22          Thank you.
