Speaker 1:          00:00:00       Two three. Yeah, my name on it.
Speaker 2:          00:39:36       Other than getting naked and have him throw the fucking lie all over here, whatever they fucked Lyme, is that what they throw it? Lie, lie Ma. You got to get rid of the body lice, your job, you're going to go out there and some sort of Tarzan fucking bikini bottoms with that powdered sugar all over you. And you're going to just start, you're going to up,

Speaker 6:          00:39:57       it's gonna be yet.

Speaker 2:          00:39:59       So my suggestion is either get some cyanide or learn how to use operate a backhoe cause other than that, if you survive, you're going to be standing there with a shovel getting a fucking sunburn that, uh, the, the, the, the modern world has never seen.

Speaker 6:          00:40:14       Okay.

Speaker 2:          00:40:15       Anyways, I'm watching this, this doomsday prepper thing and uh, they got all these guys doing this shit and they got this one dude who's just, you know, he's got like fucking three years worth of shit. He's got flat screen TVs, got all his fucking stuff down. So I love the flat screen TV. That's hilarious to me. Like it's the end of the world, but somehow cable still exists. Somehow somebody is at the head of the cables, cables central, wherever that is, flipping the switch so you can see the final eight episodes of breaking bad. Um, despite the fast, everybody connected with Hollywood is now gone. Um,

Speaker 6:          00:40:57       yeah.

Speaker 2:          00:40:58       Except for Wesley Snipes. I'm sure he's got a bunker somewhere. Um, yeah, if you've got the Ballston and I pigged the government taxes, you definitely got you got, you have a strategy in place and plus just even if that shit, even if he didn't take martial arts, just the sword swinging alone, that he had to learn the choreography that would scare the fuck out of most zombies and they turned the other way. Right? Yeah.

Speaker 6:          00:41:18       MMM.

Speaker 2:          00:41:19       So he's got all of this stuff and he's sitting there talking about he, he's still afraid of the Russians and a nuclear holocaust. He's been prepping for 30 years because that's basically what they used to scare the shit out of us about. Um, I came in in the tail end of it in the 70s, and, uh, this guy was older than me, so they psychologically fuck this guy up so bad that he was now, you know, stockpiling this hole in the ground. And then he found out that, uh, recently declassified information said that the Russians had detonated some fucking, I dunno, 200 mega ton fucking something or other, but the biggest bomb ever detonated. They did it and he realized that he wasn't deep enough. So he went out and he bought this big steel fucking tube and the whole time he's doing this, this guy is like 200 pounds overweight.

Speaker 5:          00:42:12       Yeah.

Speaker 2:          00:42:12       And it's like, dude, you better, you better deal with that first. Like you, you're going to drop up a fucking heart attack before they drop a fucking bomb on us. And he finally addressed it. He says, you know, I probably should get myself in better shape. Of course he was sitting down the entire time and even with the tee shirt on, the guy was so fucking fat, you could tell that he was finished. But um, so I actually liked the guy cause he finally addressed the fact that he was out of shape and needed to do something about it. But towards the end, there was this 15 year old kid who since the age of 12,

Speaker 2:          00:42:48       um, maybe it was a little bit older, one was 2008. That was five years ago. He's, what's 17? He was 12 one to 2008 a banking collapse happened. So he went on and he, he internet and he started reading up on banks and probably saw the conspiracy theory that I did. And it scared the fucking shit out of him as a 12 year old. And this fucking kid has been like scavenging slash stealing shit wherever he can because he doesn't have any money. And he has all these guns and he has these fucking swords and shit. He dresses in fatigues and stuff. And his mother is just sitting there going like, you know, I always wanted a normal thought. I don't know why he feels he has to do this and that. And now he's got, he's brought a friend into a fold and the, and then they brought it a into the fold and he brought a third person into the fold. And it's literally like, lady, Lady, did you see Colin? Bye. All right. I'm not saying this kid is like that, but like what the fuck are you doing? Her, her, her big parental moment was he's not allowed to go to the gun range without her.

Speaker 2:          00:43:53       She goes there and let some practice in. This fucking kid was great. His spread was basically from, you know, one ventricle to the fucking other. All right. This, is there two ventricles or is that an AOL? I don't fucking know. I'll Google map the heart at the end of this. Um, yeah, he was basically hitting it all center mass right around, right around your fucking heart. Right. And, but then he goes home and he's got the ammo when he has the guns in his fucking bedroom. And um, you know, he's like, I'm thankful Lou, uh, grow up with guns. He doesn't even

Speaker 7:          00:44:32       have a southern accent. Why am I fucking trash in the south again?

Speaker 5:          00:44:36       Okay.

Speaker 7:          00:44:36       Hear this fucking awful haircut. He didn't have a girlfriend. He's a fucking, he's, he's going down this rabbit hole and she's just letting them do it. And, uh, I find it really disturbing. I don't find it disturbing when like I see those kids smiling and they have rifles and their parents have gotten them into hunting. I know people out where I live and when I lived in New York City, they freak out about that stuff. Um, really intolerant of it, you know, as they eat a fucking chicken burrito. Uh, but I don't, I think you should know how to hunt and do all that type of shit. You know what? I didn't know I could fucking kill. I could kill a pig, a wild boar. I would love to go out and do that.

Speaker 5:          00:45:22       Yeah.

Speaker 7:          00:45:23       Fucking shoot that day. You know, I want to hear it from the rednecks out there. What am I in for?

Speaker 5:          00:45:31       Yeah.

Speaker 7:          00:45:31       If I miss and I think comes up when we don't, they just start fucking eaten. Yeah. The pigs. Right. They fucking eat anything. What I scare them or what I look like. One of those white chocolate covered pretzels.

Speaker 8:          00:45:44       Okay.

Speaker 7:          00:45:46       They think my freckles was salt. It'd be all over it. Um, would it be okay? Can slips in somebody, you know, next time I do one of my southern towards here. Can you guys take me pig hunting and uh, I want to fucking do it up. I want to go Rambo style with a crossbow, but I do want to have a backup Uzi. And I know if you're a redneck, I know you have a fucker newsy that's been fucking handed down since the the eighties. Whenever the fuck who's came out before the laws prevented you from getting them? It's for while I'm hunting quail.

Speaker 5:          00:46:17       Okay.

Speaker 7:          00:46:17       Uh, it's just America. Um,

Speaker 5:          00:46:21       okay.

Speaker 7:          00:46:22       All right, let's get into some questions for the week here. Uh, I'll read the last couple of advertisers. What don't I do that? All right, here we go. He had a bad first quarter. I did great in the second quarter. Let's get out. We've got another 30 minutes. It's when this game, here we go. Last couple legal zoom, everybody. Most Americans don't have a will. But why you don't want government rules dictating what happens to your property and minor children. Do you, so why procrastinate? Most people say it's too expensive or it's too time consuming. My answer is legal zoom.com too expensive. You're going to love legal zooms, reasonable prices, too. Time consuming. Most people finish the online process and just 20 minutes and we're not talking some fill in the blank bs form here. Your will is state specific and personalized based on your, your information.

Speaker 7:          00:47:11       Best of all legal zoom has 12 years of experience helping people with important legal matters. Um, it's national. Make a will month again this month, so don't wait any longer. Go to legal zoom.com today and get 50% off your last will, but this offer ends or get a living trust and you will receive a pour over will absolutely free. Um, to get your special discount, be sure to enter burpee. You are R and the referral box at checkout for wills, power of attorney trust and more. Go to legal zoom.com legal zoom can provide self-help, uh, services at your specific direction or connect you with an attorney, but they are not a law firm. Law Firm. God Dang it. I had it till the end. All right, eva, you're screening calls, closing deals and making money all while lounging poolside in the summer sun. Thanks to eat voice, he voices a better way to connect with your people that drive your business.

Speaker 7:          00:48:10       He voice will forward your business calls to your home, mobile or any number you choose. Wherever you are, he voiced, we'll find you. Um, if you don't have time to take a call, it's routed to your voicemail and you can read it at your convenience as a text message. Evil not only gives you an edge over your competitors, it takes away the edge the big companies have over you right now. That's a huge point right there. People, I hope you were listening with he voice. You can create the impairments of a whole office building of departments. When customers call you a sales department, customer support, tech support, you name it, it's going to seem like you have it and it works with any phone. Even yourself. Hey, it's summer. Don't be stuck in your office all day. Free Yourself, uh, with a free 30 day trial of he voice.

Speaker 7:          00:48:52       You can see what I'm talking about. Go to [inaudible] dot com and enter the Promo code bill for your 30 day free trial. That's he voiced.com promo code bill, or go to the podcast page, [inaudible] dot com and click on the voice banner and now it's time for the stairway to heaven of advertisers here. The last and final one, stamps.com everybody pretend you have a wad of cash in your hand. Now imagine throwing it in the trash. That's exactly what you're doing when you're leasing one of those expensive postage meters for your, uh, for your small business longterm commitments, maintenance and reset fees. Expensive ink. It's crazy. I know a better way. What is it? stamps.com everybody with stamps.com you get all the benefits of a postage meter and more at a fraction of the cost. Just use your own computer and printer to get official US postage for any envelope.

Speaker 7:          00:49:45       And he packaged any class of mail plus no more time consuming trips to the post office. Everything you would do with the post office, you can do it right now from your own desk with stamps.com I use stamps.com to send out whatever the hell I'm selling that week after my shows. Tee shirts, posters, DVDs, whatever you want. Um, and if I can use it, you can use it because I am a moron and I have the co a high school transcript to prove it right now. Use My last name, birth for this special offer, no risk trial plus $110 bonus offer and includes a digital scale and up to $55 free postage. Dale you waiting for go to stamps.com right now. Before you do anything else, click on the microphone at the top of the page homepage. Excuse me, and typing bur

Speaker 2:          00:50:28       bur that stamps.com enter birth are right. There you go. There you go. Into the wild blue yonder. All right, let's get into the uh, the rates for this week. Italy. Hey Belle. You mentioned a couple of weeks ago that you were thinking about going to Italy and you wanted some advice about where to go. My lady is Italian, so I've been there a bunch of times. Here's the deal. First you should decide if you want to see the north or the south. The North is more industrialized with lots of interest in interesting cities. Yeah. And San Marino too. All right. Isn't that where the blue bloods day a good food and as a more vibrant urban feel. The South is more country style with good weather and beautiful nature. I think I kind of liked that. You could think of it being very roughly like the difference between New England and the south back of the states. And the winner of the north will be pretty cold and the south will be a little more ball. Me, they both are the shit. All right, cool. Ah, where's Rome? Rome's like right in the middle. I got to get to know that type of stuff.

Speaker 5:          00:51:34       Okay.

Speaker 2:          00:51:35       I can't wait to go. Um, and that's what I'm going to do right before my a European tour.

Speaker 5:          00:51:40       Yeah.

Speaker 2:          00:51:40       Uh, is I've got to go to Italy for a couple of days, like two, three days. Why the fuck wouldn't you if you're going to be over there anyways, I'll get acclimated to the time, the time change while eating some of the best food on the planet. I mean, my two favorite kinds of food is a Italian and Japanese. Those are my two favorites.

Speaker 5:          00:51:58       Okay.

Speaker 2:          00:51:58       I love them both fucking delish. Um, so I got to figure out where I'm going to go on because I only have three days.

Speaker 5:          00:52:07       Okay.

Speaker 2:          00:52:07       I don't want to go there and try and do a bunch of things.

Speaker 5:          00:52:11       Okay.

Speaker 2:          00:52:12       I think it just want to go there and eat a big into stadiums. Maybe I would see the Roman Colosseum, but uh,

Speaker 5:          00:52:19       okay.

Speaker 2:          00:52:20       I think I just want to, um, I don't know what I want to do. I just want to eat some fucking just great place and tastes really clean food

Speaker 2:          00:52:31       with like what I show respect about Italian. Just how, how much they give a shit about the food making process. You know, I've told the shit the foist just to no more ice, no more Italian guys back in the day when I was living in Boston and I swear to God they would watch, we make a meal and it would like be upsetting them and eventually they just have to take over, be like, just, just, just get out of here. Like they would watch you fucking up a piece of meat. It would literally, it would, it would owed upset them.

Speaker 5:          00:53:03       Okay.

Speaker 2:          00:53:04       You know, so you gotta respect it. All right, here we go. Salads. Oh by the way, that's another great part in the, the, the Ken Burns documentary is um,

Speaker 5:          00:53:15       okay.

Speaker 2:          00:53:15       You know, I always saw Mussolini given the speeches. Yeah. Oh, he's got one great one. When he's, he keeps doing this thing with his hand like, Hey, let them have Dah, Dah, Dah, Dah, Dah. Like he's just fucking talking shit. Like Hitler makes me want to speak German and Mussolini makes me want to speak Italian. Just watching those speeches, watch it. Hitler's screaming and yelling

Speaker 2:          00:53:38       like, you know, we used to be quiet, no sock up second a shit. I mean, is that what he's saying? I want to know what the fuck is he yelling about and Mussolini that look at confidence on his face. I just want to hear what the fuck he's talking about. I'm sure this transcriptions, but it's, it's gotta be better if you actually know the language. Um, and I got that fucking Irish thing where I got to do everything the hard way. Um, so all I would ever see was him a Mussolini given the speeches and then him fucking hanging by the meat, hook him with his fucking girlfriend.

Speaker 5:          00:54:09       Okay.

Speaker 2:          00:54:09       MMM. And I always wonder what the hell had happened. And I didn't know that he had gotten captured and then the Nazis came in and freedom.

Speaker 5:          00:54:20       Yeah,

Speaker 2:          00:54:21       you don't like the fucking expendables Assam Shit. Is that a right reference? I never saw one of those movies, but that seemed like they what they were doing, like they will rescue the people and uh,

Speaker 5:          00:54:30       okay.

Speaker 2:          00:54:31       And then he got, he got caught again and he tried to talk his way out of it again. And his last words were, was basically saying no, like, no, no, no. It's fucking Christ. What a fucking way to go out.

Speaker 5:          00:54:48       Yeah,

Speaker 2:          00:54:49       it, I've been talking about that in my act. It's just that guy, like a year's time he went from just like being, having a boy band fame and everybody's screaming and throwing bras at him and shit to be like on his knees. Like keep fucking, they killed him, man. His woman, I love it too. It was his mistress, I believe is what they call, I don't fucking remember. I remember you starting to forget the shit and then they brought him into town and everybody was kicking him and dig his face. Just, they just kicked the shit out of his face and this spitting on him and they hung up by a meat hook.

Speaker 5:          00:55:27       Okay.

Speaker 2:          00:55:28       It's like what happened? You know, you think it's bad to be like, you know, in, in old town, try being a fucking dictator, man. It's, it's brutal. It just does. That's why they never have a behind the music for dictators because, you know, how would it, for the most part, I would fucking ends. You don't end, you know, you're not lying in bed.

Speaker 5:          00:55:51       Yeah.

Speaker 2:          00:55:52       You know, going through some fucking Buddhist, this is the death process. You know, where they teach you how to die peacefully and you're surrounded by fucking loved ones or whatever. This is the exact opposite of that shit.

Speaker 5:          00:56:05       Okay.

Speaker 2:          00:56:06       Hitler blew his brains out.

Speaker 5:          00:56:08       Okay.

Speaker 2:          00:56:09       What's his face?

Speaker 5:          00:56:11       Okay.

Speaker 2:          00:56:11       Mostly Lady. I just told you what the fuck happened to him. Sudan will say they dragged him out of a fucking hole. He went out like a gangsta though, man. That Jesus Christ, he refused the hood.

Speaker 7:          00:56:24       We put the rope around his neck and he was getting heckled. This is his shit. Like when people talk about, you know, when they go and they look at comics getting heckled and taken on the crowd, he has to have the best one for, for dictators. He was standing there and he's getting heckled and he's giving him shit right back with a fucking rope around his neck. He got to respect that math. I would have been like Muesli and me trying to fucking wriggle my fed out of it. I definitely would have taken the hood. Um, who else does that get that? The fatty over there in a little fat boy in Korea. I wonder how he died. He's probably watching like little house on the prairie or something. He was a weird guy. It was in the movies and shit. He actually, he lived, it's very few that actually get to make, make it that far. You know, they get to continue where it's like actors who get to continue working on into their seventies and still doing like Oscar winning work. It's very difficult. Most people fall by the wayside. All right bill, we get it. Okay. All right. You know I'm into that shit. Alright, salads. Hey Bill. I would like to get into eating more salads, but I'm only 20. And what the fuck do I know about salads do I didn't know shit about salads. I wish I started eating salads when I was 20. I wouldn't have this fucking mess.

Speaker 7:          00:57:50       Jesus Christ and it's pasty. It's even worse. Uh, should I get into spinach? Some good old iceberg lettuce. What do I put in Salad? What's the point of making a salad? If I just cover with ranch dressing and put a bunch of Bacon on it, I'm not even sure what Balsamic vinegarette is. Is a boiled egg. A good thing to put in is appreciated. Gotta be a Dick here and say hi. Hi. Blackhawks won while you want. You get the fucking brag about it. You can't listen. I don't know shit about nutrition. I'm just starting to learn about it. I know iceberg lettuce is like 90% water. I think a spinach is good shit. I like that. I like a regular um, kales awesome. And um, yeah, don't go through all the crappy eating that shit and then put a bunch of dressing on it cause you know, you're adding all those extra calories, I guess Balsamic vinegarette this is all shit that I've overheard.

Speaker 7:          00:58:44       I heard that that's the healthier one. But even then I try to avoid drowning. And uh, what's great about is when you start eating them, you start craving them and that becomes one meal a day. And that's just, you know, you got to start looking at like a steak and cheese sandwich or something like that. A pizza. That's just, it's just a plate full of setups. You know, I fucking hate going to the gym. I like going to the gym cause I want to look good. I hate going to the gym cause I fucking have to go, which is what I'm doing right now, which sucks, you know, you know what's another bad one is when you fucking sitting up in bed like I am and you'll hold your iPhone up to you and you get the reflection of like, you're fucking nine Chin's start to get that Pelican neck. Ah. Anyways, so, um, there's a bunch of recipes out there. You can find it, but I would, I, I'd stay away from iceberg. That's stinks. Romaine is like, that's like halfway decent. All right. Iceberg lettuce. They're like the, uh,

Speaker 5:          00:59:45       yeah.

Speaker 7:          00:59:45       I Dunno. What will you want? You want to go sports on this one? We'll go sports and I'm not talking about what they're gonna do this year, what they did last year. I would just say what they've done in my lifetime. All right. Iceberg lettuce is like the fucking Detroit lions. Uh, even though they're good now, they weren't then. So that's probably a bad example. The Cleveland browns of lettuce, sorry everybody in Cleveland. Although I did promote your city and I saw a lot of fucking knock construction going on there. A romaine lettuce is like dead fucking team that every once in a while makes the playoffs but never fucking wins it there. That's like the Falcons of lettuce. Um, and then you get into a rural girl loves the cowboys. Kale, I would say is the 40. Niners and uh, I dunno, I dunno. Maybe I should have said the packers and Steelers or the Steelers and packers packers are the most successful.

Speaker 7:          01:00:41       So I'd say the Kale, I'd say Steelers not just shut the fuck up. Okay. A Russian guy. Outwits banks. Oh, I like this one already. Hey Bill thought you might enjoy reading this article about a Russian man who outwit it, a bank by writing his own terms into their credit card contract. Jesus Christ. That's fucking phenomenal. I hadn't held it. That's like beaten. Bruce Lee had karate or Kung Fu a Jean funky, whatever the fuck he did article. Here we go. The idea of beating the banks at their own game may seem like a rich joke, but to me, tree,

Speaker 7:          01:01:17       uh, Gara Cove, a Gar cove, I don't know, 42 year old Russian man sounds like he plays for the Redwings, doesn't hae a 42 year old Russian man may have managed to do it. Unhappy with the terms of the, of an unsolicited credit card offer he received from an online bank tin cough credit system at Gar cough. Sorry. If you're listening and I'm butchering this story. If you have Russian descent, uh, he scanned the document, wrote in his own terms and sent it through the bank, approved the contract without reading the amended fine print, unwittingly agreeing to a 0% interest rate, unlimited credit and no fees as well as a stipulation that the banks at the bank pay steep fines for changing or canceling the contract.

Speaker 5:          01:02:08       Okay.

Speaker 7:          01:02:09       The bank has so much money, they'll be able to get around this. But what, that's fucking genius. What a hero. A Garco. I've used the card for two years, but the bank ultimately it and sued a Gar car for $1,363. The bank said he owed them charges, interest, and late payment fees. A court ruled that because of the no fee, no interest stipulation to guard cough had written in, he owed only his unpaid $575 balance. Look at this two minutes left in the game. People, are you going to win this? A what? A God carve is now suing the bank for $727,000 for not honoring the contract's term. And the bank is hollering fraud. They signed the documents without looking. They said what used what? Usually they said to me, what? Usually their borrowers saying court, we've, we've not read it. A golf club's lawyer said, uh, the shoe's on the other foot now. Sorry, I really butchered their ending of that reading so well, I got to pay attention to that. Well, they'll settle out of court. I Dunno, man. That's, that's a hard, I mean, the fact that you got to just got out of paying the fees.

Speaker 7:          01:03:26       I gotta put this in my, uh, my computer here. I want to pay attention to a Gar cough.

Speaker 5:          01:03:32       Okay.

Speaker 7:          01:03:32       Russia bank case

Speaker 7:          01:03:40       Ak. So it's still at that point. Hey, anybody in Russia listen to this thing. Can You keep, please keep me abreast of this. I want to see if he gets any of that. $727,000. All right. I want to do a little pre game analysis here. I'll tell you right now, I gotta tell Ya, if I'm the bank I got to be taken out of, we ended up in this situation, I would actually guess that they're not gonna pay any of that. Um, they probably got enough politicians and judges in their pockets. I mean, it's corrupt enough over here. I can't imagine what the fuck it's like over there. No offense, but, uh, it is what it is. Um, yeah. If anybody I know Estonia, Latvia, get close enough, you can pay attention, they'll let me know. I'd appreciate it. Lithuania, the Ukraine, Belarus, look at me. I've learned some shit. Uh, I'm an attention whore. Bill. Bill Burke Marshall. I'm a 16 year old guy and I've recently come to terms with the fact that I love attention. In most instances, this would not be too big of a deal. I mean, look at you. You made a career out of it. Hey listen, you fucking cunt. Just cause you find out that you're a dick. You don't get to rub up against me and get your stink on me.

Speaker 5:          01:04:51       Okay?

Speaker 7:          01:04:52       You know? Did I say I didn't like fucking attention? You asshole.

Speaker 5:          01:04:57       Yeah.

Speaker 7:          01:04:57       Jesus Christ. You know I was actually going to compliment you with the fact that you actually could. You could step outside yourself and see something that could potentially be a floor. Wanting attention is not a bad thing. It's all how you do it, you know? All right, here we go. I constantly sit in class loudly, cracking jokes and can usually get the whole class laughing. Plus I don't have to worry about the teachers yelling at me because I'm such a manipulated, manipulative son of a bitch that I have ensured that they all liked me. Here's the problem. My friends hate it. All right? This has taken a different turn here. The jokes I make with them are far different. I actually think they're funny. You see the jokes I make to the whole class or Shitty hacky, cheap, cheesy, douchey jokes, targeting a group laugh. The jokes I make with my friends are normally riffing on something. They might actually be creative.

Speaker 5:          01:05:54       Okay.

Speaker 7:          01:05:54       Oh, all right. So you kind of, when you're with your friends, you're actually a comic's comic,

Speaker 7:          01:06:01       but when you're in front of the crowd, you, you're, you're, you're playing to the masses. Well, you've got to pick a road here, son. Um, or maybe it don't, I mean it's not you, you're trying to be a comedian or maybe you are, if you're going to be a comedian, I would try to make the crowd laugh at the jokes to make your friends left. All right, here we go. Now. Now I know the simple solution seems to be stopped being a class clown, but I just loved the attention. I'm so emotionally undeveloped that I craved the CRAs class approval and attention. Dude, you're not emotionally undeveloped. This is unbelievable that you have this sort of a knowledge of self. It's 16. I certainly didn't what you know at 16 I don't think I knew until I was 36 so you're, you're, you're in a,

Speaker 5:          01:06:44       okay,

Speaker 7:          01:06:44       you're in a good situation. Here he goes, I love being the center of the class, making everyone laugh to spice, knowing that I'm being fake and not myself.

Speaker 5:          01:06:53       Yeah.

Speaker 7:          01:06:53       What should I do? Should I stop cracking the shit jokes in class or should I tell my friends to get over it and keep being that guy? Thanks. And Go fuck yourself. Ah, first of all, I don't know what the fuck your friends have a problem with. I mean, how bad are these jokes? Just say and, and

Speaker 5:          01:07:12       yeah,

Speaker 7:          01:07:13       you're basically what you're doing is in class. Sounds like the first, I dunno, three to six, seven, eight years of being a standup comedian were once you figure out how to make the, uh, the crowd laugh, you then try to be like, well, I want to,

Speaker 5:          01:07:30       okay,

Speaker 7:          01:07:31       I want to be like, say what? I really want to talk about up here. Basically find your voice. So, um, I don't think that you should make a change because of your friends. I think you should make a change because you want to make the change, you know, when that makes sense. If you like the attention and that type of shit, who gives a fuck?

Speaker 5:          01:07:51       Okay.

Speaker 7:          01:07:51       But, uh, if you want to take your class clown or to the next level, I would go with some of the more creative stuff. You don't have to always go with a shit joke, but I have to commend you that you, when I used to be a class clown, I would always get in trouble and the teachers didn't like me. So the fact that he able to do that is great. And uh, I think you're going to be real successful in like in life. You could do anything. Politics Show business sales.

Speaker 5:          01:08:18       Okay.

Speaker 7:          01:08:19       If you like, if you could actually talk to a crowd that, that really puts you ahead of the game, I would think. All right. He also says, ps, as a Blackhawks fan, I would just like to personally thank Boston fans for being so classy, respectful, and dare I say Saint Lake St like from the bottom of my hat, my black cock hard. I would like to personally thank each and every Bruin fan. You were all models of fandom. Thank you for fucking mocking that. Um, or just trying to rub it in. I don't give a shit at this point. That seemed like years ago and we just want a cup, so I'm good. So congratulations to you, sir. Good luck with trying to find your voice as a class clown. All right. God Damn ex-girlfriend. Dare Billy boy. Um, your podcast is killer, man. Thanks. Well thank you. I appreciate that. And he says, I'm writing you to get some insight on my ex girlfriend situation. About six months ago, my ex dump my ass and totally crushed my heart. That's the worst. Did you got to go throw it though? Uh, he says I was fucked up for a while, but it took some of your advice and focused on improving my own shit. I never called her texts or a did any asshole.

Speaker 7:          01:09:32       It's for six months. A couple of months ago, she texts me, ah, fuck. And I know it. I know it now without reading this thing she's texted you now. Either she legitimately wants to get back together with you, which if you still love her, that would be a good thing or whatever the fuck she,

Speaker 7:          01:09:55       whatever path life path she went down over the last six months has hit a hard, is it a bump in the road and maybe she's having second thoughts or maybe she's completely evil and she's like, wow, he just never called me again. Why don't I call him up in mind? Fuck them. Those are my three guests on the, uh, the cont genie lamp player. All right? So she texted me, she wanted to know what I've been up to and how I was doing. She also wanted to know why I unfriended her on Facebook. And he writes, why do you think you'd dump cunt that, wait a minute, did you unfriend her because of my advice? Did you do that on your own? That's a great thing. You got, you got to get cut the cancer out. You can't be watching what the fuck she's doing. All you're doing is prolonging that pain in your heart.

Speaker 7:          01:10:47       You got to watch, I'm telling you, if you gotta, you gotta cut off all contact and then you got to go Chris Bosh. We just got to drop to your knees a couple of times a day and cry it out. Don't be afraid to fucking do that and I wouldn't do it in front of a bunch of men, but you know, do it on your own like as a man. You have to understand that the reason why you're able to cry is because you supposed to because if you don't, you keep it in your chest and it becomes, and then you yell at your kids. All right. I resisted the urge to tell her to go fuck herself and kept my responsible, my responses. Cool and casual. Dude, you are on the road to a post breakup blow job. That's where you are right now. Let's see if you keep the car on the road. Here's my question. How the fuck do broads know when you are finally getting over them and that they should get ahold of you and make you feel like shit again. Also d say I know it.

Speaker 5:          01:11:40       Yeah.

Speaker 7:          01:11:41       Also, do you think it's a dick move to get a hold of an x if you're the one who dumped then when they haven't gotten a hold of you since the breakup. Finally, how do you think I should handle this going forward? Um, well you know what? You, you basically, you learned one of life's tough lessons. Is that a

Speaker 5:          01:12:05       yeah,

Speaker 7:          01:12:05       my amino something. I might be being a dick here. Like baby got guys do this shit too. All right guys do do this shit too. That you got those guys who they break up with a girl but then they keep her in, in, they try to like hold onto her so no one else can fucker. You know guys who do that shit. So this is really like I'm being a sexist more on as usual.

Speaker 6:          01:12:27       MMM.

Speaker 7:          01:12:28       I'm coming from the male perspective. That's all I got. All right. Trying to show a little empathy here. Um, how do they know? I don't know, but they're great at it. So rather than trying to figure it out because I don't know that you can as a guy, just respect that they have that ability.

Speaker 6:          01:12:47       All right. Um,

Speaker 7:          01:12:51       you might want to consider changing your cell phone number so she can't text slash mind fuck you again.

Speaker 6:          01:12:57       MMM.

Speaker 7:          01:13:01       What if it is the fucking worst? They just the fucking worst in that situation, dude. You just, you got to walk away from a man. So I can't remember what the fuck you asked me. I'm going through all the breakups I've been through mentally right now.

Speaker 6:          01:13:12       MMM.

Speaker 7:          01:13:14       All right. So the first thing you said is how the fuck do broads know when you finally over them, I don't know, change your cell phone number is my solution.

Speaker 7:          01:13:24       Um, also, do you think it's a dick move to get ahold of an x if you have no intention of getting back with them? Yes, I do. And you have to accept the guilty. You feel that you broke somebody's heart and you have to own that. You can't like calling, just calling to make sure you're doing okay. You're not helping that other person. If you have no intent, you're giving them a half a second, a hope and then you know, you're just, you're, you're, you're ruining them. You gotta let them go. Um, and lastly, how do you think I should handle this going forward? Yeah. I would say don't respond to her texts or uh, even that, just her texting you and seeing your name and knowing that she's thinking about you and your heart's still going to be like, well, maybe, maybe two minutes.

Speaker 7:          01:14:08       You can night together. I would just change the number. Start over again. Go Bill Bixby. Get a backpack. Walk out of town. Who Do go down the fucking street. Um, start working out. Get some new women in your life. That's another thing. Go out there and go hit kid on something he thinks out of your league. Gives a shit. Go have a good time. I'm hitting on a girl that's odd. That's so called rd or league is like playing a sport against people who are better than you. It makes you better it up. She's game. All right. So then when you, you play against somebody who's only little out of your league, your actually, you used to play and beyond and you're not nervous. You used to that speed, you know? Does that make any fucking sense? I hope it does. Anyways, that is the, uh, the podcast for this week.

Speaker 7:          01:14:56       Everybody. Thank you. As always for everybody who's contributed with the questions and everything that really is the last half of this podcast every week. MMM. And also, I forgot to mention that, uh, the last couple of weeks, if you'd like to support this podcast, a very easy way is if you plan on buying on some something on amazon.com just go to billboard.com first click on the podcast page and click on the Amazon banner that we have that'll take you right to Amazon and you don't have to do shit after that. It doesn't change the prices of anything. They kicked me a percentage of the sale for driving traffic their way. I take a percentage of that, send it to the wounded warriors project. So it's a two for one as far as supporting me and supporting the wounded warriors project and also hard copy versions of my DVD, uh, of my standup special, sorry, DVD copies are available on my website and also available for download, um, for five bucks.

Speaker 7:          01:15:51       And it's uh, the, you people are all the same. So people have asked me when I'm doing another special, I've begun talks about planning about doing one in the first half of next year. I basically I do them every other year. Um, as basically outworks I spend one year having fun, right. And a new hour and then I spend the next year fine tuning it and then when I'm done with that, then I shoot it. That's basically a, that's basically what I do. And uh, that's the formula it's been working for me, so I'm sticking with it. And then also people in Scotland had been asking me about my, am I still doing Scotland because they didn't see a date. I am definitely doing a date. Things got moved around. I do two shows in London. I'm still doing one in Scotland. Um, it's going to be at this theater, I forget the name of it, but I'm somewhere around the fourth of the 5th of December or something like that. But, uh, hopefully at some point this week I'm going to get an official date and I'm going to tweet about it. I will Facebook about it and I will podcast about it next week. And a thank you to everybody over there who's been buying up the tickets. It starting off really strong and, uh, somebody actually sent me a,

Speaker 2:          01:17:10       um, for the, uh, the advertisement in Stockholm and it was really cool. It was other than my name, obviously, if it's all written and fucking Swedish and shit, and it's just a, it's the coolest fucking thing ever that there's people in an, on the other side of the world speaking a different language and they're writing about a show that you gotta go up there and go, do, you know, he's fucking awesome. So anyways, I'm really excited about that. And, uh, all the shit that I have coming up. Uh, oh, by the way, if you're in into a, if you're not into motorcycle racing or you'd like to get into it, they got one of their grand prixs, I think it's in Indianapolis or something, somewhere in the states this weekend coming up on, uh, August 18th, I believe. I'm actually going to watch it now that I got a motorcycle license be, I watched that documentary on Netflix about all those motorcycle races, races and that type of shit.

