Speaker 1:          00:00:00       Some bus, seventh, 19, 41, a date which will live in infamy. Perfect.

Speaker 4:          00:48:43       if any of the major powers except maybe Russia in Europe at this time, last 30,000 men in a month, it would be considered quite a blow. Napoleon lost 30,000 men a month as a matter of course,

Speaker 4:          00:48:58       because he had a new kind of army. He had a people in arms and in order to beat him, the other countries of Europe had to do the same thing as the German field. Marshal, blue shirt told the PRUSSIAN government after the Russians had been defeated by Napoleon, give me a national army, gave me what he has and when he got it, you know which the Russian aristocracy didn't want to do for the same reason that the European leaders everywhere didn't want to do it. They didn't want to put the people in arms, but when they did, they were able to triple the size of blue shirts army and he took that army and fought Napoleon with it. The creation of a nation in arms was the first step in creating the modern war machine because now all of a sudden life was cheap.

Speaker 4:          00:49:47       Not only was life cheap, but the modern nation state was now deep enough to be able to truly take a punch, and this is what sets the modern militaries off in the modern states, off from the ones in ancient times. In ancient times, very few states could take a punch, you know, to use a boxing term. Many of them could dish it out. When you take a state like the acumen had Persians, you know the ones who fought the spartans at thermopylae and all that. The Persians Kodesh out really good blows, but they couldn't take very many good blows. Most nations in the past couldn't. That's why if you look at a book, you know the greatest battles in history. If it's beyond, you know about 150 ago sometimes the great battle is the only battle the wars are won or lost on one big battle because the nation states couldn't take too many punches.

Speaker 4:          00:50:34       They couldn't reraise armies. The state just couldn't support it. Once France turns the entire nation into the war, effort, nations can take punches better. And in the past, I mean the goals and the Chinese could take some punches. The Roman Empire could take punches. That's what set those nation states in the past, apart from most of their enemies, right? They, they had more staying power. They had modern staying power. The French Revolution teaches all these states to have modern staying power. The only problem with modern staying power is that the killing can go on longer. In boxing, they always feel like an early knockout is more merciful than a long match. Because in a long match you take a lot more punishment. Well, in a funny way, if everything can be decided at one big horrific battle, you know, at the start of a war that has a lot less costly over time than a four or a five year long conflict where both sides grind each other. Down to the NUB. The Napoleonic wars created multiple states in Europe capable of fighting until they were ground down to the NUB, which meant a lot more damage and destruction. Before these wars came to a halt.

Speaker 4:          00:51:44       The modern nation state provided the support that the militaries that involved entire peoples in arms needed to keep the struggle going, you know, for long periods of time, one half of the equation necessary to create the modern war machines. As military historian Gwynne dyer rights right after he talks about the human costs of these, you know, Long Napoleonic wars. He says, quote, almost as important is the fact that European society did not break down under the strain. There was hardship, but no starvation and the warring powers were able to keep at it and keep their people at it year after year with no end in sight. The European states had developed the wealth, the organizational techniques and the methods of motivation needed to fight mass wars with a degree of popular participation that no other civilized society had ever even approached. All that was lacking. He writes to transform mass warfare into total war was the technology, but the industrial revolution was already almost a generation old and 18, 14 and soon it would begin to fill the last remaining gap and to quote what was missing to make this new deadly machine that the Napoleonic wars and the French revolution created was the technology to increase the deadliness by exponential amounts and that was already something that was happening.

Speaker 4:          00:53:09       The 18 hundreds are an era in military history where the killing power of machines skyrockets and machines have been an important part of battlefields since before. There were cities in human societies to field mass armies at all. Think of the bow and Arrow, that's a neolithic weapon. That's a stone age machine that made man a more efficient killer both in hunting but on the battlefield as well. By the time the 18 hundreds roll around the machines, killing power skyrockets,

Speaker 4:          00:53:43       but because there is no major war involving all the great powers between Napoleon and the first world war, the actual demonstration of how this stuff can be used is lacking and the military powers of the world. Try to examine the conflicts that do happen to see if they can learn any lessons about what the next war is likely to be like. There were European observers, for example, at the American civil war, to try to see, you know, what you could learn from that. The Crimean war breaks out in the 18 fifties between Russia and Britain and France. There's a war obviously between the United States and Spain that involve Cuba and the Philippines in, uh, right around the turn of the century going into the 19 hundreds, probably most importantly, there's a war between Japan and Russia in 1905 where some of the use of these, you know, new weapons that when fused together create the modern war machine where some of that was observable.

Speaker 4:          00:54:49       The one thing that seems to be the key element as far as European planners can figure it out though, is something that Harkens back to a phrase from a confederate general in the US civil war who said that the key to warfare was to get their firstest with the mostest. And the idea now of these mass armies that you're a peg created was that you needed to be able to raise them and get them to the battlefield before the other side beat you to it. The timetable for mobilization becomes a force that none of the major European powers seem to be anything but a slave to once the assassin's bullet in Sarajevo cuts down the Austrian archduke.

Speaker 4:          00:55:40       When the archduke is killed by principal, he does the equivalent of pulling a pan on a hand grenade. Imagine trying to hold negotiations to ward off an explosion with a guy who's already pulled the pin on the grenade, right? You have a limited amount of time to convince them of anything. Winston Churchill, during his life had famously said that jaw jaw was better than war. War, meaning negotiation is always better than war, but at the person's already pulled the pin on the hand grenade. You have a very short window of opportunity to avoid the inevitable. And that's where Europe finds itself. After the archduke is murdered. Everybody's worried about the same thing too. There's an old phrase, the peace movement used to use in the late 19 sixties, early 19 seventies where they would say, what if they gave a war and nobody came? Well, the military planners in Europe at this time period or worried about something a little bit different. What if war breaks out and on the days that hostilities commence, only one side's got their army there.

Speaker 4:          00:56:45       I mean, if it takes you 30 days to get your reservists in uniform to the mustering point, into the battlefield before they're ready to fight, how big of a deal is it if it only takes your opponent 15 days to do the same thing? This puts a huge crunch, you know, timewise on everybody in this story and constrains the ability to negotiate your way out of this situation. Everybody feels like, okay, the first person that flips the mobilization switch, we all go because nobody wants to fall behind. The Germans have constrained themselves even more timewise by the way, that they have found a solution to their terrible dilemma of how do you fight a two front war? You know, once you violate bismark's dictum of, you know, keep the Russians on your side and then the Russians and the French ally with each other and war breaks out. You're going to be fighting the French and the West and the Russians and the east at the same time

Speaker 4:          00:57:42       and in the intervening decades, the fantastic German general staff had figured out a way to not just survive that situation but to win that war. But it involved exquisite timing which further constrained the amount of negotiation room you had before the grenade went off. The timing involved taking advantage of the fact that everyone thought the Russians were going to take forever to mobilize. The Russians were seen as a giant, somewhat clumsy colossus, less organized than the Germans and the French and people like that. And so by the time the Russians could get their act together and get their monstrous armies in the field ready to fight, Germany already would have defeated France. Their entire plan for action involved throwing almost all their weight against the French immediately and then turning after French forces were defeated and throwing those forces against the now ready to fight Russians,

Speaker 4:          00:58:40       but this did two things, so the Germans one, it meant the Russians could have no advanced time mobilizing. You couldn't let them mobilize for three or four days while you waited to negotiate, putting the pin back in the grenade. You didn't have that kind of time. You were going to screw up your entire plan for winning the war. If you did that. The other thing that it meant is that if you went to war with Russia, you had to attack France. You had to assume that the French would come in at some time and the only thing you had a plan to deal with was to attack the French first. So if you go into war with Russia, you get to attack France as part of the bargain, but it was even more of a concern than that. It involved attacking countries besides France. Countries had no

Speaker 2:          00:59:22       disagreement with it. All neutral countries. That just happened to be in the way the Germans had come up with a plan to deal with their encirclement problem, but it involved launching essentially a world war in their own defense. The other thing that prince did was provide an opportunity for a lot of these leaders who thought war was coming anyway to decide that now was better than later, and this is another interesting side of the conflict, but if you're part of these many military staffs that are absolutely sure wars coming and you know you can read accounts from every major military, the time period we're numbers of their military planners thought war was inevitable. The question is, if it's going to be inevitable, is it better to fight it now than lighter?

Speaker 2:          01:00:14       The Germans were under the impression that the Russians were on their way to superpower status, which if you look at what happened in the 20th century, is exactly how it turned out. The Germans felt that by 1917, that was going to be a reality that Russians were completing major military reforms, major transportation reforms. They were taking advantage of huge French bank loans to do this stuff. The Germans figured if more comes in three years, we're going to be in a much worse situation than we are now, so if it's here, we might as well do it. Now. We have an advantage now. We won't have later. The French felt similarly about the Germans. The Germans felt about the Russians. They were looking at the German birth rate and just going, we're going to be swamped. They were looking at the growth in industry. I mean the Germans were on a tear, so if war came in five or six or seven years, the French are just going to be worse off. So they figured the same thing if was going to come, let it come now and amidst these interesting conflicts of interest in worries about timing and all this stuff, the world sees where it's heading and tries to pull back from the brink, but instead of having, you know, the greatest statesman Europe can produce during this time period. Some of these countries are saddled with people who are like millstones around the neck of peace.

Speaker 2:          01:01:41       People like Kaiser Wilhelm, the second the emperor of Germany and leadership is such an interesting side of this conflict because I firmly believe, had you had a guy of Otto von Bismarck caliber in a position of authority in Germany when the first world war is on the verge of happening, that they could put the pin back in the grenade. You know, the governor, Lowe Prinsep, metaphorically pulled in Sarajevo. I think it could have been done and all it would have required would have been some real diplomatic quality. Brilliance

Speaker 4:          01:02:20       would have been great, but I don't even think you needed that. Just some. Some high quality workmanship which the Germans had produced time and again, the problem was in this time period, they are stuck with a ruler who could not have gotten the job if marriage had been one of the requirements, you know, of having it handed to you. Kaiser Wilhelm. The second was not a great leader. He represents the, you know, most wonderful example. You can easily think of of what a roll of the dice hereditary monarchy is and how sometimes you get a great role and you end up with a gifted ruler and then it almost seems wonderful that they've got so much power in their hands, right, because if someone really knows what to do with it and does good things with it, you kind of say to yourself, I'm glad they had the power to do those good things, but that's a bit of a roll of the dice, isn't it?

Speaker 4:          01:03:09       As often as you get one of those people, you get somebody who's evil or cruel or insane. Some people throughout history have rolled very badly on the dice far too many times, but it creates good hardcore history work, you know, for us. I mean the ancient elamites used to roll whatever the number is that comes up. That means you get yet another insane ruler in your dynasties made for fun reading, but I wouldn't have wanted to live under it in Germany, this current leader, this current Kaiser Kaiser, just like czar in Russia where they have an autocratic king guy to both of those stem from the word Caesar, which right there in the 20th century. Sounds anachronistic, doesn't it? And that's part of this old world that had existed for forever mean King. An emperor doesn't sound anachronistic at anytime in history before 1914. Going back to like Mesopotamia does, it just sounds weird.

Speaker 4:          01:04:01       In the 20th century, shows you how old this world is. That is marching into the 20th century. Three of the major powers in this conflict are ruled by emperors, kings or czars. Now they don't have total power. Well, the are almost does really a. The Kaiser's had his chipped away over a couple generations. He has to share some power with a German legislature which has political parties and they handle budgets and taxation, but the Kaiser's still has a ton of power over war and foreign policy and political appointments and all that, and he's just this below average guy. The funny part about the Kaiser is that the best thing that ever happened to his reputation was out off Hitler because when you look at the propaganda and you read the stuff written about the kaiser before Hitler comes along and the Kaiser is treated as this evil character, malevolent, you know, this militaristic want to take over the world blood falling off of the bay and at uc in the political cartoons.

Speaker 4:          01:04:58       And now the attitude that people have towards him is that he's almost silly or that he's full of. You know, he's just wracked with inferiority complexes. He's almost to be pitied. He's a little mentally doll but, but there isn't that malevolent evil sort of thing. And I think part of the reason why is when you have Hitler to compare someone to all of a sudden you see that the kaiser was just sort of a. You know, marginally bad role on the monarchy, dice for what it's worth. He was tied into all the other great monarchies in Europe. One of the funny twists in the story, and it actually provides something of importance because at in Europe at this time, the royal families had relatives of other royal families in Europe, in their families, and these families still communicated with each other, which provides like a diplomatic back channel where these rulers can actually sidestep traditional diplomacy and just write the family member that rules the other country.

Speaker 4:          01:05:57       For example, Queen Victoria, who may be the most famous queen in British history, maybe the most important ruled forever presided over Britain during the height of Britain's power when she's controlling most of the world and the Sun proverbially never set on the British empire. Queen Victoria's grandchildren are in. I mean, well, Kaiser Wilhelm's, one of them, he's Queen Victoria's grandchild. He's the first cousin of the King of England. King George, right. Not just that, but the czar of Russia is married to another Queen Victoria grandchildren. So the czar is her son in law. It's also wilhelm's cousin and when he gets upset or he wants to talk to the Russians about something, he will often sit down and pen. A quick note to cousin Nikki, that would be Tsar Nicholas the second. Now the czar in Russia is another average to low average role on the monarchy dice. It's perhaps telling and some historians have made it out to be that you end up with such mediocre leadership in such powerful countries during this time period.

Speaker 4:          01:07:04       It might account for why you know, these international incidents which could have led to war previously didn't, but now are because the leadership sucks. I mean in terms of what you could expect that these people were merit based leaders. You know, you can say what you want about a stolen or Hitler or even a Mussolini who's been portrayed again in the west, like some sort of clown, but all of those people were formidable individuals who rose through the ranks at some level. I mean, same thing with American politicians. I mean a guy like Franklin Roosevelt, you can say what you want about them, but that's a formidable human being with qualities that allowed them to sort of rise to the top. That requires a merit based, something being born into the hohenzollern family as the oldest son doesn't require anything. That's the luck of the draw.

Speaker 4:          01:07:50       If the job of Kaiser had been merit based, Kaiser Wilhelm, the second wouldn't have gotten anywhere near it. And yet he's the guy most responsible for putting the pin back in the grenade. If war is going to be avoided here and you know, he famously said, after he sacked bismarck and then sacked another guy, he said, I am my own chancellor, meaning I'm, I'm going to run all this myself, but what do you do when not only are they sub par in intelligence and brilliance and all that, but because they're subpar and if they can't see that there's sub part and they don't even take advice. Well, I mean, at one point in the story, the Kaiser will ask one of his military leaders to do something that is ridiculous, stupid, lose the war, stupid. And the military leader will say it cannot be done, and the Kaiser will embarrass him and say something to the effect of your uncle who was also a field marshal would have given me a different answer.

Speaker 4:          01:08:39       In other words, he would have done what I wanted him to do, even if it was stupid. The Kaiser, just to show you how it is too. So you understand royalty and you remember in your head you go, oh yeah, that's what royalties. Like this same military leader I just quoted, a guy named von Moltke will have to change the way that the German war games system works before the first world war and he will have to put his foot down and take a career risking move and tell the kaiser that no longer can they keep up with the tradition that whatever side the kaiser is commanding in the German national war games has to win. Think about that for a second. Before Field Marshal von Moltke puts his foot down, whatever side that Kaiser is commanding in these war games, these national maneuvers of national security importance, whatever side of the Kaisers, commanding wins automatically.

Speaker 4:          01:09:29       Come on folks. That's goofy and the Kaiser is a little goofy. He's got this one arm that was damaged during his birth, which was withered and had no strength. He couldn't cut his own food, for example, which is so embarrassing to a guy who's already got an inferiority complex. He goes to England to spend time with his cousins and they don't really care for him too much. The British royal family has kind of turned off by William and all William wants is kind of their love and approval and to be like them. And what's funny is in this sort of weird, I'm almost like tragic playwright kind of way. The Kaiser sort of embodies the inferiority complex that his country has at this time too. There are new country on the stage and they think they're being treated like trash. They're mad, they're chauvinistically. That's how the British and the French and those people see them as just these upstart.

Speaker 4:          01:10:18       You know, push their weight around kind of people, but as many historians have pointed out, there's no nation in the world that that's up and coming that doesn't start to act like it. And when they do, the nations that already have it all don't like it. I mean, how do, how does the United States kind of feel about China today sort of elbowing its way into the, you know, power structure here. I mean, we all understand they deserve it. You look at their economics, you look at all the signs, they, they're, they're up and coming, but nobody necessarily feels like that person pushing their way in to get their own space is anything other than a bit of an upstart during this time period. The United States plays a similar role. This sort of elbowing their way into the world power, whether the people that are already there like it or not, make some room.

Speaker 4:          01:10:59       Here we come. That's how the German empire was. There was a feeling of inferiority and Kaiser Wilhelm held that sort of attitude in spades. But if you read the stuff at the time she's portrayed as this militarist and that is the term that is most often for this German empire that will be blamed for everything that's happening here. Okay. Militarism, the entire latter part of the 18 hundreds. People focused on militarism and the building of these amazingly technologically deadly armaments and the race for power. I mean, it just seemed like the world was arming itself to the teeth and it was just going to explode. And it was these militarists who were responsible and people who look at Nazi Germany and who are, um, I know people who are enthralled by the Wehrmacht and the precision marching and the uniforms in this whole sort of militaristic, fascist attitude that the Nazis portrayed.

Speaker 4:          01:11:50       And I always try to tell them that the Nazis didn't invent this, that the Nazis were revitalizing regular German Marshall Attitudes. That's the niceties. Militarism. If you don't like it, it's Marshall. If you do like it, that's what Hitler and his cabal we're doing is bringing back traditional Prussian Marshall Practices that goose stepping, robotic, unbelievably efficient, precision drilling and all that. Those are qualities that go back to Frederick the great and it freaked out a lot. A lot of the countries in Europe looked at this and they just, they look dangerous. They look mean. They looked chauvinistically. They looked like they wanted to take over your country and then they were building this giant navy. Now all of a sudden, out of nowhere challenging Britain, because the Kaiser had read that same book that Theodore Roosevelt read. Did anybody do more damage than Alfred? They are may hand when he decides to write a book on naval history because the Kaiser, like Roosevelt, Reddit, was enthralled with it, made all his, you know, ab rules, read it, and then decided he was going to build this fleet to compete with Britain so that they wouldn't take him for granted.

Speaker 4:          01:12:54       Fascinating character. A perfect example though of what can happen with the role of the monarchy dice. Now, of course, all the governments in Europe that matter are not all monarchies and autocratic governments. There are the famous governments of France and Britain, for example, Francis, a republic. Again, by this time having tried out royalty again after Napoleon decided that they liked the republic idea better and there are republic and Britain might as well be by this time period. They still have the king and the royalty and all that, but they don't have any power anymore than they were during this time period. The way the royal family is now, maybe more gravitas and maybe more able to shift public opinion one way or the other than the more cynical generation today looks at the current royal family, but at the time that's about the extent of their political authority.

Speaker 4:          01:13:44       Parliament, the legislature of Britain has the power then like they have the power now, but that creates a dynamic where the French and the British have to worry about things that, you know, the countries on the other side of the ledger or Russia don't have to worry about. They have to worry about the political situation. They have to worry about their political opponents. You know, using the war situation as a political issue in Great Britain. There's quite a bit of division over this whole thing and during this time period between when the archduke is assassinated, which happens on June 28th, 1914, and when the Austria, Hungarian government issues that famous ultimatum, the list of demands to Serbia, which happens on July 23rd, there's a big dead zone in there.

Speaker 4:          01:14:26       No, it's not really a dead zone. If you were reading the morning papers every morning in that period, there'll be war scares and comments here and there'd be something new everyday to keep you focused on the crisis. But historically speaking, not much happens. What was going on was behind the scenes, a ton of diplomacy and one of the main avenues of diplomacy or the French trying to get the British, you know, into some sort of hard agreement for what they're going to do if this war breaks out in five minutes because they don't have a hard agreement with the British. They sort of have a soft agreement instead of a signed on the dotted line contract. They have a handshake deal and they're starting to get a little bit worried about the handshake deal and they're getting worried that even if the government in charge in London right now will come through on the handshake deal, who's to say they're going to be able to keep political power.

Speaker 4:          01:15:13       Their opponents could use this war issue, you know, to topple the government, take control of the government, and then say to France, we only have a handshake deal. I'm sorry, the new government will not comply with a handshake deal. Sorry, we're not getting involved in this war. We're neutral. We have this splendid isolation and the navy will protect us because remember, folks, look at a map of Great Britain. They have a giant moat around their country and the greatest navy in the world to protect it. They have the option of staying out of this thing if they want to. The French don't have that luxury. They run the invasion list there on the dinner menu for imperial Germany and they're looking for people to provide some help. They've got the Russians, but the Russians are a long way away, but not being on the dinner menu for the imperial German military meant that the British situation was fundamentally different.

Speaker 4:          01:16:03       They couldn't see a real positive outcome for them if they get involved in this whole affair. I mean there are things the French can gain. They've got a couple of last territories they lost to Germany and the war of 18, 78 and 71. They'd like to get those back in a best case scenario, you know, if this conflict breaks out, they will get them back. The British don't have anything that wonderfully positive to look forward to. Yes, they might alleviate the threat of this German fleet, but by 1912 it was already felt that the British had proven that the Germans could not compete with them in the building of ships, not if they wanted to have a great land army at the same time. And so that's kind of out of the way by this point. So no big gain there. And maybe you protect France from falling because if France falls, you get the situation you had in the Second World War in 1940, we're all of a sudden you have the German staring across the English Channel from you and then all of a sudden that moat doesn't look that wide does it, but that's not a lot of positive stuff to go into the first global conflict in 100 years for to the British.

Speaker 4:          01:17:06       This looks like a massive disruption of their extremely profitable business ventures. They've been snapping up books like the great illusion written by Norman Angle where every historian points out how influential this book was, where angle is trying to explain to the people in that time period that this war that continually gets threatened, like the Russian roulette trigger being pulled is never going to happen. It can't happen. The world has become to interdependent in that time period. There's too much globalization. This is the early period where all that starts where you have the telegraph, providing instant communication and the railroads on the shipping lines and trade had never been higher. Wealth had never been grander and Europe was at the height of its financial power and Britain was at the height of everybody's financial power. Why would you mess with that economic situation? Guys like angle? We're saying that what had happened is it was so profitable to simply do business as usual that there was nothing worth going to war over.

Speaker 4:          01:18:05       What angle was saying is that anything you would gain by launching a war would be dwarfed by what you would lose by destroying the system that was allowing everyone to make so much money. There's an old line, um, that when goods don't cross borders, armies will. Well, this is the opposite situation. Their goods are crossing borders like crazy. So guys like angle tell you that, you know, because of that formula and they believe in that formula. You can't have a war with the British are starting to find out, you know, as this dead zone period from the end of the arch, Duke's assassination to the ultimate unbiased Serbia. What the British are starting to find out is that angle is at least partially wrong. He may be right. That you will destroy a whole system that's making everybody rich. He seems to be wrong in thinking that the powers that be will avoid a war because of that and the British government is having a hard time selling their people on the idea that this is good for Britain.

Speaker 4:          01:19:06       On July 23rd, finally the long awaited response from the Austro-hungarian government to the killing of their heir to the throne. They send an ultimatum that to the government of Serbia and the ultimatum is one of those documents you can look at throughout history that is obviously designed to be rejected. The demands would eviscerate Serbian sovereignty, no sovereign state could agree to this, and they're only given 48 hours to respond to all these different points. The rejection of any one of which means war. But the day before the 48 hour deadline runs out, the Serb government sends a message to the czar of Russia asking for help, and they wrote, quote, we cannot defend ourselves. Therefore we pray. Your Majesty descend help as soon as possible. Your Majesty has given many proofs of your previous goodwill, and we confidently hope that this appeal, we'll find an echo when you're generous, Slav, heart and quote, the Serbs send a response back to the Austra Hungarians. It's not good enough. The declare a war on July, 28th, exactly one month after the assassination and they're shelling Belgrade in like five minutes. The Russians declare mobilization in response to this. This is the moment when the first outside power turns on their doomsday device is when the Austra Hungarians and the Serbians mobilize. It doesn't freak anyone else out because they're going to fight a little war against each other and they have to mobilize to do that. It's when the first outside power tied to these alliance systems, flicks on their doomsday device that everyone else is going to feel the pressure to do the same thing.

Speaker 4:          01:20:47       Germany, the most pressure because they're the ones with the very short window of opportunity. I think the designer of the military plans count. Schlieffen had figured out it was about 900, 950 hours that they had to smash the potential of France. She didn't have to be mopped up, but she had to be smashed within 950 or so hours before the Russians would start to come in from the east with their armies now mobilize. If you screwed that up, they could be in Berlin and having coffee and cigarettes and poking the Kaiser with a stick in a cage. By the time you know, the Germans figured out what was going on, so the minute the Russians mobilize, you have this crisis because the Russians have the flexibility. If they want to have just sending those people home in a month. Mobilization doesn't mean more to them, but it does to the Germans because they've got to start their plans and every day they don't. That 950 or so, our window is shrinking.

Speaker 4:          01:21:46       This is the point in the story where the military plans begin to take over the political process in a way that makes it impossible for the politicians and the diplomat to do what they need to do to potentially stop this conflict. They need time. They need time. On the 26th of July, the government of Britain calls a peace conferences for the major powers that they could hash this out, talk it out. Nobody's got the time. Once the Russians hit the mobilization switch, the Germans are under pressure. They tell the Russians to stop. The Russians say, we're only doing this against Austria, Hungary. This isn't meant. You know, against you. Doesn't matter. The Germans have a problem now, and they begin going to everyone else and saying, are you in? Are you in? They go to the French. Let me say to the French, are you in this conflict that's about to come out because we're going to go to war with the Russians. If they don't demobilize, what are you going to do?

Speaker 4:          01:22:37       The French, we're going to act in accordance with our interest from the German said, well, listen, if you want to stay out of this war, all you have to do is hand us the keys to all your faults on are fortified border until the war in the east is over. That says a pledge of your good behavior and we'll consider you out of this war. That is impossible for the French government to do as the demands on Serbia war for the Serbians to do fringe can't do that. That's an handover. Your national security keys to your most antagonistic historic enemy. I don't think so, and the Germans must have known that they knew they couldn't keep France out of this conflict, which is why they had these fantastic military plans to defeat, to powers the country they were really hoping to keep out of the conflict was Great Britain when they kept negotiating with Britain saying, you know, you don't have any deal here. We're cousins. We're both Anglo saxons were the same race. You know the French are your historic enemies. Are you really going to work with them? On the 30th of July, the British prime minister wrote in his diary,

Speaker 4:          01:23:38       quote, the European situation is at least one degree worse than it was yesterday and it has not been improved by a rather shameless attempt on the part of Germany to buy our neutrality during the war by promises that she will not annex French territory except colonies or Holland or Belgium. There is something very crude he writes and childlike about German diplomacy. Meanwhile, the French are beginning to press in the opposite sense as the Russians have been doing for some time the city he means London, which is in a terrible state of depression and paralysis is for the time being all against English intervention. I think the prospect very black today and to quote, but something will happen that will change the mood in Britain. Something that will help to create a good guy, bad guy narrative in this war. You know, as I told you earlier, one of the key issues, because this war is so important to the rest of the 20th century in 21st century history is whose fault at all is and the British are very concerned during this time period that they be. If they intervene, intervening on the right side, who's the bad guy? It's going to depend on what happens.

Speaker 4:          01:24:48       That's again where the German war plans put them in a situation where for the war plan to succeed, you have to create strategic problems that are going to cost you the war. The biggest thing the Germans need to do here is keep the British out of this war, but the war plans involve a requirement that will bring the British into the war. The Germans can't attack the French along their mutual border. That border is full of forts. It's the most one of the most fortified borders throughout world history ever since Roman times. It's the same area, but 120 mile front that will become the Maginot line after this war and before the Second World War. During this time period, there are fantastically technologically sophisticated forts all through this 120 mile border between Germany and France with interlocking fields of fire and large garrison's. It's not that the Germans can't defeat that. They did in 18, 70 18, 71. That was the root of invasion back then. The problem is the Germans can't defeat them within that 950 or so. Our window, by the time the German smashed their way through those forts, the Russians are in Berlin and Silesia and everywhere else. Right? So there's only one thing the Germans can see their way to doing as part of this plan to win the two front and that's

Speaker 2:          01:26:04       just smashed into France and the part of France that's undefended, but the reason the part of France that's undefended or less defended than this fortified border is less defendant is because it isn't on the border with Germany, so on the border with a bunch of neutral states, these are going to have to be the highways the German army uses to get from Germany to France. The only problem is is that those highways neutrality is guaranteed by the British government and has been for 75 years.

Speaker 2:          01:26:33       What is about to happen as a result of the stipulations of those German war plans is potentially the greatest mistake ever made. I mean, I'd put it on my top 10 list somewhere. Greatest mistakes ever made, and if you're a German, I have to believe that I have a hard time figuring out what is a greater mistake for the entire history of your nation as a unified country since 18, 71. I have a hard time finding something you could label as a greater mistake than this one because so many of the other candidates you might put as your greatest mistake only happened because of this mistake before it. The invasion of Belgium is a disaster for Germany on so many fronts and that's what we're talking about here. Originally, way back in like the late 18 hundreds, early 19 hundreds. Holland had also been on the list of countries to be used as a highway for the German army. But since that time and as the war plans were refined, it was just narrowed down to just Belgium and the Germans were sort of naively hoping that the Belgians would just step aside, like line their army up on both sides of the street and watched the Germans marched through. Um, the British and the Russians, you know, who are sort of the forefathers of these Germans were two of the signatories to something called the Treaty of London in 1839 that pledged to defend Belgium's neutrality

Speaker 2:          01:27:51       in a wonderfully tragic, ironic sort of connection to, by the way, the role Belgium is going to play leading to the first world war is very similar to the role Poland played leading up to the second in both cases, those countries where the reason Britain got dragged into the conflict before the Second World War, Britain had tried to stop Hitler's seemingly endless ambition by putting a roadblock in his way in guaranteeing the independence of Poland. Hitler ignored that guarantee went into Poland and Britain's and the war in the first world war. The same thing is happening with Belgium. The German planners can see no way to win this war without violating Belgium's neutrality. As we said, this is what makes it the greatest mistake though potentially in all German history because violating Belgium ends up taking a Britain that one historian says as recently as two days before they declare war on Germany is leaning toward neutrality. That's amazing to think about two days before they enter the war, the government is leaning toward neutrality. What changed that? The invasion of Belgium, the invasion of Belgium does to terrible things. If you're looking at this from Germany's point of view, the first thing is changes.

Speaker 4:          01:29:02       British, political and public opinion, almost overnight on a dime

Speaker 4:          01:29:08       as the British prime minister, Herbert Asquith put it. He of course wants to get more involved in this looming war because of the handshake deal with France. He said that the ultimatum, the Germans give to the Belgians, simplify matters. All of a sudden the people who are trying to convince the rest of Britain that they have a dog in this continental war looming up have some real ammunition. The first thing is a signed treaty with the Belgians. That's not a handshake deal that's in inc and its long standing as is the national security concern that Britain has had for a very long time of keeping the channel ports in Belgium out of the hands of some dangerous, hostile power throughout most of Britain's history. That dangerous hostile power was France, but they're calling the kaiser, the new Napoleon, and if he goes into Belgium, he's going to have those channel ports.

Speaker 4:          01:29:56       So what had been a more sort of high brow, a argument that didn't really appeal to the gut is changing because of Belgium. The most important appeal to the gut though that Belgium has is the propaganda slash pr side of this whole thing. Belgium is what destroys Germany's reputation in terms of global public opinion. I mean there'd always been people who called Germany, this evil malevolent, militaristic country and what have you been on the world stage as soon as the Germans invaded Belgium, they participate in the most aggressive act so far by any of the major powers in this conflict. Austro-Hungarian assault against Serbia maybe before this was the most egregious, but that was seen as having some sort of connection to events. I mean the Serbian government had maybe been involved in this assassination. There was something to do with one another. Belgium was an innocent bystander, you know, it's like a shooting war breaks out between a couple of of gangsters on the street and the first thing one of the gangsters does is turn to the side and kills an innocent bystander because they're standing in their way. That's a little like what this is portrayed as by, you know, the allied propaganda services which make the most use of this Belgium thing you can imagine. So much so that it incense, people like off Hitler who will write later in mind comp that nowhere else did. The Germans, you know, fall so far behind the British and the French later the Americans than they did in the. In the realm of propaganda.
