Speaker 1:          00:06          Please give a warm round of applause and welcome to the stage and Matthew Claudel.
Speaker 3:          45:02          So, um, this is not a satisfying answer to your question, but I do think that, um, sort of thinking broadly as to who can contribute to a particular idea is really important. And again, it goes back to the idea of public disclosure. So the more you can put an idea out there in the world, the more you can kind of get criticism, get feedback and develop the thing. Um, and that can happen within academia. Obviously it can happen within any, any number of stakeholder categories. So it could be, um, you could imagine a new model for an architecture studio that's actually not an architecture studio, but just a network of people around the world who can decide to opt in to a project that they find interesting. I don't know, I'm just speaking off the top of my head, but that, um, that kind of thinking I think is more and more valid.

Speaker 9:          45:48          Hi, thanks for the talk. I have a question about, uh, into city. So a lot of great things are happening within the city, but what about either connections, amount of cities? I know that a lot of Googlers at your daily commute. All right. Uh, they spend like I was on the road, so that's a shoe, but I can tell you this later, I wish still spent hours on a revenue. Is that the future of our cities? Thank you.

Speaker 3:          46:12          Um, yeah, so, so as the Internet was introduced, um, like in the early nineties, there was this actually very serious and very, uh, um, widespread belief that the Internet was going to kill cities because all of a sudden you could like connect from anywhere you are. You could be on like a lounge chair on an island in The Bahamas and you could be going to work just the same. You can talk to anyone at any time and sort of be spatially liberated. It would be this like neo nomadic condition. But what we've found actually the accelerating trend is that people want to be downtown, people want to be in cities. And um, and I think a few ways to respond to that trend. Obviously we can unlock disused capacity. So, for example, city buildings around New York right now are mostly occupied but not all occupied. Um, I also know that 12 hours from now in the middle of the night, it'll be almost a complete shift of occupancy in buildings where many will stand empty that were formerly full.

Speaker 3:          47:17          Um, so if we can think more intelligently about how to use the infrastructure we already have, then, um, then we're making strides. I also think that, um, that we might have in, in certain areas and in certain conditions and more polycentric models. So now, you know, Google was started in mountain view. Obviously the number of people that employees can't all live in mountain view and commute there. Um, and so there's offices around the world and that's, I mean this is an obvious thing to say, but there's digital connection technology that makes it easier to do that in a way that you couldn't have before. Um, I don't know where that's heading and I don't know if the answer is that things will become globally distributed. I do think that place and proximity are extremely important, especially for the ideation process. Um, and this is really what I was, what I was angling on with that study of MIT was figuring out how, um, proximity, even someone down the hallway is important for that collaborative activity.

Speaker 3:          48:17          Um, so sure it's easy to schedule a meeting with someone and in Taipei, but it's really difficult to come up with a new idea. And, and I think that, um, having these kinds of spacial centers where people agglomerate where people bring all those different ideas. So going back to your question about how a team works, I mean, I think a lot of it is serendipity. A lot of it is kind of a shared space and shared experience, and then you get these new ideas. So that doesn't answer your question about the long commute. But I do think that, um, downtowns and, and having kind of a, a cluster of people is really important.

Speaker 2:          48:57          Thanks. [inaudible].
