Speaker 1:          00:06          Yeah, go ahead. I need that energy
Speaker 2:          40:24          Right? So, um, thank you. And like, you know, at the end of the day, another thing is, you know, I'm directly affected myself. I'm part of a marginalized group. Hat's off to people who aren't because you could actually choose any issue and say like, you know what I guess identify with this. I read it and then you say it bear, that's my thing. I'm just adopting that thing and just do that. Maybe just for a year, maybe for two. Right. Um, you know, I told myself that I always say I have the luxury of having a lot of these issues directly at my doorstep. I wouldn't do this. Maybe if I could opt out, if I can sneak out the back door, but there are people who'd be like, Nah, I'd rather when you're doing, you know, you forgot us. Right. So, um, so much easier when you're not directly affected. Just give up the next year or maybe three years in. So, um, rotate, cycle out, pick an issue, jump in. Uh, I don't know if I would do it. I will never know if I would do it if I wasn't. And thank you for caring. All right. Um, next question. We have time person.

Speaker 6:          41:17          How would you approach the tradeoff between pushing for a stronger overall security? For example, browsers requiring https and breaking things that at risk users might depend. For example, surfaces that aren't updated. Both sides seem important.

Speaker 2:          41:30          Yes. Okay. So this is how do we balance pushing, but we feel it's better for the people, right? This is better for you. Come here, lineup take this shot is better for you, right? Https everywhere or breaking a service that we know people depend on, right? That might be like, you know, there might be life saving aid behind a website that's not secure and when that site doesn't load in like chrome browser, which is the only browser that you know, people use, um, that might be like, they can't, they can't get that aid. That decision is a difficult one. But like any good rapid response person, you're not making it on your own, right? If I unfortunately have to make a decision to amputate somebody's arm or their leg or their finger on their hand, I don't just be like, yeah, this looks pretty bad.

Speaker 2:          42:14          Bite on this leather strap. Right? I can say, listen, here's what's going on, right. Are stay with me. Hold my hand. I'm with you. Right? This looks pretty bad. I think we might have to suture this or put a tourniquet here and that might mean you lose it, but a, we'll definitely get you alive outta here. They will tell you don't do it. I'm a runner. I love my legs, right? Or they will say, I want to get home to my boyfriend, my girlfriend, my romantic partner. Right. Let's do this. So you don't make the decision on your own. It's too heavy a decision, but elicit as many minds as you can. And then you got to do it right. Cause a lot of this stuff is, I'm going to take a pen and stick it in your windpipe and just showed you can breathe.

Speaker 2:          42:57          You gotta make that decision. You're the only one around. Don't be afraid, step forward and take it and own it because you're trying to help and trying to help is a lot better than most people. So if it means that that side is blocked and messed up, people who are directly affected and marginalize, they'll lose that sight for a week, that he'll build all, get together and read whatever they need to read and let's encrypt that thing and cert bought that thing and they'll have https the next day. Someone will, they'll find a nerd, I guarantee you. Um, so I hope that helps you. It's a great question. I think we see a lot, I'm trying to figure out how to best formulate this question. This is a fundamental distrust of large institutions. Many of us working right institution and there are people who want to make change, but we don't want to be perceived as bias toward one side or the other.

Speaker 2:          43:46          And then there are people who are doing great work on the ground to try and make this change. How do we, how do we engage in a way that can still enable trust with other people as people who are part of a large institution? Um, and then also how do you get people to trust you as, is it because you're not necessarily affiliated with large institutions? Do you do purposeful things to, um, to try to mitigate that or do you find it, it's just like the nature of the information that you're bringing that gives you that, that kind of credibility. Okay. So this is a great question and it's about how do you deal with being associated with a large institution and the lack of cross that people have of those institutions, especially when you're just trying to do one small good thing, right? Is that a good way to, okay, so I'm part of a large institution, many of them, some of these groups and names, maybe you've heard it for the first time, but in my world they're huge.

Speaker 2:          44:35          Ready to go map, right? So when I talked to me about OTF funding and I'm like, listen, you're making this amazing app, this cryptography is awesome and you're working with a group that's like marginalized. This is great and you're doing it with three of your friends over bubble tea every other weekend. You can get money to do this. No strings attached. Like you can properly keep this going. Because a lot of the awesome tools that we use may point people to are barely holding it together. It's a person who was nights and weekends and you don't realize, but they just broke up with their partner and their landlords like, Yo, what's up with the rent? Like it's so scary when you look at some of the tools that we point to what's actually running behind it. People who don't understand what it's like to work with project managers or with code that's always updated and has comments and commits and, and you can get blamed like any hour of the day with all these different developers touching it.

Speaker 2:          45:20          That's not how most of these tools are built. Most people would be, but just two seconds of your time on how they could work would blow it this thing like, you know, sky high and making them awesome. Right? Um, but they wouldn't trust me cause they'd be like, Yo, I heard the State Department runs tour or something weird like that. Right. Or Yo, the feds make signal or something like that. Right. None of that's true, by the way. Um, and what I do is how you build trust with anyone, right? Your institution is always going to be hated because haters want to hit right, but people who need help, they immediately want your help. Like no matter who you are, like let's say like a Neo Nazi is choking on a hotdog, trust me, he wants behind it from me, right? Because they want to live. So preservation rules out above all things so you're not worried when it comes to the door, the directly effected people.

Speaker 2:          46:08          If you're in the right place, that help is appreciated. I guarantee you, right? Because it was needed yesterday. Now if you're in the place where it's a little bit yellow, not red, like traffic site and like light, right? Then you got to build trust and trust is earned, not granted. So it begins by just being like, listen, I worked for let's say Google or something, right? But I'm a person. I'm a human being and like a bank teller has a picture of their loved one facing you. That's because they're trained. That was keeps you alive. When you're humanized, that's what keeps you alive. When we work with journalists and NGO workers and nonprofit people and we're like, look, this is how you survive imprisonment. This is how you survive kidnapping. It's by being humanized, right? It becomes difficult when you're, uh, when you're, uh, people who are holding you see you as a person, right?

Speaker 2:          46:56          They know that song you like, you told them, oh, whatever. They don't stop punching you, but they pull back on those punches, right? They don't stop giving you horrible food, but maybe they give you, you know, to two meals when no one's looking right. You build that trust slowly cause it's earned and it'll be zero the next, soon as you push too far. Right? And that is a long game. So when I work with a lot of communities are a lot of people where I'm not have this built in trust, I just show up and I'm like, listen, I'm unpacking my thing that you hate. Yeah, we did some bad stuff. Yeah. That's horrible too. But let me tell you about my auntie. You know. Hi Auntie. There's a little black panther that joke. Okay. So, um, uh, but you could be like, oh, let me tell you about my family.

Speaker 2:          47:38          Right? And, um, that humanizes you. You're like, hey, let's eat. Eating is key. Everyone needs to eat. Meet them where they eat, love their favorite food, bring them some more of that the next time it's a long game. Like I'm talking about months before you even start. Then all of a sudden they're like, when they smile, when they see you and their eyes light up a little bit, almost like you're their friend, but there's still suspicious. That's your moment. That's when you start. So we need to temper back that will and that wants, I want to do good right now. If you really do, you have to wait. You got to build that trust and understand that, that trust that when people see you coming and they're like [inaudible], that's real. That's not for no reason. They're rights. Okay? But you're good. And this is bigger than that, right? So hope that helps. Thank you, Googlers for the work you do in this place. Delighting people and changing the future of technology in this world. Right? The work you do outside as human beings whose families are so proud of you because of who signs your check. Right. Um, understand the power that you wield. It's amazing. And I'm so proud and humbled to be in front of you. Right. Okay. Thank you.

Speaker 3:          48:49          [inaudible].
