Speaker 1:          00:00:01       Let's do it for
Speaker 3:          00:38:18       I love like studio life is awesome. Like I did a Hans Zimmer thing and the other week and then the next day I'm in with a band called nothing. Nowhere doing something completely different. This week I'm doing a little peep and xxx remix it's, it has to be like that for me are I get really bored. I just don't feel creative, so kind of like, I don't know. That's cool though. I like that. How does that work?

Speaker 4:          00:38:41       Like you get a phone call or someone texts you, hey travis, we need you to come in here and light this motherfucker on fire and you get in there and

Speaker 3:          00:38:48       yeah, it's been like that, you know, or like, you know, some projects manifested to like there's this band called the fever three, three, three that I produce and write with and they just got nominated for a grammy like throughout, for a grammy for best rock performance and that was something I just envisioned with the singer of that band, Jason and we started literally a year ago and they're nominated for a grammy. Wow. So like stuff like that, like kind of being an architecture without building buildings, being architecture and music or whatever it is. Whatever it is you're passionate about. That excites me is building sounds like there's nothing

Speaker 4:          00:39:26       and working with different genres to has got to be exciting too because you can mix it up and yeah. Wow. Now when you're like, what, when, how do use, how like schedule your time in terms of like how much time you're going to spend on your own studio work. How much time are you going to spend on other people's stuff? Do you just play it by ear? It seems like with the guy like you, you must get so many requests and you said you have a hard time saying no, I would imagine it's fucking overwhelming.

Speaker 3:          00:39:54       Yeah. Well my kids come first before everything. Anything, you know, and then I get a lot of opportunities. Like my son Landon is a big rap fan. Like he loves her. He was raised on rap music, like he grew up touring with me and little lane when I told a little lane and he loves being in the studio so he'll come with me to the studio so I can Kinda like double dip work at the same time as he's in be making music in my studio b, which is really, really awesome. And then same with Alabama. She's, I'm lucky they're both musicians because Alabama and, and both loved music. So they like going on tour with me. They like me. Yeah. Or, or I probably wouldn't be working so much dads.

Speaker 4:          00:40:35       Cool. Yeah. What the fuck is it like going on tour with Little Wayne?

Speaker 3:          00:40:39       It was so awesome. I came up with a rap, a rap project where I produced. I've made all the beats and I just got all my favorite rappers, everyone from like Rizza from the Wu Tang clan to little wayne, a game, swizz beats. Um, it was, it was crazy. I think I had 30 guests on there and Wayne asked me to go out on tour with him. So me and mix master Mike from the beasties were like the opening act on that tour. And Drake was out there. Nicki Minaj and Rick Ross. Wow. Fun. So I loaded up the bus with everyone. I brought yellow. We'll foul. I brought j rock a bought Paul Wall. I brought the cool kids and we'd just gotten a bus when we went on tour. Jesus. Yeah. How long are those shows? All those people. How long has that show? That's like a wall with all the acts. At least four hours. That's a long time. But it's so fucking shows

Speaker 4:          00:41:31       like, good Lord, that audience must be beaten a coma. Oh

Speaker 3:          00:41:34       yeah. But then the headliners on who they are really there to see. But that, that was a big accomplishment, just being able to play in that genre of music because I listened to it as a kid. There's never really been a home for live drummer in a wrap scenario right now. So from the beginning, I think, I don't even know what year it was when puff call me when I had just joined blinking. He's like, y'all want you to be in this video? I was like, what? Like, you know what I mean? Because I've pretty much was. I was just like, wow, I'm, I'm in, what are the biggest bands in the world? I'm so stoked. I couldn't ask for anything more. And I always want to go. I always wanted to get something. That tour was so fun. But yeah, once puff asked me to be in a video is kind of like a, it just snowballed from there.

Speaker 3:          00:42:21       You just got into that world. Yeah. And I, I had no idea why he wanted me, you know, but I was just like, wow, this is so cool. Because I grew up on Biggie, like I loved all that genre of music, but I was okay with just staying in my lane as well, but when I got accepted with open arms and I was invited to do like bet awards with Tbi or Tiger Wayne and it was just insane, you know, playing the grammy's. The funny thing is I've never played. The grammy's will blink, but I played the grammys with black pit bull drake. Eminem. Like, it's so weird. It's so weird to me. I just feel it's a trip. The opportunities I've had outside of rock music has been such blessings to you when you say all those things and you know that you did all these things is it almost seems like you're living in a dream.

Speaker 3:          00:43:05       Yeah, I feel like smacking myself. It doesn't feel real when people go like, Oh, who would you like to collaborate with? I feel like I'm so spoiled and I've been so blessed to play with all these musicians. I love that. I just say nobody, you know, whatever comes. I'm happy with. Wow. Yeah. Well that's cool though. That's great, man. That's means you're fulfilled, you know, you're, you're, you're doing what you want to do. Like you're ready. Totally. Whoever. Let's do it. Yeah. If you wanted to make a record, John, be there. You know what I mean? That's what I'm saying. Well, lucky for you, I'm totally talentless in the music department, so it's not going to happen. But you're such a talent man. I love like when you and Dominic Cruz are commentating together, doesn't get any better. Yeah. I love dom. He's awesome man. He beat the shit out of me a couple times.

Speaker 3:          00:43:54       Why did you let him? Because he, you know, we, we used to sponsor him a little bit like famous, like know he used to walk out and famous stuff like when UFC wasn't, they didn't have reebok gear. Um, and he would come down and train because I would train with this one guy josh over here in Woodland Hills and he said, travel, I'm going to be in town. I'm going to come train with you. And I was like, okay, cool. Little did I know it'd be dom tossing me around and like, oh my gosh, man. It was so difficult, but you roll with them. Well now it'd be. He'd be like, try to sleep me. I try to knock me out, Jay, so I'm giving my all and just using his defense and you know, when you, when you actually swinging

Speaker 2:          00:44:31       in the air and you're not landing it actually more tiresome new when you're hitting somebody. So I'm swinging in the air, he's like on the side of me all of a sudden like, you know, he's so quick like footwork and then I'm wrestled to the ground and it's just a wrap every time and he's so, so talented. So yes, I love that guy. Yeah. He just has the most ridiculous footwork. His footwork is so unique to him, to everything he does. He's got like this weird herky jerky little. Yeah, he does. He's probably one of the most unique mma fighters ever. I feel like a lot of people have kind of borrowed from his style for sure. Yeah, for sure. Not to say they didn't make it their own, but I feel like dom was the first one you saw, you know, kind of move.

Speaker 2:          00:45:12       Unquestionably. Yeah. And that's because of his intelligence, because he doesn't like getting hit. He's like, okay, I gotta figure out a way to not get hit so much. Like what's the best way to knock it hit. And it just just came up with. It's very unorthodox way of moving. He's a real encyclopedia of information when you start talking to them about fighting. Like he's a really enjoyed doing commentary with him because he's so insightful. He's so good at pointing out little areas where he thinks people are making mistakes or how to capitalize on certain things that people are doing. Yeah. I've watched fights with him before and he's. And he, he gives a different insight than what I'm seeing. Yeah, yeah, yeah. No, he's great. Especially when it comes to wrestling clinch work and you know, and even like weird striking techniques. I mean he's just, he's so good at befuddling people that he fights with with movement and information like he's given them looks and, and they're, they're trying to set up, you know, they're standing there trying to set up and they don't know what the fuck he's doing.

Speaker 2:          00:46:07       Then they have to reset. And they try and again, then he's given them a different look and standing over here and then he's in front of with his hands down and he's not. And Yeah. Yeah. That's a trip. He's great. Just fucked up his shoulder again man. I know man. I think he, he trained so much. I feel like he just, you know, he's a snap session. Yeah, he's a savage. I mean he, he got back from knee surgery and he went so hard that he gave himself plantar fasciitis, say fucked up the bottom of his feet from running and sprinting and doing all kinds of crazy shit to get in shape. And you know, he got over that and I mean he's had so many different surgeries. Nice. Are miserable. Have you had that? No, I've never had planner. Oh Man. I had it on a tour where I would, I, I'd get these.

Speaker 2:          00:46:50       I get these weird kind of things where I have to do a certain thing before I go on stage. So one of the things I did on a tour that was, I don't know, it was about a four month tour, is run four to five miles before the show and by the, by the middle of that tour I had actually given myself a stress fracture in my foot. It was terrible. Did you run on concrete? Not a treadmill. Really? Yeah. Wow. Damn. Well sometimes. Sometimes when, when there was no treadmill, I'd just run out in the street, but I kind of get like that where I just like, I don't know, I get obsessive about stuff and I want to, I want to do it. I get to kind of throw myself all the way in. Like what kind of running shoes do you run? Do you run with house

Speaker 3:          00:47:30       running? Like honestly, on that tour sometimes I'd running vans, which is probably half of my problem, but you know, it'd be so quick like, oh I have an hour here to do this. But yeah, that wasn't fun though. It was painful.

Speaker 4:          00:47:43       Yeah. When you have overused injuries, those are some of the hardest. Especially your feet. There's some of the hardest to recover from because you have to walk. It's not like if you hurt your elbow, you could just not use it for a while and it will eventually heal up, but you need to use your feet. Yeah. Planners, a rough one, man. I know a lot of people that have got that. I've been very lucky. I came from a martial arts background, a lot of kicking and stuff like that, so my feet are pretty strong from moving, but I found that a running with minimal issues on hills that that made him even stronger. Yoga, Yoga, stronger. Like what? Those weird kind of a. What do they call vibram? Five finger shoes. I wear those and where there's another company called Vivo barefoot or wear those. I like those a little bit better for running on the hills because I'm running on a lot of rocks and shit and the vibrams they.

Speaker 4:          00:48:28       They would be great if everything was soft dirt, but I'm running on weird jagged rocks and shit and it just. It hurts your feet. You've got to be real careful where you place your feet. Yeah, but it just forces your feet to work as they're supposed to as opposed to like a big cushiony running shoe. You know, like cushiony running shoe feels good. It feels good to run on it because you get all this cushion. It's not so jarring, but your body really, really should run. I think personally, unless you're a runner, he should probably run less with a minimal issue then you should run because it's more comfortable to run with the big fat cushion. I think you ultimately give yourself probably more injuries that way. Yeah, but you can get injuries from those minimal issues too if you don't pay close attention. He tried too hard, too quick. Your foot's not conditioned for it.

Speaker 3:          00:49:18       My feet are terrible too, man. I had what was called a lis franc fracture. What have you heard of that? It's basically your, your foot breaks in half, like all your, all your tendons, your ligaments and your bones. How the fuck did you do that? So I was high as a kite and it was in Australia and I was running to the bus and I had like two huge bags that were like, probably like I probably had 40 pounds on my back and I was just trying to get to the bus to get to the next show or whatever and it was the stupidest thing ever, but it was a little like, you know, the little cracks in the sidewalk where it's up higher and I didn't see and I fell with all that weight on me and I'm in the bus and I'm starting to think, wow, this is really bad in my tour managers.

Speaker 3:          00:49:57       Like Amen. Just get the blood flow and try walking on it and I'm trying to just suck it up and I'm walking in the airport. I'm like, almost like tearing, like I'm fucking hurting so bad. I was like, man, I think I need to get an x ray or like an MRI. This isn't good. So I play like the next two shows with my other foot. I get an x ray. They said I've broken my foot and half I need surgery. So I, um, I think I ended up doing a couple of weeks of the tour, which I shouldn't have, I should have gone and that surgery, but I played it with my other foot and then I got home, I did the surgery and I was like six months on crutches and just recovering. It was terrible. Six months on crutches and then I feel like I wasn't feeling that great because I was taking so many painkillers and everything. It was slowing down the process, which I don't know if you've heard of, but that it really, like my bones became super brittle from pink from painkillers, painkillers, norcos. Yeah. Yeah. Yeah. But I would imagine the pain must've been fucking excruciating. Snapping your foot and half. Oh, it was so painful when it first happened. It's something else for pain medication after you got off of that stuff and just smoked weed. Yeah. Yeah. Is that enough? Yeah. I'm pretty good with pain.

Speaker 3:          00:51:15       It doesn't really bug me. What about edibles? Haven't really done it. You don't fuck with edibles, really? I haven't had anything for 10 years. Nothing, nothing. Zero, no alcohol, no weed? No, nothing. Damn yeah, 10 years, which was a big, well after my accident as well, I was fed, you know, four months in a hospital being fed morphine every day for four months and then being on all these bipolar meds and everything else, I honestly didn't want to put anything in my body when I got out. I didn't even take painkillers when I got home. Now. What kind of bipolar meds they put you on to it? I don't even remember. I was on like four or five. Just bipolar and they, I mean I had like, I had so many, I probably had like 12 medications I got sent home with and I did it for about a week or two and then I wouldn't see my doctor.

Speaker 3:          00:52:05       I had actually overheard one of my friends talking who was like a brother to me and I had heard him talking to someone else and he was like, Yo, like travis seems a little different, you know, it seems a little bit slow or something. And, and I had overheard him. He didn't know I overheard him, but I was these meds. I had been telling my doctor, I was like, I just don't feel like me. I feel, I don't know, I feel weird and I just don't feel like myself. So I just flushed them down the toilet one day and the next week I came back to see him and he's like, how are you doing? I said, good. I'm off all those meds you told me I'd be on for the rest of my life. They're like, oh dude, from what you've been through, like you, it's okay to be on something like that.

Speaker 3:          00:52:44       And I was like, yeah, I'm doing fine though. Like I don't need those, you know, these, I wanted to put you on a. because of the plane crash. Yeah. They like, don't shame yourself by, by giving yourself a hard time that you have to take these pills. And I said, well, you know, I honestly, I don't feel like they're doing what they're supposed to for me and actually having a negative effect on me, so I don't, I really don't want to take them. You know? They also told me I'd never run again, I'd never do this. I never do that again. So I think I just got to the point where I was like, let me see how many things I can prove otherwise that they've told me, you know, once I stopped taking the pills, Jesus. So they put you on bipolar medication because of a traumatic crash? Yeah, that seems odd to me. I mean, I'm not a doctor

Speaker 4:          00:53:26       obviously, but.

Speaker 3:          00:53:27       Well I was kinda crazy, you know, I was suicidal when I was in the hospital. Um, I was on so many drugs I couldn't even, I didn't even know my friends had passed away. I didn't even know the two pilots had passed away. I didn't remember anything. I kept thinking like everyone was in the hospital, including the two pilots, including my two best friends and am. I thought everyone was just in different rooms until about two weeks before I left. And then I went crazy. Then it was like they had a 50 1:50 cases on their hands, you know, I wasn't, I wasn't in a good place. So yeah. Then I did, I did a lot of like posttraumatic like therapy when I was in the hospital to kind of like calm things down. Um, once I got through all my surgeries and then yeah, I mean over time it was, it was cool, but it was never cool but I started to feel better, you know? Um, but yeah, I think it was cause I was so crazy at the time, but that's, it's interesting

Speaker 4:          00:54:27       that I would think that bipolar medication would be something that you would give someone who has like a, a condition that just is sort of pre predisposed to it. Yeah. I don't know anything about bipolar, but I would think that that's something that you just have to have a mental condition. I wouldn't think that it would be something that they would give you to overcome a traumatic incident.

Speaker 3:          00:54:53       Yeah, I think they were afraid I was going to be, I had like a mental condition after everything happened. You know,

Speaker 4:          00:54:58       they think like maybe because you're an artist that you're probably a little crazy anyway.

Speaker 3:          00:55:02       Possibly. Yeah. I mean I think. But I was a mess too. Like, you know, like I had done, I'd smoke so much weed, you know, every day and I'd taken so many pills and I would self medicate quite a bit that I woke up probably out of 11 and my 30 surgeries I had in the burn center, I woke up swinging on doctors so I would wake up and I would just, I'd be opened up and I would just go crazy. Jesus Christ. So trying to get off the table. Yeah, we would just try to get off the table. I don't even think I really knew what was going on. I just wasn't, they couldn't give me enough medication and knocked me out because I had been self medicating for so long and abusing meds for so long. Wow. So you would get up from anesthesia, you would just wake up in the middle of anesthesia.

Speaker 3:          00:55:49       So yeah, that was crying. That was a problem. Um, how did you clean up? Um, I think after, I think the last time I swung under a doctor, they were kinda like, you, you're not going to, you can't be here no more. And then I was like, wow, well I need x amount of more surgeries and I, I really was just in fighting demons, you know, I just figured out like my two best friends had passed away and the pilots had passed away and I was just like in an ugly place. And um, you know, my, my kids couldn't visit me because 65 percent of my body was burnt so I couldn't be around people. So I was just in it man. And then, um, and then I just, I don't know, I turned a corner and then I was like a team player and I don't think I was on as many meds. Most of my surgeries were over and just learning how to walk again. Um, being able to take a shower by myself again, all that stuff, man. I think that was just, those are the good points that helped me turn the corner and I dunno, I just had more strength, you know?

Speaker 4:          00:56:52       Yeah. So wow. So you just just turned a corner in your mind and just sort of accepted it and.

Speaker 3:          00:56:58       Yeah. Same with drugs, like I didn't ever do rehab or anything. I think it was mainly my kids and just a second life, a second chance at life was enough for me. I was like, I don't, I never want to do any of that stuff again, you know?

Speaker 4:          00:57:11       That's cool. So once you get a certain amount of distance between you and those days, does it seem like it wasn't even real? That's wasn't you doing those things?

Speaker 3:          00:57:21       Yeah. You look back and you're just like, fuck, like I still talk to those doctors to this day like Dr Grossman. He's, he's, he's so awesome. And he basically saved my life, you know? Um, but I still talked to him. He lives out here in the valley and he has Grossman burn center and I go with at Christmas and see burn burn victims that are over there in the, in the burn center and help out any way I can be. Yeah, he's great.

Speaker 4:          00:57:46       Yeah, it's really cool. Yeah. Um, many of my friends that I know that I had real bad drug problems and then now are off drugs. They look back and go, what the fuck was I doing? Like how did I do? How was that me? Yeah. It's interesting how that happens in your life, who you have these new chapters in your life and in. Sometimes it could just be something that happened like two weeks ago and you're like, who the fuck was that guy two weeks ago? I'm not even here anymore. You know, like you get sometimes people make these abrupt turns and their life and then they go, yeah, I'm never going back. And you go, well we'll see. And then you look 10 years later, like, wow, you were right. You never went back. Yeah.

Speaker 3:          00:58:26       Yeah. And I think like, I still have. Have you ever heard of what's called like user dreams? No. Where like, I think I fucked up and I was smoking weed again and I wake up and I'm like, oh my God, how am I going to stop? Because I love, I love smoking so much. You know, or whatever your vice was, you know, if it was like whatever was just like, you wake up and you think you're doing it again. And then you realize nom I'm all good. I used to have dreams like that where I had to go back to high school. Really? I used to have dreams for years. Man, you hate high school too. I don't think anyone likes it unless you're like, you know, soon to be a professor. Fucking doctors.

Speaker 4:          00:59:02       Well I just had no idea what I wanted to do for a living and I was just like, being trapped in a classroom constantly was excruciating. I must have had. I mean I probably do have some crazy form of add. I don't know. I've never been diagnosed that been to a shrink. But if I did I, I mean I'm sure they'd probably try to put me on if I tried to tell them what's going on in my head all the time, they'd be like, Jesus, sit down, hold on. I take these, take these. Whatever you do is bad. But when I was in high school, I fucking hated it and I barely got by. And then when I got out of high school, I would have these dreams where I'd wake up in the middle of the night and I didn't have enough credits to graduate and have to go back. Then it was sitting there in my bed before I woke up trying to decide whether or not I was just going to fucking drop out and not graduate from high school, not have a high school diploma or go back and do another fucking year of hell. And it was my, my guts would turn and I'd wake up and Oh my God, I graduated. I graduated.

Speaker 3:          01:00:01       Yeah. Yeah. It was the worst. I was the same way, man. I just like, just barely got by high school. Did you go to school out here? Well I grew up in like Fontana, Riverside, yet Kentucky. Shout out to double dose. More tie out there. So people like to fight in Fontana. People like to fight everywhere now they're fighting every or play football in Fontana. Yeah. Yep. But uh, yeah, it was the same way. Just just skated by high school. And then I remember I didn't even want to walk. I fucking hated it so much. I actually rode my skateboard with my friends that were like much older than me. Daddy go skateboarding with every day and we were skateboarding by the high school is everyone walked and got their diploma. Just. Did you get your diploma? That? Yeah, they sent it to me, but I didn't want to fucking be there.

Speaker 4:          01:00:53       Go to my graduation. I'm like, I'm gone. This is. Once I got through it, I'm like, you don't have me anymore. I can be free. It took me a while to figure out what the fuck to do next.

Speaker 3:          01:01:04       Yeah. I would sit there and they will be like, so what do you want to do? Like counselors? And I was like, I just want to play drums in a band really? And they'd be like, well that's not an option. Are you going to talk to me? Like I was like, just insane. Isn't that crazy?

Speaker 4:          01:01:19       There's so many bands and there's so many drummers. Why is that not an option?

Speaker 3:          01:01:23       Yeah. Why is that not an option? It'd be better if they just said, well, you know, like I don't know if they motivated you to actually do what you're passionate about instead of just being, well, well that's not gonna happen, so what do you want to do?

Speaker 4:          01:01:35       Fucking people that probably wanted to be drummers and just never got a push and never, never, never made it through. But then there's the other argument that if you really want it, you'll find a.

Speaker 3:          01:01:47       yeah, you got to do it. I mean, my dad used to tell me the same thing. He'd be like, you gotta have a plan B, and I'd be like, well, if I have a plan B, I'm not going to try that hard. Yeah. I started thinking in my head and then that's when I just said, Nah, fuck that. I'm, it's only this, no matter if I'm rich or poor, whatever, whatever the circumstances, this is what I'm doing. Like I don't give a fuck what the outcome is.

Speaker 4:          01:02:14       I think that's the right mindset. I don't think people get by that. When I was just starting to do standup, there was a lot of guys who had full time jobs and they got degrees and you know, they would work their full time job and then they would just do standup at a couple of nights a week. They never made it. It was the obsessed guys and women, the people that were just like, I, this is my fucking life. This is what I do. I'm going to do this. Those are the ones that do it, that no safety net people and the ones that made it.

Speaker 3:          01:02:43       Yeah, I mean it's going to fucking happen. You just have to. You have to stick with it. I feel like the people who really stick with it and give it like 110 percent, your time will come. It will, however big or small it is, something will happen, you know?

Speaker 4:          01:02:58       Yeah, yeah. If you figure it out and keep improving and keep learning and learn from your mistakes and learn from your setbacks and keep trying to push and get better and improve. If you do all those things is as hopeless and helpless as it seems. If you continue to improve, you've got to get to a better place, you got to get better and one day you'll be undeniable. And if you don't, and if you just fall back on that safety net, you're always gonna wonder. You're always going to look at Travis Barker going fucking hand on the drums going, shit. That could have been me,

Speaker 3:          01:03:31       dude. I almost did it. I actually, at one point in my pops, my pops is awesome. But um, he's a Vietnam vet and wrote him a Harley his whole life and he just basically said to me, he's like, Yo, you gotta eat, they gotta start paying rent at the house because, you know, you're not in high school anymore or a and get like a 60 hour a week job, like a real job or you need to go, you know, go fucking play drums but you're not going to do it here in my garage. So I was like, okay. And it was probably the best thing that was ever said to me, you know, as harsh as it was or whatever. And then I had actually caved in and I just told my, my friend Nola was like, you know what, I think I'm just gonna I'm going to get this fucking job because I just somehow got a job that made, you know, in a warehouse it was like target warehouse making pretty good money compared to what I was making at the time.

Speaker 3:          01:04:17       And um, and he hit me the next day and he's like, I think you're making a big mistake. I think you're very fucking talented and I think you'll regret this and you can get this bullshit job any anytime down the line, come live with me, you know, stay at my house. You could sleep on the floor, the couch and let's play in this fucking band and do it. And I did it, you know, I was like a trash man in Laguna beach. Lived in like this studio apartment with a couple of the guys and just fucking took off. Like I had to like, I mean it was like humility too, you know, that was like playing bar after bar and you know, you know, but I was eating, I was eating, I was, you know, I was skateboarding every day and I was living at the beach, playing in a band with my friend. So for me I had already made it. Those are the best stories, the best stories. And I think back even to this day, I go to Laguna sometimes I'm like, wow, that was kind of one of the best moments of my life besides my children being born like poor, no money but like happy as fuck, like can't even think of another time. I was that happy you. Yeah. Cool.

Speaker 4:          01:05:18       Well the only pressure is the pressure of trying to succeed. There's not the pressure of already succeeding and the overwhelming pressure that you must experience now. Yeah.

Speaker 3:          01:05:29       Those are great stories, man. The stories of like where you didn't know if it was going to work. Yeah. You figured it out. I'm clue

Speaker 4:          01:05:36       those stories right now. Some kids are listening to those stories right now. Listening to you say this and they're like, fuck man, I'm going to do it. I'm going to go for it. Like who knows how many rock stars you're making right now just saying this.

Speaker 3:          01:05:48       Yeah. Because a lot of them are teeter tottering. Yeah. I'm not going to do it. Am I not going to do it even though, I mean I was at the time now and you just have to, you know, don't worry about being cool or being fucking rich or having money. Just be passionate about what you're passionate about and fucking dedicated 100 percent, you know?

Speaker 4:          01:06:05       Yeah. There's those moments, man, when you first starting out anything where it's not sure, it's not a, it's not a definite thing. You were in this weird limbo space like, man, am I going to be a loser my whole life? Like what's going to happen to me and those moments, man, when you look back and you realize you could acquit, but you kept going, you figured it out, you sucked it up. You worked your way through it, you improved. He kept moving. Yep. Yeah. That's life, man. That's what defines you, ma'am. Yeah, it really does. I just love those fucking stories. I can never get enough of them and the dirty, grimy and then finally make it story fast.

Speaker 3:          01:06:48       Did you run out of space to Tattoo? I'm going to tell you right now, I'm actually getting tattoos on top of the tattoos. That's outrageous. I just got this lj for xxx.

Speaker 4:          01:06:58       I'm going to get working on some new ones. Have decided just to go back in

Speaker 3:          01:07:03       it Kinda like remix in them at this point, you know, like getting tattoos, tattoos. Have you ever gotten lasered? Yeah, once I had like a new wife and I divorced my ex wife and she wasn't really stoked on the ex wife's name on me. Yeah, this sounds like a problem. So I lasered it because it was right on my neck and she always had to see it, but that's the only time I've ever done it. I, there's nothing on me. I really want to get rid of her. I'm like, oh that. It's all a story. To me. It all tells a story. It's like a moment in time and I got it for a reason, but I was trying to be cool and you know what I mean? Trying to be respectful and make her happy at the time. That makes sense. Yeah. I mean it was amazing.

Speaker 3:          01:07:40       She hung in there all the way to being married with another chick's name on your neck. Yeah, that's true woman. True. But in that regard. Yeah. Yeah. But yeah, I love tattoos, man. They're addicting because I love them too. Once I figured out they didn't hurt at the age of 15, it was on. I didn't know. Like people tell you, they're like, oh, it's so painful. And then you get when you're like, wait a minute, it's not so bad. This is like, it's Kinda like a, a slight burn. Yeah. It's like kind of therapeutic to bed. I fell asleep. I was getting same. Same when I did my back piece, I fell asleep and I had two artists working on me at the same time. Oh Wow. Just because I fucking hate wasting time. So they. Yeah, they did my back together. They did my head together to either heads.

Speaker 3:          01:08:29       Impressive. Let me see the head. Let me see what that looks like. When did you get that done? I did my head like, I don't know, six years ago. Wow. Yeah. Yeah. I started. I had like a piece on the side of my that Mr. Cartoon did back back in the day. I love that guys work. Yeah. Cartoon is such, he's amazing legend. He's got great shit. He's, he is a legend. He's a legend. Even outside of tattooing, like lowrider culture. He's, he's one of the illest. But um, yeah, he, he did that and then that kind of set it off. I always had like praying hands on the side of my head and then I shaved my head and I've never grown my hair out since because I'm like, fuck it. It's permanent haircut. No, but what is up there? It's hard to see what the shine I have like Virgin Mary, right?

Speaker 3:          01:09:16       Oh Wow. Um, I think I have like a rose. You think a lot of tattoos on my head. I have like a transplant gas masks on the back of my head. I have one life, one chance. Um, yeah. And then like some writing. Wow. Now when you got burned, did it affect your tattoos? Did you have to tattoo over it? Yeah. So I lost. I lost all of my tattoos on my legs. Wow. Yes. I lost, I lost my first tattoo ever, which was a dag nasty. Tattoos is hardcore band punk band that I loved forever in a bones tattoo, which was my nickname growing up. Um, but I lost everything on my legs. So then they do like, they do what's called that grafting. So they. Oh. And I lost some tattoos from my back so they take, it's like a cheese grater and they grade all of your skin off your back and my thighs and then they staple it to you with pig cadaver and they will wait for, uh, for you to start healing.

Speaker 3:          01:10:17       Um, so yeah. So I lost a lot of tattoos and then I, I did like on my thighs. You can't really see. I did, I did memorials for, for though Chris Chain, a Dj am who, uh, who all passed away in the accident. So I put them on my legs over the graph so you can't really see it. But yeah, I mean I got out pretty well man. Like I mean you can kind of see it on my hand, my hand. You can see it's discolored and stuff. But for having almost 70 percent of my body burnt, like you can't really tell. That's amazing. Yeah. Really tell it all because you're so tattooed up that up. The pain of healing burns is supposed to be excruciating. It's the fucking worst thing ever. Well for, for me to. I mean, I don't think you guys ever think about being burnt.

Speaker 3:          01:11:02       I know I didn't. I would just be like, I don't know, I just never think about fire until you're on fire. And then you're like, oh shit. And then. And then the, you know, the treatments afterwards to like do everything, you know, like, like they would put me in this big pan that was literally about as big as this table with different people all around you. And they would scrape all my brain with a metal brush to get rid of all the infection because I had, I basically when I, when I jumped through the emergency exit, when I open the emergency exit, before the plane blew up, I was in such a hurry to get out of the plane and exit the plane. I jumped right into the jet, which is full of fuel. So my whole body lit up, you know, so I had jet fuel just in my whole body, like I burped jet fuel for almost three months.

Speaker 3:          01:11:56       So they had like that was the main thing to get rid of the infection is they scrub you with a metal brush to get rid of all of it and all of the dead skin. And then. And then I did about 30 surgeries to repair everything, like skin graft surgeries. They saved my foot because at one point they were going to amputate my right foot. Yeah. It was wild. I would picture strategy burnt that they have to amputate my right foot. Almost didn't make it. Was it because of the way it was, was it was necrosis or like what was going on that they were going to amputate it? I think because that was the thing that was most soaked was, was my shoes and socks. I jumped into the jets, you know, and I had done, I had exited the plane, I started running, I started like ripping off my clothes, just that's what my instinct told me.

Speaker 3:          01:12:44       Just get rid of everything. But little did I know I would still be on fire because the jet fuel was soaked in it. So I'm actually running towards a highway highways right on the side of me and I just hear some guy yelled, like, stop, drop and roll. And it just like I heard it out of all this chaos of every sirens and everything and I stopped dropping enrolled. And the only thing that was still on fire was my feet in, am came in, um, patted them out. So I think they were on fire the longest two. So still like my, I think my right foot is probably like over 50 percent of it's a graft. Wow. Yeah, it's wild, but um, yeah, that was like, I never, like I said, I never even thought about. It's not something you think about until it happens to you, but being burnt is like, uh, it's, it's horrific.

Speaker 3:          01:13:32       You know. Were you affected by the recent fires out here? It came about a couple hundred yards from one of my houses. Oh Wow. But I was in Vegas. I was actually playing a show. We left that morning and then we got phone calls saying you got to evacuate, but we were already gone with you. Thank God. Yeah. Had the kids, my dogs with me. Um, my, my housekeeper was at the house so she was able to get the rest of our dogs out and um, yeah, we were, as long as I had them there with me and I was like, everything else is replaceable. It's whatever. Um, but yeah, that was sketchy. I mean, you saw, obviously you live very close to it. Yeah, we got evacuated. Um, while we ourselves,

Speaker 4:          01:14:12       before they had a mandatory at two in the morning, I came back from the comedy store. My wife and I were looking out the window in the flames are coming over the hill and I said, no one's going to save us. Here I go, we have to figure out what the fuck we're going to do. And she's like, I think we should go. And I said, alright, I think you're right. And we just got a hotel room and we just bailed and I just grabbed. I literally grabbed my laptop and I think that's it. Some, some clothes and then the kids were a little freaked out. But I said, look, we'll just look. We're here. We're all right. Like we could buy more shit. Like the dog's fine. We're fine. That's how I was too. I was like, let it burn. Yeah. You know, I don't want it to burn obviously, but rather than you being hurt, like, fuck man, this is, this is. It's an inconvenience when when you're, when you lose your house, it's a horrific tragedy when you lose your life, you know, we're not, we're going to get the fuck outta here. And so they were freaked out. But within a day or two, I mean we stayed in a hotel for a week, but within a day or two they were. They were cool. We were laughing about it.

Speaker 3:          01:15:13       Same. We did the same thing that came, came home but did not really home at a hotel for a week. But yeah, you felt kind of helpless, like you couldn't do much, you know, it's not like I could sit there and and put out the fire myself, you know, they wouldn't even let us in our community.

