Speaker 1:          00:09          Thank you very much. Thank
Speaker 2:          44:32          and Sophie fluence when they were under, um, the ultimate, uh, occupation and basically, yeah. Okay. So actually, I mean, just as, um, just as for a while, Islam philosophy and Islamic world is just part of Indian philosophy because the moment, I mean the mogul empire is Indian. So the Ottoman Empire to a larger extent is African. I mean, not to a larger time that part of its African. Right. And some of, and I mentioned at least one thinker who is from Africa named Nicole doing, uh, so you have, so often people talk about the mud, the Malcolm hub, the western Islamic world, which for a while of course included Spain. And you can think about Islamic Spain, northern Africa, all the way over to Cairo, to Egypt as a cultural unit, which is the western analog to the Islamic heartlands in basically Iraq and Iran. And then if further into Central Asia.

Speaker 2:          45:30          Okay. So, um, on the one hand, uh, so okay, that's true for the Islamic world, but also if you think about late antiquity, the Roman Empire to a larger extent is north African, right? So one by the way, one of my favorite tips to give people is if you're ever playing 20 questions, you know this game where you think of someone, they have to, right? So usually people will try to narrow down who you're thinking of it by finding out where they're from, right? Picked Saint Augustan because Saint Augustan is from northern Africa, right? If he's from Tunisia and no one will ever get that. So if they think, okay, I'm trying to think of an African person, they'll ever come up with Saint Augustan. Uh, of course now that we videoed this and put it on the Internet, it's not nearly as good at Typ, but, okay. So, so, um, and then you just mentioned the library of Alexandria.

Speaker 2:          46:24          So that Alexandria is really the last phase of philosophy muse in late antiquity. And when these guys translated Greek philosophy into Arabic, they aren't only translating things like Aristotle, they're translating the commentaries written on our subtle in Alexandria. So actually both in late antiquity, in the, in the period of the Roman Empire. And then also during the Islamic empire is you have northern Africa completely involved culturally. And so it's actually not, it's very unhelpful here to think as we normally do about Europe because actually what you've got is a Mediterranean sphere, which includes the Byzantine Empire in that period as well until it falls to the Ottomans. And then you've got another sphere, which is the Islamic East, which actually is where most of the action is. It philosophically, but not all of the action. Um, so, uh, really north African philosophy is constantly involved in, in, in fact, one of the, one of the things I've been talking to with my future coauthor she k about is how do we deal with the fact that I already covered a bunch of African philosophy because we're going to start by talking about ancient Egypt's, but I actually already covered a bunch of African philosophers like these Alexandria and commentators and Augustan.

Speaker 2:          47:42          So we're just going to kind of mention that and say, go listen to the old episode if you want to know about that and then move on. But you're right that, that's completely integrated into everything that I was just saying. Really.

Speaker 3:          47:59          So what are the different motives that actually drove these philosophers to actually go about their work? So for example, you mentioned some doing it for purpose of debating religion, say yeah. Um, whereas others may do it just purely academically as it were. Yeah.

Speaker 2:          48:19          Yeah. So of course that varies from thinker to thinker. Uh, one thing that seems to have happened, uh, in both the Latin, medieval and medieval Islamic worlds, is that you get a kind of person who considers himself, and it's always a him to be a kind of professional philosopher. So in a Latin medieval context, it's not these theologians I've mentioned, there was a theology of faculty. There's also something called the arts faculty where they taught students logic. Um, and by the way, that just interesting fact, the students are teenagers. The medieval universities student would have been starting off at 13 or 14 and they would be taught Aristotelian logic and then they would move up and maybe become a master at the university, either of arts or theology. And these arts guys, we're not theologians. And we're very clear that that's not what they were doing.

Speaker 2:          49:10          So for example, there's a 14th century philosopher named John Burden who just says, well, I'm an arts master. I do logic and physics. I do Aristotle, I'm a specialist in Aristotle, and this theology stuff is sort of above my pay grade. Right? And you've had the same kind of thing going on in the Islamic world. So, especially someone like [inaudible], he, he was actually a Muslim jurists as well. But in his philosophical works, he very explicitly presents himself as an, as an expert on Aristotle who's explaining, so it's like his, his intellectual mission is to recover and explain the teachings of Aristotle because he just thinks Aristotle's the greatest thinker has ever lived. And then he, when he comes to think about how that relates to the Koran, he says, philosophers are the people in the best position to interpret the Quran because they already know what's true because they have proofs and everyone else is just kind of lost in the dark.

Speaker 2:          50:06          And they can, and they should follow the surface meaning of the Quran, but they shouldn't really try to interpret it because they'll just come up with all kinds of wacky ideas, whereas philosophers is actually know the truth. And so they can sort of explain how the Quran, it's expressing something they already know to be true. So that's a very radical rationalist projects. And it's unusual. Most philosophers have a much more nuanced view about the relationship between philosophy and their Abrahamic faith, whichever of the three that it is. And they may or may not admit that there are certain things you can know through revelation that he wouldn't be able to know through reason. Um, but generally speaking, uh, this may surprise you. The philosophers and the Islamic world in all three faiths tend to be more rationalist than the ones in medieval Europe. So you get very, you very commonly got the idea that you wind up with the same truth through revelation or reason and they kind of agree and there wasn't really much that revelation will tell you that you wouldn't already have known through philosophy. I mean maybe like how many times a day you should pray or something, you wouldn't be able to figure that out, but that God exists what God is like, what his relationship to the universe is like, what our soul is like, what virtue is Dah, Dah, Dah, Dah, Dah. This is all something they think they can get through the Greek inspired philosophical sources.

Speaker 4:          51:29          Yup. Well with it.

Speaker 5:          51:37          Hm. I'm wondering if there are any, um, Islamic world based researchers, philosophers that are writing about the history of philosophy in Islamic world, because if you consider yourself slightly western, are there any biases that you think you might have?

Speaker 2:          51:54          No doubt. Yeah. Um, yes, definitely. And in fact, one of the things, so actually if we go back to my list, um, this guy, the fifth one on the list and Melissa data is still seen in Iran as a very major thinker who's, uh, continues to be studied seriously, not as a kind of historical figure, but as a serious source of philosophical inspiration in Iran, not so much in other parts of the Islamic world. Um, I mean, the situation in the Islamic world is very complicated as you might imagine. There's a lot of different cultures and countries with different university systems and so on. Um, but certainly there are many universities and the Islamic world where they teach column and philosophy and maybe as two separate disciplines. Um, and they do do a history of philosophy. However, they all, of course, they're also very interested in European philosophy.

Speaker 2:          52:50          So one of the things that has happened since the late 19th century is that European ideas, philosophical as well as scientific ideas obviously have been. Um, I mean actually there's kind of permanent engagements between the Islamic world and European thought, but, but specifically European philosophy. Like Satan, Marxism for example, has played a major role in generating many of the political movements in the, that we've seen in the Islamic world over the last century, century and a half. And that continues to be the case. So historians of philosophy there obviously pay more attention to the history of Islamic philosophy than we do, but they pay a lot of attention to the history of European philosophy as well. Um, something I'm not so sure about is whether you'd find very many people there who say, Oh, I'm just a historian, which is kind of my, anyway, that's my bias is this sort of pretense of neutrality and like I'm a blank and I'm just telling you what they thoughts and I have no presuppositions or philosophical bias.

Speaker 2:          53:54          He's of my own, which of course can't be true, but sort of by definition I can't tell you about the biases I have, I'm not aware of. So what I'm trying to do is be a kind of neutral. I'm completely open minded interpreter who is interested in everything and just wants to explain it in as clear a way as possible. That's my goal. Um, but obviously I w I admit that I can't possibly be attaining that, but that's what I'm striving to do. And I'm not sure you'd find too many thinkers actually here or there who have that sort of purely historical approach. I mean, most historians of philosophy wouldn't, wouldn't readily admit to that in Europe either. So it's kind of an unusual stance. We are unfortunately out of time. Thank you very much. Thanks for coming.
