Speaker 1:          00:00:06       We're meeting
Speaker 2:          00:49:13       Toilet. The whole Purgatorio is literally a journey of what we were looking back and forth between the future and the past and the future and the past, her rivaling with each other for the control of the mind of the pilgrim. Let's see how this is going to be, uh, developed. Uh, and I hope I have time to, um, uh, go give you time for, for, for questions because I, I'm, I'm really, I realize I'm saying a lot of things in there. A lot of things. I am not even saying the poem, The candle shifts from this grand historical concerns, this reflections on how the pagan world experiences beginnings and new departures only with an ideology of freedom and this idea, biblical idea of, of a new beginning, which is really a break with slavery, a break and, uh, the, uh, the retrieval of the idea of, of, uh, of freedom in a general one historical way.

Speaker 2:          00:50:22       Now it shifts the narrative shifts and the, it's, it's whole internalize the pilgrim moves within himself. And the first statement is that he does not know where he is. And that's an emphasis. This was a way of alluding to this exhibit exhibit predicament he has. He literally has, he does not know where to go. He already had indicated that his state of mind was as that that have one who with the mind keeps going toward some place but with a body his kept behind you remember that line which, which clearly dramatizes the split with a kind of inner self dislocation for the pilgrim and now he just is no meeting this penitent so souls who are as lost as he is, uh, about the place and they all ask him for directions which, which, which were they are singing in exit with there in that desert, the desert to be in the desert.

Speaker 2:          00:51:23       Where is the desert? This is where one is the desert. If you don't know which way to go, the desert is the unmapped space between Egypt typological speaking and Jerusalem. It's some space in between. I have no roots. You have no paths, there are no carvings and markers left for you. And so they ask him, you can you are lions sips and foreign if you know, show us the way to go up the mountain and virtual answered. You think perhaps we are acquainted with this praises but we are strangers. That's what it means to be an exile and that's what it means to write this poetry of exile. That Dante, we'll right this a pull, that Oreo is the place of the desert. There's a spirituality even of the desert and certainly the statement of the exit condition. We really don't belong here. We're always displaced and going somewhere else and the end up at the basis of the Dantes or religious longing there is the sense of displacement.

Speaker 2:          00:52:27       There is a sense of where we are somehow out of that our hearts are out of where they should be. We came but now we're a little while before you buy another road, which was so rough and hard that another client would seem to us as a pastime. The souls who had perceived from my breeding that was still in life turn Pale with wonder and this to a messenger who bears and olive branch that people crowd to hear the news and no one, he's a crush. So every one of his fortunate souls fixed his eyes on my face as if forgetting to go and make themselves fair. Now he then becomes the object of temptation for the penitent souls. They should be going somewhere. They should be going up the mountain and yet they stop where they are. So another, another way of thinking about forgetfulness and, and the sense of, uh, of, of uh, of a name of a place to, to reach.

Speaker 2:          00:53:24       Let's see how this is developed. I saw one of them come forward. There's so many, so much affection to embrace me that it moved me to do the same or empathy shades except in sandbars three times a clasp. My hands behind them and there's often brought them back to my breasts. Wonder, I think it was painted in my looks at which the shade smiled in Lubeck and I follow him, pressed forward gently. He obeyed miss then. Then I knew who it was and begged me that he would stay a little and talk with me. This little detail of the embrace, the field embrace is one of the three failed in braces and way of acknowledging for the pilgrim. And NASA had knowledge that the really the soles, you have no substance reality that we can grasp. Okay. Um, this is the first and there will be two more that I will talk about as we proceed.

Speaker 2:          00:54:14       He answered even as I love the my mortal flesh. So do I love the, uh, fried, therefore a stay? But thou, why are thou on this journey? Micah Sela Dante meets a friend of his youth and musician and musician who probably had even said to use it, not his own poetry, men from Sienna, clearly his died. So it's, it's uh, uh, to relieve the hardship of the journey as this is a parent. An exist are more a moment of indulgence, a way of a meeting with a friend, a little pastoral interlude if you wish, uh, to break up the, uh, the hardness of the desert and the implications of, of that metaphor. The world of, not the quest, but now the pause, the pause of, of refraction, the paws of relief, the aesthetic relief that this can give him my cassela to return at a time.

Speaker 2:          00:55:18       But why are you, uh, or take this road? But from the how has so much time being taken and he said, no wrongest than me. Uh, et cetera. He explains how he got here and die. If a new law does not take from the memory or practice of the songs of love, which used to quiet, oh my longings. They said that this clearly is a reflection on the power of aesthetics and on the limits of aesthetics made. Please do refresh my soul with them for awhile, which is so spent coming here with my body. And so Casella starts singing a song, which is a poem that Dante himself wrote and now he sets it in music as he probably may have done in this life. Love that this course is to me, my mind, he began then. So sweetly, the sweetness sounds within me stale and his sweetness is to be understood as the attribute of musical harmony.

Speaker 2:          00:56:19       I know the sweetness and I indicated this when talking about the, the is, it's always the language job of, of the Palette and, and, uh, the savoring a certain savoring that goes on with the gluttons here. It's really a musical attributes. This, the quality of the sound. Uh, and, uh, my master denying these people who were with him seemed to sec, it's contentious. If nothing else touch the mind of any, we're all wrapped into attentive to his notes. When low Cato, the venerable old man crying. What is this laggard spirits? What negligence, what the glaze, this haste to the mountain to strip you of the slough that allows God to manifest to you. Uh, okay. So here is an aesthetic, the, the uh, an anesthetic enclosure. Uh, the port listens to his own song with a little touch of narcissistic amputation there. His cassela is playing up to him, reassuring him, giving him a sense, this is you and I know who you are.

Speaker 2:          00:57:25       And they're all wrapped and they forget about the ascent. And then of course, Keto comes the ethical voice, the voice of the law. So you may have a kind of, you may even want to write about this scene as a sort of conflict between aesthetics and ethics. How are they working against each other? But one thing is clear here that Dante is forgetful of the real lesson that he had learned in the encounter with Keto. It just happened that Keto himself, therefore he intervenes. And His anger is, it's the anger of the teachers. But I just explained to you what the problems are. Cato, Virgil had approached Cato hope and had hoped that Keto could be swayed by the memory of the past in Cato had rejected the power of that memory. He of the, the affection or even in the pleasure of that memory.

Speaker 2:          00:58:22       Dante comes in Cantu too, and he's involved in, let's call it even an idolatrous moment, the moment where he just witnesses some things that he has been making, uh, that he has built, he has composed, is taken in by it, but essentially it that has the power to distract him from his own ascent. He has forgotten the reasons why he is here in purgatory. And so the whole program story begins with the s the explicit statement about the importance of new beginnings, new departures, the recognition that everything new and the future can only come out of some sense of the past. And then the discovery that the past can interfere, can intrude. And therefore the steady process of a continuous quest that continuous rethinking a opens up in front of the pilgrim and in front of us. Um, and the, the interesting thing and the, and he had, I stopped, Keto uses one word.

Speaker 2:          00:59:25       What kind of negligence is this? And you know what the word means? Negligence. We're all negligent. But what are we, when we are negligence, what does, what does the word called pain? Since they were talking about beginnings with pollution, but at the model j, which is the language of beginnings, negligence means not to choose what Keto is. Reproaching Dante and his guide and all the other souls is reproaching the power of poetry to produce this atmosphere of non choice. Ah, and obliquely that's then what his ethics is that we always engaged in an act of choice. He speaks from the perspective of freedom, which literature or the [inaudible] has the power to tame and somehow for a moment at least here neutralize. So you see the extraordinary degree of self reflection and self reflection as it from all points of view. And let me stop and see if there are questions and the hope to be able to answer some of this. Uh, um, elements in the introduction of prudent pouring.

Speaker 3:          01:00:47       Yes. He talks about leaving behind her so clueless. And they struck me about the arc of his intellect leaving

Speaker 2:          01:00:58       the barcode was with, it's called in English. Yes.

Speaker 3:          01:01:01       Is um, is that also a reference to past poetry tradition besides, I mean I read it as sort of, um, he's looking behind me right now. Yes. It is. It also reference to how he's leaving behind and excelling past, uh, past epic tradition.

Speaker 2:          01:01:21       The question is the metaphor, the beginning of Purgatorio when the, the, the poet, so he's leaving behind a such a cruel sea. Uh, the crew seems to be in this, actually we can agree easily add reference to two in fair. No. But then the question is, can it be also reference to pass epic, uh, uh, traditions? Uh, it could be, but you would have to be a little bit more specific about what you mean. The all this, say for instance, or the Aeneid, uh, journeys by see Dan pays the divine comedy is constantly imbricated with his other, um, poems. Uh, and in fact, uh, the great poem that he recalls a pass epic traditional is Luken. Uh, and he chooses Luca because Luca is, so I'm coming back to your car, your, your question and tried to, tried to welcome it and say that indeed the it, it's possible, but I have to explain why I think it's possible.

Speaker 2:          01:02:22       The Lukens Pharsalia is a unique text epic and the epic solution because it deliberately places itself as a historical or historical work that polemic of [inaudible] toward Virgil is that Virgil sure. He had been talking with was talking about the foundation of Rome. And for the Roman, there's nothing more historical than that. As you'll know, the Romans had the peace holds a practical people that will count. We'll, we'll, we'll, we'll calculate history from the foundation of the city. They never a scheme about the garden of Eden or be the host that's rioting about, uh, uh, unknown events in the past or whatever. Uh, the Roman starts with the foundation of the city, live it there. So, uh, Virgil writes about the origin of Rome in front of the point of view. He a historical author, but he, he mixes his historical accounts. It's so much mythmaking that Luken rejects the form of poetry.

Speaker 2:          01:03:25       And he writes in epic about the civil war. Luken, uh, writes about Caesar and Pompey, which clearly is a boy of other braiding and other more pressing civil war that between Anthony and Augustus and, um, and, and, and, and, and, and alluding to the one between Sula and Mario's, the whole sequels, civil wars that had punctuated and given it's, uh, uh, it's, it's, it's the quality and the, the, the, the, the distinctiveness of, of Roman Roman history. So, uh, in a way I would say that Dante is rejecting a certain type of a epic poetry, uh, that deals with, uh, some kind of generalized, a metaphorical account though. For instance, he's, he's, he's going to be Jason. He's going to be a knee as I'll give to keep her in mind. It would be a turn to, uh, at least in Canton one a turn to the historical world.

Speaker 2:          01:04:23       And we've making poor gatory part of history because that's really the secret or purgatory. Purgatory began by saying it's part of human geography, you remember, but not all of human history. Dante wants to make it part of human history. We really can go back to the garden of Eden if not directly through some reconstruction and shadowy, um, re figuration something that looks like there will be of the garden of Eden or something like that. Not really utopia about something can approach the older of the garden of Eden. I must have confused you with this, this answer and if so good. Thank you. Well of course not, but I think that I was going five different directions that, and I apologize if I did. Yes, journey

Speaker 4:          01:05:19       poetry has the power you want to, you can work your way to clarity through the beauty of the poetry. And then you were just talking about though, how aesthetics can get in the way and how you can have a neutralizing effect. And could you just talk a little bit more about the tension there? Like what do you think to the common rule which you should be able to let you act towards the action and then they'll still neutral?

Speaker 2:          01:05:39       Yes. Great question. The question is that I begin by talking today about, uh, the journey of poetry and really ended with the idea of the danger of poetry that are that aesthetics of confrontation that are the pure that the poet Dante has with a poetry of his own youth. Ah, so what gives about this tension? Since I'm talking about a tension between two modes of poetry, I claim on the one hand that poetry is for Dante, the way of knowing. And then he has seems to get in the way a scandal. It's a scandal. It really stomach makes us, makes him stumble. Uh, so what is this a, the connection between these two, these two forms? Yeah, that is, that is a really great question. I think that Dante understands that. Uh, first of all, let me just give him a great deal of credit.

Speaker 2:          01:06:34       By the time Dante writes, poetry was still by and large a little game that the province are poets were playing in the codes of pro Vance and northern Italy where little games about secret love stories, little games about hunting, et Cetera, or the great poems of the so called goal yards. The gluttonous one said the belly worship, Dante comes along and says, no, this vernacular poetry can really become the medium for knowing everything up. Everything that we can humanly can about ourselves, about God, and about all the things that we can, we believe in and the things that we would like to believe in, all the hopes and defeats that we have. So that's a great idea of what it means. And so it's from his point of view down to engage his poetry within the circle of knowledge of what I call the encyclopedic commpass of knowledge.

Speaker 2:          01:07:34       So he involves all the sciences, but at the same time that you asked me to think about that day, electric one is not conceivable without the other. In order to really know, the first thing that poacher has to do is show that it knows itself usually the way, the reason my poetry is it's treated as a, as a lonely art. You know that the, because this meretricious it doesn't sa it gives itself to everybody. Uh, I'm saying all of this builds the scene of canto to really recall a great scene. We haven't got time to go into that in recourse, in other grades in. And I think that Dante's really rethinking the famous opening scene of fuse, the consolation of philosophy, which I don't know if you have read, but I have mentioned it, but you will, you look like someone who would go to the library now and pick up the beer. It's, it's really, it's really a book. It's a no, I'm serious. It's really a book where the philosopher is sick

Speaker 3:          01:08:30       in bed.

Speaker 2:          01:08:32       He is, he does not know his disease and other to find comfort, he picks up a book of poetry. The musers go to him. What's up a book of poetry, which probably is what most people will do with the got the flu. It's time to read good poetry, right? And then all of a sudden lady philosophy your peers.

Speaker 3:          01:08:52       Yeah.

Speaker 2:          01:08:52       And banishes this musers get the hands, you hollered, he calls them of the theater because you don't give any real remedy. You just only provide provisional solace. So what [inaudible] is doing is, so the whole [inaudible] philosophy is really better than than poetry. Hey, way of recasting the old platonic oral as, as we know from even the republic, right between the debate between poetry and and and, and, and the, and philosophy. What Dante's doing this, no, no. Poetry may have this dangerous temptations, impossibilities. But that's what makes it part of its own self knowledge. I want to, I can not guarantee or promise that poetry will lead you to knowledge unless I show that the medium that I use knows itself. It knows its whole own temptations. It's known, it knows its home meretricious possibilities. You see what I'm saying? It always a comp one. It says, would you want me to highlight the reasons of that day elected that tension and that the only answer I can give is that one flanks, the other constantly. So the voice of Cato and the voice of Casella there at the same time, they belong necessarily belong together in, uh, the, the unfolding and the articulation of Dante's old Nah voice. This is, you know, you cannot expect to have one a while then. If this is really dangerous, can I have something else? No, no. It's not either or. It's both end the either or the ethical or the aesthetic and the ethical, uh, as if they were to a post forms just will not.

Speaker 3:          01:10:34       Okay.

Speaker 2:          01:10:39       Other questions? I wish you had another hour here so that I could really talk about some of these details, uh, in the, in the, in the beginning of the poem. Well, since I hear none, no other questions. Thank you. See your next start.
