Speaker 1:          00:00:00       [inaudible].
Speaker 4:          00:45:59       Because I'm a heretic and I'm a blast femur and I have attack their cannons and there has to be some price that's paid for this. That's my guests when they're thinking. And then the fabrication of data charge, again, that's a very serious charge of okay data and those rules are put in, put in place for a reason. I don't think a court would find, I mean it would be interesting to see when this goes to quarter or if it does even go to court. The idea that this was fabricated either for personal gain or that would have to not be revealed at some time and that the future lines of literature would be contaminated and polluted. It's just, it's just not true and I think that,

Speaker 3:          00:46:41       well also a clear, it's a career ended in charge, so that's partly why it's being brought against you, right? Data fabrication, there isn't anything, well, there isn't any same thing worse within the domain of science, then you can do that. You can do that. That that's really unfortunate and preposterous because the data fabrication occurred intentionally in the sense that we wanted to find out if they could detect, because we suspected from the very beginning as we were kind of discussing earlier, that these people who largely work in the humanities are not equipped to do social science, but that's ultimately what they're basically doing. And so we wanted to see if they could detect utterly ridiculous data or data that were clearly cherry picked or data or conclusions I should say, that were drawn from data that aren't warranted. And so we wrote papers that included, in this case, for example, a dog park paper, just transparently ridiculous data.

Speaker 3:          00:47:34       And in fact, the first draft of that paper, even we knew the data were so bad that they were probably going to ask to see it. We thought that's the end of the road, the papers then. So we'll talk about the dog park paper. Why don't you go through the papers that have been published just briefly and tell us why they're transparently ridiculous because that's also tension, right? Yeah. Yeah. The dog park paper, um, was the first one we had accepted in February. And it chronicles a, it's a feminist scholar putatively that's chronicling dog rape culture by examining dog humping in Portland dog parks. And, uh, then draws conclusions from that using black feminist criminology as a tool to conclude that it would be appropriate to train men as we train dogs if only it were politically feasible. So we have to come up with a metaphorical equivalent.

Speaker 3:          00:48:33       And that concludes that oppression of dogs based on perceived gender is real. And the reason that that was allegedly concluded was we claimed that, um, humans intervened in, broke up a gay dog rate much more frequently in vigorously, then they broke up straight dog rate. And the paper, I mean it's already a bit weird about these things. The paper, the paper included, for instance, the detail that the scholar sat in the dog park for a thousand hours over the course of a year, but never in the heavy rain and observed, uh, and then examined personally closely examined the genitals of just short of 10,000 dogs, which if you've been to a dog park, you've probably realized the same people bring their dogs almost every day. It's, there's not 10,000 dogs in any dog park in a year, but never mind to develop a reputation for looking at dogs genitals.

Speaker 3:          00:49:34       Yeah, I think so. And then immediately turning to ask their owners, excuse me sir, could you tell me your sexual orientation? Because that's what the paper says. Wait, 10,000 dogs, Jen Genitals, a 10,000 dogs and then interrogated their owners as to their sexual orientations. It includes details that are irrelevant, like weather dogs use the bathroom and the other dogs are in the food bowl. The water bowl, it talks about, you know, the way people would break up dog fights, like doing jumping jacks and singing. We thought this data was so absurd that we put in the first draft, which the journal saw align that said that we took the data and put it in a recycle bin so that they couldn't possibly ask us to produce it because we thought, oh man, if they asked for this data, which is so stupid, it's over. So we said that we recycled the data, which has already its own research, ms practice and no problem.

Speaker 3:          00:50:29       Write it up. Okay. I can't believe we're having this conversation and listen, the more we talk about this, the more ridiculous it gets. Okay, so let's go on to another paper that's just on unbearable. But there was the paper where we argued that if straight white straight man, I'm sorry, it doesn't matter what their racist, if straight men were to ainslie penetrate themselves with sex toys, they'd become less transphobic and more feminist. Um, which apparently got picked up the slack. They may not want to have that conversation, but this data was this, this conclusion, which was called a truly marvelous paper and an important contribution to knowledge by one of its reviewers. Uh, this paper was published, this paper was based on interviews with 13 men, only eight of whom were straight. And of course it was all interview data and it was just people saying the most ridiculous things about their experience of sticking things in their own butts and then their feelings about feminism and a concern for rape culture and their attitudes about trans people and so on, including one so-called social conservative who was quoted saying he didn't want to take part in some stupid liberal study about sticking things up as, but I mean, it's almost impossible to have looked at this and not thought, you know, something's going on here.

Speaker 3:          00:51:55       But instead they thought, truly marvelous paper knowledge. It's that, that's a second paper. A third paper, um, was an ethnography allegedly of a 70 some odd year old man who went to hooters with his Brazilian Jujitsu class after workouts and sat there and basically just womanized for hours upon hours recorded something like 10,000 hours or sorry, 10,000 minutes of conversation at the table, which could all be summarized. And this was an example of clear cherry picking of data. The only features of the conversation that were relevant were the way that the guys hit on the surfers are talked about the servers, you know, various body parts or most importantly how much they enjoyed the fact that hooters provides them a place that they can go and tell young, attractive women what to do in a situation in which they are contractually obligated to fulfill those, those orders.

Speaker 3:          00:52:51       Like literally double entendre on the work order. Like please, I would like some beer that's an order. So, um, that was an example of clear cherry picking and of course deriving ridiculous conclusions. Uh, did you guys know while you were doing this that you are going to get yourself in like a boatload of trouble? I mean, and now I see when you're talking about it, you laugh. And so you still got a sense of humor, which is quite a remarkable thing. You, you did this for a long time and like, yeah, it's hard to believe actually that you did manage, do it. I have some, some moments especially where, uh, I mean we were always aware that there would be a backlash and then when I started actually signing the transfer of copyright, the documents to have the papers actually published, I started to feel a little like, you know, we might really get in some trouble for this, but at this point we're kind of in deep and uh, might as well carry on and try to finish the experiment we had intended to, to try to write papers for 12 months and then spend six to eight months kind of, you know, following up.

Speaker 3:          00:53:55       The academic publishing process is slow. They do the review, you get it back a couple months later, you have to do edits. It takes maybe another month or two before they accept or whatever. Then publication may be another couple of months later. So it all, it's slow. So we wanted to do a lot, you know, six, eight months after 12 months of writing and that was the intended duration that we should be wrapping up the project now if we didn't get busted. But about late summer, the dog park paper got picked up, um, by some journalists and the real peer review and got made fun of it and we realized we were probably not going to make it to the end of our intended at year and a half ish time span. So we ended up writing for 10 total months, which is a bit of time and

Speaker 4:          00:54:38       still under review, which was really ashamed because I'm fairly sure, but I do want to speak to that Jordan because somebody had to do this.

Speaker 3:          00:54:47       Yeah. Why?

Speaker 4:          00:54:52       Because the ideology, because these professors are looking at their classrooms as an ideology mill and they're attempting to indoctrinate people into things about reality that have nothing to do with reality. They've placed an agenda ahead of the truth and it's corroding our institutions in it's eroding trust in those universities and institutions. And you identified the problem. Many people identified the problem, but something had to be done about it beyond identification and calling these people out. We needed to show that needs to de legitimize these cannons because there the way that they were coming to knowledges, just epistemologically to to say it's not rigorous as chow is, is charitable.

Speaker 3:          00:55:41       So they're kind of a few pieces to that. Right. So you mentioned a little bit earlier, we touched upon, um, is now familiar with the idea that racism and sexism don't seem to mean the same thing they meant 10 years ago you used to be able to say racist and sexist and amend discrimination based on race or sex. And it could go in any direction. But now it's got this power, dynamic, privileged plus power stuff. Everybody's talking about privilege. So that's everywhere. But if that's one dimension and it's impossible to avoid that, the sociological or grievance studies definitions for concepts are, are everywhere. But there are also two other pieces of evidence. One that we saw before we started that would be a paper that was done by Charlotte, a stern who, how insular gender studies is. How they literally took the years since Steven pinker published the blank slate 2003 until 2015 or 16 she looked at a bunch of papers, got us a sample of those papers and determined whether or not they incorporated or ignored the, uh, information that pinker had shared as a, as a, as a test and found that there was an overwhelming amount of just putting the blinkers on and pretending that biology still doesn't exist and that human nature is totally social.

Speaker 3:          00:56:56       Part of that's not a pretense either. Is that a pretense here? I mean, the reason it's not a pretense is because as far as I can tell, the people who are in these disciplines, no, absolutely nothing whatsoever about biology, biology. The more you don't want to know, that you need to know because it's a daunting task.

Speaker 4:          00:57:21       Yeah. I want to speak to that for a moment. If I may. So at my university, a course offered on the philosophy of race, and it would seem to me that a minimum qualification one would need to teach that is that one would have to have some kind of degree in evolutionary biology. But that does not seem to be the case. And I think, again, we're seeing consistently, you know, race is such an explosive, explosive topic, but when you start with the idea that you have the truth and then you work backward and Cherry pick the literature, and in this case it's extraordinarily easy because you just go to these, the journals and the canons of literature and then you start teaching them. So what happens then is the kind of the self fulfillment of the postmodern condition is that they then manufacturer pieces of information that people take as knowledge. We see that happening in our institutions now and it's, nobody's calling them out on it. So it's again, I say that because it speaks to your point of why didn't we do this? Because the public trust in these institutions as being eroded and we're teaching our kids things that are just not true. They're just totally untethered to reality. Even though some of these people may be very well meaning

Speaker 3:          00:58:38       and there's always a citation and we learned, there's always a cycle with the citation. You want to find something that says anything ridiculous about sex, toys and anal taking care of, there's questions, power dynamics using that already. There's always this like that that maybe is the, is the important thing to sort of realize it about what we did. I mean, all of that ridiculous stuff that, that Jim was saying earlier, we were able to say that because there was already something out there which led to it or set it itself. And so if you're actually looking at what our project is, something that's very important is our references because to me, some of it really, yeah, it's,

Speaker 2:          00:59:22       there's this humorous, it's a very humorous element in it, but on a deeper level, what it is, is just gathering so much of this nonsense together, citing it, putting it in there and then kind of making it do whatever it, whatever we wanted it to do that that was, was the project. Um, and it's your point is that you have to embed yourself tire within a preexistent literature or it couldn't float and like they really, I mean a lot of the, some of the academics have said, well we haven't been fooled because we still stand by the papers. What you wrote was reasonable because they are indistinguishable and that really was kind of the point we wanted to have. We, we've ended up with a really good resource for anyone who wants to know what is out there. They can look at our references, they can look at the arguments that they enabled us to make.

Speaker 2:          01:00:20       They can look at how the reviewers, what they rejected us for, what they accepted us for, what they pushed us to do. There's a very clear pattern, but because it is so complicated with so few people have taken the time it would take to read all of our papers to read all of the comments to follow up our rem at references. It's not always clear that what we're doing is putting it right in the Canon. That is why this has to do with the motivation of other academics. Not to be bothered with this. The stuff that I'm most familiar with is that about 80% of humanities papers get cited zero times and the problem is that even to go after very bad ideas in an academically rigorous way is actually an extraordinarily daunting task and it might be daunting in direct proportion to the, to the appalling this of the ideas.

Speaker 2:          01:01:14       So for example, if you're creating a very bad undergraduate essay, it's way more difficult to grade a d paper than it is to grade a b d paper has so many errors in it. You don't even know where to start, right? The words are wrong, the sentences are wrong, the sentences aren't organized in the paragraphs. The paragraphs are chaotic and disjointed and the whole thing makes no sense and you actually have to do, there isn't a level of criticism that can't be applied to a very bad paper and so it's an absolutely exhausting intellectually apart from the danger that it poses personally before we assume that it's mirror lack of character on the part of our fellow academics that is stopping them from taking a stand against such things. Although I do buy the sort of entrenched power, this idea that emerges as perhaps an inevitable consequence of participating in a structured hierarchy.

Speaker 2:          01:02:14       It's there are, there are many more reasons why this is forged, including the inappropriate, what would you call it, subsidization of these viewpoints for the last 50 years. Yeah, yeah. I think that's right. It's really, really painstaking to pour through these papers. And as a, as a person, you know, with a commitment to science and a background in science, it wasn't just even painstaking. I actually went into some pretty dark places, psychological places. I remember reading the, so I mentioned reading the glaciology paper earlier, the feminists physiology, but I didn't read it in depth when we first found it. But when we started to do this project, I wanted to emulate it and write one about feminists astronomy.

Speaker 2:          01:02:56       And I read the thing in tremendous depth and with great care, taking notes all the way through and you know, preparing so I could could write effect similarly. And I shut down. I mean, I just almost locked myself in a room by myself for three days in a dark depression that quoting the same thing how to be when I was writing 12 rules for life, I wrote a chapter called don't bother children when they're skateboarding and it's about the discouragement, let's say of primarily of young men as a direct consequence of this. The kind of rhetoric that we're discussing and like that made me unbearable for my family for about three months because the more I studied it, the more it has a really fragmented and chaotic effect going on. You psychologically, and I've also seen this manifested in my students, you know who undergo this kind of act of this indoctrination. It's, it's such a, it's such a corrosive and cynical view of the world that all we're, we're all in it in our groups and then all the groups are fighting one another for power and that that's the fundamental transcendent reality. It's just,

Speaker 4:          01:04:12       yeah. Now imagine, imagine the sort of person who looks at that as an epistomological and moral virtue and who teaches that to their students, who attempts to indoctrinate their students into these, not even, they don't even arrive. So level of being false in terms of these morally dangerous ideas. And then they think that they're better people as a result. And then they think that if somebody calls them out on it, they're evil.

Speaker 2:          01:04:39       Okay, so let's look and look at this too. So when high he, Ted Lukey Nofx wrote the cognitive, the American mind, one point they pointed out as the American Psychological Association and the American Psychiatric Association should have that all of the safe space and doctrines and trigger warning doctrines and, and, and that sort of thing. Um, and the speech codes for example, that are increasingly forbidding, even sarcasm are exactly the opposite of the approach that you would take if you were a trained psychologist trying to produce people who are more resilient. You actually make them weaker and more anxiety provoking and more anxiety prone, more depressed, and more hopeless. And I think the evidence for that, it's absolutely clear and I think it's appalling that it wasn't clinical psychologists or psychiatrists who pointed it out and so it is that the, these doctrines are being put forth for the benefit of those who formulate the doctrines and that the students are sacrificial victims in that, in that process.

Speaker 4:          01:05:38       Yeah. There's one more piece that I think is important that goes back to what, excuse me, what Jim said about not seeing that a contradiction is problematic because the whole idea of contradiction is white science or western science and that's problematic is that we found that these folks don't really value discourse and dialogue and so they don't really value having ideas challenged and questioned. That's not there. Their reason for teaching these ideas in the first place and if I may give you a quick example, excuse me. Well in State University wants to include or has included at this point a, a course on native American philosophy, which, which I think is a great idea. And well, somebody in the audience asked the question and the question was, I went to a presentation and the question is individual asked was, well, what do we do as settlers, as colonialists when we want to question or challenge these ideas and native American philosophy.

Speaker 4:          01:06:40       And the presenter said, you know, I've struggled with this. It's very difficult for me, but the bottom line was it shouldn't, it should be exempt from traditional tools that we have used for other disciplines. You know, the dialectic challenging. And so that first of all, that places me in an almost impossible position. What am, what am I supposed to do? Say, you know, why is it exempt? It should play by the rules that every other philosophy because then I become the guy who hates western, who hates, um, uh, indigenous people who hates indigenous philosophy. And then I'm the tool of the patriarchy, which gets back to what you were questioning or asking before is why do we have this violence in academia and what's the problem with it? So I think part of the problem is that these folks don't value discourse. They don't value dialog, they don't value open expression, they don't, well, they view that. And again, there's a paper for this, they view that as a type of violence. Words are a type of mine, so type of verbal violence. And so then their students develop brutal epistemologies because they've never heard the other side of the story.

Speaker 2:          01:07:45       Right. And they develop them just when they should be developing resilient, resilient

Speaker 4:          01:07:49       be correct. And yeah, and as a litmus test, I always, I always ask folks why, who are gender studies in my class or study in the, in the grievance studies fields, what, why is it Martha Nussbaum is criticism of Judith Butler taught hair, single single students as, yes, I've learned about that in my class. Well, they don't, they don't teach that because they have a prevailing orthodoxy and they want to indoctrinate with it and

Speaker 5:          01:08:16       they've kind of hijack the administration. And as I said before, they've weaponized offices of diversity, inclusion, etc. To punish people who are heretics and who questioned or challenged.

Speaker 2:          01:08:26       Okay. So we're going to run out of time. We're running down to about 10 minutes here. So I want to, here's a question that I want to race to all three of you have to, I think one is why in the world should anybody outside of academia care about this? That's the first thing and very careful answer that. And the second is, um, for each of you, what's been the personal consequence of this and would you have repeated it if you knew what the consequences were going to be? So let's, let's start with the first one. Why in the world should they, why in the world should anyone care that some half did? Academic Journal published an insane paper by three renegade, uh, academics about what, about dorm rate of all the absurd, uh, of, of, of, of the observed observed topics. It's so surreal that it seems virtually in comprehensible sensible people should avoid it. So what's the answer to that? Well, go ahead Helen.

Speaker 5:          01:09:32       The university.

Speaker 2:          01:09:34       Okay.

Speaker 5:          01:09:35       It, it is our source of knowledge production. If we look back through history, when our cultures were Christian, the new knowledge about this was coming from the universities. When we had the scientific revolution, when we went into the enlightenment, this was coming from the universities. These things don't stay in the universities. We have seen it is coming out in what is essentially happened with the kind of identity studies that we're looking at is that it has been made directly actionable by activists, has been tagged onto the end of the civil rights movements and liberal feminism and gay pride. When those movements have started to see diminishing returns and people wanted to continue, then it's, it's tacked onto the end of that to a society which has just seeing the end of empire, the end of Jim Crow and is geared towards towards social justice and it is it, is it a c did here

Speaker 2:          01:10:31       it's also a warning to the corporations because it's permeating the HR departments don't. Yes, it's going to stay in the universities and don't be thinking that you can import 2% of it without importing the other 98% will.

Speaker 5:          01:10:44       Yeah. People Leave University and they join these industries. Also, there's pressure on corporations to comply with the reigning moral orthodoxy. I mean, I don't think that the average business owner or the average person in the street knows anything about Sukkot or crenshaw or even thinks much about this, but it is in the air now and it is. It is affecting, it is affecting everything and we do need to take it seriously without sort of having a moral, we need to

Speaker 3:          01:11:14       look at it calmly and empirically and address it as it actually is. And what should we do about it? That's the next issue because the podcast, no. Okay, fine. That's another point. Then the final question for all three of you is and maybe one at a time. Um, when you do it again, I would, yeah, I would definitely do it again. Um, okay. So we know that you're an unrepentant troublemaker in trouble. I've also found like my one great talent in the world and I feel like I've made my own life obsolete now. Okay. Wonderful. Bullshit artist. If anybody's looking for one, um, yeah, I would definitely do it again. It's worth the risk. I think it needed to be done. Helen, let's ask you next and then we'll get let, Peter has the last word because he's the one that's got the most on the line at the moment.

Speaker 3:          01:12:09       I was imagining all sorts of things from being arrested under sort of hate speech acts to being physically attacked because I have an uncommon name. I've had an awful lot online abuse. I've got some persistent store because that has a sentiment that I probably won't get into a phd program in my own country. They, somebody in Germany, it's been, um, it's been, it's been quite nice. Okay. Peter had to be done. There's a crisis in the universities. Does a crisis with knowledge production is a crisis of confidence and a heavy price to me. And I have had to weigh out my family obligations, helping put my son through school, you know, being a part of being in a relationship in which I economically contribute to the house. But this had to be done. And if I am a consequence of this, then so be it.

Speaker 3:          01:13:11       It had to be done. Yeah. Well, Peter Work, there's a bunch of us who are not particularly inclined to let you be a sole sacrificial victim. So if you're a university wants to get too stupid with you, then um, let's, let's assume that they're going to be consequences. I sincerely appreciate your support from the bottom of my heart. Thank you. Yeah, well enough is enough. So, well look guys, it was really good talking to you. All of them. I think that you're quite the surreal bunch of troublemakers and perhaps exactly what this crazy situation requires and well, and I hope that, I hope Peter, that that things work out for you properly over the next few years. It's going to be a tough haul for a while. There's no doubt. Are you getting any student support at your university? Getting a lot of students support the university, but you know, I have to be, people would threaten to attack me a few weeks ago. Someone spit at me, my colleagues literally while walked on the card or they'll turn

Speaker 4:          01:14:12       their heads. It's, it's uh, but then you know, the uncomfortable things,

Speaker 2:          01:14:16       not much different from the typical university.

Speaker 4:          01:14:20       Yeah, it's, it has seem to be. I am. I mean, I, I want to be blunt with you. It is a concern for my safety in Portland when I leave the house now. Yeah. And I've now been Trenton on more than one occasion by people and I'm concerned.

Speaker 2:          01:14:43       Do you find the threats credible? I mean, I know every, every threat is upsetting, but like are you actually in a situation where you have some apprehension about leaving your house

Speaker 4:          01:14:53       or, I won't have any apprehension. Uh, look, I, you know, I wake up in the morning and I get emails and tweets, people telling me how stupid I am and wouldn't, you know, bad person I am and how I'm a homophobe and racist, et Cetera. I then, it doesn't do anything to me. But when I walk out in the street, so the bar a few weeks ago, or maybe a few months ago, I don't even know mine for timelines, but you know, someone, someone came up to me and he started harassing me as fortunately as with my Jujitsu coach, John Davis, a black belt in Jujitsu. And he immediately pulled up the chair beside us and I kept saying, let's talk. Let's have a conversation. No, he followed me in the bathroom. I came out of the bathroom. Finally, I said, look, I don't know what's happening. I don't know why you're so upset and I'm happy to talk to you. And he said, I don't want to talk to Peter. I want to hurt. And it,

Speaker 2:          01:15:47       oh, that's pretty, that's pretty serious.

Speaker 4:          01:15:49       Yeah. And then it happened again on the street when I was surrounded about we can half ago by people, I assume they're anti for people or something clearly wanted to hurt me. Uh, so, you know, I am, I am concerned. I am concerned about

Speaker 2:          01:16:07       those for people who haven't been through it. It's very hard for people who haven't been through that sort of thing to understand just exactly how distressing that kind of occurrence is. Not only because it happens, but because it could happen again and it could become more serious. So I'm really sorry to hear that. I didn't realize it didn't come to that. That's, that's no laughing matter.

Speaker 4:          01:16:25       I appreciate that. It's got anything to do with you. And there's, there's this will stick because there's insults, leaflets and notices and yeah, that kind of stuff doesn't bother me. It's when it's in the physical world where I feel, I feel someone, I mean if someone tells you they're going to hurt you, you should take their word for it. Yes,

Speaker 2:          01:16:50       definitely. When, when it's that direct and when it started in your face, those threats are credible. That that's, that's a real, that's a real danger. So, well look, I'm really sorry to hear that and I'm, I'm also sorry to hear that you're paying a substantial, I'm sorry to hear a general that you're paying a substantial price for that. Um, I'm going to do what I can for what that's worth to try to make sure that people hear about this and that you're not in it alone. Because I think you guys are like comedians. You know, your canaries in the coal mine and whatever happens to you is going to happen to a lot of other people if, if it's allowed to happen to you so it can't be allowed to happen to you. That's what it looks like to me. So thank you for your support.

Speaker 2:          01:17:32       All right guys. Well, thanks a lot for talking to me all. Uh, it was, it was a stupidly interesting talking with you, but I just did not believe it's come to this. You know, it's so ridiculous. If you can't, you couldn't invent this in a bad piece of fiction. And it's, it's so sad that, that this is the sort of thing that we have to occupy ourselves when there's serious work to be done. All right, well, happy new year, I suppose. Hopefully this'll be a watershed year and things will get more intelligent from here on end. Again, I'm, I'm sure, hoping that'll be the case me to. Thank you. All Right, ladies and gentlemen, thank you very much for your time and I'll let you know when this is all coming online. Okay,

Speaker 6:          01:18:24       bye. Bye.
