Speaker 1:          00:00:03       Three, two, one
Speaker 2:          00:43:46       It costs us money and how we implement the program costs us money on canceling fights. Anybody who thinks moving this fight to California is that a financial benefit to the UFC is crazy. We're taking a bath on this one. People really do need to understand that the UFC decided themselves, they self imposed. You sought as sanctioning of fights. Correct. Nobody forced us to do that. So this is a, this was a big step in the right direction of trying to make the sport cleaner because we recognize that first of all, there was some legal stuff with the testosterone replacement therapy that just threw everything out of whack. Right. Where it was essentially it was sanctioned cheating. I mean, let's be honest about what that was. It was, it was clearly a my understanding being manipulated. Yeah. I'm the very easy to manipulate when you get permission to use any prohibited substance like that.

Speaker 2:          00:44:36       And we went from that to unbelievably strict protocols. And now what you're seeing is you're seeing, first of all, we saw a radical change in the physiques of some fighters where we, we did have some suspicions and those suspicions, at least in my eyes had been confirmed. And now we're seeing the good side of this with what in your estimation might have been moved over into a position where okay now now it's getting a little bit ridiculous in terms of like what we can detect and what is, what is causing fights to be canceled. Exactly. So interestingly enough, the world antidoping agency, a lot of their next code revision is 2021 and so they regularly put out, hey, what are the issues going forward that we want to address? And one of the major issues is potentially establishing thresholds for these low level substances that keep appearing.

Speaker 2:          00:45:35       Um, DH cmt being one of them, Austrian being one of them. And so the idea that water is looking at and has a working group of worldwide experts is, hey, if if something that gets reported back and under 50 Pika grams, all the evidence is showing, more likely than not, this is from a very low level contaminant issue. We've never seen an issue of a micro dosing or an intentional use that's reached that level. Why are the labs even reporting at sub at quantities lower than 50 pika grams or 100 peak grounds? I think very soon they're going to come out with a recommendation. We are going to adopt that before 2021 once that working group and we're in communication with them, comes up with those recommendations. You'll see it it implement it first in the UFC program, again, I've always said fairness. Due process in a program is just as important as the strength and comprehension, comprehensiveness of that program.

Speaker 2:          00:46:32       You'll lose faith in your athletes. You could have the strongest loophole free program in the world, but you start implement tink things unfairly. You'll lose faith just as much as if you had a bunch of loopholes in the program. It's got to be fair. Are you aware of the female skier that tested positive because of lip balm? I think, yeah, it's vaguely recall about that. What was someone else use the lip balm before her? No, no, no, no. It was a, uh, a lip balm for sunburn. It was for sunburnt lips and it had some ridiculously small trace amount. Was it Austin Green cv? Give her name? Is Jo Jo Burg?

Speaker 2:          00:47:14       Trying to remember her name? Well, there was the, the cocaine kissing defense was actually one an arbitration. So something similar, somebody tested positive for, you know, low level metabolites, a cocaine and basically said, look, you know, hey, whether that was good or not, but um, you know, the arbitrator bought it and the science shows, hey that, that is a possibility. The detection levels are so low. If you kiss somebody who had just done cocaine, they're now able to detect at those levels in the, the person that kiss that person. That makes sense. Do you find this woman doping label on the label, which is why they gave her a penalty apparently. Oh, I see. Okay. What is the, um, who fucks reading labels on lip off, you know what I mean? See, that's, that's how crazy it's gotten. I mean, all our athletes know when, when they're using a creatine or a protein or whatever, I think most of them are pretty careful right now.

Speaker 2:          00:48:06       But to tell them, hey, you need to read your lip balm and your deodorant. I mean, where, what level are we get into here? And these are the levels of detection. So she 21, nine year old starved Norway's powerhouse squad of a skiing cross country skiing tested positive for an hour anabolic agent listed in the contents of a treatment for sunburn. Um, this could be similar in some ways to what Chad Mendez tested positive for, for something for psoriasis. Correct. Sat chatman is, has obvious psoriasis. You'd see it on his body. He's talked about it pretty openly and to use some sort of a cream and accepted his penalty wasn't a word of this cream had something, some type of a steroid into it. Yeah. I had seen him publicly state that now he chose not to present a defense or go to arbitration. So I haven't seen anything in detail to you.

Speaker 2:          00:48:56       He just rode knowledgeable on that. Yeah, he did. What? So let's get back to the Frank Mir case. Frank near tested positive was it also also same thing, longterm metabolite of world Terenna Ball. Here's the difference. Frank Mir as the same as John Jones. His first time through was sanctioned. John didn't get off the first time that showed up in his system. He got, you know, he was looking at potential for years, went to arbitration, presented evidence and act as some other clauses in the policy that reduced his sanction. What does that mean? Uh, well, one of them was uh, um, substantial assistance where he assisted Usada and some way, shape or form and he got a reduction for, for doing that. Assisted in what way? So I don't know. And this is the exact reason why I do this. So I insulate myself from that interaction between you sought it and the athlete, they are the soldier to adjudicate or in this they do not.

Speaker 2:          00:49:54       You know, get me on the phone and say, hey, we're thinking about going this way. They adjudicate completely in a vacuum and you are, you're just so people know. Your title is safety, health and safety. Athlete health and performance. Vice President of athlete health and performance. Yeah. So you no longer work for you saw it. It never worked for Usada. That's, that's a big misconception a lot of our fighters think that I've never worked for, you saw it. I was a federal agent for 22 and a half years. Um, the latter part of my career got involved with all these ped distribution cases. 2015 Lorenzo Fertitta and Dana white through a mutual friend contacted me and said, hey, would you come out and kind of talk to us? We're contemplating maybe putting our own program together. We've had some recent high profile positive. So I came out to vegas a talk with them and a week later I get a phone call asking if I want to come work for him and kind of implement this new program.

Speaker 2:          00:50:47       But I've never been an employee of Usada. Okay. So that's, that's good to know because that's been stated by some public figures that you used to work for Usada and now you work for the UFC. Never that on a shale. That's one of my favorite words. Um, so you never worked for you soda, you, uh, brought Usada to the UFC or communicated with Usada and facilitated this agreement. Correct. So I never worked for Usada. I did work very closely with Usada. So you saw that when I first started these series of investigations back in 2002, look, I knew all about how to work a heroin distribution organization and cocaine distribution organization, methamphetamine. But when it came to performance enhancing drugs, there was no class that myself or really any other federal agent or law enforcement agent goes through surrounding distribution of performance enhancing drugs. So I was examining the discarded garbage of Balco every week when they put it out to the curb, began seeing notes, rappers, all these substances.

Speaker 2:          00:51:49       I had no idea what these things were. I didn't know the difference between testosterone epitestosterone, arithroid tin, hgh. I knew nothing. So what I did is I figured out who those experts were, who were the people that could very quickly get me up to speed on what I was looking at. Um, doctor Catlin who ran the UCL Olympic loud was one of the first and he started, um, you know, kind of walking me through this. He put me in touch with Usada and you know, they began educating me as well. So, um, over the course of those investigations, um, I got a lot from them in terms of educating on the substances. They were bringing some of their cooperating witnesses to me and then we go off and running on criminal investigations. Um, but never, never worked for them. So you sought a, correct me if I'm wrong, but the way they would work would be very compartmentalized.

Speaker 2:          00:52:40       Like they would not specifically communicate with you on all of the details of this. Correct. And they don't now, I mean, you don't, independence aspect. I don't as these deliberations are going on what they're looking at, I don't know. It's cooperation. Just for me to be Frank Wood in my eyes would mean that something was done purposely illegally and this person had some knowledge of purpose, purposeful, illegal activity, and that they would somehow communicate this to facilitate some sort of catching of someone involved in a criminal act or an act of cheating. Yeah, that, that would make sense to me too. Yeah. That would be what we were talking about. Usada would allow John a shorter suspension if he actively participated in helping them catch people that were cheating that that's the understanding. I don't know, implied that would be implied. I don't know to what level that was done.

Speaker 2:          00:53:34       I don't know if it was that or if it was, hey, here's how this drug works in more general. Here's the, I don't know what it was. I purposely, that would mean that John would have to know about cheating. If you're saying like this, this is how this jug drug works. This is how I used it. I mean, this would, he would, that would mean his initial defense would have to be thrown out the window because it wasn't an accident. Well, I mean, I don't know about that. If you knew something separate from, you know, that he wasn't someone else. Yeah. And again, I don't, I don't want anybody to reach that conclusion. I have no idea what his substantial assistance entailed. None. Um, and it's a slippery slope. It is a slippery slope and look, transparency's important in any program, but you know, only to a certain level, look, if you are transparent about what everyone's, you know, cooperation or substantial assistant was and the whole world knew about it, you're never going to get anybody after that coming in and, and, and, and cooperating.

Speaker 2:          00:54:30       I saw this definitely on the criminal side with informants, you don't, that's not something that's, that you want to be transparent about or disclose. Right. But there's going to be a bunch of people that have a real issue with that. And the idea that Jon Jones, you know, one of the greatest fighters of all time is actually working as an informant. I mean it's, it's listed in the, in the, you know, in the Mclaren's ruling that that was one of the reasons for the mitigating factor and the reduction. But I don't, again, I know nothing about to leave that alone and about it. It's been stated, we know what it is. Okay. Or we know that it's a thing. Um, when it comes to the John's initial test where he was sanctioned and was suspended for a determined period of time, Frank Mir also was sanctioned for a determined period of time as well.

Speaker 2:          00:55:21       He was two years. He was, John was shorter than that. John was sean cooperate on a bunch of other deal. [inaudible] not only cooperative, he went to arbitration and put on a defense. He put on a defense that, look, the evidence here shows no intentional ingestion of it. And in fact the Clara and gave him a further reduction based on, there was no evidence of this was intentionally done. Frank Mir didn't put on any, he had every right to go to arbitration put on his own offense. Didn't do that. What about Josh Barnett? Uh, Josh Barnett, you know, a completely different set of facts. His came from a contaminated supplement. It was a different substance. He went to an arbitration hearing, the arbitrator ruled with Josh and said, Yep, you know, based on where we are now based on the care and effort that you took your right, you deserve to have time served at the time of that arbitration.

Speaker 2:          00:56:13       So again, I think that's a good example of the checks and balances in place here. You've gotten me overseeing the program, taking a look at how these things come out. You've got the ability from the athlete to go to Mclaren's group and judge, you know, the set of facts. And in that case, Mclaren's group said you saw Usada I think maybe overreached a little bit here and I believe Josh and Josh is, you know, basically time served. So you know, you want to see, you want to see them get it perfect, right every time. But you know, and the reality in the real world is that doesn't necessarily happen and that's why you have these checks and balances available. Um, Josh Barnett take on. The matter is that they tried to paint him as guilty even though he was not and that he, he feels like he definitely got a bad deal and that he was labeled as someone who is taking this substance.

Speaker 2:          00:57:03       He was suspended for a long period of time when he was going through this and although he was found not guilty that he feels like not enough emphasis was put into establishing that he was not guilty and that you know, he, he feels like they chased him down over something that he didn't do. Yeah, I mean we'll, well here's what he did do is he used a supplement that if he would have listened to anything that we educate on that you sought a sends out regular reminders are fighters are required on a quarterly basis to go through videos and their whereabouts, filing that deals with these issues. If he would have followed any of that advice when it came to his supplement choices, he would have never chosen the supplement he used. I, you know, when, when I heard about that supplement and what was on the label and how it was marketed, I said, okay, well that's, that's likely the candidate of where it came from.

Speaker 2:          00:57:52       Yeah. So I mean, the analysis would be, hey, you know, that pool will be careful. There's sharks swimming in that pool. It can eat you. And the person jumps in the water anyway saying, look, I didn't want to get eaten by a shark, but a shark comes up and aid them. It's like, Hey, we told you that this was the case. She didn't follow that. Now there also needs to be a differentiation between someone who's intentional, cheating, intentionally cheating, and someone that's just, you know, makes a naive supplement choice. There. There needs to be a differentiation between that. And there was, and that case Josh didn't get, you know, the full penalty of what was, what that substance, you know, would have rendered, but he did have to go through a long period of time where he was unable to fight. He did. But you know, again, he had the prohibited substance in his body.

Speaker 2:          00:58:38       Um, as you saw it, it has to look at, Hey, even though you did that, didn't do that on purpose, did that give you a performance enhancing benefit? Did it allow you to recover a little bit better? Did it make you a little bit stronger? And you know, that's why those strict liability provisions are in there. Otherwise people would just take these prohibited supplements and say, Oh, I didn't know exactly it was an accident. Meanwhile, they're getting a benefit for exactly. So they have to have some sort of penalty in place. I think so, yeah. I also think, again, there needs to be a differentiation between the intentional non-intentional and we do have that in our policy. There are definitely mitigating factors available in our policy that if you didn't do thing on purpose, you're not, you know, you're not sanctioned as tim means is a great example there.

Speaker 2:          00:59:21       So Tim means use a relatively benign supplement. It was a creatine, creatine, you know, generally doesn't have an issue as, as, as opposed like testosterone booster supplements. We tell our athletes stay away from anything marketing as a testosterone booster. It's one of the most common with contaminants are purposely spiking purposeful. Spikings two means uses a Korea 10. It had a asta and in a very small amount, uh, we founded in there, you know, Austrian has to your sanction. He got six months, um, you know, so back relatively quickly. So I think that's the thing with Yoel Romero. So correct. Yoel Romero used a natural diuretic product that had um, a SAR minute. Um, and all of these cases, not only does the prohibited substance need to show up and with the athlete has says they've used ready but to protect against making sure the athlete isn't purposely spiking it.

Speaker 2:          01:00:19       You saw it, we'll go out on their own, on the market, independently procure, hopefully the same lot of product. And in the case of eol and Tim, they were able to do that, test it completely independently of the athlete, determine what level the prohibited substances in that based on the interview with the athlete of how much did you use, when's the last time you used it relative to this test? Do the science calculations just to make sure an athlete's not saying, well I know this Korea tennis spiked with fostering, so I'm going to go use Austrian. And then I have a built in excuse when I test positive for Australian in order to be able to match contaminant levels with what's being excreted in the urine, you would literally have to have phd chemistry degree and I'm not aware of of any our athletes have in that, it'd be very, very difficult to do that.

Speaker 2:          01:01:05       And so these detection levels, again we're talking about nanograms, we're not talking about large quantities. That would be a pika grams. Correct. Now what, why was, why was this moved from Vegas to California and why? Why did the California State Athletic Commission, why did they accept this fight taking place here and why did Vegas say no to it? So internally, the UFC wise, we first, in fact Donna Mark Illini who you know who works with me, uh, we're out to Donna. Exactly. We're a two person shop and the woman's a hawks and one of the hardest workers I know. So she's, she's awesome. She's taken a look at something that we have access to called the clearing house. And it's basically a recording of all the tests on our athletes. So we can get on there. Somebody says, Hey, how many times was John Tested last quarter? We can get on there and pull that up.

Speaker 2:          01:02:02       The public also has access to our testing records, not with a specificity that the clearinghouse has, but the public can get on. And you saw it on a weekly basis. Um, updates how many tests and athletes done. So there's some of these, some guys out there on the Internet from the day one of the program have kept track of what week they're numbers tick up. So you can go find spreadsheets on the Internet, at least from a, from a weekly basis of when our athletes were tested and how many times every week. God bless those dorks. Crazy. Huh? So the clearing house program is very specific. We can get on there and see the actual date of the collection. And next to that we see negative, positive or pending. So Donna came to me late November, early December saying, Hey, I'm looking at John's tests and I'm seeing pending still back from I think was maybe August, September, thinks something's going on here.

Speaker 2:          01:02:56       And of course I'm like, okay, well he's fighting pretty soon. I hope not, but let me reach out to you Sada. So I reached out to them. They said, we're working on something. We're, you know, conducting a study. We're talking to other professional sports leagues. We're talking to the laboratories out there and don't have an answer for you now that, but stand by. So I think it was September, December six, they sent a letter to us and they sent a letter to the Nevada state athletic commission saying, just so you're aware, over the last six months, um, early in this six months, we've seen a reemergence of this longterm metabolite, uh, in John's samples, we've always was this. So this was early December, December 6th, we and the Nevada Athletic Commission were notified. You were notified, but the test was from previous. So the tests, these tests, um, covered from August through November.

Speaker 2:          01:03:53       Okay. So there's [inaudible] test several of them. Oh, some more than one test show this metabolite. So what they said was August 9th, negative August 29th, eight picograms September 18th, eight eight September 18th. So I mean there's a, there's a good, so he's negative on the ninth 20 days later. So inside the 22 checkups, 22 day window, he shows an eight peak gram, no short term metabolites, no longterm, no parent, no medium term, no medium. I'm sorry. No media. Only longterm. Thank you. Um, we then go to the 18th of September, 19 Pika grams and then that's followed by four negative tests. September 21st, October 2nd, October 11th and November 14th. So at this point, late November, early December, you saw it and says, okay, we've done our studying those two low levels in August, our residual, there's no evidence of any readminister ration based on lack of short and medium term and parent. Um, based on our consultation with other leagues with these labs that are seeing this, we're calling this, this is would be double jeopardy if we did them again.

Speaker 2:          01:05:07       Okay, this is awesome. This is something that should be really emphasized because there's a lot of people that don't understand this. This is not just this one test. These are many tasks that have been done over course of John's suspension and then ultimately relicensing that are showing this exact same metabolite at a very similar level that according to previous tests, specifically on Clomiphene, that this could be this pulsing correct result of existing and not existing. But this is not indicative in any way that can be provable of microdosing. Correct. And not only that, but this is over. We're talking about this being over long term, long periods of time. Many months. Okay. And consistent numbers over many months. So, and again, going back to what one expert Dr. Bauer said, you've gotta be careful what you're talking about. He's single and double wall number, grams. And you see some bearings.

Speaker 2:          01:06:03       You gotta be careful about saying, well it went from nine to 18 that means re administration. No, it's inexact science at that level. The water labs, this is a non threshold substance. So all water requires them to say, to report back to water, positive or negative. They're not required to quantify. However, these water labs have also realized there's an issue when you're getting under Pika grams. So what they're doing is going back after reporting the positive, hey, let's see if we can estimate with this level is it's an inexact science at Pika gram quantities in my understanding, um, to, you know, estimate what those levels are. Okay. You can see some variations. So Nevada is unwilling to sanction the fight based on all this information. So they get, they get the initial notice that we got. Also, I think it was December six saying, look, there was an issue in, in August, these longterm metabolites reappeared again.

Speaker 2:          01:07:00       But we've since had four negative tests. We don't believe that the August, you know, reappearance is a re administration. There's no sanction here. Nevada, you don't even have jurisdiction over the August tests. Again, keep in mind, these are UFC tests. Nevada doesn't mandate it, but Nevada says, look closer to a fight. We do take jurisdiction. We will adopt these Usada tests. So you saw it. It didn't need to, to, to notify. They thought out of an abundance of caution, let's let Nevada know that this issue exists. God Damn saw what the fuck they said, hey wait, that's, that's all good. And you saw it, good, bad. It gets this. I talk with them. They're like, Whoa, this is, this is concerning. But we don't see anything within our jurisdiction here. So I certainly hope that no subsequent tests show up positive because that could be an issue.

Speaker 2:          01:07:46       And sure enough, you sought it collects a sample from John on 12, nine. They expedited the results cause they knew a fight was coming up and they do that now when fights or close or the collections are done close to a fight, and here, you know, he pulses back up to, uh, you know, between 60 and 80 pika grams. So Nevada gets this, uh, this was last week, man, the days of run together for me. So, uh, a week ago, Friday we have in, uh, Bob Bennett who's the executive director. While I'm a big fan of these great guys out in Nevada, but I remember FBI agent, so we got it done around. He is. He's one of the reasons why it probably wasn't sanctioned in Nevada was because they're so by the book I get angry because I wanted to fight to be in Nevada. But I understand Bob's position.

Speaker 2:          01:08:34       Yep. Implicitly. So. So let me make clear what happened. Bob came in, Anthony Martin Marinell, the chairman of the commission came in and a couple representatives from the Nevada attorney general's office. So they are the ones that prosecute cases involving ped, you said violates Nevada regs. So we share all this with them and lists like you did with me. Correct. Share it all with them. And look, there's some misconception out there. They did not say this fight. Absolutely not happening next week. In fact, they, I think we're understanding these issues, but said, look, you know, optically this doesn't look great and we feel that out of an abundance of caution that we need to have a public hearing and be very transparent about this cause this is, this is some weird shit. Um, this was last Friday. So we're eight days out from the fight. So, you know, we start talking about, hey, when can we potentially have this?

Speaker 2:          01:09:30       And unfortunately, Christmas holiday, several of the commissioners weren't even in town. And basically what they said is, look, we will absolutely do this if you want us to, but likely that hearing would not be until today, Thursday or maybe tomorrow, Friday. And you know, Marinello is like, look, I, I, I'm starting to get my head around this, but I can't guarantee you that my other commissioners or me are going to come out the same way. So you're taking, you know, you're taking a chance here that, that we could say, well, we need more information. So, so basically they were willing to listen to it. Um, I think they were starting to wrap their heads around it, but didn't feel that they were up to speed enough on it. They didn't have the luxury that Andy Foster and California have. Remember when John tested positive in July, 2018 that fight was in California because that fight was in California, California retained jurisdiction.

Speaker 2:          01:10:30       They've had two very public hearings on John when they suspended his license. And most recently, a week and a half ago when they reinstated his license. So Andy and the commission, we're very familiar with the world termina ball. They were very familiar with the longterm metabolite. And in fact Andy was somewhat critical of Usada during the last hearing. He thought after looking at all the details after reading, you know, Mclaren's a position that there was no evidence that this was done on purpose. He thought, man, maybe they went a little bit hard on him. And he stated that in that, in that second hearing. So with the reemergence of the Pika gram quantity of this m three longterm metabolite Andy in the commission, unlike Nevada, didn't need to get up to speed on it. They've already had two public hearings on John's issue. They were intimately familiar with, you know, some of these dynamics of this drug and the metabolites and, and that's why he felt comfortable based on their familiarization with it.

Speaker 2:          01:11:31       And based on these written absolute statements by these experts. So there was no ray ingestion one. And then the second thing which we haven't covered is these experts said, based on these low level Pika grams, there's no performance enhancing benefit. And that's an important point because if you would have told you fc look, this is still remnants from a year and a half ago, but we can't rule out that he's not getting a performance enhancing benefit from it. Well in that instance, I'll tell you, and you know I, I stand by this, I w I would leave this company if somebody told me otherwise, if there was any indication that there would be a benefit from him, even though it technically wasn't a violation, I'm not going to stand by while anybody licenses that guy to fight. Could it been, could this have been somehow or another mitigated by communicating these results to Nevada earlier?

Speaker 2:          01:12:27       Well, we didn't announce the fight. The John was going to fight and in Nevada and tell October, but in October, so you have said, hey look, here's this issue. Sure. Potentially buy. But the issue was you saw to hadn't come to that. They were in the middle of that point of consulting with other professional sports leagues with the other water labs. They hadn't reached their conclusion. Their science expert hadn't determined, Hey, this is definitely residual, no performance dancing. They were still going through that data at that point. So what they've told me is, look, we, we tried to hurry that along as fast as possible. We wanted to make sure that, that, you know, we went through this and very, very detailed and no stone left unturned. When, when did they reach this conclusion does, so this was early December, so December six that letter went out saying we've had these two low level positives back in August.

Speaker 2:          01:13:18       Okay. But here we are. I mean, this is the end of December. What could this have been headed off at the pass? Well, again, when Nevada first got notified, they thought like, we were hoping, well, he's had four negative tests, so he's probably going to be negative going forward here. Right? I mean, that's what, you know, the lay person would think, okay, he's probably out of the woods now. But you know, again, getting back to what period of time is this and John's preparation and if you look at some of these numbers and when these metabolites appear and disappear in early August, John was preparing his defense for this arbitration. I think he had an idea based on talking to his attorneys like, Hey, we've got a pretty good shot here of some mitigating factors where this is potentially going to get reduced. So I think, you know, he starts to get a little bit motivated, gets in the gym, start training again clearly in early December.

Speaker 2:          01:14:11       That's a period of time when our fighters that close to a fight are bringing down that body weight right there, cutting body fat, they're losing, you know, a little bit of water. So it certainly seems to correlate these, these, these pulsing, you know, affects with when is just theoretical, right? That it's released from adipose tissue. Absolutely. It is. So, uh, this positive result was announced when, so a week ago yesterday as you saw it as announced, you saw, it notifies us the UFC. That always happens and they notify if any commission has jurisdiction. At this point, this close to a fight. Nevada has jurisdiction. So I get the call and you can imagine what's going through my head. I mean I, I've gotten so many of these calls now. I literally for the first five or 10 minutes, can bury my head in my hand and think through exactly how this thing's going to play out and you know, it's going to be, hey, Nevada is going to say, wait a second.

Speaker 2:          01:15:12       What's going on here? We need to root this out. John's going to say, Jesus Christ, like, what is going on in my life? I can't get a fucking break. I'm trying to be careful. I even went through with DC. DC's going to react and he reacts. He's going to be, I fucking told you this was the case. This guy's a cheater. You know, you saw it as bullshit. Novitsky is bullshit. All this stuff goes through my head and the first five or 10 minutes, what's, how's Dana gonna React? How's hundred are going to react when I have to go over to his office and explain this out to them? It played out exactly as I saw it. It's, it's, it's some of the worst days of my career when I get these calls. Um, but you know, every bone was notified in Nevada was in our office two days later.

Speaker 2:          01:15:54       And again, I mean there's been some criticism of them out there. Um, I don't fault them. This is a complicated issue that optically doesn't look great and to do anything in a rush manner would be difficult. They did everything they could to afford us. Having a hearing problem was, it was just, it was too close to, to a fight essentially to get this out, this issue with optics, right? Cause if you go on twitter, everybody's calling him a cheat. Everybody's saying that you know, anybody that sanctions this is you're sanctioning cheating for someone to get an understanding of what this is like. It actually requires probably more than we've done now over the last hour and 15 minutes. Yeah. And I appreciate this forum. I mean, Dana and I went on sports center and announced it in three minute hit and I came out of there going, absolutely everyone in the world is going to say this is bullshit.

Speaker 2:          01:16:45       You can't, this is what, we're going to have a hard time doing this in two hours here, Mrs Things. Yeah, you've got, you've got to delve into it and you've also have to put your trust and reliance on these experts. They have a education professional career of 20 to 25 years to come up with these absolutes. There's no one else in the world, but maybe a dozen people that can come up with these conclusions. You do have to put your, you know, your faith and in their background and their careers and their knowledge and education and you know, a red which those absolutes were, that there was no evidence of any read ingestion. This is by multiple, um, experts and that John would not have retained any performance benefit based on these low level Pika gram amounts. Well, I'm happy that we were going to have this out there.

Speaker 2:          01:17:33       So people, if they have the time, if they're really that interested in it, this is probably a more in depth discussion of this, then you're going to get anywhere else. But I really wish we could have gotten something like this to Nevada and Nevada could have gone over this and looked at what, what I'm saying, what you're saying. It seems to me that we could have just had some sort of a meeting and kept this fight in Nevada and it would have saved everybody a lot of heartache. Yeah, I mean I think things were pointing in that, but there was no guarantees on that nice baby. It's still come on. It's Vegas. You know, the other thing that was being looked at was, was fairness to these athletes. Really you're going to put, you're going to put John and gus, maybe more importantly in a position where he doesn't know until two days or a day before whether this fight is happening or not.

Speaker 2:          01:18:19       I mean these and not even mentioning the other fighters on the card. And Look, you can talk to, and I have to Sean and Mick and Dana and hunter. All these fighters want to be on the big paper views. They know the bigger the fight at the top of the card, the more eyes are on that fight. And when you have a spectacular fight in the first second fight on the card, if it's on a big paper view with a giant fight at the top of it that can propel your career, your next fight, you could be fighting the main event on fight pass and progressed from there. So I think, you know, I think it's accurate to say that generally everybody wants these, these cards to be as big as possible. And when all the experts are telling us 100% this isn't a sanction b, he's not retaining any performance enhancing benefits.

Speaker 2:          01:19:06       I think, and clearly Dane and hunter thought this, we have an obligation to do what we can do for fairness for John. Definitely for gus for the rest of the card to try to make this fight happen going forward. Is there any way we could ever prevent something like this from happening again with the similar situation in place like Nevada? So here's, I think we have a couple solutions to that and it's not necessarily relative to the commission, but one thing that obviously protected John a lot, and this was the frequency of testing, you know, if you look at his numbers and these were, these were instances where they collected samples, but in many of these cases they did multiple tests on him. And that means, you know, the tests I'm reading were for the anabolic steroid panel. But in addition to that, they may have done a biological passport test on that same collection the May have done in hgh test and epo test.

Speaker 2:          01:19:56       And this is all confidential that you sought. It doesn't release all this information to these numbers on the publicly available website that you don't see what those tests are done. So the reality, and they just told me this is John was one of the most, if not the most tested athlete over these last six months. When you look at total amount of tests on his samples, excuse me, one thing that obviously protecting them here was that volume of testing and so you saw it, it came to us and said, hey, we think that you probably should, you know, up the amount of tests that you're doing. So, um, we just renewed a contract with Usada and were reduce. We're increasing our testing numbers by 30 to 40%. We currently, uh, the first three years of the program went under contract for approximately 2,700 tests and starting this next year we're going to up that to around 43 4,400 tests.

Speaker 2:          01:20:47       So I think there is going to be more of a burden they're going to be, you know, you saw to showing up in more doorsteps early in the morning of more of our athletes. But I think this is a perfect example that that increased volume of testing actually can be a protectant to the athlete, especially when you're talking in these low level Pika gram quantities and contaminated cases and things like that. We just got to get athletes to stop taking any supplement. That's not third party tested great points. So here's what we've done in that area. So about three months ago you sought a hosted a working group and included the UFC. Myself and our worst nutritionist, Clinton Wattenberg who you've met were there majorly baseball was there, the Department of Defense was there. There's been war fighters who have purchased supplements at bases over in Iraq and Afghanistan that contain a federal and another bad products.

Speaker 2:          01:21:38       Some of them potentially have died as a result of ingesting them. So they definitely have an interest in safety and dietary supplements. And you saw it as experts were there. What we did is we invited in the major third party certification companies and each one took a half day presenting what their programs look like. We went back and huddled after each one and huddled at the conclusion and said, what is a platinum standard third party certification look like? Let's all these presentations we got, what was strengths and one's weaknesses and the others and we have to put a perfect one together. What was it? What does it look like over the last month we've been offering, um, a paper that's going to be published in a scientific journal going over with that gold standard platinum standard looks like, um, going forward any third party certification company that can meet that and there's some that are very close.

Speaker 2:          01:22:30       I think we'll be able to do it very quickly. We are going to say, you saw it is going to say this is an approved line of supplements. We approve you to take this and this something that we've been unable to do in the first three and a half years of the program. And I'll tell you joe, it's the most common question I get from our athletes. What's you sought approved? And as soon as I say you saw, doesn't approve any supplements, but here's how you ensure your safety. They stop listening, goes in one ear out the other. This is a silly suggestion, but why doesn't the UFC come up with its own supplement and provide them to the fighters and say, you can't take anything else. Yeah, I mean it's definitely been talking through sponsorships with other supplement line. Exactly. There's a lot of dynamics to it.

Speaker 2:          01:23:16       It's not as easy as doing it overnight and it's distribution method. Just see if he could say, hey, you can take creatine, you could take, you know, all the multivitamins, you could take, you know, a branch chain amino acids and all these things that have been proven to be effective. But that's, that's weird too. Right? It's like they're effective. Meaning they enhance performance and recovery, but they don't do enough to be considered a performance enhancing drug. Yeah. And they're present in the food supply. So like basically out of community, you can go eat 10 chicken breasts or you know, have us a couple scoops of protein if you're on the go and don't have time to do it. So I think, again, apples and oranges in terms of performance enhancing or not. Um, so the theory would be we have an approved when, when I'm or dawn or ask that question, what's approved, I can say, here's, let's say NSF NSF has 1200 supplements that are approved.

Speaker 2:          01:24:07       I'd say all 1200 of these are approved. You should only use these. If something were to happen to an athlete, they'd used and approved line of supplements to get out of jail free card. If they can prove it and you saw it independently prove it, there's no sanction. I think that is going to go a long way and I'll give you a reason for that. Majorly baseball does that. They have for the last couple of years now they have some advantage and that all their athletes are employees and are coming in to the same facility for during the season, so they have some control over there as well. We don't, our athletes are spread amongst, I think 46 countries throughout the world, so it's more of a challenge. But baseball said the only supplements we're allowing in the clubhouse or in a facility are, and they use NSF supplements.

Speaker 2:          01:24:51       They had zero contaminated supplement cases last year. They had, I think they're testing numbers were four times the amount of our testing numbers and zero contaminated supplements. I mean the proof's in the pudding right there, so they have to deal with NSF. I don't know if it's a deal other than they've examined who those certification companies are and they feel that they're, you know, at the top of the line, we don't want to exclude any and that's why we're contributing to this paper to say, look, anyone could be one of these approved lines, but you must meet this criteria for platinum standard program, but it's coming from someone who was in his supplement business. Me, that's the wild west out there. Boy Is, I mean there's a, there's a lot of shit out there that's just, they purposely add performance enhancing drugs to their stuff because it's cheap and people take it and they experience these gains and then they sell a lot of it and then you get a following. Exactly. I saw that when I was with the FDA there is, and what they normally will do for maybe the first six months of the product, they'll spike it with something if they're going that route and then to decrease liability thereafter. They've already got the following. The bad stuff's working like, like hell. And then they back off just in the government and people go, oh, my body must have adapted. Exactly. Choose Sun.

