Speaker 1:          00:00:01       Why aren't you all home like the rest of the class.
Speaker 8:          00:58:28       Was what they had in mind and they deliberately chose not to have ground forces that would have been capable of doing the kinds of things that it turns out you need to do to be successful in these wars just like other wars. So the end. And when it happened that it was clear things were not working out according to their plan. They stubbornly clung to that plan even as the evidence was that it wasn't going to work. So that would be a candidate I'd suggest. Yes.

Speaker 13:         00:59:05       Yeah.

Speaker 16:         00:59:11       A little bit louder please. A Yeah.

Speaker 8:          00:59:28       The question is do I. Do I think that the recent Athenian history or the structure of the democratic society. Democracy had anything to do with the adoption of this plant. Perhaps. You're absolutely right. There must have been a very clear and painful memory of what happened to Thomas's when he invaded Bosnia. There were very very heavy casualties there for the Athenians. That's the only one in which they did have a. But they did have those and they were unusual so that it may have persuaded Pericles that the Athenian people would find it hard. But on balance I really think not. I don't think that the Athenian democracy was very different from the oligarchies of the other Greek cities in the way they thought about things they would have much preferred to fight it out. It was only Pericles incredible command of the political situation that allowed him to take the strategy that people had what the world is this guy doing.

Speaker 8:          01:00:28       And they turned against it very swiftly. So no I don't think that democracy was especially important now. The enemies of Pericles and the enemies of democracy I should say the enemy of Americans. I mean the ancient enemies of democracy do say that it was the Athenian democracies way of running the war which guaranteed disaster and they fixed on something that comes later down the road. The Sicilian expedition which was a dangerous undertaking as it turned out although these things didn't think so at the time and they think only a democracy could have done anything as stupid as that and they are in that way following precisely what lucidity says. But if you read my account you'll see that is another way of looking at it but that that's what the ancient anti-democratic view was. Democracies are idiots they don't know how to conduct war do anything else right. They will bring disaster. I think you can get disaster a lot of ways.

Speaker 17:         01:01:31       Julieta and yet we know that Turkey was only one of my generals. So my question was Is there any evidence that the yet.

Speaker 8:          01:01:47       No. It's very clear that so long as Pericles was in charge everybody did what Pericles wanted done. Part of the reason was that we know pretty well from the evidence that at least a good number of the 10 generals in any one year were. Close to Pericles so that his political influence spread. Very unusual thing in the ancient world for any body. In ancient Athens for anybody to have that kind of a carry over effect. But we see there's always several generals that we know are friends of Pericles and I think the rest of the story is that you see the generals don't get to decide what they do. In ancient Athens this is the part that blows your mind when you send an army out that Army gets a general or more it gets an assigned amount of money and equipment and stuff and it gets orders. And all of those things are decided by the Assembly after a debate by a majority vote. And what I would suggest to you is that Pericles did not lose any of those arguments except in the one case when they came after him and nail them and then they put him back in office again. So does that take care of your question.

Speaker 18:         01:03:03       That's a good yeah.

Speaker 19:         01:03:05       Heather you probably didn't want to have just gone.

Speaker 8:          01:03:24       Yeah. The question the heart of the question is why was apparently it wise to adopt a strategy no matter how good a strategy it might have been which he knew the Athenians didn't like. And I think the answer. Well in the end the outcome is obvious. No he wasn't wise but that's I think more because the strategy was faulty not so much because the Athenians didn't like it. He had proven over the years and he proved now in the most delicate of times that essentially he could get the Athenians to do what he wanted to do whether in fact they liked it to begin with or not. He persuaded them to do it. So I don't think that was really a flaw. The problem was that things went wrong almost immediately. And then such terrible things were happening as did shake his power for a while. But even then he came back into power and still the strategy wasn't working. I think the problem therefore I think you could say he knew what he was doing. He thought he could get away with it and he could have if the strategy had been correct.

Speaker 20:         01:04:36       You know to start with you. Uh uh uh. People from the different Oh yes.

Speaker 10:         01:04:57       Yes. The question is ancient writers Plutarch is whom you're really talking about.

Speaker 8:          01:05:04       They give Pericles credit for being a great general but they say bad things about Nicholas who was involved in the great defeat in Sicily. And yet Nicholas pursued something like the strategy of Pericles which was avoiding these conflicts. Well I think first thing I want to point out is that subsidies didn't do that. Not only this facilities so thoroughly support the strategy of Pericles he writes and in incoming him on the death of Nicholas that raises him to the level of Pericles or higher in his own estimation. But in the case of Nicholas it was in a way even worse than what Pericles did because Nicholas first of all was against the war against going to Sicily in the first place. Then when he was chosen to be general he went. But before he did that he tried to convince the having lost the vote shall we go.

Speaker 8:          01:06:12       He then decided to trick the Athenians into not going any way by saying to them oh well if you're going to go all right but it'll be perfectly safe if you just sort of take this. The original fleet was going to have 60 ships period. Well it ended up having 130 ships 5000 hop lights raising the risk of that thing to the level that finally made it seem like they could lose the war by losing the Sicilian campaign. And he didn't. The Athenians instead of saying which what he expected. Oh no no. If that's what we have to do let's not go. Instead they said Right on. Yes you can have everything you ask for Nick is what would you like. And off they went. And thereafter his performance on that expedition is one of somebody who doesn't really want to carry out his instructions.

Speaker 8:          01:07:07       He just what he would have liked to do was having lost the argument twice. Now he went out and did everything he could to avoid confronting any battle in Syracuse and was finally driven to fight at Syracuse very much against his will. And then I could you know go back and read it but he screws up the detail of it over and over again. And so I think there are good grounds for condemning him as a general whereas the grounds on which Pericles should be criticized I think is as a strategist rather than as a commander anybody else.

Speaker 21:         01:07:52       Yeah. No.

Speaker 22:         01:08:00       But I think they. Well I'll make one little exception to that but I I think they could have had a very good chance to come out of the war in the way Pericles hoped they would if they had pursued the limited aggressive program that was undertaken by Clinton in Damascus and these after the death of Pericles. So taking pilots building afforded pylons taking Cicero building a fourth there and perhaps even a few other places on the periphery of the Peloponnese and launching attacks from those places but not staying to fight the Spartans at any great battle just causing that to happen if they had been able to do that for a stretch of time then the hope that Clay on had that the headlights might escape to these forts and that then ultimately bring about an internal upheaval which the Spartans panic might happen would have led the Spartans to offer peace and in fact they do the Spartans off peace many many.

Speaker 22:         01:09:06       You could argue that if the Athenians had simply accepted the Spartan peace offer in for twenty five the war would have been over and the Athenian Empire would've been intact just the way Pericles wanted it. So not only could they have done it they would have done it if they'd accepted it. They wouldn't accept victory you could argue as many a scholar does. You have the only other point I want to make is after that didn't happen and finally a peace was drawn up and signed then in effect in 421 which is another evidence that they could achieve what they wanted by the techniques that were put forward. But after that happened that peace broke down and now the Athenians found themselves part of a new alliance of states Peloponnese as Athenians with three Peloponnesian democracies who produce a big land battle in the Peloponnese. And the Athenians come that I mean the enemies of Sparta come that close to defeating the Spartan army in the Peloponnesian War. Had they done that they would have finished Sparta off as a dominant power grid. So the answer is they they actually had it in their hands a couple of times and in another time they missed by about an inch. Yeah. They could've won that way. I think we're out of time. Let me wish you all a very happy holiday. Bye bye.
