Speaker 1:          00:00:07       Bikes with them.
Speaker 3:          00:32:40       same sex marriage, then this meant you were in the wrong side of history and this who was the guy that ran against games that, correct. She was on the wrong side of history at that point though. Then it became on the right side of history. The reason that I use the phrase, obviously it was a bit of a poke in the eye to that phrase and it's a play on words, is the end of the conservative side of history, the right side of history. But yeah, there is, but there's also this idea that what I don't like is using history as a club to beat someone with when it hasn't unfolded yet. So people will say, you're on the wrong side. You don't agree with me on tax policy. Well that was because in the future it will be proved that I was right and you're wrong. And you were on the wrong side of history. That's what Obama was saying about same sex marriage was people who were saying that traditional marriage has been x for thousands of years. Those people are on the wrong side of history because history will justify my position and they will have been shown to be non progressive and non decent. Maybe that's right. Maybe that's wrong. You don't know yet. History hasn't progressed yet. Right. But there are certain, yeah,

Speaker 2:          00:33:28       it would be very scary though if that was true that we would, once things change that you would look back and think that the thousands of years before you, and this is sort of what you're talking about, the book that all of the people that believe different things were we're backwards or evil or on the wrong side of things. I mean it takes it no context of how they live.

Speaker 3:          00:33:45       Right. And, and again, I think there's a difference between looking back saying here's a bunch of good stuff that we have in today's society and here's all the things that we love. Where did that come from? That's what I say, the right side of history. Here's the stuff that we know that is right and where did that come from? Okay, so that's the right side of history as opposed to here's my politics. Today is my political position. I have not a lot of evidence historically that it's going to work or it's not going to work, but it will be proved one day that you are on the wrong side of history. If you oppose me, you're not really talking about history, you're talking about you know, you're, you're basically forecasting into the future something that you can't possibly know. So that that's sort of use of the phrases is highly irritating to me.

Speaker 3:          00:34:19       Especially because there are times when their politics in the ascendancy, they're really ugly and unapproved later to be completely wrong. I mean, there was a point where Jews were pretty regular getting murdered in Europe. They were on the wrong side of history at that point. Right? And then it turns out that in the long run, they're not on the wrong side of history. The Nazis are on the wrong side of history. If you'd said the opposite in 1934 people would have thought you were crazy. So you can't really say where history is going. Well you can do is look back and say, here's where history has gone and here's what we like about what history has been and here's where we have broad agreement. And that's really what I'm talking about. Where are the issues where we in Western civilization should have brought agreement? And why is that broad agreement starting to fall apart?

Speaker 3:          00:34:52       Yeah, so you know, the IDW is a great example of this. There's not a lot of agreement on policy in the IDW virtually at all, but there are certain basic principles that we all kind of take for granted. Democracy is better than dictatorship. Free speech is better than limited speech. Personal responsibility is better than shirking personal responsibility. Like these are things that, that everybody seems to basically take in common. And so what I say is, okay, where do these values come from? Because they didn't spring up in a vacuum. And the fact that we have great material, prosperity and free markets and wealth, and all of this great stuff that did not happen either by accident or everyone at once.

Speaker 2:          00:35:29       Magic. It's not just some sort of man made magic. So let's talk about that. Let's talk about the two cities then. Let's, let's start. Let's start with Jerusalem

Speaker 3:          00:35:36       to Jerusalem. Okay. So the, so the basic thesis of the book is a very [inaudible] view, that thesis. So Leo Strauss, famous 20th century philosopher, he posited that Western civilization was predicated on these two poles that we're constantly fighting with. One another. One was Jerusalem and was Athens. So Jerusalem is the idea of Judeo Christian values that under girds our social fabric, the vast majority of people who are members of the community or members of the Judeo Christian community in the West, obviously. And there are certain values that are inherent in the Bible that are different from most pagan cultures. So for example, the, the Judeo Christian ethic, and we can discuss where that comes from. You know, Jordan would say that it's rooted in, in human nature and then manifest in the Bible. Uh, people like Sam would say that it's sort of an evolutionary hangover. Um, but you know, we can get to whether the revelation actually occurred or not, but the, but the basic premises of Judaic Christian revelation there, there are several of them.

Speaker 3:          00:36:24       One is that there is such a thing as an orderly universe. So this seems perfectly obvious to us now that that we can discover the rules of science, that things are out there that make sense. But for a huge majority of cultures over time that was not true. It was you worshiped various gods because there are arbitrary that are fighting with each other and you tried to appease one at the expense of the other. There are no discoverable rules to the universe. He's weird though, that you have to take a leap of faith to get to a place that it starts with order. Isn't that? Yeah, it's, it's an interesting, it is, and this is, this is one of the points that I make is that people see reason and revelation as intention. But the point that I keep making two Sam whenever we discussed this is that Sam makes a leap of faith to about these principles.

Speaker 3:          00:37:02       He and I started at the same principles. It's just that I acknowledged that I'm making a leap of faith to get there and he thinks you can reason your way back using sort of a priori reason to these fundamental principles like the orderliness of being able to discover rules in the universe. I don't think any of that is perfectly obvious to the human mind nor do I think that for the vast majority of human history, people thought that you needed people tended to think that basically your cork bobbing about on the ids of chaos and that there was no real way for you to to discover any logic to the universe. So the, the idea of the Bible is there is a god, the God creates a universe using a mind. That mind is orderly in nature and there are certain logical rules that that mind uses and then we are created in the image of God, which has a couple of separate implications.

Speaker 3:          00:37:44       One is that our mind reflects his to the extent that we can grasp at a certain level what exactly is the order of that universe and then the second is the actual meaning of that we are made in the image of God. It means that each of us has inestimable value. Now that is something that, again, we tend to think of as perfectly obvious that we are all valuable human beings, but all was restricted to the tribe for most of human history and we are reverting back to that now, which is all, you know we are all valuable except for that guy. That guy is not valuable. Screw that guy, right? He's a member of an opposing tribe and so the story of Western civilization is the broadening out of that principle that we are all made in God's image too. All right? That's why when people say, okay, well Western civilization had slavery in Western civilization had racism. It's that all that is true. The question is why Western civilization got rid of those things where it had been trying to fight those things. Whereas other cultures have basically reinforced those things or have decided those things are okay. And the tribalism is, is a, is a good, yeah.

Speaker 2:          00:38:37       Thanks. So what do we do that again about the people that always want to focus on the bad part? Because one of the things I liked in the Prager u video, you made a point of saying, yeah, a lot of bad things have happened, right? The West has made mistakes along the way, but that the arc has bent so that there is more freedom, there's more wealth, there is more prosperity, all that. But it seems to me that, and I think this is what's happening on the left by and large, is that if they could step back for a moment, they might see that it's a lot better. I mean, every college Gig I go to, I go, I always open it up to the crown. I say, does anyone have it worse? I say this to the hecklers. Yeah. And they never respond. Does anyone in this room have it worse than their grandkids? And nobody ever says yes. It's almost impossible if you live in the United States, if you're not honest with you, until your grandfather could have been an oil barren and then lost it. Right. That's pretty much happy. They'd be happy for that too because they don't want inherited wealth to go through the generations. Right. But the point is, it's very hard to get them to look at that. What do you think, what do you make of the type of mind that always goes to the worst? Is that because of the disconnect with Jerusalem? Yes.

Speaker 3:          00:39:33       I mean, yes, because I think that to a, to a certain extent you had, and this is sort of the thesis of the book, is that if you're ungrateful for this society that you've been given, that's because you don't understand the society that you've been given. So we tend to think of all this stuff is natural. It is completely unnatural. There's point the journal Goldberg makes in his book, right? The prosperity, the fact that you have a baby, the baby's will live to 80 in the United States, barring some sort of cataclysmic health event. The fact that you are going to live not only in relative prosperity, but the greatest prosperity that any human being has ever known. You can go on a machine and click a button. Any product that you like will arrive at your door in two days, made in 10 different countries for an affordable price that costs you less than an hour of labor. Right in there. Like

Speaker 2:          00:40:12       thank God those people aren't going to New York, right, with those 25 pounds.

Speaker 3:          00:40:17       Yeah. So the, so I think that one of the great debates of our society right now is that on one side you have a bunch of people who say, okay, well that's where things are awesome. Things are historically awesome. You wouldn't want to be born in any other time in any other places in an amazing place. And all of the problems of history exist. But what that's about is a struggling to maximize the principles that were good in their inception. And then it's a question of is fulfilling those principles. And this is true for the declaration and the Constitution. And yes, slavery was contemplated in the constitution and that was a great evil. And then we find a great civil war. And then there was racism that was implicit in American society than we fought. We fought ourselves using these great universal principles.

Speaker 2:          00:40:54       That's always ongoing, right? Of course,

Speaker 3:          00:40:58       there, there is no end point at which all human sin has been alleviated because we're sinful creatures and we tend to revert back into all of these things. Tribalism and racism and, and illogic and all of these, these things. But, but the fundamental principles at the root of the civilization are good. And then you have a bunch of folks who say, right, we have a lot of prosperity, but look, there's still racism, there's still sexism, there's still bigotry. And that's because the actual natural state of man would be the prosperity. It's all this other stuff that western civilization added. And that I think comes from just a complete ignorance of the realities of history in the world, which is that everything bad that has happened in Western civilization, yes, is truly awful and evil and also has existed in virtually every other civilization. The history of the world.

Speaker 3:          00:41:38       The question is why is the good stuff happening? Right? The natural state of Man Hobbes is right about this is nasty, brutish and short. The natural state of man is not the Rousseau's noble savage living out there enjoying the fruits and the nuts. I mean, that's not exactly what was going on, right? This is the point that that, that as I say, Goldberg makes is that something happened and suddenly we are all living in paradise. So what was the thing that happened? So the, and this is where on the one hand, I really accept Goldberg and Pinker and the enlightenment argument and [inaudible] argument in Michael Shermer, his argument, I love the enlightenment. It's so funny, people would characterize this book is anti enlightenment. No, it's very anti-friction. Lightman half of the book is actually, I mean that portion of this is correct. It's, it's funny how people sort of see what they want to see.

Speaker 3:          00:42:18       So I've gotten letters from religious people saying, I don't think you're taking seriously enough. The contribution of religion. And then I got people from the secular humanist side going, I don't think you've taken seriously enough the contribution of Athens. Like No. The whole point is that these two things are intention and not only are they intention, but that tension is necessary. I described civilization as effectively a suspension bridge and on one end you have certain principles you must take for granted and that are embedded in the Judeo Christian tradition. And on the other hand you have all the reason that must be used in order to not end up in theocracy land. And these two things are pulling against each other and pushing against each other and pulling against. And that's the history of Western civilization. And I think the greatest balance was reached in the American founding and in those principles.

Speaker 3:          00:42:57       And then those promises were expanded outward to a broader and broader group of people. And that's the story of the West as opposed to Western civilization is the marks. His take is that Western civilization is effectively a power hierarchy. All these principles are a lie and that the principles are a simple gloss on, on what is a reversion to a power hierarchy. So for example, there was somebody on the left who got very upset because in this section, the book I say, you know, we used to believe that we are brothers and sisters. We seem to believe that we have these principles in common. And people were like, who's weak? He Hobby? Because a lot of, cause a lot of black folks were not included in that bargain. A 100% true. But if you go back as late as 2006 2007 2008 and look at the poll numbers, people believe that racism was receding in the United States.

Speaker 3:          00:43:39       People believed that effectively. We were trying to get rid of all of this stuff. And the reason that we've been able to curb racism in our society, the reason we've been able to curb sexism is because we were able to use these principles to overcome the natural tribalism and sinfulness inherent in human beings, right? So when I say we used to believe we were all brothers, we did believe that we are all brothers. But then we expanded the definition of brothers. That was the story, right? The reason that Western civilization has been effective is because we have these principles. The principles are good. We were too restrictive in the use of those principles. And then using reason, we broadened out those principles to encompass more and more people. So when I say we used to consider all of each other brothers, that was true in theory and not an action, and then it would was broadened out to action. And that's what's made our world a better place. So is that part of the problem right now is that we're in our eating fruits and nuts stage here in the west. We are in such spectacular wealth and freedom

Speaker 2:          00:44:32       and all of those things in, of course, everybody's not wealthy and we have a homeless problem in all sorts of things. And there's problems, there's mental health problems and everything else, but that we have. So by and large conquered races and we have so by large conquered all of the inequities in society. Not all of them, but we've, we've done a pretty good job and we show it, as you're saying, it's the train is still going right. But that do, that then becomes the weakness that then people, young people, and I mean if you look at the millennials and now everything that was born out of this new progressive lefty thing, it's that it's not perfect. So we must burn it down. So it's almost that that is now, but it's a symptom of the success it's suppose to, it's almost a inevitable symptom. Okay,

Speaker 3:          00:45:12       well that's right. I mean this is what I talk about in the book when I get to, you know, the sort of the philosophy of the 1960s which was we need to replace the heart of stone within man with a heart of flesh. It was a religious concept. It was from a Marxist idea, which was there is something fundamentally wrong with the western soul. And what we need to do is shift the entire system. This is the Marxist. The actual market is pro pro. Uh, promise is not, you're going to be wealthier and more spectacular and your living standard. Then under capitalism, ver very few marks is actually make this claim. And if they do their ignorance, uh, the, the actual match, his claim is that it will fundamentally change the nature of human beings to live in different relations with each other in a certain economic system.

Speaker 3:          00:45:49       And we will become different in humans. Now the conservative view and the religious view is no, you won't, right? I mean, you're going to be exactly the same human you were before then the system can change. Human beings are always what they are. You can alleviate certain material conditions that make people more likely to be less stressed, for example. But overall, human beings are sinful creatures. We tend toward toward tribalism and anger. We have to train ourselves to be good. Anybody who's had kids, I'm frankly astounded that anyone who has kids buys into the Marxist, he says, because the notion that kids are there, that people are inherently good. It's such absolute utter crap. That doesn't mean we don't have good instincts. We do have a good instinct, but that is balanced for the very selfish instinct as well. I mean, I, I know there's a, there's a new book out.

Speaker 3:          00:46:29       I'm trying number who, who's the author was just reviewed in the Wall Street Journal talking about sort of the natural goodness of, of human beings and I, there, there is some of that, I mean look at as Jordan, let's talk about, if you look at Piaget, people play games with each other and they tend to form common rules and all of that is true. There's also a real selfishness to human beings that naturally comes out and you see it among kids. And if that's not trained, if people aren't cultivated to become better human beings, they just don't become better human beings. And so this is why I say you need to reexamine what it is that's good about your life and then ask, why did it get so good? You didn't build this thing like, I don't want to, I mean, I do want to quote Obama care. Obama says you didn't build it. When I spend my entire life building a business, but you didn't build the system, the system you were born into. Right. You think that free speech is something that just magically exists here and that everybody is entitled to it. Yeah. Welcome to a thing that that only exists for the last couple of hundred years and legitimately millions of people had been killed fighting over.

Speaker 2:          00:47:21       Is this why? What is happening right now with the Democratic candidates is so dangerous. I mean, just in the last couple of weeks, so now they're talking about reparations. They're talking about adding Supreme Court justices. They're talking about, there was a whole slew, I give me a give me [inaudible]

Speaker 3:          00:47:36       electoral college, Electoral College. I went to the Senate, the Senate, because it's not represented my population. Yeah. Yeah.

Speaker 2:          00:47:42       These things that these are now would be, you know, look, these ideas were man made ideas, but that they think only in their day. If they can just rejigger the entire way we look at everything, it will be better. Where I would argue in almost every, I can't imagine a case where if we flip to any of those things, things would, would be any,

Speaker 3:          00:48:00       yeah, no, I, I really have serious doubts that if you get rid of the Senate that suddenly people in Montana are going to be like totally okay with everything. Right. Or that people like let, let's not pretend that people in California

Speaker 2:          00:48:10       aggressive in the big cities would control everybody.

Speaker 3:          00:48:13       Right. And, and by the way, the people in the rural areas, we try to break away. I mean, they would, that's the, the, the, I mean people don't want it. The civil war was about slavery and there was also a massive economic gap between the south and the north, which was reflected in a lot of the tariff fights that existed up until the civil war. That was a rural urban gap. And it's one of the reasons why the north one is because they had so much more urban power than the south. But you know that that was about slavery. You could see a certain situation in the United States where the rurals look at the cities and they say, we don't want you ruling us. You don't live out here. What do you, why should I listen to a bunch of people live in San Francisco when I live in the Central Valley of California?

Speaker 3:          00:48:46       I'm a farmer out here. Why can't you leave me the hell alone and, and you know, I used to at least be able to punch above my weight in terms of you used to have to take my opinion into account. Now you can just ignore me and run rough shot over me. Why should I be part of that system? I don't buy into your majority Terrian system where you are always the majority. That's not something I'm interested in. You know, the, the, the sorta the, the tracks that the founders did not trust peer majority hereon doesn't mean they were right not to trust peer majority Arianism because majority of people have often believed incredibly stupid and dangerous things. That's why they want to checks and balances. We've sort of run rough shot over those over the course of the last century. But yeah, I mean the, the, the fundamental disconnect between conservatives and people on the American left, uh, is summed up by Chesterton in, in his very famous fence analogy that if you're on the left and you're walking through a field and you see a fence in the middle of the field just in the middle of nowhere, you're first instinct is, I don't know why this fence is here.

Speaker 3:          00:49:35       Let's take down the fence. This fence, it does not belong here. It's just dumb. There's no reason for the funds to be hurt. Get rid of the fence. If you're on the right, your first instinct is to say, I'm not going to remove the fence until I know why it was here in the first place. Once I figure out why I was here, then we can talk about removing the fence. And that is true right now in politics, the, the left teams to be saying, I don't know why any of this stuff is here. They even ascribe bad history to these things, right? They'll say that the electoral college has put in place to protect slavery or some such nonsense, which is just not true. And then the end and then it's like, well, we created this false history. Let's get rid of the thing. I don't know why it's there in the first place. No reason. Dump it. And people on the right. Whoa, maybe we should like, think about what the actual possible down sides here are because virtually every action that we take has some unintended consequences. And maybe we overstate the unintended consequences. Like I think that has probably happened for example with gay marriage, right on. I used to be anti same sex marriage on the legal level. I used to say like,

Speaker 4:          00:50:28       I think that if the government legalizing same sex marriage that it's going to have some pretty dramatic impact on how people interact with one another. Um, and then I was, and then before Obers fell, I said we should get out of the business specifically because I don't want anybody imposing their views on anybody else. We can all live how we want and just leave each other alone. And I think the the right overestimated kind of pushback. Did you get from religious people on that? I don't know that we've ever actually specifically talked about. I don't know that I got significantly heavy pushback specifically because I wasn't making the case that you have to overrule your own vision of what's in constitutes. I'm just saying you can't impose that on anybody else. Meaning that if you want to protect yourself from the other side using government for its argument, then you need to stop using government for your argument.

Speaker 4:          00:51:09       I was making the anti institutional argument, right? I wasn't making the case that everybody who's religious has to re shift away from their religious orientation. I wasn't doing the Hillary Clinton thing where it's like a certain amount of religious people. I get that. Yeah. That I make obviously, but I would imagine a certain amount of religious people if they're viewing this as sort of a foundational societal belief, right? If you change this institution, I'll tell you, I didn't get a ton of pushback specifically because I wasn't coming out against the institution. I think a lot of the pushback that surrounded same sex marriage was a twofold idea from the religious community. One was you must personally in your own life, except that same sex marriage is morally equivalent to a heterosexual marriage. And if you don't, you're a bigot. And that offended a lot of religious people.

Speaker 4:          00:51:48       People were like, I don't that, that's not an argument I'm willing to listen to because you're, you're immediately labeling me a bigot based on both my religious views and a view of natural law, which is fairly common to most religions and I'm not going to hear that. I think that if the, if the left had approached it as you don't get to use power, we don't get to use power, nobody gets used power the right is much more receptive. That's been my argument all along. So I think libertarianism has a lot more draw than social leftism two to the right. I think you can make, can solve most of those problems by having the government just not be involved. This has been my contention, right? I could cause what I'll say to religious people as I may even agree with you on the nature of sinfulness, a particular activity, but it's none of my business.

Speaker 4:          00:52:27       And not only that, I think that if you make it the government's business, you know you're all happy to use the government right now for your particular ends, but there's gonna be a time when you're not running the government anymore and they're going to come for you and you're not gonna be real happy. Right. They don't seem to like this Trump guy. Right. They get their answer is more government. Exactly. So that's why I didn't, I didn't get a lot of pushback when I suggested that because it wasn't coming from a place of me trying to castigate people for their own personal moral views. And I think that for, for a lot of the gay rights movement, it was about that. It was about, it was about, I'm trying to castigate people. If you believe that what I do is I send, that's because you're a non meritorious intolerant bigot.

Speaker 4:          00:52:57       Does that also show you the, the, unfortunately religious people have been tarred with this idea of intolerance when it isn't true. I mean, is that like a really good succinct, I mean I think that's a good example because the fact is that listen, has there been religious intolerance toward people? 100%. I mean, come on, I can't pretend that that doesn't exist in the Jewish community, exists in the Christian community, exist in the Muslim community. It's true that there's been intolerance. I quite like, I don't want to portray religious people is all completely innocent in this cause obviously that's, there are people who have been

Speaker 3:          00:53:26       excised and treated badly by religious communities. Of course that's true. But this is what I was talking about earlier with, with, with Buddha judge his treatment of pens, the track, the attribution of motive depends as the pence is sitting there like day in and day out thinking, oh, that people put a judge in his, in his sexual proclivities. Like that's, mm. I don't know anybody who thinks that way. If they do think that way, there's something wrong with them, frankly. Yeah. Um, and it's, and so that's, and also we did,

Speaker 2:          00:53:49       it came out of a of a year of me to where it was like right before all that happened. What was everyone making fun of pence over that he doesn't go into rooms with other women and yeah, that may sound odd to me or you know, all right. That's what he's decided to do. And guess what has been not accused of doing, some of them are frankly, listen, yeah.

Speaker 3:          00:54:07       Spending Jewish religious law for a very long time. You're not supposed to be alone with a, with a woman who is not your wife with the door closed. This is like legitimately part of Jewish law and it has been for several thousand years. It's called the acid. You're not actually supposed to do it. So like Mike Pence said that, I was like, oh, well welcome to the club dude. Thank you.

Speaker 2:          00:54:22       What do you do in a situation like that then? So if you're in your office and a, and a female,

Speaker 3:          00:54:25       cool. I mean we've got glass doors, so it's not as much of an issue, right. Meaning like, you know, I don't really thought it all through [inaudible] like I never want to be in a position where I can be accused of acting with impropriety. And by the way, this is true for doctors too. Like I'm, I'm shocked that people took pens that way. I, my wife, who is a doctor when she goes into, she is, it turns out I can't believe when she, when she goes in and she examines a patient when a, when a male doctor examines a female patient, the new rule basically is there must be some third party in the room to ensure that there is no claim made against the doctor. It seems to me if you're a prominent person then you should be considering exactly the same thing. Like this doesn't seem illogical to me. This just seems like for the same reason that I like body cameras on cops as a general matter, I like evidence and I like people who are there to debunk or enforce the, the, the actual account that happened.

Speaker 2:          00:55:13       So is this another one of those things where they, the road to hell is paved with good intentions. Where the idea of course is, you know, we're gonna put everybody in situations where the you, I wouldn't care. I don't care if the person that I hire, I don't look at their, I mean, when we did our last job posting, I made a point of saying, I don't care about your gender. I don't care about your sexuality. I don't care about your skin color, et Cetera, et cetera. But in reality, because the world is so out of whack right now, the truth, the real truth is, I don't know that I've ever said this publicly. When we were looking at resumes, I was less inclined to hire a gay man because I thought, well, I could be in a room with this person and then they could just announce that, listen, they're writing. How insane is that? So now you've created a scene because you create the system of incentives that it doesn't help anybody.

Speaker 3:          00:56:00       Right. [inaudible] you've seen actually this, this sort of thing materially speaking in terms of, for example, policies that say that you're not allowed to do criminal background checks on potential employees because there are too many black folks who have criminal backgrounds and so we want to make sure more black people are employed. You actually end up with a reverse what you end up with his employers who look at resumes and in many cases cannot check the criminal background of people and so they say, okay, statistically it's more likely that a black person went to prison than a white person went to prison is not a racial statement. That's a statistical statement of fact and so I'm just not going to hire this black person. Well, who gets hurt by that? That black guy who didn't commit a crime, right? Yeah. This is, this is the sort of thing that like there are dangerous unintended consequences to public policies that are, that are well intentioned.

Speaker 3:          00:56:41       Again, I think it's a well intentioned public policy, but I think that it's a, a bad public policy. And to pretend that people aren't people as stupid people are going to use whatever information they have at hand to make judgments and to protect themselves. And this is, this is true if, if this is true with regards to employers and women taking time off from the workforce, this is true with regard to sexual harassment allegations. Like, listen, when I was growing up, my mom always said to me, right, and my mom ran businesses. I mean she, she was a higher up at the company that did hell's kitchen and she did like major reality TV shows. So she was a high powered when my mom worked, my dad stayed at home and my mom said to me, if you ever get a secretary, get a 70 year old woman, right? Because you're never going to be accused of anything cause she 70 Riley. And that was my mom saying that to me.

Speaker 2:          00:57:23       Some people have that fetish, but

Speaker 3:          00:57:25       it as a general rule like this, but, and that's not entirely like human nature is human nature. In this, there's been this willful attempt to blind ourselves to human nature that I find alternatively hilarious and ridiculous and scary. It's like what we're supposed to pretend that reality doesn't exist because we wish reality. We're not what it was. And the truth is the, the unhappiest people on Earth are the people who are constantly fighting reality. Whether you're talking about in your dating life where it's like, I want to look just exactly as I feel like looking at everybody else who won't date me. It's their problem. You can't get a date. And I said, well, maybe it's because you haven't worked out in 10 years. Right. Stink, right? Or Yeah. Or, or maybe a or whether it's in the job market where it's like, well, I wish that I could get this job and I deserve to get this job and I'm not going to do what I need resume wise to get the job or I'm going to rely on such and such to get the job that I don't get your order or I'm going to sit in this dying town.

Speaker 3:          00:58:13       I'm never going to leave this dying town because I deserved to have a job in this tiny town. The nice thing about politics is you can pander to everybody by lying to them about these realities. Right.

Speaker 2:          00:58:21       Did you, did you happen to see last night, I think it was on 60 minutes, there's a clip going around of this young, you saw this, this student? Yeah, or they, they interviewed several students and the thrust of it, I didn't see the full thing. I just wrote what they tweeted out, the videos that they tweet it out, but the rest of it with all these young people, but there's this particular young man saying, you know, if college was free in medical school was free and that I wouldn't have to work. And then because of that, I could study more. Thus I could be a better dot. Right? And it's like, hey, there's no proof that that's actually true and you might learn a lot of things by working and all that. Now the idea that med school maybe is too much money in college is completely out of whack. That's a perfectly legit conversation to have. Right? And we can't have that conversation, but I just thought the way it was spun by the Twitter account was like, see, it's obvious you shouldn't have to work if you're going to be a doctor. Right? And it's like, no, no.

Speaker 3:          00:59:11       Right. We're missing something here. That's the, so what was funny about that story is CBS news covered it as, isn't this a great example of why we should make medical school for free? Right. And what actually happened is there was a donor

Speaker 4:          00:59:22       I believe is Bernie Marcus from, from home depot who went to Nyu and he donated several, I believe it's like a hundred million dollars to Nyu to pay for the medical education of the kids who went to Nyu. So as a private donor doing something good for these kids and they're like, what if we just made a government policy? Well then you completely skewed the incentive structures. What would happen, because I'll tell you what would be the next thing that happened. The next thing that happened is that doctors would be, would be granted free tuition presumably. And the next thing that would happen is they would say, okay, well now you have to be regulated so you need to work for 60 grand a year, at which point the registration rates would dramatically drop it. And you get a completely different crop of people who are going into medicine in the first place because you know that you're going to get free education, but you're only gonna make 60 grand, 70 grand on the other end.

Speaker 4:          01:00:02       All those people who right now are paying $200,000 to go to medical school so they can make $400,000 a year coming out. All those people decided to go work at Mckinsey instead. That's all that happens because people are profit seeking and want to live a certain lifestyle and guess what? After 11 years of this shit like my wife deserves to be able to earn whatever she can earn. I mean, I've been doing this thing, okay, I've been women, like I cannot tell you how many, how many things we've had to forego and I've paid for her medical education, right? I mean, I've gone out of pocket for all of it. I've paid for every iota of her medical education and it's cost us a lot, but she's working for below minimum wage right now because doctors and residency effectively worked for below minimum wage. They're making 40 50 grand a year and then working 80 hours a week and that's what they go through.

Speaker 4:          01:00:41       And you know what? That's because they should make money on the other end. The market does have a value in determining what the value of these things are. The two solutions to that are either the market or private people like the home depot guy come in and that that frankly I think that it's just, it's not perfect, but frankly I don't think that nobody's forced. I don't think that there is a serious, yeah. Okay. So there are a couple of things you can do to bring down medical school tuition. One, you could stop with the licensure requirements for things that nurse practitioners could do. Right? Because that way you have bunch of people who are going to nursing school or PA school and they can do a lot of this stuff and then you don't have to create this cartel and the cartel charges a lot of money too for you to get into it that that'd be one thing.

Speaker 4:          01:01:18       But number two, so what, so you take out a bunch of loans to go to medical school and they make a bunch of money coming out, which you should make because you have spent a lot of money going in. Like if you want, the question is do you want your doctors to be people who make a lot of money? Do you think doctrine is an important thing as a society such that you want the smartest people going into it? If you want the smartest people going into any industry, you have to make sure that the pay grade is high enough and I'm at, my problem here is not free medical school. My problem is that it will be used as an incentive to to force doctors to take less of a cost for Medicare for example, and then you will get a lesser group of people intellectually than you otherwise would.

Speaker 4:          01:01:50       There's an unintended consequence to this sort of stuff. So he's this just the fundamental flaw with almost every argument that comes out of the progressive these days that if you give free college that this will somehow ultimately do good. Even though we know that there are more jobs disappearing that you wouldn't need college, but that will be the free, you can go to trade school or or any of these things where it's like we can or Medicare and then the free college education. The, the free college education argument is one of the worst arguments I've ever heard. It's legitimately a terrible argument. I mean the idea that look, everybody in college is earning more than people who didn't go to college. Therefore if everyone went to college they would all earn more than that. No, I'm sorry. The reason people earn more from going to college is because it is a sorting mechanism.

Speaker 4:          01:02:29       If you get rid of the sorting mechanism, you know what will happen. There'll be another sorting mechanism, which is exactly what's happened with Grad schools. The vast, a huge number of it. Like as you sort, the incomes go up and as you get rid of the sorting mechanism that our new sorting mechanisms that are added to the job market and to the educational market while you're actually getting, unless you're actually, you know, going there for math or science or something, but as I said, if you go to college and I went to Ucla and then Harvard law school, so I have plenty of experience with, with going and majoring in useless things and major university, you were Ali's, I mean I was a poly sci major at Ucla, which is a useless thing in a major university. The all that these things are are twofold.

Speaker 4:          01:03:06       A sorting mechanism, because I went to Ucla and Nazi son and that means that presumably I'm smarter because it's a higher sat score to get into Ucla than it is to get into Csun and second, a an Ersatz social fabric where you meet a bunch of people who then you can later on call on his friends. Right. This is what JD man's talks about and hillbilly elegy coming from Appalachian, going to Yale law school. Suddenly he has a group of people he can call on and he's part of the social fabric and he's operating in different social circles. Neither of those two things are going to be cured by universal college because the social fabric goes away because it's not selective anymore and the sorting mechanism goes away because it's not selective anymore. Right. So so do you get free college no matter what your major is?

Speaker 4:          01:03:41       Well, this is the other thing, lesbian dance theory, that Free College, right? What did we give to society when you're not qualified to do anything? By the way, Buddhist judge has exactly right about this. This, he was correct on and he says, why are we having middleclass people subsidizing people who are upperclassmen. Totally correct. Totally correct. The people who are going to end up in college enabled to get into college. You're going to be the people who would have been able to go to college anyway. We don't need more people going to college. When you have fewer people going to college, we need less useless majors. We need people being able to apprentice directly into law school. We needed it. Like why is it that you have to be 23 and you've gone through seven years of education to go to law school? Why? It makes no sense.

Speaker 4:          01:04:15       Why couldn't you just, when you're hiring right now because daily wires killing it. You guys are growing fast. You're, you're doing all sorts of stuff over at the office. Uh, when you look at resume, I don't know how involved, yeah, yeah. My best partner, Jeremy is much more involved but yeah. Do you even care that much work experience matters more than where you went to college? For sure. I mean, Jeremy is a perfect example is my business partner didn't finish college. He went to a music school and dropped out after two years and people used to look down their noses in it. And I remember there was a very prominent person whose name everyone would recognize who one's called up, Jeremy Cursing at him because he had not gone to college. And Jeremy was like, why? Like Jared and Jeremy now runs a company that, that, you know, we have close to 100 employees. We clear a lot of money every year. We grossed a lot of money and the, he knew some of the smartest people I know never went to college or finish college. Like it's, it's good for what it's good for and it's bad for what it's bad for. It's good for premed. It's good for math. It's good. It would be. I got a lot of flack for saying this about, about kind of the, what we call the north campus majors at Ucla. Uh, the, the, uh, po, the poly psy

