Speaker 1:          00:01          Right. All right.
Speaker 3:          45:19          could as soon as you offer solution, you're going to piss some people off because it's an illusion meat and you're not making a commitment. And as soon as you make a commitment, a little Dave Rubin believed this, well, it's just wrong. It's very easy to just say it's all a conspiracy it so that way you don't expose yourself. You're not making. You're not making a poster program and sticking your neck out there where you sit down.

Speaker 2:          45:47          So speaking of conspiracy theories, one of the through lines throughout the book, and then you do devote a chapter to it in completion, is that in all of these movements, somehow blaming the Jews are always. It always comes around to blaming the Jews. Now the language has changed. Now it's blaming. Zionists

Speaker 3:          46:05          blamed. No one says to us anymore

Speaker 2:          46:08          right now, right? It's not, it's not politically correct to say Jews. So you just say Zionists are you say Israel or whatever it is, but you really did lay out an interesting piece in almost every example throughout time that they were always blame on both sides. They, the capitalists would say the Jews are socialists. Socialists would say Jews are capitalists and every other which way. What do you think that is about? I think you probably just explained it with this conspiratorial thing and the other.

Speaker 3:          46:31          Yeah. Well, look, here's the problem. If you genuinely, you will see I have a person for many, many folks and I'm sure they'll lesion, but if you genuinely think that they, for instance, secretly blew up the twin towers, uh, and then, uh, then all kinds of types of play the adventures away if you go into a or a bomber is replies to the, as much less. A borrower isn't to real American. He's a secret Muslim from Kenya. You know, if you can even believe that you have to believe in extraordinary view of the world where a handful of people can fool the entire population. The sheep poop. Well, while she's thinking about who are those handful of people historically, you know, you started down that road, you ended up the grades. Well, how have you found shocking being called caring? Yeah. And I think some of a liberal American Jews will find it shocking because I say we're five years ahead of you. Uh, when it comes and hits her, is this I how I never expected to find out a few sentences perhaps I was being like and um, but it is quite extraordinary, uh, the extent of it. And it's quite extraordinary how it's tolerated now, isn't cooldowns now?

Speaker 2:          48:07          So do you think some of that when, when I hear people say that the first real quick we should mention. So you just mentioned your last name calling. You're actually not Jewish. So,

Speaker 3:          48:16          uh, no. My, my, my, my family abandoned her religion for Regina was system. So, you know, I'm, I'm going to ask Tommy and his family have about 1900 views. Wouldn't have to pay strict. And Dave, it's not. Yeah, we'll be able to finger cute little said you were curious. But here's the problem. If you look at Anti Semitism, antisemitism has virtually nothing to do with you. Antisemitism became in the late 19th century, early 20th century. And the Nazis, it was some way of fighting progress. It was a way of saying, look, you democracy, human rights, women's rights, all these, you shouldn't believe in them. They were all praying. So fraud, say as a, uh, they will, uh, behind them is a pipe master, pulling the strings in that public mass with acute. Um, so you, you would afford, there's a left, but believes in democracy and human rights will be for its own sake because maps, anything else only alert the whole time for the dangers of.

Speaker 3:          49:23          But actually, you know, going back to trump's aid believes the box. They believe human rights is all full. They believe it's all live. So that's one reason why they ended up doing or not Chomsky himself, but that's why people end up there and they don't understand what goes with it. They didn't look at organizations like Hezbollah or Iran or and say, hold on a second, okay, they're antisemitic, but that's just because of Israel. And then they say, well, homesick, but look, the way they women look at where they treat rules, look at the way that they just miss human rights were dismissed. Democracy in antisemitism absolutely goes along with that. And once you accept antisemitism, you have to not just anti racist, but you have all your progressive principles because historically, antisemitism has always been used by Oprah reactory movement who again left should be against.

Speaker 2:          50:14          Right? So this, I always say when it comes to this, and I was just in Israel last week and at the top of the show when I, when I did my, my piece, I was saying how I saw coexistence there. I was in Jerusalem, you know, I ate falafel in the Arab quarter, saw Israeli policemen helping Muslim women move a box. I saw ultra orthodox Jews. I mean, that doesn't happen anywhere in the Mideast except for Israel. And of course not to say everything's perfect there and there's all sorts of political problems, religious problems and all that, but that doesn't. But the only place that has any progressive values in the Middle East is Israel. And they,

Speaker 3:          50:51          uh, I walked about quarter the boundary on the wrong too. You know, you say someone says, well, as problems on the West Bank, there's problems in gauze. And you said what about Syria? Because actually is quite a good wall. So that the council was about, when you think about it, um, but you know, you shouldn't say that doesn't mean that students shouldn't have to run the state and doesn't mean no horrendous problems with the Israeli rocked and you shouldn't sort of romanticize Israel. I'm a asshole. Um, but, but yeah, but here's the thing is the problem. The problem is, is this is great reasons for, I would say the liberal liberal difficulty understanding radical Islam is. There's very good liberal impulse to assumes the world is rational. You know, there's the assumes that if there is, it's terrible. Terroristic movement that were blow out of the twin towers, the woods. And we knew if they had chemical weapons or nuclear weapons against feeling say words. That must be a root cause for it. You know, that must be some rational explanation that we can satisfy that we can operate these evil goals. I'm thinking they call just be that angry again and stuff is not partly our fault.

Speaker 2:          52:23          Yeah. I saw, I saw a lot of that actually right after the Paris attacks because I saw immediately my friends on the left saying American foreign policy, American foreign policy, even though two days later, you know, Boko Haram killed 140 people and obviously that has nothing to do with foreign policy, but. But there's this rationalization even though at the same time the people who did the Paris attacks were saying this is for religious purposes.

Speaker 3:          52:49          Yeah. But your friends on the left, your source gallery, the history of narcissism, of the history of communism. Yes. There are rational reasons. So you can blame, you know, you could say if, if, um, yeah, bombs go off and actually had an office in Paris, you're friends will have said, oh, it's their fault. They, the peanuts cartoon and Mohamad people slaughtered a, I think every supermarket in Paris, the hypogastric Oh, it's their fault. Uh, because of Israel, because Israel is occupying the West Bank. So okay, you killed us service. That's okay. You kill the cues that say people who are or to, if it's a football stadium started the parents, people who are slow to a rock concert, people are sources of Cambodian restaurants on the Parisians well that's coming is their fault because we're not quite sure American foreign policy be friends for on policy.

Speaker 3:          53:44          Now. These all sorts of rational explanations and there's a bit of true freedom. The problem is every step you change seems rational and liberal, but every step you take takes you away from rationality and liberalism and you ran into. They're very murderous. You're trying to explain because you accepted that whole ideology, but rather turn the standards. You don't understand it. They are not people who are sitting there saying, well, we've got a rational grievance like someone's about to file a claim to as a county. Cool. They have a youtube channel is having an ideology. You go and live freely 20 to central, a last bit of the 20th century, 20th century when you in ideologies to millions of millions of people. We still don't understand that. Someone like Islamic state says, we think we can create heaven on earth week, think we can a caliphate that will govern the holder and this will be paradox. And you do that. What's a matter of 1 million, 2 million, 10 million people are killed. They don't, you, they think they're explained. They don't understand anything.

Speaker 2:          54:50          Yeah. So that actually is the ultimate irony because on one hand you're saying, well, look, if we took everything, if we did whatever it is they want us to do, right? We took all our troops out of here, we stopped bombing here, whatever. Then suddenly they, they'd like us more, but that's not what they're saying. So it really is. It's the most ironic a piece

Speaker 3:          55:10          they want you to do, Dave, is becoming, then yes. I'm. So here you go. I mean, your friends are in California and probably, you know, I'm, I'm, I'm, I'm sure they're lovely people. So some of them, um, but, you know, I'm sure they think of themselves as down to you sexist and racist, uh, until you have a phobic. I'm sure they're fine on trans issues, you know, I bet some of them don't even get me, but they will then through thinking that being logical end up defending the most sexist, racist, homophobic in liberal movements on the and you certainly the point made by me, it was a very brilliant French philosopher. Usually they're very narcissistic way, you know, we all. Central is the world, you know, if something terrible happens, it must be down to us. Know the people in the rest of the world have their own agency, not people in the rest of the world. Cup I guess is wicked little as well. You can say our infant say are children who are goaded by us. It's all down to what we do. We are still. Yeah, the narcissist ego, the people, the people that sent for before.

Speaker 2:          56:25          Yeah. I think what I had done with and he illustrated that point, he said, look, the world could go to hell in a handbasket and it'll have nothing to do with America. You just can't. It's just child. It's childlike thinking of. Yeah.

Speaker 3:          56:36          All right, so increasing steadily treats Muslim populations as children isn't. Yeah, I mean it says, he says, look, we're adults. We're wearing these white western Europeans. Yeah, we can handle satire. We can handle all leaders and Godson, bishops, clerics. Oh my God, you can't do those Muslims like toddlers. You're like violent little delinquent children. You've shown them a cartoon and they start blowing the place up.

Speaker 2:          57:04          Yeah. Ironically, that's what George W dot Bush called the soft bigotry of low expectations, which I keep crediting Bill Maher with. But apparently it was George W Bush,

Speaker 3:          57:13          which is mind blowing. That's is a very, very good for. And it's true actually. It's worse than the soft bigotry. Uh, it does keep people down because look, most of the men and women watching your program in California doesn't really help them when they're going out looking for a job, uh, or, you know, looking to get on in life or wanting to create respect. We want to be crazy recalls if liberals all saying, oh, well, you know, that's very, very funny people, these people, you have to be very careful what you say in French car tuned up, blow the top of my head. It doesn't help them. It doesn't help them be full citizens to increase in a totally different way from everyone else.

Speaker 2:          57:53          Yeah, absolutely. All right, so I have one more for Ya. I could do this for five hours with you, so you'll have to. You'll have to come on again. I want you to have your tea and go to bed. So I'll end with this. Look, you wrote what's left in 2007. Uh, that was eight years ago. So let's fast forward eight years from now. It's 20, 23. Give me a little hope if you can find some hope, but if you can't then give me where you think we're going to be at eight years from now.

Speaker 3:          58:23          Well, that was, that was quite hopeful. I'm working on. I wrote that lesson. I hope it will run ally on a liberal intellectuals, feminists, uh, within the Muslim world. Uh, we're in Muslim communities in the west taking on various treatments. I just hope that shame, which has descended on Western liberalism, it's almost shameful periods of history that when those liberals and Democrats and those feminist take home, they're extremist fucking western liberals. They're meant to do. And support them instead of supposedly they are in the mess to make any excuses for that randomness for once lives, their principals or otherwise they'll just give up, get up, shut up. Say actually we don't really talk. We just want to go to the beach, have a beer, dental care and we didn't really care about other people but either

Speaker 2:          59:22          give up or show some solidarity. I love that. And I do like a well placed fuck. So that was a, that was really nice to uh, you guys can pick up either of nick's books, wherever books are sold or you can download an ebook however you do that. I did it so you can probably figure it out. Uh, nick, it was really, it was an absolute pleasure. I hope we can do this in La, uh, in, in person next time. And I thank you guys for watching and we'll do it again next week.
