Speaker 1:          00:02          Years
Speaker 4:          40:44          Well, America, there, it's obviously a complicated thing, you know, US foreign policy or there's US foreign policy. There's nationalism, there's greed, there's power, there's corporate corporatocracy and all these other characters that people talk about racism and misogyny. And you were telling me that like, why do you always pick on religion when you have all of these factors? And I, I always turned around and I tell them, I'm like, I agree with you. It didn't belong them right up there in the same category with racism and greed and misogyny and uh, you know, the terrible things that everybody else is doing. So I do think that US foreign policy is a factor and the argument has never been that a religion is the only caused a religious sentiments. He only caused the. We're not asking people to recognize or to think that it's not everything else that's religion.

Speaker 4:          41:29          We're just saying that the only thing that we're going against the idea that it's everything but religion to ignore the religious aspect of it or the fact that beliefs actually have consequences because we want to respect it. So, you know, what I was saying earlier is that what Donald trump is doing is that there is a lot of confusion. There's a lot of fear that a lot of people have right now, legitimately the way that you channel that, the way that leaders channel that is what makes all the difference. You know. So Donald trump has basically fed off of it. He's drummed it up more for his own opportunities, this opportunistic purposes and these turn into let's ban all Muslims. Um, if there was another reasonable voice, you know, on, on the left, and they had channeled that and they had kind of responsibly dealt with it in an honest way, then we may see a different outcome when, when people are confused, that's when leadership matters. And that's where the liberals I think failed.

Speaker 2:          42:33          So that, that's interesting. That naturally I, I agree with that premise, but I think you could really take it to the candidates themselves. So for example, Bernie Sanders, who I like a lot, obviously, and Hillary, uh, when you take the candidates that are on the left, that are the Democrats, when they won't say Islamic extremism or they won't say violent Jihad or whatever, whatever the term you want to, you know, everyone gets so caught up in terms that I hate even using words at this point, but when they won't even say the terms and they'll just say religious extremism or something, I think that, that they also then hand it to trump because trump's just given you. He's just given you the, the wide, wide net to go with and they're. And they're still playing the games of political correctness.

Speaker 4:          43:16          That's exactly that. I completely agree that, that is kind of what I was trying to say is that they do it. So there, there are two things that have to be done right now. One is that the rights of Muslims have to be protected, and number two, Islamic doctrine has to be challenged and criticized. Both of those things have to be done. What the, what the Hillary Clinton or Bernie Sanders, uh, a site is doing is they're trying to protect all the rights of Muslims without actually challenging the ideology. And what the Donald Trump on the right of these people are doing is that they're challenging the ideology without protecting the rights of the people. And, and it's not an undead. People think that that's contradictory. It's not contradictory at all. This is what I think it was voltaire who said, right? Like, I, I will, I may despise what you say, but I'll defend to the death your right to say it's the same principle.

Speaker 4:          44:05          Um, and it's not that difficult to do if we have a responsible leader who actually does that. I think that that is something that a lot of people would relate to and they would understand that, okay, we will challenge doctrine and a lot of Muslims they'll get her like, you know, you're challenging my religion and this is my identity because people incorporate their beliefs into their identity and the dialogue would be, well, yes, you're a person. We respect your right to believe what you. But you know, these are ideas. Ideas are different. We're talking about the ideas. We're not talking about you as a person.

Speaker 2:          44:38          Right? So that if the, if there was a political party that was running a, you know, that said we're gonna throw gays off roofs and we're going to stone women and kill apostates, you'd probably be against that political party. But as a religion, as a religious doctrine, it gets a little extra credit or something.

Speaker 4:          44:55          That's it. That's the thing. Like there's a lot of it completely. It would be completely strange things that we do, for example, of neonatal circumcision, like infant circumcision is one of those things where, you know, we, I mean, my parents did it, you know, my siblings have done it to their nephews and so on. It's a very dense, illegal. You're not everybody does it, but when you really think about it, if there was, if there was no religion behind it or as I like to save Abraham didn't, wasn't so fond of dickheads you would do this would be child abuse. You'd have pediatricians getting sued for this.

Speaker 2:          45:29          All right, so I, I, so I want to circle back a little bit to the beginning of the conversation and your history and your story for a second because you identify as an atheist Muslim. Is that correct?

Speaker 4:          45:39          Well, if he is Muslim, was the title of my book doctrinally. It can't be an atheist Muslim, but the whole point of the book is to talk about the incorporation of religion into identity. Uh, so there are a lot of. I mean what, so I'll explain it this way. When I first came here, two years after I permanently moved to permanently move to Canada is when the nine slash 11 attacks happened. And when that happened, I, you know, I had this whole conversation in my head, you know, was part of a Muslim family. I grew up with Muslim people. I, it, I was in all the Muslim traditions. They at that Ramadan, the, a lot of things are cultural. They're reasonably cultural, but there's some sort of Muslim things like Ramadan. So in doing so that was all a part of me, but at the same time I wasn't a huge fan of the ideology.

Speaker 4:          46:31          Um, so when I, when I came here, the 9:11 attacks happened. This whole conversation that had been going on in my head for a very long time suddenly exploded and it was all going on on TV. It was on the radio is everywhere. And there were two sides to it. There was sort of the, the, the liberal side. And they said that, you know, Muslims must be protected as a minority. So any criticism of Islam is bigotry. And on the right it was that. And this is the sort of the Fox News narrative was that Islam is a sort of an, it's a, it's a, it's a violent religion, so Muslims, you know, we need to profile everybody, you know, we need to clamp down on immigration, you know, all of those things. And there was one mistake both of them were doing is they were conflating the ideology with the people putting the ideology with the identity and this and this is where I wish actually a middle ground and I think what we're seeing, we're seeing the same thing with the regressive left on one side. And you know, the, the Donald trump phenomenon on the other is the same thing as the completion of this, uh, sort of ideology and people invite by people, I mean people who are a Muslim Muslim just because it's as a birth identity because most people are Muslim because it's just a birth. That identity.

Speaker 2:          47:49          Right. So for you personally, while you're obviously an atheist, so you're a nonbeliever, do you, are you culturally Muslim? Like what does that actually mean to you at this point? Like, I assume your family probably does some holiday stuff, maybe you don't believe in it, but do you culturally identify the way for me, for example, I am an atheist, I am not a believer, but there are Jewish traditions that my family that my grandparents did that their grandparents did, their grandparents did that my family does, so I can do that and I, and it doesn't have a religious connotation. It has a cultural connotation to me.

Speaker 4:          48:22          That's it. That's exactly what it is. I mean, I enjoy not enjoy the FISA. Ramadan Ramadan's a great time. You people fasting. I don't necessarily fast but I'm there for them. It's a bit much and I like to eat celebration so I like, you know, I have little nieces and nephews and they all dress up and you know, I get them gifts and so I enjoy that as much as anybody I'm on, I, I'm very close to my family, my nuclear family and my extended family and a lot of them are believing Muslims so I do take part in that. Um, but there was also another place where it affects you. For instance, I read a story about this kid who was called was beat up at school and because, uh, and they said that she was an isis baby or nicest kid and neither one of my niece and um, I don't want my niece to go through that and I did like this whole thing that's happening in the US right now, you know, I don't, I don't want my.

Speaker 4:          49:18          And I've got, I've got nieces and nephews in the U. S too. And you got. So I don't want them to go through that. It would be completely heartbreak. I'd be devastated if I heard that, uh, my own niece went through something like that just because she has a Muslim name, you know, a Muslim sounding name. She looks a certain way. So it affects you at that level too. So when things like that happen or you know, I, I recently, I recently posted about this. I have a friend who's a physician. Uh, he's, and he actually, he's in California and he went to a party recently and there was a woman who came up to him and said, you know, you, uh, she called him a Taliban terrorists and so on, and she was a little drunk and fortunately the people that he was around, uh, jumped in and, you know, they defended him and they called her out on it.

Speaker 4:          50:06          But, uh, these are things that are happening and he's also an atheist by the way. So he's from a Muslim background and you know, so when things like this happened, and this is something that could happen to me as well that happened in my own family. So on that level, I do identify with, uh, the sort of, you know, what a lot of Muslims are going through. On the other hand, I also got a prejudice. I mean, I guess apostates get it from not only the people who target Muslims, but the Muslims who target a oscillates. Uh, so it's a bit of a double whammy there, but yeah, so you do relate to it. And this, it's a very complicated thing when you have that mixture of ideology and identity is, it's a very complicated thing to navigate and it's not as binary as simple as you know, what you hear when you hear someone like Glenn Greenwald talk about, or someone like Donald trump talk about her do I think are sort of very similar. Yeah.

Speaker 2:          51:04          Yeah. Well that's why I phrased the question the way I did because I don't see an inherent contradiction there. I think that everything that you've described sounds completely feasible to me in it. And if anything, it's not just feasible. It sounds preferable to me because you're taking the logical and the uh, and the secular side of your, of your existence and fully acknowledging that and then also acknowledging your, your history and your family and all that. So that, to me, that to me makes full sense and more people should be trying to do that.

Speaker 4:          51:34          Yeah, I think there is a Phillips Zuckerman. Is this, he's a writer who wrote a book called, I think it's called living the secular life. Um, yeah, I'm pretty sure that's what it's called and that he actually talks about secularizing religion. He also did an interview with Sam Harris. Sam Harris interviewed him for his blog and he talks about that as a very sort of seminal step in moving towards secularism is that, you know, you take, you take the holidays and take the rituals you take that, the community aspect of it, how they have Sunday assemblies and everything. Um, so those are examples of things that people can do and how, you know, religious actually move towards secularism when you talked about reform Judaism, which was, which is interesting because, you know, Judaism and Islam, again, very similar, you know, how God revealed the Chron directly to Muhammad in the same way God supposedly revealed the Torah to um, uh, to Moses at the Tabernacle and Mount Sinai and so on.

Speaker 4:          52:35          And it was considered the literal word of God. It was actually considered the blueprint for creation in genesis at one point. So it was meant to even predate creation. And that's how it was thought of at a time. And then in the late, late 18th, I think it was the, it was the 19th century, early 19th century when the reform Judaism movement really took hold in it, it got demoted from literal word of God to divinely inspired, suddenly something that was written by the hands of human beings. And, um, revelation became a progressive thing, you know, so it was a quality. They adopted a lot of secular values and so on and, and it changed. So when people say, well, the Koran is infallible, you know, how are you going to change it? And I always think thinking good, the Koran, there's precedent for that. There's actually precedent for that. Would Judaism, uh, with the Catholicism for instance, I mean, there's a lot of Catholics who approach choice. A lot of them practice birth control. Many of them, they fornicated to their heart's content, but you know, you still go and they observe lent and they celebrate Christmas and Easter. Nobody kicks them out of the church saying, you know, you're not a catholic.

Speaker 2:          53:45          Yeah. Well, for the record, I told this to Peter last week, but I actually went to Mount Sinai in 1997. I went to Egypt, I went to Sinai, I hiked the mountain and literally nothing happened. I asked. I mean, I really did. I was at that place in life, uh, you know, 20 or 21 or so, or 19 and I, I went there trying to have some thing and talk to somebody and, and nobody, nobody talked back.

Speaker 4:          54:08          Bad experience the first time. You don't want to repeat it again.

Speaker 2:          54:11          You don't. Alright. So I want to end with this because you have brought up a phrase that I think you hashtagged and I want to make sure that when this thing takes off that you're fully credited for it and hopefully I'll have a little something to do with it. But you've talked about the new center and I think it's the right phrase for what we've been looking for. I think it fits, it fits because we have this left right paradigm, but it also fits the center of this liberal split between, you know, the regressives and the say classic liberals. So can you just tell me a little bit more about what you think the new center is and what we can all do to, to get people there?

Speaker 4:          54:48          Well, it's basically what I described here when it comes to purely this aspect of Islam, Islam and jihadism and sort of religious extremism of, even though that's a misnomer, um, it's, it's about separating ideology from identity. It's about being able to stand up for the rights of people, but at the same time challenge ideas when you attack and challenge ideas. That's how society has moved forward. A few attack and Dbas people. That's what splits people out. That's what actually rips us apart. So being able to do, to make that distinction is very important. I don't think either side is doing it here. I think that the center is more rational and on a, on a, on a broader level too. I've always found it bizarre that, you know, if you're fiscally conservative and then you know, you suddenly you have to be prolife why does all of that go together? I think it's absolutely ridiculous. People should be able to have different, uh, you know, I should be able to think that, okay, I believe in these fiscally conservative principles, time I'm socially liberal or I could have libertarian presented, but there's no rational. I don't think you can be a rational thinking person and be aligned with one side or the other.

Speaker 2:          56:02          Well, that's a whole other topic. Figuring out how the politicians figured out to make everything a wedge issue. So somehow gay rights if you were for gay rights, you are also for, you know, low taxes, like it just doesn't make any sense. Um, do you think there's any chance for a political movement with that? Because when you, I saw it, you did Hashtag new center and I thought maybe there's politics. They're not just not just this sort of internal, a discussion that will all have and hopefully get it out there more. But actually this could maybe be a political movement.

Speaker 4:          56:33          I would like that. And that's why I brought up the whole fiscally conservative socially liberal thing is because, um, when, when I grew up on tv, you had the 6:00 news and the 11:00 news and you know, you saw everybody watched that, whether you're liberal or Conservative, I mean 1984 and Ronald Reagan won. I mean, he won California. He won 49 states out of 50. I'm not endorsing Ronald Reagan or seeing anything against him either, but I, what I'm saying is that things weren't as polarized. You're going to later on, you had 24 hour cable news, so you had Fox News on one side and Msnbc on the other and everybody just watched what their own echo chamber was. I mean, it'll be every channel had its own echo chamber with the blogosphere and with the Internet that became even more pronounced. So there's a lot of polarization and I think it's getting to a point and we're seeing this with the regressive less than I left on the trompe and right. Um, uh, you know, I think that there is that kind of polarization is something that a lot of reasonable rational, uh, people are not feeling. It's not working for them, they're actually frustrated by it and I really hope that they do. They're okay to let go of the traditional left and right labels because I practically meaningless right now. I don't think they mean anything.

Speaker 2:          57:51          Yeah,

Speaker 4:          57:52          just be human beings thinking human beings.

Speaker 2:          57:56          I love that. Perfect ending and I love the fact that we've connected and you'll always have an ally over here. So next time, hopefully we can do this in person when you make it out to Los Angeles. So I want to thank Ali Rizvi. His book comes out next year, but in the meantime, you can follow his regressive smack downs on twitter. Thank you guys for watching and we'll see you next time.
