Speaker 1:          00:00:02       We
Speaker 3:          00:35:40       A black guy who doesn't believe in handouts. Black guy doesn't believe in the welfare state of black guy. He doesn't believe in affirmative action. I am the antithesis of everything they stand for and therefore I can't just be dealt with with facts and everybody with X. I've got to be maligned. I've got to be a castaway. I've got to be treated as as if I'm darth vader. That's what the left does. So That's interesting. And again, this is where I've really struggled with my guys on the left because in a way that is actually showing it's race. Of course it is. That's right. Because I don't have the same right to have an opinion. If somebody else. I've never heard rush limbaugh be called anti white because he criticizes hillary and the Left, but I criticize black left people and I'm and I'm, I'm anti-black.

Speaker 3:          00:36:21       It's bigotry. It's racism. Calling somebody. An uncle Tom is as offensive. It's calling somebody an inward lover. Yeah. So when it comes to, to the black community and politics. So I got you on a bunch of bunch of this stuff. The black community in a lot of ways isn't for some of the things that the Democratic Party is for, right? Because the black community a lot of times, and it has a lot to do with the church is more socially conservative. The only thing that that connects black people to the Democratic Party in my opinion, is this notion of social justice and this notion that racism remains a major problem in America. Look down the list of, of things that black people like and support. Blacks are more pro life than whites are. Blacks were more anti gay marriage, uh, than, than whites were. That's one of the reasons its proposition passed here in California is because of the way blacks and browns voted.

Speaker 3:          00:37:12       Again, I didn't vote that way, but it's the way a lot of blacks and browns did. Um, uh, blacks want to be wealthy. One of the reason Donald Trump is getting about 25 percent of black, which is five times by the way, the percentage that Mitt Romney got is because of Donald Trump's swagger and his, um, and his, uh, being proud that he's made money. Uh, and so and, and in the inner city, right? That's a really fascinating little piece right there because I never want one more quick one. This is important. The Democratic Party is completely beholden to the teacher's union and vice versa. Uh, the union is adamantly opposed to vouchers where the money follows the kid rather than the other way around. Inner city black women and fathers and their inner city, black, Brown women and Brown fathers want vouchers. They realized the schools suck. I went to crenshaw high school in south central right now, three percent.

Speaker 3:          00:38:01       That's not a typo. Three percent of kids can do math at grade level. I'm going to send my kid to that school because I don't have enough money to send my kid to a better school. It's, it's, it's an assault, a. there's a program called the DC hope scholarship program where every year, uh, parents who subscribed to the, to the program, it's four times as many people wanting to get in as there are seats, will give a kids about 10 to $12,000 to go to a non a DC government school. And every two years when it's over Obama and the Democrats climate try to shut it down. And the reason they don't is a bunch of black parents go to the streets, have a press conference, dark crying. And so all my kids doing better. I can't think of anything more damaging to a kid's future, is to send him to a school where it's a crip school where the kids are, are, are not learning where a lot of them are not learning because they don't care.

Speaker 3:          00:38:53       And where the whole level is now dumbed down to cater to that lowest common denominator in a class. And as a result, you have kids that have a poor sat scores and they otherwise would, if they had a chance to go somewhere else that challenged them. Um, and so inner city parents want vouchers. Young black people when they're told about the benefits of privatizing social security, uh, want to do it because 65 years old blacks die sooner than whites do. And when you die, all your contribution to social security go poof, as opposed to being able to distill it to your child. When black duck taught about this, young blacks want the opportunity to put their money into an account that they can control. So when they get 65 years old, they have real money. So privatizing social security vouchers, a abortion, same sex marriage, all of these issues, black are really not in lockstep with the Democratic Party, but the Democratic Party has successfully, uh, convinced blacks that racism, this white cop, this is widespread, that man's out to get you and vote for us and we'll deal with it.

Speaker 3:          00:39:56       So how much of this is a messaging? Probably if I grant you all of that, right? How much of this is just a messaging problem by the Republicans because it seems to me, and I've said this several times, but someone like Tim Scott who is a black Republican senator from the south, right? He should be a hero, not only of the black community, but he should really be a hero of the left. Right? Because this is a successful black. Could be an American hero. He really should be. I mean, he should some, certainly at least at the very least be bigger in the national debate. Why isn't he a bigger surrogate for whoever he's going to support? I assume it will be a republican. Uh, why is this guy lost in, in the scheme of things? Well, it's the same reason that black vote 95 percent for the Democratic Party, he is considered to be a, an uncle Tom.

Speaker 3:          00:40:40       He's a Republican. He's a black Republican, a, he's a, he's a, he's some sort of Unicorn. I don't know what he is, that, that's how, that's how they feel. So then what do you do? What do you do as a Republican to break this narrative? You know, I got it. You told, tell the truth. I got it. You tell the truth, but obviously there has to be something bigger than messaging here because. Well, it telling me the numbers. 90, 95, it's an uphill fight. I mean, to me there is a access of indoctrination and you have the media, you have academia and you have Hollywood, uh, all of which tell black people that they're victims. Um, most professors are to the left. Um, the media certainly is off to the left and holly was to the left. And so you get up and you're indoctrinated all the time with things like social justice, inequality, uh, the man's out to get you a, we need a higher minimum wage.

Speaker 3:          00:41:27       You name the left wing, uh, a policy and, and you, and you pick it up through osmosis. That's why when we first started the conversation, I said, I hope to move you towards the center and you say, I hope to move you towards, uh, towards the, towards the center. And I said, it's not going to happen because. Because I'm there, there's nothing you can tell me I haven't heard. But I probably can say some things your audience hasn't heard a because La Times, New York Times, CNN, ABC, NBC, CBS, New York Times, uh, you name it, these are all to the left, whatever, left wing position, uh, you're going to hear it, you're going to hear a why, how and where, but, but the other position you won't hear unless you watch a Fox News or listen to talk radio and a lot of people won't do it if you make them, if you pay them.

Speaker 3:          00:42:11       Right. So I hope it's clear in our 40 minutes or so together so far when I say I'm on the left, I consider myself a classic liberal and that I stand for liberal principles. John Stuart mill type liberal. Exactly, exactly. That's, that's not a liberal. And, and I know in a lot of ways that that makes you a conservative. You're a Jack Kennedy, kind of a kind of Democrat. He cut taxes. He was a cold warrior. He will. He liked hunting. He liked the second amendment. So it doesn't really show you how stupid the words are. So what I did at the top of the no shows you how the Democratic Party has evolved to the left and abandoned principles. My mom was a, was a Democrat, my mom was a Republican, my dad was a republican all his life and my mom stopped voting for the Democratic Party and she said, as many people have said, I didn't leave the Democratic Party.

Speaker 3:          00:42:52       They left me. She didn't like welfare. She didn't like the idea of rewarding people just because you had a kid and they'd given you more money when you had an additional kids. She didn't like any of all of that and she started voting for George w Bush or last, uh, two, two election cycles. So it's really ironic that it's not messaging. It's the fact that the country and the country in general has gone to the left and the Democrats to the, to a greater degree than Republicans have gone to the left. The country has changed in part, in my opinion, because of immigration, including illegal immigration. People who are coming to the country illegally from third world countries like Mexico. They don't know what I'm talking about when I talk about limited government. They believe healthcare is a right. They're taught that in Mexico, they're taught that other places and they come here in America and they pull that lever for the Democratic Party, which is why, in my opinion, the left wants borders to be poorest because it changes the country, changed the electorate, it changes the demographics and all that.

Speaker 3:          00:43:42       The Democratic Party has not won the white vote since 1964. The more white people there are in the country, the worst Democrats do. The more left wing, the more people of color there are in the country, the best the left does. And so what incentive is there for them to, to police the borders? What incentive is there for them to shut down on sanctuary cities, uh, to, to stop catch and release? There isn't, in my opinion, there's been a very subtle and very diabolical changing or the mentality of this country by left wing people so that a state like California could never vote for Ronald Reagan as they did in the past, could never vote for Richard Nixon as they did in the past. You have New York and California just write them off and there's 10 or 12 states now that we fight over. Everything else has now written off. It's ridiculous. So at the top of the show, when I was laying out some of the principles that we're talking about here, I saw classical liberalism falling into the conservative category, as you just said.

Speaker 2:          00:44:32       And it's funny because while I consider myself a classical liberal and we can lay out every liberal principle there is that I would defend. Uh, it's, it's scary to me because the. Because we get so caught up in words that, you know, oh, I don't want to be considered a conservative because I'm a liberal. It's a scary proposition, right? Well, again, it's, it's, it's about limited government personal responsibility as far as I'm concerned. What you've told me is that you are really a, somebody on my camp far more so than somebody on Bernie Sanders camp. Well, I'm liberal in that I'm for gay marriage and I don't mind if you smoke weed in your bedroom as a general rule. I do like lower taxes, but I think we could have a progressive tax at some level, so we probably disagree a little bit there. I do think you should if you keep making more and more and especially as you're getting into the dozens of millions and hundreds of millions. Yeah, we could have a progressive tax that would attack the taxes people more. I'm not necessarily for the 90 percent tax that, that Bernie wants. Uh, so I, you know, some of the economics.

Speaker 3:          00:45:31       I wonder, let me ask you, why is it that nobody gave Dick Cheney love? Because Cheney had a more progressive position on same sex marriage than Obama did when Obama was still. But we're changing, evolving. Cheney Cheney didn't have it until he was out of office. So that's, uh, you know, it's a little disingenuous. What he did, he still years before Obama said he was in favor of gay marriage, said, I'm in favor of allowing states to determine this. He said that years before that, while he was in office, though, I don't think that was while he was all I know was years before Obama because Obama became president 2008. He's not only said that he was in favor of traditional marriage. He said God was in the mix. All of a sudden years later, God is no longer mix four years ago. Then God got out of the mix.

Speaker 3:          00:46:14       But anyway, the point is that Dick Cheney said that he supported same sex marriage on a state by state basis. Well before the left, did well before Obama did well before Hillary did gotten olaf. So isn't actually well that I think would just go to. Because politicians are pandering. I mean that. I don't know that that makes Obama anymore of a liar than any other politician make. As much as they will just talk. I'm telling you, I'm paying, I'm talking about. I get you. I'm talking about why somebody didn't give it. Give it a couple of attaboys on that. I know that people on the left hate him, called him a neocon and believe he was whispering and George w Bush's ear and got Bush to do all sorts of bad things, but I would've, I would've thought on this issue since the left considered such, such an important issue. I don't, by the way, that they would not have given it a little bit of bit.

Speaker 2:          00:46:58       What do you mean you don't consider same sex marriage to be that big of a deal? To me it's a give people equality and then let's not think about it anymore. That would.

Speaker 3:          00:47:05       Fair enough. I'm just saying I, I think the number one issue in this country is self defense. Uh, and, and the number one domestic policy issue that, as I mentioned, is the destruction of the family. These other things, a same sex marriage, war on drugs, a global warming. I considered to be further down the list. So the war on drugs, you're, you're actually for legalizing drugs, right? I'm, I'm for the government getting out of it both federally and at the state level. Yeah. And that would be an interestingly, this may be a little boring for your, for your viewers, but, but um, uh, in the, in the earlier in the 20th century, we had the war against alcohol. The constitution was amended, the fight, the war against alcohol, and then it was amended again when we decided it didn't work. We've had, since Richard Nixon, this war on drugs, the constitution was never amended for that.

Speaker 3:          00:47:53       And I don't understand why people don't make the argument that it is illegal what the federal government is doing because in order to get rid of alcohol, Congress knew that they had to change the constitution, which they did. There's no power in article one, section eight that gives the federal government the authority to wage a war on alcohol or a war on, on, on drugs. But to do the one on alcohol, they changed the constitution and then rechanged it. But they never did that for the war on drugs. Yeah. So how much of that do you think goes to why the black family has been affected? I mean, when you think about the amount of black people, black men especially, and minorities in general that are in jail, we now have pro for profit jails and a huge percentage of these people are in jail because of drug offenses.

Speaker 3:          00:48:37       Well, not that many about 12 to 15 percent, but, but, but, but whatever. That seems pretty significant, whatever the percentage is, I think the war on drugs should be rethought and we should deal with it as a health problem and not a criminal justice problem, but the reason for the large number of black behind bars goes back to what I said earlier about the breakdown of the black family, uh, and not being taught the right kinds of values. Uh, and that has all sorts of other social consequences including, uh, a greater propensity to commit crime. Yeah. Um, all right, let's back up for a second because you quickly say something about Hollywood and I know I follow you on twitter and you rail against Hollywood. All I do. Basically your argument is that it's like kicking a puppy though. It's become, and I can tell you not.

Speaker 3:          00:49:17       It's not that difficult. Right. So, so just the other night, you know, you were, you were tweeting a little bit about the Golden Globes and the targets that your base was taking. Last night I saw you, uh, on CNN, Don Lemon, who I had on last week was on the show last week. He was talking about Tavis Smiley and you're not a fan of travis. I've known him a long time. He's a, he, he doesn't preach what he practices, what he is, a hardworking guy who came from Indiana with a big poor family and has done quite well with his life. And instead of telling people, bust your butt, do what I did. Work hard, stay focused. It's demands out to get you a social injustice. Racism, racism everywhere. It's nonsense. Hollywood is an easy target because these guys, the Golden Globes, they've got these fine clothing designer, a clothing and designed designer Tux and, and their jewelry.

Speaker 3:          00:50:02       They're all anti second amendment, but they're all protected by armed security guard. Uh, and um, how many of them, uh, applied into a Prius to get to and from the, uh, uh, the, the, the ceremony. I mean, you're saying very few. I think very, very few. They in big gas. Guzzling not a large number of limos. Yeah. And notice it. Notice there were several bill cosby jokes, I think three or four bill cosby rape jokes. Not One Bill Clinton rape joke. Poor quality. Yeah. Yeah. Uh, do you think, I mean, I'm a firm believer that a lot of them actually privately are supporting Republicans or at least their voting Republican. There is this idea that, okay, we're going to go on this. You can't say you can't say it out loud. Name One, a list. Young actor or actress who's an out of the closet Republican. Just one young, 20, 30 eastern.

Speaker 3:          00:50:52       You can do it once. Your Clint Eastwood, once your Kelsey grammer boy, does it count as you, right? No, no, but, but somebody in his twenties, thirties, Jennifer Lawrence, uh, age star, they want this guy to be somebody. They can't be 100 percent a left wing, but they will not say so because they know they won't get parts and you would say that's not necessarily because they believe those things as much as just the structures in place. It's bigotry in Hollywood that the open minded, empathetic people, they're fine as long as you don't say something that pisses them off. Yeah. And, and, uh, you say that you're gonna support, uh, uh, uh, Donald Trump, you won't work if you're 20 or 30 years old. You won't work. You're going to lose jobs. Yeah. So let's talk a little bit about your thoughts and think and think about that. These are, these are the people who are in charge of 80 percent of what we see on TV and on and in movies.

Speaker 3:          00:51:45       And if you come out and you're 20 or 30 years old and you're a rising star and you say, you know what? Listen to Larry elder's show the other day. I think, um, I'm going to vote Republican. Finished, done, done now. Now, what kind of power is that to influence the minds of young people to shape this country culturally, it is massive. There was a book called Primetime propaganda by a young man named Ben Shapiro. We're getting them on the show and uh, and because he looks so young and looks liberal, whatever that means, he was able to get on the record all these Hollywood producers, people that did golden girls, people that did cops and got them on the record saying, I would never hire a conservative. A conservative in this town will be screwed. A conservative in this town cannot make it. I intentionally put leftwing messages in my fair.

Speaker 3:          00:52:32       I try to influence culture this way, has them all saying this and has an on tape. And the book came out and it didn't make any difference. They didn't say, I'm sorry, I didn't say we ought to rethink our assumptions. He interviewed Fred Silverman, who at one time as the head of ABC, CBS, NBC has Fred Silverman on the record saying a conservative cannot make it in this town. Now, if Hollywood has a great impact on how we think on our culture and you have this Gestapo essentially shutting out people who are conservative, what does that say? It's scary to frightening to me. Yeah. Well, messaging messaging is everything, which actually brings this back to what you said about trump before, which I think is sort of fascinating that he's polling better with the black community is because he has this sense of swagger, which I think you could probably relate directly back to, you know, rap music and stuff like that.

Speaker 3:          00:53:22       These guys aren't, they're not ashamed of their success and that. So in a weird way, trump is sort of doing the exact same the exact thing that you want, uh, to happen. I agree, but I think it was another big reason that trump is scoring with white people. Uh, one of the most underpolled things in this country is how black people are pissed off about illegal immigration. When I was younger, there was a movie that came out of the seventies called carwash, or Richard Pryor was in it, um, and George or George Carlin was in it. Yeah. And it was about a day in the life of this carwash in south central, not too far from where I grew up. Virtually all the employees were black. I defy you to go to a car wash and south central now and see any, any employee who's black illegal immigrants that come over and taking over this business, uh, and black people see it and they, and they realize it and they are angry about it.

Speaker 3:          00:54:10       Uh, and the Democratic Party, however, because of what I said earlier about trying to shift the electorate to the left, uh, has, in my opinion, thrown blacks under the bus on this issue. And a lot of blacks who are aware of it or not happy about it. And Donald Trump's position on immigration, uh, resonated with a lot of black people. The other thing about, about Donald trump that I think in general, not just black people, uh, is appealing to me anyway. And I'm not quite sure why some of my fellow Republicans are so adamantly opposed to Donald Trump. This guy, Dave can self fund. He doesn't need your money. Uh, Donald Trump was at a group called the Republican Jewish coalition and he was asked a question about does he feel that a Jerusalem should be the undivided capital of Israel? His answers not important. He said something like, uh, I'm not sure I haven't thought it through.

Speaker 3:          00:54:56       And he got booed and Donald trump looked up and he said, I don't need your money now. There's a guy named Nelson Sheldon Adelson in Las Vegas. He's a multibillionaire last election cycle. He gave Newt Gingrich 10 million a lot of money and a lot of people feel that, but for that, Newt Gingrich is a tackle and Mitt Romney and all the footage that he gave Democrats to use and the general election, Romney might have one. That's not the point. The point is he is a king maker. Um, and right now he is trying to decide whether he wants to give money to a Ted Cruz or Marco Rubio. He has Los Vegas business interests. I'm not mad at him for doing something to pursue his interests. But the point is, he expected his phone call to return to be returned. Donald trump can say, screw you to all these people, the people that get subsidized for milk, the people that get subsidies for sugar, the people that get subsidies for this ridiculous product known as ethanol, uh, the, the unions that keep Amtrak running.

Speaker 3:          00:55:50       Donald trump does not need their money. He does not have to take their phone call. So what's guy can really do what should be done for the American people, which is to get all the crony capitalism and all these so called special interests out of our government and get it down to the site. That oughta be Boeing gets money from the government. Google gets money from the government. Dutch royal gets money from the government. This is corporate welfare. And the reason that happens is because they give contribution to the politicians who in turn then do their bidding. Donald trump does not need their money. He is in a position to downsize the government in a way unlike any other politician

Speaker 2:          00:56:24       I've ever seen. Yeah. So there's the. I mean, there's a lot of irony there. You've, what you're really talking about is that's truly systemic political problems. Tell me about it, the money politics study, so that's, and that's. That should unite everybody across the board about how messed up our system should. I mean, right now a la is going to get to team two football teams, probably Oakland and San Diego and St Louis are all vying to come out here. By the way, all three of them used to play here. Rams used to play here, open up to play here, and the first a La chargers, one of the AFL teams started here and they moved to San Diego. Now they don't want to come back. Why? Because their respective cities won't give them hundreds of billions of dollars in tax subsidies. Why should a multibillionaire get millions of dollars from taxpayers who then in turn have to pay all this to go to the game and watch multimillionaire ballplayers be?

Speaker 2:          00:57:13       Well, that's like sitting corporate welfare, that's molesting city field where the mets play in New York, you know that it was funded by, partly by taxpayer money, but meanwhile the government's bailing out Citibank who has their name on the whole thing is reduced. So the trump thing, real quick, one of the things is in the first debate, the first republican debate about three months ago now, I thought the, the unmasking that he did was actually kind of amazing, even though I disagree with him on pretty much everything, but you know, when they asked him about going to Hillary's a daughter's wedding, right? Uh, he goes to Chelsea's wedding and he was like, yeah, I give them money. Show up the wedding. Yeah. I give money to everybody. I'm a business guy. I got it. I got to do what I gotta do. So in a weird way, even if you don't like.

Speaker 2:          00:57:53       So for my, for my liberal friends and my friends had left, even if you hate the messaging and you know, all the Muslim stuff and all that, even if you hate all that, the unmasking of the system. And that's why I've also talked about how Bernie and trump have a lot in common because the core of what they're doing is the biggest threat to the system. Right, right. Bernie and trump have a lot in common in the sense that the establishment is scared to death of both of them. Uh, but, uh, Bernie will make things worse. Taking over large corporations will make things worse. Raising taxes on job creators will make things worse with Donald trump wants to do. I will make things better. All right. Well, uh, I barely got to any of the questions I have here, which is a testament to you, so I'm glad we've got to sit down.

Speaker 2:          00:58:33       So let me end this thing and a little bit of the future where you think this country is going in the next year. Do you. So I sent. Are you supporting trump? I haven't taken a position on anybody yet, so I will support whoever the nominee is over Hillary Clinton or Bernie Sanders. Certainly, yeah. Do you view he'll, hillary and Bernie both sort of as equally, uh, equally equally as equally bad? I mean, I mean, when you've, when you've asked Hillary to give the difference, as Chris Matthews recently did, between a Democrat and a socialist, she couldn't do it. Debbie Wasserman Schultz, the chairwoman of the DNC, was asked the same question, she couldn't do it, uh, and Hillary has gone further to the left because she's threatened by Bernie Sanders. She's now come out by talking about a surcharge tax on, on, on millionaire. She didn't do that before and she's also coming out on the left now on gun.

Speaker 2:          00:59:19       She didn't want to do that before. So Bernie's pushed her to the left. So as far as I'm concerned, their positions are pretty much indistinguishable. Yeah. And again, this may go to show why the system is just broken because both sides in the primary process have to stake out these positions that they know that they're not going to govern by. Richard Nixon used to say when you want to win a presidency and the primary, you run to the right and then when you run into the general election, you run to the center. That's kind of how it works. And the primary season you have to run to your base and then kind of run to the standard different. Trying to get independence. That's just how it works. Yeah. All right, well listen, I've thoroughly enjoyed talking to you. I didn't expect we were going to agree on everything.

Speaker 2:          00:59:52       We didn't. That's fine. Maybe I learned a little something here. Maybe you learned a little bit. Maybe you learned a little something going on. So I see a glimmer in your eye. So if you move a little bit towards the center. Well I consider my has a classical liberal. I don't, I don't consider myself off the deep end left and maybe I just, I think in general a lot of people on the left are starting to realize how do you feel about vouchers? Uh, I think we should have vouchers. I think you should have access to God. How do you feel about affirmative action? How do you feel about giving a black person or a brown person? Additional points just because they're black and brown over some equally qualified white person. Are you happy with that? Unhappy. Don't care. Oh Man. Now I'm being interviewed.

Speaker 2:          01:00:27       All right. So yeah, I would say that I think at some time, at some point in America there was a reason that it really did make sense because because some of the more systemic stuff still exists today and today it probably doesn't make as much sense anymore. I think you would agree with me on that because that's pretty much what you just don't think it ever made anything, but that's exactly why I want to have these conversations and why especially I think that that liberals and Libertarians should realize that we're sort of in the center together and that there's a way to, there's a way to work together. So that's exactly why I wanted to do that. Fair enough. So, all right, so I thank my guest, Larry Elder. Uh, you can check out clips of the Larry elder's show and more are Larry's work@Larryelder.com.
