Speaker 1:          00:00:02       During
Speaker 4:          00:40:34       Yeah. So if you're not going to find the solution over there, then it's, this issue is going to continue all the time. So not always serious and as obviously it's Libya has also having a problem at the opiate and all the other countries in the region and obviously Iraq since a long time. But the, we're not going to find solutions over there. So other than just like a focus on domestic issues. That's where like libertarianism fails because it's always deals with the refugees are coming in. But how can we reduce the amount of refugees that are coming in for that region that's by not subtly motor intervention, but at least being on the right side of history and being with the people who support the values that reduce the amount of revenue. Right. I suspect that most libertarians would say somebody like Rand Paul would say, well, I wasn't for the Iraq war, so I didn't add to the chaos.

Speaker 4:          00:41:21       Right. It's irrelevant now because here we are now. But that is not enough. I mean, this concept of like, well, but I'm not a racist is not enough to two different things. Yeah. And, and, and I mean people talk about the numbers and stuff. I met Saddam Hussein killed hundreds of thousands of people. If they did not intervene, there will also be hundreds of thousands of people killed. So, so just because saying, oh, I'm against the war, doesn't somebody make him a good person? You know what I mean? I mean, I'm talking about practical solutions for. I mean, the war happened and we have to deal with it.

Speaker 2:          00:41:52       Yeah. So that's a great segway to sort of what you guys do because you know, what you do with movements and what you guys are doing together. We have to empower these voices. Um, so just a few weeks ago I had someone on the show from Iraq or I, well, I guess we can give her first name, at least for now. So we had moved on the show and she's a secularist and atheist. All the things that we all stand up for her, she's a minority within a minority. Um, I, we can't get into the major details of what's going on with her right now. But suffice to say that you're helping facilitate some of this stuff, but these people are completely ignored. Exactly. And they're ignored by the people that should care about them the most.

Speaker 4:          00:42:33       Exactly. And, and, and the fact that this has no, I mean it's been what, 15 years since nine slash 11 happened and it's been the same mentor over and over again that there's no policy change of who exactly the people we should start with. And we have a country like Saudi Arabia as our ally and we have Qatar that I recently discovered funds the Muslim Brotherhood, which is using slave labor by the way, to build a cub stadium to actually like I want to raise this point, which I think is very important. I the Muslim Brotherhood is actually much more dangerous than the ideology of Islam is because they are able to work on the grassroots level and also they have double faces. And what's happening is that they want to say hopefully traded the US government because at that may say made me sound like a fucking lunatic. But they have a lot of people say it though, but there have been places in in think tanks and all the shows everywhere that told, told the Western world that they, that these other guys, the secretaries and stuff are traitors and they're not the good guys and we should help us.

Speaker 4:          00:43:35       So that kind of have a block for, for a large. For Charles like Al Jazeera and they have kind of block this concept of secular Arab. It was like they wanted to push this image of the authentic Arab of the person who, so this is, we are Islamists and we'll have to settle with it while in fact, my policy and I want to change is that we should change what we need to settle what we are asking us to subtle when I should not settle with Islamic jihadist. We have to support those who agree with our values. Yeah.

Speaker 2:          00:44:05       Does all of that ring as true to you as it does to me in terms of that we're skipping a step here. We're, we're skipping caring about the right people because of all, for all the wrong reasons, right?

Speaker 3:          00:44:18       Yeah, absolutely. Um, I, I think it's, it's sort of extremely symptomatic of, um, sort of criticism now that that's happening in, in the left. And, uh, I, I, you know, the, the, the problem with that also is, is that it's created like a vacuum where, where you have like people like trump who was coming in and inciting inciting so much hate against these people and blanketing, blanketing all Muslims and, and that's just feeding, that's just feeding the ends up eating the problem.

Speaker 2:          00:44:53       Right. And you come from the academic world. I mean, as I mentioned at the top of the show, you got your phd at Mit. Oh, you're on your way to your phd at Mit in genetics, right? So you, you know, your stuff, you're in the academic world. Do you see this? I think one of the people, one of the things people struggle with, is this coming more from the students or the academics or is it, is it both? It's

Speaker 3:          00:45:16       more coming from the students for sure. Uh, I would say that I'm on campus at Mit. We haven't had that much incidents, but over over the, you know, the t stuff at Harvard, um, we had had way more, way more incidents like recently the last, the law school had to change. I think they're wanting to change their, their, their crest because it features three bushels of wheat. Um, and, and they're also like house masters now I'm at the dorms. They, they've lost their titles, they're called Dean faculty assistance or something. So, you know, the question becomes what happens to your master's degree or like master of the universe, like, you know, just words like that, you know, I, I posted something recently about like in chemistry, they, you know, the, one of the greatest achievements in the last couple of months was that they actually created a new synthetic element that stable.

Speaker 3:          00:46:07       So we add it. We completed the seventh row of the periodic table. And, and in the article they called it a manmade elements, right? And they had to change. So they had to change the word manmade because people took a lot of offense at the word. They said, Oh, you know, this is, uh, it's, it's, it's excluding women. It implies, you know, implies that it's the Patriarchy who's involved in this. But, you know, in Latin, the word madness, his hand and man mean it doesn't really come from man. Oh. So the entomology entomology is, you know, I mean people take offense firsts and, and that's the first reaction. So I was telling face all of this many times. The problem with what's happening, you know, in, in the regressive left movement is, is, uh, this desire to see the worst in everybody. For example, Matt Taylor, the Rosetta Scientists, right?

Speaker 3:          00:47:05       Who landed up the comment, uh, the probe on a comment, um, he wore a shirt, you know, inappropriate for an interview. But the first instinct is to assume, can you tell people what the shirt was? Just this shirt had, um, it was like a tessellation of like pin up girls with guns or something. It was a cartoon. It was, it was actually a gift from a female artist friend. It was just a silly, silly shirt. It wasn't very graphic at all. It was, it's, you know, I mean, I wouldn't wear it. But, um, uh, and, and he wore that, you know, announcing the, um, the triumphant achievement of his team and, and immediately just the, the outcry online forced him into tears when he had to apologize. And, and I don't know how you make the leap from guy wearing shirt to just infer. I mean like if I feel like a big part of this is wanting to see this rate, this racist, sexist, whatever it is, intent, the moment you catch something that may be, you know, can be interpreted that way. They interpret it in the most extreme way. And then the reaction starts there. And then the whole outrage, I'm industrial complex begins online. Um, and then, and then after that, it's a cycle, right? Like there's that little thing, you find it and then blow up and then the people will criticize the blow, the people who are bitching about the bitching and then, you know, it's just a cycle.

Speaker 4:          00:48:36       Yeah. So what do you guys make of that mind reading portion of this? Because psychoanalysis, phds are being thrown around everywhere. Well, because when I, the first episode of the show is you guys know what I had Sam Harris and he said something about the mind reading. They want to just find something in you, which is exactly what you just said. And once they can find the green of something, now they can extrapolate it into every which way that they want to judge you, which you sold the reverse, I think of how rational people actually operate and how evidence based people and people of science

Speaker 3:          00:49:07       that can also just compassion that that is supposedly part of liberalism, right? It should be one of the things that we aspire to is to actually see the best in people. I don't know, but that's just me.

Speaker 4:          00:49:17       Yeah. I mean I don't think it's just one of the things that make me sad because like this outrage requires energy, right? So I wish that some of. I mean I'm not trying to trivialize that experience or whatever they may think of me, but I wish some of that outrage and all these hashtags would be used to advocate for people like Lupe. Now for people like Ryan, for people who are like, I wish that energy of so much out of. I mean if they get offended by a Halloween costume, I wish they got offended by a woman getting acid thrown in their faces by the Taliban in Pakistan. I was offended by bloggers getting beheaded and in Bangladesh like I wish that some of that energy and not like tell them not to talk about this stuff, but I wish some of that energy at least like maybe just 10 percent.

Speaker 4:          00:50:04       I'm not really asking for much like I like 10 percent is pretty good. This is lower than the taxes of trump and 10 percent if they just use some of that outreach, some of that energy and it creates a movement at least of solidarity. I don't want them to donate a million dollar or billion dollar. Just a moment of solidarity. They show that we people in a free societies side with the values you side with and that. I mean for me when I was living there, that's meant a lot to me and when people told me that I want to replicate that to help the folks over there who did that sense of solidarity. And again it doesn't. It show rick and tee shirt doesn't achieve a certain level of narcissism to. Because it seems to me that when they do this they're just saying why can't blame everything on myself?

Speaker 4:          00:50:50       And now that's a problem they want, you know what I mean? If they can't link America, there's something, it's not even a problem. So that also seems to be a bit of the. And that is, I mean look at like many of the definition of racism is power plus privilege, right? Is it getting it right? Prevalent? They, they because they look. So for example, racism, they redefined racism. So racism is no longer about people hating of people of other races, but rather it is who are the people on the privileged side. So. So it has to be. So at the top of the pyramid we talked about last time, there is a cisgender white male. He's worse than Isis. And so then there's probably isis because they're brown. Mel's probably the, the social media guys are mostly white but, but uh, but the other side is like a pyramid and the top of the pyramid is white smell and they think he is the biggest problem.

Speaker 4:          00:51:45       So ironically what they're saying actually is that you as an Arab, as Arab landscape man, you could not be racist against me or against me. But I know that someone of that, an Asian person is probably lined up, it's very sort of right next to white privilege so that you, even if you were endorsing white genocide, wouldn't be viewed as racist because you were being oppressed and that has been actually like there was this case, I think it was in Goldsmith University in which one of the students was talking about a genocide, this stock white genocide. And then she said, this is my way to surprise my grievances. Yeah. Because there's no other way to get more creative then. And then she said this is, this is not actually racist. What I was talking about because I am a from, except the fact that she lives in London, she's under privileged and she's trying to suppress our grievances against the people from the upper class.

Speaker 4:          00:52:46       This last night in the debate, didn't Bernie say something about how white people don't know what it's like to be poor? I mean, something of that effect. I mean, I did not watch the debate because I was out. But uh, I saw this coach has been circled. Yeah. And because they, they, they will say, well mean some of the concept, I mean I, I'm, I agree with some of the, with it's called intersectionality. I mean it may accept the fact that many people who say it are crazy nut jobs because it has a good concept is that the people who are, for example, block have less likely to get jobs because of their names. So, so it is difficult if you are a block to raise to middle class then if you're otherwise tries to America. So there is some truth to this. But what is happening is that it is mixed up with so much baggage of bullshit that doesn't make sense anymore.

Speaker 4:          00:53:37       Just like when the, when the far right talk about we should be fearful of all of these things. Things except the fact that some of infiltration of the Muslim Brotherhood, all these things like because there are so insane about so many other things that like whenever there's a shooting, Obama's trying to take our guns, you don't take them anywhere. So whatever they say. So what's happening with intersectionality and the people on the far left. Some of what they say is through third is that there are people who are, because of the rights of men, there are studies done even based upon the name, like if people who have like different names, if they sound for it and whatever, they are less likely to get employment. So yes, there is a sense of when somebody is tired to bullshit us, so then they extrapolated into gaze for Hammas and then.

Speaker 4:          00:54:16       Yeah. Yeah. Which is valuing. Yeah. So, so that is what that is where like the, like a huge bag of bullshit is that when all of these like intersectionality and critical race theory, critical old, literally start defending people that would have, you can because under the name they are a minority and all of this eventually gets like, it's like the destructive when it's all this stuff mixed together. So as three people here sitting here, that all came at different points in our lives. So I'm a, I'm a third generation American. Uh, you guys are first generation but different skin colors and that, all of that stuff, we're putting it out there. We're not fooling anybody. Uh, you sort of touched on this earlier, but American exceptionalism, do you believe in American exceptionalism? Because I get all right. I do, I do too. But

Speaker 3:          00:55:02       tell me why I like this quote by Bill Clinton and he said whatever is wrong in America can, can be fixed by what's rights in America and as a stance now before the elections, I can say that with a straight face. Yeah. I mean, I'm, I've always been a free speech absolutist. Um, and I think it's, it's something that's just, if human dignities to be upheld, we should be free to express ourselves. That's just always a basic human right. Um, and there is no other country other than the United States that upholds that resolutely. Um,

Speaker 4:          00:55:39       so doesn't that directly correlate to everything you do as a secularist and know what it was like to not be able to express all those freedoms? And the reason I prefaced it by saying that we're all different races and all that is that we all have the same opportunity here. Right? Exactly. Exactly. But, but people don't lift, don't like, if you say American, do you believe in American exceptionalism? That's a good question. Actually. I haven't thought about it that I'm putting you on the spot here. Now we're going to get the left to hate you even more. Yeah. Well, I, I think honestly that good job interview, but I think I do. I mean it's really depends on what you mean by it. People from all over the world. I mean, I live in New York City and uh, I can see people from tons of living together for the most part peacefully and trying living under one system, one umbrella.

Speaker 4:          00:56:30       Yes. I mean, I think it's a wonderful idea. I think America itself is a wonderful idea is that despite the fact that obviously the history of it was not as beautiful as it as I wish it to be. But I mean Jefferson, who was one of my heroes called America, the kind of experiments is that let's put these values and see how they work together. I think for the most part to a great experiments that this concept of the new world of, of the, of the American constitution is that one of the first documents I was translated when I was in Iraq and trying to suppress the flyers around was the bill of rights of the United States. For me it's like my Bible is like one of the most important because during the time that it came from obviously, I mean now we take it for granted.

Speaker 4:          00:57:11       People say like freedom of speech. It's a human life. But before this concept of, of separation of powers and separation of church and state. So for me like the most important things about the American constitution, these are used to be radical ideas back at the time and established this nation of from people all over the world. And here we are. I don't think this. This kind of happened in medical news around the plant and the three of us from different parts of the wall to have a different culture or background can come together and have a discussion about ideas. And that's, that's the power of ideas. And I love that you brought up Thomas Jefferson in this because about a year ago I was at cello, which was his home. He Got Regina. Yeah, that's great. And it's a great place and they tell his story and it's really interesting because progress takes time so that they taught, he looked.

Speaker 4:          00:57:54       This is a man who owned slaves. Not only did he owned slaves, he had relations with at least one, I think several of the women. So he was in effect having sex with his slaves. So obviously something's not. I mean that's not right on many in terms of slavery and women's rights and a zillion reasons, but at the same time he was doing so much good for the country and so many of the ideas he had lead to goodness. So it shows that not everything is through that kernel of evil. You want to find the goodness in people.

Speaker 3:          00:58:22       Yes, but and, and, but there is a trend nowadays to apply modern moral framework to look at the past and you're starting to see that with Oxford Rhodes must fall campaign and things like that. We're looking back into the past and now faulting, you know, leader, certainly in the history, um, for, for views they had. So

Speaker 4:          00:58:42       how dangerous do you think that is as someone who's sort of in the academic world? I mean, I, I find that to be incredibly dangerous. We're going to look back on everybody one day as, as culture changes. We're going to look back on everybody and go APP that. Well see he was a homophobe right? Yeah. Although I think he actually said something that I should be able to get married or something to that effect. We will be able to do that to everybody.

Speaker 3:          00:59:04       Yeah, it, it, it's, you know, starting on campus. Right? So what Joel Wilson School, and I'm at a university there, they're debating removing his name. Um, the question is again, it ultimately comes down to why do you feel like that helps, you know, is it, is it something that's a personal, it doesn't feel like a personal attack. And, and if we, if we weigh out every single person with that kind of moral calculus, you're not gonna you're really not going to find any. Um, uh, any ideal person, uh, in the past, right, right.

Speaker 4:          00:59:40       There's literally nobody, and that's why I keep saying the left just eats itself. I've seen this over and over. Unless your APP. Look, we can see the way sometimes even with Bernie, they've turned on Bernie a little bit with some of the race issues with black lives matter and it's like here's a guy who was arrested in the, in the sixties, you're standing up against segregation and things like that. So it's like you have to have a better set of principles than something that'll just come around and get you on day. Yeah. They also talk about history. I mean they're also nice to look at the context and the timing. I mean if, if Jefferson wanted slavery to be part of the United States, he will have written into the constitution. So obviously, I mean the guy was sophisticated enough that it takes time to understand what diverse in.

Speaker 4:          01:00:18       But yeah, when it comes to mind reading, this seems like a pretty good over there. Yeah. It also shows, I guess that we have personal short falls that you can somehow maybe in the public be better than you are personally. Right. So he's writing all of these things about equality for man clearly led the groundwork for you, the slaves, right? Yeah. And yet at the same time, at the personal level he didn't. So yeah, certainly component. You're talking about an hour, like bringing the conversation to global. Is that like for example, like as I work in the human rights field, I mean I would be honest like for starch in Saudi Arabia, I'm not going to advocate for same sex marriage, but our advocate, the concept that gays are human beings equal equal rights and then you can build a foundation that over time, of course, I mean I, I saw Mike based upon many of Jefferson's readings and, and back to the eight, the life eating itself is like, there was this congressman, he's also was a civil rights icon.

Speaker 4:          01:01:17       Lewis. His last name is Louis. I forgot who endorsed Hillary Clinton. John Lewis. John Lewis. Yes. So I'm in. I, I'm not, I cannot avoid this election shot. I can bash any candidate I want, so what happened when he endorsed Hillary? But if somebody I agree with or don't, that's irrelevant. The amount of attacks that he got from the far left was pretty impressive about how they are anti racist. They were calling him pretty racist terms, uncle Tom and word and overall all of that because he endorsed a candidate they didn't like this is itself the LF eating itself because they supposedly and direct service, but there is still on their side of the ticket. Yeah. There was a quote from Fdr that I really like. It was. He asked him why do you support the fascist in Nicaragua? He, they said he's a son of a bitch but is our self.

Speaker 4:          01:02:06       So, so if, if, if, uh, Mr Lewis and drove the car day like that, he is okay. That is what that black person should vote for. But if not, then he is thing to talk about. Uh, they, they claim to be. I mean there is a new term called the entire racists racists, which is interesting. Yeah. And I have double negative but, and also have to work this through at home. And also there's the Islamophobia phobia of the fear of being perceived as Islamophobic is, is now selected. They are afraid of being perceived as level four, a big advocate for as low phobia. I, there's no doubt that that was all right. We have to wrap up here. So I'm going to give you the last word. What can we do? What is the number one thing we can do to help these ideas spread?

Speaker 3:          01:02:51       So what Phase I was saying about the outreach he wishes to divert the, the, the, the outrage manufactured by all these small little incursions into global issues. Um, I think that's actually something that he's working on on movements and it's a very worthwhile cause because with that we can engage people who do live in western democracies to be more active and to be more aware of the perspective of what's going on with the persecution that's going on in closed societies. So that's for me very. I'm a very key thing.

Speaker 4:          01:03:23       Yeah. And while we have our power of freedom, we may as well use it. Right. Alright. Well I have a feeling we're going to continue this in the green room because we barely. I didn't even pick this thing up. All right. Uh, well for more of the work that Faisal and Melissa do, check out the global secular humanist movement on facebook. Go to movements.org. And thank you guys for watching. I will do it again next week.
