Speaker 1:          00:00:02       I'd
Speaker 3:          00:40:47       Right. But I do think they think as much as said he thought he said they think that they were in a war. So they're gonna use whatever tactics they have. What I find particularly odd about it is that now that we live in a digital age where everything is recorded and you can be quoted, you know, talking to this person about this or this person about that even when they're confronted with new evidence or frontier or exposed as frauds, they just doubled down even more, which is incredible. Yeah. So, so I share your frustration and I'm sympathetic with it. Um, I dunno, I, I would, I would, I mean I'm a hey look, I just, I'd call your friend again and say, hey look, I've been thinking about this. let's have a talk. I mean, I wouldn't let that friendship go because that's not like trying to get them to sit down.

Speaker 3:          00:41:31       We did this over text. They wouldn't even, they wouldn't even sit to even say let's get coffee. that's again, part of the regressive left. Yeah. They don't want to have conversations. They want to end those conversations. And ironically they turn that against us and say, well look, you guys are the ones who don't want to have conversations. And I look the whole prompt. This is the schism and liberalism, right? And it was made can naked on the bill maher show with ben affleck and sam. And this is something again, to solve these problems, we need to be on it. We need to be forthright, we need to be honest. We need to create environments where we can talk about the problems and almost if you were to, again, create a list of how not to solve your problems. These people have it. I mean, they've done it.

Speaker 3:          00:42:14       Perfect job. You know, what's amazing to me also is that I never mean to go this deep into it even. I really wanted to focus more on atheism. Oh, I'm happy I'm. We're going to go there now and I'm happy to do this, but what I think is particularly fascinating about this is that everything else that we talk about and that we're going to talk about is so related to this. That's why this, this whole situation has been so bananas because this schism has exposed something that I think people didn't really realize. But let's. Let's just leave that portion there. Unless you want to give me a closing statement on that and then we'll take it isn't. No, it isn't. I just think that we. This is not a very hopeful time right now. You know, I mean we're dealing with very serious ecological issues and we have people who are apologists for big oil companies and denialists and end of anthropogenic global warming.

Speaker 3:          00:43:03       And again, I actually do think those people should be given a seat at the adult table and anybody who has a view different from my own, as long as they provide evidence is welcomed to have a conversation. I think that there's something that's morally damaging about what the regresses are doing. And I think people have had enough. I have had way more than enough. And, and I think now like your, your show has really caused this catalyst almost this cascade of people who also feel the same way and they're like, mines are gravitating and they've, they've really robbed us of any idea of hope that we have because we look at the presidential campaign and I, it's just. Holy moly. I mean, I look at the republicans and I think, wow, like any one of those people would be an unmitigated disaster. Right? and this is this.

Speaker 3:          00:43:59       I mean, we. All right, we're just gonna keep going with this, right? No, no, no, no, no, we'll, we'll just keep going because you're hitting on it that, that, this thing is so it's so powerful because I watched the republican debates and I think I could never in good conscience vote for all you people. And, but now part of, there is a piece of me that when I see that there, this regressive group when they want to, they all like bernie. Now there's a piece of me that's like, do I like the same guy they like, that's crazy because I do like him, you know what I mean? But that's how perverse this whole thing is. That's why we have to make sure that we separate the message from the messenger. Yeah. And that's why it's so difficult to do that when you're constantly smeared.

Speaker 3:          00:44:41       If you use the wrong pronoun by accent. Look, I'm 49. I've been growing up calling. Uh, he, he, I, I, it's not mal intent. I'm not, I don't have some deep moral malignancy in me that I'm kinda, you know, it's like I made a fucking mistake. And so we have, again, we have been there so morally right all the time too, you know what I mean? There's so they're always policing everyone else's words as if they have high gna of ha ha, that's, that's part of the genius about this. Anyway, let's, we'll do the atheism thing. It's crazy though because I do want to keep going with this because I feel each week I feel like I can get away from this a little bit and then something else happens that brings me back into it. And we've talked about it in a little more of a lofty way, which is nice.

Speaker 3:          00:45:22       AlSo, not so much the nitty gritty of it, but in this sort of, in sort of a bigger sense. But uh. All right. So let's, let's get to somebody, and this is all going to relate back to it, but. So I want to know about new atheists. There's a, there's an attack on new atheist as I understand it. New atheist pretty much are just atheists who are finally speaking up about atheism. It may be a little more you, you define it. I think a little more specifically write in the book. There's a little more about that. They're actually trying to shoot down some ideas where an old atheist maybe just removed themselves from the discussion. Is that fair? Yeah, I mean different people define it different ways. Austin, dc. Some people think there's no difference between new and the old. I think. I do think there is a difference.

Speaker 3:          00:46:04       I think there a little more kind of a forthright in their speech and people interpret being forthright as being disrespectful, overly aggressive. I think that's a mischaracterization. I think that they've made this, the additional move from the, these, this set of beliefs or this suite of beliefs is irrational to these beliefs are delusional. And I think from my work delusion has been a component of, of how I think it's helpful to think about the problem and uh, but they don't take too kindly to that. The believer, the believer, the average believer and you say you're delusional. they're usually not that responsive. If you do that, you haven't read the book because you never, you don't want to invoke a defensive posture and something that you want to enter into a conversation in which people change their bullies from point of view of safety, so this is literally what you do in the book.

Speaker 3:          00:46:56       I mean you lay out the exact tools on how you should talk design by line word for word as a template that you can use and people have gone around. One anthonY, magna, bosco has gone around videos on youtube who implements the uses, the scientific method. What iS your confIdence in this belief? Gives an intervention based upon the book. Now what is your internet post-test, pretest intervention post stuff, and it's amazing that the down moves that people make and only five to 10 minutes. So we know that this works. We that this is effective. We know that these sorts of very civil, very engaging and that's the other thing, you never have to worry about anybody saying they don't want to talk about their faith. Everybody loves. that's the one thing that people will get. The one commonality among people of faith. They love to talk about it. So speaking of talking about it, I, you also hit upon how people

Speaker 2:          00:47:48       are very selective in what they believe and if you get them to admit, well I don't believe that a this or that happened, right? I don't believe some heart, you know, about chopping off hands are tied to your head. That's, that's the crazy part. But I believe in this other stuff. But I think what you were saying is that basically if you can get them to sort of started meeting something not true, that's sort of how you pull the string right to then leading to getting them to admit some other stuff probably.

Speaker 3:          00:48:12       Yeah. And in a lot of that is you have to create conditions. And again, this isn't me, there's a long body of literature. There's a long line of literature about how to change the behavior of people who don't want their behavior change. It's from drug and alcohol counseling. It's from, you know, motivational interviewing, cult exiting. This is out there, but nobody is really synthesized it. Nobody's brought these disparate elements together. So

Speaker 2:          00:48:37       I was partly thinking this when I was reading the book, what would you, what would you say is the problem if there's the average person that's a believer that uses religion for community, you know, celebrate some holidays, whatever the religion might be, um, but isn't doing anything, uh, you know, not, not the people that are beheading people, but if you're just some average person that doesn't necessarily take your faith seriously, but you get some sense of community, whatever it is, do you see an inherent problem in that? Or is that just for you? It's like, well, you're just sort of diluted, but alright, go, go with it.

Speaker 3:          00:49:08       I do see a problem because I think that people are wasting their life energy on something that's not true. They are harboring of belief about reality that is almost definitely false. And we just know this empirically because of the number of different religions that make different claims about the world. They can't all be right. In fact, there are contradictions. Perfect one, jesus was crucified. Jesus was not crucified islam. Christianity. Mohammed was the last prophet. muhammad was a prophet for mormons. So people are harboring views about reality that are true. The other thing is I've heard people say that a lot and I have to challenge. I have to push back with you on something. I'm not so sure that people can hold a private belief. I'm not so sure that somebody can have a belief and had not had that belief bleed out. Interaction. hmm.

Speaker 2:          00:50:01       Not necessarily base speaking it, but just by the way they are. Can you give me an

Speaker 3:          00:50:05       yeah, well that, that's what it means to hold a belief. I wouldn't say so. Like I, I don't like people. I'm thinking about homosexuality, but that's to charge so many users. Your blazer, like I don't like guys who. This is a nice blazer. We're brooks brothers. I'm just going to make that. I like guys who have brooks boilers but like if I can't stand the smell different, they look different, you know? But, but I'm not gonna. I'm not gonna let that. I'm not going to show that. Like if I meet some, I can work with someone who has a blazer. I can. I think what it means that that's almost a denial of what it means to have a belief, to hold a belief about something so, so I'm also not sure that these beliefs are as benign as people think that they are. And every time I bring that up, people will bring out a study.

Speaker 3:          00:50:49       Well look at this like, you know, religiosity in this group correlated. The smart people will say correlated. The less intellectually adjoined people will say, you know, some causal correlated, okay, whatever. It's a huge difference, but let's just go with it a look what happened to you have religion, you have lower incidence of heart disease or whatever it is. I think that the word you used before was apt. It's community. Those benefits can be found from community and you can get communities of likeminded people without believing any superstitious silliness. You know, you can get, you can get like the same sports team. I mean, he has a community. Yeah. And, and I think that you say, well, what's the harm of someone rooting for the patriots? I don't know anything about football. What's the harm of someone rooting for the patriots? Well, that, that that's this analogous because you're not claiming that it's objective lee.

Speaker 3:          00:51:43       True. Right? And so if I think that the patriots are ordained by god to win the superbowl or whatever it is that they do, you know, again, I don't know anything about sports. So thought was good. Yeah. Linda, thanks super bowl. They'll take me down that road. I travel, then I get 50 hate mails. People love football. Um, so, so I think that the problem is that people make objective claims and they live their lives accordingly. And this is all you got, man. Zach just said, so wouldn't it be better for those people to be invited to see reality for what it is? Wouldn't it be better to give those people an opportunity to flourish? Because if your beliefs, if one belief, it's like you can look at it as like an architect tonic struggling like a big building, right? If one of your beliefs on the bottom level of that building, it's contaminated like a base belief, like jesus rose from the dead order, then all of the beliefs that flow from that are stemmed from that becomes suspect.

Speaker 3:          00:52:47       So if you, if you. So what's the harm? The harm is that if you want to enaBle yourself to flourish and you want to enable your community to flourish, you have to align your beliefs with reality because if you don't, then what you think is objective, moral of the right thing to do will actually be leading you away from flourishing. Right? So that's interesting. So almost in a way you then systemically you have to constantly be compromising because no matter how much new evidence comes in to prove something else, you really have to skirt around it because you built sort of your, your base in things that aren't true. Yeah, and you put your finger on the cognitive problem. The cognitive problem is then in order to reconcile that, they make a virtue out of not revising their beliefs. they make a sin. Then you need to import new words, words that have words that are anathema to belief, revision like sin, like sacred and that buttresses or protects those beliefs from being revised.

Speaker 3:          00:53:46       So there's a whole mechanism to keep this that almost like I talked about in the book, it's. It's almost if you look at it epidemiologically how these things spread, like memes. They spread the medically. When you really think about that, the harm is that literally billions of people are living in ways that they think is just and kind and right and it's not and nation states are created around that and we're in a very serious problem with technology and the instantaneous flow of an access of information. We are in a problem that we can no longer afford. Not only to ignore that, but to disallow. There we go the rest of leftist ago, but to disallow conversations about those things. We look a shocking number of people in this country, and I'm ashamed to say this, but that doesn't. Don't Shoot the messenger. Do not want muslim immigration. They want to target people and not their beliefs. We need to have a talk about that, ignoring that is not only not going to make it go away, but it's going to make that percentage increase and that's the thing that the regressives just cannot seem to understand that.

Speaker 2:          00:55:01       So, and of course we're back to no, but that's okay. So the but the point being that. so then if you were to take someone like sam who's having extremely difficult, complex thought out conversations about the difference between islam and muslims and islam, islam and jihad and all those things, and if you put him in the same bank as trump, there is nobody left. I think that for me exactly, that for me is why I've taken this so that I've taken this thing on because I saw this guy who I told sam to his face. I didn't even know who he was before that, right? Believe it or not, I, I didn't reallY know. I didn't follow them on twitter. I had never read any of his books. I had maybe heard of him, but I watched that thing and I thought, jeSus, here's a guy trying to tell the truth on some pretty controversial things and look at the way he's beIng the

Speaker 3:          00:55:45       even trying to ask questions and that's what's so interesting and that's what you moral look. It's complicated. Moral arguments are just complicated. That's why you have guys very smart individuals who have substantive disagreements about eating animals factory from this is complicated, but that's more reason and not less reason to talk about it and what they've done to sam is that they have created conditions to make it impossible for people to speak. They have really done exactly the opposite of what they.

Speaker 2:          00:56:20       The danger of what's going on in the colleges really, because you were usIng. Sam is one example of this, but if they can breathe that ideology in the colleges now it goes to what you were saying before. You worry about the future because now you're going to bring up all these people with all this idea. So it was some of this though that to have these conversations. First off, people, we view things on vine in six seconds, 140 characters and I'm really happy to be doing long form again and I really do believe that it's coming back and I get emails every day saying that people are digging it so we're on to something, but it's part of it that to have real discussions about real things and especially when you take, when you do it from the religious angle and and atheism and all that. Well, you're basically bill maher and dawkins and a couple oTher people that are really in the limelight of it and that you're putting too much on a few people and that's sort of the reverse of how this should go if you want to have real open discussion. Right? Yeah. Yeah.

Speaker 3:          00:57:17       Putting a lot on a few people. Aaron,

Speaker 2:          00:57:21       for example, sorry to, but for example, people always. I'll defend bill maher in related to this and people say, well, he's a dick about it and he's throwing it in everyone's face and all that. And although we say, well, I grant him a leash on this because he's fighting the good fight, in my view, he's fighting thing that's so hard to do and really using reason to explain complex things. So I have to, if he's a little bit of a dick about it. Alright. It's guess what? There's plenty of dicks or the other side too.

Speaker 3:          00:57:48       It's interesting. And again, I think again, afflecks respect clip was just perfect. Afflecks response was so implematic. Now I don't know if rogan's right. I have no idea if this guy is such a good actor. He had us all believe in. I really, I can't. I don't, I don't know the answer to that, but I do know is that that reaction is more typical than ever now and we need less of that reaction. Here's one way that we may want to think about getting less of that reaction. And I'm not being facetious when I say is an incredibly sincere. virtually every time I speak to some and not every time, you know, they're a professional apologist and that goes out the window virtually every time. Excuse me, when I'm speaking with someone, I always think to myself maybe they know something. I don't know if you can just attempt to hold that in your head in. I have found in conversations with religious people, it's been very helpful. I will admit to you, I almost cannot do that any longer with the regressives because because they make a slip of the tongue into some monstrous, heinous act or I always feel that it's personal. Like it's deeply personal. Like there's something, there's something in me that they need to cleanse or something like there's some kind of like, well that's what I mean

Speaker 2:          00:59:08       about the authority or anything. Like they're in a weird way they're doing religious trickery.

Speaker 3:          00:59:12       They are doing. Yeah, right. Yeah. The horseshoe they're buying. Yeah. they're using a lot of the tactics. So the question is like, what do we, how do we engage these people? I mean this is a very. This is a very difficult question. Particularly when they now have at their disposal. They've been there, they've infested academia, you know, like what do we do in these people now the rule makers. Well, it's interesting that the more I try to bring this towards atheism, the more it comes back to this because it seems to me that they're there at the attacks that they've done on the new atheists where they use it as a pejorative. Now you're a new atheist. It's sort of some sort of evil creature, even though I don't know many. I don't know anyone really that identifies as a new atheist as a, I don't think maybe sam does.

Speaker 3:          00:59:56       I, I'm not even sure. Um, I don't know, but they've just muddied the water. You were just saying you don't identify as an atheist. So yeah, I mean, you can attempt to smear me. You can attempt to. But the irony is joe and I talked about this. It's like I have never heard a person used the word intersectional who wasn't just a nasty, who wasn't just a really just mean spirited, angry person. Yeah. And so, and, and I think that is part of the. Of course I should be indignant because I'm a good person. Good people become indignant at these things. Yeah. So, okay, we're going to talk about atheism or we're going to go back. Okay, this is fine. We're Going to do what kind of chart could we do on this? I'm ready to back. Yeah, I know. I know you're going with me.

Speaker 3:          01:00:39       So I think part of the problem is also that when people have made the choice to make the leap of faith, right, whatever the religion that they've jumped in in a certain way, even though I think in their eyes they're doing something very lofty and in a certain way you're doing, you're just. I view it as sort of like you're giving up sort of your like this. The world is a pretty fucked up place. I don't know the answer so I'm just going to leap and just hope that this. So is that, is that part of why it makes the rational person's argument to them? Very difficult because there you're, you're arguing against something that's not rational in its most pure form that I. Did I get somewhere there. Yeah. I don't know. Only because I think different people believe for different reasons and so.

Speaker 3:          01:01:25       So I, I don't know. here's what I do know, unlike this belief that seems to be out everywhere, it seems to be going around, you can actually reason people on an audit of unreasonable positions. In fact, I was just talking to my. My buddy that's a couple of days ago, john w dot loftis. I wrote the forward to his new book. He was a disciple of the greatest christian apologist senator. He reasoned, so jerry [inaudible], the list goes on and on and on of people who have done that, and I think it doesn't start with reason so much. It starts with honesty. You really think there was a talking snake like no bullshit like you think, but yet if you looked at your garden and you're raking up and a snake started talking to you, you'd be freaking out, right? Yeah. So, so I. Nobody would believe you and no one would believe you. Right? so these things cohere in a very complicated. Not to use a big word, but covariance set of beliefs that reinforced our beliefs, et cetera,

Speaker 2:          01:02:20       et cetera. So I don't think that there's. We can narrow it down to one note or one data point for why people believe. I think it's a very complex equation. Yeah. You know, it's funny, I haven't thought of this so literally until just this second, but years ago, I think in 1997, so I was 21. I went to Egypt and I was at mount sinai, which is supposedly where moses got the 10 commandments and I hiked up the mountain. It's a long hike. You're supposed to do it at night. I did it during the day I ran out of water. I mean I was basically delusional. My stomach was messed up from apes and bad pigeon in cairo. I mean I was. If I was, if there was ever a moment where I was gonna have a spiritual awakening, like that's where it was because I was compromised in my body.

Speaker 2:          01:02:58       Right. And I remember not getting it all. I mean, I remember going to the top of that thing and thinking like if, if there's something here, you got to give me a sign, right? Like if there's something here and this is where moses supposedly saw the burning bush and got the 10 commandments and all that, then you've got to give me something and there was nothing. So for me that was sort of like, oh god is very good at hiding. Yeah, great height or this guy. Yeah, and I think that that's kind of. I mean, if you Really think about this, I apologize ahead of time. If this loWers your iq by a couple of points for jews, peep, people will say, well, that's why you need faith because there is no evidence or there is no. There is nothing for god. You just have to have faith in that, but you don't act that way in any other aspect of your life.

Speaker 2:          01:03:46       Like you know, there's no other arena in that in what you think like that. Can I, can I go back to your friend, your friend again because they're still thinking about this. So what if you had another belief that had nothing to do with muslims or islam that that friend found odious, they would probably let it slide. I think that's where you're going. That's what I'm going. Yeah, that's what I'm. That's what I'm amazed about with this whole thing. This seems to be the one sticking point they can. So what is that? What does that so, so vachon opportunity. I'll tell you what that is. that's an opportunity for your friend to reflect, to sincerely reflect about the moral priority that she or he has given this one issue and to ask yourself, well, does that seem just as an outsider, as an outsider, does that seem that that this one issue should trump everything else?

Speaker 2:          01:04:46       Because I'm frankly, I don't even know if I'm concerned about their wellbeing. I'm concerned about their well priorities. Well that was also part when we were having this discussion, but you get amazon text which also felt so weekend. It felt like nothing. You know, when you're having a video conversation with someone and you can feel a weight to it and you can feel important to do it over text felt ridiculous. I mean not even email, which also wouldn't have felt great, but I could not get this person to sit down with me, um, that there would've been nothing else. And I, and that's your point, there would be nothing else. And when I said, well, is there evidence of this? Have I ever in all the time that you've known me, right?

Speaker 3:          01:05:25       Was I secretly doing this yet? So here's the thing that I've been, I've been saying it about the thing that I try to be careful of what I've been noticing. It's like I sometimes if somebody has a belief that's just so out in left field, it's really easy for me and I try to rein myself in with this internal tendency. I don't verbalize it articulated if thinking that these people have mental disorders, like it's very, you know. and then I'll talk to people who believe in actual talking snakes and stuff. And again, these are very nice people. They're very easy to talk to. I debated the guy in perth, a, I still keep in touch with them, written to each other. There is something about literally believes that he talks to the snakes. No, in talking snakes, like in the bible. Oh, leave that. He did him.

Speaker 3:          01:06:12       Yeah. No, no, no. That's a whole different level of person. And I said, yeah, that, that is, uh, and it's, it's, it's very difficult for me, dave, I, I try not to characterize people whose beliefs are so far afield of mine that they have mental disorders and I find it, I think I find that the type of people who go into religion are the sort of people who tend to be imbalanced anyway and they find a nice community for that, a way to discharge those bizarre blues. It's the same thing with the regressives oh, you're supposed to keep talking about. Yeah, they find this wonderful social justice warrior place where they can be behind their keyboard and angry and smear people that get all the hate and the reach and they. And it's very difficult for me to rein myself in and not write them all off as people who have mental disorders. And I'm, as part of my work, man, I'm trying.

Speaker 2:          01:07:08       I hear you in the most that I can possibly hear someone. Yeah, I hear you. And that's why I find it exhausting and it is exhausting. I wonder, so for you, even before the regressive thing took hold so much, this discussion, a discussion about, you know, free thinking and critical thinking versus faith and things you can prove and then you toss in some of the regressives how exhausting is this for you on a, on a day to day basis because I do find that it can be extremely exhausting that at the end of the day I can have trouble shutting off my mind or I'll wake up at six and I click on twitter and then I immediately see craziness before I've gotten out of bed and I do find it sort of exhausting. What about for you?

Speaker 3:          01:07:52       Yeah, I think that's because you care a lot and I don't really care about like the negative things people send it to. I really don't. I mean I legitimately don't die of pressing things that I care about my family and my health. Friendships, you know, relationships and I don't. But I guess in a sense I'm genuinely interested in what people believe and why they believe it and how it's possible to hold preposterous beliefs. So it's just presently perennially interesting to me. What's problematic though in what is exhausting are the constant ways that I self because I'm afraid of academic punishment or they're constantly and I just had another complaint filed against me or the ways that I can't. And it's not that I know that the administration has said anything to me. It's the culture in which were the Academic culture now is you, you just have to be extremely cautious about what you say, particularly in regard to islam or particularly regardless.

Speaker 3:          01:08:50       There are certain things you don't have to be conscious whatsoever. If you want to criticize big pharma, you can just use a thing like in class you can say fuck shit, you can say want but don't use a pronoun wrong or don't say, you know, don't slip again. Forty $9 with the retarded word. I don't do that anymore. But you know, the things that are exhausting to me are the mechanisms that are in place that prohibit the free expression of ideas and not necessarily that I don't have tenure and I'll never get tenure. Not necessarily that anything. It would be a career ender, but it is a theft of my time. It is now. I have to constantly go deal with it and I have to have it in the back of my mind and then, oh, if I say something else, I have another complaint and then I'll be the guy who gets all these complaints.

Speaker 3:          01:09:36       So it's working within these and you know, the other thing I was thinking about last night is that what this does in essence is it pushes the whole system towards mediocrity. It pushes the whole system because then people are afraid to voice controversial ideas or opinions or give sides that students wouldn't here. They want to be the people who don't get complaints filed against them. So they take the evil, the, the ease you, they take the easy courses you know in and what they're not talking about is like, for example, nothing to do with the regressive left, but our end, a cognitive disability in it's challenged. More philosophy were to read a great book about that. We're not talking about the status. Peter singer has really interesting stuff about this philosopher of what should the status of cognitively disabled people be and he says they should be more equivalent and treatment too.

Speaker 3:          01:10:30       I don't want to mischaracterize them, but to to to basically a pigs and cows. I think that that's an important conversation to have and the whole system is then being pushed towards mediocrity because professors don't want to deal with it. They don't. They just can't stomach or handle all these ridiculous student complaints, so they just don't teach it. Yeah. Why are you never going to get tenure? All. I was told that I could publish 10 books from harvard and I never get tenure here. It was like the best thing that ever happened in the moment after this guy, my I won't say who is this person told me this. I wrote an article. I'm like, well, okay, well since I'm never going to get tenure, and I know that there's nothing I can do independent of my accomplishments, I'll never get promoted. I it just felt was the most freeing feeling ever.

Speaker 3:          01:11:14       I left his office and I wrote a little piece of something that I published, some like a, what should the role of the educator be? And I said that the role of the educator should be to change students' beliefs if they're not in alignment with reality, seems to be totally uncontroversial. My colleagues freaked out about it. The piece went viral. This is brief how this chronology and I got in touch with sam harris and then uh, some guy from paul party from philosophy, so said you want to do a podcast? And when the podcast sam harris tweeted, we need more educators like peter boghossian, how I got in touch with dawkins. Dawkins just tweeted it and that, that just started this whole cascade. But I've never felt more free to talk about anything that I want, knowing that I could be fired at any instant. I'd love that. Actually. It's a freedom that I relish.

Speaker 2:          01:12:01       Well, I love it. I love it because it shows you the importance of ideas, which is really, that's the big thing here, that everything else is couched in, right? That you had an idea, you shared it. And then your idea was shared by people that you respect and admire, who you credit in your book for helping you get to this place, and then they spread an idea and that, I guess to sort of bring this all around is what the regressives are fearing. And That's why they want to silence everyone because they don't like. They don't like your ideas. Right? So that they're not going to debate them. Yeah. They don't like it. They think they have the truth. It is really a bizarre kind of a pistol. Logical myopia. Not even, it's just that they, they have these ideas that they're completely convinced are true.

Speaker 2:          01:12:47       Again, like religion, holding them makes them better people. They're sacrosanct. You can't criticism. Not only can you, you can't even ask about him. Can you ask how they derived it? Bang. Interlaced in there. So morally sure of sanctimonious. I guess that's why I wanted to bring this around to relate it to religion because I had been trying to put this all together and there is these underpinnings that are so the same of the authoritarian religious thing. It's all there. It really is all there. It's like they hate really there on the left. So they hate religion, christianity, right? Then they have one religion that they want to protect, uh, because it's, it's, uh, the downtrodden religions and then it just, everything they do is in, it's a constant shell game. They're just moving the goal posts all the time and how intellectually exhausting must that be for them.

Speaker 2:          01:13:34       And I don't think it's that tiring for them because they're just so ingenuine and since that's what I've come to believe because many people every day I get email people saying, why don't you sit down with one of these guys and there's, you know, there's a list of the public ones that I could sit down with, right? And I know some of them personally and it's like, what, what could we do if I had been exposed repeatedly as liars as they have and as repeatedly with bad intention. So then for you, for you someone that deals in the moral landscape Without religion, right? And deals and critical thinking, what, what should the decision process be? For me? You know, because I think about all the times. Yeah, I guess I could do it. I. Okay, so

Speaker 3:          01:14:12       here, here's a piece of mine. My friend jerry coyne said this to me, very evolutionary biologist, very useful piece of information when somebody's trying to say this without pumping this, giving this person in the identity. But here's what I think you should do it give you the piece of advice he gave me. Yeah, people are going to criticize you no matter what. So if someone says to you, hey, you know I'm going to donate to charity, I'm going to do this. The question I think is, do you think that this person is sincere and honest in their engagement with you? Not what would I get out of it? Not what would they get out of it, not even what would it do to further the discourse, but is this a sincere person who, who's willing to sit down and talk with me and look at the evidence and are their beliefs to feasible?

Speaker 3:          01:14:56       Are they willing to, you know, hey, look, dave, I came in here. I thought this had a conversation with you, but equally important, you have to ask that of yourself. Right, and if, if that is absent from that discourse, it's just a farce. So why would you, you should. That should never listen to someone on twitter. You going to have this global fuck you like have your own show. You know, you should never listen to you. You're not held hostage to the irrationality of others. Yeah, I like that. That's a good ending. That sounds like a good ending. We could have done so much more here and I pretty much, I could have just mixed these up. I don't even know that I really looked at them, but I could have just thrown them all over. I'm dying to know it's on there. You can have those.

Speaker 3:          01:15:35       we will absolutely do this again and then we'll. And I won't bring any of those cards and we'll just see, see what happens. But the beauty of this is that this, this is big and this is what a lot of people have wanted to talk about and I liked the fact that I'm able to talk about it with people that are dealing with it in different ways. So at the academic level and the and the religious level or belief level and then people are dealing at the political level and all that. And you've been a catalyst. I mean you've brought people together, you've talked about an issue that's important. More and more people are becoming aware of that and you've kind of, you've, you've become a figure in which people go to and they look to and they respect for these sorts of conversations to help them navigate these difficult terrain because these are not easy issues.

Speaker 3:          01:16:17       Particularly not easy. When again, a lot of the arguments that people on the progressive regressive have, they really should be taken earnestly. You know, treating people, not treating people differently in the basis of skin color. I mean these are really important things and we need to be sensitive to how we behave. We need to be more kind and more just and more compassionate. The way to do that is not through the regressives. the way to do that is by being honest and sincere with ourselves and having these sorts of discourses, having these kinds of dialogues. I want to thank peter because he in for joining me. You can check out his work at peter boghossian dotcom and buy a manual for creating atheists wherever books are sold. Thanks for watching and we will do it again next week.
